X72n1439_001:0592a06	 自序	 自 序 
X72n1439_001:0596c01	山六載忍饑凍。一覩明星佛便成。却道眾生皆具足。	山 六 載 忍 饑 凍 一 覩 明 星 佛 便 成 却 道 眾 生 皆 具 足 
X72n1439_001:0596c02	祇因妄想墮凡情。大眾且道。這妄想作麼生斷。良久	祇 因 妄 想 墮 凡 情 大 眾 且 道 這 妄 想 作 麼 生 斷 良 久 
X72n1439_001:0596c03	云。待釋迦老子作凡夫時。為諸人道破。	云 待 釋 迦 老 子 作 凡 夫 時 為 諸 人 道 破 
X72n1439_001:0596c04	一相耆宿。同均頌道友設齋。請上堂。一相耆宿問。古	一 相 耆 宿 同 均 頌 道 友 設 齋 請 上 堂 一 相 耆 宿 問 古 
X72n1439_001:0596c05	者道。撥草瞻風。祇圖見性。請問和尚。即今性在什麼	者 道 撥 草 瞻 風 祇 圖 見 性 請 問 和 尚 即 今 性 在 什 麼 
X72n1439_001:0596c06	處。師云。老師即今在什麼處立地。進云。識得自性方	處 師 云 老 師 即 今 在 什 麼 處 立 地 進 云 識 得 自 性 方 
X72n1439_001:0596c07	脫生死。眼光落地時作麼生脫。師展兩手。進云。脫得	脫 生 死 眼 光 落 地 時 作 麼 生 脫 師 展 兩 手 進 云 脫 得 
X72n1439_001:0596c08	生死。方知去處。四大分離時。向什麼處去。師云。面前	生 死 方 知 去 處 四 大 分 離 時 向 什 麼 處 去 師 云 面 前 
X72n1439_001:0596c09	是佛殿。進云。謝師指示。禮拜歸位。師乃云。今日乃一	是 佛 殿 進 云 謝 師 指 示 禮 拜 歸 位 師 乃 云 今 日 乃 一 
X72n1439_001:0596c10	相老師。同均頌道友。以三十餘年道舊。特入山相訪。	相 老 師 同 均 頌 道 友 以 三 十 餘 年 道 舊 特 入 山 相 訪 
X72n1439_001:0596c11	請陞座為大眾舉揚。且山僧昔居受業時。親受一相	請 陞 座 為 大 眾 舉 揚 且 山 僧 昔 居 受 業 時 親 受 一 相 
X72n1439_001:0596c12	老師激勸。心銘之久矣。茲辱枉顧。雖彼此老大。非復	老 師 激 勸 心 銘 之 久 矣 茲 辱 枉 顧 雖 彼 此 老 大 非 復 
X72n1439_001:0596c13	昔時顏面。而促膝清談。勸然敘舊。宛如昨日。可見這	昔 時 顏 面 而 促 膝 清 談 勸 然 敘 舊 宛 如 昨 日 可 見 這 
X72n1439_001:0596c14	一段光明。亘古亘今。不變不易。大眾還知有這一段	一 段 光 明 亘 古 亘 今 不 變 不 易 大 眾 還 知 有 這 一 段 
X72n1439_001:0596c15	光明麼。若知得。便可坐斷三際。逈離生滅。一真獨露	光 明 麼 若 知 得 便 可 坐 斷 三 際 逈 離 生 滅 一 真 獨 露 
X72n1439_001:0596c16	湛寂凝然。參禪見性也在這裏。脫生死也在這裏。去	湛 寂 凝 然 參 禪 見 性 也 在 這 裏 脫 生 死 也 在 這 裏 去 
X72n1439_001:0596c17	處也在這裏。如或不然。更為指注一上。遂舉拂子云。	處 也 在 這 裏 如 或 不 然 更 為 指 注 一 上 遂 舉 拂 子 云 
X72n1439_001:0596c18	祇這箇還見麼。昔也如是見。今也如是見。復擊拂子	祇 這 箇 還 見 麼 昔 也 如 是 見 今 也 如 是 見 復 擊 拂 子 
X72n1439_001:0596c19	云。還聞麼。昔也如是聞。今也如是聞。今昔雖則異時。	云 還 聞 麼 昔 也 如 是 聞 今 也 如 是 聞 今 昔 雖 則 異 時 
X72n1439_001:0596c20	見聞何曾有別。秪如不落見聞一句。作麼生道。瑞氣	見 聞 何 曾 有 別 秪 如 不 落 見 聞 一 句 作 麼 生 道 瑞 氣 
X72n1439_001:0596c21	生嘉運。林花結早春。	生 嘉 運 林 花 結 早 春 
X72n1439_001:0596c22	池心宇道友募眾。修禮大悲懺法。請上堂。今日福城	池 心 宇 道 友 募 眾 修 禮 大 悲 懺 法 請 上 堂 今 日 福 城 
X72n1439_001:0596c23	有一大心凡夫池心宇。為閩中連年兵戈弗息。諸難	有 一 大 心 凡 夫 池 心 宇 為 閩 中 連 年 兵 戈 弗 息 諸 難 
X72n1439_001:0596c24	競起。生靈塗炭。觸目悲酸。乃特倡緣募眾。于鼓山請	競 起 生 靈 塗 炭 觸 目 悲 酸 乃 特 倡 緣 募 眾 于 鼓 山 請 
X72n1439_001:0597a01	諸禪德。修禮大悲懺法。葢欲哀感觀世音菩薩慈悲	諸 禪 德 修 禮 大 悲 懺 法 葢 欲 哀 感 觀 世 音 菩 薩 慈 悲 
X72n1439_001:0597a02	願力。保持世界。覆護眾生。共躋昇平。同資仁壽。即此	願 力 保 持 世 界 覆 護 眾 生 共 躋 昇 平 同 資 仁 壽 即 此 
X72n1439_001:0597a03	一念與觀世音大慈悲心。一體同觀。無二無別。如天	一 念 與 觀 世 音 大慈悲心 一 體 同 觀 無 二 無 別 如 天 
X72n1439_001:0597a04	普葢。似地普擎。一切眾生。盡在其中。承其庥廕。受其	普 葢 似 地 普 擎 一 切 眾 生 盡 在 其 中 承 其 庥 廕 受 其 
X72n1439_001:0597a05	度脫。須知此心不獨心宇有之。一切眾生悉皆具足。	度 脫 須 知 此 心 不 獨 心 宇 有 之 一 切 眾 生 悉 皆 具 足 
X72n1439_001:0597a06	祇為封于我執。纏于愛見。故不能擴充耳。若使人人	祇 為 封 于 我 執 纏 于 愛 見 故 不 能 擴 充 耳 若 使 人 人 
X72n1439_001:0597a07	就心宇一念中擴充去。即是觀世音菩薩全體出現。	就 心 宇 一 念 中 擴 充 去 即 是 觀 世 音 菩 薩 全 體 出 現 
X72n1439_001:0597a08	與大地眾生。慈心相向。慈眼相視。在在處處。啟慈悲	與 大 地 眾 生 慈 心 相 向 慈 眼 相 視 在在處處 啟 慈 悲 
X72n1439_001:0597a09	門。弘慈悲化。自然天下太平。民康物阜。一人高拱。無	門 弘 慈 悲 化 自 然 天 下 太 平 民 康 物 阜 一 人 高 拱 無 
X72n1439_001:0597a10	為萬邦。咸資至澤。匪有假于他術。乃自心之常分爾。	為 萬 邦 咸 資 至 澤 匪 有 假 于 他 術 乃 自 心 之 常 分 爾 
X72n1439_001:0597a11	雖然如是。猶是功勳邊事。更須知有當人尊貴一路	雖 然 如 是 猶 是 功 勳 邊 事 更 須 知 有 當 人 尊 貴 一 路 
X72n1439_001:0597a12	始得。且如何是尊貴一路。當陽突出無人識。笑倒南	始 得 且 如 何 是 尊 貴 一 路 當 陽 突 出 無 人 識 笑 倒 南 
X72n1439_001:0597a13	無觀世音。	無 觀 世 音 
X72n1439_001:0597a14	大悲懺圓滿。善友李望山。李弘通。于明臺。王今眾。王	大 悲 懺 圓 滿 善 友 李 望 山 李 弘 通 于 明 臺 王 今 眾 王 
X72n1439_001:0597a15	岐崗。林文若。張道素。郭瞻卿。陳輝生。設齋請上堂。古	岐 崗 林 文 若 張 道 素 郭 瞻 卿 陳 輝 生 設 齋 請 上 堂 古 
X72n1439_001:0597a16	今日月。古今山河。浮雲變易。總不干它。然則觀世音	今 日 月 古 今 山 河 浮 雲 變 易 總 不 干 它 然 則 觀 世 音 
X72n1439_001:0597a17	菩薩。用許多手眼。成得甚麼邊事。不因柳毅傳書信。	菩 薩 用 許 多 手 眼 成 得 甚 麼 邊 事 不 因 柳 毅 傳 書 信 
X72n1439_001:0597a18	何緣得到洞庭湖。拈拄杖云。觀世音菩薩來也。通身	何 緣 得 到 洞 庭 湖 拈 拄 杖 云 觀 世 音 菩 薩 來 也 通 身 
X72n1439_001:0597a19	是徧身是。差之毫釐失千里。分付諸人。急著眼看。是	是 徧 身 是 差 之 毫 釐 失 千 里 分 付 諸 人 急 著 眼 看 是 
X72n1439_001:0597a20	甚麼。卓一卓云。觀音妙智力。能救世間苦。又卓一卓	甚 麼 卓 一 卓 云 觀 音 妙 智 力 能 救 世 間 苦 又 卓 一 卓 
X72n1439_001:0597a21	下座。	下 座 
X72n1439_001:0597a22	朗虗上人。報親請上堂。人人有箇本爹娘。如影隨形	朗 虗 上 人 報 親 請 上 堂 人 人 有 箇 本 爹 娘 如 影 隨 形 
X72n1439_001:0597a23	處處彰。無奈眾生自違背。今朝突出在中央。前是佛	處 處 彰 無 奈 眾 生 自 違 背 今 朝 突 出 在 中 央 前 是 佛 
X72n1439_001:0597a24	殿。後是法堂。左是廚庫。右是僧堂。且道中間底本爹	殿 後 是 法 堂 左 是 廚 庫 右 是 僧 堂 且 道 中 間 底 本 爹 
X72n1439_001:0597b01	娘。是何面目。良久云。切忌觸諱。	娘 是 何 面 目 良 久 云 切 忌 觸 諱 
X72n1439_001:0597b02	陳允泉善友。薦親請上堂。僧問。今日允泉善友薦親。	陳 允 泉 善 友 薦 親 請 上 堂 僧 問 今 日 允 泉 善 友 薦 親 
X72n1439_001:0597b03	請和尚說法。與那叱太子柝骨還父。柝肉還母。現本	請 和 尚 說 法 與 那 叱 太 子 柝 骨 還 父 柝 肉 還 母 現 本 
X72n1439_001:0597b04	身。為父母說法。是同是別。師云。你但識取本身。進云。	身 為 父 母 說 法 是 同 是 別 師 云 你 但 識 取 本 身 進 云 
X72n1439_001:0597b05	恁麼則伊親得度去也。師云。如何是你本身。進云。將	恁 麼 則 伊 親 得 度 去 也 師 云 如 何 是 你 本 身 進 云 將 
X72n1439_001:0597b06	此深心奉塵剎。師云。猶屬影響在。師乃云。今日陳允	此 深 心 奉 塵 剎 師 云 猶 屬 影 響 在 師 乃 云 今 日 陳 允 
X72n1439_001:0597b07	泉善友。遠自溫陵來。乞山僧一語。以薦拔父母。秪如	泉 善 友 遠 自 溫 陵 來 乞 山 僧 一 語 以 薦 拔 父 母 秪 如 
X72n1439_001:0597b08	允泉父母。為存耶亡耶。若存。安用薦拔。若亡。又薦拔	允 泉 父 母 為 存 耶 亡 耶 若 存 安 用 薦 拔 若 亡 又 薦 拔 
X72n1439_001:0597b09	阿誰。唯存與亡。如何理論。須知存者無所存。但是幻	阿 誰 唯 存 與 亡 如 何 理 論 須 知 存 者 無 所 存 但 是 幻 
X72n1439_001:0597b10	存。亡者無所亡。亦唯幻亡。存亡既皆是幻。則非幻者。	存 亡 者 無 所 亡 亦 唯 幻 亡 存 亡 既 皆 是 幻 則 非 幻 者 
X72n1439_001:0597b11	豈存亡可得而隱顯耶。且如何是非幻者。豈不見祖	豈 存 亡 可 得 而 隱 顯 耶 且 如 何 是 非 幻 者 豈 不 見 祖 
X72n1439_001:0597b12	師云。泡幻同無礙。如何不了悟。達法在其中。非今亦	師 云 泡 幻 同 無 礙 如 何 不 了 悟 達 法 在 其 中 非 今 亦 
X72n1439_001:0597b13	非古。即今現前大眾身心。與歷劫以來本生父母。若	非 古 即 今 現 前 大 眾 身 心 與 歷 劫 以 來 本 生 父 母 若 
X72n1439_001:0597b14	存若亡。同時放光。互相攝入。還有了悟者麼。若了悟	存 若 亡 同 時 放 光 互 相 攝 入 還 有 了 悟 者 麼 若 了 悟 
X72n1439_001:0597b15	得。不惟允泉父母薦拔已竟。即諸人父母悉皆薦拔。	得 不 惟 允 泉 父 母 薦 拔 已 竟 即 諸 人 父 母 悉 皆 薦 拔 
X72n1439_001:0597b16	無有遺餘。如或不然。明朝生悉達。更請問摩耶。	無有遺餘 如 或 不 然 明 朝 生 悉 達 更 請 問 摩 耶 
X72n1439_001:0597b17	佛誕日。信女蔣傳果。預修請上堂。福城信女蔣傳果。	佛 誕 日 信 女 蔣 傳 果 預 修 請 上 堂 福 城 信 女 蔣 傳 果 
X72n1439_001:0597b18	預佈來生大福田。更請山僧轉法輪。欲求無上大智	預 佈 來 生 大 福 田 更 請 山 僧 轉 法 輪 欲 求 無 上 大 智 
X72n1439_001:0597b19	慧。以慧修福是真福。以福修慧是真慧。福慧圓成兩	慧 以 慧 修 福 是 真 福 以 福 修 慧 是 真 慧 福 慧 圓 成 兩 
X72n1439_001:0597b20	足尊。世出世間無與等。福是自心之妙德。慧是自心	足 尊 世出世間 無 與 等 福 是 自 心 之 妙 德 慧 是 自 心 
X72n1439_001:0597b21	之妙光。若人了達于心地。一切福慧自圓滿。只如當	之 妙 光 若 人 了 達 于 心 地 一 切 福 慧 自 圓 滿 只 如 當 
X72n1439_001:0597b22	人心地。作麼生了。不見道。天上天下。唯我獨尊。	人 心 地 作 麼 生 了 不 見 道 天 上 天 下 唯我獨尊 
X72n1439_001:0597b23	心閑上座。病中請上堂。僧問。香雲繚繞。鐘鼓鏗鏘。如	心 閑 上 座 病 中 請 上 堂 僧 問 香 雲 繚 繞 鐘 鼓 鏗 鏘 如 
X72n1439_001:0597b24	何是和尚今日為人一句。師云。闍黎已道竟。進云。言	何 是 和 尚 今 日 為 人 一 句 師 云 闍 黎 已 道 竟 進 云 言 
X72n1439_001:0597c01	前薦得。掘地覔天。句後承當。掉棒打月。不前不後。請	前 薦 得 掘 地 覔 天 句 後 承 當 掉 棒 打 月 不 前 不 後 請 
X72n1439_001:0597c02	師方便。師竪拂子。進云。若將耳聽終難會。眼處聞聲	師 方 便 師 竪 拂 子 進 云 若 將 耳 聽 終 難 會 眼 處 聞 聲 
X72n1439_001:0597c03	始得知。師云。髑髏外。道將一句來。僧拂袖歸眾。師云。	始 得 知 師 云 髑 髏 外 道 將 一 句 來 僧 拂 袖 歸 眾 師 云 
X72n1439_001:0597c04	好與三十棒。師乃云。心閑上座。居福州羅山之彌陀	好 與 三 十 棒 師 乃 云 心 閑 上 座 居 福 州 羅 山 之 彌 陀 
X72n1439_001:0597c05	殿有年。絕俗清修。克己營建。近因抱病。決志還山。請	殿 有 年 絕 俗 清 修 克 己 營 建 近 因 抱 病 決 志 還 山 請 
X72n1439_001:0597c06	山僧陞座。夫一切眾生。皆有身心之病。身病謂四相。	山 僧 陞 座 夫 一 切 眾 生 皆 有 身 心 之 病 身 病 謂 四 相 
X72n1439_001:0597c07	心病為三毒。無奈眾生不知。恃血氣之剛盛。逐聲色	心 病 為 三 毒 無 奈 眾 生 不 知 恃 血 氣 之 剛 盛 逐 聲 色 
X72n1439_001:0597c08	而莫返。世醫拱手。莫可救療。惟病者知之。方堪下藥。	而 莫 返 世 醫 拱 手 莫 可 救 療 惟 病 者 知 之 方 堪 下 藥 
X72n1439_001:0597c09	且道下什麼藥。須知病即是藥。何者。葢以病故。始知	且 道 下 什 麼 藥 須 知 病 即 是 藥 何 者 葢 以 病 故 始 知 
X72n1439_001:0597c10	此身是苦是空是無常是無我。即能返窮此身。生所	此 身 是 苦 是 空 是 無 常 是 無 我 即 能 返 窮 此 身 生 所 
X72n1439_001:0597c11	從來。死所去處。窮之不已。豁然明悟來去。不疑積劫	從 來 死 所 去 處 窮 之 不 已 豁 然 明 悟 來 去 不 疑 積 劫 
X72n1439_001:0597c12	未了之事一旦了矣。古德云。病者眾生之良藥。豈不	未 了 之 事 一 旦 了 矣 古 德 云 病 者 眾 生 之 良 藥 豈 不 
X72n1439_001:0597c13	信然耶。雖然。猶是藥病相治。更須知有本分事始得。	信 然 耶 雖 然 猶 是 藥 病 相 治 更 須 知 有 本 分 事 始 得 
X72n1439_001:0597c14	豈不見溈山問道吾。什麼處去來。吾云。看病來。溈云。	豈 不 見 溈 山 問 道 吾 什 麼 處 去 來 吾 云 看 病 來 溈 云 
X72n1439_001:0597c15	有幾人病。吾云。有病底有不病底。溈云。不病底莫是	有 幾 人 病 吾 云 有 病 底 有 不 病 底 溈 云 不 病 底 莫 是 
X72n1439_001:0597c16	智頭陀麼。吾云。病與不病。總不干他事。速道速道。溈	智 頭 陀 麼 吾 云 病 與 不 病 總 不 干 他 事 速 道 速 道 溈 
X72n1439_001:0597c17	云。道得也與他沒交涉。大眾。你看二尊宿。一拶一捺。	云 道 得 也 與 他 沒 交 涉 大 眾 你 看 二 尊 宿 一 拶 一 捺 
X72n1439_001:0597c18	略露風規。傾盡家私。更無餘蘊。不但病不干他事。不	略 露 風 規 傾 盡 家 私 更 無 餘 蘊 不 但 病 不 干 他 事 不 
X72n1439_001:0597c19	病亦不干他事。道不得。與他沒交涉。道得亦與他沒	病 亦 不 干 他 事 道 不 得 與 他 沒 交 涉 道 得 亦 與 他 沒 
X72n1439_001:0597c20	交涉。且道他畢竟是阿誰。參。	交 涉 且 道 他 畢 竟 是 阿 誰 參 
X72n1439_001:0597c21	開明上人請上堂。是風動是旛動。萬象森羅。一時漏	開 明 上 人 請 上 堂 是 風 動 是 旛 動 萬 象 森 羅 一 時 漏 
X72n1439_001:0597c22	洩。非風動非旛動。三世諸佛。無地藏身。仁者心動。大	洩 非 風 動 非 旛 動 三世諸佛 無 地 藏 身 仁 者 心 動 大 
X72n1439_001:0597c23	小祖師。只知開口易。不覺舌頭長。竪拂子云。且道這	小 祖 師 只 知 開 口 易 不 覺 舌 頭 長 竪 拂 子 云 且 道 這 
X72n1439_001:0597c24	箇是什麼。即午開明上人設齋。山僧留取口吃飯。擊	箇 是 什 麼 即 午 開 明 上 人 設 齋 山 僧 留 取 口 吃 飯 擊 
X72n1439_001:0598a01	拂子。下座。	拂 子 下 座 
X72n1439_001:0598a02	重陽孝子陳正謨。薦考輝宇居士。請上堂。陳輝宇居	重 陽 孝 子 陳 正 謨 薦 考 輝 宇 居 士 請 上 堂 陳 輝 宇 居 
X72n1439_001:0598a03	士。平生持齋念佛。好善樂施。去年七十五歲。垂誡子	士 平 生 持 齋 念 佛 好 善 樂 施 去 年 七 十 五 歲 垂 誡 子 
X72n1439_001:0598a04	孫。一一分明。翛然化去。其信進之力。葢可知矣。茲當	孫 一 一 分 明 翛 然 化 去 其 信 進 之 力 葢 可 知 矣 茲 當 
X72n1439_001:0598a05	小祥。其子正謨等。特遵遺命。上鼓山飯僧。請山僧陞	小 祥 其 子 正 謨 等 特 遵 遺 命 上 鼓 山 飯 僧 請 山 僧 陞 
X72n1439_001:0598a06	座。也要討箇阿爹本命元辰下落。古者道。紅輪決定	座 也 要 討 箇 阿 爹 本 命 元 辰 下 落 古 者 道 紅 輪 決 定 
X72n1439_001:0598a07	沉西去。未委靈魂往那方。須知滔天白浪。著力者能	沉 西 去 未 委 靈 魂 往 那 方 須 知 滔 天 白 浪 著 力 者 能 
X72n1439_001:0598a08	有幾人。充國黃金拈出底。始是好手。還委悉麼。年年	有 幾 人 充 國 黃 金 拈 出 底 始 是 好 手 還 委 悉 麼 年 年 
X72n1439_001:0598a09	九月九。徧地菊花香。	九 月 九 徧 地 菊 花 香 
X72n1439_001:0598a10	西隱寺僧頓超。同善友鄭茂衡林天章等。放生掩骼。	西 隱 寺 僧 頓 超 同 善 友 鄭 茂 衡 林 天 章 等 放 生 掩 骼 
X72n1439_001:0598a11	滿懺飯僧。請上堂。徧野髑髏。高唱無生之曲。臨危物	滿 懺 飯 僧 請 上 堂 徧 野 髑 髏 高 唱 無 生 之 曲 臨 危 物 
X72n1439_001:0598a12	命。全提殺活之機。子產固所未知。文王亦復未見。却	命 全 提 殺 活 之 機 子 產 固 所 未 知 文 王 亦 復 未 見 却 
X72n1439_001:0598a13	被福城眾多師僧善友。一肩領荷。既領荷已。乃復上	被 福 城 眾 多 師 僧 善 友 一 肩 領 荷 既 領 荷 已 乃 復 上 
X72n1439_001:0598a14	鼓山。炊無米飯。煑不濕羮。普供大眾。仍請山僧下一	鼓 山 炊 無 米 飯 煑 不 濕 羮 普 供 大 眾 仍 請 山 僧 下 一 
X72n1439_001:0598a15	轉語。用申慶讚。且道下什麼語即得。要知麼。天下太	轉 語 用 申 慶 讚 且 道 下 什 麼 語 即 得 要 知 麼 天 下 太 
X72n1439_001:0598a16	平。同躋仁壽。	平 同 躋 仁 壽 
X72n1439_001:0598a17	文之上座請上堂。秋風凉秋夜長。未歸客思故鄉。拍	文 之 上 座 請 上 堂 秋 風 凉 秋 夜 長 未 歸 客 思 故 鄉 拍 
X72n1439_001:0598a18	禪床云。這裏是什麼所在。大家總在裏許。切忌開眼	禪 床 云 這 裏 是 什 麼 所 在 大 家 總 在 裏 許 切 忌 開 眼 
X72n1439_001:0598a19	尿床。復舉。文殊菩薩。一日令善財採藥曰。是藥者採	尿 床 復 舉 文 殊 菩 薩 一 日 令 善 財 採 藥 曰 是 藥 者 採 
X72n1439_001:0598a20	將來。善財徧觀大地。無不是藥。却來白曰。無有不是	將 來 善 財 徧 觀 大 地 無 不 是 藥 却 來 白 曰 無 有 不 是 
X72n1439_001:0598a21	藥者。文殊曰。是藥者採將來。善財乃于地上。拈一莖	藥 者 文 殊 曰 是 藥 者 採 將 來 善 財 乃 于 地 上 拈 一 莖 
X72n1439_001:0598a22	草。度與文殊。文殊接得。呈起示眾曰。此藥亦能殺人。	草 度 與 文 殊 文 殊 接 得 呈 起 示 眾 曰 此 藥 亦 能 殺 人 
X72n1439_001:0598a23	亦能活人。師云。盡大地是病。盡大地是藥。以如是藥。	亦 能 活 人 師 云 盡 大 地 是 病 盡 大 地 是 藥 以 如 是 藥 
X72n1439_001:0598a24	治如是病。無欠無餘。自然恰好。善財可謂善採。文殊	治 如 是 病 無 欠 無 餘 自 然 恰 好 善 財 可 謂 善 採 文 殊 
X72n1439_001:0598b01	可謂善用。若有服之者。直令佛法禪道。人我貢高。是	可 謂 善 用 若 有 服 之 者 直 令 佛 法 禪 道 人 我 貢 高 是 
X72n1439_001:0598b02	非憎愛。諸病頓起。通身慶快。許渠作箇洒落底衲僧。	非 憎 愛 諸 病 頓 起 通 身 慶 快 許 渠 作 箇 洒 落 底 衲 僧 
X72n1439_001:0598b03	雖然。也只醫得箇有病的。忽遇箇無病的來。作麼生	雖 然 也 只 醫 得 箇 有 病 的 忽 遇 箇 無 病 的 來 作 麼 生 
X72n1439_001:0598b04	醫。莫將無事為無事。往往事從無事生。	醫 莫 將 無 事 為 無 事 往 往 事 從 無 事 生 
X72n1439_001:0598b05	師到南山。二勝和尚請上堂。賣松風於臘月。煞不知	師 到 南 山 二 勝 和 尚 請 上 堂 賣 松 風 於 臘 月 煞 不 知 
X72n1439_001:0598b06	時。撾布鼓于雷門。尤堪捧腹。雖然。祇得將錯就錯。向	時 撾 布 鼓 于 雷 門 尤 堪 捧 腹 雖 然 祇 得 將 錯 就 錯 向 
X72n1439_001:0598b07	虗空裏。打箇筋斗。貴得主賓道合。正脉流通。拈拄杖	虗 空 裏 打 箇 筋 斗 貴 得 主 賓 道 合 正 脉 流 通 拈 拄 杖 
X72n1439_001:0598b08	云。滿口道不出。信手拈得來。卓一卓云。瞎驢正法眼。	云 滿 口 道 不 出 信 手 拈 得 來 卓 一 卓 云 瞎 驢 正 法 眼 
X72n1439_001:0598b09	滅却又重開。開後如何。良久云。不是我堂頭道兄和	滅 却 又 重 開 開 後 如 何 良 久 云 不 是 我 堂 頭 道 兄 和 
X72n1439_001:0598b10	尚。誰共相委。又卓一卓。下座。	尚 誰 共 相 委 又 卓 一 卓 下 座 
X72n1439_001:0598b11	師到上生寺。淨悟耆德。同信士朱繼禧劉信篤葉子	師 到 上 生 寺 淨 悟 耆 德 同 信 士 朱 繼 禧 劉 信 篤 葉 子 
X72n1439_001:0598b12	珍等。設齋請上堂。師陞座拈香云。此一瓣香。供養妙	珍 等 設 齋 請 上 堂 師 陞 座 拈 香 云 此 一 瓣 香 供 養 妙 
X72n1439_001:0598b13	應和尚。復拈香云。此一瓣香。供養曹山寂祖。伏願。竈	應 和 尚 復 拈 香 云 此 一 瓣 香 供 養 曹 山 寂 祖 伏 願 竈 
X72n1439_001:0598b14	花再發。覺苑重春。駕寶筏于迷津。扇真風于末運。就	花 再 發 覺 苑 重 春 駕 寶 筏 于 迷 津 扇 真 風 于 末 運 就 
X72n1439_001:0598b15	座云。妙應和尚曹山寂祖。兩箇老古錐。無端向這一	座 云 妙 應 和 尚 曹 山 寂 祖 兩 箇 老 古 錐 無 端 向 這 一 
X72n1439_001:0598b16	片地上撞出頭來。一人為兄。在國歡搖頭。一人為弟。	片 地 上 撞 出 頭 來 一 人 為 兄 在 國 歡 搖 頭 一 人 為 弟 
X72n1439_001:0598b17	在上生擺尾。攪渾世界。反覆陰陽。仔細檢點來。猶是	在 上 生 擺 尾 攪 渾 世 界 反 覆 陰 陽 仔 細 檢 點 來 猶 是 
X72n1439_001:0598b18	冬行春令。山僧為寂祖脚下兒孫。今日到來。雖則祖	冬 行 春 令 山 僧 為 寂 祖 脚 下 兒 孫 今 日 到 來 雖 則 祖 
X72n1439_001:0598b19	翁家業契券分明。要且未敢顧著。何也。孟春猶寒。伏	翁 家 業 契 券 分 明 要 且 未 敢 顧 著 何 也 孟 春 猶 寒 伏 
X72n1439_001:0598b20	惟珍重。	惟 珍 重 
X72n1439_001:0598b21	泉州開元寺職事石航達際思聖宅出諸上座。送師	泉 州 開 元 寺 職 事 石 航 達 際 思 聖 宅 出 諸 上 座 送 師 
X72n1439_001:0598b22	還山。設齋請上堂。圓同太虗。無欠無餘。山僧離鼓山	還 山 設 齋 請 上 堂 圓 同 太 虗 無 欠 無 餘 山 僧 離 鼓 山 
X72n1439_001:0598b23	到開元。則開元有山僧。鼓山無山僧。離開元還鼓山。	到 開 元 則 開 元 有 山 僧 鼓 山 無 山 僧 離 開 元 還 鼓 山 
X72n1439_001:0598b24	則鼓山有山僧。開元無山僧。作麼生說箇無欠無餘	則 鼓 山 有 山 僧 開 元 無 山 僧 作 麼 生 說 箇 無 欠 無 餘 
X72n1439_001:0598c01	底道理。莫是云雲無心以出岫。鳥倦飛而知還麼。錯。	底 道 理 莫 是 云 雲 無 心 以 出 岫 鳥 倦 飛 而 知 還 麼 錯 
X72n1439_001:0598c02	莫是云去去實不去。來來實不來麼。錯。莫是云動若	莫 是 云 去 去 實 不 去 來 來 實 不 來 麼 錯 莫 是 云 動 若 
X72n1439_001:0598c03	行雲。止猶谷神麼。錯。畢竟如何得不錯去。咄。不勞說	行 雲 止 猶 谷 神 麼 錯 畢 竟 如 何 得 不 錯 去 咄 不 勞 說 
X72n1439_001:0598c04	夢。擊拂子下座。	夢 擊 拂 子 下 座 
X72n1439_001:0598c05	毫光上人誕日設齋。請上堂。若是無生無不生。鐵牛	毫 光 上 人 誕 日 設 齋 請 上 堂 若 是 無 生 無 不 生 鐵 牛 
X72n1439_001:0598c06	閒步火中行。軒轅甲子知多少。露柱分明與竝庚。且	閒 步 火 中 行 軒 轅 甲 子 知 多 少 露 柱 分 明 與 竝 庚 且 
X72n1439_001:0598c07	道。露柱畢竟年多少。塵沙劫又塵沙劫。數盡塵沙算	道 露 柱 畢 竟 年 多 少 塵 沙 劫 又 塵 沙 劫 數 盡 塵 沙 算 
X72n1439_001:0598c08	不清。	不 清 
X72n1439_001:0598c09	思聖靜主。還山掃塔。請上堂。白塔青山裏。全身大定	思 聖 靜 主 還 山 掃 塔 請 上 堂 白 塔 青 山 裏 全 身 大 定 
X72n1439_001:0598c10	中。死生俱不道。夜半日頭紅。正與麼時。還有真見先	中 死 生 俱 不 道 夜 半 日 頭 紅 正 與 麼 時 還 有 真 見 先 
X72n1439_001:0598c11	師面目者麼。若有。鼓山門下不至寂寥。如或不然。白	師 面 目 者 麼 若 有 鼓 山 門 下 不 至 寂 寥 如 或 不 然 白 
X72n1439_001:0598c12	浪滔天。正好著力。	浪 滔 天 正 好 著 力 
X72n1439_001:0598c13	池心宇道友。募眾修第二壇大悲懺法。請上堂。僧問。	池 心 宇 道 友 募 眾 修 第 二 壇 大 悲 懺 法 請 上 堂 僧 問 
X72n1439_001:0598c14	如何是大悲心。師云。分明流出。進云。觀音菩薩來也。	如 何 是 大 悲 心 師 云 分 明 流 出 進 云 觀 音 菩 薩 來 也 
X72n1439_001:0598c15	師云。向汝道什麼。進云。伏惟萬福。師云。歸位著。師乃	師 云 向 汝 道 什 麼 進 云 伏 惟 萬 福 師 云 歸 位 著 師 乃 
X72n1439_001:0598c16	云。觀世音菩薩一片大悲心。現出千手眼。在娑婆險	云 觀 世 音 菩 薩 一 片 大 悲 心 現 出 千 手 眼 在 娑 婆 險 
