T51n2072_001:0126b24	往生集序	往 生 集 序 
T51n2072_001:0130c23	文殊告曰。諸修行門無如念佛。我以念佛得	文 殊 告 曰 諸 修 行 門 無 如 念 佛 我 以 念 佛 得 
T51n2072_001:0130c24	一切種智。又問當云何念。曰此世界西。有阿	一切種智 又 問 當 云 何 念 曰 此 世 界 西 有 阿 
T51n2072_001:0130c25	彌陀佛。彼佛願力。不可思議。汝當繼念毋令	彌 陀 佛 彼 佛 願 力 不可思議 汝 當 繼 念 毋 令 
T51n2072_001:0130c26	斷絕。決定往生。後臘月朔。在華嚴院淨業道	斷 絕 決 定 往 生 後 臘 月 朔 在 華 嚴 院 淨 業 道 
T51n2072_001:0130c27	場。方憶二大士記我往生。乃一心念佛。忽見	場 方 憶 二 大 士 記 我 往 生 乃 一 心 念 佛 忽 見 
T51n2072_001:0130c28	梵僧佛陀波利。謂曰。汝華臺已就。後三年華	梵 僧 佛 陀 波 利 謂 曰 汝 華 臺 已 就 後 三 年 華 
T51n2072_001:0130c29	開矣。至期謂眾曰。吾行矣。端坐而逝。師甞於	開 矣 至 期 謂 眾 曰 吾 行 矣 端 坐 而 逝 師 甞 於 
T51n2072_001:0131a01	湖東寺。開五會念佛。感祥雲寶閣。覩阿彌陀	湖 東 寺 開 五 會 念 佛 感 祥 雲 寶 閣 覩 阿 彌 陀 
T51n2072_001:0131a02	佛及二菩薩身滿虛空。又於并州五會念佛。	佛 及 二 菩 薩 身 滿 虛 空 又 於 并 州 五 會 念 佛 
T51n2072_001:0131a03	感代宗皇帝宮中聞念佛聲。遣使追尋。乃見	感 代 宗 皇 帝 宮 中 聞 念 佛 聲 遣 使 追 尋 乃 見 
T51n2072_001:0131a04	師勸化之盛。遂詔入京。教宮人念佛亦及五	師 勸 化 之 盛 遂 詔 入 京 教 宮 人 念 佛 亦 及 五 
T51n2072_001:0131a05	會。號五會法師。	會 號 五 會 法 師 
T51n2072_001:0131a06	贊曰。感夢於前。覩境於後。其可信明矣。然則	贊 曰 感 夢 於 前 覩 境 於 後 其 可 信 明 矣 然 則 
T51n2072_001:0131a07	諸修行門。無如念佛。文殊口授也。顧不足信	諸 修 行 門 無 如 念 佛 文 殊 口 授 也 顧 不 足 信 
T51n2072_001:0131a08	歟。三載之前。花臺預就。所謂信心纔起。蓮蕋	歟 三 載 之 前 花 臺 預 就 所 謂 信 心 纔 起 蓮 蕋 
T51n2072_001:0131a09	標名。隨其勤惰而或鮮或萎。又不足信歟。噫	標 名 隨 其 勤 惰 而 或 鮮 或 萎 又 不 足 信 歟 噫 
T51n2072_001:0131a10	冥現靈蹤。預符聖記。化行五會。音徹九重。豈	冥 現 靈 蹤 預 符 聖 記 化 行 五 會 音 徹 九 重 豈 
T51n2072_001:0131a11	非乘悲願而生者哉。	非 乘 悲 願 而 生 者 哉 
T51n2072_001:0131a12	臺岩康法師	臺 岩 康 法 師 
T51n2072_001:0131a13	唐少康。縉雲仙都人。十五通法華楞嚴。貞元	唐 少 康 縉 雲 仙 都 人 十 五 通 法 華 楞 嚴 貞 元 
T51n2072_001:0131a14	中因詣洛陽白馬寺。見殿中文字放光。探之	中 因 詣 洛 陽 白 馬 寺 見 殿 中 文 字 放 光 探 之 
T51n2072_001:0131a15	則善導和尚。西方化導文也。師祝曰。若於淨	則 善 導 和 尚 西 方 化 導 文 也 師 祝 曰 若 於 淨 
T51n2072_001:0131a16	土有緣。當更放光。言已光明閃爍。師曰。劫石	土 有 緣 當 更 放 光 言 已 光 明 閃 爍 師 曰 劫 石 
T51n2072_001:0131a17	可磨。我願無易矣。遂至長安光明寺善導和	可 磨 我 願 無 易 矣 遂 至 長 安 光 明 寺 善 導 和 
T51n2072_001:0131a18	尚影堂。瞻禮忽見遺像。升空謂曰。汝依吾教	尚 影 堂 瞻 禮 忽 見 遺 像 升 空 謂 曰 汝 依 吾 教 
T51n2072_001:0131a19	廣化有情。他日功成。必生安養。乃適新定。	廣 化 有 情 他 日 功 成 必 生 安 養 乃 適 新 定 
T51n2072_001:0131a20	乞錢誘小兒念佛。念佛一聲與錢一文年餘。	乞 錢 誘 小 兒 念 佛 念 佛 一 聲 與 錢 一 文 年 餘 
T51n2072_001:0131a21	無少長貴賤。見師者皆稱阿彌陀佛。念佛之	無 少 長 貴 賤 見 師 者 皆 稱 阿 彌 陀 佛 念 佛 之 
T51n2072_001:0131a22	聲盈滿道路。又於烏龍山建淨土道場。每升	聲 盈 滿 道 路 又 於 烏 龍 山 建 淨 土 道 場 每 升 
T51n2072_001:0131a23	座高聲唱佛。眾見一佛從其口出。十聲則有	座 高 聲 唱 佛 眾 見 一 佛 從 其 口 出 十 聲 則 有 
T51n2072_001:0131a24	十佛。師曰。汝見佛者必得往生。時眾數千。有	十 佛 師 曰 汝 見 佛 者 必 得 往 生 時 眾 數 千 有 
T51n2072_001:0131a25	不見者。悲傷自責。因倍精進。後二十一年十	不 見 者 悲 傷 自 責 因 倍 精 進 後 二 十 一 年 十 
T51n2072_001:0131a26	月三日。囑道俗曰。當於淨土起欣樂心。於閻	月 三 日 囑 道 俗 曰 當 於 淨 土 起 欣 樂 心 於 閻 
T51n2072_001:0131a27	浮提起厭離心。汝曹此時。見我光明。真我弟	浮 提 起 厭 離 心 汝 曹 此 時 見 我 光 明 真 我 弟 
T51n2072_001:0131a28	子。遂放異光數道而逝。塔於臺子岩。號臺岩	子 遂 放 異 光 數 道 而 逝 塔 於 臺 子 岩 號 臺 岩 
T51n2072_001:0131a29	法師。	法 師 
T51n2072_001:0131b01	贊曰。或疑佛從口出。似涉怪異。噫世尊逢醉	贊 曰 或 疑 佛 從 口 出 似 涉 怪 異 噫 世 尊 逢 醉 
T51n2072_001:0131b02	象時。手五指端。出金光獅子。其言曰。我何有	象 時 手 五 指 端 出 金 光 獅 子 其 言 曰 我 何 有 
T51n2072_001:0131b03	心於禦象哉。以我無量劫來。修慈忍力。自然	心 於 禦 象 哉 以 我 無 量 劫 來 修 慈 忍 力 自 然 
T51n2072_001:0131b04	而有獅子現焉。我亦不知也。今康公現佛。亦	而 有 獅 子 現 焉 我 亦 不 知 也 今 康 公 現 佛 亦 
T51n2072_001:0131b05	無量劫來。歸敬之所致耳。何怪之有。世有魔	無 量 劫 來 歸 敬 之 所 致 耳 何 怪 之 有 世 有 魔 
T51n2072_001:0131b06	師。教人黑夜習坐。於香烟上注觀佛現。以為	師 教 人 黑 夜 習 坐 於 香 烟 上 注 觀 佛 現 以 為 
T51n2072_001:0131b07	感應。較此邪正實霄壤焉。修淨業者。不可不	感 應 較 此 邪 正 實 霄 壤 焉 修 淨 業 者 不 可 不 
T51n2072_001:0131b08	辯。	辯 
T51n2072_001:0131b09	自覺	自 覺 
T51n2072_001:0131b10	唐自覺。住真州。常發願。願因觀音。得見阿彌	唐 自 覺 住 真 州 常 發 願 願 因 觀 音 得 見 阿 彌 
T51n2072_001:0131b11	陀佛。於是鑄觀音像。高四十九尺。既成祝願。	陀 佛 於 是 鑄 觀 音 像 高 四 十 九 尺 既 成 祝 願 
T51n2072_001:0131b12	夜三更。忽有金光二道。阿彌陀佛。自光中而	夜 三 更 忽 有 金 光 二 道 阿 彌 陀 佛 自 光 中 而 
T51n2072_001:0131b13	下。二大士左右隨之。佛垂手摩覺頂曰。守願	下 二 大 士 左 右 隨 之 佛 垂 手 摩 覺 頂 曰 守 願 
T51n2072_001:0131b14	勿易。利物為先。寶池生處。孰不如願。後十一	勿 易 利 物 為 先 寶 池 生 處 孰 不 如 願 後 十 一 
T51n2072_001:0131b15	年七月望夕。見一人形似天王。雲間現身。謂	年 七 月 望 夕 見 一 人 形 似 天 王 雲 間 現 身 謂 
T51n2072_001:0131b16	覺曰。安養之期至矣。即於觀音像前。趺坐而	覺 曰 安 養 之 期 至 矣 即 於 觀 音 像 前 趺 坐 而 
T51n2072_001:0131b17	化。	化 
T51n2072_001:0131b18	善胄	善 胄 
T51n2072_001:0131b19	唐善胄。瀛州人。武德三年病革。謂門人曰。吾	唐 善 胄 瀛 州 人 武 德 三 年 病 革 謂 門 人 曰 吾 
T51n2072_001:0131b20	一生正信。不慮淨土不生。即令拂拭房宇燒	一 生 正 信 不 慮 淨 土 不 生 即 令 拂 拭 房 宇 燒 
T51n2072_001:0131b21	香嚴待。病久委臥。忽起坐合掌。語侍人曰。安	香 嚴 待 病 久 委 臥 忽 起 坐 合 掌 語 侍 人 曰 安 
T51n2072_001:0131b22	置世尊令坐。又自陳懺悔。良久曰。世尊去	置 世 尊 令 坐 又 自 陳 懺 悔 良 久 曰 世 尊 去 
T51n2072_001:0131b23	矣。低身似送因臥曰。向者阿彌陀佛來。汝等	矣 低 身 似 送 因 臥 曰 向 者 阿 彌 陀 佛 來 汝 等 
T51n2072_001:0131b24	還見否。不久吾當去耳。少頃而逝。	還 見 否 不 久 吾 當 去 耳 少 頃 而 逝 
T51n2072_001:0131b25	神素	神 素 
T51n2072_001:0131b26	唐神素。安邑鳴條人。講演為業。與道傑齊名。	唐 神 素 安 邑 鳴 條 人 講 演 為 業 與 道 傑 齊 名 
T51n2072_001:0131b27	一生行業。屬想西方。貞觀二年眾請主栖岩。	一 生 行 業 屬 想 西 方 貞 觀 二 年 眾 請 主 栖 岩 
T51n2072_001:0131b28	十七年二月二十三日召大眾與別。趺坐正	十 七 年 二 月 二 十 三 日 召 大 眾 與 別 趺 坐 正 
T51n2072_001:0131b29	容令誦觀音普門品二遍。自稱阿彌陀佛又	容 令 誦 觀 音 普 門 品 二 遍 自 稱 阿 彌 陀 佛 又 
T51n2072_001:0131c01	令一人唱。餘人和中夜端坐儼然而逝。肌肉	令 一 人 唱 餘 人 和 中 夜 端 坐 儼 然 而 逝 肌 肉 
T51n2072_001:0131c02	雖盡骨坐如初。	雖 盡 骨 坐 如 初 
T51n2072_001:0131c03	慧璿	慧 璿 
T51n2072_001:0131c04	唐慧璿。出家襄川。甞弘三輪大經。貞觀二十	唐 慧 璿 出 家 襄 川 甞 弘 三 輪 大 經 貞 觀 二 十 
T51n2072_001:0131c05	三年四月八日。夜見山神告曰。法師房宇不	三 年 四 月 八 日 夜 見 山 神 告 曰 法 師 房 宇 不 
T51n2072_001:0131c06	久當生西方。至七月十四日。講盂蘭盆經竟	久 當 生 西 方 至 七 月 十 四 日 講 盂 蘭 盆 經 竟 
T51n2072_001:0131c07	斂手曰。生受信施今須通散。一毫以上。捨入	斂 手 曰 生 受 信 施 今 須 通 散 一 毫 以 上 捨 入 
T51n2072_001:0131c08	十方窮獨乞人。并諸異道。言已終於法座。	十 方 窮 獨 乞 人 并 諸 異 道 言 已 終 於 法 座 
T51n2072_001:0131c09	贊曰。昔生公說法將竟。眾見麈尾墜地。憑几	贊 曰 昔 生 公 說 法 將 竟 眾 見 麈 尾 墜 地 憑 几 
T51n2072_001:0131c10	而化。如入禪定。璿之事亦類是矣。嗚呼匪平	而 化 如 入 禪 定 璿 之 事 亦 類 是 矣 嗚 呼 匪 平 
T51n2072_001:0131c11	生道力。可勉強於臨時耶。	生 道 力 可 勉 強 於 臨 時 耶 
T51n2072_001:0131c12	懷玉	懷 玉 
T51n2072_001:0131c13	唐懷玉。台州人。布衣一食。常坐不臥。誦彌陀	唐 懷 玉 台 州 人 布 衣 一 食 常坐不臥 誦 彌 陀 
T51n2072_001:0131c14	經三十萬遍。日課佛號五萬聲。天寶元年。見	經 三 十 萬 遍 日 課 佛 號 五 萬 聲 天 寶 元 年 見 
T51n2072_001:0131c15	佛菩薩滿虛空中。一人持銀臺來迎。玉曰。吾	佛 菩 薩 滿 虛 空 中 一 人 持 銀 臺 來 迎 玉 曰 吾 
T51n2072_001:0131c16	一生念佛。誓取金臺。何為不然。聖眾遂隱。玉	一 生 念 佛 誓 取 金 臺 何 為 不 然 聖 眾 遂 隱 玉 
T51n2072_001:0131c17	彌加精進。三七日後。向擎臺者來云。師以精	彌 加 精 進 三 七 日 後 向 擎 臺 者 來 云 師 以 精 
T51n2072_001:0131c18	進得升上品。宜趺坐以俟。三日後異光滿室。	進 得 升 上 品 宜 趺 坐 以 俟 三 日 後 異 光 滿 室 
T51n2072_001:0131c19	曰弟子曰。吾生淨土矣。含笑而逝。郡太守叚	曰 弟 子 曰 吾 生 淨 土 矣 含 笑 而 逝 郡 太 守 叚 
T51n2072_001:0131c20	公。作偈贊曰。我師一念登初地。佛國笙歌兩	公 作 偈 贊 曰 我 師 一 念 登 初 地 佛 國 笙 歌 兩 
T51n2072_001:0131c21	度來。惟有門前古槐樹。枝低只為罣金臺。	度 來 惟 有 門 前 古 槐 樹 枝 低 只 為 罣 金 臺 
T51n2072_001:0131c22	贊曰。或謂銀臺至而復隱。金臺誓而重來。何	贊 曰 或 謂 銀 臺 至 而 復 隱 金 臺 誓 而 重 來 何 
T51n2072_001:0131c23	得果報無憑。由人揀擇。通曰。此正謂萬法由	得 果 報 無 憑 由 人 揀 擇 通 曰 此 正 謂 萬 法 由 
T51n2072_001:0131c24	心隨感而應者也。且火車已現。十念而得往	心 隨 感 而 應 者 也 且 火 車 已 現 十 念 而 得 往 
T51n2072_001:0131c25	生。天眾來迎。矢心而歸淨土。善惡聖凡之相。	生 天 眾 來 迎 矢 心 而 歸 淨 土 善 惡 聖 凡 之 相 
T51n2072_001:0131c26	隔尚可轉業須臾。況金銀幾希間耶。	隔 尚 可 轉 業 須 臾 況 金 銀 幾 希 間 耶 
T51n2072_001:0131c27	道昂	道 昂 
T51n2072_001:0131c28	唐道昂。魏郡人。師靈裕法師。常於寒陵山寺。	唐 道 昂 魏 郡 人 師 靈 裕 法 師 常 於 寒 陵 山 寺 
T51n2072_001:0131c29	講華嚴地論。稽洽博詣。志結西方。願生安養	講 華 嚴 地 論 稽 洽 博 詣 志 結 西 方 願 生 安 養 
T51n2072_001:0132a01	後自知命極。預期八月。人未之測也。至八月	後 自 知 命 極 預 期 八 月 人 未 之 測 也 至 八 月 
T51n2072_001:0132a02	朔日無所患。問齋時至未。即昇高座。身含奇	朔 日 無 所 患 問 齋 時 至 未 即 昇 高 座 身 含 奇 
T51n2072_001:0132a03	相。爐患異香。引四眾受菩薩戒。詞理切至。	相 爐 患 異 香 引 四 眾 受 菩 薩 戒 詞 理 切 至 
T51n2072_001:0132a04	聽者寒心。昂舉目高視。見天眾繽紛。管絃嘹	聽 者 寒 心 昂 舉 目 高 視 見 天 眾 繽 紛 管 絃 嘹 
T51n2072_001:0132a05	喨。告眾曰。兜率陀天迎我。然天道乃生死根	喨 告 眾 曰 兜 率 陀 天 迎 我 然 天 道 乃 生 死 根 
T51n2072_001:0132a06	本。由來非願常祈心淨土。如何此誠不果遂	本 由 來 非 願 常 祈 心 淨 土 如 何 此 誠 不 果 遂 
T51n2072_001:0132a07	耶。言訖天樂還滅。便見西方香花伎樂。充塞	耶 言 訖 天 樂 還 滅 便 見 西 方 香 花 伎 樂 充 塞 
T51n2072_001:0132a08	如雲。飛湧而來旋環頂上。舉眾皆見。昂曰。今	如 雲 飛 湧 而 來 旋 環 頂 上 舉 眾 皆 見 昂 曰 今 
T51n2072_001:0132a09	西方靈相來迎事須願往。但見香爐墜手。即	西 方 靈 相 來 迎 事 須 願 往 但 見 香 爐 墜 手 即 
T51n2072_001:0132a10	於高座而逝。足下有普光堂等字。遐邇驚嘆。	於 高 座 而 逝 足 下 有 普 光 堂 等 字 遐 邇 驚 嘆 
T51n2072_001:0132a11	贊曰。却天宮而求淨土。前有光公。後有洪公	贊 曰 却 天 宮 而 求 淨 土 前 有 光 公 後 有 洪 公 
T51n2072_001:0132a12	及昂。蓋三人焉而時逼須臾。猶能導四眾以	及 昂 蓋 三 人 焉 而 時 逼 須 臾 猶 能 導 四 眾 以 
T51n2072_001:0132a13	毘尼。據高座而歸寂。靈相紛然駭人心目。嗚	毘 尼 據 高 座 而 歸 寂 靈 相 紛 然 駭 人 心 目 嗚 
T51n2072_001:0132a14	呼異哉。	呼 異 哉 
T51n2072_001:0132a15	道綽	道 綽 
T51n2072_001:0132a16	唐道綽。并州汶水人。十四出家。習經論。晚事	唐 道 綽 并 州 汶 水 人 十 四 出 家 習 經 論 晚 事 
T51n2072_001:0132a17	瓚禪師學禪。又篤志神鸞淨土之業。有僧定	瓚 禪 師 學 禪 又 篤 志 神 鸞 淨 土 之 業 有 僧 定 
T51n2072_001:0132a18	中。見綽數珠如七寶大山。平居為眾講無量	中 見 綽 數 珠 如 七 寶 大 山 平 居 為 眾 講 無 量 
T51n2072_001:0132a19	壽觀經。將二百遍。人各掐珠。口稱佛號。或時	壽 觀 經 將 二 百 遍 人 各 掐 珠 口 稱 佛 號 或 時 
T51n2072_001:0132a20	散席。嚮彌林谷。六時禮敬。初不廢缺。念佛日	散 席 嚮 彌 林 谷 六 時 禮 敬 初 不 廢 缺 念 佛 日 
T51n2072_001:0132a21	以七萬為限。貞觀二年四月八日歸寂。聞而	以 七 萬 為 限 貞 觀 二 年 四 月 八 日 歸 寂 聞 而 
T51n2072_001:0132a22	赴者。滿於山寺。見化佛住空。天花下散焉。	赴 者 滿 於 山 寺 見 化 佛 住 空 天 花 下 散 焉 
T51n2072_001:0132a23	寶相	寶 相 
T51n2072_001:0132a24	唐寶相。雍州長安人。十九出家。頭陀自靜。六	唐 寶 相 雍 州 長 安 人 十 九 出 家 頭 陀 自 靜 六 
T51n2072_001:0132a25	時禮懺。垂四十年。夜分誦彌陀經七遍。念	時 禮 懺 垂 四 十 年 夜 分 誦 彌 陀 經 七 遍 念 
T51n2072_001:0132a26	佛六萬聲。病既革。誦念不捨。囑道俗曰。念佛	佛 六 萬 聲 病 既 革 誦 念 不 捨 囑 道 俗 曰 念 佛 
T51n2072_001:0132a27	為先。勿虛度世。當於西方相待。又曰。燒散吾	為 先 勿 虛 度 世 當 於 西 方 相 待 又 曰 燒 散 吾 
T51n2072_001:0132a28	尸。不勞銘塔。言訖而逝。	尸 不 勞 銘 塔 言 訖 而 逝 
T51n2072_001:0132a29	贊曰。玉念佛日。記五萬綽七萬。相今六萬。三	贊 曰 玉 念 佛 日 記 五 萬 綽 七 萬 相 今 六 萬 三 
T51n2072_001:0132b01	老者皆高僧。而日課有常數。今人忽之曰。此	老 者 皆 高 僧 而 日 課 有 常 數 今 人 忽 之 曰 此 
T51n2072_001:0132b02	愚夫婦所作也。獨何歟。	愚 夫 婦 所 作 也 獨 何 歟 
T51n2072_001:0132b03	惟岸	惟 岸 
T51n2072_001:0132b04	唐惟岸。并州人。約淨土為真歸之地。行方等	唐 惟 岸 并 州 人 約 淨 土 為 真 歸 之 地 行 方 等 
T51n2072_001:0132b05	懺。服勤無缺微疾。見觀音勢至二菩薩現於	懺 服 勤 無 缺 微 疾 見 觀 音 勢 至 二 菩 薩 現 於 
T51n2072_001:0132b06	空中。岸召畫工。無能畫者。忽有二人。自言能	空 中 岸 召 畫 工 無 能 畫 者 忽 有 二 人 自 言 能 
T51n2072_001:0132b07	畫。畫畢不見。岸乃告諸弟子曰。吾今往生。誰	畫 畫 畢 不 見 岸 乃 告 諸 弟 子 曰 吾 今 往 生 誰 
T51n2072_001:0132b08	偕行者。有童子願往。岸令辭父母。父母謂為	偕 行 者 有 童 子 願 往 岸 令 辭 父 母 父 母 謂 為 
T51n2072_001:0132b09	戲言未信也。頃之沐浴更衣。入道場念佛而	戲 言 未 信 也 頃 之 沐 浴 更 衣 入 道 場 念 佛 而 
T51n2072_001:0132b10	化。岸撫其背曰。小子何得先吾行耶。因索筆	化 岸 撫 其 背 曰 小 子 何 得 先 吾 行 耶 因 索 筆 
T51n2072_001:0132b11	讚二菩薩。有願以慈悲手。提獎共西行之句。	讚 二 菩 薩 有 願 以 慈 悲 手 提 獎 共 西 行 之 句 
T51n2072_001:0132b12	讚畢長逝。	讚 畢 長 逝 
T51n2072_001:0132b13	贊曰。岸之事無惑矣。彼童子非久積淨業。胡	贊 曰 岸 之 事 無 惑 矣 彼 童 子 非 久 積 淨 業 胡 
T51n2072_001:0132b14	脫化之神異噫。爾不見十念成功乎。不然則	脫 化 之 神 異 噫 爾 不 見 十 念 成 功 乎 不 然 則 
T51n2072_001:0132b15	宿世善根熟耳。修淨業者。或今身不克往生。	宿 世 善 根 熟 耳 修 淨 業 者 或 今 身 不 克 往 生 
T51n2072_001:0132b16	觀此可以自慰。	觀 此 可 以 自 慰 
T51n2072_001:0132b17	僧衒	僧 衒 
T51n2072_001:0132b18	唐僧衒。并州人。初念慈氏。期上生內院。年九	唐 僧 衒 并 州 人 初 念 慈 氏 期 上 生 內 院 年 九 
T51n2072_001:0132b19	十遇道綽禪師。得聞淨土。始迴心念佛。日禮	十 遇 道 綽 禪 師 得 聞 淨 土 始 迴 心 念 佛 日 禮 
T51n2072_001:0132b20	千拜。一心無怠。後有疾。告弟子曰。阿彌陀佛	千 拜 一 心 無 怠 後 有 疾 告 弟 子 曰 阿 彌 陀 佛 
T51n2072_001:0132b21	授我香衣。觀音勢至示我寶手。吾其行矣。言	授 我 香 衣 觀 音 勢 至 示 我 寶 手 吾 其 行 矣 言 
T51n2072_001:0132b22	訖而逝。七日異香不散。時有啟芳圓果二法	訖 而 逝 七 日 異 香 不 散 時 有 啟 芳 圓 果 二 法 
T51n2072_001:0132b23	師。目擊斯事。乃於悟真寺。共折楊枝於觀音	師 目 擊 斯 事 乃 於 悟 真 寺 共 折 楊 枝 於 觀 音 
T51n2072_001:0132b24	手中。誓曰。若於淨土有緣。當七日不萎。至期	手 中 誓 曰 若 於 淨 土 有 緣 當 七 日 不 萎 至 期 
T51n2072_001:0132b25	益茂。芳果慶忭。晝夜觀念不捨。忽覺臨七寶	益 茂 芳 果 慶 忭 晝 夜 觀 念 不 捨 忽 覺 臨 七 寶 
T51n2072_001:0132b26	池。入大寶帳。見佛及二大士。坐寶華臺光明	池 入 大 寶 帳 見 佛 及 二 大 士 坐 寶 華 臺 光 明 
T51n2072_001:0132b27	輝映。芳果作禮。佛云。念我名者皆生我國。又	輝 映 芳 果 作 禮 佛 云 念 我 名 者 皆 生 我 國 又 
T51n2072_001:0132b28	聞釋迦世尊。與文殊菩薩以梵音聲。稱讚淨	聞 釋 迦 世 尊 與 文 殊 菩 薩 以 梵 音 聲 稱 讚 淨 
T51n2072_001:0132b29	土。復見三道寶階。其一白衣。其二道俗相半。	土 復 見 三 道 寶 階 其 一 白 衣 其 二 道 俗 相 半 
T51n2072_001:0132c01	其三唯僧也。云皆至心念佛者。得生此土耳。	其 三 唯 僧 也 云 皆 至 心 念 佛 者 得 生 此 土 耳 
T51n2072_001:0132c02	後五日。忽聞鍾聲曰。鍾聲我輩事也。俱時化	後 五 日 忽 聞 鍾 聲 曰 鍾 聲 我 輩 事 也 俱 時 化 
T51n2072_001:0132c03	去。	去 
T51n2072_001:0132c04	贊曰。耄耋之年。始修淨業。而尚得往生。少壯	贊 曰 耄 耋 之 年 始 修 淨 業 而 尚 得 往 生 少 壯 
T51n2072_001:0132c05	可知矣。彼芳果聞風興起。終獲靈應。見賢思	可 知 矣 彼 芳 果 聞 風 興 起 終 獲 靈 應 見 賢 思 
T51n2072_001:0132c06	齊。其此之謂乎。	齊 其 此 之 謂 乎 
T51n2072_001:0132c07	懷感	懷 感 
T51n2072_001:0132c08	唐懷感。居長安千福寺。入念佛道場。三七日	唐 懷 感 居 長 安 千 福 寺 入 念 佛 道 場 三 七 日 
T51n2072_001:0132c09	不覩靈瑞。自恨障深。欲絕食畢命。善導大師	不 覩 靈 瑞 自 恨 障 深 欲 絕 食 畢 命 善 導 大 師 
T51n2072_001:0132c10	不許。勸令精虔三載感如所教。後見佛金色	不 許 勸 令 精 虔 三 載 感 如 所 教 後 見 佛 金 色 
T51n2072_001:0132c11	玉毫。得念佛三昧。製決疑論七卷。臨終合掌	玉 毫 得 念佛三昧 製 決 疑 論 七 卷 臨 終 合 掌 
T51n2072_001:0132c12	云。佛來迎我。遂卒。	云 佛 來 迎 我 遂 卒 
T51n2072_001:0132c13	贊曰。諺有之。惟貴功深。杵可作針。吾於感有	贊 曰 諺 有 之 惟 貴 功 深 杵 可 作 針 吾 於 感 有 
T51n2072_001:0132c14	徵矣。畫地自限者思之。	徵 矣 畫 地 自 限 者 思 之 
T51n2072_001:0132c15	德美	德 美 
T51n2072_001:0132c16	唐德美法師。於會昌寺西院。造懺堂行般舟	唐 德 美 法 師 於 會 昌 寺 西 院 造 懺 堂 行 般 舟 
T51n2072_001:0132c17	三昧。終夏不坐臥。或止口過三年不言。或行	三 昧 終 夏 不 坐 臥 或 止 口 過 三 年 不 言 或 行 
T51n2072_001:0132c18	不輕。七眾通禮節衣減食。斷絕世想。專念西	不 輕 七 眾 通 禮 節 衣 減 食 斷 絕 世 想 專 念 西 
T51n2072_001:0132c19	方。口誦彌陀。終其身不輟。後一時入室稱佛。	方 口 誦 彌 陀 終 其 身 不 輟 後 一 時 入 室 稱 佛 
T51n2072_001:0132c20	倏然而化。	倏 然 而 化 
T51n2072_001:0132c21	贊曰。斷絕世想則染緣盡。專念西方則淨緣	贊 曰 斷 絕 世 想 則 染 緣 盡 專 念 西 方 則 淨 緣 
T51n2072_001:0132c22	成。先民有言。愛不重不生娑婆。念不一不生	成 先 民 有 言 愛 不 重 不 生 娑 婆 念 不 一 不 生 
T51n2072_001:0132c23	淨土誠哉言乎。	淨 土 誠 哉 言 乎 
T51n2072_001:0132c24	辯才	辯 才 
T51n2072_001:0132c25	唐辯才。襄陽人。潛修淨土二十年。未甞自稱。	唐 辯 才 襄 陽 人 潛 修 淨 土 二 十 年 未 甞 自 稱 
T51n2072_001:0132c26	獨與護戎任公善。謂之曰。才必生淨土。期在	獨 與 護 戎 任 公 善 謂 之 曰 才 必 生 淨 土 期 在 
T51n2072_001:0132c27	十年。一日令弟子報任公曰。向所期已。及任	十 年 一 日 令 弟 子 報 任 公 曰 向 所 期 已 及 任 
T51n2072_001:0132c28	公至。才曰。吾去矣。趺坐而化。眾聞仙樂西	公 至 才 曰 吾 去 矣 趺 坐 而 化 眾 聞 仙 樂 西 
T51n2072_001:0132c29	來。異香散漫。	來 異 香 散 漫 
T51n2072_001:0133a01	壽洪	壽 洪 
T51n2072_001:0133a02	唐壽洪。汾陽人。常念佛。虔求淨土將亡。見兜	唐 壽 洪 汾 陽 人 常 念 佛 虔 求 淨 土 將 亡 見 兜 
T51n2072_001:0133a03	率天童子來迎。洪曰。我期西往。不生天上。即	率 天 童 子 來 迎 洪 曰 我 期 西 往 不 生 天 上 即 
T51n2072_001:0133a04	令眾念佛。遽云。佛從西來。言訖而化。	令 眾 念 佛 遽 云 佛 從 西 來 言 訖 而 化 
T51n2072_001:0133a05	法祥	法 祥 
T51n2072_001:0133a06	唐法祥。住楊都大興國寺。三十年修安養之	唐 法 祥 住 楊 都 大 興 國 寺 三 十 年 修 安 養 之 
T51n2072_001:0133a07	業。凡有饒益。必用迴向。因疾弟子。聞祥稱佛	業 凡 有 饒 益 必 用 迴 向 因 疾 弟 子 聞 祥 稱 佛 
T51n2072_001:0133a08	聲甚厲。又見房西壁有光若鏡。現淨土相頻	聲 甚 厲 又 見 房 西 壁 有 光 若 鏡 現 淨 土 相 頻 
T51n2072_001:0133a09	伽鼓翼。乃倏然而化。	伽 鼓 翼 乃 倏 然 而 化 
T51n2072_001:0133a10	贊曰。祥見頻伽。前智舜見鸚鵡孔雀。不見佛	贊 曰 祥 見 頻 伽 前 智 舜 見 鸚 鵡 孔 雀 不 見 佛 
T51n2072_001:0133a11	而見眾鳥何耶。經云。是諸眾鳥。皆阿彌陀佛	而 見 眾 鳥 何 耶 經 云 是 諸 眾 鳥 皆 阿 彌 陀 佛 
T51n2072_001:0133a12	變化所作。故知。正報依報。俱淨土相也。幸無	變 化 所 作 故 知 正 報 依 報 俱 淨 土 相 也 幸 無 
T51n2072_001:0133a13	疑焉。	疑 焉 
