T45n1858_001:0150a22	肇論序	肇 論 序 
T45n1858_001:0152b08	非色敗空。」以明夫聖人之於物也，即萬物之	非 色 敗 空 以 明 夫 聖 人 之 於 物 也 即 萬 物 之 
T45n1858_001:0152b09	自虛，豈待宰割以求通哉！是以寢疾有不	自 虛 豈 待 宰 割 以 求 通 哉 是 以 寢 疾 有 不 
T45n1858_001:0152b10	真之談，超日有即虛之稱；然則三藏殊文，統	真 之 談 超 日 有 即 虛 之 稱 然 則 三 藏 殊 文 統 
T45n1858_001:0152b11	之者一也。故《放光》云：「第一真諦，無成無得；世	之 者 一 也 故 放 光 云 第 一 真 諦 無 成 無 得 世 
T45n1858_001:0152b12	俗諦故，便有成有得。」夫有得即是無得之偽	俗 諦 故 便 有 成 有 得 夫 有 得 即 是 無 得 之 偽 
T45n1858_001:0152b13	號，無得即是有得之真名。真名故，雖真而非	號 無 得 即 是 有 得 之 真 名 真 名 故 雖 真 而 非 
T45n1858_001:0152b14	有；偽號故，雖偽而非無。是以言真未嘗有，言	有 偽 號 故 雖 偽 而 非 無 是 以 言 真 未 嘗 有 言 
T45n1858_001:0152b15	偽未嘗無。二言未始一，二理未始殊。故經云：	偽 未 嘗 無 二 言 未 始 一 二 理 未 始 殊 故 經 云 
T45n1858_001:0152b16	「真諦、俗諦謂有異耶？答曰：無異也。」此經直辯	 真 諦 俗 諦 謂 有 異 耶 答 曰 無 異 也 此 經 直 辯 
T45n1858_001:0152b17	真諦以明非有，俗諦以明非無；豈以諦二而	真 諦 以 明 非 有 俗 諦 以 明 非 無 豈 以 諦 二 而 
T45n1858_001:0152b18	二於物哉？然則萬物果有其所以不有，有其	二 於 物 哉 然 則 萬 物 果 有 其 所 以 不 有 有 其 
T45n1858_001:0152b19	所以不無。有其所以不有，故雖有而非有；有	所 以 不 無 有 其 所 以 不 有 故 雖 有 而 非 有 有 
T45n1858_001:0152b20	其所以不無，故雖無而非無。雖無而非無，無	其 所 以 不 無 故 雖 無 而 非 無 雖 無 而 非 無 無 
T45n1858_001:0152b21	者不絕虛；雖有而非有，有者非真有。若有	者 不 絕 虛 雖 有 而 非 有 有 者 非 真 有 若 有 
T45n1858_001:0152b22	不即真，無不夷跡，然則有無稱異，其致一也。	不 即 真 無 不 夷 跡 然 則 有 無 稱 異 其 致 一 也 
T45n1858_001:0152b23	故童子歎曰：「說法不有亦不無，以因緣故諸	故 童 子 歎 曰 說 法 不 有 亦 不 無 以 因 緣 故 諸 
T45n1858_001:0152b24	法生。」《瓔珞經》云：「轉法輪者，亦非有轉，亦非無	法 生 瓔 珞 經 云 轉 法 輪 者 亦 非 有 轉 亦 非 無 
T45n1858_001:0152b25	轉，是謂轉無所轉。」此乃眾經之微言也。何者？	轉 是 謂 轉 無 所 轉 此 乃 眾 經 之 微 言 也 何 者 
T45n1858_001:0152b26	謂物無耶，則邪見非惑；謂物有耶，則常見	謂 物 無 耶 則 邪 見 非 惑 謂 物 有 耶 則 常 見 
T45n1858_001:0152b27	為得。以物非無，故邪見為惑；以物非有，故常	為 得 以 物 非 無 故 邪 見 為 惑 以 物 非 有 故 常 
T45n1858_001:0152b28	見不得。然則非有非無者，信真諦之談也。故	見 不 得 然 則 非有非無 者 信 真 諦 之 談 也 故 
T45n1858_001:0152b29	《道行》云：「心亦不有亦不無。」《中觀》云：「物從因緣	 道 行 云 心 亦 不 有 亦 不 無 中 觀 云 物 從 因 緣 
T45n1858_001:0152c01	故不有，緣起故不無。」尋理，即其然矣。所以然	故 不 有 緣 起 故 不 無 尋 理 即 其 然 矣 所 以 然 
T45n1858_001:0152c02	者，夫有若真有，有自常有，豈待緣而後有哉？	者 夫 有 若 真 有 有 自 常 有 豈 待 緣 而 後 有 哉 
T45n1858_001:0152c03	譬彼真無，無自常無，豈待緣而後無也！若	譬 彼 真 無 無 自 常 無 豈 待 緣 而 後 無 也 若 
T45n1858_001:0152c04	有不自有，待緣而後有者，故知有非真有。有	有 不 自 有 待 緣 而 後 有 者 故 知 有 非 真 有 有 
T45n1858_001:0152c05	非真有，雖有，不可謂之有矣。不無者，夫無則	非 真 有 雖 有 不 可 謂 之 有 矣 不 無 者 夫 無 則 
T45n1858_001:0152c06	湛然不動，可謂之無。萬物若無，則不應起；起	湛然不動 可 謂 之 無 萬 物 若 無 則 不 應 起 起 
T45n1858_001:0152c07	則非無。以明緣起故不無也。故《摩訶衍論》	則 非 無 以 明 緣 起 故 不 無 也 故 摩 訶 衍 論 
T45n1858_001:0152c08	云：「一切諸法，一切因緣故應有；一切諸法，一	云 一切諸法 一切因緣 故 應 有 一切諸法 一 
T45n1858_001:0152c09	切因緣故不應有。一切無法，一切因緣故應	切 因 緣 故 不 應 有 一 切 無 法 一切因緣 故 應 
T45n1858_001:0152c10	有；一切有法，一切因緣故不應有。」尋此有無	有 一 切 有 法 一切因緣 故 不 應 有 尋 此 有 無 
T45n1858_001:0152c11	之言，豈直反論而已哉！若應有，即是有，不應	之 言 豈 直 反 論 而 已 哉 若 應 有 即 是 有 不 應 
T45n1858_001:0152c12	言無；若應無，即是無，不應言有。言有，是為	言 無 若 應 無 即 是 無 不 應 言 有 言 有 是 為 
T45n1858_001:0152c13	假有，以明非無。借無，以辨非有。此事一稱	假 有 以 明 非 無 借 無 以 辨 非 有 此 事 一 稱 
T45n1858_001:0152c14	二，其文有似不同。苟領其所同，則無異而不	二 其 文 有 似 不 同 苟 領 其 所 同 則 無 異 而 不 
T45n1858_001:0152c15	同。然則萬法，果有其所以不有不可得而有；	同 然 則 萬 法 果 有 其 所 以 不 有 不 可 得 而 有 
T45n1858_001:0152c16	有其所以不無不可得而無。何則？欲言其有，	有 其 所 以 不 無 不 可 得 而 無 何 則 欲 言 其 有 
T45n1858_001:0152c17	有非真生；欲言其無；事象既形。象形，不即無；	有 非 真 生 欲 言 其 無 事 象 既 形 象 形 不 即 無 
T45n1858_001:0152c18	非真，非實有。然則不真空義，顯於茲矣！故《放	非 真 非 實 有 然 則 不 真 空 義 顯 於 茲 矣 故 放 
T45n1858_001:0152c19	光》云：「諸法假號不真，譬如幻化人。非無幻化	光 云 諸 法 假 號 不 真 譬 如 幻 化 人 非 無 幻 化 
T45n1858_001:0152c20	人，幻化人非真人也。」夫以名求物，物無當名	人 幻 化 人 非 真 人 也 夫 以 名 求 物 物 無 當 名 
T45n1858_001:0152c21	之實；以物求名，名無得物之功。物無當名之	之 實 以 物 求 名 名 無 得 物 之 功 物 無 當 名 之 
T45n1858_001:0152c22	實，非物也；名無得物之功，非名也。是以名不	實 非 物 也 名 無 得 物 之 功 非 名 也 是 以 名 不 
T45n1858_001:0152c23	當實，實不當名。名實無當，萬物安在？故《中觀》	當 實 實 不 當 名 名 實 無 當 萬 物 安 在 故 中 觀 
T45n1858_001:0152c24	云：「物無彼此。」而人以此為此，以彼為彼。彼亦	云 物 無 彼 此 而 人 以 此 為 此 以 彼 為 彼 彼 亦 
T45n1858_001:0152c25	以此為彼，以彼為此。此、彼莫定乎一名，而惑	以 此 為 彼 以 彼 為 此 此 彼 莫 定 乎 一 名 而 惑 
T45n1858_001:0152c26	者懷必然之志。然則彼此初非有，惑者初非	者 懷 必 然 之 志 然 則 彼 此 初 非 有 惑 者 初 非 
T45n1858_001:0152c27	無，既悟彼此之非有，有何物而可有哉？故	無 既 悟 彼 此 之 非 有 有 何 物 而 可 有 哉 故 
T45n1858_001:0152c28	知萬物非真，假號久矣！是以《成具》立強名之	知 萬 物 非 真 假 號 久 矣 是 以 成 具 立 強 名 之 
T45n1858_001:0152c29	文，園林託指馬之況。如此，則深遠之言，於何	文 園 林 託 指 馬 之 況 如 此 則 深 遠 之 言 於 何 
T45n1858_001:0153a01	而不在！是以聖人乘千化而不變，履萬惑而	而 不 在 是 以 聖 人 乘 千 化 而 不 變 履 萬 惑 而 
T45n1858_001:0153a02	常通者，以其即萬物之自虛，不假虛而虛物	常 通 者 以 其 即 萬 物 之 自 虛 不 假 虛 而 虛 物 
T45n1858_001:0153a03	也。故經云：「甚奇，世尊！不動真際為諸法立處。」	也 故 經 云 甚 奇 世 尊 不 動 真 際 為 諸 法 立 處 
T45n1858_001:0153a04	非離真而立處，立處即真也。然則道遠乎哉？	非 離 真 而 立 處 立 處 即 真 也 然 則 道 遠 乎 哉 
T45n1858_001:0153a05	觸事而真！聖遠乎哉？體之即神！	觸 事 而 真 聖 遠 乎 哉 體 之 即 神 
T45n1858_001:0153a06	不真空論(終)	不 真 空 論 終 
T45n1858_001:0153a07	般若無知論第三	般 若 無 知 論 第 三 
T45n1858_001:0153a08	夫般若虛玄者，蓋是三乘之宗極也。誠真一	夫 般 若 虛 玄 者 蓋 是 三 乘 之 宗 極 也 誠 真 一 
T45n1858_001:0153a09	之無差，然異端之論，紛然久矣。有天竺沙	之 無 差 然 異 端 之 論 紛 然 久 矣 有 天 竺 沙 
T45n1858_001:0153a10	門鳩摩羅什者，少踐大方，研機斯趣。獨拔於	門 鳩 摩 羅 什 者 少 踐 大 方 研 機 斯 趣 獨 拔 於 
T45n1858_001:0153a11	言象之表，妙契於希夷之境；齊異學於迦夷，	言 象 之 表 妙 契 於 希 夷 之 境 齊 異 學 於 迦 夷 
T45n1858_001:0153a12	揚湻風於東扇。將爰燭殊方而匿糴涼土者，	揚 湻 風 於 東 扇 將 爰 燭 殊 方 而 匿 糴 涼 土 者 
T45n1858_001:0153a13	所以道不虛應，應必有由矣。弘始三年，歲次	所 以 道 不 虛 應 應 必 有 由 矣 弘 始 三 年 歲 次 
T45n1858_001:0153a14	星紀，秦乘入國之謀，舉師以來之意也。北天	星 紀 秦 乘 入 國 之 謀 舉 師 以 來 之 意 也 北 天 
T45n1858_001:0153a15	之運，數其然也。大秦天王者，道契百王之端，	之 運 數 其 然 也 大 秦 天 王 者 道 契 百 王 之 端 
T45n1858_001:0153a16	德洽千載之下，游刃萬機，弘道終日，信季俗	德 洽 千 載 之 下 游 刃 萬 機 弘 道 終 日 信 季 俗 
T45n1858_001:0153a17	蒼生之所天，釋迦遺法之所仗也。時乃集義	蒼 生 之 所 天 釋 迦 遺 法 之 所 仗 也 時 乃 集 義 
T45n1858_001:0153a18	學沙門五百餘人於逍遙觀，躬執秦文，與什	學 沙 門 五 百 餘 人 於 逍 遙 觀 躬 執 秦 文 與 什 
T45n1858_001:0153a19	公參定方等。其所開拓者，豈謂當時之益，乃	公 參 定 方 等 其 所 開 拓 者 豈 謂 當 時 之 益 乃 
T45n1858_001:0153a20	累劫之津梁矣。余以短乏，曾廁嘉會，以為上	累 劫 之 津 梁 矣 余 以 短 乏 曾 廁 嘉 會 以 為 上 
T45n1858_001:0153a21	聞異要，始於時也。然則聖智幽微，深隱難測。	聞 異 要 始 於 時 也 然 則 聖 智 幽 微 深 隱 難 測 
T45n1858_001:0153a22	無相無名，乃非言象之所得。為試罔象其懷，	無 相 無 名 乃 非 言 象 之 所 得 為 試 罔 象 其 懷 
T45n1858_001:0153a23	寄之狂言耳，豈曰聖心而可辨哉！試論之曰：	寄 之 狂 言 耳 豈 曰 聖 心 而 可 辨 哉 試 論 之 曰 
T45n1858_001:0153a24	《放光》云：「般若無所有相，無生滅相。」《道行》云：「般	 放 光 云 般 若 無 所 有 相 無生滅相 道 行 云 般 
T45n1858_001:0153a25	若無所知、無所見。」此辨智照之用，而曰無相、	若 無 所 知 無 所 見 此 辨 智 照 之 用 而 曰 無 相 
T45n1858_001:0153a26	無知者，何耶？果有無相之知、不知之照，明矣。	無 知 者 何 耶 果 有 無 相 之 知 不 知 之 照 明 矣 
T45n1858_001:0153a27	何者？夫有所知，則有所不知。以聖心無知，故	何 者 夫 有 所 知 則 有 所 不 知 以 聖 心 無 知 故 
T45n1858_001:0153a28	無所不知。不知之知，乃曰一切知。故經云：「聖	無 所 不 知 不 知 之 知 乃 曰 一 切 知 故 經 云 聖 
T45n1858_001:0153a29	心無所知，無所不知。」信矣！是以聖人虛其心	心 無 所 知 無 所 不 知 信 矣 是 以 聖 人 虛 其 心 
T45n1858_001:0153b01	而實其照，終日知而未嘗知也。故能默耀韜	而 實 其 照 終 日 知 而 未 嘗 知 也 故 能 默 耀 韜 
T45n1858_001:0153b02	光虛心玄鑒，閉智塞聰而獨覺冥冥者矣。然	光 虛 心 玄 鑒 閉 智 塞 聰 而 獨 覺 冥 冥 者 矣 然 
T45n1858_001:0153b03	則智有窮幽之鑒而無知焉，神有應會之用	則 智 有 窮 幽 之 鑒 而 無 知 焉 神 有 應 會 之 用 
T45n1858_001:0153b04	而無慮焉。神無慮，故能獨王於世表；智無	而 無 慮 焉 神 無 慮 故 能 獨 王 於 世 表 智 無 
T45n1858_001:0153b05	知，故能玄照於事外。智雖事外，未始無事；神	知 故 能 玄 照 於 事 外 智 雖 事 外 未 始 無 事 神 
T45n1858_001:0153b06	雖世表，終日域中。所以俯仰順化應接無窮，	雖 世 表 終 日 域 中 所 以 俯 仰 順 化 應 接 無 窮 
T45n1858_001:0153b07	無幽不察而無照功。斯則無知之所知，聖神	無 幽 不 察 而 無 照 功 斯 則 無 知 之 所 知 聖 神 
T45n1858_001:0153b08	之所會也。然其為物也，實而不有、虛而不無。	之 所 會 也 然 其 為 物 也 實 而 不 有 虛 而 不 無 
T45n1858_001:0153b09	存而不可論者，其唯聖智乎。何者？欲言其有，	存 而 不 可 論 者 其 唯 聖 智 乎 何 者 欲 言 其 有 
T45n1858_001:0153b10	無狀無名；欲言其無，聖以之靈。聖以之靈，故	無 狀 無 名 欲 言 其 無 聖 以 之 靈 聖 以 之 靈 故 
T45n1858_001:0153b11	虛不失照；無狀無名，故照不失虛。照不失虛，	虛 不 失 照 無 狀 無 名 故 照 不 失 虛 照 不 失 虛 
T45n1858_001:0153b12	故混而不渝；虛不失照，故動以接麁。是以聖	故 混 而 不 渝 虛 不 失 照 故 動 以 接 麁 是 以 聖 
T45n1858_001:0153b13	智之用，未始暫廢；求之形相，未暫可得。故《寶	智 之 用 未 始 暫 廢 求 之 形 相 未 暫 可 得 故 寶 
T45n1858_001:0153b14	積》曰：「以無心意而現行。」《放光》云：「不動等覺而	積 曰 以 無 心 意 而 現 行 放 光 云 不 動 等 覺 而 
T45n1858_001:0153b15	建立諸法。」所以聖迹萬端，其致一而已矣。是	建 立 諸 法 所 以 聖 迹 萬 端 其 致 一 而 已 矣 是 
T45n1858_001:0153b16	以般若可虛而照，真諦可亡而知，萬動可即	以 般 若 可 虛 而 照 真 諦 可 亡 而 知 萬 動 可 即 
T45n1858_001:0153b17	而靜，聖應可無而為。斯則不知而自知，不為	而 靜 聖 應 可 無 而 為 斯 則 不 知 而 自 知 不 為 
T45n1858_001:0153b18	而自為矣！復何知哉？復何為哉？	而 自 為 矣 復 何 知 哉 復 何 為 哉 
T45n1858_001:0153b19	難曰：夫聖人真心獨朗，物物斯照；應接無	難 曰 夫 聖 人 真 心 獨 朗 物 物 斯 照 應 接 無 
T45n1858_001:0153b20	方，動與事會。物物斯照，故知無所遺；動與事	方 動 與 事 會 物 物 斯 照 故 知 無 所 遺 動 與 事 
T45n1858_001:0153b21	會，故會不失機。會不失機，故必有會於可會；	會 故 會 不 失 機 會 不 失 機 故 必 有 會 於 可 會 
T45n1858_001:0153b22	知無所遺，故必有知於可知。必有知於可知，	知 無 所 遺 故 必 有 知 於 可 知 必 有 知 於 可 知 
T45n1858_001:0153b23	故聖不虛知；必有會於可會；故聖不虛會。既	故 聖 不 虛 知 必 有 會 於 可 會 故 聖 不 虛 會 既 
T45n1858_001:0153b24	知既會，而曰無知無會者。何耶？若夫忘知遺	知 既 會 而 曰 無 知 無 會 者 何 耶 若 夫 忘 知 遺 
T45n1858_001:0153b25	會者，則是聖人無私於知會，以成其私耳。斯	會 者 則 是 聖 人 無 私 於 知 會 以 成 其 私 耳 斯 
T45n1858_001:0153b26	可謂不自有其知，安得無知哉？答曰：夫聖人	可 謂 不 自 有 其 知 安 得 無 知 哉 答 曰 夫 聖 人 
T45n1858_001:0153b27	功高二儀而不仁，明逾日月而彌昏，豈曰木	功 高 二 儀 而 不 仁 明 逾 日 月 而 彌 昏 豈 曰 木 
T45n1858_001:0153b28	石瞽其懷？其於無知而已哉。誠以異於人者	石 瞽 其 懷 其 於 無 知 而 已 哉 誠 以 異 於 人 者 
T45n1858_001:0153b29	神明，故不可以事相求之耳。子意欲令聖人	神 明 故 不 可 以 事 相 求 之 耳 子 意 欲 令 聖 人 
T45n1858_001:0153c01	不自有其知，而聖人未嘗不有知，無乃乖於	不 自 有 其 知 而 聖 人 未 嘗 不 有 知 無 乃 乖 於 
T45n1858_001:0153c02	聖心、失於文旨者乎！何者？經云：「真般若者，	聖 心 失 於 文 旨 者 乎 何 者 經 云 真 般 若 者 
T45n1858_001:0153c03	清淨如虛空，無知無見，無作無緣。」斯則知自	清 淨 如 虛 空 無 知 無 見 無 作 無 緣 斯 則 知 自 
T45n1858_001:0153c04	無知矣，豈待返照然後無知哉？若有知性	無 知 矣 豈 待 返 照 然 後 無 知 哉 若 有 知 性 
T45n1858_001:0153c05	空而稱淨者，則不辨於惑智，三毒四倒亦皆	空 而 稱 淨 者 則 不 辨 於 惑 智 三 毒 四 倒 亦 皆 
T45n1858_001:0153c06	清淨，有何獨尊於般若？若以所知美般若，所	清 淨 有 何 獨 尊 於 般 若 若 以 所 知 美 般 若 所 
T45n1858_001:0153c07	知非般若，所知自常淨，故般若未嘗淨，亦無	知 非 般 若 所 知 自 常 淨 故 般 若 未 嘗 淨 亦 無 
T45n1858_001:0153c08	緣致淨歎於般若。然經云「般若清淨」者，將無	緣 致 淨 歎 於 般 若 然 經 云 般 若 清 淨 者 將 無 
T45n1858_001:0153c09	以般若體性真淨，本無惑取之知。本無惑取	以 般 若 體 性 真 淨 本 無 惑 取 之 知 本 無 惑 取 
T45n1858_001:0153c10	之知，不可以知名哉。豈唯無知名無知，知自	之 知 不 可 以 知 名 哉 豈 唯 無 知 名 無 知 知 自 
T45n1858_001:0153c11	無知矣！是以聖人以無知之般若，照彼無相	無 知 矣 是 以 聖 人 以 無 知 之 般 若 照 彼 無 相 
T45n1858_001:0153c12	之真諦。真諦無兔馬之遺，般若無不窮之鑒，	之 真 諦 真 諦 無 兔 馬 之 遺 般 若 無 不 窮 之 鑒 
T45n1858_001:0153c13	所以會而不差、當而無是。寂怕、無知，而無不	所 以 會 而 不 差 當 而 無 是 寂 怕 無 知 而 無 不 
T45n1858_001:0153c14	知者矣。	知 者 矣 
T45n1858_001:0153c15	難曰：夫物無以自通，故立名以通物。物雖非	難 曰 夫 物 無 以 自 通 故 立 名 以 通 物 物 雖 非 
T45n1858_001:0153c16	名，果有可名之物當於此名矣。是以即名求	名 果 有 可 名 之 物 當 於 此 名 矣 是 以 即 名 求 
T45n1858_001:0153c17	物，物不能隱。而論云「聖心無知」，又云「無所不	物 物 不 能 隱 而 論 云 聖 心 無 知 又 云 無 所 不 
T45n1858_001:0153c18	知」。意謂無知未嘗知，知未嘗無知。斯則名	知 意 謂 無 知 未 嘗 知 知 未 嘗 無 知 斯 則 名 
T45n1858_001:0153c19	教之所通，立言之本意也。然論者欲一於聖	教 之 所 通 立 言 之 本 意 也 然 論 者 欲 一 於 聖 
T45n1858_001:0153c20	心，異於文旨。尋文求實，未見其當。何者？若	心 異 於 文 旨 尋 文 求 實 未 見 其 當 何 者 若 
T45n1858_001:0153c21	知得於聖心，無知無所辨；若無知得於聖心，	知 得 於 聖 心 無 知 無 所 辨 若 無 知 得 於 聖 心 
T45n1858_001:0153c22	知亦無所辨；若二都無得，無所復論哉！答	知 亦 無 所 辨 若 二 都 無 得 無 所 復 論 哉 答 
T45n1858_001:0153c23	曰：經云：「般若義者，無名無說，非有非無，非	曰 經 云 般 若 義 者 無 名 無 說 非有非無 非 
T45n1858_001:0153c24	實非虛。」虛不失照，照不失虛，斯則無名之法，	實 非 虛 虛 不 失 照 照 不 失 虛 斯 則 無 名 之 法 
T45n1858_001:0153c25	故非言所能言也。言雖不能言，然非言無以	故 非 言 所 能 言 也 言 雖 不 能 言 然 非 言 無 以 
T45n1858_001:0153c26	傳，是以聖人終日言而未嘗言也。今試為子	傳 是 以 聖 人 終 日 言 而 未 嘗 言 也 今 試 為 子 
T45n1858_001:0153c27	狂言辨之。夫聖心者，微妙無相，不可為有；用	狂 言 辨 之 夫 聖 心 者 微 妙 無 相 不 可 為 有 用 
T45n1858_001:0153c28	之彌勤，不可為無。不可為無，故聖智存焉；不	之 彌 勤 不 可 為 無 不 可 為 無 故 聖 智 存 焉 不 
T45n1858_001:0153c29	可為有，故名教絕焉。是以言知不為知，欲以	可 為 有 故 名 教 絕 焉 是 以 言 知 不 為 知 欲 以 
T45n1858_001:0154a01	通其鑒；不知非不知，欲以辨其相。辨相，不為	通 其 鑒 不 知 非 不 知 欲 以 辨 其 相 辨 相 不 為 
T45n1858_001:0154a02	無；通鑒，不為有。非有，故知而無知；非無；故	無 通 鑒 不 為 有 非 有 故 知 而 無 知 非 無 故 
T45n1858_001:0154a03	無知而知。是以知即無知，無知即知。無以言	無 知 而 知 是 以 知 即 無 知 無 知 即 知 無 以 言 
T45n1858_001:0154a04	異而異於聖心也。	異 而 異 於 聖 心 也 
T45n1858_001:0154a05	難曰：夫真諦深玄，非智不測。聖智之能，在茲	難 曰 夫 真 諦 深 玄 非 智 不 測 聖 智 之 能 在 茲 
T45n1858_001:0154a06	而顯。故經云：「不得般若，不見真諦。」真諦，則般	而 顯 故 經 云 不 得 般 若 不 見 真 諦 真 諦 則 般 
T45n1858_001:0154a07	若之緣也。以緣求智，智則知矣。答曰：以緣求	若 之 緣 也 以 緣 求 智 智 則 知 矣 答 曰 以 緣 求 
T45n1858_001:0154a08	智，智非知也。何者？放光云：「不緣色生識，是	智 智 非 知 也 何 者 放 光 云 不 緣 色 生 識 是 
T45n1858_001:0154a09	名不見色。」又云：「五陰清淨故，般若清淨。」般若	名 不 見 色 又 云 五 陰 清 淨 故 般 若 清 淨 般 若 
T45n1858_001:0154a10	即能知也，五陰即所知也。所知，即緣也。夫知	即 能 知 也 五 陰 即 所 知 也 所 知 即 緣 也 夫 知 
T45n1858_001:0154a11	與所知，相與而有、相與而無。相與而無，故物	與 所 知 相 與 而 有 相 與 而 無 相 與 而 無 故 物 
T45n1858_001:0154a12	莫之有；相與而有，故物莫之無。物莫之無，故	莫 之 有 相 與 而 有 故 物 莫 之 無 物 莫 之 無 故 
T45n1858_001:0154a13	為緣之所起；物莫之有，故則緣所不能生。緣	為 緣 之 所 起 物 莫 之 有 故 則 緣 所 不 能 生 緣 
T45n1858_001:0154a14	所不能生，故照緣而非知；為緣之所起，故	所 不 能 生 故 照 緣 而 非 知 為 緣 之 所 起 故 
T45n1858_001:0154a15	知、緣相因而生。是以知與無知，生於所知	知 緣 相 因 而 生 是 以 知 與 無 知 生 於 所 知 
T45n1858_001:0154a16	矣。何者？夫智以知所知，取相故名知。真諦自	矣 何 者 夫 智 以 知 所 知 取 相 故 名 知 真 諦 自 
T45n1858_001:0154a17	無相，真智何由知？所以然者，夫所知非所知，	無 相 真 智 何 由 知 所 以 然 者 夫 所 知 非 所 知 
T45n1858_001:0154a18	所知生於知；所知既生知，知亦生所知。所、知	所 知 生 於 知 所 知 既 生 知 知 亦 生 所 知 所 知 
T45n1858_001:0154a19	既相生，相生即緣法，緣法故非真。非真，故非	既 相 生 相 生 即 緣 法 緣 法 故 非 真 非 真 故 非 
T45n1858_001:0154a20	真諦也。故《中觀》云：「物從因緣有，故不真。不從	真 諦 也 故 中 觀 云 物 從 因 緣 有 故 不 真 不 從 
T45n1858_001:0154a21	因緣有，故即真。」今真諦曰真，真則非緣。真	因 緣 有 故 即 真 今 真 諦 曰 真 真 則 非 緣 真 
T45n1858_001:0154a22	非緣，故無物從緣而生也。故經云：「不見有法	非 緣 故 無 物 從 緣 而 生 也 故 經 云 不 見 有 法 
T45n1858_001:0154a23	無緣而生。」是以真智觀真諦，未嘗取所知。智	無 緣 而 生 是 以 真 智 觀 真 諦 未 嘗 取 所 知 智 
T45n1858_001:0154a24	不取所知，此智何由知？然智非無知，但真諦	不 取 所 知 此 智 何 由 知 然 智 非 無 知 但 真 諦 
T45n1858_001:0154a25	非所知，故真智亦非知。而子欲以緣求智，故	非 所 知 故 真 智 亦 非 知 而 子 欲 以 緣 求 智 故 
T45n1858_001:0154a26	以智為知。緣自非緣，於何而求知？	以 智 為 知 緣 自 非 緣 於 何 而 求 知 
T45n1858_001:0154a27	難曰：論云「不取」者，為無知故不取？為知然後	難 曰 論 云 不 取 者 為 無 知 故 不 取 為 知 然 後 
T45n1858_001:0154a28	不取耶？若無知故不取，聖人則冥若夜游，不	不 取 耶 若 無 知 故 不 取 聖 人 則 冥 若 夜 游 不 
T45n1858_001:0154a29	辨緇素之異耶！若知然後不取，知則異於不	辨 緇 素 之 異 耶 若 知 然 後 不 取 知 則 異 於 不 
T45n1858_001:0154b01	取矣！答曰：非無知，故不取；又非知，然後不取。	取 矣 答 曰 非 無 知 故 不 取 又 非 知 然 後 不 取 
T45n1858_001:0154b02	知即不取，故能不取而知。	知 即 不 取 故 能 不 取 而 知 
T45n1858_001:0154b03	難曰：論云「不取」者，誠以聖心不物於物，故無	難 曰 論 云 不 取 者 誠 以 聖 心 不 物 於 物 故 無 
T45n1858_001:0154b04	惑取也。無取則無是，無是則無當。誰當聖心，	惑 取 也 無 取 則 無 是 無 是 則 無 當 誰 當 聖 心 
T45n1858_001:0154b05	而云聖心無所不知耶？答曰：然。無是、無當者。	而 云 聖 心 無 所 不 知 耶 答 曰 然 無 是 無 當 者 
T45n1858_001:0154b06	夫無當，則物無不當；無是；則物無不是。物無	夫 無 當 則 物 無 不 當 無 是 則 物 無 不 是 物 無 
T45n1858_001:0154b07	不是，故是而無是；物無不當，故當而無當。故	不 是 故 是 而 無 是 物 無 不 當 故 當 而 無 當 故 
T45n1858_001:0154b08	經云：「盡見諸法而無所見。」	經 云 盡 見 諸 法 而 無 所 見 
T45n1858_001:0154b09	難曰：聖心非不能是，誠以無是可是。雖無是	難 曰 聖 心 非 不 能 是 誠 以 無 是 可 是 雖 無 是 
T45n1858_001:0154b10	可是，故當是於無是矣。是以經云「真諦無相	可 是 故 當 是 於 無 是 矣 是 以 經 云 真 諦 無 相 
T45n1858_001:0154b11	故般若無知」者，誠以般若無有有相之知。若	故 般 若 無 知 者 誠 以 般 若 無 有 有 相 之 知 若 
T45n1858_001:0154b12	以無相為無相，有何累於真諦耶？答曰：聖人	以 無 相 為 無 相 有 何 累 於 真 諦 耶 答 曰 聖 人 
T45n1858_001:0154b13	無無相也。何者？若以無相為無相，無相即為	無 無 相 也 何 者 若 以 無 相 為 無 相 無 相 即 為 
T45n1858_001:0154b14	相。捨有而之無，譬猶逃峰而赴壑，俱不免於	相 捨 有 而 之 無 譬 猶 逃 峰 而 赴 壑 俱 不 免 於 
T45n1858_001:0154b15	患矣。是以至人處有而不有，居無而不無。雖	患 矣 是 以 至 人 處 有 而 不 有 居 無 而 不 無 雖 
T45n1858_001:0154b16	不取於有無，然亦不捨於有無。所以和光塵	不 取 於 有 無 然 亦 不 捨 於 有 無 所 以 和 光 塵 
T45n1858_001:0154b17	勞，周旋五趣，寂然而往，怕爾而來，恬淡無	勞 周 旋 五 趣 寂 然 而 往 怕 爾 而 來 恬 淡 無 
T45n1858_001:0154b18	為而無不為。	為 而 無 不 為 
T45n1858_001:0154b19	難曰：聖心雖無知，然其應會之道不差。是以	難 曰 聖 心 雖 無 知 然 其 應 會 之 道 不 差 是 以 
T45n1858_001:0154b20	可應者應之，不可應者存之。然則聖心有時	可 應 者 應 之 不 可 應 者 存 之 然 則 聖 心 有 時 
