T46n1928_001:0704c12	指要鈔序	指 要 鈔 序 
T46n1928_001:0708b27	可知。滅及真中一實無諦，體唯是理無相可	可 知 滅 及 真 中 一 實 無 諦 體 唯 是 理 無 相 可 
T46n1928_001:0708b28	表，並心證故故不兼色。然上所對不可永殊，	表 並 心 證 故 故 不 兼 色 然 上 所 對 不 可 永 殊 
T46n1928_001:0708b29	欲成別義故且從彊。二、既知下，次總。前約諸	欲 成 別 義 故 且 從 彊 二 既 知 下 次 總 前 約 諸 
T46n1928_001:0708c01	法不失自體為別，今明諸法同趣剎那為總，	法 不 失 自 體 為 別 今 明 諸 法 同 趣 剎 那 為 總 
T46n1928_001:0708c02	終日不失終日同趣，性具諸法總別相收，緣	終 日 不 失 終 日 同 趣 性 具 諸 法 總 別 相 收 緣 
T46n1928_001:0708c03	起諸法總別亦爾，非謂約事論別、以理為總。	起 諸 法 總 別 亦 爾 非 謂 約 事 論 別 以 理 為 總 
T46n1928_001:0708c04	又復應知，若事若理，皆以事中一念為總，以	又 復 應 知 若 事 若 理 皆 以 事 中 一 念 為 總 以 
T46n1928_001:0708c05	眾生在事未悟理故，以依陰心顯妙理故。問：	眾 生 在 事 未 悟 理 故 以 依 陰 心 顯 妙 理 故 問 
T46n1928_001:0708c06	「他云，一念即一性也，一念靈知性體常寂，	 他 云 一 念 即 一 性 也 一 念 靈 知 性 體 常 寂 
T46n1928_001:0708c07	又云，性即一念，謂心性靈寂，性即法身，靈	又 云 性 即 一 念 謂 心 性 靈 寂 性 即 法 身 靈 
T46n1928_001:0708c08	即般若，寂即解脫。又云，一念真知妙體。	即 般 若 寂 即 解 脫 又 云 一 念 真 知 妙 體 
T46n1928_001:0708c09	又云，並我一念清淨靈知。據此等文，乃直	又 云 並 我 一 念 清 淨 靈 知 據 此 等 文 乃 直 
T46n1928_001:0708c10	指文中一念，名真淨靈知，是約理解。今云	指 文 中 一 念 名 真 淨 靈 知 是 約 理 解 今 云 
T46n1928_001:0708c11	屬事，是陰入法。與他所指，賒切如何？」答：「此師	屬 事 是 陰 入 法 與 他 所 指 賒 切 如 何 答 此 師 
T46n1928_001:0708c12	秖因將此一念約理釋之，致與一家文義相	秖 因 將 此 一 念 約 理 釋 之 致 與 一 家 文 義 相 
T46n1928_001:0708c13	違。且違文者，一、違玄文。彼判心法定在因、佛	違 且 違 文 者 一 違 玄 文 彼 判 心 法 定 在 因 佛 
T46n1928_001:0708c14	法定在果，眾生法一往通因果，二往則局因。	法 定 在 果 眾 生 法 一 往 通 因 果 二 往 則 局 因 
T46n1928_001:0708c15	他執心法是真性，故乃自立云，心非因果。又	他 執 心 法 是 真 性 故 乃 自 立 云 心 非 因 果 又 
T46n1928_001:0708c16	礙定在因句，復自立云，約能造諸法故判為	礙 定 在 因 句 復 自 立 云 約 能 造 諸 法 故 判 為 
T46n1928_001:0708c17	因，佛定在果者，乃由研修覺了究盡為果。今	因 佛 定 在 果 者 乃 由 研 修 覺 了 究 盡 為 果 今 
T46n1928_001:0708c18	問：既將因果分判法相，何得因果却不相對？	問 既 將 因 果 分 判 法 相 何 得 因 果 却 不 相 對 
T46n1928_001:0708c19	果若從覺，因須指迷，何得自立理能造事而	果 若 從 覺 因 須 指 迷 何 得 自 立 理 能 造 事 而 
T46n1928_001:0708c20	為因邪？既不相對，何名分判？又違《華嚴》心造	為 因 邪 既 不 相 對 何 名 分 判 又 違 華 嚴 心 造 
T46n1928_001:0708c21	之義，彼經如來林菩薩說偈云：『心如工畫師，	之 義 彼 經 如 來 林 菩 薩 說 偈 云 心 如 工 畫 師 
T46n1928_001:0708c22	造種種五陰，一切世間中，無法而不造。如心	造 種 種 五 陰 一切世間 中 無 法 而 不 造 如 心 
T46n1928_001:0708c23	佛亦爾，如佛眾生然，心佛及眾生，是三無差	佛 亦 爾 如 佛 眾 生 然 心 佛 及 眾 生 是 三 無 差 
T46n1928_001:0708c24	別。』《輔行》釋云，心造有二種，一者約理，造即是	別 輔 行 釋 云 心 造 有 二 種 一 者 約 理 造 即 是 
T46n1928_001:0708c25	具，二者約事，即三世變。造等心法既有二造，	具 二 者 約 事 即 三 世 變 造 等 心 法 既 有 二 造 
T46n1928_001:0708c26	經以心例於佛，復以佛例於生，故云『如心佛	經 以 心 例 於 佛 復 以 佛 例 於 生 故 云 如 心 佛 
T46n1928_001:0708c27	亦爾，如佛眾生然』，是則三法各具二造方無	亦 爾 如 佛 眾 生 然 是 則 三 法 各 具 二 造 方 無 
T46n1928_001:0708c28	差別，故荊谿云，不解今文如何銷偈『心造一	差 別 故 荊 谿 云 不 解 今 文 如 何 銷 偈 心 造 一 
T46n1928_001:0708c29	切三無差別』？何忽獨云心造諸法得名因邪？	切 三無差別 何 忽 獨 云 心 造 諸 法 得 名 因 邪 
T46n1928_001:0708c30	據他所釋，心法是理，唯論能具能造，生佛是	據 他 所 釋 心 法 是 理 唯 論 能 具 能 造 生 佛 是 
T46n1928_001:0709a01	事，唯有所具所造，則心造之義尚虧，無差之	事 唯 有 所 具 所 造 則 心 造 之 義 尚 虧 無 差 之 
T46n1928_001:0709a02	文永失矣。又若約能造釋因，則三法皆定在	文 永 失 矣 又 若 約 能 造 釋 因 則 三 法 皆 定 在 
T46n1928_001:0709a03	因，以皆有二造故。此文應今家立義綱格，若	因 以 皆 有 二 造 故 此 文 應 今 家 立 義 綱 格 若 
T46n1928_001:0709a04	迷此者，一家教旨皆翻倒也，焉將此解定教	迷 此 者 一 家 教 旨 皆 翻 倒 也 焉 將 此 解 定 教 
T46n1928_001:0709a05	文之欠剩邪！「二、違《大意》及《金剛錍》。他自引	文 之 欠 剩 邪 二 違 大 意 及 金 剛 錍 他 自 引 
T46n1928_001:0709a06	云，隨緣不變名性，不變隨緣名心。引畢乃云，	云 隨 緣 不 變 名 性 不 變 隨 緣 名 心 引 畢 乃 云 
T46n1928_001:0709a07	今言心即真如不變性也。今恐他不許荊谿立	今 言 心 即 真 如 不 變 性 也 今 恐 他 不 許 荊 谿 立 
T46n1928_001:0709a08	義。何者？既云不變隨緣名心，顯是即理之事，	義 何 者 既 云 不 變 隨 緣 名 心 顯 是 即 理 之 事 
T46n1928_001:0709a09	那得直作理釋？若云，雖隨緣邊屬事，事即理	那 得 直 作 理 釋 若 云 雖 隨 緣 邊 屬 事 事 即 理 
T46n1928_001:0709a10	故，故指心為不變性者。佛法生法豈不即邪？	故 故 指 心 為 不 變 性 者 佛 法 生 法 豈 不 即 邪 
T46n1928_001:0709a11	若皆即理，何獨指心名不變性？故《金錍》云：『真	若 皆 即 理 何 獨 指 心 名 不 變 性 故 金 錍 云 真 
T46n1928_001:0709a12	如是萬法，由隨緣故，萬法是真如，由不變故。』	如 是 萬 法 由 隨 緣 故 萬 法 是 真 如 由 不 變 故 
T46n1928_001:0709a13	故知若約萬法即理，則生佛、依正俱理，皆不	故 知 若 約 萬 法 即 理 則 生 佛 依 正 俱 理 皆 不 
T46n1928_001:0709a14	變故，何獨心是理邪？若據眾生在事，則內外	變 故 何 獨 心 是 理 邪 若 據 眾 生 在 事 則 內 外 
T46n1928_001:0709a15	色心俱事，皆隨緣故，何獨心非事邪？他云，生	色 心 俱 事 皆 隨 緣 故 何 獨 心 非 事 邪 他 云 生 
T46n1928_001:0709a16	佛是因果，法心非因果。驗他直指心法名理，	佛 是 因 果 法 心 非 因 果 驗 他 直 指 心 法 名 理 
T46n1928_001:0709a17	非指事即理，生佛二事會歸心故方云即理，	非 指 事 即 理 生 佛 二 事 會 歸 心 故 方 云 即 理 
T46n1928_001:0709a18	亦非當處即具三千。是知他師雖引唯色之	亦 非 當 處 即 具 三 千 是 知 他 師 雖 引 唯 色 之 
T46n1928_001:0709a19	言，亦秖曲成唯真心爾。況復觀心自具二種，	言 亦 秖 曲 成 唯 真 心 爾 況 復 觀 心 自 具 二 種 
T46n1928_001:0709a20	即唯識觀及實相觀，因何纔見言心便云是	即 唯 識 觀 及 實 相 觀 因 何 纔 見 言 心 便 云 是 
T46n1928_001:0709a21	理？又實相觀雖觀理具，非清淨理，乃即事之	理 又 實 相 觀 雖 觀 理 具 非 清 淨 理 乃 即 事 之 
T46n1928_001:0709a22	理也，以依陰等顯故。」問：「若爾，二觀皆依事，如	理 也 以 依 陰 等 顯 故 問 若 爾 二 觀 皆 依 事 如 
T46n1928_001:0709a23	何分邪？」答：「實相觀者，即於識心體其本寂，三	何 分 邪 答 實 相 觀 者 即 於 識 心 體 其 本 寂 三 
T46n1928_001:0709a24	千宛然即空假中。唯識觀者，照於起心變造	千 宛 然 即 空 假 中 唯 識 觀 者 照 於 起 心 變 造 
T46n1928_001:0709a25	十界即空假中。故《義例》云，夫觀心法有理有	十 界 即 空 假 中 故 義 例 云 夫 觀 心 法 有 理 有 
T46n1928_001:0709a26	事，從理則唯達法性更無餘途，從事則專照	事 從 理 則 唯 達 法 性 更 無 餘 途 從 事 則 專 照 
T46n1928_001:0709a27	起心四性叵得，亦名本末相映事理不二。又	起 心 四 性 叵 得 亦 名 本 末 相 映 事 理 不 二 又 
T46n1928_001:0709a28	應知，觀於內心二觀既爾，觀於外境二觀亦然，	應 知 觀 於 內 心 二 觀 既 爾 觀 於 外 境 二 觀 亦 然 
T46n1928_001:0709a29	此皆《止觀》及《輔行》文意，非從臆說。他云，真心	此 皆 止 觀 及 輔 行 文 意 非 從 臆 說 他 云 真 心 
T46n1928_001:0709b01	具三千法，乃指真如名不思議境，非指陰入	具 三 千 法 乃 指 真 如 名 不思議境 非 指 陰 入 
T46n1928_001:0709b02	也。《金錍》云『旁遮偏指清淨真如』，那得持偏指	也 金 錍 云 旁 遮 偏 指 清 淨 真 如 那 得 持 偏 指 
T46n1928_001:0709b03	邪？又云，夫唯心之心豈唯真如心邪？須知	邪 又 云 夫 唯 心 之 心 豈 唯 真 如 心 邪 須 知 
T46n1928_001:0709b04	煩惱心遍。第一記云，專緣理性而破九界，是	煩 惱 心 遍 第 一 記 云 專 緣 理 性 而 破 九 界 是 
T46n1928_001:0709b05	別教義。那得句句唯於真心？又此標一念乃	別 教 義 那 得 句 句 唯 於 真 心 又 此 標 一 念 乃 
T46n1928_001:0709b06	作一性真如釋之，後文多就剎那明具三千，	作 一 性 真 如 釋 之 後 文 多 就 剎 那 明 具 三 千 
T46n1928_001:0709b07	亦作真如釋邪？」問：「《永嘉集》既用今家觀法，彼	亦 作 真 如 釋 邪 問 永 嘉 集 既 用 今 家 觀 法 彼 
T46n1928_001:0709b08	奢摩他云，一念即靈知自性，他立正合於彼，	奢 摩 他 云 一 念 即 靈 知 自 性 他 立 正 合 於 彼 
T46n1928_001:0709b09	何謂不然？」答：「彼文先於根塵體其本寂，作功	何 謂 不 然 答 彼 文 先 於 根 塵 體 其 本 寂 作 功 
T46n1928_001:0709b10	不已，知滅對遺，靈知一念方得現前。故知彼	不 已 知 滅 對 遺 靈 知 一 念 方 得 現 前 故 知 彼 
T46n1928_001:0709b11	之一念，全由妙止所顯。不爾，何故五念息已	之 一 念 全 由 妙 止 所 顯 不 爾 何 故 五 念 息 已 
T46n1928_001:0709b12	一念現前？秖如五念何由得息，那得將彼相	一 念 現 前 秖 如 五 念 何 由 得 息 那 得 將 彼 相 
T46n1928_001:0709b13	應一念類今剎那念邪？況奢摩他別用妙止	應 一 念 類 今 剎 那 念 邪 況 奢 摩 他 別 用 妙 止 
T46n1928_001:0709b14	安心，毘鉢舍那別用妙觀安心，優畢叉方乃	安 心 毘 鉢 舍 那 別 用 妙 觀 安 心 優 畢 叉 方 乃 
T46n1928_001:0709b15	總用止觀，故出觀體中一念，正是今之陰識	總 用 止 觀 故 出 觀 體 中 一 念 正 是 今 之 陰 識 
T46n1928_001:0709b16	一念也。何者？彼文序中先會定慧同宗，法爾	一 念 也 何 者 彼 文 序 中 先 會 定 慧 同 宗 法 爾 
T46n1928_001:0709b17	中乃云故即心為道，可謂尋流得源矣。故出	中 乃 云 故 即 心 為 道 可 謂 尋 流 得 源 矣 故 出 
T46n1928_001:0709b18	觀體云，秖知一念即空不空、非空非不空。言秖	觀 體 云 秖 知 一 念 即 空 不 空 非 空 非 不 空 言 秖 
T46n1928_001:0709b19	知者，乃即體(止也)了(觀也)理，今剎那是三諦理，	知 者 乃 即 體 止 也 了 觀 也 理 今 剎 那 是 三 諦 理 
T46n1928_001:0709b20	不須專亡根境顯其靈知，亦不須深推緣生求	不 須 專 亡 根 境 顯 其 靈 知 亦 不 須 深 推 緣 生 求 
T46n1928_001:0709b21	其空寂，故云秖知，此乃即心為道也。若奢摩	其 空 寂 故 云 秖 知 此 乃 即 心 為 道 也 若 奢 摩 
T46n1928_001:0709b22	他觀成，顯出自性一念，何用更修三觀？」問：「彼	他 觀 成 顯 出 自 性 一 念 何 用 更 修 三 觀 問 彼 
T46n1928_001:0709b23	云，若於相應一念起五陰者，仍以二空破之，	云 若 於 相 應 一 念 起 五 陰 者 仍 以 二 空 破 之 
T46n1928_001:0709b24	那云不更修觀？」答：「於真知起陰、以觀破之，不	那 云 不 更 修 觀 答 於 真 知 起 陰 以 觀 破 之 不 
T46n1928_001:0709b25	起陰者何用觀之？彼二空觀乃是觀陰，非觀	起 陰 者 何 用 觀 之 彼 二 空 觀 乃 是 觀 陰 非 觀 
T46n1928_001:0709b26	真知。故知解一千從、迷一萬惑。若欲廣引教	真 知 故 知 解 一 千 從 迷 一 萬 惑 若 欲 廣 引 教 
T46n1928_001:0709b27	文驗其相違，不可令盡，書倦且止。」二、違義者。	文 驗 其 相 違 不 可 令 盡 書 倦 且 止 二 違 義 者 
T46n1928_001:0709b28	問：「據上所引眾教，雖見相違，且如立此十門，	問 據 上 所 引 眾 教 雖 見 相 違 且 如 立 此 十 門 
T46n1928_001:0709b29	欲通妙理亡於名相，若一念屬事，豈但通事，	欲 通 妙 理 亡 於 名 相 若 一 念 屬 事 豈 但 通 事 
T46n1928_001:0709c01	將不違作者意乎？」答：「立門近要則妙理可通，	將 不 違 作 者 意 乎 答 立 門 近 要 則 妙 理 可 通 
T46n1928_001:0709c02	若敻指真如，初心如何造趣？依何起觀邪？今	若 敻 指 真 如 初 心 如 何 造 趣 依 何 起 觀 邪 今 
T46n1928_001:0709c03	立根塵一剎那心，本具三千即空假中，稱此	立 根 塵 一 剎 那 心 本 具 三 千 即 空 假 中 稱 此 
T46n1928_001:0709c04	觀之，即能成就十種妙法，豈但解知而已！如	觀 之 即 能 成 就 十 種 妙 法 豈 但 解 知 而 已 如 
T46n1928_001:0709c05	此方稱作者之意。若也偏指清淨真如、偏唯	此 方 稱 作 者 之 意 若 也 偏 指 清 淨 真 如 偏 唯 
T46n1928_001:0709c06	真心，則杜初心入路，但滋名相之境。故第一	真 心 則 杜 初 心 入 路 但 滋 名 相 之 境 故 第 一 
T46n1928_001:0709c07	記云，本雖久遠，圓頓雖實，第一義雖理，望觀	記 云 本 雖 久 遠 圓 頓 雖 實 第 一 義 雖 理 望 觀 
T46n1928_001:0709c08	屬事。他謂圓談法性便是觀心，為害非少。今	屬 事 他 謂 圓 談 法 性 便 是 觀 心 為 害 非 少 今 
T46n1928_001:0709c09	問：一念真知為已顯悟？為現在迷？若已顯悟，	問 一 念 真 知 為 已 顯 悟 為 現 在 迷 若 已 顯 悟 
T46n1928_001:0709c10	不須修觀，十乘觀法將何用邪？若現在迷，全	不 須 修 觀 十 乘 觀 法 將 何 用 邪 若 現 在 迷 全 
T46n1928_001:0709c11	體是陰。故《金錍》云，諸佛悟理，眾生在事。既其	體 是 陰 故 金 錍 云 諸 佛 悟 理 眾 生 在 事 既 其 
T46n1928_001:0709c12	在事，何名真淨？然誰不知全體是清，其奈濁	在 事 何 名 真 淨 然 誰 不 知 全 體 是 清 其 奈 濁 
T46n1928_001:0709c13	成本有！應知觀心大似澄水，若水已清何須	成 本 有 應 知 觀 心 大 似 澄 水 若 水 已 清 何 須 
T46n1928_001:0709c14	更澄，若水未清須澄濁水。故《輔行》釋以識心	更 澄 若 水 未 清 須 澄 濁 水 故 輔 行 釋 以 識 心 
T46n1928_001:0709c15	為妙境云，今文妙觀觀之令成妙境，境方稱	為 妙 境 云 今 文 妙 觀 觀 之 令 成 妙 境 境 方 稱 
T46n1928_001:0709c16	理。又解安於世諦云，以止觀安故，世諦方	理 又 解 安 於 世 諦 云 以 止 觀 安 故 世 諦 方 
T46n1928_001:0709c17	成不思議境。故知心雖本妙，觀未成時且名	成 不思議境 故 知 心 雖 本 妙 觀 未 成 時 且 名 
T46n1928_001:0709c18	陰、入，為成妙故用觀體之。若撥棄陰心，自觀	陰 入 為 成 妙 故 用 觀 體 之 若 撥 棄 陰 心 自 觀 
T46n1928_001:0709c19	真性，正當偏指清淨真如之責，復招緣理斷	真 性 正 當 偏 指 清 淨 真 如 之 責 復 招 緣 理 斷 
T46n1928_001:0709c20	九之譏。且如今欲觀心，為今剎那便具三千，	九 之 譏 且 如 今 欲 觀 心 為 今 剎 那 便 具 三 千 
T46n1928_001:0709c21	為須真如體顯方具三千；若即剎那，何不便	為 須 真 如 體 顯 方 具 三 千 若 即 剎 那 何 不 便 
T46n1928_001:0709c22	名陰心為於妙境，而須立真心邪？又大師親	名 陰 心 為 於 妙 境 而 須 立 真 心 邪 又 大 師 親 
T46n1928_001:0709c23	令觀於陰等諸境，及觀一念無明之心，何違	令 觀 於 陰 等 諸 境 及 觀 一 念 無 明 之 心 何 違 
T46n1928_001:0709c24	教邪？應是宗師立名詮法未的，故自別立邪！	教 邪 應 是 宗 師 立 名 詮 法 未 的 故 自 別 立 邪 
T46n1928_001:0709c25	又若謂此中一念不同止觀所觀陰等諸心	又 若 謂 此 中 一 念 不 同 止 觀 所 觀 陰 等 諸 心 
T46n1928_001:0709c26	者，此之十門因何重述？觀法大體、觀行可識，	者 此 之 十 門 因 何 重 述 觀 法 大 體 觀 行 可 識 
T46n1928_001:0709c27	斯言謾設也。又中諦一實別判屬心，與總真	斯 言 謾 設 也 又 中 諦 一 實 別 判 屬 心 與 總 真 
T46n1928_001:0709c28	心如何揀邪？心性二字不異而異，既言不變	心 如 何 揀 邪 心 性 二 字 不 異 而 異 既 言 不 變 
T46n1928_001:0709c29	隨緣名心，即理之事也，隨緣不變名性，即事	隨 緣 名 心 即 理 之 事 也 隨 緣 不 變 名 性 即 事 
T46n1928_001:0710a01	之理也，今欲於事顯理，故雙舉之，例此合云	之 理 也 今 欲 於 事 顯 理 故 雙 舉 之 例 此 合 云 
T46n1928_001:0710a02	不變隨緣名佛，隨緣不變名性，生性亦然。應	不 變 隨 緣 名 佛 隨 緣 不 變 名 性 生 性 亦 然 應 
T46n1928_001:0710a03	知三法俱事俱理，不同他解心則約理為通、	知 三 法 俱 事 俱 理 不 同 他 解 心 則 約 理 為 通 
T46n1928_001:0710a04	生佛約事為別，此乃他家解心佛眾生之義。	生 佛 約 事 為 別 此 乃 他 家 解 心 佛 眾 生 之 義 
T46n1928_001:0710a05	不深本教，濫用他宗，妨害既多，旨趣安在？」一	不 深 本 教 濫 用 他 宗 妨 害 既 多 旨 趣 安 在 一 
T46n1928_001:0710a06	性等者，性雖是一而無定一之性，故使三千	性 等 者 性 雖 是 一 而 無 定 一 之 性 故 使 三 千 
T46n1928_001:0710a07	色心相相宛爾，此則從無住本立一切法，應	色 心 相 相 宛 爾 此 則 從 無 住 本 立 一 切 法 應 
T46n1928_001:0710a08	知若理若事皆有此義。故第七記釋此文云，	知 若 理 若 事 皆 有 此 義 故 第 七 記 釋 此 文 云 
T46n1928_001:0710a09	理則性德緣了，事則修德三因，迷則三道流	理 則 性 德 緣 了 事 則 修 德 三 因 迷 則 三 道 流 
T46n1928_001:0710a10	轉，悟則果中勝用，如此四重，並由迷中實相	轉 悟 則 果 中 勝 用 如 此 四 重 並 由 迷 中 實 相 
T46n1928_001:0710a11	而立。今釋曰，迷中實相即無住本，乃今文一	而 立 今 釋 曰 迷 中 實 相 即 無 住 本 乃 今 文 一 
T46n1928_001:0710a12	性無性也，上之四重即立一切法，乃今文三	性 無 性 也 上 之 四 重 即 立 一 切 法 乃 今 文 三 
T46n1928_001:0710a13	千宛然也。第一重既以性德緣了為一切法，	千 宛 然 也 第 一 重 既 以 性 德 緣 了 為 一 切 法 
T46n1928_001:0710a14	須以正因為無住本，餘之三重既將逆順二	須 以 正 因 為 無 住 本 餘 之 三 重 既 將 逆 順 二 
T46n1928_001:0710a15	修為一切法，必以性德三因為無住本，此即	修 為 一 切 法 必 以 性 德 三 因 為 無 住 本 此 即 
T46n1928_001:0710a16	理事兩重總別也。問：「既以迷中實相為一性，	理 事 兩 重 總 別 也 問 既 以 迷 中 實 相 為 一 性 
T46n1928_001:0710a17	對三千為別，正當以理為總，何苦破他？」答：「以	對 三 千 為 別 正 當 以 理 為 總 何 苦 破 他 答 以 
T46n1928_001:0710a18	三千法同一性故，隨緣為萬法時，趣舉一法	三 千 法 同 一 性 故 隨 緣 為 萬 法 時 趣 舉 一 法 
T46n1928_001:0710a19	總攝一切也。眾生無始全體在迷，若唯論真	總攝一切 也 眾 生 無 始 全 體 在 迷 若 唯 論 真 
T46n1928_001:0710a20	性為總，何能事事具攝諸法？而專舉一念者，	性 為 總 何 能 事 事 具 攝 諸 法 而 專 舉 一 念 者 
T46n1928_001:0710a21	別從近要立觀慧之境也。若示一念總攝諸	別 從 近 要 立 觀 慧 之 境 也 若 示 一 念 總 攝 諸 
T46n1928_001:0710a22	法，則顯諸法同一真性。故《釋籤》云，俗即百界	法 則 顯 諸 法 同 一 真 性 故 釋 籤 云 俗 即 百 界 
T46n1928_001:0710a23	千如，真則同居一念。須知同一性故，方能同	千 如 真 則 同 居 一 念 須 知 同 一 性 故 方 能 同 
T46n1928_001:0710a24	居一念，故以同居一念用顯同一真性，非謂	居 一 念 故 以 同 居 一 念 用 顯 同 一 真 性 非 謂 
T46n1928_001:0710a25	便將一念名為真諦，豈同居一塵非真諦邪？	便 將 一 念 名 為 真 諦 豈 同 居 一 塵 非 真 諦 邪 
T46n1928_001:0710a26	今文以一性為總，前後文以一念為總，蓋理	今 文 以 一 性 為 總 前 後 文 以 一 念 為 總 蓋 理 
T46n1928_001:0710a27	事相顯也。此之二句，正出攝別入總之所以	事 相 顯 也 此 之 二 句 正 出 攝 別 入 總 之 所 以 
T46n1928_001:0710a28	也，由一性無性立理事三千故，故兩重三千	也 由 一 性 無 性 立 理 事 三 千 故 故 兩 重 三 千 
T46n1928_001:0710a29	同居一念也，豈同他釋直以一念名真性邪？」	同 居 一 念 也 豈 同 他 釋 直 以 一 念 名 真 性 邪 
T46n1928_001:0710b01	二、當知下，就理事明諦境二：初、約理事明三	二 當 知 下 就 理 事 明 諦 境 二 初 約 理 事 明 三 
T46n1928_001:0710b02	諦二：初、明理事心之色心者，即事明理具也。	諦 二 初 明 理 事 心 之 色 心 者 即 事 明 理 具 也 
T46n1928_001:0710b03	初言心者，趣舉剎那也。之者，語助也。色心者，	初 言 心 者 趣 舉 剎 那 也 之 者 語 助 也 色 心 者 
T46n1928_001:0710b04	性德三千也。圓家明性既非但理，乃具三千	性 德 三 千 也 圓 家 明 性 既 非 但 理 乃 具 三 千 
T46n1928_001:0710b05	之性也，此性圓融遍入同居剎那心中，此心	之 性 也 此 性 圓 融 遍 入 同 居 剎 那 心 中 此 心 
T46n1928_001:0710b06	之色心乃秖心是三千色心，如物之八相更無	之 色 心 乃 秖 心 是 三 千 色 心 如 物 之 八 相 更 無 
T46n1928_001:0710b07	前後，即同《止觀》心具之義，亦向心性之義。三	前 後 即 同 止 觀 心 具 之 義 亦 向 心 性 之 義 三 
T46n1928_001:0710b08	千色心一不可改，故名為性，此一句約理明	千 色 心 一 不 可 改 故 名 為 性 此 一 句 約 理 明 
T46n1928_001:0710b09	總別，本具三千為別，剎那一念為總，以三千	總 別 本 具 三 千 為 別 剎 那 一 念 為 總 以 三 千 
T46n1928_001:0710b10	同一性故，故總在一念也。即心名變等者，即	同 一 性 故 故 總 在 一 念 也 即 心 名 變 等 者 即 
T46n1928_001:0710b11	上具三千之心，隨染淨緣不變而變、非造而	上 具 三 千 之 心 隨 染 淨 緣 不 變 而 變 非 造 而 
T46n1928_001:0710b12	造，能成修中三千事相，變雖兼別、造雖通四，	造 能 成 修 中 三 千 事 相 變 雖 兼 別 造 雖 通 四 
T46n1928_001:0710b13	今即具心名變、此變名造，則唯屬圓不通三	今 即 具 心 名 變 此 變 名 造 則 唯 屬 圓 不 通 三 
T46n1928_001:0710b14	教。此二句則事中總別，變造三千為別，剎那	教 此 二 句 則 事 中 總 別 變 造 三 千 為 別 剎 那 
T46n1928_001:0710b15	一念為總，亦以三千同一性故，故咸趣一念	一 念 為 總 亦 以 三 千 同 一 性 故 故 咸 趣 一 念 
T46n1928_001:0710b16	也。造謂體用者，指上變造即全體起用，故因	也 造 謂 體 用 者 指 上 變 造 即 全 體 起 用 故 因 
T46n1928_001:0710b17	前心具色心隨緣變造，修中色心乃以性中	前 心 具 色 心 隨 緣 變 造 修 中 色 心 乃 以 性 中 
T46n1928_001:0710b18	三千為體，修起三千為用，則全理體起於事	三 千 為 體 修 起 三 千 為 用 則 全 理 體 起 於 事 
T46n1928_001:0710b19	用，方是圓教隨緣之義。故《輔行》云，心造有二	用 方 是 圓 教 隨 緣 之 義 故 輔 行 云 心 造 有 二 
T46n1928_001:0710b20	種：一者約理，造即是具；二者約事，乃明三世	種 一 者 約 理 造 即 是 具 二 者 約 事 乃 明 三 世 
T46n1928_001:0710b21	凡聖變造。即結云，皆由理具方有事用。此文	凡 聖 變 造 即 結 云 皆 由 理 具 方 有 事 用 此 文 
T46n1928_001:0710b22	還合彼不？問：「變名本出《楞伽》，彼云『不思議熏	還 合 彼 不 問 變 名 本 出 楞 伽 彼 云 不 思 議 熏 
T46n1928_001:0710b23	不思議變故』。造名本出《華嚴》，彼云『造種種五	不思議變 故 造 名 本 出 華 嚴 彼 云 造 種 種 五 
T46n1928_001:0710b24	陰』。故《華嚴》唯有二教，《楞伽》合具四教，何故《金	陰 故 華 嚴 唯 有 二 教 楞 伽 合 具 四 教 何 故 金 
T46n1928_001:0710b25	錍》云『變義唯二，造通於四』？」答：「部中具教多少。	錍 云 變 義 唯 二 造 通 於 四 答 部 中 具 教 多 少 
T46n1928_001:0710b26	雖爾，今約字義通局不同。何者？大凡云變，多約	雖 爾 今 約 字 義 通 局 不 同 何 者 大 凡 云 變 多 約 
T46n1928_001:0710b27	當體改轉得名，故變名則局。若論造者，乃	當 體 改 轉 得 名 故 變 名 則 局 若 論 造 者 乃 
T46n1928_001:0710b28	有轉變之造，亦有構集之造，故造名則通。別、	有 轉 變 之 造 亦 有 構 集 之 造 故 造 名 則 通 別 
T46n1928_001:0710b29	圓皆有中實之性，是故二教指變為造，藏、通	圓 皆 有 中 實 之 性 是 故 二 教 指 變 為 造 藏 通 
T46n1928_001:0710c01	既無中實之體，但明業惑構造諸法，不云變	既 無 中 實 之 體 但 明 業 惑 構 造 諸 法 不 云 變 
T46n1928_001:0710c02	也。大乘唯心小乘由心，故云變則唯二、造則	也 大 乘 唯 心 小 乘 由 心 故 云 變 則 唯 二 造 則 
T46n1928_001:0710c03	通四。」問：「他云造謂體同，及改此文二十來字，	通 四 問 他 云 造 謂 體 同 及 改 此 文 二 十 來 字 
T46n1928_001:0710c04	而云收得舊本，又云勘契多同。今何違舊？」答：	而 云 收 得 舊 本 又 云 勘 契 多 同 今 何 違 舊 答 
T46n1928_001:0710c05	「舊本諸文全無錯邪？應是荊溪親書本邪？又	 舊 本 諸 文 全 無 錯 邪 應 是 荊 溪 親 書 本 邪 又 
T46n1928_001:0710c06	多本同者，止如杭州十藏中台教，頃曾略讀	多 本 同 者 止 如 杭 州 十 藏 中 台 教 頃 曾 略 讀 
