T48n2009_001:0365a08	小室六門	小 室 六 門 
T48n2009_001:0367b26	貪嗔癡等三毒心。為三解脫。是則名為得度	貪 嗔 癡 等 三 毒 心 為 三 解 脫 是 則 名 為 得 度 
T48n2009_001:0367b27	三大阿僧祇劫。末世眾生。愚癡鈍根。不解如	三 大阿僧祇劫 末 世 眾 生 愚 癡 鈍 根 不 解 如 
T48n2009_001:0367b28	來三大阿僧祇祕密之說。遂言成佛塵劫。斯	來 三 大 阿 僧 祇 祕 密 之 說 遂 言 成 佛 塵 劫 斯 
T48n2009_001:0367b29	豈不疑誤行人退菩提道。	豈 不 疑 誤 行 人 退 菩 提 道 
T48n2009_001:0367c01	問。菩薩摩訶薩。由持三聚淨戒。行六波羅蜜。	問 菩薩摩訶薩 由 持 三聚淨戒 行 六波羅蜜 
T48n2009_001:0367c02	方成佛道。今令學者唯只觀心。不修戒行。云	方 成 佛 道 今 令 學 者 唯 只 觀 心 不 修 戒 行 云 
T48n2009_001:0367c03	何成佛。答。三聚淨戒者。即制三毒心也。制三	何 成 佛 答 三聚淨戒 者 即 制 三 毒 心 也 制 三 
T48n2009_001:0367c04	毒心成無量善聚。聚者會也。無量善法普會	毒 心 成 無 量 善 聚 聚 者 會 也 無 量 善 法 普 會 
T48n2009_001:0367c05	於心。故名三聚淨戒。六波羅蜜者。即淨六根	於 心 故 名 三聚淨戒 六波羅蜜 者 即 淨 六 根 
T48n2009_001:0367c06	也。胡名波羅蜜。漢名達彼岸。以六根清淨不	也 胡 名 波 羅 蜜 漢 名 達 彼 岸 以 六 根 清 淨 不 
T48n2009_001:0367c07	染六塵。即是度煩惱河。至菩提岸。故云六波	染 六 塵 即 是 度 煩 惱 河 至 菩 提 岸 故 云 六 波 
T48n2009_001:0367c08	羅蜜。	羅 蜜 
T48n2009_001:0367c09	問。如經所說。三聚淨戒者。誓斷一切惡。誓修	問 如 經 所 說 三聚淨戒 者 誓 斷 一 切 惡 誓 修 
T48n2009_001:0367c10	一切善。誓度一切眾生。今者唯言制三毒心。	一 切 善 誓 度 一 切 眾 生 今 者 唯 言 制 三 毒 心 
T48n2009_001:0367c11	豈不文義有乖。答。佛所說經是真實語。菩薩	豈 不 文 義 有 乖 答 佛 所 說 經 是 真 實 語 菩 薩 
T48n2009_001:0367c12	摩訶薩。於過去因中修行時。為對三毒。發三	摩 訶 薩 於 過 去 因 中 修 行 時 為 對 三 毒 發 三 
T48n2009_001:0367c13	誓願。斷一切惡。故常持戒。對於貪毒。誓修一	誓 願 斷 一 切 惡 故 常 持 戒 對 於 貪 毒 誓 修 一 
T48n2009_001:0367c14	切善。故常習定。對於瞋毒。誓度一切眾生。故	切 善 故 常 習 定 對 於 瞋 毒 誓 度 一 切 眾 生 故 
T48n2009_001:0367c15	常修慧。對於癡毒。由持如是戒定慧等三種	常 修 慧 對 於 癡 毒 由 持 如 是 戒 定 慧 等 三 種 
T48n2009_001:0367c16	淨法故。能超彼三毒成佛道也。諸惡消滅。名	淨 法 故 能 超 彼 三 毒 成 佛 道 也 諸 惡 消 滅 名 
T48n2009_001:0367c17	之為斷。諸善具足。名之為修。以能斷惡修善。	之 為 斷 諸 善 具 足 名 之 為 修 以 能 斷 惡 修 善 
T48n2009_001:0367c18	則萬行成就。自他俱利。普濟群生。名之為度。	則 萬 行 成 就 自 他 俱 利 普 濟 群 生 名 之 為 度 
T48n2009_001:0367c19	故知所修戒行不離於心。若自心清淨。則一	故 知 所 修 戒 行 不 離 於 心 若 自 心 清 淨 則 一 
T48n2009_001:0367c20	切佛土皆悉清淨。故經云。心垢則眾生垢。心	切 佛 土 皆 悉 清 淨 故 經 云 心 垢 則 眾 生 垢 心 
T48n2009_001:0367c21	淨則眾生淨。欲得淨土。當淨其心。隨其心淨	淨 則 眾 生 淨 欲 得 淨 土 當 淨 其 心 隨 其 心 淨 
T48n2009_001:0367c22	則佛土淨。三聚淨戒自然成就。	則 佛 土 淨 三聚淨戒 自 然 成 就 
T48n2009_001:0367c23	問。如經所說。六波羅蜜者。亦名六度。所謂布	問 如 經 所 說 六波羅蜜 者 亦 名 六 度 所 謂 布 
T48n2009_001:0367c24	施持戒忍辱精進禪定智慧。今言六根清淨。	施 持 戒 忍 辱 精 進 禪 定 智 慧 今 言 六 根 清 淨 
T48n2009_001:0367c25	名波羅蜜者。何為通會。又六度者。其義如	名 波 羅 蜜 者 何 為 通 會 又 六 度 者 其 義 如 
T48n2009_001:0367c26	何。答。欲修六度。當淨六根降六賊。能捨眼	何 答 欲 修 六 度 當 淨 六 根 降 六 賊 能 捨 眼 
T48n2009_001:0367c27	賊。離諸色境。名為布施。能禁耳賊。於彼聲	賊 離 諸 色 境 名 為 布 施 能 禁 耳 賊 於 彼 聲 
T48n2009_001:0367c28	塵。不令放逸。名為持戒。能伏鼻賊。等諸香	塵 不 令 放 逸 名 為 持 戒 能 伏 鼻 賊 等 諸 香 
T48n2009_001:0367c29	臭。自在調柔。名為忍辱。能制舌賊。不貪諸	臭 自 在 調 柔 名 為 忍 辱 能 制 舌 賊 不 貪 諸 
T48n2009_001:0368a01	味。讚詠講說。名為精進。能降身賊。於諸觸	味 讚 詠 講 說 名 為 精 進 能 降 身 賊 於 諸 觸 
T48n2009_001:0368a02	慾。湛然不動。名為禪定。能調意賊。不順無	慾 湛然不動 名 為 禪 定 能 調 意 賊 不 順 無 
T48n2009_001:0368a03	明。常修覺慧。名為智慧。六度者運也。六波	明 常 修 覺 慧 名 為 智 慧 六 度 者 運 也 六 波 
T48n2009_001:0368a04	羅蜜若船筏。能運眾生。達於彼岸。故名六	羅 蜜 若 船 筏 能 運 眾 生 達 於 彼 岸 故 名 六 
T48n2009_001:0368a05	度。	度 
T48n2009_001:0368a06	問。經云。釋迦如來為菩薩時。曾飲三斗六升	問 經 云 釋 迦 如 來 為 菩 薩 時 曾 飲 三 斗 六 升 
T48n2009_001:0368a07	乳糜。方成佛道。先因飲乳。後證佛果。豈唯觀	乳 糜 方 成 佛 道 先 因 飲 乳 後 證 佛 果 豈 唯 觀 
T48n2009_001:0368a08	心得解脫乎。答。誠知所言無虛妄也。必因食	心得解脫 乎 答 誠 知 所 言 無 虛 妄 也 必 因 食 
T48n2009_001:0368a09	乳。然始成佛。言食乳者有二種。佛所食者。不	乳 然 始 成 佛 言 食 乳 者 有 二 種 佛 所 食 者 不 
T48n2009_001:0368a10	是世間不淨之乳。乃是真如清淨法乳也。三	是 世 間 不 淨 之 乳 乃 是 真 如 清 淨 法 乳 也 三 
T48n2009_001:0368a11	斗者。即三聚淨戒。六升者。即六波羅蜜。成佛	斗 者 即 三聚淨戒 六 升 者 即 六波羅蜜 成 佛 
T48n2009_001:0368a12	道時。由食如是清淨法乳。方證佛果。若言如	道 時 由 食 如 是 清 淨 法 乳 方 證 佛 果 若 言 如 
T48n2009_001:0368a13	來食於世間和合不淨之牛羶腥乳者。豈不	來 食 於 世 間 和 合 不 淨 之 牛 羶 腥 乳 者 豈 不 
T48n2009_001:0368a14	謗誤之甚乎。真如者。自是金剛不壞。無漏法	謗 誤 之 甚 乎 真 如 者 自 是 金 剛 不 壞 無 漏 法 
T48n2009_001:0368a15	身。永離世間一切諸苦。豈須如是不淨之乳。	身 永 離 世 間 一 切 諸 苦 豈 須 如 是 不 淨 之 乳 
T48n2009_001:0368a16	以充飢渴。如經所說。其牛不在高原。不在下	以 充 飢 渴 如 經 所 說 其 牛 不 在 高 原 不 在 下 
T48n2009_001:0368a17	濕。不食穀麥糠麩。不與特牛同群。其牛身作	濕 不 食 穀 麥 糠 麩 不 與 特 牛 同 群 其 牛 身 作 
T48n2009_001:0368a18	紫磨金色。言此牛者。毘盧舍那佛也。以大慈	紫 磨 金 色 言 此 牛 者 毘 盧 舍 那 佛 也 以 大 慈 
T48n2009_001:0368a19	悲。怜愍一切。故於清淨法體中。出如是三聚	悲 怜 愍 一 切 故 於 清 淨 法 體 中 出 如 是 三 聚 
T48n2009_001:0368a20	淨戒六波羅蜜微妙法乳。育一切求解脫者。	淨 戒 六波羅蜜 微 妙 法 乳 育 一 切 求 解 脫 者 
T48n2009_001:0368a21	如是真淨之牛。清淨之乳。非但如來飲之成	如 是 真 淨 之 牛 清 淨 之 乳 非 但 如 來 飲 之 成 
T48n2009_001:0368a22	道。一切眾生若能飲者。皆得阿耨多羅三藐	道 一 切 眾 生 若 能 飲 者 皆 得 阿 耨 多 羅 三 藐 
T48n2009_001:0368a23	三菩提。	三 菩 提 
T48n2009_001:0368a24	問。經中所說。佛令眾生修造伽藍。鑄寫形像。	問 經 中 所 說 佛 令 眾 生 修 造 伽 藍 鑄 寫 形 像 
T48n2009_001:0368a25	燒香散花。燃長明燈。晝夜六時。遶塔行道。持	燒 香 散 花 燃 長 明 燈 晝 夜 六 時 遶 塔 行 道 持 
T48n2009_001:0368a26	齋禮拜。種種功德。皆成佛道。若唯觀心。總攝	齋 禮 拜 種 種 功 德 皆 成 佛 道 若 唯 觀 心 總 攝 
T48n2009_001:0368a27	諸行。說如是事。應虛妄也。答。佛所說經。有	諸 行 說 如 是 事 應 虛 妄 也 答 佛 所 說 經 有 
T48n2009_001:0368a28	無量方便。以一切眾生鈍根狹劣。不悟甚深	無量方便 以 一 切 眾 生 鈍 根 狹 劣 不 悟 甚 深 
T48n2009_001:0368a29	之義。所以假有為喻無為。若復不修內行。唯	之 義 所 以 假 有 為 喻 無 為 若 復 不 修 內 行 唯 
T48n2009_001:0368b01	只外求。希望獲福。無有是處。言伽藍者。西國	只 外 求 希 望 獲 福 無 有 是 處 言 伽 藍 者 西 國 
T48n2009_001:0368b02	語。此土翻為清淨地也。若永除三毒。常淨六	語 此 土 翻 為 清 淨 地 也 若 永 除 三 毒 常 淨 六 
T48n2009_001:0368b03	根。身心湛然。內外清淨。是名修造伽藍。鑄寫	根 身 心 湛 然 內 外 清 淨 是 名 修 造 伽 藍 鑄 寫 
T48n2009_001:0368b04	形像者。即是一切眾生求佛道也。所謂修諸	形 像 者 即 是 一 切 眾 生 求 佛 道 也 所 謂 修 諸 
T48n2009_001:0368b05	覺行。彷像如來真容妙相。豈是鑄寫金銅之	覺 行 彷 像 如 來 真 容 妙 相 豈 是 鑄 寫 金 銅 之 
T48n2009_001:0368b06	所作乎。是故求解脫者。以身為爐。以法為火。	所 作 乎 是 故 求 解 脫 者 以 身 為 爐 以 法 為 火 
T48n2009_001:0368b07	以智慧為巧匠。以三聚淨戒六波羅蜜以為	以 智 慧 為 巧 匠 以 三聚淨戒 六波羅蜜 以 為 
T48n2009_001:0368b08	模楑。鎔鍊身中真如佛性。遍入一切戒律模	模 楑 鎔 鍊 身 中 真 如 佛 性 遍 入 一 切 戒 律 模 
T48n2009_001:0368b09	中。如教奉行。一無漏缺。自然成就真容之像。	中 如 教 奉 行 一 無 漏 缺 自 然 成 就 真 容 之 像 
T48n2009_001:0368b10	所謂究竟常住微妙色身。不是有為敗壞之	所 謂 究 竟 常 住 微 妙 色 身 不 是 有 為 敗 壞 之 
T48n2009_001:0368b11	法。若人求道。不解如是鑄寫真容。憑何輒言	法 若 人 求 道 不 解 如 是 鑄 寫 真 容 憑 何 輒 言 
T48n2009_001:0368b12	功德。又燒香者。亦非世間有相之香。乃是無	功 德 又 燒 香 者 亦 非 世 間 有 相 之 香 乃 是 無 
T48n2009_001:0368b13	為正法之香也。薰諸臭穢無明惡業。悉令消	為 正 法 之 香 也 薰 諸 臭 穢 無 明 惡 業 悉 令 消 
T48n2009_001:0368b14	滅。正法香者。其有五種。一者戒香。所謂能斷	滅 正 法 香 者 其 有 五 種 一 者 戒 香 所 謂 能 斷 
T48n2009_001:0368b15	諸惡。能修諸善。二者定香。所謂深信大乘。心	諸 惡 能 修 諸 善 二 者 定 香 所 謂 深 信 大 乘 心 
T48n2009_001:0368b16	無退轉。三者慧香。所謂常於身心。內自觀察。	無 退 轉 三 者 慧 香 所 謂 常 於 身 心 內 自 觀 察 
T48n2009_001:0368b17	四者解脫香。所謂能斷一切無明結縛。五者	四 者 解 脫 香 所 謂 能 斷 一切無明 結 縛 五 者 
T48n2009_001:0368b18	解脫知見香。所謂觀照常明。通達無礙。如是	解脫知見 香 所 謂 觀 照 常 明 通 達 無 礙 如 是 
T48n2009_001:0368b19	五種香。名為最上之香。世間無比。佛在世	五 種 香 名 為 最 上 之 香 世 間 無 比 佛 在 世 
T48n2009_001:0368b20	日。令諸弟子。以智慧火。燒如是無價寶香。供	日 令 諸 弟 子 以 智 慧 火 燒 如 是 無 價 寶 香 供 
T48n2009_001:0368b21	養十方諸佛。今時眾生不解如來真實之義。	養 十方諸佛 今 時 眾 生 不 解 如 來 真 實 之 義 
T48n2009_001:0368b22	唯將外火。燒於世間沈檀。薰陸質礙之香。希	唯 將 外 火 燒 於 世 間 沈 檀 薰 陸 質 礙 之 香 希 
T48n2009_001:0368b23	望福報。云何可得乎。又散花者。義亦如是。所	望 福 報 云 何 可 得 乎 又 散 花 者 義 亦 如 是 所 
T48n2009_001:0368b24	謂演說正法。諸功德花。饒益有情。散沾一	謂 演 說 正 法 諸 功 德 花 饒益有情 散 沾 一 
T48n2009_001:0368b25	切。於真如性。普施莊嚴。此功德花。佛所稱	切 於 真 如 性 普 施 莊 嚴 此 功 德 花 佛 所 稱 
T48n2009_001:0368b26	讚。究竟常住。無凋落期。若復有人。散如是	讚 究 竟 常 住 無 凋 落 期 若 復 有 人 散 如 是 
T48n2009_001:0368b27	花。獲福無量。若言如來令眾生。剪截繒綵。傷	花 獲 福 無 量 若 言 如 來 令 眾 生 剪 截 繒 綵 傷 
T48n2009_001:0368b28	損草木。以為散花。無有是處。所以者何。持淨	損 草 木 以 為 散 花 無 有 是 處 所以者何 持 淨 
T48n2009_001:0368b29	戒者。於諸天地森羅萬像。不令觸犯。若誤犯	戒 者 於 諸 天 地 森 羅 萬 像 不 令 觸 犯 若 誤 犯 
T48n2009_001:0368c01	者猶獲大罪。況復今者故毀淨戒。傷損萬物。	者 猶 獲 大 罪 況 復 今 者 故 毀 淨 戒 傷 損 萬 物 
T48n2009_001:0368c02	求於福報。欲益反損。豈有是乎。長明燈者。即	求 於 福 報 欲 益 反 損 豈 有 是 乎 長 明 燈 者 即 
T48n2009_001:0368c03	正覺心也。覺之明了。喻之為燈。是故一切求	正 覺 心 也 覺 之 明 了 喻 之 為 燈 是 故 一 切 求 
T48n2009_001:0368c04	解脫者。身為燈臺。心為燈炷。增諸戒行。以為	解 脫 者 身 為 燈 臺 心 為 燈 炷 增 諸 戒 行 以 為 
T48n2009_001:0368c05	添油。智慧明達。喻如燈火常燃。如是真正覺	添 油 智 慧 明 達 喻 如 燈 火 常 燃 如 是 真 正 覺 
T48n2009_001:0368c06	燈。而照一切無明癡暗。能以此法輪。次第相	燈 而 照 一切無明 癡 暗 能 以 此 法 輪 次 第 相 
T48n2009_001:0368c07	開示。即是一燈燃百千燈。燈燈無盡。故號長	開 示 即 是 一 燈 燃 百 千 燈 燈 燈 無 盡 故 號 長 
T48n2009_001:0368c08	明。過去有佛。名曰燃燈。義亦如是。愚癡眾	明 過 去 有 佛 名 曰 燃 燈 義 亦 如 是 愚 癡 眾 
T48n2009_001:0368c09	生。不會如來方便之說。專行虛妄。執著有為。	生 不 會 如 來 方 便 之 說 專 行 虛 妄 執 著 有 為 
T48n2009_001:0368c10	遂燃世間蘇油之燈。以照空室。乃稱依教。豈	遂 燃 世 間 蘇 油 之 燈 以 照 空 室 乃 稱 依 教 豈 
T48n2009_001:0368c11	不謬乎。所以者何。佛放眉間一毫相光。能照	不 謬 乎 所以者何 佛 放 眉 間 一 毫 相 光 能 照 
T48n2009_001:0368c12	萬八千世界。豈假如是蘇油之燈。以為利益。	萬 八 千 世 界 豈 假 如 是 蘇 油 之 燈 以 為 利 益 
T48n2009_001:0368c13	審察斯理。應不然乎。又六時行道者。所謂六	審 察 斯 理 應 不 然 乎 又 六 時 行 道 者 所 謂 六 
T48n2009_001:0368c14	根之中。於一切時。常行佛道。修諸覺行。調伏	根 之 中 於一切時 常 行 佛 道 修 諸 覺 行 調 伏 
T48n2009_001:0368c15	六根。長時不捨。名為六時行道。遶塔行道者。	六 根 長 時 不 捨 名 為 六 時 行 道 遶 塔 行 道 者 
T48n2009_001:0368c16	塔者是身也。當修覺行巡遶身心。念念不停。	塔 者 是 身 也 當 修 覺 行 巡 遶 身 心 念 念 不 停 
T48n2009_001:0368c17	名為遶塔。過去諸聖皆行此道。至涅槃時。今	名 為 遶 塔 過 去 諸 聖 皆 行 此 道 至 涅 槃 時 今 
T48n2009_001:0368c18	時世人不會此理。曾不內行。唯執外求。將質	時 世 人 不 會 此 理 曾 不 內 行 唯 執 外 求 將 質 
T48n2009_001:0368c19	礙身。遶世間塔。日夜走驟。徒自疲勞。而於真	礙 身 遶 世 間 塔 日 夜 走 驟 徒 自 疲 勞 而 於 真 
T48n2009_001:0368c20	性。一無利益。又持齋者。當須會意。不達	性 一 無 利 益 又 持 齋 者 當 須 會 意 不 達 
T48n2009_001:0368c21	斯理。徒爾虛功。齋者齊也。所謂齊正身心。不	斯 理 徒 爾 虛 功 齋 者 齊 也 所 謂 齊 正 身 心 不 
T48n2009_001:0368c22	令散亂。持者護也。所謂於諸戒行。如法護持。	令 散 亂 持 者 護 也 所 謂 於 諸 戒 行 如 法 護 持 
T48n2009_001:0368c23	必須外禁六情。內制三毒。慇懃覺察清淨身	必 須 外 禁 六 情 內 制 三 毒 慇 懃 覺 察 清 淨 身 
T48n2009_001:0368c24	心。了如是義。名為持齋。食有五種。一者法喜	心 了 如 是 義 名 為 持 齋 食 有 五 種 一 者 法 喜 
T48n2009_001:0368c25	食。所謂依持正法。歡喜奉行。二者禪悅食。所	食 所 謂 依 持 正 法 歡 喜 奉 行 二 者 禪 悅 食 所 
T48n2009_001:0368c26	為內外澄寂。身心悅樂。三者念食。所謂常	為 內 外 澄 寂 身 心 悅 樂 三 者 念 食 所 謂 常 
T48n2009_001:0368c27	念諸佛。心口相應。四者願食。所謂行住坐臥。	念 諸 佛 心 口 相 應 四 者 願 食 所 謂 行住坐臥 
T48n2009_001:0368c28	常求善願。五者解脫食。所謂心常清淨。不染	常 求 善 願 五 者 解 脫 食 所 謂 心 常 清 淨 不 染 
T48n2009_001:0368c29	俗塵。此五種食名為持齋。若復有人。不食如	俗 塵 此 五 種 食 名 為 持 齋 若 復 有 人 不 食 如 
T48n2009_001:0369a01	是五種淨食。自言持齋。無有是處。唯斷於無	是 五 種 淨 食 自 言 持 齋 無 有 是 處 唯 斷 於 無 
T48n2009_001:0369a02	明之食。輒作解者。名為破齋。若亦有破。云何	明 之 食 輒 作 解 者 名 為 破 齋 若 亦 有 破 云 何 
T48n2009_001:0369a03	獲福。世有迷人。不悟斯理。身心放逸皆為諸	獲 福 世 有 迷 人 不 悟 斯 理 身 心 放 逸 皆 為 諸 
T48n2009_001:0369a04	惡。貪欲恣情。不生慚愧。唯斷外食。自為持	惡 貪 欲 恣 情 不 生 慚 愧 唯 斷 外 食 自 為 持 
T48n2009_001:0369a05	齋。必無是處。又禮拜者。當如法也。必須理體	齋 必 無 是 處 又 禮 拜 者 當 如 法 也 必 須 理 體 
T48n2009_001:0369a06	內明。事隨權變。會如是義。乃名依法。夫禮者	內 明 事 隨 權 變 會 如 是 義 乃 名 依 法 夫 禮 者 
T48n2009_001:0369a07	敬也。拜者伏也。所謂恭敬真性。屈伏無明。名	敬 也 拜 者 伏 也 所 謂 恭 敬 真 性 屈 伏 無 明 名 
T48n2009_001:0369a08	為禮拜。若能惡情永滅。善念恒存。雖不理相。	為 禮 拜 若 能 惡 情 永 滅 善 念 恒 存 雖 不 理 相 
T48n2009_001:0369a09	名為禮拜。其相即法相也。世尊欲令世俗表	名 為 禮 拜 其 相 即 法 相 也 世 尊 欲 令 世 俗 表 
T48n2009_001:0369a10	謙下心。亦為禮拜。故須屈伏外身。示內恭敬。	謙 下 心 亦 為 禮 拜 故 須 屈 伏 外 身 示 內 恭 敬 
T48n2009_001:0369a11	覺外明內。性相相應。若復不行理法。唯執外	覺 外 明 內 性 相 相 應 若 復 不 行 理 法 唯 執 外 
T48n2009_001:0369a12	求。內則放縱貪癡。常為惡業。外即空勞身相。	求 內 則 放 縱 貪 癡 常 為 惡 業 外 即 空 勞 身 相 
T48n2009_001:0369a13	詐現威儀。無慚於聖。徒誑於凡。不免輪迴。豈	詐 現 威 儀 無 慚 於 聖 徒 誑 於 凡 不 免 輪 迴 豈 
T48n2009_001:0369a14	成功德。	成 功 德 
T48n2009_001:0369a15	問。如經說言。至心念佛。必得往生西方淨土。	問 如 經 說 言 至 心 念 佛 必 得 往 生 西方淨土 
T48n2009_001:0369a16	以此一門。即應成佛。何假觀心。求於解脫。答。	以 此 一 門 即 應 成 佛 何 假 觀 心 求 於 解 脫 答 
T48n2009_001:0369a17	夫念佛者。當須正念。了義為正。不了義為邪。	夫 念 佛 者 當 須 正 念 了 義 為 正 不 了 義 為 邪 
T48n2009_001:0369a18	正念必得往生。邪念云何到彼哉。佛者覺也。	正 念 必 得 往 生 邪 念 云 何 到 彼 哉 佛 者 覺 也 
T48n2009_001:0369a19	所謂覺察身心。勿令起惡也。念者憶也。所謂	所 謂 覺 察 身 心 勿 令 起 惡 也 念 者 憶 也 所 謂 
T48n2009_001:0369a20	憶持戒行。不忘精進。了如是義。名之為念。故	憶 持 戒 行 不 忘 精 進 了 如 是 義 名 之 為 念 故 
T48n2009_001:0369a21	知念在於心。非在於言。因筌求魚。得魚忘筌。	知 念 在 於 心 非 在 於 言 因 筌 求 魚 得 魚 忘 筌 
T48n2009_001:0369a22	因言求意。得意忘言。既稱念佛之名。須知念	因 言 求 意 得 意 忘 言 既 稱 念 佛 之 名 須 知 念 
T48n2009_001:0369a23	佛之道。若心無實。口誦空名。三毒內臻。人我	佛 之 道 若 心 無 實 口 誦 空 名 三 毒 內 臻 人 我 
T48n2009_001:0369a24	填臆。將無明心。向外求佛。徒爾虛功。且如誦	填 臆 將 無 明 心 向 外 求 佛 徒 爾 虛 功 且 如 誦 
T48n2009_001:0369a25	之與念。義理懸殊。在口曰誦。在心曰念。故知	之 與 念 義 理 懸 殊 在 口 曰 誦 在 心 曰 念 故 知 
T48n2009_001:0369a26	念從心起。名為覺行之門。誦在口中。即是音	念 從 心 起 名 為 覺 行 之 門 誦 在 口 中 即 是 音 
T48n2009_001:0369a27	聲之相。執外求理。終無是處。故知過去諸聖	聲 之 相 執 外 求 理 終 無 是 處 故 知 過 去 諸 聖 
T48n2009_001:0369a28	所修念佛。皆非外說。只推內心。心即眾善之	所 修 念 佛 皆 非 外 說 只 推 內 心 心 即 眾 善 之 
T48n2009_001:0369a29	源。心為萬德之主。涅槃常樂。由真心生。三界	源 心 為 萬 德 之 主 涅槃常樂 由 真 心 生 三 界 
T48n2009_001:0369b01	輪迴亦從心起。心是出世之門戶。心是解脫	輪 迴 亦 從 心 起 心 是 出 世 之 門 戶 心 是 解 脫 
T48n2009_001:0369b02	之關津。知門戶者豈慮難入。識關津者何憂	之 關 津 知 門 戶 者 豈 慮 難 入 識 關 津 者 何 憂 
T48n2009_001:0369b03	不通。	不 通 
T48n2009_001:0369b04	問。如溫室經說。洗浴眾僧。獲福無量。此則憑	問 如 溫 室 經 說 洗 浴 眾 僧 獲 福 無 量 此 則 憑 
T48n2009_001:0369b05	於事法。功德始成。若為觀心可相應乎。答。洗	於 事 法 功 德 始 成 若 為 觀 心 可 相 應 乎 答 洗 
T48n2009_001:0369b06	浴眾僧者。非世間有為事也。世尊甞為諸弟	浴 眾 僧 者 非 世 間 有 為 事 也 世 尊 甞 為 諸 弟 
T48n2009_001:0369b07	子。說溫室經。欲令受持洗浴之法。其溫室者。	子 說 溫 室 經 欲 令 受 持 洗 浴 之 法 其 溫 室 者 
T48n2009_001:0369b08	即身是也。所以燃智慧火。溫淨戒湯。沐浴身	即 身 是 也 所 以 燃 智 慧 火 溫 淨 戒 湯 沐 浴 身 
T48n2009_001:0369b09	中真如佛性。受持七法。以自莊嚴。當日比丘	中 真 如 佛 性 受 持 七 法 以 自 莊 嚴 當 日 比 丘 
T48n2009_001:0369b10	聰明上智。皆悟聖意。如說修行。功德成就。俱	聰 明 上 智 皆 悟 聖 意 如說修行 功德成就 俱 
T48n2009_001:0369b11	登聖果。今時眾生莫測其事。將世間水。洗質	登 聖 果 今 時 眾 生 莫 測 其 事 將 世 間 水 洗 質 
T48n2009_001:0369b12	礙身。自謂依經。豈非誤也。且真如佛性。非是	礙 身 自 謂 依 經 豈 非 誤 也 且 真 如 佛 性 非 是 
T48n2009_001:0369b13	凡形煩惱塵垢。本來無相。豈可將質礙水洗	凡 形 煩 惱 塵 垢 本 來 無 相 豈 可 將 質 礙 水 洗 
T48n2009_001:0369b14	無為身。事不相應。云何悟道。若欲身得淨者。	無 為 身 事 不 相 應 云 何 悟 道 若 欲 身 得 淨 者 
T48n2009_001:0369b15	當觀此身。本因貪欲不淨所生。臭穢駢闐。內	當 觀 此 身 本 因 貪 欲 不 淨 所 生 臭 穢 駢 闐 內 
T48n2009_001:0369b16	外充滿。若洗此身求於淨者。猶如洗塹。塹盡	外 充 滿 若 洗 此 身 求 於 淨 者 猶 如 洗 塹 塹 盡 
T48n2009_001:0369b17	方淨。以此驗之。明知洗外非佛說也。是故假	方 淨 以 此 驗 之 明 知 洗 外 非 佛 說 也 是 故 假 
T48n2009_001:0369b18	世事。比喻真宗。隱說七事供養功德。其事有	世 事 比 喻 真 宗 隱 說 七 事 供 養 功 德 其 事 有 
T48n2009_001:0369b19	七。云何為七。一者淨水。二者燃火。三者澡	七 云 何 為 七 一 者 淨 水 二 者 燃 火 三 者 澡 
T48n2009_001:0369b20	豆。四者楊枝。五者淨灰。六者蘇膏。七者內	豆 四 者 楊 枝 五 者 淨 灰 六 者 蘇 膏 七 者 內 
T48n2009_001:0369b21	衣。舉此七事。喻於七法。一切眾生由此七法。	衣 舉 此 七 事 喻 於 七 法 一 切 眾 生 由 此 七 法 
T48n2009_001:0369b22	沐浴莊嚴。能除毒心無明垢穢。其七法者。一	沐 浴 莊 嚴 能 除 毒 心 無 明 垢 穢 其 七 法 者 一 
T48n2009_001:0369b23	者淨戒。洗蕩愆非。猶如淨水濯諸塵垢。二者	者 淨 戒 洗 蕩 愆 非 猶 如 淨 水 濯 諸 塵 垢 二 者 
T48n2009_001:0369b24	智慧。觀察內外。猶如燃火能溫淨水。三者分	智 慧 觀 察 內 外 猶 如 燃 火 能 溫 淨 水 三 者 分 
T48n2009_001:0369b25	別。簡棄諸惡。猶如澡豆能淨垢膩。四者真實。	別 簡 棄 諸 惡 猶 如 澡 豆 能 淨 垢 膩 四 者 真 實 
T48n2009_001:0369b26	斷諸妄想。猶如楊枝能消口氣。五者正信。決	斷 諸 妄 想 猶 如 楊 枝 能 消 口 氣 五 者 正 信 決 
T48n2009_001:0369b27	定無疑。猶如淨灰摩身障風。六者柔和。忍辱	定 無 疑 猶 如 淨 灰 摩 身 障 風 六 者 柔 和 忍 辱 
T48n2009_001:0369b28	甘受。猶如蘇膏通潤皮膚。七者慚愧。悔諸惡	甘 受 猶 如 蘇 膏 通 潤 皮 膚 七 者 慚 愧 悔 諸 惡 
T48n2009_001:0369b29	業。猶如內衣遮醜形體。如上七法是經中祕	業 猶 如 內 衣 遮 醜 形 體 如 上 七 法 是 經 中 祕 
T48n2009_001:0369c01	密之義。皆是為諸大乘利根者說。非為少智	密 之 義 皆 是 為 諸 大 乘 利 根 者 說 非 為 少 智 
T48n2009_001:0369c02	下劣凡夫。所以今人無能解悟。竊見今時淺	下 劣 凡 夫 所 以 今 人 無 能 解 悟 竊 見 今 時 淺 
