X55n0907_001:0642c03	禪門章	禪 門 章 
X55n0907_001:0648c22	問。波羅蜜為當是究竟理名。為當理中更有所生之	問 波 羅 蜜 為 當 是 究 竟 理 名 為 當 理 中 更 有 所 生 之 
X55n0907_001:0648c23	名耶。答。到彼岸者是究理處名。更有所生者。由波若	名 耶 答 到 彼 岸 者 是 究 理 處 名 更 有 所 生 者 由 波 若 
X55n0907_001:0648c24	照一切眾事畢悉。且得名(云云)。今此三義。釋菩薩因	照 一 切 眾 事 畢 悉 且 得 名 云 云 今 此 三 義 釋 菩 薩 因 
X55n0907_001:0649a01	中受波羅蜜名者。因中說果。如說金為食。食由金得	中 受 波 羅 蜜 名 者 因中說果 如 說 金 為 食 食 由 金 得 
X55n0907_001:0649a02	名金為食。菩薩望果修因。因名波羅蜜。二乘不行中	名 金 為 食 菩 薩 望 果 修 因 因 名 波 羅 蜜 二 乘 不 行 中 
X55n0907_001:0649a03	道化眾生。既不行佛果因故。未得受此名。二者分觀	道 化 眾 生 既 不 行 佛 果 因 故 未 得 受 此 名 二 者 分 觀 
X55n0907_001:0649a04	中道見佛。故受此名。二乘非是開佛知見。自此之前	中 道 見 佛 故 受 此 名 二 乘 非 是 開 佛 知 見 自 此 之 前 
X55n0907_001:0649a05	皆名邪見。如星辰光非月光。初月光是分光。故菩薩	皆 名 邪 見 如 星 辰 光 非 月 光 初 月 光 是 分 光 故 菩 薩 
X55n0907_001:0649a06	分受名也。二不別得名者。此就理得名。一如無二如。	分 受 名 也 二 不 別 得 名 者 此 就 理 得 名 一 如 無 二 如 
X55n0907_001:0649a07	因是實相更無差別。故名波羅蜜也。	因 是 實 相 更 無 差 別 故 名 波 羅 蜜 也 
X55n0907_001:0649a08	第三釋門者。既知名識體。則修之有由。故次辨門。原	第 三 釋 門 者 既 知 名 識 體 則 修 之 有 由 故 次 辨 門 原 
X55n0907_001:0649a09	其根本但是一心。更離心出色。此二為根本。即是善	其 根 本 但是一心 更 離 心 出 色 此 二 為 根 本 即 是 善 
X55n0907_001:0649a10	惡之本。亦名毒草亦名藥王。亦名夷塗亦名嶮路。故	惡 之 本 亦 名 毒 草 亦 名 藥 王 亦 名 夷 塗 亦 名 嶮 路 故 
X55n0907_001:0649a11	大品云。色中無味相。眾生不應味著。著故即是毒草。	大 品 云 色 中 無 味 相 眾 生 不 應 味 著 著 故 即 是 毒 草 
X55n0907_001:0649a12	嶮路喜多害命。壅塞不通。不名為門。又云。色中無離	嶮 路 喜 多 害 命 壅 塞 不 通 不 名 為 門 又 云 色 中 無 離 
X55n0907_001:0649a13	相。聖人不應得解脫。解脫即是夷塗。藥王即是通相。	相 聖 人 不 應 得 解 脫 解 脫 即 是 夷 塗 藥 王 即 是 通 相 
X55n0907_001:0649a14	名之為門。又色中亦有非味非離相。若色但離為門。	名 之 為 門 又 色 中 亦 有 非 味 非 離 相 若 色 但 離 為 門 
X55n0907_001:0649a15	止通至化城。非味非離為門。通至究竟寶所。心為禪	止 通 至 化 城 非 味 非 離 為 門 通 至 究 竟 寶 所 心 為 禪 
X55n0907_001:0649a16	門亦復如是。俱有離相。非味非離。即是大小諸禪本	門 亦復如是 俱 有 離 相 非 味 非 離 即 是 大 小 諸 禪 本 
X55n0907_001:0649a17	於色心。出色心外更無別法。設令外道執此離陰即	於 色 心 出 色 心 外 更 無 別 法 設 令 外 道 執 此 離 陰 即 
X55n0907_001:0649a18	陰。癡心多想。起六十二見。謂有諸法。終不出於色。滯	陰 癡 心 多 想 起 六 十 二 見 謂 有 諸 法 終 不 出 於 色 滯 
X55n0907_001:0649a19	此成壅。佛子觀即離等。我不可得。約此論通。若作三	此 成 壅 佛 子 觀 即 離 等 我不可得 約 此 論 通 若 作 三 
X55n0907_001:0649a20	聚明義。色．心．非色非心。亦不出色心。按無作之色從	聚 明 義 色 心 非 色 非 心 亦 不 出 色 心 按 無 作 之 色 從 
X55n0907_001:0649a21	色法上生。更非餘處。至受報時還是善妙。色心雖作	色 法 上 生 更 非 餘 處 至 受 報 時 還 是 善 妙 色 心 雖 作 
X55n0907_001:0649a22	三聚。終不離色心。又三無為者亦不出色心。若非數	三 聚 終 不 離 色 心 又 三 無 為 者 亦 不 出 色 心 若 非 數 
X55n0907_001:0649a23	緣滅者。良由有此色心得說緣過之法。若入過去名	緣 滅 者 良 由 有 此 色 心 得 說 緣 過 之 法 若 入 過 去 名 
X55n0907_001:0649a24	為非數緣滅。若無此色心。說何物為非數滅耶。故不	為 非 數 緣 滅 若 無 此 色 心 說 何 物 為 非 數 滅 耶 故 不 
X55n0907_001:0649b01	離色心也。	離 色 心 也 
X55n0907_001:0649b02	若數緣滅者。以智慧法治數緣煩惱。煩惱得滅。如闇	若 數 緣 滅 者 以 智 慧 法 治 數 緣 煩 惱 煩 惱 得 滅 如 闇 
X55n0907_001:0649b03	室通夜有闇相續至曉。而今以光照了。令相續之闇	室 通 夜 有 闇 相 續 至 曉 而 今 以 光 照 了 令 相 續 之 闇 
X55n0907_001:0649b04	不起。智慧破惑亦復如是。故名數緣無為。明慧即而	不 起 智 慧 破 惑 亦復如是 故 名 數 緣 無 為 明 慧 即 而 
X55n0907_001:0649b05	論也。虗空無為者。以色心對非色非心之處名為虗	論 也 虗 空 無 為 者 以 色 心 對 非 色 非 心 之 處 名 為 虗 
X55n0907_001:0649b06	空。無此色心名。何物為虗空。相待而論。亦不離色心。	空 無 此 色 心 名 何 物 為 虗 空 相 待 而 論 亦 不 離 色 心 
X55n0907_001:0649b07	問。大乘中復有法性無為。非佛作。天人所作。與此色	問 大 乘 中 復 有 法 性 無 為 非 佛 作 天 人 所 作 與 此 色 
X55n0907_001:0649b08	心復云何。答。性是名色性。名色是性用。用不離性。性	心 復 云 何 答 性 是 名 色 性 名 色 是 性 用 用 不 離 性 性 
X55n0907_001:0649b09	不離用。若名色非性用者。即是離性外別有色心。色	不 離 用 若 名 色 非 性 用 者 即 是 離 性 外 別 有 色 心 色 
X55n0907_001:0649b10	心非性家之用。今不如此。故知色心攝盡也。乃至陰．	心 非 性 家 之 用 今 不 如 此 故 知 色 心 攝 盡 也 乃 至 陰 
X55n0907_001:0649b11	入．界等皆是開合色心。更無別法。當知色心名為法	入 界 等 皆 是 開 合 色 心 更 無 別 法 當 知 色 心 名 為 法 
X55n0907_001:0649b12	界。若通若塞。若毒若藥。若染若離。悉攝其中。故以名	界 若 通 若 塞 若 毒 若 藥 若 染 若 離 悉 攝 其 中 故 以 名 
X55n0907_001:0649b13	色為門也。今開色為二門。即如經說。一不淨觀。二阿	色 為 門 也 今 開 色 為 二 門 即 如 經 說 一 不 淨 觀 二 阿 
X55n0907_001:0649b14	那波那門。對心為三門。(若從佛教為次者)初破貪著說不淨	那 波 那 門 對 心 為 三 門 若 從 佛 教 為 次 者 初 破 貪 著 說 不 淨 
X55n0907_001:0649b15	觀行人相過。六十比丘雇麻杖自害。佛便更說勝法。	觀 行 人 相 過 六 十 比 丘 雇 麻 杖 自 害 佛 便 更 說 勝 法 
X55n0907_001:0649b16	所言阿那波那十六特勝厭患縱容。無自害之咎。是	所 言 阿那波那 十 六 特 勝 厭 患 縱 容 無 自 害 之 咎 是 
X55n0907_001:0649b17	故先說色門。次說息門。若定慧相生次者。息是定法。	故 先 說 色 門 次 說 息 門 若 定 慧 相 生 次 者 息 是 定 法 
X55n0907_001:0649b18	不淨是慧。因定發慧。須先明阿那波那。次明不淨。又	不 淨 是 慧 因 定 發 慧 須 先 明 阿那波那 次 明 不 淨 又 
X55n0907_001:0649b19	阿那是舊法。不淨是客法。今依佛教。先不淨觀門也。	阿 那 是 舊 法 不 淨 是 客 法 今 依 佛 教 先 不 淨 觀 門 也 
X55n0907_001:0649b20	此二門同是觀色法。色法即四大。不淨觀觀於地水	此 二 門 同 是 觀 色 法 色 法 即 四 大 不 淨 觀 觀 於 地 水 
X55n0907_001:0649b21	二大。先作假想。壽命之風既斷。火勢即滅。水漬地水。	二 大 先 作 假 想 壽 命 之 風 既 斷 火 勢 即 滅 水 漬 地 水 
X55n0907_001:0649b22	大地覆阤。爛壞膿血不淨九想十想等。皆是觀於水	大 地 覆 阤 爛 壞 膿 血 不 淨 九 想 十 想 等 皆 是 觀 於 水 
X55n0907_001:0649b23	地能壞貪欲也。阿那波那是觀於風火二大。悉依於	地 能 壞 貪 欲 也 阿那波那 是 觀 於 風 火 二 大 悉 依 於 
X55n0907_001:0649b24	風。風即出入息。息亦是色法。能治乱心。他解壽命是	風 風 即 出 入 息 息 亦 是 色 法 能 治 乱 心 他 解 壽 命 是 
X55n0907_001:0649c01	無教法。若以出入息為命。此命即是色性。觀此息法	無 教 法 若 以 出 入 息 為 命 此 命 即 是 色 性 觀 此 息 法 
X55n0907_001:0649c02	入出長短遍身。能見身中三十六物。發生諸禪。故以	入 出 長 短 遍 身 能 見 身 中 三 十 六 物 發 生 諸 禪 故 以 
X55n0907_001:0649c03	此為門也。今若總對三門者。以此心色息對世間．出	此 為 門 也 今 若 總 對 三 門 者 以 此 心 色 息 對 世 間 出 
X55n0907_001:0649c04	世間．出世間上上三種禪門也。如大品明世間法施。	世 間 出 世 間 上 上 三 種 禪 門 也 如 大 品 明 世 間 法 施 
X55n0907_001:0649c05	即是十善道．四禪．四空十二門也。出世間法施即是	即 是 十 善 道 四 禪 四 空 十 二 門 也 出世間法 施 即 是 
X55n0907_001:0649c06	不淨．背捨．勝處三十七品也。上上法施即是十八不	不 淨 背 捨 勝 處 三十七品 也 上 上 法 施 即 是 十 八 不 
X55n0907_001:0649c07	共．無畏．十力．一切種智也。息門既是舊法。凡夫外道	共 無 畏 十 力 一切種智 也 息 門 既 是 舊 法 凡 夫 外 道 
X55n0907_001:0649c08	共修。故屬世間法施。色門是客法。能破惑出生死。故	共 修 故 屬 世 間 法 施 色 門 是 客 法 能 破 惑 出 生 死 故 
X55n0907_001:0649c09	是出世間法施。心性幽微。詣理深妙。故名上上法施。	是 出世間法 施 心 性 幽 微 詣 理 深 妙 故 名 上 上 法 施 
X55n0907_001:0649c10	大集明三種攝心。出法．滅法．非出非滅法。若依數息	大 集 明 三 種 攝 心 出 法 滅 法 非 出 非 滅 法 若 依 數 息 
X55n0907_001:0649c11	故。發十二門支林功德。諸法生故。亦是出生世間之	故 發 十 二 門 支 林 功 德 諸 法 生 故 亦 是 出 生 世 間 之 
X55n0907_001:0649c12	因。能招世間之果。故名出法漏心。滅法滅壞因果。斷	因 能 招 世 間 之 果 故 名 出 法 漏 心 滅 法 滅 壞 因 果 斷 
X55n0907_001:0649c13	子果兩縛。畢故不造新。名為滅法漏心也。不出不滅	子 果 兩 縛 畢 故 不 造 新 名 為 滅 法 漏 心 也 不 出 不 滅 
X55n0907_001:0649c14	者。不出不同凡夫。不滅不同二乘。非凡則非生死。非	者 不 出 不 同 凡 夫 不 滅 不 同 二 乘 非 凡 則 非 生 死 非 
X55n0907_001:0649c15	聖則非涅槃。遮此二邊名為上上漏心。明數復為三。	聖 則 非 涅 槃 遮 此 二 邊 名 為 上 上 漏 心 明 數 復 為 三 
X55n0907_001:0649c16	一數息門通至十二禪。二隨息門通至十六特勝。三	一 數 息 門 通 至 十 二 禪 二 隨 息 門 通 至 十 六 特 勝 三 
X55n0907_001:0649c17	觀息門通至通明禪也。問。前十二門可是世法。後二	觀 息 門 通 至 通 明 禪 也 問 前 十 二 門 可 是 世 法 後 二 
X55n0907_001:0649c18	門不應是。答。此禪是亦有漏亦無漏。未能決斷治惑。	門 不 應 是 答 此 禪 是 亦 有 漏 亦 無 漏 未 能 決 斷 治 惑 
X55n0907_001:0649c19	斷惑力弱。名有漏。而復厭離諸惑。小勝十二門。故名	斷 惑 力 弱 名 有 漏 而 復 厭 離 諸 惑 小 勝 十 二 門 故 名 
X55n0907_001:0649c20	無漏。又利根人用此發無漏。名無漏。鈍人不能除名	無 漏 又 利 根 人 用 此 發 無 漏 名 無 漏 鈍 人 不 能 除 名 
X55n0907_001:0649c21	有漏。雖復如此。同是息為門。又同依四禪發故。故屬	有 漏 雖 復 如 此 同 是 息 為 門 又 同 依 四 禪 發 故 故 屬 
X55n0907_001:0649c22	世間禪也。明色為禪門。即開為九想八念十想。釋論	世 間 禪 也 明 色 為 禪 門 即 開 為 九 想 八 念 十 想 釋 論 
X55n0907_001:0649c23	云。九想為麤。十想為細。九想如縛賊。十想如煞賊。或	云 九 想 為 麤 十 想 為 細 九 想 如 縛 賊 十 想 如 煞 賊 或 
X55n0907_001:0649c24	言九想是十想之一支無常想耳。若修九想怖畏心	言 九 想 是 十 想 之 一 支 無 常 想 耳 若 修 九 想 怖 畏 心 
X55n0907_001:0650a01	多。令修八念。依怙有地。厭背心成。作十想分明。今直	多 令 修 八 念 依 怙 有 地 厭 背 心 成 作 十 想 分 明 今 直 
X55n0907_001:0650a02	就十想對三道。前三想對見道。中四心對修道。後三	就 十 想 對 三 道 前 三 想 對 見 道 中 四 心 對 修 道 後 三 
X55n0907_001:0650a03	對無學。若是燒想。滅去骨人。發無漏時。成壞法羅漢。	對 無 學 若 是 燒 想 滅 去 骨 人 發 無 漏 時 成 壞 法 羅 漢 
X55n0907_001:0650a04	不修燒想。轉變此骨。成不壞羅漢。即是修八背捨觀	不 修 燒 想 轉 變 此 骨 成 不 壞 羅 漢 即 是 修 八 背 捨 觀 
X55n0907_001:0650a05	也。所謂內觀色外觀色名初背捨。如是次第成八背	也 所 謂 內 觀 色 外 觀 色 名 初 背 捨 如 是 次 第 成 八 背 
X55n0907_001:0650a06	捨。皆是約色而論。若修勝處者。還觀色多少好醜。更	捨 皆 是 約 色 而 論 若 修 勝 處 者 還 觀 色 多 少 好 醜 更 
X55n0907_001:0650a07	不約餘也。若修一切處者。還是觀淨色遍。而若九次	不 約 餘 也 若 修 一 切 處 者 還 是 觀 淨 色 遍 而 若 九 次 
X55n0907_001:0650a08	第定。還從初背捨次第無間心入。若師子奮迅者。還	第 定 還 從 初 背 捨 次 第 無 間 心 入 若 師 子 奮 迅 者 還 
X55n0907_001:0650a09	從八背捨次第而出。若是超越。還約八而超。是名不	從 八 背 捨 次 第 而 出 若 是 超 越 還 約 八 而 超 是 名 不 
X55n0907_001:0650a10	壞羅漢俱解脫人。皆以色為門也。釋論料簡八解脫	壞 羅 漢 俱 解 脫 人 皆 以 色 為 門 也 釋 論 料 簡 八 解 脫 
X55n0907_001:0650a11	與背捨異。因名背捨。果名解脫。或有說云不異。若不	與 背 捨 異 因 名 背 捨 果 名 解 脫 或 有 說 云 不 異 若 不 
X55n0907_001:0650a12	異者背捨即是解脫。羅漢既具八解脫。可得只是八	異 者 背 捨 即 是 解 脫 羅 漢 既 具 八 解 脫 可 得 只 是 八 
X55n0907_001:0650a13	背捨。阿那含未得非想．滅盡兩解脫。雖修八背捨。那	背 捨 阿 那 含 未 得 非 想 滅 盡 兩 解 脫 雖 修 八 背 捨 那 
X55n0907_001:0650a14	得是八解脫。故知應異。若大乘以實相心行如來行。	得 是 八 解 脫 故 知 應 異 若 大 乘 以 實 相 心 行 如 來 行 
X55n0907_001:0650a15	入諸法中皆是解脫。亦不待至非想．滅定。此無俟論	入 諸 法 中 皆 是 解 脫 亦 不 待 至 非 想 滅 定 此 無 俟 論 
X55n0907_001:0650a16	其同異耳。	其 同 異 耳 
X55n0907_001:0650a17	心為禪門者。法華普賢觀云。一切業鄣海。皆從妄想	心 為 禪 門 者 法 華 普 賢 觀 云 一 切 業 鄣 海 皆 從 妄 想 
X55n0907_001:0650a18	生。若欲懺悔者。當懺六情根。端坐念實相。眾罪如霜	生 若 欲 懺 悔 者 當 懺 六 情 根 端 坐 念 實 相 眾 罪 如 霜 
X55n0907_001:0650a19	露。慧日能銷除。又云。我心自空。罪福無主。念實相者。	露 慧 日 能 銷 除 又 云 我 心 自 空 罪 福 無 主 念 實 相 者 
X55n0907_001:0650a20	即是心為門也。般舟云。有心想即癡。無想即泥洹。心	即 是 心 為 門 也 般 舟 云 有 心 想 即 癡 無 想 即 泥 洹 心 
X55n0907_001:0650a21	之無垢名清淨。五道鮮潔不受色。有解此者成大道。	之 無 垢 名 清 淨 五 道 鮮 潔 不 受 色 有 解 此 者 成 大 道 
X55n0907_001:0650a22	此亦是就心為門。若大品中明覺意者。但是覺於此	此 亦 是 就 心 為 門 若 大 品 中 明 覺 意 者 但 是 覺 於 此 
X55n0907_001:0650a23	心。故首楞嚴者。修治於心猶如虗空。又自性禪者。即	心 故 首 楞 嚴 者 修 治 於 心 猶 如 虗 空 又 自 性 禪 者 即 
X55n0907_001:0650a24	是自性清淨心。能觀心性名為上定。當知皆是約心	是 自 性 清 淨 心 能 觀 心 性 名 為 上 定 當 知 皆 是 約 心 
X55n0907_001:0650b01	為門。心門或但止其心而無觀慧者。此發禪時多與	為 門 心 門 或 但 止 其 心 而 無 觀 慧 者 此 發 禪 時 多 與 
X55n0907_001:0650b02	四禪相濫。墮世間禪中。佛在世時。有比丘修此止心。	四 禪 相 濫 墮 世 間 禪 中 佛 在 世 時 有 比 丘 修 此 止 心 
X55n0907_001:0650b03	若發未到地時。不見身心床鋪。謂無人法。言得假實	若 發 未 到 地 時 不 見 身 心 床 鋪 謂 無 人 法 言 得 假 實 
X55n0907_001:0650b04	二空。次發初禪。謂是初果。發四禪。謂是無學。起增上	二 空 次 發 初 禪 謂 是 初 果 發 四 禪 謂 是 無 學 起 增 上 
X55n0907_001:0650b05	慢。臨終見生處起謗。便墮地獄。故真止心與四禪相	慢 臨 終 見 生 處 起 謗 便 墮 地 獄 故 真 止 心 與 四 禪 相 
X55n0907_001:0650b06	濫也。今欲止心修空時。當識知空法從緣而生。空法	濫 也 今 欲 止 心 修 空 時 當 識 知 空 法 從 緣 而 生 空 法 
X55n0907_001:0650b07	塵對意根生此空識。乃至非空非不空等法塵對意	塵 對 意 根 生 此 空 識 乃 至 非 空 非 不 空 等 法 塵 對 意 
X55n0907_001:0650b08	根生意識。此識從緣生。緣生即空。不受不著。若初禪	根 生 意 識 此 識 從 緣 生 緣 生 即 空 不 受 不 著 若 初 禪 
X55n0907_001:0650b09	發時止。知是禪是法塵對意而生。眾緣無性。無性故	發 時 止 知 是 禪 是 法 塵 對 意 而 生 眾 緣 無 性 無 性 故 
X55n0907_001:0650b10	空。不染不著。那得墮增上慢中。又有觀心者是覺心。	空 不 染 不 著 那 得 墮 增 上 慢 中 又 有 觀 心 者 是 覺 心 
X55n0907_001:0650b11	覺心者是體妄。了心者是即事體達。不煩撿覔也。	覺 心 者 是 體 妄 了 心 者 是 即 事 體 達 不 煩 撿 覔 也 
X55n0907_001:0650b12	若觀心者於五陰中但觀四陰。撿覔此心為常為斷	若 觀 心 者 於 五 陰 中 但 觀 四 陰 撿 覔 此 心 為 常 為 斷 
X55n0907_001:0650b13	為苦為樂。觀此四心即是觀於世諦。發得禪定。通至	為 苦 為 樂 觀 此 四 心 即 是 觀 於 世 諦 發 得 禪 定 通 至 
X55n0907_001:0650b14	聲聞涅槃。故法華云。若人遭苦厭老病死。為說涅槃	聲 聞 涅 槃 故 法 華 云 若 人 遭 苦 厭 老 病 死 為 說 涅 槃 
X55n0907_001:0650b15	盡諸苦際。即此義也。若覺心者。覺知此心是無明幻。	盡 諸 苦 際 即 此 義 也 若 覺 心 者 覺 知 此 心 是 無 明 幻 
X55n0907_001:0650b16	出生死。滅斷常欲。知無明是幻不可得。當知從無明	出 生 死 滅 斷 常 欲 知 無 明 是 幻 不 可 得 當 知 從 無 明 
X55n0907_001:0650b17	出諸行。名色取有四心。一切生滅等。皆是幻化。若知	出 諸 行 名 色 取 有 四 心 一 切 生 滅 等 皆 是 幻 化 若 知 
X55n0907_001:0650b18	無明。不起取有。但覺此生滅之心皆從無明幻生勞。	無 明 不 起 取 有 但 覺 此 生 滅 之 心 皆 從 無 明 幻 生 勞 
X55n0907_001:0650b19	權檢即是體妄之義。故經云。若人有福曾供養佛求	權 檢 即 是 體 妄 之 義 故 經 云 若 人 有 福 曾 供 養 佛 求 
X55n0907_001:0650b20	無上道。為說緣覺。此即通至支佛涅槃也。了心者即	無 上 道 為 說 緣 覺 此 即 通 至 支 佛 涅 槃 也 了 心 者 即 
X55n0907_001:0650b21	是了不即理。生死即涅槃。不復可滅。本自有之。思益	是 了 不 即 理 生 死 即 涅 槃 不 復 可 滅 本 自 有 之 思 益 
X55n0907_001:0650b22	云。生死即涅槃。無退沒生故。無明即是明。不離無明	云 生 死 即 涅 槃 無 退 沒 生 故 無 明 即 是 明 不 離 無 明 
X55n0907_001:0650b23	別有明。何用撿心體妄然後為是。故云。若有佛子修	別 有 明 何 用 撿 心 體 妄 然 後 為 是 故 云 若 有 佛 子 修 
X55n0907_001:0650b24	種種行。志求淨道。此即通至菩薩道一往心門。是出	種 種 行 志 求 淨 道 此 即 通 至 菩 薩 道 一 往 心 門 是 出 
X55n0907_001:0650c01	世上上通。論色亦爾。或覺諸心入於非心。是入空等	世 上 上 通 論 色 亦 爾 或 覺 諸 心 入 於 非 心 是 入 空 等 
X55n0907_001:0650c02	三門。是三觀意。問。上明直就心修止。發法墮增上慢。	三 門 是 三 觀 意 問 上 明 直 就 心 修 止 發 法 墮 增 上 慢 
X55n0907_001:0650c03	今直修空時。證亦應爾。答。直止是盲故。證不識偽。修	今 直 修 空 時 證 亦 應 爾 答 直 止 是 盲 故 證 不 識 偽 修 
X55n0907_001:0650c04	空是觀慧。發則知邪正。邪正不濫。故云修定多受福	空 是 觀 慧 發 則 知 邪 正 邪 正 不 濫 故 云 修 定 多 受 福 
X55n0907_001:0650c05	悟道難。修慧少果報而疾成道。即此義也。問。欲界定	悟 道 難 修 慧 少 果 報 而 疾 成 道 即 此 義 也 問 欲 界 定 
X55n0907_001:0650c06	斷欲界惑耶。答。就禪論斷伏者。欲界定伏五盖。名伏	斷 欲 界 惑 耶 答 就 禪 論 斷 伏 者 欲 界 定 伏 五 盖 名 伏 
X55n0907_001:0650c07	欲界事鄣惑。得未到地。斷事相惑。伏於得繩。名伏性	欲 界 事 鄣 惑 得 未 到 地 斷 事 相 惑 伏 於 得 繩 名 伏 性 
X55n0907_001:0650c08	惑。得初禪。斷性惑。是斷繫地得繩也。下去例上爾。問。	惑 得 初 禪 斷 性 惑 是 斷 繫 地 得 繩 也 下 去 例 上 爾 問 
X55n0907_001:0650c09	未到斷相伏性。應名欲界定。答。本伏相已受欲界名。	未 到 斷 相 伏 性 應 名 欲 界 定 答 本 伏 相 已 受 欲 界 名 
X55n0907_001:0650c10	此更從勝耳。成論猶是欲界定也。釋辨詮次者。夫禪	此 更 從 勝 耳 成 論 猶 是 欲 界 定 也 釋 辨 詮 次 者 夫 禪 
X55n0907_001:0650c11	本是門戶。詮次淺深階級。決應分明不使謬濫。今三	本 是 門 戶 詮 次 淺 深 階 級 決 應 分 明 不 使 謬 濫 今 三 
X55n0907_001:0650c12	種次第。先從戒起。以戒淨故。能生於禪故。若論於戒	種 次 第 先 從 戒 起 以 戒 淨 故 能 生 於 禪 故 若 論 於 戒 
X55n0907_001:0650c13	者。戒是防持。防持如有人。人即攬五陰界入之法以	者 戒 是 防 持 防 持 如 有 人 人 即 攬 五 陰 界 入 之 法 以 
X55n0907_001:0650c14	成假人。應須先辨陰入界之法。以顯行人人法之相	成 假 人 應 須 先 辨 陰 入 界 之 法 以 顯 行 人 人 法 之 相 
X55n0907_001:0650c15	也。	也 
X55n0907_001:0650c16	次明持戒如有所防。所防者只是十六知見。見愛三	次 明 持 戒 如 有 所 防 所 防 者 只 是 十 六 知 見 見 愛 三 
X55n0907_001:0650c17	毒五蓋十使等諸惡為戒所防。次辨能防法者。即是	毒 五 蓋 十 使 等 諸 惡 為 戒 所 防 次 辨 能 防 法 者 即 是 
X55n0907_001:0650c18	戒也。即是十善三歸五戒等法也。因此戒故。次發四	戒 也 即 是 十 善 三 歸 五 戒 等 法 也 因 此 戒 故 次 發 四 
X55n0907_001:0650c19	禪十二門禪十六特勝出世上上等禪。一一次第皆	禪 十 二 門 禪 十 六 特 勝 出 世 上 上 等 禪 一 一 次 第 皆 
X55n0907_001:0650c20	有所以。具如法界次第量略門所辨。載在彼文。今不	有 所 以 具 如 法 界 次 第 量 略 門 所 辨 載 在 彼 文 今 不 
X55n0907_001:0650c21	具說。所以根本禪為首。次至出世諸禪者。此直約小	具 說 所 以 根 本 禪 為 首 次 至 出 世 諸 禪 者 此 直 約 小 
X55n0907_001:0650c22	乘漸機論。次仍明大機。次者。此約從漸至頓根機為	乘 漸 機 論 次 仍 明 大 機 次 者 此 約 從 漸 至 頓 根 機 為 
X55n0907_001:0650c23	次也。若直頓者。但約自性禪為首。終至離見清淨淨	次 也 若 直 頓 者 但 約 自 性 禪 為 首 終 至 離 見 清 淨 淨 
X55n0907_001:0650c24	禪。問。此漸漸頓頓與大品明次第行學道。云何同異。	禪 問 此 漸 漸 頓 頓 與 大 品 明 次 第 行 學 道 云 何 同 異 
X55n0907_001:0651a01	答。或有解云。行學道是一法異名。更非餘法物。今欲	答 或 有 解 云 行 學 道 是 一 法 異 名 更 非 餘 法 物 今 欲 
X55n0907_001:0651a02	分異者。次第行是事相。未論觀慧。名之為行。此即是	分 異 者 次 第 行 是 事 相 未 論 觀 慧 名 之 為 行 此 即 是 
X55n0907_001:0651a03	世間禪次第行也。次第學者。論有觀慧。故修無常。時	世 間 禪 次 第 行 也 次 第 學 者 論 有 觀 慧 故 修 無 常 時 
X55n0907_001:0651a04	有學人無學人俱學無相真理。故名次第。學此即是	有 學 人 無 學 人 俱 學 無 相 真 理 故 名 次 第 學 此 即 是 
X55n0907_001:0651a05	出世間禪。名次第學也。次第道者。道名能通。究竟之	出 世 間 禪 名 次 第 學 也 次 第 道 者 道 名 能 通 究 竟 之 
X55n0907_001:0651a06	通通至大菩提果。亦能兼通前學至菩提果。即是出	通 通 至 大菩提果 亦 能 兼 通 前 學 至 菩 提 果 即 是 出 
X55n0907_001:0651a07	行世間上上禪。名次第道也。復次只就一種禪中即	行 世 間 上 上 禪 名 次 第 道 也 復 次 只 就 一 種 禪 中 即 
X55n0907_001:0651a08	明三次。若根本禪中無觀慧時名為行。有觀慧名為	明 三 次 若 根 本 禪 中 無 觀 慧 時 名 為 行 有 觀 慧 名 為 
X55n0907_001:0651a09	學。發無漏名為道。又初調息時名為行。欲界未到等	學 發 無 漏 名 為 道 又 初 調 息 時 名 為 行 欲 界 未 到 等 
X55n0907_001:0651a10	名為學。非想名為道。若就出世禪中明三次者。五方	名 為 學 非 想 名 為 道 若 就 出 世 禪 中 明 三 次 者 五 方 
X55n0907_001:0651a11	便中非學非無學位時。修諸背捨行行之法。名為次	便 中 非 學 非 無 學 位 時 修 諸 背 捨 行 行 之 法 名 為 次 
X55n0907_001:0651a12	第行。四諦十六行慧行。苦忍真明發。至那含位。名為	第 行 四 諦 十 六 行 慧 行 苦 忍 真 明 發 至 那 含 位 名 為 
X55n0907_001:0651a13	學。止羅漢盡智無生智。名為次第道。若約通教。八人	學 止 羅 漢 盡 智 無 生 智 名 為 次 第 道 若 約 通 教 八 人 
X55n0907_001:0651a14	乾慧等名為行。見地去名為學。六地去名為道。別教	乾 慧 等 名 為 行 見 地 去 名 為 學 六 地 去 名 為 道 別 教 
X55n0907_001:0651a15	三十心名為行。登地名學。妙覺為道。圓教十信為行。	三 十 心 名 為 行 登 地 名 學 妙 覺 為 道 圓 教 十 信 為 行 
X55n0907_001:0651a16	十住為學。十地為道。又十信為相似三次。十住是分	十 住 為 學 十 地 為 道 又 十 信 為 相 似 三 次 十 住 是 分 
X55n0907_001:0651a17	證三次。妙覺是究竟三次。初亦三次。後亦三次(云云)。	證 三 次 妙 覺 是 究 竟 三 次 初 亦 三 次 後 亦 三 次 云 云 
