T85n2737_001:0120a03	金剛經疏	金 剛 經 疏 
T85n2737_001:0122a12	此。破說聽能行等相。故名金剛。從此以下。第	此 破 說 聽 能 行 等 相 故 名 金 剛 從 此 以 下 第 
T85n2737_001:0122a13	二破世間微塵。舉。須菩提。於意云何。問所解	二 破 世 間 微 塵 舉 須 菩 提 於意云何 問 所 解 
T85n2737_001:0122a14	也。三千大千世界。名一佛剎。所有微塵凡夫	也 三千大千世界 名 一 佛 剎 所 有 微 塵 凡 夫 
T85n2737_001:0122a15	妄計。喻煩惱是為多不。是第二問問敬也。答	妄 計 喻 煩 惱 是 為 多 不 是 第 二 問 問 敬 也 答 
T85n2737_001:0122a16	舉須菩提言甚多世尊。是第二答。然是失旨	舉 須 菩 提 言 甚 多 世 尊 是 第 二 答 然 是 失 旨 
T85n2737_001:0122a17	故。須如來重自正說。從此以下。釋迦正釋。	故 須 如 來 重 自 正 說 從 此 以 下 釋 迦 正 釋 
T85n2737_001:0122a18	舉。須菩提。諸微塵。取彼所解。如來說非微	舉 須 菩 提 諸 微 塵 取 彼 所 解 如 來 說 非 微 
T85n2737_001:0122a19	塵。示現正義。是名微塵貪嗔等相乃是實塵。	塵 示 現 正 義 是 名 微 塵 貪 嗔 等 相 乃 是 實 塵 
T85n2737_001:0122a20	從此以下。破世界。舉。如來說世界非世界。凡	從 此 以 下 破 世 界 舉 如 來 說 世 界 非 世 界 凡 
T85n2737_001:0122a21	夫妄計。是名世界。此破微塵及世界名相。世	夫 妄 計 是 名 世 界 此 破 微 塵 及 世 界 名 相 世 
T85n2737_001:0122a22	界總是喻也。從此以下。第三破三十二相	界 總 是 喻 也 從 此 以 下 第 三 破 三十二相 
T85n2737_001:0122a23	舉。須菩提。於意云何。問所解也。不可以三十	舉 須 菩 提 於意云何 問 所 解 也 不 可 以 三 十 
T85n2737_001:0122a24	二相。得見如來不。是第三問。最可敬者。所謂	二 相 得 見 如 來 不 是 第 三 問 最 可 敬 者 所 謂 
T85n2737_001:0122a25	如來。觀如來者多觀妙相能破此相故。問可	如 來 觀 如 來 者 多 觀 妙 相 能 破 此 相 故 問 可 
T85n2737_001:0122a26	以見如來不　不也世尊。是真答也　何以	以 見 如 來 不 不 也 世 尊 是 真 答 也 何 以 
T85n2737_001:0122a27	故徵。不敢自決。引佛言成　舉。如來說三十	故 徵 不 敢 自 決 引 佛 言 成 舉 如 來 說 三 十 
T85n2737_001:0122a28	二相。是隨俗相。即非三十二相。能破此相。故	二 相 是 隨 俗 相 即 非 三十二相 能 破 此 相 故 
T85n2737_001:0122a29	名金剛。從此以下。破我我等相舉。須菩提。	名 金 剛 從 此 以 下 破 我 我 等 相 舉 須 菩 提 
T85n2737_001:0122b01	若善男子善女人。以恒河沙等身命布施者。	若 善 男 子 善 女 人 以 恒 河 沙 等 身 命 布 施 者 
T85n2737_001:0122b02	破我我所。身命上捨知復何慳。知身非身。命	破 我 我 所 身 命 上 捨 知 復 何 慳 知 身 非 身 命 
T85n2737_001:0122b03	是假命。放捨身命。施與眾生。破無說法。空	是 假 命 放 捨 身 命 施 與 眾 生 破 無 說 法 空 
T85n2737_001:0122b04	斷相也。舉　若復有人。於此經中。乃至受持	斷 相 也 舉 若 復 有 人 於 此 經 中 乃 至 受 持 
T85n2737_001:0122b05	四句偈等。為他人說。其福甚多者。破無說法	四 句 偈 等 為 他 人 說 其 福 甚 多 者 破 無 說 法 
T85n2737_001:0122b06	空斷相也。此是結文。前頭破空取有。後破有	空 斷 相 也 此 是 結 文 前 頭 破 空 取 有 後 破 有 
T85n2737_001:0122b07	取空。上來諸文不同。立名勸學了。明朝領解	取 空 上 來 諸 文 不 同 立 名 勸 學 了 明 朝 領 解 
T85n2737_001:0122b08	修行。此下第四領解修行。於中有二。先舉初	修 行 此 下 第 四 領 解 修 行 於 中 有 二 先 舉 初 
T85n2737_001:0122b09	文舉　爾時須菩提聞說經者。簡昔曾聞。顯	文 舉 爾 時 須 菩 提 聞 說 經 者 簡 昔 曾 聞 顯 
T85n2737_001:0122b10	希有也。深解義趣(者。善相句義。得意趣也。對除無失。向大乘故)涕淚	希 有 也 深 解 義 趣 者 善 相 句 義 得 意 趣 也 對 除 無 失 向 大 乘 故 涕 淚 
T85n2737_001:0122b11	悲泣(者。喜極曰悲。自鼻曰涕。自目曰淚。含啼曰泣。舍利不聞說法經懽喜勇躍)而白佛	悲 泣 者 喜 極 曰 悲 自 鼻 曰 涕 自 目 曰 淚 含 啼 曰 泣 舍 利 不 聞 說 法 經 懽 喜 勇 躍 而 白 佛 
T85n2737_001:0122b12	言。希有世尊(者從)佛說。如是甚深經典(者。是希有	言 希 有 世 尊 者 從 佛 說 如 是 甚深經典 者 是 希 有 
T85n2737_001:0122b13	也。從甚深智之所發故)我從昔來。所得惠眼。未曾得聞如	也 從 甚 深 智 之 所 發 故 我 從 昔 來 所 得 惠 眼 未 曾 得 聞 如 
T85n2737_001:0122b14	是之經(者。未聞而聞。成希有也。聞思修惠。俱名惠眼)此是須菩提領解	是 之 經 者 未 聞 而 聞 成 希 有 也 聞 思 修 惠 俱 名 惠 眼 此 是 須 菩 提 領 解 
T85n2737_001:0122b15	修行文。從此以下。須菩提勸修。舉　世尊若	修 行 文 從 此 以 下 須 菩 提 勸 修 舉 世 尊 若 
T85n2737_001:0122b16	復有人者。不簡貴賤得聞是經者。勤當時也。	復 有 人 者 不 簡 貴 賤 得 聞 是 經 者 勤 當 時 也 
T85n2737_001:0122b17	信心清淨者。於正聞時。信無疑故。則生實相	信 心 清 淨 者 於 正 聞 時 信 無 疑 故 則 生 實 相 
T85n2737_001:0122b18	者。於思修時。如實解故。當知是人。成就第一	者 於 思 修 時 如 實 解 故 當 知 是 人 成 就 第 一 
T85n2737_001:0122b19	希有功德者。得法利也。三惠所成。皆名功德。	希 有 功 德 者 得 法 利 也 三 惠 所 成 皆 名 功 德 
T85n2737_001:0122b20	依難聞法。得希有名。喻如意珠。所求皆得。眾	依 難 聞 法 得 希 有 名 喻 如 意 珠 所 求 皆 得 眾 
T85n2737_001:0122b21	生不免落地獄。此般若經。能究眾生地獄苦。	生 不 免 落 地 獄 此 般 若 經 能 究 眾 生 地 獄 苦 
T85n2737_001:0122b22	此下教實相。舉　世尊是實相者(信心清淨之所生也)則	此 下 教 實 相 舉 世 尊 是 實 相 者 信 心 清 淨 之 所 生 也 則 
T85n2737_001:0122b23	非實相者。無相實相。非言說等。所有相故。是	非 實 相 者 無 相 實 相 非 言 說 等 所 有 相 故 是 
T85n2737_001:0122b24	故如來。說名實相(者。有巧方便。顯示眾生)從此以下。須菩	故 如 來 說 名 實 相 者 有 巧 方 便 顯 示 眾 生 從 此 以 下 須 菩 
T85n2737_001:0122b25	提著哭。舉　世尊我今得聞如是經典。信解	提 著 哭 舉 世 尊 我 今 得 聞 如 是 經 典 信 解 
T85n2737_001:0122b26	受持。不足為難者。判令為易也。已得惠眼。親	受 持 不 足 為 難 者 判 令 為 易 也 已 得 惠 眼 親 
T85n2737_001:0122b27	從佛聞。理在不疑。有何難處。此以下說愁意。	從 佛 聞 理 在 不 疑 有 何 難 處 此 以 下 說 愁 意 
T85n2737_001:0122b28	看舉　若當來世(者。現前無佛也)後五百歲。其有眾生	看 舉 若 當 來 世 者 現 前 無 佛 也 後 五 百 歲 其 有 眾 生 
T85n2737_001:0122b29	(者。謂有持戒及修福也)得聞是經(者。展轉傳聞也)信解受持(者。信文解義。得	 者 謂 有 持 戒 及 修 福 也 得 聞 是 經 者 展 轉 傳 聞 也 信 解 受 持 者 信 文 解 義 得 
T85n2737_001:0122c01	念總持也)是人則為第一希有(者。斷後為難也。於難信解處時難信解故。故名希有)	念 總 持 也 是 人 則 為 第一希有 者 斷 後 為 難 也 於 難 信 解 處 時 難 信 解 故 故 名 希 有 
T85n2737_001:0122c02	何以故。此釋迦徵。以下有三徵釋。先舉初文。	何 以 故 此 釋 迦 徵 以 下 有 三 徵 釋 先 舉 初 文 
T85n2737_001:0122c03	舉。從以下。須菩提分疎。此人無我相人相。眾	舉 從 以 下 須 菩 提 分 疎 此 人 無 我 相 人 相 眾 
T85n2737_001:0122c04	生相壽者相。極顛倒時。能離四倒故。喻畫師	生 相 壽 者 相 極 顛 倒 時 能 離 四 倒 故 喻 畫 師 
T85n2737_001:0122c05	修壁。不久即有形像。此名第一希有　所以	修 壁 不 久 即 有 形 像 此 名 第一希有 所 以 
T85n2737_001:0122c06	者何。第二徵也。徵何所以。無我等相故。名第	者 何 第 二 徵 也 徵 何 所 以 無 我 等 相 故 名 第 
T85n2737_001:0122c07	一希有。緣何勿事無顛倒。舉。我相即是非相。	一 希 有 緣 何 勿 事 無 顛 倒 舉 我 相 即 是 非 相 
T85n2737_001:0122c08	人相眾生相受相者。即是非相者。以彼到相	人 相 眾 生 相 受 相 者 即 是 非 相 者 以 彼 到 相 
T85n2737_001:0122c09	非真實故。無無相倒　何以故者。第三徵也。	非 真 實 故 無 無 相 倒 何 以 故 者 第 三 徵 也 
T85n2737_001:0122c10	徵敬也。舉。離一切諸相(者。想不現也)則名諸佛	徵 敬 也 舉 離 一 切 諸 相 者 想 不 現 也 則 名 諸 佛 
T85n2737_001:0122c11	者。離諸到相。即實相故。是故說言離一切相。	者 離 諸 到 相 即 實 相 故 是 故 說 言 離一切相 
T85n2737_001:0122c12	則名諸佛。總是須菩提勸修了。從此以述勸	則 名 諸 佛 總 是 須 菩 提 勸 修 了 從 此 以 述 勸 
T85n2737_001:0122c13	文。有三節。先舉初文。舉　若復有人。得聞是	文 有 三 節 先 舉 初 文 舉 若 復 有 人 得 聞 是 
T85n2737_001:0122c14	經。不驚不怖不畏。當知是人。甚為希有者。	經 不驚不怖 不 畏 當 知 是 人 甚 為 希 有 者 
T85n2737_001:0122c15	驚怖五。不驚怖有五。當知是人。甚為希有	驚 怖 五 不 驚 怖 有 五 當 知 是 人 甚 為 希 有 
T85n2737_001:0122c16	　何以故者。徵。緣何勿事不驚怖舉　須菩	 何 以 故 者 徵 緣 何 勿 事 不 驚 怖 舉 須 菩 
T85n2737_001:0122c17	提。如來說第一波羅蜜。非第一波羅蜜。是	提 如 來 說 第 一 波 羅 蜜 非 第 一 波 羅 蜜 是 
T85n2737_001:0122c18	名第一波羅蜜者。顯示此法門。為大波羅蜜	名 第 一 波 羅 蜜 者 顯 示 此 法 門 為 大 波 羅 蜜 
T85n2737_001:0122c19	因故。喻第一邪郎賣奴。更喻饆羅　更喻嫁	因 故 喻 第 一 邪 郎 賣 奴 更 喻 饆 羅 更 喻 嫁 
T85n2737_001:0122c20	女媒人。更喻靴楦　尋文得義。是第一故。上	女 媒 人 更 喻 靴 楦 尋 文 得 義 是 第 一 故 上 
T85n2737_001:0122c21	來諸文不同。離著教果了。從此以下。第三於	來 諸 文 不 同 離 著 教 果 了 從 此 以 下 第 三 於 
T85n2737_001:0122c22	修行時。離嗔慳過。舉。須菩提。忍辱波羅蜜	修 行 時 離 嗔 慳 過 舉 須 菩 提 忍 辱 波 羅 蜜 
T85n2737_001:0122c23	(者。眾所謂也)如來說非忍辱波羅蜜(者。欲斷所疑也)此於修	 者 眾 所 謂 也 如 來 說 非 忍 辱 波 羅 蜜 者 欲 斷 所 疑 也 此 於 修 
T85n2737_001:0122c24	行時。離嗔慳過也。從此證成　何以故。徵其	行 時 離 嗔 慳 過 也 從 此 證 成 何 以 故 徵 其 
T85n2737_001:0122c25	義也　何勿是真辱。舉　須菩提。如我昔為	義 也 何 勿 是 真 辱 舉 須 菩 提 如 我 昔 為 
T85n2737_001:0122c26	哥利王(者。事證也)割截身體。我於爾時(者。世流布語)無我	哥 利 王 者 事 證 也 割 截 身 體 我 於 爾 時 者 世 流 布 語 無 我 
T85n2737_001:0122c27	相人相(者。離報著言。照見五蘊皆空。一一無我)無眾生相。無壽者相	相 人 相 者 離 報 著 言 照 見 五 蘊 皆 空 一 一 無 我 無 眾 生 相 無 壽 者 相 
T85n2737_001:0122c28	(者。不見嗔怒害我者。相故。言無眾生無壽者相)此引事證成。哥利羅王	 者 不 見 嗔 怒 害 我 者 相 故 言 無 眾 生 無 壽 者 相 此 引 事 證 成 哥 利 羅 王 
T85n2737_001:0122c29	者。是烏[例/木]利城人也。為者作也為者被也。以	者 是 烏 [例木] 利 城 人 也 為 者 作 也 為 者 被 也 以 
T85n2737_001:0123a01	空無相故。無嗔害　何以故下。重徵番釋。看	空 無 相 故 無 嗔 害 何 以 故 下 重 徵 番 釋 看 
T85n2737_001:0123a02	舉。我於往昔。節節支解時(者。刖足截手。各於節節。分四支故)若	舉 我 於 往 昔 節 節 支 解 時 者 刖 足 截 手 各 於 節 節 分 四 支 故 若 
T85n2737_001:0123a03	有我相人相。眾生相受者相。應生嗔恨。無	有 我 相 人 相 眾 生 相 受 者 相 應 生 嗔 恨 無 
T85n2737_001:0123a04	我相無人相。多少時去來。從此以下結者。	我 相 無 人 相 多 少 時 去 來 從 此 以 下 結 者 
T85n2737_001:0123a05	止陳實狀。舉　須菩提又念過去。於五百世。	止 陳 實 狀 舉 須 菩 提 又 念 過 去 於 五 百 世 
T85n2737_001:0123a06	作忍辱仙人。於爾所世。無我相無人相。無眾	作 忍 辱 仙 人 於 爾 所 世 無 我 相 無 人 相 無 眾 
T85n2737_001:0123a07	生相。無壽者相。為明為劫。久聞此經以曾多	生 相 無 壽 者 相 為 明 為 劫 久 聞 此 經 以 曾 多 
T85n2737_001:0123a08	劫。堪忍眾苦。即得成佛。但須修已。無嗔恨	劫 堪 忍 眾 苦 即 得 成 佛 但 須 修 已 無 嗔 恨 
T85n2737_001:0123a09	心。故列此文。以為永施。釋迦成道。先度驕陳	心 故 列 此 文 以 為 永 施 釋 迦 成 道 先 度 驕 陳 
T85n2737_001:0123a10	如。是釋迦大善知識。前文以釋。以上三果並	如 是 釋 迦 大 善 知 識 前 文 以 釋 以 上 三 果 並 
T85n2737_001:0123a11	了。第四於傳法時。離取相過舉　是故須菩	了 第 四 於 傳 法 時 離 取 相 過 舉 是 故 須 菩 
T85n2737_001:0123a12	提。菩薩應離一切相。發阿耨多羅三藐三菩	提 菩 薩 應 離一切相 發 阿 耨 多 羅 三 藐 三 菩 
T85n2737_001:0123a13	提心者。於傳法時。離取相過也。前文以說離	提 心 者 於 傳 法 時 離 取 相 過 也 前 文 以 說 離 
T85n2737_001:0123a14	一切相。則名諸佛。此文又說。離一切相。發菩	一 切 相 則 名 諸 佛 此 文 又 說 離一切相 發 菩 
T85n2737_001:0123a15	提心。即是菩薩轉相。勸發因果。相承即得解	提 心 即 是 菩 薩 轉 相 勸 發 因 果 相 承 即 得 解 
T85n2737_001:0123a16	脫　滅度一切眾生。是佛大事作。勿生。離一	脫 滅 度 一 切 眾 生 是 佛 大 事 作 勿 生 離 一 
T85n2737_001:0123a17	切相。舉　不應住色生心不應住色生心。不	切 相 舉 不 應 住 色 生 心 不 應 住 色 生 心 不 
T85n2737_001:0123a18	應住聲香味觸法生心者。皆是生死故說。不	應 住 聲香味觸 法 生 心 者 皆 是 生 死 故 說 不 
T85n2737_001:0123a19	應住色生心者。五蘊空寂。不應住聲香味觸	應 住 色 生 心 者 五 蘊 空 寂 不 應 住 聲香味觸 
T85n2737_001:0123a20	法生心者。不染六塵境界。住六塵者。起或業	法 生 心 者 不 染 六 塵 境 界 住 六 塵 者 起 或 業 
T85n2737_001:0123a21	故有。或業者當受苦故。作勿生住心。即得成	故 有 或 業 者 當 受 苦 故 作 勿 生 住 心 即 得 成 
T85n2737_001:0123a22	佛。舉　應生無所住心者。一切諸法性無住。	佛 舉 應 生 無 所 住 心 者 一切諸法 性 無 住 
T85n2737_001:0123a23	住乃是真住是真住者。即心自住。實無所住。	住 乃 是 真 住 是 真 住 者 即 心 自 住 實 無 所 住 
T85n2737_001:0123a24	即得涅槃。離一切相。即名真住。離有無。啟會	即 得 涅 槃 離一切相 即 名 真 住 離 有 無 啟 會 
T85n2737_001:0123a25	中道。即得成佛。住少許得無。舉　若心有住。	中 道 即 得 成 佛 住 少 許 得 無 舉 若 心 有 住 
T85n2737_001:0123a26	則為非住者。不知外性非性。不是自覺聖智	則 為 非 住 者 不 知 外 性 非 性 不 是 自覺聖智 
T85n2737_001:0123a27	住故不得。從此以下引證。看舉　是故佛說。	住 故 不 得 從 此 以 下 引 證 看 舉 是 故 佛 說 
T85n2737_001:0123a28	菩薩心不應住色布施。須菩提。菩薩為利益	菩 薩 心 不 應 住 色 布 施 須 菩 提 菩 薩 為 利 益 
T85n2737_001:0123a29	一切眾生。應如是布施者。此引佛正言。以為	一 切 眾 生 應 如 是 布 施 者 此 引 佛 正 言 以 為 
T85n2737_001:0123b01	法也。凡一切者。總名菩薩。作如是見。即解此	法 也 凡 一 切 者 總 名 菩 薩 作 如 是 見 即 解 此 
T85n2737_001:0123b02	經　上求菩提。下化薩埵。此西音譯就中言	經 上 求 菩 提 下 化 薩 埵 此 西 音 譯 就 中 言 
T85n2737_001:0123b03	故。名道心眾生　誦曰。菩提子由如底。埿從	故 名 道 心 眾 生 誦 曰 菩 提 子 由 如 底 埿 從 
T85n2737_001:0123b04	他踏納心頭。念念低緣何勿事。舉　如來說。	他 踏 納 心 頭 念 念 低 緣 何 勿 事 舉 如 來 說 
T85n2737_001:0123b05	一切諸相。即是非相。又說。一切眾生。則非眾	一 切 諸 相 即 是 非 相 又 說 一 切 眾 生 則 非 眾 
T85n2737_001:0123b06	生者。所執我人。相無性故。但隨妄情。而施設	生 者 所 執 我 人 相 無 性 故 但 隨 妄 情 而 施 設 
T85n2737_001:0123b07	故。不知實恒遍不離者。是正趣生。不知如來	故 不 知 實 恒 遍 不 離 者 是 正 趣 生 不 知 如 來 
T85n2737_001:0123b08	施設。依者是二無我。次下第五於佛所說。離	施 設 依 者 是 二 無 我 次 下 第 五 於 佛 所 說 離 
T85n2737_001:0123b09	不信過。舉　須菩提。如來是真語者。實語者。	不 信 過 舉 須 菩 提 如 來 是 真 語 者 實 語 者 
T85n2737_001:0123b10	如語者。不誑語者。不異語者第五於佛所說。	如 語 者 不 誑 語 者 不 異 語 者 第 五 於 佛 所 說 
T85n2737_001:0123b11	離不信過也　如來昔說小乘。且令脫苦。今	離 不 信 過 也 如 來 昔 說 小 乘 且 令 脫 苦 今 
T85n2737_001:0123b12	說大乘。乃令得樂。從此以下。釋迦得佛。用何	說 大 乘 乃 令 得 樂 從 此 以 下 釋 迦 得 佛 用 何 
T85n2737_001:0123b13	勿法得佛。舉　須菩提如來所得法。此法無	勿 法 得 佛 舉 須 菩 提 如 來 所 得 法 此 法 無 
T85n2737_001:0123b14	實無虛者。善分別相自心現。知外性非性。於	實 無 虛 者 善 分 別 相 自 心 現 知 外 性 非 性 於 
T85n2737_001:0123b15	法實無所得。故名無實。次下第六於行施時。	法 實 無 所 得 故 名 無 實 次 下 第 六 於 行 施 時 
T85n2737_001:0123b16	離道過舉　須菩提。若菩薩。心住於法。而行	離 道 過 舉 須 菩 提 若 菩 薩 心 住 於 法 而 行 
T85n2737_001:0123b17	布施。如人入闇。則無所見者。第六於行施時。	布 施 如 人 入 闇 則 無 所 見 者 第 六 於 行 施 時 
T85n2737_001:0123b18	離障道過。誦曰　身雖處世明足仍闇中行。	離 障 道 過 誦 曰 身 雖 處 世 明 足 仍 闇 中 行 
T85n2737_001:0123b19	直知檐外事豈憶[袖由+害]來迎。參差神貌朽恍惚	直 知 檐 外 事 豈 憶 [袖由害] 來 迎 參 差 神 貌 朽 恍 惚 
T85n2737_001:0123b20	夢還驚。但令善根熾示死亦如生。從此出能	夢 還 驚 但 令 善 根 熾 示 死 亦 如 生 從 此 出 能 
T85n2737_001:0123b21	斷道。看舉　若菩薩。心不住法而行布施。如	斷 道 看 舉 若 菩 薩 心 不 住 法 而 行 布 施 如 
T85n2737_001:0123b22	人有目。日光明照。見種種色者。出能斷道也。	人 有 目 日 光 明 照 見 種 種 色 者 出 能 斷 道 也 
T85n2737_001:0123b23	明闇不相捨離。前頭六段。總是祇樹給孤獨	明 闇 不相捨離 前 頭 六 段 總 是 祇 樹 給 孤 獨 
T85n2737_001:0123b24	園。勸當座下徒眾。後勸末代。已上六文。教	園 勸 當 座 下 徒 眾 後 勸 末 代 已 上 六 文 教 
T85n2737_001:0123b25	利六道。從此以下喻勸末代弘經。舉　須菩	利 六 道 從 此 以 下 喻 勸 末 代 弘 經 舉 須 菩 
T85n2737_001:0123b26	提。當來之世。若有善男子善女人。能於此經。	提 當來之世 若 有 善 男 子 善 女 人 能 於 此 經 
T85n2737_001:0123b27	受持讀誦。則為如來。以佛智慧。悉知是。人悉	受持讀誦 則 為 如 來 以 佛 智 慧 悉 知 是 人 悉 
T85n2737_001:0123b28	見是人者。出弘經者。攝授正法。成熟眾生。乃	見 是 人 者 出 弘 經 者 攝 授 正 法 成 熟 眾 生 乃 
T85n2737_001:0123b29	可名為善男子善女人。佛慧悉知悉見者。佛	可 名 為 善 男 子 善 女 人 佛 慧 悉 知 悉 見 者 佛 
T85n2737_001:0123c01	無礙智慧攝授也。佛知見德。何功德。舉　皆	無 礙 智 慧 攝 授 也 佛 知 見 德 何 功 德 舉 皆 
T85n2737_001:0123c02	德成就無量無邊功德者。以利誘也。長短言	德 成 就 無量無邊 功 德 者 以 利 誘 也 長 短 言 
T85n2737_001:0123c03	之則無量佛智。不能知分劑故。上來諸文不	之 則 無 量 佛 智 不 能 知 分 劑 故 上 來 諸 文 不 
T85n2737_001:0123c04	同。利過勸並了。次下第二得勸。舉　須菩提。	同 利 過 勸 並 了 次 下 第 二 得 勸 舉 須 菩 提 
T85n2737_001:0123c05	若有善男子善女人。初日分。以恒河沙等身	若 有 善 男 子 善 女 人 初 日 分 以 恒 河 沙 等 身 
T85n2737_001:0123c06	布施。中日分。復以恒河沙等身布施。後日分。	布 施 中 日 分 復 以 恒 河 沙 等 身 布 施 後 日 分 
T85n2737_001:0123c07	亦以恒河沙等身布施者。一九時。放捨身命	亦 以 恒 河 沙 等 身 布 施 者 一 九 時 放 捨 身 命 
T85n2737_001:0123c08	布施。夜三時不論。各以恒沙身命布施者。其	布 施 夜 三 時 不 論 各 以 恒 沙 身 命 布 施 者 其 
T85n2737_001:0123c09	數多也。經多少時布施。舉　如是無量百千	數 多 也 經 多 少 時 布 施 舉 如 是 無 量 百 千 
T85n2737_001:0123c10	萬億劫以身布施者。時分長也。此樂福宜多。	萬 億 劫 以 身 布 施 者 時 分 長 也 此 樂 福 宜 多 
T85n2737_001:0123c11	問何處得有爾所身命布施。答假設為言。示	問 何 處 得 有 爾 所 身 命 布 施 答 假 設 為 言 示 
T85n2737_001:0123c12	應語也。喻孝順兒。孝養阿孃頂戴母遶須彌	應 語 也 喻 孝 順 兒 孝 養 阿 孃 頂 戴 母 遶 須 彌 
T85n2737_001:0123c13	山千匝。由無足日。菩薩亦然　何勿定得舉。	山 千 匝 由 無 足 日 菩 薩 亦 然 何 勿 定 得 舉 
T85n2737_001:0123c14	若復有人聞此經典信心不逆。其福勝彼。何	若 復 有 人 聞 此 經 典 信 心 不 逆 其 福 勝 彼 何 
T85n2737_001:0123c15	況書寫受持讀誦。為人解說者。依本宣傳曰	況 書 寫 受持讀誦 為 人 解 說 者 依 本 宣 傳 曰 
T85n2737_001:0123c16	說。開闡意義曰解。功德多少。說相貌將來。	說 開 闡 意 義 曰 解 功 德 多 少 說 相 貌 將 來 
T85n2737_001:0123c17	舉　須菩提。以要言之。是經有不可思議。不	舉 須 菩 提 以要言之 是 經 有 不可思議 不 
T85n2737_001:0123c18	可稱量無邊功德者。若廣別說。窮劫不盡故	可 稱 量 無 邊 功 德 者 若 廣 別 說 窮 劫 不 盡 故 
T85n2737_001:0123c19	巧方便。略要言之。何誰合聞。此第二向勝乘。	巧 方 便 略 要 言 之 何 誰 合 聞 此 第 二 向 勝 乘 
T85n2737_001:0123c20	舉　如來為發大者說。為發最上乘者說者。	舉 如 來 為 發 大 者 說 為 發 最 上 乘 者 說 者 
T85n2737_001:0123c21	向勝乘也。聲聞緣覺是小乘者。不聞此經。有	向 勝 乘 也 聲 聞 緣 覺 是 小 乘 者 不 聞 此 經 有 
T85n2737_001:0123c22	漸悟者。迴心向大。是發大者。佛乃為說。漸悟	漸 悟 者 迴心向大 是 發 大 者 佛 乃 為 說 漸 悟 
T85n2737_001:0123c23	者。一千二百阿羅漢是也。阿誰悉知悉見。舉	者 一 千 二 百 阿 羅 漢 是 也 阿 誰 悉 知 悉 見 舉 
T85n2737_001:0123c24	　若復有人。能受持讀誦。廣為人說。如來悉	 若 復 有 人 能 受持讀誦 廣 為 人 說 如 來 悉 
T85n2737_001:0123c25	知是人。悉見是人。皆成就不可量不可稱。無	知 是 人 悉 見 是 人 皆 成 就 不 可 量 不 可 稱 無 
T85n2737_001:0123c26	有邊。不可思議功德者。即以上利。勸行法行。	有 邊 不可思議 功 德 者 即 以 上 利 勸 行 法 行 
T85n2737_001:0123c27	悉知見等義。同前釋　緣何勿事合得聞。舉	悉 知 見 等 義 同 前 釋 緣 何 勿 事 合 得 聞 舉 
T85n2737_001:0123c28	　如是人等。則為荷擔如來。阿耨多羅三藐三	 如 是 人 等 則 為 荷 擔 如 來 阿 耨 多 羅 三 藐 三 
T85n2737_001:0123c29	菩提者。當重住也。如理天下。是天子事。委任	菩 提 者 當 重 住 也 如 理 天 下 是 天 子 事 委 任 
T85n2737_001:0124a01	大臣。臣荷重住。阿耨菩提。是如來事。付囑	大 臣 臣 荷 重 住 阿耨菩提 是 如 來 事 付 囑 
T85n2737_001:0124a02	菩薩即荷如來重擔菩薩即荷如來重擔　何	菩 薩 即 荷 如 來 重 擔 菩 薩 即 荷 如 來 重 擔 何 
T85n2737_001:0124a03	以故釋。看舉　須菩提。若樂小法者。著我見	以 故 釋 看 舉 須 菩 提 若 樂小法者 著 我 見 
T85n2737_001:0124a04	人見。眾生見受者見。則於此經。不能聽受讀	人 見 眾 生 見 受 者 見 則 於 此 經 不 能 聽 受 讀 
T85n2737_001:0124a05	誦。為人解說者。謂二乘人。則此經不能聽受。	誦 為 人 解 說 者 謂 二 乘 人 則 此 經 不 能 聽 受 
T85n2737_001:0124a06	及自讀誦　三昧樂。不樂言說故。小乘者。	及 自 讀 誦 三 昧 樂 不 樂 言 說 故 小 乘 者 
T85n2737_001:0124a07	縱聞此經。亦不得成佛。得成佛敬一切皆應	縱 聞 此 經 亦 不 得 成 佛 得 成 佛 敬 一 切 皆 應 
T85n2737_001:0124a08	供養無舉　須菩提。在在處處。若有此經。一	供 養 無 舉 須 菩 提 在在處處 若 有 此 經 一 
T85n2737_001:0124a09	切世間。天人阿修羅。所應供養者。得尊貴也。	切 世 間 天 人 阿 修 羅 所 應 供 養 者 得 尊 貴 也 
T85n2737_001:0124a10	隨何時分。說為在在。持此經者。故名在在。	隨 何 時 分 說 為 在 在 持 此 經 者 故 名 在 在 
T85n2737_001:0124a11	緣何勿事得供養。舉　當知此處。則為是塔。	緣 何 勿 事 得 供 養 舉 當 知 此 處 則 為 是 塔 
T85n2737_001:0124a12	皆應恭敬。作禮圍遶。以諸花香。而散其處者。	皆 應 恭 敬 作 禮 圍 遶 以 諸 花 香 而 散 其 處 者 
T85n2737_001:0124a13	花則光色鮮榮。見者悅預。香則美氣氳馥聞	花 則 光 色 鮮 榮 見 者 悅 預 香 則 美 氣 氳 馥 聞 
T85n2737_001:0124a14	者安樂。以財表敬莫此為先。上來諸文不同。	者 安 樂 以 財 表 敬 莫 此 為 先 上 來 諸 文 不 同 
T85n2737_001:0124a15	得利勸了。次下釋滅罪勸。先勸即會。次勸末	得 利 勸 了 次 下 釋 滅 罪 勸 先 勸 即 會 次 勸 末 
