T54n2126_001:0234a10	僧史略序	僧 史 略 序 
T54n2126_001:0239a14	家者以華情學梵事耳。所謂半華半梵。亦是	家 者 以 華 情 學 梵 事 耳 所 謂 半 華 半 梵 亦 是 
T54n2126_001:0239a15	亦非。尋其所起。皆道安之遺法是。則住既與	亦 非 尋 其 所 起 皆 道 安 之 遺 法 是 則 住 既 與 
T54n2126_001:0239a16	俗不同。律行條然自別也。或云。僧上表疏。宜	俗 不 同 律 行 條 然 自 別 也 或 云 僧 上 表 疏 宜 
T54n2126_001:0239a17	去頓首。以其涉祝宗之九拜者。余觀廬山遠	去 頓 首 以 其 涉 祝 宗 之 九 拜 者 余 觀 廬 山 遠 
T54n2126_001:0239a18	公太山朗公答王臣之作。皆名下稱頓首。遠	公 太 山 朗 公 答 王 臣 之 作 皆 名 下 稱 頓 首 遠 
T54n2126_001:0239a19	公講禮。講賢釆義。豈濫用哉。且頓首者。頭委	公 講 禮 講 賢 釆 義 豈 濫 用 哉 且 頓 首 者 頭 委 
T54n2126_001:0239a20	頓而拜也。今文云頓首。而身不躬折。何為拜	頓 而 拜 也 今 文 云 頓 首 而 身 不 躬 折 何 為 拜 
T54n2126_001:0239a21	乎。又道流相見。交手叩頭而云稽首亦同也。	乎 又 道 流 相 見 交 手 叩 頭 而 云 稽 首 亦 同 也 
T54n2126_001:0239a22	然秉筆者避之為敏矣。	然 秉 筆 者 避 之 為 敏 矣 
T54n2126_001:0239a23	注經	注 經 
T54n2126_001:0239a24	乍翻法語未貫凡情。既重譯而乃通。更究文	乍 翻 法 語 未 貫 凡 情 既 重 譯 而 乃 通 更 究 文 
T54n2126_001:0239a25	而暢理故箋法作焉。沈隱之義指掌可知矣。	而 暢 理 故 箋 法 作 焉 沈 隱 之 義 指 掌 可 知 矣 
T54n2126_001:0239a26	五運圖云。康僧會吳赤鳥年中。注法鏡經。此	五 運 圖 云 康 僧 會 吳 赤 鳥 年 中 注 法 鏡 經 此 
T54n2126_001:0239a27	注經之始也。又道安重注了本生死經云。魏	注 經 之 始 也 又 道 安 重 注 了 本 生 死 經 云 魏 
T54n2126_001:0239a28	初有河南支恭明。為作注解。若然者。南注則	初 有 河 南 支 恭 明 為 作 注 解 若 然 者 南 注 則 
T54n2126_001:0239a29	康僧會居初。北注則支恭明為先矣。	康 僧 會 居 初 北 注 則 支 恭 明 為 先 矣 
T54n2126_001:0239b01	僧講	僧 講 
T54n2126_001:0239b02	朱士行頴川人也。志業方正。少懷遠悟。脫落	朱 士 行 頴 川 人 也 志 業 方 正 少 懷 遠 悟 脫 落 
T54n2126_001:0239b03	塵俗。出家之後。專務經典。常講道行般若。每	塵 俗 出 家 之 後 專 務 經 典 常 講 道 行 般 若 每 
T54n2126_001:0239b04	歎譯理未盡。乃於魏甘露五年。發跡長安。度	歎 譯 理 未 盡 乃 於 魏 甘 露 五 年 發 跡 長 安 度 
T54n2126_001:0239b05	流沙至于闐。得梵書正本九十章。彼國多小	流 沙 至 于 闐 得 梵 書 正 本 九 十 章 彼 國 多 小 
T54n2126_001:0239b06	乘學者。譖於王曰。漢地沙門欲以婆羅門書	乘 學 者 譖 於 王 曰 漢 地 沙 門 欲 以 婆 羅 門 書 
T54n2126_001:0239b07	惑亂正法。何不禁之。聾盲漢地。王之咎也。王	惑 亂 正 法 何 不 禁 之 聾 盲 漢 地 王 之 咎 也 王 
T54n2126_001:0239b08	乃不聽齎經東去。士行因請燒之為驗。于時	乃 不 聽 齎 經 東 去 士 行 因 請 燒 之 為 驗 于 時 
T54n2126_001:0239b09	積薪殿前。誓畢而焚。其經無損。王始歸信。士	積 薪 殿 前 誓 畢 而 焚 其 經 無 損 王 始 歸 信 士 
T54n2126_001:0239b10	行寄經還國。竺叔蘭無羅叉譯為放光般若。	行 寄 經 還 國 竺 叔 蘭 無 羅 叉 譯 為 放 光 般 若 
T54n2126_001:0239b11	叡法師云。士行於洛中講小品。往往不通。遠	叡 法 師 云 士 行 於 洛 中 講 小 品 往 往 不 通 遠 
T54n2126_001:0239b12	出流沙求大品。歸出為晉音是也。士行曹魏	出 流 沙 求 大 品 歸 出 為 晉 音 是 也 士 行 曹 魏 
T54n2126_001:0239b13	時。講道行經。即僧講之始也。	時 講 道 行 經 即 僧 講 之 始 也 
T54n2126_001:0239b14	尼講	尼 講 
T54n2126_001:0239b15	東晉廢帝大和三年戊辰歲。洛陽東寺尼道	東 晉 廢 帝 大 和 三 年 戊 辰 歲 洛 陽 東 寺 尼 道 
T54n2126_001:0239b16	馨俗姓羊。為沙彌時。誦通法華維摩二部。	馨 俗 姓 羊 為 沙 彌 時 誦 通 法 華 維 摩 二 部 
T54n2126_001:0239b17	受大戒後。研窮理味。一方道學所共師宗。尼	受 大 戒 後 研 窮 理 味 一 方 道 學 所 共 師 宗 尼 
T54n2126_001:0239b18	之講說道馨為始也。	之 講 說 道 馨 為 始 也 
T54n2126_001:0239b19	造疏科經	造 疏 科 經 
T54n2126_001:0239b20	經教東流始則朱士行講說未形於文字。分	經 教 東 流 始 則 朱 士 行 講 說 未 形 於 文 字 分 
T54n2126_001:0239b21	科注解其道安法師歟。安師注經。常恐不合	科 注 解 其 道 安 法 師 歟 安 師 注 經 常 恐 不 合 
T54n2126_001:0239b22	佛意。俄夢道人曰。合理即賓頭盧也。或曰。	佛 意 俄 夢 道 人 曰 合 理 即 賓 頭 盧 也 或 曰 
T54n2126_001:0239b23	注經與造疏全別。何推安公為首耶。答注是	注 經 與 造 疏 全 別 何 推 安 公 為 首 耶 答 注 是 
T54n2126_001:0239b24	解經。與別行疏義殊號而同實。矧分其科節	解 經 與 別 行 疏 義 殊 號 而 同 實 矧 分 其 科 節 
T54n2126_001:0239b25	不長途散釋。自安之意乎。次則僧叡造維摩	不 長 途 散 釋 自 安 之 意 乎 次 則 僧 叡 造 維 摩 
T54n2126_001:0239b26	疏。直生著維摩法華泥洹小品疏。世皆寶之。	疏 直 生 著 維 摩 法 華 泥 洹 小 品 疏 世 皆 寶 之 
T54n2126_001:0239b27	解律	解 律 
T54n2126_001:0239b28	元魏世。法聰律師者原是曇無德羯磨得戒	元 魏 世 法 聰 律 師 者 原 是 曇 無 德 羯 磨 得 戒 
T54n2126_001:0239b29	而常習僧祇。一日自悟乃歎曰。體既四分而	而 常 習 僧 祇 一 日 自 悟 乃 歎 曰 體 既 四 分 而 
T54n2126_001:0239c01	受。何得異部明隨。於是罷講祇律。手披目閱	受 何 得 異 部 明 隨 於 是 罷 講 祇 律 手 披 目 閱 
T54n2126_001:0239c02	敷揚四分。有門人道覆。旋抄漸成義疏。覆公	敷 揚 四 分 有 門 人 道 覆 旋 抄 漸 成 義 疏 覆 公 
T54n2126_001:0239c03	即解四分之始也。至宋元嘉中。慧詢善僧祇	即 解 四 分 之 始 也 至 宋 元 嘉 中 慧 詢 善 僧 祇 
T54n2126_001:0239c04	十誦。更製條章。即解二律之始也。今五臺山	十 誦 更 製 條 章 即 解 二 律 之 始 也 今 五 臺 山 
T54n2126_001:0239c05	北寺相傳。有聰師講律之遺迹焉。	北 寺 相 傳 有 聰 師 講 律 之 遺 迹 焉 
T54n2126_001:0239c06	解論	解 論 
T54n2126_001:0239c07	毘曇慧學對法命家。雖晚見於翻傳。而敏成	毘 曇 慧 學 對 法 命 家 雖 晚 見 於 翻 傳 而 敏 成 
T54n2126_001:0239c08	於智母。疇初稽考越措疏文。唯成實一宗最	於 智 母 疇 初 稽 考 越 措 疏 文 唯 成 實 一 宗 最 
T54n2126_001:0239c09	多法相。北則羅什刪略付授嵩法師。故後魏	多 法 相 北 則 羅 什 刪 略 付 授 嵩 法 師 故 後 魏 
T54n2126_001:0239c10	主大和十年。幸徐州白塔寺。詔曰。此寺近有	主 大 和 十 年 幸 徐 州 白 塔 寺 詔 曰 此 寺 近 有 
T54n2126_001:0239c11	名僧嵩法師。受成實論於什公。後授淵法師。	名 僧 嵩 法 師 受 成 實 論 於 什 公 後 授 淵 法 師 
T54n2126_001:0239c12	又授登紀二法師。朕每覽成實云。道登甞傳	又 授 登 紀 二 法 師 朕 每 覽 成 實 云 道 登 甞 傳 
T54n2126_001:0239c13	論於禁中。此北朝之始也。又僧道禪經律論	論 於 禁 中 此 北 朝 之 始 也 又 僧 道 禪 經 律 論 
T54n2126_001:0239c14	一皆精博。姚興同輦還宮。著成實三論義疏。	一 皆 精 博 姚 興 同 輦 還 宮 著 成 實 三 論 義 疏 
T54n2126_001:0239c15	此又在先矣。南則僧柔講宣。故出三藏記曰。	此 又 在 先 矣 南 則 僧 柔 講 宣 故 出 三 藏 記 曰 
T54n2126_001:0239c16	齊永明七年十月。文宣王招集京師碩學名	齊 永 明 七 年 十 月 文 宣 王 招 集 京 師 碩 學 名 
T54n2126_001:0239c17	僧五百人。請定林寺僧柔講寺。慧欣於普弘	僧 五 百 人 請 定 林 寺 僧 柔 講 寺 慧 欣 於 普 弘 
T54n2126_001:0239c18	寺講。此南朝之始也。又肇叡諸師講中百十	寺 講 此 南 朝 之 始 也 又 肇 叡 諸 師 講 中 百 十 
T54n2126_001:0239c19	二門等論。疏義迭生相繼無盡也。	二 門 等 論 疏 義 迭 生 相 繼 無 盡 也 
T54n2126_001:0239c20	都講	都 講 
T54n2126_001:0239c21	敷宣之士擊發之由。非旁人而啟端。難在座	敷 宣 之 士 擊 發 之 由 非 旁 人 而 啟 端 難 在 座 
T54n2126_001:0239c22	而孤起。故梁武講經。以枳園寺法彪為都講。	而 孤 起 故 梁 武 講 經 以 枳 園 寺 法 彪 為 都 講 
T54n2126_001:0239c23	彪公先一問。梁祖方鼓舌端。載索載徵隨問	彪 公 先 一 問 梁 祖 方 鼓 舌 端 載 索 載 徵 隨 問 
T54n2126_001:0239c24	隨答。此都講之大體也。又支遁至會稽。王	隨 答 此 都 講 之 大 體 也 又 支 遁 至 會 稽 王 
T54n2126_001:0239c25	內史請講維摩。許詢為都講。許發一問。眾謂	內 史 請 講 維 摩 許 詢 為 都 講 許 發 一 問 眾 謂 
T54n2126_001:0239c26	支無以答。支答一義。眾謂詢無以難如是問	支 無 以 答 支 答 一 義 眾 謂 詢 無 以 難 如 是 問 
T54n2126_001:0239c27	答連環不盡。是知都講實難其人。又僧伽跋	答 連 環 不 盡 是 知 都 講 實 難 其 人 又 僧 伽 跋 
T54n2126_001:0239c28	陀羅就講。弟子法勇傳譯僧念為都講。又僧	陀 羅 就 講 弟 子 法 勇 傳 譯 僧 念 為 都 講 又 僧 
T54n2126_001:0239c29	導者京兆人也。為沙彌時。僧叡見而異之曰。	導 者 京 兆 人 也 為 沙 彌 時 僧 叡 見 而 異 之 曰 
T54n2126_001:0240a01	君於佛法且欲何為。曰願為法師作都講。叡	君 於 佛 法 且 欲 何 為 曰 願 為 法 師 作 都 講 叡 
T54n2126_001:0240a02	曰。君當為萬人法主。豈對揚小師乎。此則姚	曰 君 當 為 萬 人 法 主 豈 對 揚 小 師 乎 此 則 姚 
T54n2126_001:0240a03	秦之世已有都講也。今之都講不聞擊問。舉	秦 之 世 已 有 都 講 也 今 之 都 講 不 聞 擊 問 舉 
T54n2126_001:0240a04	唱經文。蓋似像古之都講耳。	唱 經 文 蓋 似 像 古 之 都 講 耳 
T54n2126_001:0240a05	傳禪觀法	傳 禪 觀 法 
T54n2126_001:0240a06	禪法濫觴自此秦世僧叡法師序關中出禪	禪 法 濫 觴 自 此 秦 世 僧 叡 法 師 序 關 中 出 禪 
T54n2126_001:0240a07	經。其文則明心達理之趣也。然譬若始有其	經 其 文 則 明 心 達 理 之 趣 也 然 譬 若 始 有 其 
T54n2126_001:0240a08	方。未能修合。弗聞療疾。徒曰醫書。矧以大教	方 未 能 修 合 弗 聞 療 疾 徒 曰 醫 書 矧 以 大 教 
T54n2126_001:0240a09	既敷群英分講。注之者矜其詞義。科之者逞	既 敷 群 英 分 講 注 之 者 矜 其 詞 義 科 之 者 逞 
T54n2126_001:0240a10	其區分。執塵搖指。但尚其乘機應變解紛挫	其 區 分 執 塵 搖 指 但 尚 其 乘 機 應 變 解 紛 挫 
T54n2126_001:0240a11	銳。唯觀其智刃辭鋒。都忘所詮。不求出離。江	銳 唯 觀 其 智 刃 辭 鋒 都 忘 所 詮 不 求 出 離 江 
T54n2126_001:0240a12	表遠公慨禪法未敷。於是苦求而得也。菩提	表 遠 公 慨 禪 法 未 敷 於 是 苦 求 而 得 也 菩 提 
T54n2126_001:0240a13	達磨祖師觀此土之根緣。對一期之繁紊。而	達 磨 祖 師 觀 此 土 之 根 緣 對 一 期 之 繁 紊 而 
T54n2126_001:0240a14	宣言曰。不立文字遣其執文滯逐也(箋曰。不遵王化。名曰	宣 言 曰 不 立 文 字 遣 其 執 文 滯 逐 也 箋 曰 不 遵 王 化 名 曰 
T54n2126_001:0240a15	叛臣。不繼父蹤。呼為逆子。敢有不循佛說。是謂魔外之徒。所以三世諸佛法無異說。十方眾聖授學同文。夫	叛 臣 不 繼 父 蹤 呼 為 逆 子 敢 有 不 循 佛 說 是 謂 魔 外 之 徒 所 以 三世諸佛 法 無 異 說 十 方 眾 聖 授 學 同 文 夫 
T54n2126_001:0240a16	釋迦之經本也。達磨之言末也。背本逐末。良可悲哉。愚素習象胥。力根貝葉。遍問西來三藏。仍閱古今求法	釋 迦 之 經 本 也 達 磨 之 言 末 也 背 本 逐 末 良 可 悲 哉 愚 素 習 象 胥 力 根 貝 葉 遍 問 西 來 三 藏 仍 閱 古 今 求 法 
T54n2126_001:0240a17	記文。天竺禪定並稟教乘。所以入正位者繼踵。五天蓋依法務實而行。佛言聖法不誤後學也。敢諮同志。學佛	記 文 天 竺 禪 定 並 稟 教 乘 所 以 入 正 位 者 繼 踵 五 天 蓋 依 法 務 實 而 行 佛 言 聖 法 不 誤 後 學 也 敢 諮 同 志 學 佛 
T54n2126_001:0240a18	修禪。庶幾畢離苦津。高登彼岸。無以利口欺人自瞞於靈府也。經曰。若欲得道。當依佛語。違而得者。無有	修 禪 庶 幾 畢 離 苦 津 高 登 彼 岸 無 以 利 口 欺 人 自 瞞 於 靈 府 也 經 曰 若 欲 得 道 當 依 佛 語 違 而 得 者 無 有 
T54n2126_001:0240a19	是處。可誣也哉)。	是 處 可 誣 也 哉 
T54n2126_001:0240a20	別立禪居	別 立 禪 居 
T54n2126_001:0240a21	達磨之道既行。機鋒相遘者唱和。然其所化	達 磨 之 道 既 行 機 鋒 相 遘 者 唱 和 然 其 所 化 
T54n2126_001:0240a22	之眾唯隨寺別院而居且無異制。道信禪師	之 眾 唯 隨 寺 別 院 而 居 且 無 異 制 道 信 禪 師 
T54n2126_001:0240a23	住東林寺。能禪師住廣果寺。談禪師住白馬	住 東 林 寺 能 禪 師 住 廣 果 寺 談 禪 師 住 白 馬 
T54n2126_001:0240a24	寺。皆一例律儀。唯參學者或行杜多。糞掃	寺 皆 一 例 律 儀 唯 參 學 者 或 行 杜 多 糞 掃 
T54n2126_001:0240a25	五納衣為異耳。後有百丈山禪師懷海。創意	五 納 衣 為 異 耳 後 有 百 丈 山 禪 師 懷 海 創 意 
T54n2126_001:0240a26	經綸別立通堂。布長連床。勵其坐禪。坐歇則	經 綸 別 立 通 堂 布 長 連 床 勵 其 坐 禪 坐 歇 則 
T54n2126_001:0240a27	帶刀。斜臥高木。為椸架。凡百道具悉懸其	帶 刀 斜 臥 高 木 為 椸 架 凡 百 道 具 悉 懸 其 
T54n2126_001:0240a28	上。所謂龍牙杙上也。有朝參暮請之禮。隨石	上 所 謂 龍 牙 杙 上 也 有 朝 參 暮 請 之 禮 隨 石 
T54n2126_001:0240b01	磬木魚為節度。可宗者謂之長老。隨從者謂	磬 木 魚 為 節 度 可 宗 者 謂 之 長 老 隨 從 者 謂 
T54n2126_001:0240b02	之侍者。主事者謂之寮司。共作者謂之普請。	之 侍 者 主 事 者 謂 之 寮 司 共 作 者 謂 之 普 請 
T54n2126_001:0240b03	或有過者。主事示以柱杖。焚其衣鉢。謂之誡	或 有 過 者 主 事 示 以 柱 杖 焚 其 衣 鉢 謂 之 誡 
T54n2126_001:0240b04	罰。凡諸新例厥號叢林。與律不同。自百丈之	罰 凡 諸 新 例 厥 號 叢 林 與 律 不 同 自 百 丈 之 
T54n2126_001:0240b05	始也(箋曰。禮樂花伐自天子出。則王道興。為佛寺僧規。稟如來制。則正法住矣)。	始 也 箋 曰 禮 樂 花 伐 自 天 子 出 則 王 道 興 為 佛 寺 僧 規 稟 如 來 制 則 正 法 住 矣 
T54n2126_001:0240b06	此土僧游西域	此 土 僧 游 西 域 
T54n2126_001:0240b07	嗟乎騫憲雖征。只為開荒而奉命。騰蘭既至。	嗟 乎 騫 憲 雖 征 只 為 開 荒 而 奉 命 騰 蘭 既 至 
T54n2126_001:0240b08	未聞克志以求經。亦猶決一隄塘。內水既出。	未 聞 克 志 以 求 經 亦 猶 決 一 隄 塘 內 水 既 出 
T54n2126_001:0240b09	外水亦入。一出一入。然後知平矣。魏洛陽	外 水 亦 入 一 出 一 入 然 後 知 平 矣 魏 洛 陽 
T54n2126_001:0240b10	朱士行誓往西天。尋求般若。僧祐以為東僧	朱 士 行 誓 往 西 天 尋 求 般 若 僧 祐 以 為 東 僧 
T54n2126_001:0240b11	西往之始焉。然只在葱嶺之北于填而止。晉	西 往 之 始 焉 然 只 在 葱 嶺 之 北 于 填 而 止 晉 
T54n2126_001:0240b12	法顯募同志數十人。游于印度。登靈鷲山。此	法 顯 募 同 志 數 十 人 游 于 印 度 登 靈 鷲 山 此 
T54n2126_001:0240b13	乃到中天之始也。厥後交肩接迹。至有漢寺	乃 到 中 天 之 始 也 厥 後 交 肩 接 迹 至 有 漢 寺 
T54n2126_001:0240b14	別居東夏之僧。決隄之喻居可驗矣。若論傳	別 居 東 夏 之 僧 決 隄 之 喻 居 可 驗 矣 若 論 傳 
T54n2126_001:0240b15	譯之人。則多善一方。罕聞通解。唯弉三藏	譯 之 人 則 多 善 一 方 罕 聞 通 解 唯 弉 三 藏 
T54n2126_001:0240b16	究兩土之音訓。瞻諸學之川源。如從佛聞。曲	究 兩 土 之 音 訓 瞻 諸 學 之 川 源 如 從 佛 聞 曲 
T54n2126_001:0240b17	盡意。次則義淨躬游彼剎。妙達毘尼。改律範	盡 意 次 則 義 淨 躬 游 彼 剎 妙 達 毘 尼 改 律 範 
T54n2126_001:0240b18	之妄迷。注密言之引合。遂得受持有驗流布	之 妄 迷 注 密 言 之 引 合 遂 得 受 持 有 驗 流 布 
T54n2126_001:0240b19	無疑矣。原其後漢以來。譯者相續。洎唐元和	無 疑 矣 原 其 後 漢 以 來 譯 者 相 續 洎 唐 元 和 
T54n2126_001:0240b20	年中。翻本生心地觀經。之後百六十載寂爾	年 中 翻 本 生 心 地 觀 經 之 後 百 六 十 載 寂 爾 
T54n2126_001:0240b21	無聞。宋太祖甞遣百餘僧。往西方求法。太宋	無 聞 宋 太 祖 甞 遣 百 餘 僧 往 西 方 求 法 太 宋 
T54n2126_001:0240b22	太平興國七年。有詔立譯經院于東京太平	太 平 興 國 七 年 有 詔 立 譯 經 院 于 東 京 太 平 
T54n2126_001:0240b23	興國寺之西偏。聚三藏天息災等梵僧數員。	興 國 寺 之 西 偏 聚 三 藏 天 息 災 等 梵 僧 數 員 
T54n2126_001:0240b24	及選兩街明義學僧。同譯新經。譯經之務大	及 選 兩 街 明 義 學 僧 同 譯 新 經 譯 經 之 務 大 
T54n2126_001:0240b25	宋中興也。	宋 中 興 也 
T54n2126_001:0240b26	傳密藏	傳 密 藏 
T54n2126_001:0240b27	密藏者陀羅尼法也。是法祕密非二乘境界。	密 藏 者 陀 羅 尼 法 也 是 法 祕 密 非 二 乘 境 界 
T54n2126_001:0240b28	諸佛菩薩所能游履也。舊譯云持。新譯云性。	諸佛菩薩 所 能 游 履 也 舊 譯 云 持 新 譯 云 性 
T54n2126_001:0240b29	本其原則微妙法性也。形其言則陀羅尼母	本 其 原 則 微 妙 法 性 也 形 其 言 則 陀 羅 尼 母 
T54n2126_001:0240c01	也。究其音則聲明也。窮其文則字界緣也。出	也 究 其 音 則 聲 明 也 窮 其 文 則 字 界 緣 也 出 
T54n2126_001:0240c02	三藏記云。神呪者總持微密持也。高僧傳中。	三 藏 記 云 神 呪 者 總 持 微 密 持 也 高 僧 傳 中 
T54n2126_001:0240c03	帛尸梨密多羅本西域人。東晉之初至于建	帛 尸 梨 密 多 羅 本 西 域 人 東 晉 之 初 至 于 建 
T54n2126_001:0240c04	業。王導周伯仁庾亮皆欽重之。善持呪術。所	業 王 導 周 伯 仁 庾 亮 皆 欽 重 之 善 持 呪 術 所 
T54n2126_001:0240c05	向多驗。時江東未有呪法。密出孔雀王呪。呪	向 多 驗 時 江 東 未 有 呪 法 密 出 孔 雀 王 呪 呪 
T54n2126_001:0240c06	法之始也。北魏則嵩山菩提流支呪井樹等。	法 之 始 也 北 魏 則 嵩 山 菩 提 流 支 呪 井 樹 等 
T54n2126_001:0240c07	頗有靈効。唐朝則智通法師甚精禁呪焉。次	頗 有 靈 効 唐 朝 則 智 通 法 師 甚 精 禁 呪 焉 次 
T54n2126_001:0240c08	有不空三藏。於京大興善寺。廣譯總持教。多	有 不 空 三 藏 於 京 大 興 善 寺 廣 譯 總 持 教 多 
T54n2126_001:0240c09	設曼荼羅。神術莫可知也。灌頂壇法始於不	設 曼 荼 羅 神 術 莫 可 知 也 灌 頂 壇 法 始 於 不 
T54n2126_001:0240c10	空。代宗永泰年中。勅灌頂道場處。選二七人。	空 代 宗 永 泰 年 中 勅 灌 頂 道 場 處 選 二 七 人 
T54n2126_001:0240c11	為國長誦佛頂呪。及免差科地稅云。梁末後	為 國 長 誦 佛 頂 呪 及 免 差 科 地 稅 云 梁 末 後 
T54n2126_001:0240c12	唐世。道賢闍梨者。一夕夢游五天竺。見佛指	唐 世 道 賢 闍 梨 者 一 夕 夢 游 五 天 竺 見 佛 指 
T54n2126_001:0240c13	示此某國聚落。洎旦頓解五印言音。毫釐不	示 此 某 國 聚 落 洎 旦 頓 解 五 印 言 音 毫 釐 不 
T54n2126_001:0240c14	爽。今傳粉壇法。並宗此師。鳳翔阿闍梨是也。	爽 今 傳 粉 壇 法 並 宗 此 師 鳳 翔 阿 闍 梨 是 也 
T54n2126_001:0240c15	後唐清泰帝尤旌其道。後隨駕入洛而卒。今	後 唐 清 泰 帝 尤 旌 其 道 後 隨 駕 入 洛 而 卒 今 
T54n2126_001:0240c16	塔在龍門。近東京南。日本大師常為王公大	塔 在 龍 門 近 東 京 南 日 本 大 師 常 為 王 公 大 
T54n2126_001:0240c17	人演密藏。至今弟子繁衍。傳其業者號曰三	人 演 密 藏 至 今 弟 子 繁 衍 傳 其 業 者 號 曰 三 
T54n2126_001:0240c18	藏。或兼講經律論者。則稱傳顯密藏也。	藏 或 兼 講 經 律 論 者 則 稱 傳 顯 密 藏 也 
T54n2126_001:0240c19	外學	外 學 
T54n2126_001:0240c20	夫學不厭博。有所不知。蓋闕如也。吾宗致遠。	夫 學 不 厭 博 有 所 不 知 蓋 闕 如 也 吾 宗 致 遠 
T54n2126_001:0240c21	以三乘法而運載焉。然或魔障相陵。必須禦	以 三 乘 法 而 運 載 焉 然 或 魔 障 相 陵 必 須 禦 
T54n2126_001:0240c22	侮。禦侮之術。莫若知彼敵情。敵情者。西竺則	侮 禦 侮 之 術 莫 若 知 彼 敵 情 敵 情 者 西 竺 則 
T54n2126_001:0240c23	韋陀。東夏則經籍矣。故祇洹寺中有四韋陀	韋 陀 東 夏 則 經 籍 矣 故 祇 洹 寺 中 有 四 韋 陀 
T54n2126_001:0240c24	院。外道以為宗極。又有書院。大千界內所	院 外 道 以 為 宗 極 又 有 書 院 大 千 界 內 所 
T54n2126_001:0240c25	有不同文書並集其中。佛俱許讀之。為伏外	有 不 同 文 書 並 集 其 中 佛 俱 許 讀 之 為 伏 外 
T54n2126_001:0240c26	道。而不許依其見也。此土古德高僧能攝伏	道 而 不 許 依 其 見 也 此 土 古 德 高 僧 能 攝 伏 
T54n2126_001:0240c27	異宗者。率由博學之故。譬如夷狄之人。言語	異 宗 者 率 由 博 學 之 故 譬 如 夷 狄 之 人 言 語 
T54n2126_001:0240c28	不通。飲食不同。孰能達其志通其欲。其或微	不 通 飲 食 不 同 孰 能 達 其 志 通 其 欲 其 或 微 
T54n2126_001:0240c29	解胡語。立便馴知矣。是以習鑿齒道安以詼	解 胡 語 立 便 馴 知 矣 是 以 習 鑿 齒 道 安 以 詼 
T54n2126_001:0241a01	諧而伏之。宗雷之輩慧遠以詩禮而誘之。權	諧 而 伏 之 宗 雷 之 輩 慧 遠 以 詩 禮 而 誘 之 權 
T54n2126_001:0241a02	無二復禮以辨惑而柔之。陸鴻漸皎然以詩	無 二 復 禮 以 辨 惑 而 柔 之 陸 鴻 漸 皎 然 以 詩 
T54n2126_001:0241a03	式而友之。此皆不施他術。唯通外學耳。況乎	式 而 友 之 此 皆 不 施 他 術 唯 通 外 學 耳 況 乎 
T54n2126_001:0241a04	儒道二教義理玄邈。釋子既精本業。何好鑽	儒 道 二 教 義 理 玄 邈 釋 子 既 精 本 業 何 好 鑽 
T54n2126_001:0241a05	極以廣見聞。勿滯於一方也。	極 以 廣 見 聞 勿 滯 於 一 方 也 
T54n2126_001:0241a06	大宋僧史略卷上	大 宋 僧 史 略 卷 上 
T54n2126_002:0241a09	大宋僧史略卷中(咸平二年重更修理)	大 宋 僧 史 略 卷 中 咸 平 二 年 重 更 修 理 
T54n2126_002:0241a11	右街僧錄通慧大師贊寧奉　勅撰	右 街 僧 錄 通 慧 大 師 贊 寧 奉 勅 撰 
T54n2126_002:0241a12	二十四道俗立制二十五行香唱導	二 十 四 道 俗 立 制 二 十 五 行 香 唱 導 
T54n2126_002:0241a13	二十六讚唄之由二十七僧寺綱紏	二 十 六 讚 唄 之 由 二 十 七 僧 寺 綱 紏 
T54n2126_002:0241a14	二十八立僧正(立尼正附)二十九僧統	二 十 八 立 僧 正 立 尼 正 附 二 十 九 僧 統 
T54n2126_002:0241a15	三十沙門都統三十一左右街僧錄	三 十 沙 門 都 統 三 十 一 左 右 街 僧 錄 
T54n2126_002:0241a16	三十二僧主副員三十三講經論首座	三 十 二 僧 主 副 員 三 十 三 講 經 論 首 座 
T54n2126_002:0241a17	三十四國師三十五雜任職員	三 十 四 國 師 三 十 五 雜 任 職 員 
T54n2126_002:0241a18	三十六僧主秩俸(尼附)三十七管屬僧尼(祠部牒附)	三 十 六 僧 主 秩 俸 尼 附 三 十 七 管 屬 僧 尼 祠 部 牒 附 
T54n2126_002:0241a19	三十八僧道班立三十九內道場(生日道場附)	三 十 八 僧 道 班 立 三 十 九 內 道 場 生 日 道 場 附 
T54n2126_002:0241a20	四十僧籍弛張	四 十 僧 籍 弛 張 
T54n2126_002:0241a21	道俗立制	道 俗 立 制 
T54n2126_002:0241a22	佛法流行。隨時制斷合毘尼之繩紏。則案毘	佛 法 流 行 隨 時 制 斷 合 毘 尼 之 繩 紏 則 案 毘 
T54n2126_002:0241a23	尼。堪別法之處量須循別法。故佛訶比丘云。	尼 堪 別 法 之 處 量 須 循 別 法 故 佛 訶 比 丘 云 
T54n2126_002:0241a24	巧避我制造種種過故。許同時立方毘尼。涅	巧 避 我 制 造 種 種 過 故 許 同 時 立 方 毘 尼 涅 
T54n2126_002:0241a25	槃後立未來教。以為律範所不圍。篇科所不	槃 後 立 未 來 教 以 為 律 範 所 不 圍 篇 科 所 不 
T54n2126_002:0241a26	載。則比附而求之也。以是篇聚之外別有僧	載 則 比 附 而 求 之 也 以 是 篇 聚 之 外 別 有 僧 
T54n2126_002:0241a27	制焉。今時比丘或住一林居一院。皆和眾立	制 焉 今 時 比 丘 或 住 一 林 居 一 院 皆 和 眾 立 
