X65n1289_001:0424b06	禪宗指掌	禪 宗 指 掌 
X65n1289_001:0426c08	曰。即將此知落空者為我。可否。答曰。不可。曰。為甚不	曰 即 將 此 知 落 空 者 為 我 可 否 答 曰 不 可 曰 為 甚 不 
X65n1289_001:0426c09	可。答曰。金屑雖貴。落眼成翳。	可 答 曰 金 屑 雖 貴 落 眼 成 翳 
X65n1289_001:0426c10	以上八條。皆為破斥斷常兩邊虗妄之執。直顯中	以 上 八 條 皆 為 破 斥 斷 常 兩 邊 虗 妄 之 執 直 顯 中 
X65n1289_001:0426c11	道法身真實之義。閱者。宜細心焉。	道 法 身 真 實 之 義 閱 者 宜 細 心 焉 
X65n1289_001:0426c13	乾隆五十二年四月望日新刊。	乾 隆 五 十 二 年 四 月 望 日 新 刊 
X65n1289_001:0426c14	板存常州府天寧寺禪堂。	板 存 常 州 府 天 寧 寺 禪 堂 
X65n1289_001:0426c16	光緒十九年四月八日甯鄞太白峯參契學人重鐫。	光 緒 十 九 年 四 月 八 日 甯 鄞 太 白 峯 參 契 學 人 重 鐫 
X65n1289_001:0426c17	此抄本多所錯訛伏乞	此 抄 本 多 所 錯 訛 伏 乞 
X65n1289_001:0426c18	明眼宏慈削正流通切禱。	明 眼 宏 慈 削 正 流 通 切 禱 
X65n1289_001:0426c19	新藏天童弘法禪寺般若堂。	新 藏 天 童 弘 法 禪 寺 般 若 堂 
X65n1289_001:0426c21	　假使頂戴經塵劫　　身為床座徧三千	 假 使 頂 戴 經 塵 劫 身 為 床 座 徧 三 千 
X65n1289_001:0426c22	　若不傳法度眾生　　畢竟無能報恩者	 若 不 傳 法 度 眾 生 畢 竟 無 能 報 恩 者 
X65n1289_001:0426c23	　唯有傳持正法藏　　宣揚教理施羣生	 唯 有 傳 持 正 法 藏 宣 揚 教 理 施 羣 生 
