X57n0955_001:0062b06	復宗集下	復 宗 集 下 
X57n0955_001:0064c13	致於別教教義難明先明別教教旨次點示佗失且	致 於 別 教 教 義 難 明 先 明 別 教 教 旨 次 點 示 佗 失 且 
X57n0955_001:0064c14	別教者別圓兩教同詮中理亦談三諦亦破無明亦	別 教 者 別 圓 兩 教 同 詮 中 理 亦 談 三 諦 亦 破 無 明 亦 
X57n0955_001:0064c15	顯三德亦知百界分身作佛亦解一中無量無量中	顯 三 德 亦 知 百 界 分 身 作 佛 亦 解 一 中 無 量 無 量 中 
X57n0955_001:0064c16	一此教初心稟教之者便解五十二位功德所說法	一 此 教 初 心 稟 教 之 者 便 解 五 十 二 位 功 德 所 說 法 
X57n0955_001:0064c17	門非不圓玅如華嚴會同聞佛說承稟佛旨但有次	門 非 不 圓 玅 如 華 嚴 會 同 聞 佛 說 承 稟 佛 旨 但 有 次 
X57n0955_001:0064c18	第不次第之殊遂分兩教斯葢別人解之不到不及	第 不 次 第 之 殊 遂 分 兩 教 斯 葢 別 人 解 之 不 到 不 及 
X57n0955_001:0064c19	於圓遂成別教只如古來諸師所解三身三德非不	於 圓 遂 成 別 教 只 如 古 來 諸 師 所 解 三 身 三 德 非 不 
X57n0955_001:0064c20	圓玅今家乃以不談性具盡判屬別所以爾者荊溪	圓 玅 今 家 乃 以 不 談 性 具 盡 判 屬 別 所 以 爾 者 荊 溪 
X57n0955_001:0064c21	云但知果上融通不知眾生理本雖知圓融一多相	云 但 知 果 上 融 通 不 知 眾 生 理 本 雖 知 圓 融 一 多 相 
X57n0955_001:0064c22	即不思議理乃謂將來果上有此功勳不知初心與	即 不 思 議 理 乃 謂 將 來 果 上 有 此 功 勳 不 知 初 心 與 
X57n0955_001:0064c23	果地一不解果法全在因心所解圓融期心初地使	果 地 一 不 解 果 法 全 在 因 心 所 解 圓 融 期 心 初 地 使 
X57n0955_001:0064c24	此圓融遂成隔歷雖有即名而無即義雖解中道判	此 圓 融 遂 成 隔 歷 雖 有 即 名 而 無 即 義 雖 解 中 道 判 
X57n0955_001:0065a01	之成但教權故以中道在初地顯故但理實故所解	之 成 但 教 權 故 以 中 道 在 初 地 顯 故 但 理 實 故 所 解 
X57n0955_001:0065a02	中道圓融一如故中從理實是同故名亦頓從教權	中 道 圓 融 一 如 故 中 從 理 實 是 同 故 名 亦 頓 從 教 權 
X57n0955_001:0065a03	是但故名亦漸別教教旨不易研詳每見學人凡說	是 但 故 名 亦 漸 別 教 教 旨 不 易 研 詳 每 見 學 人 凡 說 
X57n0955_001:0065a04	別教所謂但中者如雲外月似出水華往往將別教	別 教 所 謂 但 中 者 如 雲 外 月 似 出 水 華 往 往 將 別 教 
X57n0955_001:0065a05	人所解法門不及通教以通教人解知即空不待扸	人 所 解 法 門 不 及 通 教 以 通 教 人 解 知 即 空 不 待 扸 
X57n0955_001:0065a06	盡即知諸法當體虗幻便解即空豈可別教詮中道	盡 即 知 諸 法 當 體 虗 幻 便 解 即 空 豈 可 別 教 詮 中 道 
X57n0955_001:0065a07	理不及即空一何可嗟須曉別圓兩人同一座席同	理 不 及 即 空 一 何 可 嗟 須 曉 別 圓 兩 人 同 一 座 席 同 
X57n0955_001:0065a08	聞佛說不思議理同稟中道雙照雙遮三德三身無	聞 佛 說 不 思 議 理 同 稟 中 道 雙 照 雙 遮 三 德 三 身 無 
X57n0955_001:0065a09	不洞解所以分兩教者以此玅德期心在果方乃能	不 洞 解 所 以 分 兩 教 者 以 此 玅 德 期 心 在 果 方 乃 能 
X57n0955_001:0065a10	證所以此教所有圓玅非因心法有此不到遂成別	證 所 以 此 教 所 有 圓 玅 非 因 心 法 有 此 不 到 遂 成 別 
X57n0955_001:0065a11	人所修之行成次第行此教之旨人多迷之次點佗	人 所 修 之 行 成 次 第 行 此 教 之 旨 人 多 迷 之 次 點 佗 
X57n0955_001:0065a12	失略有四非一無理可詮若謂初心知中指初地者	失 略 有 四 非 一 無 理 可 詮 若 謂 初 心 知 中 指 初 地 者 
X57n0955_001:0065a13	未審稟教之時詮於何理此人稟教以何為期無果	未 審 稟 教 之 時 詮 於 何 理 此 人 稟 教 以 何 為 期 無 果 
X57n0955_001:0065a14	可望良亦可嗟若謂但中未審以何為但中耶如前	可 望 良 亦 可 嗟 若 謂 但 中 未 審 以 何 為 但 中 耶 如 前 
X57n0955_001:0065a15	所論往往此人不及通教二公違輔行以輔行中釋	所 論 往 往 此 人 不 及 通 教 二 公 違 輔 行 以 輔 行 中 釋 
X57n0955_001:0065a16	此乃云解頓行漸解但知於頓理而已行必經歷恒	此 乃 云 解 頓 行 漸 解 但 知 於 頓 理 而 已 行 必 經 歷 恒 
X57n0955_001:0065a17	沙劫數既曰解但知於頓理而已此是初地之解耶	沙 劫 數 既 曰 解 但 知 於 頓 理 而 已 此 是 初 地 之 解 耶 
X57n0955_001:0065a18	稟教初心之解耶若云初地初地已證圓頓之理何	稟 教 初 心 之 解 耶 若 云 初 地 初 地 已 證 圓 頓 之 理 何 
X57n0955_001:0065a19	云解但知之而已驗知荊溪正約稟教初心但能知	云 解 但 知 之 而 已 驗 知 荊 溪 正 約 稟 教 初 心 但 能 知 
X57n0955_001:0065a20	此頓理而已未能依理頓行故云而已豈非的指初	此 頓 理 而 已 未 能 依 理 頓 行 故 云 而 已 豈 非 的 指 初 
X57n0955_001:0065a21	稟之心料想此人不曾看至輔行之文作茲謬釋有	稟 之 心 料 想 此 人 不 曾 看 至 輔 行 之 文 作 茲 謬 釋 有 
X57n0955_001:0065a22	眼之人略會看讀纔見此文必知須以稟教初心而	眼 之 人 略 會 看 讀 纔 見 此 文 必 知 須 以 稟 教 初 心 而 
X57n0955_001:0065a23	為亦頓如何敻指初地為初心耶豈是止觀輔行之	為 亦 頓 如 何 敻 指 初 地 為 初 心 耶 豈 是 止 觀 輔 行 之 
X57n0955_001:0065a24	文意乎故知此釋灼然謬妄三迷於止觀止觀簡於	文 意 乎 故 知 此 釋 灼 然 謬 妄 三 迷 於 止 觀 止 觀 簡 於 
X57n0955_001:0065b01	偏圓凡有多向前約四句簡次約四法簡後約不定	偏 圓 凡 有 多 向 前 約 四 句 簡 次 約 四 法 簡 後 約 不 定 
X57n0955_001:0065b02	等簡四句即以理教對簡故輔行中藏通即取設教	等 簡 四 句 即 以 理 教 對 簡 故 輔 行 中 藏 通 即 取 設 教 
X57n0955_001:0065b03	之意而得漸名別教即取解知頓理而名亦頓於四	之 意 而 得 漸 名 別 教 即 取 解 知 頓 理 而 名 亦 頓 於 四 
X57n0955_001:0065b04	法中有兩種四法初約教觀行證輔行云且約教證	法 中 有 兩 種 四 法 初 約 教 觀 行 證 輔 行 云 且 約 教 證 
X57n0955_001:0065b05	二道以釋四法又云前之四法將於三法對證以簡	二 道 以 釋 四 法 又 云 前 之 四 法 將 於 三 法 對 證 以 簡 
X57n0955_001:0065b06	次則合觀入教三法對教以簡權實故知止觀約四	次 則 合 觀 入 教 三 法 對 教 以 簡 權 實 故 知 止 觀 約 四 
X57n0955_001:0065b07	句簡乃以初心稟教便知初地證此頓理則教漸理	句 簡 乃 以 初 心 稟 教 便 知 初 地 證 此 頓 理 則 教 漸 理 
X57n0955_001:0065b08	頓名亦頓亦漸次約教證方是至初地時證其實理	頓 名 亦 頓 亦 漸 次 約 教 證 方 是 至 初 地 時 證 其 實 理 
X57n0955_001:0065b09	名為亦頓地前亦漸後之四法乃以有教無人以分	名 為 亦 頓 地 前 亦 漸 後 之 四 法 乃 以 有 教 無 人 以 分 
X57n0955_001:0065b10	頓漸諸科各有一義以揀頓漸不可以四句一科貫	頓 漸 諸 科 各 有 一 義 以 揀 頓 漸 不 可 以 四 句 一 科 貫 
X57n0955_001:0065b11	下而云初地為初心也豈非違止觀之文乎四失於	下 而 云 初 地 為 初 心 也 豈 非 違 止 觀 之 文 乎 四 失 於 
X57n0955_001:0065b12	地位初心之言須指十信初稟而為初心如止觀次	地 位 初 心 之 言 須 指 十 信 初 稟 而 為 初 心 如 止 觀 次 
X57n0955_001:0065b13	文云通別中初心乃至後心對後心說初心須指始	文 云 通 別 中 初 心 乃 至 後 心 對 後 心 說 初 心 須 指 始 
X57n0955_001:0065b14	初之心一家不曾以初地為初心公然違背妄作此	初 之 心 一 家 不 曾 以 初 地 為 初 心 公 然 違 背 妄 作 此 
X57n0955_001:0065b15	釋一何可笑須知此教亦頓之位固在初地初心能	釋 一 何 可 笑 須 知 此 教 亦 頓 之 位 固 在 初 地 初 心 能 
X57n0955_001:0065b16	知者指始初稟教之心便知將來初地之上有此頓	知 者 指 始 初 稟 教 之 心 便 知 將 來 初 地 之 上 有 此 頓 
X57n0955_001:0065b17	證期心於彼證圓融法是故指此以為後果後果之	證 期 心 於 彼 證 圓 融 法 是 故 指 此 以 為 後 果 後 果 之 
X57n0955_001:0065b18	言通至玅覺皆在初心之所期指也故知此釋誠無	言 通 至 玅 覺 皆 在 初 心 之 所 期 指 也 故 知 此 釋 誠 無 
X57n0955_001:0065b19	所取自悞悞人過莫大焉教證之說人多異論竝由	所 取 自 悞 悞 人 過 莫 大 焉 教 證 之 說 人 多 異 論 竝 由 
X57n0955_001:0065b20	不達別教教旨今之所辨義符祖意後之賢達必有	不 達 別 教 教 旨 今 之 所 辨 義 符 祖 意 後 之 賢 達 必 有 
X57n0955_001:0065b21	藻鑑。	藻 鑑 
X57n0955_001:0065b22	方便	方 便 
X57n0955_001:0065b23	法華方便品人或問云文談真實題標方便何總別	法 華 方 便 品 人 或 問 云 文 談 真 實 題 標 方 便 何 總 別 
X57n0955_001:0065b24	之不貫昔來說者異論紛然廣立義門各盈章藻予	之 不 貫 昔 來 說 者 異 論 紛 然 廣 立 義 門 各 盈 章 藻 予 
X57n0955_001:0065c01	每於此研味思究求其諸說曲而不直未合佛祖一	每 於 此 研 味 思 究 求 其 諸 說 曲 而 不 直 未 合 佛 祖 一 
X57n0955_001:0065c02	貫之意細而求之果見經文不標真實特題方便深	貫 之 意 細 而 求 之 果 見 經 文 不 標 真 實 特 題 方 便 深 
X57n0955_001:0065c03	有所以若標真實却見經中總別不貫何者釋迦世	有 所 以 若 標 真 實 却 見 經 中 總 別 不 貫 何 者 釋 迦 世 
X57n0955_001:0065c04	尊從大通佛所為此一類結緣中間種種調熟經無	尊 從 大 通 佛 所 為 此 一 類 結 緣 中 間 種 種 調 熟 經 無 
X57n0955_001:0065c05	量劫施種種化誘之攝之用無數慈悲權巧覆護來	量 劫 施 種 種 化 誘 之 攝 之 用 無 數 慈 悲 權 巧 覆 護 來 
X57n0955_001:0065c06	至今日方得此類心已淳熟聞佛所說不起毀謗方	至 今 日 方 得 此 類 心 已 淳 熟 聞 佛 所 說 不 起 毀 謗 方 
X57n0955_001:0065c07	暢如來出世本懷所施功力今日成就不至唐喪豈	暢 如 來 出 世 本 懷 所 施 功 力 今 日 成 就 不 至 唐 喪 豈 
X57n0955_001:0065c08	不歡喜而暢悅之故至于今將欲授記先乃稱嘆方	不 歡 喜 而 暢 悅 之 故 至 于 今 將 欲 授 記 先 乃 稱 嘆 方 
X57n0955_001:0065c09	便之功敘述昔來誘攝之力是故此經乃是算數孔	便 之 功 敘 述 昔 來 誘 攝 之 力 是 故 此 經 乃 是 算 數 孔 
X57n0955_001:0065c10	目故曰吾從成佛以來種種因緣譬諭言教無數方	目 故 曰 吾 從 成 佛 以 來 種種因緣 譬 諭 言 教 無 數 方 
X57n0955_001:0065c11	便引導眾生五佛章中一一皆云無數方便以方便	便 引 導 眾 生 五 佛 章 中 一 一 皆 云 無數方便 以 方 便 
X57n0955_001:0065c12	力於一佛乘分別說三令入佛慧是我方便諸佛亦	力 於 一 佛 乘 分 別 說 三 令 入 佛 慧 是 我 方 便 諸 佛 亦 
X57n0955_001:0065c13	然是故如來殷勤稱歎所稱歎者非歎真實乃歎方	然 是 故 如 來 殷 勤 稱 歎 所 稱 歎 者 非 歎 真 實 乃 歎 方 
X57n0955_001:0065c14	便善巧之功不易成就經文品初歎方便云其智慧	便 善 巧 之 功 不 易 成 就 經 文 品 初 歎 方 便 云 其 智 慧 
X57n0955_001:0065c15	門難解難入門即方便隨宜所說意趣難解亦是方	門 難解難入 門 即 方 便 隨 宜 所 說 意 趣 難 解 亦 是 方 
X57n0955_001:0065c16	便品末嘆云諸佛法如是以萬億方便隨宜而說法	便 品 末 嘆 云 諸 佛 法 如 是 以 萬 億 方 便 隨 宜 而 說 法 
X57n0955_001:0065c17	故知一品始終皆是稱嘆方便題中從此所嘆方便	故 知 一 品 始 終 皆 是 稱 嘆 方 便 題 中 從 此 所 嘆 方 便 
X57n0955_001:0065c18	為方便品經文雖說所顯真實推功竝由方便之力	為 方 便 品 經 文 雖 說 所 顯 真 實 推 功 竝 由 方 便 之 力 
X57n0955_001:0065c19	得至於此在昔正用施設之時隱覆秘護不令覺知	得 至 於 此 在 昔 正 用 施 設 之 時 隱 覆 秘 護 不 令 覺 知 
X57n0955_001:0065c20	住於化城自謂真實今日聞說方知如來機變巧用	住 於 化 城 自 謂 真 實 今 日 聞 說 方 知 如 來 機 變 巧 用 
X57n0955_001:0065c21	省悟昔日所證非真是我等咎非世尊也自非如此	省 悟 昔 日 所 證 非 真 是 我 等 咎 非 世 尊 也 自 非 如 此 
X57n0955_001:0065c22	善巧化用何由今日獲大利益方知如來真大導師	善 巧 化 用 何 由 今 日 獲 大 利 益 方 知 如 來 真 大 導 師 
X57n0955_001:0065c23	誘引一切令入佛慧是則佛所稱嘆乃是嘆方便之	誘 引 一 切 令 入 佛 慧 是 則 佛 所 稱 嘆 乃 是 嘆 方 便 之 
X57n0955_001:0065c24	功機所感激亦是荷方便之化因於方便得契真實	功 機 所 感 激 亦 是 荷 方 便 之 化 因 於 方 便 得 契 真 實 
X57n0955_001:0066a01	方便之功實難思議是故殷勤之所稱嘆此是經家	方 便 之 功 實 難 思 議 是 故 殷 勤 之 所 稱 嘆 此 是 經 家 
X57n0955_001:0066a02	玅會佛心品標方便不亦宜乎何得乃云文談真實	玅 會 佛 心 品 標 方 便 不 亦 宜 乎 何 得 乃 云 文 談 真 實 
X57n0955_001:0066a03	總別不貫更借世間譬諭顯之如世良將受國重任	總 別 不 貫 更 借 世 間 譬 諭 顯 之 如 世 良 將 受 國 重 任 
X57n0955_001:0066a04	提百萬師敵除強虜百萬之眾性命死活國家大事	提 百 萬 師 敵 除 強 虜 百 萬 之 眾 性 命 死 活 國 家 大 事 
X57n0955_001:0066a05	社稷存亡皆在主將一人之手苟或計謀不深智略	社 稷 存 亡 皆 在 主 將 一 人 之 手 苟 或 計 謀 不 深 智 略 
X57n0955_001:0066a06	不廣適時所用機策不密如何可以當茲重任或小	不 廣 適 時 所 用 機 策 不 密 如 何 可 以 當 茲 重 任 或 小 
X57n0955_001:0066a07	不利所害非輕殆乎一且破虜滅敵立大功勳成國	不 利 所 害 非 輕 殆 乎 一 且 破 虜 滅 敵 立 大 功 勳 成 國 
X57n0955_001:0066a08	大事保全師眾存定社稷主將之心豈不歡慶而快	大 事 保 全 師 眾 存 定 社 稷 主 將 之 心 豈 不 歡 慶 而 快 
X57n0955_001:0066a09	悅之功既立矣堪對廣眾稱嘆權謀施此機巧能成	悅 之 功 既 立 矣 堪 對 廣 眾 稱 嘆 權 謀 施 此 機 巧 能 成 
X57n0955_001:0066a10	大事前來正當運謀之時機密所用決不可泄既已	大 事 前 來 正 當 運 謀 之 時 機 密 所 用 決 不 可 泄 既 已 
X57n0955_001:0066a11	成巧方可對眾稱揚讚嘆如孫臏減竈韓信弃旗張	成 巧 方 可 對 眾 稱 揚 讚 嘆 如 孫 臏 減 竈 韓 信 弃 旗 張 
X57n0955_001:0066a12	祿隱名陳平反問之類皆上將善巧機密能與國家	祿 隱 名 陳 平 反 問 之 類 皆 上 將 善 巧 機 密 能 與 國 家 
X57n0955_001:0066a13	安邦定業在佛亦爾然佛不思議化故不可以世間	安 邦 定 業 在 佛 亦 爾 然 佛 不 思 議 化 故 不 可 以 世 間 
X57n0955_001:0066a14	小事而惻聖用為未了者借事比□佛為機緣施善	小 事 而 惻 聖 用 為 未 了 者 借 事 比 佛 為 機 緣 施 善 
X57n0955_001:0066a15	巧破魔軍當正用時機密隱祕不令覺知今既成功	巧 破 魔 軍 當 正 用 時 機 密 隱 祕 不 令 覺 知 今 既 成 功 
X57n0955_001:0066a16	來至法華賞功付業竝曰方便即顯真實方便有顯	來 至 法 華 賞 功 付 業 竝 曰 方 便 即 顯 真 實 方 便 有 顯 
X57n0955_001:0066a17	實之功是故殷勤之所稱嘆從此題品可不偉哉何	實 之 功 是 故 殷 勤 之 所 稱 嘆 從 此 題 品 可 不 偉 哉 何 
X57n0955_001:0066a18	得以總別不貫而興難辭經家儻或以真實題品反	得 以 總 別 不 貫 而 興 難 辭 經 家 儻 或 以 真 實 題 品 反 
X57n0955_001:0066a19	成總別不貫今山家以三種釋方便甚合佛旨雖有	成 總 別 不 貫 今 山 家 以 三 種 釋 方 便 甚 合 佛 旨 雖 有 
X57n0955_001:0066a20	三種竝以三教而為方便三教是一今昔有殊在昔	三 種 竝 以 三 教 而 為 方 便 三 教 是 一 今 昔 有 殊 在 昔 
X57n0955_001:0066a21	用此施設化誘隨機契用謂之法用若非此用何由	用 此 施 設 化 誘 隨 機 契 用 謂 之 法 用 若 非 此 用 何 由 
X57n0955_001:0066a22	今日得入實相指此三教為入實門謂之能通在昔	今 日 得 入 實 相 指 此 三 教 為 入 實 門 謂 之 能 通 在 昔 
X57n0955_001:0066a23	雖用機全不知今日顯說始知方便雖指三教名為	雖 用 機 全 不 知 今 日 顯 說 始 知 方 便 雖 指 三 教 名 為 
X57n0955_001:0066a24	方便此方便體即是真實故此方便受祕玅稱昔日	方 便 此 方 便 體 即 是 真 實 故 此 方 便 受 祕 玅 稱 昔 日 
X57n0955_001:0066b01	將一以為三今日知三全是一從三題品故云祕玅	將 一 以 為 三 今 日 知 三 全 是 一 從 三 題 品 故 云 祕 玅 
X57n0955_001:0066b02	方便乃即一之三亦如良將用此機巧當正用時隨	方 便 乃 即 一 之 三 亦 如 良 將 用 此 機 巧 當 正 用 時 隨 
X57n0955_001:0066b03	宜施設謂之法用若非此謀何由獲功謂之能通既	宜 施 設 謂 之 法 用 若 非 此 謀 何 由 獲 功 謂 之 能 通 既 
X57n0955_001:0066b04	已獲功對眾稱歎昔之所用既能成功從今題品故	已 獲 功 對 眾 稱 歎 昔 之 所 用 既 能 成 功 從 今 題 品 故 
X57n0955_001:0066b05	以祕玅而釋題名正是今日所嘆方便今所嘆者無	以 祕 玅 而 釋 題 名 正 是 今 日 所 嘆 方 便 今 所 嘆 者 無 
X57n0955_001:0066b06	別方便即是前來所用善巧故此三釋竝以三教而	別 方 便 即 是 前 來 所 用 善 巧 故 此 三 釋 竝 以 三 教 而 
X57n0955_001:0066b07	為方便前二可釋昔經後一正當今品方便有顯實	為 方 便 前 二 可 釋 昔 經 後 一 正 當 今 品 方 便 有 顯 實 
X57n0955_001:0066b08	之功特題今品名為方便斯乃天台解釋玅合佛心	之 功 特 題 今 品 名 為 方 便 斯 乃 天 台 解 釋 玅 合 佛 心 
X57n0955_001:0066b09	深符經意豈可與夫古師所謂照常無常內靜外變	深 符 經 意 豈 可 與 夫 古 師 所 謂 照 常 無 常 內 靜 外 變 
X57n0955_001:0066b10	者而同日耶仍知今之所說亦豈與夫舊人章藻淺	者 而 同 日 耶 仍 知 今 之 所 說 亦 豈 與 夫 舊 人 章 藻 淺 
X57n0955_001:0066b11	陋之論而竝駕耶然則舊來亦見疏文節節皆云方	陋 之 論 而 竝 駕 耶 然 則 舊 來 亦 見 疏 文 節 節 皆 云 方 
X57n0955_001:0066b12	便有顯實之功故從方便以題品但謂方便即是真	便 有 顯 實 之 功 故 從 方 便 以 題 品 但 謂 方 便 即 是 真 
X57n0955_001:0066b13	實從絕待以標名雖標方便意則全標真實葢由權	實 從 絕 待 以 標 名 雖 標 方 便 意 則 全 標 真 實 葢 由 權 
X57n0955_001:0066b14	便是實欲使機緣見此方便即作實真而解此乃善	便 是 實 欲 使 機 緣 見 此 方 便 即 作 實 真 而 解 此 乃 善 
X57n0955_001:0066b15	論之者作如此釋故有名體俱不轉之說若以上來	論 之 者 作 如 此 釋 故 有 名 體 俱 不 轉 之 說 若 以 上 來 
X57n0955_001:0066b16	玅意挌之此等但得三一同體之義殊未見如來所	玅 意 挌 之 此 等 但 得 三 一 同 體 之 義 殊 未 見 如 來 所 
X57n0955_001:0066b17	以稱歎殷勤之旨經家標品之意請明眼人試為詳	以 稱 歎 殷 勤 之 旨 經 家 標 品 之 意 請 明 眼 人 試 為 詳 
X57n0955_001:0066b18	考若夫約三種而論開顯據諸文而釋題名昔人章	考 若 夫 約 三 種 而 論 開 顯 據 諸 文 而 釋 題 名 昔 人 章 
X57n0955_001:0066b19	藻已自詳備今但患其舊來所說未合經旨佛意祖	藻 已 自 詳 備 今 但 患 其 舊 來 所 說 未 合 經 旨 佛 意 祖 
X57n0955_001:0066b20	意將恐沈埋故略舉提免致乾沒願同道者共開方	意 將 恐 沈 埋 故 略 舉 提 免 致 乾 沒 願 同 道 者 共 開 方 
X57n0955_001:0066b21	便之門深造實相之府。	便 之 門 深 造 實 相 之 府 
X57n0955_001:0066b22	塵沙	塵 沙 
X57n0955_001:0066b23	稟吾佛之法立造修之行必以三觀治三種惑證三	稟 吾 佛 之 法 立 造 修 之 行 必 以 三 觀 治 三 種 惑 證 三 
X57n0955_001:0066b24	諦理顯三德身此為至要天台一宗立四種教判攝	諦 理 顯 三 德 身 此 為 至 要 天 台 一 宗 立 四 種 教 判 攝 
X57n0955_001:0066c01	一代行理智斷無不備盡甞竊疑之教為能詮理為	一 代 行 理 智 斷 無 不 備 盡 甞 竊 疑 之 教 為 能 詮 理 為 
X57n0955_001:0066c02	所詮理必有三藏通二教同詮真理別圓二教同詮	所 詮 理 必 有 三 藏 通 二 教 同 詮 真 理 別 圓 二 教 同 詮 
X57n0955_001:0066c03	中理其如俗理無教可詮何也又竊疑之惑既有三	中 理 其 如 俗 理 無 教 可 詮 何 也 又 竊 疑 之 惑 既 有 三 
X57n0955_001:0066c04	界唯內外界內則以見思為因界外則以無明為因	界 唯 內 外 界 內 則 以 見 思 為 因 界 外 則 以 無 明 為 因 
X57n0955_001:0066c05	其如塵沙何界所攝是則塵沙通界內外然彼二惑	其 如 塵 沙 何 界 所 攝 是 則 塵 沙 通 界 內 外 然 彼 二 惑 
X57n0955_001:0066c06	內外有限何故塵沙通內通外又聞先賢有以塵沙	內 外 有 限 何 故 塵 沙 通 內 通 外 又 聞 先 賢 有 以 塵 沙 
X57n0955_001:0066c07	牽生不牽生之論異諍紛然未能歸一於是考尋祖	牽 生 不 牽 生 之 論 異 諍 紛 然 未 能 歸 一 於 是 考 尋 祖 
X57n0955_001:0066c08	文研究昔說果見祖文甚明昔人自昧唯玅宗鈔有	文 研 究 昔 說 果 見 祖 文 甚 明 昔 人 自 昧 唯 玅 宗 鈔 有 
X57n0955_001:0066c09	云見思重數如塵若沙只此二句深識惑體予於此	云 見 思 重 數 如 塵 若 沙 只 此 二 句 深 識 惑 體 予 於 此 
X57n0955_001:0066c10	義不能自默試略辯之先敘昔說次復正宗昔有二	義 不 能 自 默 試 略 辯 之 先 敘 昔 說 次 復 正 宗 昔 有 二 
X57n0955_001:0066c11	說一云牽生一云不牽生牽生者云見思惑牽同居	說 一 云 牽 生 一 云 不 牽 生 牽 生 者 云 見 思 惑 牽 同 居 
X57n0955_001:0066c12	生塵沙惑牽方便生無明惑牽實報生據文句云若	生 塵 沙 惑 牽 方 便 生 無 明 惑 牽 實 報 生 據 文 句 云 若 
X57n0955_001:0066c13	無四住分段不生若無無知方便不生若無無明實	無 四 住 分 段 不 生 若 無 無 知 方 便 不 生 若 無 無 明 實 
X57n0955_001:0066c14	報不生不牽生者云塵沙障乎化導見思阻乎空寂	報 不 生 不 牽 生 者 云 塵 沙 障 乎 化 導 見 思 阻 乎 空 寂 
X57n0955_001:0066c15	見思惑存牽三界生見思既破無明惑現潤方便生	見 思 惑 存 牽 三 界 生 見 思 既 破 無 明 惑 現 潤 方 便 生 
X57n0955_001:0066c16	無明之惑初破一品即生實報驗知塵沙無牽生義	無 明 之 惑 初 破 一 品 即 生 實 報 驗 知 塵 沙 無 牽 生 義 
X57n0955_001:0066c17	前所據文乃是三惑對土之說以由陳如有無生義	前 所 據 文 乃 是 三 惑 對 土 之 說 以 由 陳 如 有 無 生 義 
X57n0955_001:0066c18	三惑是生無此三惑即三無生故以塵沙以對方便	三 惑 是 生 無 此 三 惑 即 三 無 生 故 以 塵 沙 以 對 方 便 
X57n0955_001:0066c19	非謂塵沙牽方便生有難者云若謂塵沙無牽生者	非 謂 塵 沙 牽 方 便 生 有 難 者 云 若 謂 塵 沙 無 牽 生 者 
X57n0955_001:0066c20	何故四念處云無量取相感無量生死無量塵沙招	何 故 四 念 處 云 無 量 取 相 感 無 量 生 死 無 量 塵 沙 招 
X57n0955_001:0066c21	無量果報無量無明受無量報身既云招無量果報	無 量 果 報 無 量 無 明 受 無 量 報 身 既 云 招 無 量 果 報 
X57n0955_001:0066c22	豈非牽方便生有釋者云所謂招果報者非謂牽招	豈 非 牽 方 便 生 有 釋 者 云 所 謂 招 果 報 者 非 謂 牽 招 
X57n0955_001:0066c23	實造果報乃是菩薩出假化物破塵沙惑入生死境	實 造 果 報 乃 是 菩 薩 出 假 化 物 破 塵 沙 惑 入 生 死 境 
X57n0955_001:0066c24	起同事攝權受果報故有此云耳此乃近代名師作	起 同 事 攝 權 受 果 報 故 有 此 云 耳 此 乃 近 代 名 師 作 
X57n0955_001:0067a01	如此釋其徒傳習以為高論予甞憐其暗昧若此待	如 此 釋 其 徒 傳 習 以 為 高 論 予 甞 憐 其 暗 昧 若 此 待 
X57n0955_001:0067a02	示正宗方見佗謬次復正宗須知塵沙無別惑體全	示 正 宗 方 見 佗 謬 次 復 正 宗 須 知 塵 沙 無 別 惑 體 全 
X57n0955_001:0067a03	以見思藥病方法名為塵沙何以知之故止觀所示	以 見 思 藥 病 方 法 名 為 塵 沙 何 以 知 之 故 止 觀 所 示 
X57n0955_001:0067a04	出假有三謂知病識藥授藥方法知病者知一切眾	出 假 有 三 謂 知 病 識 藥 授 藥 方 法 知 病 者 知 一 切 眾 
X57n0955_001:0067a05	生見思之病知見思根本知見思因緣久近重數等	生 見 思 之 病 知 見 思 根 本 知 見 思 因 緣 久 近 重 數 等 
X57n0955_001:0067a06	識藥者有世間藥有出世間藥有出世上上藥授藥	識 藥 者 有 世 間 藥 有 出 世 間 藥 有 出 世 上 上 藥 授 藥 
X57n0955_001:0067a07	方法者須能觀機隨病與藥先須自能曉了藥病亦	方 法 者 須 能 觀 機 隨 病 與 藥 先 須 自 能 曉 了 藥 病 亦 
X57n0955_001:0067a08	能了達授藥方法應病與之令佗欣樂隨服而治若	能 了 達 授 藥 方 法 應 病 與 之 令 佗 欣 樂 隨 服 而 治 若 
X57n0955_001:0067a09	能了達知病等三名破塵沙此三不了名之為惑以	能 了 達 知 病 等 三 名 破 塵 沙 此 三 不 了 名 之 為 惑 以 
X57n0955_001:0067a10	由見思有通有別故塵沙惑有內有外若能分別通	由 見 思 有 通 有 別 故 塵 沙 惑 有 內 有 外 若 能 分 別 通 
X57n0955_001:0067a11	見通思授藥與治破界內塵沙若能分別別見別思	見 通 思 授 藥 與 治 破 界 內 塵 沙 若 能 分 別 別 見 別 思 
X57n0955_001:0067a12	授藥與治即破界外塵沙故知塵沙無別惑體即指	授 藥 與 治 即 破 界 外 塵 沙 故 知 塵 沙 無 別 惑 體 即 指 
X57n0955_001:0067a13	善能分別見思藥病等相名破塵沙菩薩既以利物	善 能 分 別 見 思 藥 病 等 相 名 破 塵 沙 菩 薩 既 以 利 物 
