T54n2130_001:0981a05	翻梵語	翻 梵 語 
T54n2130_002:0992c18	阿耨差婆浮彌(譯曰墮忍地也)	阿 耨 差 婆 浮 彌 譯 曰 墮 忍 地 也 
T54n2130_002:0992c19	阿波差浮彌(應云阿博差浮彌　譯曰無相違地)	阿 波 差 浮 彌 應 云 阿 博 差 浮 彌 譯 曰 無 相 違 地 
T54n2130_002:0992c20	三摩多博差摩博差浮彌(譯曰等戒忍相違地)	三 摩 多 博 差 摩 博 差 浮 彌 譯 曰 等 戒 忍 相 違 地 
T54n2130_002:0992c21	闍帝叉[衣〦+高]浮(應云闍帝叉夜　譯曰生滅地也)	闍 帝 叉 [衣〦高] 浮 應 云 闍 帝 叉 夜 譯 曰 生 滅 地 也 
T54n2130_002:0992c22	波偷三般菩薩法住(譯曰大具足也)　兜沙經	波 偷 三 般 菩 薩 法 住 譯 曰 大 具 足 也 兜 沙 經 
T54n2130_002:0992c23	阿耆三般菩薩法住(譯曰大具足也)	阿 耆 三 般 菩 薩 法 住 譯 曰 大 具 足 也 
T54n2130_002:0992c24	偷羅闍菩薩法住(譯曰大王)	偷 羅 闍 菩 薩 法 住 譯 曰 大 王 
T54n2130_002:0993a01	菩薩觀行名第九	菩 薩 觀 行 名 第 九 
T54n2130_002:0993a02	第一義悉檀相(譯曰悉檀者熟云驗未)　大智論第一卷	第一義悉檀 相 譯 曰 悉 檀 者 熟 云 驗 未 大 智 論 第 一 卷 
T54n2130_002:0993a03	首楞嚴(譯曰健相譯曰勇健)　兜沙經	首 楞 嚴 譯 曰 健 相 譯 曰 勇 健 兜 沙 經 
T54n2130_002:0993a04	般若般三昧(應云鉢剌舟般那　譯曰現前定也)　第四卷	般 若 般 三 昧 應 云 鉢 剌 舟 般 那 譯 曰 現 前 定 也 第 四 卷 
T54n2130_002:0993a05	檀波羅密(應云檀那波羅密多　論曰婆羅者彼岸密者到也譯曰檀那者施亦云捨)	檀 波 羅 密 應 云 檀 那 波羅密多 論 曰 婆 羅 者 彼 岸 密 者 到 也 譯 曰 檀 那 者 施 亦 云 捨 
T54n2130_002:0993a06	尸羅(論曰性善譯曰戒也)	尸 羅 論 曰 性 善 譯 曰 戒 也 
T54n2130_002:0993a07	羼提(論曰忍辱)	羼 提 論 曰 忍 辱 
T54n2130_002:0993a08	毘梨耶(論曰精進)	毘 梨 耶 論 曰 精 進 
T54n2130_002:0993a09	禪(應云施那那可反　譯曰思惟)	禪 應 云 施 那 那 可 反 譯 曰 思 惟 
T54n2130_002:0993a10	般若(論曰慧也亦曰智慧)	般 若 論 曰 慧 也 亦 曰 智 慧 
T54n2130_002:0993a11	陀羅尼(亦云陀隣尼　論曰能持譯曰持也)	陀 羅 尼 亦 云 陀 隣 尼 論 曰 能 持 譯 曰 持 也 
T54n2130_002:0993a12	波羅末他(論曰第一義也)　第四十八卷	波 羅 末 他 論 曰 第 一 義 也 第 四 十 八 卷 
T54n2130_002:0993a13	漚和拘舍羅(應云漚波拘舍羅　譯曰漚波者大拘舍羅者方便也)	漚和拘舍羅 應 云 漚 波 拘 舍 羅 譯 曰 漚 波 者 大 拘 舍 羅 者 方 便 也 
T54n2130_002:0993a14	　第六十二卷	 第 六 十 二 卷 
T54n2130_002:0993a15	羅摩伽三昧法門(譯曰羅摩伽者遊戱也)	羅 摩 伽 三 昧 法 門 譯 曰 羅 摩 伽 者 遊 戱 也 
T54n2130_002:0993a16	　羅摩伽經第一卷	 羅 摩 伽 經 第 一 卷 
T54n2130_002:0993a17	漚和拘舍羅波羅密(譯曰大方便究竟也)　兜沙經	漚和拘舍羅 波 羅 密 譯 曰 大 方 便 究 竟 也 兜 沙 經 
T54n2130_002:0993a18	波俞迦三昧(譯曰大也)	波 俞 迦 三 昧 譯 曰 大 也 
T54n2130_002:0993a19	優婆夷底(應云優波耶底　譯曰方便性也)	優 婆 夷 底 應 云 優 波 耶 底 譯 曰 方 便 性 也 
T54n2130_002:0993a20	阿[跳兆+票]波夷底(應云阿致波耶底　譯曰極方便也)	阿 [跳兆票] 波 夷 底 應 云 阿 致 波 耶 底 譯 曰 極 方 便 也 
T54n2130_002:0993a21	辟支佛名第十	辟 支 佛 名 第 十 
T54n2130_002:0993a22	辟支佛(譯曰辟支者緣覺亦曰獨覺)　大智論第二卷	辟 支 佛 譯 曰 辟 支 者 緣 覺 亦 曰 獨 覺 大 智 論 第 二 卷 
T54n2130_002:0993a23	曇摩辟支佛(譯曰曇摩者法)　賢愚經第十二卷	曇 摩 辟 支 佛 譯 曰 曇 摩 者 法 賢 愚 經 第 十 二 卷 
T54n2130_002:0993a24	修曇摩辟支佛(譯曰好法)	修 曇 摩 辟 支 佛 譯 曰 好 法 
T54n2130_002:0993b01	迦羅辟支佛(譯曰墨也)　法句經第二卷	迦 羅 辟 支 佛 譯 曰 墨 也 法 句 經 第 二 卷 
T54n2130_002:0993b02	迦羅尸棄(應云歌羅尸棄　譯曰歌者時尸棄者火)	迦 羅 尸 棄 應 云 歌 羅 尸 棄 譯 曰 歌 者 時 尸 棄 者 火 
T54n2130_002:0993b03	　獨留長者財無付經	 獨 留 長 者 財 無 付 經 
T54n2130_002:0993b04	比丘名第十一	比 丘 名 第 十 一 
T54n2130_002:0993b05	比丘(論曰乞士亦云怖魔)　大智論第三卷	比 丘 論 曰 乞 士 亦 云 怖 魔 大 智 論 第 三 卷 
T54n2130_002:0993b06	僧(亦云僧伽　論曰僧伽者和合眾)　第一卷	僧 亦 云 僧 伽 論 曰 僧 伽 者 和 合 眾 第 一 卷 
T54n2130_002:0993b07	沙門(應云沙聞那　譯曰息心亦云聞說)	沙 門 應 云 沙 聞 那 譯 曰 息 心 亦 云 聞 說 
T54n2130_002:0993b08	舍利弗(譯者曰舍利者鳥名其母眼以舍利鳥弗者子也)	舍 利 弗 譯 者 曰 舍 利 者 鳥 名 其 母 眼 以 舍 利 鳥 弗 者 子 也 
T54n2130_002:0993b09	須菩提(譯曰須者好菩提者道道亦云智也)	須 菩 提 譯 曰 須 者 好 菩 提 者 道 道 亦 云 智 也 
T54n2130_002:0993b10	車匿(應云闡陀亦云闡那　譯曰應作亦云覆藏)	車 匿 應 云 闡 陀 亦 云 闡 那 譯 曰 應 作 亦 云 覆 藏 
T54n2130_002:0993b11	阿難(譯曰歡喜)	阿 難 譯 曰 歡 喜 
T54n2130_002:0993b12	摩訶俱絺羅(亦云拘絺羅　譯曰摩訶者大俱絺羅者勝)	摩 訶 俱 絺 羅 亦 云 拘 絺 羅 譯 曰 摩 訶 者 大 俱 絺 羅 者 勝 
T54n2130_002:0993b13	提婆達(亦云提婆達多亦云調達　譯曰提婆者天達多者與)	提 婆 達 亦 云 提 婆 達 多 亦 云 調 達 譯 曰 提 婆 者 天 達 多 者 與 
T54n2130_002:0993b14	俱迦離(亦云瞿伽梨亦云瞿伽離　譯曰云何時也)	俱 迦 離 亦 云 瞿 伽 梨 亦 云 瞿 伽 離 譯 曰 云 何 時 也 
T54n2130_002:0993b15	阿泥盧豆(亦云阿尼律陀亦云阿那律　譯曰阿那律陀者无障)　第二卷	阿 泥 盧 豆 亦 云 阿 尼 律 陀 亦 云 阿 那 律 譯 曰 阿 那 律 陀 者 无 障 第 二 卷 
T54n2130_002:0993b16	摩訶迦葉(亦云摩呵伽葉　譯曰摩訶如上說迦葉者姓也)	摩 訶 迦 葉 亦 云 摩 呵 伽 葉 譯 曰 摩 訶 如 上 說 迦 葉 者 姓 也 
T54n2130_002:0993b17	憍梵波題(亦云憍梵鉢提亦云伽梵波底　譯曰伽梵者牛波底者主)	憍 梵 波 題 亦 云 憍 梵 鉢 提 亦 云 伽 梵 波 底 譯 曰 伽 梵 者 牛 波 底 者 主 
T54n2130_002:0993b18	摩訶目伽連(字劬律陀亦云揵連　譯曰大姓論曰吾占師之子若拘律陀)	摩 訶 目 伽 連 字 劬 律 陀 亦 云 揵 連 譯 曰 大 姓 論 曰 吾 占 師 之 子 若 拘 律 陀 
T54n2130_002:0993b19	羅睺羅(亦云羅睺羅亦云羅云　譯曰羅睺者鄣月羅者除也)	羅 睺 羅 亦 云 羅 睺 羅 亦 云 羅 云 譯 曰 羅 睺 者 鄣 月 羅 者 除 也 
T54n2130_002:0993b20	阿若憍陳如(亦云拘陳如亦云阿若拘隣　譯曰阿若憍陳如者無智也)	阿 若 憍 陳 如 亦 云 拘 陳 如 亦 云 阿 若 拘 隣 譯 曰 阿 若 憍 陳 如 者 無 智 也 
T54n2130_002:0993b21	憂波利(亦云憂波離亦云憂婆離　譯曰憂者[這言+分]波利者護)	憂 波 利 亦 云 憂 波 離 亦 云 憂 婆 離 譯 曰 憂 者 [這言分] 波 利 者 護 
T54n2130_002:0993b22	須隣那迦蘭陀(譯曰須者好隣那者與迦蘭者村名也)	須 隣 那 迦 蘭 陀 譯 曰 須 者 好 隣 那 者 與 迦 蘭 者 村 名 也 
T54n2130_002:0993b23	必陵伽婆蹉(譯者曰必陵迦者兒名婆蹉者子也)	必 陵 伽 婆 蹉 譯 者 曰 必 陵 迦 者 兒 名 婆 蹉 者 子 也 
T54n2130_002:0993b24	尸利崛多(亦云尸[(奧釆+米)*毛]多　譯曰尸利者吉堀多者藏亦云護也)　第三卷	尸 利 崛 多 亦 云 尸 [奧釆米毛] 多 譯 曰 尸 利 者 吉 堀 多 者 藏 亦 云 護 也 第 三 卷 
T54n2130_002:0993c01	富樓那(亦云富樓那彌多羅尼子　譯曰富樓那者滿彌多羅者慈女也)	富 樓 那 亦 云 富 樓 那 彌 多 羅 尼 子 譯 曰 富 樓 那 者 滿 彌 多 羅 者 慈 女 也 
T54n2130_002:0993c02	劬提迦(應云劬底迦　譯曰巧語)	劬 提 迦 應 云 劬 底 迦 譯 曰 巧 語 
T54n2130_002:0993c03	摩揵提(譯曰求道)	摩 揵 提 譯 曰 求 道 
T54n2130_002:0993c04	蜫盧提迦(應云蜫盧[其*皮]迦　譯曰眾所宗敬)	蜫 盧 提 迦 應 云 蜫 盧 [其皮] 迦 譯 曰 眾 所 宗 敬 
T54n2130_002:0993c05	婆耆子(應云婆者寐亦云跋耆子　譯曰教辭)	婆 耆 子 應 云 婆 者 寐 亦 云 跋 耆 子 譯 曰 教 辭 
T54n2130_002:0993c06	跋提(譯曰賢也)	跋 提 譯 曰 賢 也 
T54n2130_002:0993c07	摩訶男(亦云摩訶那磨（摩可反）　譯曰大名)	摩 訶 男 亦 云 摩 訶 那 磨 摩 可 反 譯 曰 大 名 
T54n2130_002:0993c08	施婆羅(亦云尸婆羅　譯曰薀藩)	施 婆 羅 亦 云 尸 婆 羅 譯 曰 薀 藩 
T54n2130_002:0993c09	阿夷陀(亦云阿未多亦云阿夷哆（都賀反）　譯曰無勝)	阿 夷 陀 亦 云 阿 未 多 亦 云 阿 夷 哆 都 賀 反 譯 曰 無 勝 
T54n2130_002:0993c10	迦栴延尼子(譯者曰迦栴延者姓尼者女也)　第四卷	迦 栴 延 尼 子 譯 者 曰 迦 栴 延 者 姓 尼 者 女 也 第 四 卷 
T54n2130_002:0993c11	羼提比丘(譯曰忍辱)	羼 提 比 丘 譯 曰 忍 辱 
T54n2130_002:0993c12	憂波毱比丘(應云優波掘多亦云優婆毱提　譯曰大護)　第十卷	憂 波 毱 比 丘 應 云 優 波 掘 多 亦 云 優 婆 毱 提 譯 曰 大 護 第 十 卷 
T54n2130_002:0993c13	婆蹉弗姤路(應云跋蹉弗多羅　譯曰跋蹉者犢也弗多羅多子)	婆 蹉 弗 姤 路 應 云 跋 蹉 弗 多 羅 譯 曰 跋 蹉 者 犢 也 弗 多 羅 多 子 
T54n2130_002:0993c14	達貳伽比丘(亦云達尸迦亦云檀尼　譯曰有物)	達 貳 伽 比 丘 亦 云 達 尸 迦 亦 云 檀 尼 譯 曰 有 物 
T54n2130_002:0993c15	阿說示比丘(應云阿鎖實　譯曰馬勝)	阿 說 示 比 丘 應 云 阿 鎖 實 譯 曰 馬 勝 
T54n2130_002:0993c16	摩陀羅(應云摩訶陀羅　譯曰大智)	摩 陀 羅 應 云 摩 訶 陀 羅 譯 曰 大 智 
T54n2130_002:0993c17	提舍論師(譯曰言說)	提 舍 論 師 譯 曰 言 說 
T54n2130_002:0993c18	憂波提舍(亦云優波帝寫　論曰憂波者遂提舍者星譯曰近說)	憂波提舍 亦 云 優 波 帝 寫 論 曰 憂 波 者 遂 提 舍 者 星 譯 曰 近 說 
T54n2130_002:0993c19	羅頻珠比丘(亦云羅毘　譯曰感物致利養)	羅 頻 珠 比 丘 亦 云 羅 毘 譯 曰 感 物 致 利 養 
T54n2130_002:0993c20	漚樓頻騾迦葉(亦云優留毘亦云欝鞞羅迦葉　譯曰漚樓頻騾者木苽迦葉者姓)	漚 樓 頻 騾 迦 葉 亦 云 優 留 毘 亦 云 欝 鞞 羅 迦 葉 譯 曰 漚 樓 頻 騾 者 木 苽 迦 葉 者 姓 
T54n2130_002:0993c21	婆蹉首羅(譯曰婆蹉者犢亦云姓也首羅者勇)	婆 蹉 首 羅 譯 曰 婆 蹉 者 犢 亦 云 姓 也 首 羅 者 勇 
T54n2130_002:0993c22	閻婆阿羅漢(亦云剡婆　譯曰閻婆者禁制也)　第二十二卷	閻 婆 阿 羅 漢 亦 云 剡 婆 譯 曰 閻 婆 者 禁 制 也 第 二 十 二 卷 
T54n2130_002:0993c23	薄拘羅比丘(亦云婆鉤盧　譯者曰樹名舊譯菩[山/谷]儀)	薄 拘 羅 比 丘 亦 云 婆 鉤 盧 譯 者 曰 樹 名 舊 譯 菩 [山谷] 儀 
T54n2130_002:0993c24	蘇摩(亦云須摩　譯曰月也)	蘇 摩 亦 云 須 摩 譯 曰 月 也 
T54n2130_002:0994a01	羅婆那跋提(應云羅呵反波那跋提　譯曰羅婆那者醎跋提者賢也)	羅 婆 那 跋 提 應 云 羅 呵 反 波 那 跋 提 譯 曰 羅 婆 那 者 醎 跋 提 者 賢 也 
T54n2130_002:0994a02	　第二十三卷	 第 二 十 三 卷 
T54n2130_002:0994a03	鴦群利摩羅(亦云鴦掘摩　譯曰指鬘華也)　第二十四卷	鴦 群 利 摩 羅 亦 云 鴦 掘 摩 譯 曰 指 鬘 華 也 第 二 十 四 卷 
T54n2130_002:0994a04	呪利般陀伽(亦云周林般時亦云拘利般特　譯曰呪利者小般陀伽者路)	呪 利 般 陀 伽 亦 云 周 林 般 時 亦 云 拘 利 般 特 譯 曰 呪 利 者 小 般 陀 伽 者 路 
T54n2130_002:0994a05	孫陀羅難陀(譯曰孫陀羅者可愛亦好也難陀者歡喜)	孫 陀 羅 難 陀 譯 曰 孫 陀 羅 者 可 愛 亦 好 也 難 陀 者 歡 喜 
T54n2130_002:0994a06	須那剎多羅(亦云須那剎多　譯曰須者好那剎者多羅者星名也)	須 那 剎 多 羅 亦 云 須 那 剎 多 譯 曰 須 者 好 那 剎 者 多 羅 者 星 名 也 
T54n2130_002:0994a07	耶舍(亦云耶世羈　譯曰名聞)	耶 舍 亦 云 耶 世 羈 譯 曰 名 聞 
T54n2130_002:0994a08	隷跋多(譯曰金也)	隷 跋 多 譯 曰 金 也 
T54n2130_002:0994a09	菴跋咤(亦云奄跋私吒　譯曰愛敬母也)　第二十五卷	菴 跋 咤 亦 云 奄 跋 私 吒 譯 曰 愛 敬 母 也 第 二 十 五 卷 
T54n2130_002:0994a10	賓徒羅叵羅埵(亦云賓頭盧頗羅墮　譯曰賓徒羅者乞食叵羅埵者姓也)	賓 徒 羅 叵 羅 埵 亦 云 賓 頭 盧 頗 羅 墮 譯 曰 賓 徒 羅 者 乞 食 叵 羅 埵 者 姓 也 
T54n2130_002:0994a11	　第二十六卷	 第 二 十 六 卷 
T54n2130_002:0994a12	摩頭波斯咤(譯曰摩頭者密波斯咤者殘亦勝也)	摩 頭 波 斯 咤 譯 曰 摩 頭 者 密 波 斯 咤 者 殘 亦 勝 也 
T54n2130_002:0994a13	欝多羅比丘(亦云欝多樓　譯曰欝多羅者比亦云勝亦云喜)	欝 多 羅 比 丘 亦 云 欝 多 樓 譯 曰 欝 多 羅 者 比 亦 云 勝 亦 云 喜 
T54n2130_002:0994a14	　第二十七卷	 第 二 十 七 卷 
T54n2130_002:0994a15	須蔓耳比丘(譯曰好意亦云好慢)　第二十九卷	須 蔓 耳 比 丘 譯 曰 好 意 亦 云 好 慢 第 二 十 九 卷 
T54n2130_002:0994a16	須涅多羅(亦云須泥多　譯曰好眼)　第三十一卷	須 涅 多 羅 亦 云 須 泥 多 譯 曰 好 眼 第 三 十 一 卷 
T54n2130_002:0994a17	憂陀耶(譯曰出亦云起)　第三十三卷	憂 陀 耶 譯 曰 出 亦 云 起 第 三 十 三 卷 
T54n2130_002:0994a18	訶多釋子(應云訶多釋迦亦云訶多　譯曰訶多打亦云害亦云不勝釋迦者能也)	訶 多 釋 子 應 云 訶 多 釋 迦 亦 云 訶 多 譯 曰 訶 多 打 亦 云 害 亦 云 不 勝 釋 迦 者 能 也 
T54n2130_002:0994a19	　第三十四卷	 第 三 十 四 卷 
T54n2130_002:0994a20	阿利咤比丘(亦云阿梨瑟咤亦云阿栗咤　譯曰阿梨瑟咤者無環樹也)	阿 利 咤 比 丘 亦 云 阿 梨 瑟 咤 亦 云 阿 栗 咤 譯 曰 阿 梨 瑟 咤 者 無 環 樹 也 
T54n2130_002:0994a21	　第九十三卷	 第 九 十 三 卷 
T54n2130_002:0994a22	蘇陀夷(譯曰共出)　第九十七卷	蘇 陀 夷 譯 曰 共 出 第 九 十 七 卷 
T54n2130_002:0994a23	尼他(譯曰詳議)	尼 他 譯 曰 詳 議 
T54n2130_002:0994a24	究摩羅耆婆(譯曰究摩羅者童耆婆者命亦云壽也)　第九十九卷	究 摩 羅 耆 婆 譯 曰 究 摩 羅 者 童 耆 婆 者 命 亦 云 壽 也 第 九 十 九 卷 
T54n2130_002:0994b01	離婆多(亦云梨婆多亦云離越多　譯者曰星名也)　華嚴第三十七卷	離 婆 多 亦 云 梨 婆 多 亦 云 離 越 多 譯 者 曰 星 名 也 華 嚴 第 三 十 七 卷 
T54n2130_002:0994b02	須菩提(譯曰好智亦云好道)	須 菩 提 譯 曰 好 智 亦 云 好 道 
T54n2130_002:0994b03	難陀(亦云難徒　譯曰歡喜)	難 陀 亦 云 難 徒 譯 曰 歡 喜 
T54n2130_002:0994b04	金毘羅(譯曰是孔非孔)	金 毘 羅 譯 曰 是 孔 非 孔 
T54n2130_002:0994b05	鉢建提(應云鉢利私建提　譯曰力也)　大涅槃經第十卷	鉢 建 提 應 云 鉢 利 私 建 提 譯 曰 力 也 大 涅 槃 經 第 十 卷 
T54n2130_002:0994b06	那羅延(譯曰力也)	那 羅 延 譯 曰 力 也 
T54n2130_002:0994b07	耆婆(譯曰命也)	耆 婆 譯 曰 命 也 
T54n2130_002:0994b08	摩鈴羅道人(譯曰甜也)　第二十一卷	摩 鈴 羅 道 人 譯 曰 甜 也 第 二 十 一 卷 
T54n2130_002:0994b09	須跋陀羅(亦云須跋陀羅摩呵羅亦云須跋　譯曰須跋陀羅者好賢摩訶羅者老也)	須 跋 陀 羅 亦 云 須 跋 陀 羅 摩 呵 羅 亦 云 須 跋 譯 曰 須 跋 陀 羅 者 好 賢 摩 訶 羅 者 老 也 
T54n2130_002:0994b10	　第二十三卷	 第 二 十 三 卷 
T54n2130_002:0994b11	耶奢富那(譯曰耶奢者名聞留那者滿也)	耶 奢 富 那 譯 曰 耶 奢 者 名 聞 留 那 者 滿 也 
T54n2130_002:0994b12	毘摩羅闍(譯曰無垢)	毘 摩 羅 闍 譯 曰 無 垢 
T54n2130_002:0994b13	須婆睺(譯曰好肩)	須 婆 睺 譯 曰 好 肩 
T54n2130_002:0994b14	那提迦葉(譯者曰因江名也)	那 提 迦 葉 譯 者 曰 因 江 名 也 
T54n2130_002:0994b15	伽耶迦葉(譯者曰因國名也)	伽 耶 迦 葉 譯 者 曰 因 國 名 也 
T54n2130_002:0994b16	波羅留枝(譯曰婆羅者勝留枝者樂（午教反）)　第三十一卷	波 羅 留 枝 譯 曰 婆 羅 者 勝 留 枝 者 樂 午 教 反 第 三 十 一 卷 
T54n2130_002:0994b17	曇摩留枝比丘(譯曰法樂（午教反）)	曇 摩 留 枝 比 丘 譯 曰 法 樂 午 教 反 
T54n2130_002:0994b18	優婆摩那(譯曰譬喻)	優 婆 摩 那 譯 曰 譬 喻 
T54n2130_002:0994b19	阿叔迦(應云阿輸迦　譯曰無憂)　第三十六卷	阿 叔 迦 應 云 阿 輸 迦 譯 曰 無 憂 第 三 十 六 卷 
T54n2130_002:0994b20	差摩迦羅(譯曰差摩者人迦羅者作)	差 摩 迦 羅 譯 曰 差 摩 者 人 迦 羅 者 作 
T54n2130_002:0994b21	憂波扇陀(亦云憂彼扇多　譯曰大寂)	憂 波 扇 陀 亦 云 憂 彼 扇 多 譯 曰 大 寂 
T54n2130_002:0994b22	蘇坻(應云收樓底（多履反）　譯曰聞也)	蘇 坻 應 云 收 樓 底 多 履 反 譯 曰 聞 也 
T54n2130_002:0994b23	葉婆密多(譯曰棄婆者密密多者智識)	葉 婆 密 多 譯 曰 棄 婆 者 密 密 多 者 智 識 
T54n2130_002:0994b24	優多羅(譯曰勝也)　增一阿含第一卷	優 多 羅 譯 曰 勝 也 增 一 阿 含 第 一 卷 
T54n2130_002:0994c01	摩呵提婆(譯曰大天)	摩 呵 提 婆 譯 曰 大 天 
T54n2130_002:0994c02	目伽(譯曰青豆)	目 伽 譯 曰 青 豆 
T54n2130_002:0994c03	羅吒婆羅(應云羅吒波羅　譯曰羅吒者國婆羅者勝)	羅 吒 婆 羅 應 云 羅 吒 波 羅 譯 曰 羅 吒 者 國 婆 羅 者 勝 
T54n2130_002:0994c04	賓頭盧(譯曰乞亦云洛)	賓 頭 盧 譯 曰 乞 亦 云 洛 
T54n2130_002:0994c05	難提(亦云難提伽　譯曰歡喜)	難 提 亦 云 難 提 伽 譯 曰 歡 喜 
T54n2130_002:0994c06	施羅(譯曰石山)	施 羅 譯 曰 石 山 
T54n2130_002:0994c07	浮彌(譯曰地也)	浮 彌 譯 曰 地 也 
T54n2130_002:0994c08	婆嗟(譯曰子也)	婆 嗟 譯 曰 子 也 
T54n2130_002:0994c09	陀素(譯曰苦也)	陀 素 譯 曰 苦 也 
T54n2130_002:0994c10	那提(應云那提訶　譯曰疑也)	那 提 應 云 那 提 訶 譯 曰 疑 也 
T54n2130_002:0994c11	婆迦利(應云跋迦利　譯曰樹皮)	婆 迦 利 應 云 跋 迦 利 譯 曰 樹 皮 
T54n2130_002:0994c12	婆陀(譯曰言說)	婆 陀 譯 曰 言 說 
T54n2130_002:0994c13	斯尼(譯曰畢也)	斯 尼 譯 曰 畢 也 
T54n2130_002:0994c14	難陀迦(應云難陀　譯曰歡喜)	難 陀 迦 應 云 難 陀 譯 曰 歡 喜 
T54n2130_002:0994c15	優婆先蘭陀(應云優婆先婆羅　譯曰大歡喜也)	優 婆 先 蘭 陀 應 云 優 婆 先 婆 羅 譯 曰 大 歡 喜 也 
T54n2130_002:0994c16	婆陀先(應云跋陀斯那　譯曰賢軍)	婆 陀 先 應 云 跋 陀 斯 那 譯 曰 賢 軍 
T54n2130_002:0994c17	優頭槃(應云優頭波那　譯曰井林)	優 頭 槃 應 云 優 頭 波 那 譯 曰 井 林 
T54n2130_002:0994c18	拘摩羅迦葉(譯曰拘摩羅者童也)	拘 摩 羅 迦 葉 譯 曰 拘 摩 羅 者 童 也 
T54n2130_002:0994c19	婆提婆羅(應云跋陀波羅　譯曰賢護)	婆 提 婆 羅 應 云 跋 陀 波 羅 譯 曰 賢 護 
T54n2130_002:0994c20	鴦迦闍(譯曰體生)	鴦 迦 闍 譯 曰 體 生 
T54n2130_002:0994c21	迦特利(應云迦陀利　譯曰甘[卄/穛])	迦 特 利 應 云 迦 陀 利 譯 曰 甘 [卄穛] 
T54n2130_002:0994c22	輸提(應云輸弟　譯曰淨除亦云校定)	輸 提 應 云 輸 弟 譯 曰 淨 除 亦 云 校 定 
T54n2130_002:0994c23	僧迦摩(譯曰橋樑)	僧 迦 摩 譯 曰 橋 樑 
T54n2130_002:0994c24	質多舍利弗(譯曰質多者心舍利弗如上說)	質 多 舍 利 弗 譯 曰 質 多 者 心 舍 利 弗 如 上 說 
T54n2130_002:0995a01	那羅陀(譯曰火與)	那 羅 陀 譯 曰 火 與 
T54n2130_002:0995a02	毘盧遮(應云毘盧遮那　譯曰種種光明)	毘 盧 遮 應 云 毘 盧 遮 那 譯 曰 種 種 光 明 
T54n2130_002:0995a03	耆利摩難(應云耆利摩那　譯曰耆利者山摩那者慢)	耆 利 摩 難 應 云 耆 利 摩 那 譯 曰 耆 利 者 山 摩 那 者 慢 
T54n2130_002:0995a04	曇彌(應云彌施　譯曰頑鈍)	曇 彌 應 云 彌 施 譯 曰 頑 鈍 
T54n2130_002:0995a05	比丘陀婆遮(應云利那婆遮　譯曰愛語)	比 丘 陀 婆 遮 應 云 利 那 婆 遮 譯 曰 愛 語 
T54n2130_002:0995a06	陀摩(譯曰寂靜)	陀 摩 譯 曰 寂 靜 
T54n2130_002:0995a07	須羅陀(應云須賴陀　譯曰善得)	須 羅 陀 應 云 須 賴 陀 譯 曰 善 得 
T54n2130_002:0995a08	那伽波羅(譯曰龍守)	那 伽 波 羅 譯 曰 龍 守 
T54n2130_002:0995a09	婆私吒(譯曰最勝)	婆 私 吒 譯 曰 最 勝 
T54n2130_002:0995a10	須夜奢(譯曰好名聞也)	須 夜 奢 譯 曰 好 名 聞 也 
T54n2130_002:0995a11	[方*爾]奚(應云彌軻　譯曰浮雲)	[方爾] 奚 應 云 彌 軻 譯 曰 浮 雲 
T54n2130_002:0995a12	尼拘留(應云尼拘盧他亦云尼拘樓陀　譯曰不瞋)	尼 拘 留 應 云 尼 拘 盧 他 亦 云 尼 拘 樓 陀 譯 曰 不 瞋 
T54n2130_002:0995a13	乾荼(譯曰前也)　第十一卷	乾 荼 譯 曰 前 也 第 十 一 卷 
T54n2130_002:0995a14	摩呵迹那(應云摩呵彌陀　譯曰大瞋)　第十三卷	摩 呵 迹 那 應 云 摩 呵 彌 陀 譯 曰 大 瞋 第 十 三 卷 
T54n2130_002:0995a15	婆竭(應云婆伽羅　譯曰海也)　第十九卷	婆 竭 應 云 婆 伽 羅 譯 曰 海 也 第 十 九 卷 
T54n2130_002:0995a16	瞿波離(亦云拘波離亦云瞿波利　譯曰守牛)　第三十一卷	瞿 波 離 亦 云 拘 波 離 亦 云 瞿 波 利 譯 曰 守 牛 第 三 十 一 卷 
T54n2130_002:0995a17	末佉梨(應云末伽佉利亦云拔佉梨　譯者曰姓)	末 佉 梨 應 云 末 伽 佉 利 亦 云 拔 佉 梨 譯 者 曰 姓 
T54n2130_002:0995a18	荗羅(譯者曰星名也)	荗 羅 譯 者 曰 星 名 也 
T54n2130_002:0995a19	破群(亦云破群那亦云頗求那　譯者曰星名也)	破 群 亦 云 破 群 那 亦 云 頗 求 那 譯 者 曰 星 名 也 
T54n2130_002:0995a20	帝舍(應云底舍　譯曰光明)	帝 舍 應 云 底 舍 譯 曰 光 明 
T54n2130_002:0995a21	牟利破若羊菟(應云牟羅破群那　譯曰牟羅者根破群那者星名也)	牟 利 破 若 羊 菟 應 云 牟 羅 破 群 那 譯 曰 牟 羅 者 根 破 群 那 者 星 名 也 
T54n2130_002:0995a22	　中阿含第五卷	 中 阿 含 第 五 卷 
T54n2130_002:0995a23	瞿尼師(應云求膩師　譯曰覓甚)　第六卷	瞿 尼 師 應 云 求 膩 師 譯 曰 覓 甚 第 六 卷 
T54n2130_002:0995a24	阿攝(應云阿攝哆　譯曰不誓)　第八卷	阿 攝 應 云 阿 攝 哆 譯 曰 不 誓 第 八 卷 
T54n2130_002:0995b01	拘隷(譯曰種姓)	拘 隷 譯 曰 種 姓 
