X62n1183_001:0351c06	淨業知津	淨 業 知 津 
X62n1183_001:0354a12	留。必致中途阻滯。加以疾風霪雨。酷暑嚴寒。黑夜濘	留 必 致 中 途 阻 滯 加 以 疾 風 霪 雨 酷 暑 嚴 寒 黑 夜 濘 
X62n1183_001:0354a13	泥。舉步荊棘。悔之晚矣。今日多念佛。即往生資斧也。	泥 舉 步 荊 棘 悔 之 晚 矣 今 日 多 念 佛 即 往 生 資 斧 也 
X62n1183_001:0354a14	彌陀大願船。即苦海慈航也。明示西方極樂國。即指	彌 陀 大 願 船 即 苦 海 慈 航 也 明 示 西方極樂 國 即 指 
X62n1183_001:0354a15	南車也。念佛不求往生。祇種善因。或歸福報而已。福	南 車 也 念 佛 不 求 往 生 祇 種 善 因 或 歸 福 報 而 已 福 
X62n1183_001:0354a16	報一盡。仍入輪迴。可危哉。可畏哉。	報 一 盡 仍 入 輪 迴 可 危 哉 可 畏 哉 
X62n1183_001:0354a17	念佛進一解說	念 佛 進 一 解 說 
X62n1183_001:0354a18	予前有念佛往生淺近說。所以發人信心。堅人願力	予 前 有 念 佛 往 生 淺 近 說 所 以 發 人 信 心 堅 人 願 力 
X62n1183_001:0354a19	也。心既發矣。願又堅矣。其不勇猛精進者。生死不切	也 心 既 發 矣 願 又 堅 矣 其 不 勇猛精進 者 生 死 不 切 
X62n1183_001:0354a20	也。生死所以不切者。以未知輪迴之苦。念佛能出輪	也 生 死 所 以 不 切 者 以 未 知 輪 迴 之 苦 念 佛 能 出 輪 
X62n1183_001:0354a21	迴也。請更進一解焉。夫即心即佛。佛在心頭唯心淨	迴 也 請 更 進 一 解 焉 夫 即 心 即 佛 佛 在 心 頭 唯 心 淨 
X62n1183_001:0354a22	土。此等語句。最高最上。最第一。可惜輕口滑過。成口	土 此 等 語 句 最 高 最 上 最 第 一 可 惜 輕 口 滑 過 成 口 
X62n1183_001:0354a23	頭禪也。世人所謂心者。腔子內一肉團耳。眼因色而	頭 禪 也 世 人 所 謂 心 者 腔 子 內 一 肉 團 耳 眼 因 色 而 
X62n1183_001:0354a24	有分別。耳因聲而有分別。此虗妄心。若離六塵。則不	有 分 別 耳 因 聲 而 有 分 別 此 虗 妄 心 若 離 六 塵 則 不 
X62n1183_001:0354b01	能有四大分解。終歸散滅。壇經云。心是地。性是王。王	能 有 四 大 分 解 終 歸 散 滅 壇 經 云 心 是 地 性 是 王 王 
X62n1183_001:0354b02	居心地上。言其體。則無形無相。無動無搖。不生不滅。	居 心 地 上 言 其 體 則 無 形 無 相 無 動 無 搖 不生不滅 
X62n1183_001:0354b03	言其用。則能含一切。生一切。圓滿周遍。運用不窮。善	言 其 用 則 能 含 一 切 生 一 切 圓 滿 周 遍 運 用 不 窮 善 
X62n1183_001:0354b04	惡邪正。無不備具。一念善。天堂升。一念惡。地獄沈。然	惡 邪 正 無不備具 一 念 善 天 堂 升 一 念 惡 地 獄 沈 然 
X62n1183_001:0354b05	則念念彌陀。心心歸向。西方極樂國。有不從此成就	則 念 念 彌 陀 心 心 歸 向 西方極樂 國 有 不 從 此 成 就 
X62n1183_001:0354b06	者乎。善日積。天堂一重高一重。惡日積。地獄一層低	者 乎 善 日 積 天 堂 一 重 高 一 重 惡 日 積 地 獄 一 層 低 
X62n1183_001:0354b07	一層。淨土境界。亦視其人之修證為等差。故東西南	一 層 淨 土 境 界 亦 視 其 人 之 修 證 為 等 差 故 東 西 南 
X62n1183_001:0354b08	北皆安養。塔廟山林亦樂邦也。縱使金臺來迎。亦是	北 皆 安 養 塔 廟 山 林 亦 樂 邦 也 縱 使 金 臺 來 迎 亦 是 
X62n1183_001:0354b09	自性中發現。天上只一月。而湖海溝渠。甚至一盂一	自 性 中 發 現 天 上 只 一 月 而 湖 海 溝 渠 甚 至 一 盂 一 
X62n1183_001:0354b10	杯。莫不徧印。但水不清。則月不現。喻眾生心不淨。不	杯 莫 不 徧 印 但 水 不 清 則 月 不 現 喻 眾 生 心 不 淨 不 
X62n1183_001:0354b11	見佛也。果得往生。見佛聞法。輪迴脫矣。或云。念佛時。	見 佛 也 果 得 往 生 見佛聞法 輪 迴 脫 矣 或 云 念 佛 時 
X62n1183_001:0354b12	雜念多。奈何。曰。諸念木屬虗妄。然亦不離自性。心經	雜 念 多 奈 何 曰 諸 念 木 屬 虗 妄 然 亦 不 離 自 性 心 經 
X62n1183_001:0354b13	五蘊皆空。明明有箇照見的在。即不雜不亂之主人	五 蘊 皆 空 明 明 有 箇 照 見 的 在 即 不 雜 不 亂 之 主 人 
X62n1183_001:0354b14	翁也。必謂念頭。有礙念佛。知念起者。又何人耶。知念	翁 也 必 謂 念 頭 有 礙 念 佛 知 念 起 者 又 何 人 耶 知 念 
X62n1183_001:0354b15	即離。離念即佛。攀緣固非。止滅亦病。他起他的念。我	即 離 離 念 即 佛 攀 緣 固 非 止 滅 亦 病 他 起 他 的 念 我 
X62n1183_001:0354b16	念我的佛。始則業力勝佛力。久則佛力勝業力。純則	念 我 的 佛 始 則 業 力 勝 佛 力 久 則 佛 力 勝 業 力 純 則 
X62n1183_001:0354b17	開口閉口單單剩一句佛。及至臨末一聲。戞然而止。	開 口 閉 口 單 單 剩 一 句 佛 及 至 臨 末 一 聲 戞 然 而 止 
X62n1183_001:0354b18	斯時萬念皆消。眾響俱寂。何等清涼。何等受用。一剎	斯 時 萬 念 皆 消 眾 響 俱 寂 何 等 清 涼 何 等 受 用 一 剎 
X62n1183_001:0354b19	那間。星移物換矣。由斯而言。人生而少而壯而老。併	那 間 星 移 物 換 矣 由 斯 而 言 人 生 而 少 而 壯 而 老 併 
X62n1183_001:0354b20	此一剎那之清涼受用。而不可得。塵勞擾擾中。不知	此 一 剎 那 之 清 涼 受 用 而 不 可 得 塵 勞 擾 擾 中 不 知 
X62n1183_001:0354b21	汩喪多少天真。埋沒多少靈性。虗擲多少光陰。以至	汩 喪 多 少 天 真 埋 沒 多 少 靈 性 虗 擲 多 少 光 陰 以 至 
X62n1183_001:0354b22	生死輪轉。念及此。而瞿然興。惕然警。求出生死。只有	生 死 輪 轉 念 及 此 而 瞿 然 興 惕 然 警 求 出 生 死 只 有 
X62n1183_001:0354b23	這條路。朗念默念。朝念夕念。欲罷不能矣。雖然。予此	這 條 路 朗 念 默 念 朝 念 夕 念 欲 罷 不 能 矣 雖 然 予 此 
X62n1183_001:0354b24	說。近於離相。離相之說。正是進一解之說。不能離相。	說 近 於 離 相 離 相 之 說 正 是 進 一 解 之 說 不 能 離 相 
X62n1183_001:0354c01	還是著相。若認箇黑漆漆的頑空。死板板的枯定。則	還 是 著 相 若 認 箇 黑 漆 漆 的 頑 空 死 板 板 的 枯 定 則 
X62n1183_001:0354c02	又大錯。	又 大 錯 
X62n1183_001:0354c03	念佛須戒殺說	念 佛 須 戒 殺 說 
X62n1183_001:0354c04	念佛不拘喫葷喫素。原是佛菩薩度世苦心。開此方	念 佛 不 拘 喫 葷 喫 素 原 是 佛 菩 薩 度 世 苦 心 開 此 方 
X62n1183_001:0354c05	便法門也。世人誤會此意。遂有念佛而不戒殺者。不	便 法 門 也 世 人 誤 會 此 意 遂 有 念 佛 而 不 戒 殺 者 不 
X62n1183_001:0354c06	知三業首重殺生。五戒殺為第一。若不戒殺。必致業	知 三 業 首 重 殺 生 五 戒 殺 為 第 一 若 不 戒 殺 必 致 業 
X62n1183_001:0354c07	果相續。障礙往生。袁中郎云。未有口啟鸞刀。而能生	果 相 續 障 礙 往 生 袁 中 郎 云 未 有 口 啟 鸞 刀 而 能 生 
X62n1183_001:0354c08	清泰者也。夫蠢動含靈。具有佛性。因迷造惡流轉諸	清 泰 者 也 夫 蠢 動 含 靈 具 有 佛 性 因 迷 造 惡 流 轉 諸 
X62n1183_001:0354c09	趣。世尊慈悲願力。令入無餘涅槃而滅度之。佛度之。	趣 世 尊 慈 悲 願 力 令 入無餘涅槃 而 滅 度 之 佛 度 之 
X62n1183_001:0354c10	而人殺之。何心哉。以奉佛之人殺之。尤顛倒違背之	而 人 殺 之 何 心 哉 以 奉 佛 之 人 殺 之 尤 顛 倒 違 背 之 
X62n1183_001:0354c11	甚者矣。或謂奉祭祀。供日用。宴賓賓。奈何抑思一人	甚 者 矣 或 謂 奉 祭 祀 供 日 用 宴 賓 賓 奈 何 抑 思 一 人 
X62n1183_001:0354c12	奉道。未有不願祖先眷屬。九品同登。而與諸上善人。	奉 道 未 有 不 願 祖 先 眷 屬 九 品 同 登 而 與 諸 上 善 人 
X62n1183_001:0354c13	俱會一處。感而化之。亦自度度人也。楞嚴經云。殺彼	俱 會 一 處 感 而 化 之 亦 自 度 度 人 也 楞 嚴 經 云 殺 彼 
X62n1183_001:0354c14	身命。或食其肉。經微塵劫。相食相誅。無有休息。是知	身 命 或 食 其 肉 經 微 塵 劫 相 食 相 誅 無有休息 是 知 
X62n1183_001:0354c15	畜類之多。皆由殺業之報。人亦在十二類中。我則愛	畜 類 之 多 皆 由 殺 業 之 報 人 亦 在 十 二 類 中 我 則 愛 
X62n1183_001:0354c16	壽命。畏痛苦。更欲求生淨土。物則受覊縛遭矰繳。終	壽 命 畏 痛 苦 更 欲 求 生 淨 土 物 則 受 覊 縛 遭 矰 繳 終 
X62n1183_001:0354c17	至送死屠刀。衡情酌理。太覺不平。古德有言。口中肥	至 送 死 屠 刀 衡 情 酌 理 太 覺 不 平 古 德 有 言 口 中 肥 
X62n1183_001:0354c18	膩膩。刀頭血滴滴。如何下得口。如何下得手。願同志	膩 膩 刀 頭 血 滴 滴 如 何 下 得 口 如 何 下 得 手 願 同 志 
X62n1183_001:0354c19	者。三復斯言。非但不殺之。且買放之。更發願普度之。	者 三 復 斯 言 非 但 不 殺 之 且 買 放 之 更 發 願 普 度 之 
X62n1183_001:0354c20	然後得為佛弟子也。至於物命之細微宜惜。家人之	然 後 得 為 佛 弟 子 也 至 於 物 命 之 細 微 宜 惜 家 人 之 
X62n1183_001:0354c21	朦蔽須防。尤在有心人。隨時照察耳。	朦 蔽 須 防 尤 在 有 心 人 隨 時 照 察 耳 
X62n1183_001:0354c23	淨業知津(終)	淨 業 知 津 終 
