T32n1660_001:0517b10	菩提資糧論卷第一	菩提資糧論 卷 第 一 
T32n1660_002:0522c01	斷禪者。如來禪無盡故。不退墮禪者。常入定	斷 禪 者 如 來 禪 無 盡 故 不 退 墮 禪 者 常 入 定 
T32n1660_002:0522c02	故。一切法自在禪者。諸業滿足故(第十六破散禪本闕不解)。	故 一 切 法 自 在 禪 者 諸 業 滿 足 故 第 十 六 破 散 禪 本 闕 不 解 
T32n1660_002:0522c03	又念淨。慧淨。趣淨。慚淨。持心希望淨。迴向	又 念 淨 慧 淨 趣 淨 慚 淨 持 心 希 望 淨 迴 向 
T32n1660_002:0522c04	菩提淨。根淨。無依淨。不取實淨。起作神通	菩 提 淨 根 淨 無 依 淨 不 取 實 淨 起 作 神 通 
T32n1660_002:0522c05	淨。心堪能淨。身遠離淨。內寂靜淨。外不行	淨 心 堪 能 淨 身 遠 離 淨 內 寂 靜 淨 外 不 行 
T32n1660_002:0522c06	淨。有所得見淨。無眾生無命無人淨。三界中	淨 有所得見 淨 無 眾 生 無 命 無 人 淨 三 界 中 
T32n1660_002:0522c07	不住淨。覺分門淨。離翳光明淨。入智慧淨。因	不 住 淨 覺 分 門 淨 離 翳 光 明 淨 入 智 慧 淨 因 
T32n1660_002:0522c08	果不相違淨。業思惟忍淨。開胞藏相智淨。攝	果 不 相 違 淨 業 思 惟 忍 淨 開 胞 藏 相 智 淨 攝 
T32n1660_002:0522c09	方便前巧淨。菩提場障礙淨。不著聲聞獨覺	方 便 前 巧 淨 菩 提 場 障 礙 淨 不 著 聲聞獨覺 
T32n1660_002:0522c10	淨。安住禪那出生光明淨。佛三摩地不散亂	淨 安 住 禪 那 出 生 光 明 淨 佛 三 摩 地 不 散 亂 
T32n1660_002:0522c11	淨。觀自心行淨。知諸眾生各各根如應說法	淨 觀 自 心 行 淨 知 諸 眾 生 各 各 根 如 應 說 法 
T32n1660_002:0522c12	淨(本闕二淨)。彼十六種禪那波羅蜜由。此三十二	淨 本 闕 二 淨 彼 十 六 種 禪 那 波 羅 蜜 由 此 三 十 二 
T32n1660_002:0522c13	淨故得清淨。得入如來地。此中有輸盧迦。	淨 故 得 清 淨 得 入如來地 此 中 有 輸 盧 迦 
T32n1660_002:0522c14	　若彼十六種　　及三十二淨	 若 彼 十 六 種 及 三 十 二 淨 
T32n1660_002:0522c15	　與禪度相應　　是為求菩提	 與 禪 度 相 應 是 為 求 菩 提 
T32n1660_002:0522c16	　到禪那彼岸　　善知禪那業	 到 禪 那 彼 岸 善 知 禪 那 業 
T32n1660_002:0522c17	　智者五神通　　出生不退墮	 智 者 五 神 通 出 生 不 退 墮 
T32n1660_002:0522c18	　諸色無有盡　　通達其實性	 諸 色 無 有 盡 通 達 其 實 性 
T32n1660_002:0522c19	　亦以勝天眼　　普見諸色相	 亦 以 勝 天 眼 普 見 諸 色 相 
T32n1660_002:0522c20	　雖以淨天耳　　遠聞諸音聲	 雖 以 淨 天 耳 遠 聞 諸 音 聲 
T32n1660_002:0522c21	　智者通達知　　聲非可言說	 智 者 通 達 知 聲 非 可 言 說 
T32n1660_002:0522c22	　所有眾生心　　觀其各各相	 所 有 眾 生 心 觀 其 各 各 相 
T32n1660_002:0522c23	　諸心猶如幻　　了知其自性	 諸 心 猶 如 幻 了 知 其 自 性 
T32n1660_002:0522c24	　眾生宿世住　　如實能念知	 眾 生 宿 世 住 如 實 能 念 知 
T32n1660_002:0522c25	　諸法無過去　　亦知其自性	 諸 法 無 過 去 亦 知 其 自 性 
T32n1660_002:0522c26	　往詣俱知土　　見土具莊嚴	 往 詣 俱 知 土 見 土 具 莊 嚴 
T32n1660_002:0522c27	　土相如虛空　　了知其實性	 土 相 如 虛 空 了 知 其 實 性 
T32n1660_002:0522c28	　眾生諸煩惱　　皆以亂心生	 眾 生 諸 煩 惱 皆 以 亂 心 生 
T32n1660_002:0522c29	　是故勝智者　　曠修諸禪定	 是 故 勝 智 者 曠 修 諸 禪 定 
T32n1660_002:0523a01	問所解釋禪那波羅蜜者。略說已竟。今應次	問 所 解 釋 禪 那 波 羅 蜜 者 略 說 已 竟 今 應 次 
T32n1660_002:0523a02	第說般若波羅蜜。	第 說 般 若 波 羅 蜜 
T32n1660_002:0523a03	答般若波羅蜜者。如前解釋。為初資糧中	答 般 若 波 羅 蜜 者 如 前 解 釋 為 初 資 糧 中 
T32n1660_002:0523a04	說我今更釋其相。如先偈說。	說 我 今 更 釋 其 相 如 先 偈 說 
T32n1660_002:0523a05	　施戒忍進定　　此五種之餘	 施 戒 忍 進 定 此 五 種 之 餘 
T32n1660_002:0523a06	　彼諸波羅蜜　　智度之所攝	 彼 諸波羅蜜 智 度 之 所 攝 
T32n1660_002:0523a07	此餘有四波羅蜜謂巧方便波羅蜜。願波羅	此 餘 有 四波羅蜜 謂 巧 方便波羅蜜 願 波 羅 
T32n1660_002:0523a08	蜜。力波羅蜜。智波羅蜜等。此四波羅蜜。皆	蜜 力波羅蜜 智波羅蜜 等 此 四波羅蜜 皆 
T32n1660_002:0523a09	是般若波羅蜜所攝。般若波羅蜜者。若佛世	是 般 若 波 羅 蜜 所 攝 般 若 波 羅 蜜 者 若 佛 世 
T32n1660_002:0523a10	尊於菩提樹下。以一念相應智。覺了諸法。是	尊 於 菩提樹下 以 一 念 相 應 智 覺 了 諸 法 是 
T32n1660_002:0523a11	般若波羅蜜。又是無礙相。以無身故。無邊	般 若 波 羅 蜜 又 是 無 礙 相 以 無 身 故 無 邊 
T32n1660_002:0523a12	相。等虛空故。無等等相。諸法無所得故。遠離	相 等 虛 空 故 無 等 等 相 諸 法 無 所 得 故 遠 離 
T32n1660_002:0523a13	相。畢竟空故。不可降伏相。無可得故。無句	相 畢 竟 空 故 不 可 降 伏 相 無 可 得 故 無 句 
T32n1660_002:0523a14	相。無名身故。無聚合相。離來去故。無因相。	相 無 名 身 故 無 聚 合 相 離 來 去 故 無 因 相 
T32n1660_002:0523a15	離作者故。無生相。生無有故。無去至相。離流	離 作 者 故 無 生 相 生 無 有 故 無 去 至 相 離 流 
T32n1660_002:0523a16	轉故。無散壞相。離前後際故。無染相。不可取	轉 故 無 散 壞 相 離 前 後 際 故 無 染 相 不 可 取 
T32n1660_002:0523a17	故。無戲論相。離諸戲論故。無動相。法界自體	故 無 戲 論 相 離 諸 戲 論 故 無 動 相 法 界 自 體 
T32n1660_002:0523a18	故。無起相。不分別故。無量相。離量故。無依	故 無 起 相 不 分 別 故 無 量 相 離 量 故 無 依 
T32n1660_002:0523a19	止相。依止無有故。無污相。不出生故。不可測	止 相 依 止 無 有 故 無 污 相 不 出 生 故 不 可 測 
T32n1660_002:0523a20	相。無邊際故。自然相。知諸法自性故。又般若	相 無 邊 際 故 自 然 相 知 諸法自性 故 又 般 若 
T32n1660_002:0523a21	波羅蜜是聞慧相。及正思入。彼聞慧相。有	波 羅 蜜 是 聞 慧 相 及 正 思 入 彼 聞 慧 相 有 
T32n1660_002:0523a22	八十種。謂樂欲等。正思入。有三十二種。	八 十 種 謂 樂 欲 等 正 思 入 有 三 十 二 種 
T32n1660_002:0523a23	謂安住奢摩他等。又般若波羅蜜。不與十六	謂 安 住 奢 摩 他 等 又 般 若 波 羅 蜜 不 與 十 六 
T32n1660_002:0523a24	種宿住等無明俱。如是等般若波羅蜜相。隨	種 宿 住 等 無 明 俱 如 是 等 般 若 波 羅 蜜 相 隨 
T32n1660_002:0523a25	量已說。若具說者乃有無量。此般若波羅蜜	量 已 說 若 具 說 者 乃 有 無 量 此 般 若 波 羅 蜜 
T32n1660_002:0523a26	所攝方便善巧波羅蜜中。有八種善巧。所謂	所 攝 方便善巧 波 羅 蜜 中 有 八 種 善 巧 所 謂 
T32n1660_002:0523a27	眾善巧。界善巧。入善巧。諦善巧。緣生善巧。	眾 善 巧 界 善 巧 入 善 巧 諦 善 巧 緣 生 善 巧 
T32n1660_002:0523a28	三世善巧。諸乘善巧。諸法善巧。此中善巧	三 世 善 巧 諸 乘 善 巧 諸 法 善 巧 此 中 善 巧 
T32n1660_002:0523a29	波羅蜜無有邊際。又復隨於何等生趣。以何	波 羅 蜜 無有邊際 又 復 隨 於 何 等 生 趣 以 何 
T32n1660_002:0523b01	等行相。為菩提故。得自增長善根及調伏眾	等 行 相 為 菩 提 故 得 自 增 長 善 根 及 調 伏 眾 
T32n1660_002:0523b02	生。於彼彼生趣彼彼行中。此一切處凡所	生 於 彼 彼 生 趣 彼 彼 行 中 此 一 切 處 凡 所 
T32n1660_002:0523b03	應作種種方便。諸大人等所分別說。我今說	應 作 種 種 方 便 諸 大 人 等 所 分 別 說 我 今 說 
T32n1660_002:0523b04	彼經中微滴之分。若已作今作微少之善。能	彼 經 中 微 滴 之 分 若 已 作 今 作 微 少 之 善 能 
T32n1660_002:0523b05	令多多能令無量。此為方便。不自為己唯	令 多 多 能 令 無 量 此 為 方 便 不 自 為 己 唯 
T32n1660_002:0523b06	為眾生。此為方便。唯以陀那令諸波羅蜜滿	為 眾 生 此 為 方 便 唯 以 陀 那 令 諸波羅蜜 滿 
T32n1660_002:0523b07	足。此為方便。如是以尸羅攝諸生處。以羼	足 此 為 方 便 如 是 以 尸 羅 攝 諸 生 處 以 羼 
T32n1660_002:0523b08	提。莊嚴身口心為於菩提。以毘梨耶安住精	提 莊 嚴 身 口 心 為 於 菩 提 以 毘 梨 耶 安 住 精 
T32n1660_002:0523b09	進。以禪那不退於禪。以般若捨離無為。以	進 以 禪 那 不 退 於 禪 以 般 若 捨 離 無 為 以 
T32n1660_002:0523b10	慈為作依護。以悲不棄流轉。以喜能忍不喜	慈 為 作 依 護 以 悲 不 棄 流 轉 以 喜 能 忍 不 喜 
T32n1660_002:0523b11	樂事。以捨發起諸善。以天眼攝取佛眼。以天	樂 事 以 捨 發 起 諸 善 以 天 眼 攝 取 佛 眼 以 天 
T32n1660_002:0523b12	耳滿足佛耳。以他心智知各各根。以宿住念	耳 滿 足 佛 耳 以 他 心 智 知 各 各 根 以 宿 住 念 
T32n1660_002:0523b13	知三世無礙。以自在通得如來自在通。以入	知 三 世 無 礙 以 自 在 通 得 如 來 自 在 通 以 入 
T32n1660_002:0523b14	眾生心欲知諸行相。已度還入。無染而染捨	眾 生 心 欲 知 諸 行 相 已 度 還 入 無 染 而 染 捨 
T32n1660_002:0523b15	擔更擔。無量示量最勝現劣。以方便故涅	擔 更 擔 無 量 示 量 最 勝 現 劣 以 方 便 故 涅 
T32n1660_002:0523b16	槃相應而墮在流轉。雖行涅槃。不畢竟寂	槃 相 應 而 墮 在 流 轉 雖 行 涅 槃 不 畢 竟 寂 
T32n1660_002:0523b17	滅。現行四魔。而超過諸魔。達四諦智及觀	滅 現 行 四 魔 而 超 過 諸 魔 達 四 諦 智 及 觀 
T32n1660_002:0523b18	無生。而不入正位。雖行憒閙。而不行順眠	無 生 而 不 入 正 位 雖 行 憒 閙 而 不 行 順 眠 
T32n1660_002:0523b19	煩惱。雖行遠離。而不依身心盡。雖行三界。而	煩 惱 雖 行 遠 離 而 不 依 身 心 盡 雖 行 三 界 而 
T32n1660_002:0523b20	於界中不行世諦。雖行於空。而一切時恒求	於 界 中 不 行 世 諦 雖 行 於 空 而 一 切 時 恒 求 
T32n1660_002:0523b21	佛法。雖行無為。而不於無為作證。雖行六	佛 法 雖 行 無 為 而 不 於 無 為 作 證 雖 行 六 
T32n1660_002:0523b22	通。而不盡漏。雖現聲聞獨覺威儀。而不捨樂	通 而 不 盡 漏 雖 現 聲聞獨覺 威 儀 而 不 捨 樂 
T32n1660_002:0523b23	欲佛法。如是等巧方便波羅蜜中。所有教化	欲 佛 法 如 是 等 巧 方便波羅蜜 中 所 有 教 化 
T32n1660_002:0523b24	眾生方便。彼等方便是菩薩教化巧方便住	眾 生 方 便 彼 等 方 便 是 菩 薩 教 化 巧 方 便 住 
T32n1660_002:0523b25	處應知。此中有輸盧迦。	處 應 知 此 中 有 輸 盧 迦 
T32n1660_002:0523b26	　畜生道中諸苦惱　　地獄餓鬼生亦然	 畜 生 道 中 諸 苦 惱 地 獄 餓 鬼 生 亦 然 
T32n1660_002:0523b27	　於流轉中相應受　　眾生種種諸過惡	 於 流 轉 中 相 應 受 眾 生 種 種 諸 過 惡 
T32n1660_002:0523b28	　此等苦聚不能障　　於眾生處起哀愍	 此 等 苦 聚 不 能 障 於 眾 生 處 起 哀 愍 
T32n1660_002:0523b29	　諸佛便說彼菩薩　　一切世間無礙悲	 諸 佛 便 說 彼 菩 薩 一切世間 無 礙 悲 
T32n1660_002:0523c01	　論中若有善該綜　　眾多別人所作業	 論 中 若 有 善 該 綜 眾 多 別 人 所 作 業 
T32n1660_002:0523c02	　工巧等明及餘事　　皆以愛語授與之	 工 巧 等 明 及 餘 事 皆 以 愛 語 授 與 之 
T32n1660_002:0523c03	　戒財聞修寂調等　　以此功德攝化他	 戒 財 聞 修 寂 調 等 以 此 功 德 攝 化 他 
T32n1660_002:0523c04	　攝已復令常相續　　勝仙說為住善道	 攝 已 復 令 常 相 續 勝 仙 說 為 住 善 道 
T32n1660_002:0523c05	　或現女身化男子　　令其調伏而受教	 或 現 女 身 化 男 子 令 其 調 伏 而 受 教 
T32n1660_002:0523c06	　或現男身化女人　　令其調伏而受教	 或 現 男 身 化 女 人 令 其 調 伏 而 受 教 
T32n1660_002:0523c07	　若不厭於染境樂　　愍其無道令入道	 若 不 厭 於 染 境 樂 愍 其 無 道 令 入 道 
T32n1660_002:0523c08	　隨眾生門種種化　　極逼惱處亦不捨	 隨 眾 生 門 種 種 化 極 逼 惱 處 亦 不 捨 
T32n1660_002:0523c09	　或有信解於無我　　及知諸法離自性	 或 有 信 解 於 無 我 及 知 諸 法 離 自 性 
T32n1660_002:0523c10	　是人未離世間法　　但作如此觀察轉	 是 人 未 離 世 間 法 但 作 如 此 觀 察 轉 
T32n1660_002:0523c11	　於業及果生信順　　而有無邊諸苦事	 於 業 及 果 生 信 順 而 有 無 邊 諸 苦 事 
T32n1660_002:0523c12	　當於受彼苦果時　　不喜諸苦所逼切	 當 於 受 彼 苦 果 時 不 喜 諸 苦 所 逼 切 
T32n1660_002:0523c13	　若於聲聞出家者　　便置安隱寂靜處	 若 於 聲 聞 出 家 者 便 置 安 隱 寂 靜 處 
T32n1660_002:0523c14	　或復置於緣覺道　　或置十種妙力乘	 或 復 置 於 緣 覺 道 或 置 十 種 妙 力 乘 
T32n1660_002:0523c15	　令其當得正覺乘　　或得寂靜及天趣	 令 其 當 得 正 覺 乘 或 得 寂 靜 及 天 趣 
T32n1660_002:0523c16	　若應觀察現見果　　如其所作正安置	 若 應 觀 察 現 見 果 如 其 所 作 正 安 置 
T32n1660_002:0523c17	　如是從初至究竟　　丈夫難事皆能為	 如 是 從 初 至 究 竟 丈 夫 難 事 皆 能 為 
T32n1660_002:0523c18	　依彼種種巧方便　　捨離一切愛不愛	 依 彼 種 種 巧 方 便 捨 離 一 切 愛 不 愛 
T32n1660_002:0523c19	　此乘諸佛所讚歎　　百千功德而莊嚴	 此 乘 諸 佛 所 讚 歎 百 千 功 德 而 莊 嚴 
T32n1660_002:0523c20	　能生世間極淨信　　以說勝妙善道故	 能 生 世 間 極 淨 信 以 說 勝 妙 善 道 故 
T32n1660_002:0523c21	　於緣覺乘聲聞乘　　及以天世諸乘中	 於 緣 覺 乘 聲 聞 乘 及 以 天 世 諸 乘 中 
T32n1660_002:0523c22	　皆以十善而成熟　　亦於人乘成熟人	 皆 以 十 善 而 成 熟 亦 於 人 乘 成 熟 人 
T32n1660_002:0523c23	已解釋巧方便波羅蜜。我今當說願波羅蜜。	已 解 釋 巧 方便波羅蜜 我今當說 願波羅蜜 
T32n1660_002:0523c24	諸菩薩最初有十大願。所謂供養給侍諸佛	諸 菩 薩 最 初 有 十 大 願 所 謂 供 養 給 侍 諸 佛 
T32n1660_002:0523c25	無餘。是第一大願。於彼佛所持大正法。攝	無 餘 是 第 一 大 願 於 彼 佛 所 持 大 正 法 攝 
T32n1660_002:0523c26	受正覺普護正教。是第二大願。諸世界中諸	受 正 覺 普 護 正 教 是 第 二 大 願 諸 世 界 中 諸 
T32n1660_002:0523c27	佛出興。始從住兜率宮乃至退墮。入胎住	佛 出 興 始 從 住 兜 率 宮 乃 至 退 墮 入 胎 住 
T32n1660_002:0523c28	胎初生出家。證正覺請轉法輪入大涅槃。皆	胎 初 生 出 家 證 正 覺 請 轉 法 輪 入 大 涅 槃 皆 
T32n1660_002:0523c29	往其所受行供養初不捨離。是第三大願。諸	往 其 所 受 行 供 養 初 不 捨 離 是 第 三 大 願 諸 
T32n1660_002:0524a01	菩薩行曠大無量。不雜諸波羅蜜所攝善淨	菩 薩 行 曠 大 無 量 不 雜 諸波羅蜜 所 攝 善 淨 
T32n1660_002:0524a02	諸地。出生總分別分同相異相共轉不共轉	諸 地 出 生 總 分 別 分 同 相 異 相 共 轉 不 共 轉 
T32n1660_002:0524a03	等諸菩薩行。如實如地道說。修治波羅蜜	等 諸 菩 薩 行 如 實 如 地 道 說 修 治 波 羅 蜜 
T32n1660_002:0524a04	教誡教授。授已住持。發起出生如是等心。	教 誡 教 授 授 已 住 持 發 起 出 生 如 是 等 心 
T32n1660_002:0524a05	是第四大願。無餘眾生界。有色無色有想無	是 第 四 大 願 無 餘 眾 生 界 有 色 無 色 有 想 無 
T32n1660_002:0524a06	想。卵生胎生濕生化生。三界同入六趣共居。	想 卵 生 胎 生 濕 生 化 生 三 界 同 入 六 趣 共 居 
T32n1660_002:0524a07	諸生順去名色所攝。無餘眾生界皆悉成熟。	諸 生 順 去 名 色 所 攝 無 餘 眾 生 界 皆 悉 成 熟 
T32n1660_002:0524a08	令入佛法。斷除諸趣。安立於一切智智。是第	令 入 佛 法 斷 除 諸 趣 安 立 於 一切智智 是 第 
T32n1660_002:0524a09	五大願。無餘諸世界曠大無量。若細若麁若	五 大 願 無 餘 諸 世 界 曠 大 無 量 若 細 若 麁 若 
T32n1660_002:0524a10	橫若倒若平住等。同入共居順去。十方分分	橫 若 倒 若 平 住 等 同 入 共 居 順 去 十 方 分 分 
T32n1660_002:0524a11	猶如帝網。入於分分以智順行。是第六大	猶 如 帝 網 入 於 分 分 以 智 順 行 是 第 六 大 
T32n1660_002:0524a12	願。一切土即一土。一土即一切土。平等清淨	願 一 切 土 即 一 土 一 土 即 一 切 土 平 等 清 淨 
T32n1660_002:0524a13	無量國土。普皆莊嚴離諸煩惱。淨道具足無	無 量 國 土 普 皆 莊 嚴 離諸煩惱 淨 道 具 足 無 
T32n1660_002:0524a14	量智相。眾生充滿入佛上妙境界。隨眾生心	量 智 相 眾 生 充 滿 入 佛 上 妙 境 界 隨 眾 生 心 
T32n1660_002:0524a15	示現令其歡喜。是第七大願。為與諸菩薩同	示 現 令其歡喜 是 第 七 大 願 為 與 諸 菩 薩 同 
T32n1660_002:0524a16	一心故。為不共善根聚集故。為與諸菩薩同	一 心 故 為 不 共 善 根 聚 集 故 為 與 諸 菩 薩 同 
T32n1660_002:0524a17	一攀緣常不離菩薩平等故。為發起自心入	一 攀 緣 常 不 離 菩 薩 平 等 故 為 發 起 自 心 入 
T32n1660_002:0524a18	如來威神故。為得不退行神通故。為遊行諸	如 來 威 神 故 為 得 不 退 行 神 通 故 為 遊 行 諸 
T32n1660_002:0524a19	世界故。為影到諸大眾論故。為自身順入	世 界 故 為 影 到 諸 大 眾 論 故 為 自 身 順 入 
T32n1660_002:0524a20	諸生處故。為具足不思議大乘故。為行菩薩	諸 生 處 故 為 具 足 不 思 議 大 乘 故 為 行 菩 薩 
T32n1660_002:0524a21	行故。是第八大願。為昇不退轉行菩薩行故。	行 故 是 第 八 大 願 為 昇 不 退 轉 行 菩 薩 行 故 
T32n1660_002:0524a22	為身口意業不空故。即於見時令決定佛法	為 身口意業 不 空 故 即 於 見 時 令 決 定 佛 法 
T32n1660_002:0524a23	故。為即出一音聲時令入智慧故。為即於	故 為 即 出 一 音 聲 時 令 入 智 慧 故 為 即 於 
T32n1660_002:0524a24	信時令轉煩惱故。為得如大藥王身故。為行	信 時 令 轉 煩 惱 故 為 得 如 大 藥 王 身 故 為 行 
T32n1660_002:0524a25	諸菩薩行故。是第九大願。為於諸世界中正	諸 菩 薩 行 故 是 第 九 大 願 為 於 諸 世 界 中 正 
T32n1660_002:0524a26	覺阿耨多羅三藐三菩提故。為於一毛道中及	覺 阿耨多羅三藐三菩提 故 為 於 一 毛 道 中 及 
T32n1660_002:0524a27	餘一切毛道中。皆現出生坐道場轉法輪大	餘 一 切 毛 道 中 皆 現 出 生 坐 道 場 轉 法 輪 大 
T32n1660_002:0524a28	般涅槃故。為以智慧入佛大境界威神故。為	般 涅 槃 故 為 以 智 慧 入 佛 大 境 界 威 神 故 為 
T32n1660_002:0524a29	於一切眾生界如其深心佛應出時開悟令得	於 一 切 眾 生 界 如 其 深 心 佛 應 出 時 開 悟 令 得 
T32n1660_002:0524b01	寂靜而示現故。為正覺一法一切法悉涅槃	寂 靜 而 示 現 故 為 正 覺 一 法 一 切 法 悉 涅 槃 
T32n1660_002:0524b02	相故。為出一音聲令諸眾生心歡喜故。為現	相 故 為 出 一 音 聲 令 諸 眾 生 心 歡 喜 故 為 現 
T32n1660_002:0524b03	大涅槃而不斷行力故。為現大智慧地安立	大 涅 槃 而 不 斷 行 力 故 為 現 大 智 慧 地 安 立 
T32n1660_002:0524b04	諸法故。為以佛境界法智神通普遍諸世界	諸 法 故 為 以 佛 境 界 法 智 神 通 普 遍 諸 世 界 
T32n1660_002:0524b05	故。是第十大願。如是等大欲大出生十大願	故 是 第 十 大 願 如 是 等 大 欲 大 出 生 十 大 願 
T32n1660_002:0524b06	為首。滿此十大願已。建立菩薩阿僧祇百千	為 首 滿 此 十 大 願 已 建 立 菩 薩 阿 僧 祇 百 千 
T32n1660_002:0524b07	餘願。得住菩薩歡喜地。此名願波羅蜜。已解	餘 願 得 住 菩 薩 歡 喜 地 此 名 願波羅蜜 已 解 
T32n1660_002:0524b08	釋願波羅蜜。我今當說力波羅蜜。此中略說	釋 願波羅蜜 我今當說 力波羅蜜 此 中 略 說 
T32n1660_002:0524b09	諸菩薩有七種力。謂福報生力。神通力。信	諸 菩 薩 有 七 種 力 謂 福 報 生 力 神 通 力 信 
T32n1660_002:0524b10	力。精進力。念力。三摩提力。般若力。	力 精 進 力 念 力 三 摩 提 力 般 若 力 
T32n1660_002:0524b11	福報生力者。如十小象力當一龍象力。十龍	福 報 生 力 者 如 十 小 象 力 當 一 龍 象 力 十 龍 
T32n1660_002:0524b12	象力當一香象力。十香象力當一大香象力。	象 力 當 一 香 象 力 十 香 象 力 當 一 大 香 象 力 
T32n1660_002:0524b13	十大香象力當一大力士力。十大力士力當	十 大 香 象 力 當 一 大 力 士 力 十 大 力 士 力 當 
T32n1660_002:0524b14	一半那羅延力。十半那羅延力當一那羅延	一 半 那 羅 延 力 十 半 那 羅 延 力 當 一 那 羅 延 
T32n1660_002:0524b15	力。十那羅延力當一大那羅延力。十大那羅	力 十 那 羅 延 力 當 一 大 那 羅 延 力 十 大 那 羅 
T32n1660_002:0524b16	延力當一過百劫菩薩力。十過百劫菩薩力	延 力 當 一 過 百 劫 菩 薩 力 十 過 百 劫 菩 薩 力 
T32n1660_002:0524b17	當一過百千劫菩薩力。十過百千劫菩薩力	當 一 過 百 千 劫 菩 薩 力 十 過 百 千 劫 菩 薩 力 
T32n1660_002:0524b18	當一得忍菩薩力。十得忍菩薩力當一最後	當 一 得 忍 菩 薩 力 十 得 忍 菩 薩 力 當 一 最 後 
T32n1660_002:0524b19	生菩薩力。住此力已。菩薩即於生時能行七	生 菩 薩 力 住 此 力 已 菩 薩 即 於 生 時 能 行 七 
T32n1660_002:0524b20	步。十最後生菩薩生時力。乃當菩薩少年時	步 十 最 後 生 菩 薩 生 時 力 乃 當 菩 薩 少 年 時 
T32n1660_002:0524b21	力。菩薩住此力已。趣菩提場成等正覺。得正	力 菩 薩 住 此 力 已 趣 菩 提 場 成等正覺 得 正 
T32n1660_002:0524b22	覺已。以過百千功德力故。成就如來正遍知	覺 已 以 過 百 千 功 德 力 故 成 就 如 來 正 遍 知 
T32n1660_002:0524b23	一種處非處力。如是等十力成就。此名諸佛	一 種 處 非 處 力 如 是 等 十 力 成 就 此 名 諸 佛 
T32n1660_002:0524b24	菩薩及餘少分眾生福報生力。	菩 薩 及 餘 少 分 眾 生 福 報 生 力 
T32n1660_002:0524b25	神通力者。謂四神足善修多作已。以此希有	神 通 力 者 謂 四 神 足 善 修 多 作 已 以 此 希 有 
T32n1660_002:0524b26	神通力故。得調伏諸眾生等。彼以希有神力。	神 通 力 故 得 調 伏 諸 眾 生 等 彼 以 希 有 神 力 
T32n1660_002:0524b27	顯現若色若力若住持等。若諸眾生。應以此	顯 現 若 色 若 力 若 住 持 等 若 諸 眾 生 應 以 此 
T32n1660_002:0524b28	色像得調伏者。即以此色像。於彼彼眾生所。	色 像 得 調 伏 者 即 以 此 色 像 於 彼 彼 眾 生 所 
T32n1660_002:0524b29	示現或佛色像或獨覺色像或聲聞色像。如	示 現 或 佛 色 像 或 獨 覺 色 像 或 聲 聞 色 像 如 
T32n1660_002:0524c01	是或釋梵護世轉輪王等色像。若復諸餘色	是 或 釋 梵 護 世 轉 輪 王 等 色 像 若 復 諸 餘 色 
T32n1660_002:0524c02	像。乃至畜生色像。為調伏眾生故。示現如是	像 乃 至 畜 生 色 像 為 調 伏 眾 生 故 示 現 如 是 
T32n1660_002:0524c03	色像。若有多力憍慢瞋怒兇惡自高眾生。應	色 像 若 有 多 力 憍 慢 瞋 怒 兇 惡 自 高 眾 生 應 
T32n1660_002:0524c04	以此力得調伏者。即現此力。或大力士力。	以 此 力 得 調 伏 者 即 現 此 力 或 大 力 士 力 
T32n1660_002:0524c05	或四分那羅延力。或半那羅延力。或一那	或 四 分 那 羅 延 力 或 半 那 羅 延 力 或 一 那 
T32n1660_002:0524c06	羅延力。以此力故。須彌山王高十六萬八千	羅 延 力 以 此 力 故 須 彌 山 王 高 十 六 萬 八 千 
T32n1660_002:0524c07	踰闍那。寬八萬四千踰闍那。以三指舉取。	踰 闍 那 寬 八萬四千 踰 闍 那 以 三 指 舉 取 
T32n1660_002:0524c08	如舉菴摩勒果擲置他方世界。而四天王天	如 舉 菴 摩 勒 果 擲 置 他 方 世 界 而 四天王天 
T32n1660_002:0524c09	及三十三天等無所嬈惱。於菩薩力亦不減	及 三十三天 等 無 所 嬈 惱 於 菩 薩 力 亦 不 減 
T32n1660_002:0524c10	損。又此三千大千世界雖復寬曠。從於水界	損 又 此 三千大千世界 雖 復 寬 曠 從 於 水 界 
T32n1660_002:0524c11	乃至有頂。置之手掌經劫而住。於諸神通道。	乃至有頂 置 之 手 掌 經 劫 而 住 於 諸 神 通 道 
T32n1660_002:0524c12	具足示現如是等力。若有憍慢增上慢瞋怒	具 足 示 現 如 是 等 力 若 有 憍 慢 增 上 慢 瞋 怒 
T32n1660_002:0524c13	兇惡自高眾生。說法調伏令離憍慢增上慢	兇 惡 自 高 眾 生 說 法 調 伏 令 離 憍 慢 增 上 慢 
T32n1660_002:0524c14	瞋怒兇惡等。彼得如是神足住持智已。以此	瞋 怒 兇 惡 等 彼 得 如 是 神 足 住 持 智 已 以 此 
T32n1660_002:0524c15	住持智。有所住持。隨意皆得若以大海為牛	住 持 智 有 所 住 持 隨 意 皆 得 若 以 大 海 為 牛 
T32n1660_002:0524c16	迹。即成牛迹。若以牛迹為大海。即成大海。若	迹 即 成 牛 迹 若 以 牛 迹 為 大 海 即 成 大 海 若 
T32n1660_002:0524c17	以劫燒為水聚者。即成水聚。若以水聚為火	以 劫 燒 為 水 聚 者 即 成 水 聚 若 以 水 聚 為 火 
