T44n1841_001:0143a24	因明義斷	因 明 義 斷 
T44n1841_001:0146c29	法。而非喻也。故下文云。此因以樂以空。為同	法 而 非 喻 也 故 下 文 云 此 因 以 樂 以 空 為 同 
T44n1841_001:0147a01	法故。亦是不定。即判云。恐未盡理。自決云。	法 故 亦 是 不 定 即 判 云 恐 未 盡 理 自 決 云 
T44n1841_001:0147a02	若望其宗名為同品。望因名同法。其義云何。	若 望 其 宗 名 為 同 品 望 因 名 同 法 其 義 云 何 
T44n1841_001:0147a03	答此不異前。何勞更釋。又自云。夫有能立因	答 此 不 異 前 何 勞 更 釋 又 自 云 夫 有 能 立 因 
T44n1841_001:0147a04	法。所立宗法必隨。故於喻中但說因法。宗法	法 所 立 宗 法 必 隨 故 於 喻 中 但 說 因 法 宗 法 
T44n1841_001:0147a05	自隨逐也。此言有濫。不簡別故。若言有因宗	自 隨 逐 也 此 言 有 濫 不 簡 別 故 若 言 有 因 宗 
T44n1841_001:0147a06	定隨者。云何喻中。有所立不定過。但許有能	定 隨 者 云 何 喻 中 有 所 立 不 定 過 但 許 有 能 
T44n1841_001:0147a07	立。又復誰說。於同喻中。但說因法。宗法自	立 又 復 誰 說 於 同 喻 中 但 說 因 法 宗 法 自 
T44n1841_001:0147a08	隨。准理門論。舉喻之時。要具說因宗。不單說	隨 准 理 門 論 舉 喻 之 時 要 具 說 因 宗 不 單 說 
T44n1841_001:0147a09	因故。准理正因。因有之處。宗必定隨。然舉喻	因 故 准 理 正 因 因 有 之 處 宗 必 定 隨 然 舉 喻 
T44n1841_001:0147a10	時。必須俱說。不爾無合。異喻例此。又云。若	時 必 須 俱 說 不 爾 無 合 異 喻 例 此 又 云 若 
T44n1841_001:0147a11	望因名品名法具得二名。望宗亦名品名法。	望 因 名 品 名 法 具 得 二 名 望 宗 亦 名 品 名 法 
T44n1841_001:0147a12	此亦先陳。何煩復說。先德云。但同異於有法	此 亦 先 陳 何 煩 復 說 先 德 云 但 同 異 於 有 法 
T44n1841_001:0147a13	之上所作義者。名之為法。又此所作。非總	之 上 所 作 義 者 名 之 為 法 又 此 所 作 非 總 
T44n1841_001:0147a14	所立。不得名品。名之為法。宗總所立。遂與	所 立 不 得 名 品 名 之 為 法 宗 總 所 立 遂 與 
T44n1841_001:0147a15	品名。能所異故。又因宗二。同異名法。別同異	品 名 能 所 異 故 又 因 宗 二 同 異 名 法 別 同 異 
T44n1841_001:0147a16	名品。此同異二。故名為法。次下因同異。及上	名 品 此 同 異 二 故 名 為 法 次 下 因 同 異 及 上 
T44n1841_001:0147a17	宗同異。並別同異。故皆名品。	宗 同 異 並 別 同 異 故 皆 名 品 
T44n1841_001:0147a18	有人云。設天親以瓶體為喻。教理無違。何假	有 人 云 設 天 親 以 瓶 體 為 喻 教 理 無 違 何 假 
T44n1841_001:0147a19	斯救。若以燒見等破。自是似破。理非我咎。何	斯 救 若 以 燒 見 等 破 自 是 似 破 理 非 我 咎 何 
T44n1841_001:0147a20	以知者。今但由瓶。有所作義。定有無常。取瓶	以 知 者 今 但 由 瓶 有 所 作 義 定 有 無 常 取 瓶 
T44n1841_001:0147a21	為喻。以所作是無常義故。雖有燒見。所作非	為 喻 以 所 作 是 無 常 義 故 雖 有 燒 見 所 作 非 
T44n1841_001:0147a22	因。何得為難者。其義云何。答此亦不然。若以	因 何 得 為 難 者 其 義 云 何 答 此 亦 不 然 若 以 
T44n1841_001:0147a23	瓶體為喻。由瓶有所作義。故有無常。即應云	瓶 體 為 喻 由 瓶 有 所 作 義 故 有 無 常 即 應 云 
T44n1841_001:0147a24	顯瓶決定有性。何得言顯因同品。決定有性。	顯 瓶 決 定 有 性 何 得 言 顯 因 同 品 決 定 有 性 
T44n1841_001:0147a25	以瓶所作。與聲所作為同品。以彼瓶處所作。	以 瓶 所 作 與 聲 所 作 為 同 品 以 彼 瓶 處 所 作 
T44n1841_001:0147a26	有無常隨。故名同品。瓶體四塵。豈名所作同	有 無 常 隨 故 名 同 品 瓶 體 四 塵 豈 名 所 作 同 
T44n1841_001:0147a27	品。	品 
T44n1841_001:0147a28	有人難云。若言夫喻況法。法必似喻者。未知	有 人 難 云 若 言 夫 喻 況 法 法 必 似 喻 者 未 知 
T44n1841_001:0147b01	能喻所喻之法。其體為一為別。若言一者。體	能 喻 所 喻 之 法 其 體 為 一 為 別 若 言 一 者 體 
T44n1841_001:0147b02	既是一。彼此共知。何待因成。若言別者。即明	既 是 一 彼 此 共 知 何 待 因 成 若 言 別 者 即 明 
T44n1841_001:0147b03	別體之法。有別同相。有因義者。引之為喻。何	別 體 之 法 有 別 同 相 有 因 義 者 引 之 為 喻 何 
T44n1841_001:0147b04	得例難。令法體相一切皆同。其義云何。答此	得 例 難 令 法 體 相 一 切 皆 同 其 義 云 何 答 此 
T44n1841_001:0147b05	義不然。若取瓶體為喻。此與聲宗為一為別。	義 不 然 若 取 瓶 體 為 喻 此 與 聲 宗 為 一 為 別 
T44n1841_001:0147b06	若言是一。即同前難。又有多過。若言別者。何	若 言 是 一 即 同 前 難 又 有 多 過 若 言 別 者 何 
T44n1841_001:0147b07	得名同法。若云聲有所作。瓶亦有所作。故名	得 名 同 法 若 云 聲 有 所 作 瓶 亦 有 所 作 故 名 
T44n1841_001:0147b08	同法者。不然。何以故。應云顯瓶決定有無常。	同 法 者 不 然 何 以 故 應 云 顯 瓶 決 定 有 無 常 
T44n1841_001:0147b09	何須云顯因同品。決定有性。因是所作。瓶上	何 須 云 顯 因 同 品 決 定 有 性 因 是 所 作 瓶 上 
T44n1841_001:0147b10	之義。豈可瓶體名所作性。若爾。應聲體為所	之 義 豈 可 瓶 體 名 所 作 性 若 爾 應 聲 體 為 所 
T44n1841_001:0147b11	作體。若如是。即取有法聲名之為因。還成宗	作 體 若 如 是 即 取 有 法 聲 名 之 為 因 還 成 宗 
T44n1841_001:0147b12	義一分為因。宗因無別過。餘多問難得失例	義 一 分 為 因 宗 因 無 別 過 餘 多 問 難 得 失 例 
T44n1841_001:0147b13	知。煩不具述。然既取瓶為喻。將作殊能。今者	知 煩 不 具 述 然 既 取 瓶 為 喻 將 作 殊 能 今 者 
T44n1841_001:0147b14	據彼略舉三難。一云。古師許瓶燒見。理令	據 彼 略 舉 三 難 一 云 古 師 許 瓶 燒 見 理 令 
T44n1841_001:0147b15	自許聲燒見者。陳那順此作難。為以聲是燒	自 許 聲 燒 見 者 陳 那 順 此 作 難 為 以 聲 是 燒 
T44n1841_001:0147b16	見。為非燒見。若自許即相符極成。若自不許。	見 為 非 燒 見 若 自 許 即 相符極成 若 自 不 許 
T44n1841_001:0147b17	今者難他。何非自違耶者。不然。由彼取瓶。為	今 者 難 他 何 非 自 違 耶 者 不 然 由 彼 取 瓶 為 
T44n1841_001:0147b18	同喻體。陳那就他為難云。汝所許聲。應可	同 喻 體 陳 那 就 他 為 難 云 汝 所 許 聲 應 可 
T44n1841_001:0147b19	燒見。猶如瓶等。如難勝論云。汝地應非有礙	燒 見 猶 如 瓶 等 如 難 勝 論 云 汝 地 應 非 有 礙 
T44n1841_001:0147b20	身根所得。許眼見故。猶如色等。豈自不許地	身 根 所 得 許 眼 見 故 猶 如 色 等 豈 自 不 許 地 
T44n1841_001:0147b21	身根得。而為難耶。故就他難。即無自過。明非	身 根 得 而 為 難 耶 故 就 他 難 即 無 自 過 明 非 
T44n1841_001:0147b22	自許。二云。故理門釋喻中云。由如是說。能顯	自 許 二 云 故 理 門 釋 喻 中 云 由 如 是 說 能 顯 
T44n1841_001:0147b23	示因同品定有。異品遍無。非顛倒說。既不取	示 因 同 品 定 有 異 品 遍 無 非 顛 倒 說 既 不 取 
T44n1841_001:0147b24	瓶。此乃重頌前因。云何能顯因也。如言聲無	瓶 此 乃 重 頌 前 因 云 何 能 顯 因 也 如 言 聲 無 
T44n1841_001:0147b25	常所作性故。諸所作皆無常。如所作無常等。	常 所 作 性 故 諸 所 作 皆 無 常 如 所 作 無 常 等 
T44n1841_001:0147b26	豈成能立者。不然。前所作無常。但別宗因。後	豈 成 能 立 者 不 然 前 所 作 無 常 但 別 宗 因 後 
T44n1841_001:0147b27	舉諸所作。總攝宗喻。無常亦爾。不唯重頌。亦	舉 諸 所 作 總 攝 宗 喻 無 常 亦 爾 不 唯 重 頌 亦 
T44n1841_001:0147b28	正是合。故定所作無常是喻體。若如先所說。	正 是 合 故 定 所 作 無 常 是 喻 體 若 如先所說 
T44n1841_001:0147b29	取瓶為喻體。即應直指瓶。何須重舉。諸勤發	取 瓶 為 喻 體 即 應 直 指 瓶 何 須 重 舉 諸 勤 發 
T44n1841_001:0147c01	皆無常。猶如瓶等耶。又若取瓶體為喻。成立	皆 無 常 猶 如 瓶 等 耶 又 若 取 瓶 體 為 喻 成 立 
T44n1841_001:0147c02	聲無常等。何故。云說因宗所隨。宗無因不有。	聲 無 常 等 何 故 云 說 因 宗 所 隨 宗 無 因 不 有 
T44n1841_001:0147c03	不言說瓶因所隨。瓶無因不有。此二名譬喻。	不 言 說 瓶 因 所 隨 瓶 無 因 不 有 此 二 名 譬 喻 
T44n1841_001:0147c04	餘皆此相似。又云。應以非作證其常。或以無	餘 皆 此 相 似 又 云 應 以 非 作 證 其 常 或 以 無 
T44n1841_001:0147c05	常成所作。此顯正說。應以所作成無常。以	常 成 所 作 此 顯 正 說 應 以 所 作 成 無 常 以 
T44n1841_001:0147c06	常離所作。不言以瓶證無常。故正喻體。所作	常 離 所 作 不 言 以 瓶 證 無 常 故 正 喻 體 所 作 
T44n1841_001:0147c07	無常。舉依以顯。若不如是。舉瓶即知定有所	無 常 舉 依 以 顯 若 不 如 是 舉 瓶 即 知 定 有 所 
T44n1841_001:0147c08	作。舉喻之時。但云如瓶。何須俱牒宗因。云諸	作 舉 喻 之 時 但 云 如 瓶 何 須 俱 牒 宗 因 云 諸 
T44n1841_001:0147c09	所作皆是無常。猶如瓶等。何須煩重。又瓶為	所 作 皆 是 無 常 猶 如 瓶 等 何 須 煩 重 又 瓶 為 
T44n1841_001:0147c10	喻體。即因外立別法為喻。與其因義。都不相	喻 體 即 因 外 立 別 法 為 喻 與 其 因 義 都 不 相 
T44n1841_001:0147c11	應。乃至云。所作性故。所類同法。不說能立所	應 乃 至 云 所 作 性 故 所 類 同 法 不 說 能 立 所 
T44n1841_001:0147c12	成立義。此意不說能立之因。所立宗義。以為	成 立 義 此 意 不 說 能 立 之 因 所 立 宗 義 以 為 
T44n1841_001:0147c13	喻故。又因所作性。喻體即瓶。以瓶有所作故	喻 故 又 因 所 作 性 喻 體 即 瓶 以 瓶 有 所 作 故 
T44n1841_001:0147c14	無常。不是所作無常為同品。即唯宗法名因。	無 常 不 是 所 作 無 常 為 同 品 即 唯 宗 法 名 因 
T44n1841_001:0147c15	瓶體非因。雖瓶體上。有於因宗。終是大過。故	瓶 體 非 因 雖 瓶 體 上 有 於 因 宗 終 是 大 過 故 
T44n1841_001:0147c16	理門云。若唯宗法。是因性者。其有不定。應亦	理 門 云 若 唯 宗 法 是 因 性 者 其 有 不 定 應 亦 
T44n1841_001:0147c17	成因。云何具有所立能立。及異品法二種譬	成 因 云 何 具 有 所 立 能 立 及 異 品 法 二 種 譬 
T44n1841_001:0147c18	喻。而有此失。准此論文。故不取瓶等體。正	喻 而 有 此 失 准 此 論 文 故 不 取 瓶 等 體 正 
T44n1841_001:0147c19	為其喻。三云。陳那意。以外人立無義之因。於	為 其 喻 三 云 陳 那 意 以 外 人 立 無 義 之 因 於 
T44n1841_001:0147c20	同異品。義相各別。以義別。不得和合正說。為	同 異 品 義 相 各 別 以 義 別 不 得 和 合 正 說 為 
T44n1841_001:0147c21	非彼義。故云喻顯於因。無別喻體者。亦不然。	非 彼 義 故 云 喻 顯 於 因 無 別 喻 體 者 亦 不 然 
T44n1841_001:0147c22	准此意許。若有義之因。因外立喻。即取瓶等。	准 此 意 許 若 有 義 之 因 因 外 立 喻 即 取 瓶 等 
T44n1841_001:0147c23	若爾。何得喻是因分。因是所作。瓶四塵故。即	若 爾 何 得 喻 是 因 分 因 是 所 作 瓶 四 塵 故 即 
T44n1841_001:0147c24	違理門。彼云。若爾。喻言應非異分。答云。事	違 理 門 彼 云 若 爾 喻 言 應 非 異 分 答 云 事 
T44n1841_001:0147c25	雖實爾。然此因言。唯為顯了是宗法性。非為	雖 實 爾 然 此 因 言 唯 為 顯 了 是 宗 法 性 非 為 
T44n1841_001:0147c26	顯了同品異品。有性無性。故立同異。顯後二	顯 了 同 品 異 品 有 性 無 性 故 立 同 異 顯 後 二 
T44n1841_001:0147c27	品。因言顯初相。即聲所作。同顯第二。故瓶所	品 因 言 顯 初 相 即 聲 所 作 同 顯 第 二 故 瓶 所 
T44n1841_001:0147c28	作。若以同顯第二。即取瓶體。因顯初相。應當	作 若 以 同 顯 第 二 即 取 瓶 體 因 顯 初 相 應 當 
T44n1841_001:0147c29	取聲。既詮初相。取聲上所作故。詮第二相。取	取 聲 既 詮 初 相 取 聲 上 所 作 故 詮 第 二 相 取 
T44n1841_001:0148a01	瓶所作。故下文云。故定三相。唯為顯因。由此	瓶 所 作 故 下 文 云 故 定 三 相 唯 為 顯 因 由 此 
T44n1841_001:0148a02	道理。雖一切分皆能為因。顯了所立。然唯一	道 理 雖 一 切 分 皆 能 為 因 顯 了 所 立 然 唯 一 
T44n1841_001:0148a03	分。且說為因。故第二分明。亦所作不可難言。	分 且 說 為 因 故 第 二 分 明 亦 所 作 不 可 難 言 
T44n1841_001:0148a04	即第三分說為異喻。亦應所作。第三遮詮。故	即 第 三 分 說 為 異 喻 亦 應 所 作 第 三 遮 詮 故 
T44n1841_001:0148a05	不為例。又第三相。異遍非有。舉異非有。正即	不 為 例 又 第 三 相 異 遍 非 有 舉 異 非 有 正 即 
T44n1841_001:0148a06	是因。故舉瓶等。但是喻依。若作斯解。可謂妙	是 因 故 舉 瓶 等 但 是 喻 依 若 作 斯 解 可 謂 妙 
T44n1841_001:0148a07	解。餘謬名妙。非為實妙。諸餘不正。准此例	解 餘 謬 名 妙 非 為 實 妙 諸 餘 不 正 准 此 例 
T44n1841_001:0148a08	知。故作三解。喻體之中。第三順古。文義無	知 故 作 三 解 喻 體 之 中 第 三 順 古 文 義 無 
T44n1841_001:0148a09	違。初二皆違。可熟思察。故不煩顯。	違 初 二 皆 違 可 熟 思 察 故 不 煩 顯 
T44n1841_001:0148a10	有人解唯此三分說名能立云。古解言。因一	有 人 解 唯 此 三 分 說 名 能 立 云 古 解 言 因 一 
T44n1841_001:0148a11	喻二。以為三分。即設難云。若依掌珍論。闕異	喻 二 以 為 三 分 即 設 難 云 若 依 掌 珍 論 闕 異 
T44n1841_001:0148a12	喻亦成能立。何得言唯三分耶。其義云何。答	喻 亦 成 能 立 何 得 言 唯 三 分 耶 其 義 云 何 答 
T44n1841_001:0148a13	此難不然。清辨勝義一切皆空。空為同品。雖	此 難 不 然 清 辨 勝 義 一切皆空 空 為 同 品 雖 
T44n1841_001:0148a14	無於有。亦得云無宗之處。因不有性。異喻	無 於 有 亦 得 云 無 宗 之 處 因 不 有 性 異 喻 
T44n1841_001:0148a15	得成。以異止濫。濫除即異喻。故理門云。後唯	得 成 以 異 止 濫 濫 除 即 異 喻 故 理 門 云 後 唯 
T44n1841_001:0148a16	止濫。由合及離。比度義故。由是。雖對不立。	止 濫 由 合 及 離 比 度 義 故 由 是 雖 對 不 立 
T44n1841_001:0148a17	實有大虛空等。而得顯示無有宗處。無因義	實 有 大 虛 空 等 而 得 顯 示 無 有 宗 處 無 因 義 
T44n1841_001:0148a18	成。正解二喻。具足宗因。若非異喻。此言徒	成 正 解 二 喻 具 足 宗 因 若 非 異 喻 此 言 徒 
T44n1841_001:0148a19	設。	設 
T44n1841_001:0148a20	有人釋云。但遮外道小乘。及天親等。立五支	有 人 釋 云 但 遮 外 道 小 乘 及 天 親 等 立 五 支 
T44n1841_001:0148a21	等。以為能立。說唯三分。乃至云。非唯因喻。	等 以 為 能 立 說 唯 三 分 乃 至 云 非 唯 因 喻 
T44n1841_001:0148a22	引對法云。釋宗因喻訖。次釋合云。謂由三分。	引 對 法 云 釋 宗 因 喻 訖 次 釋 合 云 謂 由 三 分 
T44n1841_001:0148a23	成立如前所成義已。故知。三分是宗因喻以	成 立 如 前 所 成 義 已 故 知 三 分 是 宗 因 喻 以 
T44n1841_001:0148a24	為證者。其義云何。答此亦不然。對法若云唯	為 證 者 其 義 云 何 答 此 亦 不 然 對 法 若 云 唯 
T44n1841_001:0148a25	此三分。可引彼證。彼云由三。更舉合結等。	此 三 分 可 引 彼 證 彼 云 由 三 更 舉 合 結 等 
T44n1841_001:0148a26	即知能立。不唯前三。不說唯故。前三正能合	即 知 能 立 不 唯 前 三 不 說 唯 故 前 三 正 能 合 
T44n1841_001:0148a27	結傍顯。俱能立故。故彼論解合云。遂引彼義。	結 傍 顯 俱 能 立 故 故 彼 論 解 合 云 遂 引 彼 義 
T44n1841_001:0148a28	令就此法。正說道理。解結云。結者謂到究	令 就 此 法 正 說 道 理 解 結 云 結 者 謂 到 究 
T44n1841_001:0148a29	竟趣。所有正說。由此道理極善成就。故是此	竟 趣 所 有 正 說 由此道理 極 善 成 就 故 是 此 
T44n1841_001:0148b01	事。決定無異。結會究竟是名結。既由結支。決	事 決 定 無 異 結 會 究 竟 是 名 結 既 由 結 支 決 
T44n1841_001:0148b02	定究竟。明唯前三。能立不足。又復標云。能立	定 究 竟 明 唯 前 三 能 立 不 足 又 復 標 云 能 立 
T44n1841_001:0148b03	有八。今者言三。違彼說故。若云合結助非正	有 八 今 者 言 三 違 彼 說 故 若 云 合 結 助 非 正 
T44n1841_001:0148b04	立故。唯前三者。此亦不然。喻亦助因。應唯二	立 故 唯 前 三 者 此 亦 不 然 喻 亦 助 因 應 唯 二 
T44n1841_001:0148b05	分。又無唯字。故知。引非。若爾無著等。豈不	分 又 無 唯 字 故 知 引 非 若 爾 無 著 等 豈 不 
T44n1841_001:0148b06	解因明。立八為能立。今陳那並遮。若爾天親。	解 因 明 立 八 為 能 立 今 陳 那 並 遮 若 爾 天 親 
T44n1841_001:0148b07	豈不解因明。今陳那設遮。又豈天親。不見瑜	豈 不 解 因 明 今 陳 那 設 遮 又 豈 天 親 不 見 瑜 
T44n1841_001:0148b08	伽對法論等。立五為能立。五八既不說相違。	伽 對 法 論 等 立 五 為 能 立 五 八 既 不 說 相 違 
T44n1841_001:0148b09	略三何要同古。故知。作者意別各不相違。親	略 三 何 要 同 古 故 知 作 者 意 別 各 不 相 違 親 
T44n1841_001:0148b10	疎合離。取捨異故。	疎 合 離 取 捨 異 故 
T44n1841_001:0148b11	有人引理門云。於比量中。唯見此理。乃至云。	有 人 引 理 門 云 於 比 量 中 唯 見 此 理 乃 至 云 
T44n1841_001:0148b12	遮合結等。此意。以論云為於所比。顯宗法性。	遮 合 結 等 此 意 以 論 云 為 於 所 比 顯 宗 法 性 
T44n1841_001:0148b13	故說因言。為顯於此。不相離性。故說喻言。為	故 說 因 言 為 顯 於 此 不 相 離 性 故 說 喻 言 為 
T44n1841_001:0148b14	顯所比。故說宗言。於所比中除此。更無其餘	顯 所 比 故 說 宗 言 於 所 比 中 除 此 更 無 其 餘 
T44n1841_001:0148b15	支分。故知。陳那說宗因喻。云唯三分者。其義	支 分 故 知 陳 那 說 宗 因 喻 云 唯 三 分 者 其 義 
T44n1841_001:0148b16	云何。答不然。前云。又比量中。唯見此理。若	云 何 答 不 然 前 云 又 比 量 中 唯 見 此 理 若 
T44n1841_001:0148b17	所比處。此相定遍於餘同類。念此定有。於彼	所 比 處 此 相 定 遍 於 餘 同 類 念 此 定 有 於 彼 
T44n1841_001:0148b18	無處。念此遍無。是故由此生決定解。即因三	無 處 念 此 遍 無 是 故 由 此 生 決 定 解 即 因 三 
T44n1841_001:0148b19	相。不說其宗。又云。於所比中故宗為所比。即	相 不 說 其 宗 又 云 於 所 比 中 故 宗 為 所 比 即 
T44n1841_001:0148b20	所立因喻。能比即能立。故不取宗。云唯三分。	所 立 因 喻 能 比 即 能 立 故 不 取 宗 云 唯 三 分 
T44n1841_001:0148b21	又云。故定三相。唯為顯因。由此道理。雖一切	又 云 故 定 三 相 唯 為 顯 因 由此道理 雖 一 切 
T44n1841_001:0148b22	分皆能為因。顯了所立。然唯一分。且說為因。	分 皆 能 為 因 顯 了 所 立 然 唯 一 分 且 說 為 因 
T44n1841_001:0148b23	以此故知。宗為所立。三相能顯。即為能立。餘	以 此 故 知 宗 為 所 立 三 相 能 顯 即 為 能 立 餘 
T44n1841_001:0148b24	所引證。立理設難。並如前說。	所 引 證 立 理 設 難 並 如 前 說 
T44n1841_001:0148b25	有人會對法瑜伽云。對法中合。即瑜伽同類。	有 人 會 對 法 瑜 伽 云 對 法 中 合 即 瑜 伽 同 類 
T44n1841_001:0148b26	自解對法合支。如遮破我類遣執常。復云。瑜	自 解 對 法 合 支 如 遮 破 我 類 遣 執 常 復 云 瑜 
T44n1841_001:0148b27	伽同類等。即此同喻等。其義云何。答不相	伽 同 類 等 即 此 同 喻 等 其 義 云 何 答 不 相 
T44n1841_001:0148b28	當。既云瑜伽同類即此同喻。云何得與對法	當 既 云 瑜 伽 同 類 即 此 同 喻 云 何 得 與 對 法 
T44n1841_001:0148b29	論中合支相似。彼類餘法以為合故。如先德	論 中 合 支 相 似 彼 類 餘 法 以 為 合 故 如 先 德 
T44n1841_001:0148c01	釋。可同因明。又許如實能立。異瑜伽等。不許	釋 可 同 因 明 又 許 如 實 能 立 異 瑜 伽 等 不 許 
T44n1841_001:0148c02	陳那造意少別。豈獨陳那。解因明理。天親不	陳 那 造 意 少 別 豈 獨 陳 那 解 因 明 理 天 親 不 
T44n1841_001:0148c03	悟。愛憎與奪。何太不倫。	悟 愛 憎 與 奪 何 太 不 倫 
T44n1841_001:0148c04	有人自問答云。瑜伽對法。皆說八為能立。此	有 人 自 問 答 云 瑜 伽 對 法 皆 說 八 為 能 立 此 
T44n1841_001:0148c05	但為三。豈成相順。答因明即瑜伽十支之一	但 為 三 豈 成 相 順 答 因 明 即 瑜 伽 十 支 之 一 
T44n1841_001:0148c06	支。豈得違反本經。自為鉾楯等。其義云何。答	支 豈 得 違 反 本 經 自 為 鉾 楯 等 其 義 云 何 答 
T44n1841_001:0148c07	此亦不然。如實亦瑜伽一支。何得許乖本論。	此 亦 不 然 如 實 亦 瑜 伽 一 支 何 得 許 乖 本 論 
T44n1841_001:0148c08	若云不乖彼說合結。陳那何故遮却。又復合	若 云 不 乖 彼 說 合 結 陳 那 何 故 遮 却 又 復 合 
T44n1841_001:0148c09	結。名言不殊。那知不遮對法中八。由據增勝	結 名 言 不 殊 那 知 不 遮 對 法 中 八 由 據 增 勝 
T44n1841_001:0148c10	說唯三。遮意解不同。釋亦少別。如瑜伽論。八	說 唯 三 遮 意 解 不 同 釋 亦 少 別 如 瑜 伽 論 八 
T44n1841_001:0148c11	為能成。尚自料簡。真唯有三。餘能立之能	為 能 成 尚 自 料 簡 真 唯 有 三 餘 能 立 之 能 
T44n1841_001:0148c12	立。名為能立。非實說八。俱為能立。末代解	立 名 為 能 立 非 實 說 八 俱 為 能 立 末 代 解 
T44n1841_001:0148c13	釋。取捨尚然。於古聖賢。何苦不許。	釋 取 捨 尚 然 於 古 聖 賢 何 苦 不 許 
T44n1841_001:0148c14	有人解似宗過中俱不極成云。執我是思。即	有 人 解 似 宗 過 中 俱 不 極 成 云 執 我 是 思 即 
T44n1841_001:0148c15	蘊計我。無思極成。其義云何。答亦不得然。亦	蘊 計 我 無 思 極 成 其 義 云 何 答 亦 不 得 然 亦 
T44n1841_001:0148c16	應我為因緣。即蘊計我。無因極成。若云猶	應 我 為 因 緣 即 蘊 計 我 無 因 極 成 若 云 猶 
T44n1841_001:0148c17	計我與和合作因緣。不俱言因緣。何得相例	計 我 與 和 合 作 因 緣 不 俱 言 因 緣 何 得 相 例 
T44n1841_001:0148c18	者。本來執異。何須前例。故知。說神我佛法不	者 本 來 執 異 何 須 前 例 故 知 說 神 我 佛 法 不 
T44n1841_001:0148c19	許。非極成。若假我者。佛法即許。非不成。今	許 非 極 成 若 假 我 者 佛 法 即 許 非 不 成 今 
T44n1841_001:0148c20	言我與和合作因緣。和合即實有。大乘不許。	言 我 與 和 合 作 因 緣 和 合 即 實 有 大 乘 不 許 
T44n1841_001:0148c21	俱不極成。亦不得云。立我是思。非外道宗。故	俱 不 極 成 亦 不 得 云 立 我 是 思 非 外 道 宗 故 
T44n1841_001:0148c22	是極成。論云如數論師。對佛弟子。若立佛法	是 極 成 論 云 如 數 論 師 對 佛 弟 子 若 立 佛 法 
T44n1841_001:0148c23	宗。是第九過故。何云所別。亦不得言二十五	宗 是 第 九 過 故 何 云 所 別 亦 不 得 言 二 十 五 
T44n1841_001:0148c24	諦。不立思故。非外道宗。以即計我是思。何得	諦 不 立 思 故 非 外 道 宗 以 即 計 我 是 思 何 得 
T44n1841_001:0148c25	更立思耶。以許有實思故。極成不許實和合	更 立 思 耶 以 許 有 實 思 故 極 成 不 許 實 和 合 
T44n1841_001:0148c26	故不成。	故 不 成 
T44n1841_001:0148c27	有釋不成因過中云繩輪咽臍所作。不應分	有 釋 不 成 因 過 中 云 繩 輪 咽 臍 所 作 不 應 分 
T44n1841_001:0148c28	別。並極成因。他亦顯生俱所作。二俱所作	別 並 極 成 因 他 亦 顯 生 俱 所 作 二 俱 所 作 
T44n1841_001:0148c29	並為因。其義云何。答此難不然。所作名生。所	並 為 因 其 義 云 何 答 此 難 不 然 所 作 名 生 所 
T44n1841_001:0149a01	顯非生。何得二因俱名成作。又引廣百論第	顯 非 生 何 得 二 因 俱 名 成 作 又 引 廣 百 論 第 
T44n1841_001:0149a02	一云。又無常因。有不成過。就生滅義。自宗	一 云 又 無 常 因 有 不 成 過 就 生 滅 義 自 宗 
T44n1841_001:0149a03	不成。隱顯義釋。他宗不成者。待撿彼文。	不 成 隱 顯 義 釋 他 宗 不 成 者 待 撿 彼 文 
T44n1841_001:0149a04	有解不成。總料簡中云。兩俱隨一。既對立敵	有 解 不 成 總 料 簡 中 云 兩 俱 隨 一 既 對 立 敵 
T44n1841_001:0149a05	以辯。不得更約自他等辯句也。此義如何。	以 辯 不 得 更 約 自 他 等 辯 句 也 此 義 如 何 
T44n1841_001:0149a06	此亦不爾。如俱不成。無約自他分別之者。	此 亦 不 爾 如 俱 不 成 無 約 自 他 分 別 之 者 
T44n1841_001:0149a07	可如所說。隨一之中。何故不得約自他辯。隨	可 如 所 說 隨 一 之 中 何 故 不 得 約 自 他 辯 隨 
T44n1841_001:0149a08	一言通。但言全分一分隨一不成。為隨敵不	一 言 通 但 言 全 分 一 分 隨一不成 為 隨 敵 不 
T44n1841_001:0149a09	成。為隨立不成。既有立敵二殊。約自約他。極	成 為 隨 立 不 成 既 有 立 敵 二 殊 約 自 約 他 極 
T44n1841_001:0149a10	妙猶豫所依過亦准此。不得苟乖前哲。置此	妙 猶 豫 所 依 過 亦 准 此 不 得 苟 乖 前 哲 置 此 
T44n1841_001:0149a11	迷辭。	迷 辭 
T44n1841_001:0149a12	有人作四句中。有遍是宗法性。非同定有。非	有 人 作 四 句 中 有 遍是宗法性 非 同 定 有 非 
T44n1841_001:0149a13	異遍無者。即法差別相違因是。此義如何。	異 遍 無 者 即 法差別相違因 是 此 義 如 何 
T44n1841_001:0149a14	答亦復不可。指此為句不違道理。然云於同	答 亦 復 不 可 指 此 為 句 不 違 道 理 然 云 於 同 
T44n1841_001:0149a15	品真他上。無故非同品定有。他中含真假他。	品 真 他 上 無 故 非 同 品 定 有 他 中 含 真 假 他 
T44n1841_001:0149a16	若為復將真他為同品。設若言他是假他故。	若 為 復 將 真 他 為 同 品 設 若 言 他 是 假 他 故 
