X57n0963_001:0122b05	北峰教義	北 峰 教 義 
X57n0963_001:0124c18	之法正是修中三千俗事者荊溪顯云事則修德三	之 法 正 是 修 中 三 千 俗 事 者 荊 溪 顯 云 事 則 修 德 三 
X57n0963_001:0124c19	因為所立法汝何唯俗耶既以事中修德三因為所	因 為 所 立 法 汝 何 唯 俗 耶 既 以 事 中 修 德 三 因 為 所 
X57n0963_001:0124c20	立法必以性德三因為無住本何須合耶對面違文	立 法 必 以 性 德 三 因 為 無 住 本 何 須 合 耶 對 面 違 文 
X57n0963_001:0124c21	不可信受。	不 可 信 受 
X57n0963_001:0124c22	二料揀文義分三初二造所據問止觀直引華嚴心	二 料 揀 文 義 分 三 初 二 造 所 據 問 止 觀 直 引 華 嚴 心 
X57n0963_001:0124c23	造一文荊溪據何文義便立二造釋之答一據止觀	造 一 文 荊 溪 據 何 文 義 便 立 二 造 釋 之 答 一 據 止 觀 
X57n0963_001:0124c24	本文二據觀音玄文二義皆荊溪自示也初止觀本	本 文 二 據 觀 音 玄 文 二 義 皆 荊 溪 自 示 也 初 止 觀 本 
X57n0963_001:0125a01	文者只緣大師正明不思議境理具引華嚴心造之	文 者 只 緣 大 師 正 明 不思議境 理 具 引 華 嚴 心 造 之 
X57n0963_001:0125a02	文驗知心造有於理具故輔行云前云心造即是心	文 驗 知 心 造 有 於 理 具 故 輔 行 云 前 云 心 造 即 是 心 
X57n0963_001:0125a03	具故引造文以證心具(五十一)二觀音玄文者只緣觀	具 故 引 造 文 以 證 心 具 五 十 一 二 觀 音 玄 文 者 只 緣 觀 
X57n0963_001:0125a04	音玄文明性善惡驗知心造有於理具故輔行云若	音 玄 文 明 性 善 惡 驗 知 心 造 有 於 理 具 故 輔 行 云 若 
X57n0963_001:0125a05	見觀音玄文意者則事理凡聖自他始終修性等意	見 觀 音 玄 文 意 者 則 事 理 凡 聖 自 他 始 終 修 性 等 意 
X57n0963_001:0125a06	一切可見彼文料揀緣了中云如來不斷性惡闡提	一 切 可 見 彼 文 料 揀 緣 了 中 云 如 來 不 斷 性 惡 闡 提 
X57n0963_001:0125a07	不斷性善點此一意眾滯自消(五十七)文義顯矣二理	不 斷 性 善 點 此 一 意 眾 滯 自 消 五 十 七 文 義 顯 矣 二 理 
X57n0963_001:0125a08	中明造問凡稱造者即是造作動用之義理體之中	中 明 造 問 凡 稱 造 者 即 是 造 作 動 用 之 義 理 體 之 中 
X57n0963_001:0125a09	如何可說造作義耶答理中明造造即是具不可更	如 何 可 說 造 作 義 耶 答 理 中 明 造 造 即 是 具 不 可 更 
X57n0963_001:0125a10	求造作之義荊溪云一者約理造即是具其旨爛然	求 造 作 之 義 荊 溪 云 一 者 約 理 造 即 是 具 其 旨 爛 然 
X57n0963_001:0125a11	三引昔證具問荊溪云指的妙境出自法華止觀不	三 引 昔 證 具 問 荊 溪 云 指 的 妙 境 出 自 法 華 止 觀 不 
X57n0963_001:0125a12	思議妙境合引法華十如是文何故落筆却引華嚴	思 議 妙 境 合 引 法 華 十 如 是 文 何 故 落 筆 却 引 華 嚴 
X57n0963_001:0125a13	心造文耶莫也大師引證不的否答不然若指的三	心 造 文 耶 莫 也 大 師 引 證 不 的 否 答 不 然 若 指 的 三 
X57n0963_001:0125a14	千妙境出自法華下文自引法華十如是文若指的	千 妙 境 出 自 法 華 下 文 自 引 法 華 十 如 是 文 若 指 的 
X57n0963_001:0125a15	揀境用觀出自華嚴故須引之以證心具故輔行云	揀 境 用 觀 出 自 華 嚴 故 須 引 之 以 證 心 具 故 輔 行 云 
X57n0963_001:0125a16	正明不思議境於中初引華嚴者重牒初引示境相	正 明 不思議境 於 中 初 引 華 嚴 者 重 牒 初 引 示 境 相 
X57n0963_001:0125a17	文前云心造即是心具故引造文以證心具(五中一)止	文 前 云 心 造 即 是 心 具 故 引 造 文 以 證 心 具 五 中 一 止 
X57n0963_001:0125a18	觀大意云上根一法者謂觀不思議境不出色心色	觀 大 意 云 上 根 一 法 者 謂 觀 不思議境 不 出 色 心 色 
X57n0963_001:0125a19	由心造全體是心故經云三界無別法唯是一心作	由 心 造 全 體 是 心 故 經 云 三 界 無 別 法 唯 是 一 心 作 
X57n0963_001:0125a20	(文)荊溪文義宜細求之。	 文 荊 溪 文 義 宜 細 求 之 
X57n0963_001:0125a21	四簡權實	四 簡 權 實 
X57n0963_001:0125a22	二初四明正說且置諸文十雙權實今明三千唯約	二 初 四 明 正 說 且 置 諸 文 十 雙 權 實 今 明 三 千 唯 約 
X57n0963_001:0125a23	十界十如而論權實有二初十界通論以十界十如	十 界 十 如 而 論 權 實 有 二 初 十 界 通 論 以 十 界 十 如 
X57n0963_001:0125a24	諸法名權界如諸法皆即實相為實妙宗云唯我釋	諸 法 名 權 界 如 諸 法 皆 即 實 相 為 實 妙 宗 云 唯 我 釋 
X57n0963_001:0125b01	迦與一切佛乃能究盡諸法之權實相之實(上二十三)此	迦 與 一 切 佛 乃 能 究 盡 諸 法 之 權 實 相 之 實 上 二 十 三 此 
X57n0963_001:0125b02	依文句云從諸法實相下即是甚深境界不可思議	依 文 句 云 從 諸法實相 下 即 是 甚 深 境 界 不可思議 
X57n0963_001:0125b03	故不可說今明此境為二初一句略標權實章次十	故 不 可 說 今 明 此 境 為 二 初 一 句 略 標 權 實 章 次 十 
X57n0963_001:0125b04	句廣釋權實相乃至二約佛界釋云佛界非本非末	句 廣 釋 權 實 相 乃 至 二 約 佛 界 釋 云 佛 界 非 本 非 末 
X57n0963_001:0125b05	而言本末本即相末即佛佛報是自行權也佛界非	而 言 本 末 本 即 相 末 即 佛 佛 報 是 自 行 權 也 佛 界 非 
X57n0963_001:0125b06	等非不等而言究竟等指於實相是自行之實也(三三	等 非 不 等 而 言 究 竟 等 指 於 實 相 是 自 行 之 實 也 三 三 
X57n0963_001:0125b07	十一)輔行云十如只是法華實相權實正體既云諸法	十 一 輔 行 云 十 如 只 是 法 華 實 相 權 實 正 體 既 云 諸 法 
X57n0963_001:0125b08	故實相即十既云實相故十即十相(五中三)十界十如	故 實 相 即 十 既 云 實 相 故 十 即 十 相 五 中 三 十 界 十 如 
X57n0963_001:0125b09	皆即實相三千皆實相相宛然祖文如是非四明妄	皆 即 實 相 三 千 皆 實 相 相 宛 然 祖 文 如 是 非 四 明 妄 
X57n0963_001:0125b10	立也二十界對論九權佛實妙玄云百法界千如是	立 也 二 十 界 對 論 九 權 佛 實 妙 玄 云 百 法 界 千 如 是 
X57n0963_001:0125b11	束為五差一惡二善三二乘四菩薩五佛判為二法	束 為 五 差 一 惡 二 善 三 二 乘 四 菩 薩 五 佛 判 為 二 法 
X57n0963_001:0125b12	前四是權法(即一惡二善三二乘四菩薩也)後一是實法(即佛界也)細論	前 四 是 權 法 即 一 惡 二 善 三 二 乘 四 菩 薩 也 後 一 是 實 法 即 佛 界 也 細 論 
X57n0963_001:0125b13	各具權實且依兩義(二三)文句云九界十如皆名為權	各 具 權 實 且 依 兩 義 二 三 文 句 云 九 界 十 如 皆 名 為 權 
X57n0963_001:0125b14	佛界十如名之為實(二三十)不二門云亦由理性九權	佛 界 十 如 名 之 為 實 二 三 十 不 二 門 云 亦 由 理 性 九 權 
X57n0963_001:0125b15	一實指要云權是九界七方便實是佛法一圓乘四	一 實 指 要 云 權 是 九 界 七 方 便 實 是 佛 法 一 圓 乘 四 
X57n0963_001:0125b16	時未會權實不融此經開之皆稱秘妙故云不二(下十	時 未 會 權 實 不 融 此 經 開 之 皆 稱 秘 妙 故 云 不 二 下 十 
X57n0963_001:0125b17	五)權實諸法理性本具三千並常俱體俱用一法不	五 權 實 諸 法 理 性 本 具 三 千 並 常 俱 體 俱 用 一 法 不 
X57n0963_001:0125b18	斷亦非強立也。	斷 亦 非 強 立 也 
X57n0963_001:0125b19	三淨覺異見雜編云一約三千俗諦分權實九界十	三 淨 覺 異 見 雜 編 云 一 約 三 千 俗 諦 分 權 實 九 界 十 
X57n0963_001:0125b20	如屬權佛果十如屬實二約三千三諦分權實三千	如 屬 權 佛 果 十 如 屬 實 二 約 三 千 三 諦 分 權 實 三 千 
X57n0963_001:0125b21	空假為權三千中道為實等作此分已當了權即是	空 假 為 權 三 千 中 道 為 實 等 作 此 分 已 當 了 權 即 是 
X57n0963_001:0125b22	實實即是權金器水波喻意可識(文)意云實如金水	實 實 即 是 權 金 器 水 波 喻 意 可 識 文 意 云 實 如 金 水 
X57n0963_001:0125b23	無差無相權如器波差別有相評曰初義佛界十如	無 差 無 相 權 如 器 波 差 別 有 相 評 曰 初 義 佛 界 十 如 
X57n0963_001:0125b24	為實十如何故無如是相次義假法為權空中為實	為 實 十 如 何 故 無 如 是 相 次 義 假 法 為 權 空 中 為 實 
X57n0963_001:0125c01	既三諦一境豈空中定無況荊溪云此之三千性是	既 三 諦 一 境 豈 空 中 定 無 況 荊 溪 云 此 之 三 千 性 是 
X57n0963_001:0125c02	中理何屬俗哉蓮老斥佗曰只一圓融三既皆絕妙	中 理 何 屬 俗 哉 蓮 老 斥 佗 曰 只 一 圓 融 三 既 皆 絕 妙 
X57n0963_001:0125c03	何須分更權實有違四明云圓人雖乃三諦頓觀中	何 須 分 更 權 實 有 違 四 明 云 圓 人 雖 乃 三 諦 頓 觀 中 
X57n0963_001:0125c04	須是實二諦為權(別行文下二十三紙)凡百破他當須盡理。	須 是 實 二 諦 為 權 別 行 文 下 二 十 三 紙 凡 百 破 他 當 須 盡 理 
X57n0963_001:0125c05	五顯體用	五 顯 體 用 
X57n0963_001:0125c06	二初四明正說以理具三千為體反造三千為用指	二 初 四 明 正 說 以 理 具 三 千 為 體 反 造 三 千 為 用 指 
X57n0963_001:0125c07	要云夫體用之名本相即之義故凡言諸法即理者	要 云 夫 體 用 之 名 本 相 即 之 義 故 凡 言 諸 法 即 理 者 
X57n0963_001:0125c08	全用即體方可言即又云三千世間一一常住理具	全 用 即 體 方 可 言 即 又 云 三 千 世 間 一 一 常 住 理 具 
X57n0963_001:0125c09	三千俱名為體反造三千俱名為用故云俱體俱用	三 千 俱 名 為 體 反 造 三 千 俱 名 為 用 故 云 俱 體 俱 用 
X57n0963_001:0125c10	(下六)四明此說合輔行並由理具方有事用又合不二	 下 六 四 明 此 說 合 輔 行 並 由 理 具 方 有 事 用 又 合 不 二 
X57n0963_001:0125c11	門反名為造造謂體用用既即體無不圓融空假中	門 反 名 為 造 造 謂 體 用 用 既 即 體 無 不 圓 融 空 假 中 
X57n0963_001:0125c12	妙淨覺失旨為之奈何所據諸文下科評破。	妙 淨 覺 失 旨 為 之 奈 何 所 據 諸 文 下 科 評 破 
X57n0963_001:0125c13	二淨覺異見以空中為體俗假為用雜編之文有四	二 淨 覺 異 見 以 空 中 為 體 俗 假 為 用 雜 編 之 文 有 四 
X57n0963_001:0125c14	初據文句體用權實自初住已去體無分別用即差	初 據 文 句 體 用 權 實 自 初 住 已 去 體 無 分 別 用 即 差 
X57n0963_001:0125c15	降評曰此文明聖人果上起用因自初住已去性體	降 評 曰 此 文 明 聖 人 果 上 起 用 因 自 初 住 已 去 性 體 
X57n0963_001:0125c16	之法對於修用故無分別豈可自行全無假耶輔行	之 法 對 於 修 用 故 無 分 別 豈 可 自 行 全 無 假 耶 輔 行 
X57n0963_001:0125c17	指眾生實造聖人權造並由理具方有事用及不二	指 眾 生 實 造 聖 人 權 造 並 由 理 具 方 有 事 用 及 不 二 
X57n0963_001:0125c18	門濁水清水波濕無殊如何消之二據妙樂指染淨	門 濁 水 清 水 波 濕 無 殊 如 何 消 之 二 據 妙 樂 指 染 淨 
X57n0963_001:0125c19	不二門所明體用雖通染淨正意對染論淨為顯果	不 二 門 所 明 體 用 雖 通 染 淨 正 意 對 染 論 淨 為 顯 果 
X57n0963_001:0125c20	上從體起用評曰不二門正明染淨之用不二妙樂	上 從 體 起 用 評 曰 不 二 門 正 明 染 淨 之 用 不 二 妙 樂 
X57n0963_001:0125c21	特指云言立一切法者前事理中即以染緣為一切	特 指 云 言 立 一 切 法 者 前 事 理 中 即 以 染 緣 為 一 切 
X57n0963_001:0125c22	法此中即是淨緣諸法具如染淨不二門明(四二)此乃	法 此 中 即 是 淨 緣 諸 法 具 如 染 淨 不 二 門 明 四 二 此 乃 
X57n0963_001:0125c23	四明所據汝正違此文如何據耶三消因果不二門	四 明 所 據 汝 正 違 此 文 如 何 據 耶 三 消 因 果 不 二 門 
X57n0963_001:0125c24	文謂三千並常俱體之時如全波是水此顯理常三	文 謂 三 千 並 常 俱 體 之 時 如 全 波 是 水 此 顯 理 常 三 
X57n0963_001:0126a01	千並常俱用之時如全水為波此顯事常評曰汝據	千 並 常 俱 用 之 時 如 全 水 為 波 此 顯 事 常 評 曰 汝 據 
X57n0963_001:0126a02	此喻欲明理中無差無相不可以喻真法也三千俱	此 喻 欲 明 理 中 無 差 無 相 不 可 以 喻 真 法 也 三 千 俱 
X57n0963_001:0126a03	體多少分明若理體無相大師云修德相貌在性德	體 多 少 分 明 若 理 體 無 相 大 師 云 修 德 相 貌 在 性 德 
X57n0963_001:0126a04	中荊溪云理具此相如何消耶(妙樂第十)四據自他不二	中 荊 溪 云 理 具 此 相 如 何 消 耶 妙 樂 第 十 四 據 自 他 不 二 
X57n0963_001:0126a05	門文自行唯在空中豈非體耶化他三千赴物豈非	門 文 自 行 唯 在 空 中 豈 非 體 耶 化 他 三 千 赴 物 豈 非 
X57n0963_001:0126a06	用耶評曰此文正明由於自行理體三千之假方有	用 耶 評 曰 此 文 正 明 由 於 自 行 理 體 三 千 之 假 方 有 
X57n0963_001:0126a07	化他事用三千赴物如理性三德三諦三千若自行	化 他 事 用 三 千 赴 物 如 理 性 三 德 三 諦 三 千 若 自 行 
X57n0963_001:0126a08	則理性空中亡泯若化佗則事用三千赴物故云隨	則 理 性 空 中 亡 泯 若 化 佗 則 事 用 三 千 赴 物 故 云 隨 
X57n0963_001:0126a09	機利他事乃憑本本謂一性具足自他方至果位自	機 利 他 事 乃 憑 本 本 謂 一 性 具 足 自 他 方 至 果 位 自 
X57n0963_001:0126a10	即益他如理性三德三諦三千自行唯在空中化他	即 益 他 如 理 性 三 德 三 諦 三 千 自 行 唯 在 空 中 化 他 
X57n0963_001:0126a11	三千赴物(文)深求自即益他之語必有[(巫工+土)/日]焉此文指	三 千 赴 物 文 深 求 自 即 益 他 之 語 必 有 [巫工土日] 焉 此 文 指 
X57n0963_001:0126a12	要釋之甚委大凡文義幽隱當鈎索之勿生異見。	要 釋 之 甚 委 大 凡 文 義 幽 隱 當 鈎 索 之 勿 生 異 見 
X57n0963_001:0126a13	六述互具	六 述 互 具 
X57n0963_001:0126a14	雜編立此一科正明談具事理其問關涉真妄總別	雜 編 立 此 一 科 正 明 談 具 事 理 其 問 關 涉 真 妄 總 別 
X57n0963_001:0126a15	之義今委明之分二初四明正說二淨覺異見初又	之 義 今 委 明 之 分 二 初 四 明 正 說 二 淨 覺 異 見 初 又 
X57n0963_001:0126a16	四初明互各二定事理三釋總別四揀文義初明互	四 初 明 互 各 二 定 事 理 三 釋 總 別 四 揀 文 義 初 明 互 
X57n0963_001:0126a17	各雜編科名述互具引章安十界互相有文則十界	各 雜 編 科 名 述 互 具 引 章 安 十 界 互 相 有 文 則 十 界 
X57n0963_001:0126a18	依正皆論各具互具今依四明有乎二義若通明各	依 正 皆 論 各 具 互 具 今 依 四 明 有 乎 二 義 若 通 明 各 
X57n0963_001:0126a19	具互具則色心依正一切諸法法法之上皆可論之	具 互 具 則 色 心 依 正 一切諸法 法 法 之 上 皆 可 論 之 
X57n0963_001:0126a20	色自具三千心自具三千等各各不同即各具也色	色 自 具 三 千 心 自 具 三 千 等 各各不同 即 各 具 也 色 
X57n0963_001:0126a21	心三千只一三千無二無別名互具也若別明各具	心 三 千 只 一 三 千 無 二 無 別 名 互 具 也 若 別 明 各 具 
X57n0963_001:0126a22	互具則且以心佛眾生三法言之心佛眾生各具三	互 具 則 且 以 心 佛 眾 生 三 法 言 之 心 佛 眾 生 各 具 三 
X57n0963_001:0126a23	千各具也心佛眾生只一三千互具也故指要云約	千 各 具 也 心 佛 眾 生 只 一 三 千 互 具 也 故 指 要 云 約 
X57n0963_001:0126a24	此三法各具三千互具互融方名妙法(上四)此本輔行	此 三 法 各 具 三 千 互 具 互 融 方 名 妙 法 上 四 此 本 輔 行 
X57n0963_001:0126b01	云又復學者縱知內心具三千法(各具)不知我心徧彼	云 又 復 學 者 縱 知 內 心 具 三 千 法 各 具 不 知 我 心 徧 彼 
X57n0963_001:0126b02	三千彼彼三千互徧亦爾(互具)雖云各具意顯互具故	三 千 彼 彼 三 千 互 徧 亦 爾 互 具 雖 云 各 具 意 顯 互 具 故 
X57n0963_001:0126b03	云苟順凡情生內外見應照理體三無差別(上十二十一)	云 苟 順 凡 情 生 內 外 見 應 照 理 體 三無差別 上 十 二 十 一 
X57n0963_001:0126b04	非唯三法如此准知修性各具三千而互具互融以	非 唯 三 法 如 此 准 知 修 性 各 具 三 千 而 互 具 互 融 以 
X57n0963_001:0126b05	至事理體用等義皆有二具也二定事理雖色心依	至 事 理 體 用 等 義 皆 有 二 具 也 二 定 事 理 雖 色 心 依 
X57n0963_001:0126b06	正諸法皆可論具以從近要揀觀慧之境的有一念	正 諸 法 皆 可 論 具 以 從 近 要 揀 觀 慧 之 境 的 有 一 念 
X57n0963_001:0126b07	心法而此心念為真為妄為事為理須知四明定此心	心 法 而 此 心 念 為 真 為 妄 為 事 為 理 須 知 四 明 定 此 心 
X57n0963_001:0126b08	念是妄是事指要云應知心法就事就迷而辨引釋	念 是 妄 是 事 指 要 云 應 知 心 法 就 事 就 迷 而 辨 引 釋 
X57n0963_001:0126b09	籤云心法定在因止觀初觀陰入心等(上六)又云今釋	籤 云 心 法 定 在 因 止 觀 初 觀 陰 入 心 等 上 六 又 云 今 釋 
X57n0963_001:0126b10	一念乃是趣舉根塵和合一剎那心若陰若惑若善若	一 念 乃 是 趣 舉 根 塵 和 合 一 剎 那 心 若 陰 若 惑 若 善 若 
X57n0963_001:0126b11	惡皆具三千皆即三諦以至云以眾生在事未悟理	惡 皆 具 三 千 皆 即 三 諦 以 至 云 以 眾 生 在 事 未 悟 理 
X57n0963_001:0126b12	故以依陰心顯妙理故(文)然而事中妄念當體具者	故 以 依 陰 心 顯 妙 理 故 文 然 而 事 中 妄 念 當 體 具 者 
X57n0963_001:0126b13	功由妄念全體即是理性故也故指要云以三千法	功 由 妄 念 全 體 即 是 理 性 故 也 故 指 要 云 以 三 千 法 
X57n0963_001:0126b14	同一性故隨緣為萬法時趣舉一法總攝一切也又	同 一 性 故 隨 緣 為 萬 法 時 趣 舉 一 法 總攝一切 也 又 
X57n0963_001:0126b15	云由一性無性立事理三千故故兩種三千同居一	云 由 一 性 無 性 立 事 理 三 千 故 故 兩 種 三 千 同 居 一 
X57n0963_001:0126b16	念也(上二十四)此義草庵三千論第十二篇以解行伸之	念 也 上 二 十 四 此 義 草 庵 三 千 論 第 十 二 篇 以 解 行 伸 之 
X57n0963_001:0126b17	謂解了觀達具一切心三千具足甚有眉目不敢不	謂 解 了 觀 達 具 一 切 心 三 千 具 足 甚 有 眉 目 不 敢 不 
X57n0963_001:0126b18	敬(出指要上卷末)三釋總別不二門云總在一念別分色心	敬 出 指 要 上 卷 末 三 釋 總 別 不 二 門 云 總 在 一 念 別 分 色 心 
X57n0963_001:0126b19	四明解釋立兩重總別並以事中一念為總乃依荊	四 明 解 釋 立 兩 重 總 別 並 以 事 中 一 念 為 總 乃 依 荊 
X57n0963_001:0126b20	溪而說荊溪云當知心之色心初之心字趣舉剎那	溪 而 說 荊 溪 云 當 知 心 之 色 心 初 之 心 字 趣 舉 剎 那 
X57n0963_001:0126b21	事中心也次云色心即理具三千也故云此一句約	事 中 心 也 次 云 色 心 即 理 具 三 千 也 故 云 此 一 句 約 
X57n0963_001:0126b22	理明總別理具三千為別剎那一念為總也荊溪云	理 明 總 別 理 具 三 千 為 別 剎 那 一 念 為 總 也 荊 溪 云 
X57n0963_001:0126b23	即心名變戀名為造初即心字即前趣舉剎那事中	即 心 名 變 戀 名 為 造 初 即 心 字 即 前 趣 舉 剎 那 事 中 
X57n0963_001:0126b24	心也次云變造豈非事造三千耶故云此二句則事	心 也 次 云 變 造 豈 非 事 造 三 千 耶 故 云 此 二 句 則 事 
X57n0963_001:0126c01	中總別變造三千為別剎那一念為總也荊溪文義	中 總 別 變 造 三 千 為 別 剎 那 一 念 為 總 也 荊 溪 文 義 
X57n0963_001:0126c02	如此兩重總別並事念為總豈四明妄立耶然則兩	如 此 兩 重 總 別 並 事 念 為 總 豈 四 明 妄 立 耶 然 則 兩 
X57n0963_001:0126c03	種三千一念能總者只緣一性無性立兩種三千故	種 三 千 一 念 能 總 者 只 緣 一 性 無 性 立 兩 種 三 千 故 
X57n0963_001:0126c04	故兩種三千總在一念也又復須知今不二門一性	故 兩 種 三 千 總 在 一 念 也 又 復 須 知 今 不 二 門 一 性 
X57n0963_001:0126c05	無性三千宛然便同妙樂無住立法一性無性無住	無 性 三 千 宛 然 便 同 妙 樂 無 住 立 法 一 性 無 性 無 住 
X57n0963_001:0126c06	本也三千宛然所立法也理事兩重本法即理事兩	本 也 三 千 宛 然 所 立 法 也 理 事 兩 重 本 法 即 理 事 兩 
X57n0963_001:0126c07	重總別耳且理中心之色心心豈非無住本色心豈	重 總 別 耳 且 理 中 心 之 色 心 心 豈 非 無 住 本 色 心 豈 
X57n0963_001:0126c08	非所立法事中即心名變即心豈非無住本變造豈	非 所 立 法 事 中 即 心 名 變 即 心 豈 非 無 住 本 變 造 豈 
X57n0963_001:0126c09	非所立法就此可疑兩重本法初重以理中正因為	非 所 立 法 就 此 可 疑 兩 重 本 法 初 重 以 理 中 正 因 為 
X57n0963_001:0126c10	本緣了為所立法次重以理中三因俱為本逆順二	本 緣 了 為 所 立 法 次 重 以 理 中 三 因 俱 為 本 逆 順 二 
X57n0963_001:0126c11	修為所立法兩重之本並是於理今總別中兩重之	修 為 所 立 法 兩 重 之 本 並 是 於 理 今 總 別 中 兩 重 之 
X57n0963_001:0126c12	總皆是於事何云即事理兩重總別耶答作此疑者	總 皆 是 於 事 何 云 即 事 理 兩 重 總 別 耶 答 作 此 疑 者 
X57n0963_001:0126c13	全未精究四明釋兩總之義也四明釋理總云以三	全 未 精 究 四 明 釋 兩 總 之 義 也 四 明 釋 理 總 云 以 三 
X57n0963_001:0126c14	千同一性故故總在一念也釋事總云亦以三千同	千 同 一 性 故 故 總 在 一 念 也 釋 事 總 云 亦 以 三 千 同 
X57n0963_001:0126c15	一性故故咸趣一念也准釋此疑兩重總別就法故	一 性 故 故 咸 趣 一 念 也 准 釋 此 疑 兩 重 總 別 就 法 故 
X57n0963_001:0126c16	並以事念為總兩重本法推功故並以理性為本何	並 以 事 念 為 總 兩 重 本 法 推 功 故 並 以 理 性 為 本 何 
X57n0963_001:0126c17	者兩重總別並功由一性故能總在一念就法在迷	者 兩 重 總 別 並 功 由 一 性 故 能 總 在 一 念 就 法 在 迷 
X57n0963_001:0126c18	在事為總推功歸性亦得以理為總故四明云今文	在 事 為 總 推 功 歸 性 亦 得 以 理 為 總 故 四 明 云 今 文 
X57n0963_001:0126c19	以一性為總前後文以一念為總蓋事理相顯也兩	以 一 性 為 總 前 後 文 以 一 念 為 總 蓋 事 理 相 顯 也 兩 
X57n0963_001:0126c20	重立法雖推功由理以理為本既而實相在於迷中	重 立 法 雖 推 功 由 理 以 理 為 本 既 而 實 相 在 於 迷 中 
X57n0963_001:0126c21	當知就法亦以事為本也夫如是從總別推功與本	當 知 就 法 亦 以 事 為 本 也 夫 如 是 從 總 別 推 功 與 本 
X57n0963_001:0126c22	法齊從本法在事與總別等又疑兩重總別並以事	法 齊 從 本 法 在 事 與 總 別 等 又 疑 兩 重 總 別 並 以 事 
X57n0963_001:0126c23	中一念為總兩重三千皆是於別若兩重本法第二	中 一 念 為 總 兩 重 三 千 皆 是 於 別 若 兩 重 本 法 第 二 
X57n0963_001:0126c24	事中本法則以理之本法俱名為本唯事造三千單	事 中 本 法 則 以 理 之 本 法 俱 名 為 本 唯 事 造 三 千 單 
X57n0963_001:0127a01	為所立法是則單複有異別與立法事理單複不同	為 所 立 法 是 則 單 複 有 異 別 與 立 法 事 理 單 複 不 同 
X57n0963_001:0127a02	總與本三一有異如何齊等答兩重本法明立法故	總 與 本 三 一 有 異 如 何 齊 等 答 兩 重 本 法 明 立 法 故 
X57n0963_001:0127a03	事從理立事理相對第二須促理中本法俱名為本	事 從 理 立 事 理 相 對 第 二 須 促 理 中 本 法 俱 名 為 本 
X57n0963_001:0127a04	兩重總別明法之圓融互趣故不論事理相對開合	兩 重 總 別 明 法 之 圓 融 互 趣 故 不 論 事 理 相 對 開 合 
X57n0963_001:0127a05	也四揀文義三初問止觀禪境中云復次一念不同	也 四 揀 文 義 三 初 問 止 觀 禪 境 中 云 復 次 一 念 不 同 
X57n0963_001:0127a06	世人取著一異定相一念乃是非一非異而論一耳	世 人 取 著 一 異 定 相 一 念 乃 是 非一非異 而 論 一 耳 
X57n0963_001:0127a07	義例明判非唯禪境諸境皆然豈非約理論具何故	義 例 明 判 非 唯 禪 境 諸 境 皆 然 豈 非 約 理 論 具 何 故 
X57n0963_001:0127a08	四明約事論具答得上正義此難不成更欲知者草	四 明 約 事 論 具 答 得 上 正 義 此 難 不 成 更 欲 知 者 草 
X57n0963_001:0127a09	庵云止觀六章依經開解法法本真則行人之心已	庵 云 止 觀 六 章 依 經 開 解 法 法 本 真 則 行 人 之 心 已 
X57n0963_001:0127a10	非世人取著之妄心矣妙解雖爾行位在凡既未離	非 世 人 取 著 之 妄 心 矣 妙 解 雖 爾 行 位 在 凡 既 未 離 
X57n0963_001:0127a11	陰且令於陰觀不思議則禪境之文是也二問上明	陰 且 令 於 陰 觀 不 思 議 則 禪 境 之 文 是 也 二 問 上 明 
X57n0963_001:0127a12	總別從近要故以心為總其實法法得為總若同本	總 別 從 近 要 故 以 心 為 總 其 實 法 法 得 為 總 若 同 本 
X57n0963_001:0127a13	法妙樂何故本唯實相答蓮老云實相之理理無所	法 妙 樂 何 故 本 唯 實 相 答 蓮 老 云 實 相 之 理 理 無 所 
X57n0963_001:0127a14	存徧在於事若爾法法得為本將非以末為本乎答	存 徧 在 於 事 若 爾 法 法 得 為 本 將 非 以 末 為 本 乎 答 
X57n0963_001:0127a15	隨舉一法一句為本則不名末矣三問指要引釋籤	隨 舉 一 法 一 句 為 本 則 不 名 末 矣 三 問 指 要 引 釋 籤 
X57n0963_001:0127a16	俗則百界千如真則同居一念為通證事理為別證	俗 則 百 界 千 如 真 則 同 居 一 念 為 通 證 事 理 為 別 證 
X57n0963_001:0127a17	一種答蓮云即同不二門總在一念通證事理也。	一 種 答 蓮 云 即 同 不 二 門 總 在 一 念 通 證 事 理 也 
X57n0963_001:0127a18	二淨覺異見雜編述互具一章總有六段初所據祖	二 淨 覺 異 見 雜 編 述 互 具 一 章 總 有 六 段 初 所 據 祖 
X57n0963_001:0127a19	文即止觀章安料簡因通果隔輔行解釋之(文)評曰汝	文 即 止 觀 章 安 料 簡 因 通 果 隔 輔 行 解 釋 之 文 評 曰 汝 
X57n0963_001:0127a20	據輔行起一界心即具十界(五上二十三)且是修具事觀	據 輔 行 起 一 界 心 即 具 十 界 五 上 二 十 三 且 是 修 具 事 觀 
X57n0963_001:0127a21	應須今宗無理具理觀可也何者以性境中輔行亦	應 須 今 宗 無 理 具 理 觀 可 也 何 者 以 性 境 中 輔 行 亦 
X57n0963_001:0127a22	云纔一剎那三千具足(五十七)釋籤亦云介爾起心以	云 纔 一 剎 那 三 千 具 足 五 十 七 釋 籤 亦 云 介 爾 起 心 以 
