T18n0850_001:0065a03	刻密軌序	刻 密 軌 序 
T18n0850_002:0070b22	真言曰	真 言 曰 
T18n0850_002:0070b23	（三五）曩莫三滿多沒馱喃(一)嚩囉娜嚩日囉	 三 五 曩 莫 三 滿 多 沒 馱 喃 一 嚩 囉 娜 嚩 日 囉 
T18n0850_002:0070b24	(二合)怛摩(二合)迦(二)娑嚩(二合)賀(引)	 二 合 怛 摩 二 合 迦 二 娑 嚩 二 合 賀 引 
T18n0850_002:0070b25	　慧拳舒風輪　　以毘俱胝形	 慧 拳 舒 風 輪 以 毘 俱 胝 形 
T18n0850_002:0070b26	　住於等引相　　以如是大印	 住 於 等 引 相 以 如 是 大 印 
T18n0850_002:0070b27	　諸佛救世者　　恐怖諸障者	 諸 佛 救 世 者 恐 怖 諸 障 者 
T18n0850_002:0070b28	　隨意成悉地　　由結是印故	 隨 意 成 悉 地 由 結 是 印 故 
T18n0850_002:0070b29	　大惡魔軍眾　　及餘諸障者	 大 惡 魔 軍 眾 及 餘 諸 障 者 
T18n0850_002:0070c01	　馳散無可疑　　風頭置眉間	 馳 散 無 可 疑 風 頭 置 眉 間 
T18n0850_002:0070c02	真言曰	真 言 曰 
T18n0850_002:0070c03	（三六）曩莫三滿多沒馱喃(一)摩訶(引)摩羅	 三 六 曩 莫 三 滿 多 沒 馱 喃 一 摩 訶 引 摩 羅 
T18n0850_002:0070c04	嚩底(丁以反二)捺奢嚩路納婆(二合)吠摩訶(引)每	嚩 底 丁 以 反 二 捺 奢 嚩 路 納 婆 二 合 吠 摩 訶 引 每 
T18n0850_002:0070c05	怛哩野(二合)(三)毘庾(二合)訥蘖(二合)底(丁以反四)娑嚩	怛 哩 野 二 合 三 毘 庾 二 合 訥 蘖 二 合 底 丁 以 反 四 娑 嚩 
T18n0850_002:0070c06	(二合)賀(引)	 二 合 賀 引 
T18n0850_002:0070c07	　慧拳舒水火　　風地押空輪	 慧 拳 舒 水 火 風 地 押 空 輪 
T18n0850_002:0070c08	　此名一切佛　　世依悲生眼	 此 名 一 切 佛 世 依 悲 生 眼 
T18n0850_002:0070c09	　想置於眼界　　智者成佛眼	 想 置 於 眼 界 智 者 成 佛 眼 
T18n0850_002:0070c10	真言曰(灌頂時此用開眼)	真 言 曰 灌 頂 時 此 用 開 眼 
T18n0850_002:0070c11	（三七）曩莫三滿多沒馱喃(一)誐誐曩嚩	 三 七 曩 莫 三 滿 多 沒 馱 喃 一 誐 誐 曩 嚩 
T18n0850_002:0070c12	羅落乞叉(二合)儜(二)迦嚕儜摩耶(三)怛他(引)	羅 落 乞 叉 二 合 儜 二 迦 嚕 儜 摩 耶 三 怛 他 引 
T18n0850_002:0070c13	蘖多斫乞芻(二合四)娑嚩(二合)賀(引)	蘖 多 斫 乞 芻 二 合 四 娑 嚩 二 合 賀 引 
T18n0850_002:0070c14	　定慧內成拳　　舒風頭圓合	 定 慧 內 成 拳 舒 風 頭 圓 合 
T18n0850_002:0070c15	　此勝願索印　　壞諸造惡者	 此 勝 願 索 印 壞 諸 造 惡 者 
T18n0850_002:0070c16	　真言者結之　　能縛諸不善	 真 言 者 結 之 能 縛 諸 不 善 
T18n0850_002:0070c17	真言曰	真 言 曰 
T18n0850_002:0070c18	（三八）曩莫三滿多沒馱喃(一)係係摩訶	 三 八 曩 莫 三 滿 多 沒 馱 喃 一 係 係 摩 訶 
T18n0850_002:0070c19	(引)播奢(二)鉢羅(二合)娑勞涅哩野(二合三)薩埵馱	 引 播 奢 二 鉢 羅 二 合 娑 勞 涅 哩 野 二 合 三 薩 埵 馱 
T18n0850_002:0070c20	睹(四)尾模訶迦(五)怛他(引)蘖多(引)地目乞底(二	睹 四 尾 模 訶 迦 五 怛 他 引 蘖 多 引 地 目 乞 底 二 
T18n0850_002:0070c21	合)儞(入)佐多(六)娑嚩(二合)賀(引)	合 儞 入 佐 多 六 娑 嚩 二 合 賀 引 
T18n0850_002:0070c22	　定慧合成拳　　慧風屈如鉤	 定 慧 合 成 拳 慧 風 屈 如 鉤 
T18n0850_002:0070c23	　即此名鉤印　　諸佛救世者	 即 此 名 鉤 印 諸 佛 救 世 者 
T18n0850_002:0071a01	　召集於一切　　住於十地位	 召 集 於 一 切 住 於 十 地 位 
T18n0850_002:0071a02	　菩提大心者　　及惡思眾生	 菩 提 大 心 者 及 惡 思 眾 生 
T18n0850_002:0071a03	　隨召皆赴集真言曰	 隨 召 皆 赴 集 真 言 曰 
T18n0850_002:0071a04	（三九）曩莫三滿多沒馱喃(一)阿(去急呼)薩嚩	 三 九 曩 莫 三 滿 多 沒 馱 喃 一 阿 去 急 呼 薩 嚩 
T18n0850_002:0071a05	怛囉(二合引)鉢囉(二合)底(丁以反)訶帝(二)怛他(引)蘖黨	怛 囉 二 合 引 鉢 囉 二 合 底 丁 以 反 訶 帝 二 怛 他 引 蘖 黨 
T18n0850_002:0071a06	矩奢(三)冒地折哩耶(二合)跛哩布羅迦(四)娑嚩	矩 奢 三 冒 地 折 哩 耶 二 合 跛 哩 布 羅 迦 四 娑 嚩 
T18n0850_002:0071a07	(二合)賀(引)	 二 合 賀 引 
T18n0850_002:0071a08	　前印申火屈　　火風並如鉤	 前 印 申 火 屈 火 風 並 如 鉤 
T18n0850_002:0071a09	　是名如來心真言曰	 是 名 如 來 心 真 言 曰 
T18n0850_002:0071a10	（四〇）曩莫三滿多沒馱喃(一)枳壤怒納婆(二合)	 四 〇 曩 莫 三 滿 多 沒 馱 喃 一 枳 壤 怒 納 婆 二 合 
T18n0850_002:0071a11	嚩(二)娑嚩(二合)賀(引)	嚩 二 娑 嚩 二 合 賀 引 
T18n0850_002:0071a12	　前拳收火風　　申水如來臍	 前 拳 收 火 風 申 水 如 來 臍 
T18n0850_002:0071a13	　即前風火水　　舒散如來腰	 即 前 風 火 水 舒 散 如 來 腰 
T18n0850_002:0071a14	　二印各持明彼二真言曰	 二 印 各 持 明 彼 二 真 言 曰 
T18n0850_002:0071a15	(腰或內縛拳二水竝申合)如來臍真言	 腰 或 內 縛 拳 二 水 竝 申 合 如 來 臍 真 言 
T18n0850_002:0071a16	（四一）曩莫三滿多沒馱喃(一)阿沒哩(二合)都納	 四 一 曩 莫 三 滿 多 沒 馱 喃 一 阿 沒 哩 二 合 都 納 
T18n0850_002:0071a17	婆(二合)嚩(二)娑嚩(二合)賀(引)	婆 二 合 嚩 二 娑 嚩 二 合 賀 引 
T18n0850_002:0071a18	如來腰真言	如 來 腰 真 言 
T18n0850_002:0071a19	（四二）曩莫三滿多沒馱喃(一)怛他(引)蘖多三	 四 二 曩 莫 三 滿 多 沒 馱 喃 一 怛 他 引 蘖 多 三 
T18n0850_002:0071a20	婆嚩(二)娑嚩(二合)賀(引)	婆 嚩 二 娑 嚩 二 合 賀 引 
T18n0850_002:0071a21	　定慧虛心合　　風水屈入內	 定 慧 虛 心 合 風 水 屈 入 內 
T18n0850_002:0071a22	　火合空亦然　　地合令少屈	 火 合 空 亦 然 地 合 令 少 屈 
T18n0850_002:0071a23	　此名如來藏真言曰	 此 名 如 來 藏 真 言 曰 
T18n0850_002:0071a24	（四三）曩莫薩嚩怛他(引)蘖帝毘也(二合一)[口*藍][口*藍]	 四 三 曩 莫 薩 嚩 怛 他 引 蘖 帝 毘 也 二 合 一 [口藍][口藍] 
T18n0850_002:0071a25	[口*落][口*落](二)娑嚩(二合)賀(引)	[口落][口落] 二 娑 嚩 二 合 賀 引 
T18n0850_002:0071a26	　前印散舒水　　即名大結界	 前 印 散 舒 水 即 名 大 結 界 
T18n0850_002:0071a27	　次無堪忍印　　大力大護者	 次 無 堪 忍 印 大 力 大 護 者 
T18n0850_002:0071a28	　即以前印相　　火鉤頭屈合	 即 以 前 印 相 火 鉤 頭 屈 合 
T18n0850_002:0071a29	　舒風餘同前二印真言曰	 舒 風 餘 同 前 二 印 真 言 曰 
T18n0850_002:0071b01	（四四）曩莫三滿多沒馱喃(一)麗嚕補哩尾矩	 四 四 曩 莫 三 滿 多 沒 馱 喃 一 麗 嚕 補 哩 尾 矩 
T18n0850_002:0071b02	哩尾矩麗(二)娑嚩(二合)賀(引)	哩 尾 矩 麗 二 娑 嚩 二 合 賀 引 
T18n0850_002:0071b03	　無堪忍大護真言曰	 無 堪 忍 大 護 真 言 曰 
T18n0850_002:0071b04	（四五）曩莫薩嚩怛他(引)蘖帝弊(毘耶反下同一)薩嚩	 四 五 曩 莫 薩 嚩 怛 他 引 蘖 帝 弊 毘 耶 反 下 同 一 薩 嚩 
T18n0850_002:0071b05	佩也尾(引)蘖帝弊(二)尾濕嚩(二合)目契弊(三)薩	佩 也 尾 引 蘖 帝 弊 二 尾 濕 嚩 二 合 目 契 弊 三 薩 
T18n0850_002:0071b06	嚩他(引四)唅欠(五)囉(入)乞叉(二合)摩訶(引)摩	嚩 他 引 四 唅 欠 五 囉 入 乞 叉 二 合 摩 訶 引 摩 
T18n0850_002:0071b07	麗(六)薩嚩怛他(引)蘖多奔抳也(二合)涅(入)佐帝	麗 六 薩 嚩 怛 他 引 蘖 多 奔 抳 也 二 合 涅 入 佐 帝 
T18n0850_002:0071b08	(七)吽吽(八)怛囉(二合)吒怛囉(二合)吒(九)阿	 七 吽 吽 八 怛 囉 二 合 吒 怛 囉 二 合 吒 九 阿 
T18n0850_002:0071b09	鉢囉底(丁以反)訶帝(十)娑嚩(二合)賀(引)	鉢 囉 底 丁 以 反 訶 帝 十 娑 嚩 二 合 賀 引 
T18n0850_002:0071b10	　次明普光印　　準前空入月	 次 明 普 光 印 準 前 空 入 月 
T18n0850_002:0071b11	　風開如放光	 風 開 如 放 光 
T18n0850_002:0071b12	　又以空心合　　二風持火側	 又 以 空 心 合 二 風 持 火 側 
T18n0850_002:0071b13	　名如來甲印	 名 如 來 甲 印 
T18n0850_002:0071b14	　次明爾賀嚩　　準前如來甲	 次 明 爾 賀 嚩 準 前 如 來 甲 
T18n0850_002:0071b15	　空押二水甲　　爾賀嚩觸印	 空 押 二 水 甲 爾 賀 嚩 觸 印 
T18n0850_002:0071b16	　并觸習真言　　語門虛心合	 并 觸 習 真 言 語 門 虛 心 合 
T18n0850_002:0071b17	　風水屈相捻　　二空竝少屈	 風 水 屈 相 捻 二 空 竝 少 屈 
T18n0850_002:0071b18	　地火令成峯　　或云地水屈	 地 火 令 成 峯 或 云 地 水 屈 
T18n0850_002:0071b19	　風火令如峯　　二空開附彼	 風 火 令 如 峯 二 空 開 附 彼 
T18n0850_002:0071b20	　五印四真言彼彼真言曰	 五 印 四 真 言 彼 彼 真 言 曰 
T18n0850_002:0071b21	　普光	 普 光 
T18n0850_002:0071b22	（四六）曩莫三滿多沒馱喃(一)入嚩(二合引)攞(引)摩	 四 六 曩 莫 三 滿 多 沒 馱 喃 一 入 嚩 二 合 引 攞 引 摩 
T18n0850_002:0071b23	里儞(二)怛他(引)蘖多[口*栗]旨(二合二)娑嚩(二合)賀(引)	里 儞 二 怛 他 引 蘖 多 [口栗] 旨 二 合 二 娑 嚩 二 合 賀 引 
T18n0850_002:0071b24	　如來甲	 如 來 甲 
T18n0850_002:0071b25	（四七）曩莫三滿多沒馱喃(一)鉢囉(二合)戰拏	 四 七 曩 莫 三 滿 多 沒 馱 喃 一 鉢 囉 二 合 戰 拏 
T18n0850_002:0071b26	(二)嚩日羅(二合)入嚩(二合)攞野(三)尾薩怖(二合)	 二 嚩 日 羅 二 合 入 嚩 二 合 攞 野 三 尾 薩 怖 二 合 
T18n0850_002:0071b27	羅吽(四)	羅 吽 四 
T18n0850_002:0071b28	　如來舌	 如 來 舌 
T18n0850_002:0071b29	（四八）曩莫三滿多沒馱喃(一)怛他(引)蘖多爾	 四 八 曩 莫 三 滿 多 沒 馱 喃 一 怛 他 引 蘖 多 爾 
T18n0850_002:0071c01	訶嚩(二合二)薩底也(二合)達摩鉢囉(二合)底瑟恥	訶 嚩 二 合 二 薩 底 也 二 合 達 摩 鉢 囉 二 合 底 瑟 恥 
T18n0850_002:0071c02	(二合)多(三)娑嚩(二合)賀(引)	 二 合 多 三 娑 嚩 二 合 賀 引 
T18n0850_002:0071c03	　如來語	 如 來 語 
T18n0850_002:0071c04	（四九）曩莫三滿多沒馱喃(一)怛他(引)蘖多摩	 四 九 曩 莫 三 滿 多 沒 馱 喃 一 怛 他 引 蘖 多 摩 
T18n0850_002:0071c05	訶(引)嚩(無名反)吃怛囉(二合二)尾濕嚩(二合)枳惹	訶 引 嚩 無 名 反 吃 怛 囉 二 合 二 尾 濕 嚩 二 合 枳 惹 
T18n0850_002:0071c06	(二合)曩摩護那也(三)娑嚩(二合)賀(引)	 二 合 曩 摩 護 那 也 三 娑 嚩 二 合 賀 引 
T18n0850_002:0071c07	　次牙同語門　　風屈第三節	 次 牙 同 語 門 風 屈 第 三 節 
T18n0850_002:0071c08	　入掌令相合　　辨說同於牙	 入 掌 令 相 合 辨 說 同 於 牙 
T18n0850_002:0071c09	　風輪移向上　　置火三節上	 風 輪 移 向 上 置 火 三 節 上 
T18n0850_002:0071c10	二印真言曰	二 印 真 言 曰 
T18n0850_002:0071c11	（五〇）曩莫三滿多沒馱喃(一)怛他(引)蘖多能	 五 〇 曩 莫 三 滿 多 沒 馱 喃 一 怛 他 引 蘖 多 能 
T18n0850_002:0071c12	(去)瑟吒囉(二合)娑囉娑釳囉(二合引)(三)參鉢羅	 去 瑟 吒 囉 二 合 娑 囉 娑 釳 囉 二 合 引 三 參 鉢 羅 
T18n0850_002:0071c13	(二合)博迦(四)薩嚩怛他(引)蘖多(五)尾灑也參婆	 二 合 博 迦 四 薩 嚩 怛 他 引 蘖 多 五 尾 灑 也 參 婆 
T18n0850_002:0071c14	(上)嚩(六)娑嚩(二合)賀(引)	 上 嚩 六 娑 嚩 二 合 賀 引 
T18n0850_002:0071c15	　如來辯說	 如 來 辯 說 
T18n0850_002:0071c16	（五一）曩莫三滿多沒馱喃(一)阿振底也(二合)	 五 一 曩 莫 三 滿 多 沒 馱 喃 一 阿 振 底 也 二 合 
T18n0850_002:0071c17	娜部(二合)多(二)路跛嚩(引)三摩哆(上)鉢囉(二	娜 部 二 合 多 二 路 跛 嚩 引 三 摩 哆 上 鉢 囉 二 
T18n0850_002:0071c18	合引)跛多(二合)尾輸(上)馱娑嚩(二合)囉(四)娑嚩(二	合 引 跛 多 二 合 尾 輸 上 馱 娑 嚩 二 合 囉 四 娑 嚩 二 
T18n0850_002:0071c19	合)賀(引)	合 賀 引 
T18n0850_002:0071c20	　次明佛十力　　定慧虛心合	 次 明 佛 十 力 定 慧 虛 心 合 
T18n0850_002:0071c21	　地空屈入掌　　月內節相合	 地 空 屈 入 掌 月 內 節 相 合 
T18n0850_002:0071c22	　念處同十力　　雙屈於空風	 念 處 同 十 力 雙 屈 於 空 風 
T18n0850_002:0071c23	　上節令相合　　次陳開悟印	 上 節 令 相 合 次 陳 開 悟 印 
T18n0850_002:0071c24	　前印空加水　　餘度竝申合	 前 印 空 加 水 餘 度 竝 申 合 
T18n0850_002:0071c25	　普賢如意珠　　虛合風加火	 普 賢 如 意 珠 虛 合 風 加 火 
T18n0850_002:0072a01	　慈氏印同前　　屈風火輪下	 慈 氏 印 同 前 屈 風 火 輪 下 
T18n0850_002:0072a02	五印真言曰	五 印 真 言 曰 
T18n0850_002:0072a03	　如來持十力	 如 來 持 十 力 
T18n0850_002:0072a04	（五二）曩莫三滿多沒馱喃(一)捺奢麼浪伽達囉	 五 二 曩 莫 三 滿 多 沒 馱 喃 一 捺 奢 麼 浪 伽 達 囉 
T18n0850_002:0072a05	(二)吽參髯(三)娑嚩(二合)賀(引)	 二 吽 參 髯 三 娑 嚩 二 合 賀 引 
T18n0850_002:0072a06	　如來念處	 如 來 念 處 
T18n0850_002:0072a07	（五三）曩莫三滿多沒馱喃(一)怛他(引)蘖多娑	 五 三 曩 莫 三 滿 多 沒 馱 喃 一 怛 他 引 蘖 多 娑 
T18n0850_002:0072a08	沒哩(二合)底(一)薩怛嚩(二合)[口*皿]哆弊(毘也反)訥蘖(二	沒 哩 二 合 底 一 薩 怛 嚩 二 合 [口皿] 哆 弊 毘 也 反 訥 蘖 二 
T18n0850_002:0072a09	合)多(三)誐誐曩三(去)摩(引)三摩(四)娑嚩(二合)	合 多 三 誐 誐 曩 三 去 摩 引 三 摩 四 娑 嚩 二 合 
T18n0850_002:0072a10	賀(引)	賀 引 
T18n0850_002:0072a11	　平等開悟	 平 等 開 悟 
T18n0850_002:0072a12	（五四）曩莫三滿多沒馱喃(一)薩嚩達磨三	 五 四 曩 莫 三 滿 多 沒 馱 喃 一 薩 嚩 達 磨 三 
T18n0850_002:0072a13	摩哆鉢囉(二合)鉢多(二合二)怛他(引)蘖哆(引)弩蘖	摩 哆 鉢 囉 二 合 鉢 多 二 合 二 怛 他 引 蘖 哆 引 弩 蘖 
T18n0850_002:0072a14	多(三)娑嚩(二合)賀(引)	多 三 娑 嚩 二 合 賀 引 
T18n0850_002:0072a15	　普賢如意珠	 普 賢 如 意 珠 
T18n0850_002:0072a16	（五五）曩莫三滿多沒馱喃(一)三滿多弩蘖多	 五 五 曩 莫 三 滿 多 沒 馱 喃 一 三 滿 多 弩 蘖 多 
T18n0850_002:0072a17	(二)尾囉惹達摩儞(入)惹多(三)摩訶(引)摩訶(引	 二 尾 囉 惹 達 摩 儞 入 惹 多 三 摩 訶 引 摩 訶 引 
T18n0850_002:0072a18	四)娑嚩(二合)賀(引)	四 娑 嚩 二 合 賀 引 
T18n0850_002:0072a19	　慈氏菩薩	 慈 氏 菩 薩 
T18n0850_002:0072a20	（五六）曩莫三滿多沒馱喃(一)阿爾單惹也(二)薩	 五 六 曩 莫 三 滿 多 沒 馱 喃 一 阿 爾 單 惹 也 二 薩 
T18n0850_002:0072a21	嚩薩怛嚩(二合引)捨夜弩蘖多(三)娑嚩(二合)賀(引)	嚩 薩 怛 嚩 二 合 引 捨 夜 弩 蘖 多 三 娑 嚩 二 合 賀 引 
T18n0850_002:0072a22	　復於彼南方　　救世佛菩薩	 復 於 彼 南 方 救 世 佛 菩 薩 
T18n0850_002:0072a23	　大德聖尊印　　號名滿眾願	 大 德 聖 尊 印 號 名 滿 眾 願 
T18n0850_002:0072a24	　真哆摩尼寶　　住於白蓮上	 真 哆 摩 尼 寶 住 於 白 蓮 上 
T18n0850_002:0072a25	　智拳風住眉　　前二普通印	 智 拳 風 住 眉 前 二 普 通 印 
T18n0850_002:0072a26	彼三真言曰	彼 三 真 言 曰 
T18n0850_002:0072a27	　一切菩薩	 一切菩薩 
T18n0850_002:0072a28	（五七）曩莫三滿多沒馱喃(一)薩嚩他(引二)	 五 七 曩 莫 三 滿 多 沒 馱 喃 一 薩 嚩 他 引 二 
T18n0850_002:0072a29	尾麼底(引三)尾枳囉拏(四)達麼馱覩涅翼	尾 麼 底 引 三 尾 枳 囉 拏 四 達 麼 馱 覩 涅 翼 
T18n0850_002:0072b01	(二合)惹多(五)三三訶(六)娑嚩(二合)賀(引)	 二 合 惹 多 五 三 三 訶 六 娑 嚩 二 合 賀 引 
T18n0850_002:0072b02	　一切諸佛心	 一切諸佛 心 
T18n0850_002:0072b03	（五八）曩莫三滿多沒馱喃(一)薩嚩沒馱冒	 五 八 曩 莫 三 滿 多 沒 馱 喃 一 薩 嚩 沒 馱 冒 
T18n0850_002:0072b04	(上)地薩怛嚩(二合一)紇哩(二合三)娜野(引)捺哩(二合)	 上 地 薩 怛 嚩 二 合 一 紇 哩 二 合 三 娜 野 引 捺 哩 二 合 
T18n0850_002:0072b05	吠捨儞(四)曩莫薩嚩尾禰(五)娑嚩(二合)賀(引)	吠 捨 儞 四 曩 莫 薩 嚩 尾 禰 五 娑 嚩 二 合 賀 引 
T18n0850_002:0072b06	　毫相	 毫 相 
T18n0850_002:0072b07	（五九）曩莫三滿多沒馱喃(一)嚩囉泥(二)嚩	 五 九 曩 莫 三 滿 多 沒 馱 喃 一 嚩 囉 泥 二 嚩 
T18n0850_002:0072b08	嚩鉢囉(二合)波多(二合)吽(三)娑嚩(二合)賀(引)	嚩 鉢 囉 二 合 波 多 二 合 吽 三 娑 嚩 二 合 賀 引 
T18n0850_002:0072b09	　次於其勝方　　蓮華大精進	 次 於 其 勝 方 蓮 華 大 精 進 
T18n0850_002:0072b10	　自在觀世音　　光色如皓月	 自 在 觀 世 音 光 色 如 皓 月 
T18n0850_002:0072b11	　商佉軍那華　　微笑坐白蓮	 商 佉 軍 那 華 微 笑 坐 白 蓮 
T18n0850_002:0072b12	　髻現無量壽　　彼右大名稱	 髻 現 無 量 壽 彼 右 大 名 稱 
T18n0850_002:0072b13	　聖者多羅尊　　青白色相雜	 聖 者 多 羅 尊 青 白 色 相 雜 
T18n0850_002:0072b14	　中年女人狀　　合掌持青蓮	 中 年 女 人 狀 合 掌 持 青 蓮 
T18n0850_002:0072b15	　圓光靡不遍　　暉發猶淨金	 圓 光 靡 不 遍 暉 發 猶 淨 金 
T18n0850_002:0072b16	　微笑鮮白衣	 微 笑 鮮 白 衣 
T18n0850_002:0072b17	　次左毘俱胝　　手垂數珠鬘	 次 左 毘 俱 胝 手 垂 數 珠 鬘 
T18n0850_002:0072b18	　三目持髮髻　　身形如縞素	 三 目 持 髮 髻 身 形 如 縞 素 
T18n0850_002:0072b19	　圓光色無主　　黃赤白相入	 圓 光 色 無 主 黃 赤 白 相 入 
T18n0850_002:0072b20	　次得大勢至　　被服商佉色	 次 得 大 勢 至 被 服 商 佉 色 
T18n0850_002:0072b21	　大悲蓮華手　　滋榮而未敷	 大 悲 蓮 華 手 滋 榮 而 未 敷 
T18n0850_002:0072b22	　圍繞以圓光	 圍 繞 以 圓 光 
T18n0850_002:0072b23	　明妃住其側　　號持名稱者	 明 妃 住 其 側 號 持 名 稱 者 
T18n0850_002:0072b24	　一切妙瓔珞　　莊嚴金色身	 一 切 妙 瓔 珞 莊 嚴 金 色 身 
T18n0850_002:0072b25	　執鮮妙華枝　　左持鉢胤遇	 執 鮮 妙 華 枝 左 持 鉢 胤 遇 
T18n0850_002:0072b26	　次近聖多羅　　當觀白處尊	 次 近 聖 多 羅 當 觀 白 處 尊 
T18n0850_002:0072b27	　髮冠襲純白　　鉢曇麼華手	 髮 冠 襲 純 白 鉢 曇 麼 華 手 
T18n0850_002:0072b28	　於聖者前作　　大力持明王	 於 聖 者 前 作 大 力 持 明 王 
T18n0850_002:0072b29	　晨朝日暉色　　白蓮以嚴身	 晨 朝 日 暉 色 白 蓮 以 嚴 身 
T18n0850_002:0072c01	　赫奕成焰鬘　　吼怒牙出現	 赫 奕 成 焰 鬘 吼 怒 牙 出 現 
T18n0850_002:0072c02	　利爪獸王髻　　賀野吃哩嚩(入)	 利 爪 獸 王 髻 賀 野 吃 哩 嚩 入 
T18n0850_002:0072c03	　身相之儀軌	 身 相 之 儀 軌 
T18n0850_002:0072c04	　大精進眷屬　　八密次當陳	 大 精 進 眷 屬 八 密 次 當 陳 
T18n0850_002:0072c05	　十度仰開敷　　地空自相竝	 十 度 仰 開 敷 地 空 自 相 竝 
T18n0850_002:0072c06	　多羅內叉拳　　風針空前附	 多 羅 內 叉 拳 風 針 空 前 附 
T18n0850_002:0072c07	　毘俱胝風交　　大勢福智合	 毘 俱 胝 風 交 大 勢 福 智 合 
T18n0850_002:0072c08	　猶如蓮未開　　白處同前印	 猶 如 蓮 未 開 白 處 同 前 印 
T18n0850_002:0072c09	　移空水入月　　馬頭即前印	 移 空 水 入 月 馬 頭 即 前 印 
T18n0850_002:0072c10	　屈風空輪下　　相去如穬麥	 屈 風 空 輪 下 相 去 如 穬 麥 
T18n0850_002:0072c11	　名稱奢摩他　　上舉風輪屈	 名 稱 奢 摩 他 上 舉 風 輪 屈 
T18n0850_002:0072c12	　地藏同馬頭　　申水風餘拳	 地 藏 同 馬 頭 申 水 風 餘 拳 
T18n0850_002:0072c13	　彼彼真言曰	 彼 彼 真 言 曰 
T18n0850_002:0072c14	　觀音蓮華部上首	 觀 音 蓮 華 部 上 首 
T18n0850_002:0072c15	（六〇）曩莫三滿多沒馱喃(一)薩嚩怛他(引)蘖	 六 〇 曩 莫 三 滿 多 沒 馱 喃 一 薩 嚩 怛 他 引 蘖 
T18n0850_002:0072c16	多嚩路枳多(二)羯嚕儜摩野(三)羅羅羅吽惹	多 嚩 路 枳 多 二 羯 嚕 儜 摩 野 三 羅 羅 羅 吽 惹 
T18n0850_002:0072c17	(四)娑嚩(二合)賀	 四 娑 嚩 二 合 賀 
T18n0850_002:0072c18	　多羅尊	 多 羅 尊 
T18n0850_002:0072c19	（六一）曩莫三滿多沒馱喃(一)多[口*(隸木+匕)]多[口*(隸木+匕)]抳	 六 一 曩 莫 三 滿 多 沒 馱 喃 一 多 [口隸木匕]多[口隸木匕] 抳 
T18n0850_002:0072c20	(二)迦嚕拏納婆(二合)吠(三)娑嚩(二合)賀	 二 迦 嚕 拏 納 婆 二 合 吠 三 娑 嚩 二 合 賀 
T18n0850_002:0072c21	　毘俱胝	 毘 俱 胝 
T18n0850_002:0072c22	（六二）曩莫三滿多沒馱喃(一)薩嚩婆野怛	 六 二 曩 莫 三 滿 多 沒 馱 喃 一 薩 嚩 婆 野 怛 
T18n0850_002:0073a01	羅(二合)散儞(入)(二)吽娑頗(二合)吒野(三)娑嚩(二	羅 二 合 散 儞 入 二 吽 娑 頗 二 合 吒 野 三 娑 嚩 二 
T18n0850_002:0073a02	合)賀	合 賀 
T18n0850_002:0073a03	　得大勢至	 得 大 勢 至 
T18n0850_002:0073a04	（六三）曩莫三滿多沒馱喃(一)三參賀(引二)薩	 六 三 曩 莫 三 滿 多 沒 馱 喃 一 三 參 賀 引 二 薩 
T18n0850_002:0073a05	他(二合)麼鉢囉(二合)跛多(二合三)髯髯娑(急音索四)娑	他 二 合 麼 鉢 囉 二 合 跛 多 二 合 三 髯 髯 娑 急 音 索 四 娑 
T18n0850_002:0073a06	嚩(二合)賀	嚩 二 合 賀 
T18n0850_002:0073a07	　耶輸多羅	 耶 輸 多 羅 
T18n0850_002:0073a08	（六四）曩莫三滿多沒馱喃(一)琰野戍馱囉	 六 四 曩 莫 三 滿 多 沒 馱 喃 一 琰 野 戍 馱 囉 
T18n0850_002:0073a09	野(二)娑嚩(二合)賀	野 二 娑 嚩 二 合 賀 
T18n0850_002:0073a10	　白處尊	 白 處 尊 
T18n0850_002:0073a11	（六五）曩莫三滿多沒馱喃(一)怛他蘖多尾灑	 六 五 曩 莫 三 滿 多 沒 馱 喃 一 怛 他 蘖 多 尾 灑 
T18n0850_002:0073a12	野(二)三婆吠(三)鉢娜麼(二合)摩履儞(入四)	野 二 三 婆 吠 三 鉢 娜 麼 二 合 摩 履 儞 入 四 
T18n0850_002:0073a13	娑嚩(二合)賀	娑 嚩 二 合 賀 
T18n0850_002:0073a14	　何耶揭利婆	 何 耶 揭 利 婆 
T18n0850_002:0073a15	（六六）曩莫三滿多沒馱喃(一)吽佉曩野畔惹	 六 六 曩 莫 三 滿 多 沒 馱 喃 一 吽 佉 曩 野 畔 惹 
T18n0850_002:0073a16	(二)娑頗(二合)吒野(三)娑嚩(二合)賀	 二 娑 頗 二 合 吒 野 三 娑 嚩 二 合 賀 
T18n0850_002:0073a17	　地藏	 地 藏 
T18n0850_002:0073a18	（六七）曩莫三滿多沒馱喃(一)賀賀賀素(上)怛	 六 七 曩 莫 三 滿 多 沒 馱 喃 一 賀 賀 賀 素 上 怛 
T18n0850_002:0073a19	弩(二)娑嚩(二合)賀	弩 二 娑 嚩 二 合 賀 
T18n0850_002:0073a20	　已說初界域　　諸尊方位竟	 已 說 初 界 域 諸 尊 方 位 竟 
T18n0850_002:0073a21	　大心摩訶薩　　應往第三院	 大 心 摩 訶 薩 應 往 第 三 院 
