T08n0227_001:0536c15	小品經序	小 品 經 序 
T08n0227_002:0542c11	人於法、於僧得不壞信？」釋提桓因言：「少所人	人 於 法 於 僧 得 不 壞 信 釋提桓因 言 少 所 人 
T08n0227_002:0542c12	於佛得不壞信，於法、於僧得不壞信。世尊！閻	於 佛 得 不 壞 信 於 法 於 僧 得 不 壞 信 世 尊 閻 
T08n0227_002:0542c13	浮提少所人得須陀洹、斯陀含、阿那含、阿羅	浮 提 少 所 人 得 須 陀 洹 斯 陀 含 阿 那 含 阿 羅 
T08n0227_002:0542c14	漢。得辟支佛者，轉復減少。能行菩薩道者，亦	漢 得 辟 支 佛 者 轉 復 減 少 能 行菩薩道 者 亦 
T08n0227_002:0542c15	復轉少。」「如是，如是！憍尸迦！閻浮提少所人於	復 轉 少 如 是 如 是 憍 尸 迦 閻 浮 提 少 所 人 於 
T08n0227_002:0542c16	佛得不壞信，乃至能發阿耨多羅三藐三菩提	佛 得 不 壞 信 乃 至 能 發 阿耨多羅三藐三菩提 
T08n0227_002:0542c17	心，行菩薩道者，亦復轉少。憍尸迦！無量無邊	心 行菩薩道 者 亦 復 轉 少 憍 尸 迦 無量無邊 
T08n0227_002:0542c18	阿僧祇眾生，發阿耨多羅三藐三菩提心，於	阿 僧 祇 眾 生 發 阿耨多羅三藐三菩提 心 於 
T08n0227_002:0542c19	中若一若二住阿毘跋致地。是故當知，善男	中 若 一 若 二 住 阿毘跋致地 是故當知 善 男 
T08n0227_002:0542c20	子、善女人，發阿耨多羅三藐三菩提心，乃	子 善 女 人 發 阿耨多羅三藐三菩提 心 乃 
T08n0227_002:0542c21	至能受持讀誦、供養恭敬、尊重讚歎般若波羅	至 能 受持讀誦 供養恭敬 尊 重 讚 歎 般 若 波 羅 
T08n0227_002:0542c22	蜜。何以故？是人作是念：『過去諸佛行菩薩道	蜜 何 以 故 是 人 作 是 念 過去諸佛 行菩薩道 
T08n0227_002:0542c23	時從是中學，我等亦應於是中學。般若波羅	時 從 是 中 學 我 等 亦 應 於 是 中 學 般 若 波 羅 
T08n0227_002:0542c24	蜜是我大師。』「憍尸迦！若我現在，若我滅後，菩	蜜 是 我 大 師 憍 尸 迦 若 我 現 在 若 我 滅 後 菩 
T08n0227_002:0542c25	薩常應依止般若波羅蜜。若善男子、善女人，	薩 常 應 依 止 般 若 波 羅 蜜 若 善 男 子 善 女 人 
T08n0227_002:0542c26	於我滅後，以供養如來故，起七寶塔；盡其形	於 我 滅 後 以 供養如來 故 起 七 寶 塔 盡 其 形 
T08n0227_002:0542c27	壽，以好花香、塗香、末香、衣服、幢幡，供養是塔。	壽 以 好 花 香 塗 香 末 香 衣 服 幢 幡 供 養 是 塔 
T08n0227_002:0542c28	於意云何？是善男子、善女人，以是因緣故，得	於意云何 是 善 男 子 善 女 人 以是因緣 故 得 
T08n0227_002:0542c29	福多不？」釋提桓因言：「甚多，世尊！」佛言：「憍尸迦！	福 多 不 釋提桓因 言 甚 多 世 尊 佛 言 憍 尸 迦 
T08n0227_002:0543a01	若善男子、善女人，供養般若波羅蜜經卷，恭	若 善 男 子 善 女 人 供 養 般若波羅蜜經 卷 恭 
T08n0227_002:0543a02	敬尊重讚歎，以好華香、塗香、末香、衣服、幢幡，	敬 尊 重 讚 歎 以 好 華 香 塗 香 末 香 衣 服 幢 幡 
T08n0227_002:0543a03	而以供養，其福甚多。「憍尸迦！置是一塔，若滿	而 以 供 養 其 福 甚 多 憍 尸 迦 置 是 一 塔 若 滿 
T08n0227_002:0543a04	閻浮提七寶塔，善男子、善女人，盡其形壽，以好	閻 浮 提 七 寶 塔 善 男 子 善 女 人 盡 其 形 壽 以 好 
T08n0227_002:0543a05	華香乃至伎樂，供養是塔。於意云何？是人以	華 香 乃 至 伎 樂 供 養 是 塔 於意云何 是 人 以 
T08n0227_002:0543a06	是因緣故，得福多不？」釋提桓因言：「甚多，世尊！」	是 因 緣 故 得 福 多 不 釋提桓因 言 甚 多 世 尊 
T08n0227_002:0543a07	佛告憍尸迦：「若善男子、善女人，供養般若波	佛 告 憍 尸 迦 若 善 男 子 善 女 人 供 養 般 若 波 
T08n0227_002:0543a08	羅蜜經卷，恭敬尊重讚歎，以好華香、塗香、末	羅 蜜 經 卷 恭 敬 尊 重 讚 歎 以 好 華 香 塗 香 末 
T08n0227_002:0543a09	香、衣服、幢幡，其福甚多。「憍尸迦！置是滿閻浮	香 衣 服 幢 幡 其 福 甚 多 憍 尸 迦 置 是 滿 閻 浮 
T08n0227_002:0543a10	提七寶塔，若滿四天下七寶塔，若人盡形壽，	提 七 寶 塔 若 滿 四 天 下 七 寶 塔 若 人 盡 形 壽 
T08n0227_002:0543a11	以花香供養，乃至伎樂。若復有人供養般若	以 花 香 供 養 乃 至 伎 樂 若 復 有 人 供 養 般 若 
T08n0227_002:0543a12	波羅蜜，其福甚多。憍尸迦！置是滿四天下七	波 羅 蜜 其 福 甚 多 憍 尸 迦 置 是 滿 四 天 下 七 
T08n0227_002:0543a13	寶塔，若滿周梨迦小千世界七寶塔，若人盡	寶 塔 若 滿 周 梨 迦 小千世界 七 寶 塔 若 人 盡 
T08n0227_002:0543a14	形，以好華香供養，乃至幢幡。若復有人供養	形 以 好 華 香 供 養 乃 至 幢 幡 若 復 有 人 供 養 
T08n0227_002:0543a15	般若波羅蜜，其福甚多。憍尸迦！置是周梨迦	般 若 波 羅 蜜 其 福 甚 多 憍 尸 迦 置 是 周 梨 迦 
T08n0227_002:0543a16	小千世界七寶塔，若滿二千中世界七寶塔，	小千世界 七 寶 塔 若 滿 二 千 中 世 界 七 寶 塔 
T08n0227_002:0543a17	若人盡形，以花香供養，乃至幢幡。若復有人	若 人 盡 形 以 花 香 供 養 乃 至 幢 幡 若 復 有 人 
T08n0227_002:0543a18	供養般若波羅蜜，其福甚多。憍尸迦！置是二	供 養 般 若 波 羅 蜜 其 福 甚 多 憍 尸 迦 置 是 二 
T08n0227_002:0543a19	千中世界，若滿三千大千世界七寶塔，若善	千 中 世 界 若 滿 三千大千世界 七 寶 塔 若 善 
T08n0227_002:0543a20	男子、善女人，盡其形壽，以花香供養，乃至幢	男 子 善 女 人 盡 其 形 壽 以 花 香 供 養 乃 至 幢 
T08n0227_002:0543a21	幡。憍尸迦！於意云何？是人以是因緣故，得福	幡 憍 尸 迦 於意云何 是 人 以是因緣 故 得 福 
T08n0227_002:0543a22	多不？」釋提桓因言：「甚多，世尊！」佛告憍尸迦：「若	多 不 釋提桓因 言 甚 多 世 尊 佛 告 憍 尸 迦 若 
T08n0227_002:0543a23	復有人供養般若波羅蜜經卷，恭敬尊重讚	復 有 人 供 養 般若波羅蜜經 卷 恭 敬 尊 重 讚 
T08n0227_002:0543a24	歎，花香乃至幢幡，其福甚多。「憍尸迦！置是滿	歎 花 香 乃 至 幢 幡 其 福 甚 多 憍 尸 迦 置 是 滿 
T08n0227_002:0543a25	三千大千世界七寶塔，假令三千大千世界	三千大千世界 七 寶 塔 假 令 三千大千世界 
T08n0227_002:0543a26	所有眾生，一時皆得人身，是一一人起七寶	所 有 眾 生 一 時 皆 得 人 身 是 一 一 人 起 七 寶 
T08n0227_002:0543a27	塔，盡其形壽，以一切好華、名香、幢幡、伎樂、歌	塔 盡 其 形 壽 以 一 切 好 華 名 香 幢 幡 伎 樂 歌 
T08n0227_002:0543a28	舞，供養是塔。憍尸迦！於意云何？是人以是因	舞 供 養 是 塔 憍 尸 迦 於意云何 是 人 以 是 因 
T08n0227_002:0543a29	緣故，得福多不？」「甚多，世尊！」佛告憍尸迦：「若	緣 故 得 福 多 不 甚 多 世 尊 佛 告 憍 尸 迦 若 
T08n0227_002:0543b01	善男子、善女人，供養般若波羅蜜經卷，恭敬	善 男 子 善 女 人 供 養 般若波羅蜜經 卷 恭 敬 
T08n0227_002:0543b02	尊重讚歎，花香乃至幢幡，其福甚多。」釋提	尊 重 讚 歎 花 香 乃 至 幢 幡 其 福 甚 多 釋 提 
T08n0227_002:0543b03	桓因言：「如是，如是！世尊！若人供養般若波羅	桓 因 言 如 是 如 是 世 尊 若 人 供 養 般 若 波 羅 
T08n0227_002:0543b04	蜜，即是供養恭敬過去、未來、現在諸佛薩婆	蜜 即 是 供養恭敬 過 去 未 來 現在諸佛 薩 婆 
T08n0227_002:0543b05	若。世尊！置是三千大千世界，一一眾生所起	若 世 尊 置 是 三千大千世界 一 一 眾 生 所 起 
T08n0227_002:0543b06	七寶塔，若滿十方恒河沙等世界眾生，皆得	七 寶 塔 若 滿 十 方 恒 河 沙 等 世 界 眾 生 皆 得 
T08n0227_002:0543b07	人身，一一人起七寶塔，若於一劫，若減一劫，	人 身 一 一 人 起 七 寶 塔 若 於 一 劫 若 減 一 劫 
T08n0227_002:0543b08	以好華香乃至伎樂，供養是塔。若復有人供	以 好 華 香 乃 至 伎 樂 供 養 是 塔 若 復 有 人 供 
T08n0227_002:0543b09	養般若波羅蜜經卷，恭敬尊重讚歎，華香乃	養 般若波羅蜜經 卷 恭 敬 尊 重 讚 歎 華 香 乃 
T08n0227_002:0543b10	至伎樂，其福甚多。」佛言：「如是，如是！憍尸迦！	至 伎 樂 其 福 甚 多 佛 言 如 是 如 是 憍 尸 迦 
T08n0227_002:0543b11	是善男子、善女人，以是供養般若波羅蜜經	是 善 男 子 善 女 人 以 是 供 養 般若波羅蜜經 
T08n0227_002:0543b12	卷因緣故，其福甚多，無量無邊，不可得數，不	卷 因 緣 故 其 福 甚 多 無量無邊 不 可 得 數 不 
T08n0227_002:0543b13	可思議。何以故？憍尸迦！一切諸佛薩婆若智	可 思 議 何 以 故 憍 尸 迦 一切諸佛 薩 婆 若 智 
T08n0227_002:0543b14	皆從般若波羅蜜生。憍尸迦！以是因緣故，若	皆 從 般 若 波 羅 蜜 生 憍 尸 迦 以是因緣 故 若 
T08n0227_002:0543b15	善男子、善女人，供養般若波羅蜜經卷，恭敬	善 男 子 善 女 人 供 養 般若波羅蜜經 卷 恭 敬 
T08n0227_002:0543b16	尊重讚歎，華香乃至伎樂供養，於前功德，百	尊 重 讚 歎 華 香 乃 至 伎 樂 供 養 於 前 功 德 百 
T08n0227_002:0543b17	分不及一，分千分萬分、百千萬億分不及一，	分 不 及 一 分 千 分 萬 分 百 千萬億分 不 及 一 
T08n0227_002:0543b18	乃至算數譬喻所不能及。」	乃 至 算 數 譬 喻 所 不 能 及 
T08n0227_002:0543b19	摩訶般若波羅蜜明呪品第四	摩訶般若波羅蜜 明 呪 品 第 四 
T08n0227_002:0543b20	爾時釋提桓因與四萬天子在會中者，語釋	爾 時 釋提桓因 與 四 萬 天 子 在 會 中 者 語 釋 
T08n0227_002:0543b21	提桓因言：「憍尸迦！應受持讀誦般若波羅蜜。」	提 桓 因 言 憍 尸 迦 應 受持讀誦 般 若 波 羅 蜜 
T08n0227_002:0543b22	佛告釋提桓因：「憍尸迦！汝受持讀誦般若波	佛 告 釋提桓因 憍 尸 迦 汝 受持讀誦 般 若 波 
T08n0227_002:0543b23	羅蜜，若阿修羅生念：『欲與忉利諸天共鬪。』爾	羅 蜜 若 阿 修 羅 生 念 欲 與 忉 利 諸 天 共 鬪 爾 
T08n0227_002:0543b24	時汝當誦念般若波羅蜜。以是因緣故，阿修	時 汝 當 誦 念 般 若 波 羅 蜜 以是因緣 故 阿 修 
T08n0227_002:0543b25	羅惡心即滅。」釋提桓因白佛言：「世尊！般若波	羅 惡 心 即 滅 釋提桓因 白 佛 言 世 尊 般 若 波 
T08n0227_002:0543b26	羅蜜是大明呪，般若波羅蜜是無上呪，般若	羅 蜜 是 大 明 呪 般 若 波 羅 蜜 是 無 上 呪 般 若 
T08n0227_002:0543b27	波羅蜜是無等等呪。」佛言：「如是，如是！憍尸迦！	波 羅 蜜 是 無 等 等 呪 佛 言 如 是 如 是 憍 尸 迦 
T08n0227_002:0543b28	般若波羅蜜是大明呪，般若波羅蜜是無上	般 若 波 羅 蜜 是 大 明 呪 般 若 波 羅 蜜 是 無 上 
T08n0227_002:0543b29	呪，般若波羅蜜是無等等呪。何以故？憍尸迦！	呪 般 若 波 羅 蜜 是 無 等 等 呪 何 以 故 憍 尸 迦 
T08n0227_002:0543c01	過去諸佛，因是明呪，得阿耨多羅三藐三菩提。	過去諸佛 因 是 明 呪 得阿耨多羅三藐三菩提 
T08n0227_002:0543c02	未來諸佛，亦因是呪，當得阿耨多羅三藐三菩	未來諸佛 亦 因 是 呪 當 得 阿 耨 多 羅 三 藐 三 菩 
T08n0227_002:0543c03	提。今十方現在諸佛，亦因是呪，得阿耨多羅	提 今 十 方 現在諸佛 亦 因 是 呪 得 阿 耨 多 羅 
T08n0227_002:0543c04	三藐三菩提。「憍尸迦！因是明呪，十善道出現於	三藐三菩提 憍 尸 迦 因 是 明 呪 十 善 道 出 現 於 
T08n0227_002:0543c05	世，四禪、四無量心、四無色定、五神通出現於	世 四 禪 四無量心 四無色定 五 神 通 出 現 於 
T08n0227_002:0543c06	世。因菩薩故，十善道出現於世，四禪、四無量	世 因 菩 薩 故 十 善 道 出 現 於 世 四 禪 四 無 量 
T08n0227_002:0543c07	心、四無色定、五神通出現於世。若諸佛不出	心 四無色定 五 神 通 出 現 於 世 若 諸 佛 不 出 
T08n0227_002:0543c08	於世，但因菩薩故，十善道、四禪、四無量心、四	於 世 但 因 菩 薩 故 十 善 道 四 禪 四無量心 四 
T08n0227_002:0543c09	無色定、五神通出現於世。譬如月不出時，星	無 色 定 五 神 通 出 現 於 世 譬 如 月 不 出 時 星 
T08n0227_002:0543c10	宿光明，照於世間。如是，憍尸迦！世無佛時，	宿 光 明 照 於 世 間 如 是 憍 尸 迦 世 無 佛 時 
T08n0227_002:0543c11	所有善行正行，皆從菩薩出生。菩薩方便力，	所 有 善 行 正 行 皆 從 菩 薩 出 生 菩 薩 方 便 力 
T08n0227_002:0543c12	皆從般若波羅蜜生。「復次，憍尸迦！若善男子、	皆 從 般 若 波 羅 蜜 生 復 次 憍 尸 迦 若 善 男 子 
T08n0227_002:0543c13	善女人，供養般若波羅蜜經卷，恭敬尊重讚	善 女 人 供 養 般若波羅蜜經 卷 恭 敬 尊 重 讚 
T08n0227_002:0543c14	歎，得是現世福德。」釋提桓因白佛言：「世尊！得	歎 得 是 現 世 福 德 釋提桓因 白 佛 言 世 尊 得 
T08n0227_002:0543c15	何等現世福德？」「憍尸迦！是善男子、善女人，毒	何 等 現 世 福 德 憍 尸 迦 是 善 男 子 善 女 人 毒 
T08n0227_002:0543c16	不能傷，火不能燒，終不橫死。又善男子、善女	不 能 傷 火 不 能 燒 終 不 橫 死 又 善 男 子 善 女 
T08n0227_002:0543c17	人，若官事起，誦念般若波羅蜜，官事即滅，諸	人 若 官 事 起 誦 念 般 若 波 羅 蜜 官 事 即 滅 諸 
T08n0227_002:0543c18	求短者皆不得便。何以故？般若波羅蜜所護	求 短 者 皆 不 得 便 何 以 故 般 若 波 羅 蜜 所 護 
T08n0227_002:0543c19	故。「復次，憍尸迦！善男子、善女人，誦念般若波	故 復 次 憍 尸 迦 善 男 子 善 女 人 誦 念 般 若 波 
T08n0227_002:0543c20	羅蜜，若至國王，若王子大臣所，皆歡喜問訊，	羅 蜜 若 至 國 王 若 王子大臣 所 皆 歡 喜 問 訊 
T08n0227_002:0543c21	與共語言。何以故？憍尸迦！般若波羅蜜為慈	與 共 語 言 何 以 故 憍 尸 迦 般 若 波 羅 蜜 為 慈 
T08n0227_002:0543c22	悲一切眾生故出。是故，憍尸迦！諸求短者，皆	悲 一 切 眾 生 故 出 是 故 憍 尸 迦 諸 求 短 者 皆 
T08n0227_002:0543c23	不得便。」爾時外道出家百人，欲求佛短，來向	不 得 便 爾 時 外 道 出 家 百 人 欲 求 佛 短 來 向 
T08n0227_002:0543c24	佛所。釋提桓因作是念：「是諸外道出家百人，	佛 所 釋提桓因 作 是 念 是 諸 外 道 出 家 百 人 
T08n0227_002:0543c25	欲求佛短，來向佛所。我從佛所受般若波羅	欲 求 佛 短 來 向 佛 所 我 從 佛 所 受 般 若 波 羅 
T08n0227_002:0543c26	蜜，今當誦念。是諸外道來至佛所，或能斷說	蜜 今 當 誦 念 是 諸 外 道 來 至 佛 所 或 能 斷 說 
T08n0227_002:0543c27	般若波羅蜜。」如是思惟已，即誦念從佛所受	般 若 波 羅 蜜 如 是 思 惟 已 即 誦 念 從 佛 所 受 
T08n0227_002:0543c28	般若波羅蜜。時諸外道，遙遶佛，復道而去。舍	般 若 波 羅 蜜 時 諸 外 道 遙 遶 佛 復 道 而 去 舍 
T08n0227_002:0543c29	利弗作是念：「何因緣故，是諸外道遶佛而去？」	利 弗 作 是 念 何 因 緣 故 是 諸 外 道 遶 佛 而 去 
T08n0227_002:0544a01	佛知舍利弗心所念，告舍利弗：「是釋提桓因	佛 知 舍 利 弗 心 所 念 告 舍 利 弗 是 釋提桓因 
T08n0227_002:0544a02	誦念般若波羅蜜。如是外道，乃無一人有善心	誦 念 般 若 波 羅 蜜 如 是 外 道 乃 無 一 人 有 善 心 
T08n0227_002:0544a03	者，皆持惡意來求佛短，是故外道各各復道	者 皆 持 惡 意 來 求 佛 短 是 故 外 道 各 各 復 道 
T08n0227_002:0544a04	而去。」爾時惡魔作是念：「今是四眾，及欲、色界諸	而 去 爾 時 惡 魔 作 是 念 今 是 四 眾 及 欲 色 界 諸 
T08n0227_002:0544a05	天子在佛前坐，其中必有菩薩受阿耨多羅	天 子 在 佛 前 坐 其 中 必 有 菩 薩 受 阿 耨 多 羅 
T08n0227_002:0544a06	三藐三菩提記者，我當壞亂。」即化作四種兵，向	三藐三菩提 記 者 我 當 壞 亂 即 化 作 四 種 兵 向 
T08n0227_002:0544a07	佛所。爾時釋提桓因作是念：「魔嚴四兵來至	佛 所 爾 時 釋提桓因 作 是 念 魔 嚴 四 兵 來 至 
T08n0227_002:0544a08	佛所。四種兵相，摩伽陀國頻婆娑羅王之所	佛 所 四 種 兵 相 摩伽陀國 頻婆娑羅 王 之 所 
T08n0227_002:0544a09	無有，憍薩羅國波斯匿王亦所無有，諸釋子	無 有 憍 薩 羅 國 波 斯 匿 王 亦 所 無 有 諸 釋 子 
T08n0227_002:0544a10	所無有，諸黎車所無有。今是兵相，必是惡魔	所 無 有 諸 黎 車 所 無 有 今 是 兵 相 必 是 惡 魔 
T08n0227_002:0544a11	所作。是魔長夜欲求佛短，惱亂眾生，我當誦	所 作 是 魔 長 夜 欲 求 佛 短 惱 亂 眾 生 我 當 誦 
T08n0227_002:0544a12	念般若波羅蜜。」釋提桓因即默誦般若波羅	念 般 若 波 羅 蜜 釋提桓因 即 默 誦 般 若 波 羅 
T08n0227_002:0544a13	蜜，隨其所誦，惡魔稍稍復道而去。爾時忉利	蜜 隨 其 所 誦 惡 魔 稍 稍 復 道 而 去 爾 時 忉 利 
T08n0227_002:0544a14	諸天，化作天華，在於空中散佛上，作是念：「願	諸 天 化 作 天 華 在 於 空 中 散 佛 上 作 是 念 願 
T08n0227_002:0544a15	般若波羅蜜久住閻浮提，閻浮提人當得誦	般 若 波 羅 蜜 久 住 閻 浮 提 閻 浮 提 人 當 得 誦 
T08n0227_002:0544a16	習。」是時諸天，復以天花散佛上，作是言：「世尊！	習 是 時 諸 天 復 以 天 花 散 佛 上 作 是 言 世 尊 
T08n0227_002:0544a17	若有眾生行般若波羅蜜，修習般若波羅蜜，	若 有 眾 生 行 般 若 波 羅 蜜 修 習 般 若 波 羅 蜜 
T08n0227_002:0544a18	魔若魔天不得其便。」爾時釋提桓因白佛言：	魔 若 魔 天 不 得 其 便 爾 時 釋提桓因 白 佛 言 
T08n0227_002:0544a19	「世尊！若人得聞般若波羅蜜者，已曾親近諸	 世 尊 若 人 得 聞 般 若 波 羅 蜜 者 已 曾 親 近 諸 
T08n0227_002:0544a20	佛，不從小功德來。何況受持讀誦，如所說學，	佛 不 從 小 功 德 來 何 況 受持讀誦 如 所 說 學 
T08n0227_002:0544a21	如所說行。何以故？世尊！諸菩薩薩婆若，當於	如 所 說 行 何 以 故 世 尊 諸 菩 薩 薩 婆 若 當 於 
T08n0227_002:0544a22	般若波羅蜜中求。世尊！譬如大寶，當於大海	般 若 波 羅 蜜 中 求 世 尊 譬 如 大 寶 當 於 大 海 
T08n0227_002:0544a23	中求。世尊！諸佛薩婆若大寶，應於般若波羅	中 求 世 尊 諸 佛 薩 婆 若 大 寶 應 於 般 若 波 羅 
T08n0227_002:0544a24	蜜中求。」佛言：「如是，如是！憍尸迦！諸佛薩婆若	蜜 中 求 佛 言 如 是 如 是 憍 尸 迦 諸 佛 薩 婆 若 
T08n0227_002:0544a25	皆於般若波羅蜜中生。」爾時阿難白佛言：「世	皆 於 般 若 波 羅 蜜 中 生 爾 時 阿 難 白 佛 言 世 
T08n0227_002:0544a26	尊！世尊不讚說檀波羅蜜名，不讚說尸羅波	尊 世 尊 不 讚 說 檀 波 羅 蜜 名 不 讚 說 尸 羅 波 
T08n0227_002:0544a27	羅蜜、羼提波羅蜜、毘梨耶波羅蜜、禪波羅蜜名，	羅 蜜 羼 提 波 羅 蜜 毘梨耶波羅蜜 禪 波 羅 蜜 名 
T08n0227_002:0544a28	何以故但讚說般若波羅蜜名？」佛告阿難：	何 以 故 但 讚 說 般 若 波 羅 蜜 名 佛 告 阿 難 
T08n0227_002:0544a29	「般若波羅蜜導五波羅蜜。阿難！於意云何？若	 般 若 波 羅 蜜 導 五波羅蜜 阿 難 於意云何 若 
T08n0227_002:0544b01	布施不迴向薩婆若，成檀波羅蜜不？」阿難言：	布 施 不 迴 向 薩 婆 若 成 檀 波 羅 蜜 不 阿 難 言 
T08n0227_002:0544b02	「不也！世尊！」「若持戒、忍辱、精進、禪定、智慧，不迴	 不 也 世 尊 若 持 戒 忍 辱 精 進 禪 定 智 慧 不 迴 
T08n0227_002:0544b03	向薩婆若，成般若波羅蜜不？」阿難言：「不也！世	向 薩 婆 若 成 般 若 波 羅 蜜 不 阿 難 言 不 也 世 
T08n0227_002:0544b04	尊！」「阿難！是故般若波羅蜜為五波羅蜜導。阿	尊 阿 難 是 故 般 若 波 羅 蜜 為 五波羅蜜 導 阿 
T08n0227_002:0544b05	難！譬如大地種散其中，因緣和合即得生長，	難 譬 如 大 地 種 散 其 中 因緣和合 即 得 生 長 
T08n0227_002:0544b06	不依此地終不得生。阿難！如是五波羅蜜，住般	不 依 此 地 終 不 得 生 阿 難 如 是 五波羅蜜 住 般 
T08n0227_002:0544b07	若波羅蜜中而得增長，為般若波羅蜜所護	若 波 羅 蜜 中 而 得 增 長 為 般 若 波 羅 蜜 所 護 
T08n0227_002:0544b08	故，得向薩婆若。是故，阿難！般若波羅蜜為五	故 得 向 薩 婆 若 是 故 阿 難 般 若 波 羅 蜜 為 五 
T08n0227_002:0544b09	波羅蜜作導。」爾時釋提桓因白佛言：「世尊！是	波 羅 蜜 作 導 爾 時 釋提桓因 白 佛 言 世 尊 是 
T08n0227_002:0544b10	善男子、善女人，受持讀誦般若波羅蜜，如所	善 男 子 善 女 人 受持讀誦 般 若 波 羅 蜜 如 所 
T08n0227_002:0544b11	說行，所得功德，如來說之猶亦未盡。」佛告憍	說 行 所得功德 如 來 說 之 猶 亦 未 盡 佛 告 憍 
T08n0227_002:0544b12	尸迦：「我不但說是人受持讀誦般若波羅蜜，	尸 迦 我 不 但 說 是 人 受持讀誦 般 若 波 羅 蜜 
T08n0227_002:0544b13	如所說行功德。憍尸迦！若有善男子、善女人，	如 所 說 行 功 德 憍 尸 迦 若 有 善 男 子 善 女 人 
T08n0227_002:0544b14	供養般若波羅蜜經卷，恭敬尊重讚歎，以好	供 養 般若波羅蜜經 卷 恭 敬 尊 重 讚 歎 以 好 
T08n0227_002:0544b15	華香乃至幢幡，我亦說其所得功德。」釋提桓	華 香 乃 至 幢 幡 我 亦 說 其 所得功德 釋 提 桓 
T08n0227_002:0544b16	因白佛言：「世尊！我亦當護念是善男子、善女	因 白 佛 言 世 尊 我 亦 當 護 念 是 善 男 子 善 女 
T08n0227_002:0544b17	人，供養般若波羅蜜經卷，恭敬尊重讚歎，以	人 供 養 般若波羅蜜經 卷 恭 敬 尊 重 讚 歎 以 
T08n0227_002:0544b18	好華香乃至幢幡者。」佛言：「憍尸迦！是善男子、	好 華 香 乃 至 幢 幡 者 佛 言 憍 尸 迦 是 善 男 子 
T08n0227_002:0544b19	善女人，受持讀誦般若波羅蜜。若干百千諸	善 女 人 受持讀誦 般 若 波 羅 蜜 若 干 百 千 諸 
T08n0227_002:0544b20	天大眾，為聽法故，來至其所。是法師為諸天	天 大 眾 為 聽 法 故 來 至 其 所 是 法 師 為 諸 天 
T08n0227_002:0544b21	說法時，非人益其氣力。若法師疲極，不樂說	說 法 時 非 人 益 其 氣 力 若 法 師 疲 極 不 樂 說 
T08n0227_002:0544b22	法，諸天恭敬法故，令其樂說。憍尸迦！是亦善	法 諸 天 恭 敬 法 故 令 其 樂 說 憍 尸 迦 是 亦 善 
T08n0227_002:0544b23	男子、善女人得是現世功德。「復次，憍尸迦！是	男 子 善 女 人 得 是 現 世 功 德 復 次 憍 尸 迦 是 
T08n0227_002:0544b24	善男子、善女人，於四眾中說般若波羅蜜時，	善 男 子 善 女 人 於 四 眾 中 說 般 若 波 羅 蜜 時 
T08n0227_002:0544b25	其心不畏有來難問及詰責者。何以故？是人	其 心 不 畏 有 來 難 問 及 詰 責 者 何 以 故 是 人 
T08n0227_002:0544b26	為般若波羅蜜護念故，不見有人得般若波	為 般 若 波 羅 蜜 護 念 故 不 見 有 人 得 般 若 波 
T08n0227_002:0544b27	羅蜜短者，般若波羅蜜亦無短可得。是人如	羅 蜜 短 者 般 若 波 羅 蜜 亦 無 短 可 得 是 人 如 
T08n0227_002:0544b28	是為般若波羅蜜護念故，無畏有來難問詰	是 為 般 若 波 羅 蜜 護 念 故 無 畏 有 來 難 問 詰 
T08n0227_002:0544b29	責者。憍尸迦！是亦善男子、善女人現世功德。	責 者 憍 尸 迦 是 亦 善 男 子 善 女 人 現 世 功 德 
T08n0227_002:0544c01	「復次，憍尸迦！是善男子、善女人，讀誦般若波	 復 次 憍 尸 迦 是 善 男 子 善 女 人 讀 誦 般 若 波 
T08n0227_002:0544c02	羅蜜故，為父母所愛，為宗親、知識、沙門、婆羅	羅 蜜 故 為 父 母 所 愛 為 宗 親 知 識 沙 門 婆 羅 
T08n0227_002:0544c03	門所敬，衰惱鬪訟，如法能度。憍尸迦！是亦善	門 所 敬 衰 惱 鬪 訟 如 法 能 度 憍 尸 迦 是 亦 善 
T08n0227_002:0544c04	男子、善女人現世功德。「復次，憍尸迦！般若波	男 子 善 女 人 現 世 功 德 復 次 憍 尸 迦 般 若 波 
T08n0227_002:0544c05	羅蜜經卷所住處，四天王天上諸天，發阿耨	羅 蜜 經 卷 所 住 處 四天王天 上 諸 天 發 阿 耨 
T08n0227_002:0544c06	多羅三藐三菩提心者，皆來至般若波羅蜜	多 羅 三藐三菩提 心 者 皆 來 至 般 若 波 羅 蜜 
T08n0227_002:0544c07	所，受持讀誦，供養作禮而去。忉利天、夜摩天、	所 受持讀誦 供 養 作 禮 而 去 忉 利 天 夜 摩 天 
T08n0227_002:0544c08	兜率陀天、化樂天、他化自在天上諸天，發阿	兜 率 陀 天 化 樂 天 他化自在天 上 諸 天 發 阿 
T08n0227_002:0544c09	耨多羅三藐三菩提心者，皆來至般若波羅	耨 多 羅 三藐三菩提 心 者 皆 來 至 般 若 波 羅 
T08n0227_002:0544c10	蜜所，受持讀誦，供養作禮而去。梵天、梵世天、	蜜 所 受持讀誦 供 養 作 禮 而 去 梵 天 梵 世 天 
T08n0227_002:0544c11	梵輔天、梵眾天、大梵天、光天、少光天、無量光天、	梵 輔 天 梵 眾 天 大 梵 天 光 天 少 光 天 無量光天 
