T85n2788_001:0616c14	律戒本疏	律 戒 本 疏 
T85n2788_001:0621a25	僧無白四羯磨也。	僧 無 白四羯磨 也 
T85n2788_001:0621a26	第十一有餘比丘同意別異語　調達破僧後	第 十 一 有 餘 比 丘 同 意 別 異 語 調 達 破 僧 後 
T85n2788_001:0621a27	餘善比丘。先與劬和等親厚同意。於私隱處	餘 善 比 丘 先 與 劬 和 等 親 厚 同 意 於 私 隱 處 
T85n2788_001:0621a28	愍而諫之。乃至若多皆善比丘也。次下言是	愍 而 諫 之 乃 至 若 多 皆 善 比 丘 也 次 下 言 是 
T85n2788_001:0621a29	同意比丘者。是彼四人與調達同意也。初先	同 意 比 丘 者 是 彼 四 人 與 調 達 同 意 也 初 先 
T85n2788_001:0621b01	一人二人三人諫。是輕偷。僧中羯磨諫重偷。	一 人 二 人 三 人 諫 是 輕 偷 僧 中 羯 磨 諫 重 偷 
T85n2788_001:0621b02	助破僧四人犯僧殘者。結戒後也。僧諫不止	助 破 僧 四 人 犯 僧 殘 者 結 戒 後 也 僧 諫 不 止 
T85n2788_001:0621b03	助成破僧。犯四事邊逆輕偷可悔。餘五百比	助 成 破 僧 犯 四 事 邊 逆 輕 偷 可 悔 餘 五 百 比 
T85n2788_001:0621b04	丘犯僧殘邊重偷。九清淨比丘者。調達自以	丘 犯 僧 殘 邊 重 偷 九 清 淨 比 丘 者 調 達 自 以 
T85n2788_001:0621b05	為佛。不入八中。故當捨破僧同意別異語。意	為 佛 不 入 八 中 故 當 捨 破 僧 同 意 別 異 語 意 
T85n2788_001:0621b06	與調達同。即與善眾異。異眾之言。宜速捨	與 調 達 同 即 與 善 眾 異 異 眾 之 言 宜 速 捨 
T85n2788_001:0621b07	之。調達作佛。四人為眾。有佛有眾合而成化。	之 調 達 作 佛 四 人 為 眾 有 佛 有 眾 合 而 成 化 
T85n2788_001:0621b08	能擔法故無首化大逆也。從者重偷。是比丘	能 擔 法 故 無 首 化 大 逆 也 從 者 重 偷 是 比 丘 
T85n2788_001:0621b09	說等皆是重偷。羯磨前也。	說 等 皆 是 重 偷 羯 磨 前 也 
T85n2788_001:0621b10	第十二污他家　馬師蒲宿等六群比丘所遊	第 十 二 污 他 家 馬 師 蒲 宿 等 六群比丘 所 遊 
T85n2788_001:0621b11	行處。坐起言語皆越威儀。偷蘭四篇眾惡。斯	行 處 坐 起 言 語 皆 越 威 儀 偷 蘭 四 篇 眾 惡 斯 
T85n2788_001:0621b12	備信向之人。善心悉壞。輕賤佛法。不復敬	備 信 向 之 人 善 心 悉 壞 輕 賤 佛 法 不 復 敬 
T85n2788_001:0621b13	眾。尊者阿難入村乞食。大被輕辱。空鉢而還。	眾 尊 者 阿 難 入 村 乞 食 大 被 輕 辱 空 鉢 而 還 
T85n2788_001:0621b14	因見集眾如法驅出。作種種非法。名為惡行。	因 見 集 眾 如 法 驅 出 作 種 種 非 法 名 為 惡 行 
T85n2788_001:0621b15	毀人淨心名污他家。隨愛隨瞋隨怖隨癡。此	毀 人 淨 心 名 污 他 家 隨 愛 隨 瞋 隨 怖 隨 癡 此 
T85n2788_001:0621b16	被驅者怨辭也。于時馬師等六群比丘。聞大	被 驅 者 怨 辭 也 于 時 馬 師 等 六群比丘 聞 大 
T85n2788_001:0621b17	眾來。知欲驅己。或風遠迹。或迎眾歸罪。或守	眾 來 知 欲 驅 己 或 風 遠 迹 或 迎 眾 歸 罪 或 守 
T85n2788_001:0621b18	迷本處被驅而怨。謂犯惡不異。去留宜同。而	迷 本 處 被 驅 而 怨 謂 犯 惡 不 異 去 留 宜 同 而 
T85n2788_001:0621b19	今不同。必由愛憎。或輕我畏他。或癡闇不	今 不 同 必 由 愛 憎 或 輕 我 畏 他 或 癡 闇 不 
T85n2788_001:0621b20	達。處心不均。行事不平。如是瞋恨不肯受諫。	達 處 心 不 均 行 事 不 平 如 是 瞋 恨 不 肯 受 諫 
T85n2788_001:0621b21	未諫時隨犯。餘篇得餘篇罪。先一人二人三	未 諫 時 隨 犯 餘 篇 得 餘 篇 罪 先 一 人 二 人 三 
T85n2788_001:0621b22	人別諫時輕偷蘭。僧中一諫二諫二重偷蘭。	人 別 諫 時 輕 偷 蘭 僧 中 一 諫 二 諫 二 重 偷 蘭 
T85n2788_001:0621b23	三諫不止犯僧殘也。	三 諫 不 止 犯 僧 殘 也 
T85n2788_001:0621b24	第十三惡性不受諫　因闡陀惡性恨戾慢。	第 十 三 惡 性 不 受 諫 因 闡 陀 惡 性 恨 戾 慢 
T85n2788_001:0621b25	眾專已自用綾悔。他人犯戒不悔。聞諫喻甚。	眾 專 已 自 用 綾 悔 他 人 犯 戒 不 悔 聞 諫 喻 甚 
T85n2788_001:0621b26	若惡若善。其於不受。是名難共語。難共語猶	若 惡 若 善 其 於 不 受 是 名 難 共 語 難 共 語 猶 
T85n2788_001:0621b27	不可共語也　說所犯戒經中事　我等說如	不 可 共 語 也 說 所 犯 戒 經 中 事 我 等 說 如 
T85n2788_001:0621b28	所犯悉是戒。經中事非忘造也　如法如善	所 犯 悉 是 戒 經 中 事 非 忘 造 也 如 法 如 善 
T85n2788_001:0621b29	　從理名如法。慈悔名如善　共諫共罪中出	 從 理 名 如 法 慈 悔 名 如 善 共 諫 共 罪 中 出 
T85n2788_001:0621c01	故　凡說戒諫悔及出罪。要共和合。理無專	故 凡 說 戒 諫 悔 及 出 罪 要 共 和 合 理 無 專 
T85n2788_001:0621c02	獨。故則眾得增長。是故汝勿自專不受諫悔	獨 故 則 眾 得 增 長 是 故 汝 勿 自 專 不 受 諫 悔 
T85n2788_001:0621c03	也　三諫時　惡而不諫。或斷善根。毀滅正	也 三 諫 時 惡 而 不 諫 或 斷 善 根 毀 滅 正 
T85n2788_001:0621c04	法。三諫至誠則思憶自受也　九初罪四諫	法 三 諫 至 誠 則 思 憶 自 受 也 九 初 罪 四 諫 
T85n2788_001:0621c05	至三　前五殘或作方便成事不容諫。或隱	至 三 前 五 殘 或 作 方 便 成 事 不 容 諫 或 隱 
T85n2788_001:0621c06	蜜不障不得諫。作二大房。限以應遮。以羯	蜜 不 障 不 得 諫 作 二 大 房 限 以 應 遮 以 羯 
T85n2788_001:0621c07	磨於一事中有聽有遮。遮則當諫。聽則不類。	磨 於 一 事 中 有 聽 有 遮 遮 則 當 諫 聽 則 不 類 
T85n2788_001:0621c08	不類前五。又不同後四。又起大房存于寬泰。	不 類 前 五 又 不 同 後 四 又 起 大 房 存 于 寬 泰 
T85n2788_001:0621c09	寬泰之意不至迷執。又惡不至清淨。不極重	寬 泰 之 意 不 至 迷 執 又 惡 不 至 清 淨 不 極 重 
T85n2788_001:0621c10	遮之便止。不煩三諫。	遮 之 便 止 不 煩 三 諫 
T85n2788_001:0621c11	波利婆沙　秦言別住也。發露已眾與羯磨令	波 利 婆 沙 秦 言 別 住 也 發 露 已 眾 與 羯 磨 令 
T85n2788_001:0621c12	其別住。別住時外有客僧來。要向別發露。作	其 別 住 別 住 時 外 有 客 僧 來 要 向 別 發 露 作 
T85n2788_001:0621c13	如是別住與覆藏日等。晝則為眾執勞。夜則	如 是 別 住 與 覆 藏 日 等 晝 則 為 眾 執 勞 夜 則 
T85n2788_001:0621c14	別房止宿。不意謙苦。令眾慈念。然後與六夜	別 房 止 宿 不 意 謙 苦 令 眾 慈 念 然 後 與 六 夜 
T85n2788_001:0621c15	摩那埵。摩那埵伏斷時有客僧來亦同發露。	摩 那 埵 摩 那 埵 伏 斷 時 有 客 僧 來 亦 同 發 露 
T85n2788_001:0621c16	又日日眾中白眾言。我犯某罪作如是事竟。	又 日 日 眾 中 白 眾 言 我 犯 某 罪 作 如 是 事 竟 
T85n2788_001:0621c17	爾所日過餘爾所曰在屈辱摧伏。故名斷伏	爾 所 日 過 餘 爾 所 曰 在 屈 辱 摧 伏 故 名 斷 伏 
T85n2788_001:0621c18	也。若六日垂滿而便犯殘。即發露者不須別	也 若 六 日 垂 滿 而 便 犯 殘 即 發 露 者 不 須 別 
T85n2788_001:0621c19	住。但更與六夜伏斷。名為本日治也。若別住	住 但 更 與 六 夜 伏 斷 名 為 本 日 治 也 若 別 住 
T85n2788_001:0621c20	未竟重有所犯。覆藏者隨覆藏曰更與別住。	未 竟 重 有 所 犯 覆 藏 者 隨 覆 藏 曰 更 與 別 住 
T85n2788_001:0621c21	若後覆藏日少前覆藏日多者。不須臾與別	若 後 覆 藏 日 少 前 覆 藏 日 多 者 不 須 臾 與 別 
T85n2788_001:0621c22	住　阿浮呵那　名出罪也。滿六日已二十	住 阿浮呵那 名 出 罪 也 滿 六 日 已 二 十 
T85n2788_001:0621c23	眾中為作羯磨令啼出罪。出罪者從罪中出	眾 中 為 作 羯 磨 令 啼 出 罪 出 罪 者 從 罪 中 出 
T85n2788_001:0621c24	去也。別住斷伏四人以上便得與之。出罪要	去 也 別 住 斷 伏 四 人 以 上 便 得 與 之 出 罪 要 
T85n2788_001:0621c25	二十人者故也。罪責將畢。宜令心至大眾所。	二 十 人 者 故 也 罪 責 將 畢 宜 令 心 至 大 眾 所 
T85n2788_001:0621c26	臨慚愧必深。又多人證智令後無嫌疑。爪四	臨 慚 愧 必 深 又 多 人 證 智 令 後 無 嫌 疑 爪 四 
T85n2788_001:0621c27	人得說戒。五人自恣。自恣羯磨一人作自咨	人 得 說 戒 五 人 自 恣 自 恣 羯 磨 一 人 作 自 咨 
T85n2788_001:0621c28	人。自咨人則受僧使。餘四人說師。非受使故	人 自 咨 人 則 受 僧 使 餘 四 人 說 師 非 受 使 故 
T85n2788_001:0621c29	通有得四人說戒也。	通 有 得 四 人 說 戒 也 
T85n2788_001:0622a01	二不空法　因迦留陀夷與女人屏處坐。有	二 不 空 法 因 迦 留 陀 夷 與 女 人 屏 處 坐 有 
T85n2788_001:0622a02	鹿子母優婆夷得初道。可信人以所見白佛。	鹿 子 母 優 婆 夷 得 初 道 可 信 人 以 所 見 白 佛 
T85n2788_001:0622a03	比丘所犯定是五篇所攝。而彼不知何事何	比 丘 所 犯 定 是 五 篇 所 攝 而 彼 不 知 何 事 何 
T85n2788_001:0622a04	罪何萬所攝罪。雖定見而者不定故。以不定	罪 何 萬 所 攝 罪 雖 定 見 而 者 不 定 故 以 不 定 
T85n2788_001:0622a05	為名。若優婆夷據其罪。自以可信故受其所	為 名 若 優 婆 夷 據 其 罪 自 以 可 信 故 受 其 所 
T85n2788_001:0622a06	見。以不審故不受所據。又應問是可信人。汝	見 以 不 審 故 不 受 所 據 又 應 問 是 可 信 人 汝 
T85n2788_001:0622a07	有證不。答言有證。復應問證。證同則受。異則	有 證 不 答 言 有 證 復 應 問 證 證 同 則 受 異 則 
T85n2788_001:0622a08	不受。受可信人語已應取定比丘。定比丘首	不 受 受 可 信 人 語 已 應 取 定 比 丘 定 比 丘 首 
T85n2788_001:0622a09	實便隨事治之。若其不首與實覔羯磨。羯磨	實 便 隨 事 治 之 若 其 不 首 與 實 覔 羯 磨 羯 磨 
T85n2788_001:0622a10	不受便驅出覔罪。中間不得作和上及種種	不 受 便 驅 出 覔 罪 中 間 不 得 作 和 上 及 種 種 
T85n2788_001:0622a11	師。與人受戒比丘比丘尼。依止師足數人。如	師 與 人 受 戒 比 丘 比 丘 尼 依 止 師 足 數 人 如 
T85n2788_001:0622a12	是種種不得。猶如得戒沙彌。凡三歸五戒優	是 種 種 不 得 猶 如 得 戒 沙 彌 凡 三 歸 五 戒 優 
T85n2788_001:0622a13	婆夷亦名可信之人也。	婆 夷 亦 名 可 信 之 人 也 
T85n2788_001:0622a14	第二因利比丘與女人露坐語　居士薩薄呵	第 二 因 利 比 丘 與 女 人 露 坐 語 居 士 薩 薄 呵 
T85n2788_001:0622a15	見而嫌之。即以白佛。以露處亦多人所見。必	見 而 嫌 之 即 以 白 佛 以 露 處 亦 多 人 所 見 必 
T85n2788_001:0622a16	致譏嫌。是亦不可。雖母姉妹是亦不得。人不	致 譏 嫌 是 亦 不 可 雖 母 姉 妹 是 亦 不 得 人 不 
T85n2788_001:0622a17	達故。律師儀云。所以在二篇之後三篇之前。	達 故 律 師 儀 云 所 以 在 二 篇 之 後 三 篇 之 前 
T85n2788_001:0622a18	特以不定輕五篇故受其中也。意以為上二	特 以 不 定 輕 五 篇 故 受 其 中 也 意 以 為 上 二 
T85n2788_001:0622a19	篇罪重說之以竟。若有犯者宜其諦思。故說	篇 罪 重 說 之 以 竟 若 有 犯 者 宜 其 諦 思 故 說 
T85n2788_001:0622a20	不定之篇令其首定。	不 定 之 篇 令 其 首 定 
T85n2788_001:0622a21	三十事捨墮者　長財宜捨。而罪隧惡道。故	三 十 事 捨 墮 者 長 財 宜 捨 而 罪 隧 惡 道 故 
T85n2788_001:0622a22	名捨墮。捨墮物持現前捨。捨而不實何也。令	名 捨 墮 捨 墮 物 持 現 前 捨 捨 而 不 實 何 也 令 
T85n2788_001:0622a23	知非法起慚愧心。則貪心薄也。捨有二種。一	知 非 法 起 慚 愧 心 則 貪 心 薄 也 捨 有 二 種 一 
T85n2788_001:0622a24	施捨。二淨施捨。不淨物應施捨。淨物長應淨	施 捨 二 淨 施 捨 不 淨 物 應 施 捨 淨 物 長 應 淨 
T85n2788_001:0622a25	施捨。三衣鉢百一法用物非長。不須淨捨。餘	施 捨 三 衣 鉢 百 一 法 用 物 非 長 不 須 淨 捨 餘 
T85n2788_001:0622a26	一切長悉應淨捨。一肘已下不淨施突。已上	一 切 長 悉 應 淨 捨 一 肘 已 下 不 淨 施 突 已 上 
T85n2788_001:0622a27	墮。綿糸縷三毛捨紵不淨捨突。若絹若布時	墮 綿 糸 縷 三 毛 捨 紵 不 淨 捨 突 若 絹 若 布 時 
T85n2788_001:0622a28	已淨施。後作衣不須淨捨。捨墮衣未截。貿易	已 淨 施 後 作 衣 不 須 淨 捨 捨 墮 衣 未 截 貿 易 
T85n2788_001:0622a29	餘衣。餘衣亦捨墮。若受淨捨人取物用突。應	餘 衣 餘 衣 亦 捨 墮 若 受 淨 捨 人 取 物 用 突 應 
T85n2788_001:0622b01	奪取強令悔適。若苦索不還受淨施人犯重。	奪 取 強 令 悔 適 若 苦 索 不 還 受 淨 施 人 犯 重 
T85n2788_001:0622b02	若滿人乃至多人共財不須淨捨。絹布等淨	若 滿 人 乃 至 多 人 共 財 不 須 淨 捨 絹 布 等 淨 
T85n2788_001:0622b03	物大比丘邊捨。飯食善沙彌邊淨捨。寶物白	物 大 比 丘 邊 捨 飯 食 善 沙 彌 邊 淨 捨 寶 物 白 
T85n2788_001:0622b04	衣邊淨捨。後求淨物。僧祇曰。若僧中分物人	衣 邊 淨 捨 後 求 淨 物 僧 祇 曰 若 僧 中 分 物 人 
T85n2788_001:0622b05	得一分。要當作同意淨施。若不作犯墮。若二	得 一 分 要 當 作 同 意 淨 施 若 不 作 犯 墮 若 二 
T85n2788_001:0622b06	人共得物者。未分時不犯也。	人 共 得 物 者 未 分 時 不 犯 也 
T85n2788_001:0622b07	第一訖迦締那衣長衣十日應畜　安居竟得	第 一 訖 迦 締 那 衣 長 衣 十 日 應 畜 安 居 竟 得 
T85n2788_001:0622b08	及功德衣中得者也。十日急施訖即日捨也。	及 功 德 衣 中 得 者 也 十 日 急 施 訖 即 日 捨 也 
T85n2788_001:0622b09	一日至十日衣已捨者無罪。但後次續曰不	一 日 至 十 日 衣 已 捨 者 無 罪 但 後 次 續 曰 不 
T85n2788_001:0622b10	斷故。第十日得者有犯者也。為浣過十日不	斷 故 第 十 日 得 者 有 犯 者 也 為 浣 過 十 日 不 
T85n2788_001:0622b11	犯者。頑還成故。凡有四句。或三衣及非三衣。	犯 者 頑 還 成 故 凡 有 四 句 或 三 衣 及 非 三 衣 
T85n2788_001:0622b12	是所受用者盡具而未捨。功德衣有二種。具	是 所 受 用 者 盡 具 而 未 捨 功 德 衣 有 二 種 具 
T85n2788_001:0622b13	或自具。或少一以功德衣足。令具二戒。以捨	或 自 具 或 少 一 以 功 德 衣 足 令 具 二 戒 以 捨 
T85n2788_001:0622b14	功德衣。而三衣不具捨有二種。或八難因緣	功 德 衣 而 三 衣 不 具 捨 有 二 種 或 八 難 因 緣 
T85n2788_001:0622b15	捨。或曰滿捨三。或三衣具亦捨功德衣。功	捨 或 曰 滿 捨 三 或 三 衣 具 亦 捨 功 德 衣 功 
T85n2788_001:0622b16	德衣當一名分利。餘功德衣利曰足捨也。若	德 衣 當 一 名 分 利 餘 功 德 衣 利 曰 足 捨 也 若 
T85n2788_001:0622b17	少二及無三衣。不得功德衣。四或三衣不具	少 二 及 無 三 衣 不 得 功 德 衣 四 或 三 衣 不 具 
T85n2788_001:0622b18	亦不捨功德衣。此謂已得。少物未乞。而足成	亦 不 捨 功 德 衣 此 謂 已 得 少 物 未 乞 而 足 成 
T85n2788_001:0622b19	衣名為不具也。功德中得七利捨。七戒無罪。	衣 名 為 不 具 也 功 德 中 得 七 利 捨 七 戒 無 罪 
T85n2788_001:0622b20	安居竟無功德衣。不得離三衣宿。而一月中	安 居 竟 無 功 德 衣 不 得 離 三 衣 宿 而 一 月 中 
T85n2788_001:0622b21	亦得五利所。謂數數食中前入村中後入村。	亦 得 五 利 所 謂 數 數 食 中 前 入 村 中 後 入 村 
T85n2788_001:0622b22	不白而去。畜長財別眾食。不囑食唯不得功	不 白 而 去 畜 長 財 別 眾 食 不 囑 食 唯 不 得 功 
T85n2788_001:0622b23	德衣。中施衣及離衣宿為異也。故後坐比丘	德 衣 中 施 衣 及 離 衣 宿 為 異 也 故 後 坐 比 丘 
T85n2788_001:0622b24	不得此日。制已過夏分入冬分。故夏分多遊	不 得 此 日 制 已 過 夏 分 入 冬 分 故 夏 分 多 遊 
T85n2788_001:0622b25	行禮塔師僧故。檀越心喜故。佛聽先淨施物。	行 禮 塔 師 僧 故 檀 越 心 喜 故 佛 聽 先 淨 施 物 
T85n2788_001:0622b26	初功德衣竟更不淨施也。	初 功 德 衣 竟 更 不 淨 施 也 
T85n2788_001:0622b27	第二不得離三衣宿　為欲異外道故聽割截	第 二 不 得 離 三 衣 宿 為 欲 異 外 道 故 聽 割 截 
T85n2788_001:0622b28	衣。為寒故聽三衣。大衣入村。中衣入眾。下衣	衣 為 寒 故 聽 三 衣 大 衣 入 村 中 衣 入 眾 下 衣 
T85n2788_001:0622b29	私處。無功德衣及已捨為離衣。宿後夜時失。	私 處 無 功 德 衣 及 已 捨 為 離 衣 宿 後 夜 時 失 
T85n2788_001:0622c01	後因舍利弗老而衣重。佛聽眾與羯磨留也。	後 因 舍 利 弗 老 而 衣 重 佛 聽 眾 與 羯 磨 留 也 
T85n2788_001:0622c02	凡老而衣重。自咨後無功德衣。九月日中遊	凡 老 而 衣 重 自 咨 後 無 功 德 衣 九 月 日 中 遊 
T85n2788_001:0622c03	行。三衣中墮重者。眾為羯磨捨一無罪也。	行 三 衣 中 墮 重 者 眾 為 羯 磨 捨 一 無 罪 也 
T85n2788_001:0622c04	第三時衣　因六群比丘貪求無厭故制也。	第 三 時 衣 因 六群比丘 貪 求 無 厭 故 制 也 
T85n2788_001:0622c05	功德衣時得衣名時衣。時衣長畜無罪。功德	功 德 衣 時 得 衣 名 時 衣 時 衣 長 畜 無 罪 功 德 
T85n2788_001:0622c06	衣竟名非時衣。自手受物明非。金銀等不淨	衣 竟 名 非 時 衣 自 手 受 物 明 非 金 銀 等 不 淨 
T85n2788_001:0622c07	物受持衣壞。容猫子蹄失應疾納。却摓更受	物 受 持 衣 壞 容 猫 子 蹄 失 應 疾 納 却 摓 更 受 
T85n2788_001:0622c08	不捨墮也。唯犯突。若即日補不至多曰不須	不 捨 墮 也 唯 犯 突 若 即 日 補 不 至 多 曰 不 須 
T85n2788_001:0622c09	臾受緣。緣邊綖破亦爾也　若不定功德衣	臾 受 緣 緣 邊 綖 破 亦 爾 也 若 不 定 功 德 衣 
T85n2788_001:0622c10	竟　三衣足亦得畜長財十日。若三衣不具	竟 三 衣 足 亦 得 畜 長 財 十 日 若 三 衣 不 具 
T85n2788_001:0622c11	而得種種色。各各未足成衣。聽畜一月。一月	而 得 種 種 色 各 各 未 足 成 衣 聽 畜 一 月 一 月 
T85n2788_001:0622c12	已應連合。異色成衣。合而猶少聽更求令足。	已 應 連 合 異 色 成 衣 合 而 猶 少 聽 更 求 令 足 
T85n2788_001:0622c13	足時便作無定限。若一種一色衣不足。求足	足 時 便 作 無 定 限 若 一 種 一 色 衣 不 足 求 足 
T85n2788_001:0622c14	時便作。不至一月。若故不求突。不限日月。知	時 便 作 不 至 一 月 若 故 不 求 突 不 限 日 月 知 
T85n2788_001:0622c15	更有得處為補故知大會處。或親理家應當	更 有 得 處 為 補 故 知 大 會 處 或 親 理 家 應 當 
T85n2788_001:0622c16	更得。為欲侍之補合令得足。畜一月不淨施。	更 得 為 欲 侍 之 補 合 令 得 足 畜 一 月 不 淨 施 
T85n2788_001:0622c17	餘不作衣財。如常淨施衣。極小二肘半三衣	餘 不 作 衣 財 如 常 淨 施 衣 極 小 二 肘 半 三 衣 
T85n2788_001:0622c18	也。若竭支量如埿洹僧者。得下量受當三衣	也 若 竭 支 量 如 埿 洹 僧 者 得 下 量 受 當 三 衣 
T85n2788_001:0622c19	也。	也 
T85n2788_001:0622c20	第四從非親比丘尼取衣　花色比丘尼以肉	第 四 從 非 親 比 丘 尼 取 衣 花 色 比 丘 尼 以 肉 
T85n2788_001:0622c21	奉眾時著一衣。衣極精好。六群比丘見而貪	奉 眾 時 著 一 衣 衣 極 精 好 六群比丘 見 而 貪 
T85n2788_001:0622c22	求。尼即施之。自著弊衣。世尊怪問。因是結	求 尼 即 施 之 自 著 弊 衣 世 尊 怪 問 因 是 結 
T85n2788_001:0622c23	戒。以三緣故遮取尼衣。一以尼求衣難得故。	戒 以 三 緣 故 遮 取 尼 衣 一 以 尼 求 衣 難 得 故 
T85n2788_001:0622c24	二非親理取無節故。三恐因是後心起非法	二 非 親 理 取 無 節 故 三 恐 因 是 後 心 起 非 法 
T85n2788_001:0622c25	故。各隨所樂貿易則聽。若竭支以上錢帛得	故 各 隨 所 樂 貿 易 則 聽 若 竭 支 以 上 錢 帛 得 
T85n2788_001:0622c26	貿。三衣不貿者埿洹僧。竭支以上犯墮。以下	貿 三 衣 不 貿 者 埿 洹 僧 竭 支 以 上 犯 墮 以 下 
T85n2788_001:0622c27	突。轉債貿亦犯。多比丘取一尼一衣。多人犯	突 轉 債 貿 亦 犯 多 比 丘 取 一 尼 一 衣 多 人 犯 
T85n2788_001:0622c28	多尼邊取隨尼為犯。出家尼者未受沙忌戒	多 尼 邊 取 隨 尼 為 犯 出 家 尼 者 未 受 沙 忌 戒 
T85n2788_001:0622c29	故也。凡五處不應往。所謂大童女。寬婦。婬	故 也 凡 五 處 不 應 往 所 謂 大 童 女 寬 婦 婬 
T85n2788_001:0623a01	女。含新出門女。酤酒家也。	女 含 新 出 門 女 酤 酒 家 也 
T85n2788_001:0623a02	第五非親理尼浣染打故衣　迦留陀夷與掘	第 五 非 親 理 尼 浣 染 打 故 衣 迦 留 陀 夷 與 掘 
T85n2788_001:0623a03	多尼欲心相視漏失污衣。尼為浣之取計自	多 尼 欲 心 相 視 漏 失 污 衣 尼 為 浣 之 取 計 自 
T85n2788_001:0623a04	灌。遂以有身惡名流布。因制。非親以妨惡緣。	灌 遂 以 有 身 惡 名 流 布 因 制 非 親 以 妨 惡 緣 
T85n2788_001:0623a05	乃至一枕頭名為故打。一下名為打打浣染。	乃 至 一 枕 頭 名 為 故 打 一 下 名 為 打 打 浣 染 
T85n2788_001:0623a06	於是三事中越一便犯。何況二三也。語莫打	於 是 三 事 中 越 一 便 犯 何 況 二 三 也 語 莫 打 
T85n2788_001:0623a07	染。打染等犯者由先作方便欲令打故。若先	染 打 染 等 犯 者 由 先 作 方 便 欲 令 打 故 若 先 
T85n2788_001:0623a08	實無心者不犯。云新衣未著故衣浣淨得倩	實 無 心 者 不 犯 云 新 衣 未 著 故 衣 浣 淨 得 倩 
T85n2788_001:0623a09	摓也。浣時色脫。如本染竟更受。若猶有色雖	摓 也 浣 時 色 脫 如 本 染 竟 更 受 若 猶 有 色 雖 
T85n2788_001:0623a10	染不須受也。青黃白紫等衣受。當三衣不戒	染 不 須 受 也 青 黃 白 紫 等 衣 受 當 三 衣 不 戒 
T85n2788_001:0623a11	受也。不淨色故也。	受 也 不 淨 色 故 也 
T85n2788_001:0623a12	第六非親理居士居士婦得衣　跋難陀多知	第 六 非 親 理 居 士 居 士 婦 得 衣 跋 難 陀 多 知 
T85n2788_001:0623a13	辨說。強乞取衣。居士悔惜。瞋恚大喚賊向佛。	辨 說 強 乞 取 衣 居 士 悔 惜 瞋 恚 大 喚 賊 向 佛 
T85n2788_001:0623a14	佛即結戒。非親理勿乞。縷緣突。乞衣捨墮。若	佛 即 結 戒 非 親 理 勿 乞 縷 緣 突 乞 衣 捨 墮 若 
T85n2788_001:0623a15	王若賊怨家所奪。若火曰所燒。若自失。若風	王 若 賊 怨 家 所 奪 若 火 曰 所 燒 若 自 失 若 風 
T85n2788_001:0623a16	水所標。以是因緣失衣聽求所。則父母親中	水 所 標 以是因緣 失 衣 聽 求 所 則 父 母 親 中 
T85n2788_001:0623a17	俱取。七世上取。二祖及父下取。兒及二孫中	俱 取 七 世 上 取 二 祖 及 父 下 取 兒 及 二 孫 中 
T85n2788_001:0623a18	取。自身為七世也。姨姑兄弟姉妹伯叔伯祖	取 自 身 為 七 世 也 姨 姑 兄 弟 姉 妹 伯 叔 伯 祖 
T85n2788_001:0623a19	等。七世以內是親故也。小母伯叔母嫂等非	等 七 世 以 內 是 親 故 也 小 母 伯 叔 母 嫂 等 非 
T85n2788_001:0623a20	親親也。赤麻胡麻衣也。翅姨羅者渚沙。染衣	親 親 也 赤 麻 胡 麻 衣 也 翅 姨 羅 者 渚 沙 染 衣 
T85n2788_001:0623a21	也。芻麻即縛麻衣也。無埿洹僧竭支得乞。	也 芻 麻 即 縛 麻 衣 也 無 埿 洹 僧 竭 支 得 乞 
T85n2788_001:0623a22	第七非親理居士居士婦自恣與衣乃至上下	第 七 非 親 理 居 士 居 士 婦 自 恣 與 衣 乃 至 上 下 
T85n2788_001:0623a23	衣應受　前以結戒非親理向乞。好施之人	衣 應 受 前 以 結 戒 非 親 理 向 乞 好 施 之 人 
T85n2788_001:0623a24	哉。有怨恨。若唯親是福。非親何熟。又諸比丘	哉 有 怨 恨 若 唯 親 是 福 非 親 何 熟 又 諸 比 丘 
T85n2788_001:0623a25	因緣失衣。無有親理。求之無所。於是世尊復	因 緣 失 衣 無 有 親 理 求 之 無 所 於 是 世 尊 復 
T85n2788_001:0623a26	為開。三衣有上中下。有三衣為上。餘為下。若	為 開 三 衣 有 上 中 下 有 三 衣 為 上 餘 為 下 若 
T85n2788_001:0623a27	比丘失衣。施者恣與聽。取所少不得過受六	比 丘 失 衣 施 者 恣 與 聽 取 所 少 不 得 過 受 六 
T85n2788_001:0623a28	肘十八肘。是三衣段為割截故各長一肘也。	肘 十 八 肘 是 三 衣 段 為 割 截 故 各 長 一 肘 也 
T85n2788_001:0623a29	第八不得自住非親理所求好衣　跋難陀積	第 八 不 得 自 住 非 親 理 所 求 好 衣 跋 難 陀 積 
T85n2788_001:0623b01	財巨億。又大出息有居士。多負其責。無以歸	財 巨 億 又 大 出 息 有 居 士 多 負 其 責 無 以 歸 
T85n2788_001:0623b02	償欲為難陀作衣。求減息利。所欲作衣。或如	償 欲 為 難 陀 作 衣 求 減 息 利 所 欲 作 衣 或 如 
T85n2788_001:0623b03	是中賈。或如是下賈。又先無慧言恣難陀所	是 中 賈 或 如 是 下 賈 又 先 無 慧 言 恣 難 陀 所 
T85n2788_001:0623b04	求。而難陀既聞便逆往語之。當作如是。如是	求 而 難 陀 既 聞 便 逆 往 語 之 當 作 如 是 如 是 
