T22n1424_001:0214a17	彌沙塞羯磨本	彌 沙 塞 羯 磨 本 
T22n1424_001:0217a13	尊為和上故，得受具足戒。」(三說。和上應答云)「可爾。」(或言)「當	尊 為 和 上 故 得 受具足戒 三 說 和 上 應 答 云 可 爾 或 言 當 
T22n1424_001:0217a14	教授汝。」(或言)「汝莫放逸。」(二阿闍梨亦須加請)二、安受戒人(佛言：	教 授 汝 或 言 汝 莫 放 逸 二 阿 闍 梨 亦 須 加 請 二 安 受 戒 人 佛 言 
T22n1424_001:0217a15	「聽將受戒人著戒壇外眼見耳不聞處。」)。	 聽 將 受 戒 人 著 戒 壇 外 眼 見 耳 不 聞 處 
T22n1424_001:0217a16	三、差教師法(和上應語羯磨師云)「長老！今作羯磨。」(復語教師云)	三 差 教 師 法 和 上 應 語 羯 磨 師 云 長 老 今 作 羯 磨 復 語 教 師 云 
T22n1424_001:0217a17	「長老！今受羯磨。」(如是差已，羯磨師云)「大德僧聽！某甲求某	 長 老 今 受 羯 磨 如 是 差 已 羯 磨 師 云 大德僧聽 某 甲 求 某 
T22n1424_001:0217a18	甲受具足戒，某甲作教師。若僧時到僧忍聽。	甲 受具足戒 某 甲 作 教 師 若僧時到 僧 忍 聽 
T22n1424_001:0217a19	白如是。」四、教師撿(一、問和上，二、問受人。先問和上。應起至和上前云)。	白 如 是 四 教 師 撿 一 問 和 上 二 問 受 人 先 問 和 上 應 起 至 和 上 前 云 
T22n1424_001:0217a20	「已度此人未？」(若言：「未。」應語言)「先度之。」(若言：「已度。」應語言)「為作和上	 已 度 此 人 未 若 言 未 應 語 言 先 度 之 若 言 已 度 應 語 言 為 作 和 上 
T22n1424_001:0217a21	未？」(若言：「未。」應語：「為作和上。」若言：「已作。」應問云)。	未 若 言 未 應 語 為 作 和 上 若 言 已 作 應 問 云 
T22n1424_001:0217a22	「弟子衣鉢具不？」(若言：「未具。」應語：「為具。」若言：「已具。」應問云)。	 弟 子 衣 鉢 具 不 若 言 未 具 應 語 為 具 若 言 已 具 應 問 云 
T22n1424_001:0217a23	「為自有？從人借？」(若言：「從人借。」令捨。若自有，便往慰勞受者云)。	 為 自 有 從 人 借 若 言 從 人 借 令 捨 若 自 有 便 往 慰 勞 受 者 云 
T22n1424_001:0217a24	「汝莫怖懼。須臾持汝著高勝處。何者是僧伽	 汝 莫 怖 懼 須 臾 持 汝 著 高 勝 處 何 者 是 僧 伽 
T22n1424_001:0217a25	梨？何者是優多羅僧？何者是安陀會？」(若言：「不解。」者，應	梨 何 者 是 優 多 羅 僧 何 者 是 安 陀 會 若 言 不 解 者 應 
T22n1424_001:0217a26	教誡之，應與三衣鉢。若先不相識，不應雲霧闇時為教。著時應密[禾*見]，無重病不？又應語云)。	教 誡 之 應 與 三 衣 鉢 若 先 不 相 識 不 應 雲 霧 闇 時 為 教 著 時 應 密 [禾見] 無 重 病 不 又 應 語 云 
T22n1424_001:0217b01	「汝某甲聽！今是實語時。我今問汝，若實言實、	 汝 某 甲 聽 今 是 實 語 時 我 今 問 汝 若 實 言 實 
T22n1424_001:0217b02	不實言不實。」(《僧祇》云：「汝若不實答，便欺誑天魔梵、沙門婆羅門、諸天世人，亦欺誑如來及以眾僧。	不 實 言 不 實 僧 祇 云 汝 若 不 實 答 便 欺 誑 天 魔 梵 沙 門 婆 羅 門 諸 天 世 人 亦 欺 誑 如 來 及 以 眾 僧 
T22n1424_001:0217b03	自得大罪也。」)。	自 得 大 罪 也 
T22n1424_001:0217b04	「汝不殺父耶？汝不殺母耶？汝不殺阿羅漢耶？	 汝 不 殺 父 耶 汝 不 殺 母 耶 汝 不 殺阿羅漢 耶 
T22n1424_001:0217b05	汝不惡心出佛身血耶？汝不破和合僧耶？汝	汝 不 惡心出佛身血 耶 汝 不 破 和 合 僧 耶 汝 
T22n1424_001:0217b06	不犯比丘尼耶？汝非非人耶？汝非畜生耶？汝	不 犯 比 丘 尼 耶 汝 非 非 人 耶 汝 非 畜 生 耶 汝 
T22n1424_001:0217b07	非黃門耶？汝非二形耶？汝非自剃頭自稱比	非 黃 門 耶 汝 非 二 形 耶 汝 非 自 剃 頭 自 稱 比 
T22n1424_001:0217b08	丘耶？汝非捨內外道耶？汝不曾出家持戒不	丘 耶 汝 非 捨 內 外 道 耶 汝 不 曾 出 家 持 戒 不 
T22n1424_001:0217b09	完具耶？」(隨問答皆言無者，又應問言)「人有如是等病，癩癰疽	完 具 耶 隨 問 答 皆 言 無 者 又 應 問 言 人 有 如 是 等 病 癩 癰 疽 
T22n1424_001:0217b10	乾痟癲狂漏熱腫脂出，有不？汝非負債人不？	乾 痟 癲 狂 漏 熱 腫 脂 出 有 不 汝 非 負 債 人 不 
T22n1424_001:0217b11	非官人不？非奴不？年滿二十不？衣鉢具不？受	非 官 人 不 非 奴 不 年 滿 二 十 不 衣 鉢 具 不 受 
T22n1424_001:0217b12	請和上未？汝字何等？和上字何等？父母聽不？	請 和 上 未 汝 字 何 等 和 上 字 何 等 父 母 聽 不 
T22n1424_001:0217b13	欲受具足戒不？」(如是問答，又應教云)「眾中更當如是問汝，	欲 受具足戒 不 如 是 問 答 又 應 教 云 眾 中 更 當 如 是 問 汝 
T22n1424_001:0217b14	汝亦應如實答。」(一一問答皆如法已)五、召入眾法(教師應還壇上立，語羯磨	汝 亦 應 如 實 答 一 一 問 答 皆 如 法 已 五 召 入 眾 法 教 師 應 還 壇 上 立 語 羯 磨 
T22n1424_001:0217b15	師云)「我已教授某甲如法竟。」(羯磨師應作白)「大德僧聽！某	師 云 我 已 教 授 某 甲 如 法 竟 羯 磨 師 應 作 白 大德僧聽 某 
T22n1424_001:0217b16	甲求某甲受具足戒。某甲如法教授竟，應使	甲 求 某 甲 受具足戒 某 甲 如 法 教 授 竟 應 使 
T22n1424_001:0217b17	將來。若僧時到僧忍聽。白如是。」六、教乞戒	將 來 若僧時到 僧 忍 聽 白 如 是 六 教 乞 戒 
T22n1424_001:0217b18	法(教師應將來至僧，次第禮僧足，向羯磨師右膝著地合掌。教師教乞戒云)。	法 教 師 應 將 來 至 僧 次 第 禮 僧 足 向 羯 磨 師 右膝著地 合 掌 教 師 教 乞 戒 云 
T22n1424_001:0217b19	「大德僧聽！我某甲，求某甲和上受具足戒。今	 大德僧聽 我 某 甲 求 某 甲 和 上 受具足戒 今 
T22n1424_001:0217b20	從僧乞受具足戒。願僧拔濟我，憐愍故。」(三說已，教師還	從 僧 乞 受具足戒 願 僧 拔 濟 我 憐 愍 故 三 說 已 教 師 還 
T22n1424_001:0217b21	就本坐)七、戒師問白法(羯磨師應作白云)「大德僧聽！此某	就 本 坐 七 戒 師 問 白 法 羯 磨 師 應 作 白 云 大德僧聽 此 某 
T22n1424_001:0217b22	甲，求某甲受具足戒。今從僧乞受具足戒。我	甲 求 某 甲 受具足戒 今 從 僧 乞 受具足戒 我 
T22n1424_001:0217b23	今當問諸難事，及為作受具足戒羯磨。若僧	今 當 問 諸 難 事 及 為 作 受具足戒 羯 磨 若 僧 
T22n1424_001:0217b24	時到僧忍聽。白如是。」八、羯磨師問法(應問言：「今是實語	時 到 僧 忍 聽 白 如 是 八 羯 磨 師 問 法 應 問 言 今 是 實 語 
T22n1424_001:0217b25	時，乃至欲受具足戒不？」一一如上教師問法也)。	時 乃 至 欲 受具足戒 不 一 一 如 上 教 師 問 法 也 
T22n1424_001:0217b26	九、正授戒法(《薩婆多論》云：「凡欲受戒，先為說法開導心懷，令於一切有情境上起慈悲心，誓救一	九 正 授 戒 法 薩 婆 多 論 云 凡 欲 受 戒 先 為 說 法 開 導 心 懷 令 於 一切有情 境 上 起 慈 悲 心 誓 救 一 
T22n1424_001:0217b27	切眾生，令離五趣、證三乘果，勿求自度受持禁戒。起此增上心，便得增上戒。又戒是諸善根本、菩提正因，惟人道中	切 眾 生 令 離 五 趣 證 三 乘 果 勿 求 自 度 受 持 禁 戒 起 此 增 上 心 便 得 增 上 戒 又 戒 是 諸 善 根 本 菩 提 正 因 惟 人 道 中 
T22n1424_001:0217b28	無遮難者得受此戒。汝今生處人中，身無遮難，堪受具戒，甚為希有。當一心專注，憑仗眾僧求此戒法，如病念醫、如	無 遮 難 者 得 受 此 戒 汝 今 生 處 人 中 身 無 遮 難 堪 受 具 戒 甚 為 希 有 當 一 心 專 注 憑 仗 眾 僧 求 此 戒 法 如 病 念 醫 如 
T22n1424_001:0217c01	飢須食。羯磨神驗、眾僧力大，須臾能舉法界功德置汝身中。汝當歡喜一心諦受。」如是教已應作白言)。	飢 須 食 羯 磨 神 驗 眾 僧 力 大 須 臾 能 舉 法 界 功 德 置 汝 身 中 汝 當 歡 喜 一 心 諦 受 如 是 教 已 應 作 白 言 
T22n1424_001:0217c02	「大德僧聽！此某甲，求某甲受具足戒。某甲自	 大德僧聽 此 某 甲 求 某 甲 受具足戒 某 甲 自 
T22n1424_001:0217c03	說清淨，無諸難事，三衣鉢具，已受和上，父母	說 清 淨 無 諸 難 事 三 衣 鉢 具 已 受 和 上 父 母 
T22n1424_001:0217c04	聽許，已從僧乞受具足戒。僧今與某甲受具	聽 許 已 從 僧 乞 受具足戒 僧 今 與 某 甲 受 具 
T22n1424_001:0217c05	足戒，和上某甲。若僧時到僧忍聽。白如是。」(《僧祇	足 戒 和 上 某 甲 若僧時到 僧 忍 聽 白 如 是 僧 祇 
T22n1424_001:0217c06	律》云：「作白已，問僧成就不？乃至羯磨第一、第二、第三亦如是問。問已須答成與不成。」《十誦》云：「羯磨時當一心聽，莫餘覺	律 云 作 白 已 問 僧 成 就 不 乃 至 羯 磨 第 一 第 二 第 三 亦 如 是 問 問 已 須 答 成 與 不 成 十 誦 云 羯 磨 時 當 一 心 聽 莫 餘 覺 
T22n1424_001:0217c07	餘思惟。敬重正思惟，心心憶念應分別之。違者突吉羅。」)	餘 思 惟 敬 重 正 思 惟 心 心 憶 念 應 分 別 之 違 者 突 吉 羅 
T22n1424_001:0217c08	「大德僧聽！此某甲，求某甲受具足戒。某甲自	 大德僧聽 此 某 甲 求 某 甲 受具足戒 某 甲 自 
T22n1424_001:0217c09	說清淨，無諸難事，三衣鉢具，已受和上，父母	說 清 淨 無 諸 難 事 三 衣 鉢 具 已 受 和 上 父 母 
T22n1424_001:0217c10	聽許，已從僧乞受具足戒。僧今與某甲受具	聽 許 已 從 僧 乞 受具足戒 僧 今 與 某 甲 受 具 
T22n1424_001:0217c11	足戒，和上某甲。誰諸長老忍，默然；不忍者說。」	足 戒 和 上 某 甲 誰 諸 長 老 忍 默 然 不 忍 者 說 
T22n1424_001:0217c12	(三說)「僧已與某甲受具足戒，和上某甲竟。僧忍，	 三 說 僧 已 與 某 甲 受具足戒 和 上 某 甲 竟 僧 忍 
T22n1424_001:0217c13	默然故，是事如是持。」次說墮相(時諸比丘受具戒已，在前歸還。新受	默 然 故 是事如是持 次 說 墮 相 時 諸 比 丘 受 具 戒 已 在 前 歸 還 新 受 
T22n1424_001:0217c14	戒人犯重罪，佛言：「受具戒竟應為說十二法：四墮法、四喻法、四依法。」)。	戒 人 犯 重 罪 佛 言 受 具 戒 竟 應 為 說 十 二 法 四 墮 法 四 喻 法 四 依 法 
T22n1424_001:0217c15	「汝某甲聽！世尊、應供、等正覺說是四墮法。若	 汝 某 甲 聽 世 尊 應 供 等 正 覺 說 是 四 墮 法 若 
T22n1424_001:0217c16	比丘犯一一法，非釋種子。汝終不得乃至以	比 丘 犯 一 一 法 非 釋 種 子 汝 終 不 得 乃 至 以 
T22n1424_001:0217c17	欲染心視女人。若比丘行婬法，乃至共畜生，	欲 染 心 視 女 人 若 比 丘 行 婬 法 乃 至 共 畜 生 
T22n1424_001:0217c18	非沙門、非釋種子。汝盡形壽不應犯。能持不？」	非 沙 門 非 釋 種 子 汝 盡 形 壽 不 應 犯 能 持 不 
T22n1424_001:0217c19	(答言：「能持。」)「汝終不得乃至草葉不與而取。若比丘盜	 答 言 能 持 汝 終 不 得 乃 至 草 葉 不 與 而 取 若 比 丘 盜 
T22n1424_001:0217c20	五錢、若五錢物，非沙門、非釋種子。汝盡形壽	五 錢 若 五 錢 物 非 沙 門 非 釋 種 子 汝 盡 形 壽 
T22n1424_001:0217c21	不應犯。能持不？」(答言：「能持。」)「汝終不得乃至殺蟻子。若	不 應 犯 能 持 不 答 言 能 持 汝 終 不 得 乃 至 殺 蟻 子 若 
T22n1424_001:0217c22	比丘，若人、若人類，自手殺、若教人殺、若求刀	比 丘 若 人 若 人 類 自 手 殺 若 教 人 殺 若 求 刀 
T22n1424_001:0217c23	與、若教死、若讚死：『咄丈夫！用惡活為！死勝生。』	與 若 教 死 若 讚 死 咄 丈 夫 用 惡 活 為 死 勝 生 
T22n1424_001:0217c24	非沙門、非釋種子。汝盡形壽不應犯。能持不？」	非 沙 門 非 釋 種 子 汝 盡 形 壽 不 應 犯 能 持 不 
T22n1424_001:0217c25	(答言：「能持。」)「汝終不得乃至戲笑妄語。若比丘實無過	 答 言 能 持 汝 終 不 得 乃 至 戲 笑 妄 語 若 比 丘 實 無 過 
T22n1424_001:0217c26	人法，自稱得過人法：諸禪、解脫、三昧正受及	人 法 自 稱 得 過 人 法 諸 禪 解 脫 三 昧 正 受 及 
T22n1424_001:0217c27	諸道果，非沙門、非釋種子。汝盡形壽不應犯。	諸 道 果 非 沙 門 非 釋 種 子 汝 盡 形 壽 不 應 犯 
T22n1424_001:0217c28	能持不？」(答言：「能持。」)「諸佛世尊為示現事善說譬喻，猶	能 持 不 答 言 能 持 諸佛世尊 為 示 現 事 善 說 譬 喻 猶 
T22n1424_001:0217c29	如人死終不能以此身更生，如針鼻決永	如 人 死 終 不 能 以 此 身 更 生 如 針 鼻 決 永 
T22n1424_001:0218a01	不復得為針用，如多羅樹心斷更不生不增	不 復 得 為 針 用 如 多 羅 樹 心 斷 更 不 生 不 增 
T22n1424_001:0218a02	不廣，如石破不可復合。若比丘犯一一墮法，	不 廣 如 石 破 不 可 復 合 若 比 丘 犯 一 一 墮 法 
T22n1424_001:0218a03	還得比丘法，無有是處。」受四依法(應語言)。「汝某	還 得 比 丘 法 無 有 是 處 受 四 依 法 應 語 言 汝 某 
T22n1424_001:0218a04	甲聽！世尊、應供、等正覺說四依法。比丘盡形	甲 聽 世 尊 應 供 等 正 覺 說 四 依 法 比 丘 盡 形 
T22n1424_001:0218a05	壽依糞掃衣住，出家受具足戒。能持不？」(答言：「能。」)	壽 依 糞 掃 衣 住 出 家 受具足戒 能 持 不 答 言 能 
T22n1424_001:0218a06	「若後得劫貝衣、欽婆羅衣、拘舍那衣、他家衣，	 若 後 得 劫 貝 衣 欽 婆 羅 衣 拘 舍 那 衣 他 家 衣 
T22n1424_001:0218a07	皆是長得。」「比丘盡形壽依乞食住，出家受具	皆 是 長 得 比 丘 盡 形 壽 依 乞 食 住 出 家 受 具 
T22n1424_001:0218a08	足戒。能持不？」(答言：「能。」)「若後得僧前食、後食、請食，皆	足 戒 能 持 不 答 言 能 若 後 得 僧 前 食 後 食 請 食 皆 
T22n1424_001:0218a09	是長得。」「比丘盡形壽依樹下住，出家受具足	是 長 得 比 丘 盡 形 壽 依 樹 下 住 出 家 受 具 足 
T22n1424_001:0218a10	戒。能持不？」(答言：「能。」)「若後得大小屋、重屋，皆是長	戒 能 持 不 答 言 能 若 後 得 大 小 屋 重 屋 皆 是 長 
T22n1424_001:0218a11	得。」「比丘盡形壽依殘棄藥住，出家受具足戒。	得 比 丘 盡 形 壽 依 殘 棄 藥 住 出 家 受具足戒 
T22n1424_001:0218a12	能持不？」(答言：「能。」)「若後得酥、油、蜜、石蜜，皆是長得。」(復應	能 持 不 答 言 能 若 後 得 酥 油 蜜 石 蜜 皆 是 長 得 復 應 
T22n1424_001:0218a13	語言)「汝某甲聽！汝白四羯磨得如法受具足戒	語 言 汝 某 甲 聽 汝 白四羯磨 得 如 法 受具足戒 
T22n1424_001:0218a14	竟，諸天龍鬼神皆作是願：『我何時當得人身，	竟 諸 天 龍 鬼 神 皆 作 是 願 我 何 時 當 得 人 身 
T22n1424_001:0218a15	於正法律中出家受具足戒？』汝今已得。如人	於 正 法 律 中 出 家 受具足戒 汝 今 已 得 如 人 
T22n1424_001:0218a16	受王位，汝受比丘法亦如是。當忍易共語、恭	受 王 位 汝 受 比 丘 法 亦 如 是 當 忍 易 共 語 恭 
T22n1424_001:0218a17	敬受誡。餘戒，和上阿闍梨當廣為汝說。汝當	敬 受 誡 餘 戒 和 上 阿 闍 梨 當 廣 為 汝 說 汝 當 
T22n1424_001:0218a18	早得具足學三戒、滅三火、離三界，無復諸垢，	早 得 具 足 學 三 戒 滅 三 火 離 三 界 無 復 諸 垢 
T22n1424_001:0218a19	成阿羅漢。」(時受戒人不知年歲及受戒時，佛言：「應教令知。汝受戒時某年月日，汝應盡壽憶是事。」諸	成 阿 羅 漢 時 受 戒 人 不 知 年 歲 及 受 戒 時 佛 言 應 教 令 知 汝 受 戒 時 某 年 月 日 汝 應 盡 壽 憶 是 事 諸 
T22n1424_001:0218a20	律及論並云：和上闍梨為記春夏之冬時，某月某日乃至量影。此律又云：時諸比丘無上下坐，不相恭敬，為俗譏呵。	律 及 論 並 云 和 上 闍 梨 為 記 春 夏 之 冬 時 某 月 某 日 乃 至 量 影 此 律 又 云 時 諸 比 丘 無 上 下 坐 不 相 恭 敬 為 俗 譏 呵 
T22n1424_001:0218a21	佛言：「畜生尚有尊卑，況我正法而不相敬？汝等從今，先受戒者應受第一坐、第一施、恭敬禮拜。如是奉行。」《四分律》云：	佛 言 畜 生 尚 有 尊 卑 況 我 正 法 而 不 相 敬 汝 等 從 今 先 受 戒 者 應 受 第 一 坐 第 一 施 恭敬禮拜 如 是 奉 行 四 分 律 云 
T22n1424_001:0218a22	「當令受具戒者在前而去。」)	 當 令 受 具 戒 者 在 前 而 去 
T22n1424_001:0218a23	請依止師法(諸比丘和上喪，以無和上阿闍梨故，著上下衣不能如法，皆如上說。佛言：「從今以十	請 依 止 師 法 諸 比 丘 和 上 喪 以 無 和 上 阿 闍 梨 故 著 上 下 衣 不 能 如 法 皆 如 上 說 佛 言 從 今 以 十 
T22n1424_001:0218a24	利故，聽諸比丘有阿闍梨。」自然生心視弟子如兒，弟子自然生心視阿闍梨如父，事如和上中說。至闍梨所，文云，偏	利 故 聽 諸 比 丘 有 阿 闍 梨 自 然 生 心 視 弟 子 如 兒 弟 子 自 然 生 心 視 阿 闍 梨 如 父 事 如 和 上 中 說 至 闍 梨 所 文 云 偏 
T22n1424_001:0218a25	袒右肩，脫革屣，胡跪合掌請云)。	袒 右 肩 脫 革 屣 胡 跪 合 掌 請 云 
T22n1424_001:0218a26	「大德一心念！我某甲，今求尊依止。願尊為我	 大 德 一 心 念 我 某 甲 今 求 尊 依 止 願 尊 為 我 
T22n1424_001:0218a27	作依止，我依止尊住，尊當教誡我，我當受尊	作 依 止 我 依 止 尊 住 尊 當 教 誡 我 我 當 受 尊 
T22n1424_001:0218a28	教誡。」(律不云三，但一具得。闍梨應答云)「汝莫放逸。」五種不共語法	教 誡 律 不 云 三 但 一 具 得 闍 梨 應 答 云 汝 莫 放 逸 五 種 不 共 語 法 
T22n1424_001:0218b01	(時六群比丘不敬戒，於師無慚無愧，不敬不愛不供養。佛言：「應作五種不共語法。」)。	 時 六群比丘 不 敬 戒 於 師 無慚無愧 不 敬 不 愛 不 供 養 佛 言 應 作 五 種 不 共 語 法 
T22n1424_001:0218b02	一、語言汝莫共我語。二、汝所有莫白我。三、莫	一 語 言 汝 莫 共 我 語 二 汝 所 有 莫 白 我 三 莫 
T22n1424_001:0218b03	入我房。四、莫捉我衣鉢及助我眾事。五、莫來	入 我 房 四 莫 捉 我 衣 鉢 及 助 我 眾 事 五 莫 來 
T22n1424_001:0218b04	見我。弟子悔過(佛言：「師作不共語時，弟子應悔過。」偏袒右肩右膝著地，以兩手捧師足，極	見 我 弟 子 悔 過 佛 言 師 作 不 共 語 時 弟 子 應 悔 過 偏袒右肩 右膝著地 以 兩 手 捧 師 足 極 
T22n1424_001:0218b05	自卑下白言云)。	自 卑 下 白 言 云 
T22n1424_001:0218b06	「我小我癡，後不敢復作。」(若師受悔過者，弟子罪則除滅)	 我 小 我 癡 後 不 敢 復 作 若 師 受 悔 過 者 弟 子 罪 則 除 滅 
T22n1424_001:0218b07	尼眾授戒法(《善見論》云：「尼者女也，摩者母也。重尼故稱之。」《智度論》云：「尼得無量律儀故，應次比丘	尼 眾 授 戒 法 善 見 論 云 尼 者 女 也 摩 者 母 也 重 尼 故 稱 之 智 度 論 云 尼 得 無 量 律 儀 故 應 次 比 丘 
T22n1424_001:0218b08	後。佛以儀式不便故，在沙彌後。」)。	後 佛 以 儀 式 不 便 故 在 沙 彌 後 
T22n1424_001:0218b09	授沙彌尼戒法(其畜眾羯磨及剃髮出家等法，一一如比丘中說。唯和上須滿十二歲，加尼字	授 沙彌尼戒 法 其 畜 眾 羯 磨 及 剃 髮 出 家 等 法 一 一 如 比 丘 中 說 唯 和 上 須 滿 十 二 歲 加 尼 字 
T22n1424_001:0218b10	為異。其度沙彌尼、式叉摩那，大比丘尼並須別作畜眾羯磨，以其年年度弟子犯罪故、或捨畜眾法故。乞與之法並	為 異 其 度 沙 彌 尼 式叉摩那 大 比 丘 尼 並 須 別 作 畜 眾 羯 磨 以 其 年 年 度 弟 子 犯 罪 故 或 捨 畜 眾 法 故 乞 與 之 法 並 
T22n1424_001:0218b11	可准知，更不重述也)。	可 准 知 更 不 重 述 也 
T22n1424_001:0218b12	受式叉摩那戒法(律云：時諸比丘尼不先授弟子二歲戒，便受大戒。愚癡無知，不能學	受 式叉摩那 戒 法 律 云 時 諸比丘尼 不 先 授 弟 子 二 歲 戒 便 受 大 戒 愚 癡 無 知 不 能 學 
T22n1424_001:0218b13	戒。佛言：「不應爾。犯者突吉羅。」《十誦》中，輒度妊娠女人，招致呵責。佛言：「與二歲羯磨，可知有無。」然六法淨心、二歲淨心，	戒 佛 言 不 應 爾 犯 者 突 吉 羅 十 誦 中 輒 度 妊 娠 女 人 招 致 呵 責 佛 言 與 二 歲 羯 磨 可 知 有 無 然 六 法 淨 心 二 歲 淨 心 
T22n1424_001:0218b14	准《四分律》，十八童女、十歲曾嫁，各二歲學戒，滿二十、十二已，受具足戒。依此律中，或可如是。或十八童女，以不勞苦，志	准 四 分 律 十 八 童 女 十 歲 曾 嫁 各 二 歲 學 戒 滿 二 十 十 二 已 受具足戒 依 此 律 中 或 可 如 是 或 十 八 童 女 以 不 勞 苦 志 
T22n1424_001:0218b15	節未成，與二歲法。十二曾嫁，為經勞苦，操行以成，即與受具足，不須學戒，但作白四羯磨量其堪不？故尼戒云：雖滿十	節 未 成 與 二 歲 法 十 二 曾 嫁 為 經 勞 苦 操 行 以 成 即 與 受 具 足 不 須 學 戒 但 作 白四羯磨 量 其 堪 不 故 尼 戒 云 雖 滿 十 
T22n1424_001:0218b16	二歲已嫁女，而女聾瘂種種諸病，諸比丘尼與受具足戒。愚癡無知，不能學戒。佛言：「今聽諸比丘尼白四羯磨與滿十	二 歲 已 嫁 女 而 女 聾 瘂 種 種 諸 病 諸比丘尼 與 受具足戒 愚 癡 無 知 不 能 學 戒 佛 言 今 聽 諸比丘尼 白四羯磨 與 滿 十 
T22n1424_001:0218b17	二歲已嫁女人受具足戒。彼欲受戒人，應到比丘尼僧中白言：『阿姨僧聽！我某甲，已嫁，滿十二歲，求某甲和上受具足	二 歲 已 嫁 女 人 受具足戒 彼 欲 受 戒 人 應 到 比 丘 尼 僧 中 白 言 阿 姨 僧 聽 我 某 甲 已 嫁 滿 十 二 歲 求 某 甲 和 上 受 具 足 
T22n1424_001:0218b18	戒。今從僧乞受具足戒。善哉！僧與我受具足戒，憐愍故。』如是三乞。諸比丘尼應籌量，可與受不可與受。」)	戒 今 從 僧 乞 受具足戒 善 哉 僧 與 我 受具足戒 憐 愍 故 如 是 三 乞 諸比丘尼 應 籌 量 可 與 受 不 可 與 受 
T22n1424_001:0218b19	應一比丘尼羯磨如上(謂如上與畜眾法中說，或可作羯磨，詞句如上乞詞中說，	應 一 比 丘 尼 羯 磨 如 上 謂 如 上 與 畜 眾 法 中 說 或 可 作 羯 磨 詞 句 如 上 乞 詞 中 說 
T22n1424_001:0218b20	更不別說羯磨之詞)。	更 不 別 說 羯 磨 之 詞 
T22n1424_001:0218b21	有諸德云：此文(即是受具足戒。今以多義，知非受具。但是請僧量宜可，不請秉法者，幸自	有 諸 德 云 此 文 即 是 受具足戒 今 以 多 義 知 非 受 具 但 是 請 僧 量 宜 可 不 請 秉 法 者 幸 自 
T22n1424_001:0218b22	詳之)。	詳 之 
T22n1424_001:0218b23	乞二歲學戒法(佛言：「欲受學戒人，到比丘尼僧中三乞。應具威儀，偏露右肩，脫革屣，禮僧足，胡	乞 二 歲 學 戒 法 佛 言 欲 受 學 戒 人 到 比 丘 尼 僧 中 三 乞 應 具 威 儀 偏露右肩 脫 革 屣 禮 僧 足 胡 
T22n1424_001:0218b24	跪合掌白言：」)	跪 合 掌 白 言 
T22n1424_001:0218b25	「阿姨僧聽！我某甲，和上某甲，今從僧乞二歲	 阿 姨 僧 聽 我 某 甲 和 上 某 甲 今 從 僧 乞 二 歲 
T22n1424_001:0218c01	學戒。善哉阿姨僧！與我二歲學戒，憐愍故。」(三說	學 戒 善 哉 阿 姨 僧 與 我 二 歲 學 戒 憐 愍 故 三 說 
T22n1424_001:0218c02	乞已。沙彌尼應住不聞處眼見處立)	乞 已 沙 彌 尼 應 住 不 聞 處 眼 見 處 立 
T22n1424_001:0218c03	與二歲學戒法(律云：諸比丘尼，應善籌量可與不與？應作白二羯磨云)。	與 二 歲 學 戒 法 律 云 諸比丘尼 應 善 籌 量 可 與 不 與 應 作 白二羯磨 云 
T22n1424_001:0218c04	「阿姨僧聽！此某甲沙彌尼，和上某甲，今從僧	 阿 姨 僧 聽 此 某 甲 沙 彌 尼 和 上 某 甲 今 從 僧 
T22n1424_001:0218c05	乞二歲學戒。僧今與某甲沙彌尼，和上某甲，	乞 二 歲 學 戒 僧 今 與 某 甲 沙 彌 尼 和 上 某 甲 
T22n1424_001:0218c06	二歲學戒。若僧時到僧忍聽。白如是。」「阿姨僧	二 歲 學 戒 若僧時到 僧 忍 聽 白 如 是 阿 姨 僧 
T22n1424_001:0218c07	聽！此某甲沙彌尼，和上某甲，今從僧乞二歲	聽 此 某 甲 沙 彌 尼 和 上 某 甲 今 從 僧 乞 二 歲 
T22n1424_001:0218c08	學戒。誰諸長老忍者默然，不忍者說。僧已與	學 戒 誰 諸 長 老 忍 者 默 然 不 忍 者 說 僧 已 與 
T22n1424_001:0218c09	某甲沙彌尼，和上某甲，二歲學戒竟。僧忍，默	某 甲 沙 彌 尼 和 上 某 甲 二 歲 學 戒 竟 僧 忍 默 
T22n1424_001:0218c10	然故，是事如是持。」次說戒相法(佛言：「應與說六法名字。」)「某	然 故 是事如是持 次 說 戒 相 法 佛 言 應 與 說 六 法 名 字 某 
T22n1424_001:0218c11	甲聽！如來、應供、等正覺說六法不得犯，一切	甲 聽 如 來 應 供 等 正 覺 說 六 法 不 得 犯 一 切 
T22n1424_001:0218c12	不得婬乃至以染著心看他男子。若式叉摩	不 得 婬 乃 至 以 染 著 心 看 他 男 子 若 式 叉 摩 
T22n1424_001:0218c13	那行婬法乃至畜生，非式叉摩那、非釋種女。	那 行 婬 法 乃 至 畜 生 非 式叉摩那 非 釋 種 女 
T22n1424_001:0218c14	是中盡形壽不得犯。能持不？」(答言：「能。」)「一切不得偷	是 中 盡 形 壽 不 得 犯 能 持 不 答 言 能 一 切 不 得 偷 
T22n1424_001:0218c15	盜乃至草葉。若式叉摩那，若聚落、若空地，他	盜 乃 至 草 葉 若 式叉摩那 若 聚 落 若 空 地 他 
