T85n2794_001:0683c03	律抄	律 抄 
T85n2794_001:0685c20	恥為沙彌。十五得名沙彌。五部薩婆多部律	恥 為 沙 彌 十 五 得 名 沙 彌 五 部 薩 婆 多 部 律 
T85n2794_001:0685c21	私記　一僧祇十誦四分三部律抄　夫戒律	私 記 一 僧 祇 十 誦 四 分 三 部 律 抄 夫 戒 律 
T85n2794_001:0685c22	之典。良由群惑起患。除戒無以息其非。自乖	之 典 良 由 群 惑 起 患 除 戒 無 以 息 其 非 自 乖 
T85n2794_001:0685c23	止患功由於戒。戒具萬行之津要。摧魔之勝	止 患 功 由 於 戒 戒 具 萬 行 之 津 要 摧 魔 之 勝 
T85n2794_001:0685c24	幢。愴始造行。終階妙果。斯由於戒。非戒不	幢 愴 始 造 行 終 階 妙 果 斯 由 於 戒 非 戒 不 
T85n2794_001:0685c25	通。是以西域時人。出家並以戒學為先。但戒	通 是 以 西 域 時 人 出 家 並 以 戒 學 為 先 但 戒 
T85n2794_001:0685c26	律東緣流布。漢地時人。雖優依之出家而不	律 東 緣 流 布 漢 地 時 人 雖 優 依 之 出 家 而 不 
T85n2794_001:0685c27	廢其戒學。競榮餘業。可謂捨本攬條。以自巔	廢 其 戒 學 競 榮 餘 業 可 謂 捨 本 攬 條 以 自 巔 
T85n2794_001:0685c28	隧方欲遠涉生死長津。迷於發足之趣。雖復	隧 方 欲 遠 涉 生 死 長 津 迷 於 發 足 之 趣 雖 復 
T85n2794_001:0685c29	立談高勝。行之者尠。大聖所以使出家之人	立 談 高 勝 行 之 者 尠 大 聖 所 以 使 出家之人 
T85n2794_001:0686a01	先學戒者何。良以戒是生死足導資糧。漂流	先 學 戒 者 何 良 以 戒 是 生 死 足 導 資 糧 漂 流 
T85n2794_001:0686a02	船栰。運澁行人從此到彼。莫不由戒。大聖興	船 栰 運 澁 行 人 從 此 到 彼 莫 不 由 戒 大 聖 興 
T85n2794_001:0686a03	世度人。得戒乃可無量。大泮而言有其十種	世 度 人 得 戒 乃 可 無 量 大 泮 而 言 有 其 十 種 
T85n2794_001:0686a04	得戒。其十者何。一者自然得。唯明如來樹王	得 戒 其 十 者 何 一 者 自 然 得 唯 明 如 來 樹 王 
T85n2794_001:0686a05	成道。不從師諮。八萬律儀自然具足。二者法	成 道 不 從 師 諮 八 萬 律 儀 自 然 具 足 二 者 法 
T85n2794_001:0686a06	輪得戒。初為橋陳如等轉四諦法輪。陳如見	輪 得 戒 初 為 橋 陳 如 等 轉 四 諦 法 輪 陳 如 見 
T85n2794_001:0686a07	諦以得戒。故曰法輪僧也。三者善來得戒者。	諦 以 得 戒 故 曰 法 輪 僧 也 三 者 善 來 得 戒 者 
T85n2794_001:0686a08	前人背惡歸宗。如來應根發唱。唱必有益。應	前 人 背 惡 歸 宗 如 來 應 根 發 唱 唱 必 有 益 應 
T85n2794_001:0686a09	時發戒。故曰善來僧也。四三歸得戒者。明如	時 發 戒 故 曰 善 來 僧 也 四 三 歸 得 戒 者 明 如 
T85n2794_001:0686a10	來弟子將服化。倉生既無善來之德。但教受	來 弟 子 將 服 化 倉 生 既 無 善 來 之 德 但 教 受 
T85n2794_001:0686a11	三歸即名得也。五者自誓得戒。摩訶迦葉妙	三 歸 即 名 得 也 五 者 自 誓 得 戒 摩 訶 迦 葉 妙 
T85n2794_001:0686a12	因深厚。於如來前自誓要心得具足戒。六者	因 深 厚 於 如 來 前 自 誓 要 心 得 具 足 戒 六 者 
T85n2794_001:0686a13	論義得戒。須陀沙彌七歲共佛對談往復稱	論 義 得 戒 須 陀 沙 彌 七 歲 共 佛 對 談 往 復 稱 
T85n2794_001:0686a14	基。因斯悟道故以論義為名。七八敬得戒者。	基 因 斯 悟 道 故 以 論 義 為 名 七 八 敬 得 戒 者 
T85n2794_001:0686a15	唯令夷五百女人因奉八敬得具足戒。八遣	唯 令 夷 五 百 女 人 因 奉 八 敬 得 具 足 戒 八 遣 
T85n2794_001:0686a16	使受戒者。明此尼端故若出坊寺必為外人	使 受 戒 者 明 此 尼 端 故 若 出 坊 寺 必 為 外 人 
T85n2794_001:0686a17	壞其梵行。聖教開通遣使受戒。九者為邊國	壞 其 梵 行 聖 教 開 通 遣 使 受 戒 九 者 為 邊 國 
T85n2794_001:0686a18	眾僧難得。聖教回開持律五人得受具足戒。	眾 僧 難 得 聖 教 回 開 持 律 五 人 得 受具足戒 
T85n2794_001:0686a19	十者明中國十眾。除和上得受具足。四分者	十 者 明 中 國 十 眾 除 和 上 得 受 具 足 四 分 者 
T85n2794_001:0686a20	大僧戒本。以為初分。尼戒與大僧不同為第	大 僧 戒 本 以 為 初 分 尼 戒 與 大 僧 不 同 為 第 
T85n2794_001:0686a21	二分。從安居揵度盡法揵度以來目為第三	二 分 從 安 居 揵 度 盡 法 揵 度 以 來 目 為 第 三 
T85n2794_001:0686a22	分。從房舍捨度盡增一以來目為第四分。此	分 從 房 舍 捨 度 盡 增 一 以 來 目 為 第 四 分 此 
T85n2794_001:0686a23	皆成一部之緣。但明義不同故曰分。律者西	皆 成 一 部 之 緣 但 明 義 不 同 故 曰 分 律 者 西 
T85n2794_001:0686a24	域胡音。此土而言。以詮量為稱。能詮名字指	域 胡 音 此 土 而 言 以 詮 量 為 稱 能 詮 名 字 指 
T85n2794_001:0686a25	之為律。所詮無作稱之為藏。藏者無作戒善	之 為 律 所 詮 無 作 稱 之 為 藏 藏 者 無 作 戒 善 
T85n2794_001:0686a26	苞福多容隱而難測。能律益行人。所以稱藏。	苞 福 多 容 隱 而 難 測 能 律 益 行 人 所 以 稱 藏 
T85n2794_001:0686a27	能防未起惑非。因之為戒。戒有二種。何等為	能 防 未 起 惑 非 因 之 為 戒 戒 有 二 種 何 等 為 
T85n2794_001:0686a28	二。一者是作戒。二是無作戒。言作戒者。要由	二 一 者 是 作 戒 二 是 無 作 戒 言 作 戒 者 要 由 
T85n2794_001:0686a29	心發則有心止則無　故曰作戒。無作戒者。因	心 發 則 有 心 止 則 無 故 曰 作 戒 無 作 戒 者 因 
T85n2794_001:0686b01	其作戒一發不失。始末恒隨不侍更作心方	其 作 戒 一 發 不 失 始 末 恒 隨 不 侍 更 作 心 方 
T85n2794_001:0686b02	有。故曰無作戒。典發之由稱之為序。發唱之	有 故 曰 無 作 戒 典 發 之 由 稱 之 為 序 發 唱 之 
T85n2794_001:0686b03	首言第一　五部律典能與末代出家成軌禁	首 言 第 一 五 部 律 典 能 與 末 代 出 家 成 軌 禁 
T85n2794_001:0686b04	非。故稱之為戒。禁非夷惡故。比丘文字能詮	非 故 稱 之 為 戒 禁 非 夷 惡 故 比 丘 文 字 能 詮 
T85n2794_001:0686b05	指之為律。此三皆可軌之生善度。世良由此	指 之 為 律 此 三 皆 可 軌 之 生 善 度 世 良 由 此 
T85n2794_001:0686b06	也。但時人出家雖仰尋幽指碩。自安身然復	也 但 時 人 出 家 雖 仰 尋 幽 指 碩 自 安 身 然 復 
T85n2794_001:0686b07	不能尋求律典。用自決泮。但相承誦傳致合	不 能 尋 求 律 典 用 自 決 泮 但 相 承 誦 傳 致 合 
T85n2794_001:0686b08	壁。悟者眾。今雖有五部流布天下。餘二未	壁 悟 者 眾 今 雖 有 五 部 流 布 天 下 餘 二 未 
T85n2794_001:0686b09	見。且就三部。僧祇十誦四分明其受戒。僧祇	見 且 就 三 部 僧 祇 十 誦 四 分 明 其 受 戒 僧 祇 
T85n2794_001:0686b10	云。凡欲受戒要身六緣得名如法。其六者何。	云 凡 欲 受 戒 要 身 六 緣 得 名 如 法 其 六 者 何 
T85n2794_001:0686b11	一者受戒人年滿二十。二者受戒人身無十	一 者 受 戒 人 年 滿 二 十 二 者 受 戒 人 身 無 十 
T85n2794_001:0686b12	三難障。三者結界成就。四者界內盡集無其	三 難 障 三 者 結 界 成 就 四 者 界 內 盡 集 無 其 
T85n2794_001:0686b13	別眾。五者羯磨稱文無其多少。六者僧數滿	別 眾 五 者 羯 磨 稱 文 無 其 多 少 六 者 僧 數 滿 
T85n2794_001:0686b14	足。若具六緣名善受具戒。若六中闕一皆不	足 若 具 六 緣 名 善 受 具 戒 若 六 中 闕 一 皆 不 
T85n2794_001:0686b15	得戒　僧祇律云。不滿二十兩減二十年者。	得 戒 僧 祇 律 云 不 滿 二 十 兩 減 二 十 年 者 
T85n2794_001:0686b16	此是夏前生人。所以知然。此人滿十九以過	此 是 夏 前 生 人 所 以 知 然 此 人 滿 十 九 以 過 
T85n2794_001:0686b17	夏。向二十時始得十九夏。故言兩減。未至前	夏 向 二 十 時 始 得 十 九 夏 故 言 兩 減 未 至 前 
T85n2794_001:0686b18	歲故言年減。此人不得戒。文言減二十兩滿	歲 故 言 年 減 此 人 不 得 戒 文 言 減 二 十 兩 滿 
T85n2794_001:0686b19	二十年者。此人是夏前生人。滿二十時故言	二 十 年 者 此 人 是 夏 前 生 人 滿 二 十 時 故 言 
T85n2794_001:0686b20	年滿。未過前夏故言兩減。此人亦不得戒。文	年 滿 未 過 前 夏 故 言 兩 減 此 人 亦 不 得 戒 文 
T85n2794_001:0686b21	言減二十兩過二十年者。此夏後生人。何以	言 減 二 十 兩 過 二 十 年 者 此 夏 後 生 人 何 以 
T85n2794_001:0686b22	知然。此人滿二十一時故言年過。安居未竟	知 然 此 人 滿 二 十 一 時 故 言 年 過 安 居 未 竟 
T85n2794_001:0686b23	故言兩減。此人若受戒者。有得不得。云何為	故 言 兩 減 此 人 若 受 戒 者 有 得 不 得 云 何 為 
T85n2794_001:0686b24	得。若八月十五日後生者。二十一時此人得	得 若 八 月十五日 後 生 者 二 十 一 時 此 人 得 
T85n2794_001:0686b25	戒。通胎中滿夏故得。云何不得。若是五月十	戒 通 胎 中 滿 夏 故 得 云 何 不 得 若 是 五 月 十 
T85n2794_001:0686b26	五日後生。至七月十五日前生者。滿二十一	五 日 後 生 至 七 月十五日 前 生 者 滿 二 十 一 
T85n2794_001:0686b27	時亦不得受戒。何以故。無胎中夏故不得。文	時 亦 不 得 受 戒 何 以 故 無 胎 中 夏 故 不 得 文 
T85n2794_001:0686b28	言減二十年時人謂滿與受具足得名受戒	言 減 二 十 年 時 人 謂 滿 與 受 具 足 得 名 受 戒 
T85n2794_001:0686b29	者。非是一切皆得。唯正月生人滿十九過夏	者 非 是 一 切 皆 得 唯 正 月 生 人 滿 十 九 過 夏 
T85n2794_001:0686c01	向二十時此人得戒。何以故。有胎受故。唯正	向 二 十 時 此 人 得 戒 何 以 故 有 胎 受 故 唯 正 
T85n2794_001:0686c02	月生者。餘十一月皆不得戒。文言年滿夏滿	月 生 者 餘 十 一 月 皆 不 得 戒 文 言 年 滿 夏 滿 
T85n2794_001:0686c03	者。此亦是夏前生人。滿二十已過夏向二十	者 此 亦 是 夏 前 生 人 滿 二 十 已 過 夏 向 二 十 
T85n2794_001:0686c04	一時名年滿。亦名兩滿。名受具足。文言夏滿	一 時 名 年 滿 亦 名 兩 滿 名 受 具 足 文 言 夏 滿 
T85n2794_001:0686c05	年過者。此是夏後生人。滿二十一過夏向二	年 過 者 此 是 夏 後 生 人 滿 二 十 一 過 夏 向 二 
T85n2794_001:0686c06	十二時名善受具足。文言看手足者。要年滿	十 二 時 名 善 受 具 足 文 言 看 手 足 者 要 年 滿 
T85n2794_001:0686c07	手足成就得名受戒。手足雖成就。若年不滿	手 足 成 就 得 名 受 戒 手 足 雖 成 就 若 年 不 滿 
T85n2794_001:0686c08	者不名受戒。上來所明受戒得以不得皆僧	者 不 名 受 戒 上 來 所 明 受 戒 得 以 不 得 皆 僧 
T85n2794_001:0686c09	祇所泮。十誦明受戒有二十四句。得以不得	祇 所 泮 十 誦 明 受 戒 有 二 十 四 句 得 以 不 得 
T85n2794_001:0686c10	一同僧祇故不出。四分明受戒。要滿二十。此	一 同 僧 祇 故 不 出 四 分 明 受 戒 要 滿 二 十 此 
T85n2794_001:0686c11	二十者不論夏滿。但言十二月為一歲。滿者	二 十 者 不 論 夏 滿 但 言 十 二 月 為 一 歲 滿 者 
T85n2794_001:0686c12	名善受具足　第二身無十三難障。云何十	名 善 受 具 足 第 二 身 無 十 三 難 障 云 何 十 
T85n2794_001:0686c13	三難。一名邊罪。邊罪者比丘犯四重。比丘尼	三 難 一 名 邊 罪 邊 罪 者 比 丘 犯 四 重 比 丘 尼 
T85n2794_001:0686c14	亦如是。下三眾犯四重。是名邊罪。第二比丘	亦 如 是 下 三 眾 犯 四 重 是 名 邊 罪 第 二 比 丘 
T85n2794_001:0686c15	在俗時壞比丘尼式叉摩尼沙彌尼淨者皆不	在 俗 時 壞 比 丘 尼 式 叉 摩 尼 沙 彌 尼 淨 者 皆 不 
T85n2794_001:0686c16	得出家。比丘尼亦然。第三賊心受戒者。若俗	得 出 家 比 丘 尼 亦 然 第 三 賊 心 受 戒 者 若 俗 
T85n2794_001:0686c17	人沙彌盜聽說戒羯磨者皆不得出家。沙彌	人 沙 彌 盜 聽 說 戒 羯 磨 者 皆 不 得 出 家 沙 彌 
T85n2794_001:0686c18	不得受大戒。第四破內外道者。來時破外道。	不 得 受 大 戒 第 四 破 內 外 道 者 來 時 破 外 道 
T85n2794_001:0686c19	去時破內。此人亦不得出家。五黃門。有六種。	去 時 破 內 此 人 亦 不 得 出 家 五 黃 門 有 六 種 
T85n2794_001:0686c20	一生門。二割去黃門。三挎破黃門。四因他黃	一 生 門 二 割 去 黃 門 三 挎 破 黃 門 四 因 他 黃 
T85n2794_001:0686c21	門。五始黃門。六半月黃門。比丘尼四種黃	門 五 始 黃 門 六 半 月 黃 門 比 丘 尼 四 種 黃 
T85n2794_001:0686c22	門。正無割去挎破。餘者同上。六殺父。七殺	門 正 無 割 去 挎 破 餘 者 同 上 六 殺 父 七 殺 
T85n2794_001:0686c23	母。八殺羅漢。九出佛身血。十破僧。十一非	母 八 殺 羅 漢 九 出佛身血 十 破 僧 十 一 非 
T85n2794_001:0686c24	人。十二畜生。十三二根。是名十三難　第三	人 十 二 畜 生 十 三 二 根 是 名 十 三 難 第 三 
T85n2794_001:0686c25	結界成就者。要四方各六十三步無大僧結	結 界 成 就 者 要 四 方 各 六 十 三 步 無 大 僧 結 
T85n2794_001:0686c26	界。成尼亦爾。此是僧祇所明也　第四界內	界 成 尼 亦 爾 此 是 僧 祇 所 明 也 第 四 界 內 
T85n2794_001:0686c27	僧盡集無其別眾　第五羯磨稱文無其多少	僧 盡 集 無 其 別 眾 第 五 羯 磨 稱 文 無 其 多 少 
T85n2794_001:0686c28	　第六僧數滿足。具上六緣是人得戒　問	 第 六 僧 數 滿 足 具 上 六 緣 是 人 得 戒 問 
T85n2794_001:0686c29	曰。受戒人不自稱字及和上字名受戒不	曰 受 戒 人 不 自 稱 字 及 和 上 字 名 受 戒 不 
T85n2794_001:0687a01	　答曰。四分人云。受戒人不稱和上及己字。不	 答 曰 四 分 人 云 受 戒 人 不 稱 和 上 及 己 字 不 
T85n2794_001:0687a02	名受戒　問曰。十三難得戒不　答曰。四分	名 受 戒 問 曰 十 三 難 得 戒 不 答 曰 四 分 
T85n2794_001:0687a03	云。何不問十三難者不得戒　問曰。受戒人	云 何 不 問 十 三 難 者 不 得 戒 問 曰 受 戒 人 
T85n2794_001:0687a04	三衣不具。著俗服外道服。名受戒不　答曰。	三 衣 不 具 著 俗 服 外 道 服 名 受 戒 不 答 曰 
T85n2794_001:0687a05	四分言。皆不名受具足　問曰。比丘比丘尼	四 分 言 皆 不 名 受 具 足 問 曰 比 丘 比 丘 尼 
T85n2794_001:0687a06	得與式叉摩尼受六法不　答。三部律皆無	得 與 式 叉 摩 尼 受 六 法 不 答 三 部 律 皆 無 
T85n2794_001:0687a07	成文。設有此事不名受六法。僧尼俱得突吉	成 文 設 有 此 事 不 名 受 六 法 僧 尼 俱 得 突 吉 
T85n2794_001:0687a08	羅　問曰。有人言。式叉摩那受六法時。更請	羅 問 曰 有 人 言 式叉摩那 受 六 法 時 更 請 
T85n2794_001:0687a09	和上。此事云何　答曰。不須更請。所以然者。	和 上 此 事 云 何 答 曰 不 須 更 請 所 以 然 者 
T85n2794_001:0687a10	未是易謂但增學其六不須也　問曰。有言。	未 是 易 謂 但 增 學 其 六 不 須 也 問 曰 有 言 
T85n2794_001:0687a11	與式叉摩那受六法時。對面羯磨。此復云何	與 式叉摩那 受 六 法 時 對 面 羯 磨 此 復 云 何 
T85n2794_001:0687a12	　答曰。三部律皆言。置眠見耳不聞處逢作	 答 曰 三 部 律 皆 言 置 眠 見 耳 不 聞 處 逢 作 
T85n2794_001:0687a13	羯磨。若對面作法不成。僧尼俱得突吉羅	羯 磨 若 對 面 作 法 不 成 僧 尼 俱 得 突 吉 羅 
T85n2794_001:0687a14	　問曰。有人言。比丘得與沙彌尼作阿闍梨。此	 問 曰 有 人 言 比 丘 得 與 沙 彌 尼 作 阿 闍 梨 此 
T85n2794_001:0687a15	事云何　答曰。無此道理。若得作阿闍梨者。	事 云 何 答 曰 無 此 道 理 若 得 作 阿 闍 梨 者 
T85n2794_001:0687a16	亦應得作和上尼。不應與沙彌作阿闍梨。若	亦 應 得 作 和 上 尼 不 應 與 沙 彌 作 阿 闍 梨 若 
T85n2794_001:0687a17	爾則二眾不別　問曰。尼受戒時即大僧戒	爾 則 二 眾 不 別 問 曰 尼 受 戒 時 即 大 僧 戒 
T85n2794_001:0687a18	場上更不結分。得受戒不　答曰。僧尼界別。	場 上 更 不 結 分 得 受 戒 不 答 曰 僧 尼 界 別 
T85n2794_001:0687a19	各不相攝。更不結界作法不成　問曰。比丘	各 不 相 攝 更 不 結 界 作 法 不 成 問 曰 比 丘 
T85n2794_001:0687a20	尼得再出家不　答曰。僧祇律云。尼不得再	尼 得 再 出 家 不 答 曰 僧 祇 律 云 尼 不 得 再 
T85n2794_001:0687a21	出家　問曰。有人言。下三眾犯四重。罷道已	出 家 問 曰 有 人 言 下 三 眾 犯 四 重 罷 道 已 
T85n2794_001:0687a22	更得出家。此事云何　答曰。是無道理。僧祇	更 得 出 家 此 事 云 何 答 曰 是 無 道 理 僧 祇 
T85n2794_001:0687a23	言。式叉摩那與男子染心尋近柱。但不壞梵	言 式叉摩那 與 男 子 染 心 尋 近 柱 但 不 壞 梵 
T85n2794_001:0687a24	行。更與六法後得受大戒。若沙彌與女人尋	行 更 與 六 法 後 得 受 大 戒 若 沙 彌 與 女 人 尋 
T85n2794_001:0687a25	近柱。犯摩觸等戒。應更與十戒後得受大戒。	近 柱 犯 摩 觸 等 戒 應 更 與 十 戒 後 得 受 大 戒 
T85n2794_001:0687a26	非諸犯重者得　問曰。安居有幾種　答曰。	非 諸 犯 重 者 得 問 曰 安 居 有 幾 種 答 曰 
T85n2794_001:0687a27	安居之法而有眾多。略明所要可有二種。一	安 居 之 法 而 有 眾 多 略 明 所 要 可 有 二 種 一 
T85n2794_001:0687a28	前。二後。前者四月十六日。後者五月十六	前 二 後 前 者 四 月 十 六 日 後 者 五 月 十 六 
T85n2794_001:0687a29	日。從四月十七日至五月十五日。尚名中聞	日 從 四 月 十 七 日 至 五 月十五日 尚 名 中 聞 
T85n2794_001:0687b01	亦名後安居。前者七月十五日。滿中間者隨	亦 名 後 安 居 前 者 七 月十五日 滿 中 間 者 隨 
T85n2794_001:0687b02	日滿便止。後安居者至八月十五日。僧祇	日 滿 便 止 後 安 居 者 至 八 月十五日 僧 祇 
T85n2794_001:0687b03	云。不結前安居得突吉羅。不結後安居得偷	云 不 結 前 安 居 得 突 吉 羅 不 結 後 安 居 得 偷 
T85n2794_001:0687b04	蘭遮。	蘭 遮 
T85n2794_001:0687b05	問曰。結安居時稱。某甲聚落僧伽藍。某甲房	問 曰 結 安 居 時 稱 某 甲 聚 落 僧 伽 藍 某 甲 房 
T85n2794_001:0687b06	舍。此三皆稱誰名也　答曰。隨能貫綜聚落	舍 此 三 皆 稱 誰 名 也 答 曰 隨 能 貫 綜 聚 落 
T85n2794_001:0687b07	者。應稱其名。僧伽藍主者。莫問道俗。最初	者 應 稱 其 名 僧 伽 藍 主 者 莫 問 道 俗 最 初 
T85n2794_001:0687b08	地施地立寺有應稱其名。房舍亦如是　問	地 施 地 立 寺 有 應 稱 其 名 房 舍 亦 如 是 問 
T85n2794_001:0687b09	曰。時人受日戒。七日一受戒言事訖。是事云	曰 時 人 受 日 戒 七 日 一 受 戒 言 事 訖 是 事 云 
T85n2794_001:0687b10	何　答曰　三部所明皆無此理。如四分律明。	何 答 曰 三 部 所 明 皆 無 此 理 如 四 分 律 明 
T85n2794_001:0687b11	受日要為三寶及請喚因緣。得受七日十五	受 日 要 為 三 寶 及 請 喚 因 緣 得 受 七 日 十 五 
T85n2794_001:0687b12	日一月。十誦律律云。明為三寶及請喚因緣。	日 一 月 十 誦 律 律 云 明 為 三 寶 及 請 喚 因 緣 
T85n2794_001:0687b13	得受七日三十九夜。僧祇律明。要為三寶事。	得 受 七 日 三 十 九 夜 僧 祇 律 明 要 為 三 寶 事 
T85n2794_001:0687b14	得受事訖當還。事訖當還緩亦急。斯皆隨事	得 受 事 訖 當 還 事 訖 當 還 緩 亦 急 斯 皆 隨 事 
T85n2794_001:0687b15	遠近。若事一日得訖應即日還。若故遣至宿	遠 近 若 事 一 日 得 訖 應 即 日 還 若 故 遣 至 宿 
T85n2794_001:0687b16	破夏。言不結後安居偷蘭遮者。義解也　問	破 夏 言 不 結 後 安 居 偷 蘭 遮 者 義 解 也 問 
T85n2794_001:0687b17	曰。有人言。四月十六日結安居。若不受七日	曰 有 人 言 四 月 十 六 日 結 安 居 若 不 受 七 日 
T85n2794_001:0687b18	出界外破夏。此事云何　答曰。此是擗悟。初	出 界 外 破 夏 此 事 云 何 答 曰 此 是 擗 悟 初 
T85n2794_001:0687b19	安居時無緣。受日不成。失法得罪。後若有緣	安 居 時 無 緣 受 日 不 成 失 法 得 罪 後 若 有 緣 
T85n2794_001:0687b20	更不受日。即以前所受日出界逕宿破夏。雖	更 不 受 日 即 以 前 所 受 日 出 界 逕 宿 破 夏 雖 
T85n2794_001:0687b21	不受日出界。但莫逕宿皆不破夏　問曰。有	不 受 日 出 界 但 莫 逕 宿 皆 不 破 夏 問 曰 有 
T85n2794_001:0687b22	為私緣受日。乞索三衣及營餘事。成受日不	為 私 緣 受 日 乞 索 三 衣 及 營 餘 事 成 受 日 不 
T85n2794_001:0687b23	　答曰。此非受日因緣。雖受不成。失法得	 答 曰 此 非 受 日 因 緣 雖 受 不 成 失 法 得 
T85n2794_001:0687b24	罪。若出界逕宿斯皆破夏　問曰。有人言。為	罪 若 出 界 逕 宿 斯 皆 破 夏 問 曰 有 人 言 為 
T85n2794_001:0687b25	治生受日。後與僧少物得成受日。此復云何	治 生 受 日 後 與 僧 少 物 得 成 受 日 此 復 云 何 
T85n2794_001:0687b26	　答曰。定是自欺。若人為治生故而言為僧。	 答 曰 定 是 自 欺 若 人 為 治 生 故 而 言 為 僧 
T85n2794_001:0687b27	或受七日乃至事訖當還。不成受日返犯妄	或 受 七 日 乃 至 事 訖 當 還 不 成 受 日 返 犯 妄 
T85n2794_001:0687b28	語。假使治生所得財物盡持僧與。猶是破夏。	語 假 使 治 生 所 得 財 物 盡 持 僧 與 猶 是 破 夏 
T85n2794_001:0687b29	況與少物　問曰。有人言。四分律得重受七	況 與 少 物 問 曰 有 人 言 四 分 律 得 重 受 七 
T85n2794_001:0687c01	日。此事云何　答曰。定是擗悟。思文不審。四	日 此 事 云 何 答 曰 定 是 擗 悟 思 文 不 審 四 
T85n2794_001:0687c02	分但言最後受七日者。非謂重受。但安居將	分 但 言 最 後 受 七 日 者 非 謂 重 受 但 安 居 將 
T85n2794_001:0687c03	滿正有七日。在有緣須行聽受七日出界。來	滿 正 有 七 日 在 有 緣 須 行 聽 受 七 日 出 界 來 
T85n2794_001:0687c04	以不來不破夏。但不本處自恣。得突吉羅	以 不 來 不 破 夏 但 不 本 處 自 恣 得 突 吉 羅 
T85n2794_001:0687c05	　問曰。本有緣受日用不盡。餘日更得用不	 問 曰 本 有 緣 受 日 用 不 盡 餘 日 更 得 用 不 
T85n2794_001:0687c06	　答曰。但得。須白去　問曰。云何名自恣量。有	 答 曰 但 得 須 白 去 問 曰 云 何 名 自 恣 量 有 
T85n2794_001:0687c07	幾法得成日　答曰。恣他舉罪名曰自恣。凡	幾 法 得 成 日 答 曰 恣 他 舉 罪 名 曰 自 恣 凡 
T85n2794_001:0687c08	自恣有二種。前安居人七月十五日自恣。後	自 恣 有 二 種 前 安 居 人 七 月十五日 自 恣 後 
T85n2794_001:0687c09	安居人八月十五日自恣。中間安居自恣。隨	安 居 人 八 月十五日 自 恣 中 間 安 居 自 恣 隨 
T85n2794_001:0687c10	日滿自恣。若比丘僧十四日。比丘尼十五日	日 滿 自 恣 若 比 丘 僧 十 四 日 比 丘 尼 十 五 日 
T85n2794_001:0687c11	自恣。若因十五日自恣者。比丘中前自恣比	自 恣 若 因 十 五 日 自 恣 者 比 丘 中 前 自 恣 比 
T85n2794_001:0687c12	丘尼中後自恣。僧尼自恣應白二羯磨。若二	丘 尼 中 後 自 恣 僧 尼 自 恣 應 白二羯磨 若 二 
T85n2794_001:0687c13	比丘尼為伴。詣大僧自恣。應禮僧足。已曲躬	比 丘 尼 為 伴 詣 大 僧 自 恣 應 禮 僧 足 已 曲 躬 
T85n2794_001:0687c14	低頭合掌。作禮是說。大德僧聽。我比丘尼僧	低 頭 合 掌 作 禮 是 說 大德僧聽 我 比 丘 尼 僧 
T85n2794_001:0687c15	夏安居竟。比丘僧夏安居竟。比丘尼僧說三	夏 安 居 竟 比 丘 僧 夏 安 居 竟 比 丘 尼 僧 說 三 
T85n2794_001:0687c16	事自恣。見聞疑。大德慈愍故語我。我若見知	事 自 恣 見 聞 疑 大 德 慈 愍 故 語 我 我 若 見 知 
T85n2794_001:0687c17	罪。當如法懺悔。如是三說。自恣時五人以上	罪 當 如 法 懺 悔 如是三說 自 恣 時 五 人 以 上 
T85n2794_001:0687c18	應羯磨差。具五德者二人為作自恣人　問。	應 羯 磨 差 具 五 德 者 二 人 為 作 自 恣 人 問 
T85n2794_001:0687c19	何故自恣但須二人不差一三人　答。有勸	何 故 自 恣 但 須 二 人 不 差 一 三 人 答 有 勸 
T85n2794_001:0687c20	一人為僧所差。是其僧使得舉餘人。此人有	一 人 為 僧 所 差 是 其 僧 使 得 舉 餘 人 此 人 有 
T85n2794_001:0687c21	罪則無人舉。故須差二人使。更互相舉二罪	罪 則 無 人 舉 故 須 差 二 人 使 更 互 相 舉 二 罪 
T85n2794_001:0687c22	時　一一別說不得並舉。故不須二人也　問	時 一 一 別 說 不 得 並 舉 故 不 須 二 人 也 問 
T85n2794_001:0687c23	曰。有人言。自恣是解夏法。此事云何　答。	曰 有 人 言 自 恣 是 解 夏 法 此 事 云 何 答 
T85n2794_001:0687c24	此是意解。非律文說。自恣是解夏法者。便應	此 是 意 解 非 律 文 說 自 恣 是 解 夏 法 者 便 應 
T85n2794_001:0687c25	失夏　問曰。有人言。自恣是放捨法。此復云	失 夏 問 曰 有 人 言 自 恣 是 放 捨 法 此 復 云 
T85n2794_001:0687c26	何　答。此是妄說。自恣若是放捨法。後安居	何 答 此 是 妄 說 自 恣 若 是 放 捨 法 後 安 居 
T85n2794_001:0687c27	人八月十五日自恣竟。亦應得放捨　問曰。	人 八 月十五日 自 恣 竟 亦 應 得 放 捨 問 曰 
T85n2794_001:0687c28	自恣若非解夏放捨。是何法也　答。此是舉	自 恣 若 非 解 夏 放 捨 是 何 法 也 答 此 是 舉 
T85n2794_001:0687c29	罪法　問曰。舉罪何故要七月十五日　答	罪 法 問 曰 舉 罪 何 故 要 七 月十五日 答 
T85n2794_001:0688a01	曰。有義。若夏中舉罪令眾鬪亂。是故亭舉。	曰 有 義 若 夏 中 舉 罪 令 眾 鬪 亂 是 故 亭 舉 
