T24n1464_001:0851a03	鼻奈耶序	鼻 奈 耶 序 
T24n1464_002:0860a29	飲食床臥病瘦醫藥故，非阿羅漢言阿羅漢。	飲 食 床 臥 病 瘦 醫 藥 故 非 阿 羅 漢 言 阿 羅 漢 
T24n1464_002:0860b01	若復比丘作賊導師，將從百人二百三百，乃	若 復 比 丘 作 賊 導 師 將 從 百 人 二 百 三 百 乃 
T24n1464_002:0860b02	至千人，此二大賊有何差降？」比丘答曰：「將從	至 千 人 此 二 大 賊 有 何 差 降 比 丘 答 曰 將 從 
T24n1464_002:0860b03	百人及千人者，此常小賊。此第二賊，天上人	百 人 及 千 人 者 此 常 小 賊 此 第 二 賊 天 上 人 
T24n1464_002:0860b04	中梵魔眾沙門婆羅門，以衣裳飯食床臥醫	中 梵 魔 眾 沙 門 婆 羅 門 以 衣 裳 飯 食 床 臥 醫 
T24n1464_002:0860b05	藥故，非阿羅漢言阿羅漢，此賊中之大賊。」	藥 故 非 阿 羅 漢 言 阿 羅 漢 此 賊 中 之 大 賊 
T24n1464_002:0860b06	時尊者優婆離問世尊曰：「波羅移者，義何所	時 尊 者 優 婆 離 問 世 尊 曰 波 羅 移 者 義 何 所 
T24n1464_002:0860b07	趣？」世尊答曰：「一切根力覺道、登道樹下得果、	趣 世 尊 答 曰 一 切 根 力 覺 道 登 道 樹 下 得 果 
T24n1464_002:0860b08	諸結盡都棄，是故言棄。譬如，比丘！人有過於	諸 結 盡 都 棄 是 故 言 棄 譬 如 比 丘 人 有 過 於 
T24n1464_002:0860b09	王所，盡奪養生之具，舍宅捐棄。如是於四	王 所 盡 奪 養 生 之 具 舍 宅 捐 棄 如 是 於 四 
T24n1464_002:0860b10	波羅移展轉犯事，一切功德盡捐棄。云何不	波 羅 移 展 轉 犯 事 一切功德 盡 捐 棄 云 何 不 
T24n1464_002:0860b11	受名？若說戒受歲、其眾僧祕事，比丘不受。不	受 名 若 說 戒 受 歲 其 眾 僧 祕 事 比 丘 不 受 不 
T24n1464_002:0860b12	受非沙門、非釋種子。」	受 非 沙 門 非 釋 種 子 
T24n1464_002:0860b13	鼻奈耶卷第二	鼻 奈 耶 卷 第 二 
T24n1464_003:0860b16	鼻奈耶卷第三	鼻 奈 耶 卷 第 三 
T24n1464_003:0860b18	姚秦涼州沙門竺佛念譯	姚 秦 涼 州 沙 門 竺 佛 念 譯 
T24n1464_003:0860b19	僧殘法之一	僧 殘 法 之 一 
T24n1464_003:0860b20	佛世尊遊舍衛國祇樹給孤獨園。爾時尊者	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 爾 時 尊 者 
T24n1464_003:0860b21	迦留陀夷(迦留陀夷，黑光也，阿難從弟也)於祇桓歲坐，掃灑	迦 留 陀 夷 迦 留 陀 夷 黑 光 也 阿 難 從 弟 也 於 祇 桓 歲 坐 掃 灑 
T24n1464_003:0860b22	房室，於中敷床，前著澡罐，外復有澡罐。到	房 室 於 中 敷 床 前 著 澡 罐 外 復 有 澡 罐 到 
T24n1464_003:0860b23	時著衣持鉢入舍衛城分衛，得食而還，入房	時 著衣持鉢 入 舍 衛 城 分 衛 得 食 而 還 入 房 
T24n1464_003:0860b24	舉衣鉢息。迦留陀夷婬意偏多，憶向所見得	舉 衣 鉢 息 迦 留 陀 夷 婬 意 偏 多 憶 向 所 見 得 
T24n1464_003:0860b25	食之家婦女，婬意熾盛，以手弄陰精墮。即便	食 之 家 婦 女 婬 意 熾 盛 以 手 弄 陰 精 墮 即 便 
T24n1464_003:0860b26	洗手澡浴掃灑房室，如是再三，乃至竟夏坐。	洗 手 澡 浴 掃 灑 房 室 如 是 再 三 乃 至 竟 夏 坐 
T24n1464_003:0860b27	時諸比丘是迦留陀夷知識，在拘薩羅結夏	時 諸 比 丘 是 迦 留 陀 夷 知 識 在 拘 薩 羅 結 夏 
T24n1464_003:0860b28	坐。坐已具補納衣，一日竟衣，著衣持鉢來至	坐 坐 已 具 補 納 衣 一 日 竟 衣 著衣持鉢 來 至 
T24n1464_003:0860b29	舍衛國祇樹給孤獨園。時諸比丘往詣迦留	舍 衛 國 祇 樹 給 孤 獨 園 時 諸 比 丘 往 詣 迦 留 
T24n1464_003:0860c01	陀夷比丘所，各各相向禮拜問訊已，在一面	陀 夷 比 丘 所 各 各 相 向 禮 拜 問 訊 已 在 一 面 
T24n1464_003:0860c02	坐。「云何優陀夷！體履健不？於夏坐中無苦不	坐 云 何 優 陀 夷 體 履 健 不 於 夏 坐 中 無 苦 不 
T24n1464_003:0860c03	乞求婆？」優陀夷答：「我於此間掃灑房室，乃	乞 求 婆 優 陀 夷 答 我 於 此 間 掃 灑 房 室 乃 
T24n1464_003:0860c04	至弄陰。」具向諸比丘說。諸比丘答：「云何優陀	至 弄 陰 具 向 諸 比 丘 說 諸 比 丘 答 云 何 優 陀 
T24n1464_003:0860c05	夷無數方便，世尊說婬不淨，向婬念婬、婬熾	夷 無數方便 世 尊 說 婬 不 淨 向 婬 念 婬 婬 熾 
T24n1464_003:0860c06	盛，說婬之惡露。卿云何於中起婬意？」如是諸	盛 說 婬 之 惡 露 卿 云 何 於 中 起 婬 意 如 是 諸 
T24n1464_003:0860c07	比丘極苦責諫。責諫已便起去，往詣世尊，	比 丘 極 苦 責 諫 責 諫 已 便 起 去 往 詣 世 尊 
T24n1464_003:0860c08	如事具白世尊。世尊知而自問優陀夷：「審為	如 事 具 白 世 尊 世 尊 知 而 自 問 優 陀 夷 審 為 
T24n1464_003:0860c09	此事耶？」時優陀夷內懷慚愧外則恥眾，從坐	此 事 耶 時 優 陀 夷 內 懷 慚 愧 外 則 恥 眾 從 坐 
T24n1464_003:0860c10	起，偏袒右肩右膝著地叉手向佛，白世尊言：	起 偏袒右肩 右膝著地 叉 手 向 佛 白 世 尊 言 
T24n1464_003:0860c11	「審爾。世尊！」世尊告曰：「云何癡人，我不以無數	 審 爾 世 尊 世 尊 告 曰 云 何 癡 人 我 不 以 無 數 
T24n1464_003:0860c12	方便說婬之不淨，向婬念婬、婬熾盛婬之惡	方 便 說 婬 之 不 淨 向 婬 念 婬 婬 熾 盛 婬 之 惡 
T24n1464_003:0860c13	露。云何癡人而以此手受長者信施，復以此	露 云 何 癡 人 而 以 此 手 受 長 者 信 施 復 以 此 
T24n1464_003:0860c14	手而捉此形弄耶？」如是佛世尊無數方便誨	手 而 捉 此 形 弄 耶 如 是 佛 世 尊 無數方便 誨 
T24n1464_003:0860c15	責，因此事集和合僧，備十功德，世尊為沙門	責 因 此 事 集 和 合 僧 備 十 功 德 世 尊 為 沙 門 
T24n1464_003:0860c16	結戒：「諸沙門當共防此。若比丘憶念弄陰墮	結 戒 諸 沙 門 當 共 防 此 若 比 丘 憶 念 弄 陰 墮 
T24n1464_003:0860c17	精，僧伽婆施沙(秦言眾決斷)。」	精 僧 伽 婆 施 沙 秦 言 眾 決 斷 
T24n1464_003:0860c18	世尊遊舍衛國祇樹給孤獨園。時有一比丘	世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 有 一 比 丘 
T24n1464_003:0860c19	在祇桓夏坐。此比丘於夢中失精，覺已便懷	在 祇 桓 夏 坐 此 比 丘 於 夢 中 失 精 覺 已 便 懷 
T24n1464_003:0860c20	狐疑：「我不犯僧伽婆施沙耶？」便問諸比丘。	狐 疑 我 不 犯 僧 伽 婆 施 沙 耶 便 問 諸 比 丘 
T24n1464_003:0860c21	諸比丘不知當何報？諸比丘往白世尊。世尊	諸 比 丘 不 知 當 何 報 諸 比 丘 往 白 世 尊 世 尊 
T24n1464_003:0860c22	告曰：「夢中失精無罪。若比丘弄陰失精，除其	告 曰 夢 中 失 精 無 罪 若 比 丘 弄 陰 失 精 除 其 
T24n1464_003:0860c23	夢中，僧伽婆施沙。」時尊者優波離問世尊：	夢 中 僧 伽 婆 施 沙 時 尊 者 優 波 離 問 世 尊 
T24n1464_003:0860c24	「失精有幾處，是僧伽婆施沙？」世尊告曰：「左	 失 精 有 幾 處 是 僧 伽 婆 施 沙 世 尊 告 曰 左 
T24n1464_003:0860c25	右手弄者，僧伽婆施沙，使他手弄亦爾。他兩	右 手 弄 者 僧 伽 婆 施 沙 使 他 手 弄 亦 爾 他 兩 
T24n1464_003:0860c26	曲肘弄者，及屈膝間兩掖間臍兩邊，及岐間	曲 肘 弄 者 及 屈 膝 間 兩 掖 間 臍 兩 邊 及 岐 間 
T24n1464_003:0860c27	尻溝間，兩肩上項間，現身上屈申處衣裏	尻 溝 間 兩 肩 上 項 間 現 身 上 屈 申 處 衣 裏 
T24n1464_003:0860c28	弄者，伏床褥弄者，畫女像木女像作處所弄	弄 者 伏 床 褥 弄 者 畫 女 像 木 女 像 作 處 所 弄 
T24n1464_003:0860c29	失精者，僧伽婆施沙。」	失 精 者 僧 伽 婆 施 沙 
T24n1464_003:0861a01	佛遊舍衛國祇樹給孤獨園。時尊者難陀婬	佛 遊 舍 衛 國 祇 樹 給 孤 獨 園 時 尊 者 難 陀 婬 
T24n1464_003:0861a02	意偏多，入舍衛城分衛。有一長者婦，以手接	意 偏 多 入 舍 衛 城 分 衛 有 一 長 者 婦 以 手 接 
T24n1464_003:0861a03	難陀足作禮，女人手濡，難陀便失精墮此人	難 陀 足 作 禮 女 人 手 濡 難 陀 便 失 精 墮 此 人 
T24n1464_003:0861a04	手上。女人即舉手塗頂上：「我今得大利，乃使	手 上 女 人 即 舉 手 塗 頂 上 我 今 得 大 利 乃 使 
T24n1464_003:0861a05	尊者難陀婬意熾盛，梵行全碩，意不犯戒。」	尊 者 難 陀 婬 意 熾 盛 梵 行 全 碩 意 不 犯 戒 
T24n1464_003:0861a06	難陀便懷狐疑：「我不犯僧伽婆施沙？」便問諸	難 陀 便 懷 狐 疑 我 不 犯 僧 伽 婆 施 沙 便 問 諸 
T24n1464_003:0861a07	比丘。諸比丘不知報，即往具白世尊。時世尊	比 丘 諸 比 丘 不 知 報 即 往 具 白 世 尊 時 世 尊 
T24n1464_003:0861a08	因此事，集和合僧。世尊知而問難陀：「實如	因 此 事 集 和 合 僧 世 尊 知 而 問 難 陀 實 如 
T24n1464_003:0861a09	此事不？難陀！」時尊者難陀，內懷慚愧外則恥	此 事 不 難 陀 時 尊 者 難 陀 內 懷 慚 愧 外 則 恥 
T24n1464_003:0861a10	眾，偏袒右肩右膝著地叉手向佛，白世尊言：	眾 偏袒右肩 右膝著地 叉 手 向 佛 白 世 尊 言 
T24n1464_003:0861a11	「審爾。世尊！」爾時世尊於眾人前歎難陀言：「善	 審 爾 世 尊 爾 時 世 尊 於 眾 人 前 歎 難 陀 言 善 
T24n1464_003:0861a12	哉善哉！難陀！乃能作是全梵行能爾。行梵行	哉 善 哉 難 陀 乃 能 作 是 全 梵 行 能 爾 行 梵 行 
T24n1464_003:0861a13	者得大果報、得大功德。」時世尊告諸比丘：「其	者 得 大 果 報 得 大 功 德 時 世 尊 告 諸 比 丘 其 
T24n1464_003:0861a14	族姓子見難陀者，誰能呰言不端政乎？身體	族 姓 子 見 難 陀 者 誰 能 呰 言 不 端 政 乎 身 體 
T24n1464_003:0861a15	柔濡筋力勝人，婬意偏多，誰能勝難陀也？	柔 濡 筋 力 勝 人 婬 意 偏 多 誰 能 勝 難 陀 也 
T24n1464_003:0861a16	如是比丘！難陀族姓子閉塞根門，飲食知足，	如 是 比 丘 難 陀 族 姓 子 閉 塞 根 門 飲 食 知 足 
T24n1464_003:0861a17	夜不失時，念定不亂(此上四句，其人名曰修妬路，是本明也)，難陀	夜 不 失 時 念 定 不 亂 此 上 四 句 其 人 名 曰 修 妬 路 是 本 明 也 難 陀 
T24n1464_003:0861a18	能盡形壽淨修梵行。彼難陀族姓子云何能	能 盡 形 壽 淨 修 梵 行 彼 難 陀 族 姓 子 云 何 能 
T24n1464_003:0861a19	閉塞諸根門？於此難陀族姓子，眼見色者意	閉 塞 諸 根 門 於 此 難 陀 族 姓 子 眼 見 色 者 意 
T24n1464_003:0861a20	無染著，設使見色眼根不具者，當念無明憂	無 染 著 設 使 見 色 眼 根 不 具 者 當 念 無 明 憂 
T24n1464_003:0861a21	惡不善法，意不向者則護眼根。如是耳鼻舌	惡不善法 意 不 向 者 則 護 眼 根 如 是 耳 鼻 舌 
T24n1464_003:0861a22	身意法知已不起染著，設使意根不具者，當	身 意 法 知 已 不 起 染 著 設 使 意 根 不 具 者 當 
T24n1464_003:0861a23	念無明憂惡不善法，意不向者則護意根。此	念 無 明 憂 惡不善法 意 不 向 者 則 護 意 根 此 
T24n1464_003:0861a24	是難陀族姓子閉塞根門。彼難陀族姓子云	是 難 陀 族 姓 子 閉 塞 根 門 彼 難 陀 族 姓 子 云 
T24n1464_003:0861a25	何飲食知足？於此難陀族姓子摶飯食知足，	何 飲 食 知 足 於 此 難 陀 族 姓 子 摶 飯 食 知 足 
T24n1464_003:0861a26	無有貪餮，不求顏色氣力無細滑意。所以食	無 有 貪 餮 不 求 顏 色 氣 力 無 細 滑 意 所 以 食 
T24n1464_003:0861a27	者，欲使身體久住，以滅故病、新者不興，樂得	者 欲 使 身 體 久 住 以 滅 故 病 新 者 不 興 樂 得 
T24n1464_003:0861a28	行道。譬如有人有瘡痍病，以膏塗之。所以塗	行 道 譬 如 有 人 有 瘡 痍 病 以 膏 塗 之 所 以 塗 
T24n1464_003:0861a29	者何？欲使瘡愈。如是難陀族姓子飲食知足，	者 何 欲 使 瘡 愈 如 是 難 陀 族 姓 子 飲 食 知 足 
T24n1464_003:0861b01	無有貪餮，乃至樂得行道。譬如有人以脂膏	無 有 貪 餮 乃 至 樂 得 行 道 譬 如 有 人 以 脂 膏 
T24n1464_003:0861b02	車。所以膏者何？以其重載故。如是難陀族姓	車 所 以 膏 者 何 以 其 重 載 故 如 是 難 陀 族 姓 
T24n1464_003:0861b03	子飲食知足，無有貪餮，乃至樂得行道。此是	子 飲 食 知 足 無 有 貪 餮 乃 至 樂 得 行 道 此 是 
T24n1464_003:0861b04	難陀族姓子飲食知足。彼難陀族姓子云何	難 陀 族 姓 子 飲 食 知 足 彼 難 陀 族 姓 子 云 何 
T24n1464_003:0861b05	是夜不失時？於此難陀族姓子，晝日經行坐	是 夜 不 失 時 於 此 難 陀 族 姓 子 晝 日 經 行 坐 
T24n1464_003:0861b06	禪，夜亦經行坐禪。初夜時經行坐禪，降伏心	禪 夜 亦 經 行 坐 禪 初 夜 時 經 行 坐 禪 降 伏 心 
T24n1464_003:0861b07	不使睡眠，中夜之時襞憂多僧使四疊而敷	不 使 睡 眠 中 夜 之 時 襞 憂 多 僧 使 四 疊 而 敷 
T24n1464_003:0861b08	坐上，舉僧伽梨著頭前，右脇著地、累足更互	坐 上 舉 僧 伽 梨 著 頭 前 右 脇 著 地 累 足 更 互 
T24n1464_003:0861b09	申脚，繫想在明，何時當曉？後夜即起經行坐	申 脚 繫 想 在 明 何 時 當 曉 後 夜 即 起 經 行 坐 
T24n1464_003:0861b10	禪，降伏心法。此是難陀族姓子初夜後夜不	禪 降 伏 心 法 此 是 難 陀 族 姓 子 初夜後夜 不 
T24n1464_003:0861b11	失時。彼難陀族姓子云何念定不亂？於此難	失 時 彼 難 陀 族 姓 子 云 何 念 定 不 亂 於 此 難 
T24n1464_003:0861b12	陀族姓子，若欲視東，正身思惟而視東，無有	陀 族 姓 子 若 欲 視 東 正 身 思 惟 而 視 東 無 有 
T24n1464_003:0861b13	亂意。若欲視南西北，正身思惟而視，無有亂	亂 意 若 欲 視 南 西 北 正 身 思 惟 而 視 無 有 亂 
T24n1464_003:0861b14	意。於是難陀族姓子，若欲有痛想終不失智，	意 於 是 難 陀 族 姓 子 若 欲 有 痛 想 終 不 失 智 
T24n1464_003:0861b15	行識亦爾，痛想未起不令使興，若痛想有起	行 識 亦 爾 痛 想 未 起 不 令 使 興 若 痛 想 有 起 
T24n1464_003:0861b16	次第滅之。此是難陀族姓子念定不亂。是故	次 第 滅 之 此 是 難 陀 族 姓 子 念 定 不 亂 是 故 
T24n1464_003:0861b17	難陀失精無罪。若復當有如是失者，亦復無	難 陀 失 精 無 罪 若 復 當 有 如 是 失 者 亦 復 無 
T24n1464_003:0861b18	罪。諸比丘！從今以去，當著舍勒(半泥洹僧)。弄陰者	罪 諸 比 丘 從 今 以 去 當 著 舍 勒 半 泥 洹 僧 弄 陰 者 
T24n1464_003:0861b19	義何所趣？獨處興意念想，若己若彼身體相	義 何 所 趣 獨 處 興 意 念 想 若 己 若 彼 身 體 相 
T24n1464_003:0861b20	近弄陰，是弄義也。」	近 弄 陰 是 弄 義 也 
T24n1464_003:0861b21	佛遊釋羈瘦迦惟羅越那拘陀園。爾時尊	佛 遊 釋 羈 瘦 迦 惟 羅 越 那 拘 陀 園 爾 時 尊 
T24n1464_003:0861b22	者迦留陀夷當五日直，有諸長者婦女來至	者 迦 留 陀 夷 當 五 日 直 有 諸 長 者 婦 女 來 至 
T24n1464_003:0861b23	園中諸房間觀。時尊者迦留陀夷手執鑰牡	園 中 諸 房 間 觀 時 尊 者 迦 留 陀 夷 手 執 鑰 牡 
T24n1464_003:0861b24	在門外立，呼言：「諸姊來前，入此園遊觀，中有	在 門 外 立 呼 言 諸 姊 來 前 入 此 園 遊 觀 中 有 
T24n1464_003:0861b25	浴池泉源。」時諸婦女即入園遊觀，開諸房戶	浴 池 泉 源 時 諸 婦 女 即 入 園 遊 觀 開 諸 房 戶 
T24n1464_003:0861b26	使入觀看。歷陰室內，捉諸婦女抱鳴捻挃身	使 入 觀 看 歷 陰 室 內 捉 諸 婦 女 抱 鳴 捻 挃 身 
T24n1464_003:0861b27	體。諸婦女或欲從者、或不從者。其不從者出	體 諸 婦 女 或 欲 從 者 或 不 從 者 其 不 從 者 出 
T24n1464_003:0861b28	語諸比丘：「常無畏處，安隱處而更大有恐畏。」	語 諸 比 丘 常 無 畏 處 安 隱 處 而 更 大 有 恐 畏 
T24n1464_003:0861b29	諸比丘問：「有何恐畏？」即以所見事具白諸比	諸 比 丘 問 有 何 恐 畏 即 以 所 見 事 具 白 諸 比 
T24n1464_003:0861c01	丘。諸比丘不知當何報，往詣世尊具白此事。	丘 諸 比 丘 不 知 當 何 報 往 詣 世 尊 具 白 此 事 
T24n1464_003:0861c02	世尊知而問尊者優陀夷：「審為此事耶？」時	世 尊 知 而 問 尊 者 優 陀 夷 審 為 此 事 耶 時 
T24n1464_003:0861c03	優陀夷內懷慚愧外則恥眾，偏袒右肩右膝	優 陀 夷 內 懷 慚 愧 外 則 恥 眾 偏袒右肩 右 膝 
T24n1464_003:0861c04	著地合掌向佛，白世尊言：「審爾。世尊！」世尊告	著 地 合 掌 向 佛 白 世 尊 言 審 爾 世 尊 世 尊 告 
T24n1464_003:0861c05	曰：「云何我前不為癡人無數方便說婬不淨，	曰 云 何 我 前 不 為 癡 人 無數方便 說 婬 不 淨 
T24n1464_003:0861c06	向婬念婬、婬意熾盛婬之惡露。云何憂陀	向 婬 念 婬 婬 意 熾 盛 婬 之 惡 露 云 何 憂 陀 
T24n1464_003:0861c07	夷！我前不向憂填王說婬不淨耶？王憂	夷 我 前 不 向 憂 填 王 說 婬 不 淨 耶 王 憂 
T24n1464_003:0861c08	填問我：『瞿曇！此諸比丘年少端正，新來入法	填 問 我 瞿 曇 此 諸 比 丘 年 少 端 正 新 來 入 法 
T24n1464_003:0861c09	鼻奈，諸根善具眼鼻充澤、皮濡如桃花，安	鼻 奈 諸 根 善 具 眼 鼻 充 澤 皮 濡 如 桃 花 安 
T24n1464_003:0861c10	詳不犯他婦女，盡命淨修梵行。』爾時我語	詳 不 犯 他 婦 女 盡 命 淨 修 梵 行 爾 時 我 語 
T24n1464_003:0861c11	王：『諸比丘其像母者當呼言母，其像姊妹者	王 諸 比 丘 其 像 母 者 當 呼 言 母 其 像 姊 妹 者 
T24n1464_003:0861c12	當呼言姊妹，像女者亦當呼言女。以是義	當 呼 言 姊 妹 像 女 者 亦 當 呼 言 女 以 是 義 
T24n1464_003:0861c13	理故，大王！使諸比丘年少端正者，乃至不犯	理 故 大 王 使 諸 比 丘 年 少 端 正 者 乃 至 不 犯 
T24n1464_003:0861c14	女色，盡形命得修梵行。』王復問：『世尊！人心	女 色 盡 形 命 得 修 梵 行 王 復 問 世 尊 人 心 
T24n1464_003:0861c15	多想。設使我等像母言母，乃至像女言女，	多 想 設 使 我 等 像 母 言 母 乃 至 像 女 言 女 
T24n1464_003:0861c16	心故走世法。頗更有餘義，使諸年少比丘盡	心 故 走 世 法 頗 更 有 餘 義 使 諸 年 少 比 丘 盡 
T24n1464_003:0861c17	命淨修梵行不？』世尊告曰：『我以語諸比丘，大	命 淨 修 梵 行 不 世 尊 告 曰 我 以 語 諸 比 丘 大 
T24n1464_003:0861c18	王！諸比丘當觀此身，從足拇指上至髮際，	王 諸 比 丘 當 觀 此 身 從 足 拇 指 上 至 髮 際 
T24n1464_003:0861c19	觀種種惡露不淨。此身中有髮毛爪齒塵垢、	觀 種 種 惡 露 不 淨 此 身 中 有 髮毛爪齒 塵 垢 
T24n1464_003:0861c20	皮肉血筋脈骨髓、心肝脾腎肺腸胃腹、屎溺肪	皮 肉 血 筋 脈 骨 髓 心 肝 脾 腎 肺 腸 胃 腹 屎 溺 肪 
T24n1464_003:0861c21	膏膽涕唾涎腦膜。以是義故，大王！使諸年少	膏 膽 涕 唾 涎 腦 膜 以是義故 大 王 使 諸 年 少 
T24n1464_003:0861c22	比丘盡命得修梵行。』王復問：『世尊！此心多想。	比 丘 盡 命 得 修 梵 行 王 復 問 世 尊 此 心 多 想 
T24n1464_003:0861c23	說使我等觀此惡露，故謂是淨，頗更有餘義，	說 使 我 等 觀 此 惡 露 故 謂 是 淨 頗 更 有 餘 義 
T24n1464_003:0861c24	使諸年少比丘盡命得修梵行不？』世尊告曰：	使 諸 年 少 比 丘 盡 命 得 修 梵 行 不 世 尊 告 曰 
T24n1464_003:0861c25	『我前以說，大王！諸比丘當閉諸根門，守念不	 我 前 以 說 大 王 諸 比 丘 當 閉 諸 根 門 守 念 不 
T24n1464_003:0861c26	忘、意不分散。設眼見色心不染著，設眼見色	忘 意 不 分 散 設 眼 見 色 心 不 染 著 設 眼 見 色 
T24n1464_003:0861c27	有染著者，心念無明憂惱不善之法使不近	有 染 著 者 心 念 無 明 憂 惱 不 善 之 法 使 不 近 
T24n1464_003:0861c28	者，則守念眼根。如是耳鼻舌身意法無有染	者 則 守 念 眼 根 如 是 耳 鼻 舌 身 意 法 無 有 染 
T24n1464_003:0861c29	著，假有染著意，心念無明憂惱不善之法，使	著 假 有 染 著 意 心 念 無 明 憂 惱 不 善 之 法 使 
T24n1464_003:0862a01	不近者則守念意根。以是義故，大王！使諸年	不 近 者 則 守 念 意 根 以是義故 大 王 使 諸 年 
T24n1464_003:0862a02	少比丘盡命得修梵行。』王白世尊：『儻有此義，	少 比 丘 盡 命 得 修 梵 行 王 白 世 尊 儻 有 此 義 
T24n1464_003:0862a03	諸年少比丘盡命得修梵行。若我入宮裏時	諸 年 少 比 丘 盡 命 得 修 梵 行 若 我 入 宮 裏 時 
T24n1464_003:0862a04	不護身念根，意不端一則心走向婬意世法。	不 護 身 念 根 意 不 端 一 則 心 走 向 婬 意 世 法 
T24n1464_003:0862a05	若護身念根，意端一心無分散，不向婬世法。	若 護 身 念 根 意 端 一 心 無 分 散 不 向 婬 世 法 
T24n1464_003:0862a06	是故世尊！可奇可特。誰聞沙門瞿曇此語，能	是 故 世 尊 可 奇 可 特 誰 聞 沙 門 瞿 曇 此 語 能 
T24n1464_003:0862a07	不具諸根？我今自歸佛、歸法、歸比丘僧。願世	不 具 諸 根 我 今 自 歸 佛 歸 法 歸 比 丘 僧 願 世 
T24n1464_003:0862a08	尊聽為優婆塞，盡命不殺生，受三自歸。』」爾時	尊 聽 為 優 婆 塞 盡 命 不 殺 生 受 三 自 歸 爾 時 
T24n1464_003:0862a09	世尊告優陀夷：「此世人常能爾，癡人而不防	世 尊 告 優 陀 夷 此 世 人 常 能 爾 癡 人 而 不 防 
T24n1464_003:0862a10	此。像母者當言母，乃至女亦如是。」爾時世尊	此 像 母 者 當 言 母 乃 至 女 亦 如 是 爾 時 世 尊 
T24n1464_003:0862a11	以無數方便誨責優陀夷，集和合僧，備十功	以 無數方便 誨 責 優 陀 夷 集 和 合 僧 備 十 功 
T24n1464_003:0862a12	德，為比丘結戒：「若比丘婬意熾盛，手摸女人，	德 為 比 丘 結 戒 若 比 丘 婬 意 熾 盛 手 摸 女 人 
T24n1464_003:0862a13	若執手捉臂捉髮及諸身體腕節，摩抆把	若 執 手 捉 臂 捉 髮 及 諸 身 體 腕 節 摩 抆 把 
T24n1464_003:0862a14	持，犯者，僧伽婆施沙。」時尊者優波離問佛：	持 犯 者 僧 伽 婆 施 沙 時 尊 者 優 波 離 問 佛 
T24n1464_003:0862a15	「把持女人幾處，是僧伽婆施沙？」世尊告曰：	 把 持 女 人 幾 處 是 僧 伽 婆 施 沙 世 尊 告 曰 
T24n1464_003:0862a16	「若比丘以婬意熾盛，從堂上抱女子著象上，	 若 比 丘 以 婬 意 熾 盛 從 堂 上 抱 女 子 著 象 上 
T24n1464_003:0862a17	僧伽婆施沙。若象上抱下著馬上、馬上抱著	僧 伽 婆 施 沙 若 象 上 抱 下 著 馬 上 馬 上 抱 著 
T24n1464_003:0862a18	車上、車上抱著輿上、輿上抱著床上、床上抱	車 上 車 上 抱 著 輿 上 輿 上 抱 著 床 上 床 上 抱 
T24n1464_003:0862a19	著繩床上、繩床上抱著机上、机上抱著地，若	著 繩 床 上 繩 床 上 抱 著 机 上 机 上 抱 著 地 若 
T24n1464_003:0862a20	復從地抱展轉還至堂上者，僧伽婆施沙。除	復 從 地 抱 展 轉 還 至 堂 上 者 僧 伽 婆 施 沙 除 
T24n1464_003:0862a21	其母姊妹、病人，無染著意者，不犯戒。」	其 母 姊 妹 病 人 無 染 著 意 者 不 犯 戒 
T24n1464_003:0862a22	佛世尊遊舍衛國祇樹給孤獨園。爾時有眾	佛 世 尊 遊 舍 衛 國 祇 樹 給 孤 獨 園 爾 時 有 眾 
T24n1464_003:0862a23	比丘於拘薩羅國夏坐，夏坐已補納衣，一日	比 丘 於 拘 薩 羅 國 夏 坐 夏 坐 已 補 納 衣 一 日 
T24n1464_003:0862a24	成衣，著衣持鉢來至舍衛。去舍衛不遠有江，	成 衣 著衣持鉢 來 至 舍 衛 去 舍 衛 不 遠 有 江 
T24n1464_003:0862a25	名阿脂賴跋提，南岸止住，水流駃疾。時有諸	名 阿 脂 賴 跋 提 南 岸 止 住 水 流 駃 疾 時 有 諸 
T24n1464_003:0862a26	婦女白比丘言：「諸嚴賢等渡我等。」諸比丘答：	婦 女 白 比 丘 言 諸 嚴 賢 等 渡 我 等 諸 比 丘 答 
T24n1464_003:0862a27	「諸姊當知，世尊不許得渡女人。」諸女人各相	 諸 姊 當 知 世 尊 不 許 得 渡 女 人 諸 女 人 各 相 
T24n1464_003:0862a28	執手便入水中，為水所漂。即稱怨言：「諸賢諸	執 手 便 入 水 中 為 水 所 漂 即 稱 怨 言 諸 賢 諸 
T24n1464_003:0862a29	賢，誰有慈心能勝釋子，我今沒溺，願來見救。」	賢 誰 有 慈 心 能 勝 釋 子 我 今 沒 溺 願 來 見 救 
T24n1464_003:0862b01	諸比丘愍念，往執手救。諸比丘各懷疑：「不犯	諸 比 丘 愍 念 往 執 手 救 諸 比 丘 各 懷 疑 不 犯 
T24n1464_003:0862b02	僧伽婆施沙？」即問諸比丘。諸比丘不知當何	僧 伽 婆 施 沙 即 問 諸 比 丘 諸 比 丘 不 知 當 何 
T24n1464_003:0862b03	報，往白世尊。世尊告曰：「無染著意不犯罪。以	報 往 白 世 尊 世 尊 告 曰 無 染 著 意 不 犯 罪 以 
