X40n0715_001:0177a03	釋戒本序	釋 戒 本 序 
X40n0715_001:0179b05	二句顯略謂細尋古非實多分既無所利述之無益	二 句 顯 略 謂 細 尋 古 非 實 多 分 既 無 所 利 述 之 無 益 
X40n0715_001:0179b06	故云未暇。	故 云 未 暇 
X40n0715_001:0179b07	今集中初科分二初敘古上二句斥文非繁謂義求	今 集 中 初 科 分 二 初 敘 古 上 二 句 斥 文 非 繁 謂 義 求 
X40n0715_001:0179b08	緣據略乃梵本隸文然昏義理流隱在文局塞故也	緣 據 略 乃 梵 本 隸 文 然 昏 義 理 流 隱 在 文 局 塞 故 也 
X40n0715_001:0179b09	或可四本皆具諸過下二句彰事闕用失儀者事法	或 可 四 本 皆 具 諸 過 下 二 句 彰 事 闕 用 失 儀 者 事 法 
X40n0715_001:0179b10	不備故捨非據者持奉無稽故。	不 備 故 捨 非 據 者 持 奉 無 稽 故 
X40n0715_001:0179b11	若下二顯今上句謂今撰述集下句謂後學易明或	若 下 二 顯 今 上 句 謂 今 撰 述 集 下 句 謂 後 學 易 明 或 
X40n0715_001:0179b12	可上句即指諸古本乖謬之相下句謂既顯昔非即	可 上 句 即 指 諸 古 本 乖 謬 之 相 下 句 謂 既 顯 昔 非 即 
X40n0715_001:0179b13	欽後說。	欽 後 說 
X40n0715_001:0179b14	次科敘學地中分三初二句敘夙志上句謂慕道余	次 科 敘 學 地 中 分 三 初 二 句 敘 夙 志 上 句 謂 慕 道 余 
X40n0715_001:0179b15	即訓我言少仰者以祖師齠齓出家冠年受具故疏	即 訓 我 言 少 仰 者 以 祖 師 齠 齓 出 家 冠 年 受 具 故 疏 
X40n0715_001:0179b16	批云昔在童稚即有信心無緣携掠致及過學年十	批 云 昔 在 童 稚 即 有 信 心 無 緣 携 掠 致 及 過 學 年 十 
X40n0715_001:0179b17	有五方得尋師十六誦經十七剃髮大業餘力蒙受	有 五 方 得 尋 師 十 六 誦 經 十 七 剃 髮 大 業 餘 力 蒙 受 
X40n0715_001:0179b18	具戒等玄風或約玄妙釋或就衣色解以緇衣即其	具 戒 等 玄 風 或 約 玄 妙 釋 或 就 衣 色 解 以 緇 衣 即 其 
X40n0715_001:0179b19	色耳下句謂弘律言志在者乃平生意之所主如孝	色 耳 下 句 謂 弘 律 言 志 在 者 乃 平 生 意 之 所 主 如 孝 
X40n0715_001:0179b20	經云吾志在春秋行在孝經清範即戒律而況祖師	經 云 吾 志 在 春 秋 行 在 孝 經 清 範 即 戒 律 而 況 祖 師 
X40n0715_001:0179b21	四依示像三世秉持興建律乘專弘戒學故疏批云	四 依 示 像 三 世 秉 持 興 建 律 乘 專 弘 戒 學 故 疏 批 云 
X40n0715_001:0179b22	依首師學聽疏二十徧時經六年等。	依 首 師 學 聽 疏 二 十 徧 時 經 六 年 等 
X40n0715_001:0179b23	昔下四句次明就學以祖師出世行化多在京城周	昔 下 四 句 次 明 就 學 以 祖 師 出 世 行 化 多 在 京 城 周 
X40n0715_001:0179b24	流謂不止一處伏膺謂持禮依師請業謂求文義載	流 謂 不 止 一 處 伏 膺 謂 持 禮 依 師 請 業 謂 求 文 義 載 
X40n0715_001:0179c01	紀者十二年且化即二十四年矣相尋謂年歲聯續	紀 者 十 二 年 且 化 即 二 十 四 年 矣 相 尋 謂 年 歲 聯 續 
X40n0715_001:0179c02	或可載紀並年之通號年須一年如此尋續。	或 可 載 紀 並 年 之 通 號 年 須 一 年 如 此 尋 續 
X40n0715_001:0179c03	何下二句三歎戒本上句謂每一披尋下句歎文義	何 下 二 句 三 歎 戒 本 上 句 謂 每 一 披 尋 下 句 歎 文 義 
X40n0715_001:0179c04	抑塞慨即歎也。	抑 塞 慨 即 歎 也 
X40n0715_001:0179c05	初科分二初敘四出求異初二句敘時貞觀即唐太	初 科 分 二 初 敘 四 出 求 異 初 二 句 敘 時 貞 觀 即 唐 太 
X40n0715_001:0179c06	宗年號得二十餘年次句指處嶽謂山岳瀆即川瀆	宗 年 號 得 二 十 餘 年 次 句 指 處 嶽 謂 山 岳 瀆 即 川 瀆 
X40n0715_001:0179c07	並處之總名此謂經涉川陸薄猶略也或可指西北	並 處 之 總 名 此 謂 經 涉 川 陸 薄 猶 略 也 或 可 指 西 北 
X40n0715_001:0179c08	即攝嶽字以多陸地故往東南則指瀆字以多川瀆	即 攝 嶽 字 以 多 陸 地 故 往 東 南 則 指 瀆 字 以 多 川 瀆 
X40n0715_001:0179c09	澤故疏批云貞觀四年遠觀化表北遊并晉東達魏	澤 故 疏 批 云 貞 觀 四 年 遠 觀 化 表 北 遊 并 晉 東 達 魏 
X40n0715_001:0179c10	土等下句訪道謂請論評量教門優劣。	土 等 下 句 訪 道 謂 請 論 評 量 教 門 優 劣 
X40n0715_001:0179c11	但下明愚智二師初明愚者初四句昧其教旨上二	但 下 明 愚 智 二 師 初 明 愚 者 初 四 句 昧 其 教 旨 上 二 
X40n0715_001:0179c12	句謂遂紛論即言雜亂弘遠謂大義全迷下二句忘	句 謂 遂 紛 論 即 言 雜 亂 弘 遠 謂 大 義 全 迷 下 二 句 忘 
X40n0715_001:0179c13	本以弘律之本唯在行事自古傳演多不知此獨吾	本 以 弘 律 之 本 唯 在 行 事 自 古 傳 演 多 不 知 此 獨 吾 
X40n0715_001:0179c14	祖師自然迴悟興建本宗事鈔立題意可見也故鈔	祖 師 自 然 迴 悟 興 建 本 宗 事 鈔 立 題 意 可 見 也 故 鈔 
X40n0715_001:0179c15	序云至顯行世事方軌來蒙者百無一本又疏序云	序 云 至 顯 行 世 事 方 軌 來 蒙 者 百 無 一 本 又 疏 序 云 
X40n0715_001:0179c16	至於行事未見其皈等豈非自古傳持不明於此譚	至 於 行 事 未 見 其 皈 等 豈 非 自 古 傳 持 不 明 於 此 譚 
X40n0715_001:0179c17	有務謂虗滯言詮事無施即全忘教本。	有 務 謂 虗 滯 言 詮 事 無 施 即 全 忘 教 本 
X40n0715_001:0179c18	讒下次明學問荒踈初四句敘學淺上二句謂名不	讒 下 次 明 學 問 荒 踈 初 四 句 敘 學 淺 上 二 句 謂 名 不 
X40n0715_001:0179c19	稱實七五名者即五篇七聚之名讒能識達一字首	稱 實 七 五 名 者 即 五 篇 七 聚 之 名 讒 能 識 達 一 字 首 
X40n0715_001:0179c20	者即律師也涅槃云善解一字是名律師下二句謂	者 即 律 師 也 涅 槃 云 善 解 一 字 是 名 律 師 下 二 句 謂 
X40n0715_001:0179c21	學不至理上句謂奔逐名相行藏即律教興廢優劣	學 不 至 理 上 句 謂 奔 逐 名 相 行 藏 即 律 教 興 廢 優 劣 
X40n0715_001:0179c22	之義故鈔序云常恨前代諸師所流遺記止論文疏	之 義 故 鈔 序 云 常 恨 前 代 諸 師 所 流 遺 記 止 論 文 疏 
X40n0715_001:0179c23	廢立問答要鈔是也下句謂不知所皈決正即趣道	廢 立 問 答 要 鈔 是 也 下 句 謂 不 知 所 皈 決 正 即 趣 道 
X40n0715_001:0179c24	之心。	之 心 
X40n0715_001:0180a01	問下敘無稽上二句即脩古章疏癈興謂諸部互有	問 下 敘 無 稽 上 二 句 即 脩 古 章 疏 癈 興 謂 諸 部 互 有 
X40n0715_001:0180a02	取捨下二句準律無文上句窮竅正據下句相從臆	取 捨 下 二 句 準 律 無 文 上 句 窮 竅 正 據 下 句 相 從 臆 
X40n0715_001:0180a03	說。	說 
X40n0715_001:0180a04	自下二敘智師上二句美其學解博學謂見聞周贍	自 下 二 敘 智 師 上 二 句 美 其 學 解 博 學 謂 見 聞 周 贍 
X40n0715_001:0180a05	生知即稟性聰說論語云生而知之者上也學而知	生 知 即 稟 性 聰 說 論 語 云 生 而 知 之 者 上 也 學 而 知 
X40n0715_001:0180a06	之者次困而學之其次也困而不學斯謂下也下二	之 者 次 困 而 學 之 其 次 也 困 而 不 學 斯 謂 下 也 下 二 
X40n0715_001:0180a07	句斥其師心神用即智謀莫準謂不可憑信情取謂	句 斥 其 師 心 神 用 即 智 謀 莫 準 謂 不 可 憑 信 情 取 謂 
X40n0715_001:0180a08	不脩正教天乖諭其隔遠。	不 脩 正 教 天 乖 諭 其 隔 遠 
X40n0715_001:0180a09	三中正明中初科分三初敘來致上二句謂以前諸	三 中 正 明 中 初 科 分 三 初 敘 來 致 上 二 句 謂 以 前 諸 
X40n0715_001:0180a10	本增減繁略出自胸襟未符祖意下二句既從正教	本 增 減 繁 略 出 自 胸 襟 未 符 祖 意 下 二 句 既 從 正 教 
X40n0715_001:0180a11	理有所皈則辨諍紛論頓然平息。	理 有 所 皈 則 辨 諍 紛 論 頓 然 平 息 
X40n0715_001:0180a12	今下二示文體初四句明經註上二句敘正經言試	今 下 二 示 文 體 初 四 句 明 經 註 上 二 句 敘 正 經 言 試 
X40n0715_001:0180a13	者恐有所不知乖違佛旨未即正言作述之謙言依	者 恐 有 所 不 知 乖 違 佛 旨 未 即 正 言 作 述 之 謙 言 依 
X40n0715_001:0180a14	律者以戒本文散在廣律今則採摘律本撰集成文	律 者 以 戒 本 文 散 在 廣 律 今 則 採 摘 律 本 撰 集 成 文 
X40n0715_001:0180a15	更無改移故云具錄下二句明經文從佛解者以一	更 無 改 移 故 云 具 錄 下 二 句 明 經 文 從 佛 解 者 以 一 
X40n0715_001:0180a16	一戒下佛自解釋今所注釋盡準佛言文下四句挍	一 戒 下 佛 自 解 釋 今 所 注 釋 盡 準 佛 言 文 下 四 句 挍 
X40n0715_001:0180a17	異同上二句敘古同一卷數同今文三卷者乃後分	異 同 上 二 句 敘 古 同 一 卷 數 同 今 文 三 卷 者 乃 後 分 
X40n0715_001:0180a18	耳或可古有寫隸文者今文準律事可同焉下二句	耳 或 可 古 有 寫 隸 文 者 今 文 準 律 事 可 同 焉 下 二 句 
X40n0715_001:0180a19	敘今註釋戒相明顯則異古來失於辨相。	敘 今 註 釋 戒 相 明 顯 則 異 古 來 失 於 辨 相 
X40n0715_001:0180a20	庶下三彰利益初正明初二句通被三根上句學久	庶 下 三 彰 利 益 初 正 明 初 二 句 通 被 三 根 上 句 學 久 
X40n0715_001:0180a21	近下句據根有利鈍次二句謂解三品麤知粗略事	近 下 句 據 根 有 利 鈍 次 二 句 謂 解 三 品 麤 知 粗 略 事 
X40n0715_001:0180a22	鈔持犯篇明三種持律上品則事犯俱識中品句雖	鈔 持 犯 篇 明 三 種 持 律 上 品 則 事 犯 俱 識 中 品 句 雖 
X40n0715_001:0180a23	兼識犯於罪事生疑不識者下品則事犯俱迷此謂	兼 識 犯 於 罪 事 生 疑 不 識 者 下 品 則 事 犯 俱 迷 此 謂 
X40n0715_001:0180a24	於教有迷止結不學無知二罪望不犯根本故名持	於 教 有 迷 止 結 不 學 無 知 二 罪 望 不 犯 根 本 故 名 持 
X40n0715_001:0180b01	律精練則解行兼通精明持犯者一師化者以毗尼	律 精 練 則 解 行 兼 通 精 明 持 犯 者 一 師 化 者 以 毗 尼 
X40n0715_001:0180b02	之學佛法根本故鈔云大師在世偏弘斯典以下結	之 學 佛 法 根 本 故 鈔 云 大 師 在 世 偏 弘 斯 典 以 下 結 
X40n0715_001:0180b03	示上句則指前諸本下句謂為利無盡。	示 上 句 則 指 前 諸 本 下 句 謂 為 利 無 盡 
X40n0715_001:0180b04	次科分三初敘意上二句敘古多妄傳言各緣起者	次 科 分 三 初 敘 意 上 二 句 敘 古 多 妄 傳 言 各 緣 起 者 
X40n0715_001:0180b05	以律中凡制一戒並有緣起國土犯人熏結等相若	以 律 中 凡 制 一 戒 並 有 緣 起 國 土 犯 人 熏 結 等 相 若 
X40n0715_001:0180b06	不准律以明則容妄說下二句示須明之意謂依教	不 准 律 以 明 則 容 妄 說 下 二 句 示 須 明 之 意 謂 依 教 
X40n0715_001:0180b07	委明則事歸稽實。	委 明 則 事 歸 稽 實 
X40n0715_001:0180b08	故下正示言類引者戒緣各別故且如婬戒緣起戒	故 下 正 示 言 類 引 者 戒 緣 各 別 故 且 如 婬 戒 緣 起 戒 
X40n0715_001:0180b09	本犯等廣辨諸相成類注之使無參混刪要輔者以	本 犯 等 廣 辨 諸 相 成 類 注 之 使 無 參 混 刪 要 輔 者 以 
X40n0715_001:0180b10	彼文既廣今但撮略要輔今行事耳或可文繁不可	彼 文 既 廣 今 但 撮 略 要 輔 今 行 事 耳 或 可 文 繁 不 可 
X40n0715_001:0180b11	盡錄故故云刪要事有闕略則以義補之。	盡 錄 故 故 云 刪 要 事 有 闕 略 則 以 義 補 之 
X40n0715_001:0180b12	俾下三結顯上句謂文句開列下句即持犯分途。	俾 下 三 結 顯 上 句 謂 文 句 開 列 下 句 即 持 犯 分 途 
X40n0715_001:0180b13	二中分二初二句正示結益上句自利言潤身者依	二 中 分 二 初 二 句 正 示 結 益 上 句 自 利 言 潤 身 者 依 
X40n0715_001:0180b14	教奉持出處語默率遵戒撿動必稱法故法潤於身	教 奉 持 出 處 語 默 率 遵 戒 撿 動 必 稱 法 故 法 潤 於 身 
X40n0715_001:0180b15	教誡儀序云四儀既無法潤乃名枯槁眾生言光德	教 誡 儀 序 云 四 儀 既 無 法 潤 乃 名 枯 槁 眾 生 言 光 德 
X40n0715_001:0180b16	者威儀行成隨處施造則美德光顯鈔云良以非法	者 威 儀 行 成 隨 處 施 造 則 美 德 光 顯 鈔 云 良 以 非 法 
X40n0715_001:0180b17	無以光其儀非道無以顯其德下句利佗言護法者	無 以 光 其 儀 非 道 無 以 顯 其 德 下 句 利 佗 言 護 法 者 
X40n0715_001:0180b18	以末世住持唯憑僧寶所犯要由於戒故疏云住持	以 末 世 住 持 唯 憑 僧 寶 所 犯 要 由 於 戒 故 疏 云 住 持 
X40n0715_001:0180b19	三寶以僧為先良有由也匡時者以末法時證理趣	三 寶 以 僧 為 先 良 有 由 也 匡 時 者 以 末 法 時 證 理 趣 
X40n0715_001:0180b20	果者少唯以威儀肅物戒撿清身能使眾生觀相生	果 者 少 唯 以 威 儀 肅 物 戒 撿 清 身 能 使 眾 生 觀 相 生 
X40n0715_001:0180b21	善故云解削染稟戒入道次第以至僧中受懺安恣	善 故 云 解 削 染 稟 戒 入 道 次 第 以 至 僧 中 受 懺 安 恣 
X40n0715_001:0180b22	結法治諫師資上下此乃佛法綱紀住持萬世功由	結 法 治 諫 師 資 上 下 此 乃 佛 法 綱 紀 住 持 萬 世 功 由 
X40n0715_001:0180b23	戒律故善見云毗尼藏者佛法壽命毗尼藏住佛法	戒 律 故 善 見 云 毗 尼 藏 者 佛 法 壽 命 毗 尼 藏 住 佛 法 
X40n0715_001:0180b24	方住。	方 住 
X40n0715_001:0180c01	臨下次囑累流通初二句謂文義無濫上句全依佛	臨 下 次 囑 累 流 通 初 二 句 謂 文 義 無 濫 上 句 全 依 佛 
X40n0715_001:0180c02	語足可憑信下句逈異古師庶無乖謬。	語 足 可 憑 信 下 句 逈 異 古 師 庶 無 乖 謬 
X40n0715_001:0180c03	次二句正示流通言貽無漏者不專自利也謂豈唯	次 二 句 正 示 流 通 言 貽 無 漏 者 不 專 自 利 也 謂 豈 唯 
X40n0715_001:0180c04	自備其唯漏耳或可無漏即指聖果濟有緣者意在	自 備 其 唯 漏 耳 或 可 無 漏 即 指 聖 果 濟 有 緣 者 意 在 
X40n0715_001:0180c05	利佗謂於祖師夙有勝緣今或遭遇兼濟出孟子云	利 佗 謂 於 祖 師 夙 有 勝 緣 今 或 遭 遇 兼 濟 出 孟 子 云 
X40n0715_001:0180c06	窮則獨善其身達則兼濟天下良以大慈垂應本為	窮 則 獨 善 其 身 達 則 兼 濟 天 下 良 以 大 慈 垂 應 本 為 
X40n0715_001:0180c07	群生立事立言豈專自利。	群 生 立 事 立 言 豈 專 自 利 
X40n0715_001:0180c08	故下二句結示輙謂不敢專擅云爾結上之辭。	故 下 二 句 結 示 輙 謂 不 敢 專 擅 云 爾 結 上 之 辭 
X40n0715_001:0180c10	四分戒本序釋(終)	四 分 戒 本 序 釋 終 
