X17n0323_001:0135a03	 楞伽經序	 楞 伽 經 序 
X17n0323_001:0150b11	所以成上義也言法依佛說一切法者謂依體起	所 以 成 上 義 也 言 法 依 佛 說 一 切 法 者 謂 依 體 起 
X17n0323_001:0150b12	用即法身所作依佛或本作報佛一也其所說法	用 即 法 身 所 作 依 佛 或 本 作 報 佛 一 也 其 所 說 法 
X17n0323_001:0150b13	凡諸大教皆是今姑言一端謂入自相共相者於	凡 諸 大 教 皆 是 今 姑 言 一 端 謂 入 自相共相 者 於 
X17n0323_001:0150b14	是有事理觀門之異如上約三諦示者理門也又	是 有 事 理 觀 門 之 異 如 上 約 三 諦 示 者 理 門 也 又 
X17n0323_001:0150b15	約相奪諸者觀門也今別約事門即一切法本非	約 相 奪 諸 者 觀 門 也 今 別 約 事 門 即 一 切 法 本 非 
X17n0323_001:0150b16	今散以情迷理見自共相此自共相即是自心習	今 散 以 情 迷 理 見 自 共 相 此 自 共 相 即 是 自 心 習 
X17n0323_001:0150b17	氣因以惑為因也又言相續妄想自性計著因則	氣 因 以 惑 為 因 也 又 言 相 續 妄 想 自 性 計 著 因 則 
X17n0323_001:0150b18	業為因也故有種種不實如幻即報法為果也又	業 為 因 也 故 有 種 種 不 實 如 幻 即 報 法 為 果 也 又 
X17n0323_001:0150b19	曰種種計著則總結幻妄故皆不可得言不可得	曰 種 種 計 著 則 總 結 幻 妄 故 皆 不 可 得 言 不 可 得 
X17n0323_001:0150b20	則觀義也由觀故達理即三義宛足若直三道未	則 觀 義 也 由 觀 故 達 理 即 三 義 宛 足 若 直 三 道 未 
X17n0323_001:0150b21	足以異餘乘今云種種則兼界內外三道若約圓	足 以 異 餘 乘 今 云 種 種 則 兼 界 內 外 三 道 若 約 圓 
X17n0323_001:0150b22	論亦即三德是為大教說法之相葢文略爾又亦	論 亦 即 三 德 是 為 大 教 說 法 之 相 葢 文 略 爾 又 亦 
X17n0323_001:0150b23	不出二種自性則曰計著緣起自性等譬之如工	不 出 二 種 自 性 則 曰 計 著 緣 起 自 性 等 譬 之 如 工 
X17n0323_001:0150b24	幻師則無始惑心之譬也依艸木瓦石作種種幻	幻 師 則 無 始 惑 心 之 譬 也 依 艸 木 瓦 石 作 種 種 幻 
X17n0323_001:0150c01	則緣起自性之譬也起一切眾生若干形色則妄	則 緣 起 自 性 之 譬 也 起 一 切 眾 生 若 干 形 色 則 妄 
X17n0323_001:0150c02	想自性之譬也又曰起種種妄想者依譬則還合	想 自 性 之 譬 也 又 曰 起 種 種 妄 想 者 依 譬 則 還 合 
X17n0323_001:0150c03	見者起諸妄想照後文則又依妄想自性起種種	見 者 起 諸 妄 想 照 後 文 則 又 依 妄 想 自 性 起 種 種 
X17n0323_001:0150c04	心行等故曰彼諸妄想亦無真實是不唯能起如	心 行 等 故 曰 彼 諸 妄 想 亦 無 真 實 是 不 唯 能 起 如 
X17n0323_001:0150c05	幻而所起亦幻如是大慧下合也如前帖釋亦應	幻 而 所 起 亦 幻 如 是 大 慧 下 合 也 如 前 帖 釋 亦 應 
X17n0323_001:0150c06	可見而言種種妄想心種種相行事妄想相者正	可 見 而 言 種 種 妄 想 心 種 種 相 行 事 妄 想 相 者 正 
X17n0323_001:0150c07	言有心則有相有想則有行有行則有事各有種	言 有 心 則 有 相 有 想 則 有 行 有 行 則 有 事 各 有 種 
X17n0323_001:0150c08	種莫非妄想即前三道等相開合異爾還復結上	種 莫 非 妄 想 即 前 三 道 等 相 開 合 異 爾 還 復 結 上 
X17n0323_001:0150c09	事行等依習氣妄想生故曰是為妄想自性相生(二)。	事 行 等 依 習 氣 妄 想 生 故 曰 是 為 妄 想 自 性 相 生 二 
X17n0323_001:0150c10	大慧法佛者離心自性相自覺聖所緣境界建立施	大 慧 法 佛 者 離 心 自 性 相 自 覺 聖 所 緣 境 界 建 立 施 
X17n0323_001:0150c11	作大慧化佛者說施戒忍精進禪定及心智慧離陰	作 大 慧 化 佛 者 說 施 戒 忍 精 進 禪 定 及 心 智 慧 離 陰 
X17n0323_001:0150c12	界入解脫識相分別觀察建立超外道見無色見大	界 入 解 脫 識 相 分 別 觀 察 建 立 超 外 道 見 無 色 見 大 
X17n0323_001:0150c13	慧又法佛者離攀緣攀緣離一切所作根量相滅非	慧 又 法 佛 者 離 攀 緣 攀 緣 離 一 切 所 作 根 量 相 滅 非 
X17n0323_001:0150c14	諸凡夫聲聞緣覺外道計著我相所著境界自覺聖	諸 凡 夫 聲 聞 緣 覺 外 道 計 著 我 相 所 著 境 界 自 覺 聖 
X17n0323_001:0150c15	究竟差別相建立是故大慧自覺聖究竟差別相當	究 竟 差 別 相 建 立 是 故 大 慧 自 覺 聖 究 竟 差 別 相 當 
X17n0323_001:0150c16	勤修學自心現見應當除滅。	勤 修 學 自 心 現 見 應 當 除 滅 
X17n0323_001:0150c17	法佛雖不言說然言離心自性相即其說法可知	法 佛 雖 不 言 說 然 言 離 心 自 性 相 即 其 說 法 可 知 
X17n0323_001:0150c18	究竟法身何所不離而特言心者以心為諸法之	究 竟 法 身 何 所 不 離 而 特 言 心 者 以 心 為 諸 法 之 
X17n0323_001:0150c19	本心若不亡則一切法生今言離相則心相亦無	本 心 若 不 亡 則 一 切 法 生 今 言 離 相 則 心 相 亦 無 
X17n0323_001:0150c20	諸法寂滅寂滅相者法身之謂也又心為能緣能	諸 法 寂 滅 寂 滅 相 者 法 身 之 謂 也 又 心 為 能 緣 能 
X17n0323_001:0150c21	心有所待對不忘思議豈絕若離心相則唯一真	心 有 所 待 對 不 忘 思 議 豈 絕 若 離 心 相 則 唯 一 真 
X17n0323_001:0150c22	智更無彼此迭相見者即真法身在焉故經以離	智 更 無 彼 此 迭 相 見 者 即 真 法 身 在 焉 故 經 以 離 
X17n0323_001:0150c23	心自性相為法佛而佛亦離相然則名相何自而	心 自 性 相 為 法 佛 而 佛 亦 離 相 然 則 名 相 何 自 而 
X17n0323_001:0150c24	立故曰自覺聖所緣境界建立施作所謂強指法	立 故 曰 自 覺 聖 所 緣 境 界 建 立 施 作 所 謂 強 指 法 
X17n0323_001:0151a01	性為身是也斯乃無名之名非相之相不佛之佛	性 為 身 是 也 斯 乃 無 名 之 名 非 相 之 相 不 佛 之 佛 
X17n0323_001:0151a02	無說之說也抑若法身冥資一切則見聞覺知觸	無 說 之 說 也 抑 若 法 身 冥 資 一 切 則 見聞覺知 觸 
X17n0323_001:0151a03	對背向無非說者非不說法非所聞爾而介於報	對 背 向 無 非 說 者 非 不 說 法 非 所 聞 爾 而 介 於 報 
X17n0323_001:0151a04	化兩間者文便也又為關前報身之源起後應化	化 兩 間 者 文 便 也 又 為 關 前 報 身 之 源 起 後 應 化 
X17n0323_001:0151a05	之本故也化佛說法即應佛也凡諸共乘小教皆	之 本 故 也 化 佛 說 法 即 應 佛 也 凡 諸 共 乘 小 教 皆 
X17n0323_001:0151a06	是今從勝說則通乘也說六度則菩薩法說離陰	是 今 從 勝 說 則 通 乘 也 說 六 度 則 菩 薩 法 說 離 陰 
X17n0323_001:0151a07	界入解脫識相分別則二乘法觀察建立即後文	界 入 解 脫 識 相 分 別 則 二 乘 法 觀 察 建 立 即 後 文 
X17n0323_001:0151a08	二種覺義則菩薩自他法也超外道見無色見者	二 種 覺 義 則 菩 薩 自 他 法 也 超 外 道 見 無 色 見 者 
X17n0323_001:0151a09	謂離斷常及滅受想定也又法佛者重示所離前	謂 離 斷 常 及 滅受想定 也 又 法 佛 者 重 示 所 離 前 
X17n0323_001:0151a10	言離心約自體離也今復示離約所離離也則曰	言 離 心 約 自 體 離 也 今 復 示 離 約 所 離 離 也 則 曰 
X17n0323_001:0151a11	離攀緣者異凡夫以一離字貫下亦離攀緣離者	離 攀 緣 者 異 凡 夫 以 一 離 字 貫 下 亦 離 攀 緣 離 者 
X17n0323_001:0151a12	異二乘於前塵遠離故也一切所作根量相滅則	異 二 乘 於 前 塵 遠 離 故 也 一 切 所 作 根 量 相 滅 則 
X17n0323_001:0151a13	異外道所計作者根量故曰非諸凡夫乃至我相	異 外 道 所 計 作 者 根 量 故 曰 非 諸 凡 夫 乃 至 我 相 
X17n0323_001:0151a14	所著境界所離既極則唯自覺聖所證境界而已	所 著 境 界 所 離 既 極 則 唯 自 覺 聖 所 證 境 界 而 已 
X17n0323_001:0151a15	矣而言究竟差別相者謂迷悟之極極於佛果證	矣 而 言 究 竟 差 別 相 者 謂 迷 悟 之 極 極 於 佛 果 證 
X17n0323_001:0151a16	自覺聖故曰究竟亦即般若以無為法而有差別	自 覺 聖 故 曰 究 竟 亦 即 般 若 以 無 為 法 而有差別 
X17n0323_001:0151a17	則無差之差故曰究竟抑若異則究竟異異外無	則 無 差 之 差 故 曰 究 竟 抑 若 異 則 究 竟 異 異 外 無 
X17n0323_001:0151a18	同同則究竟同同外無異唯同唯異無同無異是	同 同 則 究 竟 同 同 外 無 異 唯 同 唯 異 無 同 無 異 是 
X17n0323_001:0151a19	為究竟如是之法契證乃知於是結勸而有兩番	為 究 竟 如 是 之 法 契 證 乃 知 於 是 結 勸 而 有 兩 番 
X17n0323_001:0151a20	初番結當文次句結上自心現流義故曰應當除	初 番 結 當 文 次 句 結 上 自 心 現 流 義 故 曰 應 當 除 
X17n0323_001:0151a21	滅也(三)。○右第十章。	滅 也 三 右 第 十 章 
X17n0323_001:0151a22	復次大慧有二種聲聞乘通分別相謂得自覺聖差	復 次 大 慧 有 二 種 聲 聞 乘 通 分 別 相 謂 得 自 覺 聖 差 
X17n0323_001:0151a23	別相及性妄想自性計著相云何得自覺聖差別相	別 相 及 性 妄 想 自 性 計 著 相 云 何 得 自 覺 聖 差 別 相 
X17n0323_001:0151a24	聲聞謂無常苦空無我境界真諦離欲寂滅息陰界	聲 聞 謂 無 常 苦 空 無 我 境 界 真 諦 離 欲 寂 滅 息 陰 界 
X17n0323_001:0151b01	入自共相外不壞相如實知心得寂止心寂止已禪	入 自 共 相 外 不 壞 相 如 實 知 心 得 寂 止 心 寂 止 已 禪 
X17n0323_001:0151b02	定解脫三昧道果正受解脫不離習氣不思議變易	定 解 脫 三 昧 道 果 正 受 解 脫 不 離 習 氣 不思議變 易 
X17n0323_001:0151b03	死得自覺聖樂住聲聞是名得自覺聖差別相聲聞	死 得 自 覺 聖 樂 住 聲 聞 是 名 得 自 覺 聖 差 別 相 聲 聞 
X17n0323_001:0151b04	大慧得自覺聖差別樂住菩薩摩訶薩非滅門樂正	大 慧 得 自 覺 聖 差 別 樂 住 菩薩摩訶薩 非 滅 門 樂 正 
X17n0323_001:0151b05	受樂顧憫眾生及本願不作證大慧是名聲聞得自	受 樂 顧 憫 眾 生 及 本 願 不 作 證 大 慧 是 名 聲 聞 得 自 
X17n0323_001:0151b06	覺聖差別相樂菩薩摩訶薩於彼得自覺聖差別相	覺 聖 差 別 相 樂 菩薩摩訶薩 於 彼 得 自 覺 聖 差 別 相 
X17n0323_001:0151b07	樂不應修學大慧云何性妄想自性計著相聲聞所	樂 不 應 修 學 大 慧 云 何 性 妄 想 自 性 計 著 相 聲 聞 所 
X17n0323_001:0151b08	謂大種青黃赤白堅溼煖動非作生自相共相先勝	謂 大 種 青 黃 赤 白 堅 溼 煖 動 非 作 生 自相共相 先 勝 
X17n0323_001:0151b09	善說見已於彼起自性妄想菩薩摩訶薩於彼應知	善 說 見 已 於 彼 起 自性妄想 菩薩摩訶薩 於 彼 應 知 
X17n0323_001:0151b10	應捨隨入法無我相滅人無我相見漸次諸地相續	應 捨 隨 入 法 無 我 相 滅 人 無 我 相 見 漸 次 諸 地 相 續 
X17n0323_001:0151b11	建立是名諸聲聞性妄想自性計著相。	建 立 是 名 諸 聲 聞 性 妄 想 自 性 計 著 相 
X17n0323_001:0151b12	凡內有所證無問大小因果之別皆可以為覺為	凡 內 有 所 證 無 問 大 小 因 果 之 別 皆 可 以 為 覺 為 
X17n0323_001:0151b13	聖為樂住一也向勉菩薩修學是相既有大小故	聖 為 樂 住 一 也 向 勉 菩 薩 修 學 是 相 既 有 大 小 故 
X17n0323_001:0151b14	別出聲聞所得意令菩薩知所擇焉標文言二種	別 出 聲 聞 所 得 意 令 菩 薩 知 所 擇 焉 標 文 言 二 種 
X17n0323_001:0151b15	聲聞者謂得自覺聖差別相則依理證入也及性	聲 聞 者 謂 得 自 覺 聖 差 別 相 則 依 理 證 入 也 及 性 
X17n0323_001:0151b16	妄想自性計著相則執教起見也雖同聲聞得失	妄 想 自 性 計 著 相 則 執 教 起 見 也 雖 同 聲 聞 得 失 
X17n0323_001:0151b17	永異釋中言無常苦空等即所修生滅觀門所趣	永 異 釋 中 言 無 常 苦 空 等 即 所 修 生 滅 觀 門 所 趣 
X17n0323_001:0151b18	諦理也義如常釋息陰界入自共相者息謂息滅	諦 理 也 義 如 常 釋 息 陰 界 入 自 共 相 者 息 謂 息 滅 
X17n0323_001:0151b19	亦可作析自共相即所觀陰等有惣別相皆得以	亦 可 作 析 自 共 相 即 所 觀 陰 等 有 惣 別 相 皆 得 以 
X17n0323_001:0151b20	推析則歸於空而已外不壞相如實知者外謂彼	推 析 則 歸 於 空 而 已 外 不 壞 相 如 實 知 者 外 謂 彼 
X17n0323_001:0151b21	外亦異也以彼不知大教不壞於身而隨一相是	外 亦 異 也 以 彼 不 知 大 教 不 壞 於 身 而 隨 一 相 是 
X17n0323_001:0151b22	如實知故外之也必得寂滅而後能止止於寂靜	如 實 知 故 外 之 也 必 得 寂 滅 而 後 能 止 止 於 寂 靜 
X17n0323_001:0151b23	解脫故曰禪定解脫三昧言所得定即解脫之三	解 脫 故 曰 禪 定 解 脫 三 昧 言 所 得 定 即 解 脫 之 三 
X17n0323_001:0151b24	昧所得道果即正受之解脫二者同出異名意顯	昧 所 得 道 果 即 正 受 之 解 脫 二 者 同 出 異 名 意 顯 
X17n0323_001:0151c01	相有故互言之然於煩惱生死則有所未盡故曰	相 有 故 互 言 之 然 於 煩 惱 生 死 則 有 所 未 盡 故 曰 
X17n0323_001:0151c02	不離習氣等此本別惑覆相云習而猶有界外法	不 離 習 氣 等 此 本 別 惑 覆 相 云 習 而 猶 有 界 外 法 
X17n0323_001:0151c03	性界報故未離不思議變易死得自覺聖樂住聲	性 界 報 故 未 離 不思議變易死 得 自 覺 聖 樂 住 聲 
X17n0323_001:0151c04	聞等者惟得是證故斯結是名則不為煩重也此	聞 等 者 惟 得 是 證 故 斯 結 是 名 則 不 為 煩 重 也 此 
X17n0323_001:0151c05	下兼言菩薩亦得是證而不住著故曰非滅門樂	下 兼 言 菩 薩 亦 得 是 證 而 不 住 著 故 曰 非 滅 門 樂 
X17n0323_001:0151c06	(去聲)正受樂則不同於聲聞住滅門樂正受樂也	 去 聲 正 受 樂 則 不 同 於 聲 聞 住 滅 門 樂 正 受 樂 也 
X17n0323_001:0151c07	顧憫眾生者顧猶顧復之顧謂以悲願度生兼彼	顧 憫 眾 生 者 顧 猶 顧 復 之 顧 謂 以 悲 願 度 生 兼 彼 
X17n0323_001:0151c08	本願不取滅證也大慧是名下重結指聲聞所得	本 願 不 取 滅 證 也 大 慧 是 名 下 重 結 指 聲 聞 所 得 
X17n0323_001:0151c09	樂相非菩薩所修向言知所擇者是矣云何性妄	樂 相 非 菩 薩 所 修 向 言 知 所 擇 者 是 矣 云 何 性 妄 
X17n0323_001:0151c10	想等謂彼聲聞以妄想自性計著見四大種色性	想 等 謂 彼 聲 聞 以 妄 想 自 性 計 著 見 四 大 種 色 性 
X17n0323_001:0151c11	自然非造作生故以性言之仍見陰界入自共相	自 然 非 造 作 生 故 以 性 言 之 仍 見 陰 界 入 自 共 相 
X17n0323_001:0151c12	是佛先勝善說不能了無自性而依言起見故曰	是 佛 先 勝 善 說 不 能 了 無 自 性 而 依 言 起 見 故 曰 
X17n0323_001:0151c13	於彼起自性妄想此固菩薩所當知而捨之則又	於 彼 起 自性妄想 此 固 菩 薩 所 當 知 而 捨 之 則 又 
X17n0323_001:0151c14	異乎證而不住隨入法無我相約自分言也滅彼	異 乎 證 而 不 住 隨 入 法 無 我 相 約 自 分 言 也 滅 彼 
X17n0323_001:0151c15	聲聞人無我相見則以見言之漸次諸地相續建	聲 聞 人 無 我 相 見 則 以 見 言 之 漸 次 諸 地 相 續 建 
X17n0323_001:0151c16	立者即菩薩以不墮彼見隨位證入也餘結名可	立 者 即 菩 薩 以 不 墮 彼 見 隨 位 證 入 也 餘 結 名 可 
X17n0323_001:0151c17	知。○右第十一章。	知 右 第 十 一 章 
X17n0323_001:0151c18	爾時大慧菩薩摩訶薩白佛言世尊世尊所說常不	爾 時 大 慧 菩薩摩訶薩 白 佛 言 世 尊 世 尊 所 說 常 不 
X17n0323_001:0151c19	思議自覺聖趣境界及第一義境界世尊非諸外道	思 議 自 覺 聖 趣 境 界 及 第 一 義 境 界 世 尊 非 諸 外 道 
X17n0323_001:0151c20	所說常不思議因緣耶佛告大慧非諸外道因緣得	所 說 常 不 思 議 因 緣 耶 佛 告 大 慧 非 諸 外 道 因 緣 得 
X17n0323_001:0151c21	常不思議所以者何諸外道常不思議不因自相成	常 不 思 議 所以者何 諸 外 道 常 不 思 議 不 因 自 相 成 
X17n0323_001:0151c22	若常不思議不因自相成者何因顯現常不思議復	若 常 不 思 議 不 因 自 相 成 者 何 因 顯 現 常 不 思 議 復 
X17n0323_001:0151c23	次大慧不思議若因自相成者彼則應常由作者因	次 大 慧 不 思 議 若 因 自 相 成 者 彼 則 應 常 由 作 者 因 
X17n0323_001:0151c24	相故常不思議不成大慧我第一義常不思議第一	相 故 常 不 思 議 不 成 大 慧 我 第 一 義 常 不 思 議 第 一 
X17n0323_001:0152a01	義因相成離性非性得自覺相故有相第一義智因	義 因 相 成 離 性 非 性 得 自 覺 相 故 有 相 第一義智 因 
X17n0323_001:0152a02	故有因離性非性故譬如無作虗空涅槃滅盡故常	故 有 因 離 性 非 性 故 譬 如 無 作 虗 空 涅 槃 滅 盡 故 常 
X17n0323_001:0152a03	如是大慧不同外道常不得議論如是大慧此常不	如 是 大 慧 不 同 外 道 常 不 得 議 論 如 是 大 慧 此 常 不 
X17n0323_001:0152a04	思議諸如來自覺聖智所得如是故常不思議自覺	思 議 諸 如 來 自覺聖智 所 得 如 是 故 常 不 思 議 自 覺 
X17n0323_001:0152a05	聖智所得應當修學。	聖 智 所 得 應 當 修 學 
X17n0323_001:0152a06	此經率多簡異邪宗外計惟恐學者濫真墮妄故	此 經 率 多 簡 異 邪 宗 外 計 惟 恐 學 者 濫 真 墮 妄 故 
X17n0323_001:0152a07	假大慧請決所疑有以見聖人憂世之心至矣問	假 大 慧 請 決 所 疑 有 以 見 聖 人 憂 世 之 心 至 矣 問 
X17n0323_001:0152a08	又先述常不思議是二種境界一則所趣從果言	又 先 述 常 不 思 議 是 二 種 境 界 一 則 所 趣 從 果 言 
X17n0323_001:0152a09	之一則能照從因言之雖能所不同皆境界也亦	之 一 則 能 照 從 因 言 之 雖 能 所 不 同 皆 境 界 也 亦 
X17n0323_001:0152a10	由境智冥契此常不思議所以成就德相具足眾	由 境 智 冥 契 此 常 不 思 議 所 以 成 就 德 相 具 足 眾 
X17n0323_001:0152a11	玅非彼外道有名無實先述此者為下因相張本	玅 非 彼 外 道 有 名 無 實 先 述 此 者 為 下 因 相 張 本 
X17n0323_001:0152a12	而言非諸外道常不思議因緣邪者以彼例此為	而 言 非 諸 外 道 常 不 思 議 因 緣 邪 者 以 彼 例 此 為 
X17n0323_001:0152a13	疑也答中先拂所問次徵釋斥其無因則曰不因	疑 也 答 中 先 拂 所 問 次 徵 釋 斥 其 無 因 則 曰 不 因 
X17n0323_001:0152a14	自相成謂彼果雖計常而非因自覺相所成則因	自 相 成 謂 彼 果 雖 計 常 而 非 因 自 覺 相 所 成 則 因 
X17n0323_001:0152a15	果皆非於是對果進退斥之若退言無自相因則	果 皆 非 於 是 對 果 進 退 斥 之 若 退 言 無 自 相 因 則 
X17n0323_001:0152a16	無常果故曰何因顯現常不思議即知彼計果常	無 常 果 故 曰 何 因 顯 現 常 不 思 議 即 知 彼 計 果 常 
X17n0323_001:0152a17	非也若進言有自相因彼則應常固不得而奪也	非 也 若 進 言 有 自 相 因 彼 則 應 常 固 不 得 而 奪 也 
X17n0323_001:0152a18	而彼邪計以作者為因相作則不常豈成常德即	而 彼 邪 計 以 作 者 為 因 相 作 則 不 常 豈 成 常 德 即 
X17n0323_001:0152a19	彼因相非也安得以彼之常同今之常我第一義	彼 因 相 非 也 安 得 以 彼 之 常 同 今 之 常 我 第 一 義 
X17n0323_001:0152a20	常下顯正結異言第一義因相成離性非性者謂	常 下 顯 正 結 異 言 第 一 義 因 相 成 離 性 非 性 者 謂 
X17n0323_001:0152a21	第一義則中道一實相理以是為因則第一義智	第 一 義 則 中 道 一 實 相 理 以 是 為 因 則 第一義智 
X17n0323_001:0152a22	之因以是為相則自覺聖趣之相以離性則非有	之 因 以 是 為 相 則 自 覺 聖 趣 之 相 以 離 性 則 非 有 
X17n0323_001:0152a23	離非性則非無非有非無即是中道中故常常故	離 非 性 則 非 無 非有非無 即 是 中 道 中 故 常 常 故 
X17n0323_001:0152a24	玅玅故不可思議此所以為常不思議因相為對	玅 玅 故 不可思議 此 所 以 為 常 不 思 議 因 相 為 對 
X17n0323_001:0152b01	異彼外道無自相因故復言有因有相其實此有	異 彼 外 道 無 自 相 因 故 復 言 有 因 有 相 其 實 此 有 
X17n0323_001:0152b02	非有無之有則又曰離性非性故是亦結成上文	非 有 無 之 有 則 又 曰 離 性 非 性 故 是 亦 結 成 上 文 
X17n0323_001:0152b03	也譬如無作虗空者正言虗空以無作故常涅槃	也 譬 如 無 作 虗 空 者 正 言 虗 空 以 無 作 故 常 涅 槃 
X17n0323_001:0152b04	以滅盡故常如曰因滅是色獲得常色故以虗空	以 滅 盡 故 常 如 曰 因 滅 是 色 獲 得 常 色 故 以 虗 空 
X17n0323_001:0152b05	譬之由是結勸則曰如是大慧等此雖性常若不	譬 之 由 是 結 勸 則 曰 如 是 大 慧 等 此 雖 性 常 若 不 
X17n0323_001:0152b06	修學何由契證餘皆例此故知台宗修性之說其	修 學 何 由 契 證 餘 皆 例 此 故 知 台 宗 修 性 之 說 其 
X17n0323_001:0152b07	有旨哉豈同上慢未甞發足便以為至邪聞此言	有 旨 哉 豈 同 上 慢 未 甞 發 足 便 以 為 至 邪 聞 此 言 
X17n0323_001:0152b08	者足為明誡(一)。	者 足 為 明 誡 一 
X17n0323_001:0152b09	復次大慧外道常不思議無常性異相因故非自作	復 次 大 慧 外 道 常 不 思 議 無 常 性 異 相 因 故 非 自 作 
X17n0323_001:0152b10	因相力故常復次大慧諸外道常不思議於所作性	因 相 力 故 常 復 次 大 慧 諸 外 道 常 不 思 議 於 所 作 性 
X17n0323_001:0152b11	非性無常見已思量計常大慧我亦以如是因緣所	非 性 無 常 見 已 思 量 計 常 大 慧 我 亦 以 如 是 因 緣 所 
X17n0323_001:0152b12	作者性非性無常見已自覺聖境界說彼常無因大	作 者 性 非 性 無 常 見 已 自 覺 聖 境 界 說 彼 常 無 因 大 
X17n0323_001:0152b13	慧若復諸外道因相成常不思議因自相性非性同	慧 若 復 諸 外 道 因 相 成 常 不 思 議 因 自 相 性 非 性 同 
X17n0323_001:0152b14	於兔角此常不思議但言說妄想諸外道輩有如是	於 兔 角 此 常 不 思 議 但 言說妄想 諸 外 道 輩 有 如 是 
X17n0323_001:0152b15	過所以者何謂但言說妄想同於兔角自因相非分	過 所以者何 謂 但 言說妄想 同 於 兔 角 自 因 相 非 分 
X17n0323_001:0152b16	大慧我常不思議因自覺得相故離所作性非性故	大 慧 我 常 不 思 議 因 自 覺 得 相 故 離 所 作 性 非 性 故 
X17n0323_001:0152b17	常非外性非性無常思量計常大慧若復外性非性	常 非 外 性 非 性 無 常 思 量 計 常 大 慧 若 復 外 性 非 性 
X17n0323_001:0152b18	無常思量計常不思議常而彼不知常不思議自因	無 常 思 量 計 常 不 思 議 常 而 彼 不 知 常 不 思 議 自 因 
X17n0323_001:0152b19	之相去得自覺聖智境界相遠彼不應說。	之 相 去 得 自覺聖智 境 界 相 遠 彼 不 應 說 
X17n0323_001:0152b20	次斥無常性所以難其無果以其非因故故復對	次 斥 無 常 性 所 以 難 其 無 果 以 其 非 因 故 故 復 對 
X17n0323_001:0152b21	因反覆斥之言異相因者非上自因之相則非自	因 反 覆 斥 之 言 異 相 因 者 非 上 自 因 之 相 則 非 自 
X17n0323_001:0152b22	作因相力所成之常故不能顯常性之果抑若非	作 因 相 力 所 成 之 常 故 不 能 顯 常 性 之 果 抑 若 非 
X17n0323_001:0152b23	自作因則必於所作性非性處見為無常而反思	自 作 因 則 必 於 所 作 性 非 性 處 見 為 無 常 而 反 思 
X17n0323_001:0152b24	量計常所謂計作者為常是也又曰我亦以如是	量 計 常 所 謂 計 作 者 為 常 是 也 又 曰 我 亦 以 如 是 
X17n0323_001:0152c01	因緣者謂如來亦見彼性無常而修於常顯自覺	因 緣 者 謂 如 來 亦 見 彼 性 無 常 而 修 於 常 顯 自 覺 
X17n0323_001:0152c02	聖境界而後乃知彼無常性故說彼常無因非同	聖 境 界 而 後 乃 知 彼 無 常 性 故 說 彼 常 無 因 非 同 
X17n0323_001:0152c03	妄計之常也又若以外道因相成常不思議者而	妄 計 之 常 也 又 若 以 外 道 因 相 成 常 不 思 議 者 而 
X17n0323_001:0152c04	彼因自相性非實性則同於兔角但有言說而已	彼 因 自 相 性 非 實 性 則 同 於 兔 角 但有言說 而 已 
X17n0323_001:0152c05	諸外道輩下總結過顯德其略有四謂但言說妄	諸 外 道 輩 下 總 結 過 顯 德 其 略 有 四 謂 但 言 說 妄 
X17n0323_001:0152c06	想一也自因相非分二也非自覺得相三也思量	想 一 也 自 因 相 非 分 二 也 非 自 覺 得 相 三 也 思 量 
X17n0323_001:0152c07	計常四也故曰有如是過反過成德其義可知但	計 常 四 也 故 曰 有 如 是 過 反 過 成 德 其 義 可 知 但 
X17n0323_001:0152c08	文相從略故二則結過二則顯德如文云云若復	文 相 從 略 故 二 則 結 過 二 則 顯 德 如 文 云 云 若 復 
X17n0323_001:0152c09	外性非性無常下復總結斥亦具四義初斥思量	外 性 非 性 無 常 下 復 總 結 斥 亦 具 四 義 初 斥 思 量 
X17n0323_001:0152c10	計常一也繼言不思議常亦從彼所計云尒(或疑脫	計 常 一 也 繼 言 不 思 議 常 亦 從 彼 所 計 云 尒 或 疑 脫 
X17n0323_001:0152c11	非字)而彼不知常不思議自因之相二也及去得自	非 字 而 彼 不 知 常 不 思 議 自 因 之 相 二 也 及 去 得 自 
X17n0323_001:0152c12	覺聖智境界相遠言其去佛所得遠矣三也彼不	覺 聖智境界 相 遠 言 其 去 佛 所 得 遠 矣 三 也 彼 不 
X17n0323_001:0152c13	應說斥其但有言說四也隨便不次詳之可知(二)。	應 說 斥 其 但有言說 四 也 隨 便 不 次 詳 之 可 知 二 
X17n0323_001:0152c14	○右第十二章。	 右 第 十 二 章 
X17n0323_001:0152c15	復次大慧諸聲聞畏生死妄想苦而求涅槃不知生	復 次 大 慧 諸 聲 聞 畏 生 死 妄 想 苦 而 求 涅 槃 不 知 生 
X17n0323_001:0152c16	死涅槃差別一切性妄想非性未來諸根境界休息	死 涅 槃 差 別 一 切 性 妄 想 非 性 未 來 諸 根 境 界 休 息 
X17n0323_001:0152c17	作涅槃想非自覺聖智趣藏識轉是故凡愚說有三	作 涅 槃 想 非 自覺聖智 趣 藏 識 轉 是 故 凡 愚 說 有 三 
X17n0323_001:0152c18	乘說心量趣無所有是故大慧彼不知過去未來現	乘 說 心 量 趣 無 所 有 是 故 大 慧 彼 不 知 過去未來 現 
X17n0323_001:0152c19	在諸如來自心現境界計著外心現境界生死輪常	在 諸 如 來 自 心 現 境 界 計 著 外 心 現 境 界 生 死 輪 常 
