T35n1731_001:0001a03	華嚴遊意	華 嚴 遊 意 
T35n1731_001:0003a16	即是迹。迹即本故。言本迹雖殊不思議一	即 是 迹 迹 即 本 故 言 本 迹 雖 殊 不 思 議 一 
T35n1731_001:0003a17	故。是一佛言二教者。涅槃華嚴二故云二教	故 是 一 佛 言 二 教 者 涅 槃 華 嚴 二 故 云 二 教 
T35n1731_001:0003a18	也。二佛二教者。舍那釋迦二佛。涅槃華嚴二	也 二 佛 二 教 者 舍 那 釋 迦 二 佛 涅 槃 華 嚴 二 
T35n1731_001:0003a19	故。一佛一教者。釋迦即舍那。涅槃即華嚴也。	故 一 佛 一 教 者 釋 迦 即 舍 那 涅 槃 即 華 嚴 也 
T35n1731_001:0003a20	此是何物四句。解云。合離四句。二佛一教	此 是 何 物 四 句 解 云 合 離 四 句 二 佛 一 教 
T35n1731_001:0003a21	此則離人合教。離舍那釋迦為二。合涅槃華	此 則 離 人 合 教 離 舍 那 釋 迦 為 二 合 涅 槃 華 
T35n1731_001:0003a22	嚴為一。一佛二教者。即合人離教。合釋迦	嚴 為 一 一 佛 二 教 者 即 合 人 離 教 合 釋 迦 
T35n1731_001:0003a23	舍那為一佛。離涅槃華嚴為二教。二佛二教	舍 那 為 一 佛 離 涅 槃 華 嚴 為 二 教 二 佛 二 教 
T35n1731_001:0003a24	離人離教。一佛一教合人合教。斯四句作如	離 人 離 教 一 佛 一 教 合 人 合 教 斯 四 句 作 如 
T35n1731_001:0003a25	此用也。所以用四句者欲答前問。前問云。	此 用 也 所 以 用 四 句 者 欲 答 前 問 前 問 云 
T35n1731_001:0003a26	二佛為一為異。今望此四句答。自有二佛說	二 佛 為 一 為 異 今 望 此 四 句 答 自 有 二 佛 說 
T35n1731_001:0003a27	一教。自有一佛說二教。二佛說一教。舍那說	一 教 自 有 一 佛 說 二 教 二 佛 說 一 教 舍 那 說 
T35n1731_001:0003a28	華嚴即是說涅槃。釋迦說涅槃即是說華嚴。	華 嚴 即 是 說 涅 槃 釋 迦 說 涅 槃 即 是 說 華 嚴 
T35n1731_001:0003a29	一佛二教者。釋迦說涅槃即是舍那佛說。	一 佛 二 教 者 釋 迦 說 涅 槃 即 是 舍 那 佛 說 
T35n1731_001:0003b01	舍那佛說華嚴即是釋迦佛說。餘二句可知。	舍 那 佛 說 華 嚴 即 是 釋 迦 佛 說 餘 二 句 可 知 
T35n1731_001:0003b02	為是故不同他釋也。前作舍那釋迦釋迦舍	為 是 故 不 同 他 釋 也 前 作 舍 那 釋 迦 釋 迦 舍 
T35n1731_001:0003b03	那語。此為對他家故作此說。然此語復別有	那 語 此 為 對 他 家 故 作 此 說 然 此 語 復 別 有 
T35n1731_001:0003b04	義。何者為欲讀經。經云。舍那在臺上。釋迦在	義 何 者 為 欲 讀 經 經 云 舍 那 在 臺 上 釋 迦 在 
T35n1731_001:0003b05	葉上。此臺是葉臺。此葉是臺葉。臺葉豈是	葉 上 此 臺 是 葉 臺 此 葉 是 臺 葉 臺 葉 豈 是 
T35n1731_001:0003b06	一豈是異。不得是一不得是異。詺作何物	一 豈 是 異 不 得 是 一 不 得 是 異 詺 作 何 物 
T35n1731_001:0003b07	耶。詺作臺葉。葉臺也。臺葉既爾。舍那釋迦	耶 詺 作 臺 葉 葉 臺 也 臺 葉 既 爾 舍 那 釋 迦 
T35n1731_001:0003b08	亦爾。問。臺葉葉臺成華。舍那釋迦成一佛不。	亦 爾 問 臺 葉 葉 臺 成 華 舍 那 釋 迦 成 一 佛 不 
T35n1731_001:0003b09	解云。得。難。得稱是何物佛。臺葉成一華華	解 云 得 難 得 稱 是 何 物 佛 臺 葉 成 一 華 華 
T35n1731_001:0003b10	名蓮華。舍那釋迦成一佛佛名何物。解云。臺	名 蓮 華 舍 那 釋 迦 成 一 佛 佛 名 何 物 解 云 臺 
T35n1731_001:0003b11	葉成一蓮華。舍那釋迦為一應佛。臺葉成蓮	葉 成 一 蓮 華 舍 那 釋 迦 為 一 應 佛 臺 葉 成 蓮 
T35n1731_001:0003b12	華。蓮華共一根。舍那釋迦成一應。應佛同	華 蓮 華 共 一 根 舍 那 釋 迦 成 一 應 應 佛 同 
T35n1731_001:0003b13	一本。本即是法身佛故。經云。十方諸如來同	一 本 本 即 是 法 身 佛 故 經 云 十 方 諸 如 來 同 
T35n1731_001:0003b14	共一法身界故。二佛同一本。臺葉共一根也。	共 一 法 身 界 故 二 佛 同 一 本 臺 葉 共 一 根 也 
T35n1731_001:0003b15	為是兩義故。云舍那釋迦釋迦舍那也。	為 是 兩 義 故 云 舍 那 釋 迦 釋 迦 舍 那 也 
T35n1731_001:0003b16	次明二佛相開不相開義。言相開不相開者。	次 明 二 佛 相 開 不 相 開 義 言 相 開 不 相 開 者 
T35n1731_001:0003b17	二佛異。二土異。二教門。二徒眾。言二佛異	二 佛 異 二 土 異 二 教 門 二 徒 眾 言 二 佛 異 
T35n1731_001:0003b18	者。舍那釋迦各開本迹。舍那開本迹者。舍那	者 舍 那 釋 迦 各 開 本 迹 舍 那 開 本 迹 者 舍 那 
T35n1731_001:0003b19	以法身為本。只舍那為迹。釋迦開本迹亦爾。	以 法 身 為 本 只 舍 那 為 迹 釋 迦 開 本 迹 亦 爾 
T35n1731_001:0003b20	以法身為本。只釋迦為迹。釋迦法身為本。釋	以 法 身 為 本 只 釋 迦 為 迹 釋 迦 法 身 為 本 釋 
T35n1731_001:0003b21	迦為迹。然此迹中更開本迹。釋迦是迹中本。	迦 為 迹 然 此 迹 中 更 開 本 迹 釋 迦 是 迹 中 本 
T35n1731_001:0003b22	此身更起他佛。即迹中迹。如大經受純陀及	此 身 更 起 他 佛 即 迹 中 迹 如 大 經 受 純 陀 及 
T35n1731_001:0003b23	大眾供。受純陀供迹中本身。受大眾供即迹	大 眾 供 受 純 陀 供 迹 中 本 身 受 大 眾 供 即 迹 
T35n1731_001:0003b24	中迹。此一條既爾。類餘亦然。釋迦既有兩	中 迹 此 一 條 既 爾 類 餘 亦 然 釋 迦 既 有 兩 
T35n1731_001:0003b25	重本迹。舍那亦有此兩重本迹。法身為本。舍	重 本 迹 舍 那 亦 有 此 兩 重 本 迹 法 身 為 本 舍 
T35n1731_001:0003b26	那為迹。然此迹中更開本迹。不起寂滅道場	那 為 迹 然 此 迹 中 更 開 本 迹 不 起 寂 滅 道 場 
T35n1731_001:0003b27	即迹中本。現身六天宮殿即迹中迹。故二佛	即 迹 中 本 現 身 六 天 宮 殿 即 迹 中 迹 故 二 佛 
T35n1731_001:0003b28	有兩重本迹。斯則二佛相開不相開義。恒須	有 兩 重 本 迹 斯 則 二 佛 相 開 不 相 開 義 恒 須 
T35n1731_001:0003b29	因緣語不得單道也。	因 緣 語 不 得 單 道 也 
T35n1731_001:0003c01	次明不相開相開者。法身為本。舍那為迹。好	次 明 不 相 開 相 開 者 法 身 為 本 舍 那 為 迹 好 
T35n1731_001:0003c02	體只應有一重本迹。何者十方三世佛出世。	體 只 應 有 一 重 本 迹 何 者 十 方 三 世 佛 出 世 
T35n1731_001:0003c03	唯為一大事因緣故出世。如法華為大事故	唯 為 一 大 事 因 緣 故 出 世 如 法 華 為 大 事 故 
T35n1731_001:0003c04	出。謂開佛知見等。又如大品云。般若為大事	出 謂 開 佛 知 見 等 又 如 大 品 云 般 若 為 大 事 
T35n1731_001:0003c05	故起。不可思議事故起。為無等等事故起。	故 起 不可思議 事 故 起 為 無 等 等 事 故 起 
T35n1731_001:0003c06	今舍那出世唯為一大事故出。唯為大根性	今 舍 那 出 世 唯 為 一 大 事 故 出 唯 為 大 根 性 
T35n1731_001:0003c07	者說一大因緣。故唯應有此本迹。十方三世	者 說 一 大 因 緣 故 唯 應 有 此 本 迹 十 方 三 世 
T35n1731_001:0003c08	諸佛正意只應如此。而今於迹中更開本迹	諸 佛 正 意 只 應 如 此 而 今 於 迹 中 更 開 本 迹 
T35n1731_001:0003c09	者。但穢土中眾生。罪重鈍根不堪舍那大化。	者 但 穢 土 中 眾 生 罪 重 鈍 根 不 堪 舍 那 大 化 
T35n1731_001:0003c10	所以方便於迹中更開本迹。本則為淨土大	所 以 方 便 於 迹 中 更 開 本 迹 本 則 為 淨 土 大 
T35n1731_001:0003c11	根性者說大因大果。迹即為穢土鈍根者	根 性 者 說 大 因 大 果 迹 即 為 穢 土 鈍 根 者 
T35n1731_001:0003c12	初說三乘教門。次說般若等。然後始得說法	初 說 三 乘 教 門 次 說 般 若 等 然 後 始 得 說 法 
T35n1731_001:0003c13	華涅槃等大乘之義。如火宅窮子等譬。初大	華 涅 槃 等 大 乘 之 義 如 火 宅 窮 子 等 譬 初 大 
T35n1731_001:0003c14	乘化不得。方便說三乘。然後得說大乘。二	乘 化 不 得 方 便 說 三 乘 然 後 得 說 大 乘 二 
T35n1731_001:0003c15	佛亦爾。穢眾生不堪舍那大化。更起迹佛方	佛 亦 爾 穢 眾 生 不 堪 舍 那 大 化 更 起 迹 佛 方 
T35n1731_001:0003c16	便初說三乘。後說大乘。為此義故。所以舍	便 初 說 三 乘 後 說 大 乘 為 此 義 故 所 以 舍 
T35n1731_001:0003c17	那迹中更開本迹。舍那為本釋迦為迹。斯	那 迹 中 更 開 本 迹 舍 那 為 本 釋 迦 為 迹 斯 
T35n1731_001:0003c18	即是二佛不相開相開義。然十方三世諸佛	即 是 二 佛 不 相 開 相 開 義 然 十 方 三世諸佛 
T35n1731_001:0003c19	本迹雖復無量。以相開不相開。不相開相開	本 迹 雖 復 無 量 以 相 開 不 相 開 不 相 開 相 開 
T35n1731_001:0003c20	二句攝。則無所不盡。為是故明此二種也。	二 句 攝 則 無 所 不 盡 為 是 故 明 此 二 種 也 
T35n1731_001:0003c21	次開四句成前義。四句者。一唯本而不迹。二	次 開 四 句 成 前 義 四 句 者 一 唯 本 而 不 迹 二 
T35n1731_001:0003c22	唯迹而不本。三亦迹亦本。四非本非迹。用	唯 迹 而 不 本 三 亦 迹 亦 本 四 非 本 非 迹 用 
T35n1731_001:0003c23	此四句安何處。用此四句安不相開相開義。	此 四 句 安 何 處 用 此 四 句 安 不 相 開 相 開 義 
T35n1731_001:0003c24	不得漫用用須得處也。問。若為是唯本不迹	不 得 漫 用 用 須 得 處 也 問 若 為 是 唯 本 不 迹 
T35n1731_001:0003c25	乃至非本非迹耶。釋云。但本不迹者即是	乃 至 非 本 非 迹 耶 釋 云 但 本 不 迹 者 即 是 
T35n1731_001:0003c26	法身故。經云。佛真法身猶如虛空也。言唯	法 身 故 經 云 佛 真 法 身 猶如虛空 也 言 唯 
T35n1731_001:0003c27	迹不本者即是釋迦但是應身。亦迹亦本者	迹 不 本 者 即 是 釋 迦 但 是 應 身 亦 迹 亦 本 者 
T35n1731_001:0003c28	是舍那。舍那望法身即是迹。望釋迦即是本	是 舍 那 舍 那 望 法 身 即 是 迹 望 釋 迦 即 是 本 
T35n1731_001:0003c29	故。舍那亦本亦迹也。非本非迹者此則卷前	故 舍 那 亦 本 亦 迹 也 非 本 非 迹 者 此 則 卷 前 
T35n1731_001:0004a01	三句。何者前。雖有三句只是本迹二句。法身	三 句 何 者 前 雖 有 三 句 只 是 本 迹 二 句 法 身 
T35n1731_001:0004a02	是本。舍那釋迦並是迹。此本是迹本。此迹是	是 本 舍 那 釋 迦 並 是 迹 此 本 是 迹 本 此 迹 是 
T35n1731_001:0004a03	本迹。此本是迹本。非本無以垂迹。此迹是本	本 迹 此 本 是 迹 本 非 本 無 以 垂 迹 此 迹 是 本 
T35n1731_001:0004a04	迹。非迹無以顯本。非本無以垂迹。由本故迹。	迹 非 迹 無 以 顯 本 非 本 無 以 垂 迹 由 本 故 迹 
T35n1731_001:0004a05	非迹無以顯本。由迹故本。由本故迹。迹是	非 迹 無 以 顯 本 由 迹 故 本 由 本 故 迹 迹 是 
T35n1731_001:0004a06	本迹。由迹故本。本是迹本。迹本則非本。本迹	本 迹 由 迹 故 本 本 是 迹 本 迹 本 則 非 本 本 迹 
T35n1731_001:0004a07	則非迹。斯即非本非迹清淨。即本迹雖殊	則 非 迹 斯 即 非 本 非 迹 清 淨 即 本 迹 雖 殊 
T35n1731_001:0004a08	不思議一。舒則遍盈法界。卷即泯無蹤跡	不 思 議 一 舒 則 遍 盈 法 界 卷 即 泯 無 蹤 跡 
T35n1731_001:0004a09	也。前略明化主竟。	也 前 略 明 化 主 竟 
T35n1731_001:0004a10	今次辨化處。化處者亦有二處。一者舍那蓮	今 次 辨 化 處 化 處 者 亦 有 二 處 一 者 舍 那 蓮 
T35n1731_001:0004a11	華藏處。二者釋迦娑婆國處。亦得將前二佛	華 藏 處 二 者 釋 迦 娑 婆 國 處 亦 得 將 前 二 佛 
T35n1731_001:0004a12	類今二處。將正以類依。何者前。云舍那釋迦	類 今 二 處 將 正 以 類 依 何 者 前 云 舍 那 釋 迦 
T35n1731_001:0004a13	釋迦舍那。不得言一不得稱異。不得言一亦	釋 迦 舍 那 不 得 言 一 不 得 稱 異 不 得 言 一 亦 
T35n1731_001:0004a14	得因緣一。不得稱異亦得因緣異。故非一非	得 因 緣 一 不 得 稱 異 亦 得 因 緣 異 故 非 一 非 
T35n1731_001:0004a15	異亦得因緣一異。今處亦爾。蓮華藏娑婆娑	異 亦 得 因 緣 一 異 今 處 亦 爾 蓮 華 藏 娑 婆 娑 
T35n1731_001:0004a16	婆蓮華藏。不得言一不得稱異。不得言一亦	婆 蓮 華 藏 不 得 言 一 不 得 稱 異 不 得 言 一 亦 
T35n1731_001:0004a17	得因緣一。不得稱異亦得因緣異。故二處非	得 因 緣 一 不 得 稱 異 亦 得 因 緣 異 故 二 處 非 
T35n1731_001:0004a18	一非異亦得因緣一異。此則將正類依。在此	一 非 異 亦 得 因 緣 一 異 此 則 將 正 類 依 在 此 
T35n1731_001:0004a19	依是正。依正既然類依亦爾。何者此正是	依 是 正 依 正 既 然 類 依 亦 爾 何 者 此 正 是 
T35n1731_001:0004a20	依正。依正既然。正依豈當不爾。故二佛類	依 正 依 正 既 然 正 依 豈 當 不 爾 故 二 佛 類 
T35n1731_001:0004a21	二處亦非一異。而不失因緣一異也。次更將	二 處 亦 非 一 異 而 不 失 因 緣 一 異 也 次 更 將 
T35n1731_001:0004a22	前兩本迹類今化處亦有兩條。一者二土各	前 兩 本 迹 類 今 化 處 亦 有 兩 條 一 者 二 土 各 
T35n1731_001:0004a23	有本迹土。二者二處共論本迹土。二處各	有 本 迹 土 二 者 二 處 共 論 本 迹 土 二 處 各 
T35n1731_001:0004a24	論本迹土者。前云舍那有舍那法身為本舍	論 本 迹 土 者 前 云 舍 那 有 舍 那 法 身 為 本 舍 
T35n1731_001:0004a25	那為迹。舍那迹中更開本迹。今土亦爾。舍那	那 為 迹 舍 那 迹 中 更 開 本 迹 今 土 亦 爾 舍 那 
T35n1731_001:0004a26	法身即有舍那法身土。舍那迹則有舍那迹	法 身 即 有 舍 那 法 身 土 舍 那 迹 則 有 舍 那 迹 
T35n1731_001:0004a27	土。舍那迹中開本迹即迹中開本迹土。舍那	土 舍 那 迹 中 開 本 迹 即 迹 中 開 本 迹 土 舍 那 
T35n1731_001:0004a28	既然釋迦亦爾。問若為作耶。解云。舍那有舍	既 然 釋 迦 亦 爾 問 若 為 作 耶 解 云 舍 那 有 舍 
T35n1731_001:0004a29	那法身土也。問法身何須土。解云。法身土	那 法 身 土 也 問 法 身 何 須 土 解 云 法 身 土 
T35n1731_001:0004b01	始是好土。何者以正法為法身即以正法為	始 是 好 土 何 者 以 正 法 為 法 身 即 以 正 法 為 
T35n1731_001:0004b02	土。此之身土更無有異。正法為身即名法身。	土 此 之 身 土 更 無 有 異 正 法 為 身 即 名 法 身 
T35n1731_001:0004b03	正法所拪託即名為土故。法身始有清淨淨	正 法 所 拪 託 即 名 為 土 故 法 身 始 有 清 淨 淨 
T35n1731_001:0004b04	土也。所以仁王經云。三賢十聖住果報。唯	土 也 所 以 仁 王 經 云 三 賢 十 聖 住 果 報 唯 
T35n1731_001:0004b05	佛一人居淨土。此則唯法身佛居清淨第一	佛 一 人 居 淨 土 此 則 唯 法 身 佛 居 清 淨 第 一 
T35n1731_001:0004b06	義土也。言舍那為迹有舍那迹土者。故此經	義 土 也 言 舍 那 為 迹 有 舍 那 迹 土 者 故 此 經 
T35n1731_001:0004b07	初會普賢菩薩說云。佛子。蓮華藏是舍那過	初 會 普 賢 菩 薩 說 云 佛 子 蓮 華 藏 是 舍 那 過 
T35n1731_001:0004b08	去誓願力之所感故。此土是舍那迹土也。	去 誓 願 力 之 所 感 故 此 土 是 舍 那 迹 土 也 
T35n1731_001:0004b09	舍那迹土者。前云不起寂滅道場為本。現身	舍 那 迹 土 者 前 云 不 起 寂 滅 道 場 為 本 現 身 
T35n1731_001:0004b10	六天宮殿為迹。餘事無量寄此一條明耳。今	六 天 宮 殿 為 迹 餘 事 無 量 寄 此 一 條 明 耳 今 
T35n1731_001:0004b11	還約此判本迹土。亦得但此義小局。今明舍	還 約 此 判 本 迹 土 亦 得 但 此 義 小 局 今 明 舍 
T35n1731_001:0004b12	那迹中本迹土者。蓮華藏界即迹中本土。舍	那 迹 中 本 迹 土 者 蓮 華 藏 界 即 迹 中 本 土 舍 
T35n1731_001:0004b13	那既王十佛世界海即是迹中迹土也。釋迦	那 既 王 十 佛 世 界 海 即 是 迹 中 迹 土 也 釋 迦 
T35n1731_001:0004b14	亦有此兩重者。釋迦有法身佛即有法身土。	亦 有 此 兩 重 者 釋 迦 有 法 身 佛 即 有 法 身 土 
T35n1731_001:0004b15	如舍那法身土無異。何者十方如來同共法	如 舍 那 法 身 土 無 異 何 者 十 方 如 來 同 共 法 
T35n1731_001:0004b16	身。法身既同。法身土亦無異。正法為法身。	身 法 身 既 同 法 身 土 亦 無 異 正 法 為 法 身 
T35n1731_001:0004b17	正法拪託為土也。釋迦迹土即此娑婆世界	正 法 拪 託 為 土 也 釋 迦 迹 土 即 此 娑婆世界 
T35n1731_001:0004b18	是也。釋迦迹中迹土者。約前迹中本迹亦得。	是 也 釋 迦 迹 中 迹 土 者 約 前 迹 中 本 迹 亦 得 
T35n1731_001:0004b19	何者受純陀食為迹中本佛即為迹中本土。	何 者 受 純 陀 食 為 迹 中 本 佛 即 為 迹 中 本 土 
T35n1731_001:0004b20	受大眾供為迹中迹佛即為迹中迹土。但此	受 大 眾 供 為 迹 中 迹 佛 即 為 迹 中 迹 土 但 此 
T35n1731_001:0004b21	事非一。如法華釋迦佛及分身諸佛。釋迦佛	事 非 一 如 法 華 釋 迦 佛 及 分 身 諸 佛 釋 迦 佛 
T35n1731_001:0004b22	土為迹中本土。分身諸佛土為迹中迹土故。	土 為 迹 中 本 土 分 身 諸 佛 土 為 迹 中 迹 土 故 
T35n1731_001:0004b23	二佛土皆有此兩重也。	二 佛 土 皆 有 此 兩 重 也 
T35n1731_001:0004b24	次明二佛共論本迹土。如法身為本舍那為	次 明 二 佛 共 論 本 迹 土 如 法 身 為 本 舍 那 為 
T35n1731_001:0004b25	迹。唯有一本一迹佛。亦以法身土舍那土唯	迹 唯 有 一 本 一 迹 佛 亦 以 法 身 土 舍 那 土 唯 
T35n1731_001:0004b26	是一本一迹土。十方三世佛唯為一大事	是 一 本 一 迹 土 十 方 三 世 佛 唯 為 一 大 事 
T35n1731_001:0004b27	故出現於世亦唯舍那正直之心成清淨之	故 出 現 於 世 亦 唯 舍 那 正 直 之 心 成 清 淨 之 
T35n1731_001:0004b28	土。但為薄福罪重鈍根眾生故。迹土中開本	土 但 為 薄 福 罪 重 鈍 根 眾 生 故 迹 土 中 開 本 
T35n1731_001:0004b29	迹土。故為娑婆穢土。舍那蓮華藏為迹中本	迹 土 故 為 娑 婆 穢 土 舍 那 蓮 華 藏 為 迹 中 本 
T35n1731_001:0004c01	土。釋迦娑婆。為迹中迹土。故菩薩戒經云。我	土 釋 迦 娑 婆 為 迹 中 迹 土 故 菩 薩 戒 經 云 我 
T35n1731_001:0004c02	今盧舍那方坐蓮華臺。周匝千華上示現千	今 盧 舍 那 方 坐 蓮 華 臺 周 匝 千 華 上 示 現 千 
T35n1731_001:0004c03	釋迦。一華百億國。一國一釋迦。如是百億國	釋 迦 一 華 百 億 國 一 國 一 釋 迦 如 是 百 億 國 
T35n1731_001:0004c04	有千百億釋迦。華有千葉一葉一釋迦故有	有 千 百 億 釋 迦 華 有 千 葉 一 葉 一 釋 迦 故 有 
T35n1731_001:0004c05	千釋迦。一華有百億國一國一釋迦故有千	千 釋 迦 一 華 有 百 億 國 一 國 一 釋 迦 故 有 千 
T35n1731_001:0004c06	百億釋迦也。	百 億 釋 迦 也 
T35n1731_001:0004c07	次將本迹四句類本迹土亦有四句。一者唯	次 將 本 迹 四 句 類 本 迹 土 亦 有 四 句 一 者 唯 
T35n1731_001:0004c08	本非迹土即是法身土。二者唯迹非本土即	本 非 迹 土 即 是 法 身 土 二 者 唯 迹 非 本 土 即 
T35n1731_001:0004c09	是釋迦土。三者亦本亦迹土即是舍那土。	是 釋 迦 土 三 者 亦 本 亦 迹 土 即 是 舍 那 土 
T35n1731_001:0004c10	望法身土為迹。望釋迦土為本也。四者非本	望 法 身 土 為 迹 望 釋 迦 土 為 本 也 四 者 非 本 
T35n1731_001:0004c11	非迹土。還卷前三句。前雖有三句不出本	非 迹 土 還 卷 前 三 句 前 雖 有 三 句 不 出 本 
T35n1731_001:0004c12	迹二句。法身本舍那釋迦二佛為迹。此是本	迹 二 句 法 身 本 舍 那 釋 迦 二 佛 為 迹 此 是 本 
T35n1731_001:0004c13	迹迹本。本迹非本無以明迹。迹本非迹無以	迹 迹 本 本 迹 非 本 無 以 明 迹 迹 本 非 迹 無 以 
T35n1731_001:0004c14	明本。非本無以明迹即由本故迹。非迹無以	明 本 非 本 無 以 明 迹 即 由 本 故 迹 非 迹 無 以 
T35n1731_001:0004c15	明本即由迹故本。由本故迹。迹是本迹。由迹	明 本 即 由 迹 故 本 由 本 故 迹 迹 是 本 迹 由 迹 
T35n1731_001:0004c16	故本本是迹本。本迹非迹。迹本非本。非本非	故 本 本 是 迹 本 本 迹 非 迹 迹 本 非 本 非 本 非 
T35n1731_001:0004c17	迹清淨。二佛既然兩土類此可知。斯則卷	迹 清 淨 二 佛 既 然 兩 土 類 此 可 知 斯 則 卷 
T35n1731_001:0004c18	三句成無句無。句成無句畢竟清淨。雖復無	三 句 成 無 句 無 句 成 無 句 畢 竟 清 淨 雖 復 無 
T35n1731_001:0004c19	句無句而句。則有依正句本迹句者。則三句	句 無 句 而 句 則 有 依 正 句 本 迹 句 者 則 三 句 
T35n1731_001:0004c20	為二句。二句為無句。今無句而句。一句而	為 二 句 二 句 為 無 句 今 無 句 而 句 一 句 而 
T35n1731_001:0004c21	無量句。為量句而一句。無量句即一句。無量	無 量 句 為 量 句 而 一 句 無 量 句 即 一 句 無 量 
T35n1731_001:0004c22	中解一。一句即無量句。一中解無量。無量	中 解 一 一 句 即 無 量 句 一 中 解 無 量 無 量 
T35n1731_001:0004c23	中解一。此是無量一。一中解無量。此是一無	中 解 一 此 是 無 量 一 一 中 解 無 量 此 是 一 無 
T35n1731_001:0004c24	量。無量一即非一。一無量即非無量。非一	量 無 量 一 即 非 一 一 無 量 即 非 無 量 非 一 
T35n1731_001:0004c25	非無量而不失一無量。此言玄妙不易可聞	非 無 量 而 不 失 一 無 量 此 言 玄 妙 不 易 可 聞 
T35n1731_001:0004c26	也。	也 
T35n1731_001:0004c27	次明二土相開不相開義。然土凡有五種。一	次 明 二 土 相 開 不 相 開 義 然 土 凡 有 五 種 一 
T35n1731_001:0004c28	淨二穢三不淨淨四淨不淨五雜土。此之五	淨 二 穢 三 不 淨 淨 四 淨 不 淨 五 雜 土 此 之 五 
T35n1731_001:0004c29	土是僧叡法師所辨。斯之五土橫攝一切	土 是 僧 叡 法 師 所 辨 斯 之 五 土 橫 攝 一 切 
T35n1731_001:0005a01	土盡。何者只一淨土中有無量淨土故。華嚴	土 盡 何 者 只 一 淨 土 中 有 無 量 淨 土 故 華 嚴 
T35n1731_001:0005a02	經云。有百億阿僧祇品淨土。西方阿彌陀下	經 云 有 百 億 阿 僧 祇 品 淨 土 西 方 阿 彌 陀 下 
T35n1731_001:0005a03	品淨土。聖服撞世界上品淨土。淨土既其如	品 淨 土 聖 服 撞 世 界 上 品 淨 土 淨 土 既 其 如 
T35n1731_001:0005a04	此。故知餘四土亦復無量。所以云。此五種土	此 故 知 餘 四 土 亦 復 無 量 所 以 云 此 五 種 土 
T35n1731_001:0005a05	橫攝一切土盡。橫既然竪即不定也。五種土	橫 攝 一 切 土 盡 橫 既 然 竪 即 不 定 也 五 種 土 
T35n1731_001:0005a06	中且明淨穢二土。此有無量四句。且辨一種	中 且 明 淨 穢 二 土 此 有 無 量 四 句 且 辨 一 種 
T35n1731_001:0005a07	四句。四句者謂。一質一處。異質異處。異質	四 句 四 句 者 謂 一 質 一 處 異 質 異 處 異 質 
T35n1731_001:0005a08	一處。一質異處。此四句極自難解。今當影生	一 處 一 質 異 處 此 四 句 極 自 難 解 今 當 影 生 
T35n1731_001:0005a09	師淨土義。及關中法師所辨者而明之。然一	師 淨 土 義 及 關 中 法 師 所 辨 者 而 明 之 然 一 
T35n1731_001:0005a10	質一處異質異處。此二句易解。餘二句難明。	質 一 處 異 質 異 處 此 二 句 易 解 餘 二 句 難 明 
T35n1731_001:0005a11	且問。何者為質若為稱處。解云。質即是淨	且 問 何 者 為 質 若 為 稱 處 解 云 質 即 是 淨 
T35n1731_001:0005a12	穢等。處即是方處之處。如淨質在西方處。穢	穢 等 處 即 是 方 處 之 處 如 淨 質 在 西 方 處 穢 
T35n1731_001:0005a13	質在東方處也。所言一質一處者。一淨質一	質 在 東 方 處 也 所 言 一 質 一 處 者 一 淨 質 一 
T35n1731_001:0005a14	穢質。一淨質在西方安養處。一穢質在東方	穢 質 一 淨 質 在 西 方 安 養 處 一 穢 質 在 東 方 
T35n1731_001:0005a15	娑婆處。故言一質一處。言異質異處者。淨穢	娑 婆 處 故 言 一 質 一 處 言 異 質 異 處 者 淨 穢 
T35n1731_001:0005a16	互望。淨質異穢質。穢質異淨質故。言異質。淨	互 望 淨 質 異 穢 質 穢 質 異 淨 質 故 言 異 質 淨 
T35n1731_001:0005a17	質處異穢質處。穢質處異淨質處。故言異處	質 處 異 穢 質 處 穢 質 處 異 淨 質 處 故 言 異 處 
T35n1731_001:0005a18	也。言異質一處者。此句難解。異質一義亦名	也 言 異 質 一 處 者 此 句 難 解 異 質 一 義 亦 名 
T35n1731_001:0005a19	異質同義。異同在一處也。且明異質同處。若	異 質 同 義 異 同 在 一 處 也 且 明 異 質 同 處 若 
T35n1731_001:0005a20	為是異質而同處耶。解云。淨穢異質。同在一	為 是 異 質 而 同 處 耶 解 云 淨 穢 異 質 同 在 一 
T35n1731_001:0005a21	娑婆處。如此經蓮華藏國。在娑婆處。淨名	娑 婆 處 如 此 經 蓮 華 藏 國 在 娑 婆 處 淨 名 
T35n1731_001:0005a22	經妙莊嚴國。在娑婆處。法華云。餘眾見燒盡。	經 妙 莊 嚴 國 在 娑 婆 處 法 華 云 餘 眾 見 燒 盡 
T35n1731_001:0005a23	吾淨土不毀。此並是淨質在穢處。此略明淨	吾 淨 土 不 毀 此 並 是 淨 質 在 穢 處 此 略 明 淨 
T35n1731_001:0005a24	質同在穢土如此。次問。若為淨質得在穢	質 同 在 穢 土 如 此 次 問 若 為 淨 質 得 在 穢 
T35n1731_001:0005a25	土耶。解此有數義。一者所以淨質得在穢	土 耶 解 此 有 數 義 一 者 所 以 淨 質 得 在 穢 
T35n1731_001:0005a26	土者。淨穢無[得彳]。淨無礙穢故。淨得在穢處。	土 者 淨 穢 無 [得彳] 淨 無 礙 穢 故 淨 得 在 穢 處 
