T38n1769_001:0239a13	涅槃宗要	涅 槃 宗 要 
T38n1769_001:0243a22	來清淨。涅槃即如如理凡聖一味。是故亦名	來 清 淨 涅 槃 即 如 如 理 凡 聖 一 味 是 故 亦 名 
T38n1769_001:0243a23	同相涅槃。方便壞者。智悲善巧壞二邊著。由	同 相 涅 槃 方 便 壞 者 智 悲 善 巧 壞 二 邊 著 由 
T38n1769_001:0243a24	是轉依真如顯現。從因立名名方便壞。由轉	是 轉 依 真 如 顯 現 從 因 立 名 名 方 便 壞 由 轉 
T38n1769_001:0243a25	二著不住二邊故亦名無住處涅槃。如攝論	二 著 不 住 二 邊 故 亦 名 無住處涅槃 如 攝 論 
T38n1769_001:0243a26	云。諸煩惱惑滅名無住處涅槃。故即此涅槃	云 諸 煩 惱 惑 滅 名 無住處涅槃 故 即 此 涅 槃 
T38n1769_001:0243a27	不通凡住。故亦名不同相涅槃。如地論云。定	不 通 凡 住 故 亦 名 不 同 相 涅 槃 如 地 論 云 定 
T38n1769_001:0243a28	者成同相涅槃。自性寂滅故。滅者成不同相	者 成 同 相 涅 槃 自 性 寂 滅 故 滅 者 成 不 同 相 
T38n1769_001:0243a29	方便壞涅槃。爾現智緣滅故。是二涅槃同一	方 便 壞 涅 槃 爾 現 智 緣 滅 故 是 二 涅 槃 同 一 
T38n1769_001:0243b01	真如。但依義門建立二種門耳。問性淨涅槃	真 如 但 依 義 門 建 立 二 種 門 耳 問 性 淨 涅 槃 
T38n1769_001:0243b02	得涅槃名。為在凡住亦名涅槃。為聖所證乃	得 涅 槃 名 為 在 凡 住 亦 名 涅 槃 為 聖 所 證 乃 
T38n1769_001:0243b03	名涅槃。若如後者方便所證即同方便壞涅	名 涅 槃 若 如 後 者 方 便 所 證 即 同 方 便 壞 涅 
T38n1769_001:0243b04	槃義。若如前者自然所得諸凡夫人已入涅	槃 義 若 如 前 者 自 然 所 得 諸 凡 夫 人 已 入 涅 
T38n1769_001:0243b05	槃。又若凡夫已入涅槃即應聖入不入泥洹。	槃 又 若 凡 夫 已 入 涅 槃 即 應 聖 入 不 入 泥 洹 
T38n1769_001:0243b06	如是錯亂云何簡別。答性淨涅槃得名有二。	如 是 錯 亂 云 何 簡 別 答 性 淨 涅 槃 得 名 有 二 
T38n1769_001:0243b07	別門而說。如後問意在聖所證所證之有其	別 門 而 說 如 後 問 意 在 聖 所 證 所 證 之 有 其 
T38n1769_001:0243b08	二義。對分別性證本來淨。望依他性證轉依	二 義 對 分 別 性 證 本 來 淨 望 依 他 性 證 轉 依 
T38n1769_001:0243b09	淨。由是道理同是所證二種別義不相雜亂。	淨 由 是 道 理 同 是 所 證 二 種 別 義 不 相 雜 亂 
T38n1769_001:0243b10	通相而論。如前問意亦在凡位。若依是義得	通 相 而 論 如 前 問 意 亦 在 凡 位 若 依 是 義 得 
T38n1769_001:0243b11	言凡夫已入涅槃。又得說言聖人不入。依是	言 凡 夫 已 入 涅 槃 又 得 說 言 聖 人 不 入 依 是 
T38n1769_001:0243b12	義故淨名經言。一切眾生同涅槃相不復更	義 故 淨 名 經 言 一 切 眾 生 同 涅 槃 相 不 復 更 
T38n1769_001:0243b13	滅。起信論言。一切眾生從本已來入於涅槃。	滅 起 信 論 言 一 切 眾 生 從 本 已 來 入 於 涅 槃 
T38n1769_001:0243b14	菩提之法非可修相非可作相。楞伽經言。菩	菩 提 之 法 非 可 修 相 非 可 作 相 楞 伽 經 言 菩 
T38n1769_001:0243b15	薩一闡提常不入涅槃。以能善知一切諸法	薩 一 闡 提 常 不入涅槃 以 能 善 知 一切諸法 
T38n1769_001:0243b16	本來涅槃故。當知諸佛法門非一。隨其所說	本 來 涅 槃 故 當 知 諸 佛 法 門 非 一 隨 其 所 說 
T38n1769_001:0243b17	而無障礙而不錯亂。所以然者。菩薩不入勝	而 無 障 礙 而 不 錯 亂 所 以 然 者 菩 薩 不 入 勝 
T38n1769_001:0243b18	於凡夫已。以其善知本來涅槃故。凡夫已入	於 凡 夫 已 以 其 善 知 本 來 涅 槃 故 凡 夫 已 入 
T38n1769_001:0243b19	不如。聖人不入未能知自入涅槃故。由是道	不 如 聖 人 不 入 未 能 知 自 入 涅 槃 故 由 是 道 
T38n1769_001:0243b20	理無雜亂也。雖無雜亂而非簡別。所以然者。	理 無 雜 亂 也 雖 無 雜 亂 而 非 簡 別 所 以 然 者 
T38n1769_001:0243b21	菩薩不入還同凡已。凡已入不異菩薩不入。	菩 薩 不 入 還 同 凡 已 凡 已 入 不 異 菩 薩 不 入 
T38n1769_001:0243b22	以明與無明愚者謂二。智者了達其性無二	以 明 與 無 明 愚 者 謂 二 智 者 了 達 其 性 無 二 
T38n1769_001:0243b23	故。雖復凡聖其性無二。而是凡聖不為一性。	故 雖 復 凡 聖 其 性 無 二 而 是 凡 聖 不 為 一 性 
T38n1769_001:0243b24	以愚者謂二。智者了達故。當知凡聖生死涅	以 愚 者 謂 二 智 者 了 達 故 當 知 凡 聖 生 死 涅 
T38n1769_001:0243b25	槃不一不異非有非無非入非不入非出非不	槃 不 一 不 異 非有非無 非 入 非 不 入 非 出 非 不 
T38n1769_001:0243b26	出。諸佛之意唯在於此。但隨淺識顯設彼說	出 諸 佛 之 意 唯 在 於 此 但 隨 淺 識 顯 設 彼 說 
T38n1769_001:0243b27	耳。次明有餘無餘滅者。若依薩婆多宗義者。	耳 次 明 有 餘 無 餘 滅 者 若 依 薩 婆 多 宗 義 者 
T38n1769_001:0243b28	涅槃體一。約身說二。如智度論說云。何有餘	涅 槃 體 一 約 身 說 二 如 智 度 論 說 云 何 有 餘 
T38n1769_001:0243b29	身界涅槃。答或有說者身有二種。一者有煩	身 界 涅 槃 答 或 有 說 者 身 有 二 種 一 者 有 煩 
T38n1769_001:0243c01	惱身。二者生身。阿羅漢無煩惱身而有餘	惱 身 二 者 生 身 阿 羅 漢 無 煩 惱 身 而 有 餘 
T38n1769_001:0243c02	生身。依此生身得涅槃故名有餘身界涅	生 身 依 此 生 身 得 涅 槃 故 名 有 餘 身 界 涅 
T38n1769_001:0243c03	槃。云何無餘身界涅槃。答阿羅漢已滅四	槃 云 何 無 餘 身 界 涅 槃 答 阿 羅 漢 已 滅 四 
T38n1769_001:0243c04	太諸根盡而入涅槃。此文未分明故下即問	太 諸 根 盡 而 入 涅 槃 此 文 未 分 明 故 下 即 問 
T38n1769_001:0243c05	曰。此文不應作是說。身諸根覺性滅名無	曰 此 文 不 應 作 是 說 身 諸 根 覺 性 滅 名 無 
T38n1769_001:0243c06	餘身界涅槃。應作是說。阿羅漢斷一切結盡	餘 身 界 涅 槃 應 作 是 說 阿 羅 漢 斷 一 切 結 盡 
T38n1769_001:0243c07	入於涅槃是名無餘身涅槃界。此不說者有	入 於 涅 槃 是 名 無 餘 身 涅 槃 界 此 不 說 者 有 
T38n1769_001:0243c08	何意耶。答彼尊者依世俗言信經故而作是	何 意 耶 答 彼 尊 者 依 世 俗 言 信 經 故 而 作 是 
T38n1769_001:0243c09	說。雜心論中亦同是說。問身智滅處何故非	說 雜 心 論 中 亦 同 是 說 問 身 智 滅 處 何 故 非 
T38n1769_001:0243c10	涅槃。答依此宗明數滅無為體是善故名涅	涅 槃 答 依 此 宗 明 數 滅 無 為 體 是 善 故 名 涅 
T38n1769_001:0243c11	槃。身智現亡是無常滅有為故非涅槃。現在	槃 身 智 現 亡 是 無 常 滅 有 為 故 非 涅 槃 現 在 
T38n1769_001:0243c12	斷因未來生後報法不起。是非數滅無記故	斷 因 未 來 生 後 報 法 不 起 是 非 數 滅 無 記 故 
T38n1769_001:0243c13	非涅槃。以智從報亦同此說。若依成實論宗。	非 涅 槃 以 智 從 報 亦 同 此 說 若 依 成 實 論 宗 
T38n1769_001:0243c14	假名實法二心無處是有餘涅槃。心空及身	假 名 實 法 二 心 無 處 是 有餘涅槃 心 空 及 身 
T38n1769_001:0243c15	未來不起是無餘泥洹。身智現滅亦非涅槃。	未 來 不 起 是 無 餘 泥 洹 身 智 現 滅 亦 非 涅 槃 
T38n1769_001:0243c16	故彼論云。二空心處滅定及無餘泥洹。問此	故 彼 論 云 二 空 心 處 滅 定 及 無 餘 泥 洹 問 此 
T38n1769_001:0243c17	論宗無餘泥洹為是數滅為非數滅。答彼論	論 宗 無 餘 泥 洹 為 是 數 滅 為 非 數 滅 答 彼 論 
T38n1769_001:0243c18	宗說斷集因故。苦果不起亦是數滅智。雖	宗 說 斷 集 因 故 苦 果 不 起 亦 是 數 滅 智 雖 
T38n1769_001:0243c19	非報其無常邊行苦所攝故。其報起亦入滅	非 報 其 無 常 邊 行 苦 所 攝 故 其 報 起 亦 入 滅 
T38n1769_001:0243c20	諦。若依譬喻部。說斷集因故苦報不起。雖是	諦 若 依 譬 喻 部 說 斷 集 因 故 苦 報 不 起 雖 是 
T38n1769_001:0243c21	涅槃而非數。非非故是無記性。如婆娑云。或	涅 槃 而 非 數 非 非 故 是 無 記 性 如 婆 娑 云 或 
T38n1769_001:0243c22	有說者。有餘身涅槃界是善是道果是諦攝。	有 說 者 有 餘 身 涅 槃 界 是 善 是 道 果 是 諦 攝 
T38n1769_001:0243c23	無餘身涅槃界是無記非道果非諦攝。若就	無 餘 身 涅 槃 界 是 無 記 非 道 果 非 諦 攝 若 就 
T38n1769_001:0243c24	大乘即有四門。一就化現。二約實義。三對大	大 乘 即 有 四 門 一 就 化 現 二 約 實 義 三 對 大 
T38n1769_001:0243c25	小。四依三身。化現門者同小乘二種涅槃。其	小 四 依 三 身 化 現 門 者 同 小 乘 二 種 涅 槃 其 
T38n1769_001:0243c26	義同前二宗所說。但彼謂實此似現耳。第二	義 同 前 二 宗 所 說 但 彼 謂 實 此 似 現 耳 第 二 
T38n1769_001:0243c27	約實義者。就實言之。是二涅槃同以轉依真	約 實 義 者 就 實 言 之 是 二 涅 槃 同 以 轉 依 真 
T38n1769_001:0243c28	如為體。但斷因所顯義門名為有餘果。已所	如 為 體 但 斷 因 所 顯 義 門 名 為 有 餘 果 已 所 
T38n1769_001:0243c29	顯義門說名無餘。如攝論云。煩惱業滅故言	顯 義 門 說 名 無 餘 如 攝 論 云 煩 惱 業 滅 故 言 
T38n1769_001:0244a01	即無種子。此顯有餘涅槃。果報悉滅故言一	即 無 種 子 此 顯 有餘涅槃 果 報 悉 滅 故 言 一 
T38n1769_001:0244a02	切皆盡。此顯無餘涅槃。又瑜伽論決擇分說。	切 皆 盡 此 顯 無餘涅槃 又 瑜 伽 論 決 擇 分 說 
T38n1769_001:0244a03	問若阿羅漢六處生起即如是住相續不滅無	問 若 阿 羅 漢 六 處 生 起 即 如 是 住 相 續 不 滅 無 
T38n1769_001:0244a04	有變異。更有何等異轉依性而非六處相續	有 變 異 更 有 何 等 異 轉 依 性 而 非 六 處 相 續 
T38n1769_001:0244a05	而轉。若更無有異轉依者。何因緣故前後二	而 轉 若 更 無 有 異 轉 依 者 何 因 緣 故 前 後 二 
T38n1769_001:0244a06	種依止相以而今後時煩惱不轉聖道轉耶。	種 依 止 相 以 而 今 後 時 煩 惱 不 轉 聖 道 轉 耶 
T38n1769_001:0244a07	答諸阿羅漢實有轉依。而此依轉依清淨真	答 諸 阿 羅 漢 實 有 轉 依 而 此 依 轉 依 清 淨 真 
T38n1769_001:0244a08	如所顯而彼真如與其六處異不異性俱不可	如 所 顯 而 彼 真 如 與 其 六 處 異不異性 俱 不 可 
T38n1769_001:0244a09	說。問又下言。無餘依中所得轉依當言是常	說 問 又 下 言 無 餘 依 中 所 得 轉 依 當 言 是 常 
T38n1769_001:0244a10	當言無常。答當言是常。清淨真如之所顯故。	當 言 無 常 答 當 言 是 常 清 淨 真 如 之 所 顯 故 
T38n1769_001:0244a11	非緣生無生滅故。又問於無餘依般涅槃者	非 緣 生 無 生 滅 故 又 問 於 無 餘 依 般涅槃者 
T38n1769_001:0244a12	於色等法當言得自在當言不得耶當言能現	於 色 等 法 當 言 得 自 在 當 言 不 得 耶 當 言 能 現 
T38n1769_001:0244a13	在前。答當言不現在前當言得一分能現在	在 前 答 當 言 不 現 在 前 當 言 得 一 分 能 現 在 
T38n1769_001:0244a14	前一分不現在前。謂諸如來於無餘般涅槃	前 一 分 不 現 在 前 謂 諸 如 來 於 無 餘 般 涅 槃 
T38n1769_001:0244a15	已能現在前。所餘不能令現在前乃至廣說。	已 能 現 在 前 所 餘 不 能 令現在前 乃至廣說 
T38n1769_001:0244a16	第三大小相對門者。二乘涅槃名為有餘。如	第 三 大 小 相 對 門 者 二 乘 涅 槃 名 為 有 餘 如 
T38n1769_001:0244a17	來所證名曰無餘。如勝鬘說。涅槃亦二種。有	來 所 證 名 曰 無 餘 如 勝 鬘 說 涅 槃 亦 二 種 有 
T38n1769_001:0244a18	餘及無餘。有為生死盡滅之處所得涅槃名	餘 及 無 餘 有 為 生 死 盡 滅 之 處 所 得 涅 槃 名 
T38n1769_001:0244a19	曰有餘。無為生死盡滅之處所得涅槃名曰	曰 有 餘 無 為 生 死 盡 滅 之 處 所 得 涅 槃 名 曰 
T38n1769_001:0244a20	無餘故。第四依三身說二涅槃者。應化二身	無 餘 故 第 四 依 三 身 說 二 涅 槃 者 應 化 二 身 
T38n1769_001:0244a21	身智猶在名曰有餘。即離生死一切過患故	身 智 猶 在 名 曰 有 餘 即 離 生 死 一 切 過 患 故 
T38n1769_001:0244a22	名涅槃。如此經言。今我此身即是涅槃故於	名 涅 槃 如 此 經 言 今 我 此 身 即 是 涅 槃 故 於 
T38n1769_001:0244a23	法身中身智平等名為無餘。離一切相畢竟	法 身 中 身 智 平 等 名 為 無 餘 離一切相 畢 竟 
T38n1769_001:0244a24	寂滅故名涅槃。如金鼓經言。依此二身一切	寂 滅 故 名 涅 槃 如 金 鼓 經 言 依 此 二 身 一 切 
T38n1769_001:0244a25	諸佛說有餘涅槃。依法身者說無餘涅槃。何	諸 佛 說 有餘涅槃 依 法 身 者 說 無餘涅槃 何 
T38n1769_001:0244a26	以故。一切餘究竟盡故。若依此義即取三身	以 故 一 切 餘 究 竟 盡 故 若 依 此 義 即 取 三 身 
T38n1769_001:0244a27	為涅槃體。又有一義。無垢真如正是涅槃。但	為 涅 槃 體 又 有 一 義 無 垢 真 如 正 是 涅 槃 但 
T38n1769_001:0244a28	望二身說此真如名為有餘。別餘故。若望法	望 二 身 說 此 真 如 名 為 有 餘 別 餘 故 若 望 法 
T38n1769_001:0244a29	身說此真如名曰無餘。無別餘故。如攝論云。	身 說 此 真 如 名 曰 無 餘 無 別 餘 故 如 攝 論 云 
T38n1769_001:0244b01	如緣覺不觀眾生利益事住無餘涅槃。菩薩	如 緣 覺 不 觀 眾 生 利 益 事 住 無餘涅槃 菩 薩 
T38n1769_001:0244b02	即不如。是住波若波羅蜜不捨眾生利益事。	即 不 如 是 住 波 若 波 羅 蜜 不 捨 眾 生 利 益 事 
T38n1769_001:0244b03	般涅槃亦有餘亦無餘。於法身是無餘於應身	般 涅 槃 亦 有 餘 亦 無 餘 於 法 身 是 無 餘 於 應 身 
T38n1769_001:0244b04	是有餘。故言離住無餘涅槃。以不應彼處故。	是 有 餘 故 言 離 住 無餘涅槃 以 不 應 彼 處 故 
T38n1769_001:0244b05	又復即此轉依真如涅槃望於三身說無住處。	又 復 即 此 轉 依 真 如 涅 槃 望 於 三 身 說 無 住 處 
T38n1769_001:0244b06	所以然者。二身生滅不同真如。是故不住於	所 以 然 者 二 身 生 滅 不 同 真 如 是 故 不 住 於 
T38n1769_001:0244b07	彼涅槃。法身離相無異真如。故非能住於其	彼 涅 槃 法 身 離 相 無 異 真 如 故 非 能 住 於 其 
T38n1769_001:0244b08	涅槃。故對三身說為無住。如經說言。依此三	涅 槃 故 對 三 身 說 為 無 住 如 經 說 言 依 此 三 
T38n1769_001:0244b09	身一切諸佛說無住處涅槃。何以故。為二身	身 一切諸佛 說 無住處涅槃 何 以 故 為 二 身 
T38n1769_001:0244b10	故不住涅槃。離於法身無有別佛。何故二身	故 不住涅槃 離 於 法 身 無 有 別 佛 何 故 二 身 
T38n1769_001:0244b11	不住涅槃。二身假名不實。念念滅不住故。數	不住涅槃 二 身 假 名 不 實 念 念 滅 不 住 故 數 
T38n1769_001:0244b12	數出現以不定故。法身不爾。是故二身不住	數 出 現 以 不 定 故 法 身 不 爾 是 故 二 身 不 住 
T38n1769_001:0244b13	涅槃。法身不二。是故不住於般涅槃。二滅門	涅 槃 法 身 不 二 是 故 不 住 於 般 涅 槃 二 滅 門 
T38n1769_001:0244b14	竟。第五明三事門者四句分別。初出體相。次	竟 第 五 明 三 事 門 者 四句分別 初 出 體 相 次 
T38n1769_001:0244b15	明建立。三明總別。四往復。出體相者。法身	明 建 立 三 明 總 別 四 往 復 出 體 相 者 法 身 
T38n1769_001:0244b16	體者佛地所有一切功德。其體無二唯一法	體 者 佛 地 所有一切 功 德 其 體 無 二 唯 一 法 
T38n1769_001:0244b17	界。法界舉體以成萬德。萬德之相還同法界。	界 法 界 舉 體 以 成 萬 德 萬 德 之 相 還 同 法 界 
T38n1769_001:0244b18	法界之性不異萬德。隨舉一德無所不遍。如	法 界 之 性 不 異 萬 德 隨 舉 一 德 無 所 不 遍 如 
T38n1769_001:0244b19	是一切白法圓滿。自體積集故名法身。其義	是 一 切 白 法 圓 滿 自 體 積 集 故 名 法 身 其 義 
T38n1769_001:0244b20	具顯金剛身品。般若體者即此法身。性自明	具 顯 金 剛 身 品 般 若 體 者 即 此 法 身 性 自 明 
T38n1769_001:0244b21	達無所不照故名般若。解脫體者即此法身。	達 無 所 不 照 故 名 般 若 解 脫 體 者 即 此 法 身 
T38n1769_001:0244b22	離諸繫縛無所障礙故名解脫。三德實殊不	離 諸 繫 縛 無所障礙 故 名 解 脫 三 德 實 殊 不 
T38n1769_001:0244b23	可說一。可相一味不說異。以之故名如來祕	可 說 一 可 相 一 味 不 說 異 以 之 故 名 如 來 祕 
T38n1769_001:0244b24	藏。是謂三法之體相也。次明建立三事所由。	藏 是 謂 三 法 之 體 相 也 次 明 建 立 三 事 所 由 
T38n1769_001:0244b25	一體萬德無非涅槃。所以偏說此三法者。以	一 體 萬 德 無 非 涅 槃 所 以 偏 說 此 三 法 者 以 
T38n1769_001:0244b26	對生死三種患故。何者。生死萬累不出三種。	對 生 死 三 種 患 故 何 者 生 死 萬 累 不 出 三 種 
T38n1769_001:0244b27	所謂苦果五陰身故建立法身。以除煩惱迷	所 謂 苦 果 五 陰 身 故 建 立 法 身 以 除 煩 惱 迷 
T38n1769_001:0244b28	惑法故建立般若。離諸葉障繫縛因故建立	惑 法 故 建 立 般 若 離 諸 葉 障 繫 縛 因 故 建 立 
T38n1769_001:0244b29	解脫。又復對彼小乘入涅槃時灰身滅智故	解 脫 又 復 對 彼 小 乘 入 涅 槃 時 灰 身 滅 智 故 
T38n1769_001:0244c01	說法身常存大智不滅。對彼小乘身智存時	說 法 身 常 存 大 智 不 滅 對 彼 小 乘 身 智 存 時 
T38n1769_001:0244c02	未免苦報習氣繫縛故就身智立真解脫。建	未 免 苦 報 習 氣 繫 縛 故 就 身 智 立 真 解 脫 建 
T38n1769_001:0244c03	立之由略說如是。第三明總別者。一性而言	立 之 由 略 說 如 是 第 三 明 總 別 者 一 性 而 言 
T38n1769_001:0244c04	涅槃是總況。於伊字三法是別喻對。以三點	涅 槃 是 總 況 於 伊 字 三 法 是 別 喻 對 以 三 點 
T38n1769_001:0244c05	總別成總其義有四。一者要具三法方成涅	總 別 成 總 其 義 有 四 一 者 要 具 三 法 方 成 涅 
T38n1769_001:0244c06	槃。獨舉一一即不得成。如一一點不成伊字。	槃 獨 舉 一 一 即 不 得 成 如 一 一 點 不 成 伊 字 
T38n1769_001:0244c07	如經言。解脫之法亦非涅槃。摩訶般若亦非	如 經 言 解 脫 之 法 亦 非 涅 槃 摩訶般若 亦 非 
T38n1769_001:0244c08	涅槃故。二者三法等圓乃成涅槃。雖具三數	涅 槃 故 二 者 三 法 等 圓 乃 成 涅 槃 雖 具 三 數 
T38n1769_001:0244c09	若有勝劣不得成故。如三點並必有右左。如	若 有 勝 劣 不 得 成 故 如 三 點 並 必 有 右 左 如 
T38n1769_001:0244c10	經說言。三點若並即不成伊故。三者三法一	經 說 言 三 點 若 並 即 不 成 伊 故 三 者 三 法 一 
T38n1769_001:0244c11	時乃成涅槃。雖無勝劣若有前後不得成故。	時 乃 成 涅 槃 雖 無 勝 劣 若 有 前 後 不 得 成 故 
T38n1769_001:0244c12	如三點縱必有南北。如經言。縱亦不成故。四	如 三 點 縱 必 有 南 北 如 經 言 縱 亦 不 成 故 四 
T38n1769_001:0244c13	者三法同體乃成涅槃。如說虛空不動無礙。	者 三 法 同 體 乃 成 涅 槃 如 說 虛 空 不 動 無 礙 
T38n1769_001:0244c14	雖非前後而各別體不成總故。如彼三點雖	雖 非 前 後 而 各 別 體 不 成 總 故 如 彼 三 點 雖 
T38n1769_001:0244c15	非並縱各宜別處不成一字。如經言。三點若	非 並 縱 各 宜 別 處 不 成 一 字 如 經 言 三 點 若 
T38n1769_001:0244c16	別亦不成伊故。如是三法具此四義乃成涅	別 亦 不 成 伊 故 如 是 三 法 具 此 四 義 乃 成 涅 
T38n1769_001:0244c17	槃。如世伊字故。三是別涅槃是總。一性雖然	槃 如 世 伊 字 故 三 是 別 涅 槃 是 總 一 性 雖 然 
T38n1769_001:0244c18	再論未必然。所以足者盡理而言四種功德	再 論 未 必 然 所 以 足 者 盡 理 而 言 四 種 功 德 
T38n1769_001:0244c19	皆總皆別。皆別義者。涅槃是寂寂義。法身	皆 總 皆 別 皆 別 義 者 涅 槃 是 寂 寂 義 法 身 
T38n1769_001:0244c20	是積集義。般若是照達義。解脫是離縛義。故	是 積 集 義 般 若 是 照 達 義 解 脫 是 離 縛 義 故 
T38n1769_001:0244c21	知四種無非別也。皆總義者。如經言。若無法	知 四 種 無 非 別 也 皆 總 義 者 如 經 言 若 無 法 
T38n1769_001:0244c22	身苦報不盡。何成涅槃。若無般若闇感不除。	身 苦 報 不 盡 何 成 涅 槃 若 無 般 若 闇 感 不 除 
T38n1769_001:0244c23	豈得涅槃。若無解脫不免業繫。故非涅槃。	豈 得 涅 槃 若 無 解 脫 不 免 業 繫 故 非 涅 槃 
T38n1769_001:0244c24	如是餘三其義同爾。何者。若無涅槃生死未	如 是 餘 三 其 義 同 爾 何 者 若 無 涅 槃 生 死 未 
T38n1769_001:0244c25	滅。何為法身。若無般若煩惱所纏何名法身。	滅 何 為 法 身 若 無 般 若 煩惱所纏 何 名 法 身 
T38n1769_001:0244c26	若無解脫諸業所縛故非法身。法身般若解	若 無 解 脫 諸 業 所 縛 故 非 法 身 法 身 般 若 解 
T38n1769_001:0244c27	脫具三乃涅槃成。准前可解。故知總如說四	脫 具 三 乃 涅 槃 成 准 前 可 解 故 知 總 如 說 四 
T38n1769_001:0244c28	種總別之義。一切功德皆亦如是。一即一切。	種 總 別 之 義 一切功德 皆 亦 如 是 一 即 一 切 
T38n1769_001:0244c29	一切即一。是故總別無所障礙不同。伊字是總	一 切 即 一 是 故 總 別 無所障礙 不 同 伊 字 是 總 
T38n1769_001:0245a01	非別。其中三點是別非總。唯取小分以為	非 別 其 中 三 點 是 別 非 總 唯 取 小 分 以 為 
T38n1769_001:0245a02	譬耳。第四往復決擇門。問如是如來實德法	譬 耳 第 四 往 復 決 擇 門 問 如 是 如 來 實 德 法 
T38n1769_001:0245a03	身當言有色當言無色。答或有說者法身無	身 當 言 有 色 當 言 無 色 答 或 有 說 者 法 身 無 
T38n1769_001:0245a04	色。但有隨機化現色相。所以然者。色是質礙	色 但 有 隨 機 化 現 色 相 所 以 然 者 色 是 質 礙 
T38n1769_001:0245a05	麁形之法。顛倒分之所變作。諸佛如來永離	麁 形 之 法 顛 倒 分 之 所 變 作 諸佛如來 永 離 
T38n1769_001:0245a06	分別歸於理原。法界為身。由是道理不須色。	分 別 歸 於 理 原 法 界 為 身 由 是 道 理 不 須 色 
T38n1769_001:0245a07	乃至凡夫至無色界離色分別故無色身。豈	乃 至 凡 夫 至 無 色 界 離 色 分 別 故 無 色 身 豈 
T38n1769_001:0245a08	說如來還有色身。如金鼓經言。離法如如離	說 如 來 還 有 色 身 如 金 鼓 經 言 離 法 如 如 離 
T38n1769_001:0245a09	無分別智。一切諸佛無有別法。何以故。一切	無分別智 一切諸佛 無 有 別 法 何 以 故 一 切 
T38n1769_001:0245a10	諸佛智惠具足故。一切煩惱畢竟滅盡得佛	諸 佛 智 惠 具 足 故 一切煩惱 畢 竟 滅 盡 得 佛 
T38n1769_001:0245a11	淨地。以是法如如如如智攝一切佛法。又言。	淨 地 以 是 法 如 如 如 如 智 攝 一切佛法 又 言 
T38n1769_001:0245a12	如是法如如如如智亦無分別。以願自在故眾	如 是 法 如 如 如 如 智 亦 無 分 別 以 願 自 在 故 眾 
T38n1769_001:0245a13	生有感故應化二身。如日月影和合出生。起	生 有 感 故 應 化 二 身 如 日 月 影 和 合 出 生 起 
T38n1769_001:0245a14	信論云。諸佛如來唯是法身智相之身第一	信 論 云 諸佛如來 唯 是 法 身 智 相 之 身 第 一 
T38n1769_001:0245a15	義諦無有世諦境界離於施作。但隨施眾生	義 諦 無 有 世 諦 境 界 離 於 施 作 但 隨 施 眾 生 
T38n1769_001:0245a16	見聞得益。故說為用。此用有二種。一凡夫二	見 聞 得 益 故 說 為 用 此 用 有 二 種 一 凡 夫 二 
T38n1769_001:0245a17	乘心所見者為應身。二菩薩所見者名為報	乘 心 所 見 者 為 應 身 二 菩 薩 所 見 者 名 為 報 
T38n1769_001:0245a18	身。乃至廣說。依此等文。當知實德永無色身。	身 乃至廣說 依 此 等 文 當 知 實 德 永 無 色 身 
T38n1769_001:0245a19	唯有隨根所現色耳。而此經說如來解脫是	唯 有 隨 根 所 現 色 耳 而 此 經 說 如 來 解 脫 是 
T38n1769_001:0245a20	色等者。對惠眼根說色。非實色。如智惠非眼	色 等 者 對 惠 眼 根 說 色 非 實 色 如 智 惠 非 眼 
T38n1769_001:0245a21	而說惠眼。雖名為眼實非色根。如是法身非	而 說 惠 眼 雖 名 為 眼 實 非 色 根 如 是 法 身 非 
T38n1769_001:0245a22	色而說妙色。雖名為色實非色塵。由是道理	色 而 說 妙 色 雖 名 為 色 實 非 色 塵 由 是 道 理 
T38n1769_001:0245a23	當知無色。餘處說色皆作是通。或有說者。法	當 知 無 色 餘 處 說 色 皆 作 是 通 或 有 說 者 法 
T38n1769_001:0245a24	身實德有無障礙色。雖無質礙之義說色。而	身 實 德 有 無 障 礙 色 雖 無 質 礙 之 義 說 色 而 
T38n1769_001:0245a25	以方所示現說色。雖離分別所作麁色而有	以 方 所 示 現 說 色 雖 離 分 別 所 作 麁 色 而 有 
T38n1769_001:0245a26	萬行所感而得妙色。如說雖無分別識而得	萬 行 所 感 而 得 妙 色 如 說 雖 無 分 別 識 而 得 
T38n1769_001:0245a27	有於無分別識。如是雖無障礙之色而亦得	有 於 無 分 別 識 如 是 雖 無 障 礙 之 色 而 亦 得 
T38n1769_001:0245a28	有無障礙色。如此經言。捨無常色獲得常色。	有 無 障 礙 色 如 此 經 言 捨 無 常 色 獲 得 常 色 
T38n1769_001:0245a29	受想行識亦復如是。然色陰之色通有十入。	受 想 行 識 亦復如是 然 色 陰 之 色 通 有 十 入 
T38n1769_001:0245b01	對眼之色唯是一入。故彼不能會通此文。又	對 眼 之 色 唯 是 一 入 故 彼 不 能 會 通 此 文 又 
T38n1769_001:0245b02	小泥洹中純陀歎佛言。妙色湛然體常安隱。	小 泥 洹 中 純 陀 歎 佛 言 妙 色 湛 然 體 常 安 隱 
T38n1769_001:0245b03	不為時節劫所還。大聖廣劫行慈悲獲得金	不 為 時 節 劫 所 還 大 聖 廣 劫 行 慈 悲 獲 得 金 
