T46n1917_001:0549a03	六妙法門	六 妙 法 門 
T46n1917_001:0551a17	士。破塵沙無明障盡故。菩提理顯。亦不異修。	士 破 塵 沙 無 明 障 盡 故 菩 提 理 顯 亦 不 異 修 
T46n1917_001:0551a18	此而惟之。若能巧用六門對治。破內外障。即	此 而 惟 之 若 能 巧 用 六 門 對 治 破 內 外 障 即 
T46n1917_001:0551a19	是修道。即是得道更無別道。云何功用六門	是 修 道 即 是 得 道 更 無 別 道 云 何 功 用 六 門 
T46n1917_001:0551a20	對治。行者應當知病識藥。云何知病。所謂	對 治 行 者 應 當 知 病 識 藥 云 何 知 病 所 謂 
T46n1917_001:0551a21	三障。一者報障。即是今世不善。麁動散亂障	三 障 一 者 報 障 即 是 今 世 不 善 麁 動 散 亂 障 
T46n1917_001:0551a22	界入也。二者煩惱障。即三毒十使等諸煩惱	界 入 也 二 者 煩 惱 障 即 三 毒 十 使 等 諸 煩 惱 
T46n1917_001:0551a23	也。三者業障。即是過去現在所起障道惡業。	也 三 者 業 障 即 是 過去現在 所 起 障 道 惡 業 
T46n1917_001:0551a24	於未受報中間。能障聖道也。行者於坐禪中。	於 未 受 報 中 間 能 障 聖 道 也 行 者 於 坐 禪 中 
T46n1917_001:0551a25	此三障發。當善識其相。用此法門。對治除滅。	此 三 障 發 當 善 識 其 相 用 此 法 門 對 治 除 滅 
T46n1917_001:0551a26	云何坐中知報障起相。云何對治等。分別覺	云 何 坐 中 知 報 障 起 相 云 何 對 治 等 分 別 覺 
T46n1917_001:0551a27	觀心。散動攀緣諸境無暫停住。故名報障起。	觀 心 散 動 攀 緣 諸 境 無 暫 停 住 故 名 報 障 起 
T46n1917_001:0551a28	浮動明利。攀緣諸境。心散縱橫。如猿猴得樹。	浮 動 明 利 攀 緣 諸 境 心 散 縱 橫 如 猿 猴 得 樹 
T46n1917_001:0551a29	難可制錄爾時行者應用數門。調心數息當	難 可 制 錄 爾 時 行 者 應 用 數 門 調 心 數 息 當 
T46n1917_001:0551b01	知即真對治也。故佛言。覺觀多者。教令數息。	知 即 真 對 治 也 故 佛 言 覺 觀 多 者 教 令 數 息 
T46n1917_001:0551b02	二者於坐禪中。或時其心亦昏亦散。昏即無	二 者 於 坐 禪 中 或 時 其 心 亦 昏 亦 散 昏 即 無 
T46n1917_001:0551b03	記心。闇即睡眠。散即心浮越逸。爾時行者。當	記 心 闇 即 睡 眠 散 即 心 浮 越 逸 爾 時 行 者 當 
T46n1917_001:0551b04	用隨門。善調心隨息。明照入出。心依息緣。無	用 隨 門 善 調 心 隨 息 明 照 入 出 心 依 息 緣 無 
T46n1917_001:0551b05	分散意。照息出入。治無記昏睡心。依於息	分 散 意 照 息 出 入 治 無 記 昏 睡 心 依 於 息 
T46n1917_001:0551b06	治覺觀攀緣三者於坐禪中。若覺身心急氣	治 覺 觀 攀 緣 三 者 於 坐 禪 中 若 覺 身 心 急 氣 
T46n1917_001:0551b07	麁心散流動爾時行者。當用止門。寬身放息。	麁 心 散 流 動 爾 時 行 者 當 用 止 門 寬 身 放 息 
T46n1917_001:0551b08	制心凝寂。止諸憶慮。此為治也。復次云何煩	制 心 凝 寂 止 諸 憶 慮 此 為 治 也 復 次 云 何 煩 
T46n1917_001:0551b09	惱障起。云何對治。煩惱有三種。一者於坐禪	惱 障 起 云 何 對 治 煩 惱 有 三 種 一 者 於 坐 禪 
T46n1917_001:0551b10	中。貪欲煩惱障起。爾時行者。當用觀心門中	中 貪 欲 煩 惱 障 起 爾 時 行 者 當 用 觀 心 門 中 
T46n1917_001:0551b11	九想。初背捨。二勝處。諸不淨門。為對治也。	九 想 初 背 捨 二 勝 處 諸 不 淨 門 為 對 治 也 
T46n1917_001:0551b12	二者於坐禪中。瞋恚煩惱障起。爾時行者。當	二 者 於 坐 禪 中 瞋 恚 煩 惱 障 起 爾 時 行 者 當 
T46n1917_001:0551b13	用觀心門中慈悲喜捨等。為對治也。三者於	用 觀 心 門 中 慈 悲 喜 捨 等 為 對 治 也 三 者 於 
T46n1917_001:0551b14	坐禪中。愚癡邪見煩惱障起。爾時行者。當	坐 禪 中 愚 癡 邪 見 煩 惱 障 起 爾 時 行 者 當 
T46n1917_001:0551b15	用還門。反照十二因緣三空道品破折心源	用 還 門 反 照 十二因緣 三 空 道 品 破 折 心 源 
T46n1917_001:0551b16	還歸本性。此為治也。復次云何對治障道業	還 歸 本 性 此 為 治 也 復 次 云 何 對 治 障 道 業 
T46n1917_001:0551b17	起業即三種。治法亦三。一者於坐禪中。忽	起 業 即 三 種 治 法 亦 三 一 者 於 坐 禪 中 忽 
T46n1917_001:0551b18	然垢心昏闇。迷失境界。當知黑闇業障起爾	然 垢 心 昏 闇 迷 失 境 界 當 知 黑 闇 業 障 起 爾 
T46n1917_001:0551b19	時行者。當用淨門中念方便淨應身三十二	時 行 者 當 用 淨 門 中 念 方 便 淨 應 身 三 十 二 
T46n1917_001:0551b20	相清淨光明。為對治也。二者於坐禪中。忽然	相 清 淨 光 明 為 對 治 也 二 者 於 坐 禪 中 忽 然 
T46n1917_001:0551b21	惡念。思惟貪欲。無惡不造。當亦是過去罪業	惡 念 思 惟 貪 欲 無 惡 不 造 當 亦 是 過 去 罪 業 
T46n1917_001:0551b22	所之作也。爾時行者。當用淨門中念報佛一	所 之 作 也 爾 時 行 者 當 用 淨 門 中 念 報 佛 一 
T46n1917_001:0551b23	切種智圓淨常樂功德。為對治也。三者於坐	切 種 智 圓 淨 常 樂 功 德 為 對 治 也 三 者 於 坐 
T46n1917_001:0551b24	禪中。若有種種諸惡境界相現。乃至逼迫身	禪 中 若 有 種 種 諸 惡 境 界 相 現 乃 至 逼 迫 身 
T46n1917_001:0551b25	心。當知悉是過去今世所造惡業障發也。爾	心 當 知 悉 是 過 去 今 世 所 造 惡 業 障 發 也 爾 
T46n1917_001:0551b26	時行者。當用淨門中念法身本淨不生不滅	時 行 者 當 用 淨 門 中 念 法 身 本 淨 不生不滅 
T46n1917_001:0551b27	本性清淨。為對治也。此則略說六門對治斷	本 性 清 淨 為 對 治 也 此 則 略 說 六 門 對 治 斷 
T46n1917_001:0551b28	除三障之相。廣說不異。十五種障也。復次行	除 三 障 之 相 廣 說 不 異 十 五 種 障 也 復 次 行 
T46n1917_001:0551b29	者。於坐禪中。若發諸餘禪深定智惠解脫。有	者 於 坐 禪 中 若 發 諸 餘 禪 深 定 智 惠 解 脫 有 
T46n1917_001:0551b30	種種障起。當於六門中。善巧用對治法也。麁	種 種 障 起 當 於 六 門 中 善 巧 用 對 治 法 也 麁 
T46n1917_001:0551c01	細障法既除。真如實相自顯。三明六通自發。	細 障 法 既 除 真 如 實 相 自 顯 三 明 六 通 自 發 
T46n1917_001:0551c02	十力四無所畏。一切諸佛菩薩功德行願。自	十 力 四無所畏 一切諸佛 菩 薩 功 德 行 願 自 
T46n1917_001:0551c03	然現前不由造作。故經云。又見諸如來自然	然 現 前 不 由 造 作 故 經 云 又 見 諸 如 來 自 然 
T46n1917_001:0551c04	成佛道。	成 佛 道 
T46n1917_001:0551c05	次釋第五相攝六妙門。夫六妙門相攝。近論	次 釋 第 五 相 攝 六 妙 門 夫 六 妙 門 相 攝 近 論 
T46n1917_001:0551c06	則有二種。遠尋則有多途。何等為二。一者六	則 有 二 種 遠 尋 則 有 多 途 何 等 為 二 一 者 六 
T46n1917_001:0551c07	門自體相攝。二者巧修六門。出生勝進相攝。	門 自 體 相 攝 二 者 巧 修 六 門 出 生 勝 進 相 攝 
T46n1917_001:0551c08	云何名自體相攝。行者修六門時。於一數息	云 何 名 自 體 相 攝 行 者 修 六 門 時 於 一 數 息 
T46n1917_001:0551c09	中。任運自攝隨止觀還淨等五法。所以者何。	中 任 運 自 攝 隨 止 觀 還 淨 等 五 法 所以者何 
T46n1917_001:0551c10	如行者善調心數息之時。即體是數門。心依	如 行 者 善 調 心 數 息 之 時 即 體 是 數 門 心 依 
T46n1917_001:0551c11	隨息而數故。即攝隨門。息諸攀緣。制心在數	隨 息 而 數 故 即 攝 隨 門 息 諸 攀 緣 制 心 在 數 
T46n1917_001:0551c12	故。即攝心門。分別知心數法及息。了了分明	故 即 攝 心 門 分 別 知 心 數 法 及 息 了 了 分 明 
T46n1917_001:0551c13	故。即攝觀門。若心動散。攀緣五欲。悉是虛	故 即 攝 觀 門 若 心 動 散 攀 緣 五 欲 悉 是 虛 
T46n1917_001:0551c14	誑。心不受著緣心還歸數息故。即攝還門。攝	誑 心 不 受 著 緣 心 還 歸 數 息 故 即 攝 還 門 攝 
T46n1917_001:0551c15	數息時。無有五蓋及諸麁煩惱垢身心寂然。	數 息 時 無 有 五 蓋 及 諸 麁 煩 惱 垢 身 心 寂 然 
T46n1917_001:0551c16	即攝淨門。當知於數息中。即有六門。隨止觀	即 攝 淨 門 當 知 於 數 息 中 即 有 六 門 隨 止 觀 
T46n1917_001:0551c17	還淨等。一一皆攝六門此則六六三十六妙	還 淨 等 一 一 皆 攝 六 門 此 則 六 六 三 十 六 妙 
T46n1917_001:0551c18	門。上來雖復種種運用不同悉有今意。若不	門 上 來 雖 復 種 種 運 用 不 同 悉 有 今 意 若 不 
T46n1917_001:0551c19	分別。行人不知。此則略說六妙門。自體相攝	分 別 行 人 不 知 此 則 略 說 六 妙 門 自 體 相 攝 
T46n1917_001:0551c20	一中具六相也。復次云何名巧修六妙門出	一 中 具 六 相 也 復 次 云 何 名 巧 修 六 妙 門 出 
T46n1917_001:0551c21	生勝進相攝相。行者於初。調心數息。從一至	生 勝 進 相 攝 相 行 者 於 初 調 心 數 息 從 一 至 
T46n1917_001:0551c22	十。心不分散。是名數門。當數息時。靜心善	十 心 不 分 散 是 名 數 門 當 數 息 時 靜 心 善 
T46n1917_001:0551c23	巧。既知息初入中間經遊至處。乃至入已還	巧 既 知 息 初 入 中 間 經 遊 至 處 乃 至 入 已 還 
T46n1917_001:0551c24	出亦如是心悉覺知。依隨不亂。亦成就數法。	出 亦 如 是 心 悉 覺 知 依 隨 不 亂 亦 成 就 數 法 
T46n1917_001:0551c25	從一至十。是則數中成就隨門。復次行者。當	從 一 至 十 是 則 數 中 成 就 隨 門 復 次 行 者 當 
T46n1917_001:0551c26	數息時。細心善巧。制心緣數法及息。不令細	數 息 時 細 心 善 巧 制 心 緣 數 法 及 息 不 令 細 
T46n1917_001:0551c27	微覺觀得起剎那異念分別不生。是則於數	微 覺 觀 得 起 剎 那 異 念 分 別 不 生 是 則 於 數 
T46n1917_001:0551c28	中。成就止門。復次行者。當數息時。成就息念	中 成 就 止 門 復 次 行 者 當 數 息 時 成 就 息 念 
T46n1917_001:0551c29	巧惠方便。用靜鑒之心。照息生滅。兼知身	巧 惠 方 便 用 靜 鑒 之 心 照 息 生 滅 兼 知 身 
T46n1917_001:0552a01	分剎那思想。陰入界法如雲如影。空無自性。	分 剎 那 思 想 陰 入 界 法 如 雲 如 影 空 無 自 性 
T46n1917_001:0552a02	不得人法。是時於數息中。成就息念巧惠觀	不 得 人 法 是 時 於 數 息 中 成 就 息 念 巧 惠 觀 
T46n1917_001:0552a03	門。復次行者。當數息時。非但成就觀智。識	門 復 次 行 者 當 數 息 時 非 但 成 就 觀 智 識 
T46n1917_001:0552a04	前法虛假。亦復善巧覺了觀照之心。無有自	前 法 虛 假 亦 復 善 巧 覺 了 觀 照 之 心 無 有 自 
T46n1917_001:0552a05	性虛誑不實。離知覺想。是則於數息中。成就	性 虛 誑 不 實 離 知 覺 想 是 則 於 數 息 中 成 就 
T46n1917_001:0552a06	還門。復次行者。當數息時。非但不得所觀能	還 門 復 次 行 者 當 數 息 時 非 但 不 得 所 觀 能 
T46n1917_001:0552a07	觀以惠方便。亦不得無能觀所觀。以本淨法	觀 以 惠 方 便 亦 不 得 無 能 觀 所 觀 以 本 淨 法 
T46n1917_001:0552a08	性如虛空。不可分別故。爾時行者。心同法	性 如 虛 空 不可分別 故 爾 時 行 者 心 同 法 
T46n1917_001:0552a09	性。寂然不動。是則於數息中。成就淨門。以五	性 寂 然 不 動 是 則 於 數 息 中 成 就 淨 門 以 五 
T46n1917_001:0552a10	門莊嚴數息。隨止觀還淨。皆亦如是。今不別	門 莊 嚴 數 息 隨 止 觀 還 淨 皆 亦 如 是 今 不 別 
T46n1917_001:0552a11	說。此則六六三十六。亦名三十六妙門。行	說 此 則 六 六 三 十 六 亦 名 三 十 六 妙 門 行 
T46n1917_001:0552a12	者若能如是善巧修習六妙門者。當知必得	者 若 能 如 是 善 巧 修 習 六 妙 門 者 當 知 必 得 
T46n1917_001:0552a13	種種諸深禪定智惠。入三乘涅槃也。	種 種 諸 深 禪 定 智 惠 入 三 乘 涅 槃 也 
T46n1917_001:0552a14	次釋第六通別六妙門。所以言通別六門者。	次 釋 第 六 通 別 六 妙 門 所 以 言 通 別 六 門 者 
T46n1917_001:0552a15	凡夫外道二乘菩薩通觀數息一法。而解惠	凡 夫 外 道 二 乘 菩 薩 通 觀 數 息 一 法 而 解 惠 
T46n1917_001:0552a16	不同。是故證涅槃殊別。隨止觀還淨亦復如	不 同 是 故 證 涅 槃 殊 別 隨 止 觀 還 淨 亦 復 如 
T46n1917_001:0552a17	是所以者何。凡夫鈍根行者。當數息時唯知	是 所以者何 凡 夫 鈍 根 行 者 當 數 息 時 唯 知 
T46n1917_001:0552a18	從一至十。令心安定。欲望此入禪受諸快樂。	從 一 至 十 令 心 安 定 欲 望 此 入 禪 受 諸 快 樂 
T46n1917_001:0552a19	是名於數息中而起魔業。以貪生死故。復次	是 名 於 數 息 中 而 起 魔 業 以 貪 生 死 故 復 次 
T46n1917_001:0552a20	如諸利根外道見心猛盛見因緣故。當數息	如 諸 利 根 外 道 見 心 猛 盛 見 因 緣 故 當 數 息 
T46n1917_001:0552a21	時非但調心數息。從一至十。欲求禪定。亦能	時 非 但 調 心 數 息 從 一 至 十 欲 求 禪 定 亦 能 
T46n1917_001:0552a22	分別現在有息無息。亦有亦無。非有非無。過	分 別 現 在 有 息 無 息 亦 有 亦 無 非有非無 過 
T46n1917_001:0552a23	去息如去不如去。亦如去亦不如去。非如去	去 息 如 去 不 如 去 亦 如 去 亦 不 如 去 非 如 去 
T46n1917_001:0552a24	非不如去。未來息有邊無邊。亦有邊亦無邊。	非 不 如 去 未 來 息 有邊無邊 亦 有 邊 亦 無 邊 
T46n1917_001:0552a25	非有邊非無邊。現在息有常耶無常耶。亦常	非 有 邊 非 無 邊 現 在 息 有 常 耶 無 常 耶 亦 常 
T46n1917_001:0552a26	亦無常耶。非常非無常耶。及心亦爾。隨心所	亦 無 常 耶 非常非無常 耶 及 心 亦 爾 隨 心 所 
T46n1917_001:0552a27	見。計以為實。謂他所說。悉為忘語。是人不	見 計 以 為 實 謂 他 所 說 悉 為 忘 語 是 人 不 
T46n1917_001:0552a28	了息相。隨妄見生分別。即是數息戲論。四邊	了 息 相 隨 妄 見 生 分 別 即 是 數 息 戲 論 四 邊 
T46n1917_001:0552a29	火燒。生煩惱處。長夜貪著邪見。造諸邪行。斷	火 燒 生 煩 惱 處 長 夜 貪 著 邪 見 造 諸 邪 行 斷 
T46n1917_001:0552b01	滅善根。不會無生。心行理外。故名外道。如是	滅 善 根 不 會 無 生 心 行 理 外 故 名 外 道 如 是 
T46n1917_001:0552b02	二人鈍利雖殊。三界生死輪迴無別。復次云	二 人 鈍 利 雖 殊 三 界 生死輪迴 無 別 復 次 云 
T46n1917_001:0552b03	何名為聲聞數息相。行者欲速出三界。自求	何 名 為 聲 聞 數 息 相 行 者 欲 速 出 三 界 自 求 
T46n1917_001:0552b04	涅槃故。修數息以調其心爾時於數息中。不	涅 槃 故 修 數 息 以 調 其 心 爾 時 於 數 息 中 不 
T46n1917_001:0552b05	離四諦正觀。云何於數息中。觀四真諦。行	離 四 諦 正 觀 云 何 於 數 息 中 觀 四 真 諦 行 
T46n1917_001:0552b06	者知息依身身依心。三事和合名陰界入。陰	者 知 息 依 身 身 依 心 三事和合 名 陰 界 入 陰 
T46n1917_001:0552b07	界入者即是苦也。若人貪著陰界入法。乃至	界 入 者 即 是 苦 也 若 人 貪 著 陰 界 入 法 乃 至 
T46n1917_001:0552b08	隨逐見心。分別陰界入法。即名為集。若能	隨 逐 見 心 分 別 陰 界 入 法 即 名 為 集 若 能 
T46n1917_001:0552b09	達息真性。即能知苦無生。不起四受。四行不	達 息 真 性 即 能 知 苦 無 生 不 起 四 受 四 行 不 
T46n1917_001:0552b10	生即鈍使利使。諸煩惱結。寂然不起。故名為	生 即 鈍 使 利 使 諸 煩 惱 結 寂 然 不 起 故 名 為 
T46n1917_001:0552b11	滅。知苦正惠。能通理無壅。故名為道。若能	滅 知 苦 正 惠 能 通 理 無 壅 故 名 為 道 若 能 
T46n1917_001:0552b12	如是數息。通達四諦當知是人必定得聲聞	如 是 數 息 通 達 四 諦 當 知 是 人 必 定 得 聲 聞 
T46n1917_001:0552b13	道。畢故不造新。復次云何於數息中。入緣	道 畢 故 不 造 新 復 次 云 何 於 數 息 中 入 緣 
T46n1917_001:0552b14	覺道行者求自然惠。樂獨善寂。深知諸法因	覺 道 行 者 求 自 然 惠 樂 獨 善 寂 深 知 諸 法 因 
T46n1917_001:0552b15	緣。當數息時。即知數息之念即是有支。有緣	緣 當 數 息 時 即 知 數 息 之 念 即 是 有 支 有 緣 
T46n1917_001:0552b16	取。取緣愛愛緣受。受緣觸。觸緣六入。六入	取 取 緣 愛 愛 緣 受 受 緣 觸 觸 緣 六 入 六 入 
T46n1917_001:0552b17	緣名色。名色緣識。識緣行。行緣無明。復觀此	緣 名 色 名 色 緣 識 識 緣 行 行 緣 無 明 復 觀 此 
T46n1917_001:0552b18	息念之有。名善有為業。有善因緣。必定能	息 念 之 有 名 善 有 為 業 有 善 因 緣 必 定 能 
T46n1917_001:0552b19	感未來世人天受。受因緣故。必有老死憂悲	感 未 來 世 人 天 受 受 因 緣 故 必 有 老 死 憂 悲 
T46n1917_001:0552b20	苦惱。三世因緣。生死無際。輪轉不息。本無有	苦 惱 三 世 因 緣 生 死 無 際 輪 轉 不 息 本 無 有 
T46n1917_001:0552b21	生。亦無有死。不善思惟心行所造。若知無	生 亦 無 有 死 不 善 思 惟 心 行 所 造 若 知 無 
T46n1917_001:0552b22	明體性本自不有。妄想因緣和合而生。無所	明 體 性 本 自 不 有 妄 想 因緣和合 而 生 無 所 
T46n1917_001:0552b23	有故。假名無明。無明尚爾。亦不可得。當知行	有 故 假 名 無 明 無 明 尚 爾 亦 不 可 得 當 知 行 
T46n1917_001:0552b24	等諸因緣法。皆無根本。既無行等因緣。豈	等 諸 因 緣 法 皆 無 根 本 既 無 行 等 因 緣 豈 
T46n1917_001:0552b25	有今之數息之實。爾時行者。深知數息屬因	有 今 之 數 息 之 實 爾 時 行 者 深 知 數 息 屬 因 
T46n1917_001:0552b26	緣空無自性。不受不著。不念不分別。心如虛	緣 空 無 自 性 不 受 不 著 不 念 不 分 別 心 如 虛 
T46n1917_001:0552b27	空。寂然不動。豁然無漏心生成緣覺道。復	空 寂 然 不 動 豁 然 無 漏 心 生 成 緣 覺 道 復 
T46n1917_001:0552b28	次云何名為菩薩數息相。行者為求一切智	次 云 何 名 為 菩 薩 數 息 相 行 者 為 求 一 切 智 
T46n1917_001:0552b29	佛智自然智無師智。如來知見力無所畏。愍	佛 智 自 然 智 無 師 智 如 來 知 見 力 無 所 畏 愍 
T46n1917_001:0552c01	念安樂無量眾生故修數息。欲因此法門入	念 安 樂 無 量 眾 生 故 修 數 息 欲 因 此 法 門 入 
T46n1917_001:0552c02	一切種智。所以者何。如經中說阿那般那。	一切種智 所以者何 如 經 中 說 阿那般那 
T46n1917_001:0552c03	三世諸佛入道之初門。是故新發心菩薩欲	三世諸佛 入 道 之 初 門 是 故 新 發 心 菩 薩 欲 
T46n1917_001:0552c04	求佛道應先調心數息。當數息時。知息非息	求 佛 道 應 先 調 心 數 息 當 數 息 時 知 息 非 息 
T46n1917_001:0552c05	猶如幻化。是故息非是生死。亦非是涅槃。爾	猶 如 幻 化 是 故 息 非 是 生 死 亦 非 是 涅 槃 爾 
T46n1917_001:0552c06	時於數息中。不得生死可斷。不得涅槃可入。	時 於 數 息 中 不 得 生 死 可 斷 不 得 涅 槃 可 入 
T46n1917_001:0552c07	是故不住生死。既無二十五有繫縛。不證涅	是 故 不 住 生 死 既 無 二十五有 繫 縛 不 證 涅 
T46n1917_001:0552c08	槃。則不墮聲聞辟支佛地。以平等大惠。即無	槃 則 不 墮 聲 聞 辟支佛地 以 平 等 大 惠 即 無 
T46n1917_001:0552c09	取捨心。入息中道。名見佛性得無生忍。住	取 捨 心 入 息 中 道 名 見 佛 性 得無生忍 住 
T46n1917_001:0552c10	大涅槃常樂我淨。故經云。譬如大水能突蕩	大 涅槃常樂 我 淨 故 經 云 譬 如 大 水 能 突 蕩 
T46n1917_001:0552c11	一切。唯除楊柳。以其軟故。生死大水。亦復	一 切 唯 除 楊 柳 以 其 軟 故 生 死 大 水 亦 復 
T46n1917_001:0552c12	如是。能漂沒一切凡夫之人。唯除菩薩住於	如 是 能 漂 沒 一 切 凡 夫 之 人 唯 除 菩 薩 住 於 
T46n1917_001:0552c13	大乘大般涅槃。心柔軟故。是名大乘行者。於	大 乘 大 般 涅 槃 心 柔 軟 故 是 名 大 乘 行 者 於 
T46n1917_001:0552c14	數息中入菩薩位。此則略說數息妙門凡聖	數 息 中 入 菩 薩 位 此 則 略 說 數 息 妙 門 凡 聖 
T46n1917_001:0552c15	大小乘通別之相。數息雖通。須解殊別之相。	大 小 乘 通 別 之 相 數 息 雖 通 須 解 殊 別 之 相 
T46n1917_001:0552c16	當知數息雖同共修。隨其果報差降。餘隨止	當 知 數 息 雖 同 共 修 隨 其 果 報 差 降 餘 隨 止 
T46n1917_001:0552c17	觀還淨一一妙門。凡聖大小乘通別。亦復如	觀 還 淨 一 一 妙 門 凡 聖 大 小 乘 通 別 亦 復 如 
T46n1917_001:0552c18	是。	是 
T46n1917_001:0552c19	次釋第七旋轉六妙門。上來所說六妙門。悉	次 釋 第 七 旋 轉 六 妙 門 上 來 所 說 六 妙 門 悉 
T46n1917_001:0552c20	是共行。與凡夫二乘共故。今此旋轉六妙門	是 共 行 與 凡 夫 二 乘 共 故 今 此 旋 轉 六 妙 門 
T46n1917_001:0552c21	者。唯獨菩薩所行。不與聲聞緣覺共。況諸凡	者 唯 獨 菩薩所行 不 與 聲 聞 緣 覺 共 況 諸 凡 
T46n1917_001:0552c22	夫。所以者何。前第六通別妙門觀中說。名	夫 所以者何 前 第 六 通 別 妙 門 觀 中 說 名 
T46n1917_001:0552c23	從假入空觀。得惠眼一切智。慧眼一切智。是	從 假 入 空 觀 得 惠 眼 一 切 智 慧 眼 一 切 智 是 
T46n1917_001:0552c24	二乘菩薩共法。今明從空出假旋轉六妙門。	二 乘 菩 薩 共 法 今 明 從 空 出 假 旋 轉 六 妙 門 
T46n1917_001:0552c25	即是法眼道種智。法眼道種智。不與聲聞辟	即 是 法 眼 道 種 智 法 眼 道 種 智 不 與 聲 聞 辟 
T46n1917_001:0552c26	支佛共。云何菩薩。於數息道中。修從空出	支 佛 共 云 何 菩 薩 於 數 息 道 中 修 從 空 出 
T46n1917_001:0552c27	假觀。起旋轉出一切諸行功德相。所謂菩薩	假 觀 起 旋 轉 出 一切諸行 功 德 相 所 謂 菩 薩 
T46n1917_001:0552c28	行者。當數息時。當發大誓願怜愍眾生雖知	行 者 當 數 息 時 當 發 大 誓 願 怜 愍 眾 生 雖 知 
T46n1917_001:0552c29	眾生畢竟空。而欲成就眾生淨佛國土。盡未	眾 生 畢 竟 空 而 欲 成 就 眾 生 淨佛國土 盡 未 
T46n1917_001:0553a01	來際。作是願已。即當了所數息不生不滅。其	來 際 作 是 願 已 即 當 了 所 數 息 不生不滅 其 
T46n1917_001:0553a02	性空寂。即息是空。非息滅空。息性自空。息即	性 空 寂 即 息 是 空 非 息 滅 空 息 性 自 空 息 即 
T46n1917_001:0553a03	是空。空即是息。離空無息。離息無空。一切諸	是 空 空 即 是 息 離 空 無 息 離 息 無 空 一 切 諸 
T46n1917_001:0553a04	法。亦復如是。息空故非真非假。非世間非出	法 亦復如是 息 空 故 非 真 非 假 非 世 間 非 出 
T46n1917_001:0553a05	世間。求息不得息與非息。而亦成就息念其	世 間 求 息 不 得 息 與 非 息 而 亦 成 就 息 念 其 
T46n1917_001:0553a06	所成就息念。如夢如幻。如響如化雖無實事	所 成 就 息 念 如 夢 如 幻 如 響 如 化 雖 無 實 事 
T46n1917_001:0553a07	可得。而亦分別幻化所作事。菩薩了息。亦	可 得 而 亦 分 別 幻 化 所 作 事 菩 薩 了 息 亦 
T46n1917_001:0553a08	復如是。雖無息性可得。而亦成就息念。從	復 如 是 雖 無 息 性 可 得 而 亦 成 就 息 念 從 
T46n1917_001:0553a09	一至十。了了分明。深心分別如幻息相。以有	一 至 十 了 了 分 明 深 心 分 別 如 幻 息 相 以 有 
T46n1917_001:0553a10	無性如幻息故。即有無性世間出世間法。所	無 性 如 幻 息 故 即 有 無 性 世間出世間 法 所 
T46n1917_001:0553a11	以者何。無明顛倒。不知息性空故。妄計有	以 者 何 無 明 顛 倒 不 知 息 性 空 故 妄 計 有 
T46n1917_001:0553a12	息。即生人法執著愛見諸行。故名世間。因	息 即 生 人 法 執 著 愛 見 諸 行 故 名 世 間 因 
T46n1917_001:0553a13	有息故。即有陰界入等世間苦樂之果。當知	有 息 故 即 有 陰 界 入 等 世 間 苦 樂 之 果 當 知 
T46n1917_001:0553a14	息雖空。亦能成辦一切世間善惡因果。二十	息 雖 空 亦 能 成 辦 一切世間 善 惡 因 果 二 十 
T46n1917_001:0553a15	五有諸生死事。復次息相空中雖無出世間	五 有 諸 生 死 事 復 次 息 相 空 中 雖 無 出 世 間 
T46n1917_001:0553a16	相。而非不因息分別出世間法。所以者何。不	相 而 非 不 因 息 分 別 出世間法 所以者何 不 
T46n1917_001:0553a17	知息相空故。即無明不了。造世間業。知息空	知 息 相 空 故 即 無 明 不 了 造 世 間 業 知 息 空 
T46n1917_001:0553a18	無所有故。即無無明妄執一切諸結煩惱。無	無 所 有 故 即 無 無 明 妄 執 一 切 諸 結 煩 惱 無 
T46n1917_001:0553a19	所從生。是名出世間因。因滅故。得離後世	所 從 生 是 名 出 世 間 因 因 滅 故 得 離 後 世 
T46n1917_001:0553a20	世間二十五有等果。名出世間果。能出世間	世 間 二十五有 等 果 名 出 世 間 果 能 出 世 間 
T46n1917_001:0553a21	顛倒因果法故。是名出世間法。於出世間真	顛 倒 因 果 法 故 是 名 出世間法 於 出 世 間 真 
T46n1917_001:0553a22	正法中。亦有因果。因者知息空。正智惠為出	正 法 中 亦 有 因 果 因 者 知 息 空 正 智 惠 為 出 
T46n1917_001:0553a23	世間因。妄計息中人。我無明顛倒。及苦果滅	世 間 因 妄 計 息 中 人 我 無 明 顛 倒 及 苦 果 滅 
T46n1917_001:0553a24	故。名為出世間果。故知菩薩觀息非息。雖	故 名 為 出 世 間 果 故 知 菩 薩 觀 息 非 息 雖 
T46n1917_001:0553a25	不得世間出世間。亦能分別世間及出世間。	不 得 世間出世間 亦 能 分 別 世間及出世間 
T46n1917_001:0553a26	復次菩薩。觀息性空時不得四諦。而亦通達	復 次 菩 薩 觀 息 性 空 時 不 得 四 諦 而 亦 通 達 
T46n1917_001:0553a27	四諦。所以者何。如上所說世間果者。即是苦	四 諦 所以者何 如上所說 世 間 果 者 即 是 苦 
T46n1917_001:0553a28	諦。世間因者。即是集諦。出世間果者。即是滅	諦 世 間 因 者 即 是 集 諦 出 世 間 果 者 即 是 滅 
T46n1917_001:0553a29	諦。出世間因者。即是道諦故觀於息想。不	諦 出 世 間 因 者 即 是 道 諦 故 觀 於 息 想 不 
