X62n1192_001:0481c06	 清珠集序	 清 珠 集 序 
X62n1192_001:0488a20	一堆墳土。未知他一個識神。又向何處。淨土偈云。皮	一 堆 墳 土 未 知 他 一 個 識 神 又 向 何 處 淨 土 偈 云 皮 
X62n1192_001:0488a21	包血肉骨纏筋。顛倒凡夫認作身。到死始知非是我。	包 血 肉 骨 纏 筋 顛 倒 凡 夫 認 作 身 到 死 始 知 非 是 我 
X62n1192_001:0488a22	從前金玉付他人。	從 前 金 玉 付 他 人 
X62n1192_001:0488a23	憂喜得失	憂 喜 得 失 
X62n1192_001:0488a24	今有貿易者。一錢而得兩錢之息。行路者。一日而及	今 有 貿 易 者 一 錢 而 得 兩 錢 之 息 行 路 者 一 日 而 及 
X62n1192_001:0488b01	兩日之程。則心自喜。反是則必憂。是以外物小有得	兩 日 之 程 則 心 自 喜 反 是 則 必 憂 是 以 外 物 小 有 得 
X62n1192_001:0488b02	失。而憂喜也。以吾之光陰有限。汩沒過時。其失大矣。	失 而 憂 喜 也 以 吾 之 光 陰 有 限 汩 沒 過 時 其 失 大 矣 
X62n1192_001:0488b03	而不以為憂。以淨土之緣難遇。幸而知之。其得大矣。	而 不 以 為 憂 以 淨 土 之 緣 難 遇 幸 而 知 之 其 得 大 矣 
X62n1192_001:0488b04	而不以為喜。何不思之甚也。	而 不 以 為 喜 何 不 思 之 甚 也 
X62n1192_001:0488b05	帶不去	帶 不 去 
X62n1192_001:0488b06	家產財物。在眼明脚健之時。經營計較。慳吝守護。將	家 產 財 物 在 眼 明 脚 健 之 時 經 營 計 較 慳 吝 守 護 將 
X62n1192_001:0488b07	謂百千萬年得他受用。誰知都是虗假。不要說別的	謂 百 千 萬 年 得 他 受 用 誰 知 都 是 虗 假 不 要 說 別 的 
X62n1192_001:0488b08	大事。就是失去一文錢。折了一隻筯。打破一個碗碟。	大 事 就 是 失 去 一 文 錢 折 了 一 隻 筯 打 破 一 個 碗 碟 
X62n1192_001:0488b09	甚至於椅卓安置稍斜。是極小的事。胸中也不快活。	甚 至 於 椅 卓 安 置 稍 斜 是 極 小 的 事 胸 中 也 不 快 活 
X62n1192_001:0488b10	又如窮人乞化一錢一粒。心裏也不歡喜。及至一口	又 如 窮 人 乞 化 一 錢 一 粒 心 裏 也 不 歡 喜 及 至 一 口 
X62n1192_001:0488b11	氣。呼吸不來。兩足直硬。時候雖有萬貫家財。遺與別	氣 呼 吸 不 來 兩 足 直 硬 時 候 雖 有 萬 貫 家 財 遺 與 別 
X62n1192_001:0488b12	人享用。一些兒帶不去。何用抵死慳貪。	人 享 用 一 些 兒 帶 不 去 何 用 抵 死 慳 貪 
X62n1192_001:0488b13	決志	決 志 
X62n1192_001:0488b14	若學專修。志須決定。爾一生參禪。禪既不悟。及乎看	若 學 專 修 志 須 決 定 爾 一 生 參 禪 禪 既 不 悟 及 乎 看 
X62n1192_001:0488b15	教。教又不明。弄到如今。念頭未死。又要說幾句禪。又	教 教 又 不 明 弄 到 如 今 念 頭 未 死 又 要 說 幾 句 禪 又 
X62n1192_001:0488b16	要說幾句教。又要寫幾箇字。又要做幾首詩。情掛兩	要 說 幾 句 教 又 要 寫 幾 箇 字 又 要 做 幾 首 詩 情 掛 兩 
X62n1192_001:0488b17	頭。念分四路。祖師道。毫釐繫念。三塗業因。瞥爾情生。	頭 念 分 四 路 祖 師 道 毫 釐 繫 念 三 塗 業 因 瞥 爾 情 生 
X62n1192_001:0488b18	萬劫覊鎻。爾却志無決定。情念多端。因此多端。間斷	萬 劫 覊 鎻 爾 却 志 無 決 定 情 念 多 端 因 此 多 端 間 斷 
X62n1192_001:0488b19	正念。然則一念間斷之心。便是三塗覊鎻業也。又守	正 念 然 則 一 念 間 斷 之 心 便 是 三 塗 覊 鎻 業 也 又 守 
X62n1192_001:0488b20	護戒根。志不決定。或因身口念念馳求。教中道。寧以	護 戒 根 志 不 決 定 或 因 身 口 念 念 馳 求 教 中 道 寧 以 
X62n1192_001:0488b21	洋銅灌口。不可以破戒之口。受人飲食。寧以熱鐵纏	洋 銅 灌 口 不 可 以 破 戒 之 口 受 人 飲 食 寧 以 熱 鐵 纏 
X62n1192_001:0488b22	身。不可以破戒之身。受人衣服。況因諸戒不嚴。邪心	身 不 可 以 破 戒 之 身 受 人 衣 服 況 因 諸 戒 不 嚴 邪 心 
X62n1192_001:0488b23	妄動。間斷專修。然則一念間斷之心。便是洋銅熱鐵	妄 動 間 斷 專 修 然 則 一 念 間 斷 之 心 便 是 洋 銅 熱 鐵 
X62n1192_001:0488b24	業也。又斷除憎愛。志不決定。每於虗名浮利。自照不	業 也 又 斷 除 憎 愛 志 不 決 定 每 於 虗 名 浮 利 自 照 不 
X62n1192_001:0488c01	破。名利屬我。便生貪愛。名利屬他。便生妬憎。古人云。	破 名 利 屬 我 便 生 貪 愛 名 利 屬 他 便 生 妬 憎 古 人 云 
X62n1192_001:0488c02	貪名貪利。同趨鬼類。逐愛逐憎。同入火坑。爾却因此	貪 名 貪 利 同 趨 鬼 類 逐 愛 逐 憎 同 入 火 坑 爾 却 因 此 
X62n1192_001:0488c03	愛憎。間斷淨土。然則一念間斷之心。便是餓鬼火坑	愛 憎 間 斷 淨 土 然 則 一 念 間 斷 之 心 便 是 餓 鬼 火 坑 
X62n1192_001:0488c04	業也。	業 也 
X62n1192_001:0488c05	鉤鎻連環	鉤 鎻 連 環 
X62n1192_001:0488c06	世事千端。生緣萬擾。如鉤如鎻。連環不斷。心則念念	世 事 千 端 生 緣 萬 擾 如 鉤 如 鎻 連 環 不 斷 心 則 念 念 
X62n1192_001:0488c07	不住。身則在在無休。役我升沉。障我本性。歷劫至今。	不 住 身 則 在 在 無 休 役 我 升 沉 障 我 本 性 歷 劫 至 今 
X62n1192_001:0488c08	曾未休息。無常遷變。不可久留。縱壽百年。不逾彈指。	曾 未 休 息 無 常 遷 變 不 可 久 留 縱 壽 百 年 不 逾 彈 指 
X62n1192_001:0488c09	今日明日難保其存。忽於眼光落地。不覺剎那異生。	今 日 明 日 難 保 其 存 忽 於 眼 光 落 地 不 覺 剎 那 異 生 
X62n1192_001:0488c10	隨其業因。受形別類。披毛戴角。著地飛空。今日見解	隨 其 業 因 受 形 別 類 披 毛 戴 角 著 地 飛 空 今 日 見 解 
X62n1192_001:0488c11	都忘恍惚。三途六趣飄零多劫。不知所歸。可謂大苦。	都 忘 恍 惚 三 途 六 趣 飄 零 多 劫 不 知 所 歸 可 謂 大 苦 
X62n1192_001:0488c12	若非即於目下當念。効彼先覺。猛發大心。立決定志。	若 非 即 於 目 下 當 念 効 彼 先 覺 猛 發 大 心 立 決 定 志 
X62n1192_001:0488c13	跳出稠林。安能行業昭著。光動人天。羣有蒙恩。諸佛	跳 出 稠 林 安 能 行 業 昭 著 光 動 人 天 羣 有 蒙 恩 諸 佛 
X62n1192_001:0488c14	護念。即不待娑婆報滿。便得往生。	護 念 即 不 待 娑 婆 報 滿 便 得 往 生 
X62n1192_001:0488c15	撥置萬事	撥 置 萬 事 
X62n1192_001:0488c16	世間萬事。盡如夢幻影響。那一件有實效。那一件替	世 間 萬 事 盡 如 夢 幻 影 響 那 一 件 有 實 效 那 一 件 替 
X62n1192_001:0488c17	得生死。縱爾廣造伽藍。多增常住。將謂多做好事。却	得 生 死 縱 爾 廣 造 伽 藍 多 增 常 住 將 謂 多 做 好 事 却 
X62n1192_001:0488c18	犯如來。不體道本。廣造伽藍等戒。詎知有為之功。多	犯 如 來 不 體 道 本 廣 造 伽 藍 等 戒 詎 知 有 為 之 功 多 
X62n1192_001:0488c19	諸過咎。天堂未就。地獄先成。生死未明。皆為苦本。眼	諸 過 咎 天 堂 未 就 地 獄 先 成 生 死 未 明 皆 為 苦 本 眼 
X62n1192_001:0488c20	光落地。受苦之時。方知平生所作。盡是枷上添枷。鎻	光 落 地 受 苦 之 時 方 知 平 生 所 作 盡 是 枷 上 添 枷 鎻 
X62n1192_001:0488c21	上添鎻。失却人身。萬劫難復。鐵漢聞之。也須淚落。且	上 添 鎻 失 却 人 身 萬 劫 難 復 鐵 漢 聞 之 也 須 淚 落 且 
X62n1192_001:0488c22	撥置萬事。一心正念。	撥 置 萬 事 一 心 正 念 
X62n1192_001:0488c23	無常信	無 常 信 
X62n1192_001:0488c24	一老人死。見閻王。咎王不早與通信。王言。吾信數矣。	一 老 人 死 見 閻 王 咎 王 不 早 與 通 信 王 言 吾 信 數 矣 
X62n1192_001:0489a01	汝目漸昏。一信也。汝耳漸聾。二信也。汝齒漸損。三信	汝 目 漸 昏 一 信 也 汝 耳 漸 聾 二 信 也 汝 齒 漸 損 三 信 
X62n1192_001:0489a02	也。汝百體日益衰。信不知其幾也。一少年亦咎王云。	也 汝 百 體 日 益 衰 信 不 知 其 幾 也 一 少 年 亦 咎 王 云 
X62n1192_001:0489a03	吾目明耳聰齒利。百體強健。王胡不以信及我。王言。	吾 目 明 耳 聰 齒 利 百 體 強 健 王 胡 不 以 信 及 我 王 言 
X62n1192_001:0489a04	亦有信及君。君自不察耳。東隣有四五十而亡者。西	亦 有 信 及 君 君 自 不 察 耳 東 隣 有 四 五 十 而 亡 者 西 
X62n1192_001:0489a05	隣有二三十而亡者。更有不及十歲與孩提乳哺而	隣 有 二 三 十 而 亡 者 更 有 不 及 十 歲 與 孩 提 乳 哺 而 
X62n1192_001:0489a06	亡者。非信乎。良馬見鞭影而行。必俟錐入於膚者。駑	亡 者 非 信 乎 良 馬 見 鞭 影 而 行 必 俟 錐 入 於 膚 者 駑 
X62n1192_001:0489a07	駘也。何嗟及矣。	駘 也 何 嗟 及 矣 
X62n1192_001:0489a08	修行及早	修 行 及 早 
X62n1192_001:0489a09	兩脚直一品朝官做不得。兩脚直萬貫家私顧不得。	兩 脚 直 一 品 朝 官 做 不 得 兩 脚 直 萬 貫 家 私 顧 不 得 
X62n1192_001:0489a10	兩脚直孝子順孫替不得。兩脚直嬌妻艶妾戀不得。	兩 脚 直 孝 子 順 孫 替 不 得 兩 脚 直 嬌 妻 艶 妾 戀 不 得 
X62n1192_001:0489a11	兩脚直蓋世機謀使不得。兩脚直滿腹株璣誇不得。	兩 脚 直 蓋 世 機 謀 使 不 得 兩 脚 直 滿 腹 株 璣 誇 不 得 
X62n1192_001:0489a12	兩脚直美味珍饈喫不得。兩脚直高堂大廈住不得。	兩 脚 直 美 味 珍 饈 喫 不 得 兩 脚 直 高 堂 大 廈 住 不 得 
X62n1192_001:0489a13	兩脚直錦綺盈箱著不得。兩脚直寶玩滿笥携不得。	兩 脚 直 錦 綺 盈 箱 著 不 得 兩 脚 直 寶 玩 滿 笥 携 不 得 
X62n1192_001:0489a14	兩脚直妙舞清歌享不得。兩脚直綠水青山遊不得。	兩 脚 直 妙 舞 清 歌 享 不 得 兩 脚 直 綠 水 青 山 遊 不 得 
X62n1192_001:0489a15	兩脚直造下罪業撇不得。兩脚直結下冤家解不得。	兩 脚 直 造 下 罪 業 撇 不 得 兩 脚 直 結 下 冤 家 解 不 得 
X62n1192_001:0489a16	兩脚直閻羅阿旁避不得。兩脚直巧言花語推不得。	兩 脚 直 閻 羅 阿 旁 避 不 得 兩 脚 直 巧 言 花 語 推 不 得 
X62n1192_001:0489a17	兩脚直人情關節用不得。兩脚直親戚勢要靠不得。	兩 脚 直 人 情 關 節 用 不 得 兩 脚 直 親 戚 勢 要 靠 不 得 
X62n1192_001:0489a18	兩脚直刀輪火獄免不得。兩脚直馬腹驢胎躲不得。	兩 脚 直 刀 輪 火 獄 免 不 得 兩 脚 直 馬 腹 驢 胎 躲 不 得 
X62n1192_001:0489a19	直直直。不限時來不限日。清晨不保午時辰。日中不	直 直 直 不 限 時 來 不 限 日 清 晨 不 保 午 時 辰 日 中 不 
X62n1192_001:0489a20	保申時刻。任汝功業比姬公。任汝英雄比項籍。任汝	保 申 時 刻 任 汝 功 業 比 姬 公 任 汝 英 雄 比 項 籍 任 汝 
X62n1192_001:0489a21	錢財過石崇。任汝文章過李白。任汝蘇秦舌萬端。任	錢 財 過 石 崇 任 汝 文 章 過 李 白 任 汝 蘇 秦 舌 萬 端 任 
X62n1192_001:0489a22	汝陳平計六出。任汝離婁公輸巧。任汝管輅君平術。	汝 陳 平 計 六 出 任 汝 離 婁 公 輸 巧 任 汝 管 輅 君 平 術 
X62n1192_001:0489a23	任汝君王勢滔天。任汝后妃色傾國。喉嚨但有三寸	任 汝 君 王 勢 滔 天 任 汝 后 妃 色 傾 國 喉 嚨 但 有 三 寸 
X62n1192_001:0489a24	氣。肩頭苦費千般力。跨街昨日逞華顏。纏棺今夕眠	氣 肩 頭 苦 費 千 般 力 跨 街 昨 日 逞 華 顏 纏 棺 今 夕 眠 
X62n1192_001:0489b01	枯骨。北邙多少高低墳。鴟鴞夜嘯青楓泣。千載興亡	枯 骨 北 邙 多 少 高 低 墳 鴟 鴞 夜 嘯 青 楓 泣 千 載 興 亡 
X62n1192_001:0489b02	蜂蟻場。百年成敗狐狸窟。丟開善念不尋思。失去人	蜂 蟻 場 百 年 成 敗 狐 狸 窟 丟 開 善 念 不 尋 思 失 去 人 
X62n1192_001:0489b03	身難再覓。富貴固是夙生來。享盡亦須防算逼。摩尼	身 難 再 覓 富 貴 固 是 夙 生 來 享 盡 亦 須 防 算 逼 摩 尼 
X62n1192_001:0489b04	百八手中提。彌陀一句心頭憶。此生不度何時度。修	百 八 手 中 提 彌 陀 一 句 心 頭 憶 此 生 不 度 何 時 度 修 
X62n1192_001:0489b05	行及早無常迫。兒女盡是冤家債。利名盡是刀頭蜜。	行 及 早 無 常 迫 兒 女 盡 是 冤 家 債 利 名 盡 是 刀 頭 蜜 
X62n1192_001:0489b06	殺生是啖姻親肉。淫邪是飲洋銅汁。上牀別却鞋和	殺 生 是 啖 姻 親 肉 淫 邪 是 飲 洋 銅 汁 上 牀 別 却 鞋 和 
X62n1192_001:0489b07	襪。明朝來否事不測。一聲去也只索隨。求神禮佛毫	襪 明 朝 來 否 事 不 測 一 聲 去 也 只 索 隨 求 神 禮 佛 毫 
X62n1192_001:0489b08	無益。至親父子及夫妻。改換重來懵不識。船到瞿塘	無 益 至 親 父 子 及 夫 妻 改 換 重 來 懵 不 識 船 到 瞿 塘 
X62n1192_001:0489b09	補漏遲。蹉過許多好時日。輪迴件件理分明。因果椿	補 漏 遲 蹉 過 許 多 好 時 日 輪 迴 件 件 理 分 明 因 果 椿 
X62n1192_001:0489b10	椿無爽忒。迷却多生說現生。癡人無數齊稱屈。頻呼	椿 無 爽 忒 迷 却 多 生 說 現 生 癡 人 無 數 齊 稱 屈 頻 呼 
X62n1192_001:0489b11	苦勸不回心。除非等待兩脚直。	苦 勸 不 回 心 除 非 等 待 兩 脚 直 
X62n1192_001:0489b12	天性相關	天 性 相 關 
X62n1192_001:0489b13	諸佛眾生。同一覺源。迷悟雖殊。理常平等。故諸佛是	諸 佛 眾 生 同 一 覺 源 迷 悟 雖 殊 理 常 平 等 故 諸 佛 是 
X62n1192_001:0489b14	眾生心內諸佛。眾生是諸佛心內眾生。迹此而言。則	眾 生 心 內 諸 佛 眾 生 是 諸 佛 心 內 眾 生 迹 此 而 言 則 
X62n1192_001:0489b15	諸佛眾生心精無時而不通[淴心+口]。但諸佛無時不欲度	諸 佛 眾 生 心 精 無 時 而 不 通 [淴心口] 但 諸 佛 無 時 不 欲 度 
X62n1192_001:0489b16	生。而眾生念念與之迷背。經云。一人專憶。一人專忘。	生 而 眾 生 念 念 與 之 迷 背 經 云 一 人 專 憶 一 人 專 忘 
X62n1192_001:0489b17	若逢不逢。或見非見。子若憶母。如母憶時。母子歷生。	若 逢 不 逢 或 見 非 見 子 若 憶 母 如 母 憶 時 母 子 歷 生 
X62n1192_001:0489b18	不相違遠。若眾生心。憶佛念佛。現前當來必定見佛。	不 相 違 遠 若 眾 生 心 憶 佛 念 佛 現 前 當 來 必 定 見 佛 
X62n1192_001:0489b19	去佛不遠。正由一理平等。天性相關。故得任運拔苦	去 佛 不 遠 正 由 一 理 平 等 天 性 相 關 故 得 任 運 拔 苦 
X62n1192_001:0489b20	與樂。況無量壽佛。因中所發四十八願。誓取極樂。攝	與 樂 況 無 量 壽 佛 因 中 所 發 四 十 八 願 誓 取 極 樂 攝 
X62n1192_001:0489b21	受有情眾生。但當深信憶念。數數發願。願生西方。如	受 有 情 眾 生 但 當 深 信 憶 念 數 數 發 願 願 生 西 方 如 
X62n1192_001:0489b22	磁石與針任運吸取。然磁能吸鐵。而不能吸銅。譬猶	磁 石 與 針 任 運 吸 取 然 磁 能 吸 鐵 而 不 能 吸 銅 譬 猶 
X62n1192_001:0489b23	佛能度有緣。而不能度無緣眾生。易感彌陀。而不易	佛 能 度 有 緣 而 不 能 度 無 緣 眾 生 易 感 彌 陀 而 不 易 
X62n1192_001:0489b24	感諸佛。豈非生佛誓願相關乎。是以求生淨土者。信	感 諸 佛 豈 非 生 佛 誓 願 相 關 乎 是 以 求 生 淨 土 者 信 
X62n1192_001:0489c01	行願三。缺一不可。	行 願 三 缺 一 不 可 
X62n1192_001:0489c02	十種信	十 種 信 
X62n1192_001:0489c03	欲了生死。修行淨業。當發十種信心。念念不忘。決生	欲 了 生 死 修 行 淨 業 當 發 十 種 信 心 念 念 不 忘 決 生 
X62n1192_001:0489c04	淨土。得不退轉。一信佛所說法。金口誠言。真實不虗。	淨 土 得不退轉 一 信 佛 所 說 法 金 口 誠 言 真 實 不 虗 
X62n1192_001:0489c05	二信凡夫在迷。識神不滅。六趣循環不息。三信此土	二 信 凡 夫 在 迷 識 神 不 滅 六 趣 循 環 不 息 三 信 此 土 
X62n1192_001:0489c06	修行。未得道果。不免輪迴。四信未出輪迴。雖生天上。	修 行 未 得 道 果 不 免 輪 迴 四 信 未 出 輪 迴 雖 生 天 上 
X62n1192_001:0489c07	不免墮落。五信極樂世界。眾生生者。永無退轉。六信	不 免 墮 落 五 信 極樂世界 眾 生 生 者 永 無 退 轉 六 信 
X62n1192_001:0489c08	眾生發願。願生淨土。決定往生。七信一稱佛名。能滅	眾 生 發 願 願 生 淨 土 決 定 往 生 七 信 一 稱 佛 名 能 滅 
X62n1192_001:0489c09	八十億劫生死重罪。八信念佛之人。阿彌陀佛。神通	八 十 億 劫 生 死 重 罪 八 信 念 佛 之 人 阿 彌 陀 佛 神 通 
X62n1192_001:0489c10	光明。攝取不捨。九信念佛之人。十方世界。恒沙諸佛。	光 明 攝 取 不 捨 九 信 念 佛 之 人 十方世界 恒 沙 諸 佛 
X62n1192_001:0489c11	同以神力。時常護念。十信既生淨土。壽命無量。一生	同 以 神 力 時 常 護 念 十 信 既 生 淨 土 壽 命 無 量 一 生 
X62n1192_001:0489c12	當得無上菩提。於此十種。不能深信。生疑惑者。雖念	當 得 無上菩提 於 此 十 種 不 能 深 信 生 疑 惑 者 雖 念 
X62n1192_001:0489c13	佛而不得往生矣。	佛 而 不 得 往 生 矣 
X62n1192_001:0489c14	須彌山	須 彌 山 
X62n1192_001:0489c15	凡修淨土人。灼然是要敵他生死。不是說了便休。當	凡 修 淨 土 人 灼 然 是 要 敵 他 生 死 不 是 說 了 便 休 當 
X62n1192_001:0489c16	念無常迅速。時不待人。須是把做一件事始得。若半	念 無 常 迅 速 時 不 待 人 須 是 把 做 一 件 事 始 得 若 半 
X62n1192_001:0489c17	進半退。似信似疑。濟得甚事。如何出離輪迴。譬如百	進 半 退 似 信 似 疑 濟 得 甚 事 如 何 出 離 輪 迴 譬 如 百 
X62n1192_001:0489c18	二十斤擔子。到臨時。自家擔荷得去。方得了事。決不	二 十 斤 擔 子 到 臨 時 自 家 擔 荷 得 去 方 得 了 事 決 不 
X62n1192_001:0489c19	在會說會道。廣化人緣上。決不在有傳有授。扭揑做	在 會 說 會 道 廣 化 人 緣 上 決 不 在 有 傳 有 授 扭 揑 做 
X62n1192_001:0489c20	作上。決不在盛設道場。多點香燭上。若是信得及。便	作 上 決 不 在 盛 設 道 場 多 點 香 燭 上 若 是 信 得 及 便 
X62n1192_001:0489c21	從今日去。發大勇猛。發大精進。莫問會與不會。見性	從 今 日 去 發 大 勇 猛 發大精進 莫 問 會 與 不 會 見 性 
X62n1192_001:0489c22	不見性。但持一句佛。如靠著一座須彌山相似。搖撼	不 見 性 但 持 一 句 佛 如 靠 著 一 座 須 彌 山 相 似 搖 撼 
X62n1192_001:0489c23	不動。專心一意。猛著精彩。誓畢此生。同登淨域。	不 動 專 心 一 意 猛 著 精 彩 誓 畢 此 生 同 登 淨 域 
X62n1192_001:0489c24	三通	三 通 
X62n1192_001:0490a01	心唯信佛。佛則知之。他心通故。口唯稱佛。佛則聞之。	心 唯 信 佛 佛 則 知 之 他 心 通 故 口 唯 稱 佛 佛 則 聞 之 
X62n1192_001:0490a02	天耳通故。身唯禮佛。佛則見之。天眼通故。信心者猶	天 耳 通 故 身 唯 禮 佛 佛 則 見 之 天 眼 通 故 信 心 者 猶 
X62n1192_001:0490a03	如深栽果樹。根深故風吹不動。後著果實。濟人飢渴。	如 深 栽 果 樹 根 深 故 風 吹 不 動 後 著 果 實 濟 人 飢 渴 
X62n1192_001:0490a04	念佛之人。亦復如是。	念 佛 之 人 亦復如是 
X62n1192_001:0490a05	回向	回 向 
X62n1192_001:0490a06	念佛工夫。祇貴真實信心。第一要信我是未成之佛。	念 佛 工 夫 祇 貴 真 實 信 心 第 一 要 信 我 是 未 成 之 佛 
X62n1192_001:0490a07	彌陀是已成之佛。其體無二。次信娑婆的是苦。安養	彌 陀 是 已 成 之 佛 其 體 無 二 次 信 娑 婆 的 是 苦 安 養 
X62n1192_001:0490a08	的可歸。熾然欣厭。次信現前一舉一動。皆可回向西	的 可 歸 熾 然 欣 厭 次 信 現 前 一 舉 一 動 皆 可 回 向 西 
X62n1192_001:0490a09	方。若不回向。雖上品善。亦不往生。若知回向。雖誤作	方 若 不 回 向 雖 上 品 善 亦 不 往 生 若 知 回 向 雖 誤 作 
X62n1192_001:0490a10	惡行。速斷相續心。起殷重懺悔。懺悔之力亦能往生。	惡 行 速 斷 相 續 心 起 殷 重 懺 悔 懺 悔 之 力 亦 能 往 生 
X62n1192_001:0490a11	況持戒修福。種種勝業。豈不足莊嚴淨土。只為信力	況 持 戒 修 福 種 種 勝 業 豈 不 足 莊 嚴 淨 土 只 為 信 力 
X62n1192_001:0490a12	不深。勝業淪于有漏。又欲捨此別商。誤之誤矣。但加	不 深 勝 業 淪 于 有 漏 又 欲 捨 此 別 商 誤 之 誤 矣 但 加 
X62n1192_001:0490a13	真信。一切行履。更不須改也。	真 信 一 切 行 履 更 不 須 改 也 
X62n1192_001:0490a14	信定得	信 定 得 
X62n1192_001:0490a15	凡欲念佛。要起信心。若無信心。空無所獲。信念佛定	凡 欲 念 佛 要 起 信 心 若 無 信 心 空 無 所 獲 信 念 佛 定 
X62n1192_001:0490a16	生淨土。信念佛定滅諸罪。信念佛定得佛護。信念佛	生 淨 土 信 念 佛 定 滅 諸 罪 信 念 佛 定 得 佛 護 信 念 佛 
X62n1192_001:0490a17	定得佛證。信念佛臨終定得佛來迎接。信念佛同信	定 得 佛 證 信 念 佛 臨 終 定 得 佛 來 迎 接 信 念 佛 同 信 
X62n1192_001:0490a18	之人皆得往生。信念佛往生定得不退地。信念佛生	之 人 皆 得 往 生 信 念 佛 往 生 定 得 不 退 地 信 念 佛 生 
X62n1192_001:0490a19	淨土。定不墮三惡道。受持此法。往生淨土必矣。	淨 土 定 不 墮 三 惡 道 受 持 此 法 往 生 淨 土 必 矣 
X62n1192_001:0490a20	只從今時	只 從 今 時 
X62n1192_001:0490a21	世人雖發道心。被身口眷屬家計三種所累。竟忙了	世 人 雖 發 道 心 被 身 口 眷 屬 家 計 三 種 所 累 竟 忙 了 
X62n1192_001:0490a22	一生。鬧了一生。苦惱了一生。乾弄了一生。又空過了	一 生 鬧 了 一 生 苦 惱 了 一 生 乾 弄 了 一 生 又 空 過 了 
X62n1192_001:0490a23	一生。不得念佛。又因此累起無量貪嗔痴。造無量大	一 生 不 得 念 佛 又 因 此 累 起 無 量 貪 嗔 痴 造 無 量 大 
X62n1192_001:0490a24	小惡業。有志之人。只從今日今時起。知到這個身是	小 惡 業 有 志 之 人 只 從 今 日 今 時 起 知 到 這 個 身 是 
X62n1192_001:0490b01	假。這眷屬家計都是虗假。於此三種累上莫認著。莫	假 這 眷 屬 家 計 都 是 虗 假 於 此 三 種 累 上 莫 認 著 莫 
X62n1192_001:0490b02	戀著。莫貪著。要從自己胸中。發出一個信心來。山爛	戀 著 莫 貪 著 要 從 自 己 胸 中 發 出 一 個 信 心 來 山 爛 
X62n1192_001:0490b03	不改。海枯不移。無論行住坐臥。隨便一心正念。務要	不 改 海 枯 不 移 無 論 行住坐臥 隨 便 一 心 正 念 務 要 
X62n1192_001:0490b04	勇猛。再不因循。務要精進。再不懈怠。務要堅固。再不	勇 猛 再 不 因 循 務 要 精 進 再 不 懈 怠 務 要 堅 固 再 不 
X62n1192_001:0490b05	忽略。只是回光照破。痛自省發。今日也念。明日也念。	忽 略 只 是 回 光 照 破 痛 自 省 發 今 日 也 念 明 日 也 念 
X62n1192_001:0490b06	時節到來。包爾見佛。包爾往生。	時 節 到 來 包 爾 見 佛 包 爾 往 生 
X62n1192_001:0490b07	深思諦信	深 思 諦 信 
X62n1192_001:0490b08	入道要門。信為第一。譬如世間盜賊時乎敗露官府。	入 道 要 門 信 為 第 一 譬 如 世 間 盜 賊 時 乎 敗 露 官 府 
X62n1192_001:0490b09	非不以極刑繩之。迨後釋免。依舊不悔。所以者何。他	非 不 以 極 刑 繩 之 迨 後 釋 免 依 舊 不 悔 所以者何 他 
X62n1192_001:0490b10	却信者條門路。不齎一文本錢。獲利無算。所以備受	却 信 者 條 門 路 不 齎 一 文 本 錢 獲 利 無 算 所 以 備 受 
X62n1192_001:0490b11	苦痛。決不退悔。今人念佛。不肯真切加功。只是不曾	苦 痛 決 不 退 悔 今 人 念 佛 不 肯 真 切 加 功 只 是 不 曾 
X62n1192_001:0490b12	深思諦信此法門。不費多力。決定往生。決定見佛。	深 思 諦 信 此 法 門 不 費 多 力 決 定 往 生 決 定 見 佛 
X62n1192_001:0490b13	蜎蝡	蜎 蝡 
X62n1192_001:0490b14	阿彌陀佛。現在西方。教化無央數。天人民物。以至蜎	阿 彌 陀 佛 現 在 西 方 教 化 無 央 數 天 人 民 物 以 至 蜎 
X62n1192_001:0490b15	飛蝡動之類。莫不得過度解脫者。蜎飛謂微細飛蟲	飛 蝡 動 之 類 莫 不 得 過 度 解 脫 者 蜎 飛 謂 微 細 飛 蟲 
X62n1192_001:0490b16	也。蝡動謂微細蛆蟲也。若此者佛尚化度。況於人乎。	也 蝡 動 謂 微 細 蛆 蟲 也 若 此 者 佛 尚 化 度 況 於 人 乎 
X62n1192_001:0490b17	是其所以廣度眾生。無有窮極。若人一念歸依。遂生	是 其 所 以 廣 度 眾 生 無 有 窮 極 若 人 一 念 歸 依 遂 生 
X62n1192_001:0490b18	其國。無足疑也。	其 國 無 足 疑 也 
X62n1192_001:0490b19	招安為民	招 安 為 民 
X62n1192_001:0490b20	譬如銕石。雖重賴舟。船力可以渡江。一針雖輕。不賴	譬 如 銕 石 雖 重 賴 舟 船 力 可 以 渡 江 一 針 雖 輕 不 賴 
X62n1192_001:0490b21	舟船。江不可渡。盖人有重罪。仗佛力者。可生淨土。罪	舟 船 江 不 可 渡 盖 人 有 重 罪 仗 佛 力 者 可 生 淨 土 罪 
X62n1192_001:0490b22	惡雖輕。不仗佛力亦不得生。又如平生為賊。一日招	惡 雖 輕 不 仗 佛 力 亦 不 得 生 又 如 平 生 為 賊 一 日 招 
X62n1192_001:0490b23	安。遂為良民。仗佛力而消罪惡者。亦復如是。又如蟣	安 遂 為 良 民 仗 佛 力 而 消 罪 惡 者 亦復如是 又 如 蟣 
