T85n2780_001:0536c13	溫室經疏	溫 室 經 疏 
T85n2780_001:0539a04	痺以調身故。得報亦威光而體潤。既光且潤	痺 以 調 身 故 得 報 亦 威 光 而 體 潤 既 光 且 潤 
T85n2780_001:0539a05	則獨步無雙。既獨步無雙。誰不敬難。	則 獨 步 無 雙 既 獨 步 無 雙 誰 不 敬 難 
T85n2780_001:0539a06	經曰五者多饒人從拂拭塵垢自然受福常識	經 曰 五 者 多 饒 人 從 拂 拭 塵 垢 自 然 受 福 常 識 
T85n2780_001:0539a07	宿命　通曰。此是淳灰相似果。夫塵垢穢身	宿 命 通 曰 此 是 淳 灰 相 似 果 夫 塵 垢 穢 身 
T85n2780_001:0539a08	風便惛識。灰能落垢故。多人為之拂塵。復可	風 便 惛 識 灰 能 落 垢 故 多 人 為 之 拂 塵 復 可 
T85n2780_001:0539a09	排風。所以常識宿命。	排 風 所 以 常 識 宿 命 
T85n2780_001:0539a10	經曰六者口齒香好方白齊平所說教教莫不	經 曰 六 者 口 齒 香 好 方 白 齊 平 所 說 教 教 莫 不 
T85n2780_001:0539a11	肅用　通曰。此是楊枝相似果。夫楊枝者嚼	肅 用 通 曰 此 是 楊 枝 相 似 果 夫 楊 枝 者 嚼 
T85n2780_001:0539a12	則除熱口。所以發香楷便瑩朗齒光。所以致	則 除 熱 口 所 以 發 香 楷 便 瑩 朗 齒 光 所 以 致 
T85n2780_001:0539a13	白口。既香無臭。齒白則所言妙而他受也。	白 口 既 香 無 臭 齒 白 則 所 言 妙 而 他 受 也 
T85n2780_001:0539a14	經曰七者所生之處自然衣裳光餝珍寶見者	經 曰 七 者 所 生 之 處 自 然 衣 裳 光 餝 珍 寶 見 者 
T85n2780_001:0539a15	悚息　通曰。此內衣相似果。夫內衣者。內則	悚 息 通 曰 此 內 衣 相 似 果 夫 內 衣 者 內 則 
T85n2780_001:0539a16	蔽醜。外則嚴容。以蔽醜故。生則自然衣服。	蔽 醜 外 則 嚴 容 以 蔽 醜 故 生 則 自 然 衣 服 
T85n2780_001:0539a17	以嚴容故。更加光餝珍寶。	以 嚴 容 故 更 加 光 餝 珍 寶 
T85n2780_001:0539a18	經曰佛告祇域住是滲浴眾僧開士七福如是	經 曰 佛 告 祇 域 住 是 滲 浴 眾 僧 開 士 七 福 如 是 
T85n2780_001:0539a19	　通曰。別敘既周。此更總結。	 通 曰 別 敘 既 周 此 更 總 結 
T85n2780_001:0539a20	經曰從此因緣或為人臣或為帝王或為日月	經 曰 從 此 因 緣 或 為 人 臣 或 為 帝 王 或 為 日 月 
T85n2780_001:0539a21	四天神王或為帝釋轉輪金王或生梵天受福	四 天 神 王 或 為 帝 釋 轉 輪 金 王 或 生 梵 天 受 福 
T85n2780_001:0539a22	無量或為菩薩發意治地功成志就遂致作佛	無 量 或 為 菩 薩 發 意 治 地 功 成 志 就 遂 致 作 佛 
T85n2780_001:0539a23	　通曰。此明得果報也。或為人臣。則三公九	 通 曰 此 明 得 果 報 也 或 為 人 臣 則 三 公 九 
T85n2780_001:0539a24	卿之流。或為帝王則三皇五帝之類。或為日	卿 之 流 或 為 帝 王 則 三 皇 五 帝 之 類 或 為 日 
T85n2780_001:0539a25	月四天神王。則各領一隅。轉輪聖王則總統	月 四 天 神 王 則 各 領 一 隅 轉輪聖王 則 總 統 
T85n2780_001:0539a26	於四鎮。或生於梵天。得定之報。或為菩薩。階	於 四 鎮 或 生 於 梵 天 得 定 之 報 或 為 菩 薩 階 
T85n2780_001:0539a27	出世之果。然則發意是願樂住。治地是見位。	出 世 之 果 然 則 發 意 是 願 樂 住 治 地 是 見 位 
T85n2780_001:0539a28	功來是修。志就是究竟位。遂致作佛是解脫	功 來 是 修 志 就 是 究 竟 位 遂 致 作 佛 是 解 脫 
T85n2780_001:0539a29	位。	位 
T85n2780_001:0539b01	經曰斯之因由供養眾僧無量福田旱澇不傷	經 曰 斯 之 因 由 供 養 眾 僧 無 量 福 田 旱 澇 不 傷 
T85n2780_001:0539b02	　通曰。此明得增上果。供僧福田由是下種。	 通 曰 此 明 得 增 上 果 供 僧 福 田 由 是 下 種 
T85n2780_001:0539b03	旱澇不傷是得報也。縱使流金鑠石之火。不	旱 澇 不 傷 是 得 報 也 縱 使 流 金 鑠 石 之 火 不 
T85n2780_001:0539b04	可語其燋包。山上洪陵之水。豈得淪溺水火。	可 語 其 燋 包 山 上 洪 陵 之 水 豈 得 淪 溺 水 火 
T85n2780_001:0539b05	既其不旱澇。何傷之有　通曰。長行為解義	既 其 不 旱 澇 何 傷 之 有 通 曰 長 行 為 解 義 
T85n2780_001:0539b06	故。偈頌為攝持故。頌有二十偈。大開三節。	故 偈 頌 為 攝 持 故 頌 有 二 十 偈 大 開 三 節 
T85n2780_001:0539b07	初一偈總標以勅聽。次十八偈隨事以聖宣。	初 一 偈 總 標 以 勅 聽 次 十 八 偈 隨 事 以 聖 宣 
T85n2780_001:0539b08	後一偈諧田以歡發。總標中云影福者。福之	後 一 偈 諧 田 以 歡 發 總 標 中 云 影 福 者 福 之 
T85n2780_001:0539b09	隨因猶影之形也。聖宣中頌前報果細開九	隨 因 猶 影 之 形 也 聖 宣 中 頌 前 報 果 細 開 九 
T85n2780_001:0539b10	段。初一偈頌人民。第二兩偈頌人臣。第三兩	段 初 一 偈 頌 人 民 第 二 兩 偈 頌 人 臣 第 三 兩 
T85n2780_001:0539b11	偈頌人王。第四一偈頌四天王。第五一偈頌	偈 頌 人 王 第 四 一 偈 頌 四 天 王 第 五 一 偈 頌 
T85n2780_001:0539b12	日月。第六兩偈頌帝釋。第七兩偈頌輪王。第	日 月 第 六 兩 偈 頌 帝 釋 第 七 兩 偈 頌 輪 王 第 
T85n2780_001:0539b13	八兩偈頌化應。第九兩偈頌梵天。第十三偈	八 兩 偈 頌 化 應 第 九 兩 偈 頌 梵 天 第 十 三 偈 
T85n2780_001:0539b14	頌菩薩帝釋名。因者帝釋名曰因提黎也。第	頌 菩 薩 帝 釋 名 因 者 帝 釋 名 曰 因 提 黎 也 第 
T85n2780_001:0539b15	六化應天者。第五天自感自化無外來應故。	六 化 應 天 者 第 五 天 自 感 自 化 無 外 來 應 故 
T85n2780_001:0539b16	不名化應天。第六天自感他化為外來應故。	不 名 化 應 天 第 六 天 自 感 他 化 為 外 來 應 故 
T85n2780_001:0539b17	名化應王也。四道良福者。四沙門道為良田	名 化 應 王 也 四 道 良 福 者 四 沙 門 道 為 良 田 
T85n2780_001:0539b18	也。	也 
T85n2780_001:0539b19	經曰佛說偈已金告域祇觀彼三界天人品類	經 曰 佛 說 偈 已 金 告 域 祇 觀 彼 三 界 天 人 品 類 
T85n2780_001:0539b20	高下長短福德多少皆由先世用心不等所以	高 下 長 短 福 德 多 少 皆 由 先 世 用 心 不 等 所 以 
T85n2780_001:0539b21	受報各異不同　通曰。次明斷疑。一斷疑行。	受 報 各 異 不 同 通 曰 次 明 斷 疑 一 斷 疑 行 
T85n2780_001:0539b22	二斷疑願。此斷疑行曰理而為因果相者。既	二 斷 疑 願 此 斷 疑 行 曰 理 而 為 因 果 相 者 既 
T85n2780_001:0539b23	同行一因應得一果。今既能洗之因是一。云	同 行 一 因 應 得 一 果 今 既 能 洗 之 因 是 一 云 
T85n2780_001:0539b24	何所得之果大異。遂有人天凡聖之別好之	何 所 得 之 果 大 異 遂 有 人 天 凡 聖 之 別 好 之 
T85n2780_001:0539b25	心多少之殊限□□以作短長不色形而定高	心 多 少 之 殊 限 以 作 短 長 不 色 形 而 定 高 
T85n2780_001:0539b26	下耶。佛為斷此疑故。曰皆由先世用心不等	下 耶 佛 為 斷 此 疑 故 曰 皆 由 先 世 用 心 不 等 
T85n2780_001:0539b27	皆由也。何者。行業雖同。而願心有異。行則能	皆 由 也 何 者 行 業 雖 同 而 願 心 有 異 行 則 能 
T85n2780_001:0539b28	者。願則能引。行則能令有無。願則能令勝	者 願 則 能 引 行 則 能 令 有 無 願 則 能 令 勝 
T85n2780_001:0539b29	劣。若願心祈乎出世。即得出世之果。若願心	劣 若 願 心 祈 乎 出 世 即 得 出 世 之 果 若 願 心 
T85n2780_001:0539c01	求於世間。即得世間之報。由此義故所受不	求 於 世 間 即 得 世 間 之 報 由 此 義 故 所 受 不 
T85n2780_001:0539c02	同。	同 
T85n2780_001:0539c03	經曰如此受法福報皆從洗浴眾聖僧得之耳	經 曰 如 此 受 法 福 報 皆 從 洗 浴 眾 聖 僧 得 之 耳 
T85n2780_001:0539c04	　通曰。此斷疑願。疑曰。若行雖是一。由願參	 通 曰 此 斷 疑 願 疑 曰 若 行 雖 是 一 由 願 參 
T85n2780_001:0539c05	差。則但應發願自階勝果。何須修行強致勞	差 則 但 應 發 願 自 階 勝 果 何 須 修 行 強 致 勞 
T85n2780_001:0539c06	苦耶。今明願難能引者。由行力如其無行則	苦 耶 今 明 願 難 能 引 者 由 行 力 如 其 無 行 則 
T85n2780_001:0539c07	願何所行。所引之行即是洗僧故。曰如此福	願 何 所 行 所 引 之 行 即 是 洗 僧 故 曰 如 此 福 
T85n2780_001:0539c08	報皆從洗浴聖眾得之耳。	報 皆 從 洗 浴 聖 眾 得 之 耳 
T85n2780_001:0539c09	經曰佛說經已阿難白佛當何名此經以何勸	經 曰 佛 說 經 已 阿 難 白 佛 當 何 名 此 經 以 何 勸 
T85n2780_001:0539c10	誨之　通曰。此明下第三明流通。自有二意。	誨 之 通 曰 此 明 下 第 三 明 流 通 自 有 二 意 
T85n2780_001:0539c11	先明侍者諸勸誨之法。後明祇域申永奉之	先 明 侍 者 諸 勸 誨 之 法 後 明 祇 域 申 永 奉 之 
T85n2780_001:0539c12	旨。此即初章自有二問。約文以求目。此文以	旨 此 即 初 章 自 有 二 問 約 文 以 求 目 此 文 以 
T85n2780_001:0539c13	何為名。後問約義以聞持。此義云何勸誨	何 為 名 後 問 約 義 以 聞 持 此義云何 勸 誨 
T85n2780_001:0539c14	　經曰佛告阿難此經名曰溫室洗浴眾僧經	 經 曰 佛 告 阿 難 此 經 名 曰 溫 室 洗 浴 眾 僧 經 
T85n2780_001:0539c15	　通曰。此答初問。此經既以洗僧為實。即從此	 通 曰 此 答 初 問 此 經 既 以 洗 僧 為 實 即 從 此 
T85n2780_001:0539c16	實為名也。	實 為 名 也 
T85n2780_001:0539c17	經曰諸佛所記非我獨造行者得度非神受與	經 曰 諸 佛 所 記 非 我 獨 造 行 者 得 度 非 神 受 與 
T85n2780_001:0539c18	求清淨福自當奉行　通曰。此答後問。諸佛	求 清 淨 福 自 當 奉 行 通 曰 此 答 後 問 諸 佛 
T85n2780_001:0539c19	所記故可以勸。行者得度故可以誨。可以勸	所 記 故 可 以 勸 行 者 得 度 故 可 以 誨 可 以 勸 
T85n2780_001:0539c20	故。同行者必同入。可斯誨故。自作者還自受。	故 同 行 者 必 同 入 可 斯 誨 故 自 作 者 還 自 受 
T85n2780_001:0539c21	故曰非神受也。	故 曰 非 神 受 也 
T85n2780_001:0539c22	經曰佛說是已祇域眷屬聞經歡喜得須陀洹	經 曰 佛 說 是 已 祇 域 眷 屬 聞 經 歡 喜 得 須 陀 洹 
T85n2780_001:0539c23	道禮佛而退嚴辨洗具　通曰。此即祇域申	道 禮 佛 而 退 嚴 辨 洗 具 通 曰 此 即 祇 域 申 
T85n2780_001:0539c24	承奉之旨也。祇域道根已來故聞經護果。然	承 奉 之 旨 也 祇 域 道 根 已 來 故 聞 經 護 果 然 
T85n2780_001:0539c25	請不虛辭故。求退嚴辨。	請 不 虛 辭 故 求 退 嚴 辨 
T85n2780_001:0539c26	經曰眾坐大小各得道跡皆共稽首作禮而去	經 曰 眾 坐 大 小 各 得 道 跡 皆 共 稽 首 作 禮 而 去 
T85n2780_001:0539c27	　通曰。請既同來。則果不獨證。故祇域見跡。	 通 曰 請 既 同 來 則 果 不 獨 證 故 祇 域 見 跡 
T85n2780_001:0539c28	爰沾大小。然聽法既竟。獲道復周。事須表肅。	爰 沾 大 小 然 聽 法 既 竟 獲 道 復 周 事 須 表 肅 
T85n2780_001:0539c29	呈恭振衣旋變故曰作禮而去也。	呈 恭 振 衣 旋 變 故 曰 作 禮 而 去 也 
T85n2780_001:0540a01	溫室經疏釋惠淨撰	溫 室 經 疏 釋 惠 淨 撰 
