X87n1620_001:0179c02	先覺宗乘	先 覺 宗 乘 
X87n1620_002:0188c01	之心。政以法不得與侍從過從。慈明於是黎明謁李	之 心 政 以 法 不 得 與 侍 從 過 從 慈 明 於 是 黎 明 謁 李 
X87n1620_002:0188c02	公。公閱謁。使童子問曰。道得即與上座相見。慈明曰。	公 公 閱 謁 使 童 子 問 曰 道 得 即 與 上 座 相 見 慈 明 曰 
X87n1620_002:0188c03	今日特來相看。又令童子曰。碑文刻白字。當道種青	今 日 特 來 相 看 又 令 童 子 曰 碑 文 刻 白 字 當 道 種 青 
X87n1620_002:0188c04	松。慈明曰。不因今日節。餘日定難逢。童又出曰。都尉	松 慈 明 曰 不 因 今 日 節 餘 日 定 難 逢 童 又 出 曰 都 尉 
X87n1620_002:0188c05	言。與麼則與上座相見去也。慈明曰。脚頭脚底。公乃	言 與 麼 則 與 上 座 相 見 去 也 慈 明 曰 脚 頭 脚 底 公 乃 
X87n1620_002:0188c06	出。坐定。問曰。我聞西河有金毛師子是否。慈明曰。甚	出 坐 定 問 曰 我 聞 西 河 有 金 毛 師 子 是 否 慈 明 曰 甚 
X87n1620_002:0188c07	麼處得者消息。公便喝。慈明曰。野干鳴。公又喝。慈明	麼 處 得 者 消 息 公 便 喝 慈 明 曰 野 干 鳴 公 又 喝 慈 明 
X87n1620_002:0188c08	曰恰是。公大笑。慈明辭。公問。如何是上座臨行一句。	曰 恰 是 公 大 笑 慈 明 辭 公 問 如 何 是 上 座 臨 行 一 句 
X87n1620_002:0188c09	慈明曰。好將息。公曰。何異諸方。慈明曰。都尉又作麼	慈 明 曰 好 將 息 公 曰 何 異 諸 方 慈 明 曰 都 尉 又 作 麼 
X87n1620_002:0188c10	生。公曰。放上座二十棒。慈明曰。專為流通。公又喝。慈	生 公 曰 放 上 座 二 十 棒 慈 明 曰 專 為 流 通 公 又 喝 慈 
X87n1620_002:0188c11	明曰瞎。公曰好去。慈明應喏喏。及還唐明。公遣兩僧	明 曰 瞎 公 曰 好 去 慈 明 應 喏 喏 及 還 唐 明 公 遣 兩 僧 
X87n1620_002:0188c12	訊之。慈明於書尾畫雙足。寫來僧名寄之。公作偈曰。	訊 之 慈 明 於 書 尾 畫 雙 足 寫 來 僧 名 寄 之 公 作 偈 曰 
X87n1620_002:0188c13	黑毫千里餘。金槨示雙趺。人天渾莫測。珍重赤鬚胡。	黑 毫 千 里 餘 金 槨 示 雙 趺 人 天 渾 莫 測 珍 重 赤 鬚 胡 
X87n1620_002:0188c14	寶元戊寅。公遣使邀慈明曰。海內法友。惟師與楊大	寶 元 戊 寅 公 遣 使 邀 慈 明 曰 海 內 法 友 惟 師 與 楊 大 
X87n1620_002:0188c15	年耳。大年棄我而先。僕年來頓覺衰落。忍死以一見。	年 耳 大 年 棄 我 而 先 僕 年 來 頓 覺 衰 落 忍 死 以 一 見 
X87n1620_002:0188c16	公仍以書抵潭帥敦遣之。慈明惻然。與侍者舟而東	公 仍 以 書 抵 潭 帥 敦 遣 之 慈 明 惻 然 與 侍 者 舟 而 東 
X87n1620_002:0188c17	下。舟中作偈曰。長江行不盡。帝里到何時。既得凉風	下 舟 中 作 偈 曰 長 江 行 不 盡 帝 里 到 何 時 既 得 凉 風 
X87n1620_002:0188c18	便。休將艣棹施。至京師。與公相會月餘。而公果沒。公	便 休 將 艣 棹 施 至 京 師 與 公 相 會 月 餘 而 公 果 沒 公 
X87n1620_002:0188c19	臨終時。膈胃躁熱。有尼道堅。謂曰。眾生見劫盡大火	臨 終 時 膈 胃 躁 熱 有 尼 道 堅 謂 曰 眾 生 見 劫 盡 大 火 
X87n1620_002:0188c20	所燒時。都尉切宜照管主人公。公曰。大師與我煎一	所 燒 時 都 尉 切 宜 照 管 主 人 公 公 曰 大 師 與 我 煎 一 
X87n1620_002:0188c21	服藥來。堅無語。公曰。這師姑藥也。不會煎得。時慈明	服 藥 來 堅 無 語 公 曰 這 師 姑 藥 也 不 會 煎 得 時 慈 明 
X87n1620_002:0188c22	來視。公畫一圓相。又作偈獻師曰。世界無依。山河匪	來 視 公 畫 一 圓 相 又 作 偈 獻 師 曰 世 界 無 依 山 河 匪 
X87n1620_002:0188c23	礙。大海微塵。須彌納芥。拈起幞頭。解下腰帶。若覔死	礙 大 海 微 塵 須 彌 納 芥 拈 起 幞 頭 解 下 腰 帶 若 覔 死 
X87n1620_002:0188c24	生。問取皮袋。慈明曰。如何是本來佛性。公曰。今日熱	生 問 取 皮 袋 慈 明 曰 如 何 是 本 來 佛 性 公 曰 今 日 熱 
X87n1620_002:0189a01	如昨日。隨聲便問。臨行一句作麼生。慈明曰。本來無	如 昨 日 隨 聲 便 問 臨 行 一 句 作 麼 生 慈 明 曰 本 來 無 
X87n1620_002:0189a02	罣礙。隨處任方圓。公曰。晚來困倦。更不答話。慈明曰。	罣 礙 隨 處 任 方 圓 公 曰 晚 來 困 倦 更 不 答 話 慈 明 曰 
X87n1620_002:0189a03	無佛處作佛。公於是泊然而逝。二廟尤留神空宗。聞	無 佛 處 作 佛 公 於 是 泊 然 而 逝 二 廟 尤 留 神 空 宗 聞 
X87n1620_002:0189a04	公化與慈明問答。嘉嘆久之。慈明哭之慟。臨壙乃別。	公 化 與 慈 明 問 答 嘉 嘆 久 之 慈 明 哭 之 慟 臨 壙 乃 別 
X87n1620_002:0189a05	宋侍郎文公楊億(嗣法廣慧璉)	宋 侍 郎 文 公 楊 億 嗣 法 廣 慧 璉 
X87n1620_002:0189a06	侍郎文公。楊億居士。字大年。幼舉神嬰。壯負才名。未	侍 郎 文 公 楊 億 居 士 字 大 年 幼 舉 神 嬰 壯 負 才 名 未 
X87n1620_002:0189a07	知有佛。一日過同僚。見讀金剛經者。且笑之。彼誦自	知 有 佛 一 日 過 同 僚 見 讀 金 剛 經 者 且 笑 之 彼 誦 自 
X87n1620_002:0189a08	若。公竊疑曰。是豈出孔孟之右乎。何侫甚。因閱數板。	若 公 竊 疑 曰 是 豈 出 孔 孟 之 右 乎 何 侫 甚 因 閱 數 板 
X87n1620_002:0189a09	懵然始少敬信。後會翰林李維。勉令參問。迨三十時。	懵 然 始 少 敬 信 後 會 翰 林 李 維 勉 令 參 問 迨 三 十 時 
X87n1620_002:0189a10	由秘書監。出守汝州。首謁廣慧。公便問。布鼓當軒擊。	由 秘 書 監 出 守 汝 州 首 謁 廣 慧 公 便 問 布 鼓 當 軒 擊 
X87n1620_002:0189a11	誰是知音者。廣慧曰。來風深辯。公曰。恁麼則禪客相	誰 是 知 音 者 廣 慧 曰 來 風 深 辯 公 曰 恁 麼 則 禪 客 相 
X87n1620_002:0189a12	逢。祇彈指也。廣慧曰。君子可入。公應喏喏。廣慧曰。草	逢 祇 彈 指 也 廣 慧 曰 君 子 可 入 公 應 喏 喏 廣 慧 曰 草 
X87n1620_002:0189a13	賊大敗。夜語次。廣慧曰。秘監曾與甚人道話來。公曰。	賊 大 敗 夜 語 次 廣 慧 曰 秘 監 曾 與 甚 人 道 話 來 公 曰 
X87n1620_002:0189a14	曾問雲巖諒監寺。兩箇大虫相咬時如何。諒曰。一合	曾 問 雲 巖 諒 監 寺 兩 箇 大 虫 相 咬 時 如 何 諒 曰 一 合 
X87n1620_002:0189a15	相。某曰。我祇管看。未審恁麼道還得麼。廣慧曰。這裏	相 某 曰 我 祇 管 看 未 審 恁 麼 道 還 得 麼 廣 慧 曰 這 裏 
X87n1620_002:0189a16	即不然。公曰。請和尚別一轉語。廣慧以手作拽鼻勢	即 不 然 公 曰 請 和 尚 別 一 轉 語 廣 慧 以 手 作 拽 鼻 勢 
X87n1620_002:0189a17	曰。這畜生更[跳兆+孛]跳在。公於言下脫然無疑。有偈曰。八	曰 這 畜 生 更 [跳兆孛] 跳 在 公 於 言 下 脫 然 無 疑 有 偈 曰 八 
X87n1620_002:0189a18	角磨盤空裡走。金毛獅子變作狗。擬欲將身北斗藏。	角 磨 盤 空 裡 走 金 毛 獅 子 變 作 狗 擬 欲 將 身 北 斗 藏 
X87n1620_002:0189a19	應須合掌南辰後。公又問。天上無彌勒。地下無彌勒。	應 須 合 掌 南 辰 後 公 又 問 天 上 無 彌 勒 地 下 無 彌 勒 
X87n1620_002:0189a20	未審在甚麼處。廣慧曰。敲磚打瓦。又問。風穴道。金沙	未 審 在 甚 麼 處 廣 慧 曰 敲 磚 打 瓦 又 問 風 穴 道 金 沙 
X87n1620_002:0189a21	灘頭馬郎婦。意旨如何。廣慧曰。更道也不及。又問。承	灘 頭 馬 郎 婦 意 旨 如 何 廣 慧 曰 更 道 也 不 及 又 問 承 
X87n1620_002:0189a22	和尚有言。一切罪業。皆因財寶所生。勸人踈於財利。	和 尚 有 言 一 切 罪 業 皆 因 財 寶 所 生 勸 人 踈 於 財 利 
X87n1620_002:0189a23	然南閻浮提眾生。以財為命。邦國以財聚人。教中有	然 南 閻 浮 提 眾 生 以 財 為 命 邦 國 以 財 聚 人 教 中 有 
X87n1620_002:0189a24	財法二施。何得勸人踈財乎。廣慧曰。幡竿尖上鐵籠	財 法 二 施 何 得 勸 人 踈 財 乎 廣 慧 曰 幡 竿 尖 上 鐵 籠 
X87n1620_002:0189b01	頭。公曰。海壇馬子似驢大。廣慧曰。楚鷄不是丹山鳳。	頭 公 曰 海 壇 馬 子 似 驢 大 廣 慧 曰 楚 鷄 不 是 丹 山 鳳 
X87n1620_002:0189b02	公曰。佛滅二千歲。比丘少慚愧。公置一百問請答。廣	公 曰 佛 滅 二 千 歲 比 丘 少 慚 愧 公 置 一 百 問 請 答 廣 
X87n1620_002:0189b03	慧一一答回。詳在洞山聰禪師語要中。慈明依唐明	慧 一 一 答 回 詳 在 洞 山 聰 禪 師 語 要 中 慈 明 依 唐 明 
X87n1620_002:0189b04	嵩禪師。嵩謂慈明曰。楊大年內翰。知見高。入道穩。實	嵩 禪 師 嵩 謂 慈 明 曰 楊 大 年 內 翰 知 見 高 入 道 穩 實 
X87n1620_002:0189b05	子不可不見。慈明乃往見大年。公問曰。對面不相識。	子 不 可 不 見 慈 明 乃 往 見 大 年 公 問 曰 對 面 不 相 識 
X87n1620_002:0189b06	千里却同風。慈明曰。近奉山門請。公曰。真箇脫空。慈	千 里 却 同 風 慈 明 曰 近 奉 山 門 請 公 曰 真 箇 脫 空 慈 
X87n1620_002:0189b07	明曰。前月離唐明。公曰。適來悔相問。慈明曰作家。公	明 曰 前 月 離 唐 明 公 曰 適 來 悔 相 問 慈 明 曰 作 家 公 
X87n1620_002:0189b08	便喝。慈明曰却是。公復喝。慈明以手劃一劃。公吐舌	便 喝 慈 明 曰 却 是 公 復 喝 慈 明 以 手 劃 一 劃 公 吐 舌 
X87n1620_002:0189b09	曰。真是龍象。慈明曰。是何言歟。公喚客司點茶。元來	曰 真 是 龍 象 慈 明 曰 是 何 言 歟 公 喚 客 司 點 茶 元 來 
X87n1620_002:0189b10	是屋裡人。慈明曰。也不消得茶罷。又問。如何是上座	是 屋 裡 人 慈 明 曰 也 不 消 得 茶 罷 又 問 如 何 是 上 座 
X87n1620_002:0189b11	為人一句。慈明曰切。公曰。與麼則長裙新婦拖泥走。	為 人 一 句 慈 明 曰 切 公 曰 與 麼 則 長 裙 新 婦 拖 泥 走 
X87n1620_002:0189b12	慈明曰。誰得似內翰。公曰。作家作家。慈明曰。放你二	慈 明 曰 誰 得 似 內 翰 公 曰 作 家 作 家 慈 明 曰 放 你 二 
X87n1620_002:0189b13	十棒。公拊膝曰。這裡是甚麼所在。慈明拍掌曰。也不	十 棒 公 拊 膝 曰 這 裡 是 甚 麼 所 在 慈 明 拍 掌 曰 也 不 
X87n1620_002:0189b14	得放過。又問。記得唐明當時悟底因緣麼。慈明曰。唐	得 放 過 又 問 記 得 唐 明 當 時 悟 底 因 緣 麼 慈 明 曰 唐 
X87n1620_002:0189b15	明問首山。如何是佛法的的大意。首山曰。楚王城畔。	明 問 首 山 如 何 是 佛 法 的 的 大 意 首 山 曰 楚 王 城 畔 
X87n1620_002:0189b16	汝水東流。公曰。祇如此語意旨如何。慈明曰。水上挂	汝 水 東 流 公 曰 祇 如 此 語 意 旨 如 何 慈 明 曰 水 上 挂 
X87n1620_002:0189b17	燈毬。公曰。與麼則孤負古人去也。慈明曰。內翰疑則	燈 毬 公 曰 與 麼 則 孤 負 古 人 去 也 慈 明 曰 內 翰 疑 則 
X87n1620_002:0189b18	別參。公曰。三脚蝦蟆跳上天。慈明曰。一任[跳兆+孛]跳。公乃	別 參 公 曰 三 脚 蝦 蟆 跳 上 天 慈 明 曰 一 任 [跳兆孛] 跳 公 乃 
X87n1620_002:0189b19	舘于齋中。日夕質疑。恨見之晚。久之慈明辭還河東。	舘 于 齋 中 日 夕 質 疑 恨 見 之 晚 久 之 慈 明 辭 還 河 東 
X87n1620_002:0189b20	公曰。有一語寄與唐明得麼。慈明曰。明月照見夜行	公 曰 有 一 語 寄 與 唐 明 得 麼 慈 明 曰 明 月 照 見 夜 行 
X87n1620_002:0189b21	人。公曰。却不相當。慈明曰。更深猶自可。午後更愁人。	人 公 曰 却 不 相 當 慈 明 曰 更 深 猶 自 可 午 後 更 愁 人 
X87n1620_002:0189b22	公曰。開寶寺前金剛。近日因甚麼汗出。慈明曰知。公	公 曰 開 寶 寺 前 金 剛 近 日 因 甚 麼 汗 出 慈 明 曰 知 公 
X87n1620_002:0189b23	曰。上座臨行。豈無為人底句。慈明曰。重疊關山路。公	曰 上 座 臨 行 豈 無 為 人 底 句 慈 明 曰 重 疊 關 山 路 公 
X87n1620_002:0189b24	曰。與麼則隨上座去也。慈明噓一聲。公曰。真師子兒。	曰 與 麼 則 隨 上 座 去 也 慈 明 噓 一 聲 公 曰 真 師 子 兒 
X87n1620_002:0189c01	大師子吼。慈明曰。放去又收來。公曰。適來失脚踏倒。	大 師 子 吼 慈 明 曰 放 去 又 收 來 公 曰 適 來 失 脚 踏 倒 
X87n1620_002:0189c02	又得家童扶起。慈明曰。有甚麼了期。公笑。甞問鹿門	又 得 家 童 扶 起 慈 明 曰 有 甚 麼 了 期 公 笑 甞 問 鹿 門 
X87n1620_002:0189c03	昭山主曰。入山不畏虎。當路却防人時如何。昭曰。君	昭 山 主 曰 入 山 不 畏 虎 當 路 却 防 人 時 如 何 昭 曰 君 
X87n1620_002:0189c04	子坦蕩蕩。又問李都尉曰。釋迦六年苦行。成得甚麼	子 坦 蕩 蕩 又 問 李 都 尉 曰 釋 迦 六 年 苦 行 成 得 甚 麼 
X87n1620_002:0189c05	事。都尉曰。擔折知柴重。又與都尉唐明廣慧汾陽問	事 都 尉 曰 擔 折 知 柴 重 又 與 都 尉 唐 明 廣 慧 汾 陽 問 
X87n1620_002:0189c06	答次。都尉曰。彌陀演化於西方。達磨傳心於東土。胡	答 次 都 尉 曰 彌 陀 演 化 於 西 方 達 磨 傳 心 於 東 土 胡 
X87n1620_002:0189c07	來漢現水到渠成。五嶽鎮靜以崢嶸。百谷朝宗而浩	來 漢 現 水 到 渠 成 五 嶽 鎮 靜 以 崢 嶸 百 谷 朝 宗 而 浩 
X87n1620_002:0189c08	渺。一靈之性。託境現形。三有之中。憑何立命。慈明曰。	渺 一 靈 之 性 託 境 現 形 三 有 之 中 憑 何 立 命 慈 明 曰 
X87n1620_002:0189c09	仙人無婦。玉女無夫。公曰。尼剃頭不復生子。慈明曰。	仙 人 無 婦 玉 女 無 夫 公 曰 尼 剃 頭 不 復 生 子 慈 明 曰 
X87n1620_002:0189c10	陝府銕牛能哮吼。嘉州大象念摩訶。都尉曰。側跳上	陝 府 銕 牛 能 哮 吼 嘉 州 大 象 念 摩 訶 都 尉 曰 側 跳 上 
X87n1620_002:0189c11	山巔。慈明曰。騎牛不著靴。(元叟端云。大小唐明。墻壍不堅。扄鐍不固。致令他俗	山 巔 慈 明 曰 騎 牛 不 著 靴 元 叟 端 云 大 小 唐 明 墻 壍 不 堅 扄 鐍 不 固 致 令 他 俗 
X87n1620_002:0189c12	人。有入室操戈之舉。是你諸人。且作麼生會。擊拂子云。白鷺下田千點雪。黃鸝上樹一枝花)廣慧	人 有 入 室 操 戈 之 舉 是 你 諸 人 且 作 麼 生 會 擊 拂 子 云 白 鷺 下 田 千 點 雪 黃 鸝 上 樹 一 枝 花 廣 慧 
X87n1620_002:0189c13	曰。進象倒戈。汾陽曰。端身裂面破。問玄沙不出嶺。保	曰 進 象 倒 戈 汾 陽 曰 端 身 裂 面 破 問 玄 沙 不 出 嶺 保 
X87n1620_002:0189c14	福不渡河。善財參知識五十三員。慧遠結黑白一十	福 不 渡 河 善 財 參 知 識 五 十 三 員 慧 遠 結 黑 白 一 十 
X87n1620_002:0189c15	八士。雪峰三度上投子。智者九旬講法華。這六箇漢。	八 士 雪 峰 三 度 上 投 子 智 者 九 旬 講 法 華 這 六 箇 漢 
X87n1620_002:0189c16	為復野干鳴。為復師子吼。速道速道。慈明曰。水急魚	為 復 野 干 鳴 為 復 師 子 吼 速 道 速 道 慈 明 曰 水 急 魚 
X87n1620_002:0189c17	行澁。峰高鳥不棲。公曰。泗州大聖。慈明曰。土上加泥	行 澁 峰 高 鳥 不 棲 公 曰 泗 州 大 聖 慈 明 曰 土 上 加 泥 
X87n1620_002:0189c18	更一重。都尉曰。舌上覆金錢。明曰。半夜款樂動。誰人	更 一 重 都 尉 曰 舌 上 覆 金 錢 明 曰 半 夜 款 樂 動 誰 人 
X87n1620_002:0189c19	得知音。慧曰。歌謠滿路人皆望。汾陽曰。看壁畫人咲。	得 知 音 慧 曰 歌 謠 滿 路 人 皆 望 汾 陽 曰 看 壁 畫 人 咲 
X87n1620_002:0189c20	問風穴提印。南院傳衣。昭公演化於西河。嵩師領徒	問 風 穴 提 印 南 院 傳 衣 昭 公 演 化 於 西 河 嵩 師 領 徒 
X87n1620_002:0189c21	於并壘。南宗之旨。北土大興。且道二師承誰恩力。慈	於 并 壘 南 宗 之 旨 北 土 大 興 且 道 二 師 承 誰 恩 力 慈 
X87n1620_002:0189c22	明曰。不入蓮池浴。懶向雪山遊。公曰。清凉山裡萬菩	明 曰 不 入 蓮 池 浴 懶 向 雪 山 遊 公 曰 清 凉 山 裡 萬 菩 
X87n1620_002:0189c23	薩。慈明曰。維摩會中諸聖集。都尉曰。背負乾薪遭野	薩 慈 明 曰 維 摩 會 中 諸 聖 集 都 尉 曰 背 負 乾 薪 遭 野 
X87n1620_002:0189c24	火。慈明曰。口是禍門。廣慧曰。藏頭白。海頭黑。汾陽曰。	火 慈 明 曰 口 是 禍 門 廣 慧 曰 藏 頭 白 海 頭 黑 汾 陽 曰 
X87n1620_002:0190a01	告天手捺地噓噓問。忉利透日月之上。四禪無風火	告 天 手 捺 地 噓 噓 問 忉 利 透 日 月 之 上 四 禪 無 風 火 
X87n1620_002:0190a02	之災。三交駕銕牛之車。臨汝握全提之印。獼猴有一	之 災 三 交 駕 銕 牛 之 車 臨 汝 握 全 提 之 印 獼 猴 有 一 
X87n1620_002:0190a03	面古鏡。狸奴有萬里神光。直下承當。是何人也。慈明	面 古 鏡 狸 奴 有 萬 里 神 光 直 下 承 當 是 何 人 也 慈 明 
X87n1620_002:0190a04	曰。朝看東南。暮看西北。公曰。狸奴白牯却知有。慈明	曰 朝 看 東 南 暮 看 西 北 公 曰 狸 奴 白 牯 却 知 有 慈 明 
X87n1620_002:0190a05	曰。淹殺家頭蒿。都尉曰。月裡煑油鐺。慈明曰。石人腰	曰 淹 殺 家 頭 蒿 都 尉 曰 月 裡 煑 油 鐺 慈 明 曰 石 人 腰 
X87n1620_002:0190a06	帶。廣慧曰。陳蒲鞋周金剛。汾陽曰。直裰又縫胡釘鉸。	帶 廣 慧 曰 陳 蒲 鞋 周 金 剛 汾 陽 曰 直 裰 又 縫 胡 釘 鉸 
X87n1620_002:0190a07	問一切諸佛盡在裡許。動即喪身失命。覷著兩頭俱	問 一切諸佛 盡 在 裡 許 動 即 喪 身 失 命 覷 著 兩 頭 俱 
X87n1620_002:0190a08	瞎。擬議之時。千山萬水。直下會得也。是炭庫裡坐地。	瞎 擬 議 之 時 千 山 萬 水 直 下 會 得 也 是 炭 庫 裡 坐 地 
X87n1620_002:0190a09	有不惜眉毛者。通箇消息來。慈明曰。百雜碎。公曰。平	有 不 惜 眉 毛 者 通 箇 消 息 來 慈 明 曰 百 雜 碎 公 曰 平 
X87n1620_002:0190a10	生不妄語。慈明曰。也要道過。都尉曰。出穴兔遭罥。慈	生 不 妄 語 慈 明 曰 也 要 道 過 都 尉 曰 出 穴 兔 遭 罥 慈 
X87n1620_002:0190a11	明曰。東西無滯礙。南北得自由。廣慧曰。振錫下犁泥。	明 曰 東 西 無 滯 礙 南 北 得 自 由 廣 慧 曰 振 錫 下 犁 泥 
X87n1620_002:0190a12	汾陽曰。穿山透石壁。鼻孔血淋淋。慈明復有頌曰。一	汾 陽 曰 穿 山 透 石 壁 鼻 孔 血 淋 淋 慈 明 復 有 頌 曰 一 
X87n1620_002:0190a13	言纔出徹龍庭。攪動須彌帝釋驚。三世諸佛齊坐了。	言 纔 出 徹 龍 庭 攪 動 須 彌 帝 釋 驚 三世諸佛 齊 坐 了 
X87n1620_002:0190a14	杖頭傀儡弄雙睛。公答曰。今年桃李味甘香。一顆千	杖 頭 傀 儡 弄 雙 睛 公 答 曰 今 年 桃 李 味 甘 香 一 顆 千 
X87n1620_002:0190a15	金買得甞。貯藥胡盧拖鼠味。穴門小窄轉難藏。五臺	金 買 得 甞 貯 藥 胡 盧 拖 鼠 味 穴 門 小 窄 轉 難 藏 五 臺 
X87n1620_002:0190a16	山裡有文殊。羅漢天台洞內居。為問子湖一隻狗。何	山 裡 有 文 殊 羅 漢 天 台 洞 內 居 為 問 子 湖 一 隻 狗 何 
X87n1620_002:0190a17	如普化一頭驢。再答曰。蜘蛛網中坐虫兒。不敢過昨	如 普 化 一 頭 驢 再 答 曰 蜘 蛛 網 中 坐 虫 兒 不 敢 過 昨 
X87n1620_002:0190a18	夜三尺雪。百鳥盡遭饑。果熟樹低垂。鵞肥甑箄破。借	夜 三 尺 雪 百 鳥 盡 遭 饑 果 熟 樹 低 垂 鵞 肥 甑 箄 破 借 
X87n1620_002:0190a19	問末山尼。何如劉銕磨。慈明又作宗本頌。左顧右覷。	問 末 山 尼 何 如 劉 銕 磨 慈 明 又 作 宗 本 頌 左 顧 右 覷 
X87n1620_002:0190a20	黃昏莾鹵。展手回來。早是彰露。且道作麼生。是彰露	黃 昏 莾 鹵 展 手 回 來 早 是 彰 露 且 道 作 麼 生 是 彰 露 
X87n1620_002:0190a21	底句。公曰。正殺人時[奴/目]出頭。慈明曰。兩脚捎空手叉	底 句 公 曰 正 殺 人 時 [奴目] 出 頭 慈 明 曰 兩 脚 捎 空 手 叉 
X87n1620_002:0190a22	胷。都尉曰。左鬚右髮隱文章。慈明曰。維摩一默。文殊	胷 都 尉 曰 左 鬚 右 髮 隱 文 章 慈 明 曰 維 摩 一 默 文 殊 
X87n1620_002:0190a23	贊善。若遇老僧在彼。各與三十棒。且道這二老漢。過	贊 善 若 遇 老 僧 在 彼 各 與 三 十 棒 且 道 這 二 老 漢 過 
X87n1620_002:0190a24	在甚麼處。公曰。頭破作七分。如阿梨樹枝。慈明曰。迦	在 甚 麼 處 公 曰 頭 破 作 七 分 如 阿 梨 樹 枝 慈 明 曰 迦 
X87n1620_002:0190b01	葉不擎拳。阿難不合掌。都尉曰。似犢牛兒未用角時。	葉 不 擎 拳 阿 難 不 合 掌 都 尉 曰 似 犢 牛 兒 未 用 角 時 
X87n1620_002:0190b02	慈明曰。忙屈拳打令。又曰。教有明文。佛身充滿于法	慈 明 曰 忙 屈 拳 打 令 又 曰 教 有 明 文 佛 身 充 滿 于 法 
X87n1620_002:0190b03	界。老僧今日充滿于法界。侍郎即今在甚麼處。公曰。	界 老 僧 今 日 充 滿 于 法 界 侍 郎 即 今 在 甚 麼 處 公 曰 
X87n1620_002:0190b04	布裙一截泥。努出膝葢子。慈明曰。寬口布袴三尺杖。	布 裙 一 截 泥 努 出 膝 葢 子 慈 明 曰 寬 口 布 袴 三 尺 杖 
X87n1620_002:0190b05	都尉曰。河水一擔直三文。慈明曰。只見鼻頭寬。不見	都 尉 曰 河 水 一 擔 直 三 文 慈 明 曰 只 見 鼻 頭 寬 不 見 
X87n1620_002:0190b06	頂後濕。葢庶幾龍象蹴踏。信非驢所堪矣。公因微恙。	頂 後 濕 葢 庶 幾 龍 象 蹴 踏 信 非 驢 所 堪 矣 公 因 微 恙 
X87n1620_002:0190b07	問環大師曰。某今日忽違和。大師慈悲。如何醫療。環	問 環 大 師 曰 某 今 日 忽 違 和 大 師 慈 悲 如 何 醫 療 環 
X87n1620_002:0190b08	曰。丁香湯一盌。公便作吐勢。環曰。恩愛成煩惱。環為	曰 丁 香 湯 一 盌 公 便 作 吐 勢 環 曰 恩 愛 成 煩 惱 環 為 
X87n1620_002:0190b09	煎藥次。公呌曰有賊。環下藥於公前。叉手側立。公瞠	煎 藥 次 公 呌 曰 有 賊 環 下 藥 於 公 前 叉 手 側 立 公 瞠 
X87n1620_002:0190b10	目眎之曰。少叢林漢。環拂袖而出。又一日問曰。某四	目 眎 之 曰 少 叢 林 漢 環 拂 袖 而 出 又 一 日 問 曰 某 四 
X87n1620_002:0190b11	大將欲離散。大師如何相救。環乃槌胷三下。公曰。賴	大 將 欲 離 散 大 師 如 何 相 救 環 乃 槌 胷 三 下 公 曰 賴 
X87n1620_002:0190b12	遇作家。環曰。幾年學佛法。俗氣猶未除。公曰。禍不單	遇 作 家 環 曰 幾 年 學 佛 法 俗 氣 猶 未 除 公 曰 禍 不 單 
X87n1620_002:0190b13	行。環作噓噓聲。公書偈。遺李都尉曰。漚生與漚滅。二	行 環 作 噓 噓 聲 公 書 偈 遺 李 都 尉 曰 漚 生 與 漚 滅 二 
X87n1620_002:0190b14	法本來齊。欲識真歸處。趙州東院西。都尉見。遂曰。泰	法 本 來 齊 欲 識 真 歸 處 趙 州 東 院 西 都 尉 見 遂 曰 泰 
X87n1620_002:0190b15	山廟裡賣紙錢。都尉即至。公已逝矣。公修景德傳燈	山 廟 裡 賣 紙 錢 都 尉 即 至 公 已 逝 矣 公 修 景 德 傳 燈 
X87n1620_002:0190b16	錄。入大藏流通於世。	錄 入 大 藏 流 通 於 世 
X87n1620_002:0190b17	宋侍郎楊傑(嗣法天衣懷)	宋 侍 郎 楊 傑 嗣 法 天 衣 懷 
X87n1620_002:0190b18	楊傑。字次公。無為人也。宋元祐中。為侍郎。自號無為	楊 傑 字 次 公 無 為 人 也 宋 元 祐 中 為 侍 郎 自 號 無 為 
X87n1620_002:0190b19	子。公歷參諸名宿。晚從天衣游。天衣每引龐居士機	子 公 歷 參 諸 名 宿 晚 從 天 衣 游 天 衣 每 引 龐 居 士 機 
X87n1620_002:0190b20	語。令研究深造。後奉祠泰山。一日聞鷄鳴。睹日如盤	語 令 研 究 深 造 後 奉 祠 泰 山 一 日 聞 鷄 鳴 睹 日 如 盤 
X87n1620_002:0190b21	湧。忽大悟。遂別。有男不婚有女不嫁之偈曰。男大須	湧 忽 大 悟 遂 別 有 男 不 婚 有 女 不 嫁 之 偈 曰 男 大 須 
X87n1620_002:0190b22	婚。女大須嫁。討甚閒工夫。更說無生話。書以寄天衣。	婚 女 大 須 嫁 討 甚 閒 工 夫 更 說 無 生 話 書 以 寄 天 衣 
X87n1620_002:0190b23	天衣稱善。時海印信禪師見之。亦有偈曰。我無男婚。	天 衣 稱 善 時 海 印 信 禪 師 見 之 亦 有 偈 曰 我 無 男 婚 
X87n1620_002:0190b24	亦無女嫁。困來便打眠。誰管無生話。其亙相提唱爾	亦 無 女 嫁 困 來 便 打 眠 誰 管 無 生 話 其 亙 相 提 唱 爾 
