T30n1569_001:0167c11	百論序	百 論 序 
T30n1569_001:0171b13	中住。不在有牛中。是故雖人牛合有牛不	中 住 不 在 有 牛 中 是 故 雖 人 牛 合 有 牛 不 
T30n1569_001:0171b14	作牛。但牛為牛。如是雖神知合。知相知中	作 牛 但 牛 為 牛 如 是 雖 神 知 合 知 相 知 中 
T30n1569_001:0171b15	住。神不為知。汝言神情意塵合故知生。是	住 神 不 為 知 汝 言 神 情 意 塵 合 故 知 生 是 
T30n1569_001:0171b16	知知色塵等。是故但知能知非神知。譬如	知 知 色 塵 等 是 故 但 知 能 知 非 神 知 譬 如 
T30n1569_001:0171b17	火能燒。非有火人燒。外曰。能用法故(修妬路)。人	火 能 燒 非 有 火 人 燒 外 曰 能 用 法 故 修 妬 路 人 
T30n1569_001:0171b18	雖有見相用燈則見離燈則不見。神雖有	雖 有 見 相 用 燈 則 見 離 燈 則 不 見 神 雖 有 
T30n1569_001:0171b19	能知用知則知離知則不知。內曰。不然。知	能 知 用 知 則 知 離 知 則 不 知 內 曰 不 然 知 
T30n1569_001:0171b20	即能知故(修妬路)。以情意塵合故知生。是知能	即 能 知 故 修 妬 路 以 情 意 塵 合 故 知 生 是 知 能 
T30n1569_001:0171b21	知色等諸塵。是故知即能知非是所用。若知	知 色 等 諸 塵 是 故 知 即 能 知 非 是 所 用 若 知 
T30n1569_001:0171b22	即能知。神復何用。燈喻非也。何以故。燈不	即 能 知 神 復 何 用 燈 喻 非 也 何 以 故 燈 不 
T30n1569_001:0171b23	知色等故(修妬路)。燈雖先有。不能知色等。非	知 色 等 故 修 妬 路 燈 雖 先 有 不 能 知 色 等 非 
T30n1569_001:0171b24	知法故。是故但知能知色。若不能知。不名	知 法 故 是 故 但 知 能 知 色 若 不 能 知 不 名 
T30n1569_001:0171b25	為知。是故縱有能知。彼能何用。外曰。馬身	為 知 是 故 縱 有 能 知 彼 能 何 用 外 曰 馬 身 
T30n1569_001:0171b26	合故神為馬(修妬路)。譬如神與馬身合故。神名	合 故 神 為 馬 修 妬 路 譬 如 神 與 馬 身 合 故 神 名 
T30n1569_001:0171b27	為馬。神雖異身。亦名神為馬。如是神知	為 馬 神 雖 異 身 亦 名 神 為 馬 如 是 神 知 
T30n1569_001:0171b28	合故神名為知。內曰。不然。身中神非馬	合 故 神 名 為 知 內 曰 不 然 身 中 神 非 馬 
T30n1569_001:0171b29	(修妬路)。馬身即馬也。汝謂身與神異。則神與馬	 修 妬 路 馬 身 即 馬 也 汝 謂 身 與 神 異 則 神 與 馬 
T30n1569_001:0171c01	異。云何以神為馬。是故此喻非也。以神喻	異 云 何 以 神 為 馬 是 故 此 喻 非 也 以 神 喻 
T30n1569_001:0171c02	神。則墮負處。外曰。如黑疊(修妬路)。譬如黑	神 則 墮 負 處 外 曰 如 黑 疊 修 妬 路 譬 如 黑 
T30n1569_001:0171c03	疊。黑雖異疊。疊與黑合故名為黑疊。如是	疊 黑 雖 異 疊 疊 與 黑 合 故 名 為 黑 疊 如 是 
T30n1569_001:0171c04	知雖異神神與知合故神名為知。內曰。若	知 雖 異 神 神 與 知 合 故 神 名 為 知 內 曰 若 
T30n1569_001:0171c05	爾無神(修妬路)。若神與知合故神名為知。神應	爾 無 神 修 妬 路 若 神 與 知 合 故 神 名 為 知 神 應 
T30n1569_001:0171c06	非神。何以故。我先說知即是能知。若知不名	非 神 何 以 故 我 先 說 知 即 是 能 知 若 知 不 名 
T30n1569_001:0171c07	神。神亦不名能知。若他合故以他為名者。	神 神 亦 不 名 能 知 若 他 合 故 以 他 為 名 者 
T30n1569_001:0171c08	知與神合何不名知為神。又如先說黑疊	知 與 神 合 何 不 名 知 為 神 又 如 先 說 黑 疊 
T30n1569_001:0171c09	喻者。自違汝經。汝經黑是求那。疊是陀羅	喻 者 自 違 汝 經 汝 經 黑 是 求 那 疊 是 陀 羅 
T30n1569_001:0171c10	驃。陀羅驃不作求那。求那不作陀羅驃。外	驃 陀 羅 驃 不 作 求 那 求 那 不 作 陀 羅 驃 外 
T30n1569_001:0171c11	曰。如有杖(修妬路)。譬如人與杖合故人名有	曰 如 有 杖 修 妬 路 譬 如 人 與 杖 合 故 人 名 有 
T30n1569_001:0171c12	杖。不但名杖。杖雖與人合。杖不名有人。	杖 不 但 名 杖 杖 雖 與 人 合 杖 不 名 有 人 
T30n1569_001:0171c13	亦不名人。如是神與知合故神名能知。不	亦 不 名 人 如 是 神 與 知 合 故 神 名 能 知 不 
T30n1569_001:0171c14	但名知。亦非是知。與神合故。知名為神。	但 名 知 亦 非 是 知 與 神 合 故 知 名 為 神 
T30n1569_001:0171c15	內曰。不然。有杖非杖(修妬路)。雖杖與有杖合	內 曰 不 然 有 杖 非 杖 修 妬 路 雖 杖 與 有 杖 合 
T30n1569_001:0171c16	有杖不為杖。如是知相知中非神中。是故	有 杖 不 為 杖 如 是 知 相 知 中 非 神 中 是 故 
T30n1569_001:0171c17	神非能知。外曰。僧佉人復言。若知與神異。	神 非 能 知 外 曰 僧 佉 人 復 言 若 知 與 神 異 
T30n1569_001:0171c18	有如上過。我經中無如是過。所以者何。覺	有 如 上 過 我 經 中 無 如 是 過 所以者何 覺 
T30n1569_001:0171c19	即神相故。我以覺相為神。是故常覺無不	即 神 相 故 我 以 覺 相 為 神 是 故 常 覺 無 不 
T30n1569_001:0171c20	覺。內曰。雖已先破。今當更說。若覺相神	覺 內 曰 雖 已 先 破 今 當 更 說 若 覺 相 神 
T30n1569_001:0171c21	不一(修妬路)。覺有種種苦樂覺等。若覺是神相。	不 一 修 妬 路 覺 有 種 種 苦 樂 覺 等 若 覺 是 神 相 
T30n1569_001:0171c22	神應種種。外曰。不然。一為種種相。如頗	神 應 種 種 外 曰 不 然 一 為 種 種 相 如 頗 
T30n1569_001:0171c23	梨(修妬路)。如一頗梨珠隨色而變。或青黃赤白	梨 修 妬 路 如 一 頗 梨 珠 隨 色 而 變 或 青 黃 赤 白 
T30n1569_001:0171c24	等。如是一覺。隨塵別異。或覺苦或覺樂等	等 如 是 一 覺 隨 塵 別 異 或 覺 苦 或 覺 樂 等 
T30n1569_001:0171c25	覺雖種種相。實是一覺。內曰。若爾罪福一相	覺 雖 種 種 相 實 是 一 覺 內 曰 若 爾 罪 福 一 相 
T30n1569_001:0171c26	(修妬路)。若益他覺是名福。若損他覺是名罪。一	 修 妬 路 若 益 他 覺 是 名 福 若 損 他 覺 是 名 罪 一 
T30n1569_001:0171c27	切慧人心信是法。若益他覺損他覺是一	切 慧 人 心 信 是 法 若 益 他 覺 損 他 覺 是 一 
T30n1569_001:0171c28	者。應罪福一相。如施盜等亦應一。復次如	者 應 罪 福 一 相 如 施 盜 等 亦 應 一 復 次 如 
T30n1569_001:0171c29	珠。先有隨色而變。然覺共緣生。是故汝	珠 先 有 隨 色 而 變 然 覺 共 緣 生 是 故 汝 
T30n1569_001:0172a01	喻非也。復次珠新新生滅故。相則不一。汝	喻 非 也 復 次 珠 新 新 生 滅 故 相 則 不 一 汝 
T30n1569_001:0172a02	言珠一者。是亦非也。外曰。不然。果雖多作	言 珠 一 者 是 亦 非 也 外 曰 不 然 果 雖 多 作 
T30n1569_001:0172a03	者一。如陶師(修妬路)。如一陶師作瓶瓫等。非	者 一 如 陶 師 修 妬 路 如 一 陶 師 作 瓶 瓫 等 非 
T30n1569_001:0172a04	作者一故果便一也。如是一覺能作損益	作 者 一 故 果 便 一 也 如 是 一 覺 能 作 損 益 
T30n1569_001:0172a05	等業。內曰。陶師無別異(修妬路)。譬如陶師身一	等 業 內 曰 陶 師 無 別 異 修 妬 路 譬 如 陶 師 身 一 
T30n1569_001:0172a06	無異相。而與瓶瓫等異。然益他覺損他覺。	無 異 相 而 與 瓶 瓫 等 異 然 益 他 覺 損 他 覺 
T30n1569_001:0172a07	實有異相。又損益等與覺不異。是故汝喻	實 有 異 相 又 損 益 等 與 覺 不 異 是 故 汝 喻 
T30n1569_001:0172a08	非也。外曰。實有神。比知相故(修妬路)。有物雖	非 也 外 曰 實 有 神 比 知 相 故 修 妬 路 有 物 雖 
T30n1569_001:0172a09	不可現知。以比相故知。如見人先去然	不 可 現 知 以 比 相 故 知 如 見 人 先 去 然 
T30n1569_001:0172a10	後到彼。日月東出西沒。雖不見去。以到	後 到 彼 日 月 東 出 西 沒 雖 不 見 去 以 到 
T30n1569_001:0172a11	彼故知去。如是見諸求那依陀羅驃。以	彼 故 知 去 如 是 見 諸 求 那 依 陀 羅 驃 以 
T30n1569_001:0172a12	比知相故知有神。神知合故。神名能知。內	比 知 相 故 知 有 神 神 知 合 故 神 名 能 知 內 
T30n1569_001:0172a13	曰。是事先已破。今當更說。不知非神(修妬路)。汝	曰 是 事 先 已 破 今 當 更 說 不 知 非 神 修 妬 路 汝 
T30n1569_001:0172a14	法神遍廣大而知少。若神知者。有處有時不	法 神 遍 廣 大 而 知 少 若 神 知 者 有 處 有 時 不 
T30n1569_001:0172a15	知。是則非神。有處名身外。有時名身內。睡	知 是 則 非 神 有 處 名 身 外 有 時 名 身 內 睡 
T30n1569_001:0172a16	眠悶等是時不知。若神知相有處有時不知。	眠 悶 等 是 時 不 知 若 神 知 相 有 處 有 時 不 知 
T30n1569_001:0172a17	是則非神。何以故。無知相故。汝以知相有	是 則 非 神 何 以 故 無 知 相 故 汝 以 知 相 有 
T30n1569_001:0172a18	神者。空無實也。外曰。行無故知無如煙	神 者 空 無 實 也 外 曰 行 無 故 知 無 如 煙 
T30n1569_001:0172a19	(修妬路)。如煙是火相。炭時無煙。是時雖無煙而	 修 妬 路 如 煙 是 火 相 炭 時 無 煙 是 時 雖 無 煙 而 
T30n1569_001:0172a20	有火。如是知雖神相。若有知。若無知。神	有 火 如 是 知 雖 神 相 若 有 知 若 無 知 神 
T30n1569_001:0172a21	應常有。內曰。不然。神能知故(修妬路)。若不知時。	應 常 有 內 曰 不 然 神 能 知 故 修 妬 路 若 不 知 時 
T30n1569_001:0172a22	欲令有神者。神則不能知。亦無知相。所以	欲 令 有 神 者 神 則 不 能 知 亦 無 知 相 所 以 
T30n1569_001:0172a23	者何。汝神無知時亦有神故。復次若無煙	者 何 汝 神 無 知 時 亦 有 神 故 復 次 若 無 煙 
T30n1569_001:0172a24	時。現見有火知有火。神若有知。若無知	時 現 見 有 火 知 有 火 神 若 有 知 若 無 知 
T30n1569_001:0172a25	無能見者。是故汝喻非也。復次汝說見共	無 能 見 者 是 故 汝 喻 非 也 復 次 汝 說 見 共 
T30n1569_001:0172a26	相比知故有神。此亦非也。所以者何。見去	相 比 知 故 有 神 此 亦 非 也 所以者何 見 去 
T30n1569_001:0172a27	者去法到彼故(修妬路)。若離去者無去法。離	者 去 法 到 彼 故 修 妬 路 若 離 去 者 無 去 法 離 
T30n1569_001:0172a28	去法無去者。到彼如是見去者曰到彼必	去 法 無 去 者 到 彼 如 是 見 去 者 曰 到 彼 必 
T30n1569_001:0172a29	知有去法。若離神無知。是事不然。是故不	知 有 去 法 若 離 神 無 知 是 事 不 然 是 故 不 
T30n1569_001:0172b01	應以知故知有神。不可見龜而有毛想。	應 以 知 故 知 有 神 不 可 見 龜 而 有 毛 想 
T30n1569_001:0172b02	不可見石女而有兒想。如是不應見知	不 可 見 石 女 而 有 兒 想 如 是 不 應 見 知 
T30n1569_001:0172b03	便有神想。外曰。如手取(修妬路)。如手有時取。	便 有 神 想 外 曰 如 手 取 修 妬 路 如 手 有 時 取 
T30n1569_001:0172b04	有時不取。不可以不取時不名為手。手	有 時 不 取 不 可 以 不 取 時 不 名 為 手 手 
T30n1569_001:0172b05	常名手。神亦如是。有時知。有時不知。不可	常 名 手 神 亦 如 是 有 時 知 有 時 不 知 不 可 
T30n1569_001:0172b06	以不知時不名為神。神常名神。內曰。取	以 不 知 時 不 名 為 神 神 常 名 神 內 曰 取 
T30n1569_001:0172b07	非手相(修妬路)。取是手業非手相。何以故。不以	非 手 相 修 妬 路 取 是 手 業 非 手 相 何 以 故 不 以 
T30n1569_001:0172b08	取故知為手。汝以知即神相。此喻非也。外	取 故 知 為 手 汝 以 知 即 神 相 此 喻 非 也 外 
T30n1569_001:0172b09	曰。定有神。覺苦樂故(修妬路)。若無覺者。則無	曰 定 有 神 覺 苦 樂 故 修 妬 路 若 無 覺 者 則 無 
T30n1569_001:0172b10	覺身獨。不能覺苦樂。何以故。死人有身。	覺 身 獨 不 能 覺 苦 樂 何 以 故 死 人 有 身 
T30n1569_001:0172b11	不能覺苦樂。如是知有身者。能覺苦樂。	不 能 覺 苦 樂 如 是 知 有 身 者 能 覺 苦 樂 
T30n1569_001:0172b12	此則為神。是故定有神。內曰。若惱亦斷(修妬路)。	此 則 為 神 是 故 定 有 神 內 曰 若 惱 亦 斷 修 妬 路 
T30n1569_001:0172b13	如刀害身。是時生惱。若刀害神。神亦有惱	如 刀 害 身 是 時 生 惱 若 刀 害 神 神 亦 有 惱 
T30n1569_001:0172b14	者。神亦應斷。外曰。不然。無觸故如空(修妬路)。	者 神 亦 應 斷 外 曰 不 然 無 觸 故 如 空 修 妬 路 
T30n1569_001:0172b15	神無觸故不可斷。如燒舍時。內空無觸故	神 無 觸 故 不 可 斷 如 燒 舍 時 內 空 無 觸 故 
T30n1569_001:0172b16	不可燒但有熱。如是斷身時。內神無觸故	不 可 燒 但 有 熱 如 是 斷 身 時 內 神 無 觸 故 
T30n1569_001:0172b17	不可斷。但有惱。內曰。若爾無去(修妬路)。若神	不 可 斷 但 有 惱 內 曰 若 爾 無 去 修 妬 路 若 神 
T30n1569_001:0172b18	無觸。身不應到餘處。何以故。去法從思	無 觸 身 不 應 到 餘 處 何 以 故 去 法 從 思 
T30n1569_001:0172b19	惟生。從身動生。身無思惟。非覺法故。神	惟 生 從 身 動 生 身 無 思 惟 非 覺 法 故 神 
T30n1569_001:0172b20	無動力。非身法故。如是身不應到餘處。	無 動 力 非 身 法 故 如 是 身 不 應 到 餘 處 
T30n1569_001:0172b21	外曰。如盲跛(修妬路)。譬如盲跛相假能去。如	外 曰 如 盲 跛 修 妬 路 譬 如 盲 跛 相 假 能 去 如 
T30n1569_001:0172b22	是神有思惟。身有動力。和合而去。內曰。異	是 神 有 思 惟 身 有 動 力 和 合 而 去 內 曰 異 
T30n1569_001:0172b23	相故(修妬路)。如盲跛。二觸二思惟故法應能去。	相 故 修 妬 路 如 盲 跛 二 觸 二 思 惟 故 法 應 能 去 
T30n1569_001:0172b24	身神無二事故不應去。是故無去法。若不	身 神 無 二 事 故 不 應 去 是 故 無 去 法 若 不 
T30n1569_001:0172b25	爾有如上斷過。復次汝謂空熱。此事不然。	爾 有 如 上 斷 過 復 次 汝 謂 空 熱 此 事 不 然 
T30n1569_001:0172b26	何以故。空無觸故。微熱遍空。身觸覺熱非	何 以 故 空 無 觸 故 微 熱 遍 空 身 觸 覺 熱 非 
T30n1569_001:0172b27	空熱也。但假言空熱。外曰。如舍主惱	空 熱 也 但 假 言 空 熱 外 曰 如 舍 主 惱 
T30n1569_001:0172b28	(修妬路)。如燒舍時。舍主惱而不燒。如是身斷	 修 妬 路 如 燒 舍 時 舍 主 惱 而 不 燒 如 是 身 斷 
T30n1569_001:0172b29	時。神但惱而不斷。內曰。不然。無常故燒	時 神 但 惱 而 不 斷 內 曰 不 然 無 常 故 燒 
T30n1569_001:0172c01	(修妬路)。舍燒時。草木等無常故。亦燒亦熱。空	 修 妬 路 舍 燒 時 草 木 等 無 常 故 亦 燒 亦 熱 空 
T30n1569_001:0172c02	常故不燒不熱。如是身無常故。亦惱亦斷。	常 故 不 燒 不 熱 如 是 身 無 常 故 亦 惱 亦 斷 
T30n1569_001:0172c03	神常故不惱不斷。復次舍主遠火故不應	神 常 故 不 惱 不 斷 復 次 舍 主 遠 火 故 不 應 
T30n1569_001:0172c04	燒。汝經言。神遍滿故。亦應斷壞。外曰。必有	燒 汝 經 言 神 遍 滿 故 亦 應 斷 壞 外 曰 必 有 
T30n1569_001:0172c05	神取色等故(修妬路)。五情不能知五塵。非知	神 取 色 等 故 修 妬 路 五 情 不 能 知 五 塵 非 知 
T30n1569_001:0172c06	法故。是故知神能知。神用眼等。知色等諸	法 故 是 故 知 神 能 知 神 用 眼 等 知 色 等 諸 
T30n1569_001:0172c07	塵。如人以鎌收刈五穀。內曰。何不用耳	塵 如 人 以 鎌 收 刈 五 穀 內 曰 何 不 用 耳 
T30n1569_001:0172c08	見(修妬路)。若神見有力。何不用耳見色。如火	見 修 妬 路 若 神 見 有 力 何 不 用 耳 見 色 如 火 
T30n1569_001:0172c09	能燒。處處皆燒。又如人或時無鎌手亦能	能 燒 處 處 皆 燒 又 如 人 或 時 無 鎌 手 亦 能 
T30n1569_001:0172c10	斷。又如舍有六向。人居其內所在能見。神	斷 又 如 舍 有 六 向 人 居 其 內 所 在 能 見 神 
T30n1569_001:0172c11	亦如是。處處應見。外曰。不然。所用定故。	亦 如 是 處 處 應 見 外 曰 不 然 所 用 定 故 
T30n1569_001:0172c12	如陶師(修妬路)。神雖有見力。然眼等所伺不	如 陶 師 修 妬 路 神 雖 有 見 力 然 眼 等 所 伺 不 
T30n1569_001:0172c13	同。於塵各定故。不能用耳見色。如陶師	同 於 塵 各 定 故 不 能 用 耳 見 色 如 陶 師 
T30n1569_001:0172c14	雖能作瓶。離泥不能作。如是神雖有見	雖 能 作 瓶 離 泥 不 能 作 如 是 神 雖 有 見 
T30n1569_001:0172c15	力。非眼不能見。內曰。若爾盲(修妬路)。若神用	力 非 眼 不 能 見 內 曰 若 爾 盲 修 妬 路 若 神 用 
T30n1569_001:0172c16	眼見。則神與眼異。神與眼異。則神無眼。神	眼 見 則 神 與 眼 異 神 與 眼 異 則 神 無 眼 神 
T30n1569_001:0172c17	無眼云何見。汝陶師喻者。是亦不然。所以	無 眼 云 何 見 汝 陶 師 喻 者 是 亦 不 然 所 以 
T30n1569_001:0172c18	者何。離泥更無有瓶。泥即為瓶。而眼色異	者 何 離 泥 更 無 有 瓶 泥 即 為 瓶 而 眼 色 異 
T30n1569_001:0172c19	故。外曰。有神異情動故(修妬路)。若無神者。何	故 外 曰 有 神 異 情 動 故 修 妬 路 若 無 神 者 何 
T30n1569_001:0172c20	故見他食果。口中生涎。如是不應以眼	故 見 他 食 果 口 中 生 涎 如 是 不 應 以 眼 
T30n1569_001:0172c21	知味。有眼者能知。復次一物眼身知故(修妬路)。	知 味 有 眼 者 能 知 復 次 一 物 眼 身 知 故 修 妬 路 
T30n1569_001:0172c22	如人眼先識瓶等。闇中雖不用眼。身觸亦	如 人 眼 先 識 瓶 等 闇 中 雖 不 用 眼 身 觸 亦 
T30n1569_001:0172c23	知。是故知有神。內曰。如盲。修妬路中已破。	知 是 故 知 有 神 內 曰 如 盲 修 妬 路 中 已 破 
T30n1569_001:0172c24	復次若眼見他食果。而口生涎者。餘情何	復 次 若 眼 見 他 食 果 而 口 生 涎 者 餘 情 何 
T30n1569_001:0172c25	以不動。身亦如是。外曰。如人燒(修妬路)。譬如	以 不 動 身 亦 如 是 外 曰 如 人 燒 修 妬 路 譬 如 
T30n1569_001:0172c26	人雖能燒。離火不能燒。神亦如是。用眼	人 雖 能 燒 離 火 不 能 燒 神 亦 如 是 用 眼 
T30n1569_001:0172c27	能見。離眼不能見。內曰。火燒(修妬路)。言人燒	能 見 離 眼 不 能 見 內 曰 火 燒 修 妬 路 言 人 燒 
T30n1569_001:0172c28	者。是則妄語。何以故。人無燒相。火自能燒。	者 是 則 妄 語 何 以 故 人 無 燒 相 火 自 能 燒 
T30n1569_001:0172c29	如風動木。相揩生火。焚燒山澤。無有作	如 風 動 木 相 揩 生 火 焚 燒 山 澤 無 有 作 
T30n1569_001:0173a01	者。是故火自能燒。非人燒也。外曰。如意	者 是 故 火 自 能 燒 非 人 燒 也 外 曰 如 意 
T30n1569_001:0173a02	(修妬路)。如死人雖有眼無意故。神則不見。若有	 修 妬 路 如 死 人 雖 有 眼 無 意 故 神 則 不 見 若 有 
T30n1569_001:0173a03	意神則見。如是神用眼見。離眼不見。內曰。	意 神 則 見 如 是 神 用 眼 見 離 眼 不 見 內 曰 
T30n1569_001:0173a04	若有意能知。無意不能知者。但意行眼等	若 有 意 能 知 無 意 不 能 知 者 但 意 行 眼 等 
T30n1569_001:0173a05	門中便知。神復何用。外曰。意不自知。若意	門 中 便 知 神 復 何 用 外 曰 意 不 自 知 若 意 
T30n1569_001:0173a06	意相知。此則無窮。我神一故。以神知意非	意 相 知 此 則 無 窮 我 神 一 故 以 神 知 意 非 
T30n1569_001:0173a07	無窮也。內曰。神亦神(修妬路)。若神知意。誰復	無 窮 也 內 曰 神 亦 神 修 妬 路 若 神 知 意 誰 復 
T30n1569_001:0173a08	知神。若神知神。是亦無窮。我法以現在意	知 神 若 神 知 神 是 亦 無 窮 我 法 以 現 在 意 
T30n1569_001:0173a09	知過去意。意法無常故無咎。外曰。云何除	知 過 去 意 意 法 無 常 故 無 咎 外 曰 云 何 除 
T30n1569_001:0173a10	神(修妬路)。若除神云何但意知諸塵。內曰。如	神 修 妬 路 若 除 神 云 何 但 意 知 諸 塵 內 曰 如 
T30n1569_001:0173a11	火熱相(修妬路)。譬如火熱。無有作者。火性自	火 熱 相 修 妬 路 譬 如 火 熱 無 有 作 者 火 性 自 
T30n1569_001:0173a12	熱。無有不熱之火。如是意是知相。雖復離	熱 無 有 不 熱 之 火 如 是 意 是 知 相 雖 復 離 
T30n1569_001:0173a13	神性知故能知。神知異故神不應知。外曰。	神 性 知 故 能 知 神 知 異 故 神 不 應 知 外 曰 
T30n1569_001:0173a14	應有神宿習念相續故。生時憂喜行(修妬路)。如	應 有 神 宿 習 念 相 續 故 生 時 憂 喜 行 修 妬 路 如 
T30n1569_001:0173a15	小兒生。便知行憂喜等事。無有教者。以先	小 兒 生 便 知 行 憂 喜 等 事 無 有 教 者 以 先 
T30n1569_001:0173a16	世宿習憶念相續故。今世還為種種業。是故	世 宿 習 憶 念 相 續 故 今 世 還 為 種 種 業 是 故 
T30n1569_001:0173a17	知有神亦常相。內曰。遍云何念(修妬路)。神常遍	知 有 神 亦 常 相 內 曰 遍 云 何 念 修 妬 路 神 常 遍 
T30n1569_001:0173a18	諸塵。無不念時。念從何生。復次若念一切	諸 塵 無 不 念 時 念 從 何 生 復 次 若 念 一 切 
T30n1569_001:0173a19	處生。念亦應遍一切處。如是一切處應一	處 生 念 亦 應 遍 一 切 處 如是一切 處 應 一 
T30n1569_001:0173a20	時念。若念分分處生。神則有分。有分故無	時 念 若 念 分 分 處 生 神 則 有 分 有 分 故 無 
T30n1569_001:0173a21	常。復次若神無知。若知非神。此事先已破。	常 復 次 若 神 無 知 若 知 非 神 此 事 先 已 破 
T30n1569_001:0173a22	外曰。合故念生(修妬路)。若神意合。以勢發故念	外 曰 合 故 念 生 修 妬 路 若 神 意 合 以 勢 發 故 念 
T30n1569_001:0173a23	生。何以故。神意雖合。勢不發者。則念不生。	生 何 以 故 神 意 雖 合 勢 不 發 者 則 念 不 生 
T30n1569_001:0173a24	內曰。雖先已破。今當重說。神若知相。不應	內 曰 雖 先 已 破 今 當 重 說 神 若 知 相 不 應 
T30n1569_001:0173a25	生念。若非知相。亦不應生念。復次若念	生 念 若 非 知 相 亦 不 應 生 念 復 次 若 念 
T30n1569_001:0173a26	知(修妬路)。若念生是時知。若念不生。是時不知。	知 修 妬 路 若 念 生 是 時 知 若 念 不 生 是 時 不 知 
T30n1569_001:0173a27	應念即是知。神復何用。外曰。應有神。左見	應 念 即 是 知 神 復 何 用 外 曰 應 有 神 左 見 
T30n1569_001:0173a28	右識故(修妬路)。如人先左眼見。後右眼識。不	右 識 故 修 妬 路 如 人 先 左 眼 見 後 右 眼 識 不 
T30n1569_001:0173a29	應彼見此識。以內有神故。左見右識。內曰。	應 彼 見 此 識 以 內 有 神 故 左 見 右 識 內 曰 
T30n1569_001:0173b01	共答二眼(修妬路)。分知不名知。復次若爾無	共 答 二 眼 修 妬 路 分 知 不 名 知 復 次 若 爾 無 
T30n1569_001:0173b02	知。復次遍云何念。復次若念知。復次何不	知 復 次 遍 云 何 念 復 次 若 念 知 復 次 何 不 
T30n1569_001:0173b03	用耳見。復次若爾盲。復次如左眼見。不應	用 耳 見 復 次 若 爾 盲 復 次 如 左 眼 見 不 應 
T30n1569_001:0173b04	右眼識。神亦不應此分見彼分識。是故不	右 眼 識 神 亦 不 應 此 分 見 彼 分 識 是 故 不 
T30n1569_001:0173b05	應以左眼見。右眼識故。便有神。外曰。念	應 以 左 眼 見 右 眼 識 故 便 有 神 外 曰 念 
T30n1569_001:0173b06	屬神故神知(修妬路)。念名神法。是念神中生。是	屬 神 故 神 知 修 妬 路 念 名 神 法 是 念 神 中 生 是 
T30n1569_001:0173b07	故神用念知。內曰。不然。分知不名知(修妬路)。	故 神 用 念 知 內 曰 不 然 分 知 不 名 知 修 妬 路 
T30n1569_001:0173b08	若神一分處知生。神則分知。若神分知。神不	若 神 一 分 處 知 生 神 則 分 知 若 神 分 知 神 不 
T30n1569_001:0173b09	名知。外曰。神知非分知。何以故。神雖分知。	名 知 外 曰 神 知 非 分 知 何 以 故 神 雖 分 知 
T30n1569_001:0173b10	神名知。如身業(修妬路)。譬如身分手有所作	神 名 知 如 身 業 修 妬 路 譬 如 身 分 手 有 所 作 
T30n1569_001:0173b11	名為身作。如是神雖分知。神名知。內曰。	名 為 身 作 如 是 神 雖 分 知 神 名 知 內 曰 
T30n1569_001:0173b12	若爾無知(修妬路)。汝法神遍意少。神意合故神知	若 爾 無 知 修 妬 路 汝 法 神 遍 意 少 神 意 合 故 神 知 
T30n1569_001:0173b13	生。是知與意等少。若以少知神名知者。汝	生 是 知 與 意 等 少 若 以 少 知 神 名 知 者 汝 
T30n1569_001:0173b14	何不言以多不知故神名不知。又汝身業	何 不 言 以 多 不 知 故 神 名 不 知 又 汝 身 業 
T30n1569_001:0173b15	喻者。此事不然。何以故。分有分一異不可得	喻 者 此 事 不 然 何 以 故 分 有 分 一 異 不 可 得 
T30n1569_001:0173b16	故。外曰。如衣分燒(修妬路)。譬如衣一分燒名為	故 外 曰 如 衣 分 燒 修 妬 路 譬 如 衣 一 分 燒 名 為 
T30n1569_001:0173b17	燒衣。如是神雖一分知。名為神知。內	燒 衣 如 是 神 雖 一 分 知 名 為 神 知 內 
T30n1569_001:0173b18	曰。燒亦如是(修妬路)。若衣一分燒。不名為燒。	曰 燒 亦 如 是 修 妬 路 若 衣 一 分 燒 不 名 為 燒 
T30n1569_001:0173b19	應名分燒。汝以一分燒故衣名燒者。今多	應 名 分 燒 汝 以 一 分 燒 故 衣 名 燒 者 今 多 
T30n1569_001:0173b20	不燒應名不燒。何以故。是衣多不燒。實有	不 燒 應 名 不 燒 何 以 故 是 衣 多 不 燒 實 有 
T30n1569_001:0173b21	用故。是以莫著語言。	用 故 是 以 莫 著 語 言 
T30n1569_001:0173b22	破一品第三	破 一 品 第 三 
T30n1569_001:0173b23	外曰。應有神。有一瓶等。神所有故(修妬路)。若	外 曰 應 有 神 有 一 瓶 等 神 所 有 故 修 妬 路 若 
T30n1569_001:0173b24	有神則有神所有。若無神則無神所有。有	有 神 則 有 神 所 有 若 無 神 則 無 神 所 有 有 
T30n1569_001:0173b25	一瓶等是神所有故有神。內曰。不然。何以	一 瓶 等 是 神 所 有 故 有 神 內 曰 不 然 何 以 
T30n1569_001:0173b26	故。神已不可得故。今思惟有一瓶等。若以	故 神 已 不 可 得 故 今 思 惟 有 一 瓶 等 若 以 
T30n1569_001:0173b27	一有。若以異有。二俱有過。外曰。有一瓶等。	一 有 若 以 異 有 二 俱 有 過 外 曰 有 一 瓶 等 
T30n1569_001:0173b28	若以一有。有何過。內曰。若有一瓶一。如一	若 以 一 有 有 何 過 內 曰 若 有 一 瓶 一 如 一 
