T85n2750_001:0189b24	法華經疏	法 華 經 疏 
T85n2750_001:0191c13	捨身。德報之處。聞法華經。甄迦羅七言偈。頻	捨 身 德 報 之 處 聞 法 華 經 甄 迦 羅 七 言 偈 頻 
T85n2750_001:0191c14	婆羅五言偈。阿閦娑等四言偈。此土方法。西	婆 羅 五 言 偈 阿 閦 娑 等 四 言 偈 此 土 方 法 西 
T85n2750_001:0191c15	土音異。未必如是也。又此土三句。是國數	土 音 異 未 必 如 是 也 又 此 土 三 句 是 國 數 
T85n2750_001:0191c16	法。此不得播還。欲供養白父已。住到佛所。	法 此 不 得 播 還 欲 供 養 白 父 已 住 到 佛 所 
T85n2750_001:0191c17	頭面禮足。說偈讚歎。猶故在世者。自慶載遇	頭面禮足 說 偈 讚 歎 猶 故 在 世 者 自 慶 載 遇 
T85n2750_001:0191c18	大聖也。第六爾時日月淨明德佛下。明唱告	大 聖 也 第 六 爾 時 日 月 淨 明 德 佛 下 明 唱 告 
T85n2750_001:0191c19	滅度。以佛法委之。使千載不隧。諸菩薩大弟	滅 度 以 佛 法 委 之 使 千 載 不 隧 諸 菩 薩 大 弟 
T85n2750_001:0191c20	子。付囑於汝。使教令成就。并無上菩提。明	子 付 囑 於 汝 使 教 令 成 就 并 無上菩提 明 
T85n2750_001:0191c21	法不自顯。弘之由人。故委於汝。七寶世界。	法 不 自 顯 弘 之 由 人 故 委 於 汝 七 寶 世 界 
T85n2750_001:0191c22	及給侍諸天。悉付囑汝。諸天可爾。土田無	及 給 侍 諸 天 悉 付 囑 汝 諸 天 可 爾 土 田 無 
T85n2750_001:0191c23	情。云何委付。解者言。土田何由有。是眾生	情 云 何 委 付 解 者 言 土 田 何 由 有 是 眾 生 
T85n2750_001:0191c24	果報。淨穢之來。功由眾生行業所成。今以	果 報 淨 穢 之 來 功 由 眾 生 行 業 所 成 今 以 
T85n2750_001:0191c25	淨土。委付汝使不據[打丁+毛]。如若不流通大法。廣	淨 土 委 付 汝 使 不 據 [打丁毛] 如 若 不 流 通 大 法 廣 
T85n2750_001:0191c26	作利益。則眾生起惑。若法不行。土由據[打丁+毛]。是	作 利 益 則 眾 生 起 惑 若 法 不 行 土 由 據 [打丁毛] 是 
T85n2750_001:0191c27	故委之。舍利者。欲使流通。而起塔供養付囑	故 委 之 舍 利 者 欲 使 流 通 而 起 塔 供 養 付 囑 
T85n2750_001:0191c28	也。入涅槃。喜見菩薩。敬順佛語故。起塔供	也 入 涅 槃 喜 見 菩 薩 敬 順 佛 語 故 起 塔 供 
T85n2750_001:0191c29	養。第七喜見菩薩。復白念言以下。上明法界	養 第 七 喜 見 菩 薩 復 白 念 言 以 下 上 明 法 界 
T85n2750_001:0192a01	委之。使不據[打丁+毛]。令使供養舍利。即於四眾之	委 之 使 不 據 [打丁毛] 令 使 供 養 舍 利 即 於 四 眾 之 
T85n2750_001:0192a02	前。然百福莊嚴臂。而以供養。令無數聲聞。阿	前 然 百 福 莊 嚴 臂 而 以 供 養 令 無 數 聲 聞 阿 
T85n2750_001:0192a03	僧祇人。發三菩提。得色身三昧。四眾見其無	僧 祇 人 發 三 菩 提 得 色 身 三 昧 四 眾 見 其 無 
T85n2750_001:0192a04	臂。其意閔然。故立其誓。願力因緣。還復如	臂 其 意 閔 然 故 立 其 誓 願 力 因 緣 還 復 如 
T85n2750_001:0192a05	故。感其異相。眾生歡喜。即是土田據[打丁+毛]之	故 感 其 異 相 眾 生 歡 喜 即 是 土 田 據 [打丁毛] 之 
T85n2750_001:0192a06	義顯矣。第八宿王華以下。明會古今。勸令	義 顯 矣 第 八 宿 王 華 以 下 明 會 古 今 勸 令 
T85n2750_001:0192a07	生信。第九格量功德。若然手指為菩提者。勝	生 信 第 九 格 量 功 德 若 然 手 指 為 菩 提 者 勝 
T85n2750_001:0192a08	以國城妻子。諸珍寶物。而供養也。第十若復	以 國 城 妻 子 諸 珍 寶 物 而 供 養 也 第 十 若 復 
T85n2750_001:0192a09	有人以下。明經理深。能受持者。其福最高以	有 人 以 下 明 經 理 深 能 受 持 者 其 福 最 高 以 
T85n2750_001:0192a10	三千世界。滿中七寶供養三聖。不如受持此	三千世界 滿 中 七 寶 供 養 三 聖 不 如 受 持 此 
T85n2750_001:0192a11	經。一四句偈。其福最高。所以爾者。下作喻	經 一四句偈 其 福 最 高 所 以 爾 者 下 作 喻 
T85n2750_001:0192a12	來。釋明此經最尊第一。故能爾也。有受持以	來 釋 明 此 經 最 尊 第 一 故 能 爾 也 有 受 持 以 
T85n2750_001:0192a13	下。明勸人流通。滿一切諸渴乏者。除生死渴	下 明 勸 人 流 通 滿 一 切 諸 渴 乏 者 除 生 死 渴 
T85n2750_001:0192a14	乏也。如寒者得火。去煩惱氷霜。稞者得衣。法	乏 也 如 寒 者 得 火 去 煩 惱 氷 霜 稞 者 得 衣 法 
T85n2750_001:0192a15	身嚴宜。商人得主。亦以大□路。如子得母。乳	身 嚴 宜 商 人 得 主 亦 以 大 路 如 子 得 母 乳 
T85n2750_001:0192a16	養法身。如度得船。到於彼岸。如病得愈。煩惱	養 法 身 如 度 得 船 到 於 彼 岸 如 病 得 愈 煩 惱 
T85n2750_001:0192a17	患如闇。燈照了法相。如貧得寶七財具足。如	患 如 闇 燈 照 了 法 相 如 貧 得 寶 七 財 具 足 如 
T85n2750_001:0192a18	民得王。里煩惱我。如賈客得海。得無賈寶珠。	民 得 王 里 煩 惱 我 如 賈 客 得 海 得 無 賈 寶 珠 
T85n2750_001:0192a19	如炬除闇者。惠炬暈世。無幽不朗也。上來明	如 炬 除 闇 者 惠 炬 暈 世 無 幽 不 朗 也 上 來 明 
T85n2750_001:0192a20	其外喻。今還以法結之。若人得聞此法華經	其 外 喻 今 還 以 法 結 之 若 人 得 聞 此 法 華 經 
T85n2750_001:0192a21	已下。第十一勸人受持。就中有六子句。第一	已 下 第 十 一 勸 人 受 持 就 中 有 六 子 句 第 一 
T85n2750_001:0192a22	勸下依受持。明流通之人。所得功德。無其遍	勸 下 依 受 持 明 流 通 之 人 所得功德 無 其 遍 
T85n2750_001:0192a23	畔。故言以佛智惠。籌量多少。不得其邊也。第	畔 故 言 以 佛 智 惠 籌 量 多 少 不 得 其 邊 也 第 
T85n2750_001:0192a24	二若有人。聞是藥王本事品者。勸下依弟子。	二 若 有 人 聞 是 藥 王 本 事 品 者 勸 下 依 弟 子 
T85n2750_001:0192a25	應當隨喜生信。知理是深。要其苦身。而流通	應 當 隨 喜 生 信 知 理 是 深 要 其 苦 身 而 流 通 
T85n2750_001:0192a26	者。亦得無量無邊功德也。若有女人。得聞此	者 亦 得 無量無邊 功 德 也 若 有 女 人 得 聞 此 
T85n2750_001:0192a27	經。盡是穢惡之刑。後不復受。此是實女也第	經 盡 是 穢 惡 之 刑 後 不 復 受 此 是 實 女 也 第 
T85n2750_001:0192a28	三若如來滅後。五百歲中。有女人。聞經修行	三 若 如來滅後 五 百 歲 中 有 女 人 聞 經 修 行 
T85n2750_001:0192a29	者。勸上依受持。此是依現為女也。諸佛遙讚	者 勸 上 依 受 持 此 是 依 現 為 女 也 諸 佛 遙 讚 
T85n2750_001:0192b01	歎。善男子汝能於釋迦牟尼以下。結勸上依	歎 善 男 子 汝 能 於 釋 迦 牟 尼 以 下 結 勸 上 依 
T85n2750_001:0192b02	受持也。若有人聞藥王品。隨喜讚善以下。第	受 持 也 若 有 人 聞 藥 王 品 隨 喜 讚 善 以 下 第 
T85n2750_001:0192b03	四勸上依弟子。隨喜生信。能永除三毒。下明	四 勸 上 依 弟 子 隨 喜 生 信 能 永 除 三 毒 下 明 
T85n2750_001:0192b04	聞此品。隨喜讚善者。所德功德。如隨喜品	聞 此 品 隨 喜 讚 善 者 所 德 功 德 如 隨 喜 品 
T85n2750_001:0192b05	所明也。是宿王華以下。第五總勸二依受持。	所 明 也 是 宿 王 華 以 下 第 五 總 勸 二 依 受 持 
T85n2750_001:0192b06	以此品囑累於汝。當廣流布。勿令斷絕。魔得	以 此 品 囑 累 於 汝 當 廣 流 布 勿 令 斷 絕 魔 得 
T85n2750_001:0192b07	便也。汝當以神力。守護是經以下。總結勸	便 也 汝 當 以 神 力 守 護 是 經 以 下 總 結 勸 
T85n2750_001:0192b08	二依受持。所以然者。此經即是閻浮提人。煩	二 依 受 持 所 以 然 者 此 經 即 是 閻 浮 提 人 煩 
T85n2750_001:0192b09	惱病之良藥。若人有煩惱病者。得聞是經。煩	惱 病 之 良 藥 若 人 有 煩 惱 病 者 得 聞 是 經 煩 
T85n2750_001:0192b10	惱消滅。得其真常。故言不老不死。亦可。得聞	惱 消 滅 得 其 真 常 故 言 不 老 不 死 亦 可 得 聞 
T85n2750_001:0192b11	是經。要滿百年。終不中拔。故言不老不死也。	是 經 要 滿 百 年 終 不 中 拔 故 言 不 老 不 死 也 
T85n2750_001:0192b12	宿王華汝若見有受持是經以下。第六總勸	宿 王 華 汝 若 見 有 受 持 是 經 以 下 第 六 總 勸 
T85n2750_001:0192b13	二依弟子。隨喜生信。廣興供養也。下勸人供	二 依 弟 子 隨 喜 生 信 廣 興 供 養 也 下 勸 人 供 
T85n2750_001:0192b14	養。何以故。是人當得度脫眾生故。求佛道者。	養 何 以 故 是 人 當 得 度 脫 眾 生 故 求 佛 道 者 
T85n2750_001:0192b15	應於是人。生供敬心也。第十二明諸人得道。	應 於 是 人 生 供 敬 心 也 第 十 二 明 諸 人 得 道 
T85n2750_001:0192b16	多寶讚歎也。	多 寶 讚 歎 也 
T85n2750_001:0192b17	妙音菩薩品	妙 音 菩 薩 品 
T85n2750_001:0192b18	此品所以來□欲弘經。要須分身散體。殊刑	此 品 所 以 來 欲 弘 經 要 須 分 身 散 體 殊 刑 
T85n2750_001:0192b19	六道。非行處行。流通大法。故有此品來也。此	六 道 非 行 處 行 流 通 大 法 故 有 此 品 來 也 此 
T85n2750_001:0192b20	是藥王一流有三意。一欲顯德行之方軌。二	是 藥 王 一 流 有 三 意 一 欲 顯 德 行 之 方 軌 二 
T85n2750_001:0192b21	為流通方軌。欲使諸小菩薩則而行之。三為	為 流 通 方 軌 欲 使 諸 小 菩 薩 則 而 行 之 三 為 
T85n2750_001:0192b22	一段諸人得道。就中有三段經文。初又從訖	一 段 諸 人 得 道 就 中 有 三 段 經 文 初 又 從 訖 
T85n2750_001:0192b23	故來至。此應在方便品。略說三請中事。爾時	故 來 至 此 應 在 方 便 品 略 說 三 請 中 事 爾 時 
T85n2750_001:0192b24	華德白佛以下。至陀羅尼。在藥王品中來。還	華 德 白 佛 以 下 至 陀 羅 尼 在 藥 王 品 中 來 還 
T85n2750_001:0192b25	歸本土以下。應普賢品後也。就中大泮有十	歸 本 土 以 下 應 普 賢 品 後 也 就 中 大 泮 有 十 
T85n2750_001:0192b26	二段。第一放二種光。照淨華宿王智佛國。召	二 段 第 一 放 二 種 光 照 淨華宿王智 佛 國 召 
T85n2750_001:0192b27	於妙音妙音大士。何假光召。但此土時會。及	於 妙 音 妙 音 大 士 何 假 光 召 但 此 土 時 會 及 
T85n2750_001:0192b28	妙音所得。諸小菩薩。要以光為緣。故以光召	妙 音 所 得 諸 小 菩 薩 要 以 光 為 緣 故 以 光 召 
T85n2750_001:0192b29	也。放大人想肉結光明者欲顯大乘最上之	也 放 大 人 想 肉 結 光 明 者 欲 顯 大 乘 最 上 之 
T85n2750_001:0192c01	理也。眉間白豪者。欲明中道之義也。第二一	理 也 眉 間 白 豪 者 欲 明 中 道 之 義 也 第 二 一 
T85n2750_001:0192c02	切淨光莊嚴以下。歎妙音德行。初歎智。後歎	切 淨 光 莊 嚴 以 下 歎 妙 音 德 行 初 歎 智 後 歎 
T85n2750_001:0192c03	定。第三釋迦牟尼以下。明妙音與彼佛辭。兼	定 第 三 釋 迦 牟 尼 以 下 明 妙 音 與 彼 佛 辭 兼 
T85n2750_001:0192c04	被戒勅。莫輕彼國。生下劣想。釋迦應同丈	被 戒 勅 莫 輕 彼 國 生 下 劣 想 釋 迦 應 同 丈 
T85n2750_001:0192c05	六。現處苦穢。菩薩眾等。其刑亦等。汝身長大	六 現 處 苦 穢 菩 薩 眾 等 其 刑 亦 等 汝 身 長 大 
T85n2750_001:0192c06	端正。是故勅汝。見彼佛菩薩及國土。於此三	端 正 是 故 勅 汝 見 彼 佛 菩 薩 及 國 土 於 此 三 
T85n2750_001:0192c07	事。莫生下劣也。師令教至。妙音即受戒勅也。	事 莫 生 下 劣 也 師 令 教 至 妙 音 即 受 戒 勅 也 
T85n2750_001:0192c08	我今詣彼。皆是如來神力。智惠莊嚴故。得住	我 今 詣 彼 皆 是 如來神力 智 惠 莊 嚴 故 得 住 
T85n2750_001:0192c09	彼土侍樹。於上三事。不起下劣想也。又解。妙	彼 土 侍 樹 於 上 三 事 不 起 下 劣 想 也 又 解 妙 
T85n2750_001:0192c10	音法身大士。豈假如來之力。俱為會中諸小	音 法身大士 豈 假 如 來 之 力 俱 為 會 中 諸 小 
T85n2750_001:0192c11	菩薩。現有所假。故道。皆是如來神力也。第	菩 薩 現 有 所 假 故 道 皆 是 如來神力 也 第 
T85n2750_001:0192c12	四妙音欲來光現瑞相。欲使土眾生。豫生渴	四 妙 音 欲 來 光 現 瑞 相 欲 使 土 眾 生 豫 生 渴 
T85n2750_001:0192c13	仰。兼作利益也。第五文殊以下。為其請。文	仰 兼 作 利 益 也 第 五 文 殊 以 下 為 其 請 文 
T85n2750_001:0192c14	殊豈容不達。但始行之流不惻其意。是以文	殊 豈 容 不 達 但 始 行 之 流 不 惻 其 意 是 以 文 
T85n2750_001:0192c15	殊為□之流。故發斯問也。第六爾時釋迦以	殊 為 之 流 故 發 斯 問 也 第 六 爾 時 釋 迦 以 
T85n2750_001:0192c16	下。如來答。妙音欲來。為供養聽法故。先瑞相	下 如 來 答 妙 音 欲 來 為 供 養 聽 法 故 先 瑞 相 
T85n2750_001:0192c17	也。第七文殊白佛以下。問彼菩薩。修何功德。	也 第 七 文 殊 白 佛 以 下 問 彼 菩 薩 修 何 功 德 
T85n2750_001:0192c18	有是神力。神通是果。果不自有。要由於因。故	有 是 神 力 神 通 是 果 果 不 自 有 要 由 於 因 故 
T85n2750_001:0192c19	問行何三昧。識名字故。與彼同習。然後乃	問 行 何 三 昧 識 名 字 故 與 彼 同 習 然 後 乃 
T85n2750_001:0192c20	可得見。如其不見。其身細妙。非我境界。何由	可 得 見 如 其 不 見 其 身 細 妙 非 我 境 界 何 由 
T85n2750_001:0192c21	可見。故言。願世尊。以神通力。彼菩薩來。令	可 見 故 言 願 世 尊 以 神 通 力 彼 菩 薩 來 令 
T85n2750_001:0192c22	我得見。所以不答。聖者玄鑑知華得後問。若	我 得 見 所 以 不 答 聖 者 玄 鑑 知 華 得 後 問 若 
T85n2750_001:0192c23	答華得。即通答也。自下高推多寶。命其人也。	答 華 得 即 通 答 也 自 下 高 推 多 寶 命 其 人 也 
T85n2750_001:0192c24	所以然者。正欲二佛同心。為於一理也。第八	所 以 然 者 正 欲 二 佛 同 心 為 於 一 理 也 第 八 
T85n2750_001:0192c25	于時妙音菩薩以下。明妙音發來至此。相問	于 時 妙 音 菩 薩 以 下 明 妙 音 發 來 至 此 相 問 
T85n2750_001:0192c26	相問訊流通方法。請見多寶也。此問同大樂	相 問 訊 流 通 方 法 請 見 多 寶 也 此 問 同 大 樂 
T85n2750_001:0192c27	說。欲見多寶也。上來至此。是是方便品中	說 欲 見 多 寶 也 上 來 至 此 是 是 方 便 品 中 
T85n2750_001:0192c28	事。第九爾時華得以下。接次藥王品末也。今	事 第 九 爾 時 華 得 以 下 接 次 藥 王 品 末 也 今 
T85n2750_001:0192c29	答華得。即通文殊。亦可前答文殊。但經家見	答 華 得 即 通 文 殊 亦 可 前 答 文 殊 但 經 家 見 
T85n2750_001:0193a01	文句相似。不能煩文。隱前而顯後也。下明妙	文 句 相 似 不 能 煩 文 隱 前 而 顯 後 也 下 明 妙 
T85n2750_001:0193a02	音。過去修行來久。有是神力。即會故今也。	音 過 去 修 行 來 久 有 是 神 力 即 會 故 今 也 
T85n2750_001:0193a03	第十佛告華得。汝但見妙音以下。明妙音符	第 十 佛 告 華 得 汝 但 見 妙 音 以 下 明 妙 音 符 
T85n2750_001:0193a04	應六道現刑說法。於神通變化知惠。無所損	應 六 道 現 刑 說 法 於 神通變化 知 惠 無 所 損 
T85n2750_001:0193a05	咸者。意謂。菩薩非行處行謂損。菩薩得故言	咸 者 意 謂 菩 薩 非 行 處 行 謂 損 菩 薩 得 故 言 
T85n2750_001:0193a06	無所損咸也。若干智惠。即釋迦符應六通。乃	無 所 損 咸 也 若 干 智 惠 即 釋 迦 符 應 六 通 乃 
T85n2750_001:0193a07	至後宮流通大化。廣作利益。道成萬行。斯備	至 後 宮 流 通 大 化 廣 作 利 益 道 成 萬 行 斯 備 
T85n2750_001:0193a08	智惠餘餘明。何損之有也。第十一上明現刑	智 惠 餘 餘 明 何 損 之 有 也 第 十 一 上 明 現 刑 
T85n2750_001:0193a09	非一。即是神通之果。果不自有。要由因得。	非 一 即 是 神 通 之 果 果 不 自 有 要 由 因 得 
T85n2750_001:0193a10	何以故。如來下答三昧。名現一切色身。妙音	何 以 故 如 來 下 答 三 昧 名 現一切色身 妙 音 
T85n2750_001:0193a11	住是三昧。能饒益無量眾生也。第十二說妙	住 是 三 昧 能 饒 益 無 量 眾 生 也 第 十 二 說 妙 
T85n2750_001:0193a12	音菩薩品時以下。諸人得道。爾時妙音菩薩	音 菩 薩 品 時 以 下 諸 人 得 道 爾 時 妙 音 菩 薩 
T85n2750_001:0193a13	以下。明供養三佛已。還歸本土。妙音由未去。	以 下 明 供 養 三 佛 已 還 歸 本 土 妙 音 由 未 去 
T85n2750_001:0193a14	說普賢竟。爾乃去耳。但出經家。見下諸人得	說 普 賢 竟 爾 乃 去 耳 但 出 經 家 見 下 諸 人 得 
T85n2750_001:0193a15	道。故置在此也。既到本國。自言我娑婆世	道 故 置 在 此 也 既 到 本 國 自 言 我 娑 婆 世 
T85n2750_001:0193a16	界饒益眾生見其三佛。禮拜供養。又見諸菩	界 饒 益 眾 生 見 其 三 佛 禮拜供養 又 見 諸 菩 
T85n2750_001:0193a17	薩等。亦命彼菩薩。得見一切色身三昧。來住	薩 等 亦 命 彼 菩 薩 得 見 一 切 色 身 三 昧 來 住 
T85n2750_001:0193a18	品時以下。明後得道人也。	品 時 以 下 明 後 得 道 人 也 
T85n2750_001:0193a19	觀音品	觀 音 品 
T85n2750_001:0193a20	此品何由而來。娑婆眾生。道悟不同。宜應普	此 品 何 由 而 來 娑 婆 眾 生 道 悟 不 同 宜 應 普 
T85n2750_001:0193a21	現諸門。救危拔苦。乘音齊物。當如觀世。故有	現 諸 門 救 危 拔 苦 乘 音 齊 物 當 如 觀 世 故 有 
T85n2750_001:0193a22	此品來也。亦有三意。一顯觀世音德行。二為	此 品 來 也 亦 有 三 意 一 顯 觀 世 音 德 行 二 為 
T85n2750_001:0193a23	流通方軌。欲使諸小菩薩。則而行之。三諸人	流 通 方 軌 欲 使 諸 小 菩 薩 則 而 行 之 三 諸 人 
T85n2750_001:0193a24	德道。就此品中。大泮有六假。第一從初訖	德 道 就 此 品 中 大 泮 有 六 假 第 一 從 初 訖 
T85n2750_001:0193a25	常應心念明剬觀音名。能除內外二患。此是	常 應 心 念 明 剬 觀 音 名 能 除 內 外 二 患 此 是 
T85n2750_001:0193a26	西方菩薩。先在此土修行彼願住生於有緣	西 方 菩 薩 先 在 此 土 修 行 彼 願 住 生 於 有 緣 
T85n2750_001:0193a27	偏重。故遷施化耳。就中無盡意。問此菩薩之	偏 重 故 遷 施 化 耳 就 中 無 盡 意 問 此 菩 薩 之 
T85n2750_001:0193a28	名。所以名觀世音下。答苦惱眾生。稱名念	名 所 以 名 觀 世 音 下 答 苦 惱 眾 生 稱 名 念 
T85n2750_001:0193a29	之。必皆得解脫。以是因緣。名觀世音。何故問	之 必 皆 得 解 脫 以是因緣 名 觀 世 音 何 故 問 
T85n2750_001:0193b01	者。欲使眾生識名。以念之故。先列名也。斷	者 欲 使 眾 生 識 名 以 念 之 故 先 列 名 也 斷 
T85n2750_001:0193b02	其外也。便得離欲等者。明除其內患。所以常	其 外 也 便 得 離 欲 等 者 明 除 其 內 患 所 以 常 
T85n2750_001:0193b03	念供敬。便得離三毒患者。解言。為念不以精	念 供 敬 便 得 離 三 毒 患 者 解 言 為 念 不 以 精 
T85n2750_001:0193b04	成之至。感觀世音。為其說法。得生理解。永斷	成 之 至 感 觀 世 音 為 其 說 法 得 生 理 解 永 斷 
T85n2750_001:0193b05	三毒也。第二若有女人以下。明禮拜供敬。	三 毒 也 第 二 若 有 女 人 以 下 明 禮 拜 供 敬 
T85n2750_001:0193b06	必能生福捐之言葉明。供敬禮拜者。福不唐	必 能 生 福 捐 之 言 葉 明 供 敬 禮 拜 者 福 不 唐 
T85n2750_001:0193b07	捐也。是故眾生以下。勸人受持。正等無異	捐 也 是 故 眾 生 以 下 勸 人 受 持 正 等 無 異 
T85n2750_001:0193b08	者。格量功德。一解就前田格量。明觀世音。	者 格 量 功 德 一 解 就 前 田 格 量 明 觀 世 音 
T85n2750_001:0193b09	是十住大士。福田是勝。是故供養六十二億	是 十 住 大 士 福 田 是 勝 是 故 供 養 六 十 二 億 
T85n2750_001:0193b10	及小菩薩。與供養觀世音。福正等無異。有一	及 小 菩 薩 與 供 養 觀 世 音 福 正 等 無 異 有 一 
T85n2750_001:0193b11	解。觀世音。於此土有緣偏強。是以供養者。福	解 觀 世 音 於 此 土 有 緣 偏 強 是 以 供 養 者 福 
T85n2750_001:0193b12	德處多。六十二億小菩薩。於此土緣弱。是	德 處 多 六 十 二 億 小 菩 薩 於 此 土 緣 弱 是 
T85n2750_001:0193b13	故供養六十二億。與觀世音正等也。爾時無	故 供 養 六 十 二 億 與 觀 世 音 正 等 也 爾 時 無 
T85n2750_001:0193b14	盡意以下。第四施之方也。從初訖度脫眾生。	盡 意 以 下 第 四 施 之 方 也 從 初 訖 度 脫 眾 生 
T85n2750_001:0193b15	明法身大士。普現諸身。無盡意有三句。一問	明 法身大士 普 現 諸 身 無 盡 意 有 三 句 一 問 
T85n2750_001:0193b16	法身大士。久絕麁刑。云何遊於娑婆。符應六	法身大士 久 絕 麁 刑 云 何 遊 於 娑 婆 符 應 六 
T85n2750_001:0193b17	道。二問既無身口。為眾生說法。當復云何。	道 二 問 既 無 身 口 為 眾 生 說 法 當 復 云 何 
T85n2750_001:0193b18	三問方便之力。其事云何。佛告無盡意以下。	三 問 方 便 之 力 其 事 云 何 佛 告 無 盡 意 以 下 
T85n2750_001:0193b19	答其三問。汝問云何遊者。正以眾生應見佛	答 其 三 問 汝 問 云 何 遊 者 正 以 眾 生 應 見 佛 
T85n2750_001:0193b20	身。現種種刑。所以得遊。汝問說法云何。正	身 現 種 種 刑 所 以 得 遊 汝 問 說 法 云 何 正 
T85n2750_001:0193b21	由現刑故。隨緣為說也。問方便之力。其事云	由 現 刑 故 隨 緣 為 說 也 問 方 便 之 力 其 事 云 
T85n2750_001:0193b22	何。正以非刑現刑。非說能說。此是其事。第五	何 正 以 非 刑 現 刑 非 說 能 說 此 是 其 事 第 五 
T85n2750_001:0193b23	無盡意以下。訖遊於娑婆。表明法身大士。有	無 盡 意 以 下 訖 遊 於 娑 婆 表 明 法身大士 有 
T85n2750_001:0193b24	此高德。是故勸汝供養也。第六爾時持地以	此 高 德 是 故 勸 汝 供 養 也 第 六 爾 時 持 地 以 
T85n2750_001:0193b25	下。明諸人得道也。	下 明 諸 人 得 道 也 
T85n2750_001:0193b26	陀羅尼品	陀 羅 尼 品 
T85n2750_001:0193b27	此品所以而興。未來惡世。多諸流難。大法雍	此 品 所 以 而 興 未 來 惡 世 多 諸 流 難 大 法 雍 
T85n2750_001:0193b28	塞不通。自非假呪防護。無以得說。故須說就	塞 不 通 自 非 假 呪 防 護 無 以 得 說 故 須 說 就 
T85n2750_001:0193b29	陀羅尼。就此品之中。有三意。一明格量功	陀 羅 尼 就 此 品 之 中 有 三 意 一 明 格 量 功 
T85n2750_001:0193c01	德。二明流通方軌。三明諸人得道。此中說呪	德 二 明 流 通 方 軌 三 明 諸 人 得 道 此 中 說 呪 
T85n2750_001:0193c02	有五。二是聖人說。二是諸天說。一是鬼子母	有 五 二 是 聖 人 說 二 是 諸 天 說 一 是 鬼 子 母 
T85n2750_001:0193c03	說呪。初明格量功德。二說呪護於法師初住	說 呪 初 明 格 量 功 德 二 說 呪 護 於 法 師 初 住 
T85n2750_001:0193c04	以上聖人位中不復假呪。住下凡夫菩薩。雖	以 上 聖 人 位 中 不 復 假 呪 住 下 凡 夫 菩 薩 雖 
T85n2750_001:0193c05	伏煩惱。未得無相真解。必有可假。故須說呪	伏 煩 惱 未 得 無 相 真 解 必 有 可 假 故 須 說 呪 
T85n2750_001:0193c06	護於法師。爾時藥王以下。況說寧為多不。格	護 於 法 師 爾 時 藥 王 以 下 況 說 寧 為 多 不 格 
T85n2750_001:0193c07	量福田。佛告以下。況出下依法師男子。供	量 福 田 佛 告 以 下 況 出 下 依 法 師 男 子 供 
T85n2750_001:0193c08	養八百萬億。恒河沙諸佛其人所得功德。寧	養 八 百 萬 億 恒 河 沙 諸 佛 其 人 所得功德 寧 
T85n2750_001:0193c09	為多不。供養諸佛。此是福德業。功德由甚多。	為 多 不 供 養 諸 佛 此 是 福 德 業 功 德 由 甚 多 
T85n2750_001:0193c10	豈況理中得真無相解。此是智惠業。俱然高	豈 況 理 中 得 真 無 相 解 此 是 智 惠 業 俱 然 高 
T85n2750_001:0193c11	勝。其人既理在懷。不獨善一已。欲流通大	勝 其 人 既 理 在 懷 不 獨 善 一 已 欲 流 通 大 
T85n2750_001:0193c12	法。第一藥王說呪。防護其人。使令大法久	法 第 一 藥 王 說 呪 防 護 其 人 使 令 大 法 久 
T85n2750_001:0193c13	流。第二勇世說呪。第三北方毘沙門說呪。第	流 第 二 勇 世 說 呪 第 三 北 方 毘 沙 門 說 呪 第 
T85n2750_001:0193c14	四東持國天王說呪。第五鬼子母說呪。若熱	四 東 持 國 天 王 說 呪 第 五 鬼 子 母 說 呪 若 熱 
T85n2750_001:0193c15	病一日。乃至七日。熱病之鬼。我說呪護之。莫	病 一 日 乃至七日 熱 病 之 鬼 我 說 呪 護 之 莫 
T85n2750_001:0193c16	得惱亂。即說偈結罪。從諸羅剎女。說此偈已	得 惱 亂 即 說 偈 結 罪 從 諸 羅 剎 女 說 此 偈 已 
T85n2750_001:0193c17	以下。訖消眾毒藥。明以身呪。防護下依法	以 下 訖 消 眾 毒 藥 明 以 身 呪 防 護 下 依 法 
T85n2750_001:0193c18	師。便得流通。佛告諸羅剎女善哉。明如來述	師 便 得 流 通 佛 告 諸 羅 剎 女 善 哉 明 如 來 述 
T85n2750_001:0193c19	歎。汝等擁護受持法華名者。由尚福不可量。	歎 汝 等 擁 護 受 持 法 華 名 者 由 尚 福 不 可 量 
T85n2750_001:0193c20	說呪擁護。具足受持者。功德甚多。更有一	說 呪 擁 護 具 足 受 持 者 功 德 甚 多 更 有 一 
T85n2750_001:0193c21	解。下依法師。得理尠少。由尚不可限量。故	解 下 依 法 師 得 理 尠 少 由 尚 不 可 限 量 故 
T85n2750_001:0193c22	知。上依之人。得理俞深。具足受持。所以功	知 上 依 之 人 得 理 俞 深 具 足 受 持 所 以 功 
T85n2750_001:0193c23	德。不可稱計。上來明五種說呪。防護二依法	德 不可稱計 上 來 明 五 種 說 呪 防 護 二 依 法 
T85n2750_001:0193c24	師。得流通大法。以明諸人得道也。	師 得 流 通 大 法 以 明 諸 人 得 道 也 
T85n2750_001:0193c25	妙莊嚴王品	妙 莊 嚴 王 品 
