X88n1649_001:0322a06	 法喜志序	 法 喜 志 序 
X88n1649_001:0328b13	賦顯。甞著無為論曰。吾聞大人降迹。廣樹慈悲。破生	賦 顯 甞 著 無 為 論 曰 吾 聞 大 人 降 迹 廣 樹 慈 悲 破 生 
X88n1649_001:0328b14	死之樊籠。登涅槃之彼岸。闡二乘以誘物。去諸相以	死 之 樊 籠 登 涅 槃 之 彼 岸 闡 二 乘 以 誘 物 去 諸 相 以 
X88n1649_001:0328b15	歸真。有智者不見其去來。有心者莫知其終始。湛然	歸 真 有 智 者 不 見 其 去 來 有 心 者 莫 知 其 終 始 湛 然 
X88n1649_001:0328b16	常住。永絕殊途。	常 住 永 絕 殊 途 
X88n1649_001:0328b17	蕭雲英	蕭 雲 英 
X88n1649_001:0328b18	蕭子良。字雲英。敦義愛古。郡人朱百年有至行。及卒。	蕭 子 良 字 雲 英 敦 義 愛 古 郡 人 朱 百 年 有 至 行 及 卒 
X88n1649_001:0328b19	餽其妻米百斛。蠲一人給其薪。與文慧太子並精佛	餽 其 妻 米 百 斛 蠲 一 人 給 其 薪 與 文 慧 太 子 並 精 佛 
X88n1649_001:0328b20	理。而子良每招致名僧講諸佛乘。尊法之盛江左未	理 而 子 良 每 招 致 名 僧 講 諸 佛 乘 尊 法 之 盛 江 左 未 
X88n1649_001:0328b21	有。或親為眾僧賦食行水。子良甞夢東方普光世界	有 或 親 為 眾 僧 賦 食 行 水 子 良 甞 夢 東 方 普 光 世 界 
X88n1649_001:0328b22	天王如來。說淨住淨行法門。因著淨住子二十卷。淨	天 王 如 來 說 淨 住 淨 行 法 門 因 著 淨 住 子 二 十 卷 淨 
X88n1649_001:0328b23	住者即梵語布薩。謂淨身口意如戒而住也。	住 者 即 梵 語 布 薩 謂 淨 身 口 意 如 戒 而 住 也 
X88n1649_001:0328b24	范伯倫	范 伯 倫 
X88n1649_001:0328c01	范泰。字伯倫。順陽人。仕劉宋為中書郎。繼領國子祭	范 泰 字 伯 倫 順 陽 人 仕 劉 宋 為 中 書 郎 繼 領 國 子 祭 
X88n1649_001:0328c02	酒。少帝在位多失。數上封事苦諫。愽覽篇籍。撰古今	酒 少 帝 在 位 多 失 數 上 封 事 苦 諫 愽 覽 篇 籍 撰 古 今 
X88n1649_001:0328c03	善言二十四篇。暮年事佛甚精。於宅西建祇洹精舍。	善 言 二 十 四 篇 暮 年 事 佛 甚 精 於 宅 西 建 祇 洹 精 舍 
X88n1649_001:0328c04	范蔚宗	范 蔚 宗 
X88n1649_001:0328c05	范曄。字蔚宗。伯倫之子。仕宋為秘書丞。撰東漢書。有	范 曄 字 蔚 宗 伯 倫 之 子 仕 宋 為 秘 書 丞 撰 東 漢 書 有 
X88n1649_001:0328c06	西域論曰。佛道神化。興自身毒。而二漢方志莫有稱	西 域 論 曰 佛 道 神 化 興 自 身 毒 而 二 漢 方 志 莫 有 稱 
X88n1649_001:0328c07	焉。張騫但著地多暑濕。乘象而戰。班超惟列其奉浮	焉 張 騫 但 著 地 多 暑 濕 乘 象 而 戰 班 超 惟 列 其 奉 浮 
X88n1649_001:0328c08	屠不殺伐。而精文善導之功靡所傳述。予聞之。其國	屠 不 殺 伐 而 精 文 善 導 之 功 靡 所 傳 述 予 聞 之 其 國 
X88n1649_001:0328c09	殷乎中土。玉燭和氣。靈聖之所降集。賢懿之所挺生。	殷 乎 中 土 玉 燭 和 氣 靈 聖 之 所 降 集 賢 懿 之 所 挺 生 
X88n1649_001:0328c10	神迹詭異。則理絕人區。感驗明顯。則事出天外。而騫	神 迹 詭 異 則 理 絕 人 區 感 驗 明 顯 則 事 出 天 外 而 騫 
X88n1649_001:0328c11	超無聞者。豈其道閉往運。數開叔葉乎。	超 無 聞 者 豈 其 道 閉 往 運 數 開 叔 葉 乎 
X88n1649_001:0328c12	何彥德	何 彥 德 
X88n1649_001:0328c13	何尚之。字彥德。宋文帝時為侍中。帝甞謂尚之曰。范	何 尚 之 字 彥 德 宋 文 帝 時 為 侍 中 帝 甞 謂 尚 之 曰 范 
X88n1649_001:0328c14	泰謝靈運常言。六經在濟俗。若求性靈真要。必以佛	泰 謝 靈 運 常 言 六 經 在 濟 俗 若 求 性 靈 真 要 必 以 佛 
X88n1649_001:0328c15	理為指南。近見顏延之折達性論。宗炳難黑白論。竝	理 為 指 南 近 見 顏 延 之 折 達 性 論 宗 炳 難 黑 白 論 竝 
X88n1649_001:0328c16	明至理。開獎人意。若率土皆淳此化。則朕坐致太平	明 至 理 開 獎 人 意 若 率 土 皆 淳 此 化 則 朕 坐 致 太 平 
X88n1649_001:0328c17	矣。尚之曰。渡江以來。王導周顗。庾亮謝安。戴達許詢。	矣 尚 之 曰 渡 江 以 來 王 導 周 顗 庾 亮 謝 安 戴 達 許 詢 
X88n1649_001:0328c18	王蒙郗超。王坦之。臣高祖兄弟。莫不稟志歸依。夫百	王 蒙 郗 超 王 坦 之 臣 高 祖 兄 弟 莫 不 稟 志 歸 依 夫 百 
X88n1649_001:0328c19	家之鄉。十人持五戒。則十人淳謹。千室之邑。百人修	家 之 鄉 十 人 持 五 戒 則 十 人 淳 謹 千 室 之 邑 百 人 修 
X88n1649_001:0328c20	十善。則百人和睦。人能行一善則去一惡。去一惡則	十 善 則 百 人 和 睦 人 能 行 一 善 則 去 一 惡 去 一 惡 則 
X88n1649_001:0328c21	息一刑。此明旨所謂坐致太平者也。時羊元保進曰。	息 一 刑 此 明 旨 所 謂 坐 致 太 平 者 也 時 羊 元 保 進 曰 
X88n1649_001:0328c22	此談非臣所與聞。竊謂秦楚強兵。孫吳吞併。將無取	此 談 非 臣 所 與 聞 竊 謂 秦 楚 強 兵 孫 吳 吞 併 將 無 取 
X88n1649_001:0328c23	於此也。尚之曰。夫禮隱逸則戰士息。貴仁德則兵氣	於 此 也 尚 之 曰 夫 禮 隱 逸 則 戰 士 息 貴 仁 德 則 兵 氣 
X88n1649_001:0328c24	消。以孫吳為志。動期吞併。則將無取乎堯舜之道。豈	消 以 孫 吳 為 志 動 期 吞 併 則 將 無 取 乎 堯 舜 之 道 豈 
X88n1649_001:0329a01	特釋教而已哉。帝悅曰。釋門之有卿。猶孔門之有季	特 釋 教 而 已 哉 帝 悅 曰 釋 門 之 有 卿 猶 孔 門 之 有 季 
X88n1649_001:0329a02	路。惡言不入於耳也。	路 惡 言 不 入 於 耳 也 
X88n1649_001:0329a03	張孝始	張 孝 始 
X88n1649_001:0329a04	張元。字孝始。河北萬城人。年十六。其祖喪明。元憂泣。	張 元 字 孝 始 河 北 萬 城 人 年 十 六 其 祖 喪 明 元 憂 泣 
X88n1649_001:0329a05	晝夜經行以祈福佑。復誦藥師經。至盲者得視之語。	晝 夜 經 行 以 祈 福 佑 復 誦 藥 師 經 至 盲 者 得 視 之 語 
X88n1649_001:0329a06	遂請七僧燃七層燈。轉讀是經七晝夜。每日行道祝	遂 請 七 僧 燃 七 層 燈 轉 讀 是 經 七 晝 夜 每 日 行 道 祝 
X88n1649_001:0329a07	曰。元為孫不孝。使祖喪明。今以燈光竝施法界。乞祖	曰 元 為 孫 不 孝 使 祖 喪 明 今 以 燈 光 竝 施 法 界 乞 祖 
X88n1649_001:0329a08	目還明。元求代闇。是夜夢。一神僧以金篦刮其祖目。	目 還 明 元 求 代 闇 是 夜 夢 一 神 僧 以 金 篦 刮 其 祖 目 
X88n1649_001:0329a09	三日遂瘥。	三 日 遂 瘥 
X88n1649_001:0329a10	劉靈預	劉 靈 預 
X88n1649_001:0329a11	劉虬。字靈預涅陽人。抗節好學。宋太始中為當陽令。	劉 虬 字 靈 預 涅 陽 人 抗 節 好 學 宋 太 始 中 為 當 陽 令 
X88n1649_001:0329a12	後徙居江陵。竟陵王累辟不就。報書曰。暢餘音於山	後 徙 居 江 陵 竟 陵 王 累 辟 不 就 報 書 曰 暢 餘 音 於 山 
X88n1649_001:0329a13	澤。托暮情於魚鳥。遂斷穀餌朮。麻衣草履。長齋禮誦。	澤 托 暮 情 於 魚 鳥 遂 斷 穀 餌 朮 麻 衣 草 履 長 齋 禮 誦 
X88n1649_001:0329a14	六時不缺。註華嚴法華二經。	六 時 不 缺 註 華 嚴 法 華 二 經 
X88n1649_001:0329a15	周彥倫	周 彥 倫 
X88n1649_001:0329a16	周顒。子彥倫。建康人。顒於鍾山西立隱舍。清貧寡欲。	周 顒 子 彥 倫 建 康 人 顒 於 鍾 山 西 立 隱 舍 清 貧 寡 欲 
X88n1649_001:0329a17	終日長蔬。王儉問曰。山中何所食。顒曰。赤米白鹽。綠	終 日 長 蔬 王 儉 問 曰 山 中 何 所 食 顒 曰 赤 米 白 鹽 綠 
X88n1649_001:0329a18	葵紫蓼。後應詔出仕。累官國子博士。明帝頗好玄理。	葵 紫 蓼 後 應 詔 出 仕 累 官 國 子 博 士 明 帝 頗 好 玄 理 
X88n1649_001:0329a19	而所為多慘毒。顒不為顯諫。輙誦經中因緣辠福之	而 所 為 多 慘 毒 顒 不 為 顯 諫 輙 誦 經 中 因 緣 辠 福 之 
X88n1649_001:0329a20	事。帝亦為之少止。太子甞問顒卿精何如胤。顒曰三	事 帝 亦 為 之 少 止 太 子 甞 問 顒 卿 精 何 如 胤 顒 曰 三 
X88n1649_001:0329a21	塗八難。共所未免。然各有累。太子曰其累伊何。顒曰	塗 八 難 共 所 未 免 然 各 有 累 太 子 曰 其 累 伊 何 顒 曰 
X88n1649_001:0329a22	周妻何肉。顒甞建山茨寺於鍾山。今草堂寺是也。	周 妻 何 肉 顒 甞 建 山 茨 寺 於 鍾 山 今 草 堂 寺 是 也 
X88n1649_001:0329a23	顏之推	顏 之 推 
X88n1649_001:0329a24	顏之推。字子分。西魏武平中為黃門侍郎。舉家蔬食。	顏 之 推 字 子 分 西 魏 武 平 中 為 黃 門 侍 郎 舉 家 蔬 食 
X88n1649_001:0329b01	深崇佛教。有顏氏家訓行於世。其歸心篇曰。神仙之	深 崇 佛 教 有 顏 氏 家 訓 行 於 世 其 歸 心 篇 曰 神 仙 之 
X88n1649_001:0329b02	事。頗為虗放。縱使得仙。終當有死。不勸汝曹學之。佛	事 頗 為 虗 放 縱 使 得 仙 終 當 有 死 不 勸 汝 曹 學 之 佛 
X88n1649_001:0329b03	家三世之事信而有徵。家素歸心。勿生輕慢。其間妙	家 三 世 之 事 信 而 有 徵 家 素 歸 心 勿 生 輕 慢 其 間 妙 
X88n1649_001:0329b04	旨具於經論。不復於此贊述。	旨 具 於 經 論 不 復 於 此 贊 述 
X88n1649_001:0329b05	戴仲若	戴 仲 若 
X88n1649_001:0329b06	戴顒。字仲若。逵之子。才巧如其父。江夷甞托顒造觀	戴 顒 字 仲 若 逵 之 子 才 巧 如 其 父 江 夷 甞 托 顒 造 觀 
X88n1649_001:0329b07	音像。積年未成。夜夢神曰。江夷與觀音機緣未契。可	音 像 積 年 未 成 夜 夢 神 曰 江 夷 與 觀 音 機 緣 未 契 可 
X88n1649_001:0329b08	改為彌勒。顒即馳報而夷書已至。俱於此夕感夢。觸	改 為 彌 勒 顒 即 馳 報 而 夷 書 已 至 俱 於 此 夕 感 夢 觸 
X88n1649_001:0329b09	手成妙像。今在會稽龍華寺。顒超逸多風。以剡縣多	手 成 妙 像 今 在 會 稽 龍 華 寺 顒 超 逸 多 風 以 剡 縣 多 
X88n1649_001:0329b10	名山。故世居剡。桐廬復多名山。故復居桐廬。己又愛	名 山 故 世 居 剡 桐 廬 復 多 名 山 故 復 居 桐 廬 己 又 愛 
X88n1649_001:0329b11	吳下佳山水。復游吳下。吳中好事者。共為築室。至聚	吳 下 佳 山 水 復 游 吳 下 吳 中 好 事 者 共 為 築 室 至 聚 
X88n1649_001:0329b12	石開澗以居之。甞著逍遙論。註禮中庸篇。永初嘉中	石 開 澗 以 居 之 甞 著 逍 遙 論 註 禮 中 庸 篇 永 初 嘉 中 
X88n1649_001:0329b13	累徵不就。	累 徵 不 就 
X88n1649_001:0329b14	謝慶緒	謝 慶 緒 
X88n1649_001:0329b15	謝敷。字慶緒。會稽人。崇信釋氏。初入太平山中十餘	謝 敷 字 慶 緒 會 稽 人 崇 信 釋 氏 初 入 太 平 山 中 十 餘 
X88n1649_001:0329b16	年。以長齋供佛為業。招引同事化導不倦。以母老還	年 以 長 齋 供 佛 為 業 招 引 同 事 化 導 不 倦 以 母 老 還 
X88n1649_001:0329b17	南山若耶中。內史郗愔表薦之。徵博士不就。郗尚書	南 山 若 耶 中 內 史 郗 愔 表 薦 之 徵 博 士 不 就 郗 尚 書 
X88n1649_001:0329b18	甞曰。謝慶緒識見雖不絕人。可以累心處都盡。	甞 曰 謝 慶 緒 識 見 雖 不 絕 人 可 以 累 心 處 都 盡 
X88n1649_001:0329b19	顏延年	顏 延 年 
X88n1649_001:0329b20	顏延之。字延年。瑯琊人。官至太常卿。居身清約。不營	顏 延 之 字 延 年 瑯 琊 人 官 至 太 常 卿 居 身 清 約 不 營 
X88n1649_001:0329b21	財利。子竣既貴重。權傾一朝。凡所資供。延之一無所	財 利 子 竣 既 貴 重 權 傾 一 朝 凡 所 資 供 延 之 一 無 所 
X88n1649_001:0329b22	受。宅宇如舊。見竣起宅。謂曰。善為之。無令後人笑汝	受 宅 宇 如 舊 見 竣 起 宅 謂 曰 善 為 之 無 令 後 人 笑 汝 
X88n1649_001:0329b23	拙也。釋慧亮過江。止何園寺。講蓮花大小品十地等。	拙 也 釋 慧 亮 過 江 止 何 園 寺 講 蓮 花 大 小 品 十 地 等 
X88n1649_001:0329b24	延之眷德流連。每歎曰。安汰吐珠玉於前。斌亮振金	延 之 眷 德 流 連 每 歎 曰 安 汰 吐 珠 玉 於 前 斌 亮 振 金 
X88n1649_001:0329c01	聲於後。清言妙緒。將絕復興。	聲 於 後 清 言 妙 緒 將 絕 復 興 
X88n1649_001:0329c02	何子皙	何 子 皙 
X88n1649_001:0329c03	何點。字子皙。偃之子。尚之孫。點明目秀眉。容貌方雅。	何 點 字 子 皙 偃 之 子 尚 之 孫 點 明 目 秀 眉 容 貌 方 雅 
X88n1649_001:0329c04	不以門戶自矜。或駕柴車。或躡草履。隨意所適必醉	不 以 門 戶 自 矜 或 駕 柴 車 或 躡 草 履 隨 意 所 適 必 醉 
X88n1649_001:0329c05	歸。人謂之通隱。梁武帝賜以鹿皮巾召見。引入華林	歸 人 謂 之 通 隱 梁 武 帝 賜 以 鹿 皮 巾 召 見 引 入 華 林 
X88n1649_001:0329c06	園。詔拜常侍。點以手捋帝鬚曰。乃欲臣老子耶。遂辭	園 詔 拜 常 侍 點 以 手 捋 帝 鬚 曰 乃 欲 臣 老 子 耶 遂 辭 
X88n1649_001:0329c07	去。一時名士如陳郡謝瀹。吳國張融。會稽孔德璋為	去 一 時 名 士 如 陳 郡 謝 瀹 吳 國 張 融 會 稽 孔 德 璋 為 
X88n1649_001:0329c08	莫逆友。點門世信佛。以會稽山多靈異往游焉。居若	莫 逆 友 點 門 世 信 佛 以 會 稽 山 多 靈 異 往 游 焉 居 若 
X88n1649_001:0329c09	耶山雲門寺。兄求弟胤。竝從棲遯。世號點為大山。胤	耶 山 雲 門 寺 兄 求 弟 胤 竝 從 棲 遯 世 號 點 為 大 山 胤 
X88n1649_001:0329c10	為小山。求為東山。	為 小 山 求 為 東 山 
X88n1649_001:0329c11	劉士光	劉 士 光 
X88n1649_001:0329c12	劉歊。字士光。平原人。奉母兄以孝弟聞。母每病夢歊	劉 歊 字 士 光 平 原 人 奉 母 兄 以 孝 弟 聞 母 每 病 夢 歊 
X88n1649_001:0329c13	進藥。翌日有問。弟劉訏常戴穀皮巾。披衲衣。每游山	進 藥 翌 日 有 問 弟 劉 訏 常 戴 穀 皮 巾 披 衲 衣 每 游 山 
X88n1649_001:0329c14	山澤。留連忘返。訏善玄言。尤精釋典。與兄歊聽講鍾	山 澤 留 連 忘 返 訏 善 玄 言 尤 精 釋 典 與 兄 歊 聽 講 鍾 
X88n1649_001:0329c15	山。因共卜築有終焉之志。歊所著有革終論。以為形	山 因 共 卜 築 有 終 焉 之 志 歊 所 著 有 革 終 論 以 為 形 
X88n1649_001:0329c16	之於神。逆旅之館耳。既死神去。館乃速朽。世稱其達。	之 於 神 逆 旅 之 館 耳 既 死 神 去 館 乃 速 朽 世 稱 其 達 
X88n1649_001:0329c17	卒諡貞節先生。	卒 諡 貞 節 先 生 
X88n1649_001:0329c18	袁景倩	袁 景 倩 
X88n1649_001:0329c19	袁粲。字景倩。幼孤好讀書。及長有風操。甞著妙德先	袁 粲 字 景 倩 幼 孤 好 讀 書 及 長 有 風 操 甞 著 妙 德 先 
X88n1649_001:0329c20	生傳。仕宋累官尚書左僕射。出鎮石頭城。為劉僧靜	生 傳 仕 宋 累 官 尚 書 左 僕 射 出 鎮 石 頭 城 為 劉 僧 靜 
X88n1649_001:0329c21	所殺。子最以身衛父俱死。粲語最曰。我不失為忠臣。	所 殺 子 最 以 身 衛 父 俱 死 粲 語 最 曰 我 不 失 為 忠 臣 
X88n1649_001:0329c22	汝不失為孝子。逸士顧歡偏主道教。粲為論以駁之。	汝 不 失 為 孝 子 逸 士 顧 歡 偏 主 道 教 粲 為 論 以 駁 之 
X88n1649_001:0329c23	謂孔老教俗為本。釋氏出世為宗。發軫既殊。其歸亦	謂 孔 老 教 俗 為 本 釋 氏 出 世 為 宗 發 軫 既 殊 其 歸 亦 
X88n1649_001:0329c24	異。又仙道以變形為尚。泥洹以陶神為先。變形者。白	異 又 仙 道 以 變 形 為 尚 泥 洹 以 陶 神 為 先 變 形 者 白 
X88n1649_001:0330a01	首窮玄。而未能無死。陶神者。塵惑日損。而湛然常住。	首 窮 玄 而 未 能 無 死 陶 神 者 塵 惑 日 損 而 湛 然 常 住 
X88n1649_001:0330a02	王淮之	王 淮 之 
X88n1649_001:0330a03	王淮之。字元會。瑯琊人。世尚儒業。不信佛法。常謂身	王 淮 之 字 元 會 瑯 琊 人 世 尚 儒 業 不 信 佛 法 常 謂 身 
X88n1649_001:0330a04	神俱滅。寧有三世耶。元嘉中為丹陽令。病絕少蘇。時	神 俱 滅 寧 有 三 世 耶 元 嘉 中 為 丹 陽 令 病 絕 少 蘇 時 
X88n1649_001:0330a05	建康令賀道力省疾。淮之語道力曰。身死神存。始知	建 康 令 賀 道 力 省 疾 淮 之 語 道 力 曰 身 死 神 存 始 知 
X88n1649_001:0330a06	釋教不虗。道力曰。明府生平置論不爾。今何見而輙	釋 教 不 虗 道 力 曰 明 府 生 平 置 論 不 爾 今 何 見 而 輙 
X88n1649_001:0330a07	異之耶。淮之斂容答云。神實不盡。佛氏不可不信。語	異 之 耶 淮 之 斂 容 答 云 神 實 不 盡 佛 氏 不 可 不 信 語 
X88n1649_001:0330a08	訖而終。	訖 而 終 
X88n1649_001:0330a09	何子季	何 子 季 
X88n1649_001:0330a10	何胤。字子季。少好學。師事沛國劉巘。受易及禮記毛	何 胤 字 子 季 少 好 學 師 事 沛 國 劉 巘 受 易 及 禮 記 毛 
X88n1649_001:0330a11	詩。時入鍾山定林寺聽內典。仕齊為建安太守。每伏	詩 時 入 鍾 山 定 林 寺 聽 內 典 仕 齊 為 建 安 太 守 每 伏 
X88n1649_001:0330a12	臘放囚還家。依期而返。胤甞與門人議蔬食。門人上	臘 放 囚 還 家 依 期 而 返 胤 甞 與 門 人 議 蔬 食 門 人 上 
X88n1649_001:0330a13	疏曰。變之大者無如死生。死生之所重無踰性命。性	疏 曰 變 之 大 者 無 如 死 生 死 生 之 所 重 無 踰 性 命 性 
X88n1649_001:0330a14	命之於彼極切。滋味之在我可賒。如云一往一來生	命 之 於 彼 極 切 滋 味 之 在 我 可 賒 如 云 一 往 一 來 生 
X88n1649_001:0330a15	死常事。則傷心之慘行亦自及。胤之末年遂絕血味。	死 常 事 則 傷 心 之 慘 行 亦 自 及 胤 之 末 年 遂 絕 血 味 
X88n1649_001:0330a16	蘇瓊	蘇 瓊 
X88n1649_001:0330a17	蘇瓊。字珍之。武強人。為清河太守。郡父老甞獻瓜二	蘇 瓊 字 珍 之 武 強 人 為 清 河 太 守 郡 父 老 甞 獻 瓜 二 
X88n1649_001:0330a18	頭。瓊置梁上終不割。性喜禪理。有沙門入謁。意欲徵	頭 瓊 置 梁 上 終 不 割 性 喜 禪 理 有 沙 門 入 謁 意 欲 徵 
X88n1649_001:0330a19	債。瓊竟日與之談玄。沙門無從啟口。弟子問故。沙門	債 瓊 竟 日 與 之 談 玄 沙 門 無 從 啟 口 弟 子 問 故 沙 門 
X88n1649_001:0330a20	曰。每見府君。徑將我入青雲間去。何由得論地上事	曰 每 見 府 君 徑 將 我 入 青 雲 間 去 何 由 得 論 地 上 事 
X88n1649_001:0330a21	耶。遂焚其券。	耶 遂 焚 其 券 
X88n1649_001:0330a23	法喜志卷一	法 喜 志 卷 一 
X88n1649_002:0330b03	法喜志卷二	法 喜 志 卷 二 
X88n1649_002:0330b05	氷蓮道人　夏樹芳　輯	氷 蓮 道 人 夏 樹 芳 輯 
X88n1649_002:0330b06	寤斗居士　馮　定　閱	寤 斗 居 士 馮 定 閱 
X88n1649_002:0330b07	陶貞白	陶 貞 白 
X88n1649_002:0330b08	陶弘景。字通明。丹陽人。母霍氏。夢天人手執香爐降	陶 弘 景 字 通 明 丹 陽 人 母 霍 氏 夢 天 人 手 執 香 爐 降 
X88n1649_002:0330b09	其家。有娠生弘景。宋末為諸王侍讀。齊永明中脫朝	其 家 有 娠 生 弘 景 宋 末 為 諸 王 侍 讀 齊 永 明 中 脫 朝 
X88n1649_002:0330b10	衣挂神武門。上表辭祿。公卿祖征虜亭。供張甚盛。朝	衣 挂 神 武 門 上 表 辭 祿 公 卿 祖 征 虜 亭 供 張 甚 盛 朝 
X88n1649_002:0330b11	野榮之。止句曲華陽洞天。築危樓三層自處其上。百	野 榮 之 止 句 曲 華 陽 洞 天 築 危 樓 三 層 自 處 其 上 百 
X88n1649_002:0330b12	應遂絕。間一聽吹笙而已。庭院皆植松。每一聽松風。	應 遂 絕 間 一 聽 吹 笙 而 已 庭 院 皆 植 松 每 一 聽 松 風 
X88n1649_002:0330b13	欣然自樂。與梁武帝有布衣舊。即位後手詔召之。弘	欣 然 自 樂 與 梁 武 帝 有 布 衣 舊 即 位 後 手 詔 召 之 弘 
X88n1649_002:0330b14	景畵兩牛。一散放水草。一著金絡頭紖而策之。帝笑	景 畵 兩 牛 一 散 放 水 草 一 著 金 絡 頭 紖 而 策 之 帝 笑 
X88n1649_002:0330b15	曰。此何減莊生龜臾尾耶。乃罷不復徵。而朝家大事	曰 此 何 減 莊 生 龜 臾 尾 耶 乃 罷 不 復 徵 而 朝 家 大 事 
X88n1649_002:0330b16	無不取決。帝每得弘景書。必焚香盥讀。尚書令沈約	無 不 取 決 帝 每 得 弘 景 書 必 焚 香 盥 讀 尚 書 令 沈 約 
X88n1649_002:0330b17	以下。皆屏師資之敬。時謂山中宰相。甞建菩薩白塔	以 下 皆 屏 師 資 之 敬 時 謂 山 中 宰 相 甞 建 菩 薩 白 塔 
X88n1649_002:0330b18	於三茅山。又夢佛授記。名勝力菩薩。乃詣鄮縣阿育	於 三 茅 山 又 夢 佛 授 記 名 勝 力 菩 薩 乃 詣 鄮 縣 阿 育 
X88n1649_002:0330b19	王塔。自誓受五大戒。臨終不用沐浴。以大袈裟覆衾	王 塔 自 誓 受 五 大 戒 臨 終 不 用 沐 浴 以 大 袈 裟 覆 衾 
X88n1649_002:0330b20	上。弟子遵之。年八十五。諡貞白先生。	上 弟 子 遵 之 年 八 十 五 諡 貞 白 先 生 
X88n1649_002:0330b21	荀公普	荀 公 普 
X88n1649_002:0330b22	荀勗。字公普。武帝朝領秘書監。得汲郡塚中竹書。撰	荀 勗 字 公 普 武 帝 朝 領 秘 書 監 得 汲 郡 塚 中 竹 書 撰 
X88n1649_002:0330b23	次以為中經。列在秘書。自中書遷尚書令。人賀之。曰	次 以 為 中 經 列 在 秘 書 自 中 書 遷 尚 書 令 人 賀 之 曰 
X88n1649_002:0330b24	奪我鳳凰池。諸君何賀耶。泰始二年。勗於洛下造金	奪 我 鳳 凰 池 諸 君 何 賀 耶 泰 始 二 年 勗 於 洛 下 造 金 
X88n1649_002:0330c01	像佛菩薩十二。身放大光明。都人競集瞻禮。	像 佛 菩 薩 十 二 身 放大光明 都 人 競 集 瞻 禮 
X88n1649_002:0330c02	劉慧斐	劉 慧 斐 
X88n1649_002:0330c03	劉慧斐。字宣文。彭城人。博學工文辭。起家梁安成王	劉 慧 斐 字 宣 文 彭 城 人 博 學 工 文 辭 起 家 梁 安 成 王 
X88n1649_002:0330c04	參軍。隱居東林寺。自搆一小園名離垢。時人因稱為	參 軍 隱 居 東 林 寺 自 搆 一 小 園 名 離 垢 時 人 因 稱 為 
X88n1649_002:0330c05	離垢先生。與張孝秀同游。相得甚歡。論者謂遠法師	離 垢 先 生 與 張 孝 秀 同 游 相 得 甚 歡 論 者 謂 遠 法 師 
X88n1649_002:0330c06	後將二百年。方有張劉之盛。	後 將 二 百 年 方 有 張 劉 之 盛 
X88n1649_002:0330c07	陸佐公	陸 佐 公 
X88n1649_002:0330c08	陸倕。字佐公。少勤學。善屬文。永明中。同謝眺等八人。	陸 倕 字 佐 公 少 勤 學 善 屬 文 永 明 中 同 謝 眺 等 八 人 
X88n1649_002:0330c09	竝以文學親侍。累遷給事黃門侍郎。天監初。與劉孝	竝 以 文 學 親 侍 累 遷 給 事 黃 門 侍 郎 天 監 初 與 劉 孝 
X88n1649_002:0330c10	綽。為龍門之游。甞撰誌公塔銘曰。緒胄莫詳。邑居罕	綽 為 龍 門 之 游 甞 撰 誌 公 塔 銘 曰 緒 胄 莫 詳 邑 居 罕 
X88n1649_002:0330c11	見。譬彼湧出。猶如空現。言無成則。服匪恒倫。坐亡立	見 譬 彼 湧 出 猶 如 空 現 言 無 成 則 服 匪 恒 倫 坐 亡 立 
X88n1649_002:0330c12	在。折體分神。動足牆立。發言風偃。徒識靈奇。莫究深	在 折 體 分 神 動 足 牆 立 發 言 風 偃 徒 識 靈 奇 莫 究 深 
X88n1649_002:0330c13	淺。	淺 
X88n1649_002:0330c14	孔彥深	孔 彥 深 
X88n1649_002:0330c15	孔淳之。字彥深。居會稽剡縣。性好山水。每有所游。必	孔 淳 之 字 彥 深 居 會 稽 剡 縣 性 好 山 水 每 有 所 游 必 
X88n1649_002:0330c16	窮其幽峻。甞游山遇沙門法崇。因留共上。遂停三載。	窮 其 幽 峻 甞 游 山 遇 沙 門 法 崇 因 留 共 上 遂 停 三 載 
X88n1649_002:0330c17	因指法崇歎曰。緬想人外三十年矣。今乃傾盖於茲。	因 指 法 崇 歎 曰 緬 想 人 外 三 十 年 矣 今 乃 傾 盖 於 茲 
X88n1649_002:0330c18	不覺老之將至也。會稽太守謝方明苦要之不能致。	不 覺 老 之 將 至 也 會 稽 太 守 謝 方 明 苦 要 之 不 能 致 
X88n1649_002:0330c19	使謂曰。苟不入吾郡。何為入吾郭。淳之笑曰。潛游者	使 謂 曰 苟 不 入 吾 郡 何 為 入 吾 郭 淳 之 笑 曰 潛 游 者 
X88n1649_002:0330c20	不識其水。巢棲者非辨其林。飛沉所至。何問其主。元	不 識 其 水 巢 棲 者 非 辨 其 林 飛 沉 所 至 何 問 其 主 元 
X88n1649_002:0330c21	嘉初徵為散騎侍郎不就。	嘉 初 徵 為 散 騎 侍 郎 不 就 
X88n1649_002:0330c22	梁敬之	梁 敬 之 
X88n1649_002:0330c23	梁肅。字敬之。以文辭清麗擢太子挍書郎。修國史。累	梁 肅 字 敬 之 以 文 辭 清 麗 擢 太 子 挍 書 郎 修 國 史 累 
X88n1649_002:0330c24	官翰林學士。學天台教於荊谿禪師。深得法要。以止	官 翰 林 學 士 學 天 台 教 於 荊 谿 禪 師 深 得 法 要 以 止 
