T46n1931_001:0773c19	四教頌	四 教 頌 
T46n1931_001:0776a06	修多羅藏(四阿含等經)二阿毘曇藏(俱舍婆沙等論)三毘尼藏	修 多 羅 藏 四 阿 含 等 經 二 阿 毘 曇 藏 俱 舍 婆 沙 等 論 三 毘 尼 藏 
T46n1931_001:0776a07	(五部律)此之三藏名通大小。今取小乘三藏也。大	 五 部 律 此 之 三 藏 名 通 大 小 今 取 小 乘 三 藏 也 大 
T46n1931_001:0776a08	智度論云。迦旃延子。自以聰明利根。於婆沙	智 度 論 云 迦 旃 延 子 自 以 聰 明 利 根 於 婆 沙 
T46n1931_001:0776a09	中明三藏義。不讀衍經。非大菩薩。又法華	中 明 三 藏 義 不 讀 衍 經 非 大 菩 薩 又 法 華 
T46n1931_001:0776a10	云。貪著小乘三藏學者。依此等文故。大師稱	云 貪 著 小 乘 三藏學者 依 此 等 文 故 大 師 稱 
T46n1931_001:0776a11	小乘為三藏教。此有三乘根性。初聲聞人依	小 乘 為 三 藏 教 此 有 三 乘 根 性 初 聲 聞 人 依 
T46n1931_001:0776a12	生滅四諦教。言四諦者。一苦諦。二十五有	生 滅 四 諦 教 言 四 諦 者 一 苦 諦 二十五有 
T46n1931_001:0776a13	依正二報是。言二十五有者。四洲四惡趣六	依 正 二 報 是 言 二十五有 者 四 洲 四 惡 趣 六 
T46n1931_001:0776a14	欲。并梵天四禪四空處無想五那含(四洲四趣成八。六	欲 并 梵 天 四 禪 四 空 處 無 想 五 那 含 四 洲 四 趣 成 八 六 
T46n1931_001:0776a15	欲天并梵王天成十五。四禪四空處成二十三。無想天及那含天成二十五)別則二十五	欲 天 并 梵 王 天 成 十 五 四 禪 四 空 處 成 二 十 三 無 想 天 及 那 含 天 成 二 十 五 別 則 二 十 五 
T46n1931_001:0776a16	有。總則六道生死。一地獄道。梵語捺洛迦。又	有 總 則 六道生死 一 地 獄 道 梵 語 捺 洛 迦 又 
T46n1931_001:0776a17	語泥黎。此翻苦具。而言地獄者。此處在地	語 泥 黎 此 翻 苦 具 而 言 地 獄 者 此 處 在 地 
T46n1931_001:0776a18	之下。故言地獄。謂八寒八熱等大獄。各有	之 下 故 言 地 獄 謂 八 寒 八 熱 等 大 獄 各 有 
T46n1931_001:0776a19	眷屬其類無數。其中受苦者。隨其作業各有	眷 屬 其 類 無 數 其 中 受 苦 者 隨 其 作 業 各 有 
T46n1931_001:0776a20	輕重。經劫數等。其最重處。一日之中八萬	輕 重 經 劫 數 等 其 最 重 處 一 日 之 中 八 萬 
T46n1931_001:0776a21	四千生死。經劫無量。作上品五逆十惡者。感	四 千 生 死 經 劫 無 量 作 上 品 五 逆 十 惡 者 感 
T46n1931_001:0776a22	此道身。二畜生道。亦云旁生。此道遍在諸	此 道 身 二 畜 生 道 亦 云 旁 生 此 道 遍 在 諸 
T46n1931_001:0776a23	處。披毛戴角。鱗甲羽毛。四足多足。有足無	處 披 毛 戴 角 鱗 甲 羽 毛 四 足 多 足 有 足 無 
T46n1931_001:0776a24	足。水陸空行。互相吞噉。受苦無窮。愚癡貪	足 水 陸 空 行 互 相 吞 噉 受 苦 無 窮 愚 癡 貪 
T46n1931_001:0776a25	欲作中品五逆十惡者。感此道身。三餓鬼道。	欲 作 中 品 五 逆 十 惡 者 感 此 道 身 三 餓 鬼 道 
T46n1931_001:0776a26	梵語闍黎哆。此道亦遍諸趣。有福德者。作	梵 語 闍 黎 哆 此 道 亦 遍 諸 趣 有 福 德 者 作 
T46n1931_001:0776a27	山林塚廟神。無福德者。居不淨處。不得飲	山 林 塚 廟 神 無 福 德 者 居 不 淨 處 不 得 飲 
T46n1931_001:0776a28	食。常受鞭打填河塞海。受苦無量。諂誑心意	食 常 受 鞭 打 填 河 塞 海 受 苦 無 量 諂 誑 心 意 
T46n1931_001:0776a29	作下品五逆十惡。感此道身。四阿修羅道。此	作 下 品 五 逆 十 惡 感 此 道 身 四 阿修羅道 此 
T46n1931_001:0776b01	翻無酒。又無端正又無天。或在海岸海底宮	翻 無 酒 又 無 端 正 又 無 天 或 在 海 岸 海 底 宮 
T46n1931_001:0776b02	殿嚴飾。常好鬪戰怕怖無極。在因之時懷猜	殿 嚴 飾 常 好 鬪 戰 怕 怖 無 極 在 因 之 時 懷 猜 
T46n1931_001:0776b03	忌心。雖行五常欲勝他故。作下品十善。感	忌 心 雖 行 五 常 欲 勝 他 故 作 下 品 十 善 感 
T46n1931_001:0776b04	此道身。五人道。四洲不同。謂東弗婆提(壽二百五	此 道 身 五 人 道 四 洲 不 同 謂 東弗婆提 壽 二 百 五 
T46n1931_001:0776b05	十歲)南閻浮提(壽一百歲)西瞿耶尼(壽五百歲)北欝單越(壽一	十 歲 南 閻 浮 提 壽 一 百 歲 西 瞿 耶 尼 壽 五 百 歲 北 欝 單 越 壽 一 
T46n1931_001:0776b06	千歲命無中夭。聖人不出其中。即八難之一)皆苦樂相間。在因之時行	千 歲 命 無 中 夭 聖 人 不 出 其 中 即 八 難 之 一 皆 苦 樂 相 間 在 因 之 時 行 
T46n1931_001:0776b07	五常五戒。五常者。仁義禮智信。五戒者。不	五 常 五 戒 五 常 者 仁 義 禮 智 信 五 戒 者 不 
T46n1931_001:0776b08	殺不盜不邪淫不妄語不飲酒。行中品十善。	殺 不 盜 不 邪 淫 不 妄 語 不 飲 酒 行 中 品 十 善 
T46n1931_001:0776b09	感此道身。六天道。二十八天不同(欲界六天。色界十八	感 此 道 身 六 天 道 二十八天 不 同 欲界六天 色 界 十 八 
T46n1931_001:0776b10	天。無色界四天)初欲界六天者。一四天王天(居須彌山腹)二	天 無色界四天 初 欲界六天 者 一 四天王天 居 須 彌 山 腹 二 
T46n1931_001:0776b11	忉利天(居須彌山頂。自有三十三天。已上二天單修上品十善。得生其中)三夜摩天。	忉 利 天 居 須彌山頂 自 有 三十三天 已 上 二 天 單 修 上 品 十 善 得 生 其 中 三 夜 摩 天 
T46n1931_001:0776b12	四兜率天。五化樂天。六他化自在天(已上四天空居。修	四 兜 率 天 五 化 樂 天 六 他化自在天 已 上 四 天 空 居 修 
T46n1931_001:0776b13	上品十善。兼坐未到定。得生其中)次色界十八天分為四禪。初	上 品 十 善 兼 坐 未 到 定 得 生 其 中 次 色 界 十 八 天 分 為 四 禪 初 
T46n1931_001:0776b14	禪三天(梵眾梵輔大梵)二禪三天(少光無量光光音)三禪三天(少淨無量	禪 三 天 梵 眾 梵 輔 大 梵 二禪三天 少 光 無 量 光 光 音 三禪三天 少 淨 無 量 
T46n1931_001:0776b15	淨遍淨)四禪九天(無雲福生廣果。已上三天凡夫住處。修上品十善坐禪者得生其中。無想天	淨 遍 淨 四 禪 九 天 無 雲 福 生 廣 果 已 上 三 天 凡 夫 住 處 修 上 品 十 善 坐 禪 者 得 生 其 中 無 想 天 
T46n1931_001:0776b16	外道所居。無煩無熱善見善現色究竟。已上五天第三	外 道 所 居 無 煩 無 熱 善 見 善 現 色 究 竟 已 上 五 天 第 三 
T46n1931_001:0776b17	果居處。上之九天離欲麁散。未出色籠故名色界。坐得	果 居 處 上 之 九 天 離 欲 麁 散 未 出 色 籠 故 名 色 界 坐 得 
T46n1931_001:0776b18	禪定故得禪名)三無色界四天(空處識處無所有處非非想。已上四天只有四陰而無色	禪 定 故 得 禪 名 三 無色界四天 空 處 識 處 無所有處 非 非 想 已 上 四 天 只 有 四 陰 而 無 色 
T46n1931_001:0776b19	蘊。故得名也)上來所釋。從地獄至非非想天。雖然	蘊 故 得 名 也 上 來 所 釋 從 地 獄 至 非 非 想 天 雖 然 
T46n1931_001:0776b20	苦樂不同。未免生而復死死已還生。故名生	苦 樂 不 同 未 免 生 而 復 死 死 已 還 生 故 名 生 
T46n1931_001:0776b21	死。此是藏教實有苦諦。二集諦者。即見思	死 此 是 藏 教 實 有 苦 諦 二 集 諦 者 即 見 思 
T46n1931_001:0776b22	惑。又云見修。又云四住。又云染污無知。又	惑 又 云 見 修 又 云 四 住 又 云 染 污 無 知 又 
T46n1931_001:0776b23	云取相惑。又云枝末無明。又云通惑。又云	云 取 相 惑 又 云 枝 末 無 明 又 云 通 惑 又 云 
T46n1931_001:0776b24	界內惑。雖名不同。但見思耳。初釋見惑。有	界 內 惑 雖 名 不 同 但 見 思 耳 初 釋 見 惑 有 
T46n1931_001:0776b25	八十八使。所謂一身見。二邊見。三見取。四	八 十 八 使 所 謂 一 身 見 二 邊 見 三 見 取 四 
T46n1931_001:0776b26	戒取。五邪見(已上利使)六貪。七瞋。八癡。九慢。十	戒 取 五 邪 見 已 上 利 使 六 貪 七 瞋 八 癡 九 慢 十 
T46n1931_001:0776b27	疑(已上鈍使)此十使歷三界四諦下。增減不同。成	疑 已 上 鈍 使 此 十 使 歷 三 界 四 諦 下 增 減 不 同 成 
T46n1931_001:0776b28	八十八。謂欲界苦十使具足。集滅各七使。除	八 十 八 謂 欲 界 苦 十 使 具 足 集 滅 各 七 使 除 
T46n1931_001:0776b29	身見邊見戒取。道諦八使。除身見邊見。四	身見邊見 戒 取 道 諦 八 使 除 身見邊見 四 
T46n1931_001:0776c01	諦下合為三十二。上二界四諦下。餘皆如欲	諦 下 合 為 三 十 二 上 二 界 四 諦 下 餘 皆 如 欲 
T46n1931_001:0776c02	界。只於每諦下除瞋使。故一界各有二十八。	界 只 於 每 諦 下 除 瞋 使 故 一 界 各 有 二 十 八 
T46n1931_001:0776c03	二界合為五十六。并前三十二。合為八十八	二 界 合 為 五 十 六 并 前 三 十 二 合 為 八 十 八 
T46n1931_001:0776c04	使也。二明思惑者。有八十一品。謂三界分	使 也 二 明 思 惑 者 有 八 十 一 品 謂 三 界 分 
T46n1931_001:0776c05	為九地。欲界合為一地。四禪四定為八。共	為 九 地 欲 界 合 為 一 地 四 禪 四 定 為 八 共 
T46n1931_001:0776c06	為九地。欲界一地中。有九品貪瞋癡慢。言	為 九 地 欲 界 一 地 中 有 九 品 貪 瞋 癡 慢 言 
T46n1931_001:0776c07	九品者。上上上中上下。中上中中中下。下上	九 品 者 上 上 上 中 上 下 中 上 中 中 中 下 下 上 
T46n1931_001:0776c08	下中下下。上八地各有九品。除瞋使。故成	下 中 下 下 上 八 地 各 有 九 品 除 瞋 使 故 成 
T46n1931_001:0776c09	八十一也。上來見思不同。總是藏教實有集	八 十 一 也 上 來 見 思 不 同 總 是 藏 教 實 有 集 
T46n1931_001:0776c10	諦。三滅諦者。滅前苦集。顯偏真理。因滅會	諦 三 滅 諦 者 滅 前 苦 集 顯 偏 真 理 因 滅 會 
T46n1931_001:0776c11	真。滅非真諦。四道諦者。略則戒定慧。廣則三	真 滅 非 真 諦 四 道 諦 者 略 則 戒 定 慧 廣 則 三 
T46n1931_001:0776c12	十七道品。此三十七合為七科。一四念處。一	十 七 道 品 此 三 十 七 合 為 七 科 一 四 念 處 一 
T46n1931_001:0776c13	觀身不淨(色蘊)二觀受是苦(受蘊)三觀心無常(識蘊)四	觀 身 不 淨 色 蘊 二 觀 受 是 苦 受 蘊 三 觀 心 無 常 識 蘊 四 
T46n1931_001:0776c14	觀法無我(想行蘊)二四正勤。一未生惡令不生。	觀法無我 想 行 蘊 二 四 正 勤 一 未生惡令不生 
T46n1931_001:0776c15	二已生惡令滅。三未生善令生。四已生善令	二 已生惡令滅 三 未生善令生 四 已 生 善 令 
T46n1931_001:0776c16	增長。三四如意足(欲念進慧)四五根(信進念定慧)五五力	增 長 三 四如意足 欲 念 進 慧 四 五 根 信 進 念 定 慧 五 五 力 
T46n1931_001:0776c17	(同上根名)六七覺支(念擇進喜輕安定捨)七八正道(正見正思惟正語正業正精進正定	 同 上 根 名 六 七 覺 支 念 擇 進 喜 輕 安 定 捨 七 八 正 道 正 見 正 思 惟 正 語 正 業 正 精 進 正 定 
T46n1931_001:0776c18	正念正命)。已上七科。即是藏教生滅道諦。然如前	正 念 正 命 已 上 七 科 即 是 藏 教 生 滅 道 諦 然 如 前 
T46n1931_001:0776c19	所列四諦名數。通下三教。但是隨教廣狹勝	所 列 四 諦 名 數 通 下 三 教 但 是 隨 教 廣 狹 勝 
T46n1931_001:0776c20	劣。生滅無生無量無作不同耳。故向下名數	劣 生 滅 無 生 無 量 無 作 不 同 耳 故 向 下 名 數 
T46n1931_001:0776c21	更不再列。然四諦之中分世出世。前二諦為	更 不 再 列 然 四 諦 之 中 分 世 出 世 前 二 諦 為 
T46n1931_001:0776c22	世間因果(苦果集因)。後二諦為出世間因果(滅果道因)。問何	世 間 因 果 苦 果 集 因 後 二 諦 為 出 世 間 因 果 滅 果 道 因 問 何 
T46n1931_001:0776c23	故世出世前果後因耶。答聲聞根鈍知苦斷	故 世 出 世 前 果 後 因 耶 答 聲 聞 根 鈍 知 苦 斷 
T46n1931_001:0776c24	集慕果修因。是故然也。略明藏教修行人之	集 慕 果 修 因 是 故 然 也 略 明 藏 教 修 行 人 之 
T46n1931_001:0776c25	與位。初明聲聞位分二。初凡二聖。凡又二。	與 位 初 明 聲 聞 位 分 二 初 凡 二 聖 凡 又 二 
T46n1931_001:0776c26	外凡內凡。釋外凡中自分三。初五停心。一	外 凡 內 凡 釋 外 凡 中 自 分 三 初 五 停 心 一 
T46n1931_001:0776c27	多貪眾生不淨觀。二多嗔眾生慈悲觀。三多	多 貪 眾 生 不 淨 觀 二 多 嗔 眾 生 慈 悲 觀 三 多 
T46n1931_001:0776c28	散眾生數息觀。四愚癡眾生因緣觀。五多障	散 眾 生 數 息 觀 四 愚 癡 眾 生 因 緣 觀 五 多 障 
T46n1931_001:0776c29	眾生念佛觀。二別相念處(如前四念處是)。三總相念處	眾 生 念 佛 觀 二 別相念處 如 前 四 念 處 是 三 總 相 念 處 
T46n1931_001:0777a01	一觀身不淨。受心法皆不淨。乃至觀法無我。	一 觀 身 不 淨 受 心 法 皆 不 淨 乃 至 觀法無我 
T46n1931_001:0777a02	身受心亦無我。中間例知(已上三科名外凡。亦名資糧位)。二明	身 受 心 亦 無 我 中 間 例 知 已 上 三 科 名 外 凡 亦 名 資 糧 位 二 明 
T46n1931_001:0777a03	內凡者有四。謂煗頂忍世第一(此四位為內凡。亦名加行位。又	內 凡 者 有 四 謂 煗 頂 忍 世 第 一 此 四 位 為 內 凡 亦 名 加 行 位 又 
T46n1931_001:0777a04	名四善根位)。上來內凡外凡總名凡位。亦名七方便	名 四 善 根 位 上 來 內 凡 外 凡 總 名 凡 位 亦 名 七 方 便 
T46n1931_001:0777a05	位。次明聖位亦分三。一見道(初果)二修道(二三果)	位 次 明 聖 位 亦 分 三 一 見 道 初 果 二 修 道 二 三 果 
T46n1931_001:0777a06	三無學道(四果)。一須陀洹。此翻預流。此位斷三	三 無 學 道 四 果 一 須 陀 洹 此 翻 預 流 此 位 斷 三 
T46n1931_001:0777a07	界八十八使見惑。見真諦故名為見道。又名	界 八 十 八 使 見 惑 見 真 諦 故 名 為 見 道 又 名 
T46n1931_001:0777a08	聖位。二斯陀含。此云一來。此位斷欲界九	聖 位 二 斯 陀 含 此 云 一 來 此 位 斷 欲 界 九 
T46n1931_001:0777a09	品思中。斷前六品盡。後三品猶在。故更一	品 思 中 斷 前 六 品 盡 後 三 品 猶 在 故 更 一 
T46n1931_001:0777a10	來。三阿那含。此云不來。此位斷欲殘思盡。	來 三 阿 那 含 此 云 不 來 此 位 斷 欲 殘 思 盡 
T46n1931_001:0777a11	進斷上八地思。四阿羅漢。此云無學。又云無	進 斷 上 八 地 思 四 阿 羅 漢 此 云 無 學 又 云 無 
T46n1931_001:0777a12	生。又云殺賊。又云應供。此位斷見思俱盡。	生 又 云 殺 賊 又 云 應 供 此 位 斷 見 思 俱 盡 
T46n1931_001:0777a13	子縳已斷果縛猶在。名有餘涅槃。若灰身滅	子 縳 已 斷 果 縛 猶 在 名 有餘涅槃 若 灰 身 滅 
T46n1931_001:0777a14	智名無餘涅槃。又名孤調解脫。略明聲聞位	智 名 無餘涅槃 又 名 孤 調 解 脫 略 明 聲 聞 位 
T46n1931_001:0777a15	竟。次明緣覺。亦名獨覺。值佛出世。稟十二因	竟 次 明 緣 覺 亦 名 獨 覺 值 佛 出 世 稟 十 二 因 
T46n1931_001:0777a16	緣教。所謂一無明(煩惱障煩惱道)二行(業障業道。此二支屬過去)三	緣 教 所 謂 一 無 明 煩 惱 障 煩 惱 道 二 行 業 障 業 道 此 二 支 屬 過 去 三 
T46n1931_001:0777a17	識(託胎一分氣息)四名色(名是心色是質)五六入(六根成此胎中)六觸(出胎)七	識 託 胎 一 分 氣 息 四 名 色 名 是 心 色 是 質 五 六 入 六 根 成 此 胎 中 六 觸 出 胎 七 
T46n1931_001:0777a18	受(領納前境好惡等事。從識至受名現在五果)八愛(愛色男女金銀錢物等事)九取(凡見一切境。	受 領 納 前 境 好 惡 等 事 從 識 至 受 名 現 在 五 果 八 愛 愛 色 男 女 金 銀 錢 物 等 事 九 取 凡 見 一 切 境 
T46n1931_001:0777a19	皆生取著心。此二未來因。皆屬煩惱。如過去無明)十有(業已成就。是未來因屬業道。如過去行)	皆 生 取 著 心 此 二 未 來 因 皆 屬 煩 惱 如 過 去 無 明 十 有 業 已 成 就 是 未 來 因 屬 業 道 如 過 去 行 
T46n1931_001:0777a20	十一生(未來受生事)十二老死。此是所滅之境。與	十 一 生 未 來 受 生 事 十 二 老 死 此 是 所 滅 之 境 與 
T46n1931_001:0777a21	前四諦開合之異耳。云何開合。謂無明行愛	前 四 諦 開 合 之 異 耳 云 何 開 合 謂 無 明 行 愛 
T46n1931_001:0777a22	取有。此之五支合為集諦。餘七支為苦諦也。	取 有 此 之 五 支 合 為 集 諦 餘 七 支 為 苦 諦 也 
T46n1931_001:0777a23	既名異義同。何故重說。為機宜不同故。緣	既 名 異 義 同 何 故 重 說 為 機 宜 不 同 故 緣 
T46n1931_001:0777a24	覺之人先觀集諦。所謂無明緣行。行緣識。乃	覺 之 人 先 觀 集 諦 所 謂 無明緣行 行 緣 識 乃 
T46n1931_001:0777a25	至生緣老死。此則生起。若滅觀者。無明滅	至 生 緣 老 死 此 則 生 起 若 滅 觀 者 無 明 滅 
T46n1931_001:0777a26	則行滅。乃至生滅則老死滅。因觀十二因緣	則 行 滅 乃 至 生 滅 則 老 死 滅 因 觀十二因緣 
T46n1931_001:0777a27	覺真諦理。故言緣覺。言獨覺者。出無佛世	覺 真 諦 理 故 言 緣 覺 言 獨 覺 者 出 無 佛 世 
T46n1931_001:0777a28	獨宿孤峯。觀物變易自覺無生。故名獨覺。兩	獨 宿 孤 峯 觀 物 變 易 自 覺 無 生 故 名 獨 覺 兩 
T46n1931_001:0777a29	名不同。行位無別。此人斷三界見思。與聲	名 不 同 行 位 無 別 此 人 斷 三 界 見 思 與 聲 
T46n1931_001:0777b01	聞同。更侵習氣故居聲聞上。次明菩薩位者。	聞 同 更 侵 習 氣 故 居 聲 聞 上 次 明 菩 薩 位 者 
T46n1931_001:0777b02	從初發心。緣四諦境。發四弘願。修六度行。	從 初 發 心 緣 四 諦 境 發 四 弘 願 修 六 度 行 
T46n1931_001:0777b03	一未度者令度。即眾生無邊誓願度。此緣苦	一 未 度 者 令 度 即 眾 生 無 邊 誓 願 度 此 緣 苦 
T46n1931_001:0777b04	諦境。二未解者令解。即煩惱無盡誓願斷。此	諦 境 二 未 解 者 令 解 即 煩 惱 無 盡 誓 願 斷 此 
T46n1931_001:0777b05	緣集諦境。三未安者令安。即法門無量誓願	緣 集 諦 境 三 未 安 者 令 安 即 法 門 無 量 誓 願 
T46n1931_001:0777b06	學。此緣道諦境。四未得涅槃者令得涅槃。即	學 此 緣 道 諦 境 四 未 得涅槃者 令 得 涅 槃 即 
T46n1931_001:0777b07	佛道無上誓願成。此緣滅諦境。既已發心。須	佛 道 無 上 誓 願 成 此 緣 滅 諦 境 既 已 發 心 須 
T46n1931_001:0777b08	行行填願。於三阿僧祇劫修六度行。百劫種	行 行 填 願 於 三阿僧祇劫 修 六 度 行 百 劫 種 
T46n1931_001:0777b09	相好。言三阿(無)僧祇(數)劫(時)者。且約釋迦修菩	相 好 言 三 阿 無 僧 祇 數 劫 時 者 且 約 釋 迦 修 菩 
T46n1931_001:0777b10	薩道時。論分限者。從古釋迦至尸棄佛。值	薩 道 時 論 分 限 者 從 古 釋 迦 至 尸 棄 佛 值 
T46n1931_001:0777b11	七萬五千佛。名初阿僧祇。從此常離女身及	七萬五千 佛 名 初阿僧祇 從 此 常 離 女 身 及 
T46n1931_001:0777b12	四惡趣。常修六度。然自不知當作佛。若望	四 惡 趣 常 修 六 度 然 自 不 知 當 作 佛 若 望 
T46n1931_001:0777b13	聲聞位。即五停心總別念處(外凡)次從尸棄佛	聲 聞 位 即 五 停 心 總 別 念 處 外 凡 次 從 尸 棄 佛 
T46n1931_001:0777b14	至然燈佛。值七萬六千佛。名第二阿僧祇。此	至 然 燈 佛 值 七 萬 六 千 佛 名 第 二 阿 僧 祇 此 
T46n1931_001:0777b15	時用七莖蓮華供養。布髮掩泥。得受記莂號	時 用 七 莖 蓮 華 供 養 布 髮 掩 泥 得 受 記 莂 號 
T46n1931_001:0777b16	釋迦文。爾時自知作佛。口未能說。若望聲聞	釋 迦 文 爾 時 自 知 作 佛 口 未 能 說 若 望 聲 聞 
T46n1931_001:0777b17	位。即煗位。次從然燈佛至毘婆尸佛。七萬	位 即 煗 位 次 從 然 燈 佛 至 毘 婆 尸 佛 七 萬 
T46n1931_001:0777b18	七千佛。名第三阿僧祇滿。此時自知。亦向	七 千 佛 名 第 三阿僧祇 滿 此 時 自 知 亦 向 
T46n1931_001:0777b19	人說必當作佛。自他不疑。若望聲聞位即頂	人 說 必 當 作 佛 自 他 不 疑 若 望 聲 聞 位 即 頂 
T46n1931_001:0777b20	位。經如許時修六度竟。更住百劫種相好因。	位 經 如 許 時 修 六 度 竟 更 住 百 劫 種 相 好 因 
T46n1931_001:0777b21	修百福成一相。福義多途。難可定判。又云。	修 百 福 成 一 相 福 義 多 途 難 可 定 判 又 云 
T46n1931_001:0777b22	大千盲人治差為一福等。修行六度各有滿	大 千 盲 人 治 差 為 一 福 等 修 行 六 度 各 有 滿 
T46n1931_001:0777b23	時。如尸毘王代鴿檀滿。普明王捨國尸滿。羼	時 如 尸 毘 王 代 鴿 檀 滿 普 明 王 捨 國 尸 滿 羼 
T46n1931_001:0777b24	提仙人為歌利王割截無恨忍滿。大施太子	提 仙 人 為 歌 利 王 割 截 無 恨 忍 滿 大 施 太 子 
T46n1931_001:0777b25	抒海。并七日翹足讚弗沙佛進滿。尚闍黎鵲	抒 海 并 七 日 翹 足 讚 弗 沙 佛 進 滿 尚 闍 黎 鵲 
T46n1931_001:0777b26	巢頂上禪滿。劬嬪大臣分閻浮提七分息諍	巢 頂 上 禪 滿 劬 嬪 大 臣 分 閻 浮 提 七 分 息 諍 
T46n1931_001:0777b27	智滿。望初聲聞位是下忍位。次入補處生兜	智 滿 望 初 聲 聞 位 是 下 忍 位 次 入 補 處 生 兜 
T46n1931_001:0777b28	率。託胎出胎。出家降魔。安坐不動。為中忍	率 託 胎 出 胎 出 家 降 魔 安坐不動 為 中 忍 
T46n1931_001:0777b29	位。次一剎那入上忍位。次一剎那入世第一	位 次 一 剎 那 入 上 忍 位 次 一 剎 那 入 世 第 一 
T46n1931_001:0777c01	位。發真無漏。三十四心頓斷見思習氣。坐	位 發 真 無 漏 三 十 四 心 頓 斷 見 思 習 氣 坐 
T46n1931_001:0777c02	木菩提樹下。生草為座。成劣應丈六身佛。受	木 菩提樹下 生 草 為 座 成 劣 應 丈 六 身 佛 受 
T46n1931_001:0777c03	梵王請。三轉法輪。度三根性。住世八十年。	梵 王 請 三轉法輪 度 三 根 性 住 世 八 十 年 
T46n1931_001:0777c04	現老比丘相。薪盡火滅入無餘涅槃者。即三	現 老 比 丘 相 薪 盡 火 滅 入無餘涅槃 者 即 三 
T46n1931_001:0777c05	藏佛果也。上來所釋三人修行證果雖則不	藏 佛 果 也 上 來 所 釋 三 人 修 行 證 果 雖 則 不 
T46n1931_001:0777c06	同。然同斷見思。同出三界。同證偏真。只行三	同 然 同 斷 見 思 同 出 三 界 同 證 偏 真 只 行 三 
T46n1931_001:0777c07	百由旬入化城耳。略明藏教竟。次明通教者。	百 由 旬 入 化 城 耳 略 明 藏 教 竟 次 明 通 教 者 
T46n1931_001:0777c08	通前藏教通後別圓。故名通教。又從當教得	通 前 藏 教 通 後 別 圓 故 名 通 教 又 從 當 教 得 
T46n1931_001:0777c09	名。謂三人同以無言說道。體色入空。故名	名 謂 三 人 同 以 無 言 說 道 體 色 入 空 故 名 
T46n1931_001:0777c10	通教。依大品經。乾慧等十地。即是此教位	通 教 依 大 品 經 乾 慧 等 十 地 即 是 此 教 位 
T46n1931_001:0777c11	次也。一乾慧地。未有理水故得其名。即外凡	次 也 一 乾 慧 地 未 有 理 水 故 得 其 名 即 外 凡 
T46n1931_001:0777c12	位。與藏教五停心總別等三位齊。二性地。相	位 與 藏 教 五 停 心 總 別 等 三 位 齊 二 性 地 相 
T46n1931_001:0777c13	似得法性水。伏見思惑。即內凡位。與藏教	似 得 法 性 水 伏 見 思 惑 即 內 凡 位 與 藏 教 
T46n1931_001:0777c14	四善根齊。三八人地。四見地。此二位入無間	四 善 根 齊 三 八 人 地 四 見 地 此 二 位 入 無 間 
T46n1931_001:0777c15	三昧。斷三界八十八使見盡。發真無漏見真	三 昧 斷 三 界 八 十 八 使 見 盡 發 真 無 漏 見 真 
T46n1931_001:0777c16	諦理。與藏教初果齊。五薄地。斷欲界九品思	諦 理 與 藏 教 初 果 齊 五 薄 地 斷 欲 界 九 品 思 
T46n1931_001:0777c17	前六品。與藏教二果齊。六離欲地。斷欲界	前 六 品 與 藏 教 二 果 齊 六 離 欲 地 斷 欲 界 
T46n1931_001:0777c18	九品思盡。與藏教三果齊。七已辦地。斷三	九 品 思 盡 與 藏 教 三 果 齊 七 已 辦 地 斷 三 
T46n1931_001:0777c19	界見思惑盡。但斷正使不能侵習。如燒木成	界 見 思 惑 盡 但 斷 正 使 不 能 侵 習 如 燒 木 成 
T46n1931_001:0777c20	炭。與藏教四果齊。聲聞位齊此。八辟支佛	炭 與 藏 教 四 果 齊 聲 聞 位 齊 此 八 辟 支 佛 
T46n1931_001:0777c21	地。更侵習氣如燒炭成灰。九菩薩地。正使	地 更 侵 習 氣 如 燒 炭 成 灰 九 菩 薩 地 正 使 
T46n1931_001:0777c22	斷盡與二乘同。扶習潤生。道觀雙流。遊戲	斷 盡 與 二 乘 同 扶 習 潤 生 道 觀 雙 流 遊 戲 
T46n1931_001:0777c23	神通淨佛國土。十佛地。機緣若熟。以一念相	神 通 淨佛國土 十 佛 地 機 緣 若 熟 以 一 念 相 
T46n1931_001:0777c24	應慧。頓斷殘習。坐七寶菩提樹下。以天衣為	應 慧 頓 斷 殘 習 坐 七 寶 菩提樹下 以 天 衣 為 
T46n1931_001:0777c25	座。現帶劣勝應身成佛。為三乘根性。轉無	座 現 帶 劣 勝 應 身 成 佛 為 三 乘 根 性 轉 無 
T46n1931_001:0777c26	生四諦法輪。緣盡入滅。正習俱除。如炭灰	生 四 諦 法 輪 緣 盡 入 滅 正 習 俱 除 如 炭 灰 
T46n1931_001:0777c27	俱盡。經云。三獸度河。謂象馬兔也。喻斷惑不	俱 盡 經 云 三 獸 度 河 謂 象 馬 兔 也 喻 斷 惑 不 
T46n1931_001:0777c28	同故。又經云。諸法實相三乘皆得。亦不名	同 故 又 經 云 諸法實相 三 乘 皆 得 亦 不 名 
T46n1931_001:0777c29	佛。即此教也。此教三乘因同果異。證果雖	佛 即 此 教 也 此 教 三 乘 因 同 果 異 證 果 雖 
T46n1931_001:0778a01	異同斷見思。同出分段。同證偏真。然於菩薩	異 同 斷 見 思 同 出 分 段 同 證 偏 真 然 於 菩 薩 
