T85n2770_001:0355a08	維摩經疏	維 摩 經 疏 
T85n2770_001:0357a21	法無畏。法說利他。依大智論。菩薩別有四種	法 無 畏 法 說 利 他 依 大 智 論 菩 薩 別 有 四 種 
T85n2770_001:0357a22	無畏。一總持無畏。於法廣知不畏屈梪。二知	無 畏 一 總 持 無 畏 於 法 廣 知 不 畏 屈 梪 二 知 
T85n2770_001:0357a23	根無畏。明了諸根隨而授化不懼違失。三斷	根 無 畏 明 了 諸 根 隨 而 授 化 不 懼 違 失 三 斷 
T85n2770_001:0357a24	疑無畏。隨問能決不懼不堪。四答難無畏。隨	疑 無 畏 隨 問 能 決 不 懼 不 堪 四 答 難 無 畏 隨 
T85n2770_001:0357a25	難能通不懼屈滯。如師子吼。喻以顯之。後	難 能 通 不 懼 屈 滯 如 師 子 吼 喻 以 顯 之 後 
T85n2770_001:0357a26	中講說法說利他。如雷喻顯。天雷一動卉蟄	中 講 說 法 說 利 他 如 雷 喻 顯 天 雷 一 動 卉 蟄 
T85n2770_001:0357a27	生永。法音一闡道根競長。故取為喻。	生 永 法 音 一 闡 道 根 競 長 故 取 為 喻 
T85n2770_001:0357a28	第三行中初無有量已過量者。明其自行。行	第 三 行 中 初 無 有 量 已 過 量 者 明 其 自 行 行 
T85n2770_001:0357a29	德深廣無有分限故曰無量。非是世人算數	德 深 廣 無 有 分 限 故 曰 無 量 非 是 世 人 算 數 
T85n2770_001:0357b01	能及故曰過量。又非世人算數能及名為無	能 及 故 曰 過 量 又 非 世 人 算 數 能 及 名 為 無 
T85n2770_001:0357b02	量。超出世人算數之限故曰過量。集眾法下	量 超 出 世 人 算 數 之 限 故 曰 過 量 集 眾 法 下 
T85n2770_001:0357b03	明其利他。集眾法寶如海。道師攝化方便法	明 其 利 他 集 眾 法 寶 如 海 道 師 攝 化 方 便 法 
T85n2770_001:0357b04	如珍寶。門別非一。名眾法寶。道人趣求名集。	如 珍 寶 門 別 非 一 名 眾 法 寶 道 人 趣 求 名 集 
T85n2770_001:0357b05	法寶如海。導師喻以顯之。海中導師道人採	法 寶 如 海 導 師 喻 以 顯 之 海 中 導 師 道 人 採 
T85n2770_001:0357b06	寶。菩薩如是道人求法故取為喻。了達已下	寶 菩 薩 如 是 道 人 求 法 故 取 為 喻 了 達 已 下 
T85n2770_001:0357b07	化德成就。先知法藥後知眾生。知法藥中了	化 德 成 就 先 知 法 藥 後 知 眾 生 知 法 藥 中 了 
T85n2770_001:0357b08	達諸法知世諦也。了達深法知真諦也。知眾	達 諸 法 知 世 諦 也 了 達 深 法 知 真 諦 也 知 眾 
T85n2770_001:0357b09	生中善知眾生往來所趣知過未也。知過去	生 中 善 知 眾 生 往 來 所 趣 知 過 未 也 知 過 去 
T85n2770_001:0357b10	因名為知往。知未來果名來。所趣及心所行	因 名 為 知 往 知 未 來 果 名 來 所 趣 及 心 所 行 
T85n2770_001:0357b11	知現在也。知其現在心行善惡而教化之。	知 現 在 也 知 其 現 在 心 行 善 惡 而 教 化 之 
T85n2770_001:0357b12	上嘆自分下嘆勝進。於中先明修法身行。先	上 嘆 自 分 下 嘆 勝 進 於 中 先 明 修 法 身 行 先 
T85n2770_001:0357b13	無量功德皆成就下修淨土行。此二之中各	無量功德 皆 成 就 下 修 淨 土 行 此 二 之 中 各 
T85n2770_001:0357b14	自利他。修法身中先明自利。開閉已下明其	自 利 他 修 法 身 中 先 明 自 利 開 閉 已 下 明 其 
T85n2770_001:0357b15	利他。前自利中近無等等明修至。果佛比餘	利 他 前 自 利 中 近 無 等 等 明 修 至 果 佛 比 餘 
T85n2770_001:0357b16	生名為無等。佛佛道齊故復言等。剋證不遙	生 名 為 無 等 佛 佛 道 齊 故 復 言 等 剋 證 不 遙 
T85n2770_001:0357b17	故名為近。佛自在惠辨出無等。佛智無礙故	故 名 為 近 佛 自 在 惠 辨 出 無 等 佛 智 無 礙 故 
T85n2770_001:0357b18	曰自在。十力無畏十八不共顯自在惠。言十	曰 自 在 十 力 無 畏 十八不共 顯 自 在 惠 言 十 
T85n2770_001:0357b19	力者。一是處非處力。二業力。三定力。四根	力 者 一 是處非處 力 二 業 力 三 定 力 四 根 
T85n2770_001:0357b20	力。五欲力。六性力。七至處道力。八宿命力。	力 五 欲 力 六 性 力 七 至 處 道 力 八 宿 命 力 
T85n2770_001:0357b21	九天眼力。十漏盡力。義如別章。此應具論。四	九 天 眼 力 十 漏 盡 力 義 如 別 章 此 應 具 論 四 
T85n2770_001:0357b22	無畏者。一一切智無畏。二漏盡無畏。三能說	無 畏 者 一 一 切 智 無 畏 二 漏 盡 無 畏 三 能 說 
T85n2770_001:0357b23	障道。四能說盡善道。備如後釋。所言十八不	障 道 四 能 說 盡 善 道 備 如 後 釋 所 言 十 八 不 
T85n2770_001:0357b24	共法者。毘曇宣說十力四無畏大非三念處	共 法 者 毘 曇 宣 說 十 力 四 無 畏 大 非 三 念 處 
T85n2770_001:0357b25	以為十八。依大品經。別有名字。三業無失無	以 為 十 八 依 大 品 經 別 有 名 字 三 業 無 失 無 
T85n2770_001:0357b26	異相無不定心無不知已捨。是其初六。欲無	異 相 無不定心 無 不 知 已 捨 是 其 初 六 欲 無 
T85n2770_001:0357b27	減精進無減念無減智慧無減解脫無減解脫	減 精 進 無 減 念 無 減 智 慧 無 減 解 脫 無 減 解 脫 
T85n2770_001:0357b28	知見無減。是其中六。三業隨智慧行了達三	知 見 無 減 是 其 中 六 三 業 隨 智 慧 行 了 達 三 
T85n2770_001:0357b29	世。是其後六。亦如後解。	世 是 其 後 六 亦 如 後 解 
T85n2770_001:0357c01	下利他中開閉一切諸惡趣門。自無惡因。三	下 利 他 中 開 閉 一 切 諸 惡 趣 門 自 無 惡 因 三 
T85n2770_001:0357c02	途修羅是其惡趣。諸業煩惱通人趣入名惡	途 修 羅 是 其 惡 趣 諸 業 煩 惱 通 人 趣 入 名 惡 
T85n2770_001:0357c03	趣門。聖道遮防稱曰開閉。而生道以現其	趣 門 聖 道 遮 防 稱 曰 開 閉 而 生 道 以 現 其 
T85n2770_001:0357c04	身隨物現授。三塗人天是其五道。若分修羅	身 隨 物 現 授 三 塗 人 天 是 其 五 道 若 分 修 羅 
T85n2770_001:0357c05	道別有六。初入名生。終出名現。為大醫下隨	道 別 有 六 初 入 名 生 終 出 名 現 為 大 醫 下 隨 
T85n2770_001:0357c06	生攝益。為大醫王療治眾病。總明化益。能治	生 攝 益 為 大 醫 王 療 治 眾 病 總 明 化 益 能 治 
T85n2770_001:0357c07	曰醫。自在稱王。醫王中勝故名為大。下別	曰 醫 自 在 稱 王 醫 王 中 勝 故 名 為 大 下 別 
T85n2770_001:0357c08	顯之。應病與藥量宣授法。貪教不淨。瞋教慈	顯 之 應 病 與 藥 量 宣 授 法 貪 教 不 淨 瞋 教 慈 
T85n2770_001:0357c09	心。如是等也。令得服行勸物修習。令得服者。	心 如 是 等 也 令 得 服 行 勸 物 修 習 令 得 服 者 
T85n2770_001:0357c10	教起聞思攝受法也。令得行者。教使依法起	教 起 聞 思 攝 受 法 也 令 得 行 者 教 使 依 法 起 
T85n2770_001:0357c11	修行也。	修 行 也 
T85n2770_001:0357c12	下淨土中先明自利無量功德皆悉成就。淨	下 淨 土 中 先 明 自 利 無量功德 皆 悉 成 就 淨 
T85n2770_001:0357c13	土因成如下文說。無量佛土皆已嚴淨。淨土	土 因 成 如 下 文 說 無 量 佛 土 皆 已 嚴 淨 淨 土 
T85n2770_001:0357c14	果就自報離染名之為淨。又用自在亦名為	果 就 自 報 離 染 名 之 為 淨 又 用 自 在 亦 名 為 
T85n2770_001:0357c15	淨。淨滿法界故曰無量。下明利他。其見聞者	淨 淨 滿 法 界 故 曰 無 量 下 明 利 他 其 見 聞 者 
T85n2770_001:0357c16	無不蒙益。親近益也。見形聞名皆得益矣。諸	無 不 蒙 益 親 近 益 也 見 形 聞 名 皆 得 益 矣 諸 
T85n2770_001:0357c17	有所作亦不唐捐。順行益也。捐謂捐棄。無有	有 所 作 亦 不 唐 捐 順 行 益 也 捐 謂 捐 棄 無 有 
T85n2770_001:0357c18	順行虛然唐棄。名不唐捐。上來別嘆。	順 行 虛 然 唐 棄 名 不 唐 捐 上 來 別 嘆 
T85n2770_001:0357c19	如是一切功德具足總以結嘆。言皆具者。解	如是一切 功德具足 總 以 結 嘆 言 皆 具 者 解 
T85n2770_001:0357c20	有兩義。一就人以論。所列菩薩齊具前德故	有 兩 義 一 就 人 以 論 所 列 菩 薩 齊 具 前 德 故 
T85n2770_001:0357c21	云皆具。二就德而辨。於前德中無德不備故	云 皆 具 二 就 德 而 辨 於 前 德 中 無 德 不 備 故 
T85n2770_001:0357c22	云皆具。次列其名。菩薩眾多文中且列五十	云 皆 具 次 列 其 名 菩 薩 眾 多 文 中 且 列 五 十 
T85n2770_001:0357c23	二人。菩薩之名皆依德立。言等觀者。多觀真	二 人 菩 薩 之 名 皆 依 德 立 言 等 觀 者 多 觀 真 
T85n2770_001:0357c24	諦平等法也。不等觀者。多觀世諦差別法也。	諦 平 等 法 也 不 等 觀 者 多 觀 世 諦 差 別 法 也 
T85n2770_001:0357c25	等不等者。二諦通觀。此約惠別定。自在王	等 不 等 者 二 諦 通 觀 此 約 惠 別 定 自 在 王 
T85n2770_001:0357c26	依定立稱。此前約行。其法自在及與法相約	依 定 立 稱 此 前 約 行 其 法 自 在 及 與 法 相 約 
T85n2770_001:0357c27	法以別如是等也。如是菩薩三萬二千。	法 以 別 如 是 等 也 如 是 菩 薩 三 萬 二 千 
T85n2770_001:0357c28	第五總結。上列聖眾。下列凡眾。於中初先列	第 五 總 結 上 列 聖 眾 下 列 凡 眾 於 中 初 先 列 
T85n2770_001:0357c29	其天眾。次列鬼神。後列人眾。鬼神是其天之	其 天 眾 次 列 鬼 神 後 列 人 眾 鬼 神 是 其 天 之 
T85n2770_001:0358a01	輔從。次天以列天中。初先列其梵眾。次列帝	輔 從 次 天 以 列 天 中 初 先 列 其 梵 眾 次 列 帝 
T85n2770_001:0358a02	釋。後列餘天。梵中初言萬梵天王列數辨眾。	釋 後 列 餘 天 梵 中 初 言 萬 梵 天 王 列 數 辨 眾 
T85n2770_001:0358a03	此皆應是初禪梵王。尸棄列名。此云頂髻蓋。	此 皆 應 是 初 禪 梵 王 尸 棄 列 名 此 云 頂 髻 蓋 
T85n2770_001:0358a04	乃是其編髮梵王。下言螺髮。應是其人。從餘	乃 是 其 編 髮 梵 王 下 言 螺 髮 應 是 其 人 從 餘 
T85n2770_001:0358a05	天下辨其來處。此言稍略。若具應言從餘四	天 下 辨 其 來 處 此 言 稍 略 若 具 應 言 從 餘 四 
T85n2770_001:0358a06	天上下來也。詣佛所至聽法所作。就帝釋中	天 上 下 來 也 詣 佛 所 至 聽 法 所 作 就 帝 釋 中 
T85n2770_001:0358a07	復萬二千舉其數也。天帝辨眾帝猶主矣。刀	復 萬 二 千 舉 其 數 也 天 帝 辨 眾 帝 猶 主 矣 刀 
T85n2770_001:0358a08	利天主名為天帝。亦從餘天還彰來處。在會	利 天 主 名 為 天 帝 亦 從 餘 天 還 彰 來 處 在 會 
T85n2770_001:0358a09	所至下列餘天。通言并餘大威力者。辨前	所 至 下 列 餘 天 通 言 并 餘 大 威 力 者 辨 前 
T85n2770_001:0358a10	兼後故說為并。謂欲界中餘天也。次列鬼神	兼 後 故 說 為 并 謂 欲 界 中 餘 天 也 次 列 鬼 神 
T85n2770_001:0358a11	龍。是畜生。於中具有四生差別。有大神德能	龍 是 畜 生 於 中 具 有 四 生 差 別 有 大 神 德 能 
T85n2770_001:0358a12	來聽法故今列之。夜叉是其輕健鬼也。乾闥	來 聽 法 故 今 列 之 夜 叉 是 其 輕 健 鬼 也 乾 闥 
T85n2770_001:0358a13	婆者是天樂神。亦鬼道攝阿修羅者。人傳釋	婆 者 是 天 樂 神 亦 鬼 道 攝 阿 修 羅 者 人 傳 釋 
T85n2770_001:0358a14	言。名不酒神。不知是非。或云劣天。依如毘	言 名 不 酒 神 不 知 是 非 或 云 劣 天 依 如 毘 
T85n2770_001:0358a15	曇。修羅唯鬼。依法念經。有鬼有畜。如彼羅	曇 修 羅 唯 鬼 依 法 念 經 有 鬼 有 畜 如 彼 羅 
T85n2770_001:0358a16	睺阿修羅王是師子兒。體是畜生。依伽那經。	睺 阿修羅王 是 師 子 兒 體 是 畜 生 依 伽 那 經 
T85n2770_001:0358a17	有天鬼畜三種差別。修羅凡有五地之別。一	有 天 鬼 畜 三 種 差 別 修 羅 凡 有 五 地 之 別 一 
T85n2770_001:0358a18	在地上眾相山中。如地經說。勢力最下。二須	在 地 上 眾 相 山 中 如 地 經 說 勢 力 最 下 二 須 
T85n2770_001:0358a19	彌山北大海之下二萬一千由旬有修羅王。	彌 山 北 大 海 之 下 二 萬 一 千 由 旬 有 修 羅 王 
T85n2770_001:0358a20	名曰羅睺。統領無量阿修羅眾。三羅睺下復	名 曰 羅 睺 統 領 無 量 阿 修 羅 眾 三 羅 睺 下 復 
T85n2770_001:0358a21	過二萬一千由旬有修羅王。名曰勇健。四勇	過 二 萬 一 千 由 旬 有 修 羅 王 名 曰 勇 健 四 勇 
T85n2770_001:0358a22	健下復過二萬五千由旬有修羅王。名曰華	健 下 復 過 二 萬 五 千 由 旬 有 修 羅 王 名 曰 華 
T85n2770_001:0358a23	鬘。五華鬘下復過二萬一千由旬修羅王。名	鬘 五 華 鬘 下 復 過 二 萬 一 千 由 旬 修 羅 王 名 
T85n2770_001:0358a24	毘摩質多之。領無量阿修羅眾。毘摩之母本	毘 摩 質 多 之 領 無 量 阿 修 羅 眾 毘 摩 之 母 本 
T85n2770_001:0358a25	從天生。故名劣天。劫初成時有諸天女來海	從 天 生 故 名 劣 天 劫 初 成 時 有 諸 天 女 來 海 
T85n2770_001:0358a26	中洗。水觸其身遂失精氣。流在水中成一宍	中 洗 水 觸 其 身 遂 失 精 氣 流 在 水 中 成 一 宍 
T85n2770_001:0358a27	卵。逕八千歲乃生一女。有九百九十九頭。頭	卵 逕 八 千 歲 乃 生 一 女 有 九 百 九 十 九 頭 頭 
T85n2770_001:0358a28	有千眼。有九百九十九口。口有四爪。爪上出	有 千 眼 有 九 百 九 十 九 口 口 有 四 爪 爪 上 出 
T85n2770_001:0358a29	火猶如礔礰。二十四手。九百九十九脚。此女	火 猶 如 礔 礰 二 十 四 手 九 百 九 十 九 脚 此 女 
T85n2770_001:0358b01	後時在海浮戲。水精入體生一宍卵。逕八千	後 時 在 海 浮 戲 水 精 入 體 生 一 宍 卵 逕 八 千 
T85n2770_001:0358b02	歲生毘摩質多。有九頭。頭有千眼。口中出火。	歲 生 毘 摩 質 多 有 九 頭 頭 有 千 眼 口 中 出 火 
T85n2770_001:0358b03	有九百九十九手脚。唯有八其形四倍大於	有 九 百 九 十 九 手 脚 唯 有 八 其 形 四 倍 大 於 
T85n2770_001:0358b04	須彌。純食淤埿及與藕根。多與天諍。如法念	須 彌 純 食 淤 埿 及 與 藕 根 多 與 天 諍 如 法 念 
T85n2770_001:0358b05	說。迦樓羅者。是其鳥神。於中有其金翹之鳥。	說 迦 樓 羅 者 是 其 鳥 神 於 中 有 其 金 翹 之 鳥 
T85n2770_001:0358b06	純食諸龍。有四生別。其化生者食四生龍。其	純 食 諸 龍 有 四 生 別 其 化 生 者 食 四 生 龍 其 
T85n2770_001:0358b07	胎生者食三生龍。除其化生。其卵生者食二	胎 生 者 食 三 生 龍 除 其 化 生 其 卵 生 者 食 二 
T85n2770_001:0358b08	生龍。除化除胎。其濕生者唯食濕生。此四天	生 龍 除 化 除 胎 其 濕 生 者 唯 食 濕 生 此 四 天 
T85n2770_001:0358b09	下有一化生如樓羅王。名曰正音。壽八千歲。	下 有 一 化 生 如 樓 羅 王 名 曰 正 音 壽 八 千 歲 
T85n2770_001:0358b10	日別噉食天龍王五百小龍。遶四天下周而	日 別 噉 食 天 龍 王 五 百 小 龍 遶 四 天 下 周 而 
T85n2770_001:0358b11	復始次第食之。命欲終時諸龍吐毒不復能	復 始 次 第 食 之 命 欲 終 時 諸 龍 吐 毒 不 復 能 
T85n2770_001:0358b12	食。飢火所燒。聳翅直下至風輪際為風所吹。	食 飢 火 所 燒 聳 翅 直 下 至 風 輪 際 為 風 所 吹 
T85n2770_001:0358b13	而復上來。往還七返無處停足。遂至金剛輪	而 復 上 來 往 還 七 返 無 處 停 足 遂 至 金 剛 輪 
T85n2770_001:0358b14	山頂上命終。以食諸龍身宍毒氣遂發猛火。	山 頂 上 命 終 以 食 諸 龍 身 宍 毒 氣 遂 發 猛 火 
T85n2770_001:0358b15	其難陀龍王及跋難陀恐燒寶山遂降大雨。	其 難 陀 龍 王 及 跋 難 陀 恐 燒 寶 山 遂 降 大 雨 
T85n2770_001:0358b16	渧如車軸。以滅其火。身宍消散。唯有心在。	渧 如 車 軸 以 滅 其 火 身 宍 消 散 唯 有 心 在 
T85n2770_001:0358b17	大如人膝。純清流離。輪王得之用為珠寶。帝	大 如 人 膝 純 清 流 離 輪 王 得 之 用 為 珠 寶 帝 
T85n2770_001:0358b18	釋得之為髺中珠。緊那羅者。此名疑神。體是	釋 得 之 為 髺 中 珠 緊 那 羅 者 此 名 疑 神 體 是 
T85n2770_001:0358b19	畜生。形狀似人。面極端正。頂有一角。人見生	畜 生 形 狀 似 人 面 極 端 正 頂 有 一 角 人 見 生 
T85n2770_001:0358b20	疑。不知為人為鬼為畜。故名疑神。此二是其	疑 不 知 為 人 為 鬼 為 畜 故 名 疑 神 此 二 是 其 
T85n2770_001:0358b21	天之樂神。摩睺羅伽是腹行神。世人相傳是	天 之 樂 神 摩睺羅伽 是 腹 行 神 世 人 相 傳 是 
T85n2770_001:0358b22	奔神也。下列人眾。比丘如上。尼猶女也。憂婆	奔 神 也 下 列 人 眾 比 丘 如 上 尼 猶 女 也 憂 婆 
T85n2770_001:0358b23	塞者名為善宿。懷善宿德。亦云近住。近善而	塞 者 名 為 善 宿 懷 善 宿 德 亦 云 近 住 近 善 而 
T85n2770_001:0358b24	住。亦名清信士。優婆姨者。優婆如前。姨猶女	住 亦 名 清 信 士 優 婆 姨 者 優 婆 如 前 姨 猶 女 
T85n2770_001:0358b25	也。上來第二列其徒眾。	也 上 來 第 二 列 其 徒 眾 
T85n2770_001:0358b26	彼時佛下第三大段明其佛眾雲集所為。於	彼 時 佛 下 第 三 大 段 明 其 佛 眾 雲 集 所 為 於 
T85n2770_001:0358b27	中初明佛與諸眾圍遶說法。說何等法。文中	中 初 明 佛 與 諸 眾 圍 遶 說 法 說 何 等 法 文 中 
T85n2770_001:0358b28	不辨。不知說何。下明如來於眾獨勝。譬如須	不 辨 不 知 說 何 下 明 如 來 於 眾 獨 勝 譬 如 須 
T85n2770_001:0358b29	彌顯于大海。喻說顯勝。高顯獨出在於大海	彌 顯 于 大 海 喻 說 顯 勝 高 顯 獨 出 在 於 大 海 
T85n2770_001:0358c01	名顯。于海弊於諸眾合以顯勝也。	名 顯 于 海 弊 於 諸 眾 合 以 顯 勝 也 
T85n2770_001:0358c02	上來由序。自下約對不思議德悉為正宗。如	上 來 由 序 自 下 約 對 不 思 議 德 悉 為 正 宗 如 
T85n2770_001:0358c03	勝鬘經嘆佛功德正宗所收。此亦應然。無勞	勝 鬘 經 嘆 佛 功 德 正 宗 所 收 此 亦 應 然 無 勞 
T85n2770_001:0358c04	致疑。此正宗中文別有二。一因寶積獻蓋如	致 疑 此 正 宗 中 文 別 有 二 一 因 寶 積 獻 蓋 如 
T85n2770_001:0358c05	來顯示不思議德令人願求。二寶積說已白	來 顯 示 不 思 議 德 令 人 願 求 二 寶 積 說 已 白 
T85n2770_001:0358c06	佛已下因寶積啟請如來宣說淨土因果令人	佛 已 下 因 寶 積 啟 請 如 來 宣 說 淨 土 因 果 令 人 
T85n2770_001:0358c07	習學。前即是其法身因果。後即是其淨土因	習 學 前 即 是 其 法 身 因 果 後 即 是 其 淨 土 因 
T85n2770_001:0358c08	果。初之一段望前為正。望後仍有起發之義。	果 初 之 一 段 望 前 為 正 望 後 仍 有 起 發 之 義 
T85n2770_001:0358c09	故亦名序由。其蓋中現十方國。起後所說淨	故 亦 名 序 由 其 蓋 中 現 十 方 國 起 後 所 說 淨 
T85n2770_001:0358c10	土因果故得名序。於中有三。一寶積等獻蓋	土 因 果 故 得 名 序 於 中 有 三 一 寶 積 等 獻 蓋 
T85n2770_001:0358c11	為由。第二如來合蓋現變。三寶積等觀之敬	為 由 第 二 如 來 合 蓋 現 變 三 寶 積 等 觀 之 敬 
T85n2770_001:0358c12	嘆以顯願求。初中爾時獻蓋時也。當爾佛在	嘆 以 顯 願 求 初 中 爾 時 獻 蓋 時 也 當 爾 佛 在 
T85n2770_001:0358c13	菴羅薗時。次舉獻人。毘耶離城出其生處。有	菴 羅 薗 時 次 舉 獻 人 毘 耶 離 城 出 其 生 處 有 
T85n2770_001:0358c14	長者子標別其人。名曰寶積厈其名諱。與五	長 者 子 標 別 其 人 名 曰 寶 積 厈 其 名 諱 與 五 
T85n2770_001:0358c15	百等兼列其眾。下明獻蓋時。蓋諸佛獻奉方	百 等 兼 列 其 眾 下 明 獻 蓋 時 蓋 諸 佛 獻 奉 方 
T85n2770_001:0358c16	共便供養佛。正明獻蓋。	共 便 供 養 佛 正 明 獻 蓋 
T85n2770_001:0358c17	第二如來現變之中光合為一。次廣令大後。	第 二 如 來 現 變 之 中 光 合 為 一 次 廣 令 大 後 
T85n2770_001:0358c18	於蓋中廣有所現。前合一中佛之威神明合所	於 蓋 中 廣 有 所 現 前 合 一 中 佛 之 威 神 明 合 所 
T85n2770_001:0358c19	由。此不思議解脫之力說為威神。約通而辨。	由 此 不思議解脫 之 力 說 為 威 神 約 通 而 辨 
T85n2770_001:0358c20	是幻通力非餘通等。通有幾種而言非餘通。	是 幻 通 力 非 餘 通 等 通 有 幾 種 而 言 非 餘 通 
T85n2770_001:0358c21	有四種。一如意通。運變自身大音普遍。二者	有 四 種 一 如 意 通 運 變 自 身 大 音 普 遍 二 者 
T85n2770_001:0358c22	幻通。轉變外事。三法智通。通達諸法。四聖	幻 通 轉 變 外 事 三 法 智 通 通 達 諸 法 四 聖 
T85n2770_001:0358c23	自在通。能於苦中生其樂相。於樂法中生於	自 在 通 能 於 苦 中 生 其 樂 相 於 樂 法 中 生 於 
T85n2770_001:0358c24	苦想。苦樂法中生不苦不樂想。如是一切不	苦 想 苦 樂 法 中 生 不苦不樂 想 如是一切 不 
T85n2770_001:0358c25	隨緣變名聖自在。今轉外事故是幻通。何故	隨 緣 變 名 聖 自 在 今 轉 外 事 故 是 幻 通 何 故 
T85n2770_001:0358c26	悉受合之為一。為令施者眾望滿足故悉受	悉 受 合 之 為 一 為 令 施 者 眾 望 滿 足 故 悉 受 
T85n2770_001:0358c27	之。為成一用故合為一。佛初成道受四王鉢	之 為 成 一 用 故 合 為 一 佛 初 成 道 受 四 王 鉢 
T85n2770_001:0358c28	合之為一。又為顯示不思議力故合為一。次	合 之 為 一 又 為 顯 示 不 思 議 力 故 合 為 一 次 
T85n2770_001:0358c29	廣令大遍覆三千大千世界。如經中說。一四	廣 令 大 遍 覆 三千大千世界 如 經 中 說 一 四 
T85n2770_001:0359a01	天下有一須彌四大海水鐵圍。圍遶以為一	天 下 有 一 須 彌 四 大 海 水 鐵 圍 圍 遶 以 為 一 
T85n2770_001:0359a02	界。數之至千名小千世界。小千為一數復至	界 數 之 至 千 名 小千世界 小 千 為 一 數 復 至 
T85n2770_001:0359a03	千名中千界。中千為一數復至千名為三千	千 名 中 千 界 中 千 為 一 數 復 至 千 名 為 三 千 
T85n2770_001:0359a04	大千世界。此三千界同時成壞故合為一名	大千世界 此 三 千 界 同 時 成 壞 故 合 為 一 名 
T85n2770_001:0359a05	世界剎。數此至於恒河沙數名世界性。此性	世 界 剎 數 此 至 於 恒 河 沙 數 名 世 界 性 此 性 
T85n2770_001:0359a06	為一數復至於恒河沙數名世界海。海復為	為 一 數 復 至 於 恒 河 沙 數 名 世 界 海 海 復 為 
T85n2770_001:0359a07	一數之至恒河沙數名世界種。種復為一數	一 數 之 至 恒 河 沙 數 名 世 界 種 種 復 為 一 數 
T85n2770_001:0359a08	之至恒河沙數名一佛界。依如華嚴。如是轉	之 至 恒 河 沙 數 名 一 佛 界 依 如 華 嚴 如 是 轉 
T85n2770_001:0359a09	增凡有十重。最後名為世界須彌。今言三千。	增 凡 有 十 重 最 後 名 為 世 界 須 彌 今 言 三 千 
T85n2770_001:0359a10	一剎為言。下明所現。所現有二。一現此界。二	一 剎 為 言 下 明 所 現 所 現 有 二 一 現 此 界 二 
T85n2770_001:0359a11	又十方下現他方事。現此之穢令人同厭。現	又 十 方 下 現 他 方 事 現 此 之 穢 令 人 同 厭 現 
T85n2770_001:0359a12	他方淨使人同欣。現此界中事別有五。一現	他 方 淨 使 人 同 欣 現 此 界 中 事 別 有 五 一 現 
T85n2770_001:0359a13	地相廣長悉現。二現諸山。三現眾水。四現日	地 相 廣 長 悉 現 二 現 諸 山 三 現 眾 水 四 現 日 
T85n2770_001:0359a14	月星辰等事。五現諸天龍神宮等事。現他方	月 星 辰 等 事 五 現 諸 天 龍 神 宮 等 事 現 他 方 
T85n2770_001:0359a15	事言少可知。	事 言 少 可 知 
T85n2770_001:0359a16	自下第三明寶積等覩前神變敬嘆發心。於	自 下 第 三 明 寶 積 等 覩 前 神 變 敬 嘆 發 心 於 
T85n2770_001:0359a17	中初先明諸大眾讚嘆禮敬。爾時一切大眾	中 初 先 明 諸 大 眾 讚 嘆 禮 敬 爾 時 一 切 大 眾 
T85n2770_001:0359a18	舉敬嘆人。覩佛神力敬嘆所由。嘆未曾有口	舉 敬 嘆 人 覩 佛 神 力 敬 嘆 所 由 嘆 未 曾 有 口 
T85n2770_001:0359a19	業嘆也。合多為一。廣小令大。蓋中普現諸事。	業 嘆 也 合 多 為 一 廣 小 令 大 蓋 中 普 現 諸 事 
T85n2770_001:0359a20	昔所未見。名為未有。合掌禮佛身業敬也。觀	昔 所 未 見 名 為 未 有 合 掌 禮 佛 身 業 敬 也 觀 
T85n2770_001:0359a21	佛無厭故曰不捨。下明寶積說偈廣嘆。先舉	佛 無 厭 故 曰 不 捨 下 明 寶 積 說 偈 廣 嘆 先 舉 
T85n2770_001:0359a22	嘆人。佛前嘆處。偈訟嘆相。何故偈嘆。解有	嘆 人 佛 前 嘆 處 偈 訟 嘆 相 何 故 偈 嘆 解 有 
T85n2770_001:0359a23	兩義。一偈言要略。少字之中能攝多義。寶積	兩 義 一 偈 言 要 略 少 字 之 中 能 攝 多 義 寶 積 
T85n2770_001:0359a24	令欲以其略言廣攝佛德故須偈訟。二偈言	令 欲 以 其 略 言 廣 攝 佛 德 故 須 偈 訟 二 偈 言 
T85n2770_001:0359a25	美妙諸讚嘆者多以偈訟。寶積今欲讚美佛	美 妙 諸 讚 嘆 者 多 以 偈 訟 寶 積 今 欲 讚 美 佛 
T85n2770_001:0359a26	德故須偈訟。	德 故 須 偈 訟 
T85n2770_001:0359a27	下出嘆辭。辭中合有三十六行。四句為偈。有	下 出 嘆 辭 辭 中 合 有 三 十 六 行 四 句 為 偈 有 
T85n2770_001:0359a28	十八偈。人科種種。合判為五。初有兩行。以為	十 八 偈 人 科 種 種 合 判 為 五 初 有 兩 行 以 為 
T85n2770_001:0359a29	初段。嘆美佛德。次有兩行。為第二段。訟嘆	初 段 嘆 美 佛 德 次 有 兩 行 為 第 二 段 訟 嘆 
T85n2770_001:0359b01	向前所現之事。法王法力超群生下有十三	向 前 所 現 之 事 法 王 法 力 超 群 生 下 有 十 三 
T85n2770_001:0359b02	行。為第三段。重嘆餘德。今奉世尊此微蓋下	行 為 第 三 段 重 嘆 餘 德 今 奉 世 尊 此 微 蓋 下 
