X33n0629_001:0433a03	 製疏始末	 製 疏 始 末 
X33n0629_001:0436a05	非妄。地涌薩埵。發弘願於分身國土。滅後通經。聊以	非 妄 地 涌 薩 埵 發 弘 願 於 分 身 國 土 滅 後 通 經 聊 以 
X33n0629_001:0436a06	感知遇之隆恩。人中師子。現神力於無邊海會。當陽	感 知 遇 之 隆 恩 人 中 師 子 現 神 力 於 無 邊 海 會 當 陽 
X33n0629_001:0436a07	嘉讚。殆以堅克繩之深信。將罷法座。極口叮嚀。恐墮	嘉 讚 殆 以 堅 克 繩 之 深 信 將 罷 法 座 極 口 叮 嚀 恐 墮 
X33n0629_001:0436a08	岐途。再垂成範。果能我法執盡。如藥王之焚身。淨穢	岐 途 再 垂 成 範 果 能 我 法 執 盡 如 藥 王 之 焚 身 淨 穢 
X33n0629_001:0436a09	情忘。若妙音之遠至。還須無方圓應。重踐普門。助修	情 忘 若 妙 音 之 遠 至 還 須 無 方 圓 應 重 踐 普 門 助 修 
X33n0629_001:0436a10	假秘密之功。防心援知識之力。四法成就。三七精修。	假 秘 密 之 功 防 心 援 知 識 之 力 四 法 成 就 三 七 精 修 
X33n0629_001:0436a11	是經之必得無疑。普賢之現身有願。如斯流通。而流	是 經 之 必 得 無 疑 普 賢 之 現 身 有 願 如 斯 流 通 而 流 
X33n0629_001:0436a12	通斯無滯矣。然則斯經也。豈獨夫次第為然哉。祇如	通 斯 無 滯 矣 然 則 斯 經 也 豈 獨 夫 次 第 為 然 哉 祇 如 
X33n0629_001:0436a13	聖毫東燭。一化全彰。賢眾西來。四法重示。始固可以	聖 毫 東 燭 一 化 全 彰 賢 眾 西 來 四 法 重 示 始 固 可 以 
X33n0629_001:0436a14	攝後。終亦何曾遺前。且也文字性空。空無不容。實相	攝 後 終 亦 何 曾 遺 前 且 也 文 字 性 空 空 無 不 容 實 相 
X33n0629_001:0436a15	體徧。徧無不備。故令一言一句。達無量無邊之義。若	體 徧 徧 無 不 備 故 令 一 言 一 句 達 無量無邊 之 義 若 
X33n0629_001:0436a16	受若持。成最圓最妙之因。既全事之理。隨事而一一	受 若 持 成 最 圓 最 妙 之 因 既 全 事 之 理 隨 事 而 一 一 
X33n0629_001:0436a17	俱彰。亦全理之事。隨理而一一互涉。於是土田三變。	俱 彰 亦 全 理 之 事 隨 理 而 一 一 互 涉 於 是 土 田 三 變 
X33n0629_001:0436a18	非垢非淨。分身俱來。不一不多。多劫半日。而延促同	非 垢 非 淨 分 身 俱 來 不一不多 多 劫 半 日 而 延 促 同 
X33n0629_001:0436a19	時。生滅常住。而隱顯俱在。舌相毛光。即靈鷲而上至	時 生 滅 常 住 而 隱 顯 俱 在 舌 相 毛 光 即 靈 鷲 而 上 至 
X33n0629_001:0436a20	梵世。彈指謦欬。由娑婆而遐播十方。是皆超乎心踪。	梵 世 彈 指 謦 欬 由 娑 婆 而 遐 播 十 方 是 皆 超 乎 心 踪 
X33n0629_001:0436a21	絕於言道。異時之所不見。非機之所不聞。故謂妙法	絕 於 言 道 異 時 之 所 不 見 非 機 之 所 不 聞 故 謂 妙 法 
X33n0629_001:0436a22	蓮華者。乃標其玄微。喻以希有之稱也。理也無知。敢	蓮 華 者 乃 標 其 玄 微 喻 以 希 有 之 稱 也 理 也 無 知 敢 
X33n0629_001:0436a23	希妙諦。在飄零而思返。迷道路而難歸。幸以微緣。獲	希 妙 諦 在 飄 零 而 思 返 迷 道 路 而 難 歸 幸 以 微 緣 獲 
X33n0629_001:0436a24	覩聖典。如親怙恃。盡命弘持。尋要義於博文。贅浮詞	覩 聖 典 如 親 怙 恃 盡 命 弘 持 尋 要 義 於 博 文 贅 浮 詞 
X33n0629_001:0436b01	於玄理。亦知佛道如山。蟻步無能窮其際。聖智擬海。	於 玄 理 亦 知 佛 道 如 山 蟻 步 無 能 窮 其 際 聖 智 擬 海 
X33n0629_001:0436b02	蠡量奚足較其源。姑就愚見。聊接蒙童。爰取易明。目	蠡 量 奚 足 較 其 源 姑 就 愚 見 聊 接 蒙 童 爰 取 易 明 目 
X33n0629_001:0436b03	曰指掌。仍復翹勤五體。歸命三尊。展此精誠。祈求加	曰 指 掌 仍 復 翹 勤 五 體 歸 命 三 尊 展 此 精 誠 祈 求 加 
X33n0629_001:0436b04	被。	被 
X33n0629_001:0436b05	　稽首靈山說法主　　乘願證經多寶尊	 稽 首 靈 山 說 法 主 乘 願 證 經 多 寶 尊 
X33n0629_001:0436b06	　雲集分身無量佛　　一乘實相妙蓮華	 雲 集 分 身 無 量 佛 一 乘 實 相 妙 蓮 華 
X33n0629_001:0436b07	　舊住新出二部僧　　無盡三寶攝授我	 舊 住 新 出 二 部 僧 無 盡 三 寶 攝 授 我 
X33n0629_001:0436b08	　令我所作速圓成　　流通利益無窮盡	 令 我 所 作 速 圓 成 流 通 利 益 無 窮 盡 
X33n0629_001:0437a03	法華指掌疏科判	法 華 指 掌 疏 科 判 
X33n0629_001:0437a05	弘傳序科	弘 傳 序 科 
X33n0629_001:0437a07	○解釋此經啟以十門	 解 釋 此 經 啟 以 十 門 
X33n0629_001:0437a08	一教起因緣(第一)	一 教 起 因 緣 第 一 
X33n0629_001:0437a09	二藏乘分攝(第二)	二 藏 乘 分 攝 第 二 
X33n0629_001:0437a10	三能被教義(第三)	三 能 被 教 義 第 三 
X33n0629_001:0437a11	四所被機宜(第四)	四 所 被 機 宜 第 四 
X33n0629_001:0437a12	五體性淺深(第五)	五 體 性 淺 深 第 五 
X33n0629_001:0437a13	六宗趣通別(第六)	六 宗 趣 通 別 第 六 
X33n0629_001:0437a14	七部類品會(第七)	七 部 類 品 會 第 七 
X33n0629_001:0437a15	八疏序通經(三)	八 疏 序 通 經 三 
X33n0629_001:0437a16	一釋序題(妙法)	一 釋 序 題 妙 法 
X33n0629_001:0437a17	二釋序主(終南)	二 釋 序 主 終 南 
X33n0629_001:0437a18	三釋序文(三)	三 釋 序 文 三 
X33n0629_001:0437a19	一敘經緣起(三)	一 敘 經 緣 起 三 
X33n0629_001:0437a20	一總標大意(妙法)	一 總 標 大 意 妙 法 
X33n0629_001:0437a21	二歷敘緣起(二)	二 歷 敘 緣 起 二 
X33n0629_001:0437a22	一兩土處時(蓋結)	一 兩 土 處 時 蓋 結 
X33n0629_001:0437a23	二三朝翻譯(三)	二 三 朝 翻 譯 三 
X33n0629_001:0437a24	一晉朝翻譯(三)	一 晉 朝 翻 譯 三 
X33n0629_001:0437a25	一翻譯時年(西晉)	一 翻 譯 時 年 西 晉 
X33n0629_001:0437a26	二能譯依正(長安)	二 能 譯 依 正 長 安 
X33n0629_001:0437a27	三結所譯名(初翻)	三 結 所 譯 名 初 翻 
X33n0629_001:0437a28	二秦朝翻譯(三)	二 秦 朝 翻 譯 三 
X33n0629_001:0437a29	一翻譯時年(東晉)	一 翻 譯 時 年 東 晉 
X33n0629_001:0437a30	二能譯依正(龜茲)	二 能 譯 依 正 龜 茲 
X33n0629_001:0437a31	三結所譯名(次翻)	三 結 所 譯 名 次 翻 
X33n0629_001:0437a32	三隋朝翻譯(三)	三 隋 朝 翻 譯 三 
X33n0629_001:0437a33	一翻譯時年(隋氏)	一 翻 譯 時 年 隋 氏 
X33n0629_001:0437a34	二能譯依正(大興)	二 能 譯 依 正 大 興 
X33n0629_001:0437a35	三結所譯名(後所)	三 結 所 譯 名 後 所 
X33n0629_001:0437a36	三預防伏難(四)	三 預 防 伏 難 四 
X33n0629_001:0437a37	一防獨宗一本難(三經)	一 防 獨 宗 一 本 難 三 經 
X33n0629_001:0437a38	二防不宗餘本難(時所)	二 防 不 宗 餘 本 難 時 所 
X33n0629_001:0437a39	三防餘本有異難(自餘)	三 防 餘 本 有 異 難 自 餘 
X33n0629_001:0437a40	四防有異當述難(具如)	四 防 有 異 當 述 難 具 如 
X33n0629_001:0437a41	二敘經宗旨(三)	二 敘 經 宗 旨 三 
X33n0629_001:0437a42	一懸敘說經之緣(三)	一 懸 敘 說 經 之 緣 三 
X33n0629_001:0437a43	一反顯(二)	一 反 顯 二 
X33n0629_001:0437a44	一反顯教到(夫以)	一 反 顯 教 到 夫 以 
X33n0629_001:0437a45	二反顯機熟(適化)	二 反 顯 機 熟 適 化 
X33n0629_001:0437a46	二正明(二)	二 正 明 二 
X33n0629_001:0437a47	一正明機熟(所以)	一 正 明 機 熟 所 以 
X33n0629_001:0437a48	二正明教到(金河)	二 正 明 教 到 金 河 
X33n0629_001:0437a49	三防問(二)	三 防 問 二 
X33n0629_001:0437a50	一防教猶未到問(豈非)	一 防 教 猶 未 到 問 豈 非 
X33n0629_001:0437a51	二防機猶未熟問(是知)	二 防 機 猶 未 熟 問 是 知 
X33n0629_001:0437a52	二正敘一經宗旨(五)	二 正 敘 一 經 宗 旨 五 
X33n0629_001:0437a53	一序分宗旨(所以)	一 序 分 宗 旨 所 以 
X33n0629_001:0437a54	二法說宗旨(出定)	二 法 說 宗 旨 出 定 
X33n0629_001:0438a01	三喻說宗旨(朽宅)	三 喻 說 宗 旨 朽 宅 
X33n0629_001:0438a02	四因緣宗旨(化城)	四 因 緣 宗 旨 化 城 
X33n0629_001:0438a03	五顯益宗旨(鑿井)	五 顯 益 宗 旨 鑿 井 
X33n0629_001:0438a04	三結讚教勝機深(二)	三 結 讚 教 勝 機 深 二 
X33n0629_001:0438a05	一結經讚教(二)	一 結 經 讚 教 二 
X33n0629_001:0438a06	一結經惟遠(調義)	一 結 經 惟 遠 調 義 
X33n0629_001:0438a07	二讚教緣勝(自非)	二 讚 教 緣 勝 自 非 
X33n0629_001:0438a08	二結持讚機(二)	二 結 持 讚 機 二 
X33n0629_001:0438a09	一結持隆盛(自漢)	一 結 持 隆 盛 自 漢 
X33n0629_001:0438a10	二讚機因深(將非)	二 讚 機 因 深 將 非 
X33n0629_001:0438a11	三祈願述意(二)	三 祈 願 述 意 二 
X33n0629_001:0438a12	一明序祈願(輙於)	一 明 序 祈 願 輙 於 
X33n0629_001:0438a13	二歎經述意(弘讚)	二 歎 經 述 意 弘 讚 
X33n0629_001:0438a14	九總釋名題○	九 總 釋 名 題 
X33n0629_001:0438a15	十別解文義○	十 別 解 文 義 
X33n0629_001:0438a17	妙法蓮華經卷第一科	妙法蓮華 經 卷 第 一 科 
X33n0629_001:0438a19	○九總釋名題(二)	 九 總 釋 名 題 二 
X33n0629_001:0438a20	一經題(妙法)	一 經 題 妙 法 
X33n0629_001:0438a21	二譯人(姚秦)	二 譯 人 姚 秦 
X33n0629_001:0438a23	序品	序 品 
X33n0629_001:0438a25	○十別解文義(三)	 十 別 解 文 義 三 
X33n0629_001:0438a26	一序分(品題)(經文二)	一 序 分 品 題 經 文 二 
X33n0629_001:0438a27	一六緣證信序(二)	一 六 緣 證 信 序 二 
X33n0629_001:0438a28	一總明五緣(如是)	一 總 明 五 緣 如 是 
X33n0629_001:0438a29	二別列聽眾(二)	二 別 列 聽 眾 二 
X33n0629_001:0438a30	一分科別列(三)	一 分 科 別 列 三 
X33n0629_001:0438a31	一三乘交叅(四)	一 三 乘 交 叅 四 
X33n0629_001:0438a32	一詳列無學(三)	一 詳 列 無 學 三 
X33n0629_001:0438a33	一舉類標數(與大)	一 舉 類 標 數 與 大 
X33n0629_001:0438a34	二明位歎德(二)	二 明 位 歎 德 二 
X33n0629_001:0438a35	一明位(皆是)	一 明 位 皆 是 
X33n0629_001:0438a36	二歎德(無復)	二 歎 德 無 復 
X33n0629_001:0438a37	三指名總結(二)	三 指 名 總 結 二 
X33n0629_001:0438a38	一指名別列(其名)	一 指 名 別 列 其 名 
X33n0629_001:0438a39	二結略顯廣(如是)	二 結 略 顯 廣 如 是 
X33n0629_001:0438a40	二略述有學(復有)	二 略 述 有 學 復 有 
X33n0629_001:0438a41	三總陳尼眾(摩訶)	三 總 陳 尼 眾 摩 訶 
X33n0629_001:0438a42	四廣明菩薩(三)	四 廣 明 菩 薩 三 
X33n0629_001:0438a43	一舉類標數(菩薩)	一 舉 類 標 數 菩 薩 
X33n0629_001:0438a44	二明位歎德(二)	二 明 位 歎 德 二 
X33n0629_001:0438a45	一明位(皆於)	一 明 位 皆 於 
X33n0629_001:0438a46	二歎德(供養)	二 歎 德 供 養 
X33n0629_001:0438a47	三指名總結(二)	三 指 名 總 結 二 
X33n0629_001:0438a48	一指名別列(其名)	一 指 名 別 列 其 名 
X33n0629_001:0438a49	二結略顯廣(如是)	二 結 略 顯 廣 如 是 
X33n0629_001:0438a50	二八部該羅(六)	二 八 部 該 羅 六 
X33n0629_001:0438a51	一天王天眾(爾時)	一 天 王 天 眾 爾 時 
X33n0629_001:0438a52	二龍王龍眾(有八)	二 龍 王 龍 眾 有 八 
X33n0629_001:0438a53	三緊那羅眾(有四)	三 緊 那 羅 眾 有 四 
X33n0629_001:0438a54	四乾闥婆眾(有四)	四 乾 闥 婆 眾 有 四 
X33n0629_001:0438a55	五阿修羅眾(有四)	五 阿 修 羅 眾 有 四 
X33n0629_001:0438a56	六迦樓羅眾(有四)	六 迦 樓 羅 眾 有 四 
X33n0629_001:0438a57	三檀眾俱至(韋提)	三 檀 眾 俱 至 韋 提 
X33n0629_001:0438a58	二敘儀總結(各禮)	二 敘 儀 總 結 各 禮 
X33n0629_001:0438a59	二一光發起序(四)	二 一 光 發 起 序 四 
X33n0629_001:0438a60	一顯相逗機(三)	一 顯 相 逗 機 三 
X33n0629_001:0438a61	一說經入定(爾時)	一 說 經 入 定 爾 時 
X33n0629_001:0438a62	二雨華動地(是時)	二 雨 華 動 地 是 時 
X33n0629_001:0438a63	三大眾喜觀(爾時)	三 大 眾 喜 觀 爾 時 
X33n0629_001:0438a64	二放光東照(二)	二 放 光 東 照 二 
X33n0629_001:0438a65	一一光所照之境(爾時)	一 一 光 所 照 之 境 爾 時 
X33n0629_001:0439a01	二諸境所現之相(三)	二 諸 境 所 現 之 相 三 
X33n0629_001:0439a02	一眾生機感(於此)	一 眾 生 機 感 於 此 
X33n0629_001:0439a03	二諸佛化應(二)	二 諸 佛 化 應 二 
X33n0629_001:0439a04	一從實施權(二)	一 從 實 施 權 二 
X33n0629_001:0439a05	一從實(又見)	一 從 實 又 見 
X33n0629_001:0439a06	二施權(并見)	二 施 權 并 見 
X33n0629_001:0439a07	二會權歸實(復見)	二 會 權 歸 實 復 見 
X33n0629_001:0439a08	三機盡化息(復見)	三 機 盡 化 息 復 見 
X33n0629_001:0439a09	三會眾騰疑(二)	三 會 眾 騰 疑 二 
X33n0629_001:0439a10	一彌勒疑念(爾時)	一 彌 勒 疑 念 爾 時 
X33n0629_001:0439a11	二大眾疑念(爾時)	二 大 眾 疑 念 爾 時 
X33n0629_001:0439a12	四問答發起(二)	四 問 答 發 起 二 
X33n0629_001:0439a13	一彌勒請問(二)	一 彌 勒 請 問 二 
X33n0629_001:0439a14	一略問(二)	一 略 問 二 
X33n0629_001:0439a15	一長行(爾時)	一 長 行 爾 時 
X33n0629_001:0439a16	二偈頌(標頌)(文殊)	二 偈 頌 標 頌 文 殊 
X33n0629_001:0439a17	二詳問(四)	二 詳 問 四 
X33n0629_001:0439a18	一兼陳顯相(雨曼)	一 兼 陳 顯 相 雨 曼 
X33n0629_001:0439a19	二正陳放光(二)	二 正 陳 放 光 二 
X33n0629_001:0439a20	一一光所照之境(眉間)	一 一 光 所 照 之 境 眉 間 
X33n0629_001:0439a21	二諸境所現之相(三)	二 諸 境 所 現 之 相 三 
X33n0629_001:0439a22	一眾生機感(諸世)	一 眾 生 機 感 諸 世 
X33n0629_001:0439a23	二諸佛化應(二)	二 諸 佛 化 應 二 
X33n0629_001:0439a24	一從實施權(二)	一 從 實 施 權 二 
X33n0629_001:0439a25	一從實(又覩)	一 從 實 又 覩 
X33n0629_001:0439a26	二施權(二)	二 施 權 二 
X33n0629_001:0439a27	總陳(梵音)	總 陳 梵 音 
X33n0629_001:0439a28	二別陳(若人)	二 別 陳 若 人 
X33n0629_001:0439a29	二會權歸實(二)	二 會 權 歸 實 二 
X33n0629_001:0439a30	一結前起後(文殊)	一 結 前 起 後 文 殊 
X33n0629_001:0439a31	二正陳機宜(二)	二 正 陳 機 宜 二 
X33n0629_001:0439a32	一總標種種因緣(我見)	一 總 標 種種因緣 我 見 
X33n0629_001:0439a33	二別陳信解相貌(二)	二 別 陳 信 解 相 貌 二 
X33n0629_001:0439a34	一次第緩陳(六)	一 次 第 緩 陳 六 
X33n0629_001:0439a35	一布施(三)	一 布 施 三 
X33n0629_001:0439a36	一外施(或有)	一 外 施 或 有 
X33n0629_001:0439a37	二內外施(或有)	二 內 外 施 或 有 
X33n0629_001:0439a38	三內施(又見)	三 內 施 又 見 
X33n0629_001:0439a39	二持戒(文殊)	二 持 戒 文 殊 
X33n0629_001:0439a40	三忍辱(或見)	三 忍 辱 或 見 
X33n0629_001:0439a41	四精進(又見)	四 精 進 又 見 
X33n0629_001:0439a42	五禪定(又見)	五 禪 定 又 見 
X33n0629_001:0439a43	六智慧(復見)	六 智 慧 復 見 
X33n0629_001:0439a44	二不次急說(六)	二 不 次 急 說 六 
X33n0629_001:0439a45	一精進(又見)	一 精 進 又 見 
X33n0629_001:0439a46	二持戒(又見)	二 持 戒 又 見 
X33n0629_001:0439a47	三忍辱(又見)	三 忍 辱 又 見 
X33n0629_001:0439a48	四禪定(又見)	四 禪 定 又 見 
X33n0629_001:0440a01	五布施(或見)	五 布 施 或 見 
X33n0629_001:0440a02	六智慧(或有)	六 智 慧 或 有 
X33n0629_001:0440a03	三機盡化息(二)	三 機 盡 化 息 二 
X33n0629_001:0440a04	一供養舍利(文殊)	一 供 養 舍 利 文 殊 
X33n0629_001:0440a05	二起塔嚴國(又見)	二 起 塔 嚴 國 又 見 
X33n0629_001:0440a06	三結見求決(佛放)	三 結 見 求 決 佛 放 
X33n0629_001:0440a07	四防難申問(四)	四 防 難 申 問 四 
X33n0629_001:0440a08	一防初難申初問(四眾)	一 防 初 難 申 初 問 四 眾 
X33n0629_001:0440a09	二防次難申次問(佛子)	二 防 次 難 申 次 問 佛 子 
X33n0629_001:0440a10	三防三難申三問(佛坐)	三 防 三 難 申 三 問 佛 坐 
X33n0629_001:0440a11	四防四難申四問(示諸)	四 防 四 難 申 四 問 示 諸 
X33n0629_001:0440a12	二文殊領答(二)	二 文 殊 領 答 二 
X33n0629_001:0440a13	一略答(二)	一 略 答 二 
X33n0629_001:0440a14	一惟付直答(爾時)	一 惟 付 直 答 爾 時 
X33n0629_001:0440a15	二引古作證(諸善)	二 引 古 作 證 諸 善 
X33n0629_001:0440a16	二詳答(二)	二 詳 答 二 
X33n0629_001:0440a17	一長行(四)	一 長 行 四 
X33n0629_001:0440a18	一總引燈明(二)	一 總 引 燈 明 二 
X33n0629_001:0440a19	一詳引最初一佛(二)	一 詳 引 最 初 一 佛 二 
X33n0629_001:0440a20	一總標化儀(諸善)	一 總 標 化 儀 諸 善 
X33n0629_001:0440a21	二別明三善(其義)	二 別 明 三 善 其 義 
X33n0629_001:0440a22	二略引相繼二萬(次復)	二 略 引 相 繼 二 萬 次 復 
X33n0629_001:0440a23	二別明往事(五)	二 別 明 往 事 五 
X33n0629_001:0440a24	一時至機熟(二)	一 時 至 機 熟 二 
X33n0629_001:0440a25	一略舉時機(其最)	一 略 舉 時 機 其 最 
X33n0629_001:0440a26	二義顯至熟(是八)	二 義 顯 至 熟 是 八 
X33n0629_001:0440a27	二顯相逗機(三)	二 顯 相 逗 機 三 
X33n0629_001:0440a28	一說經入定(是時)	一 說 經 入 定 是 時 
X33n0629_001:0440a29	二雨華動地(是時)	二 雨 華 動 地 是 時 
X33n0629_001:0440a30	三大眾喜觀(爾時)	三 大 眾 喜 觀 爾 時 
X33n0629_001:0440a31	三放光東照(爾時)	三 放 光 東 照 爾 時 
X33n0629_001:0440a32	四會眾騰疑(彌勒)	四 會 眾 騰 疑 彌 勒 
X33n0629_001:0440a33	五說法授記(二)	五 說 法 授 記 二 
X33n0629_001:0440a34	一出定說法(時有)	一 出 定 說 法 時 有 
X33n0629_001:0440a35	二唱滅授記(二)	二 唱 滅 授 記 二 
X33n0629_001:0440a36	一對眾唱滅(日月)	一 對 眾 唱 滅 日 月 
X33n0629_001:0440a37	二授記潛輝(時有)	二 授 記 潛 輝 時 有 
X33n0629_001:0440a38	三結會古今(二)	三 結 會 古 今 二 
X33n0629_001:0440a39	一師弟本因(二)	一 師 弟 本 因 二 
X33n0629_001:0440a40	一文殊本因(佛滅)	一 文 殊 本 因 佛 滅 
X33n0629_001:0440a41	二彌勒本因(八百)	二 彌 勒 本 因 八 百 
X33n0629_001:0440a42	二結會釋疑(彌勒)	二 結 會 釋 疑 彌 勒 
X33n0629_001:0440a43	四應問結答(今見)	四 應 問 結 答 今 見 
X33n0629_001:0440a44	二偈頌(四)	二 偈 頌 四 
X33n0629_001:0440a45	一頌總引燈明(我念)	一 頌 總 引 燈 明 我 念 
X33n0629_001:0440a46	二頌別明徃事(五)	二 頌 別 明 徃 事 五 
X33n0629_001:0440a47	一頌時至機熟(佛未)	一 頌 時 至 機 熟 佛 未 
X33n0629_001:0440a48	二頌顯相逗機(時佛)	二 頌 顯 相 逗 機 時 佛 
X33n0629_001:0440a49	三頌放光東照(二)	三 頌 放 光 東 照 二 
X33n0629_001:0440a50	一一光所照之境(佛放)	一 一 光 所 照 之 境 佛 放 
X33n0629_001:0440a51	二諸境所現之相(二)	二 諸 境 所 現 之 相 二 
X33n0629_001:0440a52	一眾生機感(示一)	一 眾 生 機 感 示 一 
X33n0629_001:0440a53	二諸佛化應(二)	二 諸 佛 化 應 二 
X33n0629_001:0440a54	一從實施權(二)	一 從 實 施 權 二 
X33n0629_001:0440a55	一從實(有見)	一 從 實 有 見 
X33n0629_001:0440a56	二施權(一一)	二 施 權 一 一 
X33n0629_001:0440a57	二會權歸實(三)	二 會 權 歸 實 三 
X33n0629_001:0440a58	一進戒二度(或有)	一 進 戒 二 度 或 有 
X33n0629_001:0440a59	二施忍二度(又見)	二 施 忍 二 度 又 見 
X33n0629_001:0440a60	三禪慧二度(又見)	三 禪 慧 二 度 又 見 
X33n0629_001:0440a61	四頌會眾騰疑(爾時)	四 頌 會 眾 騰 疑 爾 時 
X33n0629_001:0440a62	五頌說法授記(二)	五 頌 說 法 授 記 二 
X33n0629_001:0440a63	一頌出定說法(天人)	一 頌 出 定 說 法 天 人 
X33n0629_001:0440a64	二頌唱滅授記(二)	二 頌 唱 滅 授 記 二 
X33n0629_001:0440a65	一頌對眾唱滅(佛說)	一 頌 對 眾 唱 滅 佛 說 
X33n0629_001:0440a66	二頌授記潛輝(世尊)	二 頌 授 記 潛 輝 世 尊 
X33n0629_001:0440a67	三頌結會古今(二)	三 頌 結 會 古 今 二 
X33n0629_001:0440a68	一頌師弟本因(二)	一 頌 師 弟 本 因 二 
X33n0629_001:0440a69	一頌文殊本因(是妙)	一 頌 文 殊 本 因 是 妙 
X33n0629_001:0440a70	二頌彌勒本因(是妙)	二 頌 彌 勒 本 因 是 妙 
X33n0629_001:0440a71	二頌結會釋疑(彼佛)	二 頌 結 會 釋 疑 彼 佛 
X33n0629_001:0440a72	四頌應問結答(四)	四 頌 應 問 結 答 四 
X33n0629_001:0440a73	一答第一問(我見)	一 答 第 一 問 我 見 
X33n0629_001:0440a74	二答第二問(今相)	二 答 第 二 問 今 相 
X33n0629_001:0441a01	三答第三問(諸人)	三 答 第 三 問 諸 人 
X33n0629_001:0441a02	四答第四問(諸求)　序分已竟	四 答 第 四 問 諸 求 序 分 已 竟 
X33n0629_001:0441a03	二正宗分○	二 正 宗 分 
X33n0629_001:0441a04	三流通分○	三 流 通 分 
X33n0629_001:0441a06	方便品	方 便 品 
X33n0629_001:0441a08	○二正宗分(二)	 二 正 宗 分 二 
X33n0629_001:0441a09	一約今時門頭以彰出世本懷(三)	一 約 今 時 門 頭 以 彰 出 世 本 懷 三 
X33n0629_001:0441a10	一略明權實以動執生疑(二)	一 略 明 權 實 以 動 執 生 疑 二 
X33n0629_001:0441a11	一略明權實(二)	一 略 明 權 實 二 
X33n0629_001:0441a12	一長行(二)	一 長 行 二 
X33n0629_001:0441a13	一約智慧稱歎(二)	一 約 智 慧 稱 歎 二 
X33n0629_001:0441a14	一歎諸佛智慧(二)	一 歎 諸 佛 智 慧 二 
X33n0629_001:0441a15	一標歎二智(爾時)	一 標 歎 二 智 爾 時 
X33n0629_001:0441a16	二依次釋成(所以)	二 依 次 釋 成 所 以 
X33n0629_001:0441a17	二歎自證智慧(二)	二 歎 自 證 智 慧 二 
X33n0629_001:0441a18	一總顯具足(舍利)	一 總 顯 具 足 舍 利 
X33n0629_001:0441a19	二分文別歎(舍利)	二 分 文 別 歎 舍 利 
X33n0629_001:0441a20	二約諸法顯示(三)	二 約 諸 法 顯 示 三 
X33n0629_001:0441a21	一取要絕言(舍利)	一 取 要 絕 言 舍 利 
X33n0629_001:0441a22	二徵起釋成(所以)	二 徵 起 釋 成 所 以 
X33n0629_001:0441a23	三轉釋釋詞(所謂)	三 轉 釋 釋 詞 所 謂 
X33n0629_001:0441a24	二偈頌(二)	二 偈 頌 二 
X33n0629_001:0441a25	一正頌長行(二)	一 正 頌 長 行 二 
X33n0629_001:0441a26	一頌約佛慧稱歎(二)	一 頌 約 佛 慧 稱 歎 二 
X33n0629_001:0441a27	一頌歎諸佛智慧(二)	一 頌 歎 諸 佛 智 慧 二 
X33n0629_001:0441a28	一頌標歎二智(世雄)	一 頌 標 歎 二 智 世 雄 
X33n0629_001:0441a29	二頌依次釋成(本從)	二 頌 依 次 釋 成 本 從 
X33n0629_001:0441a30	二頌歎自證智慧(我已)	二 頌 歎 自 證 智 慧 我 已 
X33n0629_001:0441a31	二頌約諸法顯示(如是)	二 頌 約 諸 法 顯 示 如 是 
X33n0629_001:0441a32	二極顯難知(三)	二 極 顯 難 知 三 
X33n0629_001:0441a33	一許信得解(諸餘)	一 許 信 得 解 諸 餘 
X33n0629_001:0441a34	二揀思不及(三)	二 揀 思 不 及 三 
X33n0629_001:0441a35	一揀聲聞(諸佛)	一 揀 聲 聞 諸 佛 
X33n0629_001:0441a36	二揀辟支(辟支)	二 揀 辟 支 辟 支 
X33n0629_001:0441a37	三揀菩薩(新發)	三 揀 菩 薩 新 發 
X33n0629_001:0441a38	三明證始知(又告)	三 明 證 始 知 又 告 
X33n0629_001:0441a39	三略為顯破(舍利)	三 略 為 顯 破 舍 利 
X33n0629_001:0441a40	二動執生疑(二)	二 動 執 生 疑 二 
X33n0629_001:0441a41	一千二動執作念(二)	一 千 二 動 執 作 念 二 
X33n0629_001:0441a42	一躡今教以作念(爾時)	一 躡 今 教 以 作 念 爾 時 
X33n0629_001:0441a43	二執昔教以成疑(佛說)	二 執 昔 教 以 成 疑 佛 說 
X33n0629_001:0441a44	二身子騰疑三請(三)	二 身 子 騰 疑 三 請 三 
X33n0629_001:0441a45	一請為上根(二)	一 請 為 上 根 二 
X33n0629_001:0441a46	一長行(爾時)	一 長 行 爾 時 
X33n0629_001:0441a47	二偈頌(二)	二 偈 頌 二 
X33n0629_001:0441a48	一頌躡舉疑端(慧日)	一 頌 躡 舉 疑 端 慧 日 
X33n0629_001:0441a49	二頌陳疑致請(無漏)	二 頌 陳 疑 致 請 無 漏 
X33n0629_001:0441a50	二請為中根(二)	二 請 為 中 根 二 
X33n0629_001:0441a51	一如來為人天絕言(爾時)	一 如 來 為 人 天 絕 言 爾 時 
X33n0629_001:0441a52	二身子為中根啟請(二)	二 身 子 為 中 根 啟 請 二 
X33n0629_001:0441a53	一長行(舍利)	一 長 行 舍 利 
X33n0629_001:0441a54	二偈頌(爾時)	二 偈 頌 爾 時 
X33n0629_001:0441a55	三請為下根(二)	三 請 為 下 根 二 
X33n0629_001:0441a56	一如來為上慢絕言(佛復)	一 如 來 為 上 慢 絕 言 佛 復 
