T21n1224_001:0133b05	金剛童子持念經	金剛童子 持 念 經 
T21n1224_001:0135b07	次結頭印。即前獨股杵印。以二大指各鉤二	次 結 頭 印 即 前 獨 股 杵 印 以 二 大 指 各 鉤 二 
T21n1224_001:0135b08	無名指頭。於掌中捻其上節內即成。真言	無 名 指 頭 於 掌 中 捻 其 上 節 內 即 成 真 言 
T21n1224_001:0135b09	曰。	曰 
T21n1224_001:0135b10	唵吽(引)吽(引)麼麼撥吒	唵 吽 引 吽 引 麼 麼 撥 吒 
T21n1224_001:0135b11	次結頂印。即前獨股杵印。以二大指直竪相	次 結 頂 印 即 前 獨 股 杵 印 以 二 大 指 直 竪 相 
T21n1224_001:0135b12	柱即成。真言曰。	柱 即 成 真 言 曰 
T21n1224_001:0135b13	唵紇哩(二合一)戰拏迦抳(二)諾賀鉢左(三)吽(引)撥	唵 紇 哩 二 合 一 戰 拏 迦 抳 二 諾 賀 鉢 左 三 吽 引 撥 
T21n1224_001:0135b14	吒娑嚩(二合引)賀(引四)	吒 娑 嚩 二 合 引 賀 引 四 
T21n1224_001:0135b15	次結心印。即前根本印。安於心上。以心真言	次 結 心 印 即 前 根 本 印 安 於 心 上 以 心 真 言 
T21n1224_001:0135b16	加持一遍。真言曰。	加 持 一 遍 真 言 曰 
T21n1224_001:0135b17	唵迦[寧*頁]吽撥吒	唵 迦 [寧頁] 吽 撥 吒 
T21n1224_001:0135b18	次捧念珠當心。以隨心真言加持七遍。真言	次 捧 念 珠 當 心 以 隨 心 真 言 加 持 七 遍 真 言 
T21n1224_001:0135b19	曰。	曰 
T21n1224_001:0135b20	唵迦抳度麼(鼻)吽撥吒(半音)	唵 迦 抳 度 麼 鼻 吽 撥 吒 半 音 
T21n1224_001:0135b21	二手當心。持珠念誦身端正坐儼然苦思。心	二 手 當 心 持 珠 念 誦 身 端 正 坐 儼 然 苦 思 心 
T21n1224_001:0135b22	住本尊威德妙觀。即與畫像如鏡照形。不一	住 本 尊 威 德 妙 觀 即 與 畫 像 如 鏡 照 形 不 一 
T21n1224_001:0135b23	不異。淨無瑕穢。外想威光。心住慈悲妙觀。	不 異 淨 無 瑕 穢 外 想 威 光 心 住 慈 悲 妙 觀 
T21n1224_001:0135b24	愍念六道諸類四生輪迴不息。我今發猛利	愍 念 六 道 諸 類 四 生 輪 迴 不 息 我 今 發 猛 利 
T21n1224_001:0135b25	勇信之心。至誠誦念神妙章句。心住本尊瑜	勇 信 之 心 至 誠 誦 念 神 妙 章 句 心 住 本 尊 瑜 
T21n1224_001:0135b26	伽觀智。今我身心既得清淨。迴此功德神力	伽 觀 智 今 我 身 心 既 得 清 淨 迴 此 功 德 神 力 
T21n1224_001:0135b27	加被遍用法界。普濟有情。蒙此加持。皆如我	加 被 遍 用 法 界 普 濟 有 情 蒙 此 加 持 皆 如 我 
T21n1224_001:0135b28	身外。若依本經。更有十五餘道。真言及以印	身 外 若 依 本 經 更 有 十 五 餘 道 真 言 及 以 印 
T21n1224_001:0135b29	契總合誦習。令便精熟。待至事相應時棟取	契 總 合 誦 習 令 便 精 熟 待 至 事 相 應 時 棟 取 
T21n1224_001:0135c01	用之。以備臨事急難。補其不足。亦非常用具。	用 之 以 備 臨 事 急 難 補 其 不 足 亦 非 常 用 具 
T21n1224_001:0135c02	在大經中說。此不重敘。臨事若要。自撿取用	在 大 經 中 說 此 不 重 敘 臨 事 若 要 自 撿 取 用 
T21n1224_001:0135c03	之。	之 
T21n1224_001:0135c04	大忿怒金剛童子念誦供養儀軌	大 忿 怒 金剛童子 念 誦 供 養 儀 軌 
