T02n0101_001:0493a04	雜阿含經	雜 阿 含 經 
T02n0101_001:0495a19	（八）聞如是：一時佛在舍衛國祇樹給孤獨園。	 八 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 
T02n0101_001:0495a20	是時，佛告舍利弗：「我亦倉卒說弟子法，我亦	是 時 佛 告 舍 利 弗 我 亦 倉 卒 說 弟 子 法 我 亦 
T02n0101_001:0495a21	具說，但為難得解者。」舍利弗便白佛：「倉卒說	具 說 但 為 難 得 解 者 舍 利 弗 便 白 佛 倉 卒 說 
T02n0101_001:0495a22	亦可，弟子法具說亦可，弟子法會有解者。」佛	亦 可 弟 子 法 具 說 亦 可 弟 子 法 會 有 解 者 佛 
T02n0101_001:0495a23	便告舍利弗：「當學如是，身識俱外一切思想，	便 告 舍 利 弗 當 學 如 是 身 識 俱 外 一 切 思 想 
T02n0101_001:0495a24	我是是我所，憍慢使便不復有，所意解所慧	我 是 是 我 所 憍 慢 使 便 不 復 有 所 意 解 所 慧 
T02n0101_001:0495a25	解，自見法自解自知得行，是身識俱外一切	解 自 見 法 自 解 自 知 得 行 是 身 識 俱 外 一 切 
T02n0101_001:0495a26	思想，我是是我所，憍慢使不復有。若舍利	思 想 我 是 是 我 所 憍 慢 使 不 復 有 若 舍 利 
T02n0101_001:0495a27	弗比丘！是身識俱，亦外思想一切我是是我	弗 比 丘 是 身 識 俱 亦 外 思 想 一 切 我 是 是 我 
T02n0101_001:0495a28	所，憍慢使便不復有，所意解得慧解，見法慧	所 憍 慢 使 便 不 復 有 所 意 解 得 慧 解 見 法 慧 
T02n0101_001:0495a29	行自見自知求行止，是名為，舍利弗比丘！無	行 自 見 自 知 求 行 止 是 名 為 舍 利 弗 比 丘 無 
T02n0101_001:0495b01	所著漏索盡至學度世，我為是故說是言。」從	所 著 漏 索 盡 至 學 度 世 我 為 是 故 說 是 言 從 
T02n0101_001:0495b02	後說絕：	後 說 絕 
T02n0101_001:0495b03	「度世說不致，　壞欲欲思想，　意不可俱爾，	 度 世 說 不 致 壞 欲 欲 思 想 意 不 可 俱 爾 
T02n0101_001:0495b04	　亦除曉睡瞑，　亦還結疑，　觀意除淨，　本起	 亦 除 曉 睡 瞑 亦 還 結 疑 觀 意 除 淨 本 起 
T02n0101_001:0495b05	思惟法，　已說度世慧，　亦說壞癡。」佛說如	思 惟 法 已 說 度 世 慧 亦 說 壞 癡 佛 說 如 
T02n0101_001:0495b06	是。	是 
T02n0101_001:0495b07	（九）聞如是：一時佛在舍衛國祇樹給孤獨園。	 九 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 
T02n0101_001:0495b08	是時，佛告諸比丘：「是身有肌膚髓血生肉含	是 時 佛 告 諸 比 丘 是 身 有 肌 膚 髓 血 生 肉 含 
T02n0101_001:0495b09	滿屎尿，自視身見何等好？常有九孔惡病，常	滿 屎 尿 自 視 身 見 何 等 好 常 有 九 孔 惡 病 常 
T02n0101_001:0495b10	不淨，常洒可足慚，常與怨家合為至老死，	不 淨 常 洒 可 足 慚 常 與 怨 家 合 為 至 老 死 
T02n0101_001:0495b11	亦與病俱。何以不惡身？會當墮、會當敗，以	亦 與 病 俱 何 以 不 惡 身 會 當 墮 會 當 敗 以 
T02n0101_001:0495b12	棄葬地中不復用，為狐狼所噉。何以見不	棄 葬 地 中 不 復 用 為 狐 狼 所 噉 何 以 見 不 
T02n0101_001:0495b13	慚，誰說貪婬？」如佛言：「少可多自心觀是，如屠	慚 誰 說 貪 婬 如 佛 言 少 可 多 自 心 觀 是 如 屠 
T02n0101_001:0495b14	杅屠机為骨聚，如然火如毒藥痛為撓，癡	杅 屠 机 為 骨 聚 如 然 火 如 毒 藥 痛 為 撓 癡 
T02n0101_001:0495b15	人憙為喜不自知，何不畏羅網貪婬為癡哉！	人 憙 為 喜 不 自 知 何 不 畏 羅 網 貪 婬 為 癡 哉 
T02n0101_001:0495b16	錢、穀、金、銀、牛、馬、奴婢、人為命故求，命在呼吸	錢 穀 金 銀 牛 馬 奴 婢 人 為 命 故 求 命 在 呼 吸 
T02n0101_001:0495b17	本命亦自少，極壽百餘歲亦苦合。觀是誰為	本 命 亦 自 少 極 壽 百 餘 歲 亦 苦 合 觀 是 誰 為 
T02n0101_001:0495b18	可者？如時過去便命稍少，命日俱盡，如疾河	可 者 如 時 過 去 便 命 稍 少 命 日 俱 盡 如 疾 河 
T02n0101_001:0495b19	水，如日月盡，命疾是過去。人命去不復還，如	水 如 日 月 盡 命 疾 是 過 去 人 命 去 不 復 還 如 
T02n0101_001:0495b20	是為不可得。人死時命去，設使若干財索天	是 為 不 可 得 人 死 時 命 去 設 使 若 干 財 索 天 
T02n0101_001:0495b21	琦物，亦一切有死時對來，亦不樂，亦不可厭	琦 物 亦 一 切 有 死 時 對 來 亦 不 樂 亦 不 可 厭 
T02n0101_001:0495b22	亦不可樂，亦不可自樂，無餘但自善作，無	亦 不 可 樂 亦 不 可 自 樂 無 餘 但 自 善 作 無 
T02n0101_001:0495b23	有餘所自作善所自然。若以知見死，當有何	有 餘 所 自 作 善 所 自 然 若 以 知 見 死 當 有 何 
T02n0101_001:0495b24	等人可隨貪婬？設使久壽設使亡去會當死，	等 人 可 隨 貪 婬 設 使 久 壽 設 使 亡 去 會 當 死 
T02n0101_001:0495b25	何以意索俱藥？何以故？不念靜極意愛兒，	何 以 意 索 俱 藥 何 以 故 不 念 靜 極 意 愛 兒 
T02n0101_001:0495b26	兒已死啼哭不過十日，已十日便忘之，愛兒	兒 已 死 啼 哭 不 過 十 日 已 十 日 便 忘 之 愛 兒 
T02n0101_001:0495b27	婦亦爾，為家室親屬知識亦爾。以苦生致財	婦 亦 爾 為 家 室 親 屬 知 識 亦 爾 以 苦 生 致 財 
T02n0101_001:0495b28	物，死時人會棄，自愛身命在索棄亂，亦入	物 死 時 人 會 棄 自 愛 身 命 在 索 棄 亂 亦 入 
T02n0101_001:0495b29	土下但為陰去，生熟隨人如樹菓實。已見	土 下 但 為 陰 去 生 熟 隨 人 如 樹 菓 實 已 見 
T02n0101_001:0495c01	如是，有為人意隨中？天下一切萬物，一人得	如 是 有 為 人 意 隨 中 天 下 一 切 萬 物 一 人 得 
T02n0101_001:0495c02	不自足，若得一分當那得自厭，無有數世五	不 自 足 若 得 一 分 當 那 得 自 厭 無 有 數 世 五 
T02n0101_001:0495c03	樂自樂遍之，當為何等益人？已逢苦索受罪	樂 自 樂 遍 之 當 為 何 等 益 人 已 逢 苦 索 受 罪 
T02n0101_001:0495c04	人意，為是有所益，不欲受靜索為蛇自身，	人 意 為 是 有 所 益 不 欲 受 靜 索 為 蛇 自 身 
T02n0101_001:0495c05	如少多亦爾，如多少亦爾。如病為大小亦苦，	如 少 多 亦 爾 如 多 少 亦 爾 如 病 為 大 小 亦 苦 
T02n0101_001:0495c06	如骨無有肉，狗得咬之不厭。如是欲狗習是	如 骨 無 有 肉 狗 得 咬 之 不 厭 如 是 欲 狗 習 是 
T02n0101_001:0495c07	亦難得，已得當多畏之。是習所不久人亦墮	亦 難 得 已 得 當 多 畏 之 是 習 所 不 久 人 亦 墮 
T02n0101_001:0495c08	惡，如人見夢已悟，不復得貪婬，亦如是劇	惡 如 人 見 夢 已 悟 不 復 得 貪 婬 亦 如 是 劇 
T02n0101_001:0495c09	夢為有樂，如黑虺如飢肉如樹菓實實少	夢 為 有 樂 如 黑 虺 如 飢 肉 如 樹 菓 實 實 少 
T02n0101_001:0495c10	末多亡，為增結為惡作本道家常不用是人，	末 多 亡 為 增 結 為 惡 作 本 道 家 常 不 用 是 人 
T02n0101_001:0495c11	在天上舍樂，亦天上色樹，亦在端正如苑園，	在 天 上 舍 樂 亦 天 上 色 樹 亦 在 端 正 如 苑 園 
T02n0101_001:0495c12	亦得天上王女，已得人不厭天上五樂，今當	亦 得 天 上 王 女 已 得 人 不 厭 天 上 五 樂 今 當 
T02n0101_001:0495c13	那得天下厭？為取二百骨百骨百二十段，為	那 得 天 下 厭 為 取 二 百 骨 百 骨 百 二 十 段 為 
T02n0101_001:0495c14	筋纏，為九孔常漏，為九十三種，為百病極，	筋 纏 為 九 孔 常 漏 為 九 十 三 種 為 百 病 極 
T02n0101_001:0495c15	為肉血和，為生革肌，為中寒熱風，為屎尿，為	為 肉 血 和 為 生 革 肌 為 中 寒 熱 風 為 屎 尿 為 
T02n0101_001:0495c16	千虫，皆從身起，中亦有千孔亦有劇，為親	千 虫 皆 從 身 起 中 亦 有 千 孔 亦 有 劇 為 親 
T02n0101_001:0495c17	已壞他，為從是不淨出，從鼻中涕出，從口	已 壞 他 為 從 是 不 淨 出 從 鼻 中 涕 出 從 口 
T02n0101_001:0495c18	涎唾出，從腋下流汗出，從孔處屎尿出，如	涎 唾 出 從 腋 下 流 汗 出 從 孔 處 屎 尿 出 如 
T02n0101_001:0495c19	是皆從身出劇。塚間死人誠可惡劇，舍後可	是 皆 從 身 出 劇 塚 間 死 人 誠 可 惡 劇 舍 後 可 
T02n0101_001:0495c20	惡劇，為所有不淨種，為從是本來如金塗，餘	惡 劇 為 所 有 不 淨 種 為 從 是 本 來 如 金 塗 餘 
T02n0101_001:0495c21	為衣故香粉脂滓赤絮紺黛，為癡人見是，是	為 衣 故 香 粉 脂 滓 赤 絮 紺 黛 為 癡 人 見 是 是 
T02n0101_001:0495c22	亂意如畫瓶、如坑覆以草，人所抱愛後會悔。」	亂 意 如 畫 瓶 如 坑 覆 以 草 人 所 抱 愛 後 會 悔 
T02n0101_001:0495c23	比丘跪拜受教如是。	比 丘 跪 拜 受 教 如 是 
T02n0101_001:0495c24	（一〇）聞如是：一時佛在舍衛國祇樹給孤獨園。	 一 〇 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 
T02n0101_001:0495c25	佛告比丘：「比丘聽！」「受教。」佛便說：「是比丘，人	佛 告 比 丘 比 丘 聽 受 教 佛 便 說 是 比 丘 人 
T02n0101_001:0495c26	有四因緣，貪愛有輕重，從是離道。比丘，譬一	有 四 因 緣 貪 愛 有 輕 重 從 是 離 道 比 丘 譬 一 
T02n0101_001:0495c27	人有四婦，第一婦為夫所重，坐起行步動作	人 有 四 婦 第 一 婦 為 夫 所 重 坐 起 行 步 動 作 
T02n0101_001:0495c28	臥息未曾相離，沐浴莊飾飯食五樂常先與	臥 息 未 曾 相 離 沐 浴 莊 飾 飯 食 五 樂 常 先 與 
T02n0101_001:0495c29	之，寒暑飢渴摩順護視，隨其所欲未曾與諍。	之 寒 暑 飢 渴 摩 順 護 視 隨其所欲 未 曾 與 諍 
T02n0101_001:0496a01	第二婦者坐起言談常在左右，得之者喜，不	第 二 婦 者 坐 起 言 談 常 在 左 右 得 之 者 喜 不 
T02n0101_001:0496a02	得者憂，或致老病，或致鬪訟。第三婦者時共	得 者 憂 或 致 老 病 或 致 鬪 訟 第 三 婦 者 時 共 
T02n0101_001:0496a03	會現，數相存問苦甘恣意，窮困瘦極便相患	會 現 數 相 存 問 苦 甘 恣 意 窮 困 瘦 極 便 相 患 
T02n0101_001:0496a04	厭，或相遠離適相思念。第四婦者主給使令，	厭 或 相 遠 離 適 相 思 念 第 四 婦 者 主 給 使 令 
T02n0101_001:0496a05	趣走作務，諸劇難苦，輒往應之，而不問亦不	趣 走 作 務 諸 劇 難 苦 輒 往 應 之 而 不 問 亦 不 
T02n0101_001:0496a06	與語，希於護視不在意中。此四婦夫一旦有	與 語 希 於 護 視 不 在 意 中 此 四 婦 夫 一 旦 有 
T02n0101_001:0496a07	死事，當遠徙去，便呼第一婦：『汝當隨我去。』	死 事 當 遠 徙 去 便 呼 第 一 婦 汝 當 隨 我 去 
T02n0101_001:0496a08	第一婦報言：『我不隨卿。』聟言：『我重愛無有	第 一 婦 報 言 我 不 隨 卿 聟 言 我 重 愛 無 有 
T02n0101_001:0496a09	比，大小多少常順汝旨，養育護汝不失汝意，	比 大 小 多 少 常 順 汝 旨 養 育 護 汝 不 失 汝 意 
T02n0101_001:0496a10	為那不相隨？』婦言：『卿雖愛重我，我終不能相	為 那 不 相 隨 婦 言 卿 雖 愛 重 我 我 終 不 能 相 
T02n0101_001:0496a11	隨。』夫便恨去，呼第二婦：『汝當隨我去。』第二婦	隨 夫 便 恨 去 呼 第 二 婦 汝 當 隨 我 去 第 二 婦 
T02n0101_001:0496a12	報言：『卿所重愛第一婦尚不隨卿，我亦終不	報 言 卿 所 重 愛 第 一 婦 尚 不 隨 卿 我 亦 終 不 
T02n0101_001:0496a13	相隨。』聟言：『我始求汝時，勤苦不可言，觸寒	相 隨 聟 言 我 始 求 汝 時 勤 苦 不 可 言 觸 寒 
T02n0101_001:0496a14	逢暑忍飢忍渴，又更水火縣官盜賊與人共	逢 暑 忍 飢 忍 渴 又 更 水 火 縣 官 盜 賊 與 人 共 
T02n0101_001:0496a15	諍，儇儇咋咋乃得汝耳，為那不相隨？』婦言：『卿	諍 儇 儇 咋 咋 乃 得 汝 耳 為 那 不 相 隨 婦 言 卿 
T02n0101_001:0496a16	自貪利強求為我，我不求卿，何為持勤苦相	自 貪 利 強 求 為 我 我 不 求 卿 何 為 持 勤 苦 相 
T02n0101_001:0496a17	語耶？』夫便恨去，復呼第三婦：『汝當隨我去。』第	語 耶 夫 便 恨 去 復 呼 第 三 婦 汝 當 隨 我 去 第 
T02n0101_001:0496a18	三婦報言：『我受卿恩施，送卿至城外，終不能	三 婦 報 言 我 受 卿 恩 施 送 卿 至 城 外 終 不 能 
T02n0101_001:0496a19	遠行到卿所至處。』夫自恨如去，還與第四婦	遠 行 到 卿 所 至 處 夫 自 恨 如 去 還 與 第 四 婦 
T02n0101_001:0496a20	共議言：『我當離是國界，汝隨我去。』第四婦報	共 議 言 我 當 離 是 國 界 汝 隨 我 去 第 四 婦 報 
T02n0101_001:0496a21	言：『我本去離父母來給卿使，死生苦樂當隨	言 我 本 去 離 父 母 來 給 卿 使 死 生 苦 樂 當 隨 
T02n0101_001:0496a22	卿所到。』此夫不能得可意所重三婦自隨，但	卿 所 到 此 夫 不 能 得 可 意 所 重 三 婦 自 隨 但 
T02n0101_001:0496a23	得苦醜不可意者俱去耳。」佛言：「上頭所譬喻	得 苦 醜 不 可 意 者 俱 去 耳 佛 言 上 頭 所 譬 喻 
T02n0101_001:0496a24	說，一人者是人意神，第一婦者是為人之身	說 一 人 者 是 人 意 神 第 一 婦 者 是 為 人 之 身 
T02n0101_001:0496a25	也，人好愛其身過於第一婦，至命盡死，意神	也 人 好 愛 其 身 過 於 第 一 婦 至 命 盡 死 意 神 
T02n0101_001:0496a26	隨逐罪福當獨遠去，身僵在地不肯隨去。」佛	隨 逐 罪 福 當 獨 遠 去 身 僵 在 地 不 肯 隨 去 佛 
T02n0101_001:0496a27	言：「比丘不隨四行不得度脫。何等為四？一	言 比 丘 不 隨 四 行 不 得 度 脫 何 等 為 四 一 
T02n0101_001:0496a28	者憂苦，二者習欲，三者盡空，四者消滅諸	者 憂 苦 二 者 習 欲 三 者 盡 空 四 者 消 滅 諸 
T02n0101_001:0496a29	惡。道要有八行，至誠在四諦。第二婦者是人	惡 道 要 有 八 行 至 誠 在 四 諦 第 二 婦 者 是 人 
T02n0101_001:0496b01	之財產，得之者喜不得者愁，至命盡時財寶	之 財 產 得 之 者 喜 不 得 者 愁 至 命 盡 時 財 寶 
T02n0101_001:0496b02	續在世間，亦不自隨去空坐之愁苦。第三婦	續 在 世 間 亦 不 自 隨 去 空 坐 之 愁 苦 第 三 婦 
T02n0101_001:0496b03	者，謂父母妻子、兄弟五親、知識奴婢，以生時	者 謂 父 母 妻 子 兄 弟 五 親 知 識 奴 婢 以 生 時 
T02n0101_001:0496b04	恩愛轉相思慕，至於命盡啼哭而送之到城	恩 愛 轉 相 思 慕 至 於 命 盡 啼 哭 而 送 之 到 城 
T02n0101_001:0496b05	外塚間，便棄死人各自還歸，憂思不過十日，	外 塚 間 便 棄 死 人 各 自 還 歸 憂 思 不 過 十 日 
T02n0101_001:0496b06	便共飲食捐忘死人。第四婦者是人意，天下	便 共 飲 食 捐 忘 死 人 第 四 婦 者 是 人 意 天 下 
T02n0101_001:0496b07	無有自愛守護意者，皆放心恣意貪欲瞋恚	無 有 自 愛 守 護 意 者 皆 放 心 恣 意 貪欲瞋恚 
T02n0101_001:0496b08	不信正道，身死當墮惡道，或入地獄或為畜	不 信 正 道 身 死 當 墮 惡 道 或 入 地 獄 或 為 畜 
T02n0101_001:0496b09	生或為餓鬼，皆快意所致也。比丘！為道當自	生 或 為 餓 鬼 皆 快 意 所 致 也 比 丘 為 道 當 自 
T02n0101_001:0496b10	端心正意，當去愚癡之心，無愚癡之行，息不	端 心 正 意 當 去 愚 癡 之 心 無 愚 癡 之 行 息 不 
T02n0101_001:0496b11	行惡，不行惡不受殃，不受其殃不生，不生	行 惡 不 行 惡 不 受 殃 不 受 其 殃 不 生 不 生 
T02n0101_001:0496b12	亦不老，不老亦不病，不病亦不死，不死便	亦 不 老 不 老 亦 不 病 不 病 亦 不 死 不 死 便 
T02n0101_001:0496b13	得無為泥洹道。」佛如如說是，比丘受歡喜。	得 無 為 泥 洹 道 佛 如 如 說 是 比 丘 受 歡 喜 
T02n0101_001:0496b14	（一一）聞如是：一時佛在王舍國雞山中，佛便	 一 一 聞 如 是 一 時 佛 在 王 舍 國 雞 山 中 佛 便 
T02n0101_001:0496b15	告比丘：「人居世間，一劫中生死，取其骨藏	告 比 丘 人 居 世 間 一 劫 中 生 死 取 其 骨 藏 
T02n0101_001:0496b16	之，不腐不消不滅，積之與須彌山等，人或有	之 不 腐 不 消 不 滅 積 之 與 須 彌 山 等 人 或 有 
T02n0101_001:0496b17	百劫生死者、或千劫生死者，尚未能得阿羅	百 劫 生 死 者 或 千 劫 生 死 者 尚 未 能 得 阿 羅 
T02n0101_001:0496b18	漢道泥洹。」佛告比丘：「人一劫中合會其骨，	漢 道 泥 洹 佛 告 比 丘 人 一 劫 中 合 會 其 骨 
T02n0101_001:0496b19	與須彌山等，我故現其本因緣。比丘！若曹皆	與 須 彌 山 等 我 故 現 其 本 因 緣 比 丘 若 曹 皆 
T02n0101_001:0496b20	當拔其本根、去離本根，用是故不復生死，不	當 拔 其 本 根 去 離 本 根 用 是 故 不 復 生 死 不 
T02n0101_001:0496b21	復生死便得度世泥洹道。」佛說如是。	復 生 死 便 得 度 世 泥 洹 道 佛 說 如 是 
T02n0101_001:0496b22	（一二）聞如是：一時佛在舍衛國，行在祇樹須達	 一 二 聞 如 是 一 時 佛 在 舍 衛 國 行 在 祇 樹 須 達 
T02n0101_001:0496b23	園，佛便語比丘，比丘應：「唯然。受佛語。」佛便	園 佛 便 語 比 丘 比 丘 應 唯 然 受 佛 語 佛 便 
T02n0101_001:0496b24	說：「色，比丘念本起苦，念非常、壞，去諦觀已，	說 色 比 丘 念 本 起 苦 念 非 常 壞 去 諦 觀 已 
T02n0101_001:0496b25	比丘色能諦觀，若能知色本念，若能知色非	比 丘 色 能 諦 觀 若 能 知 色 本 念 若 能 知 色 非 
T02n0101_001:0496b26	常、壞，若能知諦觀，便色愛為去。已色愛壞，	常 壞 若 能 知 諦 觀 便 色 愛 為 去 已 色 愛 壞 
T02n0101_001:0496b27	便愛貪亦壞，已愛貪壞，便意脫，我為說如是。	便 愛 貪 亦 壞 已 愛 貪 壞 便 意 脫 我 為 說 如 是 
T02n0101_001:0496b28	痛癢、思想、生死、識，為比丘念本，亦念識非常，	痛 癢 思 想 生 死 識 為 比 丘 念 本 亦 念 識 非 常 
T02n0101_001:0496b29	亦當諦觀，若比丘能已到諦觀愛棄，已愛盡	亦 當 諦 觀 若 比 丘 能 已 到 諦 觀 愛 棄 已 愛 盡 
T02n0101_001:0496c01	便愛貪盡，便脫生死得道。」佛說如是。	便 愛 貪 盡 便 脫 生 死 得 道 佛 說 如 是 
T02n0101_001:0496c02	（一三）聞如是：一時佛在舍衛國祇樹給孤獨園。	 一 三 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 
T02n0101_001:0496c03	佛便告比丘：「我為若說惡從何所起，亦說善	佛 便 告 比 丘 我 為 若 說 惡 從 何 所 起 亦 說 善 
T02n0101_001:0496c04	從何所起？比丘聽，念著意。」比丘應：「唯然。」「惡意	從 何 所 起 比 丘 聽 念 著 意 比 丘 應 唯 然 惡 意 
T02n0101_001:0496c05	為何等所？色過去、未來、今貪起自恚、畏、癡，一	為 何 等 所 色 過 去 未 來 今 貪 起 自 恚 畏 癡 一 
T02n0101_001:0496c06	切見惡意，是名為所惡；痛癢亦爾，思想亦	切 見 惡 意 是 名 為 所 惡 痛 癢 亦 爾 思 想 亦 
T02n0101_001:0496c07	爾，生死亦爾，識亦爾。如是名為從所起惡。善	爾 生 死 亦 爾 識 亦 爾 如 是 名 為 從 所 起 惡 善 
T02n0101_001:0496c08	意為何等？色過去、未來、今無有見是起，無有	意 為 何 等 色 過 去 未 來 今 無 有 見 是 起 無 有 
T02n0101_001:0496c09	恚、無有畏、無有癡，無有一切嬈惡意，如是名	恚 無 有 畏 無 有 癡 無 有 一 切 嬈 惡 意 如 是 名 
T02n0101_001:0496c10	為善意，如是名為痛癢、思想、生死、識。」佛言：「我	為 善 意 如 是 名 為 痛 癢 思 想 生 死 識 佛 言 我 
T02n0101_001:0496c11	所說善惡意如是。」	所 說 善 惡 意 如 是 
T02n0101_001:0496c12	（一四）聞如是：一時佛在舍衛國祇樹給孤獨園。	 一 四 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 
T02n0101_001:0496c13	佛便告比丘：「有四意止。何等為四？在有比	佛 便 告 比 丘 有 四 意 止 何 等 為 四 在 有 比 
T02n0101_001:0496c14	丘內身身觀止，盡力今知意不忘出從癡，為	丘 內 身 身 觀 止 盡 力 今 知 意 不 忘 出 從 癡 為 
T02n0101_001:0496c15	癡天下憂。外身身觀止，盡力今知意不忘出	癡 天 下 憂 外 身 身 觀 止 盡 力 今 知 意 不 忘 出 
T02n0101_001:0496c16	從癡，為癡天下憂。內外身身觀止，盡力今	從 癡 為 癡 天 下 憂 內 外 身 身 觀 止 盡 力 今 
T02n0101_001:0496c17	知意不忘出從癡，為癡天下憂。內痛癢痛癢	知 意 不 忘 出 從 癡 為 癡 天 下 憂 內 痛 癢 痛 癢 
T02n0101_001:0496c18	相觀止，盡力今知意不忘出從癡，為天下憂。	相 觀 止 盡 力 今 知 意 不 忘 出 從 癡 為 天 下 憂 
T02n0101_001:0496c19	外痛癢痛癢相觀止，盡力今知意不忘出從	外 痛 癢 痛 癢 相 觀 止 盡 力 今 知 意 不 忘 出 從 
T02n0101_001:0496c20	癡，為天下憂。內外痛癢痛癢相觀止，盡力	癡 為 天 下 憂 內 外 痛 癢 痛 癢 相 觀 止 盡 力 
T02n0101_001:0496c21	今知意不忘出從癡，為天下憂。內意意意相	今 知 意 不 忘 出 從 癡 為 天 下 憂 內 意 意 意 相 
T02n0101_001:0496c22	觀止，盡力今知意不忘出從癡，為天下憂。外	觀 止 盡 力 今 知 意 不 忘 出 從 癡 為 天 下 憂 外 
T02n0101_001:0496c23	意意意相觀止，盡力今知意不忘出從癡，為	意 意 意 相 觀 止 盡 力 今 知 意 不 忘 出 從 癡 為 
T02n0101_001:0496c24	天下憂。內外意意意相觀止，盡力今知意不	天 下 憂 內 外 意 意 意 相 觀 止 盡 力 今 知 意 不 
T02n0101_001:0496c25	忘出從癡，為天下憂。內正法法法相觀止，盡	忘 出 從 癡 為 天 下 憂 內 正 法 法 法 相 觀 止 盡 
T02n0101_001:0496c26	力今知意不忘出從癡，為天下憂。內外正法	力 今 知 意 不 忘 出 從 癡 為 天 下 憂 內 外 正 法 
T02n0101_001:0496c27	法法相觀止，盡力今知意不忘出從癡，為天	法 法 相 觀 止 盡 力 今 知 意 不 忘 出 從 癡 為 天 
T02n0101_001:0496c28	下憂。內外正法法法相觀止，盡力今知意不	下 憂 內 外 正 法 法 法 相 觀 止 盡 力 今 知 意 不 
T02n0101_001:0496c29	忘出從癡，為天下憂。佛說如是四意止，佛弟	忘 出 從 癡 為 天 下 憂 佛 說 如 是 四 意 止 佛 弟 
T02n0101_001:0497a01	子當為受行，精進為得道。」	子 當 為 受 行 精 進 為 得 道 
T02n0101_001:0497a02	（一五）聞如是：一時佛在舍衛國祇樹給孤獨	 一 五 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 
T02n0101_001:0497a03	園。佛便告比丘：「有是比丘一法，為一法相行	園 佛 便 告 比 丘 有 是 比 丘 一 法 為 一 法 相 行 
T02n0101_001:0497a04	想念多作，為身得息，為意所念，所待能止	想 念 多 作 為 身 得 息 為 意 所 念 所 待 能 止 
T02n0101_001:0497a05	無有餘，但念黠行法念俱行。何等一法？為一	無 有 餘 但 念 黠 行 法 念 俱 行 何 等 一 法 為 一 
T02n0101_001:0497a06	法相習安般守意。若比丘安般守意，為習為	法 相 習 安 般 守 意 若 比 丘 安 般 守 意 為 習 為 
T02n0101_001:0497a07	念為多住，便身得息，意亦所念所待，便止無	念 為 多 住 便 身 得 息 意 亦 所 念 所 待 便 止 無 
T02n0101_001:0497a08	有，便黠念法行滿具行，是為比丘所一法。為	有 便 黠 念 法 行 滿 具 行 是 為 比 丘 所 一 法 為 
T02n0101_001:0497a09	一法相便相行相多為身得息，為意相念相	一 法 相 便 相 行 相 多 為 身 得 息 為 意 相 念 相 
T02n0101_001:0497a10	待，便止無有餘，但黠行法念增滿行。若比丘，	待 便 止 無 有 餘 但 黠 行 法 念 增 滿 行 若 比 丘 
T02n0101_001:0497a11	是一法比丘能行能使能念能多作，得墮道。」	是 一 法 比 丘 能 行 能 使 能 念 能 多 作 得 墮 道 
T02n0101_001:0497a12	佛說如是。	佛 說 如 是 
T02n0101_001:0497a13	（一六）聞如是：一時佛在舍衛國祇樹給孤獨	 一 六 聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 
T02n0101_001:0497a14	園，佛便告比丘：「有二力得上頭道。何等為二	園 佛 便 告 比 丘 有 二 力 得 上 頭 道 何 等 為 二 
T02n0101_001:0497a15	力？謂曉制力，謂意護力。何等為曉制力者？是	力 謂 曉 制 力 謂 意 護 力 何 等 為 曉 制 力 者 是 
T02n0101_001:0497a16	聞有道真弟子，為是學身惡行為得惡福，今	聞 有 道 真 弟 子 為 是 學 身 惡 行 為 得 惡 福 今 
T02n0101_001:0497a17	世後世我身行惡，我當自身犯，亦為嬈他	世 後 世 我 身 行 惡 我 當 自 身 犯 亦 為 嬈 他 
T02n0101_001:0497a18	人，所無所道人所同道，亦為犯戒，十方人亦	人 所 無 所 道 人 所 同 道 亦 為 犯 戒 十 方 人 亦 
T02n0101_001:0497a19	說我惡，我亦隨不吉語言，我亦身敗便墮地	說 我 惡 我 亦 隨 不 吉 語 言 我 亦 身 敗 便 墮 地 
T02n0101_001:0497a20	獄中，是為身惡行謂惡福，今世惡如是，後世	獄 中 是 為 身 惡 行 謂 惡 福 今 世 惡 如 是 後 世 
T02n0101_001:0497a21	亦惡如是，便身惡棄為身，好念淨除身到不	亦 惡 如 是 便 身 惡 棄 為 身 好 念 淨 除 身 到 不 
T02n0101_001:0497a22	犯，如是身犯行心犯行，是名為曉制力。何	犯 如 是 身 犯 行 心 犯 行 是 名 為 曉 制 力 何 
T02n0101_001:0497a23	等為行念力者？若所守致，若自守歸，若所	等 為 行 念 力 者 若 所 守 致 若 自 守 歸 若 所 
T02n0101_001:0497a24	止念行力，謂行之自到，為念致求，如是名為	止 念 行 力 謂 行 之 自 到 為 念 致 求 如 是 名 為 
T02n0101_001:0497a25	念行力道。說之如是。」比丘歡喜起作禮。	念 行 力 道 說 之 如 是 比 丘 歡 喜 起 作 禮 
