T85n2752_001:0199a16	法華問答	法 華 問 答 
T85n2752_001:0201b06	法師功德品一條　問。持經人得幾種功德。	法 師 功 德 品 一 條 問 持 經 人 得 幾 種 功 德 
T85n2752_001:0201b07	仰顯其數。又得六根清淨。何故功德多少不	仰 顯 其 數 又 得 六 根 清 淨 何 故 功 德 多 少 不 
T85n2752_001:0201b08	同者　答。六根淨土令得千功德。顯數者。以	同 者 答 六 根 淨 土 令 得 千 功 德 顯 數 者 以 
T85n2752_001:0201b09	十善為本。一善以九善助成十善。各九即九	十 善 為 本 一 善 以 九 善 助 成 十 善 各 九 即 九 
T85n2752_001:0201b10	十善。通其本十即為一百。自持經得一百。勸	十 善 通 其 本 十 即 為 一 百 自 持 經 得 一 百 勸 
T85n2752_001:0201b11	人持經得一百。自勸人讚嘆持經人得一百	人 持 經 得 一 百 自 勸 人 讚 嘆 持 經 人 得 一 百 
T85n2752_001:0201b12	成四百。即此此十善從心所生生善。三心	成 四 百 即 此 此 十 善 從 心 所 生 生 善 三 心 
T85n2752_001:0201b13	有其三品。謂上中下。以經力故。上品心中得	有 其 三 品 謂 上 中 下 以 經 力 故 上 品 心 中 得 
T85n2752_001:0201b14	四百。中品心中得四百。下品心中並得四百。	四 百 中 品 心 中 得 四 百 下 品 心 中 並 得 四 百 
T85n2752_001:0201b15	合三令成一千二百功德。眼鼻身三根。以持	合 三 令 成 一 千 二 百 功 德 眼 鼻 身 三 根 以 持 
T85n2752_001:0201b16	經功用劣故。唯得中下品。各得八百功德。三	經 功 用 劣 故 唯 得 中 下 品 各 得 八 百 功 德 三 
T85n2752_001:0201b17	八二十四即二千四百。耳舌意三根。以持經	八 二 十 四 即 二 千 四 百 耳 舌 意 三 根 以 持 經 
T85n2752_001:0201b18	功德能勝故。得具三品心別各四百。一根一	功 德 能 勝 故 得 具 三 品 心 別 各 四 百 一 根 一 
T85n2752_001:0201b19	千二百。三根三千六百帖。前二千四百合成	千 二 百 三 根 三 千 六 百 帖 前 二 千 四 百 合 成 
T85n2752_001:0201b20	六千功德　問。經云種種諸瓔珞無能識其	六 千 功 德 問 經 云 種 種 諸 瓔 珞 無 能 識 其 
T85n2752_001:0201b21	價聞香智貴賤出處及所在者。此乃是鼻識	價 聞 香 智 貴 賤 出 處 及 所 在 者 此 乃 是 鼻 識 
T85n2752_001:0201b22	所知應言臭。何故言聞。未知所以假碓各并	所 知 應 言 臭 何 故 言 聞 未 知 所 以 假 碓 各 并 
T85n2752_001:0201b23	辯其人。於何所任得此功德能也　答。六根	辯 其 人 於 何 所 任 得 此 功 德 能 也 答 六 根 
T85n2752_001:0201b24	雖殊心識是一。鼻雖受入分別。是以遙臭故	雖 殊 心 識 是 一 鼻 雖 受 入 分 別 是 以 遙 臭 故 
T85n2752_001:0201b25	義同。於耳故言聞也。何行位者四依法者。若	義 同 於 耳 故 言 聞 也 何 行 位 者 四 依 法 者 若 
T85n2752_001:0201b26	依經文即有五種。法師受持讀誦解說書寫	依 經 文 即 有 五 種 法 師 受持讀誦 解 說 書 寫 
T85n2752_001:0201b27	即通凡也。故法花論云。此得六根清淨。謂	即 通 凡 也 故 法 花 論 云 此 得 六 根 清 淨 謂 
T85n2752_001:0201b28	凡夫人以經力故得勝根用。又云。諦根亦互	凡 夫 人 以 經 力 故 得 勝 根 用 又 云 諦 根 亦 互 
T85n2752_001:0201b29	用。一一根中皆得。乃色聞香別味覺觸故。下	用 一 一 根 中 皆 得 乃 色 聞 香 別 味 覺 觸 故 下 
T85n2752_001:0201c01	文言雖未得菩薩無漏法生鼻而是持經者即	文 言 雖 未 得 菩 薩 無 漏 法 生 鼻 而 是 持 經 者 即 
T85n2752_001:0201c02	其證也　問。何名八萬四千波羅蜜。具數列	其 證 也 問 何 名 八萬四千 波 羅 蜜 具 數 列 
T85n2752_001:0201c03	名　答。波羅蜜名西域梵音此翻名到彼岸。	名 答 波 羅 蜜 名 西 域 梵 音 此 翻 名 到 彼 岸 
T85n2752_001:0201c04	行此諸行過生死何登涅槃彼岸也。列數者。	行 此 諸 行 過 生 死 何 登 涅 槃 彼 岸 也 列 數 者 
T85n2752_001:0201c05	佛具三百五度功德。始從放光乃至涅槃有	佛 具 三 百 五 度 功 德 始 從 放 光 乃至涅槃 有 
T85n2752_001:0201c06	三百五十度功德。一一功德以六波羅蜜助	三 百 五 十 度 功 德 一 一 功 德 以 六波羅蜜 助 
T85n2752_001:0201c07	成。計當二千一百。又云。四大并六塵即為	成 計 當 二 千 一 百 又 云 四 大 并 六 塵 即 為 
T85n2752_001:0201c08	十。此各具二千一百。計當二萬一千。得四四	十 此 各 具 二 千 一 百 計 當 二 萬 一 千 得 四 四 
T85n2752_001:0201c09	別二萬一千即八萬四千法門也　問。一百	別 二 萬 一 千 即 八萬四千法門 也 問 一 百 
T85n2752_001:0201c10	八煩惱何者是　答。十使煩惱為本。十使	八 煩 惱 何 者 是 答 十 使 煩 惱 為 本 十 使 
T85n2752_001:0201c11	者。貪瞋慢癡無明名鈍使。薩迦耶見邊見見	者 貪 瞋 慢 癡 無 明 名 鈍 使 薩迦耶見 邊 見 見 
T85n2752_001:0201c12	取戒取邪見名利使。此十於三界四諦。四	取 戒 取 邪 見 名 利 使 此 十 於 三 界 四 諦 四 
T85n2752_001:0201c13	諦各十。下欲界即四十。色無色界八諦。中	諦 各 十 下 欲 界 即 四 十 色無色界 八 諦 中 
T85n2752_001:0201c14	各除瞋。即八九七十二。通言四十即一百一	各 除 瞋 即 八 九 七 十 二 通 言 四 十 即 一 百 一 
T85n2752_001:0201c15	十二。此謂見道也。修道中有貪瞋無明慢薩	十 二 此 謂 見 道 也 修 道 中 有 貪 瞋 無 明 慢 薩 
T85n2752_001:0201c16	迦耶見邊見。欲界具六色。無色界各除瞋並	迦 耶 見 邊 見 欲 界 具 六 色 無 色 界 各 除 瞋 並 
T85n2752_001:0201c17	有五。即為十。通下界六即十六。謂修道煩	有 五 即 為 十 通 下 界 六 即 十 六 謂 修 道 煩 
T85n2752_001:0201c18	惱通凡合一百二十八煩惱。前一百一十二	惱 通 凡 合 一 百 二 十 八 煩 惱 前 一 百 一 十 二 
T85n2752_001:0201c19	見道所斷。後十六修道所斷。初地各見道二	見道所斷 後 十 六 修道所斷 初 地 各 見 道 二 
T85n2752_001:0201c20	地已者名修道。此謂大乘見修煩惱　問。信	地 已 者 名 修 道 此 謂 大 乘 見 修 煩 惱 問 信 
T85n2752_001:0201c21	解品中明何義　答。信解品中明窮子譬。對	解 品 中 明 何 義 答 信 解 品 中 明 窮 子 譬 對 
T85n2752_001:0201c22	聲聞人一向倒。此即是聲聞種姓人。如來方	聲 聞 人 一 向 倒 此 即 是 聲聞種姓 人 如 來 方 
T85n2752_001:0201c23	便於獲大寶。故論云。聲聞人一向增上慢	便 於 獲 大 寶 故 論 云 聲 聞 人 一 向 增 上 慢 
T85n2752_001:0201c24	我乘與如來乘等無差別。對此顛倒故說窮	我 乘 與 如 來 乘 等 無 差 別 對 此 顛 倒 故 說 窮 
T85n2752_001:0201c25	子喻　問。信解品中長者是何身。脫珍御服	子 喻 問 信 解 品 中 長 者 是 何 身 脫 珍 御 服 
T85n2752_001:0201c26	著垢衣裳是何。長者化何等人設具釋　答。	著 垢 衣 裳 是 何 長 者 化 何 等 人 設 具 釋 答 
T85n2752_001:0201c27	寂滅道場無畏之莊嚴。飾革麗身。盧舍那身	寂 滅 道 場 無 畏 之 莊 嚴 飾 革 麗 身 盧 舍 那 身 
T85n2752_001:0201c28	所說之法。是花羅等教。所被之機純諸菩薩。	所 說 之 法 是 花 羅 等 教 所 被 之 機 純 諸 菩 薩 
T85n2752_001:0201c29	鹿苑中脫珍御服著弊垢衣者。是釋迦身所	鹿 苑 中 脫 珍 御 服 著 弊 垢 衣 者 是 釋 迦 身 所 
T85n2752_001:0202a01	說之法。是四謗法苦集滅道五乘難眾。是人	說 之 法 是 四 謗 法 苦集滅道 五 乘 難 眾 是 人 
T85n2752_001:0202a02	天等乘機有大小教有淺深　問。藥草喻品	天 等 乘 機 有 大 小 教 有 淺 深 問 藥 草 喻 品 
T85n2752_001:0202a03	明何義　答。藥草喻品中對治求大乘人一向	明 何 義 答 藥 草 喻 品 中 對 治 求 大 乘 人 一 向 
T85n2752_001:0202a04	到此。是菩薩種性人。教雖一味等被三。藥草	到 此 是 菩薩種性 人 教 雖 一 味 等 被 三 藥 草 
T85n2752_001:0202a05	喻中明一味之雨。三草用潤合知根外破其	喻 中 明 一 味 之 雨 三 草 用 潤 合 知 根 外 破 其 
T85n2752_001:0202a06	迷一故。論云。大乘人一向增上慢無別。聲聞	迷 一 故 論 云 大 乘 人 一 向 增 上 慢 無 別 聲 聞 
T85n2752_001:0202a07	辟支佛乘對治此顛倒故說藥草喻　問。十	辟 支 佛 乘 對 治 此 顛 倒 故 說 藥 草 喻 問 十 
T85n2752_001:0202a08	二因緣假釋名出體一一具釋　答。親生名	二 因 緣 假 釋 名 出 體 一 一 具 釋 答 親 生 名 
T85n2752_001:0202a09	因助發為緣。列不同有其十二者。一無明．二	因 助 發 為 緣 列 不 同 有 其 十 二 者 一 無 明 二 
T85n2752_001:0202a10	行．三識．四名色．五六入．六觸．七受．八愛．九	行 三 識 四 名 色 五 六 入 六 觸 七 受 八 愛 九 
T85n2752_001:0202a11	取．十有．十一生．十二老死。迷心不了故曰無	取 十 有 十 一 生 十 二 老 死 迷 心 不 了 故 曰 無 
T85n2752_001:0202a12	明。感果遷謝目之為行。現心了別名之為識。	明 感 果 遷 謝 目 之 為 行 現 心 了 別 名 之 為 識 
T85n2752_001:0202a13	四名名色。陰名色根。心名六入。和會根塵名	四 名 名 色 陰 名 色 根 心 名 六 入 和 會 根 塵 名 
T85n2752_001:0202a14	之為觸。領納違順名為受。於境深著名之為	之 為 觸 領 納 違 順 名 為 受 於 境 深 著 名 之 為 
T85n2752_001:0202a15	愛。四方追求名之為取。能有當果名之為有。	愛 四 方 追 求 名 之 為 取 能 有 當 果 名 之 為 有 
T85n2752_001:0202a16	未來初起曰生。根德衰變為老。果根代曰死。	未 來 初 起 曰 生 根 德 衰 變 為 老 果 根 代 曰 死 
T85n2752_001:0202a17	釋名如是。言體性者。無明愛取以煩惱為體。	釋 名 如 是 言 體 性 者 無明愛取 以 煩 惱 為 體 
T85n2752_001:0202a18	行有二種以業道體。現在五果。未來生老死	行 有 二 種 以 業 道 體 現 在 五 果 未 來 生 老 死 
T85n2752_001:0202a19	以苦道為體　問。五百弟子授記品中明何	以 苦 道 為 體 問 五 百 弟 子 授 記 品 中 明 何 
T85n2752_001:0202a20	義　答。對治無定人。散亂心即是菩薩種性	義 答 對 治 無 定 人 散 亂 心 即 是 菩薩種性 
T85n2752_001:0202a21	人習道不進。要昔大善修空邪僻故名散亂。	人 習 道 不 進 要 昔 大 善 修 空 邪 僻 故 名 散 亂 
T85n2752_001:0202a22	繫珠譬中。示衣珠令其記憶。故論云。散亂心	繫 珠 譬 中 示 衣 珠 令 其 記 憶 故 論 云 散 亂 心 
T85n2752_001:0202a23	人實無有定。過去有大乘善根而不覺知。被	人 實 無 有 定 過 去 有 大 乘 善 根 而 不 覺 知 被 
T85n2752_001:0202a24	不求大乘。於狹劣心中生虛妄解。以為第一	不 求 大 乘 於 狹 劣 心 中 生 虛 妄 解 以 為 第 一 
T85n2752_001:0202a25	乘。於治此故說寶珠譬。妙亦是合解無上故。	乘 於 治 此 故 說 寶 珠 譬 妙 亦 是 合 解 無 上 故 
T85n2752_001:0202a26	論云亦現令解無上。故說繫珠譬　問。記云	論 云 亦 現 令 解 無 上 故 說 繫 珠 譬 問 記 云 
T85n2752_001:0202a27	繫珠衣喻何法。珠喻何法。何時得珠。何時失	繫 珠 衣 喻 何 法 珠 喻 何 法 何 時 得 珠 何 時 失 
T85n2752_001:0202a28	珠　答。衣喻阿賴耶識所勳為因。法珠喻聲	珠 答 衣 喻 阿賴耶識 所 勳 為 因 法 珠 喻 聲 
T85n2752_001:0202a29	聞。法花一乘之教。發菩提心修菩提行能勳	聞 法 花 一 乘 之 教 發菩提心 修 菩 提 行 能 勳 
T85n2752_001:0202b01	本識。猶若繫珠。何時失珠者。大遍晦過之後	本 識 猶 若 繫 珠 何 時 失 珠 者 大 遍 晦 過 之 後 
T85n2752_001:0202b02	沙彌息教之時背教既遙。又流生死妄於本	沙 彌 息 教 之 時 背 教 既 遙 又 流 生 死 妄 於 本 
T85n2752_001:0202b03	解故曰失珠。何時得珠者。釋迦出世演教靈	解 故 曰 失 珠 何 時 得 珠 者 釋 迦 出 世 演 教 靈 
T85n2752_001:0202b04	山還得本悟故稱得珠　問。授記品中明何	山 還 得 本 悟 故 稱 得 珠 問 授 記 品 中 明 何 
T85n2752_001:0202b05	義　答此品明與四大聲聞迦葉須菩提迦旋	義 答 此 品 明 與 四 大 聲 聞 迦 葉 須 菩 提 迦 旋 
T85n2752_001:0202b06	延目連等授記。亦名受記。如來談與記名之	延 目 連 等 授 記 亦 名 受 記 如 來 談 與 記 名 之 
T85n2752_001:0202b07	為授。弟子領記名之為受　問。化城喻中明	為 授 弟 子 領 記 名 之 為 受 問 化 城 喻 中 明 
T85n2752_001:0202b08	何義　答。明對治有定之實無而有增上慢。	何 義 答 明 對 治 有 定 之 實 無 而 有 增 上 慢 
T85n2752_001:0202b09	即凡夫有漏定實非涅槃。於中妄起生涅槃	即 凡 夫 有 漏 定 實 非 涅 槃 於 中 妄 起 生 涅 槃 
T85n2752_001:0202b10	相故名為倒。以權立化城進近令違故。論云。	相 故 名 為 倒 以 權 立 化 城 進 近 令 違 故 論 云 
T85n2752_001:0202b11	實無有增上慢人。以有世間三摩拔提實無	實 無 有 增上慢人 以 有 世 間 三 摩 拔 提 實 無 
T85n2752_001:0202b12	涅槃生涅槃相。對治此故說化城喻　問。聲	涅 槃 生 涅 槃 相 對 治 此 故 說 化 城 喻 問 聲 
T85n2752_001:0202b13	聞緣覺各得涅槃。如何共住化城　答。二涅	聞 緣 覺 各 得 涅 槃 如 何 共 住 化 城 答 二 涅 
T85n2752_001:0202b14	槃同離一障謂煩惱障故曰一城　問。云何名	槃 同 離 一 障 謂 煩 惱 障 故 曰 一 城 問 云 何 名 
T85n2752_001:0202b15	大乘。何者為一乘　答。一是攝五之總名大	大 乘 何 者 為 一 乘 答 一 是 攝 五 之 總 名 大 
T85n2752_001:0202b16	是四三之別稱故。下經云。十方世界由唯有	是 四 三 之 別 稱 故 下 經 云 十方世界 由 唯 有 
T85n2752_001:0202b17	一乘法。唯此一事實餘二則非真。除佛方便	一 乘 法 唯 此 一 事 實 餘 二 則 非 真 除 佛 方 便 
T85n2752_001:0202b18	說。五乘雖復殊分究竟同歸一法。言大乘者。	說 五 乘 雖 復 殊 分 究 竟 同 歸 一 法 言 大 乘 者 
T85n2752_001:0202b19	為對三根故稱大也。下文又言。菩薩求此乘	為 對 三 根 故 稱 大 也 下 文 又 言 菩 薩 求 此 乘 
T85n2752_001:0202b20	故名為摩薩。言一者一味平等理也　問。如	故 名 為 摩 薩 言 一 者 一 味 平 等 理 也 問 如 
T85n2752_001:0202b21	來功德超越十方讀誦之至未逾三界。云何	來 功 德 超 越 十 方 讀 誦 之 至 未 逾 三 界 云 何 
T85n2752_001:0202b22	罵佛尚輕嗔持經至得罪乃重　答。若就因	罵 佛 尚 輕 嗔 持 經 至 得 罪 乃 重 答 若 就 因 
T85n2752_001:0202b23	為論。因有厚薄。境有尊卑。則罵佛甚重。毀	為 論 因 有 厚 薄 境 有 尊 卑 則 罵 佛 甚 重 毀 
T85n2752_001:0202b24	持經人極輕。令就違順境中以明輕重。如來	持 經 人 極 輕 令 就 違 順 境 中 以 明 輕 重 如 來 
T85n2752_001:0202b25	心在平等門中離愛憎。出入到去八風心行	心 在 平 等 門 中 離 愛 憎 出 入 到 去 八 風 心 行 
T85n2752_001:0202b26	平等毀譽不動其罪即輕。始行菩薩代弘經	平 等 毀 譽 不 動 其 罪 即 輕 始 行 菩 薩 代 弘 經 
T85n2752_001:0202b27	利益眾生。慈悲攝化廣度一切物廢化斷利	利 益 眾 生 慈 悲 攝 化 廣 度 一 切 物 廢 化 斷 利 
T85n2752_001:0202b28	佛種。就化為論故言罪重。	佛 種 就 化 為 論 故 言 罪 重 
T85n2752_001:0202b29	壽量品約判三佛菩提。三者法菩提故。下經	壽 量 品 約 判 三佛菩提 三 者 法 菩 提 故 下 經 
T85n2752_001:0202c01	言釋官託生伽耶來。此是化菩提。又言諸善	言 釋 官 託 生 伽 耶 來 此 是 化 菩 提 又 言 諸 善 
T85n2752_001:0202c02	男子。我實成佛以來。經無量無邊那由他劫。	男 子 我 實 成 佛 以 來 經 無量無邊 那 由 他 劫 
T85n2752_001:0202c03	此是根佛菩提。又經言非實非虛非如非異	此 是 根 佛 菩 提 又 經 言 非 實 非 虛 非 如 非 異 
T85n2752_001:0202c04	不如三界見於三界。此是法菩提也　問。長	不 如 三 界 見 於 三 界 此 是 法 菩 提 也 問 長 
T85n2752_001:0202c05	短無乖有無願返。云何六十小劫。謂如食頃	短 無 乖 有 無 願 返 云 何 六 十 小 劫 謂 如 食 頃 
T85n2752_001:0202c06	理隔言違若為分雪　答。六十之與食頃俱為	理 隔 言 違 若 為 分 雪 答 六 十 之 與 食 頃 俱 為 
T85n2752_001:0202c07	時收雖復長短不同草不識心變異。若心存	時 收 雖 復 長 短 不 同 草 不 識 心 變 異 若 心 存 
T85n2752_001:0202c08	分別則長有殊。若三界唯心則長短無二。是	分 別 則 長 有 殊 若 三界唯心 則 長 短 無 二 是 
T85n2752_001:0202c09	以須彌納芥子萬國俱舉毛端。斯乃心長則	以 須 彌 納 芥 子 萬 國 俱 舉 毛 端 斯 乃 心 長 則 
T85n2752_001:0202c10	長亦非定有長短　問。何因履水躍火俱稱	長 亦 非 定 有 長 短 問 何 因 履 水 躍 火 俱 稱 
T85n2752_001:0202c11	名而不禮拜。求男請女則拜而不稱名者何	名 而 不 禮 拜 求 男 請 女 則 拜 而 不 稱 名 者 何 
T85n2752_001:0202c12	設具釋　答。觀音化物救難為懷既號觀音。	設 具 釋 答 觀 音 化 物 救 難 為 懷 既 號 觀 音 
T85n2752_001:0202c13	理須稱歎。孤獨請求男女難苦未絕身躬所	理 須 稱 歎 孤 獨 請 求 男 女 難 苦 未 絕 身 躬 所 
T85n2752_001:0202c14	以得蜜禮拜牟過水火之災交恐命將殞。遂	以 得 蜜 禮 拜 牟 過 水 火 之 災 交 恐 命 將 殞 遂 
T85n2752_001:0202c15	急但得稱名何假屈身禮拜　問。提婆達多	急 但 得 稱 名 何 假 屈 身 禮 拜 問 提 婆 達 多 
T85n2752_001:0202c16	品中明何義　答。品內顯法花經有三。一由	品 中 明 何 義 答 品 內 顯 法 花 經 有 三 一 由 
T85n2752_001:0202c17	達多者說此法花故。自致成佛有成佛力。二	達 多 者 說 此 法 花 故 自 致 成 佛 有 成 佛 力 二 
T85n2752_001:0202c18	由文殊說此法花經故。無邊菩薩悟道故廣	由 文 殊 說 此 法 花 經 故 無 邊 菩 薩 悟 道 故 廣 
T85n2752_001:0202c19	大力。三由龍女修行現身成佛故。即速疾力	大 力 三 由 龍 女 修 行 現 身 成 佛 故 即 速 疾 力 
T85n2752_001:0202c20	　問。云何藥王其有讀誦法花經者。當知是	 問 云 何 藥 王 其 有 讀 誦 法 花 經 者 當 知 是 
T85n2752_001:0202c21	人以佛莊嚴則為如來肩所荷擔其義云何	人 以 佛 莊 嚴 則 為 如 來 肩 所 荷 擔 其 義 云 何 
T85n2752_001:0202c22	　答。此是諸品中經文。謂入如來室著如來衣	 答 此 是 諸 品 中 經 文 謂 入 如 來 室 著 如 來 衣 
T85n2752_001:0202c23	坐如來座故。以莊嚴乃至肩所荷擔也　問。	坐 如 來 座 故 以 莊 嚴 乃 至 肩 所 荷 擔 也 問 
T85n2752_001:0202c24	此經云開方便門示真實相　答。方便門者。	此 經 云 開 方 便 門 示 真 實 相 答 方 便 門 者 
T85n2752_001:0202c25	開小乘方便門。入一佛乘是真實　問　見寶	開 小 乘 方 便 門 入 一 佛 乘 是 真 實 問 見 寶 
T85n2752_001:0202c26	塔品中明何義　答。明清淨國土無上。故論	塔 品 中 明 何 義 答 明 清 淨 國 土 無 上 故 論 
T85n2752_001:0202c27	云。示現清淨國土無上故。示現多寶如來塔	云 示 現 清 淨 國 土 無 上 故 示 現 多 寶 如 來 塔 
T85n2752_001:0202c28	　問。云何名有功德人　答。是有學聲聞人。	 問 云 何 名 有 功 德 人 答 是 有 學 聲 聞 人 
T85n2752_001:0202c29	斷少煩惱故有功德。解珠譬中。前賜由宅明	斷 少 煩 惱 故 有 功 德 解 珠 譬 中 前 賜 由 宅 明 
T85n2752_001:0203a01	與小果。後賜明珠與大眾故為對治論云。有	與 小 果 後 賜 明 珠 與 大 眾 故 為 對 治 論 云 有 
T85n2752_001:0203a02	功德人說大乘法。而非大乘對治。此說王解	功 德 人 說 大 乘 法 而 非 大 乘 對 治 此 說 王 解 
T85n2752_001:0203a03	髻中明珠與之譬喻亦名說無上　問。從地踊	髻 中 明 珠 與 之 譬 喻 亦 名 說 無 上 問 從 地 踊 
T85n2752_001:0203a04	出品中明何義　答。明教化眾眾無上故。論	出 品 中 明 何 義 答 明 教 化 眾 眾 無 上 故 論 
T85n2752_001:0203a05	云。示現教化眾生無上故。說無量菩薩從地	云 示 現 教 化 眾 生 無 上 故 說 無 量 菩 薩 從 地 
T85n2752_001:0203a06	踊出　問云何對治不舉功德人　答。即三	踊 出 問 云 何 對 治 不 舉 功 德 人 答 即 三 
T85n2752_001:0203a07	乘種性人。佛說一乘不肯受持修習故。醫師	乘 種 性 人 佛 說 一 乘 不 肯 受 持 修 習 故 醫 師 
T85n2752_001:0203a08	譬中。明醫師設增權身癡子始眼妙藥佛現	譬 中 明 醫 師 設 增 權 身 癡 子 始 眼 妙 藥 佛 現 
T85n2752_001:0203a09	滅度鈍性萬修一乘故。論云。無功德人於第	滅 度 鈍 性 萬 修 一 乘 故 論 云 無 功 德 人 於 第 
T85n2752_001:0203a10	一乘不舉功德。說第一乘不取對治。此故說	一 乘 不 舉 功 德 說 第 一 乘 不 取 對 治 此 故 說 
T85n2752_001:0203a11	醫師譬喻。應知復是涅槃無上。故論云。不現	醫 師 譬 喻 應 知 復 是 涅 槃 無 上 故 論 云 不 現 
T85n2752_001:0203a12	涅槃無上故說醫師譬　問。何名陀羅尼用	涅 槃 無 上 故 說 醫 師 譬 問 何 名 陀 羅 尼 用 
T85n2752_001:0203a13	何為體　答。亦以惠為體故。涅槃云。陀羅	何 為 體 答 亦 以 惠 為 體 故 涅 槃 云 陀 羅 
T85n2752_001:0203a14	尼者亦大念。亦名無事惠念者定也。定能生	尼 者 亦 大 念 亦 名 無 事 惠 念 者 定 也 定 能 生 
T85n2752_001:0203a15	惠故。維摩經云念定持即其義也　問。何名	惠 故 維 摩 經 云 念 定 持 即 其 義 也 問 何 名 
T85n2752_001:0203a16	呪　答。呪辭不出三義。或說三寶功德使聞	呪 答 呪 辭 不 出 三 義 或 說 三 寶 功 德 使 聞 
T85n2752_001:0203a17	者發心。或說大神力勢使諸魔驚退。或說甚	者 發 心 或 說 大 神 力 勢 使 諸 魔 驚 退 或 說 甚 
T85n2752_001:0203a18	深法相使聞者得悟　問。方便品中為小乘	深 法 相 使 聞 者 得 悟 問 方 便 品 中 為 小 乘 
T85n2752_001:0203a19	人說九部經。十二部中不說何經　答。無授	人 說 九 部 經 十 二 部 中 不 說 何 經 答 無 授 
T85n2752_001:0203a20	記經。無無自說經。無方廣經　問。經云。中	記 經 無 無 自 說 經 無 方 廣 經 問 經 云 中 
T85n2752_001:0203a21	有人言。汝諸子等先因遊戲來入此定中。有	有 人 言 汝 諸 子 等 先 因 遊 戲 來 入 此 定 中 有 
T85n2752_001:0203a22	人言。汝諸子等是何人來入此宅從何處來	人 言 汝 諸 子 等 是 何 人 來 入 此 宅 從 何 處 來 
T85n2752_001:0203a23	　答。聞有人言中十方諸佛言來入此宅者。	 答 聞 有 人 言 中 十方諸佛 言 來 入 此 宅 者 
T85n2752_001:0203a24	凡夫人等行雖未出願門。已出其人夫本願	凡 夫 人 等 行 雖 未 出 願 門 已 出 其 人 夫 本 願 
T85n2752_001:0203a25	故來入此宅　問。汝來說法必有要歸。未審	故 來 入 此 宅 問 汝 來 說 法 必 有 要 歸 未 審 
T85n2752_001:0203a26	此經以何為宗旨　答。諸師辯宗各各不同。	此 經 以 何 為 宗 旨 答 諸 師 辯 宗 各各不同 
T85n2752_001:0203a27	今依徵宗有二種。一者體宗。二者用宗。非二	今 依 徵 宗 有 二 種 一 者 體 宗 二 者 用 宗 非 二 
T85n2752_001:0203a28	非一。是其體宗。破三歸一。是其用宗。法無二	非 一 是 其 體 宗 破 三 歸 一 是 其 用 宗 法 無 二 
T85n2752_001:0203a29	會。對器得名。會假歸真。形三一立三名無	會 對 器 得 名 會 假 歸 真 形 三 一 立 三 名 無 
T85n2752_001:0203b01	遣一號亦三故。法句經云。一亦不為一為欲	遣 一 號 亦 三 故 法 句 經 云 一 亦 不 為 一 為 欲 
T85n2752_001:0203b02	破諸數淺識之所聞見一以為一即其義也。	破 諸 數 淺 識 之 所 聞 見 一 以 為 一 即 其 義 也 
T85n2752_001:0203b03	淨法師以一乘為宗　問。佛說法花經。何以	淨 法 師 以 一 乘 為 宗 問 佛 說 法 花 經 何 以 
T85n2752_001:0203b04	不入法花三昧。乃入無量義處三昧　答。法	不 入 法 花 三 昧 乃 入 無量義處三昧 答 法 
T85n2752_001:0203b05	花論云。此大乘修多羅有十七種名。第一名	花 論 云 此 大 乘 修 多 羅 有 十 七 種 名 第 一 名 
T85n2752_001:0203b06	無量義處經。第十六名法花。故知入無量義	無 量 義 處 經 第 十 六 名 法 花 故 知 入 無 量 義 
T85n2752_001:0203b07	處三昧即入法花三昧　問。何故欲說法花。	處 三 昧 即 入 法 花 三 昧 問 何 故 欲 說 法 花 
T85n2752_001:0203b08	在眉間豪相放光不在餘處放光　答。說此	在 眉 間 豪 相 放 光 不 在 餘 處 放 光 答 說 此 
T85n2752_001:0203b09	法花。欲表一乘中道故在眉間放光　問。此	法 花 欲 表 一 乘 中 道 故 在 眉 間 放 光 問 此 
T85n2752_001:0203b10	經既明一乘甚深之行。何故不告菩薩乃告	經 既 明 一 乘 甚 深 之 行 何 故 不 告 菩 薩 乃 告 
T85n2752_001:0203b11	聲聞　答。論明有五義。故不告聲聞為諸聲	聲 聞 答 論 明 有 五 義 故 不 告 聲 聞 為 諸 聲 
T85n2752_001:0203b12	聞所化事故。二為諸聲聞迴取大菩提故。三	聞 所 化 事 故 二 為 諸 聲 聞 迴 取 大 菩 提 故 三 
T85n2752_001:0203b13	為談諸聲聞恐怖弱故。四為令解人善思念	為 談 諸 聲 聞 恐 怖 弱 故 四 為 令 解 人 善 思 念 
T85n2752_001:0203b14	故。五為諸聲聞不起所作已辦心故　問。法	故 五 為 諸 聲 聞 不 起 所 作 已 辦 心 故 問 法 
T85n2752_001:0203b15	花會上乃有一萬二千聲聞。故獨告舍利不	花 會 上 乃 有 一 萬 二 千 聲 聞 故 獨 告 舍 利 不 
T85n2752_001:0203b16	告餘人　答。舍剎弗與如來相應。是以獨告	告 餘 人 答 舍 剎 弗 與 如 來 相 應 是 以 獨 告 
T85n2752_001:0203b17	舍利不告餘人　問。佛放光明計應普照。何	舍 利 不 告 餘 人 問 佛 放 光 明 計 應 普 照 何 
T85n2752_001:0203b18	因唯照有頂已還不照空處已上　答。解有	因 唯 照 有 頂 已 還 不 照 空 處 已 上 答 解 有 
T85n2752_001:0203b19	二種。一二乘先是色法唯在有頂不及空處	二 種 一 二 乘 先 是 色 法 唯 在 有 頂 不 及 空 處 
