X60n1120_001:0334a03	 序言	 序 言 
X60n1120_001:0348a01	【箋】雜藏經。復有一鬼。白目連言。我一生來。有二熱	 箋 雜 藏 經 復 有 一 鬼 白 目 連 言 我 一 生 來 有 二 熱 
X60n1120_001:0348a02	鐵輪。在兩腋下。舉身焦爛。何罪所至。目連答言。汝	鐵 輪 在 兩 腋 下 舉 身 焦 爛 何 罪 所 至 目 連 答 言 汝 
X60n1120_001:0348a03	前世時。與眾作餅。盜取二番。挾兩腋下。以是因緣。	前 世 時 與 眾 作 餅 盜 取 二 番 挾 兩 腋 下 以是因緣 
X60n1120_001:0348a04	故獲斯罪。此是花報。果在地獄。	故 獲 斯 罪 此 是 花 報 果 在 地 獄 
X60n1120_001:0348a05	一沙彌。盜石蜜少分。	一 沙 彌 盜 石 蜜 少 分 
X60n1120_001:0348a06	【箋】石蜜。一名糖精。廣志。甘蔗其餳。按唐書。番胡國	 箋 石 蜜 一 名 糖 精 廣 志 甘 蔗 其 餳 按 唐 書 番 胡 國 
X60n1120_001:0348a07	出石蜜。中國貴之。漢武內傳。西王母謂帝曰。太上	出 石 蜜 中 國 貴 之 漢 武 內 傳 西 王 母 謂 帝 曰 太 上 
X60n1120_001:0348a08	之藥。有中華紫蜜。雲山朱蜜。天竺國石蜜。本草經。	之 藥 有 中 華 紫 蜜 雲 山 朱 蜜 天 竺 國 石 蜜 本 草 經 
X60n1120_001:0348a09	崔蜜食之不饑。明目。延年。仙經。蜜為口芝。然律中	崔 蜜 食 之 不 饑 明 目 延 年 仙 經 蜜 為 口 芝 然 律 中 
X60n1120_001:0348a10	過午不食。開石蜜者。以其煎湯無形。為藥石故。雜	過 午 不 食 開 石 蜜 者 以 其 煎 湯 無 形 為 藥 石 故 雜 
X60n1120_001:0348a11	藏經。復有一鬼問目連言。我一生來。常吞熱鐵丸。	藏 經 復 有 一 鬼 問 目 連 言 我 一 生 來 常 吞 熱 鐵 丸 
X60n1120_001:0348a12	何罪所致。目連答言。汝為人時。作沙彌子。取清淨	何 罪 所 致 目 連 答 言 汝 為 人 時 作 沙 彌 子 取 清 淨 
X60n1120_001:0348a13	水。作石蜜漿。石蜜堅大。汝起盜心。打取少許。大眾	水 作 石 蜜 漿 石 蜜 堅 大 汝 起 盜 心 打 取 少 許 大 眾 
X60n1120_001:0348a14	未飲。汝盜一口。以是因緣。故獲斯罪。此是花報。果	未 飲 汝 盜 一 口 以是因緣 故 獲 斯 罪 此 是 花 報 果 
X60n1120_001:0348a15	在地獄。	在 地 獄 
X60n1120_001:0348a16	俱墮地獄。故經云(即本經也)。寧就斷手。不取非財。噫。可	俱 墮 地 獄 故 經 云 即 本 經 也 寧 就 斷 手 不 取 非 財 噫 可 
X60n1120_001:0348a17	不戒歟。	不 戒 歟 
X60n1120_001:0348a18	【箋】非財者。非義之財也。世律取非義之財。受非常	 箋 非 財 者 非 義 之 財 也 世 律 取 非 義 之 財 受 非 常 
X60n1120_001:0348a19	之禍。藏經食無與之物。感無間之殃。寧就斷手。不	之 禍 藏 經 食 無 與 之 物 感 無 間 之 殃 寧 就 斷 手 不 
X60n1120_001:0348a20	取者。畏地獄之痛。甚於斷手。說之寒心。故激切勸	取 者 畏 地 獄 之 痛 甚 於 斷 手 說 之 寒 心 故 激 切 勸 
X60n1120_001:0348a21	戒之也。	戒 之 也 
X60n1120_001:0348a22	論。如來遠歷三祇。堅修萬行。備極艱苦。直至菩提。	論 如 來 遠 歷 三 祇 堅 修 萬 行 備 極 艱 苦 直 至 菩 提 
X60n1120_001:0348a23	今諸釋子不織而衣。不耕而食。莫言我德能致。豈	今 諸 釋 子 不 織 而 衣 不 耕 而 食 莫 言 我 德 能 致 豈 
X60n1120_001:0348a24	緣己行所招。凡身所披一縷一絲。口所甞一粒一	緣 己 行 所 招 凡 身 所 披 一 縷 一 絲 口 所 甞 一 粒 一 
X60n1120_001:0348b01	滴。皆本如來布施。持戒。禪定。精進。積累而得。悉因	滴 皆 本 如 來 布 施 持 戒 禪 定 精 進 積 累 而 得 悉 因 
X60n1120_001:0348b02	如來國城妻子。頭目髓腦。博換而來。苟漫不思惟。	如 來 國 城 妻 子 頭 目 髓 腦 博 換 而 來 苟 漫 不 思 惟 
X60n1120_001:0348b03	則華麗甘甜。儘堪肆志。儻聊相酬奪。等吞銅服棘。	則 華 麗 甘 甜 儘 堪 肆 志 儻 聊 相 酬 奪 等 吞 銅 服 棘 
X60n1120_001:0348b04	莫能少安。縱糜骨焚身。酬恩靡稱。任刳心刲腹。抱	莫 能 少 安 縱 糜 骨 焚 身 酬 恩 靡 稱 任 刳 心 刲 腹 抱 
X60n1120_001:0348b05	愧難宣。惟當晝不使停。夜毋容息。軀無不竭之力。	愧 難 宣 惟 當 晝 不 使 停 夜 毋 容 息 軀 無 不 竭 之 力 
X60n1120_001:0348b06	中無外馳之心。極意勤劬。少圖報塞。何更不與而	中 無 外 馳 之 心 極 意 勤 劬 少 圖 報 塞 何 更 不 與 而 
X60n1120_001:0348b07	得。妄獵非財。挾詐而求。恣羅彼物。施原供眾。回作	得 妄 獵 非 財 挾 詐 而 求 恣 羅 彼 物 施 原 供 眾 回 作 
X60n1120_001:0348b08	己私。募說他因。那為此用。如斯舛錯。難可指陳。將	己 私 募 說 他 因 那 為 此 用 如 斯 舛 錯 難 可 指 陳 將 
X60n1120_001:0348b09	何恃而不恐乎。觀粟粒偶甞。感多生之呞食。	何 恃 而 不 恐 乎 觀 粟 粒 偶 甞 感 多 生 之 呞 食 
X60n1120_001:0348b10	【箋】度論。以習氣故。後得人身。產出牛蹄。飼食。佛愍	 箋 度 論 以 習 氣 故 後 得 人 身 產 出 牛 蹄 飼 食 佛 愍 
X60n1120_001:0348b11	度出家。得羅漢果。無量壽經。憍梵波提。過去世作	度 出 家 得 羅 漢 果 無 量 壽 經 憍 梵 波 提 過 去 世 作 
X60n1120_001:0348b12	比丘。於他粟田邊。摘一莖栗觀其生熟。數粒墮地。	比 丘 於 他 粟 田 邊 摘 一 莖 栗 觀 其 生 熟 數 粒 墮 地 
X60n1120_001:0348b13	五百世作牛償之。	五 百 世 作 牛 償 之 
X60n1120_001:0348b14	荷香暫齅。見誚讓於池神。	荷 香 暫 齅 見 誚 讓 於 池 神 
X60n1120_001:0348b15	【箋】雜阿含經。有比丘患眼。至鉢曇摩華池側。迎香	 箋 雜 阿 含 經 有 比 丘 患 眼 至 鉢 曇 摩 華 池 側 迎 香 
X60n1120_001:0348b16	風而坐。池神謂比丘為盜香賊。比丘言。不壞不奪。	風 而 坐 池 神 謂 比 丘 為 盜 香 賊 比 丘 言 不 壞 不 奪 
X60n1120_001:0348b17	云何名賊。神曰。不求而取。何言非賊。時有士夫。取	云 何 名 賊 神 曰 不 求 而 取 何 言 非 賊 時 有 士 夫 取 
X60n1120_001:0348b18	彼藕根重負而去。比丘曰。何故不遮。而謂我是賊	彼 藕 根 重 負 而 去 比 丘 曰 何 故 不 遮 而 謂 我 是 賊 
X60n1120_001:0348b19	耶。神曰。袈裟黑衣。墨污不現。彼兇惡人。何足與語。	耶 神 曰 袈 裟 黑 衣 墨 污 不 現 彼 兇 惡 人 何 足 與 語 
X60n1120_001:0348b20	蠅脚污素。墨點珂貝雖小悉現。唯明者有小過。如	蠅 脚 污 素 墨 點 珂 貝 雖 小 悉 現 唯 明 者 有 小 過 如 
X60n1120_001:0348b21	毛髮許。他人見之大如泰山。故當從彼常求其淨。	毛 髮 許 他 人 見 之 大 如 泰 山 故 當 從 彼 常 求 其 淨 
X60n1120_001:0348b22	比丘聞已。專精靜坐。斷諸煩惱。得羅漢果。	比 丘 聞 已 專 精 靜 坐 斷 諸 煩 惱 得 羅 漢 果 
X60n1120_001:0348b23	幅紙未酬。俄成疋絹。	幅 紙 未 酬 俄 成 疋 絹 
X60n1120_001:0348b24	【箋】湖海記聞。有一禪師將遷化。伽藍神告曰。師負	 箋 湖 海 記 聞 有 一 禪 師 將 遷 化 伽 藍 神 告 曰 師 負 
X60n1120_001:0348c01	欠常住絹一疋。索還了去。師曰。我自不用絹。云何	欠 常 住 絹 一 疋 索 還 了 去 師 曰 我 自 不 用 絹 云 何 
X60n1120_001:0348c02	負欠。神曰。某時用紙一幅。今計息。應償絹一疋。師	負 欠 神 曰 某 時 用 紙 一 幅 今 計 息 應 償 絹 一 疋 師 
X60n1120_001:0348c03	曰。今盜用常住者不少。都不聞取償。何獨見索。神	曰 今 盜 用 常 住 者 不 少 都 不 聞 取 償 何 獨 見 索 神 
X60n1120_001:0348c04	言。彼輪迴六道中人。自來酬償。不煩往索。大師已	言 彼 輪 迴 六 道 中 人 自 來 酬 償 不 煩 往 索 大 師 已 
X60n1120_001:0348c05	出三界。今若不取。無從追覓。師以衣鉢付寺主而	出 三 界 今 若 不 取 無 從 追 覓 師 以 衣 鉢 付 寺 主 而 
X60n1120_001:0348c06	終。	終 
X60n1120_001:0348c07	僧堂小誤。頓荷火枷。	僧 堂 小 誤 頓 荷 火 枷 
X60n1120_001:0348c08	【箋】寶鑑。雲葢山守顒。因以齋僧錢造僧堂。沒後。新	 箋 寶 鑑 雲 葢 山 守 顒 因 以 齋 僧 錢 造 僧 堂 沒 後 新 
X60n1120_001:0348c09	住持智公夜坐。忽聞火焦之氣。見顒項帶火枷。具	住 持 智 公 夜 坐 忽 聞 火 焦 之 氣 見 顒 項 帶 火 枷 具 
X60n1120_001:0348c10	說前事。苦切乞賣僧堂。設齋供眾。方可脫苦。智如	說 前 事 苦 切 乞 賣 僧 堂 設 齋 供 眾 方 可 脫 苦 智 如 
X60n1120_001:0348c11	言設齋。其夜見顒來謝。	言 設 齋 其 夜 見 顒 來 謝 
X60n1120_001:0348c12	長七果以偏師。鐵丸焦腹(沙彌盜七果。上詳注)。餽白衣以僧	長 七 果 以 偏 師 鐵 丸 焦 腹 沙 彌 盜 七 果 上 詳 注 餽 白 衣 以 僧 
X60n1120_001:0348c13	物。肉樹悲號。	物 肉 樹 悲 號 
X60n1120_001:0348c14	【箋】賢愚經。福增比丘。常為年少比丘之所激切。目	 箋 賢 愚 經 福 增 比 丘 常 為 年 少 比 丘 之 所 激 切 目 
X60n1120_001:0348c15	連觀見。以神通令其恐怖。因使隨行。見一肉樹。多	連 觀 見 以 神 通 令 其 恐 怖 因 使 隨 行 見 一 肉 樹 多 
X60n1120_001:0348c16	有諸蟲圍唼其身。無有空處。呌喚啼哭。如地獄聲。	有 諸 蟲 圍 唼 其 身 無 有 空 處 呌 喚 啼 哭 如 地 獄 聲 
X60n1120_001:0348c17	弟子問師。是何樹。目連言。是瀨利吒營事比丘。以	弟 子 問 師 是 何 樹 目 連 言 是 瀨 利 吒 營 事 比 丘 以 
X60n1120_001:0348c18	自在故。費用僧物。華果飲食。送與白衣。以是因緣。	自 在 故 費 用 僧 物 華 果 飲 食 送 與 白 衣 以是因緣 
X60n1120_001:0348c19	受此華報。後墮地獄。唼樹諸蟲。即爾時得物之人。	受 此 華 報 後 墮 地 獄 唼 樹 諸 蟲 即 爾 時 得 物 之 人 
X60n1120_001:0348c20	言念及斯。能無破膽。世所欽企。莫不薑傳寶壽。	言 念 及 斯 能 無 破 膽 世 所 欽 企 莫 不 薑 傳 寶 壽 
X60n1120_001:0348c21	【箋】寶壽沼。為五祖戒司庫。祖偶疾。須生薑。行者就	 箋 寶 壽 沼 為 五 祖 戒 司 庫 祖 偶 疾 須 生 薑 行 者 就 
X60n1120_001:0348c22	庫取。寶吒之。祖知之。令將錢回買。始與。後洞山虗	庫 取 寶 吒 之 祖 知 之 令 將 錢 回 買 始 與 後 洞 山 虗 
X60n1120_001:0348c23	席。郡守書託五祖舉所知。祖曰。賣生薑漢去得。遂	席 郡 守 書 託 五 祖 舉 所 知 祖 曰 賣 生 薑 漢 去 得 遂 
X60n1120_001:0348c24	出世洞山。	出 世 洞 山 
X60n1120_001:0349a01	燈譽楊岐。	燈 譽 楊 岐 
X60n1120_001:0349a02	【箋】楊岐方會。為庫頭。常置二盞燈。若營己事。則滅	 箋 楊 岐 方 會 為 庫 頭 常 置 二 盞 燈 若 營 己 事 則 滅 
X60n1120_001:0349a03	常住燈。用嚫施買油。別燃燈照之。漢書。有官滅燈	常 住 燈 用 嚫 施 買 油 別 燃 燈 照 之 漢 書 有 官 滅 燈 
X60n1120_001:0349a04	看家書。	看 家 書 
X60n1120_001:0349a05	當毋徒口詠遺風。宜誓令行齊芳軌。斯其最勝矣。	當 毋 徒 口 詠 遺 風 宜 誓 令 行 齊 芳 軌 斯 其 最 勝 矣 
X60n1120_001:0349a06	或往誤知悔。六步思酬。	或 往 誤 知 悔 六 步 思 酬 
X60n1120_001:0349a07	【箋】五百問經。一比丘。用佛法僧物。而此比丘極聰	 箋 五 百 問 經 一 比 丘 用 佛 法 僧 物 而 此 比 丘 極 聰 
X60n1120_001:0349a08	明。說法。能使人得四道果。惟罪深重。便欲償之。即	明 說 法 能 使 人 得 四 道 果 惟 罪 深 重 便 欲 償 之 即 
X60n1120_001:0349a09	詣沙佉國乞。大得錢物。還欲償之。道路山中為七	詣 沙 佉 國 乞 大 得 錢 物 還 欲 償 之 道 路 山 中 為 七 
X60n1120_001:0349a10	步蛇所螫。比丘知七步當死。六步裏便遣弟子還	步 蛇 所 螫 比 丘 知 七 步 當 死 六 步 裏 便 遣 弟 子 還 
X60n1120_001:0349a11	本國言。汝償已還。我住此待汝。弟子償物訖還報	本 國 言 汝 償 已 還 我 住 此 待 汝 弟 子 償 物 訖 還 報 
X60n1120_001:0349a12	之。即起七步便死。墮阿鼻地獄。初入溫暖。未至大	之 即 起 七 步 便 死 墮 阿鼻地獄 初 入 溫 暖 未 至 大 
X60n1120_001:0349a13	熱。謂是溫室。便舉大聲。經唄呪願。獄中聞經唄者。	熱 謂 是 溫 室 便 舉 大 聲 經 唄 呪 願 獄 中 聞 經 唄 者 
X60n1120_001:0349a14	數千人得度。獄卒大嗔。便舉鐵棒打之。即命終生	數 千 人 得 度 獄 卒 大 嗔 便 舉 鐵 棒 打 之 即 命 終 生 
X60n1120_001:0349a15	三十三天。以此驗之。佛法僧物。不可不償。雖復受	三十三天 以 此 驗 之 佛 法 僧 物 不 可 不 償 雖 復 受 
X60n1120_001:0349a16	罪。故得出矣。	罪 故 得 出 矣 
X60n1120_001:0349a17	抑其次焉者哉。不則。爪土之升。上難期地塵之沉	抑 其 次 焉 者 哉 不 則 爪 土 之 升 上 難 期 地 塵 之 沉 
X60n1120_001:0349a18	深可卜。	深 可 卜 
X60n1120_001:0349a19	【箋】涅槃經。為善清升。譬同爪土。為惡沉滯。喻等地	 箋 涅 槃 經 為 善 清 升 譬 同 爪 土 為 惡 沉 滯 喻 等 地 
X60n1120_001:0349a20	塵。阿含經。世尊以爪甲擎土。告諸弟子。我甲上土	塵 阿 含 經 世 尊 以 爪 甲 擎 土 告 諸 弟 子 我 甲 上 土 
X60n1120_001:0349a21	多。大地土多。諸比丘言。世尊甲土甚少。大地土甚	多 大 地 土 多 諸 比 丘 言 世 尊 甲 土 甚 少 大 地 土 甚 
X60n1120_001:0349a22	多。乃至算數不可為比。佛告諸比丘。若諸眾生。至	多 乃 至 算 數 不 可 為 比 佛 告 諸 比 丘 若 諸 眾 生 至 
X60n1120_001:0349a23	算數不可為比。佛告諸比丘。若諸眾生得人道者。	算 數 不 可 為 比 佛 告 諸 比 丘 若 諸 眾 生 得 人 道 者 
X60n1120_001:0349a24	如甲上土。墮非人者。如大地土。	如 甲 上 土 墮 非 人 者 如 大 地 土 
X60n1120_001:0349b01	重輕相準。福弗勝愆。子母交傳。酬曷能盡。鐵牀銅	重 輕 相 準 福 弗 勝 愆 子 母 交 傳 酬 曷 能 盡 鐵 牀 銅 
X60n1120_001:0349b02	柱。嗟楚毒之綿綿。馬腹牛胎。痛酸辛以冉冉。	柱 嗟 楚 毒 之 綿 綿 馬 腹 牛 胎 痛 酸 辛 以 冉 冉 
X60n1120_001:0349b03	【箋】莊椿錄。盜常住一文錢。一日一夜長三分一釐。	 箋 莊 椿 錄 盜 常 住 一 文 錢 一 日 一 夜 長 三 分 一 釐 
X60n1120_001:0349b04	第二日夜。利上又長利。來世作牛馬償之。牛日還	第 二 日 夜 利 上 又 長 利 來 世 作 牛 馬 償 之 牛 日 還 
X60n1120_001:0349b05	八文。馬日還七文。	八 文 馬 日 還 七 文 
X60n1120_001:0349b06	與其計無所出。空思挽。拽於重淵。孰若時猶可為。	與 其 計 無 所 出 空 思 挽 拽 於 重 淵 孰 若 時 猶 可 為 
X60n1120_001:0349b07	早具綢繆於未雨。	早 具 綢 繆 於 未 雨 
X60n1120_001:0349b08	三曰不婬	三 曰 不 婬 
X60n1120_001:0349b09	【箋】華嚴。性不邪婬。菩薩於自妻知足。不求他妻。於	 箋 華 嚴 性 不 邪 婬 菩 薩 於 自 妻 知 足 不 求 他 妻 於 
X60n1120_001:0349b10	他妻妾。他所護女。親族媒定。及為法所護。尚不生	他 妻 妾 他 所 護 女 親 族 媒 定 及 為 法 所 護 尚 不 生 
X60n1120_001:0349b11	於貪染之心。何況從事於非道。◎被諸女色。染醉	於 貪 染 之 心 何 況 從 事 於 非 道 被 諸 女 色 染 醉 
X60n1120_001:0349b12	其心。猶如嬰兒。無見自性。亦如素衣。易受染色。為	其 心 猶 如 嬰 兒 無 見 自 性 亦 如 素 衣 易 受 染 色 為 
X60n1120_001:0349b13	欲所溺。不能得出。如糞中蟲。樂著糞處。如穢弊猪。	欲 所 溺 不能得出 如 糞 中 蟲 樂 著 糞 處 如 穢 弊 猪 
X60n1120_001:0349b14	不淨嚴身。楞嚴。婬心不除。塵不可出。縱有多智禪	不 淨 嚴 身 楞 嚴 婬 心 不 除 塵 不 可 出 縱 有 多 智 禪 
X60n1120_001:0349b15	定現前。如不斷婬。必落邪道。上品魔王。中品魔民。	定 現 前 如 不 斷 婬 必 落 邪 道 上 品 魔 王 中 品 魔 民 
X60n1120_001:0349b16	下品魔女。◎若不斷婬。修禪定者。如蒸沙石欲其	下 品 魔 女 若 不 斷 婬 修 禪 定 者 如 蒸 沙 石 欲 其 
X60n1120_001:0349b17	成飯。經百千劫。秖名熱砂。何以故。此非飯本。砂石	成 飯 經 百 千 劫 秖 名 熱 砂 何 以 故 此 非 飯 本 砂 石 
X60n1120_001:0349b18	成故。梵網。菩薩應生孝順心。救度一切眾生。淨法	成 故 梵 網 菩 薩 應 生 孝 順 心 救 度 一 切 眾 生 淨 法 
X60n1120_001:0349b19	與人。而反更起一切人婬。不擇畜生。乃至母女姊	與 人 而 反 更 起 一 切 人 婬 不 擇 畜 生 乃 至 母 女 姊 
X60n1120_001:0349b20	妹。六親行婬。無慈悲心者。是菩薩波羅夷罪。四十	妹 六 親 行 婬 無 慈 悲 心 者 是 菩 薩 波羅夷罪 四 十 
X60n1120_001:0349b21	二章經。出家沙門斷欲去愛。識自心源。達佛深理。	二 章 經 出 家 沙 門 斷 欲 去 愛 識 自 心 源 達 佛 深 理 
X60n1120_001:0349b22	悟無為法。內無所得。外無所求。心不繫道。亦不結	悟 無 為 法 內 無 所 得 外 無 所 求 心 不 繫 道 亦 不 結 
X60n1120_001:0349b23	業。無念無作。非修非證。不歷諸位。而自崇最。名之	業 無 念 無 作 非 修 非 證 不 歷 諸 位 而 自 崇 最 名 之 
X60n1120_001:0349b24	為道。正法經偈。如火益乾薪。增長火熾燃。如是愛	為 道 正 法 經 偈 如 火 益 乾 薪 增 長 火 熾 燃 如 是 愛 
X60n1120_001:0349c01	樂者。愛火轉增長。薪火雖熾燃。人皆能舍離。愛火	樂 者 愛 火 轉 增 長 薪 火 雖 熾 燃 人 皆 能 舍 離 愛 火 
X60n1120_001:0349c02	燒世間。纏綿不可捨。禪秘要經。長老目連得道。本	燒 世 間 纏 綿 不 可 捨 禪 秘 要 經 長 老 目 連 得 道 本 
X60n1120_001:0349c03	婦將從。盛服莊嚴。欲壞目連。目連爾時為說偈言。	婦 將 從 盛 服 莊 嚴 欲 壞 目 連 目 連 爾 時 為 說 偈 言 
X60n1120_001:0349c04	汝身骨連立。皮肉相纏褁。不淨內充滿。無一是好	汝 身 骨 連 立 皮 肉 相 纏 褁 不 淨 內 充 滿 無 一 是 好 
X60n1120_001:0349c05	物。韛囊盛屎尿。九孔常流出。如鬼無所宜。何足以	物 韛 囊 盛 屎 尿 九 孔 常 流 出 如 鬼 無 所 宜 何 足 以 
X60n1120_001:0349c06	自貴。汝身如行廁。薄皮以自覆。智者所棄遠。如人	自 貴 汝 身 如 行 廁 薄 皮 以 自 覆 智 者 所 棄 遠 如 人 
X60n1120_001:0349c07	捨廁去。若人知汝身。如我所惡厭。一切皆遠離。如	捨 廁 去 若 人 知 汝 身 如 我 所 惡 厭 一 切 皆 遠 離 如 
X60n1120_001:0349c08	人避屎坑。汝身自莊嚴。華香與瓔珞。凡夫所貪愛。	人 避 屎 坑 汝 身 自 莊 嚴 華 香 與 瓔 珞 凡 夫 所 貪 愛 
X60n1120_001:0349c09	智者所不惑。汝身不淨聚。集諸穢惡物。如莊嚴廁	智 者 所 不 惑 汝 身 不 淨 聚 集 諸 穢 惡 物 如 莊 嚴 廁 
X60n1120_001:0349c10	舍。愚人以為好。汝脇肋著脊。如椽依梁棟。五臟在	舍 愚 人 以 為 好 汝 脇 肋 著 脊 如 椽 依 梁 棟 五 臟 在 
X60n1120_001:0349c11	腹內。不淨如屎篋。汝身如糞舍。愚人所貪寶。飾以	腹 內 不 淨 如 屎 篋 汝 身 如 糞 舍 愚 人 所 貪 寶 飾 以 
X60n1120_001:0349c12	珠瓔珞。外好如畵瓶。若人欲染空。始終不可著。汝	珠 瓔 珞 外 好 如 畵 瓶 若 人 欲 染 空 始 終 不 可 著 汝 
X60n1120_001:0349c13	欲去燒我。如蛾自投火。一切諸欲毒。我今已燒盡。	欲 去 燒 我 如 蛾 自 投 火 一 切 諸 欲 毒 我 今 已 燒 盡 
X60n1120_001:0349c14	五欲以遠離。魔網已壞裂。我心如虗空。一切無所	五 欲 以 遠 離 魔 網 已 壞 裂 我 心 如 虗 空 一 切 無 所 
X60n1120_001:0349c15	著。正使天欲來。不能染我心。大乘妙林經。如大猛	著 正 使 天 欲 來 不 能 染 我 心 大 乘 妙 林 經 如 大 猛 
X60n1120_001:0349c16	火。如四毒蛇。不可親近。◎釋迦為太子時。五欲厭	火 如 四 毒 蛇 不 可 親 近 釋 迦 為 太 子 時 五 欲 厭 
X60n1120_001:0349c17	離。而求出家。而說偈言。世間不淨眾惑邪。無過婦	離 而 求 出 家 而 說 偈 言 世 間 不 淨 眾 惑 邪 無 過 婦 
X60n1120_001:0349c18	人之體性。衣服瓔珞莊嚴故。愚癡是邊生欲貪。有	人 之 體 性 衣 服 瓔 珞 莊 嚴 故 愚 癡 是 邊 生 欲 貪 有 
X60n1120_001:0349c19	人能作如是觀。如幻如夢非真實。速捨無明莫放	人 能 作 如 是 觀 如幻如夢 非 真 實 速 捨 無 明 莫 放 
X60n1120_001:0349c20	逸。必得解脫功德身。八歲沙彌開解國王經。阿育	逸 必 得 解 脫 功 德 身 八 歲 沙 彌 開 解 國 王 經 阿 育 
X60n1120_001:0349c21	王初奉佛時。人民疾疫。請僧呪願。聖眾遣妙顏沙	王 初 奉 佛 時 人 民 疾 疫 請 僧 呪 願 聖 眾 遣 妙 顏 沙 
X60n1120_001:0349c22	彌。年始八歲。已得神通。飛入王宮。夫人彩女見之。	彌 年 始 八 歲 已 得 神 通 飛 入 王 宮 夫 人 彩 女 見 之 
X60n1120_001:0349c23	無不愛敬。夫人舉手欲抱妙顏。顏却之。夫人曰。卿	無 不 愛 敬 夫 人 舉 手 欲 抱 妙 顏 顏 却 之 夫 人 曰 卿 
X60n1120_001:0349c24	年幼。猶如吾子。近之何妨。顏曰。事從微起。猶一粟	年 幼 猶 如 吾 子 近 之 何 妨 顏 曰 事 從 微 起 猶 一 粟 
X60n1120_001:0350a01	之火。能燒萬里之野。一滴之水。能陷堅固之石。以	之 火 能 燒 萬 里 之 野 一 滴 之 水 能 陷 堅 固 之 石 以 
X60n1120_001:0350a02	少致多。以小成大。是以智者遠嫌避疑。以防未然。	少 致 多 以 小 成 大 是 以 智 者 遠 嫌 避 疑 以 防 未 然 
X60n1120_001:0350a03	時沙彌聲徹王殿。王聞之。來見曰。卿尚幼。如我子。	時 沙 彌 聲 徹 王 殿 王 聞 之 來 見 曰 卿 尚 幼 如 我 子 
X60n1120_001:0350a04	抱之何嫌。顏曰。古聖制儀。豫其未萌。亦戒終始。女	抱 之 何 嫌 顏 曰 古 聖 制 儀 豫 其 未 萌 亦 戒 終 始 女 
X60n1120_001:0350a05	子七歲不戲父几。男八歲不踞母床。果下無捫首。	子 七 歲 不 戲 父 几 男 八 歲 不 踞 母 床 果 下 無 捫 首 
X60n1120_001:0350a06	瓜田無摸足。遠嫌避疑。杜漸銷萌也。今雖等於母	瓜 田 無 摸 足 遠 嫌 避 疑 杜 漸 銷 萌 也 今 雖 等 於 母 
X60n1120_001:0350a07	子。當為將來不能者施。時王與夫人及宮中五百	子 當 為 將 來 不 能 者 施 時 王 與 夫 人 及 宮 中 五 百 
X60n1120_001:0350a08	人臣。同得道跡。◎天神獻玉女。於佛欲壞佛身。佛	人 臣 同 得 道 跡 天 神 獻 玉 女 於 佛 欲 壞 佛 身 佛 
X60n1120_001:0350a09	言。革囊眾穢。爾來何為去。我不用。天神愈敬。因問	言 革 囊 眾 穢 爾 來 何 為 去 我 不 用 天 神 愈 敬 因 問 
X60n1120_001:0350a10	道意。佛為解說。即得須陀洹果。儀則經。若彼故行	道 意 佛 為 解 說 即 得 須陀洹果 儀 則 經 若 彼 故 行 
X60n1120_001:0350a11	婬。如蛇如毒藥。損壞於自身。得大地獄苦。律。人有	婬 如 蛇 如 毒 藥 損 壞 於 自 身 得 大 地 獄 苦 律 人 有 
X60n1120_001:0350a12	患婬不止。欲自斷陰。佛曰。若斷陰。不如斷心。心如	患 婬 不 止 欲 自 斷 陰 佛 曰 若 斷 陰 不 如 斷 心 心 如 
X60n1120_001:0350a13	功曹。功曹若止。從者都息。心邪不正。縱斷何益。佛	功 曹 功 曹 若 止 從 者 都 息 心 邪 不 正 縱 斷 何 益 佛 
X60n1120_001:0350a14	說偈曰。欲生於流意。意亦思想生。生心各寂靜。非	說 偈 曰 欲 生 於 流 意 意 亦 思 想 生 生 心 各 寂 靜 非 
X60n1120_001:0350a15	色亦非行。佛言。此偈是迦葉佛說。佛言。欲愛之人	色 亦 非 行 佛 言 此 偈 是 迦 葉 佛 說 佛 言 欲 愛 之 人 
X60n1120_001:0350a16	猶如執炬。逆風而行。必有燒手之患。大智度論。如	猶 如 執 炬 逆 風 而 行 必 有 燒 手 之 患 大 智 度 論 如 
X60n1120_001:0350a17	毛繩縛人。斷膚絕骨。高僧傳。釋嵬。戒行嚴潔。忽一	毛 繩 縛 人 斷 膚 絕 骨 高 僧 傳 釋 嵬 戒 行 嚴 潔 忽 一 
X60n1120_001:0350a18	女子寄宿。自稱天女。嵬一心無擾。曰。吾心若死灰。	女 子 寄 宿 自 稱 天 女 嵬 一 心 無 擾 曰 吾 心 若 死 灰 
X60n1120_001:0350a19	無以革囊見試。女乃凌雲而逝。願曰。海水可生須	無 以 革 囊 見 試 女 乃 凌 雲 而 逝 願 曰 海 水 可 生 須 
X60n1120_001:0350a20	彌可傾。彼上人者。秉心堅貞。燈錄。長盧孚。遊方至	彌 可 傾 彼 上 人 者 秉 心 堅 貞 燈 錄 長 盧 孚 遊 方 至 
X60n1120_001:0350a21	一旅邸。有娼女所逼。不惑。女告母。母曰。此真佛子	一 旅 邸 有 娼 女 所 逼 不 惑 女 告 母 母 曰 此 真 佛 子 
