T47n1966_001:0120a03	念佛鏡序	念 佛 鏡 序 
T47n1966_001:0122a20	其前，是人終時，心不顛倒，即得往生阿彌	其 前 是 人 終 時 心 不 顛 倒 即 得 往 生 阿 彌 
T47n1966_001:0122a21	陀佛極樂國土。』」問曰：「若念佛一日往生淨	陀 佛 極樂國土 問 曰 若 念 佛 一 日 往 生 淨 
T47n1966_001:0122a22	土，何須七日？」答曰：「一日、七日，皆是臨命終時	土 何 須 七 日 答 曰 一 日 七 日 皆 是 臨命終時 
T47n1966_001:0122a23	往生淨土，疾則一日，遲則七日，此是《阿彌陀	往 生 淨 土 疾 則 一 日 遲 則 七 日 此 是 阿 彌 陀 
T47n1966_001:0122a24	經》中，上品往生法。又准《觀經》：『下品下生者，或	經 中 上 品 往 生 法 又 准 觀 經 下 品 下 生 者 或 
T47n1966_001:0122a25	有眾生，作不善業——五逆、十惡——具諸不善，如此	有 眾 生 作 不 善 業 五 逆 十 惡 具 諸 不 善 如 此 
T47n1966_001:0122a26	愚人以惡業故，應墮惡道，經歷多劫，受苦無	愚 人 以 惡 業 故 應 墮 惡 道 經 歷 多 劫 受 苦 無 
T47n1966_001:0122a27	窮。如此愚人臨命終時，遇善知識教，念阿彌	窮 如 此 愚 人 臨命終時 遇 善 知 識 教 念 阿 彌 
T47n1966_001:0122a28	陀佛十口，除罪往生。』此是《觀經》中，下品下生	陀 佛 十 口 除 罪 往 生 此 是 觀 經 中 下 品 下 生 
T47n1966_001:0122a29	法。又准《無量壽經》云：『乃至一念即生淨土。』並	法 又 准 無 量 壽 經 云 乃 至 一 念 即 生 淨 土 並 
T47n1966_001:0122b01	是下品往生法。」問曰：「一種念佛，一念、十念	是 下 品 往 生 法 問 曰 一 種 念 佛 一 念 十 念 
T47n1966_001:0122b02	即下品下生；一日、七日何故得上品上生？」答	即 下 品 下 生 一 日 七 日 何 故 得 上 品 上 生 答 
T47n1966_001:0122b03	曰：「一念、十念，為念數少，功德亦少，所以下品	曰 一 念 十 念 為 念 數 少 功 德 亦 少 所 以 下 品 
T47n1966_001:0122b04	下生；一日、七日，為念數多，功德亦多，所以上	下 生 一 日 七 日 為 念 數 多 功 德 亦 多 所 以 上 
T47n1966_001:0122b05	品上生。又一念、十念，喻晚發心人；一日、七日，	品 上 生 又 一 念 十 念 喻 晚 發 心 人 一 日 七 日 
T47n1966_001:0122b06	喻早發心人。所以一念、十念，一日、七日即生	喻 早 發 心 人 所 以 一 念 十 念 一 日 七 日 即 生 
T47n1966_001:0122b07	淨土，位居不退，直至無上菩提。「又念佛喻如	淨 土 位 居 不 退 直 至 無上菩提 又 念 佛 喻 如 
T47n1966_001:0122b08	孩子哭聲，父母聞之急來相救，飢即與食，寒	孩 子 哭 聲 父 母 聞 之 急 來 相 救 飢 即 與 食 寒 
T47n1966_001:0122b09	即與衣，熱即與涼，是父母力，非是子能。念佛	即 與 衣 熱 即 與 涼 是 父 母 力 非 是 子 能 念 佛 
T47n1966_001:0122b10	之人亦復如是，唯知念佛，佛大慈悲尋聲即	之 人 亦復如是 唯 知 念 佛 佛 大 慈 悲 尋 聲 即 
T47n1966_001:0122b11	救，所有罪業佛與滅却，所有病患佛與差却，	救 所 有 罪 業 佛 與 滅 却 所 有 病 患 佛 與 差 却 
T47n1966_001:0122b12	所有諸障佛與拂却，猶如父母養子相似。故	所 有 諸 障 佛 與 拂 却 猶 如 父 母 養 子 相 似 故 
T47n1966_001:0122b13	《法華經》云：『一切眾生皆是吾子，我即是父，汝	 法 華 經 云 一 切 眾 生 皆 是 吾 子 我 即 是 父 汝 
T47n1966_001:0122b14	等累劫眾苦所燒，我皆濟拔令出三界。』修道	等 累 劫 眾 苦 所 燒 我 皆 濟 拔 令 出 三 界 修 道 
T47n1966_001:0122b15	之人要勤念佛。《維摩經》云：『欲除煩惱，當修正	之 人 要 勤 念 佛 維 摩 經 云 欲 除 煩 惱 當 修 正 
T47n1966_001:0122b16	念。』」	念 
T47n1966_001:0122b17	第二、自力他力門	第 二 自 力 他 力 門 
T47n1966_001:0122b18	問云：「論諸法門，其數無量，何法自力？何法他	問 云 論 諸 法 門 其 數 無 量 何 法 自 力 何 法 他 
T47n1966_001:0122b19	力？」答云：「如來雖說八萬四千法門，唯有念佛	力 答 云 如 來 雖 說 八萬四千法門 唯 有 念 佛 
T47n1966_001:0122b20	一門是為他力，餘門修道總為自力。」又問：	一 門 是 為 他 力 餘 門 修 道 總 為 自 力 又 問 
T47n1966_001:0122b21	「自力修道，准佛經教，何時得成？他力修道何	 自 力 修 道 准 佛 經 教 何 時 得 成 他 力 修 道 何 
T47n1966_001:0122b22	時得熟？」答：「自力，准佛經教，從初發心，經一大	時 得 熟 答 自 力 准 佛 經 教 從 初 發 心 經 一 大 
T47n1966_001:0122b23	阿僧祇劫，始到初地；又經一大阿僧祇劫修	阿僧祇劫 始 到 初 地 又 經 一 大阿僧祇劫 修 
T47n1966_001:0122b24	道，乃至八地菩薩，皆是自力。他力者，准念佛	道 乃 至 八 地 菩 薩 皆 是 自 力 他 力 者 准 念 佛 
T47n1966_001:0122b25	法門《阿彌陀經》，疾則一日，遲則七日，念阿彌	法 門 阿 彌 陀 經 疾 則 一 日 遲 則 七 日 念 阿 彌 
T47n1966_001:0122b26	陀佛往生淨土，即是八地菩薩。何以故？為乘	陀 佛 往 生 淨 土 即 是 八 地 菩 薩 何 以 故 為 乘 
T47n1966_001:0122b27	阿彌陀佛本願力故。《阿彌陀經》中：『眾生生者，	阿 彌 陀 佛 本 願 力 故 阿 彌 陀 經 中 眾 生 生 者 
T47n1966_001:0122b28	皆是阿鞞跋致。』既是阿鞞跋致，即是八地菩	皆 是 阿鞞跋致 既 是 阿鞞跋致 即 是 八 地 菩 
T47n1966_001:0122b29	薩。」又問：「自力、他力如何？」答：「喻自力者，猶如	薩 又 問 自 力 他 力 如 何 答 喻 自 力 者 猶 如 
T47n1966_001:0122b30	小兒年始三歲，宅去京地向經千里，遂遣小	小 兒 年 始 三 歲 宅 去 京 地 向 經 千 里 遂 遣 小 
T47n1966_001:0122c01	兒自行向京，以求官職，無由得到。何以故？為	兒 自 行 向 京 以 求 官 職 無 由 得 到 何 以 故 為 
T47n1966_001:0122c02	幼小故。餘門修道，亦復如是，要須多劫修道	幼 小 故 餘 門 修 道 亦復如是 要 須 多 劫 修 道 
T47n1966_001:0122c03	乃成。猶如小兒，自力向京不可得到，由自力	乃 成 猶 如 小 兒 自 力 向 京 不 可 得 到 由 自 力 
T47n1966_001:0122c04	故。言他力者，猶如小兒雖小，依父母及象、	故 言 他 力 者 猶 如 小 兒 雖 小 依 父 母 及 象 
T47n1966_001:0122c05	馬車乘力故，不久到京，遂得官職。何以故？	馬 車 乘 力 故 不 久 到 京 遂 得 官 職 何 以 故 
T47n1966_001:0122c06	由他力故。念佛修道亦復如是，臨命將時乘	由 他 力 故 念 佛 修 道 亦復如是 臨 命 將 時 乘 
T47n1966_001:0122c07	阿彌陀佛願力，如一念頃往生西方，得不退	阿 彌 陀 佛 願 力 如 一 念 頃 往 生 西 方 得 不 退 
T47n1966_001:0122c08	地。猶如父母將象、馬車乘載小兒，不久到京	地 猶 如 父 母 將 象 馬 車 乘 載 小 兒 不 久 到 京 
T47n1966_001:0122c09	覓得官職。又自力者，猶如貧人還與貧人家	覓 得 官 職 又 自 力 者 猶 如 貧 人 還 與 貧 人 家 
T47n1966_001:0122c10	客作，用力雖多，得錢極少。餘門修道，亦復如	客 作 用 力 雖 多 得 錢 極 少 餘 門 修 道 亦 復 如 
T47n1966_001:0122c11	是，用力極多，功德極少，如似貧家客作相似。	是 用 力 極 多 功 德 極 少 如 似 貧 家 客 作 相 似 
T47n1966_001:0122c12	又他力者，如向王家客作，用力極少，得錢無	又 他 力 者 如 向 王 家 客 作 用 力 極 少 得 錢 無 
T47n1966_001:0122c13	量。何以故？為乘王力故。念佛亦復爾，為乘佛	量 何 以 故 為 乘 王 力 故 念 佛 亦 復 爾 為 乘 佛 
T47n1966_001:0122c14	願力故，用功極少，功德無邊，一日、七日專心	願 力 故 用 功 極 少 功 德 無 邊 一 日 七 日 專 心 
T47n1966_001:0122c15	念佛，速生淨土，早證無上菩提，猶如王家客	念 佛 速 生 淨 土 早 證 無上菩提 猶 如 王 家 客 
T47n1966_001:0122c16	作相似。又自力、他力者，猶如蟻子寄在翅鳥	作 相 似 又 自 力 他 力 者 猶 如 蟻 子 寄 在 翅 鳥 
T47n1966_001:0122c17	之上，遂將蟻子在須彌山，蟻子昇高受諸快	之 上 遂 將 蟻 子 在 須 彌 山 蟻 子 昇 高 受 諸 快 
T47n1966_001:0122c18	樂。凡夫念佛亦復如是，乘佛願力速生西方，	樂 凡 夫 念 佛 亦復如是 乘 佛 願 力 速 生 西 方 
T47n1966_001:0122c19	受諸快樂，猶如蟻子乘翅鳥力上山相似，此	受 諸 快 樂 猶 如 蟻 子 乘 翅 鳥 力 上 山 相 似 此 
T47n1966_001:0122c20	之他力；餘門修道，猶如蟻子自力行上山，不	之 他 力 餘 門 修 道 猶 如 蟻 子 自 力 行 上 山 不 
T47n1966_001:0122c21	可得到，此乃自力。自力者猶如蝦蟆，他力者	可 得 到 此 乃 自 力 自 力 者 猶 如 蝦 蟆 他 力 者 
T47n1966_001:0122c22	猶如大龍，有諸蝦蟆銜著龍鱗，龍帶蝦蟆速	猶 如 大 龍 有 諸 蝦 蟆 銜 著 龍 鱗 龍 帶 蝦 蟆 速 
T47n1966_001:0122c23	入大海，由念佛故，將於眾生速到西方。又自	入 大 海 由 念 佛 故 將 於 眾 生 速 到 西 方 又 自 
T47n1966_001:0122c24	力者，猶如凡夫脚足損壞，不能速行；他力者，如	力 者 猶 如 凡 夫 脚 足 損 壞 不 能 速 行 他 力 者 如 
T47n1966_001:0122c25	轉輪王飛騰虛空，往四天下，為乘輪寶力故。	轉 輪 王 飛 騰 虛 空 往 四 天 下 為 乘 輪 寶 力 故 
T47n1966_001:0122c26	乘佛願力亦復如是，一念之頃，即得往生西	乘 佛 願 力 亦復如是 一 念 之 頃 即 得 往 生 西 
T47n1966_001:0122c27	方，住不退地。餘門修道，猶如陸地步行；念佛	方 住 不 退 地 餘 門 修 道 猶 如 陸 地 步 行 念 佛 
T47n1966_001:0122c28	修道，猶如水路乘船，里數極多而復不固。念	修 道 猶 如 水 路 乘 船 里 數 極 多 而 復 不 固 念 
T47n1966_001:0122c29	佛往生亦復如是，用功極少，早證菩提。念佛	佛 往 生 亦復如是 用 功 極 少 早 證 菩 提 念 佛 
T47n1966_001:0123a01	法門，由乘阿彌陀佛本願力故，速疾成佛，超	法 門 由 乘 阿 彌 陀 佛 本 願 力 故 速 疾 成 佛 超 
T47n1966_001:0123a02	過餘門百千萬倍。」	過 餘 門 百 千 萬 倍 
T47n1966_001:0123a03	第三、念佛得益門	第 三 念 佛 得 益 門 
T47n1966_001:0123a04	問曰：「念阿彌陀佛，往生殊勝淨土，總得幾計	問 曰 念 阿 彌 陀 佛 往 生 殊 勝 淨 土 總 得 幾 計 
T47n1966_001:0123a05	利益？」答曰：「准善道闍梨集，念佛法總有二十	利 益 答 曰 准 善 道 闍 梨 集 念 佛 法 總 有 二 十 
T47n1966_001:0123a06	三種利益。何者是？一、滅重罪障益；二、光明攝	三 種 利 益 何 者 是 一 滅 重 罪 障 益 二 光 明 攝 
T47n1966_001:0123a07	受益；三、大師護念益；四、菩薩冥加益；五、諸佛	受 益 三 大 師 護 念 益 四 菩 薩 冥 加 益 五 諸 佛 
T47n1966_001:0123a08	保護益；六、八部防衛益；七、功德寶聚益；八、多	保 護 益 六 八 部 防 衛 益 七 功 德 寶 聚 益 八 多 
T47n1966_001:0123a09	聞智慧益；九、不退菩提益；十、奉覲大雄益；十	聞 智 慧 益 九 不 退 菩 提 益 十 奉 覲 大 雄 益 十 
T47n1966_001:0123a10	一、感聖來迎益；十二、慈光照觸益；十三、聖友	一 感 聖 來 迎 益 十 二 慈 光 照 觸 益 十 三 聖 友 
T47n1966_001:0123a11	同讚益；十四、聖友同迎益；十五、神通空駕益；	同 讚 益 十 四 聖 友 同 迎 益 十 五 神 通 空 駕 益 
T47n1966_001:0123a12	十六、身色殊姿益；十七、壽命長劫益；十八、得	十 六 身 色 殊 姿 益 十 七 壽 命 長 劫 益 十 八 得 
T47n1966_001:0123a13	生勝處益；十九、面覩聖眾益；二十、常聞妙法	生 勝 處 益 十 九 面 覩 聖 眾 益 二 十 常 聞 妙 法 
T47n1966_001:0123a14	益；二十一、證無生法忍益；二十二、歷事他方	益 二 十 一 證 無生法忍 益 二 十 二 歷 事 他 方 
T47n1966_001:0123a15	受記益；二十三、還歸本國得陀羅尼益。此是	受 記 益 二 十 三 還 歸 本 國 得陀羅尼 益 此 是 
T47n1966_001:0123a16	西京善道闍梨《念佛集》中利益。「又准大行和	西 京 善 道 闍 梨 念 佛 集 中 利 益 又 准 大 行 和 
T47n1966_001:0123a17	上念佛，總有十種利益。何等為十？一則佛力；	上 念 佛 總 有 十 種 利 益 何 等 為 十 一 則 佛 力 
T47n1966_001:0123a18	二則易作；三則功德最多；四則自他極喜；五	二 則 易 作 三 則 功 德 最 多 四 則 自 他 極 喜 五 
T47n1966_001:0123a19	則速得見佛；六則定得不退；七則定生極樂；	則 速 得 見 佛 六 則 定 得 不 退 七 則 定 生 極 樂 
T47n1966_001:0123a20	八則更不離佛；九則壽命長遠；十則與聖無	八 則 更 不 離 佛 九 則 壽 命 長 遠 十 則 與 聖 無 
T47n1966_001:0123a21	異。「又准諸經念佛往生，總有三十種利益。何	異 又 准 諸 經 念 佛 往 生 總 有 三 十 種 利 益 何 
T47n1966_001:0123a22	等是？一、滅除諸罪；二、功德無邊；三、諸佛法中	等 是 一 滅 除 諸 罪 二 功 德 無 邊 三 諸 佛 法 中 
T47n1966_001:0123a23	勝；四、諸佛同證；五、諸佛同護；六、十方諸佛同	勝 四 諸 佛 同 證 五 諸 佛 同 護 六 十方諸佛 同 
T47n1966_001:0123a24	勸信念；七、所有疾患念佛總除；八、臨命終時	勸 信 念 七 所 有 疾 患 念 佛 總 除 八 臨命終時 
T47n1966_001:0123a25	心不顛倒；九、念佛一法攝多法；十、命終之時	心 不 顛 倒 九 念 佛 一 法 攝 多 法 十 命 終 之 時 
T47n1966_001:0123a26	佛自來迎；十一、用少功德速生淨土；十二、華	佛 自 來 迎 十 一 用 少 功 德 速 生 淨 土 十 二 華 
T47n1966_001:0123a27	臺中化生；十三、身黃金色；十四、壽命長遠；十	臺 中 化 生 十 三 身 黃 金 色 十 四 壽 命 長 遠 十 
T47n1966_001:0123a28	五、長生不死；十六、身有光明；十七、具三十二	五 長 生 不 死 十 六 身 有 光 明 十 七 具 三 十 二 
T47n1966_001:0123a29	相；十八、獲六神通；十九、得無生法忍；二十、常	相 十 八 獲 六 神 通 十 九 得無生法忍 二 十 常 
T47n1966_001:0123b01	見諸佛；二十一、與諸菩薩共為伴侶；二十二、	見 諸 佛 二 十 一 與 諸 菩 薩 共 為 伴 侶 二 十 二 
T47n1966_001:0123b02	香華音樂六時供養；二十三、衣食自然長劫	香 華 音 樂 六 時 供 養 二 十 三 衣 食 自 然 長 劫 
T47n1966_001:0123b03	無盡；二十四、任運進道直至菩提；二十五、常	無 盡 二 十 四 任 運 進 道 直 至 菩 提 二 十 五 常 
T47n1966_001:0123b04	得少年無有老相；二十六、常得強健無有病	得 少 年 無 有 老 相 二 十 六 常 得 強 健 無 有 病 
T47n1966_001:0123b05	時；二十七、更不重墮三塗地獄；二十八、受生	時 二 十 七 更 不 重 墮 三 塗 地 獄 二 十 八 受 生 
T47n1966_001:0123b06	自在；二十九、晝夜六時常聞妙法；三十、住不	自 在 二 十 九 晝 夜 六 時 常 聞 妙 法 三 十 住 不 
T47n1966_001:0123b07	退地。此依諸經，念佛生淨土，總有三十種利	退 地 此 依 諸 經 念 佛 生 淨 土 總 有 三 十 種 利 
T47n1966_001:0123b08	益。「又准《涅槃經》文：『有五百群賊，為曠野劫盜，	益 又 准 涅 槃 經 文 有 五 百 群 賊 為 曠 野 劫 盜 
T47n1966_001:0123b09	波斯匿王捉得已後，排其兩目、斷其手足，棄	波 斯 匿 王 捉 得 已 後 排 其 兩 目 斷 其 手 足 棄 
T47n1966_001:0123b10	在坑中。時賊眾中一人，曾向佛邊聞說念佛	在 坑 中 時 賊 眾 中 一 人 曾 向 佛 邊 聞 說 念 佛 
T47n1966_001:0123b11	救人苦難，遂轉相教，齊心念佛。爾時諸賊同	救 人 苦 難 遂 轉 相 教 齊 心 念 佛 爾 時 諸 賊 同 
T47n1966_001:0123b12	發願言，三稱佛名，眼目平復，手足如故。』所以	發 願 言 三 稱 佛 名 眼 目 平 復 手 足 如 故 所 以 
T47n1966_001:0123b13	知念佛利益不可思議。又彼經中說：『天竺國	知 念 佛 利 益 不可思議 又 彼 經 中 說 天 竺 國 
T47n1966_001:0123b14	中有一優婆夷，信敬三寶，常好供養一切眾	中 有 一 優 婆 夷 信 敬 三 寶 常 好 供 養 一 切 眾 
T47n1966_001:0123b15	僧。中有一比丘，身患重病，良醫診瞻，須用人	僧 中 有 一 比 丘 身 患 重 病 良 醫 診 瞻 須 用 人 
T47n1966_001:0123b16	肉作[榷木+月]，服之其病乃差。時優婆夷為敬三寶	肉 作 [榷木月] 服 之 其 病 乃 差 時 優 婆 夷 為 敬 三 寶 
T47n1966_001:0123b17	故，遂割身肉，供養比丘。比丘食已，病即得差。	故 遂 割 身 肉 供 養 比 丘 比 丘 食 已 病 即 得 差 
T47n1966_001:0123b18	其優婆夷身瘡苦痛，不能忍受，即便念佛，苦	其 優 婆 夷 身 瘡 苦 痛 不 能 忍 受 即 便 念 佛 苦 
T47n1966_001:0123b19	痛總除，身瘡平復如故。』所以知念佛利益不	痛 總 除 身 瘡 平 復 如 故 所 以 知 念 佛 利 益 不 
T47n1966_001:0123b20	可思議。「又准《月燈三昧經》云：『非但身瘡平復，	可 思 議 又 准 月燈三昧 經 云 非 但 身 瘡 平 復 
T47n1966_001:0123b21	一切病苦、痛患，專心念佛，病苦總除。』故彼經	一 切 病 苦 痛 患 專 心 念 佛 病 苦 總 除 故 彼 經 
T47n1966_001:0123b22	云：『若遇垂死重病，苦痛逼迫無可療治，念佛	云 若 遇 垂 死 重 病 苦 痛 逼 迫 無 可 療 治 念 佛 
T47n1966_001:0123b23	三昧不捨，一切病苦悉除。』所以善導闍梨、大	三 昧 不 捨 一 切 病 苦 悉 除 所 以 善 導 闍 梨 大 
T47n1966_001:0123b24	行和上在日，有數箇疾病人，念佛總差，自餘	行 和 上 在 日 有 數 箇 疾 病 人 念 佛 總 差 自 餘 
T47n1966_001:0123b25	諸病念佛差者，無量、無邊，不可具說。非但念	諸 病 念 佛 差 者 無 量 無 邊 不 可 具 說 非 但 念 
T47n1966_001:0123b26	佛病得除差，近來此處有人念佛，前後感舍	佛 病 得 除 差 近 來 此 處 有 人 念 佛 前 後 感 舍 
T47n1966_001:0123b27	利數粒，每常供養，故知念佛利益難思議。」	利 數 粒 每 常 供 養 故 知 念 佛 利 益 難 思 議 
T47n1966_001:0123b28	第四、已得往生門	第 四 已 得 往 生 門 
T47n1966_001:0123b29	問：「准《阿彌陀經》云：『若已生、今生、當生。』上來雖	問 准 阿 彌 陀 經 云 若 已 生 今 生 當 生 上 來 雖 
T47n1966_001:0123c01	勸念阿彌陀佛，未知現今往生許說多少數，	勸 念 阿 彌 陀 佛 未 知 現 今 往 生 許 說 多 少 數 
T47n1966_001:0123c02	自得生已不？」答：「准淨土經云：『娑婆世界已有	自 得 生 已 不 答 准 淨 土 經 云 娑婆世界 已 有 
T47n1966_001:0123c03	六十七億不退菩薩，念阿彌陀佛往生；他方	六 十 七 億 不退菩薩 念 阿 彌 陀 佛 往 生 他 方 
T47n1966_001:0123c04	國土亦復如是，往生者無量、無邊。』又准《華嚴	國 土 亦復如是 往 生 者 無 量 無 邊 又 准 華 嚴 
T47n1966_001:0123c05	經》云：『德雲比丘念阿彌陀佛，往生淨土。』又准	經 云 德 雲 比 丘 念 阿 彌 陀 佛 往 生 淨 土 又 准 
T47n1966_001:0123c06	《阿彌陀經》，阿難、舍利弗等聞佛所說，歡喜信	 阿 彌 陀 經 阿 難 舍 利 弗 等 聞 佛 所 說 歡 喜 信 
T47n1966_001:0123c07	受，即得往生。又准《觀經》，韋提希與五百侍女	受 即 得 往 生 又 准 觀 經 韋 提 希 與 五 百 侍 女 
T47n1966_001:0123c08	念阿彌陀佛，往生淨土，俱非菩薩、聲聞往生。	念 阿 彌 陀 佛 往 生 淨 土 俱 非 菩 薩 聲 聞 往 生 
T47n1966_001:0123c09	「又近來，北都有綽禪師人，又有律師，西京善	 又 近 來 北 都 有 綽 禪 師 人 又 有 律 師 西 京 善 
T47n1966_001:0123c10	道闍梨、懷感法師、大行和上，并僧法會等數	道 闍 梨 懷 感 法 師 大 行 和 上 并 僧 法 會 等 數 
T47n1966_001:0123c11	百餘僧人，念阿彌陀佛往生淨土。非但僧等	百 餘 僧 人 念 阿 彌 陀 佛 往 生 淨 土 非 但 僧 等 
T47n1966_001:0123c12	往生，西京、東京及餘諸處有數箇尼師，得往	往 生 西 京 東 京 及 餘 諸 處 有 數 箇 尼 師 得 往 
T47n1966_001:0123c13	生淨土；非但尼得往生，西京、東都及餘諸處	生 淨 土 非 但 尼 得 往 生 西 京 東 都 及 餘 諸 處 
T47n1966_001:0123c14	亦有數箇白衣賢者并優婆夷等，念阿彌陀	亦 有 數 箇 白 衣 賢 者 并 優 婆 夷 等 念 阿 彌 陀 
T47n1966_001:0123c15	佛，臨命終時，得好境界，往生淨土。如是品類	佛 臨命終時 得 好 境 界 往 生 淨 土 如 是 品 類 
T47n1966_001:0123c16	不可具說，如《往生傳》。此即是已往生者，有念	不 可 具 說 如 往 生 傳 此 即 是 已 往 生 者 有 念 
T47n1966_001:0123c17	佛法門，凡夫、二乘及諸菩薩同行之教。」	佛 法 門 凡 夫 二 乘 及 諸 菩 薩 同 行 之 教 
T47n1966_001:0123c18	第五、挍量功德門	第 五 挍 量 功 德 門 
T47n1966_001:0123c19	問曰：「准《阿彌陀經》中：『不可以少善根、福德、因	問 曰 准 阿 彌 陀 經 中 不 可 以 少 善 根 福 德 因 
T47n1966_001:0123c20	緣，得生彼國。』未知何者是少善根？何者是多	緣 得 生 彼 國 未 知 何 者 是 少 善 根 何 者 是 多 
T47n1966_001:0123c21	善根？」答曰：「如來八萬四千法門，若望念佛法	善 根 答 曰 如 來 八萬四千法門 若 望 念 佛 法 
T47n1966_001:0123c22	門，自餘雜善，總是少善根；唯有念佛一門，是	門 自 餘 雜 善 總 是 少 善 根 唯 有 念 佛 一 門 是 
T47n1966_001:0123c23	多善根、多福德。何以得知？准《觀經》中，下品下	多 善 根 多 福 德 何 以 得 知 准 觀 經 中 下 品 下 
T47n1966_001:0123c24	生人，十念成就即生淨土，一聲念佛定得滅	生 人 十 念 成 就 即 生 淨 土 一 聲 念 佛 定 得 滅 
T47n1966_001:0123c25	除八十億劫生死之罪。一念既能滅八十億	除 八 十 億 劫 生 死 之 罪 一 念 既 能 滅 八 十 億 
T47n1966_001:0123c26	劫生死之罪，明知還得八十億劫微妙功德。	劫 生 死 之 罪 明 知 還 得 八 十 億 劫 微 妙 功 德 
T47n1966_001:0123c27	故知念佛一法，即是多善根。又自餘雜善是	故 知 念 佛 一 法 即 是 多 善 根 又 自 餘 雜 善 是 
T47n1966_001:0123c28	自力，修行之者多劫乃成；念佛修道乘阿彌	自 力 修 行 之 者 多 劫 乃 成 念 佛 修 道 乘 阿 彌 
T47n1966_001:0123c29	陀佛本願力故，疾則一日，遲則七日，便生淨	陀 佛 本 願 力 故 疾 則 一 日 遲 則 七 日 便 生 淨 
T47n1966_001:0124a01	土住不退地。故《阿彌陀經》中：『若有善男子、善	土 住 不 退 地 故 阿 彌 陀 經 中 若 有 善 男 子 善 
T47n1966_001:0124a02	女人，聞說阿彌陀佛，執持名號，若一日、若二	女 人 聞 說 阿 彌 陀 佛 執 持 名 號 若 一 日 若 二 
T47n1966_001:0124a03	日，乃至七日，一心不亂。其人臨命終時，阿	日 乃至七日 一心不亂 其 人 臨命終時 阿 
T47n1966_001:0124a04	彌陀佛與諸聖眾現在其前，是人終時，心不	彌 陀 佛 與 諸 聖 眾 現 在 其 前 是 人 終 時 心 不 
T47n1966_001:0124a05	顛倒，往生阿彌陀佛極樂國土。』故知念佛一	顛 倒 往 生 阿 彌 陀 佛 極樂國土 故 知 念 佛 一 
T47n1966_001:0124a06	法，即是多善根、多福德。」問曰：「念佛一口能	法 即 是 多 善 根 多 福 德 問 曰 念 佛 一 口 能 
T47n1966_001:0124a07	滅八十億劫生死之罪，不知幾許是劫？」答：「一	滅 八 十 億 劫 生 死 之 罪 不 知 幾 許 是 劫 答 一 
T47n1966_001:0124a08	劫者，不可數得之為劫。准教，取四十里石厚	劫 者 不 可 數 得 之 為 劫 准 教 取 四 十 里 石 厚 
T47n1966_001:0124a09	薄縱、廣各四十里。忉利天上有諸天衣，輕重	薄 縱 廣 各 四 十 里 忉 利 天 上 有 諸 天 衣 輕 重 
T47n1966_001:0124a10	三銖為一分，取三銖天衣，三年一迴，拂盡無	三 銖 為 一 分 取 三 銖 天 衣 三 年 一 迴 拂 盡 無 
T47n1966_001:0124a11	石總作微塵，乃為一大劫。有一箇人廣造罪	石 總 作 微 塵 乃 為 一 大 劫 有 一 箇 人 廣 造 罪 
T47n1966_001:0124a12	業，或殺、盜、邪行，妄語、兩舌、惡口，貪、嗔、邪見，五	業 或 殺 盜 邪 行 妄 語 兩 舌 惡 口 貪 嗔 邪 見 五 
T47n1966_001:0124a13	逆、不孝，誹謗大乘，一切惡業墮地獄中，經八	逆 不 孝 誹 謗 大 乘 一 切 惡 業 墮 地 獄 中 經 八 
T47n1966_001:0124a14	十億劫。若念佛，生死之罪總皆消滅，還得八	十 億 劫 若 念 佛 生 死 之 罪 總 皆 消 滅 還 得 八 
T47n1966_001:0124a15	十億劫微妙功德。故知念佛一法是多善根、	十 億 劫 微 妙 功 德 故 知 念 佛 一 法 是 多 善 根 
T47n1966_001:0124a16	多福德。又算劫數，十千劫乃成一萬劫，十萬	多 福 德 又 算 劫 數 十 千 劫 乃 成 一 萬 劫 十 萬 
T47n1966_001:0124a17	劫乃成一億劫，從十億劫至八十億劫功德。	劫 乃 成 一 億 劫 從 十 億 劫 至 八 十 億 劫 功 德 
T47n1966_001:0124a18	有人一日念十萬口阿彌陀佛者，或有人一	有 人 一 日 念 十 萬 口 阿 彌 陀 佛 者 或 有 人 一 
T47n1966_001:0124a19	日念得二十萬口，准《阿彌陀經》，一日、七日念	日 念 得 二 十 萬 口 准 阿 彌 陀 經 一 日 七 日 念 
T47n1966_001:0124a20	佛，功德無量、無邊，由多功德往生淨土，往	佛 功 德 無 量 無 邊 由 多 功 德 往 生 淨 土 往 
T47n1966_001:0124a21	生淨土，即是八地已上菩薩。所以《彌陀經》	生 淨 土 即 是 八 地 已 上 菩 薩 所 以 彌 陀 經 
T47n1966_001:0124a22	中，十方諸佛同皆讚歎不可思議。自餘雜	中 十方諸佛 同 皆 讚 歎 不可思議 自 餘 雜 
T47n1966_001:0124a23	善思得畔際，算得頭數，故名少善根，是可	善 思 得 畔 際 算 得 頭 數 故 名 少 善 根 是 可 
T47n1966_001:0124a24	思議；念佛功德廣大無邊，非心所思，非口所	思 議 念 佛 功 德 廣 大 無 邊 非 心 所 思 非 口 所 
T47n1966_001:0124a25	議，是故經云不可思議。故知念佛一法是多	議 是 故 經 云 不可思議 故 知 念 佛 一 法 是 多 
T47n1966_001:0124a26	善根，非餘善根所能及也。「又挍量念佛功德，	善 根 非 餘 善 根 所 能 及 也 又 挍 量 念 佛 功 德 
