T04n0207_001:0522b16	◎雜譬喻經	 雜 譬 喻 經 
T04n0207_001:0524b22	淨，不須婦也。」迦葉辭至三，父母答如初。於時	淨 不 須 婦 也 迦 葉 辭 至 三 父 母 答 如 初 於 時 
T04n0207_001:0524b23	迦葉語父母言：「我不用凡女人為婦也，若能	迦 葉 語 父 母 言 我 不 用 凡 女 人 為 婦 也 若 能 
T04n0207_001:0524b24	得紫金色女端正無比，爾乃取之耳。」所以然	得 紫 金 色 女 端 正 無 比 爾 乃 取 之 耳 所 以 然 
T04n0207_001:0524b25	者，欲必令此事不可辦故也。於是其父母召	者 欲 必 令 此 事 不 可 辦 故 也 於 是 其 父 母 召 
T04n0207_001:0524b26	諸婆羅門，令循行國中，其有女子身體金色	諸 婆 羅 門 令 循 行 國 中 其 有 女 子 身 體 金 色 
T04n0207_001:0524b27	具足女相端正殊好，爾乃取之。於是諸婆羅	具 足 女 相 端 正 殊 好 爾 乃 取 之 於 是 諸 婆 羅 
T04n0207_001:0524b28	門設權策鑄作金女神，顏貌端正光色微妙，	門 設 權 策 鑄 作 金 女 神 顏 貌 端 正 光 色 微 妙 
T04n0207_001:0524b29	舁天像行，從國至國高聲大唱：「諸有女人得	舁 天 像 行 從 國 至 國 高 聲 大 唱 諸 有 女 人 得 
T04n0207_001:0524c01	見金女神禮拜供養者，後出嫁時當得好聟，	見 金 女 神 禮拜供養 者 後 出 嫁 時 當 得 好 聟 
T04n0207_001:0524c02	體黃金色顏貌殊妙智慧無比。」聚落國邑諸	體 黃 金 色 顏 貌 殊 妙 智 慧 無 比 聚 落 國 邑 諸 
T04n0207_001:0524c03	有女人，聞此唱者莫不虛心，皆出奉迎禮拜	有 女 人 聞 此 唱 者 莫 不 虛 心 皆 出 奉 迎 禮 拜 
T04n0207_001:0524c04	供養。唯有一女軀體金色端正殊好，獨處閑	供 養 唯 有 一 女 軀 體 金 色 端 正 殊 好 獨 處 閑 
T04n0207_001:0524c05	室不肯出迎。諸女諫曰：「其有見金女神者皆	室 不 肯 出 迎 諸 女 諫 曰 其 有 見 金 女 神 者 皆 
T04n0207_001:0524c06	得如願，汝何以獨不出迎？」答曰：「吾志閑淨，不	得 如 願 汝 何 以 獨 不 出 迎 答 曰 吾 志 閑 淨 不 
T04n0207_001:0524c07	好餘願也。」諸女復曰：「雖無所願，暫共一觀當	好 餘 願 也 諸 女 復 曰 雖 無 所 願 暫 共 一 觀 當 
T04n0207_001:0524c08	復何損？」爾時諸女遂共此女出到金女神前。	復 何 損 爾 時 諸 女 遂 共 此 女 出 到 金 女 神 前 
T04n0207_001:0524c09	此女既到光色明淨，映奪金女神光金不復	此 女 既 到 光 色 明 淨 映 奪 金 女 神 光 金 不 復 
T04n0207_001:0524c10	現。於是諸婆羅門見已，還報長者具足廣說。	現 於 是 諸 婆 羅 門 見 已 還 報 長 者 具 足 廣 說 
T04n0207_001:0524c11	於是長者即遣媒人，到其女家宣長者意，其	於 是 長 者 即 遣 媒 人 到 其 女 家 宣 長 者 意 其 
T04n0207_001:0524c12	女父母先亦聞迦葉名，敬承往意遂相然可。	女 父 母 先 亦 聞 迦 葉 名 敬 承 往 意 遂 相 然 可 
T04n0207_001:0524c13	彼女聞之甚大愁憒，父母所逼事不獲已，遂	彼 女 聞 之 甚 大 愁 憒 父 母 所 逼 事 不 獲 已 遂 
T04n0207_001:0524c14	便適長者家。既到與迦葉相見，二人相對志	便 適 長 者 家 既 到 與 迦 葉 相 見 二 人 相 對 志 
T04n0207_001:0524c15	各凝潔，雖為夫婦了無恩情。其婦遂與迦葉	各 凝 潔 雖 為 夫 婦 了 無 恩 情 其 婦 遂 與 迦 葉 
T04n0207_001:0524c16	結誓：「我與君等，各處異房，要不相觸。」爾時夫	結 誓 我 與 君 等 各 處 異 房 要 不 相 觸 爾 時 夫 
T04n0207_001:0524c17	婦各處一房，其父伺迦葉出時，密遣人壞去	婦 各 處 一 房 其 父 伺 迦 葉 出 時 密 遣 人 壞 去 
T04n0207_001:0524c18	一房，唯令與婦共同一室，雖共同室而復異	一 房 唯 令 與 婦 共 同 一 室 雖 共 同 室 而 復 異 
T04n0207_001:0524c19	床。其父尋復遣人持一床去，於是夫婦雖共	床 其 父 尋 復 遣 人 持 一 床 去 於 是 夫 婦 雖 共 
T04n0207_001:0524c20	同床，其婦更與夫誓：「我若眠時君當經行，君	同 床 其 婦 更 與 夫 誓 我 若 眠 時 君 當 經 行 君 
T04n0207_001:0524c21	眠時我當經行。」時其婦臥，一臂垂地，有大毒	眠 時 我 當 經 行 時 其 婦 臥 一 臂 垂 地 有 大 毒 
T04n0207_001:0524c22	蛇欲來嚙之，迦葉見已有慈愍心，持衣裹手	蛇 欲 來 嚙 之 迦 葉 見 已 有 慈 愍 心 持 衣 裹 手 
T04n0207_001:0524c23	舉著床上。尋時驚覺，便大瞋怒語迦葉言：「我	舉 著 床 上 尋 時 驚 覺 便 大 瞋 怒 語 迦 葉 言 我 
T04n0207_001:0524c24	先有要，如何相犯？」迦葉報言：「汝臂落地，毒蛇	先 有 要 如 何 相 犯 迦 葉 報 言 汝 臂 落 地 毒 蛇 
T04n0207_001:0524c25	欲嚙，是故相救，非故觸也。」毒蛇故在邊住，	欲 嚙 是 故 相 救 非 故 觸 也 毒 蛇 故 在 邊 住 
T04n0207_001:0524c26	指而示之，其婦乃悟。於是夫婦自相與議：「我	指 而 示 之 其 婦 乃 悟 於 是 夫 婦 自 相 與 議 我 
T04n0207_001:0524c27	等何不出家修道？」時夫婦二人遂辭父母，俱	等 何 不 出 家 修 道 時 夫 婦 二 人 遂 辭 父 母 俱 
T04n0207_001:0524c28	共出家山澤行道。時有婆羅門將五百弟子	共 出 家 山 澤 行 道 時 有婆羅門 將 五 百 弟 子 
T04n0207_001:0524c29	亦住此山，見迦葉夫婦便生毀謗言：「出家之	亦 住 此 山 見 迦 葉 夫 婦 便 生 毀 謗 言 出 家 之 
T04n0207_001:0525a01	法宜各貞潔，何有夫婦共相隨理？」於時迦葉	法 宜 各 貞 潔 何 有 夫 婦 共 相 隨 理 於 時 迦 葉 
T04n0207_001:0525a02	便捨其婦，以五百兩金貿緻衲衣，別處一林；	便 捨 其 婦 以 五 百 兩 金 貿 緻 衲 衣 別 處 一 林 
T04n0207_001:0525a03	其婦即依止婆羅門求為弟子。婆羅門五百	其 婦 即 依 止 婆 羅 門 求 為 弟 子 婆 羅 門 五 百 
T04n0207_001:0525a04	弟子，見此女人形色端正日日行婬，此女人	弟 子 見 此 女 人 形 色 端 正 日 日 行 婬 此 女 人 
T04n0207_001:0525a05	不得自在，遂不能堪，便告其師，師便為之戒	不得自在 遂 不 能 堪 便 告 其 師 師 便 為 之 戒 
T04n0207_001:0525a06	約弟子，令節其所欲。迦葉後值佛出世，聞	約 弟 子 令 節 其 所 欲 迦 葉 後 值 佛 出 世 聞 
T04n0207_001:0525a07	法受化即得羅漢，聞其本妻在梵志邊，便將	法 受 化 即 得 羅 漢 聞 其 本 妻 在 梵 志 邊 便 將 
T04n0207_001:0525a08	來詣佛。佛為說法得羅漢，頭髮自落法服在	來 詣 佛 佛 為 說 法 得 羅 漢 頭 髮 自 落 法 服 在 
T04n0207_001:0525a09	身，成比丘尼，遊行教化。正值波斯匿王大會，	身 成 比 丘 尼 遊 行 教 化 正 值 波 斯 匿 王 大 會 
T04n0207_001:0525a10	諸比丘尼便得入王宮裏，教化諸夫人皆令	諸比丘尼 便 得 入 王 宮 裏 教 化 諸 夫 人 皆 令 
T04n0207_001:0525a11	持一日齋。王暮還宮命諸夫人，皆云持齋無	持 一 日 齋 王 暮 還 宮 命 諸 夫 人 皆 云 持 齋 無 
T04n0207_001:0525a12	肯來者，王便大瞋怒語使人言：「誰教諸夫人	肯 來 者 王 便 大 瞋 怒 語 使 人 言 誰 教 諸 夫 人 
T04n0207_001:0525a13	齋？」使人答言：「某甲比丘尼！」王便呼來，令九	齋 使 人 答 言 某 甲 比 丘 尼 王 便 呼 來 令 九 
T04n0207_001:0525a14	十日代諸夫人受婬欲。此皆是昔之因緣誓	十 日 代 諸 夫 人 受 婬 欲 此 皆 是 昔 之 因 緣 誓 
T04n0207_001:0525a15	願所追還也，故使雖得羅漢不能相免。	願 所 追 還 也 故 使 雖 得 羅 漢 不 能 相 免 
T04n0207_001:0525a16	（一〇）昔有兄弟二人出家學道，兄常念行禪精	 一 〇 昔 有 兄 弟 二 人 出家學道 兄 常 念 行 禪 精 
T04n0207_001:0525a17	專修道，得羅漢果六通清徹。其弟常念廣學	專 修 道 得 羅 漢 果 六 通 清 徹 其 弟 常 念 廣 學 
T04n0207_001:0525a18	多聞，好賣名聲欲己自榮。其兄常曉喻弟言：	多 聞 好 賣 名 聲 欲 己 自 榮 其 兄 常 曉 喻 弟 言 
T04n0207_001:0525a19	「人身難得，佛世難值，既得人身，宜曼時為。」弟	 人 身 難 得 佛 世 難 值 既 得 人 身 宜 曼 時 為 弟 
T04n0207_001:0525a20	語兄言：「須得廣學具足三藏堪任人師，爾乃	語 兄 言 須 得 廣 學 具 足 三 藏 堪 任 人 師 爾 乃 
T04n0207_001:0525a21	行禪。」兄復為弟廣宣非常之義，出息不反便	行 禪 兄 復 為 弟 廣 宣 非 常 之 義 出 息 不 反 便 
T04n0207_001:0525a22	屬後世，弟故執其本意不肯隨教。未久之間	屬 後 世 弟 故 執 其 本 意 不 肯 隨 教 未 久 之 間 
T04n0207_001:0525a23	弟得篤疾，良醫數十不能加救，醫知其必死	弟 得 篤 疾 良 醫 數 十 不 能 加 救 醫 知 其 必 死 
T04n0207_001:0525a24	小小捨去。弟便恐怖自知當死，語其兄言：「在	小 小 捨 去 弟 便 恐 怖 自 知 當 死 語 其 兄 言 在 
T04n0207_001:0525a25	昔愚短不用兄教，今將命終知適何道？」涕淚	昔 愚 短 不 用 兄 教 今 將 命 終 知 適 何 道 涕 淚 
T04n0207_001:0525a26	交流向兄悔過，未久之間其人命終，兄即入	交 流 向 兄 悔 過 未 久 之 間 其 人 命 終 兄 即 入 
T04n0207_001:0525a27	定觀其所趣，見處長者胎。彼長者家接近寺	定 觀 其 所 趣 見 處 長 者 胎 彼 長 者 家 接 近 寺 
T04n0207_001:0525a28	廟，兄便數詣此家求作善知識，欲度其弟故。	廟 兄 便 數 詣 此 家 求 作 善 知 識 欲 度 其 弟 故 
T04n0207_001:0525a29	長者兒始年三歲，便持布施為作弟子，至四	長 者 兒 始 年 三 歲 便 持 布 施 為 作 弟 子 至 四 
T04n0207_001:0525b01	歲乳母抱詣師所住寺，寺在山上累石作道，	歲 乳 母 抱 詣 師 所 住 寺 寺 在 山 上 累 石 作 道 
T04n0207_001:0525b02	乳母抱兒不堅失手落地，頭側石上腦出而	乳 母 抱 兒 不 堅 失 手 落 地 頭 側 石 上 腦 出 而 
T04n0207_001:0525b03	死。兒臨終時便生惡念，恨其抱不堅以致此	死 兒 臨 終 時 便 生 惡 念 恨 其 抱 不 堅 以 致 此 
T04n0207_001:0525b04	禍，因起瞋恚命終徑墮大地獄中。兄復入定	禍 因 起 瞋 恚 命 終 徑 墮 大 地 獄 中 兄 復 入 定 
T04n0207_001:0525b05	觀之，見生地獄，於是慨歎此必了矣，地獄苦	觀 之 見 生 地 獄 於 是 慨 歎 此 必 了 矣 地 獄 苦 
T04n0207_001:0525b06	切難可度也，諸佛尚不能奈何，何況我乎？此	切 難 可 度 也 諸 佛 尚 不 能 奈 何 何 況 我 乎 此 
T04n0207_001:0525b07	喻人者名聲不能修禪後墮惡道，雖父兄之	喻 人 者 名 聲 不 能 修 禪 後 墮 惡 道 雖 父 兄 之 
T04n0207_001:0525b08	親不能救也。	親 不 能 救 也 
T04n0207_001:0525b09	（一一）羅云珠者，舍利弗弟子也，本曾奪辟支佛	 一 一 羅 云 珠 者 舍 利 弗 弟 子 也 本 曾 奪 辟 支 佛 
T04n0207_001:0525b10	食，以是罪故生餓鬼中，無量劫受苦。畢餓	食 以 是 罪 故 生 餓 鬼 中 無 量 劫 受 苦 畢 餓 
T04n0207_001:0525b11	鬼身生人中，五百世受飢餓罪，以末後身值	鬼 身 生 人 中 五 百 世 受 飢 餓 罪 以 末 後 身 值 
T04n0207_001:0525b12	佛在世，出家學道服三法衣，遊行乞食無肯	佛 在 世 出家學道 服 三 法 衣 遊 行 乞 食 無 肯 
T04n0207_001:0525b13	施者，或五日或七日不得。目連愍之乞食持	施 者 或 五 日 或 七 日 不 得 目 連 愍 之 乞 食 持 
T04n0207_001:0525b14	與，適墮鉢中為大鳥搏去。舍利弗乞食施之，	與 適 墮 鉢 中 為 大 鳥 搏 去 舍 利 弗 乞 食 施 之 
T04n0207_001:0525b15	適入鉢中變成泥土。大迦葉乞食施之，適持	適 入 鉢 中 變 成 泥 土 大 迦 葉 乞 食 施 之 適 持 
T04n0207_001:0525b16	向口，口即時合無有入處。佛以食施，以大悲	向 口 口 即 時 合 無 有 入 處 佛 以 食 施 以 大 悲 
T04n0207_001:0525b17	力故，即得入口氣味殊特，復以種種方便兼	力 故 即 得 入 口 氣 味 殊 特 復 以 種 種 方 便 兼 
T04n0207_001:0525b18	為說法。時羅云珠聞上妙法悲喜交集，一心	為 說 法 時 羅 云 珠 聞 上 妙 法 悲 喜 交 集 一 心 
T04n0207_001:0525b19	思惟得應真道。	思 惟 得 應 真 道 
T04n0207_001:0525b20	（一二）有龍昇天降于大雨，雨落天宮即成七寶，	 一 二 有 龍 昇 天 降 于 大 雨 雨 落 天 宮 即 成 七 寶 
T04n0207_001:0525b21	雨落人中皆為潤澤，落餓鬼身上變成大火	雨 落 人 中 皆 為 潤 澤 落 餓 鬼 身 上 變 成 大 火 
T04n0207_001:0525b22	舉身燒然，俱是一雨而所墮變異也。此二事	舉 身 燒 然 俱 是 一 雨 而 所 墮 變 異 也 此 二 事 
T04n0207_001:0525b23	明眾形無定質，隨罪福之所感也。	明 眾 形 無 定 質 隨 罪 福 之 所 感 也 
T04n0207_001:0525b24	（一三）外國有住處，眾中有一道人，當眾僧淨	 一 三 外 國 有 住 處 眾 中 有 一 道 人 當 眾 僧 淨 
T04n0207_001:0525b25	地大行，更有一道人性多瞋恚，便以舌舐之	地 大 行 更 有 一 道 人 性 多 瞋 恚 便 以 舌 舐 之 
T04n0207_001:0525b26	用示眾人。雖欲彰人之罪，不知自惡其口。此	用 示 眾 人 雖 欲 彰 人 之 罪 不 知 自 惡 其 口 此 
T04n0207_001:0525b27	明人好言他惡其喻若是，唯知彰人之罪，不	明 人 好 言 他 惡 其 喻 若 是 唯 知 彰 人 之 罪 不 
T04n0207_001:0525b28	知自毀其行也。	知 自 毀 其 行 也 
T04n0207_001:0525b29	（一四）外國小人，事貴人欲得其意，見貴人唾	 一 四 外 國 小 人 事 貴 人 欲 得 其 意 見 貴 人 唾 
T04n0207_001:0525c01	地，競來以足蹹去之。有一人不大健勦，雖欲	地 競 來 以 足 蹹 去 之 有 一 人 不 大 健 勦 雖 欲 
T04n0207_001:0525c02	蹹之初不能得，後見貴人欲唾，始聚口時便	蹹 之 初 不 能 得 後 見 貴 人 欲 唾 始 聚 口 時 便 
T04n0207_001:0525c03	以足蹹其口。貴人問言：「汝欲反耶？何故蹹吾	以 足 蹹 其 口 貴 人 問 言 汝 欲 反 耶 何 故 蹹 吾 
T04n0207_001:0525c04	口？」小人答言：「我是好意，不欲反也。」貴人問	口 小 人 答 言 我 是 好 意 不 欲 反 也 貴 人 問 
T04n0207_001:0525c05	言：「汝若不反，何以至是？」小人答言：「貴人唾時	言 汝 若 不 反 何 以 至 是 小 人 答 言 貴 人 唾 時 
T04n0207_001:0525c06	我常欲蹹唾，唾纔出口眾人恒奪，我前初不	我 常 欲 蹹 唾 唾 纔 出 口 眾 人 恒 奪 我 前 初 不 
T04n0207_001:0525c07	能得，是故就口中蹋之也。」此喻論議時，要須	能 得 是 故 就 口 中 蹋 之 也 此 喻 論 議 時 要 須 
T04n0207_001:0525c08	義出口然後難也。若義在口、理未宣明便興	義 出 口 然 後 難 也 若 義 在 口 理 未 宣 明 便 興 
T04n0207_001:0525c09	難者，喻若就口中蹋之也。	難 者 喻 若 就 口 中 蹋 之 也 
T04n0207_001:0525c10	（一五）昔佛與諸弟子，入舍衛城欲乞食，道邊見	 一 五 昔 佛 與 諸 弟 子 入 舍 衛 城 欲 乞 食 道 邊 見 
T04n0207_001:0525c11	有一坑舉城污露，諸不淨物悉在其中，見一	有 一 坑 舉 城 污 露 諸 不 淨 物 悉 在 其 中 見 一 
T04n0207_001:0525c12	老母猪將諸肫子，共臥不淨坑中。時佛微笑	老 母 猪 將 諸 肫 子 共 臥 不 淨 坑 中 時 佛 微 笑 
T04n0207_001:0525c13	現四十齒并出四牙，從四牙中放大光明，遍	現 四 十 齒 并 出 四 牙 從 四 牙 中 放大光明 遍 
T04n0207_001:0525c14	照三千周及十方，其光明還繞佛身三匝從	照 三 千 周 及 十 方 其 光 明 還 繞 佛 身 三 匝 從 
T04n0207_001:0525c15	胸上入。諸佛之法，說地獄事光從足下入，欲	胸 上 入 諸 佛 之 法 說 地 獄 事 光 從 足 下 入 欲 
T04n0207_001:0525c16	說畜生事光從膊入，欲說餓鬼事光從髀入，	說 畜 生 事 光 從 膊 入 欲 說 餓 鬼 事 光 從 髀 入 
T04n0207_001:0525c17	欲說人事光從臍入，欲說諸天事光從胸入，	欲 說 人 事 光 從 臍 入 欲 說 諸 天 事 光 從 胸 入 
T04n0207_001:0525c18	欲說聲聞事光從口入，欲說緣覺事光從眉	欲 說 聲 聞 事 光 從 口 入 欲 說 緣 覺 事 光 從 眉 
T04n0207_001:0525c19	間相入，欲說諸佛菩薩事光從頂入。阿難見	間 相 入 欲 說 諸佛菩薩 事 光 從 頂 入 阿 難 見 
T04n0207_001:0525c20	光從胸入，知佛欲說諸天事，即時長跪白佛	光 從 胸 入 知 佛 欲 說 諸 天 事 即 時 長 跪 白 佛 
T04n0207_001:0525c21	請問其意。佛語阿難：「過去無數劫有一長者，	請 問 其 意 佛 語 阿 難 過 去 無 數 劫 有 一 長 者 
T04n0207_001:0525c22	乏無兒息，唯有一女端正殊妙聰明辯慧，其	乏 無 兒 息 唯 有 一 女 端 正 殊 妙 聰 明 辯 慧 其 
T04n0207_001:0525c23	女父母甚愛重之。女年既大，便說一偈問父	女 父 母 甚 愛 重 之 女 年 既 大 便 說 一 偈 問 父 
T04n0207_001:0525c24	母言：『一切駛水流，世間苦樂事，本從何處出，	母 言 一 切 駛 水 流 世 間 苦 樂 事 本 從 何 處 出 
T04n0207_001:0525c25	何時當休息？』父母聞之慶其奇雅，不知何言	何 時 當 休 息 父 母 聞 之 慶 其 奇 雅 不 知 何 言 
T04n0207_001:0525c26	以答此偈。其女欲解此義而不蒙答，便大愁	以 答 此 偈 其 女 欲 解 此 義 而 不 蒙 答 便 大 愁 
T04n0207_001:0525c27	憂不復飲食。父母見女愁憂，便大恐懅，即時	憂 不 復 飲 食 父 母 見 女 愁 憂 便 大 恐 懅 即 時 
T04n0207_001:0525c28	為設大會，請諸婆羅門及多智長老，眾人雲	為 設 大 會 請 諸 婆 羅 門 及 多 智 長 老 眾 人 雲 
T04n0207_001:0525c29	集。供設既畢，於眾會中施一小床，女坐其上，	集 供 設 既 畢 於 眾 會 中 施 一 小 床 女 坐 其 上 
T04n0207_001:0526a01	還說前偈以問眾人，眾人默然無能答者。長	還 說 前 偈 以 問 眾 人 眾 人 默 然 無 能 答 者 長 
T04n0207_001:0526a02	者即以七寶盛滿一盤而宣令曰：『其有能答	者 即 以 七 寶 盛 滿 一 盤 而 宣 令 曰 其 有 能 答 
T04n0207_001:0526a03	者，以此與之。』時有一婆羅門，形體端正而智	者 以 此 與 之 時 有 一 婆 羅 門 形 體 端 正 而 智 
T04n0207_001:0526a04	慧尠少，貪其珍寶便言：『我能答也。』其女聞之	慧 尠 少 貪 其 珍 寶 便 言 我 能 答 也 其 女 聞 之 
T04n0207_001:0526a05	即說偈以問婆羅門，亦不解此偈義之所歸，	即 說 偈 以 問 婆 羅 門 亦 不 解 此 偈 義 之 所 歸 
T04n0207_001:0526a06	直言：『此事都無所有也。』女即思惟，即得無	直 言 此 事 都無所有 也 女 即 思 惟 即 得 無 
T04n0207_001:0526a07	所有定，便自唱言：『此真大師益我不少。』女	所 有 定 便 自 唱 言 此 真 大 師 益 我 不 少 女 
T04n0207_001:0526a08	後命終上生無所有處，過四十劫，盡彼天壽	後 命 終 上 生 無所有處 過 四 十 劫 盡 彼 天 壽 
T04n0207_001:0526a09	來生此間。」爾時長者女者，此老母猪身是也，	來 生 此 間 爾 時 長 者 女 者 此 老 母 猪 身 是 也 
T04n0207_001:0526a10	天福已盡宿命罪至，於此世受猪形也。此女	天 福 已 盡 宿 命 罪 至 於 此 世 受 猪 形 也 此 女 
T04n0207_001:0526a11	本說偈問時，若遇明師即可得道；此女雖行	本 說 偈 問 時 若 遇 明 師 即 可 得 道 此 女 雖 行 
T04n0207_001:0526a12	禪定無有智慧，定報既終還墮惡道也。	禪 定 無 有 智 慧 定 報 既 終 還 墮 惡 道 也 
T04n0207_001:0526a13	（一六）昔有一大國王，身得重病十二年不差，	 一 六 昔 有 一 大 國 王 身 得 重 病 十 二 年 不 差 
T04n0207_001:0526a14	一切大醫無能治者。時邊方小國統屬大王，	一 切 大 醫 無 能 治 者 時 邊 方 小 國 統 屬 大 王 
T04n0207_001:0526a15	有一醫師善能治病，王即召來令治己病，未	有 一 醫 師 善 能 治 病 王 即 召 來 令 治 己 病 未 
T04n0207_001:0526a16	久之間即蒙除降。王便念欲報此師恩，屢遣	久 之 間 即 蒙 除 降 王 便 念 欲 報 此 師 恩 屢 遣 
T04n0207_001:0526a17	使者宣令彼國：「此師治王病差，應有大功宜	使 者 宣 令 彼 國 此 師 治 王 病 差 應 有 大 功 宜 
T04n0207_001:0526a18	應賞賜，象馬車乘牛羊田宅青衣直人嚴飾	應 賞 賜 象 馬 車 乘 牛 羊 田 宅 青 衣 直 人 嚴 飾 
T04n0207_001:0526a19	之具，皆給與之。」彼小國王奉宣上命，為設	之 具 皆 給 與 之 彼 小 國 王 奉 宣 上 命 為 設 
T04n0207_001:0526a20	舍宅高堂重閣，給其師婦衣裳飲食珠環嚴	舍 宅 高 堂 重 閣 給 其 師 婦 衣 裳 飲 食 珠 環 嚴 
T04n0207_001:0526a21	具，及象馬牛羊一切備足。師在王邊無有語	具 及 象 馬 牛 羊 一 切 備 足 師 在 王 邊 無 有 語 
T04n0207_001:0526a22	者，師便思惟：「我治王病大有功夫，未知王當	者 師 便 思 惟 我 治 王 病 大 有 功 夫 未 知 王 當 
T04n0207_001:0526a23	報我與不？」復經數日王轉平復，其師請辭欲	報 我 與 不 復 經 數 日 王 轉 平 復 其 師 請 辭 欲 
T04n0207_001:0526a24	還本國，王便聽之，給一羸馬乘具亦弊。師大	還 本 國 王 便 聽 之 給 一 羸 馬 乘 具 亦 弊 師 大 
T04n0207_001:0526a25	歎恨：「我治王病大有功夫，而王不識恩分不	歎 恨 我 治 王 病 大 有 功 夫 而 王 不 識 恩 分 不 
T04n0207_001:0526a26	相料理，令我空去。」循道愁歎以為永恨。適至	相 料 理 令 我 空 去 循 道 愁 歎 以 為 永 恨 適 至 
T04n0207_001:0526a27	本國見有群象，問象子曰：「此誰家象？」象子答	本 國 見 有 群 象 問 象 子 曰 此 誰 家 象 象 子 答 
T04n0207_001:0526a28	曰：「此是某甲師象。」復問象子曰：「某甲師何	曰 此 是 某 甲 師 象 復 問 象 子 曰 某 甲 師 何 
T04n0207_001:0526a29	從得此象？」象子答曰：「某甲師治大王病差，功	從 得 此 象 象 子 答 曰 某 甲 師 治 大 王 病 差 功 
T04n0207_001:0526b01	報所得也。」小復前行見有群馬，問馬子曰：「此	報 所 得 也 小 復 前 行 見 有 群 馬 問 馬 子 曰 此 
T04n0207_001:0526b02	誰家馬？」馬子答曰：「某甲師馬。」小復前行見有	誰 家 馬 馬 子 答 曰 某 甲 師 馬 小 復 前 行 見 有 
T04n0207_001:0526b03	群牛羊，問群牛羊子曰：「此誰家牛羊？」羊子答	群 牛 羊 問 群 牛 羊 子 曰 此 誰 家 牛 羊 羊 子 答 
T04n0207_001:0526b04	曰：「某甲師牛羊。」小復前行見其本舍高堂重	曰 某 甲 師 牛 羊 小 復 前 行 見 其 本 舍 高 堂 重 
T04n0207_001:0526b05	閣殊異本宅，問門人曰：「此是誰舍？」門人答	閣 殊 異 本 宅 問 門 人 曰 此 是 誰 舍 門 人 答 
T04n0207_001:0526b06	曰：「此是某甲師舍。」便入其閤內，見其婦形色	曰 此 是 某 甲 師 舍 便 入 其 閤 內 見 其 婦 形 色 
T04n0207_001:0526b07	豐悅身服寶衣，怪而問曰：「此誰夫人？」直人答	豐 悅 身 服 寶 衣 怪 而 問 曰 此 誰 夫 人 直 人 答 
T04n0207_001:0526b08	言：「此是某甲師夫人。」從見象馬及入舍內，皆	言 此 是 某 甲 師 夫 人 從 見 象 馬 及 入 舍 內 皆 
T04n0207_001:0526b09	知是治王病功報所得，便自追恨，本治王病	知 是 治 王 病 功 報 所 得 便 自 追 恨 本 治 王 病 
T04n0207_001:0526b10	功夫少也。喻福德也，福德留難如王病也，醫	功 夫 少 也 喻 福 德 也 福 德 留 難 如 王 病 也 醫 
T04n0207_001:0526b11	師喻修福人也，治王病者，喻如行人能修福	師 喻 修 福 人 也 治 王 病 者 喻 如 行 人 能 修 福 
T04n0207_001:0526b12	事也。王病差者，如福德已成也，王宣令賞賜	事 也 王 病 差 者 如 福 德 已 成 也 王 宣 令 賞 賜 
T04n0207_001:0526b13	象馬室宅者，言福積於此報成於彼也。夫望	象 馬 室 宅 者 言 福 積 於 此 報 成 於 彼 也 夫 望 
T04n0207_001:0526b14	速者，常患應遲也。如人少信，有時作福便望	速 者 常 患 應 遲 也 如 人 少 信 有 時 作 福 便 望 
T04n0207_001:0526b15	朝夕報也，老病死至便謂自然無善報也，得	朝 夕 報 也 老 病 死 至 便 謂 自 然 無 善 報 也 得 
T04n0207_001:0526b16	天中陰善應具至，如彼醫師見象馬也。乘此	天 中 陰 善 應 具 至 如 彼 醫 師 見 象 馬 也 乘 此 
T04n0207_001:0526b17	中陰既到天宮，受彼生陰，目見天堂種種嚴	中 陰 既 到 天 宮 受 彼 生 陰 目 見 天 堂 種 種 嚴 
T04n0207_001:0526b18	飾，乃知追恨往昔不多作也。如彼醫師既見	飾 乃 知 追 恨 往 昔 不 多 作 也 如 彼 醫 師 既 見 
T04n0207_001:0526b19	賞賜，恨其治病功夫少也。	賞 賜 恨 其 治 病 功 夫 少 也 
T04n0207_001:0526b20	（一七）外國時有惡雨，若墮江湖河井城池水中，	 一 七 外 國 時 有 惡 雨 若 墮 江 湖 河 井 城 池 水 中 
T04n0207_001:0526b21	人食此水，令人狂醉七日乃解。時有國王多	人 食 此 水 令 人 狂 醉 七 日 乃 解 時 有 國 王 多 
T04n0207_001:0526b22	智善相，惡雨雲起王以知之，便蓋一井令雨	智 善 相 惡 雨 雲 起 王 以 知 之 便 蓋 一 井 令 雨 
T04n0207_001:0526b23	不入。時百官群臣食惡雨水，舉朝皆狂脫衣	不 入 時 百 官 群 臣 食 惡 雨 水 舉 朝 皆 狂 脫 衣 
T04n0207_001:0526b24	赤裸，泥土塗頭而坐王廳上，唯王一人獨不	赤 裸 泥 土 塗 頭 而 坐 王 廳 上 唯 王 一 人 獨 不 
T04n0207_001:0526b25	狂也，服常所著衣天冠瓔珞坐于本床。一切	狂 也 服 常 所 著 衣 天 冠 瓔 珞 坐 于 本 床 一 切 
T04n0207_001:0526b26	群臣不自知狂，反謂王為大狂，何故所著獨	群 臣 不 自 知 狂 反 謂 王 為 大 狂 何 故 所 著 獨 
