X58n1018_001:0580c07	評金錍	評 金 錍 
X58n1018_001:0583a20	金錍云客曰何故不多不少唯四十六余曰攻惑攻	金 錍 云 客 曰 何 故 不 多 不 少 唯 四 十 六 余 曰 攻 惑 攻 
X58n1018_001:0583a21	疑攻行攻理通教通義通自通他一問亦足為對鈍	疑 攻 行 攻 理 通 教 通 義 通 自 通 他 一 問 亦 足 為 對 鈍 
X58n1018_001:0583a22	根故有四十六應知一問亦皆能攻。	根 故 有 四 十 六 應 知 一 問 亦 皆 能 攻 
X58n1018_001:0583a23	評曰但破初後中亦可破則四十六問皆可破也	評 曰 但 破 初 後 中 亦 可 破 則 四 十 六 問 皆 可 破 也 
X58n1018_001:0583a24	何者彼以一念三千以伸四十六問該取因果依	何 者 彼 以 一 念 三 千 以 伸 四 十 六 問 該 取 因 果 依 
X58n1018_001:0583b01	正色心生佛等一切諸法以至後文皆是此義故	正 色 心 生 佛 等 一切諸法 以 至 後 文 皆 是 此 義 故 
X58n1018_001:0583b02	不評議也然但得以相從性一義而未曉以性從	不 評 議 也 然 但 得 以 相 從 性 一 義 而 未 曉 以 性 從 
X58n1018_001:0583b03	相說也故以墻璧瓦礫抑在權門矣學者當去情	相 說 也 故 以 墻 璧 瓦 礫 抑 在 權 門 矣 學 者 當 去 情 
X58n1018_001:0583b04	思之然聖旨幽遠隨智取會各伸己見共讚大猷。	思 之 然 聖 旨 幽 遠 隨 智 取 會 各 伸 己 見 共 讚 大 猷 
X58n1018_001:0583b05	旹紹熙甲寅十月日日頤菴苾蒭善喜　書	旹 紹 熙 甲 寅 十 月 日 日 頤 菴 苾 蒭 善 喜 書 
X58n1018_001:0583b07	評金碑	評 金 碑 
