T15n0625_001:0367b17	大樹緊那羅王所問經卷第一	大樹緊那羅王所問經 卷 第 一 
T15n0625_002:0373a28	行無常寶心，不住一切三界中故。觀一切法	行 無 常 寶 心 不 住 一 切 三 界 中 故 觀 一 切 法 
T15n0625_002:0373a29	無我寶心，我及眾生俱無我故。觀於涅槃寂	無 我 寶 心 我 及 眾 生 俱 無 我 故 觀 於 涅 槃 寂 
T15n0625_002:0373b01	靜寶心，究竟寂靜故。觀空、無相、無願解脫門	靜 寶 心 究 竟 寂 靜 故 觀 空 無 相 無願解脫門 
T15n0625_002:0373b02	寶心，入甘露門故。觀一切法無生寶心，得無	寶 心 入 甘 露 門 故 觀 一 切 法 無 生 寶 心 得 無 
T15n0625_002:0373b03	生法忍故。見一切法如幻、如夢、如焰、如影、如	生 法 忍 故 見 一切法如 幻 如 夢 如 焰 如 影 如 
T15n0625_002:0373b04	響、如水月寶心，不住諸見故。順因緣法寶	響 如 水 月 寶 心 不 住 諸 見 故 順 因 緣 法 寶 
T15n0625_002:0373b05	心，離斷常見故。離諸邊見垢穢寶心，離於二	心 離 斷 常 見 故 離 諸 邊 見 垢 穢 寶 心 離 於 二 
T15n0625_002:0373b06	故。入無二法門寶心，覺一道故。離一切行寶	故 入 無 二 法 門 寶 心 覺 一 道 故 離 一 切 行 寶 
T15n0625_002:0373b07	心，至正位故。正觀法位寶心，一切法平等	心 至 正 位 故 正 觀 法 位 寶 心 一 切 法 平 等 
T15n0625_002:0373b08	故。集助一切菩提法寶心，覺了一切諸佛法	故 集 助 一 切 菩 提 法 寶 心 覺 了 一切諸佛 法 
T15n0625_002:0373b09	故。如是緊那羅王！若有修集如是等法，善	故 如 是 緊 那 羅 王 若 有 修 集 如 是 等 法 善 
T15n0625_002:0373b10	修好修正住獲得如說修行，是名菩薩寶住	修 好 修 正 住 獲 得 如說修行 是 名 菩 薩 寶 住 
T15n0625_002:0373b11	三昧。若能如是則便得是寶住三昧；若有菩	三 昧 若 能 如 是 則 便 得 是 寶 住 三 昧 若 有 菩 
T15n0625_002:0373b12	薩已逮得寶住三昧，無世間寶出世間寶，而	薩 已 逮 得 寶 住 三 昧 無 世 間 寶 出 世 間 寶 而 
T15n0625_002:0373b13	是菩薩不得自在。「緊那羅王！云何世間寶？云	是 菩 薩 不得自在 緊 那 羅 王 云 何 世 間 寶 云 
T15n0625_002:0373b14	何出世間寶？緊那羅王！世間寶者，謂：人天	何 出 世 間 寶 緊 那 羅 王 世 間 寶 者 謂 人 天 
T15n0625_002:0373b15	豪尊，若帝釋豪尊、梵王豪尊、護世豪尊、轉	豪 尊 若 帝 釋 豪 尊 梵 王 豪 尊 護 世 豪 尊 轉 
T15n0625_002:0373b16	輪王豪尊、居士豪尊、婆羅門豪尊、長者豪尊、	輪 王 豪 尊 居 士 豪 尊 婆 羅 門 豪 尊 長 者 豪 尊 
T15n0625_002:0373b17	剎利豪尊，雖得如是人天豪尊而不放逸。以	剎 利 豪 尊 雖 得 如 是 人 天 豪 尊 而 不 放 逸 以 
T15n0625_002:0373b18	不放逸能集一切助菩提法，是名世間寶。何	不 放 逸 能 集 一 切 助 菩 提 法 是 名 世 間 寶 何 
T15n0625_002:0373b19	等名為出世間寶？所謂聖慧是出世間。何以	等 名 為 出 世 間 寶 所 謂 聖 慧 是 出 世 間 何 以 
T15n0625_002:0373b20	故？智慧悉攝出世間法，是故說入般若慧門	故 智 慧 悉 攝 出世間法 是 故 說 入 般 若 慧 門 
T15n0625_002:0373b21	名出世間。「緊那羅王！譬如大海為眾流主；如	名 出 世 間 緊 那 羅 王 譬 如 大 海 為 眾 流 主 如 
T15n0625_002:0373b22	須彌山為眾山王；猶如眾星月為其主。如諸	須 彌 山 為 眾 山 王 猶 如 眾 星 月 為 其 主 如 諸 
T15n0625_002:0373b23	藥草火珠，光明日為其最；一切禽獸師子為	藥 草 火 珠 光 明 日 為 其 最 一 切 禽 獸 師 子 為 
T15n0625_002:0373b24	最；一切民庶王為其最；三十三天帝釋為最；	最 一 切 民 庶 王 為 其 最 三十三天 帝 釋 為 最 
T15n0625_002:0373b25	諸梵天中梵王為最。如是緊那羅王！所有一	諸 梵 天 中 梵 王 為 最 如 是 緊 那 羅 王 所 有 一 
T15n0625_002:0373b26	切出世間法智慧為首，是故說言般若為諸	切 出世間法 智 慧 為 首 是 故 說 言 般 若 為 諸 
T15n0625_002:0373b27	眾經中主，能度諸流是安去道故；是名為	眾 經 中 主 能 度 諸 流 是 安 去 道 故 是 名 為 
T15n0625_002:0373b28	炬，照結闇故；是名勇健，除眾怨故；是名醫王，	炬 照 結 闇 故 是 名 勇 健 除 眾 怨 故 是 名 醫 王 
T15n0625_002:0373b29	和眾藥故；是名為師，知諸書故；是名為箭，射	和 眾 藥 故 是 名 為 師 知 諸 書 故 是 名 為 箭 射 
T15n0625_002:0373c01	結的故；是名為力，究竟害纏故；是名大象，拔	結 的 故 是 名 為 力 究 竟 害 纏 故 是 名 大 象 拔 
T15n0625_002:0373c02	結樹故；是無違諍，悉平等故；是無鬪諍，無	結 樹 故 是 無 違 諍 悉 平 等 故 是 無 鬪 諍 無 
T15n0625_002:0373c03	訟訴故；是名不逆，善隨順故；是名無瞋，究竟	訟 訴 故 是 名 不 逆 善 隨 順 故 是 名 無 瞋 究 竟 
T15n0625_002:0373c04	盡故；是名善知，四聖諦故；是名為念，正念處	盡 故 是 名 善 知 四 聖 諦 故 是 名 為 念 正 念 處 
T15n0625_002:0373c05	故；是名為正，能正斷故；是名示現，神足力故；	故 是 名 為 正 能 正 斷 故 是 名 示 現 神 足 力 故 
T15n0625_002:0373c06	是名為戒，障諸根故；是名降伏，有大力故；	是 名 為 戒 障 諸 根 故 是 名 降 伏 有 大 力 故 
T15n0625_002:0373c07	是名為覺，善覺知故；是名開示，示正道故；是	是 名 為 覺 善 覺 知 故 是 名 開 示 示 正 道 故 是 
T15n0625_002:0373c08	名為寂，寂靜定故；是名為明，作慧明故；是名	名 為 寂 寂 靜 定 故 是 名 為 明 作 慧 明 故 是 名 
T15n0625_002:0373c09	作明，離障翳故；是至正處，作照明故；是名除	作 明 離 障 翳 故 是 至 正 處 作 照 明 故 是 名 除 
T15n0625_002:0373c10	斷，除結塵故；是無波浪，度諸流故；是不可見，	斷 除 結 塵 故 是 無 波 浪 度 諸 流 故 是 不 可 見 
T15n0625_002:0373c11	過境界故；是無境界，離內外故。是名為空，離	過 境 界 故 是 無 境 界 離 內 外 故 是 名 為 空 離 
T15n0625_002:0373c12	見岸故；是名無相，離覺觀故；是名無願，出三	見 岸 故 是 名 無 相 離 覺 觀 故 是 名 無 願 出 三 
T15n0625_002:0373c13	界相故。是名一相，無有相故；是虛空相，無相	界 相 故 是 名 一 相 無 有 相 故 是 虛 空 相 無 相 
T15n0625_002:0373c14	似故；是害愛慢，離魔業故。施無妄想，不依於	似 故 是 害 愛 慢 離 魔 業 故 施 無 妄 想 不 依 於 
T15n0625_002:0373c15	戒、不住忍辱、不起精進、不染著禪。無言說	戒 不 住 忍 辱 不 起 精 進 不 染 著 禪 無 言 說 
T15n0625_002:0373c16	門，無一切門，方便自造，無我無眾生，度到彼	門 無 一 切 門 方 便 自 造 無 我 無 眾 生 度 到 彼 
T15n0625_002:0373c17	岸，集諸善根，無作無作者，過諸作道。緊那羅	岸 集 諸 善 根 無 作 無 作 者 過 諸 作 道 緊 那 羅 
T15n0625_002:0373c18	王！是則名為出世間寶。諸般若寶，是智慧	王 是 則 名 為 出 世 間 寶 諸 般 若 寶 是 智 慧 
T15n0625_002:0373c19	寶，即是寶住三昧之體。若菩薩得寶住三昧，	寶 即 是 寶 住 三 昧 之 體 若 菩 薩 得 寶 住 三 昧 
T15n0625_002:0373c20	一切眾寶皆悉來集。「緊那羅王！喻如大海為	一 切 眾 寶 皆 悉 來 集 緊 那 羅 王 喻 如 大 海 為 
T15n0625_002:0373c21	眾流主、集一切寶，一切眾寶皆悉來歸，於是	眾 流 主 集 一 切 寶 一 切 眾 寶 皆 悉 來 歸 於 是 
T15n0625_002:0373c22	海中出生諸寶。如是緊那羅王！菩薩得是寶	海 中 出 生 諸 寶 如 是 緊 那 羅 王 菩 薩 得 是 寶 
T15n0625_002:0373c23	住三昧，為諸一切眾生之主、集一切寶，一切	住 三 昧 為 諸 一 切 眾 生 之 主 集 一 切 寶 一 切 
T15n0625_002:0373c24	法寶皆悉歸趣。緊那羅王！寶住三昧能集一	法 寶 皆 悉 歸 趣 緊 那 羅 王 寶 住 三 昧 能 集 一 
T15n0625_002:0373c25	切諸法之寶，是中不斷於三寶種，是寶住三	切 諸 法 之 寶 是 中 不 斷 於 三 寶 種 是 寶 住 三 
T15n0625_002:0373c26	昧，名為集聚諸法之寶。」	昧 名 為 集 聚 諸 法 之 寶 
T15n0625_002:0373c27	爾時天冠菩薩白言：「世尊！是大樹緊那羅	爾 時 天 冠 菩 薩 白 言 世 尊 是 大 樹 緊 那 羅 
T15n0625_002:0373c28	王已逮得是寶住三昧耶？」佛言：「善男子！汝	王 已 逮 得 是 寶 住 三 昧 耶 佛 言 善 男 子 汝 
T15n0625_002:0373c29	今自問大樹緊那羅王！當為汝說。」時天冠菩	今 自 問 大 樹 緊 那 羅 王 當 為 汝 說 時 天 冠 菩 
T15n0625_002:0373c30	薩即問大樹緊那羅王：「緊那羅王！汝今已	薩 即 問 大 樹 緊 那 羅 王 緊 那 羅 王 汝 今 已 
T15n0625_002:0374a01	逮得是菩薩寶住三昧耶？」答言：「善男子！是三	逮 得 是 菩 薩 寶 住 三 昧 耶 答 言 善 男 子 是 三 
T15n0625_002:0374a02	昧中無住無得，是三昧中無有得者，而是三	昧 中 無 住 無 得 是 三 昧 中 無 有 得 者 而 是 三 
T15n0625_002:0374a03	昧非色、受、想、行、識；而是三昧，非色可見、無聲	昧 非 色 受 想 行 識 而 是 三 昧 非 色 可 見 無 聲 
T15n0625_002:0374a04	可聞，非是住相、非是滅相，無有處相，非無相、	可 聞 非 是 住 相 非 是 滅 相 無 有 處 相 非 無 相 
T15n0625_002:0374a05	非一相。所言相者，都無有相，無能為作。三	非 一 相 所 言 相 者 都 無 有 相 無 能 為 作 三 
T15n0625_002:0374a06	昧相者，自無有相亦非無相，是三昧相應	昧 相 者 自 無 有 相 亦 非 無 相 是 三 昧 相 應 
T15n0625_002:0374a07	如是修。善男子！是三昧者等一切法，若等	如 是 修 善 男 子 是 三 昧 者 等 一 切 法 若 等 
T15n0625_002:0374a08	諸法亦等於我，若等於我亦同等於一切眾	諸 法 亦 等 於 我 若 等 於 我 亦 同 等 於 一 切 眾 
T15n0625_002:0374a09	生。是故善男子！是三昧等一切眾生。何以	生 是 故 善 男 子 是 三 昧 等 一 切 眾 生 何 以 
T15n0625_002:0374a10	故？一切眾生即是空相，空相是三昧相；一切	故 一 切 眾 生 即 是 空 相 空 相 是 三 昧 相 一 切 
T15n0625_002:0374a11	眾生即是無相相，無相相是三昧相；一切眾	眾 生 即 是 無 相 相 無 相 相 是 三 昧 相 一 切 眾 
T15n0625_002:0374a12	生即是無願相，無願相是三昧相。一切眾生	生 即 是 無 願 相 無 願 相 是 三 昧 相 一 切 眾 生 
T15n0625_002:0374a13	及一切法是寂靜相，寂靜相是三昧相。一切	及 一 切 法 是 寂 靜 相 寂 靜 相 是 三 昧 相 一 切 
T15n0625_002:0374a14	眾生是無我相，無我相是三昧相。三昧相	眾 生 是 無 我 相 無 我 相 是 三 昧 相 三 昧 相 
T15n0625_002:0374a15	者，無能以身觸、無能以心觸，凡可觸法若等	者 無 能 以 身 觸 無 能 以 心 觸 凡 可 觸 法 若 等 
T15n0625_002:0374a16	不等，一切皆為善調伏故而演說之。」時天	不 等 一 切 皆 為 善 調 伏 故 而 演 說 之 時 天 
T15n0625_002:0374a17	冠菩薩即白佛言：「希有世尊！是大樹緊那羅	冠 菩 薩 即 白 佛 言 希 有 世 尊 是 大 樹 緊 那 羅 
T15n0625_002:0374a18	王處在如是放逸之中，乃能演說甚深妙	王 處 在 如 是 放 逸 之 中 乃 能 演 說 甚 深 妙 
T15n0625_002:0374a19	法。」佛言：「善男子！菩薩從慧方便地中出生	法 佛 言 善 男 子 菩 薩 從 慧 方 便 地 中 出 生 
T15n0625_002:0374a20	示現一切所作，不為一切所作染污。善男子！	示 現 一 切 所 作 不 為 一 切 所 作 染 污 善 男 子 
T15n0625_002:0374a21	是大樹緊那羅王！以此琴樂諸簫笛音及妙	是 大 樹 緊 那 羅 王 以 此 琴 樂 諸 簫 笛 音 及 妙 
T15n0625_002:0374a22	歌音，調伏七十億緊那羅眾令住菩提，三十	歌 音 調 伏 七 十 億 緊 那 羅 眾 令 住 菩 提 三 十 
T15n0625_002:0374a23	億乾闥婆於無上道而得調伏，其內眷屬八	億 乾 闥 婆 於 無 上 道 而 得 調 伏 其 內 眷 屬 八 
T15n0625_002:0374a24	萬四千住一切智。彼有如是大方便智，善男	萬 四 千 住 一 切 智 彼 有 如 是 大 方 便 智 善 男 
T15n0625_002:0374a25	子！我唱是言：『是謂菩薩隨所居住，在於大	子 我 唱 是 言 是 謂 菩 薩 隨 所 居 住 在 於 大 
T15n0625_002:0374a26	處、隨是諸處多利眾生。』善男子！猶如無薪，火	處 隨 是 諸 處 多 利 眾 生 善 男 子 猶 如 無 薪 火 
T15n0625_002:0374a27	則不然。如是善男子！菩薩處寂亦復如是，不	則 不 然 如 是 善 男 子 菩 薩 處 寂 亦復如是 不 
T15n0625_002:0374a28	能熾然教導眾生。善男子！如大薪聚火則熾	能 熾 然 教 導 眾 生 善 男 子 如 大 薪 聚 火 則 熾 
T15n0625_002:0374a29	然。善男子！菩薩亦爾，處在多眾教導熾然。	然 善 男 子 菩 薩 亦 爾 處 在 多 眾 教 導 熾 然 
T15n0625_002:0374b01	善男子！是故當知，菩薩住在最豪尊處，隨所	善 男 子 是故當知 菩 薩 住 在 最 豪 尊 處 隨 所 
T15n0625_002:0374b02	生處多利眾生。」天冠菩薩復白佛言：「是大	生 處 多 利 眾 生 天 冠 菩 薩 復 白 佛 言 是 大 
T15n0625_002:0374b03	樹緊那羅王！云何以琴及妙歌聲，諸伎樂音	樹 緊 那 羅 王 云 何 以 琴 及 妙 歌 聲 諸 伎 樂 音 
T15n0625_002:0374b04	教化眾生？」佛告天冠菩薩：「善男子！緊那羅	教 化 眾 生 佛 告 天 冠 菩 薩 善 男 子 緊 那 羅 
T15n0625_002:0374b05	等、乾闥婆等、摩睺羅伽等好樂音樂。是大	等 乾 闥 婆 等 摩睺羅伽 等 好 樂 音 樂 是 大 
T15n0625_002:0374b06	樹緊那羅王善自調琴和眾伎樂，是緊那羅	樹 緊 那 羅 王 善 自 調 琴 和 眾 伎 樂 是 緊 那 羅 
T15n0625_002:0374b07	眾、乾闥婆眾、摩睺羅眾，起大愛樂信解增	眾 乾 闥 婆 眾 摩 睺 羅 眾 起 大 愛 樂 信 解 增 
T15n0625_002:0374b08	敬；得是愛樂信解增敬已，於是音中出於佛	敬 得 是 愛 樂 信 解 增 敬 已 於 是 音 中 出 於 佛 
T15n0625_002:0374b09	聲、法聲、僧聲，不忘菩提心聲，施聲、戒聲、忍聲、	聲 法 聲 僧 聲 不 忘 菩 提 心 聲 施 聲 戒 聲 忍 聲 
T15n0625_002:0374b10	進聲、禪聲、慧聲，慈聲、悲聲、喜聲、捨聲，念處	進 聲 禪 聲 慧 聲 慈 聲 悲 聲 喜 聲 捨 聲 念 處 
T15n0625_002:0374b11	聲、正斷聲、神足聲、根聲、力聲、覺聲、道聲，定	聲 正 斷 聲 神 足 聲 根 聲 力 聲 覺 聲 道 聲 定 
T15n0625_002:0374b12	聲、智慧聲、禪定解脫三昧之聲，無常聲、苦	聲 智 慧 聲 禪 定 解 脫 三 昧 之 聲 無 常 聲 苦 
T15n0625_002:0374b13	聲、無我聲，寂聲，空聲、無相聲、無願聲，無生聲、	聲 無 我 聲 寂 聲 空 聲 無 相 聲 無 願 聲 無 生 聲 
T15n0625_002:0374b14	無起聲、無行聲，菩薩法藏所攝法聲、陀羅尼	無 起 聲 無 行 聲 菩 薩 法 藏 所 攝 法 聲 陀 羅 尼 
T15n0625_002:0374b15	金剛句三昧滿聲、不退轉法輪聲、一切決定	金 剛 句 三 昧 滿 聲 不退轉法輪 聲 一 切 決 定 
T15n0625_002:0374b16	法王聲，大海莊嚴三昧聲、一切法流入平等	法 王 聲 大 海 莊 嚴 三 昧 聲 一 切 法 流 入 平 等 
T15n0625_002:0374b17	三昧聲、等一切法自在三昧聲、莊嚴智慧三	三 昧 聲 等 一 切 法 自 在 三 昧 聲 莊 嚴 智 慧 三 
T15n0625_002:0374b18	昧聲、寶住三昧聲、寶有三昧聲、寶降伏三	昧 聲 寶 住 三 昧 聲 寶 有 三 昧 聲 寶 降 伏 三 
T15n0625_002:0374b19	昧聲、寶炬三昧聲、娛樂三昧聲、蓮花莊嚴三	昧 聲 寶 炬 三 昧 聲 娛 樂 三 昧 聲 蓮 花 莊 嚴 三 
T15n0625_002:0374b20	昧聲、過蓮花三昧聲、遍一切處三昧聲、一切	昧 聲 過 蓮 花 三 昧 聲 遍 一 切 處 三 昧 聲 一 切 
T15n0625_002:0374b21	法白蓮花三昧聲、增益三昧聲、大奮迅三昧	法 白 蓮 花 三 昧 聲 增 益 三 昧 聲 大 奮 迅 三 昧 
T15n0625_002:0374b22	聲、師子奮迅三昧聲、日燈三昧聲、無量旋三	聲 師子奮迅三昧 聲 日 燈 三 昧 聲 無 量 旋 三 
T15n0625_002:0374b23	昧聲、前進三昧聲、金剛場三昧聲、金剛幢三	昧 聲 前 進 三 昧 聲 金 剛 場 三 昧 聲 金 剛 幢 三 
T15n0625_002:0374b24	昧聲、金剛不壞三昧聲、地持三昧聲、山燈三	昧 聲 金 剛 不 壞 三 昧 聲 地 持 三 昧 聲 山 燈 三 
T15n0625_002:0374b25	昧聲、山幢三昧聲、寶藏三昧聲、寶華三昧聲、	昧 聲 山 幢 三 昧 聲 寶 藏 三 昧 聲 寶 華 三 昧 聲 
T15n0625_002:0374b26	寶心自在三昧聲、觀一切眾生心三昧聲、出	寶 心 自 在 三 昧 聲 觀 一 切 眾 生 心 三 昧 聲 出 
T15n0625_002:0374b27	增長一切行三昧聲、修深堅三昧聲、雜辯三	增 長 一 切 行 三 昧 聲 修 深 堅 三 昧 聲 雜 辯 三 
T15n0625_002:0374b28	昧聲、無觀三昧聲、觀一切眾生三昧聲、遊戲	昧 聲 無 觀 三 昧 聲 觀 一 切 眾 生 三 昧 聲 遊 戲 
T15n0625_002:0374b29	三昧聲、出一切神通境界三昧聲、降魔界三	三 昧 聲 出 一 切 神 通 境 界 三 昧 聲 降 魔 界 三 
T15n0625_002:0374c01	昧聲、現一切色三昧聲、入一切三昧聲、分一	昧 聲 現 一 切 色 三 昧 聲 入 一 切 三 昧 聲 分 一 
T15n0625_002:0374c02	切身三昧聲、住一切行三昧聲、慧燈三昧聲、	切 身 三 昧 聲 住 一 切 行 三 昧 聲 慧 燈 三 昧 聲 
T15n0625_002:0374c03	手燈三昧聲、觀菩提三昧聲、過樂辯三昧聲、	手 燈 三 昧 聲 觀 菩 提 三 昧 聲 過 樂 辯 三 昧 聲 
T15n0625_002:0374c04	作入一切功德三昧聲。「善男子！是琴歌音諸	作 入 一切功德 三 昧 聲 善 男 子 是 琴 歌 音 諸 
T15n0625_002:0374c05	伎樂中，出於如是三昧法聲，令諸眾生受化	伎 樂 中 出 於 如 是 三 昧 法 聲 令 諸 眾 生 受 化 
T15n0625_002:0374c06	而去。菩薩摩訶薩成就如是希有之法。」說	而 去 菩薩摩訶薩 成 就 如 是 希 有 之 法 說 
T15n0625_002:0374c07	是大樹緊那羅王諸功德行神力之時，以佛力	是 大 樹 緊 那 羅 王 諸 功 德 行 神 力 之 時 以 佛 力 
T15n0625_002:0374c08	故，有天曼陀羅花聚，令諸大眾各散大樹緊	故 有 天 曼陀羅花 聚 令 諸 大 眾 各 散 大 樹 緊 
T15n0625_002:0374c09	那羅王！大樹緊那羅王以神通力右手接持，	那 羅 王 大 樹 緊 那 羅 王 以 神 通 力 右 手 接 持 
T15n0625_002:0374c10	無一花墮地而不在手。爾時大樹緊那羅王	無 一 花 墮 地 而 不 在 手 爾 時 大 樹 緊 那 羅 王 
T15n0625_002:0374c11	即以供散於如來上。當散花時佛神力故，令	即 以 供 散 於 如 來 上 當 散 花 時 佛 神 力 故 令 
T15n0625_002:0374c12	是眾花成一寶蓋覆千世界，是寶蓋中垂懸	是 眾 花 成 一 寶 蓋 覆 千 世 界 是 寶 蓋 中 垂 懸 
T15n0625_002:0374c13	無量千萬億數寶真珠貫，一一珠貫出於無	無 量 千 萬 億 數 寶 真 珠 貫 一 一 珠 貫 出 於 無 
T15n0625_002:0374c14	量萬億光明；一一光明出寶蓮花，雜色妙好	量 萬 億 光 明 一 一 光 明 出 寶 蓮 花 雜 色 妙 好 
T15n0625_002:0374c15	妙香適意，諸花臺中一切皆現釋迦牟尼如	妙 香 適 意 諸 花 臺 中 一 切 皆 現 釋 迦 牟 尼 如 
T15n0625_002:0374c16	來色像結加趺坐。如是諸佛皆讚大樹緊那	來 色 像 結加趺坐 如 是 諸 佛 皆 讚 大 樹 緊 那 
T15n0625_002:0374c17	羅王：「善哉善哉，緊那羅王！乃能教化無量眾	羅 王 善哉善哉 緊 那 羅 王 乃 能 教 化 無 量 眾 
T15n0625_002:0374c18	生。菩薩應當如是施作，既出世間還來世間	生 菩 薩 應 當 如 是 施 作 既 出 世 間 還 來 世 間 
T15n0625_002:0374c19	教化眾生，生死已盡還來受有，得涅槃位還	教 化 眾 生 生 死 已 盡 還 來 受 有 得 涅 槃 位 還 
T15n0625_002:0374c20	遊三界，於是中生教化眾生。」爾時大樹緊那	遊 三 界 於 是 中 生 教 化 眾 生 爾 時 大 樹 緊 那 
T15n0625_002:0374c21	羅王作如是念：「我今當作一一寶蓋，覆一一	羅 王 作如是念 我 今 當 作 一 一 寶 蓋 覆 一 一 
T15n0625_002:0374c22	佛上。」爾時是王即入三昧，名莊嚴寶蓋。當其	佛 上 爾 時 是 王 即 入 三 昧 名 莊 嚴 寶 蓋 當 其 
T15n0625_002:0374c23	入是三昧之時，有妙寶蓋一一各覆諸如來	入 是 三 昧 之 時 有 妙 寶 蓋 一 一 各 覆 諸 如 來 
T15n0625_002:0374c24	上，一切大眾右手亦各執持寶蓋，以為己用	上 一 切 大 眾 右 手 亦 各 執 持 寶 蓋 以 為 己 用 
T15n0625_002:0374c25	供養於佛。是時大樹緊那羅王復作是念：「我	供 養 於 佛 是 時 大 樹 緊 那 羅 王 復 作 是 念 我 
T15n0625_002:0374c26	今當請釋迦如來及諸菩薩并聲聞僧、一切	今 當 請 釋 迦 如 來 及 諸 菩 薩 并 聲 聞 僧 一 切 
T15n0625_002:0374c27	大眾，至香山中我宮殿食，令無量無邊天、龍、	大 眾 至 香 山 中 我 宮 殿 食 令 無量無邊 天 龍 
T15n0625_002:0374c28	夜叉、乾闥婆、阿修羅、迦樓羅、緊那羅、摩睺羅伽	夜 叉 乾 闥 婆 阿 修 羅 迦 樓 羅 緊 那 羅 摩睺羅伽 
T15n0625_002:0374c29	等，集令聽法，我身當供如來給使，令彼眾	等 集 令 聽 法 我 身 當 供 如 來 給 使 令 彼 眾 
T15n0625_002:0374c30	生長夜利益安隱快樂。」爾時大樹緊那羅王	生 長 夜 利 益 安 隱 快 樂 爾 時 大 樹 緊 那 羅 王 
T15n0625_002:0375a01	作是念已，頂禮佛足，合掌白言：「唯願世尊	作 是 念 已 頂禮佛足 合 掌 白 言 唯 願 世 尊 
T15n0625_002:0375a02	及菩薩眾并聲聞僧哀愍我等，至香山王受	及 菩 薩 眾 并 聲 聞 僧 哀 愍 我 等 至 香 山 王 受 
T15n0625_002:0375a03	請七夜，令無量眾生增長善根。世尊！我今堪	請 七 夜 令 無 量 眾 生 增 長 善 根 世 尊 我 今 堪 
T15n0625_002:0375a04	任能為走使，哀愍大樹緊那羅王，及菩薩眾、	任 能 為 走 使 哀 愍 大 樹 緊 那 羅 王 及 菩 薩 眾 
T15n0625_002:0375a05	諸聲聞僧當至香山七日之中，憐愍我故。」爾	諸 聲 聞 僧 當 至 香 山 七 日 之 中 憐 愍 我 故 爾 
T15n0625_002:0375a06	時緊那羅王知佛可已，歡喜踊躍遍滿其身，	時 緊 那 羅 王 知 佛 可 已 歡喜踊躍 遍 滿 其 身 
T15n0625_002:0375a07	與其夫人、男女眷屬，作眾伎樂供養於佛，禮	與 其 夫 人 男 女 眷 屬 作 眾 伎 樂 供 養 於 佛 禮 
T15n0625_002:0375a08	世尊足右遶三匝，出眾而去還至香山。是時	世 尊 足 右 遶 三 匝 出 眾 而 去 還 至 香 山 是 時 
T15n0625_002:0375a09	大樹緊那羅王於香山中，莊嚴自己所住園	大 樹 緊 那 羅 王 於 香 山 中 莊 嚴 自 己 所 住 園 
T15n0625_002:0375a10	林為供如來，莊嚴妙地縱廣五百由旬，青琉	林 為 供 如 來 莊 嚴 妙 地 縱 廣 五 百 由 旬 青 琉 
T15n0625_002:0375a11	璃地閻浮檀金以為間錯，眾寶雜色互相映	璃 地 閻浮檀金 以 為 間 錯 眾 寶 雜 色 互 相 映 
T15n0625_002:0375a12	發。是時場上敷百千妙座，以寶蓮花而間錯	發 是 時 場 上 敷 百 千 妙 座 以 寶 蓮 花 而 間 錯 
T15n0625_002:0375a13	之，敷置百千萬億天衣，復於場上為佛如來	之 敷 置 百 千 萬 億 天 衣 復 於 場 上 為 佛 如 來 
T15n0625_002:0375a14	敷師子座，高三十二由旬，眾寶嚴飾眾寶欄	敷 師 子 座 高 三 十 二 由 旬 眾 寶 嚴 飾 眾 寶 欄 
T15n0625_002:0375a15	楯而圍遶之，張施幢蓋竪眾寶幢，無量香	楯 而 圍 遶 之 張 施 幢 蓋 竪 眾 寶 幢 無 量 香 
T15n0625_002:0375a16	[土*瓦]燒堅黑沈水，上張繒綵以承塵露，周遍垂	[土瓦] 燒 堅 黑 沈 水 上 張 繒 綵 以 承 塵 露 周 遍 垂 
T15n0625_002:0375a17	懸幡蓋、繒綵，散眾天花，於座四面作大寶樹	懸 幡 蓋 繒 綵 散 眾 天 花 於 座 四 面 作 大 寶 樹 
T15n0625_002:0375a18	雜色妙好。外多眾來及自眷屬皆悉已集，便	雜 色 妙 好 外 多 眾 來 及 自 眷 屬 皆 悉 已 集 便 
T15n0625_002:0375a19	為說偈而教授之：	為 說 偈 而 教 授 之 
T15n0625_002:0375a20	「佛出於世時乃值，　　猶如優曇鉢羅花；	 佛出於世 時 乃 值 猶 如 優曇鉢羅 花 
T15n0625_002:0375a21	　人尊今已出現世，　　善好恭敬供養之。	 人 尊 今 已 出 現 世 善 好 恭敬供養 之 
T15n0625_002:0375a22	　捨慢懈怠及誑偽，　　亦離慳貪及幻惑；	 捨 慢 懈 怠 及 誑 偽 亦 離 慳 貪 及 幻 惑 
T15n0625_002:0375a23	　皆當捨離諸戲笑，　　善好恭敬於導師。	 皆 當 捨 離 諸 戲 笑 善 好 恭 敬 於 導 師 
T15n0625_002:0375a24	　所有眾妙適意花，　　天中勝花、香山花；	 所 有 眾 妙 適 意 花 天 中 勝 花 香 山 花 
T15n0625_002:0375a25	　皆當聚集置一處，　　當以供養於人仙。	 皆 當 聚 集 置 一 處 當 以 供 養 於 人 仙 
T15n0625_002:0375a26	　所有眾妙適意香，　　堅黑沈水及栴檀；	 所 有 眾 妙 適 意 香 堅 黑 沈 水 及 栴 檀 
T15n0625_002:0375a27	　當於此間香山中，　　燒用供養勝眾生。	 當 於 此 間 香 山 中 燒 用 供 養 勝 眾 生 
T15n0625_002:0375a28	　所有伎樂妙歌音，　　緊那羅等所愛樂；	 所 有 伎 樂 妙 歌 音 緊 那 羅 等 所 愛 樂 
