X65n1279_001:0102a03	 五宗原序	 五 宗 原 序 
X65n1279_001:0104a21	縫裏。溫研積稔於雪峰堂奧中。便道。三斤麻。一疋布。	縫 裏 溫 研 積 稔 於 雪 峰 堂 奧 中 便 道 三 斤 麻 一 疋 布 
X65n1279_001:0104a22	攛鼈鼻於南山。脫鐵枷於老漢。燭露確師而咄嗟。須	攛 鼈 鼻 於 南 山 脫 鐵 枷 於 老 漢 燭 露 確 師 而 咄 嗟 須 
X65n1279_001:0104a23	彌胡餅而恰好。諸佛出身處。東山水上行。透法身之	彌 胡 餅 而 恰 好 諸 佛 出 身 處 東 山 水 上 行 透 法 身 之 
X65n1279_001:0104a24	句。北斗裏藏身。鉢裏飯。桶裏水。三昧塵塵。南山雲。北	句 北 斗 裏 藏 身 鉢 裏 飯 桶 裏 水 三 昧 塵 塵 南 山 雲 北 
X65n1279_001:0104b01	山雨。佛交露柱。將三門來燈上。放餬餅作饅頭。晉鋒	山 雨 佛 交 露 柱 將 三 門 來 燈 上 放 餬 餅 作 饅 頭 晉 鋒 
X65n1279_001:0104b02	八博咄□中眉。故有紅旗閃爍之品題。此雲門一派。	八 博 咄 中 眉 故 有 紅 旗 閃 爍 之 品 題 此 雲 門 一 派 
X65n1279_001:0104b03	所由出也。	所 由 出 也 
X65n1279_001:0104b04	溈仰宗	溈 仰 宗 
X65n1279_001:0104b05	一星火爆於無有雙關之表。三撼門扇於昧落兩頭	一 星 火 爆 於 無 有 雙 關 之 表 三 撼 門 扇 於 昧 落 兩 頭 
X65n1279_001:0104b06	之間。溈山僧水牯牛。腰下看取。東平鏡溈山鏡。手中	之 間 溈 山 僧 水 牯 牛 腰 下 看 取 東 平 鏡 溈 山 鏡 手 中 
X65n1279_001:0104b07	撲破。所以凡聖兩忘。見履兼盡。用處則單刀直入。思	撲 破 所 以 凡 聖 兩 忘 見 履 兼 盡 用 處 則 單 刀 直 入 思 
X65n1279_001:0104b08	無則靈燄何窮。插鍬拔鍬。埀脚結脚。平目仰視於收	無 則 靈 燄 何 窮 插 鍬 拔 鍬 埀 脚 結 脚 平 目 仰 視 於 收 
X65n1279_001:0104b09	放。不獨一二二三。而劒刃惟單。兩口無舌。九十六相	放 不 獨 一 二 二 三 而 劒 刃 惟 單 兩 口 無 舌 九 十 六 相 
X65n1279_001:0104b10	雲興。父子合宗。溈仰一枝喬出。	雲 興 父 子 合 宗 溈 仰 一 枝 喬 出 
X65n1279_001:0104b11	法眼宗	法 眼 宗 
X65n1279_001:0104b12	七佛偈意。全是修多羅了義語。而儼然獨露臨濟雲	七 佛 偈 意 全 是 修 多 羅 了 義 語 而 儼 然 獨 露 臨 濟 雲 
X65n1279_001:0104b13	門溈仰等旨。惟曹洞回互。則不待拈提。而自著焉。故	門 溈 仰 等 旨 惟 曹 洞 回 互 則 不 待 拈 提 而 自 著 焉 故 
X65n1279_001:0104b14	知法眼一家。全是教家極則。一代旹教之真月也。達	知 法 眼 一 家 全 是 教 家 極 則 一 代 旹 教 之 真 月 也 達 
X65n1279_001:0104b15	磨傳來。若覔心不可得。明鏡亦非臺。即心即佛。非心	磨 傳 來 若 覔 心 不 可 得 明 鏡 亦 非 臺 即 心 即 佛 非 心 
X65n1279_001:0104b16	非佛等語。至於天王。聞馬祖言。識取自心本來是佛。	非 佛 等 語 至 於 天 王 聞 馬 祖 言 識 取 自 心 本 來 是 佛 
X65n1279_001:0104b17	不屬漸次。不假修持。體自如如。萬德圓滿。言下便悟。	不 屬 漸 次 不 假 修 持 體 自 如 如 萬 德 圓 滿 言 下 便 悟 
X65n1279_001:0104b18	龍潭聞天王言。汝檠茶來。吾為汝接。汝行食來。吾為	龍 潭 聞 天 王 言 汝 檠 茶 來 吾 為 汝 接 汝 行 食 來 吾 為 
X65n1279_001:0104b19	汝受。汝和南時。吾便低頭。何處不指示心要。師低頭。	汝 受 汝 和 南 時 吾 便 低 頭 何 處 不 指 示 心 要 師 低 頭 
X65n1279_001:0104b20	王曰。見則便見。擬思即差。師曰。如何保任。王曰。任性	王 曰 見 則 便 見 擬 思 即 差 師 曰 如 何 保 任 王 曰 任 性 
X65n1279_001:0104b21	逍遙。隨緣放曠。但盡凡心。別無聖解。德山曰。窮諸玄	逍 遙 隨 緣 放 曠 但 盡 凡 心 別 無 聖 解 德 山 曰 窮 諸 玄 
X65n1279_001:0104b22	辯。若一毫置於太虗。竭世樞機。似一滴投於巨壑。此	辯 若 一 毫 置 於 太 虗 竭 世 樞 機 似 一 滴 投 於 巨 壑 此 
X65n1279_001:0104b23	便是法眼張本也。雪峰於岩頭處。悟得个他日若欲	便 是 法 眼 張 本 也 雪 峰 於 岩 頭 處 悟 得 个 他 日 若 欲 
X65n1279_001:0104b24	播揚大教。一一從自己胸襟流出。自然葢天葢地。遂	播 揚 大 教 一 一 從 自 己 胸 襟 流 出 自 然 葢 天 葢 地 遂 
X65n1279_001:0104c01	有玄沙。從楞嚴經。發明心地。由是應機敏捷。與修多	有 玄 沙 從 楞 嚴 經 發 明 心 地 由 是 應 機 敏 捷 與 修 多 
X65n1279_001:0104c02	羅冥契。沙問地藏曰。三界惟心。汝作麼生會。藏指椅	羅 冥 契 沙 問 地 藏 曰 三 界 惟 心 汝 作 麼 生 會 藏 指 椅 
X65n1279_001:0104c03	子曰。和尚喚這個作什麼。沙曰椅子。藏曰。和尚不會	子 曰 和 尚 喚 這 個 作 什 麼 沙 曰 椅 子 藏 曰 和 尚 不 會 
X65n1279_001:0104c04	三界惟心。沙曰。我喚這個作竹木。汝喚作甚麼。藏曰。	三 界 惟 心 沙 曰 我 喚 這 個 作 竹 木 汝 喚 作 甚 麼 藏 曰 
X65n1279_001:0104c05	桂琛亦喚作竹木。沙曰。盡大地覔一個會佛法底人	桂 琛 亦 喚 作 竹 木 沙 曰 盡 大 地 覔 一 個 會 佛 法 底 人 
X65n1279_001:0104c06	不可得。藏自爾加勵。及悟後住地藏。問法眼曰。作麼	不 可 得 藏 自 爾 加 勵 及 悟 後 住 地 藏 問 法 眼 曰 作 麼 
X65n1279_001:0104c07	生是行脚事。眼曰不知。曰不知最親切。又論肇論。至	生 是 行 脚 事 眼 曰 不 知 曰 不 知 最 親 切 又 論 肇 論 至 
X65n1279_001:0104c08	天地與我同根處。藏曰。山河大地。與上座自己。是同	天 地 與 我 同 根 處 藏 曰 山 河 大 地 與 上 座 自 己 是 同 
X65n1279_001:0104c09	是別。眼曰別。藏竪二指。眼曰同。藏又竪二指。便起去。	是 別 眼 曰 別 藏 竪 二 指 眼 曰 同 藏 又 竪 二 指 便 起 去 
X65n1279_001:0104c10	藏又問。上座尋常說三界惟心萬法惟識。乃指庭石	藏 又 問 上 座 尋 常 說 三 界 惟 心 萬 法 惟 識 乃 指 庭 石 
X65n1279_001:0104c11	曰。且道此石在心內在心外。眼曰心內。藏曰。行脚人	曰 且 道 此 石 在 心 內 在 心 外 眼 曰 心 內 藏 曰 行 脚 人 
X65n1279_001:0104c12	著甚來由。安片石在心頭。眼窘求住。藏曰。若論佛法。	著 甚 來 由 安 片 石 在 心 頭 眼 窘 求 住 藏 曰 若 論 佛 法 
X65n1279_001:0104c13	一切現成。法眼於是大悟。所以道。會得聲色問處。透	一 切 現 成 法 眼 於 是 大 悟 所 以 道 會 得 聲 色 問 處 透 
X65n1279_001:0104c14	聲色也不難。識得凳子來由。周帀有餘都了。慧超咨	聲 色 也 不 難 識 得 凳 子 來 由 周 帀 有 餘 都 了 慧 超 咨 
X65n1279_001:0104c15	和尚。如何是佛。曰汝是慧超。僧問。如何是曹源一滴	和 尚 如 何 是 佛 曰 汝 是 慧 超 僧 問 如 何 是 曹 源 一 滴 
X65n1279_001:0104c16	水。云是曹源一滴水。正是山河在我眼裏。自己只在	水 云 是 曹 源 一 滴 水 正 是 山 河 在 我 眼 裏 自 己 只 在 
X65n1279_001:0104c17	目前。鳥啼花落水茫茫。月白風清山楚楚。說甚惟心	目 前 鳥 啼 花 落 水 茫 茫 月 白 風 清 山 楚 楚 說 甚 惟 心 
X65n1279_001:0104c18	惟識。豈關句裏言前。六相義。金絡索。掛來四法界玉。	惟 識 豈 關 句 裏 言 前 六 相 義 金 絡 索 掛 來 四 法 界 玉 
X65n1279_001:0104c19	連環拋出。總是弄猢猻圈子。祭鬼神茶飯。何用將心	連 環 拋 出 總 是 弄 猢 猻 圈 子 祭 鬼 神 茶 飯 何 用 將 心 
X65n1279_001:0104c20	湊泊。頭頭釘釘膠粘。不如信手拈來。處處箭鋒相拄。	湊 泊 頭 頭 釘 釘 膠 粘 不 如 信 手 拈 來 處 處 箭 鋒 相 拄 
X65n1279_001:0104c21	以致永明博綜於宗鏡。座主彷彿於言詮。此祖宗玅	以 致 永 明 博 綜 於 宗 鏡 座 主 彷 彿 於 言 詮 此 祖 宗 玅 
X65n1279_001:0104c22	極而流弊痛挽之。惟望後人之實證也。	極 而 流 弊 痛 挽 之 惟 望 後 人 之 實 證 也 
X65n1279_001:0104c23	曹洞宗	曹 洞 宗 
X65n1279_001:0104c24	威而音。音而威者。○五位前後事也。五位無位而位	威 而 音 音 而 威 者 五 位 前 後 事 也 五 位 無 位 而 位 
X65n1279_001:0105a01	者也。威音已前。空劫也。威音至此。今時也。今時無空	者 也 威 音 已 前 空 劫 也 威 音 至 此 今 時 也 今 時 無 空 
X65n1279_001:0105a02	劫。則非今。空劫非今時。即非古。今古一○。其為偏乎	劫 則 非 今 空 劫 非 今 時 即 非 古 今 古 一 其 為 偏 乎 
X65n1279_001:0105a03	正乎。正之偏乎。偏之正乎。偏正兼至乎。正偏兼到乎。	正 乎 正 之 偏 乎 偏 之 正 乎 偏 正 兼 至 乎 正 偏 兼 到 乎 
X65n1279_001:0105a04	吾不知而知。知而邈然於威音之先矣。故曰。身從無	吾 不 知 而 知 知 而 邈 然 於 威 音 之 先 矣 故 曰 身 從 無 
X65n1279_001:0105a05	相中受生。猶如幻出諸形相。幻人心識本來無。罪福	相 中 受 生 猶 如 幻 出 諸 形 相 幻 人 心 識 本 來 無 罪 福 
X65n1279_001:0105a06	皆空無所住。是也。七佛皆然矣。而世尊降生。一手指	皆 空 無 所 住 是 也 七 佛 皆 然 矣 而 世 尊 降 生 一 手 指 
X65n1279_001:0105a07	天。一手指地。周行七步。目顧四方曰。天上天下。惟吾	天 一 手 指 地 周 行 七 步 目 顧 四 方 曰 天 上 天 下 惟 吾 
X65n1279_001:0105a08	獨尊。至臨末稍頭。伸出雙趺。以示迦葉。一期大事。不	獨 尊 至 臨 末 稍 頭 伸 出 雙 趺 以 示 迦 葉 一 期 大 事 不 
X65n1279_001:0105a09	過如此。(西天初祖)迦葉尊者。因外道問。如何是我我。者曰覓我	過 如 此 西 天 初 祖 迦 葉 尊 者 因 外 道 問 如 何 是 我 我 者 曰 覓 我 
X65n1279_001:0105a10	者是汝我。外道曰。這個是我我。師我何在者。曰汝問	者 是 汝 我 外 道 曰 這 個 是 我 我 師 我 何 在 者 曰 汝 問 
X65n1279_001:0105a11	我覓。(二祖)阿難偈曰。本來付有法。付了言無法。各各須自	我 覓 二 祖 阿 難 偈 曰 本 來 付 有 法 付 了 言 無 法 各 各 須 自 
X65n1279_001:0105a12	悟。悟了無無法。(三祖)商那曰。說是心法時。是法非心法。(四祖)優	悟 悟 了 無 無 法 三 祖 商 那 曰 說 是 心 法 時 是 法 非 心 法 四 祖 優 
X65n1279_001:0105a13	波毱多。(五祖名提多迦)香眾來求出家。多曰。汝身出家。心出家。答曰。	波 毱 多 五 祖 名 提 多 迦 香 眾 來 求 出 家 多 曰 汝 身 出 家 心 出 家 答 曰 
X65n1279_001:0105a14	我來出家。非為身心。曰不為身心。復誰出家。答曰。夫	我 來 出 家 非 為 身 心 曰 不 為 身 心 復 誰 出 家 答 曰 夫 
X65n1279_001:0105a15	出家者。無我我故。無我我故即心不生滅。心不生滅	出 家 者 無 我 我 故 無 我 我 故 即 心 不 生 滅 心 不 生 滅 
X65n1279_001:0105a16	即是常道。諸佛亦常。心無形相。其體亦然。毱乃度之。	即 是 常 道 諸 佛 亦 常 心 無 形 相 其 體 亦 然 毱 乃 度 之 
X65n1279_001:0105a17	香眾後有偈曰。通達本法心。無法無非法。悟了同未	香 眾 後 有 偈 曰 通 達 本 法 心 無 法 無 非 法 悟 了 同 未 
X65n1279_001:0105a18	悟。無心亦無法。(六祖)彌遮迦。見一人手執酒器。逆而問曰。	悟 無 心 亦 無 法 六 祖 彌 遮 迦 見 一 人 手 執 酒 器 逆 而 問 曰 
X65n1279_001:0105a19	師何方來。欲往何所。祖曰。從自心來。欲往無處。曰識	師 何 方 來 欲 往 何 所 祖 曰 從 自 心 來 欲 往 無 處 曰 識 
X65n1279_001:0105a20	我手中物否。曰觸器而負淨者。曰師識我否。曰我即	我 手 中 物 否 曰 觸 器 而 負 淨 者 曰 師 識 我 否 曰 我 即 
X65n1279_001:0105a21	不識。識即非我。七祖婆須密。因論義。謂(八祖)佛陀難提曰。	不 識 識 即 非 我 七 祖 婆 須 密 因 論 義 謂 八 祖 佛 陀 難 提 曰 
X65n1279_001:0105a22	仁者論即不義。義即不論。若擬論義。終非義論。(九祖)伏馱	仁 者 論 即 不 義 義 即 不 論 若 擬 論 義 終 非 義 論 九 祖 伏 馱 
X65n1279_001:0105a23	密多曰。父母非我親。誰是最親者。及謂香葢子偈曰。	密 多 曰 父 母 非 我 親 誰 是 最 親 者 及 謂 香 葢 子 偈 曰 
X65n1279_001:0105a24	真理本無名。因名顯真理。(十祖)脇尊者問(十一祖)富那夜奢曰。汝	真 理 本 無 名 因 名 顯 真 理 十 祖 脇 尊 者 問 十 一 祖 富 那 夜 奢 曰 汝 
X65n1279_001:0105b01	從何來。曰我心非往。曰汝何處住。曰我心非止。祖曰	從 何 來 曰 我 心 非 往 曰 汝 何 處 住 曰 我 心 非 止 祖 曰 
X65n1279_001:0105b02	汝不定耶。曰諸佛亦然。曰汝非諸佛。曰諸佛亦非。(十二祖)馬	汝 不 定 耶 曰 諸 佛 亦 然 曰 汝 非 諸 佛 曰 諸 佛 亦 非 十 二 祖 馬 
X65n1279_001:0105b03	鳴問曰。我欲識佛。何者即是。富那曰。汝欲識佛。不識	鳴 問 曰 我 欲 識 佛 何 者 即 是 富 那 曰 汝 欲 識 佛 不 識 
X65n1279_001:0105b04	者是。馬鳴謂(十三祖)迦毗摩羅曰。隱顯即本法。明暗元不二。	者 是 馬 鳴 謂 十 三 祖 迦 毗 摩 羅 曰 隱 顯 即 本 法 明 暗 元 不 二 
X65n1279_001:0105b05	今付悟了法。非取亦非離。迦毗謂(十四祖)龍樹曰。非隱非顯	今 付 悟 了 法 非 取 亦 非 離 迦 毗 謂 十 四 祖 龍 樹 曰 非 隱 非 顯 
X65n1279_001:0105b06	法。說是真實際。悟此隱顯法。非愚亦非智。龍樹於座	法 說 是 真 實 際 悟 此 隱 顯 法 非 愚 亦 非 智 龍 樹 於 座 
X65n1279_001:0105b07	上。現自在身。如滿月輪○。一切眾惟聞法音。不覩祖	上 現 自 在 身 如 滿 月 輪 一 切 眾 惟 聞 法 音 不 覩 祖 
X65n1279_001:0105b08	相。彼眾中有長者子。名迦那提婆。謂眾曰。識此相否。	相 彼 眾 中 有 長 者 子 名 迦 那 提 婆 謂 眾 曰 識 此 相 否 
X65n1279_001:0105b09	眾曰。目所未覩。安能辯識。提婆曰。此是尊者。現佛性	眾 曰 目 所 未 覩 安 能 辯 識 提 婆 曰 此 是 尊 者 現 佛 性 
X65n1279_001:0105b10	體相。以示我等。何以知之。葢以無相三昧。形如滿月。	體 相 以 示 我 等 何 以 知 之 葢 以 無相三昧 形 如 滿 月 
X65n1279_001:0105b11	佛性之義。廓然虗明。言訖。輪相即滅。復居本位。(十五祖)迦那	佛 性 之 義 廓 然 虗 明 言 訖 輪 相 即 滅 復 居 本 位 十 五 祖 迦 那 
X65n1279_001:0105b12	提婆。因外道論義。外曰。我欲得佛。提曰。我灼然得佛。	提 婆 因 外 道 論 義 外 曰 我 欲 得 佛 提 曰 我 灼 然 得 佛 
X65n1279_001:0105b13	外曰。汝不合得。提曰。元道我得。汝實不得。外曰。汝既	外 曰 汝 不 合 得 提 曰 元 道 我 得 汝 實 不 得 外 曰 汝 既 
X65n1279_001:0105b14	不得。云何言得。提曰。汝有我故。所以不得。我無我我。	不 得 云 何 言 得 提 曰 汝 有 我 故 所 以 不 得 我 無 我 我 
X65n1279_001:0105b15	故自當得。(十六祖)羅[目*(危(夗夕)+夫)]羅多答(十七祖)僧迦難提偈曰。我已無我故。	故 自 當 得 十 六 祖 羅 [目危夗夕夫] 羅 多 答 十 七 祖 僧 迦 難 提 偈 曰 我 已 無 我 故 
X65n1279_001:0105b16	汝須見我我。汝若師我故。知我非我我。難提聞風鈴	汝 須 見 我 我 汝 若 師 我 故 知 我 非 我 我 難 提 聞 風 鈴 
X65n1279_001:0105b17	鳴。問(十八祖)伽耶舍多曰。鈴鳴耶。風鳴耶。多曰。非風鈴鳴。我	鳴 問 十 八 祖 伽 耶 舍 多 曰 鈴 鳴 耶 風 鳴 耶 多 曰 非 風 鈴 鳴 我 
X65n1279_001:0105b18	心鳴耳。祖曰。心復誰乎。曰俱寂靜故。多入(十九祖)鳩摩羅多	心 鳴 耳 祖 曰 心 復 誰 乎 曰 俱 寂 靜 故 多 入 十 九 祖 鳩 摩 羅 多 
X65n1279_001:0105b19	舍。鳩問。是何徒眾。祖曰。是佛弟子。鳩聞佛號。心神竦	舍 鳩 問 是 何 徒 眾 祖 曰 是 佛 弟 子 鳩 聞 佛 號 心 神 竦 
X65n1279_001:0105b20	然。即時閉戶。祖良久扣其門。鳩云。此舍無人。祖云。答	然 即 時 閉 戶 祖 良 久 扣 其 門 鳩 云 此 舍 無 人 祖 云 答 
X65n1279_001:0105b21	無者誰。鳩遂開門。鳩摩羅多謂(二十祖)闍夜多曰。汝雖已信	無 者 誰 鳩 遂 開 門 鳩 摩 羅 多 謂 二 十 祖 闍 夜 多 曰 汝 雖 已 信 
X65n1279_001:0105b22	三業。而未明業從惑生。惑從識起。識依不覺。不覺依	三 業 而 未 明 業 從 惑 生 惑 從 識 起 識 依 不 覺 不 覺 依 
X65n1279_001:0105b23	心。心本清靜。無生滅。無造作。無報應。無勝負。寂寂然。	心 心 本 清 靜 無 生 滅 無 造 作 無 報 應 無 勝 負 寂 寂 然 
X65n1279_001:0105b24	靈靈然。汝若入此法門。可與諸佛同矣。一切善惡。有	靈 靈 然 汝 若 入 此 法 門 可 與諸佛同 矣 一 切 善 惡 有 
X65n1279_001:0105c01	為無為。皆如幻夢。闍夜多謂(二十一祖)婆修盤頭弟子曰。我不	為 無 為 皆 如 幻 夢 闍 夜 多 謂 二 十 一 祖 婆 修 盤 頭 弟 子 曰 我 不 
X65n1279_001:0105c02	求道。亦不顛倒。我不禮佛。亦不輕慢。我不長坐。亦不	求 道 亦 不 顛 倒 我 不 禮 佛 亦 不 輕 慢 我 不 長 坐 亦 不 
X65n1279_001:0105c03	懈怠。我不一食。亦不雜食。我不知足。亦不貪欲。心無	懈 怠 我 不 一 食 亦 不 雜 食 我 不 知 足 亦 不 貪 欲 心 無 
X65n1279_001:0105c04	所希。名之曰道。此兼叶之旨也。婆修盤頭偈曰。泡幻	所 希 名 之 曰 道 此 兼 叶 之 旨 也 婆 修 盤 頭 偈 曰 泡 幻 
X65n1279_001:0105c05	同無礙。如何不了悟。達法在其中。非今亦非古。(二十二祖)摩挐	同 無 礙 如 何 不 了 悟 達 法 在 其 中 非 今 亦 非 古 二 十 二 祖 摩 挐 
X65n1279_001:0105c06	羅曰。隨流認得性。無喜亦無憂。(二十三祖)鶴勒那因。(二十四祖)師子問。我	羅 曰 隨 流 認 得 性 無 喜 亦 無 憂 二 十 三 祖 鶴 勒 那 因 二 十 四 祖 師 子 問 我 
X65n1279_001:0105c07	欲求道。當何用心。祖曰。汝若有用。即非功德。汝若無	欲 求 道 當 何 用 心 祖 曰 汝 若 有 用 即 非 功 德 汝 若 無 
X65n1279_001:0105c08	作。即是佛事。師子偈曰。正說知見時。知見俱是心。當	作 即 是 佛 事 師 子 偈 曰 正 說 知 見 時 知 見 俱 是 心 當 
X65n1279_001:0105c09	心即知見。知見即於今。(二十五祖)婆舍斯多付法(二十六祖)不如密多。偈	心 即 知 見 知 見 即 於 今 二 十 五 祖 婆 舍 斯 多 付 法 二 十 六 祖 不 如 密 多 偈 
X65n1279_001:0105c10	曰。聖人說知見。當境無是非。我今悟真性。無道亦無	曰 聖 人 說 知 見 當 境 無 是 非 我 今 悟 真 性 無 道 亦 無 
X65n1279_001:0105c11	理。密多謂(二十七祖)般若多羅曰。真性心地藏。無頭亦無尾。應	理 密 多 謂 二 十 七 祖 般 若 多 羅 曰 真 性 心 地 藏 無 頭 亦 無 尾 應 
X65n1279_001:0105c12	緣而化物。方便呼為智。般若多羅付(東土)初祖偈曰。心地	緣 而 化 物 方 便 呼 為 智 般 若 多 羅 付 東 土 初 祖 偈 曰 心 地 
X65n1279_001:0105c13	生諸種。因事復生理。果滿菩提圓。花開世界起。(二祖)神光	生 諸 種 因 事 復 生 理 果 滿 菩 提 圓 花 開 世 界 起 二 祖 神 光 
X65n1279_001:0105c14	問此土初祖曰。我心未安。乞師安心。祖曰。將心來。吾	問 此 土 初 祖 曰 我 心 未 安 乞 師 安 心 祖 曰 將 心 來 吾 
X65n1279_001:0105c15	與汝安。曰覓心了不可得。曰與汝安心竟。(僧燦)三祖懺罪	與 汝 安 曰 覓 心 了 不 可 得 曰 與 汝 安 心 竟 僧 燦 三 祖 懺 罪 
X65n1279_001:0105c16	亦同。(道信)四祖逢一小兒。問子何姓。曰姓即有。不是常姓。	亦 同 道 信 四 祖 逢 一 小 兒 問 子 何 姓 曰 姓 即 有 不 是 常 姓 
X65n1279_001:0105c17	曰汝無姓耶。曰性空故無。度為(弘忍)五祖。五祖欲付法。神	曰 汝 無 姓 耶 曰 性 空 故 無 度 為 弘 忍 五 祖 五 祖 欲 付 法 神 
X65n1279_001:0105c18	秀偈曰。身是菩提樹。心如明鏡臺。時時勤拂拭。莫使	秀 偈 曰 身 是 菩 提 樹 心 如 明 鏡 臺 時 時 勤 拂 拭 莫 使 
X65n1279_001:0105c19	惹塵埃。(慧能)六祖曰。菩提本無樹。明鏡亦非臺。本來無一	惹 塵 埃 慧 能 六 祖 曰 菩 提 本 無 樹 明 鏡 亦 非 臺 本 來 無 一 
X65n1279_001:0105c20	物。何處惹塵埃。青原參六祖。問曰。當何所務。即不落	物 何 處 惹 塵 埃 青 原 參 六 祖 問 曰 當 何 所 務 即 不 落 
X65n1279_001:0105c21	階級。祖曰。汝曾作什麼來。曰聖諦亦不為。祖曰。落何	階 級 祖 曰 汝 曾 作 什 麼 來 曰 聖 諦 亦 不 為 祖 曰 落 何 
X65n1279_001:0105c22	階級。曰聖諦尚不為。何階級之有。石頭希遷。初參青	階 級 曰 聖 諦 尚 不 為 何 階 級 之 有 石 頭 希 遷 初 參 青 
X65n1279_001:0105c23	原。原問。子何方來。曰曹溪。曰將得甚麼來。曰未到曹	原 原 問 子 何 方 來 曰 曹 溪 曰 將 得 甚 麼 來 曰 未 到 曹 
X65n1279_001:0105c24	溪亦不失。曰若恁麼。用到曹溪作麼。曰若不到曹溪。	溪 亦 不 失 曰 若 恁 麼 用 到 曹 溪 作 麼 曰 若 不 到 曹 溪 
X65n1279_001:0106a01	爭知不失。遷又曰。曹溪大師還識和尚否。原曰。汝今	爭 知 不 失 遷 又 曰 曹 溪 大 師 還 識 和 尚 否 原 曰 汝 今 
X65n1279_001:0106a02	識吾否。曰識又爭識得。原曰。眾角雖多。一麟足矣。石	識 吾 否 曰 識 又 爭 識 得 原 曰 眾 角 雖 多 一 麟 足 矣 石 
X65n1279_001:0106a03	頭著參同契。以明暗回互。懸起曹洞宗旨。有所來矣。	頭 著 參 同 契 以 明 暗 回 互 懸 起 曹 洞 宗 旨 有 所 來 矣 
X65n1279_001:0106a04	藥山一日。在石上坐次。石頭問。汝在這裏作麼。曰一	藥 山 一 日 在 石 上 坐 次 石 頭 問 汝 在 這 裏 作 麼 曰 一 
X65n1279_001:0106a05	物也不為。曰恁麼則閑坐也。曰閑坐即為也。頭曰。汝	物 也 不 為 曰 恁 麼 則 閑 坐 也 曰 閑 坐 即 為 也 頭 曰 汝 
X65n1279_001:0106a06	道不為。不為個甚麼。曰千聖亦不識。頭以偈讚曰。從	道 不 為 不 為 個 甚 麼 曰 千 聖 亦 不 識 頭 以 偈 讚 曰 從 
X65n1279_001:0106a07	來共住不知名。任運相將祇麼行。自古上賢猶不識。	來 共 住 不 知 名 任 運 相 將 祇 麼 行 自 古 上 賢 猶 不 識 
X65n1279_001:0106a08	造次凡流豈可明。頭埀語曰。言語動用沒交涉。師曰。	造 次 凡 流 豈 可 明 頭 埀 語 曰 言 語 動 用 沒 交 涉 師 曰 
X65n1279_001:0106a09	非言語動用亦沒交涉。頭曰。我這裏針劄不入。師曰。	非 言 語 動 用 亦 沒 交 涉 頭 曰 我 這 裏 針 劄 不 入 師 曰 
X65n1279_001:0106a10	我這裏如石上栽花。雲岩曇晟禪師。於藥山悟後。煎	我 這 裏 如 石 上 栽 花 雲 岩 曇 晟 禪 師 於 藥 山 悟 後 煎 
X65n1279_001:0106a11	茶次。道吾問。煎與阿誰。師曰。有一人要。曰何不教伊	茶 次 道 吾 問 煎 與 阿 誰 師 曰 有 一 人 要 曰 何 不 教 伊 
X65n1279_001:0106a12	自煎。師曰。幸有某甲在。上堂曰。有個人家兒子。問著	自 煎 師 曰 幸 有 某 甲 在 上 堂 曰 有 個 人 家 兒 子 問 著 
X65n1279_001:0106a13	無有道不得底。洞山出問。他屋裏有多少典籍。師曰。	無 有 道 不 得 底 洞 山 出 問 他 屋 裏 有 多 少 典 籍 師 曰 
X65n1279_001:0106a14	一字也無。曰爭得恁麼多知。曰日夜不曾眠。洞山於	一 字 也 無 曰 爭 得 恁 麼 多 知 曰 日 夜 不 曾 眠 洞 山 於 
X65n1279_001:0106a15	無眼耳鼻舌身意。不覺捫面。問師。既聞水鳥樹林念	無 眼 耳 鼻 舌 身 意 不 覺 捫 面 問 師 既 聞 水 鳥 樹 林 念 
X65n1279_001:0106a16	佛。猛省無情說法。邈師真於良久。覩渠面于水中。跌	佛 猛 省 無 情 說 法 邈 師 真 於 良 久 覩 渠 面 于 水 中 跌 
X65n1279_001:0106a17	倒幻人。拾起縛草。向泠路上熱閙。於爐炭裏凝水。藏	倒 幻 人 拾 起 縛 草 向 泠 路 上 熱 閙 於 爐 炭 裏 凝 水 藏 
X65n1279_001:0106a18	身無影。只見其聲。全體現前。不逢其面。毒龍蟠處水	身 無 影 只 見 其 聲 全 體 現 前 不 逢 其 面 毒 龍 蟠 處 水 
X65n1279_001:0106a19	偏清。頑石堆頭雲欲起。銀碗盛雪。氷花與火焰齊輝。	偏 清 頑 石 堆 頭 雲 欲 起 銀 碗 盛 雪 氷 花 與 火 焰 齊 輝 
X65n1279_001:0106a20	挾後位而攢踴。黑夜烏鷄。舜惹與虗空都碎。帶共功	挾 後 位 而 攢 踴 黑 夜 烏 鷄 舜 惹 與 虗 空 都 碎 帶 共 功 
X65n1279_001:0106a21	而不斷。五子同歸一父。那知祖業之崇。四臣咸戴一	而 不 斷 五 子 同 歸 一 父 那 知 祖 業 之 崇 四 臣 咸 戴 一 
X65n1279_001:0106a22	君。豈謂上皇之治。五位分而盡了不了。薪火既滅。世	君 豈 謂 上 皇 之 治 五 位 分 而 盡 了 不 了 薪 火 既 滅 世 
X65n1279_001:0106a23	界方炎。一位圓而無圓之圓。花木摧殘。陽春常滿。見	界 方 炎 一 位 圓 而 無 圓 之 圓 花 木 摧 殘 陽 春 常 滿 見 
