X32n0615_001:0001a03	妙法蓮華經綸貫	妙法蓮華 經 綸 貫 
X32n0615_001:0003b02	就此翻五含五各具教行理三教即世界悉檀行即	就 此 翻 五 含 五 各 具 教 行 理 三 教 即 世界悉檀 行 即 
X32n0615_001:0003b03	為人對治二種悉檀理即第一義悉檀也又此方聖	為 人 對 治 二 種 悉 檀 理 即 第一義悉檀 也 又 此 方 聖 
X32n0615_001:0003b04	說為經經者訓法訓常法以軌持為義教可軌行可	說 為 經 經 者 訓 法 訓 常 法 以 軌 持 為 義 教 可 軌 行 可 
X32n0615_001:0003b05	軌理可軌故名為法常者不變為義天魔外道不能	軌 理 可 軌 故 名 為 法 常 者 不 變 為 義 天 魔 外 道 不 能 
X32n0615_001:0003b06	改壞即教常真正無雜無能踰過即行常湛然不動	改 壞 即 教 常 真 正 無 雜 無 能 踰 過 即 行 常 湛然不動 
X32n0615_001:0003b07	決無異趣即理常也二實相為體者經云今佛放光	決 無 異 趣 即 理 常 也 二 實 相 為 體 者 經 云 今 佛 放 光 
X32n0615_001:0003b08	明助發實相義又云諸法實相義已為汝等說又云	明 助 發 實 相 義 又 云 諸法實相 義 已 為 汝 等 說 又 云 
X32n0615_001:0003b09	惟佛與佛乃能究盡諸法實相又云諸佛法久後要	惟 佛 與 佛 乃 能 究 盡 諸法實相 又 云 諸 佛 法 久 後 要 
X32n0615_001:0003b10	當說真實又云我以相嚴身為說實相印又云開方	當 說 真 實 又 云 我 以 相 嚴 身 為 說 實 相 印 又 云 開 方 
X32n0615_001:0003b11	便門示真實相又云觀諸法實相故知諸佛為一大	便 門 示 真 實 相 又 云 觀 諸法實相 故 知 諸 佛 為 一 大 
X32n0615_001:0003b12	事因緣出現於世秖令眾生開佛知見見此一實非	事 因 緣 出 現 於 世 秖 令 眾 生 開 佛 知 見 見 此 一 實 非 
X32n0615_001:0003b13	因非果之理耳三一乘因果為宗者此經始從序品	因 非 果 之 理 耳 三 一 乘 因 果 為 宗 者 此 經 始 從 序 品 
X32n0615_001:0003b14	訖安樂行品破廢方便開顯真實佛之知見亦明弟	訖 安樂行品 破 廢 方 便 開 顯 真 實 佛 之 知 見 亦 明 弟 
X32n0615_001:0003b15	子實因實果亦明師門權因權果文義雖廣撮其樞	子 實 因 實 果 亦 明 師 門 權 因 權 果 文 義 雖 廣 撮 其 樞 
X32n0615_001:0003b16	要為成弟子實因實果因正果傍故於前段明迹因	要 為 成 弟 子 實 因 實 果 因 正 果 傍 故 於 前 段 明 迹 因 
X32n0615_001:0003b17	迹果也從涌出品訖勸發品發迹顯本廢方便之近	迹 果 也 從 涌 出 品 訖 勸 發 品 發 迹 顯 本 廢 方 便 之 近 
X32n0615_001:0003b18	壽明長遠之實果亦明弟子實因實果亦明師門實	壽 明 長 遠 之 實 果 亦 明 弟 子 實 因 實 果 亦 明 師 門 實 
X32n0615_001:0003b19	因實果而顯師之實果果正因傍故於後段明本因	因 實 果 而 顯 師 之 實 果 果 正 因 傍 故 於 後 段 明 本 因 
X32n0615_001:0003b20	本果也四斷疑生信為用者迹門用佛菩提二智斷	本 果 也 四 斷 疑 生 信 為 用 者 迹 門 用 佛 菩 提 二 智 斷 
X32n0615_001:0003b21	七種方便最大無明同入圓因本門破執近迹之情	七 種 方 便 最 大 無 明 同 入 圓 因 本 門 破 執 近 迹 之 情 
X32n0615_001:0003b22	生於本地深信乃至等覺亦令斷疑生信也五無上	生 於 本 地 深 信 乃 至 等 覺 亦 令 斷 疑 生 信 也 五 無 上 
X32n0615_001:0003b23	醍醐為教相者五時譬喻略如前說若華嚴初逗圓	醍 醐 為 教 相 者 五 時 譬 喻 略 如 前 說 若 華 嚴 初 逗 圓 
X32n0615_001:0003b24	別之機高山先照直明次第不次第修行地上住上	別 之 機 高 山 先 照 直 明 次 第 不 次 第 修 行 地 上 住 上 
X32n0615_001:0003c01	之功德不辯如來說頓之意若四阿含通說無常知	之 功 德 不 辯 如 來 說 頓 之 意 若 四 阿 含 通 說 無 常 知 
X32n0615_001:0003c02	苦斷集證滅修道不明如來曲巧施小之意若諸方	苦 斷 集 證 滅 修 道 不 明 如 來 曲 巧 施 小 之 意 若 諸 方 
X32n0615_001:0003c03	等拆小彈偏褒圓歎大慈悲行願事理殊絕不明並	等 拆 小 彈 偏 褒 圓 歎 大 慈 悲 行 願 事 理 殊 絕 不 明 並 
X32n0615_001:0003c04	對訶讚之意若般若共則三人同入別則菩薩獨進	對 訶 讚 之 意 若 般 若 共 則 三 人 同 入 別 則 菩 薩 獨 進 
X32n0615_001:0003c05	廣歷陰入盡淨虗融亦不明共別之意若涅槃在後	廣 歷 陰 入 盡 淨 虗 融 亦 不 明 共 別 之 意 若 涅 槃 在 後 
X32n0615_001:0003c06	略斥三修粗點五味亦不委說如來置教原始要結	略 斥 三 修 粗 點 五 味 亦 不 委 說 如 來 置 教 原 始 要 結 
X32n0615_001:0003c07	之終凡此諸經皆是逗會他意令他得益不譚佛意	之 終 凡 此 諸 經 皆 是 逗 會 他 意 令 他 得 益 不 譚 佛 意 
X32n0615_001:0003c08	意趣何之今經不爾舉凡法門綱目大小觀法十力	意 趣 何 之 今 經 不 爾 舉 凡 法 門 綱 目 大 小 觀 法 十 力 
X32n0615_001:0003c09	無畏種種規矩皆所不論為前經已說故但論如來	無 畏 種 種 規 矩 皆 所 不 論 為 前 經 已 說 故 但 論 如 來 
X32n0615_001:0003c10	布教之元始中間取與漸頓適時大事因緣究竟終	布 教 之 元 始 中 間 取 與 漸 頓 適 時 大 事 因 緣 究 竟 終 
X32n0615_001:0003c11	訖當知此經惟論設教大綱不委微細網目譬如算	訖 當 知 此 經 惟 論 設 教 大 綱 不 委 微 細 網 目 譬 如 算 
X32n0615_001:0003c12	者初下後除紀定大數不存斗斛秖為深論聖教妙	者 初 下 後 除 紀 定 大 數 不 存 斗 斛 秖 為 深 論 聖 教 妙 
X32n0615_001:0003c13	說聖心近會圓因遠申本果所以請疑不已若能精	說 聖 心 近 會 圓 因 遠 申 本 果 所 以 請 疑 不 已 若 能 精 
X32n0615_001:0003c14	知教相則識如來權實二智也經文二十八品智者	知 教 相 則 識 如 來 權 實 二 智 也 經 文 二 十 八 品 智 者 
X32n0615_001:0003c15	大師分為三分初品為序方便品訖分別功德十九	大 師 分 為 三 分 初 品 為 序 方 便 品 訖 分 別 功 德 十 九 
X32n0615_001:0003c16	行偈凡十五品半名正宗從偈後盡經凡十一品半	行 偈 凡 十 五 品 半 名 正 宗 從 偈 後 盡 經 凡 十 一 品 半 
X32n0615_001:0003c17	名流通又一時分為二從序至安樂行十四品約迹	名 流 通 又 一 時 分 為 二 從 序 至 安 樂 行 十 四 品 約 迹 
X32n0615_001:0003c18	開權顯實從涌出訖經十四品約本開近顯遠本迹	開 權 顯 實 從 涌 出 訖 經 十 四 品 約 本 開近顯遠 本 迹 
X32n0615_001:0003c19	各序正流通初品為序方便訖授學無學人記品為	各 序 正 流 通 初 品 為 序 方 便 訖 授 學 無 學 人 記 品 為 
X32n0615_001:0003c20	正法師訖安樂行為流通涌出訖彌勒已問斯事佛	正 法 師 訖 安 樂 行 為 流 通 涌 出 訖 彌 勒 已 問 斯 事 佛 
X32n0615_001:0003c21	今答之半品為序從佛告阿逸多下訖分別功德品	今 答 之 半 品 為 序 從 佛 告 阿 逸 多 下 訖 分 別 功 德 品 
X32n0615_001:0003c22	偈為正此後盡經為流通初序有通有別通則總冠	偈 為 正 此 後 盡 經 為 流 通 初 序 有 通 有 別 通 則 總 冠 
X32n0615_001:0003c23	兩門別則發起三周正說後之流通有勸持有囑累	兩 門 別 則 發 起 三 周 正 說 後 之 流 通 有 勸 持 有 囑 累 
X32n0615_001:0003c24	勸則別約本門囑則通囑全部大經迹門後五品但	勸 則 別 約 本 門 囑 則 通 囑 全 部 大 經 迹 門 後 五 品 但 
X32n0615_001:0004a01	是勸持迹門本門初序分但是發起本門。	是 勸 持 迹 門 本 門 初 序 分 但 是 發 起 本 門 
X32n0615_001:0004a02	初序品者次也由也述也如是等六義證信冠於經	初 序 品 者 次 也 由 也 述 也 如 是 等 六 義 證 信 冠 於 經 
X32n0615_001:0004a03	首次序也放光六瑞發起之端由序也問答釋疑正	首 次 序 也 放 光 六 瑞 發 起 之 端 由 序 也 問 答 釋 疑 正 
X32n0615_001:0004a04	說弄引敘述也故名序品次方便品以下凡有三周	說 弄 引 敘 述 也 故 名 序 品 次 方 便 品 以 下 凡 有 三 周 
X32n0615_001:0004a05	說法今方便品作三乘一乘說名法說一周上根得	說 法 今 方 便 品 作 三 乘 一 乘 說 名 法 說 一 周 上 根 得 
X32n0615_001:0004a06	悟授舍利弗記次譬喻品作三車一車說名譬說一	悟 授 舍 利 弗 記 次 譬 喻 品 作 三 車 一 車 說 名 譬 說 一 
X32n0615_001:0004a07	周中根得悟授四大弟子記次化城喻品明宿世結	周 中 根 得 悟 授 四 大 弟 子 記 次 化 城 喻 品 明 宿 世 結 
X32n0615_001:0004a08	緣事竟重作三百由旬五百由旬說名因緣說一周	緣 事 竟 重 作 三 百 由 旬 五 百 由 旬 說 名 因 緣 說 一 周 
X32n0615_001:0004a09	下根得悟授五百及二千人記此即迹門開權顯實	下 根 得 悟 授 五 百 及 二 千 人 記 此 即 迹 門 開 權 顯 實 
X32n0615_001:0004a10	之正宗也。	之 正 宗 也 
X32n0615_001:0004a11	言方便品者略為三解一曰方者法也便者用也善	言 方 便 品 者 略 為 三 解 一 曰 方 者 法 也 便 者 用 也 善 
X32n0615_001:0004a12	用偏法巧逗眾生名為方便此可釋他經非今品意	用 偏 法 巧 逗 眾 生 名 為 方 便 此 可 釋 他 經 非 今 品 意 
X32n0615_001:0004a13	二曰方便者門也門名能通通於所通方便為真實	二 曰 方 便 者 門 也 門 名 能 通 通 於 所 通 方 便 為 真 實 
X32n0615_001:0004a14	作門真實得顯功由方便此亦可釋他經非今品意	作 門 真 實 得 顯 功 由 方 便 此 亦 可 釋 他 經 非 今 品 意 
X32n0615_001:0004a15	三曰方者秘也便者妙也妙達於方即是真秘點內	三 曰 方 者 秘 也 便 者 妙 也 妙 達 於 方 即 是 真 秘 點 內 
X32n0615_001:0004a16	衣裏無價之珠與王頂上惟有一珠無二無別指客	衣 裏 無 價 之 珠 與 王 頂 上 惟 有 一 珠 無 二 無 別 指 客 
X32n0615_001:0004a17	作人是長者子亦無二無別如斯之言是秘是妙正	作 人 是 長 者 子 亦 無 二 無 別 如 斯 之 言 是 秘 是 妙 正 
X32n0615_001:0004a18	是今品意也此品正開三乘之權顯一乘之實於中	是 今 品 意 也 此 品 正 開 三 乘 之 權 顯 一 乘 之 實 於 中 
X32n0615_001:0004a19	有略有廣略則動執生疑廣則斷疑生信略中要旨	有 略 有 廣 略 則 動 執 生 疑 廣 則 斷 疑 生 信 略 中 要 旨 
X32n0615_001:0004a20	不出唯佛與佛乃能究盡諸法實相數語乃一經之	不 出 唯 佛 與 佛 乃 能 究 盡 諸法實相 數 語 乃 一 經 之 
X32n0615_001:0004a21	弘綱眾義之淵府南嶽大師約義三轉讀之一者是	弘 綱 眾 義 之 淵 府 南 嶽 大 師 約 義 三 轉 讀 之 一 者 是 
X32n0615_001:0004a22	相如是性如乃至是報如如名不異即空義也二者	相 如 是 性 如 乃 至 是 報 如 如 名 不 異 即 空 義 也 二 者 
X32n0615_001:0004a23	如是相如是性乃至如是報點空相性名字施設迤	如 是 相 如 是 性 乃 至 如 是 報 點 空 相 性 名 字 施 設 迤 
X32n0615_001:0004a24	邐不同即假義也三者相如是性如是乃至報如是	邐 不 同 即 假 義 也 三 者 相 如 是 性 如 是 乃 至 報 如 是 
X32n0615_001:0004b01	如於中道實相之是即中義也分別令易解故明空	如 於 中 道 實 相 之 是 即 中 義 也 分 別 令 易 解 故 明 空 
X32n0615_001:0004b02	假中得意為言空即假中約如明空一空一切空點	假 中 得 意 為 言 空 即 假 中 約 如 明 空 一 空 一 切 空 點 
X32n0615_001:0004b03	如明相一假一切假就是論中一中一切中非一二	如 明 相 一 假 一 切 假 就 是 論 中 一 中 一 切 中 非 一 二 
X32n0615_001:0004b04	三而一二三不縱不橫名為實相唯佛與佛究盡此	三 而 一 二 三 不 縱 不 橫 名 為 實 相 唯 佛 與 佛 究 盡 此 
X32n0615_001:0004b05	法是十法攝一切法智者大師復約四番釋之一約	法 是 十 法 攝 一 切 法 智 者 大 師 復 約 四 番 釋 之 一 約 
X32n0615_001:0004b06	十界二約佛界三約離合四約位一約十界者謂六	十 界 二 約 佛 界 三 約 離 合 四 約 位 一 約 十 界 者 謂 六 
X32n0615_001:0004b07	道四聖也法雖無量數不出十一一界中雖復多派	道 四 聖 也 法 雖 無 量 數 不 出 十 一一界中 雖 復 多 派 
X32n0615_001:0004b08	不出十如如地獄界當地自具相性本末亦具畜生	不 出 十 如 如 地 獄 界 當 地 自 具 相 性 本 末 亦 具 畜 生 
X32n0615_001:0004b09	界相性本末乃至具佛法界相性本末無有缺減當	界 相 性 本 末 乃 至 具 佛 法 界 相 性 本 末 無 有 缺 減 當 
X32n0615_001:0004b10	知一一界皆有餘九界十如若照自位九界十如皆	知 一 一 界 皆 有 餘 九 界 十 如 若 照 自 位 九 界 十 如 皆 
X32n0615_001:0004b11	名為權照其自位佛界十如名之為實一中具無量	名 為 權 照 其 自 位 佛 界 十 如 名 之 為 實 一 中 具 無 量 
X32n0615_001:0004b12	無量中具一所以名為不可思議凡夫雖具絕理情	無 量 中 具 一 所 以 名 為 不可思議 凡 夫 雖 具 絕 理 情 
X32n0615_001:0004b13	迷二乘雖具捨離求脫菩薩雖具照則不周名不了	迷 二 乘 雖 具 捨 離 求 脫 菩 薩 雖 具 照 則 不 周 名 不 了 
X32n0615_001:0004b14	了如來洞覽橫豎具足二約佛法界釋者佛界非相	了 如 來 洞 覽 橫 豎 具 足 二 約 佛 法 界 釋 者 佛 界 非 相 
X32n0615_001:0004b15	非不相而名如是相指萬善緣因故下文云眾寶莊	非 不 相 而 名 如 是 相 指 萬 善 緣 因 故 下 文 云 眾 寶 莊 
X32n0615_001:0004b16	挍佛界非性非不性而名如是性指智慧了因故下	挍 佛 界 非 性 非 不 性 而 名 如 是 性 指 智 慧 了 因 故 下 
X32n0615_001:0004b17	文云有大白牛佛界非體非不體而名如是體指實	文 云 有 大 白 牛 佛 界 非 體 非 不 體 而 名 如 是 體 指 實 
X32n0615_001:0004b18	相正因故下文云其車高廣佛界非力非不力而名	相 正 因 故 下 文 云 其 車 高 廣 佛 界 非 力 非 不 力 而 名 
X32n0615_001:0004b19	如是力指菩提道心慈善根力等故下文云又於其	如 是 力 指 菩 提 道 心 慈 善 根 力 等 故 下 文 云 又 於 其 
X32n0615_001:0004b20	上張設幰蓋佛界非作非不作而名如是作指任運	上 張 設 幰 蓋 佛 界 非 作 非 不 作 而 名 如 是 作 指 任 運 
X32n0615_001:0004b21	無功用道故下文云其疾如風佛界非因非不因而	無 功 用 道 故 下 文 云 其 疾 如 風 佛 界 非 因 非 不 因 而 
X32n0615_001:0004b22	名如是因指四十一位故下文云乘是寶乘遊于四	名 如 是 因 指 四 十 一 位 故 下 文 云 乘 是 寶 乘 遊 于 四 
X32n0615_001:0004b23	方佛界非緣非不緣而名如是緣指一切助菩提道	方 佛 界 非 緣 非 不 緣 而 名 如 是 緣 指 一 切 助 菩 提 道 
X32n0615_001:0004b24	故下文云又多僕從而侍衛之佛界非果非不果而	故 下 文 云 又 多 僕 從 而 侍 衛 之 佛 界 非 果 非 不 果 而 
X32n0615_001:0004c01	名如是果指妙覺朗然圓因所尅故下文云直至道	名 如 是 果 指 妙 覺 朗 然 圓 因 所 尅 故 下 文 云 直 至 道 
X32n0615_001:0004c02	場佛界非報非不報而名如是報指大般涅槃故下	場 佛 界 非 報 非 不 報 而 名 如 是 報 指 大 般 涅 槃 故 下 
X32n0615_001:0004c03	文云得無量無漏清淨之果報佛界非本非末而言	文 云 得 無 量 無 漏 清 淨 之 果 報 佛 界 非 本 非 末 而 言 
X32n0615_001:0004c04	本末本即佛相末即佛報是自行之權佛界非等非	本 末 本 即 佛 相 末 即 佛 報 是 自 行 之 權 佛 界 非 等 非 
X32n0615_001:0004c05	不等而言究竟等指於實相是自行之實即實而權	不 等 而 言 究 竟 等 指 於 實 相 是 自 行 之 實 即 實 而 權 
X32n0615_001:0004c06	故言本末即權而實故言為等三約離合者若佛心	故 言 本 末 即 權 而 實 故 言 為 等 三 約 離 合 者 若 佛 心 
X32n0615_001:0004c07	中所觀十界十如皆無上相乃至無上果報惟是一	中 所 觀 十 界 十 如 皆 無 上 相 乃 至 無 上 果 報 惟 是 一 
X32n0615_001:0004c08	佛法界如海總萬流千車共轍此即自行權實若隨	佛 法 界 如 海 總 萬 流 千 車 共 轍 此 即 自 行 權 實 若 隨 
X32n0615_001:0004c09	他意則有九法界十如相性等即是化他權實化他	他 意 則 有 九 法 界 十 如 相 性 等 即 是 化 他 權 實 化 他 
X32n0615_001:0004c10	雖復有實皆束為權自行雖復有權皆束為實此即	雖 復 有 實 皆 束 為 權 自 行 雖 復 有 權 皆 束 為 實 此 即 
X32n0615_001:0004c11	自行化他權實隨他則開隨自則合橫豎周照開合	自 行 化 他 權 實 隨 他 則 開 隨 自 則 合 橫 豎 周 照 開 合 
X32n0615_001:0004c12	自在四約位釋如是相者一切眾生皆有實相本自	自 在 四 約 位 釋 如 是 相 者 一 切 眾 生 皆 有 實 相 本 自 
X32n0615_001:0004c13	有之乃是如來藏之相貌也如是性即是性德智慧	有 之 乃 是 如 來 藏 之 相 貌 也 如 是 性 即 是 性 德 智 慧 
X32n0615_001:0004c14	第一義空也如是體即是中道法性之理也是為三	第一義空 也 如 是 體 即 是 中 道 法 性 之 理 也 是 為 三 
X32n0615_001:0004c15	德通十法界位位皆有若研此三德入於十信位則	德 通 十 法 界 位 位 皆 有 若 研 此 三 德 入 於 十 信 位 則 
X32n0615_001:0004c16	名如是力如是作入四十一位名如是因如是緣若	名 如 是 力 如 是 作 入 四 十 一 位 名 如 是 因 如 是 緣 若 
X32n0615_001:0004c17	至佛地名如是果如是報初三名本後三名末初後	至 佛 地 名 如 是 果 如 是 報 初 三 名 本 後 三 名 末 初 後 
X32n0615_001:0004c18	同是三德故言究竟等也廣開三顯一中雖徧引十	同 是 三 德 故 言 究 竟 等 也 廣 開 三 顯 一 中 雖 徧 引 十 
X32n0615_001:0004c19	方三世佛佛道同總不出於四一所謂理一人一行	方 三 世 佛 佛 道 同 總 不 出 於 四 一 所 謂 理 一 人 一 行 
X32n0615_001:0004c20	一教一理一者約開示悟入佛之知見明之復約四	一 教 一 理 一 者 約 開 示 悟 入 佛 之 知 見 明 之 復 約 四 
X32n0615_001:0004c21	意一約圓位二約圓智三約圓門四約觀心一約圓	意 一 約 圓 位 二 約 圓 智 三 約 圓 門 四 約 觀 心 一 約 圓 
X32n0615_001:0004c22	位者開即十住初破無明開如來藏見實相理示即	位 者 開 即 十 住 初 破 無 明 開 如 來 藏 見 實 相 理 示 即 
X32n0615_001:0004c23	十行惑障既除知見體顯體備萬德法界眾德顯示	十 行 惑 障 既 除 知 見 體 顯 體 備 萬 德 法 界 眾 德 顯 示 
X32n0615_001:0004c24	分明悟即十迴向障除體顯法界行明事理融通更	分 明 悟 即 十 迴 向 障 除 體 顯 法 界 行 明 事 理 融 通 更 
X32n0615_001:0005a01	無二趣入即十地事理既融自在無礙自在流注任	無 二 趣 入 即 十 地 事 理 既 融 自在無礙 自 在 流 注 任 
X32n0615_001:0005a02	運從阿到茶入薩婆若海然圓道妙位一位之中即	運 從 阿 到 茶 入 薩 婆 若 海 然 圓 道 妙 位 一 位 之 中 即 
X32n0615_001:0005a03	具四十一地功德秖開即具示悟入等更非異心但	具 四 十 一 地 功 德 秖 開 即 具 示 悟 入 等 更 非 異 心 但 
X32n0615_001:0005a04	如理知見無有分別淺深之相欲顯如量知見故分	如 理 知 見 無有分別 淺 深 之 相 欲 顯 如 量 知 見 故 分 
X32n0615_001:0005a05	別四位耳二約圓智者一道慧見道實性實性中得	別 四 位 耳 二 約 圓 智 者 一 道 慧 見 道 實 性 實 性 中 得 
X32n0615_001:0005a06	開佛知見二道種慧知十法界諸道種別解惑之相	開 佛 知 見 二 道 種 慧 知 十 法 界 諸 道 種 別 解 惑 之 相 
X32n0615_001:0005a07	一一皆示佛知見三一切智知一切法一相寂滅寂	一 一 皆 示 佛 知 見 三 一 切 智 知一切法 一 相 寂 滅 寂 
X32n0615_001:0005a08	滅即悟佛知見四一切種智知一切法一相寂滅相	滅 即 悟 佛 知 見 四 一切種智 知一切法 一 相 寂 滅 相 
X32n0615_001:0005a09	種種行類相貌皆識即入佛知見又道慧如理名開	種 種 行 類 相 貌 皆 識 即 入 佛 知 見 又 道 慧 如 理 名 開 
X32n0615_001:0005a10	道種慧如量名示一切智理量不二稱悟一切種智	道 種 慧 如 量 名 示 一 切 智 理 量 不 二 稱 悟 一切種智 
X32n0615_001:0005a11	理量雙照為入此亦約實理無淺深中而淺深分別	理 量 雙 照 為 入 此 亦 約 實 理 無 淺 深 中 而 淺 深 分 別 
X32n0615_001:0005a12	也三約圓教四門橫釋四句者空門一空一切空即	也 三 約 圓 教 四 門 橫 釋 四 句 者 空 門 一 空 一 切 空 即 
X32n0615_001:0005a13	開佛知見也有門一有一切有即示佛知見亦空亦	開 佛 知 見 也 有 門 一 有 一 切 有 即 示 佛 知 見 亦 空 亦 
X32n0615_001:0005a14	有門一切亦空亦有即悟佛知見非空非有門一切	有 門 一 切 亦 空 亦 有 即 悟 佛 知 見 非 空 非 有 門 一 切 
X32n0615_001:0005a15	非空非有即入佛知見能通則四所通則一開示悟	非 空 非 有 即 入 佛 知 見 能 通 則 四 所 通 則 一 開 示 悟 
X32n0615_001:0005a16	入是能通之門所知所見是所通之理也四約觀心	入 是 能 通 之 門 所 知 所 見 是 所 通 之 理 也 四 約 觀 心 
X32n0615_001:0005a17	釋者觀於心性三諦之理不可思議此觀明淨為開	釋 者 觀 於 心 性 三 諦 之 理 不可思議 此 觀 明 淨 為 開 
X32n0615_001:0005a18	雖不可思議而能分別空假中心宛然無濫名示空	雖 不可思議 而 能 分 別 空 假 中 心 宛 然 無 濫 名 示 空 
X32n0615_001:0005a19	假中心即三而一即一而三名悟空假中心非空假	假 中 心 即 三 而 一 即 一 而 三 名 悟 空 假 中 心 非 空 假 
X32n0615_001:0005a20	中而齊照空假中名入是為一心三觀而分開示悟	中 而 齊 照 空 假 中 名 入 是 為 一 心 三 觀 而 分 開 示 悟 
X32n0615_001:0005a21	入之殊也所以四種釋者見理由位位立由智智發	入 之 殊 也 所 以 四 種 釋 者 見 理 由 位 位 立 由 智 智 發 
X32n0615_001:0005a22	由門門通由觀觀故則門通門通故智成智成故位	由 門 門 通 由 觀 觀 故 則 門 通 門 通 故 智 成 智 成 故 位 
X32n0615_001:0005a23	立位立故理見見理故名為理一也諸佛如來但教	立 位 立 故 理 見 見 理 故 名 為 理 一 也 諸佛如來 但 教 
X32n0615_001:0005a24	化菩薩即是人一諸有所作常為一事即是行一但	化 菩 薩 即 是 人 一 諸 有 所 作 常 為 一 事 即 是 行 一 但 
X32n0615_001:0005b01	以一佛乘故為眾生說法即是教一此之四一徧會	以 一 佛 乘 故 為 眾 生 說 法 即 是 教 一 此 之 四 一 徧 會 
X32n0615_001:0005b02	昔日權理權人權行權教成今實理實人實行實教	昔 日 權 理 權 人 權 行 權 教 成 今 實 理 實 人 實 行 實 教 
X32n0615_001:0005b03	故名開權顯實妙達於方即是真秘也。	故 名 開 權 顯 實 妙 達 於 方 即 是 真 秘 也 
X32n0615_001:0005b04	第三譬喻品者比況名譬曉訓名喻托此比彼寄淺	第 三 譬 喻 品 者 比 況 名 譬 曉 訓 名 喻 托 此 比 彼 寄 淺 
X32n0615_001:0005b05	訓深前文法說一周上根獲悟中下之流抱迷未遣	訓 深 前 文 法 說 一 周 上 根 獲 悟 中 下 之 流 抱 迷 未 遣 
X32n0615_001:0005b06	大悲不已巧智無邊借世間父子以況出世師弟借	大 悲 不 已 巧 智 無 邊 借 世 間 父 子 以 況 出 世 師 弟 借 
X32n0615_001:0005b07	火宅以喻三界借三車一車以喻三乘一乘故名譬	火 宅 以 喻 三 界 借 三 車 一 車 以 喻 三 乘 一 乘 故 名 譬 
X32n0615_001:0005b08	喻品也。	喻 品 也 
X32n0615_001:0005b09	第四信解品者中根聞譬說一周信發解生疑去理	第 四 信 解 品 者 中 根 聞 譬 說 一 周 信 發 解 生 疑 去 理 
X32n0615_001:0005b10	明乃自陳窮子之喻領上法譬二周之旨也。	明 乃 自 陳 窮 子 之 喻 領 上 法 譬 二 周 之 旨 也 
X32n0615_001:0005b11	第五藥草喻品者土地是能生雲雨是能潤草木是	第 五 藥 草 喻 品 者 土 地 是 能 生 雲 雨 是 能 潤 草 木 是 
X32n0615_001:0005b12	所生所潤所生所潤通皆有用而藥草用強喻有漏	所 生 所 潤 所 生 所 潤 通 皆 有 用 而 藥 草 用 強 喻 有 漏 
X32n0615_001:0005b13	諸善悉能除惡而無漏為最無漏眾中四大弟子以	諸 善 悉 能 除 惡 而 無 漏 為 最 無 漏 眾 中 四 大 弟 子 以 
X32n0615_001:0005b14	譬領佛譬深會聖心佛故述成而推廣之。	譬 領 佛 譬 深 會 聖 心 佛 故 述 成 而 推 廣 之 
X32n0615_001:0005b15	第六授記品者梵語和伽羅此云授記又云受記受	第 六 授 記 品 者 梵 語 和 伽 羅 此 云 授 記 又 云 受 記 受 
X32n0615_001:0005b16	決受莂授是與義受是得義記是記事決是決定莂	決 受 莂 授 是 與 義 受 是 得 義 記 是 記 事 決 是 決 定 莂 
X32n0615_001:0005b17	是了莂此即授中根四人成佛記也。	是 了 莂 此 即 授 中 根 四 人 成 佛 記 也 
X32n0615_001:0005b18	第七化城喻品者無而歘有名化防非禦歒稱城以	第 七 化 城 喻 品 者 無 而 歘 有 名 化 防 非 禦 歒 稱 城 以 
X32n0615_001:0005b19	喻二乘涅槃乃如來權智所為也以權智力無而說	喻 二 乘 涅 槃 乃 如 來 權 智 所 為 也 以 權 智 力 無 而 說 
X32n0615_001:0005b20	有用教為化防思禦見名為涅槃若藏通二乘生安	有 用 教 為 化 防 思 禦 見 名 為 涅 槃 若 藏 通 二 乘 生 安 
X32n0615_001:0005b21	隱滅度想不知是化通教菩薩入而還出亦不知是	隱 滅 度 想 不 知 是 化 通 教 菩 薩 入 而 還 出 亦 不 知 是 
X32n0615_001:0005b22	化別教從城門徑過不以為極亦不說是化惟圓教	化 別 教 從 城 門 徑 過 不 以 為 極 亦 不 說 是 化 惟 圓 教 
X32n0615_001:0005b23	知無賊病亦不須城故言化城此正為下根人作夙	知 無 賊 病 亦 不 須 城 故 言 化 城 此 正 為 下 根 人 作 夙 
X32n0615_001:0005b24	世因緣說一周也。	世 因 緣 說 一 周 也 
X32n0615_001:0005c01	第八五百弟子受記品第九授學無學人記品即是	第 八 五 百 弟 子 受 記 品 第 九 授 學 無 學 人 記 品 即 是 
X32n0615_001:0005c02	普與下根授記作佛迹門正宗齊此此下有五品流	普 與 下 根 授 記 作 佛 迹 門 正 宗 齊 此 此 下 有 五 品 流 
X32n0615_001:0005c03	通法師寶塔兩品明弘經功深福重流通未聞利益	通 法 師 寶 塔 兩 品 明 弘 經 功 深 福 重 流 通 未 聞 利 益 
X32n0615_001:0005c04	巨大達多一品引往弘經彼我兼益以證功德深重	巨 大 達 多 一 品 引 往 弘 經 彼 我 兼 益 以 證 功 德 深 重 
X32n0615_001:0005c05	持品八萬大士忍力成就者此土弘經新得記者他	持 品 八 萬 大 士 忍 力 成 就 者 此 土 弘 經 新 得 記 者 他 
