T12n0322_001:0015a03	法鏡經序	法 鏡 經 序 
T12n0322_001:0017a27	財者以富之；諸病者以藥施之；孤獨者以	財 者 以 富 之 諸 病 者 以 藥 施 之 孤 獨 者 以 
T12n0322_001:0017a28	為家屬；無歸者以為歸；無依者以為依，為彼	為 家 屬 無 歸 者 以 為 歸 無 依 者 以 為 依 為 彼 
T12n0322_001:0017a29	一切國邑壤者，擁護經法為若此。	一 切 國 邑 壤 者 擁 護 經 法 為 若 此 
T12n0322_001:0017b01	「理家！或彼開士至一至二至三至於百，教誨	 理 家 或 彼 開 士 至 一 至 二 至 三 至 於 百 教 誨 
T12n0322_001:0017b02	人民，皆使修眾德之法。彼開士便以悲哀加	人 民 皆 使 修 眾 德 之 法 彼 開 士 便 以 悲 哀 加 
T12n0322_001:0017b03	於眾生，以強其一切繁誓之。誓其辭曰：『至	於 眾 生 以 強 其 一 切 繁 誓 之 誓 其 辭 曰 至 
T12n0322_001:0017b04	於斯難化之人民未得成就者，吾終不取無	於 斯 難 化 之 人 民 未 得 成 就 者 吾 終 不 取 無 
T12n0322_001:0017b05	上正真道。』所以者何？今我以為斯故，以誓自	上 正 真 道 所以者何 今 我 以 為 斯 故 以 誓 自 
T12n0322_001:0017b06	誓也。吾不為質直者、不以不佞諂者、不以	誓 也 吾 不 為 質 直 者 不 以 不 佞 諂 者 不 以 
T12n0322_001:0017b07	不為詐者、不以守者、不以誡有德者。諸	不 為 詐 者 不 以 守 者 不 以 誡 有 德 者 諸 
T12n0322_001:0017b08	此人故，以誓而自誓也，但為欲使斯人以聞	此 人 故 以 誓 而 自 誓 也 但 為 欲 使 斯 人 以 聞 
T12n0322_001:0017b09	經法者，以經化余。用此故，以誓而自誓也。我	經 法 者 以 經 化 余 用 此 故 以 誓 而 自 誓 也 我 
T12n0322_001:0017b10	當恒以強其精進行所，我方便為不唐苦也。	當 恒 以 強 其 精 進 行 所 我 方 便 為 不 唐 苦 也 
T12n0322_001:0017b11	若人有見者，莫不以好信。若理家至於開士	若 人 有 見 者 莫 不 以 好 信 若 理 家 至 於 開 士 
T12n0322_001:0017b12	所在家居，止其不嗟，一切之人民墮殊異	所 在 家 居 止 其 不 嗟 一 切 之 人 民 墮 殊 異 
T12n0322_001:0017b13	之惡道者，彼為開士之咎。理家！譬如鄉亭	之 惡 道 者 彼 為 開 士 之 咎 理 家 譬 如 鄉 亭 
T12n0322_001:0017b14	鄹邑郡縣國下，至於有良醫者，假使彼若	鄹 邑 郡 縣 國 下 至 於 有 良 醫 者 假 使 彼 若 
T12n0322_001:0017b15	有一人不以其壽命而終者，眾人皆為咎彼	有 一 人 不 以 其 壽 命 而 終 者 眾 人 皆 為 咎 彼 
T12n0322_001:0017b16	醫。如是理家！至於開士所居，止不嗟一	醫 如 是 理 家 至 於 開 士 所 居 止 不 嗟 一 
T12n0322_001:0017b17	切之人皆墮殊異之惡道者，如來、應儀、正真	切 之 人 皆 墮 殊 異 之 惡 道 者 如 來 應 儀 正 真 
T12n0322_001:0017b18	覺者為咎彼開士也。理家！是故居家開士	覺 者 為 咎 彼 開 士 也 理 家 是 故 居 家 開 士 
T12n0322_001:0017b19	為自誓如此也。設使我所往國邑下癡者相	為 自 誓 如 此 也 設 使 我 所 往 國 邑 下 癡 者 相 
T12n0322_001:0017b20	事，如不使一人有墮惡道者也。「又復理家！	事 如 不 使 一 人 有 墮 惡 道 者 也 又 復 理 家 
T12n0322_001:0017b21	居家修道者當曉家之惡。在于家者，為害	居 家 修 道 者 當 曉 家 之 惡 在 于 家 者 為 害 
T12n0322_001:0017b22	一切眾善之本，以家猶無出要，以害清淨	一 切 眾 善 之 本 以 家 猶 無 出 要 以 害 清 淨 
T12n0322_001:0017b23	之法，是故謂為家也。居家者謂為居于一切	之 法 是 故 謂 為 家 也 居 家 者 謂 為 居 于 一 切 
T12n0322_001:0017b24	眾勞，為居眾惡之念，為居眾惡之行，不化不	眾 勞 為 居 眾 惡 之 念 為 居 眾 惡 之 行 不 化 不 
T12n0322_001:0017b25	自守，愚凡人者為共居，與不諦人集會，是	自 守 愚 凡 人 者 為 共 居 與 不 諦 人 集 會 是 
T12n0322_001:0017b26	故謂為家也。家者為是名也，已在于彼，莫	故 謂 為 家 也 家 者 為 是 名 也 已 在 于 彼 莫 
T12n0322_001:0017b27	不作不軌之事者。以在于彼，則不恭敬，自	不 作 不 軌 之 事 者 以 在 于 彼 則 不 恭 敬 自 
T12n0322_001:0017b28	於父母息心逝心尊長眾聖者，是故謂為家	於 父 母 息 心 逝 心 尊 長 眾 聖 者 是 故 謂 為 家 
T12n0322_001:0017b29	也。縣官牢獄，考掠搒笞罵詈數勉，至于死焉	也 縣 官 牢 獄 考 掠 搒 笞 罵 詈 數 勉 至 于 死 焉 
T12n0322_001:0017c01	皆為由彼，是故謂為家也。以在于彼為入惡	皆 為 由 彼 是 故 謂 為 家 也 以 在 于 彼 為 入 惡 
T12n0322_001:0017c02	道，以在彼為墮諸欲、為墮瞋恚、為在諸畏、	道 以 在 彼 為 墮 諸 欲 為 墮 瞋 恚 為 在 諸 畏 
T12n0322_001:0017c03	為在愚癡，是謂為家也。以不慎護彼戒事，遠	為 在 愚 癡 是 謂 為 家 也 以 不 慎 護 彼 戒 事 遠 
T12n0322_001:0017c04	離為定事，以不修慧之事、不得度之事、以不	離 為 定 事 以 不 修 慧 之 事 不 得 度 之 事 以 不 
T12n0322_001:0017c05	生度知見之事、是故謂為家也。以在于彼，	生 度 知 見 之 事 是 故 謂 為 家 也 以 在 于 彼 
T12n0322_001:0017c06	即有父母愛、兄弟愛姊妹愛、婦愛子愛、舍宅	即 有 父 母 愛 兄 弟 愛 姊 妹 愛 婦 愛 子 愛 舍 宅 
T12n0322_001:0017c07	愛財產愛、兒客愛、所有愛、不厭財求之愛、	愛 財 產 愛 兒 客 愛 所 有 愛 不 厭 財 求 之 愛 
T12n0322_001:0017c08	是故謂為家也。斯居家者難滿哉！譬若大海	是 故 謂 為 家 也 斯 居 家 者 難 滿 哉 譬 若 大 海 
T12n0322_001:0017c09	眾流歸之。斯居家者不知厭哉！譬若火以得	眾 流 歸 之 斯 居 家 者 不 知 厭 哉 譬 若 火 以 得 
T12n0322_001:0017c10	薪。斯居家者多念無住息哉！譬若風以為無	薪 斯 居 家 者 多 念 無 住 息 哉 譬 若 風 以 為 無 
T12n0322_001:0017c11	住止，猶為沈沒哉。若美飲食為糅毒，所有	住 止 猶 為 沈 沒 哉 若 美 飲 食 為 糅 毒 所 有 
T12n0322_001:0017c12	一切苦哉！譬若仇怨，為似知識，誤人之行哉！	一 切 苦 哉 譬 若 仇 怨 為 似 知 識 誤 人 之 行 哉 
T12n0322_001:0017c13	非聖經之所施行，為造變爭哉！更相因緣	非 聖 經 之 所 施 行 為 造 變 爭 哉 更 相 因 緣 
T12n0322_001:0017c14	恒不和。為多疵哉！以行善惡之行，因緣之	恒 不 和 為 多 疵 哉 以 行 善 惡 之 行 因 緣 之 
T12n0322_001:0017c15	所在，恒為人所嫌疑。非人有哉！以為所有	所 在 恒 為 人 所 嫌 疑 非 人 有 哉 以 為 所 有 
T12n0322_001:0017c16	顛倒故。猶不善哉！雖善有權詐，猶見其性行。	顛 倒 故 猶 不 善 哉 雖 善 有 權 詐 猶 見 其 性 行 
T12n0322_001:0017c17	似如倡體哉！以速轉變故。似若幻師哉！初	似 如 倡 體 哉 以 速 轉 變 故 似 若 幻 師 哉 初 
T12n0322_001:0017c18	至者人為聚會，其行為不誠。似若夢哉！一切	至 者 人 為 聚 會 其 行 為 不 誠 似 若 夢 哉 一 切 
T12n0322_001:0017c19	成敗終始故。似若朝露哉！以速離故。似若蜜	成 敗 終 始 故 似 若 朝 露 哉 以 速 離 故 似 若 蜜 
T12n0322_001:0017c20	渧哉！以為少味故。似若蒺[卄/梨]網哉！色聲香	渧 哉 以 為 少 味 故 似 若 蒺 [卄梨] 網 哉 色 聲 香 
T12n0322_001:0017c21	味細滑以為所害故。似若鍼孔虫哉！以非	味 細 滑 以 為 所 害 故 似 若 鍼 孔 虫 哉 以 非 
T12n0322_001:0017c22	善念為食故。譬若違命者哉！為轉相欺故。	善 念 為 食 故 譬 若 違 命 者 哉 為 轉 相 欺 故 
T12n0322_001:0017c23	恒懷恐怖哉！為意以亂故。為多共哉！以縣官	恒 懷 恐 怖 哉 為 意 以 亂 故 為 多 共 哉 以 縣 官 
T12n0322_001:0017c24	盜賊怨家弊惡王者為害也。斯居家者，少味	盜 賊 怨 家 弊 惡 王 者 為 害 也 斯 居 家 者 少 味 
T12n0322_001:0017c25	樂哉！以為多惡失。理家！開士居家者為曉	樂 哉 以 為 多 惡 失 理 家 開 士 居 家 者 為 曉 
T12n0322_001:0017c26	家之惡若此。「又復理家！居家修道者以布施	家 之 惡 若 此 又 復 理 家 居 家 修 道 者 以 布 施 
T12n0322_001:0017c27	為寶施，若已施為我有，若在家非我有；若	為 寶 施 若 已 施 為 我 有 若 在 家 非 我 有 若 
T12n0322_001:0017c28	已施是為寶，若在家是為非寶；若已施為	已 施 是 為 寶 若 在 家 是 為 非 寶 若 已 施 為 
T12n0322_001:0017c29	富財，若在家為無財；若已施為勞解，其	富 財 若 在 家 為 無 財 若 已 施 為 勞 解 其 
T12n0322_001:0018a01	在家為勞增；若已施為不我，若在家已為	在 家 為 勞 增 若 已 施 為 不 我 若 在 家 已 為 
T12n0322_001:0018a02	我；若已施為不有，若在家以為有；若以施	我 若 已 施 為 不 有 若 在 家 以 為 有 若 以 施 
T12n0322_001:0018a03	為無盡，若在家為非常；若已施不復護，若在	為 無 盡 若 在 家 為 非 常 若 已 施 不 復 護 若 在 
T12n0322_001:0018a04	家為斯護；若已施為賢夫行，若在家為凡	家 為 斯 護 若 已 施 為 賢 夫 行 若 在 家 為 凡 
T12n0322_001:0018a05	夫之意；若已施為依度道，若在家為依邪部；	夫 之 意 若 已 施 為 依 度 道 若 在 家 為 依 邪 部 
T12n0322_001:0018a06	若已施為佛所稱，若在家為愚人所稱。理家！	若 已 施 為 佛 所 稱 若 在 家 為 愚 人 所 稱 理 家 
T12n0322_001:0018a07	開士居家修道者以布施為寶若此。是以見	開 士 居 家 修 道 者 以 布 施 為 寶 若 此 是 以 見 
T12n0322_001:0018a08	人來有所求索者，為生三想。何謂三？善友	人 來 有 所 求 索 者 為 生 三 想 何 謂 三 善 友 
T12n0322_001:0018a09	想、依度道想、勉生富財想，為生是三想。為復	想 依 度 道 想 勉 生 富 財 想 為 生 是 三 想 為 復 
T12n0322_001:0018a10	造三想。何謂三？尊如來教誡想、降伏邪想、以	造 三 想 何 謂 三 尊 如 來 教 誡 想 降 伏 邪 想 以 
T12n0322_001:0018a11	不望福德想。所以者何？若此開士，若諸來	不 望 福 德 想 所以者何 若 此 開 士 若 諸 來 
T12n0322_001:0018a12	有所索者，貪婬、瞋恚、愚癡則以為薄，薄者為	有 所 索 者 貪 婬 瞋 恚 愚 癡 則 以 為 薄 薄 者 為 
T12n0322_001:0018a13	之奈何？若所有物，一切不惜而以布施，斯為	之 奈 何 若 所 有 物 一 切 不 惜 而 以 布 施 斯 為 
T12n0322_001:0018a14	貪婬薄；若於彼來求物者，以慈哀加之，斯為	貪 婬 薄 若 於 彼 來 求 物 者 以 慈 哀 加 之 斯 為 
T12n0322_001:0018a15	瞋恚薄；若以布施變為此一切敏，謂為愚癡	瞋 恚 薄 若 以 布 施 變 為 此 一 切 敏 謂 為 愚 癡 
T12n0322_001:0018a16	薄。「又復理家！已見來求物者，不久為成六度	薄 又 復 理 家 已 見 來 求 物 者 不 久 為 成 六 度 
T12n0322_001:0018a17	無極之行。又成彼者云何？若有來人從人索	無 極 之 行 又 成 彼 者 云 何 若 有 來 人 從 人 索 
T12n0322_001:0018a18	物，能不愛惜者，是為布施度無極；若意在	物 能 不 愛 惜 者 是 為 布 施 度 無 極 若 意 在 
T12n0322_001:0018a19	道而布施者，是為以戒度無極；若不恚怒	道 而 布 施 者 是 為 以 戒 度 無 極 若 不 恚 怒 
T12n0322_001:0018a20	之，是為忍度無極；假令猶自思念，何用為食？	之 是 為 忍 度 無 極 假 令 猶 自 思 念 何 用 為 食 
T12n0322_001:0018a21	自強其意，不釋其行，是為精進度無極；若	自 強 其 意 不 釋 其 行 是 為 精 進 度 無 極 若 
T12n0322_001:0018a22	欲施、若已施，而不欝毒、無有悔者，是為思惟	欲 施 若 已 施 而 不 欝 毒 無 有 悔 者 是 為 思 惟 
T12n0322_001:0018a23	度無極；若已施不望其福德者，是為以慧度	度 無 極 若 已 施 不 望 其 福 德 者 是 為 以 慧 度 
T12n0322_001:0018a24	無極。理家！開士以布施為成六度無極行若	無 極 理 家 開 士 以 布 施 為 成 六 度 無 極 行 若 
T12n0322_001:0018a25	此。「又復理家！居在家者是以為去離順隨	此 又 復 理 家 居 在 家 者 是 以 為 去 離 順 隨 
T12n0322_001:0018a26	忿亂，以親別離法。若以得產、得財米穀、得	忿 亂 以 親 別 離 法 若 以 得 產 得 財 米 穀 得 
T12n0322_001:0018a27	男女，不以為喜悅；若一切敗亡，不以下意	男 女 不 以 為 喜 悅 若 一 切 敗 亡 不 以 下 意 
T12n0322_001:0018a28	為愁慼；已觀如是萬物如幻，為不住止想也。	為 愁 慼 已 觀 如 是 萬 物 如 幻 為 不 住 止 想 也 
T12n0322_001:0018a29	斯幻之行以致是，是以父母、妻子、奴婢、兒、	斯 幻 之 行 以 致 是 是 以 父 母 妻 子 奴 婢 兒 
T12n0322_001:0018b01	客，是非我之有，我亦不是有，亦我是不有，	客 是 非 我 之 有 我 亦 不 是 有 亦 我 是 不 有 
T12n0322_001:0018b02	我不應是有，以不我是有。今我為彼故，	我 不 應 是 有 以 不 我 是 有 今 我 為 彼 故 
T12n0322_001:0018b03	而為作罪惡，但現世是有，非是為後世。是	而 為 作 罪 惡 但 現 世 是 有 非 是 為 後 世 是 
T12n0322_001:0018b04	昔之有，非是我當護。又夫我之有，彼我當	昔 之 有 非 是 我 當 護 又 夫 我 之 有 彼 我 當 
T12n0322_001:0018b05	以護。何謂我之有？謂是布施教化，恬淡自守	以 護 何 謂 我 之 有 謂 是 布 施 教 化 恬 淡 自 守 
T12n0322_001:0018b06	道之根原，亦藏隱之德本，是為我有也。至	道 之 根 原 亦 藏 隱 之 德 本 是 為 我 有 也 至 
T12n0322_001:0018b07	於我所住，是則為追我，彼亦不用軀命、不	於 我 所 住 是 則 為 追 我 彼 亦 不 用 軀 命 不 
T12n0322_001:0018b08	為男女妻子故，為造惡行也。是以居在家，自	為 男 女 妻 子 故 為 造 惡 行 也 是 以 居 在 家 自 
T12n0322_001:0018b09	有婦者，當造三想。何謂三？非常想、不久想、	有 婦 者 當 造 三 想 何 謂 三 非 常 想 不 久 想 
T12n0322_001:0018b10	別離想，是三想當為造想。當復造三想。何	別 離 想 是 三 想 當 為 造 想 當 復 造 三 想 何 
T12n0322_001:0018b11	謂三？若在喜樂為求後世在苦、若在飲食為	謂 三 若 在 喜 樂 為 求 後 世 在 苦 若 在 飲 食 為 
T12n0322_001:0018b12	求在殃罪、若在樂者為求在苦，當為造是三	求 在 殃 罪 若 在 樂 者 為 求 在 苦 當 為 造 是 三 
T12n0322_001:0018b13	想。當復造三想。何謂三？重累想、費耗想、俗	想 當 復 造 三 想 何 謂 三 重 累 想 費 耗 想 俗 
T12n0322_001:0018b14	所有想，當為造是三想。當復造三想。何謂	所 有 想 當 為 造 是 三 想 當 復 造 三 想 何 謂 
T12n0322_001:0018b15	三？為入地獄想、入畜生想、入神鬼想，當為造	三 為 入 地 獄 想 入 畜 生 想 入 神 鬼 想 當 為 造 
T12n0322_001:0018b16	是三想。當復造三想。何謂三？魑魅想、臼注	是 三 想 當 復 造 三 想 何 謂 三 魑 魅 想 臼 注 
T12n0322_001:0018b17	想、色像想，為造是三想。當復造三想。何謂	想 色 像 想 為 造 是 三 想 當 復 造 三 想 何 謂 
T12n0322_001:0018b18	三？不我想、無主想、假借喻想，當為造是三	三 不 我 想 無 主 想 假 借 喻 想 當 為 造 是 三 
T12n0322_001:0018b19	想。理家！思念若此眾事想開士居家者，當自	想 理 家 思 念 若 此 眾 事 想 開 士 居 家 者 當 自 
T12n0322_001:0018b20	觀身其妻若此也。是以不當愛其子，設使	觀 身 其 妻 若 此 也 是 以 不 當 愛 其 子 設 使 
T12n0322_001:0018b21	無生子愛，不加於天下人。是以當以三數	無 生 子 愛 不 加 於 天 下 人 是 以 當 以 三 數 
T12n0322_001:0018b22	諫，自諫其意。何等為三？等意者為道，不以	諫 自 諫 其 意 何 等 為 三 等 意 者 為 道 不 以 
T12n0322_001:0018b23	邪意也；正行者為道，不以邪行；不多行者為	邪 意 也 正 行 者 為 道 不 以 邪 行 不 多 行 者 為 
T12n0322_001:0018b24	道，多行者非矣。是以三數諫，自數諫其意，	道 多 行 者 非 矣 是 以 三 數 諫 自 數 諫 其 意 
T12n0322_001:0018b25	自造其子怨仇想，是我怨仇非我友。所以	自 造 其 子 怨 仇 想 是 我 怨 仇 非 我 友 所 以 
T12n0322_001:0018b26	者何？我以由彼違失慈哀佛之教誡，使我甚	者 何 我 以 由 彼 違 失 慈 哀 佛 之 教 誡 使 我 甚 
T12n0322_001:0018b27	益生彼愛。人自磋切其意，如愛在其子，以	益 生 彼 愛 人 自 磋 切 其 意 如 愛 在 其 子 以 
T12n0322_001:0018b28	愛加眾生；若其自愛身，以慈哀加眾生。是	愛 加 眾 生 若 其 自 愛 身 以 慈 哀 加 眾 生 是 
T12n0322_001:0018b29	以當觀其本末斯所從來異，我所從來亦異。	以 當 觀 其 本 末 斯 所 從 來 異 我 所 從 來 亦 異 
T12n0322_001:0018c01	眾生先世亦曾為我子，吾亦曾為眾生子，	眾 生 先 世 亦 曾 為 我 子 吾 亦 曾 為 眾 生 子 
T12n0322_001:0018c02	是生死之愆，無可適莫者。所以者何？所	是 生 死 之 愆 無 可 適 莫 者 所以者何 所 
T12n0322_001:0018c03	往來道輒有離行，轉復為仇怨。我今當自修，	往 來 道 輒 有 離 行 轉 復 為 仇 怨 我 今 當 自 修 
T12n0322_001:0018c04	都使我無友，亦我無怨仇。所以然者何？	都 使 我 無 友 亦 我 無 怨 仇 所 以 然 者 何 
T12n0322_001:0018c05	以造有知識，為復欲多作，以造有怨仇，都以	以 造 有 知 識 為 復 欲 多 作 以 造 有 怨 仇 都 以 
T12n0322_001:0018c06	欲為惡。一切眾生彼非我，汝意不可以可	欲 為 惡 一 切 眾 生 彼 非 我 汝 意 不 可 以 可 
T12n0322_001:0018c07	不可之意可，以悉通眾經。所以者何？正行	不 可 之 意 可 以 悉 通 眾 經 所以者何 正 行 
T12n0322_001:0018c08	者得正道，邪行者得邪道。今我不有邪行，	者 得 正 道 邪 行 者 得 邪 道 今 我 不 有 邪 行 
T12n0322_001:0018c09	於眾生有正意行，乃可得一切敏故。◎	於 眾 生 有 正 意 行 乃 可 得 一 切 敏 故 
T12n0322_001:0018c10	「◎理家！開士居家者都物無可戀、無可慕、	 理 家 開 士 居 家 者 都 物 無 可 戀 無 可 慕 
T12n0322_001:0018c11	無可適、無可愛、無可可，為若此也。又復理	無 可 適 無 可 愛 無 可 可 為 若 此 也 又 復 理 
T12n0322_001:0018c12	家！居家者設使人來有所索，假使為不欲與	家 居 家 者 設 使 人 來 有 所 索 假 使 為 不 欲 與 
T12n0322_001:0018c13	彼物，猶當以自諫數其意；假令我不以是物	彼 物 猶 當 以 自 諫 數 其 意 假 令 我 不 以 是 物 
T12n0322_001:0018c14	施者，我會當與此物離也；若欲不欲，至於	施 者 我 會 當 與 此 物 離 也 若 欲 不 欲 至 於 
T12n0322_001:0018c15	死時，是物亦當捐棄我，我亦當捐棄是。其	死 時 是 物 亦 當 捐 棄 我 我 亦 當 捐 棄 是 其 
T12n0322_001:0018c16	施寶而終，我而施是物，死時意除止。設使	施 寶 而 終 我 而 施 是 物 死 時 意 除 止 設 使 
T12n0322_001:0018c17	思惟若此，而不能施彼物者，是以四辭謝辭	思 惟 若 此 而 不 能 施 彼 物 者 是 以 四 辭 謝 辭 
T12n0322_001:0018c18	謝來索物者。何謂四？我以無力、眾德未成	謝 來 索 物 者 何 謂 四 我 以 無 力 眾 德 未 成 
T12n0322_001:0018c19	就；我在大道為初始，布施意而不自由；我	就 我 在 大 道 為 初 始 布 施 意 而 不 自 由 我 
T12n0322_001:0018c20	有受見，在於我余之行，且相假原，賢者勿相	有 受 見 在 於 我 余 之 行 且 相 假 原 賢 者 勿 相 
T12n0322_001:0018c21	逼迫；我所施行能奉行之，如其所受，爾迺	逼 迫 我 所 施 行 能 奉 行 之 如 其 所 受 爾 迺 
T12n0322_001:0018c22	能滿卿所願及天下人。辭謝彼來索物者，為	能 滿 卿 所 願 及 天 下 人 辭 謝 彼 來 索 物 者 為 
T12n0322_001:0018c23	若此也。「又復理家！居家修道者，假使為離師	若 此 也 又 復 理 家 居 家 修 道 者 假 使 為 離 師 
T12n0322_001:0018c24	者之教誨，時世無佛、無見經者、不與聖眾相	者 之 教 誨 時 世 無 佛 無 見 經 者 不 與 聖 眾 相 
T12n0322_001:0018c25	遭遇，是以當稽首十方諸佛，亦彼前世求道	遭 遇 是 以 當 稽 首 十方諸佛 亦 彼 前 世 求 道 
T12n0322_001:0018c26	所行，志願之弘，願者其一切成就佛法之德，	所 行 志 願 之 弘 願 者 其 一切成就 佛 法 之 德 
T12n0322_001:0018c27	以思念之以代其喜。於是晝三亦夜三，以	以 思 念 之 以 代 其 喜 於 是 晝 三 亦 夜 三 以 
T12n0322_001:0018c28	論三品經事。一切前世所施行惡，以自首	論 三 品 經 事 一 切 前 世 所 施 行 惡 以 自 首 
T12n0322_001:0018c29	誨，改往修來，為求哀於一切佛，以法故愍	誨 改 往 修 來 為 求 哀 於 一 切 佛 以 法 故 愍 
T12n0322_001:0019a01	傷之；亦以無央數無極之法愍傷之。「又復理	傷 之 亦 以 無 央 數 無 極 之 法 愍 傷 之 又 復 理 
T12n0322_001:0019a02	家！居家修道者，當以曉息心之儀式，是以若	家 居 家 修 道 者 當 以 曉 息 心 之 儀 式 是 以 若 
T12n0322_001:0019a03	見除饉、殊越、息心之儀式，當為敬其法衣，彼	見 除 饉 殊 越 息 心 之 儀 式 當 為 敬 其 法 衣 彼 
T12n0322_001:0019a04	為眾祐、如來、應儀、正真、佛戒定慧所行之法	為 眾 祐 如 來 應 儀 正 真 佛 戒 定 慧 所 行 之 法 
T12n0322_001:0019a05	服也。以無惡為離一切惡，彼是眾聖仙者之	服 也 以 無 惡 為 離 一 切 惡 彼 是 眾 聖 仙 者 之 
T12n0322_001:0019a06	表式也。是以又當為敬彼也，亦當加愍傷	表 式 也 是 以 又 當 為 敬 彼 也 亦 當 加 愍 傷 
T12n0322_001:0019a07	於彼除饉，斯非賢為此不軌行。「至於被服，	於 彼 除 饉 斯 非 賢 為 此 不 軌 行 至 於 被 服 
T12n0322_001:0019a08	斯名：靜者、調者、神通者、如來者，表識而為不	斯 名 靜 者 調 者 神 通 者 如 來 者 表 識 而 為 不 
T12n0322_001:0019a09	調淨之行。又如來復曰：『未學者不當忽易，	調 淨 之 行 又 如 來 復 曰 未 學 者 不 當 忽 易 
T12n0322_001:0019a10	非此彼遇勞過也，以從斯勞為有失；若此彼	非 此 彼 遇 勞 過 也 以 從 斯 勞 為 有 失 若 此 彼 
T12n0322_001:0019a11	亦見佛憲教之要，如所謂事次應有之；若	亦 見 佛 憲 教 之 要 如 所 謂 事 次 應 有 之 若 
T12n0322_001:0019a12	此捐棄是勞，觀其本末為護第一德，必為在	此 捐 棄 是 勞 觀 其 本 末 為 護 第 一 德 必 為 在 
T12n0322_001:0019a13	正以知乎將斷勞之智。』「如眾祐所謂：『又士	正 以 知 乎 將 斷 勞 之 智 如 眾 祐 所 謂 又 士 
T12n0322_001:0019a14	不可以相忽蔑，是非時。如來有是知非我	不 可 以 相 忽 蔑 是 非 時 如 來 有 是 知 非 我 
T12n0322_001:0019a15	有，是以不瞋、不怒、不恚為加彼。若以入廟	有 是 以 不 瞋 不 怒 不 恚 為 加 彼 若 以 入 廟 
T12n0322_001:0019a16	者，以住廟門外，以五體而稽首，迺却入廟，	者 以 住 廟 門 外 以 五 體 而 稽 首 迺 却 入 廟 
T12n0322_001:0019a17	彼是空廟之居、彼是慈哀喜護廟之居、彼是	彼 是 空 廟 之 居 彼 是 慈 哀 喜 護 廟 之 居 彼 是 
T12n0322_001:0019a18	正住在正次者之居，為彼得斯，使我得廟	正 住 在 正 次 者 之 居 為 彼 得 斯 使 我 得 廟 
T12n0322_001:0019a19	居，為若此。以遠去官位家者，為彼得斯。我以	居 為 若 此 以 遠 去 官 位 家 者 為 彼 得 斯 我 以 
T12n0322_001:0019a20	齋戒罪迺禁制，制以若此。』為與去家之意，	齋 戒 罪 迺 禁 制 制 以 若 此 為 與 去 家 之 意 
T12n0322_001:0019a21	未曾有開士在家為得道者，皆去家，入山澤，	未 曾 有 開 士 在 家 為 得 道 者 皆 去 家 入 山 澤 
T12n0322_001:0019a22	以往山澤為得道，以譏家居者。夫去家，智者	以 往 山 澤 為 得 道 以 譏 家 居 者 夫 去 家 智 者 
T12n0322_001:0019a23	所稱譽，如江河沙，我一日之祠禮，一切彼	所 稱 譽 如 江 河 沙 我 一 日 之 祠 禮 一 切 彼 
T12n0322_001:0019a24	布施以去家之意為殊勝。所以者何？以	布 施 以 去 家 之 意 為 殊 勝 所以者何 以 
T12n0322_001:0019a25	施下劣故，何況布施不信無反復，盜賊弊	施 下 劣 故 何 況 布 施 不 信 無 反 復 盜 賊 弊 
T12n0322_001:0019a26	惡、王者及大臣？非彼布施以為實、以得足，	惡 王 者 及 大 臣 非 彼 布 施 以 為 實 以 得 足 
T12n0322_001:0019a27	以我有戒聞之行。「是以入廟者，當以觀視	以 我 有 戒 聞 之 行 是 以 入 廟 者 當 以 觀 視 
T12n0322_001:0019a28	一切除饉之眾所施行，何等除饉為多聞？何	一 切 除 饉 之 眾 所 施 行 何 等 除 饉 為 多 聞 何 
T12n0322_001:0019a29	為明經者？何為奉律者？何為奉使者？何為	為 明 經 者 何 為 奉 律 者 何 為 奉 使 者 何 為 
T12n0322_001:0019b01	開士奉藏者？何為山澤者？何為行受供者？何	開 士 奉 藏 者 何 為 山 澤 者 何 為 行 受 供 者 何 
T12n0322_001:0019b02	為思惟者？何為道行者？何為開士道者？何	為 思 惟 者 何 為 道 行 者 何 為 開 士 道 者 何 
T12n0322_001:0019b03	為佐助者？何為主事者？以觀視彼一切除	為 佐 助 者 何 為 主 事 者 以 觀 視 彼 一 切 除 
T12n0322_001:0019b04	饉之眾所施行。如其所施行行，以隨效為	饉 之 眾 所 施 行 如 其 所 施 行 行 以 隨 效 為 
T12n0322_001:0019b05	之為行，不當轉相嫉。若於虛聚言有及廟；	之 為 行 不 當 轉 相 嫉 若 於 虛 聚 言 有 及 廟 
T12n0322_001:0019b06	若於廟言及虛聚，是以當慎守言行，不	若 於 廟 言 及 虛 聚 是 以 當 慎 守 言 行 不 
T12n0322_001:0019b07	當以廟中言說於虛聚，亦不當以虛聚言	當 以 廟 中 言 說 於 虛 聚 亦 不 當 以 虛 聚 言 
T12n0322_001:0019b08	說於廟也。「是以承事多聞者，以為修治聞，	說 於 廟 也 是 以 承 事 多 聞 者 以 為 修 治 聞 
T12n0322_001:0019b09	奉事明經者，為解經之決事。承事奉律者，	奉 事 明 經 者 為 解 經 之 決 事 承 事 奉 律 者 
T12n0322_001:0019b10	為解度殃罪之事。承事開士奉奧藏者，	為 解 度 殃 罪 之 事 承 事 開 士 奉 奧 藏 者 
T12n0322_001:0019b11	為明六度無極方便之事。若有除饉者，為乏	為 明 六 度 無 極 方 便 之 事 若 有 除 饉 者 為 乏 
