X62n1209_001:0819b06	影響集	影 響 集 
X62n1209_001:0822a01	掉臂。語默動靜。瞬目揚眉。無不是顯揚第一義諦。吐	掉 臂 語 默 動 靜 瞬 目 揚 眉 無 不 是 顯 揚 第一義諦 吐 
X62n1209_001:0822a02	露本分家風。所謂目前機也。然先賢後學。雖悟本性。	露 本 分 家 風 所 謂 目 前 機 也 然 先 賢 後 學 雖 悟 本 性 
X62n1209_001:0822a03	非一非異。蓋為見解未忘。猶被目前種種境緣所奪。	非一非異 蓋 為 見 解 未 忘 猶 被 目 前 種 種 境 緣 所 奪 
X62n1209_001:0822a04	是故悟有淺深。見有徧圓。且目前機。法門最廣。其義	是 故 悟 有 淺 深 見 有 徧 圓 且 目 前 機 法 門 最 廣 其 義 
X62n1209_001:0822a05	極深。迷之者。六根門頭。逐色隨聲。向外馳求。而莫之	極 深 迷 之 者 六 根 門 頭 逐 色 隨 聲 向 外 馳 求 而 莫 之 
X62n1209_001:0822a06	返。悟之者。觸境返緣。返流旋一。當處消融。在處解脫。	返 悟 之 者 觸 境 返 緣 返 流 旋 一 當 處 消 融 在 處 解 脫 
X62n1209_001:0822a07	機能轉者。轉萬物而消歸自己。此乃真開後學之慧	機 能 轉 者 轉 萬 物 而 消 歸 自 己 此 乃 真 開 後 學 之 慧 
X62n1209_001:0822a08	眼。以續從上之正宗也。	眼 以 續 從 上 之 正 宗 也 
X62n1209_001:0822a09	警眾語	警 眾 語 
X62n1209_001:0822a10	花嚴以人中師子比佛。五十三善知識。獨一比丘尼	花 嚴 以 人 中 師 子 比 佛 五 十 三 善 知 識 獨 一 比 丘 尼 
X62n1209_001:0822a11	以師子為號。可知威神卓越。成就佛心。不以比丘尼	以 師 子 為 號 可 知 威 神 卓 越 成 就 佛 心 不 以 比 丘 尼 
X62n1209_001:0822a12	而遂弱也。我等墮在僧數。毀形割愛。違親去里。為何	而 遂 弱 也 我 等 墮 在 僧 數 毀 形 割 愛 違 親 去 里 為 何 
X62n1209_001:0822a13	事乎。實因生死事大無常迅速。一句了然。斷盡輪迴	事 乎 實 因 生 死 事 大 無 常 迅 速 一 句 了 然 斷 盡 輪 迴 
X62n1209_001:0822a14	惡境而已。若為名利榮耀。稱心快樂。非出家之本志	惡 境 而 已 若 為 名 利 榮 耀 稱 心 快 樂 非 出 家 之 本 志 
X62n1209_001:0822a15	矣。今之出家人。一經剃落。便自高狂。不了自心。受人	矣 今 之 出 家 人 一 經 剃 落 便 自 高 狂 不 了 自 心 受 人 
X62n1209_001:0822a16	禮敬。如斯行止。難報四恩。徒入空門。將何憑恃。況乃	禮 敬 如 斯 行 止 難 報 四 恩 徒 入 空 門 將 何 憑 恃 況 乃 
X62n1209_001:0822a17	人身難得。佛法難聞。已得已聞。又復錯過。袈裟下不	人 身 難 得 佛 法 難 聞 已 得 已 聞 又 復 錯 過 袈 裟 下 不 
X62n1209_001:0822a18	明此事。苦無極矣。且今日大比丘僧。還有諸方叢林	明 此 事 苦 無 極 矣 且 今 日 大 比 丘 僧 還 有 諸 方 叢 林 
X62n1209_001:0822a19	禪堂規策。堂頭長老開示熏聞。雖自迷昧。漸得明通。	禪 堂 規 策 堂 頭 長 老 開 示 熏 聞 雖 自 迷 昧 漸 得 明 通 
X62n1209_001:0822a20	我輩比丘尼眾。都無此也。終日喧喧。逐色隨聲。向外	我 輩 比 丘 尼 眾 都 無 此 也 終 日 喧 喧 逐 色 隨 聲 向 外 
X62n1209_001:0822a21	馳求。未嘗返省。為師不教。為徒不學。光陰可惜。剎那	馳 求 未 嘗 返 省 為 師 不 教 為 徒 不 學 光 陰 可 惜 剎 那 
X62n1209_001:0822a22	一生。荏再人間而無所益。夫女人出家。當棄女人之	一 生 荏 再 人 間 而 無 所 益 夫 女 人 出 家 當 棄 女 人 之 
X62n1209_001:0822a23	習。發勝妙之種。尊重高僧。猛入佛法。心懺悔。念清涼。	習 發 勝 妙 之 種 尊 重 高 僧 猛 入 佛 法 心 懺 悔 念 清 涼 
X62n1209_001:0822a24	深發大悲心。全行解脫事。方得十方矜式。四眾環興。	深 發 大 悲 心 全 行 解 脫 事 方 得 十 方 矜 式 四 眾 環 興 
X62n1209_001:0822b01	伏望諸賢及早立志。己事未明。他事莫理。專心一處。	伏 望 諸 賢 及 早 立 志 己 事 未 明 他 事 莫 理 專 心 一 處 
X62n1209_001:0822b02	不了不休。然此一事。人人本具。各各現成。所以心源	不 了 不 休 然 此 一 事 人 人 本 具 各 各 現 成 所 以 心 源 
X62n1209_001:0822b03	未暢。逐境飄馳。實因終日在妄想影子裏作活計。不	未 暢 逐 境 飄 馳 實 因 終 日 在 妄 想 影 子 裏 作 活 計 不 
X62n1209_001:0822b04	得真實受用地。無論念佛參禪。總要將我等歷劫以	得 真 實 受 用 地 無 論 念 佛 參 禪 總 要 將 我 等 歷 劫 以 
X62n1209_001:0822b05	來愛習愛種。次第拔出。一時破盡。方有下手處。終日	來 愛 習 愛 種 次 第 拔 出 一 時 破 盡 方 有 下 手 處 終 日 
X62n1209_001:0822b06	一行。習氣若發。自家斷之。還歸一行。一行功深。於靜	一 行 習 氣 若 發 自 家 斷 之 還 歸 一 行 一 行 功 深 於 靜 
X62n1209_001:0822b07	細中。照見種子。還以一行除之。一行有力。愛種自枯。	細 中 照 見 種 子 還 以 一 行 除 之 一 行 有 力 愛 種 自 枯 
X62n1209_001:0822b08	即永絕眾生心累也。然一行不論禪淨。總是孤炯炯	即 永 絕 眾 生 心 累 也 然 一 行 不 論 禪 淨 總 是 孤 炯 炯 
X62n1209_001:0822b09	地。十二時中。更無一事。十二時中。常若有事。方是修	地 十 二 時 中 更 無 一 事 十 二 時 中 常 若 有 事 方 是 修 
X62n1209_001:0822b10	也。斷不可一念涉入名聞利養也。所謂神尼不在現	也 斷 不 可 一 念 涉 入 名 聞 利 養 也 所 謂 神 尼 不 在 現 
X62n1209_001:0822b11	通說法。但禪淨二宗。或單修一行。或並作一行。各人	通 說 法 但 禪 淨 二 宗 或 單 修 一 行 或 並 作 一 行 各 人 
X62n1209_001:0822b12	手眼。隨力修之。親近善知識。思惟了義教。於一切法。	手 眼 隨 力 修 之 親近善知識 思 惟 了 義 教 於一切法 
X62n1209_001:0822b13	心心平等。如是用功者。得力而省力。省力而得力。即	心 心 平 等 如 是 用 功 者 得 力 而 省 力 省 力 而 得 力 即 
X62n1209_001:0822b14	神尼也。何以故。直截下手。未曾自欺也。師子搏虎用	神 尼 也 何 以 故 直 截 下 手 未 曾 自 欺 也 師 子 搏 虎 用 
X62n1209_001:0822b15	全力。師子搏兔用全力。有人問。用何等力。古人云。不	全 力 師 子 搏 兔 用 全 力 有 人 問 用 何 等 力 古 人 云 不 
X62n1209_001:0822b16	欺之力。果能不欺。則十二時中。本光常住。勤修一行。	欺 之 力 果 能 不 欺 則 十 二 時 中 本 光 常 住 勤 修 一 行 
X62n1209_001:0822b17	頓顯本來矣。靈山會上。六千比丘尼。未受成佛之記。	頓 顯 本 來 矣 靈 山 會 上 六 千 比 丘 尼 未 受 成 佛 之 記 
X62n1209_001:0822b18	龍女一出。大眾皆興。故六千比丘尼。近作法師。遠階	龍 女 一 出 大 眾 皆 興 故 六 千 比 丘 尼 近 作 法 師 遠 階 
X62n1209_001:0822b19	佛位。然在師子一頻申。則已五十三位具足。尼不自	佛 位 然 在 師 子 一 頻 申 則 已 五 十 三 位 具 足 尼 不 自 
X62n1209_001:0822b20	弱。則法界本無遠近也。何不痛念。出家時。一場甘苦。	弱 則 法 界 本 無 遠 近 也 何 不 痛 念 出 家 時 一 場 甘 苦 
X62n1209_001:0822b21	猛就大法。學師子頻伸。脫盡諸女人境界乎。清規束	猛 就 大 法 學 師 子 頻 伸 脫 盡 諸 女 人 境 界 乎 清 規 束 
X62n1209_001:0822b22	身。神明自遠。勿甘碌碌。是我真眷屬矣。	身 神 明 自 遠 勿 甘 碌 碌 是 我 真 眷 屬 矣 
X62n1209_001:0822b24	影響集(終)	影 響 集 終 
