T14n0449_001:0401a02	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0449_001:0403a23	莊嚴其處，澡浴清潔，著新淨衣，應生無	莊 嚴 其 處 澡 浴 清 潔 著 新 淨 衣 應 生 無 
T14n0449_001:0403a24	垢濁心，無怒害心，於一切眾生起利益心，慈	垢 濁 心 無 怒 害 心 於 一 切 眾 生 起 利 益 心 慈 
T14n0449_001:0403a25	悲喜捨平等之心，鼓樂歌讚，右遶佛像，應	悲 喜 捨 平 等 之 心 鼓 樂 歌 讚 右 遶 佛 像 應 
T14n0449_001:0403a26	念彼如來本昔大願并解釋此經，如所思	念 彼 如 來 本 昔 大 願 并 解 釋 此 經 如 所 思 
T14n0449_001:0403a27	念，如所願求，一切所欲，皆得圓滿——求長	念 如 所 願 求 一 切 所 欲 皆 得 圓 滿 求 長 
T14n0449_001:0403a28	壽得長壽，求福報得福報，求自在得	壽 得 長 壽 求 福 報 得 福 報 求 自 在 得 
T14n0449_001:0403a29	自在，求男女得男女。「或復有人忽得惡	自 在 求 男 女 得 男 女 或 復 有 人 忽 得 惡 
T14n0449_001:0403b01	夢，或見諸惡相，或怪鳥來集，於其住所百	夢 或 見 諸 惡 相 或 怪 鳥 來 集 於 其 住 所 百 
T14n0449_001:0403b02	怪出現，此人若能以種種眾具，供養恭敬	怪 出 現 此 人 若 能 以 種 種 眾 具 供養恭敬 
T14n0449_001:0403b03	彼藥師琉璃光如來者，一切惡夢、惡相、不吉	彼 藥師琉璃光 如 來 者 一 切 惡 夢 惡 相 不 吉 
T14n0449_001:0403b04	祥事皆悉隱沒，或有水怖、火怖、刀怖、毒怖、懸	祥 事 皆 悉 隱 沒 或 有 水 怖 火 怖 刀 怖 毒 怖 懸 
T14n0449_001:0403b05	嶮之怖，惡象、師子、虎狼、熊羆、毒蛇、惡蝎、蜈蚣、	嶮 之 怖 惡 象 師 子 虎 狼 熊 羆 毒 蛇 惡 蝎 蜈 蚣 
T14n0449_001:0403b06	蚰蜒如是等怖，憶念供養彼如來者，一切	蚰 蜒 如 是 等 怖 憶 念 供 養 彼 如 來 者 一 切 
T14n0449_001:0403b07	怖畏皆得解脫。若他國侵擾、賊盜反亂、如是	怖 畏 皆 得 解 脫 若 他 國 侵 擾 賊 盜 反 亂 如 是 
T14n0449_001:0403b08	等怖，亦應念彼如來恭敬尊重。	等 怖 亦 應 念 彼 如 來 恭 敬 尊 重 
T14n0449_001:0403b09	「復次，曼殊室利！若有信心善男子、善女人，	 復 次 曼 殊 室 利 若 有 信 心 善 男 子 善 女 人 
T14n0449_001:0403b10	乃至盡形受三歸依，不事餘天，或持五	乃 至 盡 形 受 三 歸 依 不 事 餘 天 或 持 五 
T14n0449_001:0403b11	戒，或持十戒，或持菩薩一百四戒，或復出	戒 或 持 十 戒 或 持 菩 薩 一 百 四 戒 或 復 出 
T14n0449_001:0403b12	家受持比丘二百五十戒，若比丘尼受持	家 受 持 比 丘 二百五十戒 若 比 丘 尼 受 持 
T14n0449_001:0403b13	五百戒，於隨所受中，毀犯禁戒，畏墮惡	五 百 戒 於 隨 所 受 中 毀 犯 禁 戒 畏 墮 惡 
T14n0449_001:0403b14	道，若能供養彼世尊藥師琉璃光如來者，	道 若 能 供 養 彼 世 尊 藥師琉璃光 如 來 者 
T14n0449_001:0403b15	決定不受三惡道報。或有女人臨當產時，	決 定 不 受 三 惡 道 報 或 有 女 人 臨 當 產 時 
T14n0449_001:0403b16	受於極苦，若能稱名供養彼世尊藥師琉璃	受 於 極 苦 若 能 稱 名 供 養 彼 世 尊 藥 師 琉 璃 
T14n0449_001:0403b17	光如來者，速得解脫，所生之子身分具足，	光 如 來 者 速 得 解 脫 所 生 之 子 身 分 具 足 
T14n0449_001:0403b18	形色端正，見者歡喜，利根聰明，安隱少病，無	形 色 端 正 見 者 歡 喜 利 根 聰 明 安 隱 少 病 無 
T14n0449_001:0403b19	有非人奪其魂魄。」	有 非 人 奪 其 魂 魄 
T14n0449_001:0403b20	爾時，世尊告慧命阿難言：「阿難！如我稱揚	爾 時 世 尊 告 慧 命 阿 難 言 阿 難 如 我 稱 揚 
T14n0449_001:0403b21	彼世尊藥師琉璃光如來所有功德，汝信受	彼 世 尊 藥師琉璃光 如 來 所 有 功 德 汝 信 受 
T14n0449_001:0403b22	耶？汝於如是諸佛如來甚深境界多生疑	耶 汝 於 如 是 諸佛如來 甚 深 境 界 多 生 疑 
T14n0449_001:0403b23	惑。」時，慧命阿難白佛言：「大德世尊！我於如	惑 時 慧 命 阿 難 白 佛 言 大 德 世 尊 我 於 如 
T14n0449_001:0403b24	來所說法中，無復疑惑。何以故？一切如來	來 所 說 法 中 無 復 疑 惑 何 以 故 一 切 如 來 
T14n0449_001:0403b25	身口意行無不清淨。世尊！此日月，有如是	身 口 意 行 無 不 清 淨 世 尊 此 日 月 有 如 是 
T14n0449_001:0403b26	大神通，有如是大威力，可令墮落，須彌山	大 神 通 有 如 是 大 威 力 可 令 墮 落 須 彌 山 
T14n0449_001:0403b27	王可得移動，諸佛所言無有差異。大德世	王 可 得 移 動 諸 佛 所 言 無 有 差 異 大 德 世 
T14n0449_001:0403b28	尊！或有眾生信根不具，聞說如來佛境界	尊 或 有 眾 生 信 根 不 具 聞 說 如 來 佛 境 界 
T14n0449_001:0403b29	已，作是思惟：『云何但念彼如來名獲爾	已 作是思惟 云 何 但 念 彼 如 來 名 獲 爾 
T14n0449_001:0403c01	許功德？』心不信受，生於誹謗，此等長夜無	許 功 德 心 不 信 受 生 於 誹 謗 此 等 長 夜 無 
T14n0449_001:0403c02	義饒益，當墮苦趣。」佛言：「阿難！若彼如來	義 饒 益 當 墮 苦 趣 佛 言 阿 難 若 彼 如 來 
T14n0449_001:0403c03	所有名號入其耳中，此人墮惡道者，無有	所 有 名 號 入 其 耳 中 此 人 墮 惡 道 者 無 有 
T14n0449_001:0403c04	是處。阿難！諸佛境界誠為難信，汝今信	是 處 阿 難 諸佛境界 誠 為 難 信 汝 今 信 
T14n0449_001:0403c05	受，應知皆是如來威力，非一切聲聞、辟支佛	受 應 知 皆 是 如 來 威 力 非 一 切 聲 聞 辟 支 佛 
T14n0449_001:0403c06	地所能信受，唯除一生補處菩薩摩訶薩。	地 所 能 信 受 唯 除 一生補處菩薩 摩 訶 薩 
T14n0449_001:0403c07	阿難！人身難得，於三寶中信敬尊重亦	阿 難 人 身 難 得 於 三 寶 中 信 敬 尊 重 亦 
T14n0449_001:0403c08	難可得，聞彼如來名號倍難於此。阿難！	難 可 得 聞 彼 如 來 名 號 倍 難 於 此 阿 難 
T14n0449_001:0403c09	彼世尊藥師琉璃光如來無量菩薩行，無量	彼 世 尊 藥師琉璃光 如 來 無 量 菩 薩 行 無 量 
T14n0449_001:0403c10	諸巧便，無量曠大願，我欲一劫若過一劫	諸 巧 便 無 量 曠 大 願 我 欲 一 劫 若 過 一 劫 
T14n0449_001:0403c11	說彼如來菩薩行願，乃至窮劫，彼世尊藥	說 彼 如 來 菩 薩 行 願 乃 至 窮 劫 彼 世 尊 藥 
T14n0449_001:0403c12	師琉璃光如來本昔所行及殊勝大願，亦不	師 琉 璃 光 如 來 本 昔 所 行 及 殊 勝 大 願 亦 不 
T14n0449_001:0403c13	究盡。」	究 盡 
T14n0449_001:0403c14	爾時，眾中有菩薩摩訶薩名曰救脫，即從	爾 時 眾 中 有 菩薩摩訶薩 名 曰 救 脫 即 從 
T14n0449_001:0403c15	座起，偏露一髆，右膝著地，向婆伽婆合掌	座 起 偏 露 一 髆 右膝著地 向 婆 伽 婆 合 掌 
T14n0449_001:0403c16	曲躬白言：「大德世尊！於未來世，當有眾生，	曲 躬 白 言 大 德 世 尊 於未來世 當 有 眾 生 
T14n0449_001:0403c17	身嬰重病，長患羸瘦，不食飢渴，喉脣乾燥，死	身 嬰 重 病 長 患 羸 瘦 不 食 飢 渴 喉 脣 乾 燥 死 
T14n0449_001:0403c18	相現前，目無所見，父母、親眷、朋友、知識啼泣	相 現 前 目 無 所 見 父 母 親 眷 朋 友 知 識 啼 泣 
T14n0449_001:0403c19	圍遶，其人屍形臥在本處，閻摩使人引其神	圍 遶 其 人 屍 形 臥 在 本 處 閻 摩 使 人 引 其 神 
T14n0449_001:0403c20	識，置於閻摩法王之前，此人背後有同生	識 置 於 閻 摩 法 王 之 前 此 人 背 後 有 同 生 
T14n0449_001:0403c21	神，隨其所作，若罪若福一切皆書，盡持授	神 隨 其 所 作 若 罪 若 福 一 切 皆 書 盡 持 授 
T14n0449_001:0403c22	與閻摩法王。時閻摩法王推問其人，算計所	與 閻 摩 法 王 時 閻 摩 法 王 推 問 其 人 算 計 所 
T14n0449_001:0403c23	作，隨善隨惡而處分之。若能為此病人歸	作 隨 善 隨 惡 而 處 分 之 若 能 為 此 病 人 歸 
T14n0449_001:0403c24	依彼世尊藥師琉璃光如來，如法供養，即得	依 彼 世 尊 藥師琉璃光 如 來 如 法 供 養 即 得 
T14n0449_001:0403c25	還復。此人神識得迴還時，如從夢覺皆自	還 復 此 人 神 識 得 迴 還 時 如 從 夢 覺 皆 自 
T14n0449_001:0403c26	憶知，或經七日、或二十一日、或三十五日、或	憶 知 或 經 七 日 或 二 十 一 日 或 三 十 五 日 或 
T14n0449_001:0403c27	四十九日，神識還已，具憶所有善惡業報，	四 十 九 日 神 識 還 已 具 憶 所 有 善 惡 業 報 
T14n0449_001:0403c28	由自證故，乃至失命不造惡業。是故信	由 自 證 故 乃 至 失 命 不 造 惡 業 是 故 信 
T14n0449_001:0403c29	心善男子、善女人，應當供養藥師如來。」	心 善 男 子 善 女 人 應 當 供 養 藥 師 如 來 
T14n0449_001:0404a01	爾時，慧命阿難問救脫菩薩言：「善男子！應	爾 時 慧 命 阿 難 問 救 脫 菩 薩 言 善 男 子 應 
T14n0449_001:0404a02	云何供養彼世尊藥師琉璃光如來也？」救脫	云 何 供 養 彼 世 尊 藥師琉璃光 如 來 也 救 脫 
T14n0449_001:0404a03	菩薩言：「大德阿難！若有患人欲脫重病，當	菩 薩 言 大德阿難 若 有 患 人 欲 脫 重 病 當 
T14n0449_001:0404a04	為此人七日七夜受八分齋，當以飲食，及	為 此 人 七日七夜 受 八 分 齋 當 以 飲 食 及 
T14n0449_001:0404a05	種種眾具，隨力所辦，供養比丘僧，晝夜六	種 種 眾 具 隨 力 所 辦 供 養 比 丘 僧 晝 夜 六 
T14n0449_001:0404a06	時，禮拜供養彼世尊藥師琉璃光如來，四十	時 禮拜供養 彼 世 尊 藥師琉璃光 如 來 四 十 
T14n0449_001:0404a07	九遍讀誦此經，然四十九燈，應造七軀彼	九 遍 讀 誦 此 經 然 四 十 九 燈 應 造 七 軀 彼 
T14n0449_001:0404a08	如來像，一一像前各置七燈，一一燈量大如	如 來 像 一 一 像 前 各 置 七 燈 一 一 燈 量 大 如 
T14n0449_001:0404a09	車輪，或復乃至四十九日光明不絕，當造	車 輪 或 復 乃 至 四 十 九 日 光 明 不 絕 當 造 
T14n0449_001:0404a10	五色綵幡長四十九尺。	五 色 綵 幡 長 四 十 九 尺 
T14n0449_001:0404a11	「復次，大德阿難！灌頂剎利王等，若災難起時——	 復 次 大德阿難 灌 頂 剎 利 王 等 若 災 難 起 時 
T14n0449_001:0404a12	所謂人民疾疫難、他方侵逼難、自界反逆難、	所 謂 人 民 疾 疫 難 他 方 侵 逼 難 自 界 反 逆 難 
T14n0449_001:0404a13	星宿變怪難、日月薄蝕難、非時風雨難、過時	星 宿 變 怪 難 日 月 薄 蝕 難 非 時 風 雨 難 過 時 
T14n0449_001:0404a14	不雨難——爾時，此灌頂剎利王，當於一切眾	不 雨 難 爾 時 此 灌 頂 剎 利 王 當 於 一 切 眾 
T14n0449_001:0404a15	生，起慈愍心，赦諸繫閉，依前所說供養法	生 起 慈 愍 心 赦 諸 繫 閉 依 前 所 說 供 養 法 
T14n0449_001:0404a16	式，供養彼世尊藥師琉璃光如來。時灌頂剎	式 供 養 彼 世 尊 藥師琉璃光 如 來 時 灌 頂 剎 
T14n0449_001:0404a17	利王用此善根，由彼世尊藥師琉璃光如來	利 王 用 此 善 根 由 彼 世 尊 藥師琉璃光 如 來 
T14n0449_001:0404a18	本昔勝願故，其王境界即得安隱，風雨以	本 昔 勝 願 故 其 王 境 界 即 得 安 隱 風 雨 以 
T14n0449_001:0404a19	時、禾稼成就、國土豐熟，一切國界所有眾生，	時 禾 稼 成 就 國 土 豐 熟 一 切 國 界 所 有 眾 生 
T14n0449_001:0404a20	無病安樂，多生歡喜，於其國界亦無夜叉、	無 病 安 樂 多 生 歡 喜 於 其 國 界 亦 無 夜 叉 
T14n0449_001:0404a21	羅剎、毘舍闍等諸惡鬼神擾亂眾生，所有惡	羅 剎 毘 舍 闍 等 諸 惡 鬼 神 擾 亂 眾 生 所 有 惡 
T14n0449_001:0404a22	相皆即不現，彼灌頂剎利王，壽命色力無病	相 皆 即 不 現 彼 灌 頂 剎 利 王 壽 命 色 力 無 病 
T14n0449_001:0404a23	自在並得增益。」	自 在 並 得 增 益 
T14n0449_001:0404a24	爾時，慧命阿難問救脫菩薩言：「善男子！云何	爾 時 慧 命 阿 難 問 救 脫 菩 薩 言 善 男 子 云 何 
T14n0449_001:0404a25	已盡之命而可更延？」救脫菩薩言：「阿難！汝	已 盡 之 命 而 可 更 延 救 脫 菩 薩 言 阿 難 汝 
T14n0449_001:0404a26	豈不聞如來所說九橫死耶？是故教以呪	豈 不 聞 如 來 所 說 九 橫 死 耶 是 故 教 以 呪 
T14n0449_001:0404a27	藥方便；或有眾生，得病非重，然無醫藥及	藥 方 便 或 有 眾 生 得 病 非 重 然 無 醫 藥 及 
T14n0449_001:0404a28	看病人，或復醫人療治失所，非時而死，是	看 病 人 或 復 醫 人 療 治 失 所 非 時 而 死 是 
T14n0449_001:0404a29	為初橫；第二橫者，王法所殺；第三橫者，遊	為 初 橫 第 二 橫 者 王 法 所 殺 第 三 橫 者 遊 
T14n0449_001:0404b01	獵、放逸、婬醉無度，為諸非人害其魂魄；第	獵 放 逸 婬 醉 無 度 為 諸 非 人 害 其 魂 魄 第 
T14n0449_001:0404b02	四橫者，為火所燒；第五橫者，為水所溺；第	四 橫 者 為 火 所 燒 第 五 橫 者 為 水 所 溺 第 
T14n0449_001:0404b03	六橫者，入師子、虎豹、諸惡獸中；第七橫者，飢	六 橫 者 入 師 子 虎 豹 諸 惡 獸 中 第 七 橫 者 飢 
T14n0449_001:0404b04	渴所困，不得飲食，因此致死；第八橫者，厭	渴 所 困 不 得 飲 食 因 此 致 死 第 八 橫 者 厭 
T14n0449_001:0404b05	禱、毒藥、起屍鬼等之所損害；第九橫者，投巖	禱 毒 藥 起 屍 鬼 等 之 所 損 害 第 九 橫 者 投 巖 
T14n0449_001:0404b06	取死，是名如來略說大橫有此九種，其餘	取 死 是 名 如 來 略 說 大 橫 有 此 九 種 其 餘 
T14n0449_001:0404b07	復有無量諸橫。」	復 有 無 量 諸 橫 
T14n0449_001:0404b08	爾時，眾中有十二夜叉大將，俱在會坐，所	爾 時 眾 中 有 十 二 夜 叉 大 將 俱 在 會 坐 所 
T14n0449_001:0404b09	謂：	謂 
T14n0449_001:0404b10	　宮毘羅大將、　　跋折羅大將、	 宮 毘 羅 大 將 跋 折 羅 大 將 
T14n0449_001:0404b11	　迷佉羅大將、　　安捺羅大將、	 迷 佉 羅 大 將 安 捺 羅 大 將 
T14n0449_001:0404b12	　安怛羅大將、　　摩涅羅大將、	 安 怛 羅 大 將 摩 涅 羅 大 將 
T14n0449_001:0404b13	　因陀羅大將、　　波異羅大將、	 因 陀 羅 大 將 波 異 羅 大 將 
T14n0449_001:0404b14	　摩呼羅大將、　　真達羅大將、	 摩 呼 羅 大 將 真 達 羅 大 將 
T14n0449_001:0404b15	　招度羅大將、　　鼻羯羅大將，	 招 度 羅 大 將 鼻 羯 羅 大 將 
T14n0449_001:0404b16	此等十二夜叉大將，一一各有七千夜叉以	此 等 十 二 夜 叉 大 將 一 一 各 有 七 千 夜 叉 以 
T14n0449_001:0404b17	為眷屬，皆同一聲白世尊言：「我等今者蒙	為 眷 屬 皆 同 一 聲 白 世 尊 言 我 等 今 者 蒙 
T14n0449_001:0404b18	佛威力，得聞世尊藥師琉璃光如來名號	佛 威 力 得 聞 世 尊 藥師琉璃光 如 來 名 號 
T14n0449_001:0404b19	已，不復更有惡道之怖。我今相與皆同一	已 不 復 更 有 惡 道 之 怖 我 今 相 與 皆 同 一 
T14n0449_001:0404b20	心，乃至壽盡歸依佛、歸依法、歸依僧，皆當	心 乃 至 壽 盡 歸 依 佛 歸 依 法 歸 依 僧 皆 當 
T14n0449_001:0404b21	荷負一切眾生，為作義利，饒益安樂，隨於	荷 負 一 切 眾 生 為 作 義 利 饒 益 安 樂 隨 於 
T14n0449_001:0404b22	何等村城聚落阿蘭拏處，若流布此經，若復	何 等 村 城 聚 落 阿 蘭 拏 處 若 流 布 此 經 若 復 
T14n0449_001:0404b23	持彼世尊藥師琉璃光如來名號親近供養	持 彼 世 尊 藥師琉璃光 如 來 名 號 親近供養 
T14n0449_001:0404b24	者，我等眷屬衛護是人，皆使解脫一切苦	者 我 等 眷 屬 衛 護 是 人 皆 使 解 脫 一 切 苦 
T14n0449_001:0404b25	難，諸有所求，悉令滿足。」爾時，世尊讚諸夜叉	難 諸 有 所 求 悉 令 滿 足 爾 時 世 尊 讚 諸 夜 叉 
T14n0449_001:0404b26	大將言：「善哉，善哉！大夜叉將！汝等若念彼	大 將 言 善 哉 善 哉 大 夜 叉 將 汝 等 若 念 彼 
T14n0449_001:0404b27	世尊藥師琉璃光如來恩德者，當念饒益一	世 尊 藥師琉璃光 如 來 恩 德 者 當 念 饒 益 一 
T14n0449_001:0404b28	切眾生。」	切 眾 生 
T14n0449_001:0404b29	爾時，慧命阿難白佛言：「世尊！此經何名？云何	爾 時 慧 命 阿 難 白 佛 言 世 尊 此 經 何 名 云 何 
T14n0449_001:0404c01	奉持？」佛言：「阿難！此法門者，名為『藥師琉璃光	奉 持 佛 言 阿 難 此 法 門 者 名 為 藥師琉璃光 
T14n0449_001:0404c02	如來本昔所發殊勝大願』，當如是持；名為	如 來 本 昔 所 發 殊 勝 大 願 當 如 是 持 名 為 
T14n0449_001:0404c03	『十二夜叉大將自誓』，當如是持；名為『淨一	 十 二 夜 叉 大 將 自 誓 當 如 是 持 名 為 淨 一 
T14n0449_001:0404c04	切業障』，當如是持。」時婆伽婆說是語已，諸	切 業 障 當 如 是 持 時 婆 伽 婆 說 是 語 已 諸 
T14n0449_001:0404c05	菩薩摩訶薩、諸大聲聞、國王、大臣、婆羅門、居	菩薩摩訶薩 諸 大 聲 聞 國 王 大 臣 婆 羅 門 居 
T14n0449_001:0404c06	士，及一切大眾阿修羅、揵達婆等，聞佛所說，	士 及 一 切 大 眾 阿 修 羅 揵 達 婆 等 聞 佛 所 說 
T14n0449_001:0404c07	歡喜奉行。	歡 喜 奉 行 
T14n0449_001:0404c08	佛說藥師如來本願經	佛 說 藥 師 如 來 本 願 經 
