T50n2042_001:0099a12	阿育王傳卷第一	阿育王傳 卷 第 一 
T50n2042_002:0104a23	受化處。又示如來作神變處。又示如來忉利	受 化 處 又 示 如 來 作 神 變 處 又 示 如 來 忉 利 
T50n2042_002:0104a24	天上為母說法來下之處。王於上來所示之	天 上 為 母 說 法 來 下 之 處 王 於 上 來 所 示 之 
T50n2042_002:0104a25	處皆起寶塔。尊者將王復至拘尸那城。舉手	處 皆 起 寶 塔 尊 者 將 王 復 至 拘 尸 那 城 舉 手 
T50n2042_002:0104a26	而言。此是如來化緣已訖入涅槃處。王聞是	而 言 此 是 如 來 化 緣 已 訖 入 涅 槃 處 王 聞 是 
T50n2042_002:0104a27	語懊惱悶絕。以水灑面令得醒悟。施百千兩	語 懊 惱 悶 絕 以 水 灑 面 令 得 醒 悟 施 百 千 兩 
T50n2042_002:0104a28	金於此起塔。而更合掌敬禮尊者足。復作是	金 於 此 起 塔 而 更 合 掌 敬 禮 尊 者 足 復 作 是 
T50n2042_002:0104a29	言。我今欲禮佛大弟子聲聞之塔。尊者讚言。	言 我 今 欲 禮 佛 大 弟 子 聲 聞 之 塔 尊 者 讚 言 
T50n2042_002:0104b01	善哉善哉。王能發是重信敬之心。即將王至	善哉善哉 王 能 發 是 重 信 敬 之 心 即 將 王 至 
T50n2042_002:0104b02	彼祇陀林中。舉手而言。大王。此是舍利弗	彼 祇 陀 林 中 舉 手 而 言 大 王 此 是 舍 利 弗 
T50n2042_002:0104b03	塔。應當供養。王問言曰。此有何德。尊者答	塔 應 當 供 養 王 問 言 曰 此 有 何 德 尊 者 答 
T50n2042_002:0104b04	言。此是第一世尊法之大將。能轉法輪。如來	言 此 是 第 一 世 尊 法 之 大 將 能 轉 法 輪 如 來 
T50n2042_002:0104b05	所記智慧第一。唯除如來。一切眾生所有智	所 記 智慧第一 唯 除 如 來 一 切 眾 生 所 有 智 
T50n2042_002:0104b06	慧十六分中不及其一。但可略說。誰能盡其	慧 十 六 分 中 不 及 其 一 但 可 略 說 誰 能 盡 其 
T50n2042_002:0104b07	智慧之藏。王聞歡喜。即以百千兩金奉施此	智 慧 之 藏 王 聞 歡 喜 即 以 百 千 兩 金 奉 施 此 
T50n2042_002:0104b08	塔。即時歸命舍利弗。而作偈言。	塔 即 時 歸 命 舍 利 弗 而 作 偈 言 
T50n2042_002:0104b09	　解脫諸有結　　名稱滿世間	 解 脫 諸 有 結 名 稱 滿 世 間 
T50n2042_002:0104b10	　於諸智慧中　　是為最第一	 於 諸 智 慧 中 是 為 最 第 一 
T50n2042_002:0104b11	復示於王目揵連塔令王供養。王又問言。此	復 示 於 王 目 揵 連 塔 令 王 供 養 王 又 問 言 此 
T50n2042_002:0104b12	有何德。尊者答言。如來所記神足第一。能以	有 何 德 尊 者 答 言 如 來 所 記 神 足 第 一 能 以 
T50n2042_002:0104b13	右足動帝釋宮。復能降伏難陀拔難陀龍王。	右 足 動 帝 釋 宮 復 能 降 伏 難 陀 拔 難 陀 龍 王 
T50n2042_002:0104b14	略而言之。不能說盡其功德彼岸。王以百千	略 而 言 之 不 能 說 盡 其 功 德 彼 岸 王 以 百 千 
T50n2042_002:0104b15	兩金供養此塔。王即合掌而說偈言。	兩 金 供 養 此 塔 王 即 合 掌 而 說 偈 言 
T50n2042_002:0104b16	　歸命大名稱　　神足第一者	 歸 命 大 名 稱 神 足 第 一 者 
T50n2042_002:0104b17	　於生老憂苦　　而得於解脫	 於 生 老 憂 苦 而 得 於 解 脫 
T50n2042_002:0104b18	遂復示王迦葉之塔。舉手而言。此是摩訶迦	遂 復 示 王 迦 葉 之 塔 舉 手 而 言 此 是 摩 訶 迦 
T50n2042_002:0104b19	葉之塔。亦應供養。王問言曰。有何功德。尊	葉 之 塔 亦 應 供 養 王 問 言 曰 有 何 功 德 尊 
T50n2042_002:0104b20	者答言。少欲知足頭陀第一。如來分坐而與	者 答 言 少欲知足 頭 陀 第 一 如 來 分 坐 而 與 
T50n2042_002:0104b21	令坐。佛自脫衣以與迦葉。憐愍窮苦護持佛	令 坐 佛 自 脫 衣 以 與 迦 葉 憐 愍 窮 苦 護 持 佛 
T50n2042_002:0104b22	法。今為略說。豈能盡其苦行功德。王以百千	法 今 為 略 說 豈 能 盡 其 苦 行 功 德 王 以 百 千 
T50n2042_002:0104b23	兩金施迦葉塔。即便合掌而作偈言。	兩 金 施 迦 葉 塔 即 便 合 掌 而 作 偈 言 
T50n2042_002:0104b24	　坐於山窟　　去除鬪諍　　無諸忿怒	 坐 於 山 窟 去 除 鬪 諍 無 諸 忿 怒 
T50n2042_002:0104b25	　常行禪定　　少欲知足　　功德最上	 常 行 禪 定 少欲知足 功 德 最 上 
T50n2042_002:0104b26	　我今頂禮　　至心歸命	 我 今 頂 禮 至 心 歸 命 
T50n2042_002:0104b27	復示於王婆駒羅塔。教使供養。王言。此有何	復 示 於 王 婆 駒 羅 塔 教 使 供 養 王 言 此 有 何 
T50n2042_002:0104b28	德。答言。如來所記無諸衰病少欲第一。未	德 答 言 如 來 所 記 無 諸 衰 病 少 欲 第 一 未 
T50n2042_002:0104b29	曾教人一四句偈王即使人持一金錢布施此	曾 教 人 一四句偈 王 即 使 人 持 一 金 錢 布 施 此 
T50n2042_002:0104c01	塔。輔相白王。同是大德阿羅漢塔。云何獨以	塔 輔 相 白 王 同 是 大 德 阿 羅 漢 塔 云 何 獨 以 
T50n2042_002:0104c02	一錢用施。答言。以其自度不能度他人。是	一 錢 用 施 答 言 以 其 自 度 不 能 度 他 人 是 
T50n2042_002:0104c03	故唯以一錢與之。塔神不受還授與王。輔相	故 唯 以 一 錢 與 之 塔 神 不 受 還 授 與 王 輔 相 
T50n2042_002:0104c04	復言。實是少欲。乃至一錢猶尚不取。尊者	復 言 實 是 少 欲 乃 至 一 錢 猶 尚 不 取 尊 者 
T50n2042_002:0104c05	於是復示於王阿難之塔。語王供養。王言。	於 是 復 示 於 王 阿 難 之 塔 語 王 供 養 王 言 
T50n2042_002:0104c06	有何功德。答言。如來所記總持第一。執持	有 何 功 德 答 言 如 來 所 記 總 持 第 一 執 持 
T50n2042_002:0104c07	佛法念力智慧多聞如海。義妙言說人天供	佛 法 念 力 智 慧 多 聞 如 海 義 妙 言 說 人 天 供 
T50n2042_002:0104c08	養。能知佛意一切善巧功德眾法之篋。王聞	養 能 知 佛 意 一 切 善 巧 功 德 眾 法 之 篋 王 聞 
T50n2042_002:0104c09	是語極大歡喜。以一億兩金布施此塔。大臣	是 語 極 大 歡 喜 以 一 億 兩 金 布 施 此 塔 大 臣 
T50n2042_002:0104c10	問言。云何諸供養中於此最勝。王言。以其	問 言 云 何 諸 供 養 中 於 此 最 勝 王 言 以 其 
T50n2042_002:0104c11	總持法身之故。能令法燈至今不滅。阿難之	總 持 法 身 之 故 能 令 法 燈 至 今 不 滅 阿 難 之 
T50n2042_002:0104c12	力。譬如牛跡不受海水。佛智慧海阿難能受。	力 譬 如 牛 跡 不 受 海 水 佛 智 慧 海 阿 難 能 受 
T50n2042_002:0104c13	以是因緣。諸供養中於此最多王已供養諸	以是因緣 諸 供 養 中 於 此 最 多 王 已 供 養 諸 
T50n2042_002:0104c14	大弟子聲聞塔竟。歡喜敬禮尊者。塔合掌	大 弟 子 聲 聞 塔 竟 歡 喜 敬 禮 尊 者 塔 合 掌 
T50n2042_002:0104c15	恭敬而說偈言。	恭 敬 而 說 偈 言 
T50n2042_002:0104c16	　設百千祀　　方得為人　　我今便為	 設 百 千 祀 方 得 為 人 我 今 便 為 
T50n2042_002:0104c17	　不空受身　　值良福田　　具造人果	 不 空 受 身 值 良 福 田 具 造 人 果 
T50n2042_002:0104c18	　以危脆財　　而修堅法　　我所起塔	 以 危 脆 財 而 修 堅 法 我 所 起 塔 
T50n2042_002:0104c19	　嚴閻浮提　　猶如白雲　　莊校虛空	 嚴 閻 浮 提 猶 如 白 雲 莊 校 虛 空 
T50n2042_002:0104c20	　我遭佛法　　一切清淨	 我 遭 佛 法 一 切 清 淨 
T50n2042_002:0104c21	說是偈已作禮而去。阿恕伽王於佛生處塔。	說 是 偈 已 作 禮 而 去 阿 恕 伽 王 於 佛 生 處 塔 
T50n2042_002:0104c22	菩提樹塔。轉法輪塔。般涅槃塔。雖各各施與	菩 提 樹 塔 轉 法 輪 塔 般 涅 槃 塔 雖 各 各 施 與 
T50n2042_002:0104c23	百千兩金。於菩提塔其心最重。所以者何。	百 千 兩 金 於 菩 提 塔 其 心 最 重 所以者何 
T50n2042_002:0104c24	佛於此處成正覺故。於是已後所得珍寶。常	佛 於 此 處 成 正 覺 故 於 是 已 後 所 得 珍 寶 常 
T50n2042_002:0104c25	以奉施菩提之塔。王第一夫人帝舍羅叉心	以 奉 施 菩 提 之 塔 王 第 一 夫 人 帝 舍 羅 叉 心 
T50n2042_002:0104c26	自念言。王得好寶盡與菩提。曾不見與。即	自 念 言 王 得 好 寶 盡 與 菩 提 曾 不 見 與 即 
T50n2042_002:0104c27	語真陀羅摩登伽言。汝能為我壞怨嫉不。	語 真 陀 羅 摩 登 伽 言 汝 能 為 我 壞 怨 嫉 不 
T50n2042_002:0104c28	答言若與我金則能壞之。便許金錢。時摩登	答 言 若 與 我 金 則 能 壞 之 便 許 金 錢 時 摩 登 
T50n2042_002:0104c29	伽不解其意。謂為導彼菩提之樹。即結呪索	伽 不 解 其 意 謂 為 導 彼 菩 提 之 樹 即 結 呪 索 
T50n2042_002:0105a01	繫菩提樹。而欲呪殺轉轉乾枯。王守樹人來	繫 菩 提 樹 而 欲 呪 殺 轉 轉 乾 枯 王 守 樹 人 來 
T50n2042_002:0105a02	告王言。菩提之樹今將欲枯。即說偈言。	告 王 言 菩 提 之 樹 今 將 欲 枯 即 說 偈 言 
T50n2042_002:0105a03	　如來在此處　　覺悟諸世間	 如 來 在 此 處 覺 悟 諸 世 間 
T50n2042_002:0105a04	　逮得菩提道　　證於一切智	 逮 得 菩 提 道 證 於 一 切 智 
T50n2042_002:0105a05	　此樹今將壞　　轉轉欲乾枯	 此 樹 今 將 壞 轉 轉 欲 乾 枯 
T50n2042_002:0105a06	王聞斯語悶絕躄地。以水灑面久乃得醒。啼	王 聞 斯 語 悶 絕 躄 地 以 水 灑 面 久 乃 得 醒 啼 
T50n2042_002:0105a07	哭而言。我見樹王猶如見佛。菩提樹壞我必	哭 而 言 我 見 樹 王 猶 如 見 佛 菩 提 樹 壞 我 必 
T50n2042_002:0105a08	定死。帝舍羅叉而白王言。菩提樹雖死。我亦	定 死 帝 舍 羅 叉 而 白 王 言 菩 提 樹 雖 死 我 亦 
T50n2042_002:0105a09	能與大王之樂。王言。菩提之樹非女人也。乃	能 與 大 王 之 樂 王 言 菩 提 之 樹 非 女 人 也 乃 
T50n2042_002:0105a10	是佛得無上道處。帝舍羅叉聞是語已。心生	是 佛 得 無 上 道 處 帝 舍 羅 叉 聞 是 語 已 心 生 
T50n2042_002:0105a11	敬悔語摩登伽言。汝今還能令菩提樹生如	敬 悔 語 摩 登 伽 言 汝 今 還 能 令 菩 提 樹 生 如 
T50n2042_002:0105a12	本不。答言。若不枯盡有少生氣能令如本。	本 不 答 言 若 不 枯 盡 有 少 生 氣 能 令 如 本 
T50n2042_002:0105a13	故於是乃解呪結縷。恒以千瓶乳灌。未久之	故 於 是 乃 解 呪 結 縷 恒 以 千 瓶 乳 灌 未 久 之 
T50n2042_002:0105a14	間樹生如故。王守樹人復來告王。樹還復生	間 樹 生 如 故 王 守 樹 人 復 來 告 王 樹 還 復 生 
T50n2042_002:0105a15	與本無異。王聞是語踊躍歡喜詣菩提樹觀	與 本 無 異 王 聞 是 語 踊 躍 歡 喜 詣 菩 提 樹 觀 
T50n2042_002:0105a16	樹而言。頻婆娑羅王等所不能作。我於今日	樹 而 言 頻婆娑羅 王 等 所 不 能 作 我 於 今 日 
T50n2042_002:0105a17	當作二種。云何二種。一者當造千杖寶瓶以	當 作 二 種 云 何 二 種 一 者 當 造 千 杖 寶 瓶 以 
T50n2042_002:0105a18	盛香汁灌菩提樹。二者當作般遮于瑟極大	盛 香 汁 灌菩提樹 二 者 當 作 般遮于瑟 極 大 
T50n2042_002:0105a19	之會。王便即以金銀琉璃作千寶瓶。滿中香	之 會 王 便 即 以 金 銀 琉 璃 作 千 寶 瓶 滿 中 香 
T50n2042_002:0105a20	湯以灌於樹。并眾花鬘末香塗香復莊嚴之。	湯 以 灌 於 樹 并 眾 花 鬘 末 香 塗 香 復 莊 嚴 之 
T50n2042_002:0105a21	王自洗浴著新淨衣受持八齋。上高樓上遍	王 自 洗 浴 著 新 淨 衣 受 持 八 齋 上 高 樓 上 遍 
T50n2042_002:0105a22	觀四方。諸佛弟子聲聞之眾。修正見者諸根	觀 四 方 諸 佛 弟 子 聲 聞 之 眾 修 正 見 者 諸 根 
T50n2042_002:0105a23	寂定摧滅欲結。人天阿修羅等所應供養者。	寂 定 摧 滅 欲 結 人 天 阿 修 羅 等 所 應 供 養 者 
T50n2042_002:0105a24	願見憐愍。受我之請。諸樂禪定及智慧者。解	願 見 憐 愍 受 我 之 請 諸 樂 禪 定 及 智 慧 者 解 
T50n2042_002:0105a25	脫眾僧最勝真子。善逝法中之所生者哀受	脫 眾 僧 最 勝 真 子 善 逝 法 中 之 所 生 者 哀 受 
T50n2042_002:0105a26	我請。居住罽賓晝夜無畏。摩訶婆那離越諸	我 請 居 住 罽 賓 晝 夜 無 畏 摩 訶 婆 那 離 越 諸 
T50n2042_002:0105a27	聖亦垂哀愍而受我請。阿耨大池峻嶮之處。	聖 亦 垂 哀 愍 而 受 我 請 阿 耨 大 池 峻 嶮 之 處 
T50n2042_002:0105a28	及與河邊諸山谷間舍利窟住者。香山住者。	及 與 河 邊 諸 山 谷 間 舍 利 窟 住 者 香 山 住 者 
T50n2042_002:0105a29	皆願垂矜受我之請。王如是請已。四方來者	皆 願 垂 矜 受 我 之 請 王 如 是 請 已 四 方 來 者 
T50n2042_002:0105b01	三十萬僧。十萬僧者是阿羅漢。二十萬僧者	三 十 萬 僧 十 萬 僧 者 是 阿 羅 漢 二 十 萬 僧 者 
T50n2042_002:0105b02	是須陀洹斯陀含阿那含。及清淨凡夫悉皆	是 須陀洹斯陀含 阿 那 含 及 清 淨 凡 夫 悉 皆 
T50n2042_002:0105b03	就座。唯留上座所坐之處無敢坐者。王問上	就 座 唯 留 上 座 所 坐 之 處 無 敢 坐 者 王 問 上 
T50n2042_002:0105b04	座。以何義故。坐此空處。答言。更有上座當	座 以 何 義 故 坐 此 空 處 答 言 更 有 上 座 當 
T50n2042_002:0105b05	坐此處。王復問言。更有上座大於汝耶。夜舍	坐 此 處 王 復 問 言 更 有 上 座 大 於 汝 耶 夜 舍 
T50n2042_002:0105b06	答言。昔佛所記師子吼中最為第一。名賓頭	答 言 昔 佛 所 記 師 子 吼 中 最 為 第 一 名 賓 頭 
T50n2042_002:0105b07	盧跋羅豆婆闍。尊重於我。王聞此語衣毛皆	盧 跋 羅 豆 婆 闍 尊 重 於 我 王 聞 此 語 衣 毛 皆 
T50n2042_002:0105b08	竪。如迦曇花樹。	竪 如 迦 曇 花 樹 
T50n2042_002:0105b09	又問言。頗有得見如來者不。夜舍答言。有賓	又 問 言 頗 有 得 見 如 來 者 不 夜 舍 答 言 有 賓 
T50n2042_002:0105b10	頭盧阿羅漢。見佛在時。王言。可得見不。答	頭 盧 阿 羅 漢 見 佛 在 時 王 言 可 得 見 不 答 
T50n2042_002:0105b11	言。正爾。當來使王見之。王歡喜而言我得	言 正 爾 當 來 使 王 見 之 王 歡 喜 而 言 我 得 
T50n2042_002:0105b12	極大利益。今哀愍我第一得見賓頭盧。即便	極 大 利 益 今 哀 愍 我 第 一 得 見 賓 頭 盧 即 便 
T50n2042_002:0105b13	合掌瞻仰而待。見賓頭盧猶如半月亦如鵝	合 掌 瞻 仰 而 待 見 賓 頭 盧 猶 如 半 月 亦 如 鵝 
T50n2042_002:0105b14	王。與數千萬阿羅漢等從空中來下坐上座	王 與 數 千 萬 阿 羅 漢 等 從 空 中 來 下 坐 上 座 
T50n2042_002:0105b15	頭三十萬眾皆起恭敬。王見賓頭盧頭白眉	頭 三 十 萬 眾 皆 起 恭 敬 王 見 賓 頭 盧 頭 白 眉 
T50n2042_002:0105b16	秀。身體相好如辟支佛。即為作禮五體投地。	秀 身 體 相 好 如 辟 支 佛 即 為 作 禮 五體投地 
T50n2042_002:0105b17	嗚尊者足起而[跍*月]跪。說於偈言。	嗚 尊 者 足 起 而 [跍月] 跪 說 於 偈 言 
T50n2042_002:0105b18	　如來雖滅度　　尊者補處生	 如 來 雖 滅 度 尊 者 補 處 生 
T50n2042_002:0105b19	　哀愍垂教授　　我當隨順行	 哀 愍 垂 教 授 我 當 隨 順 行 
T50n2042_002:0105b20	說此偈已問尊者言。見如來不。答言。我見。色	說 此 偈 已 問 尊 者 言 見 如 來 不 答 言 我 見 色 
T50n2042_002:0105b21	如金聚。面如滿月。三十二相莊嚴其身。梵音	如 金 聚 面 如 滿 月 三十二相 莊 嚴 其 身 梵 音 
T50n2042_002:0105b22	深妙大悲窟宅。王又問言。於何處見。尊者	深 妙 大 悲 窟 宅 王 又 問 言 於 何 處 見 尊 者 
T50n2042_002:0105b23	言。佛與五百阿羅漢等。在王舍城夏安居時。	言 佛 與 五 百 阿 羅 漢 等 在 王 舍 城 夏 安 居 時 
T50n2042_002:0105b24	我在其中見盛福田。在舍衛國現大神變摧	我 在 其 中 見 盛 福 田 在 舍 衛 國 現 大 神 變 摧 
T50n2042_002:0105b25	外道時。莊嚴化佛次第上至阿迦膩吒。我於	外 道 時 莊 嚴 化 佛 次 第 上 至 阿 迦 膩 吒 我 於 
T50n2042_002:0105b26	爾時亦在其中。佛在忉利天為母說法。諸天	爾 時 亦 在 其 中 佛 在 忉 利 天 為 母 說 法 諸 天 
T50n2042_002:0105b27	圍繞。來下之時我亦在其中。至僧伽戶沙池	圍 繞 來 下 之 時 我 亦 在 其 中 至 僧 伽 戶 沙 池 
T50n2042_002:0105b28	側時我亦在其中。蓮花比丘尼化作轉輪聖	側 時 我 亦 在 其 中 蓮 花 比 丘 尼 化 作 轉 輪 聖 
T50n2042_002:0105b29	王。具足千子禮佛足時亦在其中。蘇摩伽帝	王 具 足 千 子 禮 佛 足 時 亦 在 其 中 蘇 摩 伽 帝 
T50n2042_002:0105c01	滿富城內請佛之時。五百羅漢各現神變至	滿 富 城 內 請 佛 之 時 五 百 羅 漢 各 現 神 變 至 
T50n2042_002:0105c02	滿富城。我於爾時化作寶山。寶窟中坐往滿	滿 富 城 我 於 爾 時 化 作 寶 山 寶 窟 中 坐 往 滿 
T50n2042_002:0105c03	富城。佛入王舍城次行乞食。汝以土施。羅提	富 城 佛 入 王 舍 城 次 行 乞 食 汝 以 土 施 羅 提 
T50n2042_002:0105c04	毱多合掌隨喜。佛記汝時我亦得見。王又問	毱 多 合 掌 隨 喜 佛 記 汝 時 我 亦 得 見 王 又 問 
T50n2042_002:0105c05	言。尊者。近來在何處住。尊者答言。在香山	言 尊 者 近 來 在 何 處 住 尊 者 答 言 在 香 山 
T50n2042_002:0105c06	住。復問言曰。將從幾許。答言。六萬。大王且	住 復 問 言 曰 將 從 幾 許 答 言 六 萬 大 王 且 
T50n2042_002:0105c07	止。何須多問。日時已到可與僧食。食訖當更	止 何 須 多 問 日 時 已 到 可 與 僧 食 食 訖 當 更 
T50n2042_002:0105c08	為王具說。王言。請從尊者教。先發起我念	為 王 具 說 王 言 請 從 尊 者 教 先 發 起 我 念 
T50n2042_002:0105c09	佛之心。灌菩提樹然後與食。王喚維那薩娑	佛 之 心 灌菩提樹 然 後 與 食 王 喚 維 那 薩 娑 
T50n2042_002:0105c10	蜜多而語之言。我以十萬兩金施於眾僧。以	蜜 多 而 語 之 言 我 以 十 萬 兩 金 施 於 眾 僧 以 
T50n2042_002:0105c11	千寶瓶盛滿香湯灌菩提樹。可打揵搥稱我	千 寶 瓶 盛 滿 香 湯 灌菩提樹 可 打 揵 搥 稱 我 
T50n2042_002:0105c12	名字用為檀越作般遮于瑟。王子駒那羅左	名 字 用 為 檀 越 作 般遮于瑟 王 子 駒 那 羅 左 
T50n2042_002:0105c13	右面立不發口言。便舉手指。我倍與之。見	右 面 立 不 發 口 言 便 舉 手 指 我 倍 與 之 見 
T50n2042_002:0105c14	人皆笑。王亦自笑。語羅提毱多。汝所為也。答	人 皆 笑 王 亦 自 笑 語 羅 提 毱 多 汝 所 為 也 答 
T50n2042_002:0105c15	言。人眾極多貪福者眾。王復言曰。我以三十	言 人 眾 極 多 貪 福 者 眾 王 復 言 曰 我 以 三 十 
T50n2042_002:0105c16	萬兩金奉施於僧。以三千寶瓶盛滿香湯灌	萬 兩 金 奉 施 於 僧 以 三 千 寶 瓶 盛 滿 香 湯 灌 
T50n2042_002:0105c17	菩提樹。時駒那羅復舉四指。王語羅提毱	菩 提 樹 時 駒 那 羅 復 舉 四 指 王 語 羅 提 毱 
T50n2042_002:0105c18	多。誰與我競。羅提毱多長跪而言。誰能敢	多 誰 與 我 競 羅 提 毱 多 長 跪 而 言 誰 能 敢 
T50n2042_002:0105c19	與人帝共競。駒那羅嬰孩小兒與父戲耳。	與 人 帝 共 競 駒 那 羅 嬰 孩 小 兒 與 父 戲 耳 
T50n2042_002:0105c20	王右顧見駒那羅即語上座言。我盡庫藏	王 右 顧 見 駒 那 羅 即 語 上 座 言 我 盡 庫 藏 
T50n2042_002:0105c21	一切宮人并諸輔相及與我身子駒那羅等。	一 切 宮 人 并 諸 輔 相 及 與 我 身 子 駒 那 羅 等 
T50n2042_002:0105c22	一切施僧。請稱我名般遮于瑟。布施已訖。	一 切 施 僧 請 稱 我 名 般遮于瑟 布 施 已 訖 
T50n2042_002:0105c23	僧為呪願。受呪願竟。於菩提樹四邊縛格。自	僧 為 呪 願 受 呪 願 竟 於 菩 提 樹 四 邊 縛 格 自 
T50n2042_002:0105c24	上其上。以四千寶瓶盛滿香湯灌菩提樹。灌	上 其 上 以 四 千 寶 瓶 盛 滿 香 湯 灌菩提樹 灌 
T50n2042_002:0105c25	菩提樹已。欲與僧食。上座夜舍言。王遇勝	菩 提 樹 已 欲 與 僧 食 上 座 夜 舍 言 王 遇 勝 
T50n2042_002:0105c26	福田。莫生優劣心。王自行食。乃至於沙彌。	福 田 莫 生 優 劣 心 王 自 行 食 乃 至 於 沙 彌 
T50n2042_002:0105c27	時有二沙彌行和敬法。一者以[麩夫+少]用施於彼。	時 有 二 沙 彌 行 和 敬 法 一 者 以 [麩夫少] 用 施 於 彼 
T50n2042_002:0105c28	彼還以[麩夫+少]而與此。此以餅復施於彼。彼亦用	彼 還 以 [麩夫少] 而 與 此 此 以 餅 復 施 於 彼 彼 亦 用 
T50n2042_002:0105c29	餅還與施之。此更復以歡喜丸用施於彼。彼	餅 還 與 施 之 此 更 復 以 歡 喜 丸 用 施 於 彼 彼 
T50n2042_002:0106a01	亦還以歡喜丸而復報與。王見是已笑而言	亦 還 以 歡 喜 丸 而 復 報 與 王 見 是 已 笑 而 言 
T50n2042_002:0106a02	曰。如小兒戲耳。時王行食到上座頭。上座問	曰 如 小 兒 戲 耳 時 王 行 食 到 上 座 頭 上 座 問 
T50n2042_002:0106a03	言。王見非威儀事。能不生嫌心耶。王言。不	言 王 見 非 威 儀 事 能 不 生 嫌 心 耶 王 言 不 
T50n2042_002:0106a04	也。見二沙彌如小兒戲。上座言。大王。莫生譏	也 見 二 沙 彌 如 小 兒 戲 上 座 言 大 王 莫 生 譏 
T50n2042_002:0106a05	嫌。此二沙彌是俱解脫阿羅漢也。王聞是語	嫌 此 二 沙 彌 是 俱 解 脫 阿 羅 漢 也 王 聞 是 語 
T50n2042_002:0106a06	生歡喜心。而自念言。我今當施一切眾僧人	生歡喜心 而 自 念 言 我 今 當 施 一 切 眾 僧 人 
T50n2042_002:0106a07	一張[疊*毛]。時二沙彌已知王心作是思惟。今	一 張 [疊毛] 時 二 沙 彌 已 知 王 心 作是思惟 今 
T50n2042_002:0106a08	當使王倍生信敬。於是二沙彌一者具鑊一	當 使 王 倍 生 信 敬 於 是 二 沙 彌 一 者 具 鑊 一 
T50n2042_002:0106a09	者辦染具。王見是已。語沙彌言。欲作何物。	者 辦 染 具 王 見 是 已 語 沙 彌 言 欲 作 何 物 
T50n2042_002:0106a10	沙彌言。王以我故欲與眾僧人一張[疊*毛]。今辦	沙 彌 言 王 以 我 故 欲 與 眾 僧 人 一 張 [疊毛] 今 辦 
T50n2042_002:0106a11	染具。欲以染之。王聞此語。便自念言。彼二沙	染 具 欲 以 染 之 王 聞 此 語 便 自 念 言 彼 二 沙 
T50n2042_002:0106a12	彌已知我心。王大歡喜。五體投地。禮沙彌足	彌 已 知 我 心 王 大 歡 喜 五體投地 禮 沙 彌 足 
T50n2042_002:0106a13	起合掌言。我之眷屬極得大利獲勝福田。今	起 合 掌 言 我 之 眷 屬 極 得 大 利 獲 勝 福 田 今 
T50n2042_002:0106a14	盡我力而用布施。語沙彌言。以汝之故。一切	盡 我 力 而 用 布 施 語 沙 彌 言 以 汝 之 故 一 切 
T50n2042_002:0106a15	眾僧人與三衣。於是便造般遮于瑟以四十	眾 僧 人 與 三 衣 於 是 便 造 般遮于瑟 以 四 十 
T50n2042_002:0106a16	萬兩金國土宮人輔相己身子駒那羅等。盡	萬 兩 金 國 土 宮 人 輔 相 己 身 子 駒 那 羅 等 盡 
T50n2042_002:0106a17	施眾僧而還歸家。阿恕伽王信敬具足。起八	施 眾 僧 而 還 歸 家 阿 恕 伽 王 信 敬 具 足 起 八 
T50n2042_002:0106a18	萬四千塔。作般遮于瑟竟。閻浮提內多分之	萬 四 千 塔 作 般遮于瑟 竟 閻 浮 提 內 多 分 之 
T50n2042_002:0106a19	一信向佛法。◎	一 信 向 佛 法 
T50n2042_002:0106a20	◎阿恕伽王第本緣	 阿 恕 伽 王 第 本 緣 
T50n2042_002:0106a21	阿恕伽王弟名宿大哆。信敬外道譏說佛法。	阿 恕 伽 王 弟 名 宿 大 哆 信 敬 外 道 譏 說 佛 法 
T50n2042_002:0106a22	作是言。出家沙門無有得解脫者。時阿恕伽	作 是 言 出 家 沙 門 無 有 得 解 脫 者 時 阿 恕 伽 
T50n2042_002:0106a23	王語宿大哆言。何以知之。答言。諸沙門等不	王 語 宿 大 哆 言 何 以 知 之 答 言 諸 沙 門 等 不 
T50n2042_002:0106a24	修苦行好著樂事故。阿恕伽王。語宿大哆言。	修 苦 行 好 著 樂 事 故 阿 恕 伽 王 語 宿 大 哆 言 
T50n2042_002:0106a25	汝今莫於不可信處而強生信。可信之處而	汝 今 莫 於 不 可 信 處 而 強 生 信 可 信 之 處 而 
T50n2042_002:0106a26	不信敬。於佛法僧應生重信。阿恕伽王曾於	不 信 敬 於 佛 法 僧 應 生 重 信 阿 恕 伽 王 曾 於 
T50n2042_002:0106a27	一時共宿大哆出行遊獵。見一婆羅門五熱	一 時 共 宿 大 哆 出 行 遊 獵 見 一 婆 羅 門 五 熱 
T50n2042_002:0106a28	炙身。宿大哆心生信敬。往到其邊禮足問言。	炙 身 宿 大 哆 心 生 信 敬 往 到 其 邊 禮 足 問 言 
T50n2042_002:0106a29	苦行以來經今幾時。答言。經十二年。常何	苦 行 以 來 經 今 幾 時 答 言 經 十 二 年 常 何 
T50n2042_002:0106b01	所食。答言。食菓食根。著何物衣。答言。著於	所 食 答 言 食 菓 食 根 著 何 物 衣 答 言 著 於 
T50n2042_002:0106b02	草衣。為鋪何物。答言鋪草為座問言。汝今	草 衣 為 鋪 何 物 答 言 鋪 草 為 座 問 言 汝 今 
T50n2042_002:0106b03	所行何事最苦。答言。唯見蟲鹿牉合之時	所 行 何 事 最 苦 答 言 唯 見 蟲 鹿 牉 合 之 時 
