T08n0235_001:0748c17	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
T08n0235_001:0751a10	降伏其心？」佛告須菩提：「善男子、善女人，發	降 伏 其 心 佛 告 須 菩 提 善 男 子 善 女 人 發 
T08n0235_001:0751a11	阿耨多羅三藐三菩提者，當生如是心：『我	阿耨多羅三藐三菩提 者 當 生如是心 我 
T08n0235_001:0751a12	應滅度一切眾生。滅度一切眾生已，而無	應 滅 度 一 切 眾 生 滅 度 一 切 眾 生 已 而 無 
T08n0235_001:0751a13	有一眾生實滅度者。』何以故？須菩提！若菩	有 一 眾 生 實 滅 度 者 何 以 故 須 菩 提 若 菩 
T08n0235_001:0751a14	薩有我相、人相、眾生相、壽者相，則非菩薩。所	薩 有 我 相 人 相 眾 生 相 壽 者 相 則 非 菩 薩 所 
T08n0235_001:0751a15	以者何？須菩提！實無有法發阿耨多羅三	以 者 何 須 菩 提 實 無 有 法 發 阿 耨 多 羅 三 
T08n0235_001:0751a16	藐三菩提者。「須菩提！於意云何？如來於然	藐 三 菩 提 者 須 菩 提 於意云何 如 來 於 然 
T08n0235_001:0751a17	燈佛所，有法得阿耨多羅三藐三菩提不？」	燈 佛 所 有 法 得阿耨多羅三藐三菩提 不 
T08n0235_001:0751a18	「不也，世尊！如我解佛所說義，佛於然燈佛	 不 也 世 尊 如 我 解 佛 所 說 義 佛 於 然 燈 佛 
T08n0235_001:0751a19	所，無有法得阿耨多羅三藐三菩提。」佛言：	所 無 有 法 得阿耨多羅三藐三菩提 佛 言 
T08n0235_001:0751a20	「如是，如是！須菩提！實無有法，如來得阿	 如 是 如 是 須 菩 提 實 無 有 法 如 來 得 阿 
T08n0235_001:0751a21	耨多羅三藐三菩提。須菩提！若有法如來	耨 多 羅 三藐三菩提 須 菩 提 若 有 法 如 來 
T08n0235_001:0751a22	得阿耨多羅三藐三菩提者，然燈佛則不	得阿耨多羅三藐三菩提 者 然 燈 佛 則 不 
T08n0235_001:0751a23	與我受記：『汝於來世，當得作佛，號釋迦	與 我 受 記 汝 於 來 世 當 得 作 佛 號 釋 迦 
T08n0235_001:0751a24	牟尼。』以實無有法得阿耨多羅三藐三菩	牟 尼 以 實 無 有 法 得 阿 耨 多 羅 三 藐 三 菩 
T08n0235_001:0751a25	提，是故然燈佛與我受記，作是言：『汝於來	提 是 故 然 燈 佛 與 我 受 記 作 是 言 汝 於 來 
T08n0235_001:0751a26	世，當得作佛，號釋迦牟尼。』何以故？如來者，	世 當 得 作 佛 號 釋 迦 牟 尼 何 以 故 如 來 者 
T08n0235_001:0751a27	即諸法如義。「若有人言：『如來得阿耨多羅	即 諸 法 如 義 若 有 人 言 如 來 得 阿 耨 多 羅 
T08n0235_001:0751a28	三藐三菩提。』須菩提！實無有法，佛得阿耨	三藐三菩提 須 菩 提 實 無 有 法 佛 得 阿 耨 
T08n0235_001:0751a29	多羅三藐三菩提。須菩提！如來所得阿耨多	多 羅 三藐三菩提 須 菩 提 如 來 所 得 阿 耨 多 
T08n0235_001:0751b01	羅三藐三菩提，於是中無實無虛。是故如	羅 三藐三菩提 於 是 中 無 實 無 虛 是 故 如 
T08n0235_001:0751b02	來說：『一切法皆是佛法。』須菩提！所言一切法	來 說 一 切 法 皆 是 佛 法 須 菩 提 所 言 一 切 法 
T08n0235_001:0751b03	者，即非一切法，是故名一切法。「須菩提！譬	者 即 非 一 切 法 是 故 名 一 切 法 須 菩 提 譬 
T08n0235_001:0751b04	如人身長大。」須菩提言：「世尊！如來說人身	如 人 身 長 大 須 菩 提 言 世 尊 如 來 說 人 身 
T08n0235_001:0751b05	長大，則為非大身，是名大身。」「須菩提！菩薩	長 大 則 為 非 大 身 是 名 大 身 須 菩 提 菩 薩 
T08n0235_001:0751b06	亦如是。若作是言：『我當滅度無量眾生。』則	亦 如 是 若 作 是 言 我 當 滅 度 無 量 眾 生 則 
T08n0235_001:0751b07	不名菩薩。何以故？須菩提！實無有法名	不 名 菩 薩 何 以 故 須 菩 提 實 無 有 法 名 
T08n0235_001:0751b08	為菩薩。是故佛說：『一切法無我、無人、無眾生、	為 菩 薩 是 故 佛 說 一切法無我 無 人 無 眾 生 
T08n0235_001:0751b09	無壽者。』須菩提！若菩薩作是言：『我當莊嚴	無 壽 者 須 菩 提 若 菩 薩 作 是 言 我 當 莊 嚴 
T08n0235_001:0751b10	佛土。』是不名菩薩。何以故？如來說莊嚴佛	佛 土 是 不 名 菩 薩 何 以 故 如 來 說 莊 嚴 佛 
T08n0235_001:0751b11	土者，即非莊嚴，是名莊嚴。須菩提！若菩薩	土 者 即 非 莊 嚴 是 名 莊 嚴 須 菩 提 若 菩 薩 
T08n0235_001:0751b12	通達無我法者，如來說名真是菩薩。	通 達 無 我 法 者 如 來 說 名 真 是 菩 薩 
T08n0235_001:0751b13	「須菩提！於意云何？如來有肉眼不？」「如是，	 須 菩 提 於意云何 如 來 有 肉 眼 不 如 是 
T08n0235_001:0751b14	世尊！如來有肉眼。」「須菩提！於意云何？如來	世 尊 如 來 有 肉 眼 須 菩 提 於意云何 如 來 
T08n0235_001:0751b15	有天眼不？」「如是，世尊！如來有天眼。」「須菩	有 天 眼 不 如 是 世 尊 如 來 有 天 眼 須 菩 
T08n0235_001:0751b16	提！於意云何？如來有慧眼不？」「如是，世尊！	提 於意云何 如 來 有 慧 眼 不 如 是 世 尊 
T08n0235_001:0751b17	如來有慧眼。」「須菩提！於意云何？如來有法	如 來 有 慧 眼 須 菩 提 於意云何 如 來 有 法 
T08n0235_001:0751b18	眼不？」「如是，世尊！如來有法眼。」「須菩提！於	眼 不 如 是 世 尊 如 來 有 法 眼 須 菩 提 於 
T08n0235_001:0751b19	意云何？如來有佛眼不？」「如是，世尊！如來	意 云 何 如 來 有 佛 眼 不 如 是 世 尊 如 來 
T08n0235_001:0751b20	有佛眼。」「須菩提！於意云何？恒河中所有	有 佛 眼 須 菩 提 於意云何 恒 河 中 所 有 
T08n0235_001:0751b21	沙，佛說是沙不？」「如是，世尊！如來說是沙。」「須	沙 佛 說 是 沙 不 如 是 世 尊 如 來 說 是 沙 須 
T08n0235_001:0751b22	菩提！於意云何？如一恒河中所有沙，有如	菩 提 於意云何 如 一 恒 河 中 所 有 沙 有 如 
T08n0235_001:0751b23	是等恒河，是諸恒河所有沙數佛世界，如	是 等 恒 河 是 諸 恒 河 所 有 沙 數 佛 世 界 如 
T08n0235_001:0751b24	是寧為多不？」「甚多，世尊！」佛告須菩提：「爾所	是 寧 為 多 不 甚 多 世 尊 佛 告 須 菩 提 爾 所 
T08n0235_001:0751b25	國土中，所有眾生，若干種心，如來悉知。何以	國 土 中 所 有 眾 生 若 干 種 心 如 來 悉 知 何 以 
T08n0235_001:0751b26	故？如來說諸心，皆為非心，是名為心。所以	故 如 來 說 諸 心 皆 為 非 心 是 名 為 心 所 以 
T08n0235_001:0751b27	者何？須菩提！過去心不可得，現在心不可	者 何 須 菩 提 過 去 心 不 可 得 現 在 心 不 可 
T08n0235_001:0751b28	得，未來心不可得。	得 未來心不可得 
T08n0235_001:0751b29	「須菩提！於意云何？若有人滿三千大千世	 須 菩 提 於意云何 若 有 人 滿 三千大千 世 
T08n0235_001:0751c01	界七寶以用布施，是人以是因緣，得福多	界 七 寶 以用布施 是 人 以是因緣 得 福 多 
T08n0235_001:0751c02	不？」「如是，世尊！此人以是因緣，得福甚多。」	不 如 是 世 尊 此 人 以是因緣 得 福 甚 多 
T08n0235_001:0751c03	「須菩提！若福德有實，如來不說得福德多；	 須 菩 提 若 福 德 有 實 如 來 不 說 得 福 德 多 
T08n0235_001:0751c04	以福德無故，如來說得福德多。	以 福 德 無 故 如 來 說 得 福 德 多 
T08n0235_001:0751c05	「須菩提！於意云何？佛可以具足色身見	 須 菩 提 於意云何 佛 可 以 具足色身 見 
T08n0235_001:0751c06	不？」「不也，世尊！如來不應以具足色身見。何	不 不 也 世 尊 如 來 不 應 以 具足色身 見 何 
T08n0235_001:0751c07	以故？如來說具足色身，即非具足色身，是	以 故 如 來 說 具足色身 即 非 具足色身 是 
T08n0235_001:0751c08	名具足色身。」「須菩提！於意云何？如來可以	名 具足色身 須 菩 提 於意云何 如 來 可 以 
T08n0235_001:0751c09	具足諸相見不？」「不也，世尊！如來不應以	具 足 諸 相 見 不 不 也 世 尊 如 來 不 應 以 
T08n0235_001:0751c10	具足諸相見。何以故？如來說諸相具足，即	具 足 諸 相 見 何 以 故 如 來 說 諸 相 具 足 即 
T08n0235_001:0751c11	非具足，是名諸相具足。」「須菩提！汝勿謂如	非 具 足 是 名 諸 相 具 足 須 菩 提 汝 勿 謂 如 
T08n0235_001:0751c12	來作是念：『我當有所說法。』莫作是念，何以	來 作 是 念 我 當 有 所 說 法 莫 作 是 念 何 以 
T08n0235_001:0751c13	故？若人言：『如來有所說法。』即為謗佛，不	故 若 人 言 如 來 有 所 說 法 即 為 謗 佛 不 
T08n0235_001:0751c14	能解我所說故。須菩提！說法者，無法可	能 解 我 所 說 故 須 菩 提 說 法 者 無 法 可 
T08n0235_001:0751c15	說，是名說法。」	說 是 名 說 法 
T08n0235_001:0751c16	爾時，慧命須菩提白佛言：「世尊！頗有眾生，	爾 時 慧 命 須 菩 提 白 佛 言 世 尊 頗 有 眾 生 
T08n0235_001:0751c17	於未來世，聞說是法，生信心不？」佛言：「須	於未來世 聞 說 是 法 生 信 心 不 佛 言 須 
T08n0235_001:0751c18	菩提！彼非眾生，非不眾生。何以故？須菩	菩 提 彼 非 眾 生 非 不 眾 生 何 以 故 須 菩 
T08n0235_001:0751c19	提！眾生、眾生者，如來說非眾生，是名眾生。」	提 眾 生 眾 生 者 如 來 說 非 眾 生 是 名 眾 生 
T08n0235_001:0751c20	須菩提白佛言：「世尊！佛得阿耨多羅三藐	須 菩 提 白 佛 言 世 尊 佛 得 阿 耨 多 羅 三 藐 
T08n0235_001:0751c21	三菩提，為無所得耶？」「如是，如是！須菩提！	三 菩 提 為 無 所 得 耶 如 是 如 是 須 菩 提 
T08n0235_001:0751c22	我於阿耨多羅三藐三菩提乃至無有少法	我 於 阿耨多羅三藐三菩提 乃 至 無 有 少 法 
T08n0235_001:0751c23	可得，是名阿耨多羅三藐三菩提。	可 得 是 名 阿耨多羅三藐三菩提 
T08n0235_001:0751c24	「復次，須菩提！是法平等，無有高下，是名阿	 復 次 須 菩 提 是 法 平 等 無有高下 是 名 阿 
T08n0235_001:0751c25	耨多羅三藐三菩提；以無我、無人、無眾生、無	耨 多 羅 三藐三菩提 以 無 我 無 人 無 眾 生 無 
T08n0235_001:0751c26	壽者，修一切善法，則得阿耨多羅三藐三菩	壽 者 修 一 切 善 法 則 得 阿 耨 多 羅 三 藐 三 菩 
T08n0235_001:0751c27	提。須菩提！所言善法者，如來說非善法，	提 須 菩 提 所 言 善 法 者 如 來 說 非 善 法 
T08n0235_001:0751c28	是名善法。	是 名 善 法 
T08n0235_001:0751c29	「須菩提！若三千大千世界中所有諸須彌山	 須 菩 提 若 三千大千世界 中 所 有 諸 須 彌 山 
T08n0235_001:0752a01	王，如是等七寶聚，有人持用布施；若人以	王 如 是 等 七 寶 聚 有 人 持用布施 若 人 以 
T08n0235_001:0752a02	此般若波羅蜜經，乃至四句偈等，受持讀誦、	此 般若波羅蜜經 乃 至 四 句 偈 等 受持讀誦 
T08n0235_001:0752a03	為他人說，於前福德百分不及一，百千	為 他 人 說 於 前 福 德 百 分 不 及 一 百 千 
T08n0235_001:0752a04	萬億分，乃至算數譬喻所不能及。	萬 億 分 乃 至 算 數 譬 喻 所 不 能 及 
T08n0235_001:0752a05	「須菩提！於意云何？汝等勿謂如來作是念：	 須 菩 提 於意云何 汝 等 勿 謂 如 來 作 是 念 
T08n0235_001:0752a06	『我當度眾生。』須菩提！莫作是念。何以故？	 我 當 度 眾 生 須 菩 提 莫 作 是 念 何 以 故 
T08n0235_001:0752a07	實無有眾生如來度者，若有眾生如來度	實 無 有 眾 生 如 來 度 者 若 有 眾 生 如 來 度 
T08n0235_001:0752a08	者，如來則有我、人、眾生、壽者。須菩提！如來	者 如 來 則 有 我 人 眾 生 壽 者 須 菩 提 如 來 
T08n0235_001:0752a09	說：『有我者，則非有我，而凡夫之人以為有	說 有 我 者 則 非 有 我 而 凡 夫 之 人 以 為 有 
T08n0235_001:0752a10	我。』須菩提！凡夫者，如來說則非凡夫。	我 須 菩 提 凡 夫 者 如 來 說 則 非 凡 夫 
T08n0235_001:0752a11	「須菩提！於意云何？可以三十二相觀如	 須 菩 提 於意云何 可 以 三十二相 觀 如 
T08n0235_001:0752a12	來不？」須菩提言：「如是，如是！以三十二相	來 不 須 菩 提 言 如 是 如 是 以 三十二相 
T08n0235_001:0752a13	觀如來。」佛言：「須菩提！若以三十二相觀	觀 如 來 佛 言 須 菩 提 若 以 三十二相 觀 
T08n0235_001:0752a14	如來者，轉輪聖王則是如來。」須菩提白佛	如 來 者 轉輪聖王 則 是 如 來 須 菩 提 白 佛 
T08n0235_001:0752a15	言：「世尊！如我解佛所說義，不應以三十	言 世 尊 如 我 解 佛 所 說 義 不 應 以 三 十 
T08n0235_001:0752a16	二相觀如來。」爾時，世尊而說偈言：	二 相 觀 如 來 爾 時 世 尊 而 說 偈 言 
T08n0235_001:0752a17	「若以色見我，　　以音聲求我，	 若 以 色 見 我 以 音 聲 求 我 
T08n0235_001:0752a18	　是人行邪道，　　不能見如來。	 是 人 行 邪 道 不 能 見 如 來 
T08n0235_001:0752a19	「須菩提！汝若作是念：『如來不以具足相故，	 須 菩 提 汝 若 作 是 念 如 來 不 以 具 足 相 故 
T08n0235_001:0752a20	得阿耨多羅三藐三菩提。』須菩提！莫作是	得阿耨多羅三藐三菩提 須 菩 提 莫 作 是 
T08n0235_001:0752a21	念。如來不以具足相故，得阿耨多羅三藐	念 如 來 不 以 具 足 相 故 得 阿 耨 多 羅 三 藐 
T08n0235_001:0752a22	三菩提。「須菩提！汝若作是念：『發阿耨多羅	三 菩 提 須 菩 提 汝 若 作 是 念 發 阿 耨 多 羅 
T08n0235_001:0752a23	三藐三菩提者，說諸法斷滅相。』莫作是	三藐三菩提 者 說 諸 法 斷 滅 相 莫 作 是 
T08n0235_001:0752a24	念。何以故？發阿耨多羅三藐三菩提心者，	念 何 以 故 發 阿耨多羅三藐三菩提 心 者 
T08n0235_001:0752a25	於法不說斷滅相。「須菩提！若菩薩以滿恒	於 法 不 說 斷 滅 相 須 菩 提 若 菩 薩 以 滿 恒 
T08n0235_001:0752a26	河沙等世界七寶布施；若復有人知一切	河 沙 等 世 界 七 寶 布 施 若 復 有 人 知 一 切 
T08n0235_001:0752a27	法無我，得成於忍，此菩薩勝前菩薩所得	法 無 我 得 成 於 忍 此 菩 薩 勝 前 菩 薩 所 得 
T08n0235_001:0752a28	功德。須菩提！以諸菩薩不受福德故。」須	功 德 須 菩 提 以 諸 菩 薩 不 受 福 德 故 須 
T08n0235_001:0752a29	菩提白佛言：「世尊！云何菩薩不受福德？」「須	菩 提 白 佛 言 世 尊 云 何 菩 薩 不 受 福 德 須 
T08n0235_001:0752b01	菩提！菩薩所作福德，不應貪著，是故說不	菩 提 菩薩所作 福 德 不應貪著 是 故 說 不 
T08n0235_001:0752b02	受福德。	受 福 德 
T08n0235_001:0752b03	「須菩提！若有人言：『如來若來若去、若坐若	 須 菩 提 若 有 人 言 如 來 若 來 若 去 若 坐 若 
T08n0235_001:0752b04	臥。』是人不解我所說義。何以故？如來者，無	臥 是 人 不 解 我 所 說 義 何 以 故 如 來 者 無 
T08n0235_001:0752b05	所從來，亦無所去，故名如來。	所 從 來 亦 無 所 去 故 名 如 來 
T08n0235_001:0752b06	「須菩提！若善男子、善女人，以三千大千世界	 須 菩 提 若 善 男 子 善 女 人 以 三千大千世界 
T08n0235_001:0752b07	碎為微塵，於意云何？是微塵眾寧為多不？」	碎 為 微 塵 於意云何 是 微 塵 眾 寧 為 多 不 
T08n0235_001:0752b08	「甚多，世尊！何以故？若是微塵眾實有者，佛	 甚 多 世 尊 何 以 故 若 是 微 塵 眾 實 有 者 佛 
T08n0235_001:0752b09	則不說是微塵眾。所以者何？佛說微塵眾，	則 不 說 是 微 塵 眾 所以者何 佛 說 微 塵 眾 
T08n0235_001:0752b10	則非微塵眾，是名微塵眾。世尊！如來所說	則 非 微 塵 眾 是 名 微 塵 眾 世 尊 如 來 所 說 
T08n0235_001:0752b11	三千大千世界，則非世界，是名世界。何以	三千大千世界 則 非 世 界 是 名 世 界 何 以 
T08n0235_001:0752b12	故？若世界實有者，則是一合相。如來說一合	故 若 世 界 實 有 者 則 是 一 合 相 如 來 說 一 合 
T08n0235_001:0752b13	相，則非一合相，是名一合相。」「須菩提！一合	相 則 非 一 合 相 是 名 一 合 相 須 菩 提 一 合 
T08n0235_001:0752b14	相者，則是不可說，但凡夫之人貪著其事。	相 者 則 是 不 可 說 但 凡 夫 之 人 貪 著 其 事 
T08n0235_001:0752b15	「須菩提！若人言：『佛說我見、人見、眾生見、壽者	 須 菩 提 若 人 言 佛 說 我 見 人 見 眾 生 見 壽 者 
T08n0235_001:0752b16	見。』須菩提！於意云何？是人解我所說義	見 須 菩 提 於意云何 是 人 解 我 所 說 義 
T08n0235_001:0752b17	不？」「世尊！是人不解如來所說義。何以故？	不 世 尊 是 人 不 解 如 來 所 說 義 何 以 故 
T08n0235_001:0752b18	世尊說我見、人見、眾生見、壽者見，即非我見、	世 尊 說 我 見 人 見 眾 生 見 壽 者 見 即 非 我 見 
T08n0235_001:0752b19	人見、眾生見、壽者見，是名我見、人見、眾生見、	人 見 眾 生 見 壽 者 見 是 名 我 見 人 見 眾 生 見 
T08n0235_001:0752b20	壽者見。」「須菩提！發阿耨多羅三藐三菩提心	壽 者 見 須 菩 提 發 阿耨多羅三藐三菩提 心 
T08n0235_001:0752b21	者，於一切法，應如是知，如是見，如是信解，	者 於一切法 應 如 是 知 如 是 見 如 是 信 解 
T08n0235_001:0752b22	不生法相。須菩提！所言法相者，如來說即	不 生 法 相 須 菩 提 所 言 法 相 者 如 來 說 即 
T08n0235_001:0752b23	非法相，是名法相。「須菩提！若有人以滿	非 法 相 是 名 法 相 須 菩 提 若 有 人 以 滿 
T08n0235_001:0752b24	無量阿僧祇世界七寶持用布施，若有善男	無量阿僧祇 世 界 七 寶 持用布施 若 有 善 男 
T08n0235_001:0752b25	子、善女人，發菩薩心者，持於此經，乃至四	子 善 女 人 發 菩 薩 心 者 持 於 此 經 乃 至 四 
T08n0235_001:0752b26	句偈等，受持讀誦，為人演說，其福勝彼。云何	句 偈 等 受持讀誦 為 人 演 說 其 福 勝 彼 云 何 
T08n0235_001:0752b27	為人演說？不取於相，如如不動。何以故？	為 人 演 說 不 取 於 相 如 如 不 動 何 以 故 
T08n0235_001:0752b28	　　「一切有為法，　　如夢、幻、泡、影，	 一 切 有 為 法 如 夢 幻 泡 影 
T08n0235_001:0752b29	　如露亦如電，　　應作如是觀。」	 如 露 亦 如 電 應 作 如 是 觀 
T08n0235_001:0752b30	佛說是經已，長老須菩提及諸比丘、比丘尼、	佛 說 是 經 已 長 老 須 菩 提 及 諸 比 丘 比 丘 尼 
T08n0235_001:0752c01	優婆塞、優婆夷，一切世間天、人、阿修羅，聞佛	優 婆 塞 優 婆 夷 一切世間 天 人 阿 修 羅 聞 佛 
