T33n1696_001:0063a25	大品遊意	大 品 遊 意 
T33n1696_001:0065b11	經本有經名字。皆題經初。故皆唯道安法師	經 本 有 經 名 字 皆 題 經 初 故 皆 唯 道 安 法 師 
T33n1696_001:0065b12	竺法真。欲令易故。以題內面也。	竺 法 真 欲 令 易 故 以 題 內 面 也 
T33n1696_001:0065b13	第二辨宗體。有五重。第一明體。第二明宗。第	第 二 辨 宗 體 有 五 重 第 一 明 體 第 二 明 宗 第 
T33n1696_001:0065b14	三簡因果。第四明長短。第五辨遠近。	三 簡 因 果 第 四 明 長 短 第 五 辨 遠 近 
T33n1696_001:0065b15	明體凡有四釋。第一家云。以理為正經。何者	明 體 凡 有 四 釋 第 一 家 云 以 理 為 正 經 何 者 
T33n1696_001:0065b16	如拕多多羅長者。以五陰十二入十八界。檢	如 拕 多 多 羅 長 者 以 五 陰 十 二 入 十 八 界 檢 
T33n1696_001:0065b17	魔所說陰十三入十九界。故理是正。經文云	魔 所 說 陰 十 三 入 十 九 界 故 理 是 正 經 文 云 
T33n1696_001:0065b18	是傍。如龍光云。理為能印。文為所印。第二靈	是 傍 如 龍 光 云 理 為 能 印 文 為 所 印 第 二 靈 
T33n1696_001:0065b19	味寺實法師云。教理相合。因成假為經。何	味 寺 實 法 師 云 教 理 相 合 因 成 假 為 經 何 
T33n1696_001:0065b20	者。文理相科合為經。偏即非經。故外道有教	者 文 理 相 科 合 為 經 偏 即 非 經 故 外 道 有 教 
T33n1696_001:0065b21	無理。如虫食木也。而成論云。異法一時。具曰	無 理 如 虫 食 木 也 而 成 論 云 異 法 一 時 具 曰 
T33n1696_001:0065b22	因成假。若如此釋。直是因成假也。第三靈耀	因 成 假 若 如 此 釋 直 是 因 成 假 也 第 三 靈 耀 
T33n1696_001:0065b23	寺盛法師云。文是文經。理是理經。教理各是	寺 盛 法 師 云 文 是 文 經 理 是 理 經 教 理 各 是 
T33n1696_001:0065b24	經耳。何者。文能詮理。理是所詮。教詮教能詮	經 耳 何 者 文 能 詮 理 理 是 所 詮 教 詮 教 能 詮 
T33n1696_001:0065b25	教理所並是經也。第四太創寺宗法師。與白	教 理 所 並 是 經 也 第 四 太 創 寺 宗 法 師 與 白 
T33n1696_001:0065b26	馬寺要法法師。以教為經。此開善寺之師也。	馬 寺 要 法 法 師 以 教 為 經 此 開 善 寺 之 師 也 
T33n1696_001:0065b27	開善師云。十四種色中。色聲兩塵。是經體也。	開 善 師 云 十 四 種 色 中 色 聲 兩 塵 是 經 體 也 
T33n1696_001:0065b28	後時營法師加觸也。何者。闇中摩石碑。即知	後 時 營 法 師 加 觸 也 何 者 闇 中 摩 石 碑 即 知 
T33n1696_001:0065b29	字義。故聲觸皆是經體也。成論云。是音聲性	字 義 故 聲 觸 皆 是 經 體 也 成 論 云 是 音 聲 性 
T33n1696_001:0065c01	法入所攝故。五塵中唯是法塵。何者。詮辨之	法 入 所 攝 故 五 塵 中 唯 是 法 塵 何 者 詮 辨 之 
T33n1696_001:0065c02	功。於行乃得。故攝入法塵也。今解。萬法無	功 於 行 乃 得 故 攝 入 法 塵 也 今 解 萬 法 無 
T33n1696_001:0065c03	非是經。何者。色表有色。心表為心。諸法例	非 是 經 何 者 色 表 有 色 心 表 為 心 諸 法 例 
T33n1696_001:0065c04	然。故緣覺悟緣。雖而得道。豈有教耶。一方所	然 故 緣 覺 悟 緣 雖 而 得 道 豈 有 教 耶 一 方 所 
T33n1696_001:0065c05	須。各是所主。故香積佛香作佛必。釋迦化	須 各 是 所 主 故 香 積 佛 香 作 佛 必 釋 迦 化 
T33n1696_001:0065c06	土。以音聲作事。此化緣不同故也。善見毘婆	土 以 音 聲 作 事 此 化 緣 不 同 故 也 善 見 毘 婆 
T33n1696_001:0065c07	沙中。阿難以七義。明修多羅。一發。二善語。	沙 中 阿 難 以 七 義 明 修 多 羅 一 發 二 善 語 
T33n1696_001:0065c08	三秀出。四經強。五涌泉。六繩墨。七綖也。凡	三 秀 出 四 經 強 五 涌 泉 六 繩 墨 七 綖 也 凡 
T33n1696_001:0065c09	為佛語。必有所詮之實。外道言詮之教無理。	為 佛 語 必 有 所 詮 之 實 外 道 言 詮 之 教 無 理 
T33n1696_001:0065c10	以內外相望者。佛有妙開之實。謂之徵發。既	以 內 外 相 望 者 佛 有 妙 開 之 實 謂 之 徵 發 既 
T33n1696_001:0065c11	有當之絕。名為善言。開發妙理。名為秀出教	有 當 之 絕 名 為 善 言 開 發 妙 理 名 為 秀 出 教 
T33n1696_001:0065c12	理相開。謂之住強。南北為住。東西為強也。	理 相 開 謂 之 住 強 南 北 為 住 東 西 為 強 也 
T33n1696_001:0065c13	詮理無窮。謂之涌泉。裁形就正。名繩墨。以教	詮 理 無 窮 謂 之 涌 泉 裁 形 就 正 名 繩 墨 以 教 
T33n1696_001:0065c14	持理。如糸補衣。謂之綖。且胡見賣系之肆。謂	持 理 如 糸 補 衣 謂 之 綖 且 胡 見 賣 系 之 肆 謂 
T33n1696_001:0065c15	之修多羅也。阿毘曇以五義辨之。一云出生。	之 修 多 羅 也 阿 毘 曇 以 五 義 辨 之 一 云 出 生 
T33n1696_001:0065c16	二顯示。三涌泉。四繩墨。五結鬘。准可知	二 顯 示 三 涌 泉 四 繩 墨 五 結 鬘 准 可 知 
T33n1696_001:0065c17	也。	也 
T33n1696_001:0065c18	第二明宗。成論師釋。若以色聲為經體者。體	第 二 明 宗 成 論 師 釋 若 以 色 聲 為 經 體 者 體 
T33n1696_001:0065c19	異於宗。若以所詮為經體者。體之是宗。而以	異 於 宗 若 以 所 詮 為 經 體 者 體 之 是 宗 而 以 
T33n1696_001:0065c20	所辨為宗也。辨宗有三家。第一新安耀法師	所 辨 為 宗 也 辨 宗 有 三 家 第 一 新 安 耀 法 師 
T33n1696_001:0065c21	云。以境智為宗。何者。非境無以生智。非智無	云 以 境 智 為 宗 何 者 非 境 無 以 生 智 非 智 無 
T33n1696_001:0065c22	以顯境。境智於[卄/積]。是聖義。故以境智。合為經	以 顯 境 境 智 於 [卄積] 是 聖 義 故 以 境 智 合 為 經 
T33n1696_001:0065c23	宗也。第二家[袖由+鳥]法師云。權實二智為宗。此法	宗 也 第 二 家 [袖由鳥] 法 師 云 權 實 二 智 為 宗 此 法 
T33n1696_001:0065c24	師只存四時。故般若維摩。合為第二。故以二	師 只 存 四 時 故 般 若 維 摩 合 為 第 二 故 以 二 
T33n1696_001:0065c25	智。為二宗也。第三治城道法師云。唯實智為	智 為 二 宗 也 第 三 治 城 道 法 師 云 唯 實 智 為 
T33n1696_001:0065c26	宗。何者。第一義空。諸法之本。世諦是末。故	宗 何 者 第一義空 諸 法 之 本 世 諦 是 末 故 
T33n1696_001:0065c27	以照一真智為宗。照末為傍。故實智為宗也。	以 照 一 真 智 為 宗 照 末 為 傍 故 實 智 為 宗 也 
T33n1696_001:0065c28	今經境智。皆從不二起。故非境非智。是體宗。	今 經 境 智 皆 從 不 二 起 故 非 境 非 智 是 體 宗 
T33n1696_001:0065c29	是境智智境聖未用。	是 境 智 智 境 聖 未 用 
T33n1696_001:0066a01	第三明因果。莊嚴云。波若唯止於因。不通於	第 三 明 因 果 莊 嚴 云 波 若 唯 止 於 因 不 通 於 
T33n1696_001:0066a02	果。故經云。在因波若。至果薩波若。又云。般	果 故 經 云 在 因 波 若 至 果 薩 波 若 又 云 般 
T33n1696_001:0066a03	若有佛法。有二乘法。是菩薩法。又云。欲得一	若 有 佛 法 有 二 乘 法 是 菩 薩 法 又 云 欲 得 一 
T33n1696_001:0066a04	切種智果。當學波若波羅蜜。故知唯止於因	切 種 智 果 當 學 波 若 波 羅 蜜 故 知 唯 止 於 因 
T33n1696_001:0066a05	也開善云。波若通因果。所以通因果者。大經	也 開 善 云 波 若 通 因 果 所 以 通 因 果 者 大 經 
T33n1696_001:0066a06	云。解脫之法。亦非涅槃。摩訶波若。亦非涅	云 解 脫 之 法 亦 非 涅 槃 摩 訶 波 若 亦 非 涅 
T33n1696_001:0066a07	槃。又勝鬘經云。明佛智所斷。佛菩提智所斷。	槃 又 勝 鬘 經 云 明 佛 智 所 斷 佛 菩 提 智 所 斷 
T33n1696_001:0066a08	羅漢悟波若。是胡悟。故智通因果也。今解波	羅 漢 悟 波 若 是 胡 悟 故 智 通 因 果 也 今 解 波 
T33n1696_001:0066a09	若非有智。非因非果。以因怙為因。以果怙為	若 非 有 智 非 因 非 果 以 因 怙 為 因 以 果 怙 為 
T33n1696_001:0066a10	果。故在因名般若。至果名薩波若。因名十地。	果 故 在 因 名 般 若 至 果 名 薩 波 若 因 名 十 地 
T33n1696_001:0066a11	果名法界。因名佛性。果名涅槃。此皆隨所辨	果 名 法 界 因 名 佛 性 果 名 涅 槃 此 皆 隨 所 辨 
T33n1696_001:0066a12	說。更無異法。而或者迷名生法癡有斷爭訟	說 更 無 異 法 而 或 者 迷 名 生 法 癡 有 斷 爭 訟 
T33n1696_001:0066a13	耳。	耳 
T33n1696_001:0066a14	第四辨壽命長短。成論師說不同。云初教佛	第 四 辨 壽 命 長 短 成 論 師 說 不 同 云 初 教 佛 
T33n1696_001:0066a15	壽八十年。第二佛壽無量。故釋論佛有二種。	壽 八 十 年 第 二 佛 壽 無 量 故 釋 論 佛 有 二 種 
T33n1696_001:0066a16	一者父母法身即是經中常身佛也。二者法	一 者 父 母 法 身 即 是 經 中 常 身 佛 也 二 者 法 
T33n1696_001:0066a17	性身。壽命無量。光明無量。即是經中特尊佛	性 身 壽 命 無 量 光 明 無 量 即 是 經 中 特 尊 佛 
T33n1696_001:0066a18	也。又大品云。欲得壽命。當學波若波羅蜜又	也 又 大 品 云 欲 得 壽 命 當 學 波 若 波 羅 蜜 又 
T33n1696_001:0066a19	釋論婆伽梵子。一村眾生。猶壽命長。何況佛	釋 論 婆 伽 梵 子 一 村 眾 生 猶 壽 命 長 何 況 佛 
T33n1696_001:0066a20	度無量眾生。故壽命無量。第三七百阿僧祇。	度 無 量 眾 生 故 壽 命 無 量 第 三 七 百 阿 僧 祇 
T33n1696_001:0066a21	第四如法華中說。第五明常住。一云。初教與	第 四 如 法 華 中 說 第 五 明 常 住 一 云 初 教 與 
T33n1696_001:0066a22	第二品。是八十。若爾云何示特尊佛耶。解云。	第 二 品 是 八 十 若爾云何 示 特 尊 佛 耶 解 云 
T33n1696_001:0066a23	八十年即現特尊佛。非別有佛也。慧觀師義。	八 十 年 即 現 特 尊 佛 非 別 有 佛 也 慧 觀 師 義 
T33n1696_001:0066a24	自第二已明常也。今解不爾。何者。經說無	自 第 二 已 明 常 也 今 解 不 爾 何 者 經 說 無 
T33n1696_001:0066a25	定。或云七十九年。或云八十五年。又阿含經	定 或 云 七 十 九 年 或 云 八 十 五 年 又 阿 含 經 
T33n1696_001:0066a26	云。佛壽無量。別有淨土。唯現餘報耳。若爾云	云 佛 壽 無 量 別 有 淨 土 唯 現 餘 報 耳 若 爾 云 
T33n1696_001:0066a27	何定報耶。若一往判者。初教八十。第二教佛	何 定 報 耶 若 一 往 判 者 初 教 八 十 第 二 教 佛 
T33n1696_001:0066a28	壽無量。此是長短方便。故言長不失短。短不	壽 無 量 此 是 長 短 方 便 故 言 長 不 失 短 短 不 
T33n1696_001:0066a29	失長。是因緣。	失 長 是 因 緣 
T33n1696_001:0066b01	第五明遠近。成論師云。初教明唯成道。不明	第 五 明 遠 近 成 論 師 云 初 教 明 唯 成 道 不 明 
T33n1696_001:0066b02	前世所行。故彌勒經云。此阿逸多具凡夫未	前 世 所 行 故 彌 勒 經 云 此 阿 逸 多 具 凡 夫 未 
T33n1696_001:0066b03	斷諸漏者。謂此也。自第二始開佛道長遠。故	斷 諸 漏 者 謂 此 也 自 第 二 始 開 佛 道 長 遠 故 
T33n1696_001:0066b04	大品第八卷云。於華嚴城燃燈佛所。不離六	大 品 第 八 卷 云 於 華 嚴 城 燃 燈 佛 所 不 離 六 
T33n1696_001:0066b05	波羅蜜。為無所得。又云。彌勒已修六波羅蜜。	波 羅 蜜 為 無 所 得 又 云 彌 勒 已 修 六波羅蜜 
T33n1696_001:0066b06	為無所得。故此皆明前得道。故自第二長遠	為 無 所 得 故 此 皆 明 前 得 道 故 自 第 二 長 遠 
T33n1696_001:0066b07	矣。今則不爾。只是近遠方便。故近而無暫。遠	矣 今 則 不 爾 只 是 近 遠 方 便 故 近 而 無 暫 遠 
T33n1696_001:0066b08	而無久。豈有遠近之異乎。而或者執遠近之	而 無 久 豈 有 遠 近 之 異 乎 而 或 者 執 遠 近 之 
T33n1696_001:0066b09	方。執近失遠。持遠失近。故墮有所得斷常。今	方 執 近 失 遠 持 遠 失 近 故 墮 有 所 得 斷 常 今 
T33n1696_001:0066b10	解。無礙法門何義。豈長短不可定。謂如當說	解 無 礙 法 門 何 義 豈 長 短 不 可 定 謂 如 當 說 
T33n1696_001:0066b11	也。	也 
T33n1696_001:0066b12	第三會教。成論師云。佛教不出三。一者頓教。	第 三 會 教 成 論 師 云 佛 教 不 出 三 一 者 頓 教 
T33n1696_001:0066b13	如華嚴大乘等也。二者偏方不定教。如勝鬘	如 華 嚴 大 乘 等 也 二 者 偏 方 不 定 教 如 勝 鬘 
T33n1696_001:0066b14	金光明遺教佛藏經等也。三者漸教。如四阿	金 光 明 遺 教 佛 藏 經 等 也 三 者 漸 教 如 四 阿 
T33n1696_001:0066b15	含及涅槃是也。就漸教中。有二教。一者諸法	含 及 涅 槃 是 也 就 漸 教 中 有 二 教 一 者 諸 法 
T33n1696_001:0066b16	師。作四教。阿含為初。波若維摩思益法鼓楞	師 作 四 教 阿 含 為 初 波 若 維 摩 思 益 法 鼓 楞 
T33n1696_001:0066b17	伽等為第二。法華為第三。涅槃為第四也。所	伽 等 為 第 二 法 華 為 第 三 涅 槃 為 第 四 也 所 
T33n1696_001:0066b18	以波若思益。合為第二者。大品經諸天子云。	以 波 若 思 益 合 為 第 二 者 大 品 經 諸 天 子 云 
T33n1696_001:0066b19	見第二法輪。思益云。見第二法輪也。作五教	見 第 二 法 輪 思 益 云 見 第 二 法 輪 也 作 五 教 
T33n1696_001:0066b20	師不同。兩義本是慧觀師所說也。一家云。阿	師 不 同 兩 義 本 是 慧 觀 師 所 說 也 一 家 云 阿 
T33n1696_001:0066b21	含為初。禪經為第二。波若維摩法鼓等為第	含 為 初 禪 經 為 第 二 波 若 維 摩 法 鼓 等 為 第 
T33n1696_001:0066b22	三。法華為第四。涅槃為第五也。一家云。阿含	三 法 華 為 第 四 涅 槃 為 第 五 也 一 家 云 阿 含 
T33n1696_001:0066b23	為初經。維摩思益法鼓為第二。法華為第三。	為 初 經 維 摩 思 益 法 鼓 為 第 二 法 華 為 第 三 
T33n1696_001:0066b24	波若為第四。涅槃為第五。所以波若為第四	波 若 為 第 四 涅 槃 為 第 五 所 以 波 若 為 第 四 
T33n1696_001:0066b25	者。釋論云。須菩提聞法華。舉手低頭。皆成佛	者 釋 論 云 須 菩 提 聞 法 華 舉 手 低 頭 皆 成 佛 
T33n1696_001:0066b26	道。是故今問退不退。故知法華故後也。廣	道 是 故 今 問 退 不 退 故 知 法 華 故 後 也 廣 
T33n1696_001:0066b27	州大亮法師云。五時阿含為初。離三藏為第	州 大 亮 法 師 云 五 時 阿 含 為 初 離 三 藏 為 第 
T33n1696_001:0066b28	二。如優婆塞經也。波若維摩思益法鼓為第	二 如 優 婆 塞 經 也 波 若 維 摩 思 益 法 鼓 為 第 
T33n1696_001:0066b29	三。法華為第四。涅槃為第五也。慧觀法師云。	三 法 華 為 第 四 涅 槃 為 第 五 也 慧 觀 法 師 云 
T33n1696_001:0066c01	阿含為初。波若為第二。維摩思益等為第三。	阿 含 為 初 波 若 為 第 二 維 摩 思 益 等 為 第 三 
T33n1696_001:0066c02	法華為第四。涅槃為第五也。二經同云見第	法 華 為 第 四 涅 槃 為 第 五 也 二 經 同 云 見 第 
T33n1696_001:0066c03	二法輪者。一是為小中。第二是大中。第二也。	二 法 輪 者 一 是 為 小 中 第 二 是 大 中 第 二 也 
T33n1696_001:0066c04	開善寺所述也。今解。半滿兩教。何者。經中唯	開 善 寺 所 述 也 今 解 半 滿 兩 教 何 者 經 中 唯 
T33n1696_001:0066c05	說半滿兩處。又釋論第百云。法雲波若。是顯	說 半 滿 兩 處 又 釋 論 第 百 云 法 雲 波 若 是 顯 
T33n1696_001:0066c06	現教。法華涅槃。是祕密教。若爾維摩波若等。	現 教 法 華 涅 槃 是 祕 密 教 若 爾 維 摩 波 若 等 
T33n1696_001:0066c07	還淺深法華等乎。	還 淺 深 法 華 等 乎 
T33n1696_001:0066c08	次辨五家味相生。第一家云。十二部配當阿	次 辨 五 家 味 相 生 第 一 家 云 十 二 部 配 當 阿 
T33n1696_001:0066c09	含。修多羅配禪經。何者。定能發智以修多羅。	含 修 多 羅 配 禪 經 何 者 定 能 發 智 以 修 多 羅 
T33n1696_001:0066c10	配當禪經也。方等配波若思益等。波若配法	配 當 禪 經 也 方 等 配 波 若 思 益 等 波 若 配 法 
T33n1696_001:0066c11	華。醍醐配涅槃也。慧觀師所以十二配阿含	華 醍 醐 配 涅 槃 也 慧 觀 師 所 以 十 二 配 阿 含 
T33n1696_001:0066c12	者。阿含約事分別。四諦理配為十二。分別法	者 阿 含 約 事 分 別 四 諦 理 配 為 十 二 分 別 法 
T33n1696_001:0066c13	性也。第二無相教。名修多羅者。所說二諦體	性 也 第 二 無 相 教 名 修 多 羅 者 所 說 二 諦 體 
T33n1696_001:0066c14	生行人。空理萬法之本。故受法本名也。第三	生 行 人 空 理 萬 法 之 本 故 受 法 本 名 也 第 三 
T33n1696_001:0066c15	名方等者。就教得名。此改小乘。無狹劣之通。	名 方 等 者 就 教 得 名 此 改 小 乘 無 狹 劣 之 通 
T33n1696_001:0066c16	故名方等也。第四名波若者。能令眾生。同佛	故 名 方 等 也 第 四 名 波 若 者 能 令 眾 生 同 佛 
T33n1696_001:0066c17	壽量。平等大慧。如多寶佛品中論也。第五名	壽 量 平 等 大 慧 如 多 寶 佛 品 中 論 也 第 五 名 
T33n1696_001:0066c18	大涅槃者。永除生死。如醍醐體性清涼。故名	大 涅 槃 者 永 除 生 死 如 醍 醐 體 性 清 涼 故 名 
T33n1696_001:0066c19	涅槃。今解。小教名為十二部經。如提謂等三	涅 槃 今 解 小 教 名 為 十二部經 如 提 謂 等 三 
T33n1696_001:0066c20	歸五戒等也。修多羅配小乘半字。何者為。滿	歸 五 戒 等 也 修 多 羅 配 小 乘 半 字 何 者 為 滿 
T33n1696_001:0066c21	字。作本故也。方等總配滿字。波若別配波若。	字 作 本 故 也 方 等 總 配 滿 字 波 若 別 配 波 若 
T33n1696_001:0066c22	何者。方等雖廣。波若為要。得果之主故也。既	何 者 方 等 雖 廣 波 若 為 要 得 果 之 主 故 也 既 
T33n1696_001:0066c23	有能得之因。應有所得之果。故第五別配聖	有 能 得 之 因 應 有 所 得 之 果 故 第 五 別 配 聖 
T33n1696_001:0066c24	果。而涅槃與波若。是眼目異名故。故諸大乘	果 而 涅 槃 與 波 若 是 眼 目 異 名 故 故 諸 大 乘 
T33n1696_001:0066c25	中。皆得配之。非汝所謂第五教涅槃。唯是極	中 皆 得 配 之 非 汝 所 謂 第 五 教 涅 槃 唯 是 極 
T33n1696_001:0066c26	果。前皆非極也。就五時四時辨教。宗蜜亦不	果 前 皆 非 極 也 就 五 時 四 時 辨 教 宗 蜜 亦 不 
T33n1696_001:0066c27	同。慧觀師新安師大令正小。莊嚴營師云。自	同 慧 觀 師 新 安 師 大 令 正 小 莊 嚴 營 師 云 自 
T33n1696_001:0066c28	第二已明常住。何者。仁王經云。超度世諦第	第 二 已 明 常 住 何 者 仁 王 經 云 超 度 世 諦 第 
T33n1696_001:0066c29	一義。一轉妙覺常湛然。又大品曇無歇菩薩	一 義 一 轉 妙 覺 常 湛 然 又 大 品 曇 無 歇 菩 薩 
T33n1696_001:0067a01	品云。法身無來無去。淨名經云。金剛之身。佛	品 云 法 身 無 來 無 去 淨 名 經 云 金 剛 之 身 佛 
T33n1696_001:0067a02	身無為。不墮諸教。故已明常住也。開善寺云。	身 無 為 不 墮 諸 教 故 已 明 常 住 也 開 善 寺 云 
T33n1696_001:0067a03	前四時教。唯明無常。無量光明與倍數。終歸	前 四 時 教 唯 明 無 常 無量光明 與 倍 數 終 歸 
T33n1696_001:0067a04	於磨滅。故俱是無常也。而仁王經云。一轉妙	於 磨 滅 故 俱 是 無 常 也 而 仁 王 經 云 一 轉 妙 
T33n1696_001:0067a05	覺者。經說三諦有多種。或就因果說二諦。或	覺 者 經 說 三 諦 有 多 種 或 就 因 果 說 二 諦 或 
T33n1696_001:0067a06	就假實明二諦。故成實論云。色等及泥為真	就 假 實 明 二 諦 故 成 實 論 云 色 等 及 泥 為 真 
T33n1696_001:0067a07	諦。四大五根為世諦。已此二諦入真實之時。	諦 四 大 五 根 為 世 諦 已 此 二 諦 入 真 實 之 時 
T33n1696_001:0067a08	與理冥同。更無退轉。故云湛然。非謂無生滅	與 理 冥 同 更 無 退 轉 故 云 湛 然 非 謂 無 生 滅 
T33n1696_001:0067a09	也。今解。常無常。非常非無常。跡義也。仁王	也 今 解 常 無 常 非常非無常 跡 義 也 仁 王 
T33n1696_001:0067a10	經云。超度世諦。第一義諦者。即語非有非無。	經 云 超 度 世 諦 第一義諦 者 即 語 非有非無 
T33n1696_001:0067a11	謂又妙覺具二諦。是故可謂。從有無方便。入	謂 又 妙 覺 具 二 諦 是 故 可 謂 從 有 無 方 便 入 
T33n1696_001:0067a12	非有非無者。亦五時名目不同。慧觀師云。初	非有非無 者 亦 五 時 名 目 不 同 慧 觀 師 云 初 
T33n1696_001:0067a13	教名為相教。第二名通教者。本空未轉故。說	教 名 為 相 教 第 二 名 通 教 者 本 空 未 轉 故 說 
T33n1696_001:0067a14	通教者。勒取三乘果。故經云。欲得菩薩果。乃	通 教 者 勒 取 三 乘 果 故 經 云 欲 得 菩 薩 果 乃 
T33n1696_001:0067a15	至欲得聲聞果。當學波若波羅蜜也。第三維	至 欲 得 聲 聞 果 當 學 波 若 波 羅 蜜 也 第 三 維 
T33n1696_001:0067a16	摩名貶教。第四名同歸教。第五明常住也。開	摩 名 貶 教 第 四 名 同 歸 教 第 五 明 常 住 也 開 
T33n1696_001:0067a17	善等云。以第二教破初教者。此義不爾。云何	善 等 云 以 第 二 教 破 初 教 者 此 義 不 爾 云 何 
T33n1696_001:0067a18	佛自破聖言耶。初教名為三乘別教。何者。別	佛 自 破 聖 言 耶 初 教 名 為 三 乘 別 教 何 者 別 
T33n1696_001:0067a19	說三乘果故也。第二無相教。亦名三乘通教	說 三 乘 果 故 也 第 二 無 相 教 亦 名 三 乘 通 教 
T33n1696_001:0067a20	者。通者非二乘果為通。唯取所學之法。名為	者 通 者 非 二 乘 果 為 通 唯 取 所 學 之 法 名 為 
T33n1696_001:0067a21	通教。何者。欲得菩薩果乃至聲聞果。常學般	通 教 何 者 欲 得 菩 薩 果 乃 至 聲 聞 果 常 學 般 
T33n1696_001:0067a22	若波羅蜜。故知所勸為通。且先勸三乘。後即	若 波 羅 蜜 故 知 所 勸 為 通 且 先 勸 三 乘 後 即 
T33n1696_001:0067a23	貶故。經云上人法。第三為抑揚教。發軫初毀	貶 故 經 云 上 人 法 第 三 為 抑 揚 教 發 軫 初 毀 
T33n1696_001:0067a24	小故。經云。廣原陸地不生蓮華。卑濕淤泥乃	小 故 經 云 廣 原 陸 地 不 生 蓮 華 卑 濕 淤 泥 乃 
T33n1696_001:0067a25	生蓮華。又入正法倍曾。終不發阿耨三菩提。	生 蓮 華 又 入 正 法 倍 曾 終 不 發 阿 耨 三 菩 提 
T33n1696_001:0067a26	起我見。如須彌山。不能發菩提也。第四名同	起 我 見 如須彌山 不 能 發 菩 提 也 第 四 名 同 
T33n1696_001:0067a27	歸教。亦名善法教。何者。彼云汝等所行是菩	歸 教 亦 名 善 法 教 何 者 彼 云 汝 等 所 行 是 菩 
T33n1696_001:0067a28	薩道。又云。舉手低頭皆成佛道。以教為名也。	薩 道 又 云 舉 手 低 頭 皆 成 佛 道 以 教 為 名 也 
T33n1696_001:0067a29	第五教名常住。即□可見也。明壽命不同。如	第 五 教 名 常 住 即 可 見 也 明 壽 命 不 同 如 
T33n1696_001:0067b01	辨宗中說也。而七百之言。維摩思益等經。無	辨 宗 中 說 也 而 七 百 之 言 維 摩 思 益 等 經 無 
T33n1696_001:0067b02	有此言。唯首楞嚴經云。東方莊嚴王佛。七百	有 此 言 唯 首 楞 嚴 經 云 東 方 莊 嚴 王 佛 七 百 
T33n1696_001:0067b03	阿僧祇入涅槃。即我身是也。所以異經為失。	阿 僧 祇 入 涅 槃 即 我 身 是 也 所 以 異 經 為 失 
T33n1696_001:0067b04	第三教者。理自應爾。何者。初教壽八十。第二	第 三 教 者 理 自 應 爾 何 者 初 教 壽 八 十 第 二 
T33n1696_001:0067b05	無量。第四復倍上數。第五常住。若爾七百之	無 量 第 四 復 倍 上 數 第 五 常 住 若 爾 七 百 之 
T33n1696_001:0067b06	壽。應入第二。故云七百阿僧祇耳。今解。此皆	壽 應 入 第 二 故 云 七 百 阿 僧 祇 耳 今 解 此 皆 
T33n1696_001:0067b07	隨機所說。無有八十與七百阿僧祇之殊。故	隨 機 所 說 無 有 八 十 與 七 百 阿 僧 祇 之 殊 故 
T33n1696_001:0067b08	經云。十方法諸如來。同共一法身。既以正	經 云 十 方 法 諸 如 來 同 共 一 法 身 既 以 正 
T33n1696_001:0067b09	法為體。豈有常無常長短之異乎。顯現祕密	法 為 體 豈 有 常 無 常 長 短 之 異 乎 顯 現 祕 密 
T33n1696_001:0067b10	有二種。一者法。二者其事可見也。顯現祕密	有 二 種 一 者 法 二 者 其 事 可 見 也 顯 現 祕 密 
T33n1696_001:0067b11	者。淨名經云。佛轉法輪於大千。其輪本來常	者 淨 名 經 云 佛 轉 法 輪 於 大 千 其 輪 本 來 常 
T33n1696_001:0067b12	清淨。天人得益斯證者。名為顯示等也。顯	清 淨 天 人 得 益 斯 證 者 名 為 顯 示 等 也 顯 
T33n1696_001:0067b13	現祕密者。釋論第百卷云。法雲般若顯現。法	現 祕 密 者 釋 論 第 百 卷 云 法 雲 般 若 顯 現 法 
T33n1696_001:0067b14	華涅槃是祕密。而成實論師云。大品等五時	華 涅 槃 是 祕 密 而 成 實 論 師 云 大 品 等 五 時 
T33n1696_001:0067b15	波若。唯解果內淺事。非是難解。故名為顯現	波 若 唯 解 果 內 淺 事 非 是 難 解 故 名 為 顯 現 
T33n1696_001:0067b16	教。所以然者。仁王云。若三界外。別有眾生	教 所 以 然 者 仁 王 云 若 三 界 外 別 有 眾 生 
T33n1696_001:0067b17	者。是大有說。非七佛所說也。其法華經。兼內	者 是 大 有 說 非 七 佛 所 說 也 其 法 華 經 兼 內 
T33n1696_001:0067b18	外事深。故非易可見。名為祕密也。今解不然。	外 事 深 故 非 易 可 見 名 為 祕 密 也 今 解 不 然 
T33n1696_001:0067b19	何者。法雲等發軫。頓開本經。故名顯教。法華	何 者 法 雲 等 發 軫 頓 開 本 經 故 名 顯 教 法 華 
T33n1696_001:0067b20	涅槃。先改執。後顯正法。故名祕密教也。顯現	涅 槃 先 改 執 後 顯 正 法 故 名 祕 密 教 也 顯 現 
T33n1696_001:0067b21	祕密。有異聖究竟。如常說也。且成論師云。十	祕 密 有 異 聖 究 竟 如 常 說 也 且 成 論 師 云 十 
T33n1696_001:0067b22	二年前。說小乘後說。今則不然。有四句。一	二 年 前 說 小 乘 後 說 今 則 不 然 有 四 句 一 
T33n1696_001:0067b23	始終大。二始終說小。三初大後小。四初小後	始 終 大 二 始 終 說 小 三 初 大 後 小 四 初 小 後 
