T85n2753_001:0205b09	華嚴經章	華 嚴 經 章 
T85n2753_001:0207c08	是以大士至崇勝果願。出生入死廣修萬行。	是 以 大 士 至 崇 勝 果 願 出 生 入 死 廣 修 萬 行 
T85n2753_001:0207c09	不計眾苦願為種子總攝萬行。於所生處一	不 計 眾 苦 願 為 種 子 總 攝 萬 行 於 所 生 處 一 
T85n2753_001:0207c10	切善根自然收蔬稱願增長。是第二願。	切 善 根 自 然 收 蔬 稱 願 增 長 是 第 二 願 
T85n2753_001:0207c11	三者誓度一切眾生。眾生無邊願誓令度盡。	三 者 誓 度 一 切 眾 生 眾 生 無 邊 願 誓 令 度 盡 
T85n2753_001:0207c12	於怨捨怨。於親捨親。怨親平等。廣行四攝願。	於 怨 捨 怨 於 親 捨 親 怨 親 平 等 廣 行 四 攝 願 
T85n2753_001:0207c13	與法界眾生一時成佛。既捨怨親普行大慈。	與 法 界 眾 生 一 時 成 佛 既 捨 怨 親 普 行 大 慈 
T85n2753_001:0207c14	一切怨毒惡心自滅。內善勳修生在佛家種	一 切 怨 毒 惡 心 自 滅 內 善 勳 修 生 在 佛 家 種 
T85n2753_001:0207c15	性尊貴無可譏慊。是第三願。	性 尊 貴 無 可 譏 慊 是 第 三 願 
T85n2753_001:0207c16	四者誓度一切種智。佛道長遠。其必獲得。終	四 者 誓 度 一切種智 佛 道 長 遠 其 必 獲 得 終 
T85n2753_001:0207c17	不以天勝果二乘涅槃而生足想。三世善根	不 以 天 勝 果 二 乘 涅 槃 而 生 足 想 三 世 善 根 
T85n2753_001:0207c18	悉皆迴向。無上菩提不計劫數。願以成佛為	悉 皆 迴 向 無上菩提 不 計 劫 數 願 以 成 佛 為 
T85n2753_001:0207c19	期。既志願高遠。不期世報。隨所生處常處。豪	期 既 志 願 高 遠 不 期 世 報 隨 所 生 處 常 處 豪 
T85n2753_001:0207c20	尊雖極世榮不生深著。但願勝中勝道。更無	尊 雖 極 世 榮 不 生 深 著 但 願 勝 中 勝 道 更 無 
