X69n1352_001:0303c06	 白雲禪錄	 白 雲 禪 錄 
X69n1352_001:0308a06	者麼。良久云。皇天無親。	者 麼 良 久 云 皇 天 無 親 
X69n1352_001:0308a07	舒州法華山證道禪院語錄	舒 州 法 華 山 證 道 禪 院 語 錄 
X69n1352_001:0308a08	參學小師　智本　編	參 學 小 師 智 本 編 
X69n1352_001:0308a09	師時在五祖西堂受請。陞座云。適來疏中道。寂照不	師 時 在 五 祖 西 堂 受 請 陞 座 云 適 來 疏 中 道 寂 照 不 
X69n1352_001:0308a10	動則定。感而遂通則慧。拈起拄杖。示眾云。者箇是定	動 則 定 感 而 遂 通 則 慧 拈 起 拄 杖 示 眾 云 者 箇 是 定 
X69n1352_001:0308a11	是慧。有人辨得麼。既無。不免依前序品第一去也。所	是 慧 有 人 辨 得 麼 既 無 不 免 依 前 序 品 第 一 去 也 所 
X69n1352_001:0308a12	以道。遊戲卷舒。是衲僧分上。贏得邊事。要舒也。三世	以 道 遊 戲 卷 舒 是 衲 僧 分 上 贏 得 邊 事 要 舒 也 三 世 
X69n1352_001:0308a13	諸佛。在拄杖頭上。要卷也。分付與德山臨際。且道。今	諸 佛 在 拄 杖 頭 上 要 卷 也 分 付 與 德 山 臨 際 且 道 今 
X69n1352_001:0308a14	日是卷是舒。良久云。無限樹頭風過耳。牧牛童子又	日 是 卷 是 舒 良 久 云 無 限 樹 頭 風 過 耳 牧 牛 童 子 又 
X69n1352_001:0308a15	嗚咿。以拄杖擊禪床一下。	嗚 咿 以 拄 杖 擊 禪 床 一 下 
X69n1352_001:0308a16	次夜。眾請小參。僧問。法不孤起。仗境方生。施主親迎。	次 夜 眾 請 小 參 僧 問 法 不 孤 起 仗 境 方 生 施 主 親 迎 
X69n1352_001:0308a17	請師說法。師云九九八十一。僧云學人未曉其中旨。	請 師 說 法 師 云 九 九 八 十 一 僧 云 學 人 未 曉 其 中 旨 
X69n1352_001:0308a18	請師方便再宣揚。師云問取露柱。僧云莫便是和尚	請 師 方 便 再 宣 揚 師 云 問 取 露 柱 僧 云 莫 便 是 和 尚 
X69n1352_001:0308a19	為人處。師云笑殺傍觀。僧禮拜。問。不求諸聖。不重己	為 人 處 師 云 笑 殺 傍 觀 僧 禮 拜 問 不 求 諸 聖 不 重 己 
X69n1352_001:0308a20	靈。未是衲僧分上事。如何是衲僧分上事。師云死水	靈 未 是 衲 僧 分 上 事 如 何 是 衲 僧 分 上 事 師 云 死 水 
X69n1352_001:0308a21	不藏龍。僧云便恁麼去時如何。師云賺殺你。僧云溪	不 藏 龍 僧 云 便 恁 麼 去 時 如 何 師 云 賺 殺 你 僧 云 溪 
X69n1352_001:0308a22	山各異。雲月是同。師云轉沒交涉。僧云。謾某甲一人	山 各 異 雲 月 是 同 師 云 轉 沒 交 涉 僧 云 謾 某 甲 一 人 
X69n1352_001:0308a23	即得。爭奈大眾眼何。師云作得箇庸衲僧。僧云放過	即 得 爭 奈 大 眾 眼 何 師 云 作 得 箇 庸 衲 僧 僧 云 放 過 
X69n1352_001:0308a24	一著。師拍禪床一下。僧便禮拜　師乃云。佛身充滿	一 著 師 拍 禪 床 一 下 僧 便 禮 拜 師 乃 云 佛 身 充 滿 
X69n1352_001:0308b01	於法界。普現一切群生前。隨緣赴感靡不周。而常處	於 法 界 普 現 一 切 群 生 前 隨 緣 赴 感 靡 不 周 而 常 處 
X69n1352_001:0308b02	此菩提座。大眾。作麼生說箇隨緣赴感底道理。只如	此 菩 提 座 大 眾 作 麼 生 說 箇 隨 緣 赴 感 底 道 理 只 如 
X69n1352_001:0308b03	一彈指間。盡大地含生根機。一時應得周足。而未甞	一 彈 指 間 盡 大 地 含 生 根 機 一 時 應 得 周 足 而 未 甞 
X69n1352_001:0308b04	動著一毫頭。便且喚作隨緣赴感。而常處此座。只如	動 著 一 毫 頭 便 且 喚 作 隨 緣 赴 感 而 常 處 此 座 只 如 
X69n1352_001:0308b05	山僧。此者受法華請。相次與大眾相別去。宿松縣裏	山 僧 此 者 受 法 華 請 相 次 與 大 眾 相 別 去 宿 松 縣 裏 
X69n1352_001:0308b06	開堂了。方歸院去。且道。還離此座也無。若道離。則世	開 堂 了 方 歸 院 去 且 道 還 離 此 座 也 無 若 道 離 則 世 
X69n1352_001:0308b07	諦流布。若道不離。作麼生見得箇不離底事。莫是無	諦 流 布 若 道 不 離 作 麼 生 見 得 箇 不 離 底 事 莫 是 無 
X69n1352_001:0308b08	邊剎境。自他不隔於毫端。十世古今。始終不離於當	邊 剎 境 自 他 不 隔 於 毫 端 十 世 古 今 始 終 不 離 於 當 
X69n1352_001:0308b09	念麼。又莫是一切無心。一時自徧麼。若恁麼。正是掉	念 麼 又 莫 是 一 切 無 心 一 時 自 徧 麼 若 恁 麼 正 是 掉 
X69n1352_001:0308b10	棒打月。到者裏。直須悟始得。你道。既悟了便休。又何	棒 打 月 到 者 裏 直 須 悟 始 得 你 道 既 悟 了 便 休 又 何 
X69n1352_001:0308b11	必更須遇人底。當垂手方便之時。著著自有出身之	必 更 須 遇 人 底 當 垂 手 方 便 之 時 著 著 自 有 出 身 之 
X69n1352_001:0308b12	路。不瞎却學者眼。若只悟得箇乾蘿蔔底。不唯瞎却	路 不 瞎 却 學 者 眼 若 只 悟 得 箇 乾 蘿 蔔 底 不 唯 瞎 却 
X69n1352_001:0308b13	學者眼。兼自已動便先自犯鋒傷手。你看我楊岐先	學 者 眼 兼 自 已 動 便 先 自 犯 鋒 傷 手 你 看 我 楊 岐 先 
X69n1352_001:0308b14	師。問慈明師翁道。幽鳥語喃喃。辭雲入亂峰時如何。	師 問 慈 明 師 翁 道 幽 鳥 語 喃 喃 辭 雲 入 亂 峰 時 如 何 
X69n1352_001:0308b15	答云。我行荒艸裏。汝又入深村。進云。官不容針。更借	答 云 我 行 荒 艸 裏 汝 又 入 深 村 進 云 官 不 容 針 更 借 
X69n1352_001:0308b16	一問。師翁便喝。進云好喝。師翁又喝。先師亦喝。師翁	一 問 師 翁 便 喝 進 云 好 喝 師 翁 又 喝 先 師 亦 喝 師 翁 
X69n1352_001:0308b17	乃連喝兩喝。先師遂禮拜退。大眾須知。悟了遇人者。	乃 連 喝 兩 喝 先 師 遂 禮 拜 退 大 眾 須 知 悟 了 遇 人 者 
X69n1352_001:0308b18	向十字街頭。與人相逢。却在千峰頂上握手。向千峰	向 十 字 街 頭 與 人 相 逢 却 在 千 峰 頂 上 握 手 向 千 峰 
X69n1352_001:0308b19	頂上相逢。却在十字街頭握手。所以山僧甞有頌云。	頂 上 相 逢 却 在 十 字 街 頭 握 手 所 以 山 僧 甞 有 頌 云 
X69n1352_001:0308b20	他人住處我不住。他人行處我不行。解開布袋頭。一	他 人 住 處 我 不 住 他 人 行 處 我 不 行 解 開 布 袋 頭 一 
X69n1352_001:0308b21	時撒在諸人面前了也。有眼底莫錯怪好。	時 撒 在 諸 人 面 前 了 也 有 眼 底 莫 錯 怪 好 
X69n1352_001:0308b22	離五祖日上堂。辭眾。僧問。運籌幃幄即不問。此日登	離 五 祖 日 上 堂 辭 眾 僧 問 運 籌 幃 幄 即 不 問 此 日 登 
X69n1352_001:0308b23	途事若何。師云上馬見路。僧云恁麼則。布金重有賴。	途 事 若 何 師 云 上 馬 見 路 僧 云 恁 麼 則 布 金 重 有 賴 
X69n1352_001:0308b24	花雨別垂方。師云先行不到。末後為初。僧云路遙知	花 雨 別 垂 方 師 云 先 行 不 到 末 後 為 初 僧 云 路 遙 知 
X69n1352_001:0308c01	馬力。歲久辨人心。師云謝相送　乃云。梁朝志公和	馬 力 歲 久 辨 人 心 師 云 謝 相 送 乃 云 梁 朝 志 公 和 
X69n1352_001:0308c02	尚。令人傳語南嶽思大禪師。何不下山來。救度眾生。	尚 令 人 傳 語 南 嶽 思 大 禪 師 何 不 下 山 來 救 度 眾 生 
X69n1352_001:0308c03	目視雲漢作什麼。思大却迴傳語云。三世諸佛。被我	目 視 雲 漢 作 什 麼 思 大 却 迴 傳 語 云 三世諸佛 被 我 
X69n1352_001:0308c04	一口吞盡。何處更有眾生可度。大眾。思大老人。也似	一 口 吞 盡 何 處 更 有 眾 生 可 度 大 眾 思 大 老 人 也 似 
X69n1352_001:0308c05	釘樁搖櫓。只知其一。不知其二。山僧即不然。住承天	釘 樁 搖 櫓 只 知 其 一 不 知 其 二 山 僧 即 不 然 住 承 天 
X69n1352_001:0308c06	時。便了城中事。住圓通時。便了路頭事。過五祖來。即	時 便 了 城 中 事 住 圓 通 時 便 了 路 頭 事 過 五 祖 來 即 
X69n1352_001:0308c07	高坐西堂。如今往法華去。便像席打令。誰能管得你	高 坐 西 堂 如 今 往 法 華 去 便 像 席 打 令 誰 能 管 得 你 
X69n1352_001:0308c08	三世諸佛閑事。何謂如此。相逢不下馬。各自有前程。	三世諸佛 閑 事 何 謂 如 此 相 逢 不 下 馬 各 自 有 前 程 
X69n1352_001:0308c09	開堂日。拈香祝　聖罷。乃云。宗乘一舉。早落二三。古	開 堂 日 拈 香 祝 聖 罷 乃 云 宗 乘 一 舉 早 落 二 三 古 
X69n1352_001:0308c10	路坦然。行人自昧。移身換步。到者方知。今日還有到	路 坦 然 行 人 自 昧 移 身 換 步 到 者 方 知 今 日 還 有 到 
X69n1352_001:0308c11	者麼。試出來看。僧問。十方薄伽梵。一路涅槃門。將手	者 麼 試 出 來 看 僧 問 十 方 薄 伽 梵 一 路 涅 槃 門 將 手 
X69n1352_001:0308c12	一劃云。古人到者裏。未為極則。和尚作麼生為人。師	一 劃 云 古 人 到 者 裏 未 為 極 則 和 尚 作 麼 生 為 人 師 
X69n1352_001:0308c13	云蹉過了也。僧云今日親見法華。師云脚跟下一句。	云 蹉 過 了 也 僧 云 今 日 親 見 法 華 師 云 脚 跟 下 一 句 
X69n1352_001:0308c14	作麼生道。僧云別有好思量。師云向你道蹉過。僧禮	作 麼 生 道 僧 云 別 有 好 思 量 師 云 向 你 道 蹉 過 僧 禮 
X69n1352_001:0308c15	拜　問一喝。分賓主。照用一時行。離此二途。請師別	拜 問 一 喝 分 賓 主 照 用 一 時 行 離 此 二 途 請 師 別 
X69n1352_001:0308c16	道。師便喝僧云從來疑著和尚。師便打。僧云作家。師	道 師 便 喝 僧 云 從 來 疑 著 和 尚 師 便 打 僧 云 作 家 師 
X69n1352_001:0308c17	云也不消得。僧禮拜　師乃云。昔日靈山會上。世尊	云 也 不 消 得 僧 禮 拜 師 乃 云 昔 日 靈 山 會 上 世 尊 
X69n1352_001:0308c18	拈花。迦華微笑。世尊道。吾正法眼藏。分付摩訶大迦	拈 花 迦 華 微 笑 世 尊 道 吾 正 法 眼 藏 分 付 摩 訶 大 迦 
X69n1352_001:0308c19	葉。次第流傳。無令斷絕。至于今日。大眾。若是正法眼	葉 次 第 流 傳 無 令 斷 絕 至 于 今 日 大 眾 若 是 正 法 眼 
X69n1352_001:0308c20	藏。釋迦老子自無分。將箇什麼分付。將什麼流傳。何	藏 釋 迦 老 子 自 無 分 將 箇 什 麼 分 付 將 什 麼 流 傳 何 
X69n1352_001:0308c21	謂如此。況諸人分上。各各自有正法眼藏。每日起來。	謂 如 此 況 諸 人 分 上 各 各 自 有 正 法 眼 藏 每 日 起 來 
X69n1352_001:0308c22	是是非非。分南分北。種種施為。盡是正法眼藏之光	是 是 非 非 分 南 分 北 種 種 施 為 盡 是 正 法 眼 藏 之 光 
X69n1352_001:0308c23	影。此眼開時。乾坤大地。日月星辰。森羅萬象。只在面	影 此 眼 開 時 乾 坤 大 地 日 月 星 辰 森 羅 萬 象 只 在 面 
X69n1352_001:0308c24	前。不見有毫釐之相。此眼未開時。盡在諸人眼睛裏。	前 不 見 有 毫 釐 之 相 此 眼 未 開 時 盡 在 諸 人 眼 睛 裏 
X69n1352_001:0309a01	今日已開者。不在此限。有未開者。山僧不惜手。為諸	今 日 已 開 者 不 在 此 限 有 未 開 者 山 僧 不 惜 手 為 諸 
X69n1352_001:0309a02	人開此法眼藏看。乃舉手竪兩指云。看看。若見得去。	人 開 此 法 眼 藏 看 乃 舉 手 竪 兩 指 云 看 看 若 見 得 去 
X69n1352_001:0309a03	事同一家。若也未然。山僧不免重說偈言。諸人法眼	事 同 一 家 若 也 未 然 山 僧 不 免 重 說 偈 言 諸 人 法 眼 
X69n1352_001:0309a04	藏。千聖莫能當。為君通一線。光輝滿大唐。須彌走入	藏 千 聖 莫 能 當 為 君 通 一 線 光 輝 滿 大 唐 須 彌 走 入 
X69n1352_001:0309a05	海。六月降嚴霜。法華雖恁道。無句得商量。大眾。既滿	海 六 月 降 嚴 霜 法 華 雖 恁 道 無 句 得 商 量 大 眾 既 滿 
X69n1352_001:0309a06	口道了。為什麼却無句得商量。乃喝一喝云。分身兩	口 道 了 為 什 麼 却 無 句 得 商 量 乃 喝 一 喝 云 分 身 兩 
X69n1352_001:0309a07	處看。	處 看 
X69n1352_001:0309a08	入院日上堂。僧問。遠離祖嶠。已屆法華。如何是不動	入 院 日 上 堂 僧 問 遠 離 祖 嶠 已 屆 法 華 如 何 是 不 動 
X69n1352_001:0309a09	尊。師云大眾總見。僧云未審其中事作麼生。師云仰	尊 師 云 大 眾 總 見 僧 云 未 審 其 中 事 作 麼 生 師 云 仰 
X69n1352_001:0309a10	面看。僧云恁麼則太子峰高。松江月白去也。師云是	面 看 僧 云 恁 麼 則 太 子 峰 高 松 江 月 白 去 也 師 云 是 
X69n1352_001:0309a11	始得。僧禮拜　師乃云。古人道。說到不如行。今日與	始 得 僧 禮 拜 師 乃 云 古 人 道 說 到 不 如 行 今 日 與 
X69n1352_001:0309a12	大眾。說也到行也到。且喜得天下太平。你且道。脚踏	大 眾 說 也 到 行 也 到 且 喜 得 天 下 太 平 你 且 道 脚 踏 
X69n1352_001:0309a13	實地一句。作麼生道。良久云。畢竟水須朝海去。到頭	實 地 一 句 作 麼 生 道 良 久 云 畢 竟 水 須 朝 海 去 到 頭 
X69n1352_001:0309a14	雲定覓山歸。	雲 定 覓 山 歸 
X69n1352_001:0309a15	次日上堂云。古人道。選得幽居稱野情。終年無送復	次 日 上 堂 云 古 人 道 選 得 幽 居 稱 野 情 終 年 無 送 復 
X69n1352_001:0309a16	無迎。有時直上孤峰頂。月下披雲嘯一聲。山僧夜來	無 迎 有 時 直 上 孤 峰 頂 月 下 披 雲 嘯 一 聲 山 僧 夜 來 
X69n1352_001:0309a17	到此。未有工夫上得孤峰頂。又值晦夜無月。只在方	到 此 未 有 工 夫 上 得 孤 峰 頂 又 值 晦 夜 無 月 只 在 方 
X69n1352_001:0309a18	丈裏。長嘯數聲。諸人還聞麼。若道不聞。可謂自謾。若	丈 裏 長 嘯 數 聲 諸 人 還 聞 麼 若 道 不 聞 可 謂 自 謾 若 
X69n1352_001:0309a19	也聞去。將什麼聞。卓拄杖一下。	也 聞 去 將 什 麼 聞 卓 拄 杖 一 下 
X69n1352_001:0309a20	上堂云。如我按指。海印發光。拈起拄杖云。山河大地。	上 堂 云 如 我 按 指 海 印 發 光 拈 起 拄 杖 云 山 河 大 地 
X69n1352_001:0309a21	水鳥樹林。情與無情。今日盡向法華拄杖頭上。作大	水 鳥 樹 林 情 與 無 情 今 日 盡 向 法 華 拄 杖 頭 上 作 大 
X69n1352_001:0309a22	師子吼。演說摩訶大般若。且道。天台南嶽。說箇什麼	師 子 吼 演 說 摩 訶 大 般 若 且 道 天 台 南 嶽 說 箇 什 麼 
X69n1352_001:0309a23	法門。南嶽說洞上五位修行。君臣父子。各得其宜。莫	法 門 南 嶽 說 洞 上 五 位 修 行 君 臣 父 子 各 得 其 宜 莫 
X69n1352_001:0309a24	守寒巖異艸青。坐却白雲宗不妙。天台說臨際下三	守 寒 巖 異 艸 青 坐 却 白 雲 宗 不 妙 天 台 說 臨 際 下 三 
X69n1352_001:0309b01	玄三要。四料揀。一喝分賓主。照用一時行。要會箇中	玄 三 要 四 料 揀 一 喝 分 賓 主 照 用 一 時 行 要 會 箇 中 
X69n1352_001:0309b02	意。日午打三更。廬山出來道。你兩箇正在葛藤窠裏。	意 日 午 打 三 更 廬 山 出 來 道 你 兩 箇 正 在 葛 藤 窠 裏 
X69n1352_001:0309b03	不見道。欲得不招無間業。莫謗如來正法輪。大眾。據	不 見 道 欲 得 不 招 無 間 業 莫 謗 如 來 正 法 輪 大 眾 據 
X69n1352_001:0309b04	此三箇漢見解。若上衲僧秤子秤。一箇重八兩。一箇	此 三 箇 漢 見 解 若 上 衲 僧 秤 子 秤 一 箇 重 八 兩 一 箇 
X69n1352_001:0309b05	重半斤。一箇不直半分錢。且道那箇不直半分錢。良	重 半 斤 一 箇 不 直 半 分 錢 且 道 那 箇 不 直 半 分 錢 良 
X69n1352_001:0309b06	久云。但願春風齊著力。一時吹入我門來。卓拄杖一	久 云 但 願 春 風 齊 著 力 一 時 吹 入 我 門 來 卓 拄 杖 一 
X69n1352_001:0309b07	下。	下 
X69n1352_001:0309b08	上堂云。古者道。盡大地無一人真正舉揚宗教。設有	上 堂 云 古 者 道 盡 大 地 無 一 人 真 正 舉 揚 宗 教 設 有 
X69n1352_001:0309b09	一人舉揚宗教。盡大地直得亡鋒結舌。喪身失命。只	一 人 舉 揚 宗 教 盡 大 地 直 得 亡 鋒 結 舌 喪 身 失 命 只 
X69n1352_001:0309b10	是箇無孔鐵槌。大眾。古人醋裏有鹽。須是舌上有眼。	是 箇 無 孔 鐵 槌 大 眾 古 人 醋 裏 有 鹽 須 是 舌 上 有 眼 
X69n1352_001:0309b11	方始辨得。若也辨得去。方知道無孔鐵槌。風吹不入。	方 始 辨 得 若 也 辨 得 去 方 知 道 無 孔 鐵 槌 風 吹 不 入 
X69n1352_001:0309b12	雨灑不濕。法華今日重說偈言。乃高聲云。無孔鐵鎚	雨 灑 不 濕 法 華 今 日 重 說 偈 言 乃 高 聲 云 無 孔 鐵 鎚 
X69n1352_001:0309b13	巡堂去。	巡 堂 去 
X69n1352_001:0309b14	上堂云。解接無根樹。能挑海底燈。未是衲僧分上事。	上 堂 云 解 接 無 根 樹 能 挑 海 底 燈 未 是 衲 僧 分 上 事 
X69n1352_001:0309b15	且道作麼生是衲僧分上事。良久云。一日兩度鉢盂	且 道 作 麼 生 是 衲 僧 分 上 事 良 久 云 一 日 兩 度 鉢 盂 
X69n1352_001:0309b16	溼。	溼 
X69n1352_001:0309b17	上堂云。釋迦老子有四弘誓願。煩惱無邊誓願斷。法	上 堂 云 釋 迦 老 子 有 四 弘 誓 願 煩 惱 無 邊 誓 願 斷 法 
X69n1352_001:0309b18	門無邊誓願學。眾生無邊誓願度。無上菩提誓願成。	門 無 邊 誓 願 學 眾 生 無 邊 誓 願 度 無上菩提 誓 願 成 
X69n1352_001:0309b19	法華亦有四弘誓願。飢來要喫飯。寒到即添衣。困時	法 華 亦 有 四 弘 誓 願 飢 來 要 喫 飯 寒 到 即 添 衣 困 時 
X69n1352_001:0309b20	伸脚睡。熱處要風吹。	伸 脚 睡 熱 處 要 風 吹 
X69n1352_001:0309b21	上堂云。四月八日佛生節。有眉有眼皆傳說。天上天	上 堂 云 四 月 八 日 佛 生 節 有 眉 有 眼 皆 傳 說 天 上 天 
X69n1352_001:0309b22	下我獨尊。不知幾箇腦門裂。腦門裂。一棒打與狗子	下 我 獨 尊 不 知 幾 箇 腦 門 裂 腦 門 裂 一 棒 打 與 狗 子 
X69n1352_001:0309b23	喫。	喫 
X69n1352_001:0309b24	上堂。舉雪竇道。春山疊亂青。春水漾虗碧。寥寥天地	上 堂 舉 雪 竇 道 春 山 疊 亂 青 春 水 漾 虗 碧 寥 寥 天 地 
X69n1352_001:0309c01	間。獨立望何極。乃迴顧。問侍者云。還有人守方丈麼。	間 獨 立 望 何 極 乃 迴 顧 問 侍 者 云 還 有 人 守 方 丈 麼 
X69n1352_001:0309c02	云有。自云。作賊人心虗。大眾。雪竇老人。放去収來。有	云 有 自 云 作 賊 人 心 虗 大 眾 雪 竇 老 人 放 去 収 來 有 
X69n1352_001:0309c03	舒卷乾坤之手。然雖如是。何似乾坤收不得。堯舜不	舒 卷 乾 坤 之 手 然 雖 如 是 何 似 乾 坤 收 不 得 堯 舜 不 
X69n1352_001:0309c04	知名好。法華今日忍俊不禁。當為古人出氣。乃云。山	知 名 好 法 華 今 日 忍 俊 不 禁 當 為 古 人 出 氣 乃 云 山 
X69n1352_001:0309c05	櫻火燄輝。山鳥歌聲滑。携手不同途。任他春氣發。有	櫻 火 燄 輝 山 鳥 歌 聲 滑 携 手 不 同 途 任 他 春 氣 發 有 
X69n1352_001:0309c06	天有地來。幾箇眼睛活。法華今日暫出。更不著問侍	天 有 地 來 幾 箇 眼 睛 活 法 華 今 日 暫 出 更 不 著 問 侍 
X69n1352_001:0309c07	者守方丈。	者 守 方 丈 
X69n1352_001:0309c08	上堂云。安居之首。禁足為名。禁足之意。意在進道而	上 堂 云 安 居 之 首 禁 足 為 名 禁 足 之 意 意 在 進 道 而 
X69n1352_001:0309c09	護生。衲僧家。更有何生而可護。何道而可進。唾一唾。	護 生 衲 僧 家 更 有 何 生 而 可 護 何 道 而 可 進 唾 一 唾 
X69n1352_001:0309c10	唾破釋迦老子面門。行一步。蹈斷釋迦老子背脊骨。	唾 破 釋 迦 老 子 面 門 行 一 步 蹈 斷 釋 迦 老 子 背 脊 骨 
X69n1352_001:0309c11	猶是隨行逐隊漢。未是本分衲僧。良久云。無限風流	猶 是 隨 行 逐 隊 漢 未 是 本 分 衲 僧 良 久 云 無 限 風 流 
X69n1352_001:0309c12	慵賣弄。免教人指好郎君。	慵 賣 弄 免 教 人 指 好 郎 君 
X69n1352_001:0309c13	上堂云。法華今日傷寒。且向第二機裏說葛藤。拈起	上 堂 云 法 華 今 日 傷 寒 且 向 第 二 機 裏 說 葛 藤 拈 起 
X69n1352_001:0309c14	拄杖。卓三下。	拄 杖 卓 三 下 
X69n1352_001:0309c15	上堂云。日消萬兩黃金。法華門下不著。直饒不直半	上 堂 云 日 消 萬 兩 黃 金 法 華 門 下 不 著 直 饒 不 直 半 
X69n1352_001:0309c16	分錢。正入得法華門。未昇得法華堂。未入得法華室。	分 錢 正 入 得 法 華 門 未 昇 得 法 華 堂 未 入 得 法 華 室 
X69n1352_001:0309c17	且道什麼人昇得法華堂。入得法華室。乃云。眼有三	且 道 什 麼 人 昇 得 法 華 堂 入 得 法 華 室 乃 云 眼 有 三 
X69n1352_001:0309c18	角。頭峭五嶽。	角 頭 峭 五 嶽 
X69n1352_001:0309c19	上堂。良久云。早是為蛇畵足了也。下座。	上 堂 良 久 云 早 是 為 蛇 畵 足 了 也 下 座 
X69n1352_001:0309c20	上堂。舉教中道。一切眾生。悉皆有心。有心者皆得作	上 堂 舉 教 中 道 一 切 眾 生 悉 皆 有 心 有 心 者 皆 得 作 
X69n1352_001:0309c21	佛。祖師又道。一切有心。天地懸隔。恁麼道。莫有相違	佛 祖 師 又 道 一 切 有 心 天 地 懸 隔 恁 麼 道 莫 有 相 違 
X69n1352_001:0309c22	麼。作麼生得不相違去。良久云。波斯鼻孔似朱紅。樓	麼 作 麼 生 得 不 相 違 去 良 久 云 波 斯 鼻 孔 似 朱 紅 樓 
X69n1352_001:0309c23	至拳頭如鉢大。悶來打倒須彌山。赫殺補陀觀自在。	至 拳 頭 如 鉢 大 悶 來 打 倒 須 彌 山 赫 殺 補 陀 觀 自 在 
X69n1352_001:0309c24	上堂。舉金鑾和尚。一日在厨前。見典座便問。典座。變	上 堂 舉 金 鑾 和 尚 一 日 在 厨 前 見 典 座 便 問 典 座 變 
X69n1352_001:0310a01	生成熟。即不無典座。離却木杓。道將一句來。曲座無	生 成 熟 即 不 無 典 座 離 却 木 杓 道 將 一 句 來 曲 座 無 
X69n1352_001:0310a02	語。後令入室僧代語。皆不契。乃自代云。羊羹雜美。眾	語 後 令 入 室 僧 代 語 皆 不 契 乃 自 代 云 羊 羹 雜 美 眾 
X69n1352_001:0310a03	口難調。大眾且道。金鑾離得木杓也未。法華即不然。	口 難 調 大 眾 且 道 金 鑾 離 得 木 杓 也 未 法 華 即 不 然 
X69n1352_001:0310a04	離却木杓。一句作麼生道。人情若好。喫水也肥。	離 却 木 杓 一 句 作 麼 生 道 人 情 若 好 喫 水 也 肥 
X69n1352_001:0310a05	上堂。舉玄沙常將汝等諸人。放頂[寧*頁]上。不敢錯悞諸	上 堂 舉 玄 沙 常 將 汝 等 諸 人 放 頂 [寧頁] 上 不 敢 錯 悞 諸 
X69n1352_001:0310a06	人一毫子。古人恁麼道。且道是錯悞。不錯悞。若道不	人 一 毫 子 古 人 恁 麼 道 且 道 是 錯 悞 不 錯 悞 若 道 不 
X69n1352_001:0310a07	錯悞。因什麼將汝放頂[寧*頁]上著。所以法華尋常與諸	錯 悞 因 什 麼 將 汝 放 頂 [寧頁] 上 著 所 以 法 華 尋 常 與 諸 
X69n1352_001:0310a08	人。只是平交相見。尚自怕有錯悞時。恁麼道。也似知	人 只 是 平 交 相 見 尚 自 怕 有 錯 悞 時 恁 麼 道 也 似 知 
X69n1352_001:0310a09	而故犯了也。然雖如是。明眼人前。不得錯舉。	而 故 犯 了 也 然 雖 如 是 明 眼 人 前 不 得 錯 舉 
X69n1352_001:0310a10	上堂云。今年雨水非常足。管取秋來天下熟。牧童齊	上 堂 云 今 年 雨 水 非 常 足 管 取 秋 來 天 下 熟 牧 童 齊 
X69n1352_001:0310a11	唱太平歌。笑殺東村王大叔。	唱 太 平 歌 笑 殺 東 村 王 大 叔 
X69n1352_001:0310a12	上堂云。法華収得三般稀奇之寶。尋常可曾拈出。今	上 堂 云 法 華 収 得 三 般 稀 奇 之 寶 尋 常 可 曾 拈 出 今 
X69n1352_001:0310a13	日麻頭穀頭進發。不免將出奉送二公。乃拈起拄杖。	日 麻 頭 穀 頭 進 發 不 免 將 出 奉 送 二 公 乃 拈 起 拄 杖 
X69n1352_001:0310a14	卓三下云。前頭第一不得擘破。又須分交兩手。縱遇	卓 三 下 云 前 頭 第 一 不 得 擘 破 又 須 分 交 兩 手 縱 遇 
X69n1352_001:0310a15	南番舶主。也須換却眼睛。	南 番 舶 主 也 須 換 却 眼 睛 
X69n1352_001:0310a16	中秋日上堂云。問在答處。答在問處。即且致。且道不	中 秋 日 上 堂 云 問 在 答 處 答 在 問 處 即 且 致 且 道 不 
X69n1352_001:0310a17	問不答。在什麼處。良久云。此夜一輪滿。清光何處無。	問 不 答 在 什 麼 處 良 久 云 此 夜 一 輪 滿 清 光 何 處 無 
X69n1352_001:0310a18	合肥請師。不赴。入州退免迴山。上堂云。不住城隍果	合 肥 請 師 不 赴 入 州 退 免 迴 山 上 堂 云 不 住 城 隍 果 
X69n1352_001:0310a19	所期。山花山鳥又仝嬉。石泉昨夜牕前過。何事清聲	所 期 山 花 山 鳥 又 仝 嬉 石 泉 昨 夜 牕 前 過 何 事 清 聲 
X69n1352_001:0310a20	勝舊時。以拄杖卓三下。	勝 舊 時 以 拄 杖 卓 三 下 
X69n1352_001:0310a21	上堂云。法法本來法。無法無非法。何於一法中。有法	上 堂 云 法 法 本 來 法 無 法 無 非 法 何 於 一 法 中 有 法 
X69n1352_001:0310a22	有不法。大眾。山河大地。色空明暗。森羅萬象。青黃赤	有 不 法 大 眾 山 河 大 地 色 空 明 暗 森 羅 萬 象 青 黃 赤 
X69n1352_001:0310a23	白。皎然各有體有名。僧是僧。俗是俗。作麼生說得箇	白 皎 然 各 有 體 有 名 僧 是 僧 俗 是 俗 作 麼 生 說 得 箇 
X69n1352_001:0310a24	一法。莫是喝一喝。拍一拍。豎起一箇指頭麼。若恁麼。	一 法 莫 是 喝 一 喝 拍 一 拍 豎 起 一 箇 指 頭 麼 若 恁 麼 
