X46n0776_001:0165a03	 序說	 序 說 
X46n0776_001:0176c21	雖無量。略說有十五種位。以如是位為道路分。如偈	雖 無 量 略 說 有 十 五 種 位 以 如 是 位 為 道 路 分 如 偈 
X46n0776_001:0176c22	山王道路中。總有十五位故。以何因緣分明了知此	山 王 道 路 中 總 有 十 五 位 故 以何因緣 分 明 了 知 此 
X46n0776_001:0176c23	道路中有十五種根本之位。謂彼金剛大力寶輪山	道 路 中 有 十 五 種 根 本 之 位 謂 彼 金 剛 大 力 寶 輪 山 
X46n0776_001:0176c24	王體五種位中。皆悉各各有三種自在作用故。以此	王 體 五 種 位 中 皆 悉 各 各 有 三 種 自 在 作 用 故 以 此 
X46n0776_001:0177a01	義故。成立十五差別名數。如偈體五種位中。各有三	義 故 成 立 十 五 差 別 名 數 如 偈 體 五 種 位 中 各 有 三 
X46n0776_001:0177a02	用故故(引經第十五)。方脩多羅中作如是說。一區王民行	用 故 故 引 經 第 十 五 方 脩 多 羅 中 作如是說 一 區 王 民 行 
X46n0776_001:0177a03	地地中。唯有十五種體分業數位。無所餘位。乃至廣	地 地 中 唯 有 十 五 種 體 分 業 數 位 無 所 餘 位 乃 至 廣 
X46n0776_001:0177a04	說故(引經第十六)。然明神妙理脩多羅中作如是說。有二	說 故 引 經 第 十 六 然 明 神 妙 理 脩 多 羅 中 作如是說 有 二 
X46n0776_001:0177a05	十五種差別位者。取王家轉。非取作轉故(金剛五位中。位位互	十 五 種 差 別 位 者 取 王 家 轉 非 取 作 轉 故 金 剛 五 位 中 位 位 互 
X46n0776_001:0177a06	具五種。則成二十五種差別位。以互具者。皆是本體五位。故名王家轉。此分所說位位各有三用。乃造作轉。與	具 五 種 則 成 二 十 五 種 差 別 位 以 互 具 者 皆 是 本 體 五 位 故 名 王 家 轉 此 分 所 說 位 位 各 有 三 用 乃 造 作 轉 與 
X46n0776_001:0177a07	彼本位有別)。造作轉攝十五種位名字形相當如何耶。偈	彼 本 位 有 別 造 作 轉 攝 十 五 種 位 名 字 形 相 當 如 何 耶 偈 
X46n0776_001:0177a08	曰。	曰 
X46n0776_001:0177a09	　明了及遠數　　相續并三合　　徧動徧不動	 明 了 及 遠 數 相 續 并 三 合 徧 動 徧 不 動 
X46n0776_001:0177a10	　字等兼廣大　　徧到不徧到　　融立與俱離	 字 等 兼 廣 大 徧 到 不 徧 到 融 立 與 俱 離 
X46n0776_001:0177a11	　是名十五名　　如次應觀察	 是 名 十 五 名 如 次 應 觀 察 
X46n0776_001:0177a12	論曰。就次第漸轉體中。則有三種用。云何為三。一者	論 曰 就 次 第 漸 轉 體 中 則 有 三 種 用 云 何 為 三 一 者 
X46n0776_001:0177a13	分明了達審地作用。不亂次第。建立位地。行道分明。	分 明 了 達 審 地 作 用 不 亂 次 第 建 立 位 地 行 道 分 明 
X46n0776_001:0177a14	名義俱了故。如偈明了故。二者遠行遠修無數作用。	名 義 俱 了 故 如 偈 明 了 故 二 者 遠 行 遠 修 無 數 作 用 
X46n0776_001:0177a15	經無量劫。過此諸位。修集功德。無窮盡故。如偈及遠	經 無 量 劫 過 此 諸 位 修 集 功 德 無 窮 盡 故 如 偈 及 遠 
X46n0776_001:0177a16	數故。三者無斷無絕恒轉作用。剎那剎那。中間中間。	數 故 三 者 無 斷 無 絕 恒 轉 作 用 剎 那 剎 那 中 間 中 間 
X46n0776_001:0177a17	常恒不息。自然轉故。如偈相續故。是名為三。就諸法	常 恒 不 息 自 然 轉 故 如 偈 相 續 故 是 名 為 三 就 諸 法 
X46n0776_001:0177a18	等是體中。亦有三種用。云何為三。一者能詮能了一	等 是 體 中 亦 有 三 種 用 云 何 為 三 一 者 能 詮 能 了 一 
X46n0776_001:0177a19	合作用。善巧言說。無礙覺慧。其數無量。一金剛故。二	合 作 用 善 巧 言 說 無 礙 覺 慧 其 數 無 量 一 金 剛 故 二 
X46n0776_001:0177a20	者所詮所證一合作用。甚深極義。勝妙玄理。唯是一	者 所 詮 所 證 一 合 作 用 甚 深 極 義 勝 妙 玄 理 唯 是 一 
X46n0776_001:0177a21	區。唯是一身。無二歧故。三者隨應有名一合作用。隨	區 唯 是 一 身 無 二 歧 故 三 者 隨 應 有 名 一 合 作 用 隨 
X46n0776_001:0177a22	其所應一切有名。一切皆悉一金身故。是名為三。如	其 所 應 一 切 有 名 一 切 皆 悉 一 金 身 故 是 名 為 三 如 
X46n0776_001:0177a23	偈并三合故。就無餘究竟體中。亦有三種用。云何為	偈 并 三 合 故 就 無 餘 究 竟 體 中 亦 有 三 種 用 云 何 為 
X46n0776_001:0177a24	三。一者周徧圓滿動轉作用。第一時中。依一位中通	三 一 者 周 徧 圓 滿 動 轉 作 用 第 一 時 中 依 一 位 中 通 
X46n0776_001:0177b01	攝一切而究竟轉故。如偈徧動故。二者周徧圓滿不	攝 一 切 而 究 竟 轉 故 如 偈 徧 動 故 二 者 周 徧 圓 滿 不 
X46n0776_001:0177b02	動作用。如是轉者。所餘一切無量位中。不移不轉常	動 作 用 如 是 轉 者 所 餘 一 切 無 量 位 中 不 移 不 轉 常 
X46n0776_001:0177b03	決定故。如偈徧不動故。三者名句文字無別作用。隨	決 定 故 如 偈 徧 不 動 故 三 者 名 句 文 字 無 別 作 用 隨 
X46n0776_001:0177b04	其先唱。與餘一故。如偈字等故。是名為三。就周徧圓	其 先 唱 與 餘 一 故 如 偈 字 等 故 是 名 為 三 就 周 徧 圓 
X46n0776_001:0177b05	滿體中。亦有三種用。云何為三。一者無量無邊廣大	滿 體 中 亦 有 三 種 用 云 何 為 三 一 者 無量無邊 廣 大 
X46n0776_001:0177b06	作用。其法自體出現業相。盡極廣大無分界故。如偈	作 用 其 法 自 體 出 現 業 相 盡 極 廣 大 無 分 界 故 如 偈 
X46n0776_001:0177b07	廣大故。二者無礙通達徧到作用。一時建立一切位	廣 大 故 二 者 無 礙 通 達 徧 到 作 用 一 時 建 立 一 切 位 
X46n0776_001:0177b08	故。如偈徧到故。三者極極無數不徧作用。徧通經過。	故 如 偈 徧 到 故 三 者 極 極 無 數 不 徧 作 用 徧 通 經 過 
X46n0776_001:0177b09	而唯有一邊故。如偈不徧到故。是名為三。就俱非絕	而 唯 有 一 邊 故 如 偈 不 徧 到 故 是 名 為 三 就 俱 非 絕 
X46n0776_001:0177b10	離體中。亦有三種用。云何為三。一者消融無所建立	離 體 中 亦 有 三 種 用 云 何 為 三 一 者 消 融 無 所 建 立 
X46n0776_001:0177b11	作用。一切諸法皆悉遣除。無所許故。如偈融故。二者	作 用 一切諸法 皆 悉 遣 除 無 所 許 故 如 偈 融 故 二 者 
X46n0776_001:0177b12	建立諸法悉持作用。一切諸法。以俱非義是理成故。	建 立 諸 法 悉 持 作 用 一切諸法 以 俱 非 義 是 理 成 故 
X46n0776_001:0177b13	如偈立故。三者消融建立俱絕作用。究竟絕道廣建	如 偈 立 故 三 者 消 融 建 立 俱 絕 作 用 究 竟 絕 道 廣 建 
X46n0776_001:0177b14	立故。如偈與俱離故。是名為三。是為十五種位名字	立 故 如 偈 與 俱 離 故 是 名 為 三 是 為 十 五 種 位 名 字 
X46n0776_001:0177b15	焉。此道路位。大利根者乃能通達。鈍根眾生決定難	焉 此 道 路 位 大 利 根 者 乃 能 通 達 鈍 根 眾 生 決 定 難 
X46n0776_001:0177b16	了。如偈是名十五名。如次應觀察故(上來十五種作用。文辭巧妙。義	了 如 偈 是 名 十 五 名 如 次 應 觀 察 故 上 來 十 五 種 作 用 文 辭 巧 妙 義 
X46n0776_001:0177b17	理深玄。利根上士。智慧觀察。即能通達。鈍根眾生。雖難明了。苟能深心體究。亦作將來勝因。幸勿自生退屈也)。	理 深 玄 利 根 上 士 智 慧 觀 察 即 能 通 達 鈍 根 眾 生 雖 難 明 了 苟 能 深 心 體 究 亦 作 將 來 勝 因 幸 勿 自 生 退 屈 也 
X46n0776_001:0177b18	如是諸位。亦一時出興。亦異時出興。亦俱時出興。亦	如 是 諸 位 亦 一 時 出 興 亦 異 時 出 興 亦 俱 時 出 興 亦 
X46n0776_001:0177b19	一處轉。亦異處轉。亦俱處轉。亦不出興。亦不移轉。亦	一 處 轉 亦 異 處 轉 亦 俱 處 轉 亦 不 出 興 亦 不 移 轉 亦 
X46n0776_001:0177b20	唯一種。亦是多種(出興移轉有十種不同。是故聖賢應世。於十五用。或具或闕。或隱或	唯 一 種 亦 是 多 種 出 興 移 轉 有 十 種 不 同 是 故 聖 賢 應 世 於 十 五 用 或 具 或 闕 或 隱 或 
X46n0776_001:0177b21	顯。人莫能測也)。於彼本法。有作功用。有作方便。自然自在。建	顯 人 莫 能 測 也 於 彼 本 法 有 作 功 用 有 作 方 便 自 然 自 在 建 
X46n0776_001:0177b22	立造作。應審觀察。	立 造 作 應 審 觀 察 
X46n0776_001:0177b23	○獨一山王摩訶山王大決擇分第六(獨一者。無對待也。摩	 獨 一 山 王 摩 訶 山 王 大 決 擇 分 第 六 獨 一 者 無 對 待 也 摩 
X46n0776_001:0177b24	訶。此云大。超出凡小權漸也)。	訶 此 云 大 超 出 凡 小 權 漸 也 
X46n0776_001:0177c01	如是已說金輪山王道路大決擇分。次當說獨一山	如 是 已 說 金 輪 山 王 道 路 大 決 擇 分 次 當 說 獨 一 山 
X46n0776_001:0177c02	王摩訶山王大決擇分。其相云何。偈曰。	王 摩 訶 山 王 大 決 擇 分 其相云何 偈 曰 
X46n0776_001:0177c03	　摩訶山王中　　總有千二百　　七十五種位	 摩 訶 山 王 中 總 有 千 二 百 七 十 五 種 位 
X46n0776_001:0177c04	　謂五十一種　　大根本位中　　皆一一各各	 謂 五 十 一 種 大 根 本 位 中 皆 一 一 各 各 
X46n0776_001:0177c05	　漸轉等五位　　具足安立故	 漸 轉 等 五 位 具 足 安 立 故 
X46n0776_001:0177c06	論曰。此獨一山王摩訶山王體中。建立幾位以為體	論 曰 此 獨 一 山 王 摩 訶 山 王 體 中 建 立 幾 位 以 為 體 
X46n0776_001:0177c07	分。廣說雖無量。略說其要。唯有一千二百七十五種	分 廣 說 雖 無 量 略 說 其 要 唯 有 一 千 二 百 七 十 五 種 
X46n0776_001:0177c08	決定位故。如偈摩訶山王中。總有千二百。七十五種	決 定 位 故 如 偈 摩 訶 山 王 中 總 有 千 二 百 七 十 五 種 
X46n0776_001:0177c09	位故。以何因緣。山王體中。有千二百七十五位。分明	位 故 以何因緣 山 王 體 中 有 千 二 百 七 十 五 位 分 明 
X46n0776_001:0177c10	現知。所謂常恒五十一種根本位中。一一各各。次第	現 知 所 謂 常 恒 五 十 一 種 根 本 位 中 一 一 各 各 次 第 
X46n0776_001:0177c11	漸轉。諸法等是。無餘究竟。周徧圓滿。俱非絕離。五種	漸 轉 諸 法 等 是 無 餘 究 竟 周 徧 圓 滿 俱 非 絕 離 五 種 
X46n0776_001:0177c12	位。具足轉故。亦漸轉等五種位中。各各開示漸轉等	位 具 足 轉 故 亦 漸 轉 等 五 種 位 中 各 各 開 示 漸 轉 等 
X46n0776_001:0177c13	五種別位故。是故成立一千二百七十五位(五十一種根本	五 種 別 位 故 是 故 成 立 一 千 二 百 七 十 五 位 五 十 一 種 根 本 
X46n0776_001:0177c14	位。各具漸轉等五位。即成二百五十五位。又漸轉等五種位中。各具漸轉等五位。便成一千二百七十五位)。	位 各 具 漸 轉 等 五 位 即 成 二百五十 五 位 又 漸 轉 等 五 種 位 中 各 具 漸 轉 等 五 位 便 成 一 千 二 百 七 十 五 位 
X46n0776_001:0177c15	如偈謂五十一種。大根本位中。皆一一各各。漸轉等	如 偈 謂 五 十 一 種 大 根 本 位 中 皆 一 一 各 各 漸 轉 等 
X46n0776_001:0177c16	五位。具足安立故故。此獨一山王摩訶山王體中。如	五 位 具 足 安 立 故 故 此 獨 一 山 王 摩 訶 山 王 體 中 如 
X46n0776_001:0177c17	是千二百七十五種位。亦一一時轉。亦異一時轉。亦	是 千 二 百 七 十 五 種 位 亦 一 一 時 轉 亦 異 一 時 轉 亦 
X46n0776_001:0177c18	俱一時轉。亦皆非轉。亦一時一處轉。亦一時異處轉。	俱 一 時 轉 亦 皆 非 轉 亦 一 時 一 處 轉 亦 一 時 異 處 轉 
X46n0776_001:0177c19	亦異時異處轉。亦皆非轉(八種轉相。與第四分有別。蓋第四分專論五位。此分	亦 異 時 異 處 轉 亦 皆 非 轉 八 種 轉 相 與 第 四 分 有 別 蓋 第 四 分 專 論 五 位 此 分 
X46n0776_001:0177c20	則論位位互具。成一千二百七十五位。是故轉相更變耳)。自在自然。無障無礙。是	則 論 位 位 互 具 成 一 千 二 百 七 十 五 位 是 故 轉 相 更 變 耳 自 在 自 然 無障無礙 是 
X46n0776_001:0177c21	故說言無盡虗空大陀陀筏羅法界本藏。地地出生	故 說 言 無 盡 虗 空 大 陀 陀 筏 羅 法 界 本 藏 地 地 出 生 
X46n0776_001:0177c22	無窮無極廣德大海法門藏焉(引經第十七)。大智莊嚴法	無 窮 無 極 廣 德 大 海 法 門 藏 焉 引 經 第 十 七 大 智 莊 嚴 法 
X46n0776_001:0177c23	界性身甚深脩多羅中作如是說。非比非喻。難得惟	界 性 身 甚 深 脩 多 羅 中 作如是說 非 比 非 喻 難 得 惟 
X46n0776_001:0177c24	說。大海中藏。大海一體。本地地中三品德類。具足圓	說 大 海 中 藏 大 海 一 體 本 地 地 中 三 品 德 類 具 足 圓 
X46n0776_001:0178a01	滿無所闕失。云何為三。一者上品德類。其位名字。眾	滿 無 所 闕 失 云 何 為 三 一 者 上 品 德 類 其 位 名 字 眾 
X46n0776_001:0178a02	多無數。與十方世界微塵之數其量等故(華嚴經內。海雲比丘	多 無 數 與 十方世界 微 塵 之 數 其 量 等 故 華 嚴 經 內 海 雲 比 丘 
X46n0776_001:0178a03	受持普眼法門。假使有人。以大海量墨。須彌聚筆。書寫此經一品中一門。一門中一法。一法中一義。一義中一	受 持 普 眼 法 門 假 使 有 人 以 大 海 量 墨 須 彌 聚 筆 書 寫 此 經 一 品 中 一 門 一 門 中 一 法 一 法 中 一 義 一 義 中 一 
X46n0776_001:0178a04	句。不得少分。即此上品德類也)。二者中品德類。其位名字。與百百百	句 不 得 少 分 即 此 上 品 德 類 也 二 者 中 品 德 類 其 位 名 字 與 百 百 百 
X46n0776_001:0178a05	億三千大千世界微塵之數其量等故(龍樹菩薩入龍宮所見上	億 三千大千世界 微 塵 之 數 其 量 等 故 龍 樹 菩 薩 入 龍 宮 所 見 上 
X46n0776_001:0178a06	本華嚴經。有十三千大千世界微塵數偈。一四天下微塵數品。中本華嚴經。有四十九萬八千八百偈。一千二	本 華 嚴 經 有 十 三千大千世界 微 塵 數 偈 一 四 天 下 微 塵 數 品 中 本 華 嚴 經 有 四 十 九 萬 八 千 八 百 偈 一 千 二 
X46n0776_001:0178a07	百品。皆中品德類所攝)。三者下品德類。其位名字。有一千二百	百 品 皆 中 品 德 類 所 攝 三 者 下 品 德 類 其 位 名 字 有 一 千 二 百 
X46n0776_001:0178a08	七十五位故(下本華嚴經。十萬偈。四十八品。乃下品德類所攝)。是名為三。如	七 十 五 位 故 下 本 華 嚴 經 十 萬 偈 四 十 八 品 乃 下 品 德 類 所 攝 是 名 為 三 如 
X46n0776_001:0178a09	是諸位。一一一一一一。乃至無量無量無量無量無	是 諸 位 一 一 一 一 一 一 乃 至 無 量 無 量 無 量 無 量 無 
X46n0776_001:0178a10	量無量(心真如門。為萬法之本。平等無二。故說為一。信。住。行。向。地。佛。有六位。以六箇一字括之。心	量 無 量 心 真 如 門 為 萬 法 之 本 平 等 無 二 故 說 為 一 信 住 行 向 地 佛 有 六 位 以 六 箇 一 字 括 之 心 
X46n0776_001:0178a11	生滅門。顯示差別相用。不可窮盡。以六箇無量括之。若引世典表法。六一者乾之六爻也。純粹至精。稱之為一。	生 滅 門 顯 示 差 別 相 用 不可窮盡 以 六 箇 無 量 括 之 若 引 世 典 表 法 六 一 者 乾 之 六 爻 也 純 粹 至 精 稱 之 為 一 
X46n0776_001:0178a12	六無量者坤之六爻也。萬物資生。故稱無量)。乃至廣說故	六 無 量 者 坤 之 六 爻 也 萬 物 資 生 故 稱 無 量 乃至廣說 故 
X46n0776_001:0178a13	(以上四分為佛法之總綱。第三分開演正宗。首舉金剛五位。普攝經中差別門徑次列根本五十一	 以 上 四 分 為 佛 法 之 總 綱 第 三 分 開 演 正 宗 首 舉 金 剛 五 位 普 攝 經 中 差 別 門 徑 次 列 根 本 五 十 一 
X46n0776_001:0178a14	位以為依止。則無盡教海綱舉目張矣。第四分總括前文。詳示轉相。第五分就五位中開出十五種	位 以 為 依 止 則 無 盡 教 海 綱 舉 目 張 矣 第 四 分 總 括 前 文 詳 示 轉 相 第 五 分 就 五 位 中 開 出 十 五 種 
X46n0776_001:0178a15	作用。為無邊妙用之根源。第六分明位位互具。為後文廣大法數之張本。一部論義。揭示昭然。所謂	作 用 為 無 邊 妙 用 之 根 源 第 六 分 明 位 位 互 具 為 後 文 廣 大 法 數 之 張 本 一 部 論 義 揭 示 昭 然 所 謂 
X46n0776_001:0178a16	大宗地者此也。以次三十分。層層兩揚。皆從此中流出耳)。	大 宗 地 者 此 也 以 次 三 十 分 層 層 兩 揚 皆 從 此 中 流 出 耳 
X46n0776_001:0178a18	大宗地玄文本論略註卷第一	大 宗 地 玄 文 本 論 略 註 卷 第 一 
X46n0776_002:0178a21	大宗地玄文本論略註卷第二	大 宗 地 玄 文 本 論 略 註 卷 第 二 
X46n0776_002:0178a23	馬鳴菩薩　造	馬 鳴 菩 薩 造 
X46n0776_002:0178a24	陳　真諦三藏　譯	陳 真 諦 三 藏 譯 
X46n0776_002:0178b01	清　楊文會　略註	清 楊 文 會 略 註 
X46n0776_002:0178b02	○大海部藏道路大決擇分第七(法門深廣。猶如大海。部即品類。	 大 海 部 藏 道 路 大 決 擇 分 第 七 法 門 深 廣 猶 如 大 海 部 即 品 類 
X46n0776_002:0178b03	藏即含容)。	藏 即 含 容 
X46n0776_002:0178b04	如是已說獨一山王摩訶山王大決擇分。次當說大	如 是 已 說 獨 一 山 王 摩 訶 山 王 大 決 擇 分 次 當 說 大 
X46n0776_002:0178b05	海部藏道路大決擇分。其相云何。偈曰。	海 部 藏 道 路 大 決 擇 分 其相云何 偈 曰 
X46n0776_002:0178b06	　大海部藏中　　總有十種法　　謂五種非空	 大 海 部 藏 中 總 有 十 種 法 謂 五 種 非 空 
X46n0776_002:0178b07	　及五種無常	 及 五 種 無 常 
X46n0776_002:0178b08	論曰。此大海部藏道路分中。建立幾法為部藏量。所	論 曰 此 大 海 部 藏 道 路 分 中 建 立 幾 法 為 部 藏 量 所 
X46n0776_002:0178b09	謂建立十種法體。以為大海部藏分故(引經第十八)。摩訶	謂 建 立 十 種 法 體 以 為 大 海 部 藏 分 故 引 經 第 十 八 摩 訶 
X46n0776_002:0178b10	衍地脩多羅中作如是說。俱俱海藏履道分中。唯有	衍 地 脩 多 羅 中 作如是說 俱 俱 海 藏 履 道 分 中 唯 有 
X46n0776_002:0178b11	十法。無有餘法。乃至廣說故。如偈大海部藏中。總有	十 法 無 有 餘 法 乃至廣說 故 如 偈 大 海 部 藏 中 總 有 
X46n0776_002:0178b12	十種法故。以何義故有十。應知五種非空。五種無常。	十 種 法 故 以 何 義 故 有 十 應 知 五 種 非 空 五 種 無 常 
X46n0776_002:0178b13	各差別故。如偈謂五種非空。及五種無常故(五種功德皆名	各 差 別 故 如 偈 謂 五 種 非 空 及 五 種 無 常 故 五種功德 皆 名 
X46n0776_002:0178b14	非空者。防世人著空也。五種過患皆名無常者。防世人執常也)。彼十種法。其名字相。	非 空 者 防 世 人 著 空 也 五 種 過 患 皆 名 無 常 者 防 世 人 執 常 也 彼 十 種 法 其 名 字 相 
X46n0776_002:0178b15	當如何耶。偈曰。	當 如 何 耶 偈 曰 
X46n0776_002:0178b16	　離礙及有實　　性火并今光　　兼深里出興	 離 礙 及 有 實 性 火 并 今 光 兼 深 里 出 興 
X46n0776_002:0178b17	　地藏大龍王　　如是五種名　　非空不共稱	 地 藏 大 龍 王 如 是 五 種 名 非 空 不 共 稱 
X46n0776_002:0178b18	　起持變壞品　　與大力無名　　如是五種名	 起 持 變 壞 品 與 大 力 無 名 如 是 五 種 名 
X46n0776_002:0178b19	　無常不共稱　　各有第一一　　以請氣力故	 無 常 不 共 稱 各 有 第 一 一 以 請 氣 力 故 
X46n0776_002:0178b20	　立門實本攝　　如法應觀察	 立 門 實 本 攝 如 法 應 觀 察 
X46n0776_002:0178b21	論曰。云何名為五種非空決定住法。一者離礙非空	論 曰 云 何 名 為 五 種 非 空 決 定 住 法 一 者 離 礙 非 空 
X46n0776_002:0178b22	決定住法(即空。如來藏。依此建立一切諸法俱非位)。二者有實非空決定	決 定 住 法 即 空 如 來 藏 依 此 建 立 一切諸法 俱 非 位 二 者 有 實 非 空 決 定 
X46n0776_002:0178b23	住法(即不空如來藏。依此建立一切諸法俱是位)。三者性火非空決定住	住 法 即 不 空 如 來 藏 依 此 建 立 一切諸法 俱 是 位 三 者 性 火 非 空 決 定 住 
X46n0776_002:0178b24	法(性具功能。觸著即燒。依此建立無餘究竟總持位)。四者今光非空決定住	法 性 具 功 能 觸 著 即 燒 依 此 建 立 無 餘 究 竟 總 持 位 四 者 今 光 非 空 決 定 住 
X46n0776_002:0178c01	法(現前覺照。念劫圓融。依此建立周徧圓滿廣大位)。五者深里出興決定住	法 現 前 覺 照 念 劫 圓 融 依 此 建 立 周 徧 圓 滿 廣 大 位 五 者 深 里 出 興 決 定 住 
X46n0776_002:0178c02	法(破障騰空。甘霖普潤。依此建立無超次第漸轉位)。是名為五。如偈離礙及	法 破 障 騰 空 甘 霖 普 潤 依 此 建 立 無 超 次 第 漸 轉 位 是 名 為 五 如 偈 離 礙 及 
X46n0776_002:0178c03	有實。性火并今光。兼深里出興。地藏大龍王故。如是	有 實 性 火 并 今 光 兼 深 里 出 興 地 藏 大 龍 王 故 如 是 
X46n0776_002:0178c04	五名。五種非空決定住法。不共異轉差別名字。如偈	五 名 五 種 非 空 決 定 住 法 不 共 異 轉 差 別 名 字 如 偈 
X46n0776_002:0178c05	如是五種名。非空不共稱故。云何名為五種無常虗	如 是 五 種 名 非 空 不 共 稱 故 云 何 名 為 五 種 無 常 虗 
X46n0776_002:0178c06	假轉法。一者動起無常虗假轉法。二者止持無常虗	假 轉 法 一 者 動 起 無 常 虗 假 轉 法 二 者 止 持 無 常 虗 
X46n0776_002:0178c07	假轉法。三者易變無常虗假轉法。四者散壞無常虗	假 轉 法 三 者 易 變 無 常 虗 假 轉 法 四 者 散 壞 無 常 虗 
X46n0776_002:0178c08	假轉法。五者大力無常虗假轉法。是名為五。如偈起	假 轉 法 五 者 大 力 無 常 虗 假 轉 法 是 名 為 五 如 偈 起 
X46n0776_002:0178c09	持變壞品。與大力無明故。如是五名。五種無常虗假	持 變 壞 品 與 大 力 無 明 故 如 是 五 名 五 種 無 常 虗 假 
X46n0776_002:0178c10	轉法。不共異轉差別名字。如偈如是五種名。無常不	轉 法 不 共 異 轉 差 別 名 字 如 偈 如 是 五 種 名 無 常 不 
X46n0776_002:0178c11	共稱故。深里大力。如是二法。氣力立門。非取實體。應	共 稱 故 深 里 大 力 如 是 二 法 氣 力 立 門 非 取 實 體 應 
X46n0776_002:0178c12	審觀察(五種非空。分配五位。深里出興。配屬漸轉。大力無明。為障道之本。非深里出興地藏大龍	審 觀 察 五 種 非 空 分 配 五 位 深 里 出 興 配 屬 漸 轉 大 力 無 明 為 障 道 之 本 非 深 里 出 興 地 藏 大 龍 
X46n0776_002:0178c13	王。莫能破之。故於十法後。特提此二。以為對治。二者均有氣力。但虗假轉法。不敵決定住法。故終為所破。而轉	王 莫 能 破 之 故 於 十 法 後 特 提 此 二 以 為 對 治 二 者 均 有 氣 力 但 虗 假 轉 法 不 敵 決 定 住 法 故 終 為 所 破 而 轉 
X46n0776_002:0178c14	染成淨也)。如偈各有第一一。以請氣力故。立門實本攝。如	染 成 淨 也 如 偈 各 有 第 一 一 以 請 氣 力 故 立 門 實 本 攝 如 
X46n0776_002:0178c15	法應觀察故。如是已說建立名字不同門。次當說所	法 應 觀 察 故 如 是 已 說 建 立 名 字 不 同 門 次 當 說 所 
X46n0776_002:0178c16	詮義理差別門。如是五種非空決定住法。各有幾數。	詮 義 理 差 別 門 如 是 五 種 非 空 決 定 住 法 各 有 幾 數 
X46n0776_002:0178c17	所謂各各有二種故。云何名為二種離礙。一者守身	所 謂 各 各 有 二 種 故 云 何 名 為 二 種 離 礙 一 者 守 身 
X46n0776_002:0178c18	離礙。二者變轉離礙。言守身離礙者。無障礙身常恒	離 礙 二 者 變 轉 離 礙 言 守 身 離 礙 者 無 障 礙 身 常 恒 
X46n0776_002:0178c19	決定不失壞故。言變轉離礙者。建立萬有令自在故。	決 定 不 失 壞 故 言 變 轉 離 礙 者 建 立 萬 有 令 自 在 故 
X46n0776_002:0178c20	是名為二(守身者。安住不動也。變轉者。應機無滯也)。云何名為二種有實。	是 名 為 二 守 身 者 安 住 不 動 也 變 轉 者 應 機 無 滯 也 云 何 名 為 二 種 有 實 
X46n0776_002:0178c21	一者守身有實。二者變轉有實。言守身有實者。常平	一 者 守 身 有 實 二 者 變 轉 有 實 言 守 身 有 實 者 常 平 
X46n0776_002:0178c22	等身常恒決定不失壞故。言變轉有實者。建立差別	等 身 常 恒 決 定 不 失 壞 故 言 變 轉 有 實 者 建 立 差 別 
X46n0776_002:0178c23	令安住故。是名為二。云何名為二種性火。一者守身	令 安 住 故 是 名 為 二 云 何 名 為 二 種 性 火 一 者 守 身 
X46n0776_002:0178c24	性火。二者變轉性火。言守身性火者。明德藏身常恒	性 火 二 者 變 轉 性 火 言 守 身 性 火 者 明 德 藏 身 常 恒 
X46n0776_002:0179a01	決定不失壞故。言變轉性火者。塵累俱轉隨順成故。	決 定 不 失 壞 故 言 變 轉 性 火 者 塵 累 俱 轉 隨 順 成 故 
X46n0776_002:0179a02	是名為二。云何名為二種今光。一者守身今光。二者	是 名 為 二 云 何 名 為 二 種 今 光 一 者 守 身 今 光 二 者 
X46n0776_002:0179a03	變轉今光。言守身今光者。始炎炎身決定常恒不失	變 轉 今 光 言 守 身 今 光 者 始 炎 炎 身 決 定 常 恒 不 失 
X46n0776_002:0179a04	壞故。言變轉今光者。隨順流轉無所礙故。是名為二。	壞 故 言 變 轉 今 光 者 隨 順 流 轉 無 所 礙 故 是 名 為 二 
X46n0776_002:0179a05	云何名為二種深里。一者守身深里。二者變轉深里。	云 何 名 為 二 種 深 里 一 者 守 身 深 里 二 者 變 轉 深 里 
X46n0776_002:0179a06	言守身深里者。離絕中身常恒決定不失壞故。言變	言 守 身 深 里 者 離 絕 中 身 常 恒 決 定 不 失 壞 故 言 變 
X46n0776_002:0179a07	轉深里者。諸無為中得自在故。是名為二。如前所說	轉 深 里 者 諸 無 為 中 得 自 在 故 是 名 為 二 如前所說 
X46n0776_002:0179a08	五種無常業用差別。各各如何。所謂如次出生一切。	五 種 無 常 業 用 差 別 各 各 如 何 所 謂 如 次 出 生 一 切 
X46n0776_002:0179a09	無量無邊大過患海皆無餘故。住持一切無量無邊	無量無邊 大 過 患 海 皆 無 餘 故 住 持 一 切 無量無邊 
X46n0776_002:0179a10	大過患海皆無餘故。變易一切無量無邊大功德海	大 過 患 海 皆 無 餘 故 變 易 一 切 無量無邊 大 功 德 海 
X46n0776_002:0179a11	皆無餘故。壞滅一切無量無邊大功德海皆無餘故。	皆 無 餘 故 壞 滅 一 切 無量無邊 大 功 德 海 皆 無 餘 故 
X46n0776_002:0179a12	覆障非德非患中身自在皆無餘故。如是五法自體	覆 障 非 德 非 患 中 身 自 在 皆 無 餘 故 如 是 五 法 自 體 
