T24n1460_001:0659a03	解脫戒經	解 脫 戒 經 
T24n1460_001:0661a27	德是中清淨不？」(如是三說)「諸大德是中清淨，默然	德 是 中 清 淨 不 如是三說 諸 大 德 是 中 清 淨 默 然 
T24n1460_001:0661a28	故，是事如是持。」	故 是事如是持 
T24n1460_001:0661a29	「諸大德！此三十尼薩耆波逸提法，半月半月	 諸 大 德 此 三 十 尼薩耆波逸提法 半月半月 
T24n1460_001:0661b01	說解脫戒經中來。	說 解 脫 戒 經 中 來 
T24n1460_001:0661b02	「若比丘，衣已竟，出迦絺那衣，畜長衣經十日	 若 比 丘 衣 已 竟 出 迦 絺 那 衣 畜 長 衣 經 十 日 
T24n1460_001:0661b03	得持。若過畜，尼薩耆波逸提。「若比丘，衣	得 持 若 過 畜 尼薩耆波逸提 若 比 丘 衣 
T24n1460_001:0661b04	已竟，出迦絺那衣，於三衣中離一一衣，異處	已 竟 出 迦 絺 那 衣 於 三 衣 中 離 一 一 衣 異 處 
T24n1460_001:0661b05	經一宿，除僧羯磨，尼薩耆波逸提。「若比	經 一 宿 除 僧 羯 磨 尼薩耆波逸提 若 比 
T24n1460_001:0661b06	丘，衣已竟，出迦絺那衣，得非時衣，欲須便受，	丘 衣 已 竟 出 迦 絺 那 衣 得 非 時 衣 欲 須 便 受 
T24n1460_001:0661b07	受已疾成衣。若足者善，若不足得畜至一月。	受 已 疾 成 衣 若 足 者 善 若 不 足 得 畜 至 一 月 
T24n1460_001:0661b08	若過畜，尼薩耆波逸提。「若比丘，共與非親	若 過 畜 尼薩耆波逸提 若 比 丘 共 與 非 親 
T24n1460_001:0661b09	里比丘尼博衣貿易，尼薩耆波逸提。「若比	里 比 丘 尼 博 衣 貿 易 尼薩耆波逸提 若 比 
T24n1460_001:0661b10	丘，使非親里比丘尼浣染打故衣，尼薩耆波	丘 使 非 親 里 比 丘 尼 浣 染 打 故 衣 尼 薩 耆 波 
T24n1460_001:0661b11	逸提。「若比丘，從非親里居士居士婦乞衣，	逸 提 若 比 丘 從 非 親 里 居 士 居 士 婦 乞 衣 
T24n1460_001:0661b12	除餘時，尼薩耆波逸提。餘時者，奪衣、失衣、	除 餘 時 尼薩耆波逸提 餘 時 者 奪 衣 失 衣 
T24n1460_001:0661b13	燒衣、漂衣，名餘時。「若比丘，奪衣、失衣、燒	燒 衣 漂 衣 名 餘 時 若 比 丘 奪 衣 失 衣 燒 
T24n1460_001:0661b14	衣、漂衣。時非親里有信居士居士婦多與	衣 漂 衣 時 非 親 里 有 信 居 士 居 士 婦 多 與 
T24n1460_001:0661b15	衣，是比丘當知足受衣。若過受，尼薩耆波逸	衣 是 比 丘 當 知 足 受 衣 若 過 受 尼 薩 耆 波 逸 
T24n1460_001:0661b16	提。「若比丘，非親里居士居士婦為比丘具	提 若 比 丘 非 親 里 居 士 居 士 婦 為 比 丘 具 
T24n1460_001:0661b17	衣價，持此衣價與某甲比丘。是比丘先不受	衣 價 持 此 衣 價 與 某 甲 比 丘 是 比 丘 先 不 受 
T24n1460_001:0661b18	自恣請至居士家，作如是說：『居士實為我故	自 恣 請 至 居 士 家 作如是說 居 士 實 為 我 故 
T24n1460_001:0661b19	辦衣價不？』居士言：『實爾。』比丘言：『善哉居士！	辦 衣 價 不 居 士 言 實 爾 比 丘 言 善 哉 居 士 
T24n1460_001:0661b20	當為我辦如是好色衣，為好故。』若得衣，尼薩	當 為 我 辦 如 是 好 色 衣 為 好 故 若 得 衣 尼 薩 
T24n1460_001:0661b21	耆波逸提。「若比丘，二居士各各為比丘	耆 波 逸 提 若 比 丘 二 居 士 各 各 為 比 丘 
T24n1460_001:0661b22	辦衣價：『此物作衣已，與某甲比丘。』是比丘	辦 衣 價 此 物 作 衣 已 與 某 甲 比 丘 是 比 丘 
T24n1460_001:0661b23	先不受自恣請，憶念往至彼居士家，作如是	先 不 受 自 恣 請 憶 念 往 至 彼 居 士 家 作 如 是 
T24n1460_001:0661b24	說：『居士！汝二人實欲為我作衣不耶？』答言：『實	說 居 士 汝 二 人 實 欲 為 我 作 衣 不 耶 答 言 實 
T24n1460_001:0661b25	爾。』比丘言：『善哉居士！辦如是好衣價。為我	爾 比 丘 言 善 哉 居 士 辦 如 是 好 衣 價 為 我 
T24n1460_001:0661b26	共作一衣，為好故。』若得衣，尼薩耆波逸提。	共 作 一 衣 為 好 故 若 得 衣 尼薩耆波逸提 
T24n1460_001:0661b27	「若比丘，若王、若大臣、若婆羅門、若長者、若居	 若 比 丘 若 王 若 大 臣 若 婆 羅 門 若 長 者 若 居 
T24n1460_001:0661b28	士、若商主、若長者婦，為比丘送衣價：『持此	士 若 商 主 若 長 者 婦 為 比 丘 送 衣 價 持 此 
T24n1460_001:0661b29	衣價與某甲比丘。』彼使至比丘所，作是說：	衣 價 與 某 甲 比 丘 彼 使 至 比 丘 所 作 是 說 
T24n1460_001:0661c01	『大德！受此衣價，慈愍故。』比丘言：『我不應受此	 大 德 受 此 衣 價 慈 愍 故 比 丘 言 我 不 應 受 此 
T24n1460_001:0661c02	衣價。若我須衣時，得淨衣便受。』使語比丘言：	衣 價 若 我 須 衣 時 得 淨 衣 便 受 使 語 比 丘 言 
T24n1460_001:0661c03	『大德！有執事人不？』須衣比丘言：『有。若守園人、	 大 德 有 執 事 人 不 須 衣 比 丘 言 有 若 守 園 人 
T24n1460_001:0661c04	若優婆塞，此是比丘執事人。』彼使詣執事人	若 優 婆 塞 此 是 比 丘 執 事 人 彼 使 詣 執 事 人 
T24n1460_001:0661c05	所，白言：『執事！此是某甲衣價，為某甲比丘	所 白 言 執 事 此 是 某 甲 衣 價 為 某 甲 比 丘 
T24n1460_001:0661c06	作衣已，某時當與某甲比丘。』彼使與衣價已，	作 衣 已 某 時 當 與 某 甲 比 丘 彼 使 與 衣 價 已 
T24n1460_001:0661c07	至比丘所，語比丘言：『大德！所示某甲執事人，	至 比 丘 所 語 比 丘 言 大 德 所 示 某 甲 執 事 人 
T24n1460_001:0661c08	我已與衣價。大德！須衣時往取，當得衣。』須衣	我 已 與 衣 價 大 德 須 衣 時 往 取 當 得 衣 須 衣 
T24n1460_001:0661c09	比丘往執事人所，二返三返語言：『我須衣。』若	比 丘 往 執 事 人 所 二 返 三 返 語 言 我 須 衣 若 
T24n1460_001:0661c10	二返三返為作憶念，得衣者善；若不得衣，四	二 返 三 返 為 作 憶 念 得 衣 者 善 若 不 得 衣 四 
T24n1460_001:0661c11	返五返六返在前默然住，令彼憶念。若四返	返 五 返 六 返 在 前 默 然 住 令 彼 憶 念 若 四 返 
T24n1460_001:0661c12	五返六返在前默然住，得衣者善；若不得	五 返 六 返 在 前 默 然 住 得 衣 者 善 若 不 得 
T24n1460_001:0661c13	衣，過是求得衣，尼薩耆波逸提。若不得衣，隨	衣 過 是 求 得 衣 尼薩耆波逸提 若 不 得 衣 隨 
T24n1460_001:0661c14	衣價所來處，若自往、若遣好使，往語施主言：	衣 價 所 來 處 若 自 往 若 遣 好 使 往 語 施 主 言 
T24n1460_001:0661c15	『汝先遣使送衣價與某甲比丘，是比丘未曾	 汝 先 遣 使 送 衣 價 與 某 甲 比 丘 是 比 丘 未 曾 
T24n1460_001:0661c16	得衣。施主還取，莫使失。是名如法。』「若比丘，	得 衣 施 主 還 取 莫 使 失 是 名 如 法 若 比 丘 
T24n1460_001:0661c17	雜憍奢耶作臥具、若使他作，成者，尼薩耆波	雜 憍 奢 耶 作 臥 具 若 使 他 作 成 者 尼 薩 耆 波 
T24n1460_001:0661c18	逸提。「若比丘，純黑羺羊毛作臥具、若使	逸 提 若 比 丘 純 黑 羺 羊 毛 作 臥 具 若 使 
T24n1460_001:0661c19	人作，尼薩耆波逸提。「若比丘，作臥具，應	人 作 尼薩耆波逸提 若 比 丘 作 臥 具 應 
T24n1460_001:0661c20	用二分黑羊毛、第三分白、第四分尨，若使	用 二 分 黑 羊 毛 第 三 分 白 第 四 分 尨 若 使 
T24n1460_001:0661c21	人作，尼薩耆波逸提。「若比丘，作新臥具，	人 作 尼薩耆波逸提 若 比 丘 作 新 臥 具 
T24n1460_001:0661c22	當取故者方一手褋新者上。若不著，尼	當 取 故 者 方 一 手 褋 新 者 上 若 不 著 尼 
T24n1460_001:0661c23	薩耆波逸提。「若比丘，作臥具，應六年持。	薩 耆 波 逸 提 若 比 丘 作 臥 具 應 六 年 持 
T24n1460_001:0661c24	若減六年更作臥具，尼薩耆波逸提。「若	若 減 六 年 更 作 臥 具 尼薩耆波逸提 若 
T24n1460_001:0661c25	比丘，行路中得羊毛，須者應取。若無人持，得	比 丘 行 路 中 得 羊 毛 須 者 應 取 若 無 人 持 得 
T24n1460_001:0661c26	自持行三由旬。若過者，尼薩耆波逸提。	自 持 行 三 由 旬 若 過 者 尼薩耆波逸提 
T24n1460_001:0661c27	「若比丘，使非親里比丘尼浣染擗羊毛，尼薩	 若 比 丘 使 非 親 里 比 丘 尼 浣 染 擗 羊 毛 尼 薩 
T24n1460_001:0661c28	耆波逸提。「若比丘，種種販賣，尼薩耆波逸	耆 波 逸 提 若 比 丘 種 種 販 賣 尼 薩 耆 波 逸 
T24n1460_001:0661c29	提。「若比丘，種種貿易寶物，尼薩耆波逸提。	提 若 比 丘 種 種 貿 易 寶 物 尼薩耆波逸提 
T24n1460_001:0662a01	「若比丘，自手取寶，尼薩耆波逸提。「若比	 若 比 丘 自 手 取 寶 尼薩耆波逸提 若 比 
T24n1460_001:0662a02	丘，畜長鉢不淨施，過十日，尼薩耆波逸提。	丘 畜 長 鉢 不 淨 施 過 十 日 尼薩耆波逸提 
T24n1460_001:0662a03	「若比丘，鉢減五綴不漏，更求新鉢，為好故，	 若 比 丘 鉢 減 五 綴 不 漏 更 求 新 鉢 為 好 故 
T24n1460_001:0662a04	若得者，尼薩耆波逸提。彼比丘應僧中捨，	若 得 者 尼薩耆波逸提 彼 比 丘 應 僧 中 捨 
T24n1460_001:0662a05	若無鉢比丘應受。應好持，乃至破。是法應	若 無 鉢 比 丘 應 受 應 好 持 乃 至 破 是 法 應 
T24n1460_001:0662a06	爾。「若比丘，自乞縷，使非親里織師織作	爾 若 比 丘 自 乞 縷 使 非 親 里 織 師 織 作 
T24n1460_001:0662a07	衣，尼薩耆波逸提。「若比丘，非親里居士	衣 尼薩耆波逸提 若 比 丘 非 親 里 居 士 
T24n1460_001:0662a08	使織師為比丘織作衣。是比丘先不受自恣	使 織 師 為 比 丘 織 作 衣 是 比 丘 先 不 受 自 恣 
T24n1460_001:0662a09	請，憶念往織師所，語織師言：『汝今當知，此	請 憶 念 往 織 師 所 語 織 師 言 汝 今 當 知 此 
T24n1460_001:0662a10	衣為我織。極好織令緻好，我當多少與汝衣	衣 為 我 織 極 好 織 令 緻 好 我 當 多 少 與 汝 衣 
T24n1460_001:0662a11	價。』若比丘與價，乃至一食，得衣者，尼薩耆波	價 若 比 丘 與 價 乃 至 一 食 得 衣 者 尼 薩 耆 波 
T24n1460_001:0662a12	逸提。「若比丘，先與比丘衣，後瞋恚，若自	逸 提 若 比 丘 先 與 比 丘 衣 後 瞋 恚 若 自 
T24n1460_001:0662a13	奪、若使人奪取，尼薩耆波逸提。「若比丘，十	奪 若 使 人 奪 取 尼薩耆波逸提 若 比 丘 十 
T24n1460_001:0662a14	日未滿夏三月，若有急施衣，欲須便受，受	日 未 滿 夏 三 月 若 有 急 施 衣 欲 須 便 受 受 
T24n1460_001:0662a15	已依時應畜。若過畜，尼薩耆波逸提。「若	已 依 時 應 畜 若 過 畜 尼薩耆波逸提 若 
T24n1460_001:0662a16	比丘，春末一月在應求雨浴衣，半月後應用。	比 丘 春 末 一 月 在 應 求 雨 浴 衣 半 月 後 應 用 
T24n1460_001:0662a17	若過用，尼薩耆波逸提。「若比丘，在阿蘭若	若 過 用 尼薩耆波逸提 若 比 丘 在 阿 蘭 若 
T24n1460_001:0662a18	有疑怖畏處，比丘三衣中若留一一衣置舍	有 疑 怖 畏 處 比 丘 三 衣 中 若 留 一 一 衣 置 舍 
T24n1460_001:0662a19	內，及有因緣出界離衣，乃至六夜。若過，尼薩	內 及 有 因 緣 出 界 離 衣 乃 至 六 夜 若 過 尼 薩 
T24n1460_001:0662a20	耆波逸提。「若比丘。知他與僧物。自迴入己。	耆 波 逸 提 若 比 丘 知 他 與 僧 物 自 迴 入 己 
T24n1460_001:0662a21	尼薩耆波逸提。「若比丘，有病聽畜酥油、	尼薩耆波逸提 若 比 丘 有 病 聽 畜 酥 油 
T24n1460_001:0662a22	生酥、蜜、石蜜，齊七日得服。若過七日服，尼	生 酥 蜜 石 蜜 齊 七 日 得 服 若 過 七 日 服 尼 
T24n1460_001:0662a23	薩耆波逸提。」「諸大德！我已說三十尼薩	薩 耆 波 逸 提 諸 大 德 我 已 說 三 十 尼 薩 
T24n1460_001:0662a24	耆波逸提法。今問諸大德是中清淨不？」(如是三說)	耆 波 逸 提 法 今 問 諸 大 德 是 中 清 淨 不 如是三說 
T24n1460_001:0662a25	「諸大德是中清淨，默然故，是事如是持。」	 諸 大 德 是 中 清 淨 默 然 故 是事如是持 
T24n1460_001:0662a26	「諸大德！是九十波逸提法，半月半月說解	 諸 大 德 是 九十波逸提 法 半月半月 說 解 
T24n1460_001:0662a27	脫戒經中來。	脫 戒 經 中 來 
T24n1460_001:0662a28	「若比丘，故妄語，波逸提。「若比丘，兩舌語，	 若 比 丘 故 妄 語 波 逸 提 若 比 丘 兩 舌 語 
T24n1460_001:0662a29	波逸提。「若比丘，毀呰語，波逸提。「若	波 逸 提 若 比 丘 毀 呰 語 波 逸 提 若 
T24n1460_001:0662b01	比丘，僧如法斷事後發起，波逸提。「若比	比 丘 僧 如 法 斷 事 後 發 起 波 逸 提 若 比 
T24n1460_001:0662b02	丘，與女人說法過五六語，除有智男子，波	丘 與 女 人 說 法 過 五 六 語 除 有 智 男 子 波 
T24n1460_001:0662b03	逸提。「若比丘，與未受具戒人同誦，波逸	逸 提 若 比 丘 與 未受具戒人 同 誦 波 逸 
T24n1460_001:0662b04	提。「若比丘，向未受具戒人自說得過人	提 若 比 丘 向 未受具戒人 自 說 得 過 人 
T24n1460_001:0662b05	法，實者，波逸提。「若比丘，知他比丘有麁	法 實 者 波 逸 提 若 比 丘 知 他 比 丘 有 麁 
T24n1460_001:0662b06	惡罪，向未受大戒人說，除僧羯磨，波逸提。	惡 罪 向 未 受 大 戒 人 說 除 僧 羯 磨 波 逸 提 
T24n1460_001:0662b07	「若比丘，知他施僧物，迴與知識，波逸提。	 若 比 丘 知 他 施 僧 物 迴 與 知 識 波 逸 提 
T24n1460_001:0662b08	「若比丘，半月說戒時作是說：『何用此雜碎戒	 若 比 丘 半 月 說 戒 時 作 是 說 何 用 此 雜 碎 戒 
T24n1460_001:0662b09	為？說是戒時令人悔惱懷疑。』輕毀戒故，波	為 說 是 戒 時 令 人 悔 惱 懷 疑 輕 毀 戒 故 波 
T24n1460_001:0662b10	逸提。十。「若比丘，壞種子鬼神村，波逸提。	逸 提 十 若 比 丘 壞 種 子 鬼 神 村 波 逸 提 
T24n1460_001:0662b11	「若比丘，譏罵者，波逸提。「若比丘，不受	 若 比 丘 譏 罵 者 波 逸 提 若 比 丘 不 受 
T24n1460_001:0662b12	諫，波逸提。「若比丘，露地置僧臥具，不自	諫 波 逸 提 若 比 丘 露 地 置 僧 臥 具 不 自 
T24n1460_001:0662b13	收舉、不教人舉，捨行，波逸提。「若比丘，	收 舉 不 教 人 舉 捨 行 波 逸 提 若 比 丘 
T24n1460_001:0662b14	僧房中鋪草鋪葉，不自舉、不教人舉，捨行，波	僧 房 中 鋪 草 鋪 葉 不 自 舉 不 教 人 舉 捨 行 波 
T24n1460_001:0662b15	逸提。「若比丘，知他比丘先住處，後來強	逸 提 若 比 丘 知 他 比 丘 先 住 處 後 來 強 
T24n1460_001:0662b16	鋪臥具宿，『若嫌迮者自當去。』以是因緣，波	鋪 臥 具 宿 若 嫌 迮 者 自 當 去 以是因緣 波 
T24n1460_001:0662b17	逸提。「若比丘，先瞋恚，為惱亂故牽他出房，	逸 提 若 比 丘 先 瞋 恚 為 惱 亂 故 牽 他 出 房 
T24n1460_001:0662b18	波逸提。「若比丘，房重閣上脫脚床，不支持，	波 逸 提 若 比 丘 房 重 閣 上 脫 脚 床 不 支 持 
T24n1460_001:0662b19	若坐若臥，波逸提。「若比丘，知水有蟲，自	若 坐 若 臥 波 逸 提 若 比 丘 知 水 有 蟲 自 
T24n1460_001:0662b20	澆草土、若教人澆，波逸提。「若比丘，欲作	澆 草 土 若 教 人 澆 波 逸 提 若 比 丘 欲 作 
T24n1460_001:0662b21	大房，自觀視二覆三覆，至窓牖。若過，波逸提。	大 房 自 觀 視 二 覆 三 覆 至 窓 牖 若 過 波 逸 提 
T24n1460_001:0662b22	(二十。外國平頭屋上開窓，橫覆二三板則至牖)「若比丘，僧不差，教授	 二 十 外 國 平 頭 屋 上 開 窓 橫 覆 二 三 板 則 至 牖 若 比 丘 僧 不 差 教 授 
T24n1460_001:0662b23	比丘尼，波逸提。「若比丘，為僧差，教授比	比 丘 尼 波 逸 提 若 比 丘 為 僧 差 教 授 比 
T24n1460_001:0662b24	丘尼，乃至日沒，波逸提。「若比丘，入比丘	丘 尼 乃 至 日 沒 波 逸 提 若 比 丘 入 比 丘 
T24n1460_001:0662b25	尼寺，為無病比丘尼說法教授，波逸提。	尼 寺 為 無 病 比 丘 尼 說 法 教 授 波 逸 提 
T24n1460_001:0662b26	「若比丘，語比丘言：『諸比丘為資生故教授比	 若 比 丘 語 比 丘 言 諸 比 丘 為 資 生 故 教 授 比 
T24n1460_001:0662b27	丘尼。』波逸提。「若比丘，與非親里比丘尼	丘 尼 波 逸 提 若 比 丘 與 非 親 里 比 丘 尼 
T24n1460_001:0662b28	衣，波逸提。「若比丘，與非親里比丘尼作	衣 波 逸 提 若 比 丘 與 非 親 里 比 丘 尼 作 
T24n1460_001:0662b29	衣，波逸提。「若比丘，與比丘尼計挍同道	衣 波 逸 提 若 比 丘 與 比 丘 尼 計 挍 同 道 
T24n1460_001:0662c01	行，除餘時，波逸提。餘時者，若多伴行、有疑恐	行 除 餘 時 波 逸 提 餘 時 者 若 多 伴 行 有 疑 恐 
T24n1460_001:0662c02	怖，此是餘時。「若比丘，與比丘尼計挍乘	怖 此 是 餘 時 若 比 丘 與 比 丘 尼 計 挍 乘 
T24n1460_001:0662c03	一船，若上水、若下水，除直渡，波逸提。「若	一 船 若 上 水 若 下 水 除 直 渡 波 逸 提 若 
T24n1460_001:0662c04	比丘，獨與女人屏處坐，波逸提。「若比丘，	比 丘 獨 與 女 人 屏 處 坐 波 逸 提 若 比 丘 
T24n1460_001:0662c05	知比丘尼讚歎食，除施主先有意，波逸提。	知 比 丘 尼 讚 歎 食 除 施 主 先 有 意 波 逸 提 
T24n1460_001:0662c06	「若比丘，展轉食，除餘時，波逸提。餘時者，病	 若 比 丘 展 轉 食 除 餘 時 波 逸 提 餘 時 者 病 
T24n1460_001:0662c07	時、作衣時、施衣時，此是時。「若比丘，施一	時 作 衣 時 施 衣 時 此 是 時 若 比 丘 施 一 
T24n1460_001:0662c08	食處，無病比丘應一食。若過受，波逸提。	食 處 無 病 比 丘 應 一 食 若 過 受 波 逸 提 
T24n1460_001:0662c09	「若眾多比丘於檀越家乞食，信法長者多與	 若 眾 多 比 丘 於 檀 越 家 乞 食 信 法 長 者 多 與 
T24n1460_001:0662c10	餅[麩夫+少]，比丘須者應取二三鉢。若過取，波逸	餅 [麩夫少] 比 丘 須 者 應 取 二 三 鉢 若 過 取 波 逸 
T24n1460_001:0662c11	提。持至住處，和合共食。此法應爾。「若比	提 持 至 住 處 和 合 共 食 此 法 應 爾 若 比 
T24n1460_001:0662c12	丘，足食竟更食者，波逸提。「若比丘，知他	丘 足 食 竟 更 食 者 波 逸 提 若 比 丘 知 他 
T24n1460_001:0662c13	比丘足食竟，請與食，波逸提。「若比丘，別	比 丘 足 食 竟 請 與 食 波 逸 提 若 比 丘 別 
T24n1460_001:0662c14	眾食，除餘時，波逸提。除餘時者，病時、作衣	眾 食 除 餘 時 波 逸 提 除 餘 時 者 病 時 作 衣 
T24n1460_001:0662c15	時、施衣時、道行時、船行時、大會時、沙門施食	時 施 衣 時 道 行 時 船 行 時 大 會 時 沙 門 施 食 
T24n1460_001:0662c16	時，此是時。「若比丘，非時食可食物，波逸	時 此 是 時 若 比 丘 非 時 食 可 食 物 波 逸 
T24n1460_001:0662c17	提。「若比丘，食殘宿食，波逸提。「若比	提 若 比 丘 食殘宿食 波 逸 提 若 比 
T24n1460_001:0662c18	丘，不受食舉入口中，除水、楊枝，波逸提。	丘 不 受 食 舉 入 口 中 除 水 楊 枝 波 逸 提 
T24n1460_001:0662c19	「若比丘，得好美飲食，酥油、蜜、石蜜、乳酪、生	 若 比 丘 得 好 美 飲 食 酥 油 蜜 石 蜜 乳 酪 生 
T24n1460_001:0662c20	酥、若魚若肉，無病為己索而食者，波逸	酥 若 魚 若 肉 無 病 為 己 索 而 食 者 波 逸 
T24n1460_001:0662c21	提。「若比丘，知水有蟲，飲用者，波逸提。	提 若 比 丘 知 水 有 蟲 飲 用 者 波 逸 提 
T24n1460_001:0662c22	「若比丘，知他食家，直入，波逸提。「若比丘，	 若 比 丘 知 他 食 家 直 入 波 逸 提 若 比 丘 
T24n1460_001:0662c23	食家強坐，波逸提。「若比丘，出家外道自	食 家 強 坐 波 逸 提 若 比 丘 出 家 外 道 自 
T24n1460_001:0662c24	手與食，波逸提。「若比丘，往觀軍陣，除因	手 與 食 波 逸 提 若 比 丘 往 觀 軍 陣 除 因 
T24n1460_001:0662c25	緣，波逸提。「若比丘，有因緣入軍中，若過	緣 波 逸 提 若 比 丘 有 因 緣 入 軍 中 若 過 
T24n1460_001:0662c26	二宿至三宿，波逸提。「若比丘，軍中住若	二 宿 至 三 宿 波 逸 提 若 比 丘 軍 中 住 若 
T24n1460_001:0662c27	二宿若三宿，觀軍發行勢力幢麾，種種觀視	二 宿 若 三 宿 觀 軍 發 行 勢 力 幢 麾 種 種 觀 視 
T24n1460_001:0662c28	心生樂順，波逸提。「若比丘，瞋恚心打比	心 生 樂 順 波 逸 提 若 比 丘 瞋 恚 心 打 比 
T24n1460_001:0662c29	丘，波逸提。「若比丘，瞋恚心以手擬比丘，	丘 波 逸 提 若 比 丘 瞋 恚 心 以 手 擬 比 丘 
T24n1460_001:0663a01	波逸提。「若比丘，知他比丘有麁惡罪，覆藏	波 逸 提 若 比 丘 知 他 比 丘 有 麁 惡 罪 覆 藏 
T24n1460_001:0663a02	者，波逸提。「若比丘，與欲已後還悔，波逸	者 波 逸 提 若 比 丘 與 欲 已 後 還 悔 波 逸 
T24n1460_001:0663a03	提。「若比丘，語比丘言：『長老！共入某村，當	提 若 比 丘 語 比 丘 言 長 老 共 入 某 村 當 
T24n1460_001:0663a04	與汝多美食。』是比丘至村，竟不令與此比丘	與 汝 多 美 食 是 比 丘 至 村 竟 不 令 與 此 比 丘 
T24n1460_001:0663a05	食。語言：『長老！汝去。我共汝若坐若語不樂，我	食 語 言 長 老 汝 去 我 共 汝 若 坐 若 語 不 樂 我 
T24n1460_001:0663a06	獨坐獨語樂。』非餘因緣而遣去者，波逸提。	獨 坐 獨 語 樂 非 餘 因 緣 而 遣 去 者 波 逸 提 
T24n1460_001:0663a07	「若比丘，無病因緣，露地然火、若教人然，波	 若 比 丘 無 病 因 緣 露 地 然 火 若 教 人 然 波 
T24n1460_001:0663a08	逸提。「若比丘，與未受具戒人同室宿，至三	逸 提 若 比 丘 與 未受具戒人 同 室 宿 至 三 
T24n1460_001:0663a09	宿，波逸提。「若比丘，如是說：『我知佛法義，	宿 波 逸 提 若 比 丘 如 是 說 我 知 佛 法 義 
T24n1460_001:0663a10	行婬欲不障道。』諸比丘應諫此比丘言：『長老！	行 婬 欲 不 障 道 諸 比 丘 應 諫 此 比 丘 言 長 老 
T24n1460_001:0663a11	莫作是語，莫謗世尊，謗世尊者不善。世尊不	莫作是語 莫 謗 世 尊 謗 世 尊 者 不 善 世 尊 不 
T24n1460_001:0663a12	作是說，世尊無數方便說行婬欲是障道法。	作 是 說 世 尊 無數方便 說 行 婬 欲 是 障 道 法 
T24n1460_001:0663a13	如是世尊說欲障道，長老捨此惡見。』是比丘	如 是 世 尊 說 欲 障 道 長 老 捨 此 惡 見 是 比 丘 
T24n1460_001:0663a14	如是諫時，捨者善；若不捨，彼比丘應三諫，捨	如 是 諫 時 捨 者 善 若 不 捨 彼 比 丘 應 三 諫 捨 
T24n1460_001:0663a15	是事故。乃至三諫，捨者善；若不捨，波逸提。	是 事 故 乃 至 三 諫 捨 者 善 若 不 捨 波 逸 提 
T24n1460_001:0663a16	「若比丘，知如是人未捨惡見，共宿共食、同	 若 比 丘 知 如 是 人 未 捨 惡 見 共 宿 共 食 同 
T24n1460_001:0663a17	一羯磨，波逸提。「若比丘，知沙彌作如是	一 羯 磨 波 逸 提 若 比 丘 知 沙 彌 作 如 是 
T24n1460_001:0663a18	說：『我如是知佛法義，行婬欲非障道法。』諸比	說 我 如 是 知 佛 法 義 行 婬 欲 非 障 道 法 諸 比 
T24n1460_001:0663a19	丘應諫此沙彌言：『莫作是語，莫謗世尊，謗	丘 應 諫 此 沙 彌 言 莫作是語 莫 謗 世 尊 謗 
T24n1460_001:0663a20	世尊者不善。世尊不作是語，世尊無數方	世 尊 者 不 善 世 尊 不 作 是 語 世 尊 無 數 方 
T24n1460_001:0663a21	便說行婬欲是障道法。沙彌！捨此惡見。』如是	便 說 行 婬 欲 是 障 道 法 沙 彌 捨 此 惡 見 如 是 
T24n1460_001:0663a22	諫時，捨者善；若不捨者，是比丘應語此沙彌	諫 時 捨 者 善 若 不 捨 者 是 比 丘 應 語 此 沙 彌 
T24n1460_001:0663a23	言：『汝自今已後莫言世尊是我大師。汝非順	言 汝 自 今 已 後 莫 言 世 尊 是 我 大 師 汝 非 順 
T24n1460_001:0663a24	梵行，不得隨餘比丘。如餘沙彌，得與大比丘	梵 行 不 得 隨 餘 比 丘 如 餘 沙 彌 得 與 大 比 丘 
T24n1460_001:0663a25	二三宿，癡人汝今無是事。出去滅去，不須此	二 三 宿 癡 人 汝 今 無 是 事 出 去 滅 去 不 須 此 
T24n1460_001:0663a26	中住。』若比丘知如是擯沙彌，若畜同一止宿，	中 住 若 比 丘 知 如 是 擯 沙 彌 若 畜 同 一 止 宿 
T24n1460_001:0663a27	波逸提。「若比丘，以無根僧伽婆尸沙法謗	波 逸 提 若 比 丘 以 無 根 僧伽婆尸沙法 謗 
T24n1460_001:0663a28	者，波逸提。「若比丘，淨施沙彌衣鉢，不問	者 波 逸 提 若 比 丘 淨 施 沙 彌 衣 鉢 不 問 
T24n1460_001:0663a29	輒用，波逸提。「若比丘，與女人同路行，乃	輒 用 波 逸 提 若 比 丘 與 女 人 同 路 行 乃 
T24n1460_001:0663b01	至一村間，波逸提。「若比丘，故斷畜生命，	至 一 村 間 波 逸 提 若 比 丘 故 斷 畜 生 命 
T24n1460_001:0663b02	波逸提。「若比丘，疑惱比丘，乃至少時不	波 逸 提 若 比 丘 疑 惱 比 丘 乃 至 少 時 不 
T24n1460_001:0663b03	樂，波逸提。「若比丘，擊攊比丘，波逸提。	樂 波 逸 提 若 比 丘 擊 攊 比 丘 波 逸 提 
T24n1460_001:0663b04	「若比丘，水中戲，波逸提。「若比丘，與女人	 若 比 丘 水 中 戲 波 逸 提 若 比 丘 與 女 人 
T24n1460_001:0663b05	同室宿，波逸提。「若比丘，恐他比丘，乃至	同 室 宿 波 逸 提 若 比 丘 恐 他 比 丘 乃 至 
T24n1460_001:0663b06	戲笑，波逸提。「若比丘，藏他比丘衣鉢資具、	戲 笑 波 逸 提 若 比 丘 藏 他 比 丘 衣 鉢 資 具 
