T51n2095_001:1024c03	廬山記序	廬 山 記 序 
T51n2095_001:1028b15	輦。故貫休詩云。亘玄舊輦殘雲濕。耶舍孤墳	輦 故 貫 休 詩 云 亘 玄 舊 輦 殘 雲 濕 耶 舍 孤 墳 
T51n2095_001:1028b16	落照遲。今人題誅謂安帝輦。按晉大亨二年。	落 照 遲 今 人 題 誅 謂 安 帝 輦 按 晉 大 亨 二 年 
T51n2095_001:1028b17	亘玄篡位廢帝。為平固王。遷于尋陽。及義師	亘 玄 篡 位 廢 帝 為 平 固 王 遷 于 尋 陽 及 義 師 
T51n2095_001:1028b18	之起。玄□奔尋陽。旌旗輿服猶備帝者之義。	之 起 玄 奔 尋 陽 旌 旗 輿 服 猶 備 帝 者 之 義 
T51n2095_001:1028b19	於是迫平□西上奔竄之際。因留輦東林。舊	於 是 迫 平 西 上 奔 竄 之 際 因 留 輦 東 林 舊 
T51n2095_001:1028b20	稱亘輦蓋有由也。亘安音相近。後人不察而	稱 亘 輦 蓋 有 由 也 亘 安 音 相 近 後 人 不 察 而 
T51n2095_001:1028b21	改之耳。經藏院在寺東廡。經之跋尾有曰。	改 之 耳 經 藏 院 在 寺 東 廡 經 之 跋 尾 有 曰 
T51n2095_001:1028b22	貞元十三年寫者。經藏碑。元和七年歲次壬	貞 元 十 三 年 寫 者 經 藏 碑 元 和 七 年 歲 次 壬 
T51n2095_001:1028b23	辰九月兩辰朔十五日庚午。朝請郎試太常	辰 九 月 兩 辰 朔 十 五 日 庚 午 朝 請 郎 試 太 常 
T51n2095_001:1028b24	寺協律郎李肇撰。略曰。元和四年。雲門僧	寺 協 律 郎 李 肇 撰 略 曰 元 和 四 年 雲 門 僧 
T51n2095_001:1028b25	靈徹。流竄而歸棲泊此山。將去言於江南西	靈 徹 流 竄 而 歸 棲 泊 此 山 將 去 言 於 江 南 西 
T51n2095_001:1028b26	道觀察使武陽公韋公丹。韋之夫人蘭陵簫	道 觀 察 使 武 陽 公 韋 公 丹 韋 之 夫 人 蘭 陵 簫 
T51n2095_001:1028b27	氏卒。甞有服珥之資。買田荊州。收其租入。	氏 卒 甞 有 服 珥 之 資 買 田 荊 州 收 其 租 入 
T51n2095_001:1028b28	以奉檀施。至是取之。益以己俸。即洪州抄騰	以 奉 檀 施 至 是 取 之 益 以 己 俸 即 洪 州 抄 騰 
T51n2095_001:1028b29	而致之。仍建堂殿。又命浮槎。寺僧義[彰章+舟]以主	而 致 之 仍 建 堂 殿 又 命 浮 槎 寺 僧 義 [彰章舟] 以 主 
T51n2095_001:1028c01	祕藏。會昌之厄。僧道深竊藏之石室。後寺	祕 藏 會 昌 之 厄 僧 道 深 竊 藏 之 石 室 後 寺 
T51n2095_001:1028c02	復。而經出然亡失者過半。僧正言稍補之。大	復 而 經 出 然 亡 失 者 過 半 僧 正 言 稍 補 之 大 
T51n2095_001:1028c03	中十二年。武陽之子宙復世廉察。因施錢再	中 十 二 年 武 陽 之 子 宙 復 世 廉 察 因 施 錢 再 
T51n2095_001:1028c04	作堂宇。仍誌其事。故有韋丹韋宙寫真。咸通	作 堂 宇 仍 誌 其 事 故 有 韋 丹 韋 宙 寫 真 咸 通 
T51n2095_001:1028c05	八年。刺史苗紳有二韋寫真贊。紳宙之外孫	八 年 刺 史 苗 紳 有 二 韋 寫 真 贊 紳 宙 之 外 孫 
T51n2095_001:1028c06	也。又有一人物色題曰。紀王寺僧曰。其旁	也 又 有 一 人 物 色 題 曰 紀 王 寺 僧 曰 其 旁 
T51n2095_001:1028c07	舊有具銜。江州刺史德化王楊澈也。文字剝	舊 有 具 銜 江 州 刺 史 德 化 王 楊 澈 也 文 字 剝 
T51n2095_001:1028c08	落不□者因粉飾而漫滅之。今寺有下平林	落 不 者 因 粉 飾 而 漫 滅 之 今 寺 有 下 平 林 
T51n2095_001:1028c09	口田。皆其□施。故寺僧寫真列于二韋之間。	口 田 皆 其 施 故 寺 僧 寫 真 列 于 二 韋 之 間 
T51n2095_001:1028c10	以示追奉。案唐史。澈天甞封紀王。天祐十五	以 示 追 奉 案 唐 史 澈 天 甞 封 紀 王 天 祐 十 五 
T51n2095_001:1028c11	年。徐知訓在楊州。為朱瑾所殺。保大年。追封	年 徐 知 訓 在 楊 州 為 朱 瑾 所 殺 保 大 年 追 封 
T51n2095_001:1028c12	紀王。則其事迹無接於二林者。蓋後人妄加	紀 王 則 其 事 迹 無 接 於 二 林 者 蓋 後 人 妄 加 
T51n2095_001:1028c13	之耳。白公草堂在寺之東北隅。元和十年。公	之 耳 白 公 草 堂 在 寺 之 東 北 隅 元 和 十 年 公 
T51n2095_001:1028c14	自太子贊善大夫。以言事忤。執政出為州司	自 太 子 贊 善 大 夫 以 言 事 忤 執 政 出 為 州 司 
T51n2095_001:1028c15	馬。明年作草堂於香鑪峯北遺愛寺南。往來	馬 明 年 作 草 堂 於 香 鑪 峯 北 遺 愛 寺 南 往 來 
T51n2095_001:1028c16	遊處焉。公自作記。見于本集。後與遺愛寺並	遊 處 焉 公 自 作 記 見 于 本 集 後 與 遺 愛 寺 並 
T51n2095_001:1028c17	廢久之。好事者慕公風跡。以東林寺北藍牆	廢 久 之 好 事 者 慕 公 風 跡 以 東 林 寺 北 藍 牆 
T51n2095_001:1028c18	之外作堂焉。五代襄亂。復為兵火野燒之所	之 外 作 堂 焉 五 代 襄 亂 復 為 兵 火 野 燒 之 所 
T51n2095_001:1028c19	毀。至道中。郡守孫考功追建之。然皆非元和	毀 至 道 中 郡 守 孫 考 功 追 建 之 然 皆 非 元 和 
T51n2095_001:1028c20	故碁也。昔公之遊東林也。觀經藏中。有遠公	故 碁 也 昔 公 之 遊 東 林 也 觀 經 藏 中 有 遠 公 
T51n2095_001:1028c21	諸文士倡和集。時諸長老亦請公文集。同藏	諸 文 士 倡 和 集 時 諸 長 老 亦 請 公 文 集 同 藏 
T51n2095_001:1028c22	之。至大和九年。為太子賓客。始以文集六十	之 至 大 和 九 年 為 太 子 賓 客 始 以 文 集 六 十 
T51n2095_001:1028c23	卷歸之。會昌中。致仕復送。後集十卷及香山	卷 歸 之 會 昌 中 致 仕 復 送 後 集 十 卷 及 香 山 
T51n2095_001:1028c24	居士之像。廣明中。與遠公匡山集。並為淮南	居 士 之 像 廣 明 中 與 遠 公 匡 山 集 並 為 淮 南 
T51n2095_001:1028c25	高駢所取。吳大和六年。德化王澈常抄騰。以	高 駢 所 取 吳 大 和 六 年 德 化 王 澈 常 抄 騰 以 
T51n2095_001:1028c26	補其闕。後復亡失。今所藏實景德四年詔史	補 其 闕 後 復 亡 失 今 所 藏 實 景 德 四 年 詔 史 
T51n2095_001:1028c27	館書校而賜者。匡山集亦二十卷。景福二年	館 書 校 而 賜 者 匡 山 集 亦 二 十 卷 景 福 二 年 
T51n2095_001:1028c28	甞重寫。明道中。為部使者刑部許申所借。今	甞 重 寫 明 道 中 為 部 使 者 刑 部 許 申 所 借 今 
T51n2095_001:1028c29	廬山略記并遊石門詩序刊石于寺。皆因集	廬 山 略 記 并 遊 石 門 詩 序 刊 石 于 寺 皆 因 集 
T51n2095_001:1029a01	中本云。過草堂半山有二泉出石間。名曰雙	中 本 云 過 草 堂 半 山 有 二 泉 出 石 間 名 曰 雙 
T51n2095_001:1029a02	玉澗。次有上方舍利塔。佛駄跋陀羅禪師之	玉 澗 次 有 上 方 舍 利 塔 佛 駄 跋 陀 羅 禪 師 之 
T51n2095_001:1029a03	所立也。梵語跋陀羅。漢言覺賢。迦維羅衛國	所 立 也 梵 語 跋 陀 羅 漢 言 覺 賢 迦 維 羅 衛 國 
T51n2095_001:1029a04	甘露飯王之苗裔也。年十七。鳩摩羅利度之	甘 露 飯 王 之 苗 裔 也 年 十 七 鳩 摩 羅 利 度 之 
T51n2095_001:1029a05	與同學集業。眾皆一月。賢一日覽焉。其師嘆	與 同 學 集 業 眾 皆 一 月 賢 一 日 覽 焉 其 師 嘆 
T51n2095_001:1029a06	曰。賢一夫敵三十人。入長安。與鳩摩羅什剖	曰 賢 一 夫 敵 三 十 人 入 長 安 與 鳩 摩 羅 什 剖 
T51n2095_001:1029a07	析玄旨。什為之屈。至廬山。與遠公同社。先持	析 玄 旨 什 為 之 屈 至 廬 山 與 遠 公 同 社 先 持 
T51n2095_001:1029a08	釋迦舍利三粒。自隨因葬山預。表以浮圖。後	釋 迦 舍 利 三 粒 自 隨 因 葬 山 預 表 以 浮 圖 後 
T51n2095_001:1029a09	宋孝武帝召。赴道場寺。譯華嚴經。唐開元十	宋 孝 武 帝 召 赴 道 場 寺 譯 華 嚴 經 唐 開 元 十 
T51n2095_001:1029a10	四年。庫部郎中中書舍人江州刺史李訥作禪	四 年 庫 部 郎 中 中 書 舍 人 江 州 刺 史 李 訥 作 禪 
T51n2095_001:1029a11	師記。訥亦自稱兀兀禪師。金紫光祿大夫同	師 記 訥 亦 自 稱 兀 兀 禪 師 金 紫 光 祿 大 夫 同 
T51n2095_001:1029a12	州刺史上柱國范陽縣開國男張廷珪書。開元	州 刺 史 上 柱 國 范 陽 縣 開 國 男 張 廷 珪 書 開 元 
T51n2095_001:1029a13	十七年歲在己巳七月己丑朔十五癸卯建。其	十 七 年 歲 在 己 巳 七 月 己 丑 朔 十 五 癸 卯 建 其 
T51n2095_001:1029a14	旁刻顏魯公題名百六十字。上方之北有虎	旁 刻 顏 魯 公 題 名 百 六 十 字 上 方 之 北 有 虎 
T51n2095_001:1029a15	跑泉。昔遠公與社賢。每遊此峯頂。患去水甚	跑 泉 昔 遠 公 與 社 賢 每 遊 此 峯 頂 患 去 水 甚 
T51n2095_001:1029a16	遠。他日虎輒跑石出泉。次五杉閣。五杉喬茂	遠 他 日 虎 輒 跑 石 出 泉 次 五 杉 閣 五 杉 喬 茂 
T51n2095_001:1029a17	合抱。瞰以危閣。南唐西山僧應之甞結庵于	合 抱 瞰 以 危 閣 南 唐 西 山 僧 應 之 甞 結 庵 于 
T51n2095_001:1029a18	五杉之間。保大中。為元宗□遇作五杉集。行	五 杉 之 間 保 大 中 為 元 宗 遇 作 五 杉 集 行 
T51n2095_001:1029a19	於世。桑門備用之書也。今子□髣髴矣。甘露	於 世 桑 門 備 用 之 書 也 今 子 髣 髴 矣 甘 露 
T51n2095_001:1029a20	戒壇在寺之東南隅。梁太清中。襲法師講金	戒 壇 在 寺 之 東 南 隅 梁 太 清 中 襲 法 師 講 金 
T51n2095_001:1029a21	光明經于林間甘露浹木者三日。因於林間	光 明 經 于 林 間 甘 露 浹 木 者 三 日 因 於 林 間 
T51n2095_001:1029a22	作戒壇焉。世傳江南有三戒壇。此其一也。常	作 戒 壇 焉 世 傳 江 南 有 三 戒 壇 此 其 一 也 常 
T51n2095_001:1029a23	為僧房之菜畦。其僧夢有神。黃金介冑扼其	為 僧 房 之 菜 畦 其 僧 夢 有 神 黃 金 介 冑 扼 其 
T51n2095_001:1029a24	喉。責以穢壇墠事。僧懼甃用塼石存其遺址	喉 責 以 穢 壇 墠 事 僧 懼 甃 用 塼 石 存 其 遺 址 
T51n2095_001:1029a25	焉。遠公初諡辯覺。昇元三年。諡正覺大師。興	焉 遠 公 初 諡 辯 覺 昇 元 三 年 諡 正 覺 大 師 興 
T51n2095_001:1029a26	國三年。諡圓悟大師。仍名其墳曰凝寂之塔。	國 三 年 諡 圓 悟 大 師 仍 名 其 墳 曰 凝 寂 之 塔 
T51n2095_001:1029a27	塔在二林之間。其旁二杉。一在高處。圍二十	塔 在 二 林 之 間 其 旁 二 杉 一 在 高 處 圍 二 十 
T51n2095_001:1029a28	七尺。一稍在下。圍二十尺。遠公以晉義熙十	七 尺 一 稍 在 下 圍 二 十 尺 遠 公 以 晉 義 熙 十 
T51n2095_001:1029a29	二年卒。葬此山。蓋當時所植云。乾明寺在凝	二 年 卒 葬 此 山 蓋 當 時 所 植 云 乾 明 寺 在 凝 
T51n2095_001:1029b01	寂塔之西百餘步。舊名西林興□□□。今額	寂 塔 之 西 百 餘 步 舊 名 西 林 興 今 額 
T51n2095_001:1029b02	晉慧永禪師之道場也。西林道場碑。隋太常	晉 慧 永 禪 師 之 道 場 也 西 林 道 場 碑 隋 太 常 
T51n2095_001:1029b03	博士渤海歐陽詢撰。無書人姓名。然筆勢清	博 士 渤 海 歐 陽 詢 撰 無 書 人 姓 名 然 筆 勢 清 
T51n2095_001:1029b04	勁。世傳即歐書也。大業十二年歲在丁丑十	勁 世 傳 即 歐 書 也 大 業 十 二 年 歲 在 丁 丑 十 
T51n2095_001:1029b05	月戊寅朔十五日壬辰立。略曰。先有曇現比	月 戊 寅 朔 十 五 日 壬 辰 立 略 曰 先 有 曇 現 比 
T51n2095_001:1029b06	丘。俗姓竺氏。本偽趙良將。以匡阜靈嵒萃止	丘 俗 姓 竺 氏 本 偽 趙 良 將 以 匡 阜 靈 嵒 萃 止 
T51n2095_001:1029b07	幽棲。及遷神即化藉嵒早間有息慈慧永河內	幽 棲 及 遷 神 即 化 藉 嵒 早 間 有 息 慈 慧 永 河 內 
T51n2095_001:1029b08	繁氏高足稱首。異香入室。猛獸馴階。紹隆主	繁 氏 高 足 稱 首 異 香 入 室 猛 獸 馴 階 紹 隆 主 
T51n2095_001:1029b09	業安禪結宇。晉光祿鄉尋陽□範締建伽藍。	業 安 禪 結 宇 晉 光 祿 鄉 尋 陽 範 締 建 伽 藍 
T51n2095_001:1029b10	命曰西林。是歲晉太和之二年也。梁□天三	命 曰 西 林 是 歲 晉 太 和 之 二 年 也 梁 天 三 
T51n2095_001:1029b11	年僧恩律師。隋僧智鍇法師。大業二年。慧遠	年 僧 恩 律 師 隋 僧 智 鍇 法 師 大 業 二 年 慧 遠 
T51n2095_001:1029b12	禪師。七年道睢法師。並加增葺。唐永泰元年。	禪 師 七 年 道 睢 法 師 並 加 增 葺 唐 永 泰 元 年 
T51n2095_001:1029b13	顏魯公與法真律師。躋重閣觀。張僧繇畫盧	顏 魯 公 與 法 真 律 師 躋 重 閣 觀 張 僧 繇 畫 盧 
T51n2095_001:1029b14	舍那佛。梁武帝蹙線繡鉢袋。亦題于歐碑之	舍 那 佛 梁 武 帝 蹙 線 繡 鉢 袋 亦 題 于 歐 碑 之 
T51n2095_001:1029b15	首重閣。大業二年所建。今三者皆亡。永師義	首 重 閣 大 業 二 年 所 建 今 三 者 皆 亡 永 師 義 
T51n2095_001:1029b16	熙十年示化。葬澗南香谷之口。興國三年。亦	熙 十 年 示 化 葬 澗 南 香 谷 之 口 興 國 三 年 亦 
T51n2095_001:1029b17	諡覺寂大師。名其塔曰實智之塔。寺後高處	諡 覺 寂 大 師 名 其 塔 曰 實 智 之 塔 寺 後 高 處 
T51n2095_001:1029b18	有香谷亭。昔永公在西林。別立茅室於嶺上。	有 香 谷 亭 昔 永 公 在 西 林 別 立 茅 室 於 嶺 上 
T51n2095_001:1029b19	每欲禪思。即往居焉。室中甞有芬馥之氣。因	每 欲 禪 思 即 往 居 焉 室 中 甞 有 芬 馥 之 氣 因 
T51n2095_001:1029b20	名香谷。後人作亭其上。號香谷亭。以存其故	名 香 谷 後 人 作 亭 其 上 號 香 谷 亭 以 存 其 故 
T51n2095_001:1029b21	事。其下有水閣院。興國中錫名隆教。唐貞元	事 其 下 有 水 閣 院 興 國 中 錫 名 隆 教 唐 貞 元 
T51n2095_001:1029b22	二年。齊朗律師之道場也。朗長慶二年十月	二 年 齊 朗 律 師 之 道 場 也 朗 長 慶 二 年 十 月 
T51n2095_001:1029b23	十六日示寂有碑。唐人鄭素鄉撰。太和六年	十 六 日 示 寂 有 碑 唐 人 鄭 素 鄉 撰 太 和 六 年 
T51n2095_001:1029b24	歲次壬子三月甲午朔六日己巳立。保大八	歲 次 壬 子 三 月 甲 午 朔 六 日 己 巳 立 保 大 八 
T51n2095_001:1029b25	年。南唐襃國孝定公徐景運重修。藏經亦公	年 南 唐 襃 國 孝 定 公 徐 景 運 重 修 藏 經 亦 公 
T51n2095_001:1029b26	所施。皆有跋尾。藏之西壁。南唐人畫須菩提	所 施 皆 有 跋 尾 藏 之 西 壁 南 唐 人 畫 須 菩 提 
T51n2095_001:1029b27	自稱樵人王翰。是寺也水石之美前有德人。	自 稱 樵 人 王 翰 是 寺 也 水 石 之 美 前 有 德 人 
T51n2095_001:1029b28	亦東林之亞也。慶曆初。當塗僧宗慧大師道	亦 東 林 之 亞 也 慶 曆 初 當 塗 僧 宗 慧 大 師 道 
T51n2095_001:1029b29	真達。浮圖七級于隆教院。據香谷之形勝。寺	真 達 浮 圖 七 級 于 隆 教 院 據 香 谷 之 形 勝 寺 
T51n2095_001:1029c01	前過通隱橋一里。至林口市。昔竺道生葬焉。	前 過 通 隱 橋 一 里 至 林 口 市 昔 竺 道 生 葬 焉 
T51n2095_001:1029c02	蓋前世之深林幽谷。承平歲之闢為屋廬。以	蓋 前 世 之 深 林 幽 谷 承 平 歲 之 闢 為 屋 廬 以 
T51n2095_001:1029c03	會商旅墳□在東林猶藏其手澤。其西石磴	會 商 旅 墳 在 東 林 猶 藏 其 手 澤 其 西 石 磴 
T51n2095_001:1029c04	凡三百級。由上方而下。過滴翠巖。復三休而	凡 三 百 級 由 上 方 而 下 過 滴 翠 巖 復 三 休 而 
T51n2095_001:1029c05	至聰明泉。聰明泉乃荊州殷仲堪之訪遠公	至 聰 明 泉 聰 明 泉 乃 荊 州 殷 仲 堪 之 訪 遠 公 
T51n2095_001:1029c06	也。相與談易於松間。仲堪辯博。遠公因指泉	也 相 與 談 易 於 松 間 仲 堪 辯 博 遠 公 因 指 泉 
T51n2095_001:1029c07	曰。君之辯如此泉涌。後世因號聰明泉。昔李	曰 君 之 辯 如 此 泉 涌 後 世 因 號 聰 明 泉 昔 李 
T51n2095_001:1029c08	衛公匡廬賦云。講精義於松間。注云。東林寺	衛 公 匡 廬 賦 云 講 精 義 於 松 間 注 云 東 林 寺 
T51n2095_001:1029c09	有松數株尚存。今泉上有屋而無松。蓋其故	有 松 數 株 尚 存 今 泉 上 有 屋 而 無 松 蓋 其 故 
T51n2095_001:1029c10	地云。次有佛影臺。遠公匡山集云。佛影在西	地 云 次 有 佛 影 臺 遠 公 匡 山 集 云 佛 影 在 西 
T51n2095_001:1029c11	方那伽阿羅國南。古仙人石室中。以晉義凞	方 那 伽 阿 羅 國 南 古 仙 人 石 室 中 以 晉 義 凞 
T51n2095_001:1029c12	十八年歲在壬子五月一日。因罽賓禪師南	十 八 年 歲 在 壬 子 五 月 一 日 因 罽 賓 禪 師 南 
T51n2095_001:1029c13	國律學道士共立此臺。擬像本山因跡以奇	國 律 學 道 士 共 立 此 臺 擬 像 本 山 因 跡 以 奇 
T51n2095_001:1029c14	誠雖成。由人匠而功無所加。至於歲在星紀	誠 雖 成 由 人 匠 而 功 無 所 加 至 於 歲 在 星 紀 
T51n2095_001:1029c15	赤奮若貞。于太陰之墟九月三日。乃詳驗別	赤 奮 若 貞 于 太 陰 之 墟 九 月 三 日 乃 詳 驗 別 
T51n2095_001:1029c16	記銘之於石。孟江州懷玉王別駕喬之張常	記 銘 之 於 石 孟 江 州 懷 玉 王 別 駕 喬 之 張 常 
T51n2095_001:1029c17	侍野殷晉安隱毛黃門修之宗隱士炳孟散騎	侍 野 殷 晉 安 隱 毛 黃 門 修 之 宗 隱 士 炳 孟 散 騎 
T51n2095_001:1029c18	孟司馬(二人名闕)殷主簿蔚范孝廉悅之王參軍[禾*皇]	孟 司 馬 二 人 名 闕 殷 主 簿 蔚 范 孝 廉 悅 之 王 參 軍 [禾皇] 
T51n2095_001:1029c19	[禾*皇]夜等。咸賦銘讚。遠公佛影銘五首載高僧	[禾皇] 夜 等 咸 賦 銘 讚 遠 公 佛 影 銘 五 首 載 高 僧 
T51n2095_001:1029c20	傳。劉遺民亦讚白。雲圖表暉暉影侔袖造功	傳 劉 遺 民 亦 讚 白 雲 圖 表 暉 暉 影 侔 袖 造 功 
T51n2095_001:1029c21	出理諧事非人。運李邕記云。影□西來舍利	出 理 諧 事 非 人 運 李 邕 記 云 影 西 來 舍 利 
T51n2095_001:1029c22	東化。或塔踊於地。或光屬於天。影圖者□影	東 化 或 塔 踊 於 地 或 光 屬 於 天 影 圖 者 影 
T51n2095_001:1029c23	也。舍利謂跋陀羅所藏者也。此臺寺僧追建	也 舍 利 謂 跋 陀 羅 所 藏 者 也 此 臺 寺 僧 追 建 
T51n2095_001:1029c24	焉。是寺也最為廬山之古剎。自唐開元元和	焉 是 寺 也 最 為 廬 山 之 古 剎 自 唐 開 元 元 和 
T51n2095_001:1029c25	以來。迄于保大顯德間。文士碑志遊人歌詠	以 來 迄 于 保 大 顯 德 間 文 士 碑 志 遊 人 歌 詠 
T51n2095_001:1029c26	題名班班有存者。今著其目于後[竺二+遍]。遠公大	題 名 班 班 有 存 者 今 著 其 目 于 後 [竺二遍] 遠 公 大 
T51n2095_001:1029c27	中六年。諡辯覺法師。裴休書。其牓觀音殿東	中 六 年 諡 辯 覺 法 師 裴 休 書 其 牓 觀 音 殿 東 
T51n2095_001:1029c28	壁有。大中十一年。宛陵洪鍇摹。張僧繇畫維	壁 有 大 中 十 一 年 宛 陵 洪 鍇 摹 張 僧 繇 畫 維 
T51n2095_001:1029c29	摩居士。其餘壁畫。亦大中廣明咸通中所寫。	摩 居 士 其 餘 壁 畫 亦 大 中 廣 明 咸 通 中 所 寫 
T51n2095_001:1030a01	雖俗筆。亦近世畫工所不能及。法華資聖院	雖 俗 筆 亦 近 世 畫 工 所 不 能 及 法 華 資 聖 院 
T51n2095_001:1030a02	牌。僧齊己書。又有明皇銅像。李通玄長者寫	牌 僧 齊 己 書 又 有 明 皇 銅 像 李 通 玄 長 者 寫 
T51n2095_001:1030a03	真。皆前世故物。本朝之改寺名也。徐鉉常侍	真 皆 前 世 故 物 本 朝 之 改 寺 名 也 徐 鉉 常 侍 
T51n2095_001:1030a04	親篆太平興國之寺六字。今皆藏焉。昔傳寺	親 篆 太 平 興 國 之 寺 六 字 今 皆 藏 焉 昔 傳 寺 
T51n2095_001:1030a05	有遠公袈裟。竺道生麈尾扇。梁武帝鉢囊。遠	有 遠 公 袈 裟 竺 道 生 麈 尾 扇 梁 武 帝 鉢 囊 遠 
T51n2095_001:1030a06	公袈裟。即顏公所禮。僧伽衣今已腐朽。而有	公 袈 裟 即 顏 公 所 禮 僧 伽 衣 今 已 腐 朽 而 有 
T51n2095_001:1030a07	佛駄耶舍二尊者革舄。謝靈運翻經貝名葉	佛 駄 耶 舍 二 尊 者 革 舄 謝 靈 運 翻 經 貝 名 葉 
T51n2095_001:1030a08	五六片。餘皆亡矣。李邕碑云。羅什致其澡瓶。	五 六 片 餘 皆 亡 矣 李 邕 碑 云 羅 什 致 其 澡 瓶 
T51n2095_001:1030a09	巧窮雙口。姚泓奉其彫像。工極五年。事亦	巧 窮 雙 口 姚 泓 奉 其 彫 像 工 極 五 年 事 亦 
T51n2095_001:1030a10	具高傳。年代浸遠。宜無復存者。禪月貫休詩	具 高 傳 年 代 浸 遠 宜 無 復 存 者 禪 月 貫 休 詩 
T51n2095_001:1030a11	云。廬楞伽畫苔漫盡。殷仲堪碑雨滴穿。貫休	云 廬 楞 伽 畫 苔 漫 盡 殷 仲 堪 碑 雨 滴 穿 貫 休 
T51n2095_001:1030a12	天祐間人距今一百五十餘年。寺僧亦不知。	天 祐 間 人 距 今 一 百 五 十 餘 年 寺 僧 亦 不 知 
T51n2095_001:1030a13	域遂在喧闠之中。康定初。郡守田瑜。俾寺僧	域 遂 在 喧 闠 之 中 康 定 初 郡 守 田 瑜 俾 寺 僧 
T51n2095_001:1030a14	改葬于凝寂之左。九江錄云。通隱橋南有金	改 葬 于 凝 寂 之 左 九 江 錄 云 通 隱 橋 南 有 金 
T51n2095_001:1030a15	師子峯。上有三蘭若墓。峯下有索谷塘。今索	師 子 峯 上 有 三 蘭 若 墓 峯 下 有 索 谷 塘 今 索 
T51n2095_001:1030a16	谷塘猶存。餘皆亡。通隱橋之西一里。有匡君	谷 塘 猶 存 餘 皆 亡 通 隱 橋 之 西 一 里 有 匡 君 
T51n2095_001:1030a17	廟。尋陽記云。昔漢武帝南巡祠名山。問廬君	廟 尋 陽 記 云 昔 漢 武 帝 南 巡 祠 名 山 問 廬 君 
T51n2095_001:1030a18	何神也。博士對曰。昔匡俗得道於此。乃賜號	何 神 也 博 士 對 曰 昔 匡 俗 得 道 於 此 乃 賜 號 
T51n2095_001:1030a19	大明公。唐天寶元年。詔立祠焉。西林之東五	大 明 公 唐 天 寶 元 年 詔 立 祠 焉 西 林 之 東 五 
T51n2095_001:1030a20	里。有黃土庵。其旁又有看經庵。由看經一里。	里 有 黃 土 庵 其 旁 又 有 看 經 庵 由 看 經 一 里 
T51n2095_001:1030a21	至崇福庵。由崇福庵五里。至香城庵。香城旁	至 崇 福 庵 由 崇 福 庵 五 里 至 香 城 庵 香 城 旁 
T51n2095_001:1030a22	有觀音庵。次有東庵。由東庵稍下一里。有廣	有 觀 音 庵 次 有 東 庵 由 東 庵 稍 下 一 里 有 廣 
T51n2095_001:1030a23	濟庵。又半里有聖僧嵒。由聖僧嵒二里。至石	濟 庵 又 半 里 有 聖 僧 嵒 由 聖 僧 嵒 二 里 至 石 
T51n2095_001:1030a24	盆庵。西林之東南五里。至下化成院。由下化	盆 庵 西 林 之 東 南 五 里 至 下 化 成 院 由 下 化 
T51n2095_001:1030a25	成三里。至護國庵。由護國一里。亦至石盆庵。	成 三 里 至 護 國 庵 由 護 國 一 里 亦 至 石 盆 庵 
T51n2095_001:1030a26	石盆在山上。非鑱石所成。盆中清泉雖旱不	石 盆 在 山 上 非 鑱 石 所 成 盆 中 清 泉 雖 旱 不 
T51n2095_001:1030a27	竭。石盆之上半里。至保與庵。其旁半里。有大	竭 石 盆 之 上 半 里 至 保 與 庵 其 旁 半 里 有 大 
T51n2095_001:1030a28	師庵。次上化成院。亦義熙中。遠公所立也。祥	師 庵 次 上 化 成 院 亦 義 熙 中 遠 公 所 立 也 祥 
T51n2095_001:1030a29	符中。錫名普照寺。本朝陳尚書恕布衣時遊	符 中 錫 名 普 照 寺 本 朝 陳 尚 書 恕 布 衣 時 遊 
T51n2095_001:1030b01	焉。其子恭公秉政。請錫御書度僧。今有陳氏	焉 其 子 恭 公 秉 政 請 錫 御 書 度 僧 今 有 陳 氏 
T51n2095_001:1030b02	祠堂。有保大中移寺等三碣。好事者刻。白樂	祠 堂 有 保 大 中 移 寺 等 三 碣 好 事 者 刻 白 樂 
T51n2095_001:1030b03	天遊大林寺詩。并前後序。坎石于屋壁。凡遊	天 遊 大 林 寺 詩 并 前 後 序 坎 石 于 屋 壁 凡 遊 
T51n2095_001:1030b04	人在二林。望上化成樓閣隱隱在雲靄中。有	人 在 二 林 望 上 化 成 樓 閣 隱 隱 在 雲 靄 中 有 
T51n2095_001:1030b05	若圖畫。自東林徑去猶半日之久。既至化成。	若 圖 畫 自 東 林 徑 去 猶 半 日 之 久 既 至 化 成 
T51n2095_001:1030b06	其僧必訊客曰。翌日上山與否。蓋過上化成。	其 僧 必 訊 客 曰 翌 日 上 山 與 否 蓋 過 上 化 成 
T51n2095_001:1030b07	山路彌險。中間往往不可假肩輿矣。直上十	山 路 彌 險 中 間 往 往 不 可 假 肩 輿 矣 直 上 十 
T51n2095_001:1030b08	里。道中過雞冠石。次四望石。次瀉油石。次香	里 道 中 過 雞 冠 石 次 四 望 石 次 瀉 油 石 次 香 
T51n2095_001:1030b09	爐峯。山南山北。皆有其形圓聳常出雲氣。改	爐 峯 山 南 山 北 皆 有 其 形 圓 聳 常 出 雲 氣 改 
T51n2095_001:1030b10	名以象形。李白詩曰。日照香爐生紫煙。遙看	名 以 象 形 李 白 詩 曰 日 照 香 爐 生 紫 煙 遙 看 
