X31n0610_001:0516a03	妙法蓮華經擊節	妙法蓮華 經 擊 節 
X31n0610_001:0518a22	從地湧出品。乃顯自心開發之象也。所謂從門入者。	從 地 湧 出 品 乃 顯 自 心 開 發 之 象 也 所 謂 從 門 入 者 
X31n0610_001:0518a23	不是家珍。向自己胸中流出。方始葢天葢地。所以他	不 是 家 珍 向 自 己 胸 中 流 出 方 始 葢 天 葢 地 所 以 他 
X31n0610_001:0518a24	方來者。雖是菩薩。猶尚不堪。故云。不須汝等護持此	方 來 者 雖 是 菩 薩 猶 尚 不 堪 故 云 不 須 汝 等 護 持 此 
X31n0610_001:0518b01	經。我自有六萬恒河沙眾。是時大千國土。應聲震裂。	經 我 自 有 六 萬 恒 河 沙 眾 是 時 大 千 國 土 應 聲 震 裂 
X31n0610_001:0518b02	而無數菩薩。同時湧出。惟此恒沙性德。本自圓成。只	而 無 數 菩 薩 同 時 湧 出 惟 此 恒 沙 性 德 本 自 圓 成 只 
X31n0610_001:0518b03	在人人六根門頭。放光動地。應用不缺。故有六萬恒	在 人 人 六 根 門 頭 放 光 動 地 應 用 不 缺 故 有 六 萬 恒 
X31n0610_001:0518b04	河沙眾。身有無量光明。以根塵同源。縛脫無二。故先	河 沙 眾 身 有 無量光明 以 根 塵 同 源 縛 脫 無 二 故 先 
X31n0610_001:0518b05	盡在此世界之下。以中間無實。故若交蘆。故云虗空	盡 在 此 世 界 之 下 以 中 間 無 實 故 若 交 蘆 故 云 虗 空 
X31n0610_001:0518b06	中住。以現前煩惱皆從法性所流。故云先所教化。以	中 住 以 現 前 煩 惱 皆 從 法 性 所 流 故 云 先 所 教 化 以 
X31n0610_001:0518b07	事事皆真。頭頭盡妙。故云。大眾皆是唱導之首。以一	事 事 皆 真 頭 頭 盡 妙 故 云 大 眾 皆 是 唱 導 之 首 以 一 
X31n0610_001:0518b08	行徧融一切行。一法徧含一切法。故一一皆有多多	行 徧 融 一 切 行 一 法 徧 含 一 切 法 故 一 一 皆 有 多 多 
X31n0610_001:0518b09	眷屬。凡有所作。皆回向法身。故各詣虗空。奉覲多寶	眷 屬 凡 有 所 作 皆 回 向 法 身 故 各 詣 虗 空 奉 覲 多 寶 
X31n0610_001:0518b10	釋迦二佛。頭面禮足。以此妙契佛心。故問訊世尊。種	釋 迦 二 佛 頭面禮足 以 此 妙 契 佛 心 故 問 訊 世 尊 種 
X31n0610_001:0518b11	種安慰。而世尊印許。如此方能得聞是經。入於佛慧	種 安 慰 而 世 尊 印 許 如 此 方 能 得 聞 是 經 入 於 佛 慧 
X31n0610_001:0518b12	也。斯乃法身邊事。非心識可到。故彌勒與八千恒沙	也 斯 乃 法 身 邊 事 非 心 識 可 到 故 彌 勒 與 八 千 恒 沙 
X31n0610_001:0518b13	大士皆起疑心。而如來至此。方大開秘密。直示本元	大 士 皆 起 疑 心 而 如 來 至 此 方 大 開 秘 密 直 示 本 元 
X31n0610_001:0518b14	常住心地。故云。如來今欲顯發宣說諸佛智慧。諸佛	常 住 心 地 故 云 如 來 今 欲 顯 發 宣 說 諸 佛 智 慧 諸 佛 
X31n0610_001:0518b15	自在神通之力。諸佛師子奮迅之力。故說壽量一品。	自 在 神 通 之 力 諸 佛 師 子 奮 迅 之 力 故 說 壽 量 一 品 
X31n0610_001:0518b16	以示法身壽量竭盡本懷。以顯妙明常住真心不動	以 示 法 身 壽 量 竭 盡 本 懷 以 顯 妙 明 常 住 真 心 不 動 
X31n0610_001:0518b17	周圓徧十方界。隨緣普應。妙化無方。修短隨緣。隱顯	周 圓 徧 十 方 界 隨 緣 普 應 妙 化 無 方 修 短 隨 緣 隱 顯 
X31n0610_001:0518b18	無礙。以明如來智慧甚深無量。以種種方便示現利	無 礙 以 明 如來智慧 甚 深 無 量 以 種 種 方 便 示 現 利 
X31n0610_001:0518b19	生。以明其智慧門難解難入之意也。且云我處靈山	生 以 明 其 智 慧 門 難解難入 之 意 也 且 云 我 處 靈 山 
X31n0610_001:0518b20	常在不滅。大火所燒此土安隱。以顯實相真境。此非	常 在 不 滅 大 火 所 燒 此 土 安 隱 以 顯 實 相 真 境 此 非 
X31n0610_001:0518b21	佛之知見。又何能知此見此哉。此佛之真知見力自	佛 之 知 見 又 何 能 知 此 見 此 哉 此 佛 之 真 知 見 力 自 
X31n0610_001:0518b22	覺聖智境界。所以大地三乘以思量心不能測度也	覺 聖智境界 所 以 大 地 三 乘 以 思 量 心 不 能 測 度 也 
X31n0610_001:0518b23	宜矣。是則提婆達多。持品。安樂行。從地湧出。如來壽	宜 矣 是 則 提 婆 達 多 持 品 安 樂 行 從 地 湧 出 如 來 壽 
X31n0610_001:0518b24	量。五品經文。皆令眾生悟佛知見也明矣。若夫分別	量 五 品 經 文 皆 令 眾 生 悟 佛 知 見 也 明 矣 若 夫 分 別 
X31n0610_001:0518c01	功德。以極顯妙悟自心無為功德之勝益也。然持經	功 德 以 極 顯 妙 悟 自 心 無 為 功 德 之 勝 益 也 然 持 經 
X31n0610_001:0518c02	功德勝剎寶施福者。此激勵小乘起慕大之心也。多	功 德 勝 剎 寶 施 福 者 此 激 勵 小 乘 起 慕 大 之 心 也 多 
X31n0610_001:0518c03	劫修行五波羅蜜。不如聞如來壽量之功德者。此策	劫 修 行 五波羅蜜 不 如 聞 如 來 壽 量 之 功 德 者 此 策 
X31n0610_001:0518c04	進權教菩薩。令其捨權證實也。其有一念隨喜功德	進 權 教 菩 薩 令 其 捨 權 證 實 也 其 有 一 念 隨 喜 功 德 
X31n0610_001:0518c05	福報難思者。正顯此法以信得入也。其有一念毀謗	福 報 難 思 者 正 顯 此 法 以 信 得 入 也 其 有 一 念 毀 謗 
X31n0610_001:0518c06	之罪窮劫不盡者。所謂不信之罪眾罪之上。此勸發	之 罪 窮 劫 不 盡 者 所 謂 不 信 之 罪 眾 罪 之 上 此 勸 發 
X31n0610_001:0518c07	闡提外道。令發大乘正信也。若有修行之功。其福又	闡 提 外 道 令 發 大 乘 正 信 也 若 有 修 行 之 功 其 福 又 
X31n0610_001:0518c08	不可量者。意在專令凡夫一生取辦。不生佛道長遠	不 可 量 者 意 在 專 令 凡 夫 一 生 取 辦 不 生 佛 道 長 遠 
X31n0610_001:0518c09	之怖也若。能精持流通此經之法師。則得六根清淨	之 怖 也 若 能 精 持 流 通 此 經 之 法 師 則 得 六 根 清 淨 
X31n0610_001:0518c10	之功德者。此廼揭示現證之一班。以明精持利益。又	之 功 德 者 此 廼 揭 示 現 證 之 一 班 以 明 精 持 利 益 又 
X31n0610_001:0518c11	過於一念隨喜者也。若常不輕。可謂了悟平等真如	過 於 一 念 隨 喜 者 也 若 常 不 輕 可 謂 了 悟 平 等 真 如 
X31n0610_001:0518c12	深造而自得者。故以佛性種子。普觀四眾。而授記也。	深 造 而 自 得 者 故 以 佛 性 種 子 普 觀 四 眾 而 授 記 也 
X31n0610_001:0518c13	到此揀擇情忘。是非執謝。可謂妙悟之極。如此方能	到 此 揀 擇 情 忘 是 非 執 謝 可 謂 妙 悟 之 極 如 此 方 能 
X31n0610_001:0518c14	堪荷大事。故說神力品。以顯悟心功德難思之象也。	堪 荷 大 事 故 說 神 力 品 以 顯 悟 心 功 德 難 思 之 象 也 
X31n0610_001:0518c15	故地湧之眾。至此方誓持經。如來極盡神力。而大發	故 地 湧 之 眾 至 此 方 誓 持 經 如 來 極 盡 神 力 而 大 發 
X31n0610_001:0518c16	揚之。以顯悟心功德廣大不可思議也。吾人苟能到	揚 之 以 顯 悟 心 功 德 廣 大 不可思議 也 吾 人 苟 能 到 
X31n0610_001:0518c17	此徹悟。唯心境界。則無一事而非佛法。故如來於大	此 徹 悟 唯 心 境 界 則 無 一 事 而 非 佛 法 故 如 來 於 大 
X31n0610_001:0518c18	眾前。現大神力。出廣長舌。上至梵天也。無一色而非	眾 前 現 大 神 力 出 廣 長 舌 上 至 梵 天 也 無 一 色 而 非 
X31n0610_001:0518c19	佛身。故遍身毛孔放無數色光。遍照十方諸佛之身	佛 身 故 遍 身 毛 孔 放 無 數 色 光 遍照十方 諸 佛 之 身 
X31n0610_001:0518c20	也。至此境界。則依正互融。自他不二矣。所謂無邊剎	也 至 此 境 界 則 依 正 互 融 自 他 不 二 矣 所 謂 無 邊 剎 
X31n0610_001:0518c21	海自他不隔於毫端。故十方諸佛亦復如是放無量	海 自 他 不 隔 於 毫 端 故 十方諸佛 亦復如是 放 無 量 
X31n0610_001:0518c22	光也。十世古今始終不離於當念。故諸佛亦現神力	光 也 十 世 古 今 始 終 不 離 於 當 念 故 諸 佛 亦 現 神 力 
X31n0610_001:0518c23	滿百千歲也。如我按指海印發光。咳唾掉臂皆冥真	滿 百 千 歲 也 如 我 按 指 海 印 發 光 咳 唾 掉 臂 皆 冥 真 
X31n0610_001:0518c24	際。故謦欬彈指之聲。徧至十方世界也。到此則一切	際 故 謦 欬 彈 指 之 聲 徧 至 十方世界 也 到 此 則 一 切 
X31n0610_001:0519a01	眾生皆證圓覺。有情無情齊成佛道。故彼十方八部	眾 生 皆 證 圓 覺 有 情 無 情 齊 成 佛 道 故 彼 十 方 八 部 
X31n0610_001:0519a02	天人皆遙見佛說此妙法華經也。苟能了悟自心。則	天 人 皆 遙 見 佛 說 此 妙 法 華 經 也 苟 能 了 悟 自 心 則 
X31n0610_001:0519a03	轉煩惱之具皆作成佛之真因。故所脫嚴身之具皆	轉 煩 惱 之 具 皆 作 成 佛 之 真 因 故 所 脫 嚴 身 之 具 皆 
X31n0610_001:0519a04	成寶帳。徧覆此間諸佛之上也。心境廓徹。限量消忘。	成 寶 帳 徧 覆 此 間 諸 佛 之 上 也 心 境 廓 徹 限 量 消 忘 
X31n0610_001:0519a05	故十方國土通達無礙。如一佛土也。然吾佛極廣大	故 十 方 國 土 通 達 無 礙 如 一 佛 土 也 然 吾 佛 極 廣 大 
X31n0610_001:0519a06	之神力。盡眾生之界門。若欲以此顯示妙悟之功德。	之 神 力 盡 眾 生 之 界 門 若 欲 以 此 顯 示 妙 悟 之 功 德 
X31n0610_001:0519a07	經無量劫。猶不能盡者。以顯自覺聖智殊非心識之	經 無 量 劫 猶 不 能 盡 者 以 顯 自覺聖智 殊 非 心 識 之 
X31n0610_001:0519a08	境界也。以如來一切所有之法。一切自在神力。一切	境 界 也 以 如 來 一 切 所 有 之 法 一 切 自在神力 一 切 
X31n0610_001:0519a09	秘要之藏。一切甚深之事。皆於此經宣示顯說。此所	秘 要 之 藏 一 切 甚 深 之 事 皆 於 此 經 宣 示 顯 說 此 所 
X31n0610_001:0519a10	以極言一切有為莊嚴功德。總不若受持此經之勝	以 極 言 一 切 有 為 莊 嚴 功 德 總 不 若 受 持 此 經 之 勝 
X31n0610_001:0519a11	也。然所心廣讚持經功德之勝如此者。言雖顯法勝	也 然 所 心 廣 讚 持 經 功 德 之 勝 如 此 者 言 雖 顯 法 勝 
X31n0610_001:0519a12	妙。其實發起二乘樂大之心也。直欲人人極證心源。	妙 其 實 發 起 二 乘 樂 大 之 心 也 直 欲 人 人 極 證 心 源 
X31n0610_001:0519a13	方堪荷負大法耳。故云是人於佛道決定無有疑。故	方 堪 荷 負 大 法 耳 故 云 是 人 於 佛 道 決 定 無 有 疑 故 
X31n0610_001:0519a14	此以後即說囑累品。以終如來出世說法之本意焉。	此 以 後 即 說 囑 累 品 以 終 如 來 出 世 說 法 之 本 意 焉 
X31n0610_001:0519a15	然世尊從法座起。即以右手摩從地湧出無量諸菩	然 世 尊 從 法 座 起 即 以 右 手 摩 從 地 湧 出 無 量 諸 菩 
X31n0610_001:0519a16	薩頂。安慰而囑之曰。我於無量百千萬億阿僧祇劫。	薩 頂 安 慰 而 囑 之 曰 我 於 無量百千萬億 阿僧祇劫 
X31n0610_001:0519a17	修習是難得阿耨多羅三藐三菩提法。今以付囑汝	修 習 是 難 得阿耨多羅三藐三菩提 法 今 以 付 囑 汝 
X31n0610_001:0519a18	等。汝等應當一心流布此法廣令增益。如是三摩諸	等 汝 等 應 當 一 心 流 布 此 法 廣 令 增 益 如 是 三 摩 諸 
X31n0610_001:0519a19	菩薩頂囑當受持廣宣此法。令一切眾生普得聞知	菩 薩 頂 囑 當 受 持 廣 宣 此 法 令 一 切 眾 生 普 得 聞 知 
X31n0610_001:0519a20	者。以一切眾生各各本具佛之智慧。如來智慧。自然	者 以 一 切 眾 生 各 各 本 具 佛 之 智 慧 如來智慧 自 然 
X31n0610_001:0519a21	智慧。一向迷而不知。今如來於此經中盡與開示無	智 慧 一 向 迷 而 不 知 今 如 來 於 此 經 中 盡 與 開 示 無 
X31n0610_001:0519a22	所秘吝。所謂如來是一切眾生之大施主也。且云未	所 秘 吝 所 謂 如 來 是 一 切 眾 生 之 大 施 主 也 且 云 未 
X31n0610_001:0519a23	來世中若有一人能信如來智慧者。即當演說此經	來 世 中 若 有 一 人 能 信 如來智慧 者 即 當 演 說 此 經 
X31n0610_001:0519a24	使得聞知者。為令其人即得佛慧故也。苟能如此方	使 得 聞 知 者 為 令 其 人 即 得 佛 慧 故 也 苟 能 如 此 方 
X31n0610_001:0519b01	便度生。可謂報佛深恩矣。由如來叮嚀之意也殷。菩	便 度 生 可 謂 報 佛 深 恩 矣 由 如 來 叮 嚀 之 意 也 殷 菩 
X31n0610_001:0519b02	薩奉持之心也切。故菩薩各各歡喜益加恭敬。乃至	薩 奉 持 之 心 也 切 故 菩 薩 各 各 歡 喜 益 加 恭 敬 乃 至 
X31n0610_001:0519b03	三反俱發聲言。如世尊勑當具奉行。願不有慮也。是	三 反 俱 發 聲 言 如 世 尊 勑 當 具 奉 行 願 不 有 慮 也 是 
X31n0610_001:0519b04	則如來出世。本為開示眾生佛之知見令其悟入而	則 如 來 出 世 本 為 開 示 眾 生 佛 之 知 見 令 其 悟 入 而 
X31n0610_001:0519b05	已。今重重開示已至忘言。而聞者解悟之心亦已洞	已 今 重 重 開 示 已 至 忘 言 而 聞 者 解 悟 之 心 亦 已 洞 
X31n0610_001:0519b06	徹。此則眾生悟解之心已極。在如來之能事已周。若	徹 此 則 眾 生 悟 解 之 心 已 極 在 如 來 之 能 事 已 周 若 
X31n0610_001:0519b07	夫起行造修。是在各人自肎耳。故令十方諸佛各還	夫 起 行 造 修 是 在 各 人 自 肎 耳 故 令 十方諸佛 各 還 
X31n0610_001:0519b08	本土各隨所安也。尚有行證未圓。故留多寶佛塔還	本 土 各 隨 所 安 也 尚 有 行 證 未 圓 故 留 多 寶 佛 塔 還 
X31n0610_001:0519b09	可如故也。此其二十二品通擬開示悟門。以成信解	可 如 故 也 此 其 二 十 二 品 通 擬 開 示 悟 門 以 成 信 解 
X31n0610_001:0519b10	之資。故後六品通是以行成德。是所謂先依圓理以	之 資 故 後 六 品 通 是 以 行 成 德 是 所 謂 先 依 圓 理 以 
X31n0610_001:0519b11	發圓行。後依圓行以證圓理。解行相資。方克究竟之	發 圓 行 後 依 圓 行 以 證 圓 理 解 行 相 資 方 克 究 竟 之 
X31n0610_001:0519b12	果。以顯入佛知見之極致也。	果 以 顯 入 佛 知 見 之 極 致 也 
X31n0610_001:0519b13	藥王菩薩本事已下。至普賢勸發六品經文。皆明以	藥 王 菩 薩 本 事 已 下 至 普 賢 勸 發 六 品 經 文 皆 明 以 
X31n0610_001:0519b14	行成德。以顯入佛知見之象也。然發行之初必以藥	行 成 德 以 顯 入 佛 知 見 之 象 也 然 發 行 之 初 必 以 藥 
X31n0610_001:0519b15	王發揮者。以觀智之藥治煩惱之病。智起惑亡。應念	王 發 揮 者 以 觀 智 之 藥 治 煩 惱 之 病 智 起 惑 亡 應 念 
X31n0610_001:0519b16	化成無上知覺。得大自在。故稱藥王。眾生所以不自	化 成 無 上 知 覺 得 大 自 在 故 稱 藥 王 眾 生 所 以 不 自 
X31n0610_001:0519b17	在者。以有我法二執為礙故也。二執有二。一分別。二	在 者 以 有 我 法 二 執 為 礙 故 也 二 執 有 二 一 分 別 二 
X31n0610_001:0519b18	俱生。今既悟妙心。以即心止觀之力。淨破分別我法	俱 生 今 既 悟 妙 心 以 即 心 止 觀 之 力 淨 破 分 別 我 法 
X31n0610_001:0519b19	二障。即登初地。故藥王然身。破我執之象也。喜見然	二 障 即 登 初 地 故 藥 王 然 身 破 我 執 之 象 也 喜 見 然 
X31n0610_001:0519b20	臂。破法執之象也。欲破二障。非淨智不能。故所師之	臂 破 法 執 之 象 也 欲 破 二 障 非 淨 智 不 能 故 所 師 之 
X31n0610_001:0519b21	佛。名日月淨明德。了悟本有法身。證平等真如。故得	佛 名 日 月 淨 明 德 了 悟 本 有 法 身 證 平 等 真 如 故 得 
X31n0610_001:0519b22	現一切色身三昧。此從初地以至七地之象也。以此	現一切色身 三 昧 此 從 初 地 以 至 七 地 之 象 也 以 此 
X31n0610_001:0519b23	真如內熏。故服諸香油。以頓捨藏識。故光照八十萬	真 如 內 熏 故 服 諸 香 油 以 頓 捨 藏 識 故 光 照 八 十 萬 
X31n0610_001:0519b24	億恒河沙世界。其中諸佛同時讚歎。如此方名是真	億 恒 河 沙 世 界 其 中 諸 佛 同 時 讚 歎 如 此 方 名 是 真 
X31n0610_001:0519c01	精進。是名真法供養也。然前七轉識既消。則根塵俱	精 進 是 名 真 法 供 養 也 然 前 七 轉 識 既 消 則 根 塵 俱 
X31n0610_001:0519c02	泯。故其身火然千百二歲。此則入正法位不離佛家。	泯 故 其 身 火 然 千 百 二 歲 此 則 入 正 法 位 不 離 佛 家 
X31n0610_001:0519c03	故復生於日月淨明德佛國中。以常光照明。故云彼	故 復 生 於 日 月 淨 明 德 佛 國 中 以 常 光 照 明 故 云 彼 
X31n0610_001:0519c04	佛今故現在。此入八地之象也。然而至此雖破俱生	佛 今 故 現 在 此 入 八 地 之 象 也 然 而 至 此 雖 破 俱 生 
X31n0610_001:0519c05	我執。尚有俱生法執未忘。而法身之見未泯。故白言	我 執 尚 有 俱 生 法 執 未 忘 而 法 身 之 見 未 泯 故 白 言 
X31n0610_001:0519c06	世尊猶故在世。以法身不許彼此迭相見故。雲門云。	世 尊 猶 故 在 世 以 法 身 不 許 彼 此 迭 相 見 故 雲 門 云 
X31n0610_001:0519c07	直饒透過得到法身邊。若法執未忘己見猶存。亦是	直 饒 透 過 得 到 法 身 邊 若 法 執 未 忘 己 見 猶 存 亦 是 
X31n0610_001:0519c08	光不透脫。此亦須泯。故本佛於夜後分入於涅槃。而	光 不 透 脫 此 亦 須 泯 故 本 佛 於 夜 後 分 入 於 涅 槃 而 
X31n0610_001:0519c09	喜見菩薩即捨兩臂。此分破俱生法執之象也。所謂	喜 見 菩 薩 即 捨 兩 臂 此 分 破 俱 生 法 執 之 象 也 所 謂 
X31n0610_001:0519c10	分別二障極喜無。法執俱生地地除。以但破其執。不	分 別 二 障 極 喜 無 法 執 俱 生 地 地 除 以 但 破 其 執 不 
X31n0610_001:0519c11	破其法。故兩臂還復如故。此皆資法華實相三昧之	破 其 法 故 兩 臂 還 復 如 故 此 皆 資 法 華 實相三昧 之 
X31n0610_001:0519c12	力。故廣讚此經功德真實妙利。凡有修者無不獲益。	力 故 廣 讚 此 經 功 德 真 實 妙 利 凡 有 修 者 無 不 獲 益 
X31n0610_001:0519c13	故如寒得火。如裸得衣。如病得醫也。	故 如 寒 得 火 如 裸 得 衣 如 病 得 醫 也 
X31n0610_001:0519c14	若此法華三昧止觀之力。深進不已。從八地出。當九	若 此 法華三昧 止 觀 之 力 深 進 不 已 從 八 地 出 當 九 
X31n0610_001:0519c15	地十地居法師位。說法利生。妙應無方。所謂清淨妙	地 十 地 居 法 師 位 說 法 利 生 妙 應 無 方 所 謂 清 淨 妙 
X31n0610_001:0519c16	法身湛然應一切。故說妙音菩薩品。以示現一切色	法 身 湛 然 應 一 切 故 說 妙 音 菩 薩 品 以 示 現 一 切 色 
X31n0610_001:0519c17	身三昧之實證。此示妙行出真入俗之象也。問曰。說	身 三 昧 之 實 證 此 示 妙 行 出 真 入 俗 之 象 也 問 曰 說 
X31n0610_001:0519c18	此品時。釋迦牟尼佛放大人相肉髻光明。及放眉間	此 品 時 釋 迦 牟 尼 佛 放 大 人 相 肉 髻 光 明 及 放 眉 間 
X31n0610_001:0519c19	白毫相光。徧照東方百八萬億那由陀恒河沙等諸	白毫相光 徧 照 東 方 百 八 萬 億 那 由 陀 恒 河 沙 等 諸 
X31n0610_001:0519c20	佛世界。過是數已有世界。名淨光莊嚴。其國有佛。號	佛 世 界 過 是 數 已 有 世 界 名 淨 光 莊 嚴 其 國 有 佛 號 
X31n0610_001:0519c21	淨華宿王智者何耶。答曰。此舉果以驗一乘真因	淨華宿王智 者 何 耶 答 曰 此 舉 果 以 驗 一 乘 真 因 
X31n0610_001:0519c22	之象也。按楞伽說如來最上一乘禪已。乃云。若聲聞	之 象 也 按 楞 伽 說 如 來 最 上 一 乘 禪 已 乃 云 若 聲 聞 
X31n0610_001:0519c23	緣覺能除一切過習。覺法無我。是時乃離三昧所醉。	緣 覺 能 除 一 切 過 習 覺 法 無 我 是 時 乃 離 三 昧 所 醉 
X31n0610_001:0519c24	於無漏界而得覺悟。既覺悟已復入出世間上上無	於 無 漏 界 而 得 覺 悟 既 覺 悟 已 復 入 出 世 間 上 上 無 
X31n0610_001:0520a01	漏界。滿足眾具。當得如來不思議自在法身。此法身	漏 界 滿 足 眾 具 當 得 如 來 不 思 議 自 在 法 身 此 法 身 
X31n0610_001:0520a02	即意生身也。又云有三種意生身。一三昧樂正受意	即 意 生 身 也 又 云 有 三種意生身 一 三 昧 樂 正 受 意 
X31n0610_001:0520a03	生身。謂初地乃至八地盡真如際。已捨藏識。斷俱生	生 身 謂 初 地 乃 至 八 地 盡 真 如 際 已 捨 藏 識 斷 俱 生 
X31n0610_001:0520a04	我執。安住心海。起識浪不生。自心寂靜。住三昧樂。知	我 執 安 住 心 海 起 識 浪 不 生 自 心 寂 靜 住 三 昧 樂 知 
X31n0610_001:0520a05	自心現境界無性。是則前喜見者。乃住三昧樂意生	自 心 現 境 界 無 性 是 則 前 喜 見 者 乃 住 三 昧 樂 意 生 
X31n0610_001:0520a06	身之象也。而彼現一切色身三昧者。乃了唯心境界	身 之 象 也 而 彼 現一切色身 三 昧 者 乃 了 唯 心 境 界 
X31n0610_001:0520a07	之象。證三昧樂之意生身也。此但能受三昧中樂。故	之 象 證 三 昧 樂 之 意 生 身 也 此 但 能 受 三 昧 中 樂 故 
X31n0610_001:0520a08	不能現一切身。二覺法自性性意生身。謂從八地觀	不 能 現 一 切 身 二 覺 法 自 性 性 意 生 身 謂 從 八 地 觀 
X31n0610_001:0520a09	察覺了如幻等法悉無所有。身心得如幻三昧。及餘	察 覺 了 如 幻 等 法 悉 無 所 有 身 心 得 如幻三昧 及 餘 
X31n0610_001:0520a10	三昧門無量相力自在明。如妙華莊嚴。迅疾如意。猶	三 昧 門 無 量 相 力 自 在 明 如 妙 華 莊 嚴 迅 疾 如 意 猶 
X31n0610_001:0520a11	如幻夢水月鏡像。非造所造。如造所造一切色種種	如 幻 夢 水 月 鏡 像 非 造 所 造 如 造 所 造 一 切 色 種 種 
X31n0610_001:0520a12	支分具足莊嚴。隨入一切佛剎大眾。通達自性法故。	支 分 具 足 莊 嚴 隨 入 一 切 佛 剎 大 眾 通 達 自 性 法 故 
X31n0610_001:0520a13	是名覺法自性性意生身。三謂種類俱生無行作意	是 名 覺 法 自 性 性 意 生 身 三 謂 種 類 俱 生 無 行 作 意 
X31n0610_001:0520a14	生身。所謂覺一切佛法。緣自得樂相。是名種類俱生	生 身 所 謂 覺 一切佛法 緣 自 得 樂 相 是 名 種 類 俱 生 
X31n0610_001:0520a15	無行作意生身。由是觀之。而妙音菩薩品。乃示第二	無 行 作 意 生 身 由 是 觀 之 而 妙 音 菩 薩 品 乃 示 第 二 
X31n0610_001:0520a16	覺法自性性意生身之象也。然眉間白毫者。表中道	覺 法 自 性 性 意 生 身 之 象 也 然 眉間白毫 者 表 中 道 
X31n0610_001:0520a17	妙智。乃因心之象也。頂上肉髻。乃無見頂相。無上果	妙 智 乃 因 心 之 象 也 頂 上 肉 髻 乃 無見頂相 無 上 果 
X31n0610_001:0520a18	覺之象也。以八地菩薩證一心真如。進至九地發真	覺 之 象 也 以 八 地 菩 薩 證 一 心 真 如 進 至 九 地 發 真 
X31n0610_001:0520a19	如用。得如幻三昧。現身說法。居法師位。故名妙音。以	如 用 得 如幻三昧 現 身 說 法 居 法 師 位 故 名 妙 音 以 
X31n0610_001:0520a20	真因心契會果覺。故肉髻白毫二光齊放。以入出世	真 因 心 契 會 果 覺 故 肉 髻 白 毫 二 光 齊 放 以 入 出 世 
X31n0610_001:0520a21	間上上無漏界。故光徧照東方百八萬億那由陀恒	間 上 上 無 漏 界 故 光 徧 照 東 方 百 八 萬 億 那 由 陀 恒 
X31n0610_001:0520a22	河沙等諸佛世界。以法報齊證。故名淨光莊嚴。以清	河 沙 等 諸 佛 世 界 以 法 報 齊 證 故 名 淨 光 莊 嚴 以 清 
X31n0610_001:0520a23	淨真因妙契果體。故其國有佛號淨華宿王智。因果	淨 真 因 妙 契 果 體 故 其 國 有 佛 號 淨華宿王智 因 果 
X31n0610_001:0520a24	冥會。則能以一音演無量法。得十無盡句。故此國菩	冥 會 則 能 以 一 音 演 無 量 法 得 十 無 盡 句 故 此 國 菩 
X31n0610_001:0520b01	薩名妙音也。此位得如幻三昧及餘三昧門。故得妙	薩 名 妙 音 也 此 位 得 如幻三昧 及 餘 三 昧 門 故 得 妙 
X31n0610_001:0520b02	幢相三昧等百千萬億恒河沙等諸大三昧也。以果	幢 相 三 昧 等 百 千 萬 億 恒 河 沙 等 諸 大 三 昧 也 以 果 
X31n0610_001:0520b03	地覺為本因心。故釋迦牟尼佛光照其身也。以此位	地 覺 為 本 因 心 故 釋 迦 牟 尼 佛 光 照 其 身 也 以 此 位 
X31n0610_001:0520b04	菩薩。能憶念本願。隨入一切佛剎大眾化。通自性德。	菩 薩 能 憶 念 本 願 隨 入 一 切 佛 剎 大 眾 化 通 自 性 德 
X31n0610_001:0520b05	故願往娑婆見釋迦佛及諸菩薩也。以此地菩薩能	故 願 往 娑 婆 見 釋 迦 佛 及 諸 菩 薩 也 以 此 地 菩 薩 能 
X31n0610_001:0520b06	現無量自在神通。如妙華莊嚴迅疾如意。故不起于	現 無 量 自 在 神 通 如 妙 華 莊 嚴 迅 疾 如 意 故 不 起 于 
X31n0610_001:0520b07	座身不動搖。以三昧力。先於座前。化作八萬四千眾	座 身 不 動 搖 以 三 昧 力 先 於 座 前 化 作 八萬四千 眾 
X31n0610_001:0520b08	寶蓮華也。此菩薩非身現身。猶如幻夢水月鏡像。非	寶 蓮 華 也 此 菩 薩 非 身 現 身 猶 如 幻 夢 水 月 鏡 像 非 
X31n0610_001:0520b09	造所造。如造所造一切色種種支分足具足莊嚴。故	造 所 造 如 造 所 造 一 切 色 種 種 支 分 足 具 足 莊 嚴 故 
X31n0610_001:0520b10	目如廣大青蓮華葉。正使和合百千萬月。其面貌端	目 如 廣 大 青 蓮 華 葉 正 使 和 合 百 千 萬 月 其 面 貌 端 
X31n0610_001:0520b11	正復過於此。身真金色。無量功德莊嚴。威德熾盛。光	正 復 過 於 此 身 真 金 色 無量功德 莊 嚴 威德熾盛 光 
X31n0610_001:0520b12	明照耀。諸相具足。如那羅延堅固之身也。以此地菩	明 照 耀 諸 相 具 足 如 那 羅 延 堅 固 之 身 也 以 此 地 菩 
X31n0610_001:0520b13	薩十方諸佛所有法雲法雨悉能含受。故所師之佛。	薩 十方諸佛 所 有 法 雲 法 雨 悉 能 含 受 故 所 師 之 佛 
X31n0610_001:0520b14	名雲雷音王。以根根塵塵周遍法界。具足法樂。普於	名 雲 雷 音 王 以 根 根 塵 塵 周 遍 法 界 具 足 法 樂 普 於 
