X25n0475_001:0071a03	 金剛鎞序	 金 剛 鎞 序 
X25n0475_001:0078c12	根。以貪瞋癡三。善與不善。皆由此生。今多劫修持。	根 以 貪 瞋 癡 三 善 與 不 善 皆 由 此 生 今 多 劫 修 持 
X25n0475_001:0078c13	久伏三毒。善從此發。故曰種諸善根。是則多佛無	久 伏 三 毒 善 從 此 發 故 曰 種 諸 善 根 是 則 多 佛 無 
X25n0475_001:0078c14	量外緣熏習之力既勝。三毒永沉。內因熏習之勢	量 外 緣 熏 習 之 力 既 勝 三 毒 永 沉 內 因 熏 習 之 勢 
X25n0475_001:0078c15	愈堅。因緣俱勝。此信方生。實信豈易得哉。故彌勒	愈 堅 因 緣 俱 勝 此 信 方 生 實 信 豈 易 得 哉 故 彌 勒 
X25n0475_001:0078c16	云。修戒於過去。及種諸善根。戒具於諸佛。亦說功	云 修 戒 於 過 去 及 種 諸 善 根 戒 具 於 諸 佛 亦 說 功 
X25n0475_001:0078c17	德滿。△二福慧圓具。	德 滿 二 福 慧 圓 具 
X25n0475_001:0078c18	須菩提。如來悉知悉見。是諸眾生得如是無量福德。	須 菩 提 如 來 悉 知 悉 見 是 諸 眾 生 得 如 是 無量福德 
X25n0475_001:0078c19	何以故。是諸眾生。無復我相．人相．眾生相．壽者相。無	何 以 故 是 諸 眾 生 無 復 我 相 人 相 眾 生 相 壽 者 相 無 
X25n0475_001:0078c20	法相。亦無非法相。何以故。是諸眾生若心取相。則為	法 相 亦 無 非 法 相 何 以 故 是 諸 眾 生 若 心 取 相 則 為 
X25n0475_001:0078c21	著我人眾生壽者。若取法相。即著我人眾生壽者。何	著 我 人 眾 生 壽 者 若 取 法 相 即 著 我 人 眾 生 壽 者 何 
X25n0475_001:0078c22	以故。若取非法相。即著我人眾生壽者。	以 故 若 取 非 法 相 即 著 我 人 眾 生 壽 者 
X25n0475_001:0078c23	承上實信固生於戒定。然必久事修持。深種善根	承 上 實 信 固 生 於 戒 定 然 必 久 事 修 持 深 種 善 根 
X25n0475_001:0078c24	而後可能者。正以善根純熟。則福慧圓具。遠離諸	而 後 可 能 者 正 以 善 根 純 熟 則 福 慧 圓 具 遠 離 諸 
X25n0475_001:0079a01	相。得佛知見。始是成就淨信之本耳。若夫一有未	相 得 佛 知 見 始 是 成 就 淨 信 之 本 耳 若 夫 一 有 未 
X25n0475_001:0079a02	空。則諸相紛然。無相之智遂隱。其何能生此離相	空 則 諸 相 紛 然 無 相 之 智 遂 隱 其 何 能 生 此 離 相 
X25n0475_001:0079a03	之實信耶。故彌勒云。彼人依信心。恭敬生實相。如	之 實 信 耶 故 彌 勒 云 彼 人 依 信 心 恭 敬 生 實 相 如 
X25n0475_001:0079a04	是無量謂同上無住布施之福。猶如虗空不可思	是 無 量 謂 同 上 無 住 布 施 之 福 猶 如 虗 空 不 可 思 
X25n0475_001:0079a05	量也。得如是無量者。魏譯云。生如是福德。取如是	量 也 得 如 是 無 量 者 魏 譯 云 生 如 是 福 德 取 如 是 
X25n0475_001:0079a06	福德。生。謂善根信心。正現行時。能為生福之因也。	福 德 生 謂 善 根 信 心 正 現 行 時 能 為 生 福 之 因 也 
X25n0475_001:0079a07	取。謂現行謝滅。熏成種子。蘊於識田。能感取當來	取 謂 現 行 謝 滅 熏 成 種 子 蘊 於 識 田 能 感 取 當 來 
X25n0475_001:0079a08	現行之果報也。生取總是得意。悉知悉見者。知。謂	現 行 之 果 報 也 生 取 總 是 得 意 悉 知 悉 見 者 知 謂 
X25n0475_001:0079a09	知其心。而曰悉者。生心動念無不知也。見。謂見其	知 其 心 而 曰 悉 者 生 心 動 念 無 不 知 也 見 謂 見 其 
X25n0475_001:0079a10	形。而曰悉者。動用施為無不見也。又悉知者。凡夫	形 而 曰 悉 者 動 用 施 為 無 不 見 也 又 悉 知 者 凡 夫 
X25n0475_001:0079a11	比量之知。有所不知。佛於知處全見。乃古鏡現量	比 量 之 知 有 所 不 知 佛 於 知 處 全 見 乃 古 鏡 現 量 
X25n0475_001:0079a12	之知。見盡於知。曰悉知也。又悉見者。凡夫肉眼之	之 知 見 盡 於 知 曰 悉 知 也 又 悉 見 者 凡 夫 肉 眼 之 
X25n0475_001:0079a13	見。有所不見。佛則見處全知。是佛眼圓明之見。知	見 有 所 不 見 佛 則 見 處 全 知 是 佛 眼 圓 明 之 見 知 
X25n0475_001:0079a14	盡於見。曰悉見也。彌勒云。佛不見果知。願智力現	盡 於 見 曰 悉 見 也 彌 勒 云 佛 不 見 果 知 願 智 力 現 
X25n0475_001:0079a15	見。故曰悉知悉見。得如是無量福德也。何以故者。	見 故 曰 悉 知 悉 見 得 如 是 無量福德 也 何 以 故 者 
X25n0475_001:0079a16	徵謂善根固能淨信。福德何便難量。正釋云。以諸	徵 謂 善 根 固 能 淨 信 福 德 何 便 難 量 正 釋 云 以 諸 
X25n0475_001:0079a17	善根成熟眾生。正生信心之時。無我相．以及壽者	善根成熟 眾 生 正 生 信 心 之 時 無 我 相 以 及 壽 者 
X25n0475_001:0079a18	之相。我執既寂。無法相．亦無非法相。法執亦空。諸	之 相 我 執 既 寂 無 法 相 亦 無 非 法 相 法 執 亦 空 諸 
X25n0475_001:0079a19	相既離。智慧即顯。智慧既顯。實信正生。正空正信。	相 既 離 智 慧 即 顯 智 慧 既 顯 實 信 正 生 正 空 正 信 
X25n0475_001:0079a20	全信全空。順性周圓。故福如虗空不可思量也。次	全 信 全 空 順 性 周 圓 故 福 如 虗 空 不 可 思 量 也 次 
X25n0475_001:0079a21	徵云。斯則空我足矣。何為法亦空耶。反釋云。若法	徵 云 斯 則 空 我 足 矣 何 為 法 亦 空 耶 反 釋 云 若 法 
X25n0475_001:0079a22	不空。心必有取。若心取相。即著我等。若取法相。即	不 空 心 必 有 取 若 心 取 相 即 著 我 等 若 取 法 相 即 
X25n0475_001:0079a23	著我等。一取即著。殊無後先。是法存。我必不空。故	著 我 等 一 取 即 著 殊 無 後 先 是 法 存 我 必 不 空 故 
X25n0475_001:0079a24	我法雙空也。後復徵云。取相取法。乃名法執。何故	我 法 雙 空 也 後 復 徵 云 取 相 取 法 乃 名 法 執 何 故 
X25n0475_001:0079b01	便著我耶。乃以細釋粗云。若取非法相。即著我人	便 著 我 耶 乃 以 細 釋 粗 云 若 取 非 法 相 即 著 我 人 
X25n0475_001:0079b02	眾生壽者。意謂。法根我苗。法執既有粗細。則不但	眾 生 壽 者 意 謂 法 根 我 苗 法 執 既 有 粗 細 則 不 但 
X25n0475_001:0079b03	取相取法相之粗。能生我執。即取非法相之細。亦	取 相 取 法 相 之 粗 能 生 我 執 即 取 非 法 相 之 細 亦 
X25n0475_001:0079b04	生我執也。故無我相．無法相．亦無非法相也。問。何	生 我 執 也 故 無 我 相 無 法 相 亦 無 非 法 相 也 問 何 
X25n0475_001:0079b05	名法相等。曰。能取之心。所取之境。心境皆有。名為	名 法 相 等 曰 能 取 之 心 所 取 之 境 心 境 皆 有 名 為 
X25n0475_001:0079b06	法相。能取之心。所取之境。心境皆空。名非法相。曰。	法 相 能 取 之 心 所 取 之 境 心 境 皆 空 名 非 法 相 曰 
X25n0475_001:0079b07	然則又云若心取相者何也。曰。亦可相是空。法相	然 則 又 云 若 心 取 相 者 何 也 曰 亦 可 相 是 空 法 相 
X25n0475_001:0079b08	是有。非法相是非空有。如魏譯開為四相。第一法	是 有 非 法 相 是 非 空 有 如 魏 譯 開 為 四 相 第 一 法 
X25n0475_001:0079b09	相是有。第二非法相是非去其有。第三相是執空	相 是 有 第 二 非 法 相 是 非 去 其 有 第 三 相 是 執 空 
X25n0475_001:0079b10	為相。第四非相是非去其空。什師開合無常。欲人	為 相 第 四 非 相 是 非 去 其 空 什 師 開 合 無 常 欲 人 
X25n0475_001:0079b11	知此意耳。然總是無空有。無非空有。而顯真空妙	知 此 意 耳 然 總 是 無 空 有 無 非 空 有 而 顯 真 空 妙 
X25n0475_001:0079b12	有也。問。據修證則不無。縱登地上。亦未全空我法。	有 也 問 據 修 證 則 不 無 縱 登 地 上 亦 未 全 空 我 法 
X25n0475_001:0079b13	今何言俱無耶。曰。圓頓行人。縱或未盡俱生我法。	今 何 言 俱 無 耶 曰 圓 頓 行 人 縱 或 未 盡 俱 生 我 法 
X25n0475_001:0079b14	亦能圓伏。故義言無耳。問。二乘未斷法執。何以我	亦 能 圓 伏 故 義 言 無 耳 問 二 乘 未 斷 法 執 何 以 我 
X25n0475_001:0079b15	執不生。答。以二乘從初修行。偏斷我執。至無學位。	執 不 生 答 以 二 乘 從 初 修 行 偏 斷 我 執 至 無 學 位 
X25n0475_001:0079b16	粗細盡除。是故雖有法執。不起我執。大乘學者。雙	粗 細 盡 除 是 故 雖 有 法 執 不 起 我 執 大 乘 學 者 雙 
X25n0475_001:0079b17	斷二執。分別並遣。俱生兩存。由是二執。任運而起。	斷 二 執 分 別 並 遣 俱 生 兩 存 由 是 二 執 任 運 而 起 
X25n0475_001:0079b18	故無著云。以我相種子不斷。則有我取。△四結歸	故 無 著 云 以 我 相 種 子 不 斷 則 有 我 取 四 結 歸 
X25n0475_001:0079b19	離相。	離 相 
X25n0475_001:0079b20	是故不應取法。不應取非法。以是義故。如來常說。汝	是 故 不 應 取 法 不 應 取 非 法 以是義故 如 來 常 說 汝 
X25n0475_001:0079b21	等比丘。知我說法。如筏喻者。法尚應捨。何況非法。	等 比 丘 知 我 說 法 如 筏 喻 者 法 尚 應 捨 何 況 非 法 
X25n0475_001:0079b22	夫一取即著。所以不應取法。著於空有之相。不應	夫 一 取 即 著 所 以 不 應 取 法 著 於 空 有 之 相 不 應 
X25n0475_001:0079b23	取非法。著非空有之相。以是義故。如我常說。汝等	取 非 法 著 非 空 有 之 相 以是義故 如 我 常 說 汝 等 
X25n0475_001:0079b24	比丘。知我所說教法。如筏喻者。渡河之時。須用此	比 丘 知 我 所 說 教 法 如 筏 喻 者 渡 河 之 時 須 用 此 
X25n0475_001:0079c01	筏。既登岸已。則捨此筏。而亦復不住於岸。未證之	筏 既 登 岸 已 則 捨 此 筏 而 亦 復 不 住 於 岸 未 證 之 
X25n0475_001:0079c02	時。須用此教。既證智已。則捨此教。而亦復不住於	時 須 用 此 教 既 證 智 已 則 捨 此 教 而 亦 復 不 住 於 
X25n0475_001:0079c03	證。夫實相智法。真實有體。乃名為法。實相之外。餘	證 夫 實 相 智 法 真 實 有 體 乃 名 為 法 實 相 之 外 餘 
X25n0475_001:0079c04	皆魔事。盡名非法。實相智法。無相無得。尚應不住	皆 魔 事 盡 名 非 法 實 相 智 法 無 相 無 得 尚 應 不 住 
X25n0475_001:0079c05	而捨。何況實外。所有非法而不捨耶。故彌勒云。彼	而 捨 何 況 實 外 所 有 非 法 而 不 捨 耶 故 彌 勒 云 彼 
X25n0475_001:0079c06	不住隨順。於法中證智。如人捨船筏。法中義亦然。	不 住 隨 順 於 法 中 證 智 如 人 捨 船 筏 法 中 義 亦 然 
X25n0475_001:0079c07	故知。法無言象。不離言象。離言象而倒惑。執言象	故 知 法 無 言 象 不 離 言 象 離 言 象 而 倒 惑 執 言 象 
X25n0475_001:0079c08	而迷真。不執不離是謂得之。今聞是章句。是所說	而 迷 真 不 執 不 離 是 謂 得 之 今 聞 是 章 句 是 所 說 
X25n0475_001:0079c09	之法也。能生實信。是不取於法。不取非法也。然則	之 法 也 能 生 實 信 是 不 取 於 法 不 取 非 法 也 然 則 
X25n0475_001:0079c10	必由不取。而後可以信生。又必由持戒修福。久種	必 由 不 取 而 後 可 以 信 生 又 必 由 持 戒 修 福 久 種 
X25n0475_001:0079c11	善根。而後可以不取。修持其要矣夫。	善 根 而 後 可 以 不 取 修 持 其 要 矣 夫 
X25n0475_001:0079c12	△三斷無相云何得說疑二。初問答斷疑。二校量	 三 斷 無 相 云 何 得 說 疑 二 初 問 答 斷 疑 二 校 量 
X25n0475_001:0079c13	顯勝。初問答斷疑二。初約疑處為問。二順實理為	顯 勝 初 問 答 斷 疑 二 初 約 疑 處 為 問 二 順 實 理 為 
X25n0475_001:0079c14	酧。初約疑處為問。	酧 初 約 疑 處 為 問 
X25n0475_001:0079c15	須菩提。於意云何。如來得阿耨多羅三藐三菩提耶。	須 菩 提 於意云何 如 來 得阿耨多羅三藐三菩提 耶 
X25n0475_001:0079c16	如來有所說法耶。	如 來 有 所 說 法 耶 
X25n0475_001:0079c17	佛意謂汝聞不可以相見佛。則佛非有為。應無得	佛 意 謂 汝 聞 不 可 以 相 見 佛 則 佛 非 有 為 應 無 得 
X25n0475_001:0079c18	說。將無疑我于樹下是得菩提。于諸會是說法耶。	說 將 無 疑 我 于 樹 下 是 得 菩 提 于 諸 會 是 說 法 耶 
X25n0475_001:0079c19	故即其疑處問云。於意云何。我於菩提樹下得菩	故 即 其 疑 處 問 云 於意云何 我 於 菩提樹下 得 菩 
X25n0475_001:0079c20	提耶。不得菩提耶。於諸會之中是說法耶。是不說	提 耶 不 得 菩 提 耶 於 諸 會 之 中 是 說 法 耶 是 不 說 
X25n0475_001:0079c21	法耶。密自審之。明以告我。不唯自斷疑根。而現前	法 耶 密 自 審 之 明 以 告 我 不 唯 自 斷 疑 根 而 現 前 
X25n0475_001:0079c22	後世亦因此以無惑矣。但於其中。辭雖得否雙兼。	後 世 亦 因 此 以 無 惑 矣 但 於 其 中 辭 雖 得 否 雙 兼 
X25n0475_001:0079c23	意則在於無得。△二順實理為酧二。初略標正意。	意 則 在 於 無 得 二 順 實 理 為 酧 二 初 略 標 正 意 
X25n0475_001:0079c24	二究竟根由。初略標正意。	二 究 竟 根 由 初 略 標 正 意 
X25n0475_001:0080a01	須菩提言。如我解佛所說義。無有定法名阿耨多羅	須 菩 提 言 如 我 解 佛 所 說 義 無 有 定 法 名 阿 耨 多 羅 
X25n0475_001:0080a02	三藐三菩提。亦無有定法。如來可說。	三藐三菩提 亦 無 有 定 法 如 來 可 說 
X25n0475_001:0080a03	空生意謂。佛以果之得否。法之說否為問。如我解	空 生 意 謂 佛 以 果 之 得 否 法 之 說 否 為 問 如 我 解 
X25n0475_001:0080a04	佛所說義。得非自得。得因於果。必有果而後可以	佛 所 說 義 得 非 自 得 得 因 於 果 必 有 果 而 後 可 以 
X25n0475_001:0080a05	言得。先是無一定之法名果。何可得也。說非空說。	言 得 先 是 無 一 定 之 法 名 果 何 可 得 也 說 非 空 說 
X25n0475_001:0080a06	說即是法。必有法而後可以有說。先是無有一定	說 即 是 法 必 有 法 而 後 可 以 有 說 先 是 無 有 一 定 
X25n0475_001:0080a07	之法名法。何可說也。無有定法四字。雖詳下文。而	之 法 名 法 何 可 說 也 無 有 定 法 四 字 雖 詳 下 文 而 
X25n0475_001:0080a08	空生開口之時。已先暗暗指定無為法身之性。不	空 生 開 口 之 時 已 先 暗 暗 指 定 無 為 法 身 之 性 不 
X25n0475_001:0080a09	定於有。不定於空。不定於此。不定於彼。微妙難思。	定 於 有 不 定 於 空 不 定 於 此 不 定 於 彼 微 妙 難 思 
X25n0475_001:0080a10	以斷有取有說之疑矣。故彌勒云。應化非真佛。亦	以 斷 有 取 有 說 之 疑 矣 故 彌 勒 云 應 化 非 真 佛 亦 
X25n0475_001:0080a11	非說法者。天親云。迦文化身不證菩提。亦不說法。	非 說 法 者 天 親 云 迦 文 化 身 不 證 菩 提 亦 不 說 法 
X25n0475_001:0080a12	△二究竟根由。	 二 究 竟 根 由 
X25n0475_001:0080a13	何以故。如來所說法。皆不可取。不可說．非法．非非法。	何 以 故 如 來 所 說 法 皆 不 可 取 不 可 說 非 法 非 非 法 
X25n0475_001:0080a14	所以者何。一切聖賢。皆以無為法而有差別。	所以者何 一 切 聖 賢 皆 以 無 為 法 而有差別 
X25n0475_001:0080a15	上但標無定。此徵其所以不定之故。乃以說取騐	上 但 標 無 定 此 徵 其 所 以 不 定 之 故 乃 以 說 取 騐 
X25n0475_001:0080a16	之。若果可取說。即非不定。今則如來所說之法。皆	之 若 果 可 取 說 即 非 不 定 今 則 如 來 所 說 之 法 皆 
X25n0475_001:0080a17	不可作有取。不可作無取。不可作法說。不可作非	不 可 作 有 取 不 可 作 無 取 不 可 作 法 說 不 可 作 非 
X25n0475_001:0080a18	法說。微妙難言。幽深罔措。如彌勒云。說法不二取。	法 說 微 妙 難 言 幽 深 罔 措 如 彌 勒 云 說 法 不 二 取 
X25n0475_001:0080a19	謂說者不取於法之有。不取於非法之無。聽者亦	謂 說 者 不 取 於 法 之 有 不 取 於 非 法 之 無 聽 者 亦 
X25n0475_001:0080a20	如是也。何可定也。又究其所以不可取說之由者。	如 是 也 何 可 定 也 又 究 其 所 以 不 可 取 說 之 由 者 
X25n0475_001:0080a21	以一切聖賢。皆以無為法而有差別。無為離言。何	以 一 切 聖 賢 皆 以 無 為 法 而有差別 無 為 離 言 何 
X25n0475_001:0080a22	可說也。無為離相。何可取也。如彌勒云。無說離言	可 說 也 無 為 離 相 何 可 取 也 如 彌 勒 云 無 說 離 言 
X25n0475_001:0080a23	相。差別者。三乘聖賢。所證淺深。故曰差別。然皆以	相 差 別 者 三 乘 聖 賢 所 證 淺 深 故 曰 差 別 然 皆 以 
X25n0475_001:0080a24	無為而有差別。則聖人固此無為。賢人亦此無為。	無 為 而有差別 則 聖 人 固 此 無 為 賢 人 亦 此 無 為 
X25n0475_001:0080b01	其何差別之有。譬如眾器所現方圓之空。故曰差	其 何 差 別 之 有 譬 如 眾 器 所 現 方 圓 之 空 故 曰 差 
X25n0475_001:0080b02	別。然皆以虗空而有方圓。則方固此空。圓亦此空。	別 然 皆 以 虗 空 而 有 方 圓 則 方 固 此 空 圓 亦 此 空 
X25n0475_001:0080b03	則亦何差別之有。故自其差別而觀之。則因機有	則 亦 何 差 別 之 有 故 自 其 差 別 而 觀 之 則 因 機 有 
X25n0475_001:0080b04	說。因說有得。不無說證之未。自其皆以無為而有	說 因 說 有 得 不 無 說 證 之 未 自 其 皆 以 無 為 而 有 
X25n0475_001:0080b05	差別觀之。則說固此無為。證亦此無為。則亦何取	差 別 觀 之 則 說 固 此 無 為 證 亦 此 無 為 則 亦 何 取 
X25n0475_001:0080b06	說之有。△二校量顯勝。	說 之 有 二 校 量 顯 勝 
X25n0475_001:0080b07	須菩提。於意云何。若人滿三千大千世界七寶以用	須 菩 提 於意云何 若 人 滿 三千大千世界 七 寶 以 用 
X25n0475_001:0080b08	布施。是人所得福德。寧為多不。須菩提言。甚多。世尊。	布 施 是 人 所 得 福 德 寧 為 多 不 須 菩 提 言 甚 多 世 尊 
X25n0475_001:0080b09	何以故。是福德即非福德性。是故如來說福德多。若	何 以 故 是 福 德 即 非 福 德 性 是 故 如 來 說 福 德 多 若 
X25n0475_001:0080b10	復有人。於此經中受持。乃至四句偈等。為他人說。其	復 有 人 於 此 經 中 受 持 乃 至 四 句 偈 等 為 他 人 說 其 
X25n0475_001:0080b11	福勝彼。何以故。須菩提。一切諸佛。及諸佛阿耨多羅	福 勝 彼 何 以 故 須 菩 提 一切諸佛 及 諸 佛 阿 耨 多 羅 
X25n0475_001:0080b12	三藐三菩提法。皆從此經出。須菩提。所謂佛．法者。即	三藐三菩提 法 皆 從 此 經 出 須 菩 提 所 謂 佛 法 者 即 
X25n0475_001:0080b13	非佛．法。	非 佛 法 
X25n0475_001:0080b14	此較量財法以顯勝。復遣佛法以顯玄也。夫說法	此 較 量 財 法 以 顯 勝 復 遣 佛 法 以 顯 玄 也 夫 說 法 
X25n0475_001:0080b15	未幾。遽較量者。以無住降伏。是實相般若之行。若	未 幾 遽 較 量 者 以 無 住 降 伏 是 實 相 般 若 之 行 若 
X25n0475_001:0080b16	見諸相非相即見如來。是實相般若之理。無有定	見 諸 相 非 相 即 見 如 來 是 實 相 般 若 之 理 無 有 定 
X25n0475_001:0080b17	法名菩提。是實相般若之果。無有定法可說。是實	法 名 菩 提 是 實 相 般 若 之 果 無 有 定 法 可 說 是 實 
X25n0475_001:0080b18	相般若之法。教行理果。四法既備。大旨已彰。故即	相 般 若 之 法 教 行 理 果 四 法 既 備 大 旨 已 彰 故 即 
X25n0475_001:0080b19	較量其宏功。以啟發乎真信耳。是福德即非福德	較 量 其 宏 功 以 啟 發 乎 真 信 耳 是 福 德 即 非 福 德 
X25n0475_001:0080b20	性者。以福德性是勝義空。絕相無為。不可言福與	性 者 以 福 德 性 是 勝 義 空 絕 相 無 為 不 可 言 福 與 
X25n0475_001:0080b21	不福。況可言多。故云即非福德性也。是故如來說	不 福 況 可 言 多 故 云 即 非 福 德 性 也 是 故 如 來 說 
X25n0475_001:0080b22	福德多者。是世俗有。有相有為。可以言福。兼可言	福 德 多 者 是 世 俗 有 有 相 有 為 可 以 言 福 兼 可 言 
X25n0475_001:0080b23	多。故云如來說福德多也。意謂是甚多福德。言不	多 故 云 如 來 說 福 德 多 也 意 謂 是 甚 多 福 德 言 不 
X25n0475_001:0080b24	約勝義空說多。是約世俗有說多耳。持說四句偈	約 勝 義 空 說 多 是 約 世 俗 有 說 多 耳 持 說 四 句 偈 
X25n0475_001:0080c01	者。一句詮一義。四義方成一偈。今上有乃至。則由	者 一 句 詮 一 義 四 義 方 成 一 偈 今 上 有 乃 至 則 由 
X25n0475_001:0080c02	一部一章而至於一偈。下有等字。則由一偈半偈	一 部 一 章 而 至 於 一 偈 下 有 等 字 則 由 一 偈 半 偈 
X25n0475_001:0080c03	而至於一句皆可也。非定以四句為言也。若但取	而 至 於 一 句 皆 可 也 非 定 以 四 句 為 言 也 若 但 取 
X25n0475_001:0080c04	四句為偈。必詮義究竟而后可。如凡所有相。皆是	四 句 為 偈 必 詮 義 究 竟 而 后 可 如 凡 所 有 相 皆 是 
X25n0475_001:0080c05	虗妄。若見諸相非相。即見如來。此為最妙。以第一	虗 妄 若 見 諸 相 非 相 即 見 如 來 此 為 最 妙 以 第 一 
X25n0475_001:0080c06	是有句。第二是無句。第三是亦有亦無句。第四是	是 有 句 第 二 是 無 句 第 三 是 亦 有 亦 無 句 第 四 是 
X25n0475_001:0080c07	非有非無句。文義既備。有是即無之有。無是即有	非有非無 句 文 義 既 備 有 是 即 無 之 有 無 是 即 有 
X25n0475_001:0080c08	之無。雙存即是雙泯。雙泯不異雙存。四過皆離。般	之 無 雙 存 即 是 雙 泯 雙 泯 不 異 雙 存 四 過 皆 離 般 
X25n0475_001:0080c09	若如清涼池。四門皆可入也。一有所闕。則偏枯滲	若 如 清 涼 池 四 門 皆 可 入 也 一 有 所 闕 則 偏 枯 滲 
X25n0475_001:0080c10	漏。四過叢生。般若如大火聚。四門皆不可入也。受	漏 四 過 叢 生 般 若 如大火聚 四 門 皆 不 可 入 也 受 
X25n0475_001:0080c11	持解說。其福勝彼者。寶施但得人天有漏之福。今	持 解 說 其 福 勝 彼 者 寶 施 但 得 人 天 有 漏 之 福 今 
X25n0475_001:0080c12	以般若之法自利利人。得大菩提福慧圓具。無漏	以 般 若 之 法 自 利 利 人 得大菩提 福 慧 圓 具 無 漏 
X25n0475_001:0080c13	清淨。豈止空得有漏之福而已耶。如彌勒云。受持	清 淨 豈 止 空 得 有 漏 之 福 而 已 耶 如 彌 勒 云 受 持 
X25n0475_001:0080c14	法及說。不空於福德。福不趣菩提。二能趣菩提。故	法 及 說 不 空 於 福 德 福 不 趣 菩 提 二 能 趣 菩 提 故 
X25n0475_001:0080c15	勝彼也。然其所以能趣者。佛及阿耨菩提。從此經	勝 彼 也 然 其 所 以 能 趣 者 佛 及 阿耨菩提 從 此 經 
X25n0475_001:0080c16	出。菩提名法身。本無生滅。而以煩惱覆之則隱。今	出 菩 提 名 法 身 本 無 生 滅 而 以 煩 惱 覆 之 則 隱 今 
X25n0475_001:0080c17	以持說之力。妙慧自彰。觀破煩惱。法身顯現。如燈	以 持 說 之 力 妙 慧 自 彰 觀 破 煩 惱 法 身 顯 現 如 燈 
X25n0475_001:0080c18	了物。名為了因。是法從此出也。報化名福身。本無	了 物 名 為 了 因 是 法 從 此 出 也 報 化 名 福 身 本 無 
X25n0475_001:0080c19	所有。萬行乃生。今以持說之行。能感福身。如種得	所 有 萬 行 乃 生 今 以 持 說 之 行 能 感 福 身 如 種 得 
X25n0475_001:0080c20	水土。芽苗自發。乃名生因。是佛從此出也。故彌勒	水 土 芽 苗 自 發 乃 名 生 因 是 佛 從 此 出 也 故 彌 勒 
X25n0475_001:0080c21	云。於實為了因。於餘為生因。然又云所謂佛法即	云 於 實 為 了 因 於 餘 為 生 因 然 又 云 所 謂 佛 法 即 
X25n0475_001:0080c22	非佛法者。猶云所謂佛法最為玄妙。餘人不得。唯	非 佛 法 者 猶 云 所 謂 佛 法 最 為 玄 妙 餘 人 不 得 唯 
X25n0475_001:0080c23	佛能得。能作第一法因。福中殊勝無比者也。故彌	佛 能 得 能 作 第 一 法 因 福 中 殊 勝 無 比 者 也 故 彌 
X25n0475_001:0080c24	勒云。唯獨諸佛法。福成第一體。亦可既云第一即	勒 云 唯 獨 諸 佛 法 福 成 第 一 體 亦 可 既 云 第 一 即 
X25n0475_001:0081a01	圓覺。一切如來妙圓覺心。本無菩提及與涅槃。亦	圓 覺 一 切 如 來 妙 圓 覺 心 本 無 菩 提 及 與 涅 槃 亦 
X25n0475_001:0081a02	無成佛及不成佛義也。	無 成 佛 及 不 成 佛 義 也 
X25n0475_001:0081a03	△四斷聲聞得果是取疑二。初斷三果疑。二斷四	 四 斷 聲 聞 得 果 是 取 疑 二 初 斷 三 果 疑 二 斷 四 
X25n0475_001:0081a04	果疑。初斷三果疑。	果 疑 初 斷 三 果 疑 
X25n0475_001:0081a05	須菩提。於意云何。須陀洹能作是念。我得須陀洹果	須 菩 提 於意云何 須 陀 洹 能 作 是 念 我 得 須陀洹果 
X25n0475_001:0081a06	不。須菩提言。不也。世尊。何以故。須陀洹名為入流。而	不 須 菩 提 言 不 也 世 尊 何 以 故 須 陀 洹 名 為 入 流 而 
X25n0475_001:0081a07	無所入。不入色聲香味觸法。是名須陀洹。須菩提。於	無 所 入 不 入 色聲香味觸 法 是 名 須 陀 洹 須 菩 提 於 
X25n0475_001:0081a08	意云何。斯陀含能作是念。我得斯陀含果不。須菩提	意 云 何 斯 陀 含 能 作 是 念 我 得 斯陀含果 不 須 菩 提 
X25n0475_001:0081a09	言。不也。世尊。何以故。斯陀含名一往來。而實無往來。	言 不 也 世 尊 何 以 故 斯 陀 含 名 一 往 來 而 實 無 往 來 
X25n0475_001:0081a10	是名斯陀含。須菩提。於意云何。阿那含能作是念。我	是 名 斯 陀 含 須 菩 提 於意云何 阿 那 含 能 作 是 念 我 
X25n0475_001:0081a11	得阿那含果不。須菩提言。不也。世尊。何以故。阿那含	得 阿那含果 不 須 菩 提 言 不 也 世 尊 何 以 故 阿 那 含 
X25n0475_001:0081a12	名為不來。而實無不來。是故名阿那含。	名 為 不 來 而 實 無 不 來 是 故 名 阿 那 含 
X25n0475_001:0081a13	四果分二段者。一．均其廣略故。二．前三文相同故。	四 果 分 二 段 者 一 均 其 廣 略 故 二 前 三 文 相 同 故 
X25n0475_001:0081a14	如來意謂汝聞無為不可取說。將無疑聲聞各證	如 來 意 謂 汝 聞 無 為 不 可 取 說 將 無 疑 聲 聞 各 證 
X25n0475_001:0081a15	無為之果。如證而說是取說耶。若正證時能作是	無 為 之 果 如 證 而 說 是 取 說 耶 若 正 證 時 能 作 是 
X25n0475_001:0081a16	念。我得某果。則有我相。乃名為取。汝試一思之。從	念 我 得 某 果 則 有 我 相 乃 名 為 取 汝 試 一 思 之 從 
X25n0475_001:0081a17	初至四。皆能作是念不。空生一一皆云不也。及究	初 至 四 皆 能 作 是 念 不 空 生 一 一 皆 云 不 也 及 究 
X25n0475_001:0081a18	其所以為不者。於初果則曰須陀洹。名為入流。而	其 所 以 為 不 者 於 初 果 則 曰 須 陀 洹 名 為 入 流 而 
