T42n1827_001:0232a03	百論序疏	百 論 序 疏 
T42n1827_001:0236a23	解。躊躇即進退也。標位者下明理謬也。標位	解 躊 躇 即 進 退 也 標 位 者 下 明 理 謬 也 標 位 
T42n1827_001:0236a24	謂總標綱領作起盡也。乖謂與理乖也。迕失	謂 總 標 綱 領 作 起 盡 也 乖 謂 與 理 乖 也 迕 失 
T42n1827_001:0236a25	也。歸致即旨歸理致也。大秦下第二敘旦越	也 歸 致 即 旨 歸 理 致 也 大 秦 下 第 二 敘 旦 越 
T42n1827_001:0236a26	也。大秦處也。司隷者官也。安成侯位也。姚姓	也 大 秦 處 也 司 隷 者 官 也 安 成 侯 位 也 姚 姓 
T42n1827_001:0236a27	也嵩名也。下歎德可知。每撫茲文者。撫執捉	也 嵩 名 也 下 歎 德 可 知 每 撫 茲 文 者 撫 執 捉 
T42n1827_001:0236a28	之辭也。所慨良多者。慨歎也。以文謬理乖所	之 辭 也 所 慨 良 多 者 慨 歎 也 以 文 謬 理 乖 所 
T42n1827_001:0236a29	以傷歎。問姚嵩云何能知其失。答其人俗中	以 傷 歎 問 姚 嵩 云 何 能 知 其 失 答 其 人 俗 中 
T42n1827_001:0236b01	精解義。曾著啟問天子姚興涅槃無名義。興	精 解 義 曾 著 啟 問 天 子 姚 興 涅 槃 無 名 義 興 
T42n1827_001:0236b02	答啟云。夫眾生所以流轉生死者。皆由著欲	答 啟 云 夫 眾 生 所 以 流轉生死 者 皆 由 著 欲 
T42n1827_001:0236b03	故也。若欲止於心則無復生死。與空合其德。	故 也 若 欲 止 於 心 則 無 復 生 死 與 空 合 其 德 
T42n1827_001:0236b04	乃曰涅槃。豈容名數於其間哉。肇公述興涅	乃 曰 涅 槃 豈 容 名 數 於 其 間 哉 肇 公 述 興 涅 
T42n1827_001:0236b05	槃無名義。故作涅槃論有九折十演也。以弘	槃 無 名 義 故 作 涅 槃 論 有 九 折 十 演 也 以 弘 
T42n1827_001:0236b06	始六年歲次壽星者。爾雅云。東方七星。謂角	始 六 年 歲 次 壽 星 者 爾 雅 云 東 方 七 星 謂 角 
T42n1827_001:0236b07	亢兩星星中之長。故云壽星。今歲次之。故以	亢 兩 星 星 中 之 長 故 云 壽 星 今 歲 次 之 故 以 
T42n1827_001:0236b08	為名也。集理味沙門者第三正重翻。理味沙	為 名 也 集 理 味 沙 門 者 第 三 正 重 翻 理 味 沙 
T42n1827_001:0236b09	門即解義之流。凡五百餘人。於草堂寺重翻	門 即 解 義 之 流 凡 五 百 餘 人 於 草 堂 寺 重 翻 
T42n1827_001:0236b10	也。質而不野者。莊周云。言隱榮華故除其文	也 質 而 不 野 者 莊 周 云 言 隱 榮 華 故 除 其 文 
T42n1827_001:0236b11	飾。所以云質。復剪於拙朴故云不野也。簡而	飾 所 以 云 質 復 剪 於 拙 朴 故 云 不 野 也 簡 而 
T42n1827_001:0236b12	必詣者。刪其煩文為簡。狹文必秤理為詣也。	必 詣 者 刪 其 煩 文 為 簡 狹 文 必 秤 理 為 詣 也 
T42n1827_001:0236b13	論凡二十品下第十定品偈少多。文疏已釋。	論 凡 二 十 品 下 第 十 定 品 偈 少 多 文 疏 已 釋 
T42n1827_001:0236b14	依提婆梵本品皆五偈無多少也。而有多少	依 提 婆 梵 本 品 皆 五 偈 無 多 少 也 而 有 多 少 
T42n1827_001:0236b15	者三義。一注人釋有廣略。二翻論人復重增	者 三 義 一 注 人 釋 有 廣 略 二 翻 論 人 復 重 增 
T42n1827_001:0236b16	減。三方言不同。故多少者不定也。有人不解	減 三 方 言 不 同 故 多 少 者 不 定 也 有 人 不 解 
T42n1827_001:0236b17	斯意。遂不用肇公品各五偈之言。蓋是未見	斯 意 遂 不 用 肇 公 品 各 五 偈 之 言 蓋 是 未 見 
T42n1827_001:0236b18	論意耳。破塵品要觀。吉藏息慈之歲已重此	論 意 耳 破 塵 品 要 觀 吉 藏 息 慈 之 歲 已 重 此 
T42n1827_001:0236b19	文。西垂之年翫味彌篤。然十章雖並精巧。但	文 西 垂 之 年 翫 味 彌 篤 然 十 章 雖 並 精 巧 但 
T42n1827_001:0236b20	破塵一品除患偏要。又長安盛弘唯識。亦宜	破 塵 一 品 除 患 偏 要 又 長 安 盛 弘 唯 識 亦 宜 
T42n1827_001:0236b21	辨其同異。故因講次疏而出之。先論於塵然	辨 其 同 異 故 因 講 次 疏 而 出 之 先 論 於 塵 然 
T42n1827_001:0236b22	後辨破。釋塵三師。一外道。二毘曇。三成實。	後 辨 破 釋 塵 三 師 一 外 道 二 毘 曇 三 成 實 
T42n1827_001:0236b23	外道計三塵。一總塵。如外瓶為眼所見。內身	外 道 計 三 塵 一 總 塵 如 外 瓶 為 眼 所 見 內 身 
T42n1827_001:0236b24	亦爾。故云眼見於瓶亦見人也。既為眼所見	亦 爾 故 云 眼 見 於 瓶 亦 見 人 也 既 為 眼 所 見 
T42n1827_001:0236b25	亦為耳所聞。如是一切。二別塵。五塵成瓶今	亦 為 耳 所 聞 如是一切 二 別 塵 五 塵 成 瓶 今 
T42n1827_001:0236b26	見瓶色即名見瓶。見人色亦名見人。眼見既	見 瓶 色 即 名 見 瓶 見 人 色 亦 名 見 人 眼 見 既 
T42n1827_001:0236b27	爾。耳聞例然。三隣虛塵。圓而是常亦為眼所	爾 耳 聞 例 然 三 隣 虛 塵 圓 而 是 常 亦 為 眼 所 
T42n1827_001:0236b28	見。此三攝塵盡矣。毘曇塵凡有二種。一者五	見 此 三 攝 塵 盡 矣 毘 曇 塵 凡 有 二 種 一 者 五 
T42n1827_001:0236b29	塵。二者法塵。五識所取名為五塵。意識所緣	塵 二 者 法 塵 五 識 所 取 名 為 五 塵 意識所緣 
T42n1827_001:0236c01	目為法塵。然過去未來五塵雖為意識所取	目 為 法 塵 然 過去未來 五 塵 雖 為 意 識 所 取 
T42n1827_001:0236c02	亦五塵也。問現在五塵上有生住異滅苦無	亦 五 塵 也 問 現 在 五 塵 上 有 生住異滅 苦 無 
T42n1827_001:0236c03	常等。為是何塵。答屬法塵也。次成實明塵者。	常 等 為 是 何 塵 答 屬 法 塵 也 次 成 實 明 塵 者 
T42n1827_001:0236c04	論師云。法塵有二。一別體法塵。但為意識所	論 師 云 法 塵 有 二 一 別 體 法 塵 但 為 意 識 所 
T42n1827_001:0236c05	得。二同體法塵。即過去未來五塵。以為意識	得 二 同 體 法 塵 即 過去未來 五 塵 以 為 意 識 
T42n1827_001:0236c06	所得復為五識所緣故名同體。次論同異。成	所 得 復 為 五 識 所 緣 故 名 同 體 次 論 同 異 成 
T42n1827_001:0236c07	實明。總瓶是假屬法塵。為想心所得之。識但	實 明 總 瓶 是 假 屬 法 塵 為 想 心 所 得 之 識 但 
T42n1827_001:0236c08	得瓶上青黃實色耳。故與外道異。智度論云。	得 瓶 上 青 黃 實 色 耳 故 與 外 道 異 智 度 論 云 
T42n1827_001:0236c09	九十六術不說意。以難解故。若爾亦應不說	九 十 六 術 不 說 意 以 難 解 故 若 爾 亦 應 不 說 
T42n1827_001:0236c10	法塵。是故見破情品及以此章但說五塵耳。	法 塵 是 故 見 破 情 品 及 以 此 章 但 說 五 塵 耳 
T42n1827_001:0236c11	毘曇明。無有假瓶體用但有其名。名屬行陰	毘 曇 明 無 有 假 瓶 體 用 但 有 其 名 名 屬 行 陰 
T42n1827_001:0236c12	為法塵攝之。次論色塵同異。毘曇明。可見色	為 法 塵 攝 之 次 論 色 塵 同 異 毘 曇 明 可 見 色 
T42n1827_001:0236c13	有二十一。謂青黃長短等。成實明。青黃是實	有 二 十 一 謂 青 黃 長 短 等 成 實 明 青 黃 是 實 
T42n1827_001:0236c14	為眼所見。長短為假屬法塵。想心得之。次隣	為 眼 所 見 長 短 為 假 屬 法 塵 想 心 得 之 次 隣 
T42n1827_001:0236c15	虛塵同異者。外道計。隣虛無十方分圓而是	虛 塵 同 異 者 外 道 計 隣 虛 無 十 方 分 圓 而 是 
T42n1827_001:0236c16	常。非眼所見。故下文云。汝經言微塵非現見。	常 非 眼 所 見 故 下 文 云 汝 經 言 微 塵 非 現 見 
T42n1827_001:0236c17	云何成現見。前云隣虛圓而是常一切現見。	云 何 成 現 見 前 云 隣 虛 圓 而 是 常 一 切 現 見 
T42n1827_001:0236c18	此是外道自秤。後云非現見者。論主徵彼經	此 是 外 道 自 秤 後 云 非 現 見 者 論 主 徵 彼 經 
T42n1827_001:0236c19	明非現見也。毘曇明。亦有隣虛塵無十方分。	明 非 現 見 也 毘 曇 明 亦 有 隣 虛 塵 無 十 方 分 
T42n1827_001:0236c20	具二緣生故是無常。一因緣二增上緣。因緣	具 二 緣 生 故 是 無 常 一 因 緣 二 增 上 緣 因 緣 
T42n1827_001:0236c21	中過去業報得是報因。前後相生是自分因。	中 過 去 業 報 得 是 報 因 前 後 相 生 是 自 分 因 
T42n1827_001:0236c22	四相扶起是共有因。成實師有二釋。一開善	四 相 扶 起 是 共 有 因 成 實 師 有 二 釋 一 開 善 
T42n1827_001:0236c23	師云。隣虛塵就有中折之不盡。故細更復細。	師 云 隣 虛 塵 就 有 中 折 之 不 盡 故 細 更 復 細 
T42n1827_001:0236c24	二莊嚴師。折之則盡而無復十方分。與外道	二 莊 嚴 師 折 之 則 盡 而 無 復 十 方 分 與 外 道 
T42n1827_001:0236c25	異者。彼云。義論十方。在東望則塵居西。在西	異 者 彼 云 義 論 十 方 在 東 望 則 塵 居 西 在 西 
T42n1827_001:0236c26	望則塵為東。亦為四相所切。與毘曇大同。次	望 則 塵 為 東 亦 為 四 相 所 切 與 毘 曇 大 同 次 
T42n1827_001:0236c27	明破者。但破塵想實不破塵。故下文云。愚人	明 破 者 但 破 塵 想 實 不 破 塵 故 下 文 云 愚 人 
T42n1827_001:0236c28	見炎為水。但破水想實無水可破。此想之亦	見 炎 為 水 但 破 水 想 實 無 水 可 破 此 想 之 亦 
T42n1827_001:0236c29	名妄想。以實無外境妄作境想故云妄想。亦	名 妄 想 以 實 無 外 境 妄 作 境 想 故 云 妄 想 亦 
T42n1827_001:0237a01	名無明。以不得正觀明故見有外塵。亦名分	名 無 明 以 不 得 正 觀 明 故 見 有 外 塵 亦 名 分 
T42n1827_001:0237a02	別。實無塵境橫生分別言有塵境。問既是破	別 實 無 塵 境 橫 生 分 別 言 有 塵 境 問 既 是 破 
T42n1827_001:0237a03	想。應名破想品。云何名破塵品耶。答破彼想	想 應 名 破 想 品 云 何 名 破 塵 品 耶 答 破 彼 想 
T42n1827_001:0237a04	謂有塵故言破塵耳。實是破想。是故但除其	謂 有 塵 故 言 破 塵 耳 實 是 破 想 是 故 但 除 其 
T42n1827_001:0237a05	病而不除法。以無法可除故也。問見有外塵	病 而 不 除 法 以 無 法 可 除 故 也 問 見 有 外 塵 
T42n1827_001:0237a06	有何過患。答想謂有塵即是無明。以見有塵	有 何 過 患 答 想 謂 有 塵 即 是 無 明 以 見 有 塵 
T42n1827_001:0237a07	便見塵有淨不淨。故於塵起淨不淨倒。即是	便 見 塵 有 淨 不 淨 故 於 塵 起 淨 不 淨 倒 即 是 
T42n1827_001:0237a08	從無明生於顛倒。以生淨倒是故起貪。生不	從 無 明 生 於 顛 倒 以 生 淨 倒 是 故 起 貪 生 不 
T42n1827_001:0237a09	淨倒即便起瞋。貪瞋因緣是故起業。起業故	淨 倒 即 便 起 瞋 貪 瞋 因 緣 是 故 起 業 起 業 故 
T42n1827_001:0237a10	感二生死苦。名苦集諦。是故由塵有一切過患	感 二 生 死 苦 名 苦 集 諦 是 故 由 塵 有 一 切 過 患 
T42n1827_001:0237a11	也。悟塵本空則無明滅。故不起淨不淨倒則	也 悟 塵 本 空 則 無 明 滅 故 不 起 淨 不 淨 倒 則 
T42n1827_001:0237a12	顛倒滅。淨不淨滅故不起貪瞋。貪瞋無故不	顛 倒 滅 淨 不 淨 滅 故 不 起 貪 瞋 貪 瞋 無 故 不 
T42n1827_001:0237a13	起業苦。便得解脫。名滅道諦。故具得四諦觀。	起 業 苦 便 得 解 脫 名 滅 道 諦 故 具 得 四 諦 觀 
T42n1827_001:0237a14	次明二諦觀者。知塵本無。而凡夫謂有名為	次 明 二 諦 觀 者 知 塵 本 無 而 凡 夫 謂 有 名 為 
T42n1827_001:0237a15	世諦耳。謂有非有名第一義。即二諦觀也。次	世 諦 耳 謂 有 非 有 名 第 一 義 即 二 諦 觀 也 次 
T42n1827_001:0237a16	一諦觀者。了塵想本不生故不苦不集。今無	一 諦 觀 者 了 塵 想 本 不 生 故 不 苦 不 集 今 無 
T42n1827_001:0237a17	所滅故不滅不道。即一實諦也。次無諦觀者。	所 滅 故 不 滅 不 道 即 一 實 諦 也 次 無 諦 觀 者 
T42n1827_001:0237a18	本對於四是故有一。竟不曾四何有一耶。此	本 對 於 四 是 故 有 一 竟 不 曾 四 何 有 一 耶 此 
T42n1827_001:0237a19	是從四諦至二諦。二諦歸一諦歸無諦。次從	是 從 四 諦 至 二 諦 二 諦 歸 一 諦 歸 無 諦 次 從 
T42n1827_001:0237a20	無諦故有一諦。一諦故有二諦。二諦故有四	無 諦 故 有 一 諦 一 諦 故 有 二 諦 二 諦 故 有 四 
T42n1827_001:0237a21	諦。故舒之彌淪法界。卷之泯無蹤迹。此並是	諦 故 舒 之 彌 淪 法 界 卷 之 泯 無 蹤 迹 此 並 是 
T42n1827_001:0237a22	空中種樹虛裏織羅。雖舒而不開。雖合而不	空 中 種 樹 虛 裏 織 羅 雖 舒 而 不 開 雖 合 而 不 
T42n1827_001:0237a23	卷。肇公云。近而不可知者其唯物性乎。言動	卷 肇 公 云 近 而 不 可 知 者 其 唯 物 性 乎 言 動 
T42n1827_001:0237a24	而靜。似去而留。可以神會。不可以事求。次論	而 靜 似 去 而 留 可 以 神 會 不 可 以 事 求 次 論 
T42n1827_001:0237a25	同異。問無塵無識淺深云何。答攝論云。無塵	同 異 問 無 塵 無 識 淺 深 云 何 答 攝 論 云 無 塵 
T42n1827_001:0237a26	淺位無識位深。今明若別約借識破塵。一往	淺 位 無 識 位 深 今 明 若 別 約 借 識 破 塵 一 往 
T42n1827_001:0237a27	階位可得然矣。依百論及眾經論大意。無塵	階 位 可 得 然 矣 依 百 論 及 眾 經 論 大 意 無 塵 
T42n1827_001:0237a28	無識位無淺深。故百論云。但破水想實不破	無 識 位 無 淺 深 故 百 論 云 但 破 水 想 實 不 破 
T42n1827_001:0237a29	水。即是但破塵想實不破塵。以此詳之。塵想	水 即 是 但 破 塵 想 實 不 破 塵 以 此 詳 之 塵 想 
T42n1827_001:0237b01	若無塵即無。塵若無塵想即無。更無異時。又	若 無 塵 即 無 塵 若 無 塵 想 即 無 更 無 異 時 又 
T42n1827_001:0237b02	例如我見及以法見。倒心計有我。我若無倒	例 如 我 見 及 以 法 見 倒 心 計 有 我 我 若 無 倒 
T42n1827_001:0237b03	情即無。倒情無故我亦無。倒心見有諸法。諸	情 即 無 倒 情 無 故 我 亦 無 倒 心 見 有 諸 法 諸 
T42n1827_001:0237b04	法若無倒心即無。倒心無故諸法即無。又例	法 若 無 倒 心 即 無 倒 心 無 故 諸 法 即 無 又 例 
T42n1827_001:0237b05	如眼病見空華。空華無故眼病即無。眼病無	如 眼 病 見 空 華 空 華 無 故 眼 病 即 無 眼 病 無 
T42n1827_001:0237b06	故空華即無。故知更無異時也。二者攝論云。	故 空 華 即 無 故 知 更 無 異 時 也 二 者 攝 論 云 
T42n1827_001:0237b07	塵畢竟無非是世諦。而存有於識。以識為世	塵 畢 竟 無 非 是 世 諦 而 存 有 於 識 以 識 為 世 
T42n1827_001:0237b08	諦。今明此亦一往之言。借識破塵故云塵無	諦 今 明 此 亦 一 往 之 言 借 識 破 塵 故 云 塵 無 
T42n1827_001:0237b09	識有耳。然塵與識凡有二種。一者性塵性識	識 有 耳 然 塵 與 識 凡 有 二 種 一 者 性 塵 性 識 
T42n1827_001:0237b10	世諦並無。二因緣塵識世諦俱有。就本末言	世 諦 並 無 二 因 緣 塵 識 世 諦 俱 有 就 本 末 言 
T42n1827_001:0237b11	之。實由心計塵而心外無塵。以心為本以塵	之 實 由 心 計 塵 而 心 外 無 塵 以 心 為 本 以 塵 
T42n1827_001:0237b12	為末。則明塵無則識有。此是一往之言。然就	為 末 則 明 塵 無 則 識 有 此 是 一 往 之 言 然 就 
T42n1827_001:0237b13	理言之。塵識俱無。約請辨之。塵識俱有也。問	理 言 之 塵 識 俱 無 約 請 辨 之 塵 識 俱 有 也 問 
T42n1827_001:0237b14	攝論云四識義。一似根識。二似塵識。三似識	攝 論 云 四 識 義 一 似 根 識 二 似 塵 識 三 似 識 
T42n1827_001:0237b15	識。四似我識。一切皆是識實無塵。今云何言	識 四 似 我 識 一 切 皆 是 識 實 無 塵 今 云 何 言 
T42n1827_001:0237b16	約理俱無就情俱有耶。答此是借識破塵之	約 理 俱 無 就 情 俱 有 耶 答 此 是 借 識 破 塵 之 
T42n1827_001:0237b17	言耳。但是四識實無別塵。此云識者詺倒想	言 耳 但 是 四 識 實 無 別 塵 此 云 識 者 詺 倒 想 
T42n1827_001:0237b18	為識。想謂有根。想外實無有根。乃至想謂有	為 識 想 謂 有 根 想 外 實 無 有 根 乃 至 想 謂 有 
T42n1827_001:0237b19	識。想外實無有識。然所想既無能想寧有。如	識 想 外 實 無 有 識 然 所 想 既 無 能 想 寧 有 如 
T42n1827_001:0237b20	上釋之。是故於情皆有。望理並無也。問三論	上 釋 之 是 故 於 情 皆 有 望 理 並 無 也 問 三 論 
T42n1827_001:0237b21	不明唯識義。今云何用之。答三論正明此義。	不 明 唯 識 義 今 云 何 用 之 答 三 論 正 明 此 義 
T42n1827_001:0237b22	中論成壞品云。若謂以現見而有生滅者。則	中 論 成 壞 品 云 若 謂 以 現 見 而 有 生 滅 者 則 
T42n1827_001:0237b23	為是癡妄而見有生滅。故知無生滅之境。皆	為 是 癡 妄 而 見 有 生 滅 故 知 無 生 滅 之 境 皆 
T42n1827_001:0237b24	是癡妄謂見之耳。觀顛倒品云。色未與心和	是 癡 妄 謂 見 之 耳 觀 顛 倒 品 云 色 未 與 心 和 
T42n1827_001:0237b25	合時空無所有。當知是心想謂有色耳。心外	合 時 空無所有 當 知 是 心 想 謂 有 色 耳 心 外 
T42n1827_001:0237b26	實無有色。百論破塵如上引之。想謂有水實	實 無 有 色 百 論 破 塵 如 上 引 之 想 謂 有 水 實 
T42n1827_001:0237b27	無水可破。又三論大宗明二於諦。中論釋世	無 水 可 破 又 三 論 大 宗 明 二 於 諦 中 論 釋 世 
T42n1827_001:0237b28	諦云。一切法性空。而世人顛倒分別為有。於	諦 云 一切法性 空 而 世 人 顛 倒 分 別 為 有 於 
T42n1827_001:0237b29	世人是實名為諦。百論破空品亦爾。俗於世	世 人 是 實 名 為 諦 百 論 破 空 品 亦 爾 俗 於 世 
T42n1827_001:0237c01	人為實故秤諦。俗於聖人不實故非諦。當知	人 為 實 故 秤 諦 俗 於 聖 人 不 實 故 非 諦 當 知 
T42n1827_001:0237c02	實無諸法。於情謂有。於情即是橫謂。橫謂即	實 無 諸 法 於 情 謂 有 於 情 即 是 橫 謂 橫 謂 即 
T42n1827_001:0237c03	是識也。問塵識既無淺深。菩薩從何位作無	是 識 也 問 塵 識 既 無 淺 深 菩 薩 從 何 位 作 無 
T42n1827_001:0237c04	塵觀。何位習無識觀。答從初發心至於佛地	塵 觀 何 位 習 無 識 觀 答 從 初 發 心 至 於 佛 地 
T42n1827_001:0237c05	皆作無塵識觀。所以然者。橫論萬法竪辨四	皆 作 無 塵 識 觀 所 以 然 者 橫 論 萬 法 竪 辨 四 
T42n1827_001:0237c06	句皆是想心所見起四句絕百非是名諸法	句 皆 是 想 心 所 見 起 四 句 絕 百 非 是 名 諸 法 
T42n1827_001:0237c07	實相。菩薩從初發心即學實相觀。是故大品	實 相 菩 薩 從 初 發 心 即 學 實 相 觀 是 故 大 品 
T42n1827_001:0237c08	云。菩薩從初發心即學無所得。無所得不得	云 菩 薩 從 初 發 心 即 學 無 所 得 無 所 得 不 得 
T42n1827_001:0237c09	於塵識故名無所得。從初發心信一切法皆	於 塵 識 故 名 無 所 得 從 初 發 心 信 一 切 法 皆 
T42n1827_001:0237c10	是想心所謂。所想既本來畢竟不生。能想即	是 想 心 所 謂 所 想 既 本 來 畢竟不生 能 想 即 
T42n1827_001:0237c11	本來不生。作如此信名為十信。得此悟解觀	本 來 不 生 作 如 此 信 名 為 十 信 得 此 悟 解 觀 
T42n1827_001:0237c12	心位立名為十住。是故經云。入理三昧名為	心 位 立 名 為 十 住 是 故 經 云 入 理 三 昧 名 為 
T42n1827_001:0237c13	十住。依此起行秤為十行。知塵想不生念念	十 住 依 此 起 行 秤 為 十 行 知 塵 想 不 生 念 念 
T42n1827_001:0237c14	常起無無生不向塵想。亦迴塵想之心向無	常 起 無 無 生 不 向 塵 想 亦 迴 塵 想 之 心 向 無 
T42n1827_001:0237c15	塵想名為十迴向。無塵無想觀行現前名為	塵 想 名 為 十 迴 向 無 塵 無 想 觀 行 現 前 名 為 
T42n1827_001:0237c16	十地。塵想結習都淨秤為佛地。問何處云從	十 地 塵 想 結 習 都 淨 秤 為 佛 地 問 何 處 云 從 
T42n1827_001:0237c17	初心至佛地皆無塵想耶。答涅槃經云。發心	初 心 至 佛 地 皆 無 塵 想 耶 答 涅 槃 經 云 發 心 
T42n1827_001:0237c18	畢竟二不別。如是二心先心難。華嚴經云。初	畢 竟 二 不 別 如 是 二 心 先 心 難 華 嚴 經 云 初 
T42n1827_001:0237c19	發心時即是佛故。約觀行明昧不同故有諸	發 心 時 即 是 佛 故 約 觀 行 明 昧 不 同 故 有 諸 
T42n1827_001:0237c20	位差別耳。問塵識位既無淺深。我空法空亦	位 差 別 耳 問 塵 識 位 既 無 淺 深 我 空 法 空 亦 
T42n1827_001:0237c21	無淺深。何故攝論等云十解菩薩得人空。未	無 淺 深 何 故 攝 論 等 云 十 解 菩 薩 得 人 空 未 
T42n1827_001:0237c22	得法空。答須深識此義。我之與法皆是想謂。	得 法 空 答 須 深 識 此 義 我 之 與 法 皆 是 想 謂 
T42n1827_001:0237c23	並秤為塵。於塵內破之自有難易。人塵五情	並 秤 為 塵 於 塵 內 破 之 自 有 難 易 人 塵 五 情 
T42n1827_001:0237c24	取之不得故易除十住得人無我。法塵五情	取 之 不 得 故 易 除 十 住 得 人 無 我 法 塵 五 情 
T42n1827_001:0237c25	取之並得故難破故未得法無我。則與前義	取 之 並 得 故 難 破 故 未 得 法 無 我 則 與 前 義 
T42n1827_001:0237c26	不類。論本始義云。大品云。一切法不生故波	不 類 論 本 始 義 云 大 品 云 一 切 法 不 生 故 波 
T42n1827_001:0237c27	若生。所言一切法本不生者。通而言之。所謂	若 生 所 言 一 切 法 本 不 生 者 通 而 言 之 所 謂 
T42n1827_001:0237c28	之境能謂之心皆本不生。別而言之。實無塵	之 境 能 謂 之 心 皆 本 不 生 別 而 言 之 實 無 塵 
T42n1827_001:0237c29	生想謂言生。今所謂境既本不生。能謂之心	生 想 謂 言 生 今 所 謂 境 既 本 不 生 能 謂 之 心 
T42n1827_001:0238a01	即無生。如所想炎水既本不生。能想之心即	即 無 生 如 所 想 炎 水 既 本 不 生 能 想 之 心 即 
T42n1827_001:0238a02	亦無生。然能謂所謂顛倒既本不生。對此而	亦 無 生 然 能 謂 所 謂 顛 倒 既 本 不 生 對 此 而 
T42n1827_001:0238a03	明波若即是本生。故顛倒本不生波若本生。	明 波 若 即 是 本 生 故 顛 倒 本 不 生 波 若 本 生 
T42n1827_001:0238a04	此二本相對也。於顛倒本見是諸法生。於顛	此 二 本 相 對 也 於 顛 倒 本 見 是 諸 法 生 於 顛 
T42n1827_001:0238a05	倒即波若本不生。此亦二本相對也。約緣今	倒 即 波 若 本 不 生 此 亦 二 本 相 對 也 約 緣 今 
T42n1827_001:0238a06	顛倒生。亦約緣今波若不生。亦就佛今顛倒	顛 倒 生 亦 約 緣 今 波 若 不 生 亦 就 佛 今 顛 倒 
T42n1827_001:0238a07	不生。今波若生。此二今相對也。顛倒本不生	不 生 今 波 若 生 此 二 今 相 對 也 顛 倒 本 不 生 
T42n1827_001:0238a08	於緣今生。波若本生於緣今不生。約佛顛倒	於 緣 今 生 波 若 本 生 於 緣 今 不 生 約 佛 顛 倒 
T42n1827_001:0238a09	本不生今不生。波若本生今生。此文略論本	本 不 生 今 不 生 波 若 本 生 今 生 此 文 略 論 本 
T42n1827_001:0238a10	末。此可釋本有今無偈。及通一切迷悟宜熟	末 此 可 釋 本 有 今 無 偈 及 通 一 切 迷 悟 宜 熟 
T42n1827_001:0238a11	思之。三種畢竟空義。問成實等亦明假實空。	思 之 三 種 畢 竟 空 義 問 成 實 等 亦 明 假 實 空 
T42n1827_001:0238a12	即辨塵空與今何異。答一切佛法明三種無	即 辨 塵 空 與 今 何 異 答 一切佛法 明 三 種 無 
T42n1827_001:0238a13	生畢竟空。一者諸法實相本清淨無塵及想。	生 畢 竟 空 一 者 諸法實相 本 清 淨 無 塵 及 想 
T42n1827_001:0238a14	二者眾生橫謂言有。此謂亦無。如無炎水橫	二 者 眾 生 橫 謂 言 有 此 謂 亦 無 如 無 炎 水 橫 
T42n1827_001:0238a15	謂言有亦無水生。是以六道本來不起。三者	謂 言 有 亦 無 水 生 是 以 六 道 本 來 不 起 三 者 
T42n1827_001:0238a16	十方諸佛隨倒情說有塵亦無塵想法起。如	十方諸佛 隨 倒 情 說 有 塵 亦 無 塵 想 法 起 如 
T42n1827_001:0238a17	隨渴人說有炎水實無水起可用。以為深觀	隨 渴 人 說 有 炎 水 實 無 水 起 可 用 以 為 深 觀 
T42n1827_001:0238a18	行意也。外道之人都不知此三。毘曇但知瓶	行 意 也 外 道 之 人 都 不 知 此 三 毘 曇 但 知 瓶 
T42n1827_001:0238a19	人等塵無亦不了此三無。成實雖知無人法	人 等 塵 無 亦 不 了 此 三 無 成 實 雖 知 無 人 法 
T42n1827_001:0238a20	塵不知三本性無。故與大乘為異也。	塵 不 知 三 本 性 無 故 與 大 乘 為 異 也 
T42n1827_001:0238a21	百論序疏(畢)	百 論 序 疏 畢 
T42n1827_001:0238a24	百論疏卷上	百 論 疏 卷 上 
T42n1827_001:0238a26	釋吉藏撰	釋 吉 藏 撰 
T42n1827_001:0238a27	釋捨罪福品第一	釋 捨 罪 福 品 第 一 
T42n1827_001:0238a28	此論玄義已入大科。今釋品名開為六意。明	此 論 玄 義 已 入 大 科 今 釋 品 名 開 為 六 意 明 
T42n1827_001:0238a29	品偈第一。釋偈義第二。辦多少第三。釋相生	品 偈 第 一 釋 偈 義 第 二 辦 多 少 第 三 釋 相 生 
T42n1827_001:0238b01	第四。釋品名第五。簡捨破第六。此論梵本有	第 四 釋 品 名 第 五 簡 捨 破 第 六 此 論 梵 本 有 
T42n1827_001:0238b02	於百偈。肇師云。後五十偈於此土無益。故闕	於 百 偈 肇 師 云 後 五 十 偈 於 此 土 無 益 故 闕 
T42n1827_001:0238b03	而不傳。依其本名猶稱百也。問今所存者為	而 不 傳 依 其 本 名 猶 稱 百 也 問 今 所 存 者 為 
T42n1827_001:0238b04	是前之五十。為是後之五十。為擇其精要取	是 前 之 五 十 為 是 後 之 五 十 為 擇 其 精 要 取 
T42n1827_001:0238b05	五十耶。答肇公既云後五十偈於此土無益。	五 十 耶 答 肇 公 既 云 後 五 十 偈 於 此 土 無 益 
T42n1827_001:0238b06	故知今之所翻是前五十矣。問前之五十明	故 知 今 之 所 翻 是 前 五 十 矣 問 前 之 五 十 明 
T42n1827_001:0238b07	義為不盡。答始捨罪福終辨破空邪無不破	義 為 不 盡 答 始 捨 罪 福 終 辨 破 空 邪 無 不 破 
T42n1827_001:0238b08	正無不顯。則義無不備也。釋偈義第二。總談	正 無 不 顯 則 義 無 不 備 也 釋 偈 義 第 二 總 談 
