T47n1963_001:0083b03	淨土論序	淨 土 論 序 
T47n1963_001:0088a21	作觀行者。並在前二輩中生。不入下輩中論	作 觀 行 者 並 在 前 二 輩 中 生 不 入 下 輩 中 論 
T47n1963_001:0088a22	也。如遠法師判。是常俗凡夫也。	也 如 遠 法 師 判 是 常 俗 凡 夫 也 
T47n1963_001:0088a23	問曰。淨土之門。凡聖齊往。未知宗意。正是何	問 曰 淨 土 之 門 凡 聖 齊 往 未 知 宗 意 正 是 何 
T47n1963_001:0088a24	人。	人 
T47n1963_001:0088a25	答曰。觀韋提希請及如來答意。唯言為未來	答 曰 觀 韋 提 希 請 及 如 來 答 意 唯 言 為 未 來 
T47n1963_001:0088a26	世一切凡夫。為煩惱賊之所害者。說清淨業	世 一 切 凡 夫 為 煩 惱 賊 之 所 害 者 說 清 淨 業 
T47n1963_001:0088a27	處。勸人往生。不論菩薩。若論菩薩發心。願生	處 勸 人 往 生 不 論 菩 薩 若 論 菩 薩 發 心 願 生 
T47n1963_001:0088a28	惡道。不願生淨土中也。如十解已上菩薩。尚	惡 道 不 願 生 淨 土 中 也 如 十 解 已 上 菩 薩 尚 
T47n1963_001:0088a29	自留惑受生。願生惡道救苦眾生。不願生淨	自 留 惑 受 生 願 生 惡 道 救 苦 眾 生 不 願 生 淨 
T47n1963_001:0088b01	土也。留惑文者。如維摩經云。是有疾菩薩。無	土 也 留 惑 文 者 如 維 摩 經 云 是 有 疾 菩 薩 無 
T47n1963_001:0088b02	所受而受諸受。未具佛法。亦不滅受。而取證	所 受 而 受 諸 受 未 具 佛 法 亦 不 滅 受 而 取 證 
T47n1963_001:0088b03	也。此是菩薩留惑受生文。又地持論。攝大乘	也 此 是 菩 薩 留 惑 受 生 文 又 地 持 論 攝 大 乘 
T47n1963_001:0088b04	論。並有留惑受生文。舉要言之。三乘聖人及	論 並 有 留 惑 受 生 文 舉 要 言 之 三 乘 聖 人 及 
T47n1963_001:0088b05	三乘七方便中人。乃至方便道前。若男若女。	三 乘 七 方 便 中 人 乃 至 方 便 道 前 若 男 若 女 
T47n1963_001:0088b06	無根二根。至於龍鬼八部。但能發菩提心。專	無 根 二 根 至 於 龍 鬼 八 部 但 能 發菩提心 專 
T47n1963_001:0088b07	念阿彌陀佛。厭惡穢剎。欣樂淨土。臨命終時。	念 阿 彌 陀 佛 厭 惡 穢 剎 欣 樂 淨 土 臨命終時 
T47n1963_001:0088b08	正念現前者。皆得往生也。若勇猛精進。觀行	正 念 現 前 者 皆 得 往 生 也 若 勇猛精進 觀 行 
T47n1963_001:0088b09	分明。臨終最後心不亂者。並得上生。乃至臨	分 明 臨 終 最 後 心 不 亂 者 並 得 上 生 乃 至 臨 
T47n1963_001:0088b10	終。最後十念相續。現在前者。得下品下生。此	終 最 後 十 念 相 續 現 在 前 者 得 下 品 下 生 此 
T47n1963_001:0088b11	中菩薩往生自有三輩九品。二乘往生。自有	中 菩 薩 往 生 自 有 三 輩 九 品 二 乘 往 生 自 有 
T47n1963_001:0088b12	上中下。凡夫往生自有上中下。各有九品。但	上 中 下 凡 夫 往 生 自 有 上 中 下 各 有 九 品 但 
T47n1963_001:0088b13	經中不能委細分別。大小凡夫。合論九品。實	經 中 不 能 委 細 分 別 大 小 凡 夫 合 論 九 品 實 
T47n1963_001:0088b14	即有無量差別也。詳四十八願及觀經。論大	即 有 無量差別 也 詳 四 十 八 願 及 觀 經 論 大 
T47n1963_001:0088b15	旨。凡夫是正生人。聖人是兼生人。以凡夫墮	旨 凡 夫 是 正 生 人 聖 人 是 兼 生 人 以 凡 夫 墮 
T47n1963_001:0088b16	惡道故。於穢土中。不能修道發心也。唯凡夫	惡 道 故 於 穢 土 中 不 能 修 道 發 心 也 唯 凡 夫 
T47n1963_001:0088b17	中。謗大乘人。不得往生。以斷善根故。二乘人	中 謗 大 乘 人 不 得 往 生 以 斷 善 根 故 二 乘 人 
T47n1963_001:0088b18	中。愚法學人。不得往生。以不信有十方淨土	中 愚 法 學 人 不 得 往 生 以 不 信 有 十 方 淨 土 
T47n1963_001:0088b19	故。菩薩人中。不發願求生者。不得往生。無愛	故 菩 薩 人 中 不 發 願 求 生 者 不 得 往 生 無 愛 
T47n1963_001:0088b20	樂心故。若二乘無學人。不問愚法不愚法。求	樂 心 故 若 二 乘 無 學 人 不 問 愚 法 不 愚 法 求 
T47n1963_001:0088b21	與不求。皆得往生。以三界穢土中無受生處	與 不 求 皆 得 往 生 以 三 界 穢 土 中 無 受 生 處 
T47n1963_001:0088b22	故也。智度論云。有妙淨土。出過三界。諸阿羅	故 也 智 度 論 云 有 妙 淨 土 出 過 三 界 諸 阿 羅 
T47n1963_001:0088b23	漢當生其中。不論學人也。	漢 當 生 其 中 不 論 學 人 也 
T47n1963_001:0088b24	第三定往生因(修何行業得生淨土)	第 三 定 往 生 因 修 何 行 業 得 生 淨 土 
T47n1963_001:0088b25	問曰。已知。凡聖皆得往生。未知。此等人修何	問 曰 已 知 凡 聖 皆 得 往 生 未 知 此 等 人 修 何 
T47n1963_001:0088b26	行業。而得生乎。	行 業 而 得 生 乎 
T47n1963_001:0088b27	答曰。今依經論。出二種因。一初引經論。廣明	答 曰 今 依 經 論 出 二 種 因 一 初 引 經 論 廣 明 
T47n1963_001:0088b28	其因。二削煩就約。略明其因。初引經論者。如	其 因 二 削 煩 就 約 略 明 其 因 初 引 經 論 者 如 
T47n1963_001:0088b29	無量壽經云。生彼國者。凡有三輩。其上輩者。	無 量 壽 經 云 生 彼 國 者 凡 有 三 輩 其 上 輩 者 
T47n1963_001:0088c01	有三種因。一須發菩提心。二須出家。三須專	有 三 種 因 一 須 發菩提心 二 須 出 家 三 須 專 
T47n1963_001:0088c02	念佛名。兼修餘福。迴向發願即得往生。觀此	念 佛 名 兼 修 餘 福 迴 向 發 願 即 得 往 生 觀 此 
T47n1963_001:0088c03	經意。上品三生者。唯是出家人也。其中輩生	經 意 上 品 三 生 者 唯 是 出 家 人 也 其 中 輩 生 
T47n1963_001:0088c04	者。亦有三種因。一須發菩提心。二須專念佛	者 亦 有 三 種 因 一 須 發菩提心 二 須 專 念 佛 
T47n1963_001:0088c05	名。三須受戒持齋。起塔造像。飲食眾僧。燒香	名 三 須 受 戒 持 齋 起 塔 造 像 飲 食 眾 僧 燒 香 
T47n1963_001:0088c06	散花。燈幡供養。餘如前說。此唯是俗人也。	散 花 燈 幡 供 養 餘 如 前 說 此 唯 是 俗 人 也 
T47n1963_001:0088c07	經云。雖不能捨家行作沙門故也。其下輩者。	經 云 雖 不 能 捨 家 行 作 沙 門 故 也 其 下 輩 者 
T47n1963_001:0088c08	亦有三種因。一須發菩提心。二須專念佛名。	亦 有 三 種 因 一 須 發菩提心 二 須 專 念 佛 名 
T47n1963_001:0088c09	乃至十念。三須聞甚深義信樂不疑(此通道俗。無量	乃 至 十 念 三 須 聞 甚 深 義 信 樂 不 疑 此 通 道 俗 無 量 
T47n1963_001:0088c10	壽經意也)又如無量清淨平等覺經云。欲生無量清	壽 經 意 也 又 如 無 量 清 淨 平 等 覺 經 云 欲 生 無 量 清 
T47n1963_001:0088c11	淨平等寶國中。有其三輩。第一輩者。去妻子	淨 平 等 寶 國 中 有 其 三 輩 第 一 輩 者 去 妻 子 
T47n1963_001:0088c12	斷愛欲。作沙門。不與女人交通。行六波羅蜜。	斷 愛 欲 作 沙 門 不 與 女 人 交 通 行 六波羅蜜 
T47n1963_001:0088c13	齋戒清淨。至心不斷。夢中見佛。則得往生也。	齋 戒 清 淨 至 心 不 斷 夢 中 見 佛 則 得 往 生 也 
T47n1963_001:0088c14	其中輩者。持經受戒。布施飲食沙門。慈心不	其 中 輩 者 持 經 受 戒 布 施 飲 食 沙 門 慈 心 不 
T47n1963_001:0088c15	瞋。幡華供養。一日一夜。不斷絕者。往生其	瞋 幡 華 供 養 一 日 一 夜 不 斷 絕 者 往 生 其 
T47n1963_001:0088c16	土。其下輩者。當斷愛欲慈心不瞋。齋戒清淨。	土 其 下 輩 者 當 斷 愛 欲 慈 心 不 瞋 齋 戒 清 淨 
T47n1963_001:0088c17	一心念佛。十日十夜不斷絕。便得往生(此是無量清淨	一 心 念 佛 十 日 十 夜 不 斷 絕 便 得 往 生 此 是 無 量 清 淨 
T47n1963_001:0088c18	平等覺經。與無量壽經大同也)又如阿彌陀鼓音聲王經云。若	平 等 覺 經 與 無 量 壽 經 大 同 也 又 如 阿 彌 陀 鼓 音 聲 王 經 云 若 
T47n1963_001:0088c19	有受持阿彌陀佛名號。堅固其心。憶念不忘。	有 受 持 阿 彌 陀 佛 名 號 堅 固 其 心 憶 念 不 忘 
T47n1963_001:0088c20	十日十夜。除捨散亂。精懃修集念佛三昧。知	十 日 十 夜 除 捨 散 亂 精 懃 修 集 念佛三昧 知 
T47n1963_001:0088c21	彼如來常住安樂世界。相續憶念。勿令斷絕。	彼 如 來 常 住 安樂世界 相 續 憶 念 勿 令 斷 絕 
T47n1963_001:0088c22	受持讀誦此鼓音聲王經。十日十夜。六時專	受持讀誦 此 鼓 音 聲 王 經 十 日 十 夜 六 時 專 
T47n1963_001:0088c23	念。五體投地。敬禮彼佛。念念不絕。十日之	念 五體投地 敬 禮 彼 佛 念 念 不 絕 十 日 之 
T47n1963_001:0088c24	中。必見彼佛。唯除重障(此是鼓音聲王經。此明現在未死時則得見佛也)	中 必 見 彼 佛 唯 除 重 障 此 是 鼓 音 聲 王 經 此 明 現 在 未 死 時 則 得 見 佛 也 
T47n1963_001:0088c25	又如觀經說。一須三福清淨業。二須十六觀。	又 如 觀 經 說 一 須 三 福 清 淨 業 二 須 十 六 觀 
T47n1963_001:0088c26	此是觀經中因。廣不可具引。且總舉耳也。	此 是 觀 經 中 因 廣 不 可 具 引 且 總 舉 耳 也 
T47n1963_001:0088c27	又如小阿彌陀經說。若善男子善女人。聞說	又 如 小 阿 彌 陀 經 說 若 善 男 子 善 女 人 聞 說 
T47n1963_001:0088c28	阿彌陀佛。執持名號。若一日乃至七日。念阿	阿 彌 陀 佛 執 持 名 號 若 一 日 乃至七日 念 阿 
T47n1963_001:0088c29	彌陀佛。一心不亂。其人臨命終時。阿彌陀佛	彌 陀 佛 一心不亂 其 人 臨命終時 阿 彌 陀 佛 
T47n1963_001:0089a01	與諸聖眾。現其人前。是人終時。心不顛倒。即	與 諸 聖 眾 現其人前 是 人 終 時 心 不 顛 倒 即 
T47n1963_001:0089a02	得往生(此是小阿彌陀經。七日念佛即得往生也)又如大集經說。佛	得 往 生 此 是 小 阿 彌 陀 經 七 日 念 佛 即 得 往 生 也 又 如 大 集 經 說 佛 
T47n1963_001:0089a03	告賢護。云何名現前三昧。若有比丘比丘尼	告 賢 護 云 何 名 現 前 三 昧 若 有 比 丘 比 丘 尼 
T47n1963_001:0089a04	優婆塞優婆夷。持戒清淨。獨處空閑。隨何方	優 婆 塞 優 婆 夷 持 戒 清 淨 獨 處 空 閑 隨 何 方 
T47n1963_001:0089a05	面。若聞西方阿彌陀佛。是人聞已。作如是念。	面 若 聞 西 方 阿 彌 陀 佛 是 人 聞 已 作如是念 
T47n1963_001:0089a06	如我所聞。阿彌陀佛。今在西方。為諸菩薩說	如 我 所 聞 阿 彌 陀 佛 今 在 西 方 為 諸 菩 薩 說 
T47n1963_001:0089a07	法。是人依所聞故。繫念思惟。觀察不已。了了	法 是 人 依 所 聞 故 繫念思惟 觀 察 不 已 了 了 
T47n1963_001:0089a08	分明。終獲見彼阿彌陀佛。譬如若男若女。於	分 明 終 獲 見 彼 阿 彌 陀 佛 譬 如 若 男 若 女 於 
T47n1963_001:0089a09	其夢中見種種事。所謂金銀珍寶。是人夢中	其 夢 中 見 種 種 事 所 謂 金 銀 珍 寶 是 人 夢 中 
T47n1963_001:0089a10	所見。或違或順或憂或喜。是人寤已為他廣	所 見 或 違 或 順 或 憂 或 喜 是 人 寤 已 為 他 廣 
T47n1963_001:0089a11	說。追憶夢中。便生憂喜。如是賢護。彼善男子	說 追 憶 夢 中 便 生 憂 喜 如 是 賢 護 彼 善 男 子 
T47n1963_001:0089a12	善女人。想彼阿彌陀佛。如是相好。如是威儀。	善 女 人 想 彼 阿 彌 陀 佛 如 是 相 好 如 是 威 儀 
T47n1963_001:0089a13	如是大眾。如是說法。繫念思惟。或一日。或一	如 是 大 眾 如 是 說 法 繫念思惟 或 一 日 或 一 
T47n1963_001:0089a14	夜。具足念故。是人必覩阿彌陀佛。若於晝	夜 具 足 念 故 是 人 必 覩 阿 彌 陀 佛 若 於 晝 
T47n1963_001:0089a15	時不能見者。於睡夢中。阿彌陀佛必當現也	時 不 能 見 者 於 睡 夢 中 阿 彌 陀 佛 必 當 現 也 
T47n1963_001:0089a16	(此是大集賢護菩薩經。此經中教人想佛必得見也)又如往生論說。修五念	 此 是 大 集 賢 護 菩 薩 經 此 經 中 教 人 想 佛 必 得 見 也 又 如 往 生 論 說 修 五 念 
T47n1963_001:0089a17	門。即得往生。何等五念。一者禮拜。二者讚	門 即 得 往 生 何 等 五 念 一 者 禮 拜 二 者 讚 
T47n1963_001:0089a18	歎。三者作願。四者觀察。五者迴向(此是往生論中。教人修	歎 三 者 作 願 四 者 觀 察 五 者 迴 向 此 是 往 生 論 中 教 人 修 
T47n1963_001:0089a19	行五念門即得往生。是天親菩薩造也)。又如大乘起信說。復次眾生。	行 五 念 門 即 得 往 生 是 天 親 菩 薩 造 也 又 如 大 乘 起 信 說 復 次 眾 生 
T47n1963_001:0089a20	初學是法。其心怯弱。懼畏信心。難可成就。意	初 學 是 法 其 心 怯 弱 懼 畏 信 心 難 可 成 就 意 
T47n1963_001:0089a21	欲退者。如來有勝方便。攝護信心。謂以專心	欲 退 者 如 來 有 勝 方 便 攝 護 信 心 謂 以 專 心 
T47n1963_001:0089a22	念佛因緣。隨願得往生他方佛土。如修多羅	念 佛 因 緣 隨 願 得 往 生 他 方 佛 土 如 修 多 羅 
T47n1963_001:0089a23	說。若人專念西方阿彌陀佛。所作善根。迴向	說 若 人 專 念 西 方 阿 彌 陀 佛 所 作 善 根 迴 向 
T47n1963_001:0089a24	願求生彼世界。即得往生(此是起信論。馬鳴菩薩造此論。教人念佛。發願	願 求 生 彼 世 界 即 得 往 生 此 是 起 信 論 馬 鳴 菩 薩 造 此 論 教 人 念 佛 發 願 
T47n1963_001:0089a25	廻向。即得往生也)又如大乘十住毘婆娑。龍樹菩薩教	廻 向 即 得 往 生 也 又 如 大 乘 十 住 毘 婆 娑 龍 樹 菩 薩 教 
T47n1963_001:0089a26	人禮讚阿彌陀佛。即得往生(此禮讚文。第五引聖教。門中具顯。此略	人 禮 讚 阿 彌 陀 佛 即 得 往 生 此 禮 讚 文 第 五 引 聖 教 門 中 具 顯 此 略 
T47n1963_001:0089a27	引三五。初門意也)。	引 三 五 初 門 意 也 
T47n1963_001:0089a28	問曰。如上所引經論。其文浩博。難以究尋。	問 曰 如 上 所 引 經 論 其 文 浩 博 難 以 究 尋 
T47n1963_001:0089a29	今請撮其機要。略明其因。令諸行者易修易	今 請 撮 其 機 要 略 明 其 因 令 諸 行 者 易 修 易 
T47n1963_001:0089b01	學。	學 
T47n1963_001:0089b02	答曰。實然。如上所引經論。對機設教。難可究	答 曰 實 然 如 上 所 引 經 論 對 機 設 教 難 可 究 
T47n1963_001:0089b03	尋。今削煩就約。略出其因。自在二種。一是	尋 今 削 煩 就 約 略 出 其 因 自 在 二 種 一 是 
T47n1963_001:0089b04	通因。二是別因。通因者。如無量壽經中三輩	通 因 二 是 別 因 通 因 者 如 無 量 壽 經 中 三 輩 
T47n1963_001:0089b05	生人。皆須發菩提心。及觀經中。具修三福淨	生 人 皆 須 發菩提心 及 觀 經 中 具 修 三 福 淨 
T47n1963_001:0089b06	業。始得往生。此等並是通因。通因有二種。一	業 始 得 往 生 此 等 並 是 通 因 通 因 有 二 種 一 
T47n1963_001:0089b07	通感十方淨土。二通感三世淨土。故觀經云。	通 感 十 方 淨 土 二 通 感 三 世 淨 土 故 觀 經 云 
T47n1963_001:0089b08	故此三種業。過去未來現在。三世諸佛淨業	故 此 三 種 業 過去未來現在 三世諸佛 淨 業 
T47n1963_001:0089b09	正因也。別因者乃有無量。要唯有二。一是所	正 因 也 別 因 者 乃 有 無 量 要 唯 有 二 一 是 所 
T47n1963_001:0089b10	求。二是能求。所求者復有二種。一須別舉一	求 二 是 能 求 所 求 者 復 有 二 種 一 須 別 舉 一 
T47n1963_001:0089b11	方標心有在。如別標西方極樂世界求彼往	方 標 心 有 在 如 別 標 西方極樂 世 界 求 彼 往 
T47n1963_001:0089b12	生。即是器世間淨也。二別念一佛。以為師範。	生 即 是 器 世 間 淨 也 二 別 念 一 佛 以 為 師 範 
T47n1963_001:0089b13	求為弟子。親承供養。即是眾生世間淨也。二	求 為 弟 子 親 承 供 養 即 是 眾 生 世 間 淨 也 二 
T47n1963_001:0089b14	能求者。正是其因。復有六種。一須別念阿彌	能 求 者 正 是 其 因 復 有 六 種 一 須 別 念 阿 彌 
T47n1963_001:0089b15	陀佛名號。二須禮拜。三須讚歎。四須發願。五	陀 佛 名 號 二 須 禮 拜 三 須 讚 歎 四 須 發 願 五 
T47n1963_001:0089b16	須觀察。六須迴向。念佛者復有二種。一是心	須 觀 察 六 須 迴 向 念 佛 者 復 有 二 種 一 是 心 
T47n1963_001:0089b17	念。二是口念。心念者。復有二種。一念佛色	念 二 是 口 念 心 念 者 復 有 二 種 一 念 佛 色 
T47n1963_001:0089b18	身。謂阿彌陀佛身。有八萬四千相。相有八萬	身 謂 阿 彌 陀 佛 身 有 八萬四千 相 相 有 八 萬 
T47n1963_001:0089b19	四千好。好有八萬四千光明等。二念佛智身。	四 千 好 好 有 八萬四千 光 明 等 二 念 佛 智 身 
T47n1963_001:0089b20	謂阿彌陀佛。有五分法身大慈大悲力無畏	謂 阿 彌 陀 佛 有 五分法身 大慈大悲 力 無 畏 
T47n1963_001:0089b21	等也。二口念者。若心無力。須將口來扶。將口	等 也 二 口 念 者 若 心 無 力 須 將 口 來 扶 將 口 
T47n1963_001:0089b22	引心。令不散亂。如經說。若人念阿彌陀佛。得	引 心 令 不 散 亂 如 經 說 若 人 念 阿 彌 陀 佛 得 
T47n1963_001:0089b23	百萬遍已去。決定得生極樂世界。綽禪師撿	百 萬 遍 已 去 決 定 得 生 極樂世界 綽 禪 師 撿 
T47n1963_001:0089b24	得此經。若能七日專心念佛。即得百萬遍也。	得 此 經 若 能 七 日 專 心 念 佛 即 得 百 萬 遍 也 
T47n1963_001:0089b25	由此義故。經中多噵七日念佛也。二禮拜者。	由 此 義 故 經 中 多 噵 七 日 念 佛 也 二 禮 拜 者 
T47n1963_001:0089b26	須正面西方。想阿彌陀佛如對目前。嚴持香	須 正 面 西 方 想 阿 彌 陀 佛 如 對 目 前 嚴 持 香 
T47n1963_001:0089b27	花。口稱佛名。五體投地。再三扣頭。願生彼	花 口 稱 佛 名 五體投地 再 三 扣 頭 願 生 彼 
T47n1963_001:0089b28	土。可誦取龍樹菩薩十二禮。謂稽首天人所	土 可 誦 取 龍 樹 菩 薩 十 二 禮 謂 稽 首 天 人 所 
T47n1963_001:0089b29	恭敬。阿彌陀佛仙兩足尊。在彼微妙安樂	恭 敬 阿 彌 陀 佛 仙 兩 足 尊 在 彼 微 妙 安 樂 
T47n1963_001:0089c01	國。無量佛子眾圍繞等。此是禪那三藏別譯	國 無 量 佛 子 眾 圍 繞 等 此 是 禪 那 三 藏 別 譯 
T47n1963_001:0089c02	出也。三讚歎者。須別讚阿彌陀佛。或色或心。	出 也 三 讚 歎 者 須 別 讚 阿 彌 陀 佛 或 色 或 心 
T47n1963_001:0089c03	或依報或正報。或立或坐。直視西方。如對目	或 依 報 或 正 報 或 立 或 坐 直 視 西 方 如 對 目 
T47n1963_001:0089c04	前。一心讚歎。願生淨土。可誦取大乘十住毘	前 一 心 讚 歎 願 生 淨 土 可 誦 取 大 乘 十 住 毘 
T47n1963_001:0089c05	婆娑中。龍樹菩薩偈頌。及往生論中讚文也。	婆 娑 中 龍 樹 菩 薩 偈 頌 及 往 生 論 中 讚 文 也 
T47n1963_001:0089c06	四發願者。須別發願求生極樂。或願自身往	四 發 願 者 須 別 發 願 求 生 極 樂 或 願 自 身 往 
T47n1963_001:0089c07	生。或願眾生往生。或願釋迦遣送。或願彌陀	生 或 願 眾 生 往 生 或 願 釋 迦 遣 送 或 願 彌 陀 
T47n1963_001:0089c08	來迎。或願常遊淨土。或願永離胎形。或願臨	來 迎 或 願 常 遊 淨 土 或 願 永 離 胎 形 或 願 臨 
T47n1963_001:0089c09	終安隱。或願正念現前。如是種種隨心發願。	終 安 隱 或 願 正 念 現 前 如 是 種 種 隨 心 發 願 
T47n1963_001:0089c10	如寶性論偈曰。依此諸功德。願於命終時。得	如 寶 性 論 偈 曰 依 此 諸 功 德 願 於 命 終 時 得 
T47n1963_001:0089c11	見彌陀佛無邊功德身。我及餘信者。既見彼	見 彌 陀 佛 無 邊 功 德 身 我 及 餘 信 者 既 見 彼 
T47n1963_001:0089c12	佛已。願得離垢眼。證無上菩提也。五觀察	佛 已 願 得 離 垢 眼 證 無上菩提 也 五 觀 察 
T47n1963_001:0089c13	者。須別標西方依正兩報。種種觀察。如觀經	者 須 別 標 西 方 依 正 兩 報 種 種 觀 察 如 觀 經 
T47n1963_001:0089c14	十六觀中。前七是依報。後九是正報。又如往	十 六 觀 中 前 七 是 依 報 後 九 是 正 報 又 如 往 
T47n1963_001:0089c15	生論。依報有十七種莊嚴事。正報中。佛有八	生 論 依 報 有 十 七 種 莊 嚴 事 正 報 中 佛 有 八 
T47n1963_001:0089c16	種莊嚴事。菩薩有四種莊嚴事。於此等中。一	種 莊 嚴 事 菩 薩 有 四 種 莊 嚴 事 於 此 等 中 一 
T47n1963_001:0089c17	一觀察。隨得一觀成就。定得往生也。六迴向	一 觀 察 隨 得 一 觀 成 就 定 得 往 生 也 六 迴 向 
T47n1963_001:0089c18	者。此中有二。一將己功德迴向。與眾生同生	者 此 中 有 二 一 將 己 功 德 迴 向 與 眾 生 同 生 
T47n1963_001:0089c19	淨土。二將已無始已來所有功德。及一生已	淨 土 二 將 已 無始已來 所 有 功 德 及 一 生 已 
T47n1963_001:0089c20	來所有功德。若多若少。若福若智。總願迴	來 所 有 功 德 若 多 若 少 若 福 若 智 總 願 迴 
T47n1963_001:0089c21	向。求生極樂也。	向 求 生 極 樂 也 
T47n1963_001:0089c22	問曰。如上所明通別二因。難具造修。凡夫智	問 曰 如 上 所 明 通 別 二 因 難 具 造 修 凡 夫 智 
T47n1963_001:0089c23	淺力薄。恐心生絕分。今願撮其樞要。梗概而	淺 力 薄 恐 心 生 絕 分 今 願 撮 其 樞 要 梗 概 而 
T47n1963_001:0089c24	說。	說 
T47n1963_001:0089c25	答曰。上明通別二因。備上根者。若就中下之	答 曰 上 明 通 別 二 因 備 上 根 者 若 就 中 下 之 
T47n1963_001:0089c26	人。要唯有五。一先須懺悔。無始已來。障道惡	人 要 唯 有 五 一 先 須 懺 悔 無始已來 障 道 惡 
T47n1963_001:0089c27	業。恐與淨土。作留難也。如方等經佛名經中	業 恐 與 淨 土 作 留 難 也 如 方 等 經 佛 名 經 中 
T47n1963_001:0089c28	所說也。二須發菩提心。若不發菩提心。直自	所 說 也 二 須 發菩提心 若 不 發菩提心 直 自 
T47n1963_001:0089c29	避苦逐樂。恐不得往生也。菩提心者。略有三	避 苦 逐 樂 恐 不 得 往 生 也 菩 提 心 者 略 有 三 
T47n1963_001:0090a01	種。一斷一切惡心。二修一切善心。三化度一	種 一 斷 一 切 惡 心 二 修 一 切 善 心 三 化 度 一 
T47n1963_001:0090a02	切眾生心也(此依無量壽經。三輩往生。並云發菩提心也)三者須專念	切 眾 生 心 也 此 依 無 量 壽 經 三 輩 往 生 並 云 發菩提心 也 三 者 須 專 念 
T47n1963_001:0090a03	阿彌陀佛名號。須別莊嚴一道場。燒香散花	阿 彌 陀 佛 名 號 須 別 莊 嚴 一 道 場 燒 香 散 花 
T47n1963_001:0090a04	幡燈具足。請一阿彌陀佛。安道場內。像面	幡 燈 具 足 請 一 阿 彌 陀 佛 安 道 場 內 像 面 
T47n1963_001:0090a05	向東。人面向西。或七日(小阿彌陀經中明七日)或十日(鼓音聲王	向 東 人 面 向 西 或 七 日 小 阿 彌 陀 經 中 明 七 日 或 十 日 鼓 音 聲 王 
T47n1963_001:0090a06	經清淨平等覺經明十日)咸省睡眠。除去散亂。唯除大小便	經 清 淨 平 等 覺 經 明 十 日 咸 省 睡 眠 除 去 散 亂 唯 除 大 小 便 
T47n1963_001:0090a07	利及與食時。一心專念。悶即立念。不須禮拜	利 及 與 食 時 一 心 專 念 悶 即 立 念 不 須 禮 拜 
T47n1963_001:0090a08	旋遶。但唯念佛七日滿。出道場後。行住坐臥。	旋 遶 但 唯 念 佛 七 日 滿 出 道 場 後 行住坐臥 
T47n1963_001:0090a09	閑時即念。常念佛名。有三種益。一由常念	閑 時 即 念 常 念 佛 名 有 三 種 益 一 由 常 念 
T47n1963_001:0090a10	故。諸惡覺觀。畢竟不生。亦得消於業障。二者	故 諸 惡 覺 觀 畢竟不生 亦 得 消 於 業 障 二 者 
T47n1963_001:0090a11	由常念故。善根增長。亦得種於見佛因緣。三	由 常 念 故 善 根 增 長 亦 得 種 於 見 佛 因 緣 三 
T47n1963_001:0090a12	者由常念故。熏習熟利。臨命終時。正念現前	者 由 常 念 故 熏 習 熟 利 臨命終時 正 念 現 前 
T47n1963_001:0090a13	也。四者須總相觀察極樂世界。如是地。如是	也 四 者 須 總 相 觀 察 極樂世界 如 是 地 如 是 
T47n1963_001:0090a14	池。如是樓閣。如是林樹。阿彌陀佛。如是花坐。	池 如 是 樓 閣 如 是 林 樹 阿 彌 陀 佛 如 是 花 坐 
T47n1963_001:0090a15	如是相好。如是徒眾。如是說法也(此是大集賢護經中教化眾生)	如 是 相 好 如 是 徒 眾 如 是 說 法 也 此 是 大 集 賢 護 經 中 教 化 眾 生 
T47n1963_001:0090a16	如是總觀。定得往生。由三界唯心故也。五者	如 是 總 觀 定 得 往 生 由 三界唯心 故 也 五 者 
T47n1963_001:0090a17	所作功德。若過去若今生。並願迴向生安樂	所 作 功 德 若 過 去 若 今 生 並 願 迴 向 生 安 樂 
T47n1963_001:0090a18	國。若能具前五種行者。必得往生。幸勿疑也。	國 若 能 具 前 五 種 行 者 必 得 往 生 幸 勿 疑 也 
T47n1963_001:0090a19	如法華經云。我今為汝保任此事。終不虛也。	如 法 華 經 云 我 今 為 汝 保 任 此 事 終 不 虛 也 
T47n1963_001:0090a20	余亦如是。誓能保任終不虛也。	余 亦 如 是 誓 能 保 任 終 不 虛 也 
T47n1963_001:0090a21	淨土論卷上	淨 土 論 卷 上 
T47n1963_002:0090a24	淨土論卷中	淨 土 論 卷 中 
T47n1963_002:0090a26	帝京弘法寺釋迦才撰	帝 京 弘 法 寺 釋 迦 才 撰 
T47n1963_002:0090a27	第四出道理(依何道理得生淨土二問答分別釋妨難)	第 四 出 道 理 依 何 道 理 得 生 淨 土 二 問 答 分 別 釋 妨 難 
T47n1963_002:0090a28	問曰。夫業行紛綸。凡夫莫識其緒。苦樂差別。	問 曰 夫 業 行 紛 綸 凡 夫 莫 識 其 緒 苦 樂 差 別 
T47n1963_002:0090a29	二乘未達其源。在世則業分六趣。出世則道	二 乘 未 達 其 源 在 世 則 業 分 六 趣 出 世 則 道 
T47n1963_002:0090b01	別三乘。據理則萬法同規。就教則有了不了	別 三 乘 據 理 則 萬 法 同 規 就 教 則 有 了 不 了 
T47n1963_002:0090b02	說。今西方淨土者。乃是法藏弘誓所剋。法王	說 今 西方淨土 者 乃 是 法 藏 弘 誓 所 剋 法 王 
