T34n1725_001:0870c07	法華宗要	法 華 宗 要 
T34n1725_001:0872c21	若言佛門人門。則門非佛人。若言板門竹門。	若 言 佛 門 人 門 則 門 非 佛 人 若 言 板 門 竹 門 
T34n1725_001:0872c22	則門是板竹。今三乘教名方便門者。同板竹	則 門 是 板 竹 今 三 乘 教 名 方 便 門 者 同 板 竹 
T34n1725_001:0872c23	門。門即方便。是故名為方便門也。開方便門。	門 門 即 方 便 是 故 名 為 方 便 門 也 開 方 便 門 
T34n1725_001:0872c24	方便有其二義。若望出義說三乘時。開而不	方 便 有 其 二 義 若 望 出 義 說 三 乘 時 開 而 不 
T34n1725_001:0872c25	閉。望其入義說三之時。閉而不開。雖出三界	閉 望 其 入 義 說 三 之 時 閉 而 不 開 雖 出 三 界 
T34n1725_001:0872c26	未入一乘故。今說一乘教言。三是方便。方開	未 入 一 乘 故 今 說 一 乘 教 言 三 是 方 便 方 開 
T34n1725_001:0872c27	方便門令入一乘故。如下文言。當知諸佛方	方 便 門 令 入 一 乘 故 如 下 文 言 當 知 諸 佛 方 
T34n1725_001:0872c28	便力故。於一佛乘分別說三。此言正開方便	便 力 故 於 一 佛 乘 分 別 說 三 此 言 正 開 方 便 
T34n1725_001:0872c29	之門。諸餘言語例此可知。次明示用。於中亦	之 門 諸 餘 言 語 例 此 可 知 次 明 示 用 於 中 亦 
T34n1725_001:0873a01	二。先明所示。次明能示。所示之真實相。謂如	二 先 明 所 示 次 明 能 示 所 示 之 真 實 相 謂 如 
T34n1725_001:0873a02	前說。一乘人法。法相常住。道理究竟。天魔外	前 說 一 乘 人 法 法 相 常 住 道 理 究 竟 天 魔 外 
T34n1725_001:0873a03	道所不能破。三世諸佛所不能易。以是義故	道 所 不 能 破 三世諸佛 所 不 能 易 以是義故 
T34n1725_001:0873a04	名真實相。而非三非一。無人無法。都無所得。	名 真 實 相 而 非 三 非 一 無 人 無 法 都 無 所 得 
T34n1725_001:0873a05	如是正觀乃名真實究竟一乘。所以然者。諸	如 是 正 觀 乃 名 真 實 究 竟 一 乘 所 以 然 者 諸 
T34n1725_001:0873a06	有所得無道無果不動不出。故知如前非三	有 所 得 無 道 無 果 不 動 不 出 故 知 如 前 非 三 
T34n1725_001:0873a07	是一。能乘所乘人法之相不出四句。是有所	是 一 能 乘 所 乘 人 法 之 相 不 出 四 句 是 有 所 
T34n1725_001:0873a08	得。云何說此為真實相。解云。此言不然。所	得 云 何 說 此 為 真 實 相 解 云 此 言 不 然 所 
T34n1725_001:0873a09	以者何。若言非三是一不出四句故是有所	以 者 何 若 言 非 三 是 一 不 出 四 句 故 是 有 所 
T34n1725_001:0873a10	得非究竟者。是則有得為非無得為是亦入	得 非 究 竟 者 是 則 有 得 為 非 無 得 為 是 亦 入 
T34n1725_001:0873a11	四句故是有所得亦非正觀。若言寄言說無	四 句 故 是 有 所 得 亦 非 正 觀 若 言 寄 言 說 無 
T34n1725_001:0873a12	所得而非如言取於無得是故無得不入四句	所 得 而 非 如 言 取 於 無 得 是 故 無 得 不 入 四 句 
T34n1725_001:0873a13	者。他亦寄言假說一乘而非如言取於一乘	者 他 亦 寄 言 假 說 一 乘 而 非 如 言 取 於 一 乘 
T34n1725_001:0873a14	所以一乘亦出四句。是故當知遂言俱非。不	所 以 一 乘 亦 出 四 句 是故當知 遂 言 俱 非 不 
T34n1725_001:0873a15	如言取二說無異。問。若不取言皆為實者。彼	如 言 取 二 說 無 異 問 若 不 取 言 皆 為 實 者 彼 
T34n1725_001:0873a16	三乘教亦應是實。答。通義皆許。而有別義。以	三 乘 教 亦 應 是 實 答 通 義 皆 許 而 有 別 義 以 
T34n1725_001:0873a17	三乘教下都無三理一乘教下不無一理故。	三 乘 教 下 都 無 三 理 一 乘 教 下 不 無 一 理 故 
T34n1725_001:0873a18	三是權。一乘是實。雖不無一而非有一。是故	三 是 權 一 乘 是 實 雖 不 無 一 而 非 有 一 是 故 
T34n1725_001:0873a19	亦非有所得也。所示真實其相如是。能示□	亦 非 有 所 得 也 所 示 真 實 其 相 如 是 能 示 
T34n1725_001:0873a20	用有其二種。一者則開之示。如前開三是方	用 有 其 二 種 一 者 則 開 之 示 如 前 開 三 是 方 
T34n1725_001:0873a21	便時。即知一乘是真實故。如開門時即見內	便 時 即 知 一 乘 是 真 實 故 如 開 門 時 即 見 內 
T34n1725_001:0873a22	物。二者異開之示。異前開三別說一乘。聞之	物 二 者 異 開 之 示 異 前 開 三 別 說 一 乘 聞 之 
T34n1725_001:0873a23	得悟一乘義故。如以手□方見內物。如下文	得 悟 一 乘 義 故 如 以 手 方 見 內 物 如 下 文 
T34n1725_001:0873a24	言。諸佛唯以一大事因緣故出現於世。如是	言 諸 佛 唯 以 一 大 事 因 緣 故 出 現 於 世 如 是 
T34n1725_001:0873a25	等言是示真實相也。第三合明開示用者。一	等 言 是 示 真 實 相 也 第 三 合 明 開 示 用 者 一 
T34n1725_001:0873a26	開示中合有四義。一者用前三為一用。前三	開 示 中 合 有 四 義 一 者 用 前 三 為 一 用 前 三 
T34n1725_001:0873a27	乘之教即為一乘教故。二者將三致一。將彼	乘 之 教 即 為 一 乘 教 故 二 者 將 三 致 一 將 彼 
T34n1725_001:0873a28	三乘之人同致一乘果故。三者會三歸一。會	三乘之人 同 致 一 乘 果 故 三 者 會 三 歸 一 會 
T34n1725_001:0873a29	昔所說三乘因果還歸於本一乘理故。四者	昔 所 說 三 乘 因 果 還 歸 於 本 一 乘 理 故 四 者 
T34n1725_001:0873b01	破三立一。破彼所執三乘別趣以立同歸一	破 三 立 一 破 彼 所 執 三 乘 別 趣 以 立 同 歸 一 
T34n1725_001:0873b02	乘義故。此經具有如是四種勝用。故言開方	乘 義 故 此 經 具 有 如 是 四 種 勝 用 故 言 開 方 
T34n1725_001:0873b03	便門示真實相。問。用三為一。將三致一。是二	便 門 示 真 實 相 問 用 三 為 一 將 三 致 一 是 二 
T34n1725_001:0873b04	未知以何為證。答。方便品言。佛以無數方便	未 知 以 何 為 證 答 方 便 品 言 佛 以 無數方便 
T34n1725_001:0873b05	演說諸法。是法皆為一佛乘故。此文正是用	演 說 諸 法 是 法 皆 為 一 佛 乘 故 此 文 正 是 用 
T34n1725_001:0873b06	三為一之證也。又言。是諸眾生從佛聞法究	三 為 一 之 證 也 又 言 是 諸 眾 生 從 佛 聞 法 究 
T34n1725_001:0873b07	竟。皆得一切種智。此言正是將三致一之證	竟 皆 得 一切種智 此 言 正 是 將 三 致 一 之 證 
T34n1725_001:0873b08	也。問。會三因果歸本一者。為當三皆非實	也 問 會 三 因 果 歸 本 一 者 為 當 三 皆 非 實 
T34n1725_001:0873b09	故歸於一實耶。為當唯二非實故歸於一實	故 歸 於 一 實 耶 為 當 唯 二 非 實 故 歸 於 一 實 
T34n1725_001:0873b10	耶。若如後者。何故經言。我有方便力開示	耶 若 如 後 者 何 故 經 言 我 有 方 便 力 開 示 
T34n1725_001:0873b11	三乘法。若如前者。云何復言。唯是一事實餘	三 乘 法 若 如 前 者 云 何 復 言 唯 是 一 事 實 餘 
T34n1725_001:0873b12	二則非真。答。或有說者。三皆非實。如前文	二 則 非 真 答 或 有 說 者 三 皆 非 實 如 前 文 
T34n1725_001:0873b13	說。而言一實二非真者。三中之一與無三之	說 而 言 一 實 二 非 真 者 三 中 之 一 與 無 三 之 
T34n1725_001:0873b14	一俱。是佛乘。通說是實。餘二不用開別言非	一 俱 是 佛 乘 通 說 是 實 餘 二 不 用 開 別 言 非 
T34n1725_001:0873b15	實。由是義故二文不違。或有說者。唯二非實。	實 由 是 義 故 二 文 不 違 或 有 說 者 唯 二 非 實 
T34n1725_001:0873b16	如後文故。而說三乘皆方便者。於一實中加	如 後 文 故 而 說 三 乘 皆 方 便 者 於 一 實 中 加 
T34n1725_001:0873b17	二非實合說為三。是三非實。如人手內實有	二 非 實 合 說 為 三 是 三 非 實 如 人 手 內 實 有 
T34n1725_001:0873b18	一菓方便言三。三非是實無三菓故。考而論	一 菓 方 便 言 三 三 非 是 實 無 三 菓 故 考 而 論 
T34n1725_001:0873b19	之。一菓是實。二是方便。有一菓故。如智度論	之 一 菓 是 實 二 是 方 便 有 一 菓 故 如 智 度 論 
T34n1725_001:0873b20	云。於一佛乘開為三分。如人分一斗米以為	云 於 一 佛 乘 開 為 三 分 如 人 分 一 斗 米 以 為 
T34n1725_001:0873b21	三聚亦得言會三聚歸一亦得言會二聚歸。	三 聚 亦 得 言 會 三 聚 歸 一 亦 得 言 會 二 聚 歸 
T34n1725_001:0873b22	會三會二猶是一義不相違也。或有說者。前	會 三 會 二 猶 是 一 義 不 相 違 也 或 有 說 者 前 
T34n1725_001:0873b23	後二文各有異意。不可一會。所以然者。三乘	後 二 文 各 有 異 意 不 可 一 會 所 以 然 者 三 乘 
T34n1725_001:0873b24	之教有其二種。一者別教。二通教。別教三乘	之 教 有 其 二 種 一 者 別 教 二 通 教 別 教 三 乘 
T34n1725_001:0873b25	三皆非實。皆是方便。以彼教說三僧祇劫唯	三 皆 非 實 皆 是 方 便 以 彼 教 說 三 僧 祇 劫 唯 
T34n1725_001:0873b26	修四度。百劫之中修相好業。最後身中修於	修 四 度 百 劫 之 中 修 相 好 業 最 後 身 中 修 於 
T34n1725_001:0873b27	定惠。菩提樹下成無上覺。如是因果以為佛	定 惠 菩提樹下 成 無 上 覺 如 是 因 果 以 為 佛 
T34n1725_001:0873b28	乘。是故佛乘亦是方便。若論通教所說三乘。	乘 是 故 佛 乘 亦 是 方 便 若 論 通 教 所 說 三 乘 
T34n1725_001:0873b29	佛乘是實。定餘二非真。以彼教說於十地中	佛 乘 是 實 定 餘 二 非 真 以 彼 教 說 於 十 地 中 
T34n1725_001:0873c01	具修六度萬行圓滿致薩婆若。此薩婆若果不	具 修 六 度 萬 行 圓 滿 致 薩 婆 若 此 薩 婆 若 果 不 
T34n1725_001:0873c02	與三世合。如是因果究竟真實此為佛乘。豈	與 三 世 合 如 是 因 果 究 竟 真 實 此 為 佛 乘 豈 
T34n1725_001:0873c03	是方便。是故當知二文意異。我有方便力開	是 方 便 是故當知 二 文 意 異 我 有 方 便 力 開 
T34n1725_001:0873c04	示三乘法者。是顯別教所說三乘也。唯是一	示 三 乘 法 者 是 顯 別 教 所 說 三 乘 也 唯 是 一 
T34n1725_001:0873c05	事實餘二則非真者。是對通教所說三乘。其	事 實 餘 二 則 非 真 者 是 對 通 教 所 說 三 乘 其 
T34n1725_001:0873c06	餘諸文皆作是通。問。若說別教三乘因果皆	餘 諸 文 皆 作 是 通 問 若 說 別 教 三 乘 因 果 皆 
T34n1725_001:0873c07	是方便故歸一者。為歸一因為歸一果。答。於	是 方 便 故 歸 一 者 為 歸 一 因 為 歸 一 果 答 於 
T34n1725_001:0873c08	一佛乘分別說三故。隨其本歸因歸果。是義	一 佛 乘 分 別 說 三 故 隨 其 本 歸 因 歸 果 是 義 
T34n1725_001:0873c09	□何聲聞緣覺若因若果皆於一因分別為	 何 聲 聞 緣 覺 若 因 若 果 皆 於 一 因 分 別 為 
T34n1725_001:0873c10	二。如經說言。聲聞緣覺若智若斷。皆是菩薩	二 如 經 說 言 聲 聞 緣 覺 若 智 若 斷 皆 是 菩 薩 
T34n1725_001:0873c11	無生法忍。當知此二皆歸一因。歸一因故終	無生法忍 當 知 此 二 皆 歸 一 因 歸 一 因 故 終 
T34n1725_001:0873c12	致一果。彼教中說。佛乘因果分別佛地化身	致 一 果 彼 教 中 說 佛 乘 因 果 分 別 佛 地 化 身 
T34n1725_001:0873c13	少分。如經說言。我實成佛已來。百千萬億那	少 分 如 經 說 言 我 實 成佛已來 百 千 萬 億 那 
T34n1725_001:0873c14	由他劫故。當知彼說佛乘因果同歸於此一	由 他 劫 故 當 知 彼 說 佛 乘 因 果 同 歸 於 此 一 
T34n1725_001:0873c15	乘果內。若有菩薩依彼教故望樹下佛發心	乘 果 內 若 有 菩 薩 依 彼 教 故 望 樹 下 佛 發 心 
T34n1725_001:0873c16	修行。如是願行歸於一因。同彼二乘未至果	修 行 如 是 願 行 歸 於 一 因 同 彼 二 乘 未 至 果 
T34n1725_001:0873c17	故。通而言之。應作四句。一以方便因歸真實	故 通 而 言 之 應 作 四 句 一 以 方 便 因 歸 真 實 
T34n1725_001:0873c18	因。謂菩薩因及二乘因。二以方便果歸真實	因 謂 菩 薩 因 及 二 乘 因 二 以 方 便 果 歸 真 實 
T34n1725_001:0873c19	果。謂於樹下成無上覺。三以方便因歸真實	果 謂 於 樹 下 成 無 上 覺 三 以 方 便 因 歸 真 實 
T34n1725_001:0873c20	果。謂樹下佛前菩薩行。四以方便果歸真實	果 謂 樹 下 佛 前 菩 薩 行 四 以 方 便 果 歸 真 實 
T34n1725_001:0873c21	因。謂二乘人之無學果。總攝如是四句。以說	因 謂 二 乘 人 之 無 學 果 總 攝 如 是 四 句 以 說 
T34n1725_001:0873c22	會三歸一。問。方便教中有人天乘。何故不會	會 三 歸 一 問 方 便 教 中 有 人 天 乘 何 故 不 會 
T34n1725_001:0873c23	此二唯會彼三。答。會三之言亦攝此二。所以	此 二 唯 會 彼 三 答 會 三 之 言 亦 攝 此 二 所 以 
T34n1725_001:0873c24	然者。法花教中說。三乘有二。一者三車所譬。	然 者 法 花 教 中 說 三 乘 有 二 一 者 三 車 所 譬 
T34n1725_001:0873c25	出喻品。二者三草所呪。出藥草品。此義云何。	出 喻 品 二 者 三 草 所 呪 出 藥 草 品 此義云何 
T34n1725_001:0873c26	人天二乘合為小乘。如小藥草。聲聞緣覺名	人 天 二 乘 合 為 小 乘 如 小 藥 草 聲 聞 緣 覺 名 
T34n1725_001:0873c27	為中乘。如中藥草。依彼別教發心菩薩。說名	為 中 乘 如 中 藥 草 依 彼 別 教 發 心 菩 薩 說 名 
T34n1725_001:0873c28	為大乘。如大藥草。會此三乘即攝五乘。然彼	為 大 乘 如 大 藥 草 會 此 三 乘 即 攝 五 乘 然 彼 
T34n1725_001:0873c29	人天會因而不會果。果是無記。不作一因故。	人 天 會 因 而 不 會 果 果 是 無 記 不 作 一 因 故 
T34n1725_001:0874a01	彼因善法有二功能。報因功能亦不會之。有	彼 因 善 法 有 二 功 能 報 因 功 能 亦 不 會 之 有 
T34n1725_001:0874a02	受盡故。等流因用是今所會。無受盡故。會此	受 盡 故 等 流 因 用 是 今 所 會 無 受 盡 故 會 此 
T34n1725_001:0874a03	因義入第一句。問。會三歸一其義已顯。破三	因 義 入 第 一 句 問 會 三 歸 一 其 義 已 顯 破 三 
T34n1725_001:0874a04	立一云何可知。答。欲知此義。有廣有略。略而	立 一 云 何 可 知 答 欲 知 此 義 有 廣 有 略 略 而 
T34n1725_001:0874a05	言之。破四種三。一執三教定非方便。二執三	言 之 破 四 種 三 一 執 三 教 定 非 方 便 二 執 三 
T34n1725_001:0874a06	人定是別趣。三執三因別感。四執三果別極。	人 定 是 別 趣 三 執 三 因 別 感 四 執 三 果 別 極 
T34n1725_001:0874a07	破此四種所執之相。遣其四種能執之見。是	破 此 四 種 所 執 之 相 遣 其 四 種 能 執 之 見 是 
T34n1725_001:0874a08	故建立一乘真實。謂立一教故則破三教。立	故 建 立 一 乘 真 實 謂 立 一 教 故 則 破 三 教 立 
T34n1725_001:0874a09	一人故則破三人。立一因故則破三因。立一	一 人 故 則 破 三 人 立 一 因 故 則 破 三 因 立 一 
T34n1725_001:0874a10	果故則破三果。立一理性通破四三。以四一	果 故 則 破 三 果 立 一 理 性 通 破 四 三 以 四 一 
T34n1725_001:0874a11	皆同一乘理故。略說如是。廣而論之。為破十	皆 同 一 乘 理 故 略 說 如 是 廣 而 論 之 為 破 十 
T34n1725_001:0874a12	種凡聖執故。說七種譬及三平等。此義至彼	種 凡 聖 執 故 說 七 種 譬 及 三 平 等 此 義 至 彼 
T34n1725_001:0874a13	第六門釋。第三明詮用竟也。第四釋題名者。	第 六 門 釋 第 三 明 詮 用 竟 也 第 四 釋 題 名 者 
T34n1725_001:0874a14	具存梵音。應云薩達摩分陀利修多羅。此云	具 存 梵 音 應 云 薩 達 摩 分 陀 利 修 多 羅 此 云 
T34n1725_001:0874a15	妙法蓮華經。言妙法者略有四義。一者巧妙。	妙法蓮華 經 言 妙 法 者 略 有 四 義 一 者 巧 妙 
T34n1725_001:0874a16	二者勝妙。三者微妙。四者絕妙。言巧妙者。此	二 者 勝 妙 三 者 微 妙 四 者 絕 妙 言 巧 妙 者 此 
T34n1725_001:0874a17	經巧開方便之門。巧滅執三之見。巧示真實	經 巧 開 方 便 之 門 巧 滅 執 三 之 見 巧 示 真 實 
T34n1725_001:0874a18	之相。巧生已一之惠。以是四義而作真軌故。	之 相 巧 生 已 一 之 惠 以 是 四 義 而 作 真 軌 故 
T34n1725_001:0874a19	言妙法言勝妙者。此經能宣一切佛法。能示	言 妙 法 言 勝 妙 者 此 經 能 宣 一切佛法 能 示 
T34n1725_001:0874a20	一切神力。能顯一切祕藏。能說一切深事。以	一 切 神 力 能 顯 一 切 祕 藏 能 說 一 切 深 事 以 
T34n1725_001:0874a21	此四義最為勝妙故名妙法。如神力品云。以	此 四 義 最 為 勝 妙 故 名 妙 法 如 神 力 品 云 以 
T34n1725_001:0874a22	要言之。如來一切所有之法。如來一切自在	要 言 之 如 來 一 切 所 有 之 法 如 來 一 切 自 在 
T34n1725_001:0874a23	神力。如來一切祕密之藏。如來一切甚深之	神 力 如 來 一 切 祕密之藏 如 來 一 切 甚 深 之 
T34n1725_001:0874a24	事。皆於此經宣示顯示顯說。故言妙法。言微	事 皆 於 此 經 宣 示 顯 示 顯 說 故 言 妙 法 言 微 
T34n1725_001:0874a25	妙者。此經所說一乘之果。無妙德而不圓。無	妙 者 此 經 所 說 一 乘 之 果 無 妙 德 而 不 圓 無 
T34n1725_001:0874a26	雜染而不淨。無義理而不窮。無世間而不度。	雜 染 而 不 淨 無 義 理 而 不 窮 無 世 間 而 不 度 
T34n1725_001:0874a27	以是四義故名微妙之法。如譬喻品云。是乘	以 是 四 義 故 名 微 妙 之 法 如 譬 喻 品 云 是 乘 
T34n1725_001:0874a28	微妙清淨第一出諸世間為無有上。故言妙	微 妙 清 淨 第 一 出 諸 世 間 為 無 有 上 故 言 妙 
T34n1725_001:0874a29	法。言絕妙者。此經所說一乘法相。廣大甚深	法 言 絕 妙 者 此 經 所 說 一 乘 法 相 廣大甚深 
T34n1725_001:0874b01	離言絕慮。以是四義故為絕妙之法。如方便	離 言 絕 慮 以 是 四 義 故 為 絕 妙 之 法 如 方 便 
T34n1725_001:0874b02	品云。是法不可示。言辭相寂滅。諸餘眾生類	品 云 是 法 不 可 示 言 辭 相 寂 滅 諸 餘 眾 生 類 
T34n1725_001:0874b03	無有能得解故。此四義中。巧妙勝妙之法當	無 有 能 得 解 故 此 四 義 中 巧 妙 勝 妙 之 法 當 
T34n1725_001:0874b04	能詮用立名。微妙絕妙之義從所詮宗作目。	能 詮 用 立 名 微 妙 絕 妙 之 義 從 所 詮 宗 作 目 
T34n1725_001:0874b05	合而言之。具含如是。巧勝微絕十有六種極	合 而 言 之 具 含 如 是 巧 勝 微 絕 十 有 六 種 極 
T34n1725_001:0874b06	妙之義十方三世無二之軌以是義故名為妙	妙 之 義 十 方 三 世 無 二 之 軌 以是義故 名 為 妙 
T34n1725_001:0874b07	法。妙法之名略釋如是。蓮花之喻有別有通。	法 妙 法 之 名 略 釋 如 是 蓮 花 之 喻 有 別 有 通 
T34n1725_001:0874b08	通者。此華必具華鬚臺實四種。合成殊為美	通 者 此 華 必 具 華 鬚 臺 實 四 種 合 成 殊 為 美 
T34n1725_001:0874b09	妙。喻於此經具四妙義合成一經。故名妙	妙 喻 於 此 經 具 四 妙 義 合 成 一 經 故 名 妙 
T34n1725_001:0874b10	法。別而言之。即有四義。一者。蓮花之類有四	法 別 而 言 之 即 有 四 義 一 者 蓮 花 之 類 有 四 
T34n1725_001:0874b11	種。中分陀利者是白蓮花。鮮白分明花開實	種 中 分 陀 利 者 是 白 蓮 花 鮮 白 分 明 花 開 實 
T34n1725_001:0874b12	顯。喻於此經了了分明開權顯實之巧妙也。	顯 喻 於 此 經 了 了 分 明 開 權 顯 實 之 巧 妙 也 
T34n1725_001:0874b13	二者。此花凡有三名。未敷之時名屈摩羅。將	二 者 此 花 凡 有 三 名 未 敷 之 時 名 屈 摩 羅 將 
T34n1725_001:0874b14	落之時名迦摩羅。已敷未衰處中之時開榮	落 之 時 名 迦 摩 羅 已 敷 未 衰 處 中 之 時 開 榮 
T34n1725_001:0874b15	勝盛稱分陀利。喻於此經大機正發之盛時	勝 盛 稱 分 陀 利 喻 於 此 經 大 機 正 發 之 盛 時 
T34n1725_001:0874b16	宣示顯說之勝妙也。三者。此花非直出離泥	宣 示 顯 說 之 勝 妙 也 三 者 此 花 非 直 出 離 泥 
T34n1725_001:0874b17	水。亦乃圓之香潔眾美具足。喻於此經所說	水 亦 乃 圓 之 香 潔 眾 美 具 足 喻 於 此 經 所 說 
T34n1725_001:0874b18	佛乘出煩惱濁離生死海眾德圓滿之微妙	佛 乘 出 煩 惱 濁 離生死海 眾 德 圓 滿 之 微 妙 
T34n1725_001:0874b19	也。四者。此花非直荷廣[卄/禍]深。亦乃不着水渧	也 四 者 此 花 非 直 荷 廣 [卄禍] 深 亦 乃 不 着 水 渧 
T34n1725_001:0874b20	不染塵垢。喻於此經所說一乘法門廣大道	不 染 塵 垢 喻 於 此 經 所 說 一 乘 法 門 廣 大 道 
T34n1725_001:0874b21	理甚深離言絕慮之絕妙也。由是四義有同	理 甚 深 離 言 絕 慮 之 絕 妙 也 由 是 四 義 有 同 
T34n1725_001:0874b22	妙法故。寄是喻以立題名也。	妙 法 故 寄 是 喻 以 立 題 名 也 
T34n1725_001:0874b23	第五明教攝門者。是法華經何教所攝。為是	第 五 明 教 攝 門 者 是 法 華 經 何 教 所 攝 為 是 
T34n1725_001:0874b24	了義為不了義。有說。此經是不了義。所以然	了 義 為 不 了 義 有 說 此 經 是 不 了 義 所 以 然 
T34n1725_001:0874b25	者。大分佛教有三法輪。一者有相法輪。唯為	者 大 分 佛 教 有 三 法 輪 一 者 有 相 法 輪 唯 為 
T34n1725_001:0874b26	發趣聲聞乘者。依四諦相轉法輪故。如阿含	發 趣 聲 聞 乘 者 依 四 諦 相 轉 法 輪 故 如 阿 含 
T34n1725_001:0874b27	經等。二者無相法輪。唯為發趣菩薩乘者。依	經 等 二 者 無相法輪 唯 為 發 趣 菩 薩 乘 者 依 
T34n1725_001:0874b28	法空性轉法輪故。如般若經等。三者無相無	法 空 性 轉 法 輪 故 如 般 若 經 等 三 者 無 相 無 
T34n1725_001:0874b29	上法輪。普為發趣三乘者依諸法空。	上 法 輪 普 為 發 趣 三 乘 者 依 諸 法 空 
T34n1725_001:0874c01	無自性性而轉法輪無上無容故。如解深密	無 自 性 性 而 轉 法 輪 無 上 無 容 故 如 解 深 密 
T34n1725_001:0874c02	經等。此中前二是不了義。第三法輪是真了	經 等 此 中 前 二 是 不 了 義 第三法輪 是 真 了 
T34n1725_001:0874c03	義。是義具如彼論廣說。此法華經是第二攝。	義 是 義 具 如 彼 論 廣 說 此 法 華 經 是 第 二 攝 
T34n1725_001:0874c04	如偈說言。諸法從本來。常自寂滅相。佛子行	如 偈 說 言 諸 法 從 本 來 常 自 寂 滅 相 佛 子 行 
T34n1725_001:0874c05	道已。來世得作佛故。是故當知第二無相法	道 已 來 世 得 作 佛 故 是故當知 第 二 無 相 法 
T34n1725_001:0874c06	輪所攝。既屬第二。是不了義。此義即以二文	輪 所 攝 既 屬 第 二 是 不 了 義 此 義 即 以 二 文 
T34n1725_001:0874c07	為證。一者即彼解深密經云。一向趣寂聲聞	為 證 一 者 即 彼 解 深 密 經 云 一向趣寂 聲 聞 
T34n1725_001:0874c08	種性補特伽羅。雖蒙諸佛施設種種勇猛加	種 性 補 特 伽 羅 雖 蒙 諸 佛 施 設 種 種 勇 猛 加 
T34n1725_001:0874c09	行方便化道。終不能令當坐道場證得無上	行 方 便 化 道 終 不 能 令 當 坐 道 場 證 得 無 上 
T34n1725_001:0874c10	正等菩提何以故。由彼本來唯有下劣種性	正等菩提 何 以 故 由 彼 本 來 唯 有 下 劣 種 性 
T34n1725_001:0874c11	故。一向慈悲薄弱故。一向怖畏眾苦故。乃至	故 一 向 慈悲薄弱 故 一 向 怖 畏 眾 苦 故 乃 至 
T34n1725_001:0874c12	廣說。二者對法論言。眾生意樂。樂樂者。如	廣 說 二 者 對 法 論 言 眾 生 意 樂 樂 樂 者 如 
T34n1725_001:0874c13	為不定種性者捨離下劣意樂故。記大聲聞	為 不定種性 者 捨 離 下 劣 意 樂 故 記 大 聲 聞 
T34n1725_001:0874c14	當得作佛。又說一乘。更無第二。案云。彼經既	當 得 作 佛 又 說 一 乘 更 無 第 二 案 云 彼 經 既 
T34n1725_001:0874c15	是究竟真實了義說。說言聲聞永不成佛。是	是 究 竟 真 實 了 義 說 說 言 聲 聞 永 不 成 佛 是 
T34n1725_001:0874c16	知法花說諸聲聞當得作佛。是方便語不了	知 法 花 說 諸 聲 聞 當 得 作 佛 是 方 便 語 不 了 
T34n1725_001:0874c17	義說。是故阿毘達磨□云。是隨眾生意樂而	義 說 是 故 阿 毘 達 磨 云 是 隨 眾 生 意 樂 而 
T34n1725_001:0874c18	說。非是直說真實道理。修多羅者。以文為勝	說 非 是 直 說 真 實 道 理 修 多 羅 者 以 文 為 勝 
T34n1725_001:0874c19	阿毘達磨以理為勝。由有如是二種明證。當	阿 毘 達 磨 以 理 為 勝 由 有 如是二種 明 證 當 
T34n1725_001:0874c20	知法花一乘之教定非究竟了義說也。或有	知 法 花 一 乘 之 教 定 非 究 竟 了 義 說 也 或 有 
T34n1725_001:0874c21	說者。法花經是究竟了義。所以然者。如來一	說 者 法 花 經 是 究 竟 了 義 所 以 然 者 如 來 一 
T34n1725_001:0874c22	代所說教門。略攝不出三種法輪。何者為三。	代 所 說 教 門 略 攝 不 出 三 種 法 輪 何 者 為 三 
T34n1725_001:0874c23	一者根本法輪。二枝末法輪。三者攝末歸本	一 者 根 本 法 輪 二 枝 末 法 輪 三 者 攝 末 歸 本 
T34n1725_001:0874c24	法輪。根本法輪者。謂佛初成道花嚴之會□	法 輪 根 本 法 輪 者 謂 佛 初 成 道 花 嚴 之 會 
T34n1725_001:0874c25	為菩薩廣開一因一果法門謂根本之教也。	為 菩 薩 廣 開 一 因 一 果 法 門 謂 根 本 之 教 也 
T34n1725_001:0874c26	但薄福鈍根之流深不堪聞一因一果故。於	但 薄 福 鈍 根 之 流 深 不 堪 聞 一 因 一 果 故 於 
T34n1725_001:0874c27	一佛乘分別說三。謂枝末之教也。四十餘年	一 佛 乘 分 別 說 三 謂 枝 末 之 教 也 四 十 餘 年 
T34n1725_001:0874c28	說三乘之教陶練其心。今至法花之會始得	說 三 乘 之 教 陶 練 其 心 今 至 法 花 之 會 始 得 
T34n1725_001:0874c29	會三歸一。即攝末歸本教也。如信解品明。長	會 三 歸 一 即 攝 末 歸 本 教 也 如 信 解 品 明 長 
T34n1725_001:0875a01	者居師子坐眷屬圍遶羅列寶物。即指花嚴	者 居 師 子 坐 眷 屬 圍 遶 羅 列 寶 物 即 指 花 嚴 
T34n1725_001:0875a02	根本教也。喚子不得故密遣二人。脫珍御服	根 本 教 也 喚 子 不 得 故 密 遣 二 人 脫 珍 御 服 
T34n1725_001:0875a03	着弊垢衣。謂隱一說三枝末教也。如富長者	着 弊 垢 衣 謂 隱 一 說 三 枝 末 教 也 如 富 長 者 
T34n1725_001:0875a04	知悉下劣□伏其心乃教大智。謂攝末歸本	知 悉 下 劣 伏 其 心 乃 教 大 智 謂 攝 末 歸 本 
T34n1725_001:0875a05	教也。是□諸門處處有文。當知此中初後二	教 也 是 諸 門 處 處 有 文 當 知 此 中 初 後 二 
