T85n2755_001:0217b16	華嚴經疏	華 嚴 經 疏 
T85n2755_001:0221c06	意。此依前不可避。為問下釋中以諸眾生有	意 此 依 前 不 可 避 為 問 下 釋 中 以 諸 眾 生 有 
T85n2755_001:0221c07	二種定故不可避也。增已造作決定之業。受	二 種 定 故 不 可 避 也 增 已 造 作 決 定 之 業 受 
T85n2755_001:0221c08	報必然名感報定。宿罪熏心令必造惡名作	報 必 然 名 感 報 定 宿 罪 熏 心 令 必 造 惡 名 作 
T85n2755_001:0221c09	業定。從佛自在。於彼二定欲差闕其緣使不	業 定 從 佛 自 在 於 彼 二 定 欲 差 闕 其 緣 使 不 
T85n2755_001:0221c10	成就。終亦不可。攝論云。	成 就 終 亦 不 可 攝 論 云 
T85n2755_001:0221c11	梵本嘶字似師子蹲踞故也。餘義可知。頌中	梵 本 嘶 字 似 師 子 蹲 踞 故 也 餘 義 可 知 頌 中 
T85n2755_001:0221c12	初一頌半頌前初段總勸說文。於中初二句	初 一 頌 半 頌 前 初 段 總 勸 說 文 於 中 初 二 句 
T85n2755_001:0221c13	歎說者。次四句頌前善分別不思法等。謂十	歎 說 者 次 四 句 頌 前 善 分 別 不 思 法 等 謂 十 
T85n2755_001:0221c14	地行是行也。所入十地法是所入位也。又地	地 行 是 行 也 所 入 十 地 法 是 所 入 位 也 又 地 
T85n2755_001:0221c15	行是加行。智地法是根本智也。又地行是施	行 是 加 行 智 地 法 是 根 本 智 也 又 地 行 是 施 
T85n2755_001:0221c16	戒等智所入地法。是遍滿等十法界。又初阿	戒 等 智 所 入 地 法 是 遍 滿 等 十 法 界 又 初 阿 
T85n2755_001:0221c17	含行入證法下二句因圓得果。所有十方下	含 行 入 證 法 下 二 句 因 圓 得 果 所 有 十 方 下 
T85n2755_001:0221c18	頌。第二文諸佛法應護念等。後之二頌頌前	頌 第 二 文 諸 佛 法 應 護 念 等 後 之 二 頌 頌 前 
T85n2755_001:0221c19	第三文。於中有法喻合法中。初二句頌最上	第 三 文 於 中 有 法 喻 合 法 中 初 二 句 頌 最 上 
T85n2755_001:0221c20	所行阿含行。次二句頌得至佛法證得行。餘	所 行 阿 含 行 次 二 句 頌 得 至 佛 法 證 得 行 餘 
T85n2755_001:0221c21	文可知。解脫月請竟。	文 可 知 解 脫 月 請 竟 
T85n2755_001:0221c22	第二大眾同請中。先序後頌。頌中五頌半分	第 二 大 眾 同 請 中 先 序 後 頌 頌 中 五 頌 半 分 
T85n2755_001:0221c23	二。初中四半歎人請。後一歎法請。前中二。	二 初 中 四 半 歎 人 請 後 一 歎 法 請 前 中 二 
T85n2755_001:0221c24	初二歎說者請餘歎聽者。前中初五句歎金	初 二 歎 說 者 請 餘 歎 聽 者 前 中 初 五 句 歎 金 
T85n2755_001:0221c25	網藏具證德阿含德。後三句歎網藏能令聽	網 藏 具 證 德 阿 含 德 後 三 句 歎 網 藏 能 令 聽 
T85n2755_001:0221c26	者入證入阿含。前中初四句歎證力辨才成	者 入 證 入 阿 含 前 中 初 四 句 歎 證 力 辨 才 成 
T85n2755_001:0221c27	就。後一句歎阿含力辨。以此二力方能有說	就 後 一 句 歎 阿 含 力 辨 以 此 二 力 方 能 有 說 
T85n2755_001:0221c28	故偏讚也。故論云。以證力等。是故讚嘆。初	故 偏 讚 也 故 論 云 以 證 力 等 是 故 讚 嘆 初 
T85n2755_001:0221c29	中上者是總。總有二義。一寬。謂該二力顯俱	中 上 者 是 總 總 有 二 義 一 寬 謂 該 二 力 顯 俱 
T85n2755_001:0222a01	上故。論云。上者是總也。二狹謂唯就證力以	上 故 論 云 上 者 是 總 也 二 狹 謂 唯 就 證 力 以 
T85n2755_001:0222a02	顯勝故。論云。又復上者顯證力等。妙智慧者。	顯 勝 故 論 云 又 復 上 者 顯 證 力 等 妙 智 慧 者 
T85n2755_001:0222a03	是真實智。即正體智也。樂說無有量者。是後	是 真 實 智 即 正 體 智 也 樂 說 無 有 量 者 是 後 
T85n2755_001:0222a04	得智。與說法為本故云體性也。德量如山王	得 智 與 說 法 為 本 故 云 體 性 也 德 量 如 山 王 
T85n2755_001:0222a05	者。顯上二智尊重之相哀愍。說十地者。是彼	者 顯 上 二 智 尊 重 之 相 哀 愍 說 十 地 者 是 彼 
T85n2755_001:0222a06	後智對緣巧說故云果也。此三皆依前起後	後 智 對 緣 巧 說 故 云 果 也 此 三 皆 依 前 起 後 
T85n2755_001:0222a07	可知。字義有二。一詮表義。二莊嚴文辭義。	可 知 字 義 有 二 一 詮 表 義 二 莊 嚴 文 辭 義 
T85n2755_001:0222a08	論云。字義成就者。是初義也。釋彼經中真實	論 云 字 義 成 就 者 是 初 義 也 釋 彼 經 中 真 實 
T85n2755_001:0222a09	義相應。復是滑利等者。是後義。釋彼經中。美	義 相 應 復 是 滑 利 等 者 是 後 義 釋 彼 經 中 美 
T85n2755_001:0222a10	妙言也。謂言辭流澤名為滑利。言辭巧妙故	妙 言 也 謂 言 辭 流 澤 名 為 滑 利 言 辭 巧 妙 故 
T85n2755_001:0222a11	曰勝上。經戒念慧清淨者。此一句歎阿含德。	曰 勝 上 經 戒 念 慧 清 淨 者 此 一 句 歎 阿 含 德 
T85n2755_001:0222a12	謂戒者禁心守念。是論經念堅也。能受佛雲	謂 戒 者 禁 心 守 念 是 論 經 念 堅 也 能 受 佛 雲 
T85n2755_001:0222a13	雨說法持之不失故云受持。復為他說令分	雨 說 法 持 之 不 失 故 云 受 持 復 為 他 說 令 分 
T85n2755_001:0222a14	明顯了故云顯說。此釋念堅也。是菩薩於阿	明 顯 了 故 云 顯 說 此 釋 念 堅 也 是 菩 薩 於 阿 
T85n2755_001:0222a15	含中淨慧無疑者。釋慧清淨也。	含 中 淨 慧 無 疑 者 釋 慧 清 淨 也 
T85n2755_001:0222a16	自下三句能令聽者入教證。於中說是十地	自 下 三 句 能 令 聽 者 入 教 證 於 中 說 是 十 地 
T85n2755_001:0222a17	義者。謂令聽者得阿含行故。下二句令其入	義 者 謂 令 聽 者 得 阿 含 行 故 下 二 句 令 其 入 
T85n2755_001:0222a18	證十力根本者。已入地者令得佛果也。無礙	證 十 力 根 本 者 已 入 地 者 令 得 佛 果 也 無 礙 
T85n2755_001:0222a19	智本行者。未入地者。令得入地無礙智故。以	智 本 行 者 未 入 地 者 令 得 入 地 無 礙 智 故 以 
T85n2755_001:0222a20	十地智能治十障故。云無礙也。自下歎眾堪	十 地 智 能 治 十 障 故 云 無 礙 也 自 下 歎 眾 堪 
T85n2755_001:0222a21	聞。於中初一頌半歎眾有根。後一頌歎眾有	聞 於 中 初 一 頌 半 歎 眾 有 根 後 一 頌 歎 眾 有 
T85n2755_001:0222a22	欲。前中戒者。善住外威儀對治於慢。定者離	欲 前 中 戒 者 善 住 外 威 儀 對 治 於 慢 定 者 離 
T85n2755_001:0222a23	取執著內心調伏對治於我。謂由執我故。於	取 執 著 內 心 調 伏 對 治 於 我 謂 由 執 我 故 於 
T85n2755_001:0222a24	法不恭。由起慢故。於師不敬。戒定除此堪聞	法 不 恭 由 起 慢 故 於 師 不 敬 戒 定 除 此 堪 聞 
T85n2755_001:0222a25	阿含故。云憍慢已滅也。慧者正見。善思義	阿 含 故 云 憍 慢 已 滅 也 慧 者 正 見 善 思 義 
T85n2755_001:0222a26	對治邪見故。功德者正意歡喜對治疑惱故。	對 治 邪 見 故 功 德 者 正 意 歡 喜 對 治 疑 惱 故 
T85n2755_001:0222a27	由此二行堪能得證故。云諸邪見已盡也。是	由 此 二 行 堪 能 得 證 故 云 諸 邪 見 已 盡 也 是 
T85n2755_001:0222a28	眾無疑也。然此大眾如此行德　明金剛藏久	眾 無 疑 也 然 此 大 眾 如 此 行 德 明 金 剛 藏 久 
T85n2755_001:0222a29	自先知故云集在仁者。心謂仁者是剛藏也。	自 先 知 故 云 集 在 仁 者 心 謂 仁 者 是 剛 藏 也 
T85n2755_001:0222b01	餘句可知。論中妄者妄想見中同使故者。此	餘 句 可 知 論 中 妄 者 妄 想 見 中 同 使 故 者 此 
T85n2755_001:0222b02	釋彼經中妄字。謂妄是妄想故。上云有二妄	釋 彼 經 中 妄 字 謂 妄 是 妄 想 故 上 云 有 二 妄 
T85n2755_001:0222b03	想。不堪得證。問。妄想是想本非見。疑何得	想 不 堪 得 證 問 妄 想 是 想 本 非 見 疑 何 得 
T85n2755_001:0222b04	說云有二妄想。釋以是倒見中同是使故。攝	說 云 有 二 妄 想 釋 以 是 倒 見 中 同 是 使 故 攝 
T85n2755_001:0222b05	入見中。論中深者。細意善思惟故者。觀真如	入 見 中 論 中 深 者 細 意 善 思 惟 故 者 觀 真 如 
T85n2755_001:0222b06	理故。對治前妄故云細意等也。譬病思良醫	理 故 對 治 前 妄 故 云 細 意 等 也 譬 病 思 良 醫 
T85n2755_001:0222b07	下一頌。歎眾有求法勝欲。論經四種。此中唯	下 一 頌 歎 眾 有 求 法 勝 欲 論 經 四 種 此 中 唯 
T85n2755_001:0222b08	二具釋如論自顯但世甘露有四義。一除渴	二 具 釋 如 論 自 顯 但 世 甘 露 有 四 義 一 除 渴 
T85n2755_001:0222b09	如水。二遣飢如食。三療病如藥。四生樂如	如 水 二 遣 飢 如 食 三 療 病 如 藥 四 生 樂 如 
T85n2755_001:0222b10	蜜。是故況所聞法也。謂聞思修證如論應知	蜜 是 故 況 所 聞 法 也 謂 聞 思 修 證 如 論 應 知 
T85n2755_001:0222b11	自下一頌明歎法請。此中廣大意者。是論中	自 下 一 頌 明 歎 法 請 此 中 廣 大 意 者 是 論 中 
T85n2755_001:0222b12	淨慧。此是後得智。是說法所依下三句是體	淨 慧 此 是 後 得 智 是 說 法 所 依 下 三 句 是 體 
T85n2755_001:0222b13	性。此是所說法之體性。三依此所說得佛十	性 此 是 所 說 法 之 體 性 三 依 此 所 說 得 佛 十 
T85n2755_001:0222b14	力菩提名為果也。經中略無此句可知。此中	力 菩 提 名 為 果 也 經 中 略 無 此 句 可 知 此 中 
T85n2755_001:0222b15	三義與前不同。前約本智後智及所說為三。	三 義 與 前 不 同 前 約 本 智 後 智 及 所 說 為 三 
T85n2755_001:0222b16	此中約後智與所說。並依法所成為三故不	此 中 約 後 智 與 所 說 並 依 法 所 成 為 三 故 不 
T85n2755_001:0222b17	同也。論文可解　第三佛加請中有二。先長	同 也 論 文 可 解 第 三 佛 加 請 中 有 二 先 長 
T85n2755_001:0222b18	行明光加後偈頌明請說。但加請分別有四	行 明 光 加 後 偈 頌 明 請 說 但 加 請 分 別 有 四 
T85n2755_001:0222b19	句。一是加非請。如上加分。二是請非加。如上	句 一 是 加 非 請 如 上 加 分 二 是 請 非 加 如 上 
T85n2755_001:0222b20	菩薩請。三亦加亦請。如此段文。四非請非加。	菩 薩 請 三 亦 加 亦 請 如 此 段 文 四 非 請 非 加 
T85n2755_001:0222b21	如餘文。又光明之身。是加非請。所出音聲是	如 餘 文 又 光 明 之 身 是 加 非 請 所 出 音 聲 是 
T85n2755_001:0222b22	加是請。若八望聽者是加非請。就長行中。准	加 是 請 若 八 望 聽 者 是 加 非 請 就 長 行 中 准 
T85n2755_001:0222b23	論經中有五義。一此佛放光照彼。二彼佛放	論 經 中 有 五 義 一 此 佛 放 光 照 彼 二 彼 佛 放 
T85n2755_001:0222b24	光照此。三此眾尋光見彼。四彼眾尋光見此。	光 照 此 三 此 眾 尋 光 見 彼 四 彼 眾 尋 光 見 此 
T85n2755_001:0222b25	五光臺說偈。此光臺偈應屬口加。何故在此。	五 光 臺 說 偈 此 光 臺 偈 應 屬 口 加 何 故 在 此 
T85n2755_001:0222b26	以所出聲是口加攝。今取能發聲處制屬身。	以 所 出 聲 是 口 加 攝 今 取 能 發 聲 處 制 屬 身 
T85n2755_001:0222b27	眉間放光表從中道法界流出教道。白豪表	眉 間 放 光 表 從 中 道 法 界 流 出 教 道 白 豪 表 
T85n2755_001:0222b28	十地是無漏法故。於此五段內。經中略無三	十 地 是 無 漏 法 故 於 此 五 段 內 經 中 略 無 三 
T85n2755_001:0222b29	四彼此相見之文。又於此作三門。一明八業。	四 彼 此 相 見 之 文 又 於 此 作 三 門 一 明 八 業 
T85n2755_001:0222c01	如論應知。於中略無卷業及降伏業。二顯二	如 論 應 知 於 中 略 無 卷 業 及 降 伏 業 二 顯 二 
T85n2755_001:0222c02	身者。八業中卷舒敬示三種。是光體往來名	身 者 八 業 中 卷 舒 敬 示 三 種 是 光 體 往 來 名 
T85n2755_001:0222c03	流星身　第八凝停在空名為曰身。三業身相	流 星 身 第 八 凝 停 在 空 名 為 曰 身 三 業 身 相 
T85n2755_001:0222c04	對有四句。一是業非身。謂覺因伏止。二是身	對 有 四 句 一 是 業 非 身 謂 覺 因 伏 止 二 是 身 
T85n2755_001:0222c05	非業。謂空中光臺。三亦身亦業。謂卷舒敬示。	非 業 謂 空 中 光 臺 三 亦 身 亦 業 謂 卷 舒 敬 示 
T85n2755_001:0222c06	四非身非業。謂於前五段中第三第四段。但	四 非 身 非 業 謂 於 前 五 段 中 第 三 第 四 段 但 
T85n2755_001:0222c07	令尋光相見。非業非身。餘義如地論攝中說。	令 尋 光 相 見 非 業 非 身 餘 義 如 地 論 攝 中 說 
T85n2755_001:0222c08	第二頌中有七頌半作三門。一教請分別　前	第 二 頌 中 有 七 頌 半 作 三 門 一 教 請 分 別 前 
T85n2755_001:0222c09	六頌是請為彰法是勝令人敬重。後一頌半	六 頌 是 請 為 彰 法 是 勝 令 人 敬 重 後 一 頌 半 
T85n2755_001:0222c10	是教說為顯說真使眾生深信。二加請分別。	是 教 說 為 顯 說 真 使 眾 生 深 信 二 加 請 分 別 
T85n2755_001:0222c11	就六頌中。初二頌半望於說者亦加亦請。謂	就 六 頌 中 初 二 頌 半 望 於 說 者 亦 加 亦 請 謂 
T85n2755_001:0222c12	與力名加勸說稱請。後三頌半中。初一望聽	與 力 名 加 勸 說 稱 請 後 三 頌 半 中 初 一 望 聽 
T85n2755_001:0222c13	者與力堪聞為成其請。後二頌半舉法利益	者 與 力 堪 聞 為 成 其 請 後 二 頌 半 舉 法 利 益 
T85n2755_001:0222c14	為成加請。三釋文中。初一頌半明能加。次	為 成 加 請 三 釋 文 中 初 一 頌 半 明 能 加 次 
T85n2755_001:0222c15	一頌顯加之所為。次三頌彰法利益。後一頌	一 頌 顯 加 之 所 為 次 三 頌 彰 法 利 益 後 一 頌 
T85n2755_001:0222c16	半明教說分齊。初中作二釋。一隨經。二就論。	半 明 教 說 分 齊 初 中 作 二 釋 一 隨 經 二 就 論 
T85n2755_001:0222c17	隨經中六句顯佛六種殊勝。一極位勝。無等	隨 經 中 六 句 顯 佛 六 種 殊 勝 一 極 位 勝 無 等 
T85n2755_001:0222c18	等故。二無染勝。如空無染故。三威力勝。具	等 故 二 無 染 勝 如 空 無 染 故 三 威 力 勝 具 
T85n2755_001:0222c19	十力等故。四眷屬勝。菩薩為世間尊佛為彼	十 力 等 故 四 眷 屬 勝 菩 薩 為 世 間 尊 佛 為 彼 
T85n2755_001:0222c20	主故。五會主勝。以釋迦佛為此會主。諸佛放	主 故 五 會 主 勝 以 釋 迦 佛 為 此 會 主 諸 佛 放 
T85n2755_001:0222c21	光。對此佛前助揚化故。六作加勝。現神力加	光 對 此 佛 前 助 揚 化 故 六 作 加 勝 現 神 力 加 
T85n2755_001:0222c22	說聽故。二就論者。此中神力是彼作加。此中	說 聽 故 二 就 論 者 此 中 神 力 是 彼 作 加 此 中 
T85n2755_001:0222c23	而現者是能現。即天人上也。又此中釋迦佛	而 現 者 是 能 現 即 天 人 上 也 又 此 中 釋 迦 佛 
T85n2755_001:0222c24	前現者。釋迦是姓。現猶生也。釋顯如論。又	前 現 者 釋 迦 是 姓 現 猶 生 也 釋 顯 如 論 又 
T85n2755_001:0222c25	此四義為法王者。一自在不為他屈。二力勝	此 四 義 為 法 王 者 一 自 在 不 為 他 屈 二 力 勝 
T85n2755_001:0222c26	能摧伏他。三眷屬輔弼豪強。四種姓籍胃尊	能 摧 伏 他 三 眷 屬 輔 弼 豪 強 四 種 姓 籍 胃 尊 
T85n2755_001:0222c27	高。初中二句。一慧無比。二心無礙。是故二障	高 初 中 二 句 一 慧 無 比 二 心 無 礙 是 故 二 障 
T85n2755_001:0222c28	并習皆永盡也。何故不但說無等示現等正	并 習 皆 永 盡 也 何 故 不 但 說 無 等 示 現 等 正 
T85n2755_001:0222c29	覺故者。此有二義。一以諸賢聖望於下地。皆	覺 故 者 此 有 二 義 一 以 諸 賢 聖 望 於 下 地 皆 
T85n2755_001:0223a01	亦無等。然其未必上齊佛果故。須明等以顯	亦 無 等 然 其 未 必 上 齊 佛 果 故 須 明 等 以 顯 
T85n2755_001:0223a02	上齊。二明佛無等。則謂餘佛亦非此等故。顯	上 齊 二 明 佛 無 等 則 謂 餘 佛 亦 非 此 等 故 顯 
T85n2755_001:0223a03	佛佛齊等無有勝劣故。云無等等也。餘義如	佛 佛 齊 等 無 有 勝 劣 故 云 無 等 等 也 餘 義 如 
T85n2755_001:0223a04	論應知。二加所為中以佛力開者。令承佛力	論 應 知 二 加 所 為 中 以 佛 力 開 者 令 承 佛 力 
T85n2755_001:0223a05	除眾。謂佛不能說疑。法王無畏藏者。文義蘊	除 眾 謂 佛 不 能 說 疑 法 王 無 畏 藏 者 文 義 蘊 
T85n2755_001:0223a06	積故名為藏。文義稱理。無能破者故名無畏。	積 故 名 為 藏 文 義 稱 理 無 能 破 者 故 名 無 畏 
T85n2755_001:0223a07	此藏唯佛自在之處故云法王。此上總顯下	此 藏 唯 佛 自 在 之 處 故 云 法 王 此 上 總 顯 下 
T85n2755_001:0223a08	二句別辨中。說諸所行者是字藏。成就諸地	二 句 別 辨 中 說 諸 所 行 者 是 字 藏 成 就 諸 地 
T85n2755_001:0223a09	義差別者是義藏。成就下明說法利益。有三	義 差 別 者 是 義 藏 成 就 下 明 說 法 利 益 有 三 
T85n2755_001:0223a10	時益　承諸佛神力下一頌明聞時益。謂以法	時 益 承 諸 佛 神 力 下 一 頌 明 聞 時 益 謂 以 法 
T85n2755_001:0223a11	勝故。聞時即得諸佛加護離諸魔事。上半加	勝 故 聞 時 即 得 諸 佛 加 護 離 諸 魔 事 上 半 加 
T85n2755_001:0223a12	故能聞。能聞決定故云無能壞者。下半聞故	故 能 聞 能 聞 決 定 故 云 無 能 壞 者 下 半 聞 故 
T85n2755_001:0223a13	已得護上。解脫月云。佛所護念事。令人易信	已 得 護 上 解 脫 月 云 佛 所 護 念 事 令 人 易 信 
T85n2755_001:0223a14	解。是此義也。漸次下二句明修行時益。謂漸	解 是 此 義 也 漸 次 下 二 句 明 修 行 時 益 謂 漸 
T85n2755_001:0223a15	次修行諸地具足。必得成就無上菩提。即上	次 修 行 諸 地 具 足 必 得 成 就 無上菩提 即 上 
T85n2755_001:0223a16	句因圓。下句果滿。	句 因 圓 下 句 果 滿 
T85n2755_001:0223a17	自下一頌半明轉生時益。初一頌正明有益。	自 下 一 頌 半 明 轉 生 時 益 初 一 頌 正 明 有 益 
T85n2755_001:0223a18	後半簡餘無益。若人堪任聞者。謂有菩薩種	後 半 簡 餘 無 益 若 人 堪 任 聞 者 謂 有 菩 薩 種 
T85n2755_001:0223a19	姓。曾種此一乘善根者。堪聞此法。能正信受	姓 曾 種 此 一 乘 善 根 者 堪 聞 此 法 能 正 信 受 
T85n2755_001:0223a20	故。雖生在大海龍世界。長壽亦得聞此經。此	故 雖 生 在 大 海 龍 世 界 長 壽 亦 得 聞 此 經 此 
T85n2755_001:0223a21	是惡道難處。長壽者。如說右脇著地未動之	是 惡 道 難 處 長 壽 者 如 說 右 脇 著 地 未 動 之 
T85n2755_001:0223a22	間。已逕賢劫千佛出世。更一轉時復逕爾許	間 已 逕 賢 劫 千 佛 出 世 更 一 轉 時 復 逕 爾 許 
T85n2755_001:0223a23	時。但暫臥息有爾許時。況其一生何可計知。	時 但 暫 臥 息 有 爾 許 時 況 其 一 生 何 可 計 知 
T85n2755_001:0223a24	在中不聞佛法故名難處。若是此法器。雖生	在 中 不 聞 佛 法 故 名 難 處 若 是 此 法 器 雖 生 
T85n2755_001:0223a25	在彼而亦得聞。為顯法隨機不捨不簡難處	在 彼 而 亦 得 聞 為 顯 法 隨 機 不 捨 不 簡 難 處 
T85n2755_001:0223a26	故。問。若堪聞此何故生彼。答。由餘宿業故。	故 問 若 堪 聞 此 何 故 生 彼 答 由 餘 宿 業 故 
T85n2755_001:0223a27	如龍女聞法等。又以龍宮有經故。問。若生彼	如 龍 女 聞 法 等 又 以 龍 宮 有 經 故 問 若 生 彼 
T85n2755_001:0223a28	得聞。何名難處。答。不聞多故。得聞少故。從	得 聞 何 名 難 處 答 不 聞 多 故 得 聞 少 故 從 
T85n2755_001:0223a29	多名難。故論經云。決定信無疑者得聞故。此	多 名 難 故 論 經 云 決 定 信 無 疑 者 得 聞 故 此 
T85n2755_001:0223b01	經云。癡疑不得聞故。及劫盡火中者。此言順	經 云 癡 疑 不 得 聞 故 及 劫 盡 火 中 者 此 言 順 
T85n2755_001:0223b02	西國語。若順此應云劫火盡中。此言不足。若	西 國 語 若 順 此 應 云 劫 火 盡 中 此 言 不 足 若 
T85n2755_001:0223b03	具應云劫火盡時在光音中。以頌迮巧略故	具 應 云 劫 火 盡 時 在 光 音 中 以 頌 迮 巧 略 故 
T85n2755_001:0223b04	也。以光音是第二禪免火災。論中言等者。等	也 以 光 音 是 第 二 禪 免 火 災 論 中 言 等 者 等 
T85n2755_001:0223b05	取三禪免水。四禪免風。此並是善道長壽無	取 三 禪 免 水 四 禪 免 風 此 並 是 善 道 長 壽 無 
T85n2755_001:0223b06	難處。問。通論色界俱是難處。何故不言初禪	難 處 問 通 論 色 界 俱 是 難 處 何 故 不 言 初 禪 
T85n2755_001:0223b07	直舉二禪等耶。答。以彼初禪有覺觀故。難輕	直 舉 二 禪 等 耶 答 以 彼 初 禪 有 覺 觀 故 難 輕 
T85n2755_001:0223b08	不舉。問。若此色界俱是難處。何故梵網等經	不 舉 問 若 此 色 界 俱 是 難 處 何 故 梵 網 等 經 
T85n2755_001:0223b09	有彼處說。答。此據聖境故。有說法令彼法器	有 彼 處 說 答 此 據 聖 境 故 有 說 法 令 彼 法 器 
T85n2755_001:0223b10	眾生亦得問經。如此所說。若就實報則成難	眾 生 亦 得 問 經 如 此 所 說 若 就 實 報 則 成 難 
T85n2755_001:0223b11	攝。又從多以為難攝。問。無色亦難。何故不	攝 又 從 多 以 為 難 攝 問 無 色 亦 難 何 故 不 
T85n2755_001:0223b12	說彼。答。菩薩不生無色天故。又釋理實亦聞。	說 彼 答 菩 薩 不 生 無 色 天 故 又 釋 理 實 亦 聞 
T85n2755_001:0223b13	但隨相彼無形色絕聽受故。不彰聞也。下二	但 隨 相 彼 無 形 色 絕 聽 受 故 不 彰 聞 也 下 二 
T85n2755_001:0223b14	句簡非利益。謂雖生在人中無難之處。然無	句 簡 非 利 益 謂 雖 生 在 人 中 無 難 之 處 然 無 
T85n2755_001:0223b15	惠無信。終不能得聞。問。人中不聞。何不難	惠 無 信 終 不 能 得 聞 問 人 中 不 聞 何 不 難 
T85n2755_001:0223b16	攝。答。亦從多故。由疑故不信。不信故不受	攝 答 亦 從 多 故 由 疑 故 不 信 不 信 故 不 受 
T85n2755_001:0223b17	也。由癡故不解。不解故輕棄也。自有受而不	也 由 癡 故 不 解 不 解 故 輕 棄 也 自 有 受 而 不 
T85n2755_001:0223b18	解。解而不受。是故要須智信。翻此癡疑故	解 解 而 不 受 是 故 要 須 智 信 翻 此 癡 疑 故 
T85n2755_001:0223b19	得聞也。	得 聞 也 
T85n2755_001:0223b20	是故下二頌教說中。初一頌教依三漸。次說	是 故 下 二 頌 教 說 中 初 一 頌 教 依 三 漸 次 說 
T85n2755_001:0223b21	後一舉二利勸說。前中諸地智道者。此是觀	後 一 舉 二 利 勸 說 前 中 諸 地 智 道 者 此 是 觀 
T85n2755_001:0223b22	漸。次謂加行智推求名觀通生入證故云是	漸 次 謂 加 行 智 推 求 名 觀 通 生 入 證 故 云 是 
T85n2755_001:0223b23	諸地智之道。世論云。若觀若依止能生諸地	諸 地 智 之 道 世 論 云 若 觀 若 依 止 能 生 諸 地 
T85n2755_001:0223b24	智。此釋觀中漸次之義。謂觀者意言觀察。依	智 此 釋 觀 中 漸 次 之 義 謂 觀 者 意 言 觀 察 依 
T85n2755_001:0223b25	此增上力生諸地證智故。云若依止能生等。	此 增 上 力 生 諸 地 證 智 故 云 若 依 止 能 生 等 
T85n2755_001:0223b26	二入勢力觀法者。是證漸次。謂正體智正證	二 入 勢 力 觀 法 者 是 證 漸 次 謂 正 體 智 正 證 
T85n2755_001:0223b27	真如。此智能斷惑證理。依起後得。具此三	真 如 此 智 能 斷 惑 證 理 依 起 後 得 具 此 三 
T85n2755_001:0223b28	力故名漸次也。次第而修行者。是論中漸次	力 故 名 漸 次 也 次 第 而 修 行 者 是 論 中 漸 次 
T85n2755_001:0223b29	也。得至於餘地者。是論中上句展轉也。各得	也 得 至 於 餘 地 者 是 論 中 上 句 展 轉 也 各 得 
T85n2755_001:0223c01	下二句明修行漸次。是後得智更重觀前所	下 二 句 明 修 行 漸 次 是 後 得 智 更 重 觀 前 所 
T85n2755_001:0223c02	證。及聞受上地進修之法。成自利行故云得	證 及 聞 受 上 地 進 修 之 法 成 自 利 行 故 云 得 
T85n2755_001:0223c03	利益。又為他宣說等故。利一切世間故。論	利 益 又 為 他 宣 說 等 故 利 一切世間 故 論 
T85n2755_001:0223c04	云。此行種種異行境界境界者分齊也。此三	云 此 行 種 種 異 行 境 界 境 界 者 分 齊 也 此 三 
T85n2755_001:0223c05	次第成故云漸次。又此三中一一各有漸次	次 第 成 故 云 漸 次 又 此 三 中 一 一 各 有 漸 次 
T85n2755_001:0223c06	故亦名也。又此三隣接漸次故。云願說勿令	故 亦 名 也 又 此 三 隣 接 漸 次 故 云 願 說 勿 令 
T85n2755_001:0223c07	斷也　第二許說分齊中有二。先長行序許	斷 也 第 二 許 說 分 齊 中 有 二 先 長 行 序 許 
T85n2755_001:0223c08	說之意。後偈頌顯所說分齊。前中觀察等明	說 之 意 後 偈 頌 顯 所 說 分 齊 前 中 觀 察 等 明 
T85n2755_001:0223c09	其說相。欲令等明其說意。前中論云。何故	其 說 相 欲 令 等 明 其 說 意 前 中 論 云 何 故 
T85n2755_001:0223c10	觀察十方示無我慢無偏心故者。有別有通。	觀 察 十 方 示 無 我 慢 無 偏 心 故 者 有 別 有 通 
T85n2755_001:0223c11	別中二。一觀十方佛欲承力而說故。云示無	別 中 二 一 觀 十 方 佛 欲 承 力 而 說 故 云 示 無 
T85n2755_001:0223c12	我慢。二察十方機欲令同入地。云示無偏心。	我 慢 二 察 十 方 機 欲 令 同 入 地 云 示 無 偏 心 
T85n2755_001:0223c13	二通中有二。初約承力。二約授說。初中何故	二 通 中 有 二 初 約 承 力 二 約 授 說 初 中 何 故 
T85n2755_001:0223c14	觀十方佛者。欲承其力故示無慢。隨觀一佛	觀 十 方 佛 者 欲 承 其 力 故 示 無 慢 隨 觀 一 佛 
T85n2755_001:0223c15	承力便是。何假十方示無偏心。二約授說中。	承 力 便 是 何 假 十 方 示 無 偏 心 二 約 授 說 中 
T85n2755_001:0223c16	何故觀方以示現說相故。謂前已三位五請	何 故 觀 方 以 示 現 說 相 故 謂 前 已 三 位 五 請 
T85n2755_001:0223c17	備盡慇懃。今若不說即成我慢。是故觀方示	備 盡 慇 懃 今 若 不 說 即 成 我 慢 是 故 觀 方 示 
T85n2755_001:0223c18	說令眾咸知顯已無慢。若爾觀察一眾足示	說 令 眾 咸 知 顯 已 無 慢 若 爾 觀 察 一 眾 足 示 
T85n2755_001:0223c19	說相。何須具觀十方眾邪示無偏心故。又觀	說 相 何 須 具 觀 十 方 眾 邪 示 無 偏 心 故 又 觀 
