T85n2773_001:0423c07	維摩經抄	維 摩 經 抄 
T85n2773_001:0425c20	穢虧盈。異質不成故披源即冥。無質不成故	穢 虧 盈 異 質 不 成 故 披 源 即 冥 無 質 不 成 故 
T85n2773_001:0425c21	緣起不形　經曰。譬如諸天共寶器食隨其	緣 起 不 形 經 曰 譬 如 諸 天 共 寶 器 食 隨 其 
T85n2773_001:0425c22	福德飯色有異　述曰。飯體是一。諸天福德	福 德 飯 色 有 異 述 曰 飯 體 是 一 諸 天 福 德 
T85n2773_001:0425c23	厚薄不同。所見飯色勝劣不等。佛土亦爾。淨	厚 薄 不 同 所 見 飯 色 勝 劣 不 等 佛 土 亦 爾 淨 
T85n2773_001:0425c24	穢是一。隨諸眾生垢淨不同。所見各異。世尊	穢 是 一 隨 諸 眾 生 垢 淨 不 同 所 見 各 異 世 尊 
T85n2773_001:0425c25	常說。水體是一。諸天福德見為瑠璃寶物。人	常 說 水 體 是 一 諸 天 福 德 見 為 瑠 璃 寶 物 人 
T85n2773_001:0425c26	福次勝見其清水湛可受用。魚龍等次劣見	福 次 勝 見 其 清 水 湛 可 受 用 魚 龍 等 次 劣 見 
T85n2773_001:0425c27	是舍屋窟宅。餓鬼惡業唯見膿血猛火。	是 舍 屋 窟 宅 餓 鬼 惡 業 唯 見 膿 血 猛 火 
T85n2773_001:0425c28	方便品第二	方 便 品 第 二 
T85n2773_001:0425c29	經曰。諸仁者如此身明智者所不怙　此上	經 曰 諸 仁 者 如 此 身 明 智 者 所 不 怙 此 上 
T85n2773_001:0426a01	皆三字為句。怙者恃怙。此身廉人明智之人	皆 三 字 為 句 怙 者 恃 怙 此 身 廉 人 明 智 之 人 
T85n2773_001:0426a02	不恃怙也。又方便一品維摩居士多欲教化	不 恃 怙 也 又 方 便 一 品 維 摩 居 士 多 欲 教 化 
T85n2773_001:0426a03	凡夫眾生新學菩薩。五種觀門。一觀身是苦。	凡 夫 眾 生 新學菩薩 五 種 觀 門 一 觀 身 是 苦 
T85n2773_001:0426a04	二觀身空。三觀身無常。四觀身無我。五觀身	二 觀 身 空 三 觀 身 無 常 四 觀 身 無 我 五 觀 身 
T85n2773_001:0426a05	不淨　經曰。為病為惱眾苦所集苦觀也。是	不 淨 經 曰 為 病 為 惱 眾 苦 所 集 苦 觀 也 是 
T85n2773_001:0426a06	身如聚沫已下空觀也。是身如浮雲已下無	身 如 聚 沫 已 下 空 觀 也 是 身 如 浮 雲 已 下 無 
T85n2773_001:0426a07	常觀也。是身無主為如地已下無我觀也。是	常 觀 也 是 身 無 主 為 如 地 已 下 無 我 觀 也 是 
T85n2773_001:0426a08	身不淨穢惡充滿已下不淨觀也。此之五觀	身 不 淨 穢 惡 充 滿 已 下 不 淨 觀 也 此 之 五 觀 
T85n2773_001:0426a09	大小二乘初修之門。止貪嗔發智慧也。	大 小 二 乘 初 修 之 門 止 貪 嗔 發 智 慧 也 
T85n2773_001:0426a10	弟子品第三	弟 子 品 第 三 
T85n2773_001:0426a11	經曰。夫宴坐者。不於三界現身意相。是為宴	經 曰 夫 宴 坐 者 不 於 三 界 現 身 意 相 是 為 宴 
T85n2773_001:0426a12	坐　述曰。此淨名居士以大呵小也。小乘見	坐 述 曰 此 淨 名 居 士 以 大 呵 小 也 小 乘 見 
T85n2773_001:0426a13	定散之二相。所以捨散而取定。既有定可取	定 散 之 二 相 所 以 捨 散 而 取 定 既 有 定 可 取 
T85n2773_001:0426a14	著相分別還成非定。或閑林淨處結跏趺坐。	著 相 分 別 還 成 非 定 或 閑 林 淨 處 結跏趺坐 
T85n2773_001:0426a15	閉目合口心識不行出入息斷。此是小乘禪	閉 目 合 口 心 識 不 行 出 入 息 斷 此 是 小 乘 禪 
T85n2773_001:0426a16	定之相。大乘菩薩則不如是。定散俱泯。出入	定 之 相 大 乘 菩 薩 則 不 如 是 定 散 俱 泯 出 入 
T85n2773_001:0426a17	雙如真心湛然。是為真定。豈可以閉目合口	雙 如 真 心 湛 然 是 為 真 定 豈 可 以 閉 目 合 口 
T85n2773_001:0426a18	兀坐林中而為定邪。不妨散走三界以利生	兀 坐 林 中 而 為 定 邪 不 妨 散 走 三 界 以 利 生 
T85n2773_001:0426a19	散不妨定凝。一如而不動是故　經云。不起	散 不 妨 定 凝 一 如 而 不 動 是 故 經 云 不 起 
T85n2773_001:0426a20	滅定而現諸威儀　經曰。不斷煩惱而入涅	滅 定 而 現 諸 威 儀 經 曰 不 斷 煩 惱 而 入 涅 
T85n2773_001:0426a21	槃　述曰。小乘著相不了煩惱性空。所以有	槃 述 曰 小 乘 著 相 不 了 煩 惱 性 空 所 以 有 
T85n2773_001:0426a22	煩惱可斷。不了涅槃性空。有涅槃可入。有斷	煩 惱 可 斷 不 了 涅 槃 性 空 有 涅 槃 可 入 有 斷 
T85n2773_001:0426a23	可斷雖而不斷。有入可入而不入。大乘菩薩	可 斷 雖 而 不 斷 有 入 可 入 而 不 入 大 乘 菩 薩 
T85n2773_001:0426a24	了煩惱性空。無斷可斷悟涅槃無相。無入可	了 煩 惱 性 空 無 斷 可 斷 悟 涅 槃 無 相 無 入 可 
T85n2773_001:0426a25	入。無斷可斷乃為真斷。無入可入始為真入。	入 無 斷 可 斷 乃 為 真 斷 無 入 可 入 始 為 真 入 
T85n2773_001:0426a26	若能如是名為宴坐。宴坐定也　經曰。法無	若 能 如 是 名 為 宴 坐 宴 坐 定 也 經 曰 法 無 
T85n2773_001:0426a27	有人前後際斷故　述曰。際者畔也。前際者	有 人 前後際斷 故 述 曰 際 者 畔 也 前 際 者 
T85n2773_001:0426a28	前念也。後際者後念也。有為之法前念後念	前 念 也 後 際 者 後 念 也 有 為 之 法 前 念 後 念 
T85n2773_001:0426a29	相續不斷。名之為人。以理推之前後兩念不	相續不斷 名 之 為 人 以 理 推 之 前 後 兩 念 不 
T85n2773_001:0426b01	相趂。及前念已滅後念方生中間斷絕無有。	相 趂 及 前 念 已 滅 後 念 方 生 中 間 斷 絕 無 有 
T85n2773_001:0426b02	真實故曰無人　經曰。法同法性入諸法故	真 實 故 曰 無 人 經 曰 法 同 法 性 入 諸 法 故 
T85n2773_001:0426b03	　述曰。言法性者即真如也。法之實性莫過	 述 曰 言 法 性 者 即 真 如 也 法 之 實 性 莫 過 
T85n2773_001:0426b04	真如。心悟真如即是入一切法也　經曰。法	真 如 心 悟 真 如 即 是 入 一 切 法 也 經 曰 法 
T85n2773_001:0426b05	住實際諸邊不動故　述曰。言實際者即前	住 實 際 諸 邊 不 動 故 述 曰 言 實 際 者 即 前 
T85n2773_001:0426b06	真如法性。此之法性乃是諸法真實之邊際	真 如 法 性 此 之 法 性 乃 是 諸 法 真 實 之 邊 際 
T85n2773_001:0426b07	更無過。此名為際也。言諸邊者。即生往異滅	更 無 過 此 名 為 際 也 言 諸 邊 者 即 生 往 異 滅 
T85n2773_001:0426b08	四相名邊。此之實際湛然常住不為四相之	四 相 名 邊 此 之 實 際 湛 然 常 住 不 為 四 相 之 
T85n2773_001:0426b09	所搖動故云諸邊不動也　經曰。法順空隨	所 搖 動 故 云 諸 邊 不 動 也 經 曰 法 順 空 隨 
T85n2773_001:0426b10	無相應無作　述曰。此上三句皆三字為句	無 相 應 無 作 述 曰 此 上 三 句 皆 三 字 為 句 
T85n2773_001:0426b11	也。隨者隨逐。應字去聲呼之。所謂應會也。一	也 隨 者 隨 逐 應 字 去 聲 呼 之 所 謂 應 會 也 一 
T85n2773_001:0426b12	切諸法畢竟門中順於空寂隨逐無相應於無	切 諸 法 畢 竟 門 中 順 於 空 寂 隨 逐 無 相 應 於 無 
T85n2773_001:0426b13	作。不生不滅如如理也。經曰。為壞和合相故	作 不生不滅 如 如 理 也 經 曰 為 壞 和 合 相 故 
T85n2773_001:0426b14	應取揣食　述曰。夫一切食總有四種。一段	應 取 揣 食 述 曰 夫 一 切 食 總 有 四 種 一 段 
T85n2773_001:0426b15	食。二思食。三觸食。四識食。此言揣食即段食	食 二 思 食 三 觸 食 四 識 食 此 言 揣 食 即 段 食 
T85n2773_001:0426b16	也。有其形段可揣聚也。此食最麁。以香味觸	也 有 其 形 段 可 揣 聚 也 此 食 最 麁 以 香 味 觸 
T85n2773_001:0426b17	三事為體。鼻取食中之香。舌取食中之味。身	三 事 為 體 鼻 取 食 中 之 香 舌 取 食 中 之 味 身 
T85n2773_001:0426b18	取食中之觸。一切眾生於此三事和合揣食。	取 食 中 之 觸 一 切 眾 生 於 此 三事和合 揣 食 
T85n2773_001:0426b19	心生貪著不得解脫。今教觀此因緣和合假	心 生 貪 著 不得解脫 今 教 觀 此 因緣和合 假 
T85n2773_001:0426b20	名為食。因緣性空不起貪著為解脫之初緣。	名 為 食 因 緣 性 空 不 起 貪 著 為 解 脫 之 初 緣 
T85n2773_001:0426b21	以下因緣文經為不受故應受彼食意亦同。	以 下 因 緣 文 經 為 不 受 故 應 受 彼 食 意 亦 同 
T85n2773_001:0426b22	此為療身病而受段食。非貪著之受名為不	此 為 療 身 病 而 受 段 食 非 貪 著 之 受 名 為 不 
T85n2773_001:0426b23	受　經曰。知諸法如幻相無自性無他性。本	受 經 曰 知 諸 法 如 幻 相 無 自 性 無 他 性 本 
T85n2773_001:0426b24	自不然。今則無滅　述曰。此言諸法者即有	自 不 然 今 則 無 滅 述 曰 此 言 諸 法 者 即 有 
T85n2773_001:0426b25	為法也。從緣而有。無其實性似有非真如。幻	為 法 也 從 緣 而 有 無 其 實 性 似 有 非 真 如 幻 
T85n2773_001:0426b26	相也。從緣生故無自性也。因緣亦空無他性	相 也 從 緣 生 故 無 自 性 也 因 緣 亦 空 無 他 性 
T85n2773_001:0426b27	也。如是空故本無有生。故云不然。既無有生	也 如 是 空 故 本 無 有 生 故 云 不 然 既 無 有 生 
T85n2773_001:0426b28	從何有滅　經曰。無大福無小福。不為益不	從 何 有 滅 經 曰 無 大 福 無 小 福 不 為 益 不 
T85n2773_001:0426b29	為損　述曰。凡小著相施。持戒得大福施。破	為 損 述 曰 凡 小 著 相 施 持 戒 得 大 福 施 破 
T85n2773_001:0426c01	戒得小福施。聖人得大福施。凡夫得小福乃	戒 得 小 福 施 聖 人 得 大 福 施 凡 夫 得 小 福 乃 
T85n2773_001:0426c02	至廣說得大福則益。得小福則損。大乘無相	至 廣 說 得 大 福 則 益 得 小 福 則 損 大 乘 無 相 
T85n2773_001:0426c03	則不如是。二福雙泯三事體空。無大福故不	則 不 如 是 二 福 雙 泯 三 事 體 空 無 大 福 故 不 
T85n2773_001:0426c04	為益。無小福故不為損。經曰。非有煩惱非	為 益 無 小 福 故 不 為 損 經 曰 非 有 煩 惱 非 
T85n2773_001:0426c05	離煩惱　述曰。煩惱性空故云非有繫縛。難	離 煩 惱 述 曰 煩 惱 性 空 故 云 非 有 繫 縛 難 
T85n2773_001:0426c06	解故云非離　經曰。於食等者諸法亦等。諸	解 故 云 非 離 經 曰 於 食 等 者 諸 法 亦 等 諸 
T85n2773_001:0426c07	法等者於食亦等　述曰。小乘凡夫食外見	法 等 者 於 食 亦 等 述 曰 小 乘 凡 夫 食 外 見 
T85n2773_001:0426c08	法法外見食。有麁細不同。法有勝劣差別。故	法 法 外 見 食 有 麁 細 不 同 法 有 勝 劣 差 別 故 
T85n2773_001:0426c09	云非等。大乘妙理法食皆如。以皆如故食等。	云 非 等 大 乘 妙 理 法 食 皆 如 以 皆 如 故 食 等 
T85n2773_001:0426c10	於法法等。於食法食尚等。何有貧富而取捨	於 法 法 等 於 食 法 食 尚 等 何 有 貧 富 而 取 捨 
T85n2773_001:0426c11	乎　經曰。不斷婬怒癡亦不與俱　述曰。煩	乎 經 曰 不 斷 婬 怒 癡 亦 不 與 俱 述 曰 煩 
T85n2773_001:0426c12	惱本空故云不斷。心性本淨故不與俱。亦可	惱 本 空 故 云 不 斷 心 性 本 淨 故 不 與 俱 亦 可 
T85n2773_001:0426c13	煩惱既空與何俱也　經曰。不滅癡愛起於	煩 惱 既 空 與 何 俱 也 經 曰 不 滅 癡 愛 起 於 
T85n2773_001:0426c14	明脫　述曰。癡愛空寂。無癡可滅了。此空寂	明 脫 述 曰 癡 愛 空 寂 無 癡 可 滅 了 此 空 寂 
T85n2773_001:0426c15	惠眼即明而得解脫。亦可示行癡愛故云不	惠 眼 即 明 而 得 解 脫 亦 可 示 行 癡 愛 故 云 不 
T85n2773_001:0426c16	滅　處之不染猶如呪藥。何須滅耶。如悉達太	滅 處 之 不 染 猶 如 呪 藥 何 須 滅 耶 如 悉 達 太 
T85n2773_001:0426c17	子示行五欲納妃生子。菩提樹下成道。前雖	子 示 行 五 欲 納 妃 生 子 菩提樹下 成 道 前 雖 
T85n2773_001:0426c18	云未滅已是佛身猶來明脫　經曰。以五逆	云 未 滅 已 是 佛 身 猶 來 明 脫 經 曰 以 五 逆 
T85n2773_001:0426c19	相而得解脫　述曰。外相行逆而內心清清	相 而 得 解 脫 述 曰 外 相 行 逆 而 內 心 清 清 
T85n2773_001:0426c20	本來解脫。如提婆達多即其事也。亦可達五	本 來 解 脫 如 提 婆 達 多 即 其 事 也 亦 可 達 五 
T85n2773_001:0426c21	逆相滅而得解脫。如阿闍世王聞法悟道。五	逆 相 滅 而 得 解 脫 如 阿 闍 世 王 聞 法 悟 道 五 
T85n2773_001:0426c22	逆罪滅而得解脫　經曰。不見佛不聞法	逆 罪 滅 而 得 解 脫 經 曰 不 見 佛 不 聞 法 
T85n2773_001:0426c23	　述曰。法身真佛無形無相故云不見。真如理	 述 曰 法 身 真 佛 無 形 無 相 故 云 不 見 真 如 理 
T85n2773_001:0426c24	法言語道斷故云不聞。亦云可相佛。法因緣	法 言語道斷 故 云 不 聞 亦 云 可 相 佛 法 因 緣 
T85n2773_001:0426c25	所成。因緣性空。見無所見。聞無所聞了。此法	所 成 因 緣 性 空 見 無 所 見 聞 無 所 聞 了 此 法 
T85n2773_001:0426c26	門然可取食　經曰。彼外道六師富蘭那等	門 然 可 取 食 經 曰 彼 外 道 六 師 富 蘭 那 等 
T85n2773_001:0426c27	是汝之師。彼師所墮汝亦墮。乃可取食　述	是 汝 之 師 彼 師 所 墮 汝 亦 墮 乃 可 取 食 述 
T85n2773_001:0426c28	曰。有相門中佛法是正。外道是邪。凡夫二	曰 有 相 門 中 佛 法 是 正 外 道 是 邪 凡 夫 二 
T85n2773_001:0426c29	乘捨邪求正。二相分別未亡而還墮耶。未契	乘 捨 邪 求 正 二 相 分 別 未 亡 而 還 墮 耶 未 契 
T85n2773_001:0427a01	真空不應取食。大乘真門離於分別。分別既	真 空 不 應 取 食 大 乘 真 門 離 於 分 別 分 別 既 
T85n2773_001:0427a02	離邪正。一如故無邪可捨。無正可歸契。此通	離 邪 正 一 如 故 無 邪 可 捨 無 正 可 歸 契 此 通 
T85n2773_001:0427a03	途乃可取食　經曰。同於煩惱離清淨法	途 乃 可 取 食 經 曰 同 於 煩 惱 離 清 淨 法 
T85n2773_001:0427a04	　述曰。示同凡夫同於煩惱。示入妄想離清淨	 述 曰 示 同 凡 夫 同 於 煩 惱 示 入 妄 想 離 清 淨 
T85n2773_001:0427a05	法。亦可真妄一體同於煩惱。垢淨一如離清	法 亦 可 真 妄 一 體 同 於 煩 惱 垢 淨 一 如 離 清 
T85n2773_001:0427a06	淨法　經曰。其施汝者不名福田。供養汝者	淨 法 經 曰 其 施 汝 者 不 名 福 田 供 養 汝 者 
T85n2773_001:0427a07	墮三惡道　述曰。有施可施。不了施空。雖施	墮 三 惡 道 述 曰 有 施 可 施 不 了 施 空 雖 施 
T85n2773_001:0427a08	非福。有供可供。不了供空。妄想既興不出生	非 福 有 供 可 供 不 了 供 空 妄 想 既 興 不 出 生 
T85n2773_001:0427a09	死輪迴。未休終墮三惡。若能證悟罪福俱空	死 輪 迴 未 休 終 墮 三 惡 若 能 證 悟 罪 福 俱 空 
T85n2773_001:0427a10	則無福無墮　經曰。於一切眾生而起怨心	則 無 福 無 墮 經 曰 於 一 切 眾 生 而 起 怨 心 
T85n2773_001:0427a11	　述曰。憎愛空也。謗諸佛教毀於法不入眾數。	 述 曰 憎 愛 空 也 謗 諸 佛 教 毀 於 法 不 入 眾 數 
T85n2773_001:0427a12	讚毀空也。上來多約無相之理釋。此一章若	讚 毀 空 也 上 來 多 約 無 相 之 理 釋 此 一 章 若 
T85n2773_001:0427a13	就有相門釋即是諸句之中皆翻顯即是　經	就 有 相 門 釋 即 是 諸 句 之 中 皆 翻 顯 即 是 經 
T85n2773_001:0427a14	曰。如來所作化人。若以是事詰。寧有懼不	曰 如來所作 化 人 若 以 是 事 詰 寧 有 懼 不 
T85n2773_001:0427a15	　述曰。言化人者幻化人也。此謂淨名語須菩	 述 曰 言 化 人 者 幻 化 人 也 此 謂 淨 名 語 須 菩 
T85n2773_001:0427a16	提。如來之身無形無相。無言無說。從真起	提 如來之身 無 形 無 相 無 言 無 說 從 真 起 
T85n2773_001:0427a17	化方便度生。我今與汝亦復如是。猶如幻化。	化 方 便 度 生 我 今 與 汝 亦復如是 猶 如 幻 化 
T85n2773_001:0427a18	更相詰問。有何所懼不取鉢耶。故次經云。一	更 相 詰 問 有 何 所 懼 不 取 鉢 耶 故 次 經 云 一 
T85n2773_001:0427a19	切諸法如幻化相。汝今不應有所懼也　經	切 諸 法 如 幻 化 相 汝 今 不 應 有 所 懼 也 經 
T85n2773_001:0427a20	曰。彼自無瘡勿傷之也　述曰。無病之身莫	曰 彼 自 無 瘡 勿 傷 之 也 述 曰 無 病 之 身 莫 
T85n2773_001:0427a21	開破刺之。孔大有之體勿鑿小乘之瘡　經	開 破 刺 之 孔 大 有 之 體 勿 鑿 小 乘 之 瘡 經 
T85n2773_001:0427a22	曰。我觀小乘智慧微淺猶如盲人。不能分別	曰 我 觀 小 乘 智 慧 微 淺 猶 如 盲 人 不 能 分 別 
T85n2773_001:0427a23	一切眾生諸根利鈍　述曰。羅漢辟支小乘	一 切 眾 生 諸 根 利 鈍 述 曰 羅 漢 辟 支 小 乘 
T85n2773_001:0427a24	極果。少證人空未證法空。少證真諦未了俗	極 果 少 證 人 空 未 證 法 空 少 證 真 諦 未 了 俗 
T85n2773_001:0427a25	諦。故有羅漢不識赤鹽白鴿。迷於三藏法門	諦 故 有 羅 漢 不 識 赤 鹽 白 鴿 迷 於 三 藏 法 門 
T85n2773_001:0427a26	故喻盲人。又涅槃經說。舍利弗前後各觀八	故 喻 盲 人 又 涅 槃 經 說 舍 利 弗 前 後 各 觀 八 
T85n2773_001:0427a27	萬。不知鴿之近遠。又錯為金師之子浣衣之。	萬 不 知 鴿 之 近 遠 又 錯 為 金 師 之 子 浣 衣 之 
T85n2773_001:0427a28	子觀行法門故云不了諸根利鈍　經曰。迦	子 觀 行 法 門 故 云 不 了 諸 根 利 鈍 經 曰 迦 
T85n2773_001:0427a29	旃延諸法畢竟不生不滅。是無常義。五受陰	旃 延 諸 法 畢竟不生 不 滅 是 無 常 義 五 受 陰 
T85n2773_001:0427b01	洞無所起。是苦義。諸法究竟無所有。是空義。	洞 無 所 起 是 苦 義 諸 法 究 竟 無 所 有 是 空 義 
T85n2773_001:0427b02	於我無我而不二。是無我義。法本不然。今則	於 我 無 我 而 不 二 是 無 我 義 法 本 不 然 今 則 
T85n2773_001:0427b03	無滅。是寂滅義　述曰。小乘凡夫於此無常	無 滅 是 寂 滅 義 述 曰 小 乘 凡 夫 於 此 無 常 
T85n2773_001:0427b04	苦空無我寂滅五法之體執為實有。今維摩	苦 空 無 我 寂 滅 五 法 之 體 執 為 實 有 今 維 摩 
T85n2773_001:0427b05	詰令其破有歸空。此中經文隱而難解。且無	詰 令 其 破 有 歸 空 此 中 經 文 隱 而 難 解 且 無 
T85n2773_001:0427b06	常等五是妄也。只緣妄故。所以無常苦等第	常 等 五 是 妄 也 只 緣 妄 故 所 以 無 常 苦 等 第 
T85n2773_001:0427b07	五寂滅即是小乘涅槃。猶如化城。權時施設	五 寂 滅 即 是 小 乘 涅 槃 猶 如 化 城 權 時 施 設 
T85n2773_001:0427b08	故亦是妄。真如法界是其真也。此真法界體	故 亦 是 妄 真 如 法 界 是 其 真 也 此 真 法 界 體 
T85n2773_001:0427b09	非無常非苦非空非無我非今寂滅。如如湛	非 無 常 非 苦 非 空 非 無 我 非 今 寂 滅 如 如 湛 
T85n2773_001:0427b10	然不增不減。無常等五本從真起。猶如波浪	然 不增不減 無 常 等 五 本 從 真 起 猶 如 波 浪 
T85n2773_001:0427b11	從水而生。愚癡之流見波浪而不見水。凡小	從 水 而 生 愚 癡 之 流 見 波 浪 而 不 見 水 凡 小 
T85n2773_001:0427b12	之輩見無常等不見真如。既不知水為波浪	之 輩 見 無 常 等 不 見 真 如 既 不 知 水 為 波 浪 
T85n2773_001:0427b13	之實體。焉能悟真如為無常等之實義。則知	之 實 體 焉 能 悟 真 如 為 無 常 等 之 實 義 則 知 
T85n2773_001:0427b14	述真逐妄一切皆有攝妄歸真。萬法俱空。逐	述 真 逐 妄 一 切 皆 有 攝 妄 歸 真 萬 法 俱 空 逐 
T85n2773_001:0427b15	妄則無常受苦歸真。乃苦等皆如法花窮子	妄 則 無 常 受 苦 歸 真 乃 苦 等 皆 如 法 花 窮 子 
T85n2773_001:0427b16	捨父母則漂流苦惱。涅槃貧女迷伏藏則抂	捨 父 母 則 漂 流 苦 惱 涅 槃 貧 女 迷 伏 藏 則 抂 
T85n2773_001:0427b17	受貧窮。皆同此意。真如法界不生不滅。與無	受 貧 窮 皆 同 此 意 真 如 法 界 不生不滅 與 無 
T85n2773_001:0427b18	常等為所依之事。實義故云不生不滅。是無	常 等 為 所 依 之 事 實 義 故 云 不生不滅 是 無 
T85n2773_001:0427b19	常義。餘苦等四門義准此釋。悟此一門諸經	常 義 餘 苦 等 四 門 義 准 此 釋 悟 此 一 門 諸 經 
T85n2773_001:0427b20	通身　經曰當直除滅勿擾其心　述曰。夫	通 身 經 曰 當 直 除 滅 勿 擾 其 心 述 曰 夫 
T85n2773_001:0427b21	罪者是有相之法。從妄而生。一念悟空萬罪	罪 者 是 有 相 之 法 從 妄 而 生 一 念 悟 空 萬 罪 
T85n2773_001:0427b22	皆滅。故云真也。豈同凡小對師偏但說諸委	皆 滅 故 云 真 也 豈 同 凡 小 對 師 偏 但 說 諸 委 
T85n2773_001:0427b23	曲。此則以相憎相。適足喧擾真心。何能罪	曲 此 則 以 相 憎 相 適 足 喧 擾 真 心 何 能 罪 
T85n2773_001:0427b24	滅　經曰。如優波離以心相得解脫時寧有垢	滅 經 曰 如 優 波 離 以 心 相 得 解 脫 時 寧 有 垢 
T85n2773_001:0427b25	不　述曰。清淨心相證解脫時如如不動。何	不 述 曰 清 淨 心 相 證 解 脫 時 如 如 不 動 何 
T85n2773_001:0427b26	更見於心外之垢不也　經曰。我即如法為	更 見 於 心 外 之 垢 不 也 經 曰 我 即 如 法 為 
T85n2773_001:0427b27	說出家功德之利　述曰。小乘出家剃髮染	說 出 家 功 德 之 利 述 曰 小 乘 出 家 剃 髮 染 
T85n2773_001:0427b28	衣。現世安樂名聞利養。當得生天快樂果報。	衣 現 世 安 樂 名 聞 利 養 當 得 生 天 快 樂 果 報 
T85n2773_001:0427b29	故云功德之利　經曰。無常利無功德是為	故 云 功 德 之 利 經 曰 無 常 利 無 功 德 是 為 
T85n2773_001:0427c01	出家　述曰。現世安樂當來快樂終非究竟。	出 家 述 曰 現 世 安 樂 當 來 快 樂 終 非 究 竟 
T85n2773_001:0427c02	有為生滅。真出家者去妄想悟無為。不見現	有 為 生 滅 真 出 家 者 去 妄 想 悟 無 為 不 見 現 
T85n2773_001:0427c03	世及與當來。如如之心真出家也。又尋經文	世 及 與 當 來 如 如 之 心 真 出 家 也 又 尋 經 文 
T85n2773_001:0427c04	解了法性。饒益眾生。無我無人。無道無俗。	解 了 法 性 饒 益 眾 生 無 我 無 人 無 道 無 俗 
T85n2773_001:0427c05	真出家也　經曰。我言。世尊身小有疾。當用	真 出 家 也 經 曰 我 言 世 尊 身 小 有 疾 當 用 
T85n2773_001:0427c06	牛乳。故來至此　述曰。准小乘宗。如來色身	牛 乳 故 來 至 此 述 曰 准 小 乘 宗 如 來 色 身 
T85n2773_001:0427c07	實有生滅。實有病苦。故求牛乳以療熱也	實 有 生 滅 實 有 病 苦 故 求 牛 乳 以 療 熱 也 
T85n2773_001:0427c08	　經曰。維摩詰言。止止阿難。莫作是語。如來身	 經 曰 維 摩 詰 言 止 止 阿 難 莫作是語 如 來 身 
T85n2773_001:0427c09	者金剛之體。當有何疾。乃至云莫使異人聞	者 金 剛 之 體 當 有 何 疾 乃 至 云 莫 使 異 人 聞 
T85n2773_001:0427c10	此麁言。大威德諸天他方菩薩得聞斯語。勿	此 麁 言 大 威 德 諸 天 他 方 菩 薩 得 聞 斯 語 勿 
T85n2773_001:0427c11	令我等受斯恥也　述曰。疾苦已盡方得成	令 我 等 受 斯 恥 也 述 曰 疾 苦 已 盡 方 得 成 
T85n2773_001:0427c12	佛。何有邪疾外道名異。佛弟子也。色無色界	佛 何 有 邪 疾 外 道 名 異 佛 弟 子 也 色無色界 
T85n2773_001:0427c13	名大威德天。如來身上發病苦之語。豈非麁	名 大 威 德 天 如 來 身 上 發 病 苦 之 語 豈 非 麁 
T85n2773_001:0427c14	也。外道執常諸天無病。佛過人天最尊最尊	也 外 道 執 常 諸 天 無 病 佛 過 人 天 最 尊 最 尊 
T85n2773_001:0427c15	勝。今有言病豈非恥耶　經曰。時我世尊實	勝 今 有 言 病 豈 非 恥 耶 經 曰 時 我 世 尊 實 
T85n2773_001:0427c16	懷慚恥。得無近佛而謬聽耶　述曰。阿難聞	懷 慚 恥 得 無 近 佛 而 謬 聽 耶 述 曰 阿 難 聞 
T85n2773_001:0427c17	淨名呵責之時故言時。我親為侍者故云近。	淨 名 呵 責 之 時 故 言 時 我 親 為 侍 者 故 云 近 
T85n2773_001:0427c18	佛有病之言異。於淨名之責心生疑怪故云	佛 有 病 之 言 異 於 淨 名 之 責 心 生 疑 怪 故 云 
T85n2773_001:0427c19	謬聽　經曰。如是五百大弟子各各向佛說其	謬 聽 經 曰 如 是 五 百 大 弟 子 各 各 向 佛 說 其 
T85n2773_001:0427c20	因緣。皆曰不任詣彼問疾　述曰。准此經文。	因 緣 皆 曰 不 任 詣 彼 問 疾 述 曰 准 此 經 文 
T85n2773_001:0427c21	五百弟子皆被呵責。經文具載卷偈。極多結	五 百 弟 子 皆 被 呵 責 經 文 具 載 卷 偈 極 多 結 
T85n2773_001:0427c22	集之家。略述十人。西方梵文應有廣本。	集 之 家 略 述 十 人 西 方 梵 文 應 有 廣 本 
T85n2773_001:0427c23	菩薩品第四	菩 薩 品 第 四 
T85n2773_001:0427c24	經曰。為以何生得受記乎。過去耶未來耶現	經 曰 為 以 何 生 得 受 記 乎 過 去 耶 未 來 耶 現 
T85n2773_001:0427c25	在耶。過去已滅未來未至。現在無住。云何受	在 耶 過 去 已 滅 未 來 未 至 現 在 無 住 云 何 受 
T85n2773_001:0427c26	記　述曰。准大小二乘宗三世有為各有一	記 述 曰 准 大 小 二 乘 宗 三 世 有 為 各 有 一 
T85n2773_001:0427c27	念。時之極促莫過一念。無前故夫論受記須	念 時 之 極 促 莫 過 一 念 無 前 故 夫 論 受 記 須 
T85n2773_001:0427c28	歷多時說授記方了。此之三念已滅未至。無	歷 多 時 說 授 記 方 了 此 之 三 念 已 滅 未 至 無 
T85n2773_001:0427c29	有停住。授記之事如何得成　經曰。無生即	有 停 住 授 記 之 事 如 何 得 成 經 曰 無 生 即 
T85n2773_001:0428a01	是正位。於正位中亦無受記等　述曰。言正	是 正 位 於 正 位 中 亦 無 受 記 等 述 曰 言 正 
T85n2773_001:0428a02	位者即是證果之正位。此中意者已登正位	位 者 即 是 證 果 之 正 位 此 中 意 者 已 登 正 位 
