X30n0602_001:0276a06	 妙法蓮華經解序	 妙法蓮華 經 解 序 
X30n0602_001:0283b08	喜覩前瑞翹竚嘉應。△六放光瑞三。一光相周	喜 覩 前 瑞 翹 竚 嘉 應 六 放 光 瑞 三 一 光 相 周 
X30n0602_001:0283b09	亘。	亘 
X30n0602_001:0283b10	爾時佛放眉間白毫相光(至)靡不周徧。	爾 時 佛 放 眉間白毫相光 至 靡 不 周 徧 
X30n0602_001:0283b11	一光周亘全彰妙體也。白毫即本覺妙明。東方為	一 光 周 亘 全 彰 妙 體 也 白 毫 即 本 覺 妙 明 東 方 為 
X30n0602_001:0283b12	不動智境。萬八千界依根塵識十八界言也。眾生	不 動 智 境 萬 八 千 界 依 根 塵 識 十 八 界 言 也 眾 生 
X30n0602_001:0283b13	迷此本明本智成十八界。自為限礙難造妙體故。	迷 此 本 明 本 智 成 十 八 界 自 為 限 礙 難 造 妙 體 故 
X30n0602_001:0283b14	將說法華先現此瑞。使行人直下自發本明照了	將 說 法 華 先 現 此 瑞 使 行 人 直 下 自 發 本 明 照 了 
X30n0602_001:0283b15	本智。則根塵識界通為智境。無復限礙廓達圓融。	本 智 則 根 塵 識 界 通 為 智 境 無 復 限 礙 廓 達 圓 融 
X30n0602_001:0283b16	故言萬八千界。△二圓現法界事相。	故 言 萬 八 千 界 二 圓 現 法 界 事 相 
X30n0602_001:0283b17	下至阿鼻地獄(至)及聞諸佛所說經法。	下 至 阿鼻地獄 至 及 聞 諸佛所說 經 法 
X30n0602_001:0283b18	阿鼻此云無間。即地獄最下。阿迦膩吒云質礙究	阿 鼻 此 云 無 間 即 地 獄 最 下 阿 迦 膩 吒 云 質 礙 究 
X30n0602_001:0283b19	竟。即色界極頂。不言無色者。無色非可見故。上極	竟 即 色 界 極 頂 不 言 無 色 者 無 色 非 可 見 故 上 極 
X30n0602_001:0283b20	諸天下窮地獄。於此世界盡見彼土。所謂圓現。△	諸 天 下 窮 地 獄 於 此 世 界 盡 見 彼 土 所 謂 圓 現 
X30n0602_001:0283b21	三圓現生佛始終。	三 圓 現 生 佛 始 終 
X30n0602_001:0283b22	并見彼諸比丘比丘尼(至)以佛舍利起七寶塔。	并 見 彼 諸 比 丘 比 丘 尼 至 以 佛 舍 利 起 七 寶 塔 
X30n0602_001:0283b23	始自比丘四眾修行得道。次見菩薩諸佛行相。終	始 自 比 丘 四 眾 修 行 得 道 次 見 菩 薩 諸 佛 行 相 終 
X30n0602_001:0283b24	至涅槃起塔。是現眾生諸佛之始終也。一光東照	至 涅 槃 起 塔 是 現 眾 生 諸 佛 之 始 終 也 一 光 東 照 
X30n0602_001:0283c01	周亘圓現。如此詳悉者。直依智境示諸法實相也。	周 亘 圓 現 如 此 詳 悉 者 直 依 智 境 示 諸法實相 也 
X30n0602_001:0283c02	世間萬法自識境觀之。悉皆幻惑莫得其實。自智	世 間 萬 法 自 識 境 觀 之 悉 皆 幻 惑 莫 得 其 實 自 智 
X30n0602_001:0283c03	境觀之。如是性相因緣。如是果報本末。咸一妙明	境 觀 之 如 是 性 相 因 緣 如 是 果 報 本 末 咸 一 妙 明 
X30n0602_001:0283c04	無非實相。若諸眾生本明洞發本智現前。則廓照	無 非 實 相 若 諸 眾 生 本 明 洞 發 本 智 現 前 則 廓 照 
X30n0602_001:0283c05	圓現與佛不殊。妙體實相昭昭心目矣。故文殊曰。	圓 現 與 佛 不 殊 妙 體 實 相 昭 昭 心 目 矣 故 文 殊 曰 
X30n0602_001:0283c06	今佛放光明助發實相義。自後經文全顯斯旨。故	今 佛 放 光 明 助 發 實 相 義 自 後 經 文 全 顯 斯 旨 故 
X30n0602_001:0283c07	先發緒如此。△四大士助發二。初彌勒示問二。	先 發 緒 如 此 四 大 士 助 發 二 初 彌 勒 示 問 二 
X30n0602_001:0283c08	初示疑發問。	初 示 疑 發 問 
X30n0602_001:0283c09	爾時彌勒菩薩作是念(至)悉見彼佛國界莊嚴。	爾 時 彌 勒 菩 薩 作 是 念 至 悉 見 彼 佛 國 界 莊 嚴 
X30n0602_001:0283c10	彌勒為補處之主。欲作當來之利。故於此示疑以	彌 勒 為 補 處 之 主 欲 作 當 來 之 利 故 於 此 示 疑 以 
X30n0602_001:0283c11	問。文殊為世間之眼。欲發群盲之智。故於後援古	問 文 殊 為 世 間 之 眼 欲 發 群 盲 之 智 故 於 後 援 古 
X30n0602_001:0283c12	以證。是謂助發。△二以偈重宣二。初申疑問二。	以 證 是 謂 助 發 二 以 偈 重 宣 二 初 申 疑 問 二 
X30n0602_001:0283c13	初總問六瑞所以。	初 總 問 六 瑞 所 以 
X30n0602_001:0283c14	於是彌勒菩薩欲重宣此義。以偈問曰。	於 是 彌 勒 菩 薩 欲 重 宣 此 義 以 偈 問 曰 
X30n0602_001:0283c15	文殊師利(至)得未曾有。	文 殊 師 利 至 得未曾有 
X30n0602_001:0283c16	此問放光雨華動地眾喜四瑞也。不問說法入定	此 問 放 光 雨 華 動 地 眾 喜 四 瑞 也 不 問 說 法 入 定 
X30n0602_001:0283c17	二瑞者。為所常見故。△二詳問光中所見二。一	二 瑞 者 為 所 常 見 故 二 詳 問 光 中 所 見 二 一 
X30n0602_001:0283c18	問圓現法界事相。	問 圓 現 法 界 事 相 
X30n0602_001:0283c19	眉間放光(至)於此悉見。	眉 間 放 光 至 於 此 悉 見 
X30n0602_001:0283c20	頌上極諸天下窮地獄等相也。	頌 上 極 諸 天 下 窮 地 獄 等 相 也 
X30n0602_001:0283c21	又覩諸佛(至)為說淨道。	又 覩 諸 佛 至 為 說 淨 道 
X30n0602_001:0283c22	頌見聞諸佛所說經法也。聖主師子言說法無畏。	頌 見 聞 諸佛所說 經 法 也 聖 主 師 子 言 說 法 無 畏 
X30n0602_001:0283c23	演說經典微妙第一至令人樂聞。即以一乘教諸	演 說 經 典 微 妙 第 一 至 令 人 樂 聞 即 以 一 乘 教 諸 
X30n0602_001:0283c24	菩薩也。講說正法種種因緣至為說淨道。即以三	菩 薩 也 講 說 正 法 種種因緣 至 為 說 淨 道 即 以 三 
X30n0602_001:0284a01	乘開悟眾生也。若人遭苦至盡諸苦際。即小乘四	乘 開 悟 眾 生 也 若 人 遭 苦 至 盡 諸 苦 際 即 小 乘 四 
X30n0602_001:0284a02	諦法。四句如次配見苦斷集修道證滅也。若人有	諦 法 四 句 如 次 配 見 苦 斷 集 修 道 證 滅 也 若 人 有 
X30n0602_001:0284a03	福至為說緣覺。即中乘十二緣法也。聲聞三生種	福 至 為 說 緣 覺 即 中 乘 十 二 緣 法 也 聲 聞 三 生 種 
X30n0602_001:0284a04	福為厭苦。支佛百劫種福為求道。故有福供佛志	福 為 厭 苦 支 佛 百 劫 種 福 為 求 道 故 有 福 供 佛 志 
X30n0602_001:0284a05	求勝法可授中乘。若有佛子至為說淨道。即大乘	求 勝 法 可 授 中 乘 若 有 佛 子 至 為 說 淨 道 即 大 乘 
X30n0602_001:0284a06	六度法也。六度以種種行為用。以無上慧為體。行	六 度 法 也 六 度 以 種 種 行 為 用 以 無 上 慧 為 體 行 
X30n0602_001:0284a07	得慧濟即無染著。故名淨道。於二乘言人。於大乘	得 慧 濟 即 無 染 著 故 名 淨 道 於 二 乘 言 人 於 大 乘 
X30n0602_001:0284a08	言佛子者。止宿草菴自同使人。成就大志乃命為	言 佛 子 者 止 宿 草 菴 自 同 使 人 成 就 大 志 乃 命 為 
X30n0602_001:0284a09	子。	子 
X30n0602_001:0284a10	文殊師利(至)今當略說。	文 殊 師 利 至 今 當 略 說 
X30n0602_001:0284a11	結前開後也。△二問圓現生佛始終。	結 前 開 後 也 二 問 圓 現 生 佛 始 終 
X30n0602_001:0284a12	我見彼土(至)而擊法鼓。	我 見 彼 土 至 而 擊 法 鼓 
X30n0602_001:0284a13	此頌修行之始。後頌涅槃之終。此即種種因緣信	此 頌 修 行 之 始 後 頌 涅 槃 之 終 此 即 種種因緣 信 
X30n0602_001:0284a14	解相貌。而大要不出六度。從或有行施至求佛智	解 相 貌 而 大 要 不 出 六 度 從 或 有 行 施 至 求 佛 智 
X30n0602_001:0284a15	慧檀度也。我見諸王至而被法服戒度也。比丘處	慧 檀 度 也 我 見 諸 王 至 而 被 法 服 戒 度 也 比 丘 處 
X30n0602_001:0284a16	閒誦經忍度也。菩薩勇猛為道進度也。離欲修禪	閒 誦 經 忍 度 也 菩 薩 勇 猛 為 道 進 度 也 離 欲 修 禪 
X30n0602_001:0284a17	至讚諸法王禪度也。智深志固至而擊法鼓智度	至 讚 諸 法 王 禪 度 也 智 深 志 固 至 而 擊 法 鼓 智 度 
X30n0602_001:0284a18	也。戒有三聚。謂攝善法戒。攝眾生戒。攝律儀戒。諸	也 戒 有 三 聚 謂 攝善法戒 攝 眾 生 戒 攝律儀戒 諸 
X30n0602_001:0284a19	王問道攝善法也。捨臣妾攝眾生也。被法服攝律	王 問 道 攝 善 法 也 捨 臣 妾 攝 眾 生 也 被 法 服 攝 律 
X30n0602_001:0284a20	儀也。忍有三種。謂生忍苦忍第一義忍。比丘處閒	儀 也 忍 有 三 種 謂 生 忍 苦 忍 第 一 義 忍 比 丘 處 閒 
X30n0602_001:0284a21	誦經。即閒林靜谷惡人惡獸為生忍。礪比丘節為	誦 經 即 閒 林 靜 谷 惡 人 惡 獸 為 生 忍 礪 比 丘 節 為 
X30n0602_001:0284a22	苦忍。樂誦經典即第一義忍也。離欲有三。謂五塵	苦 忍 樂 誦 經 典 即 第 一 義 忍 也 離 欲 有 三 謂 五 塵 
X30n0602_001:0284a23	欲二乘欲法愛欲皆離也。得五神通者非凡夫五	欲 二 乘 欲 法 愛 欲 皆 離 也 得 五 神 通 者 非 凡 夫 五 
X30n0602_001:0284a24	通。以初學對佛分有漏無漏耳。	通 以 初 學 對 佛 分 有漏無漏 耳 
X30n0602_001:0284b01	又見菩薩(至)求無上道。	又 見 菩 薩 至 求 無 上 道 
X30n0602_001:0284b02	此廣頌菩薩行道因緣相貌也。天龍恭敬不以為	此 廣 頌 菩 薩 行 道 因 緣 相 貌 也 天 龍 恭 敬 不 以 為 
X30n0602_001:0284b03	喜。菩薩自重也。處林放光濟地獄苦。菩薩大悲也。	喜 菩 薩 自 重 也 處 林 放 光 濟 地 獄 苦 菩薩大悲 也 
X30n0602_001:0284b04	癡眷屬謂唯恣情欲不能遷善者。自未嘗睡眠至	癡 眷 屬 謂 唯 恣 情 欲 不 能 遷 善 者 自 未 嘗 睡 眠 至 
X30n0602_001:0284b05	歡喜無厭。乃六度。眾行不復次第。但隨所見。或有	歡 喜 無 厭 乃 六 度 眾 行 不 復 次 第 但 隨 所 見 或 有 
X30n0602_001:0284b06	說寂滅法等者。或以教說求道也。觀諸法性等者。	說 寂 滅 法 等 者 或 以 教 說 求 道 也 觀 諸 法 性 等 者 
X30n0602_001:0284b07	或以覺觀求道也。心無所著等者。離教觀忘心迹	或 以 覺 觀 求 道 也 心無所著 等 者 離 教 觀 忘 心 迹 
X30n0602_001:0284b08	以求道也。雖種種因緣相貌不同。無非實相妙行。	以 求 道 也 雖 種種因緣 相 貌 不 同 無 非 實 相 妙 行 
X30n0602_001:0284b09	故於光中詳現。	故 於 光 中 詳 現 
X30n0602_001:0284b10	文殊師利(至)其華開敷。	文 殊 師 利 至 其 華 開 敷 
X30n0602_001:0284b11	此頌涅槃之終也。直曰縱橫曰廣。四十里為一由	此 頌 涅 槃 之 終 也 直 曰 縱 橫 曰 廣 四 十 里 為 一 由 
X30n0602_001:0284b12	旬。天樹王者。忉利天員生樹。寶華開時天界自然	旬 天 樹 王 者 忉 利 天 員 生 樹 寶 華 開 時 天 界 自 然 
X30n0602_001:0284b13	嚴飾妙好。乃佛滅後供養舍利果報也。故諸佛子	嚴 飾 妙 好 乃 佛 滅 後 供 養 舍 利 果 報 也 故 諸 佛 子 
X30n0602_001:0284b14	為供舍利嚴好如之。△二請答疑。	為 供 舍 利 嚴 好 如 之 二 請 答 疑 
X30n0602_001:0284b15	佛放一光(至)為說何等。	佛 放 一 光 至 為 說 何 等 
X30n0602_001:0284b16	仁指文殊也。	仁 指 文 殊 也 
X30n0602_001:0284b18	妙法蓮華經解卷第一之一	妙法蓮華 經 解 卷 第 一 之 一 
X30n0602_002:0292c15	妙法蓮華經解卷第二之一	妙法蓮華 經 解 卷 第 二 之 一 
X30n0602_002:0292c17	溫陵開元蓮寺比丘　戒環　解	溫 陵 開 元 蓮 寺 比 丘 戒 環 解 
X30n0602_002:0292c18	妙法蓮華經譬喻品第三	妙法蓮華 經 譬 喻 品 第 三 
X30n0602_002:0292c19	△二喻說一周被中根二。初標敘科義。	 二 喻 說 一 周 被 中 根 二 初 標 敘 科 義 
X30n0602_002:0292c20	譬者引淺況深。喻者托言訓曉。由前法說。示多方	譬 者 引 淺 況 深 喻 者 托 言 訓 曉 由 前 法 說 示 多 方 
X30n0602_002:0292c21	便。皆為一乘。上智已悟中根未解。故引三車一門	便 皆 為 一 乘 上 智 已 悟 中 根 未 解 故 引 三 車 一 門 
X30n0602_002:0292c22	之淺。以況三乘一道之深。而訓曉焉。故名譬喻品。	之 淺 以 況 三 乘 一 道 之 深 而 訓 曉 焉 故 名 譬 喻 品 
X30n0602_002:0292c23	經有九喻。謂火宅窮子藥草化城繫珠鑿井王髻	經 有 九 喻 謂 火 宅 窮 子 藥 草 化 城 繫 珠 鑿 井 王 髻 
X30n0602_002:0292c24	父少醫師。舊唯言七喻。遺却鑿井父少二喻。謂是	父 少 醫 師 舊 唯 言 七 喻 遺 却 鑿 井 父 少 二 喻 謂 是 
X30n0602_002:0293a01	旁出實非旁也。喻說文二。初法說緒餘。二喻說正	旁 出 實 非 旁 也 喻 說 文 二 初 法 說 緒 餘 二 喻 說 正 
X30n0602_002:0293a02	文。然法說緒餘合聯前品之末。喻說名題合標緒	文 然 法 說 緒 餘 合 聯 前 品 之 末 喻 說 名 題 合 標 緒 
X30n0602_002:0293a03	餘之後。而分品似濫者。身子既自領悟法說。欲以	餘 之 後 而 分 品 似 濫 者 身 子 既 自 領 悟 法 說 欲 以 
X30n0602_002:0293a04	悟人故陳悟喜之意。而為機起疑發茲喻說。然則	悟 人 故 陳 悟 喜 之 意 而 為 機 起 疑 發 茲 喻 說 然 則 
X30n0602_002:0293a05	悟喜等意。乃為喻說之由。宜屬此品。文不為濫。△	悟 喜 等 意 乃 為 喻 說 之 由 宜 屬 此 品 文 不 為 濫 
X30n0602_002:0293a06	二依科解文二。初法說緒餘四。初身子領悟四。	二 依 科 解 文 二 初 法 說 緒 餘 四 初 身 子 領 悟 四 
X30n0602_002:0293a07	初悟喜。	初 悟 喜 
X30n0602_002:0293a08	爾時舍利弗踊躍歡喜(至)得未曾有。	爾 時 舍 利 弗 踊 躍 歡 喜 至 得未曾有 
X30n0602_002:0293a09	身子既悟法說。自知作佛故踊躍而作慶所未聞。	身 子 既 悟 法 說 自 知 作 佛 故 踊 躍 而 作 慶 所 未 聞 
X30n0602_002:0293a10	所以者何(至)甚自感傷失於如來無量知見。	所以者何 至 甚 自 感 傷 失 於 如 來 無 量 知 見 
X30n0602_002:0293a11	釋上也。謂昔者方等會上共聞是法。然彼得授記	釋 上 也 謂 昔 者 方 等 會 上 共 聞 是 法 然 彼 得 授 記 
X30n0602_002:0293a12	我乃不預。是失如來無量知見。今既得之所以踊	我 乃 不 預 是 失 如 來 無 量 知 見 今 既 得 之 所 以 踊 
X30n0602_002:0293a13	喜。無量知見即一乘正智也。△二悔責。	喜 無 量 知 見 即 一 乘 正 智 也 二 悔 責 
X30n0602_002:0293a14	世尊我常獨處山林樹下(至)是我等咎非世尊也。	世 尊 我 常 獨 處 山 林 樹 下 至 是 我 等 咎 非 世 尊 也 
X30n0602_002:0293a15	居常推尅聞同記異。非佛所私咎實在我。同入法	居 常 推 尅 聞 同 記 異 非 佛 所 私 咎 實 在 我 同 入 法 
X30n0602_002:0293a16	性謂同證真理。	性 謂 同 證 真 理 
X30n0602_002:0293a17	所以者何(至)初問佛法遇便信受思惟取證。	所以者何 至 初 問 佛 法 遇 便 信 受 思 惟 取 證 
X30n0602_002:0293a18	釋自咎也。所因即般若實智為菩提正因也。佛固	釋 自 咎 也 所 因 即 般 若 實 智 為 菩 提 正 因 也 佛 固 
X30n0602_002:0293a19	將說而我不欵待。但初聞四諦。即便信受速取小	將 說 而 我 不 欵 待 但 初 聞 四 諦 即 便 信 受 速 取 小 
X30n0602_002:0293a20	果。葢自誤也。△三自慶。	果 葢 自 誤 也 三 自 慶 
X30n0602_002:0293a21	世尊我從昔來(至)得佛法分。	世 尊 我 從 昔 來 至 得 佛 法 分 
X30n0602_002:0293a22	自慶所悟也。口生者。因聞一音。法生者。悟如是法。	自 慶 所 悟 也 口 生 者 因 聞 一 音 法 生 者 悟 如 是 法 
X30n0602_002:0293a23	法分者。得如來知見寶藏之分也。△四重頌四。	法 分 者 得 如 來 知 見 寶 藏 之 分 也 四 重 頌 四 
X30n0602_002:0293a24	初頌悟喜。	初 頌 悟 喜 
X30n0602_002:0293b01	爾時舍利弗欲重宣此義。而說偈言。	爾 時 舍 利 弗 欲 重 宣 此 義 而 說 偈 言 
X30n0602_002:0293b02	我聞是法音(至)聞亦除憂惱。	我 聞 是 法 音 至 聞 亦 除 憂 惱 
X30n0602_002:0293b03	法音指法說也。漏盡宜無憂惱。而云亦除者。向雖	法 音 指 法 說 也 漏 盡 宜 無 憂 惱 而 云 亦 除 者 向 雖 
X30n0602_002:0293b04	漏盡餘習未盡。今得極證則除失大乘之憂。及餘	漏 盡 餘 習 未 盡 今 得 極 證 則 除 失 大 乘 之 憂 及 餘 
X30n0602_002:0293b05	習未盡之惱。△二頌悔責。	習 未 盡 之 惱 二 頌 悔 責 
X30n0602_002:0293b06	我處於山谷(至)云何而自欺。	我 處 於 山 谷 至 云 何 而 自 欺 
X30n0602_002:0293b07	頌居常自咎也。	頌 居 常 自 咎 也 
X30n0602_002:0293b08	我等亦佛子(至)我為自欺誑。	我 等 亦 佛 子 至 我 為 自 欺 誑 
X30n0602_002:0293b09	頌不預授記失佛功德也。三十二相初自足下安	頌 不 預 授 記 失 佛 功 德 也 三十二相 初 自 足 下 安 
X30n0602_002:0293b10	平。終至頂相高圓猶如天葢。十力初是處非處智	平 終 至 頂 相 高 圓 猶 如 天 葢 十 力 初 是處非處 智 
X30n0602_002:0293b11	力。終至永斷習氣智力。八十種好初自指爪狹長。	力 終 至 永 斷 習 氣 智 力 八十種好 初 自 指 爪 狹 長 
X30n0602_002:0293b12	終至胷萬字相。十八不共謂不與二乘共也。初自	終 至 胷 萬 字 相 十八不共 謂 不 與 二 乘 共 也 初 自 
X30n0602_002:0293b13	無過失終至知過現未事無著無礙。	無 過 失 終 至 知 過 現 未 事 無著無礙 
X30n0602_002:0293b14	我常於日夜(至)籌量如此事。	我 常 於 日 夜 至 籌 量 如 此 事 
X30n0602_002:0293b15	見讚菩薩知我之非。故籌量其失。△三頌自慶。	見 讚 菩 薩 知 我 之 非 故 籌 量 其 失 三 頌 自 慶 
X30n0602_002:0293b16	今聞佛音聲。隨宜而說法。無漏難思議。令眾至道場。	今 聞 佛 音 聲 隨 宜 而 說 法 無 漏 難 思 議 令 眾 至 道 場 
X30n0602_002:0293b17	而今乃知隨宜之說。皆無漏法。直可以證道也。	而 今 乃 知 隨 宜 之 說 皆 無 漏 法 直 可 以 證 道 也 
X30n0602_002:0293b18	我本著邪見(至)永盡滅無餘。	我 本 著 邪 見 至 永 盡 滅 無 餘 
X30n0602_002:0293b19	感悟自慶也。身子昔事珊闍耶為外道梵志之師。	感 悟 自 慶 也 身 子 昔 事 珊 闍 耶 為 外 道 梵 志 之 師 
X30n0602_002:0293b20	因佛為之拔邪說法。乃入佛道。於空偏證非是實	因 佛 為 之 拔 邪 說 法 乃 入 佛 道 於 空 偏 證 非 是 實 
X30n0602_002:0293b21	滅。即相圓證始謂無餘永盡滅。即無餘涅槃也。	滅 即 相 圓 證 始 謂 無 餘 永 盡 滅 即 無餘涅槃 也 
X30n0602_002:0293b22	佛於大眾中。說我當作佛。聞如是法音。疑悔悉已除。	佛 於 大 眾 中 說 我 當 作 佛 聞 如 是 法 音 疑 悔 悉 已 除 
X30n0602_002:0293b23	牒偈首之詞。通結也。上頌長行已終。△四別自釋	牒 偈 首 之 詞 通 結 也 上 頌 長 行 已 終 四 別 自 釋 
X30n0602_002:0293b24	疑二。初徵疑自釋。	疑 二 初 徵 疑 自 釋 
X30n0602_002:0293c01	初聞佛所說(至)我聞疑網斷。	初 聞 佛 所 說 至 我 聞 疑 網 斷 
X30n0602_002:0293c02	初聞會三歸一。聲聞得佛以非己智分故疑之。及	初 聞 會 三 歸 一 聲 聞 得 佛 以 非 己 智 分 故 疑 之 及 
X30n0602_002:0293c03	詳觀佛說其心如海。窮之益深測之益遠。乃信為	詳 觀 佛 說 其 心 如 海 窮 之 益 深 測 之 益 遠 乃 信 為 
X30n0602_002:0293c04	實道無復疑也。△二引證釋疑。	實 道 無 復 疑 也 二 引 證 釋 疑 
X30n0602_002:0293c05	佛說過去世(至)波旬無此事。	佛 說 過 去 世 至 波 旬 無 此 事 
X30n0602_002:0293c06	此引方便品三世道同及自行道同之文。以自釋	此 引 方 便 品 三 世 道 同 及 自 行 道 同 之 文 以 自 釋 
X30n0602_002:0293c07	也。波旬魔名。	也 波 旬 魔 名 
X30n0602_002:0293c08	以是我定知(至)教化諸菩薩。	以 是 我 定 知 至 教 化 諸 菩 薩 
X30n0602_002:0293c09	牒釋前疑。以由領悟也。實智即一乘正智也。夫身	牒 釋 前 疑 以 由 領 悟 也 實 智 即 一 乘 正 智 也 夫 身 
X30n0602_002:0293c10	子大智於佛聞法宜不言而諭。乃綢繆疑慮至於	子 大 智 於 佛 聞 法 宜 不 言 而 諭 乃 綢 繆 疑 慮 至 於 
X30n0602_002:0293c11	以佛為魔者。葢道大機小。乍聞其言鮮不悖戰眩	以 佛 為 魔 者 葢 道 大 機 小 乍 聞 其 言 鮮 不 悖 戰 眩 
X30n0602_002:0293c12	亂而非毀交謫。譬聞姑射之說以為狂而不信。望	亂 而 非 毀 交 謫 譬 聞 姑 射 之 說 以 為 狂 而 不 信 望 
X30n0602_002:0293c13	哀駘之風以為惡駭天下。葢後世末俗聞佛道者。	哀 駘 之 風 以 為 惡 駭 天 下 葢 後 世 末 俗 聞 佛 道 者 
X30n0602_002:0293c14	類多如此。則大智疑慮有所為而設矣。△二如來	類 多 如 此 則 大 智 疑 慮 有 所 為 而 設 矣 二 如 來 
X30n0602_002:0293c15	述成。	述 成 
X30n0602_002:0293c16	爾時佛告舍利弗(至)我以方便引導汝故生我法中。	爾 時 佛 告 舍 利 弗 至 我 以 方 便 引 導 汝 故 生 我 法 中 
X30n0602_002:0293c17	述其本因。以明領悟得記之由也。言於天人眾中	述 其 本 因 以 明 領 悟 得 記 之 由 也 言 於 天 人 眾 中 
X30n0602_002:0293c18	說者。將明遠因遠記示不妄也。戒經云。舍利弗曾	說 者 將 明 遠 因 遠 記 示 不 妄 也 戒 經 云 舍 利 弗 曾 
X30n0602_002:0293c19	於六十劫修菩薩道。今云二萬億佛所。指彼時也。	於 六 十 劫 修菩薩道 今 云 二 萬 億 佛 所 指 彼 時 也 
X30n0602_002:0293c20	長夜隨學。言正智未明。	長 夜 隨 學 言 正 智 未 明 
X30n0602_002:0293c21	舍利弗(至)名妙法蓮華教菩薩法佛所護念。	舍 利 弗 至 名 妙法蓮華 教 菩 薩 法 佛 所 護 念 
X30n0602_002:0293c22	昔已繫珠。今復示珠。△三上根得記二。一與記。	昔 已 繫 珠 今 復 示 珠 三 上 根 得 記 二 一 與 記 
X30n0602_002:0293c23	舍利弗(至)天人師佛世尊。	舍 利 弗 至 天 人 師 佛 世 尊 
X30n0602_002:0293c24	既悟妙法當成佛道。故得記作佛也。諸授記文皆	既 悟 妙 法 當 成 佛 道 故 得 記 作 佛 也 諸 授 記 文 皆 
X30n0602_002:0294a01	二。初供佛行道因記也。次十號劫國果記也。此記	二 初 供 佛 行 道 因 記 也 次 十 號 劫 國 果 記 也 此 記 
X30n0602_002:0294a02	大因大果。以策進小乘也。號華光者。華表因行光	大 因 大 果 以 策 進 小 乘 也 號 華 光 者 華 表 因 行 光 
X30n0602_002:0294a03	能發明。由最初領悟發明是道故也。既受佛記。猶	能 發 明 由 最 初 領 悟 發 明 是 道 故 也 既 受 佛 記 猶 
X30n0602_002:0294a04	過多劫然後得果者。成佛由智得果由行。小乘雖	過 多 劫 然 後 得 果 者 成 佛 由 智 得 果 由 行 小 乘 雖 
X30n0602_002:0294a05	悟實智。未修大行。是謂素法身佛。未有莊嚴。故須	悟 實 智 未 修 大 行 是 謂 素 法 身 佛 未 有 莊 嚴 故 須 
X30n0602_002:0294a06	經劫供佛行菩薩道。所以廓其大心成就萬德。萬	經 劫 供 佛 行菩薩道 所 以 廓 其 大 心 成 就 萬 德 萬 
X30n0602_002:0294a07	德圓備乃成十號具足之佛。非自性天真之佛比	德 圓 備 乃 成 十 號 具 足 之 佛 非 自 性 天 真 之 佛 比 
X30n0602_002:0294a08	矣。若此頓教所謂過無量不思議劫者。直約正智。	矣 若 此 頓 教 所 謂 過 無 量 不 思 議 劫 者 直 約 正 智 
X30n0602_002:0294a09	頓斷無明頓圓種智。則無邊劫迷一時頓滅。是謂	頓 斷 無 明 頓 圓 種 智 則 無 邊 劫 迷 一 時 頓 滅 是 謂 
X30n0602_002:0294a10	過無邊劫成佛。	過 無 邊 劫 成 佛 
X30n0602_002:0294a11	國名離垢(至)其國中以菩薩為大寶故。	國 名 離 垢 至 其 國 中 以 菩 薩 為 大 寶 故 
X30n0602_002:0294a12	劫國莊嚴皆因行依報也。身子因行以大智為本。	劫 國 莊 嚴 皆 因 行 依 報 也 身 子 因 行 以 大 智 為 本 
X30n0602_002:0294a13	故國名離垢。因行發明教菩薩法。故劫名大寶莊	故 國 名 離 垢 因 行 發 明 教 菩 薩 法 故 劫 名 大 寶 莊 
X30n0602_002:0294a14	嚴。而以菩薩為大寶。清淨嚴飾則無諸穢土。安隱	嚴 而 以 菩 薩 為 大 寶 清 淨 嚴 飾 則 無 諸 穢 土 安 隱 
X30n0602_002:0294a15	豐樂則無三災苦。天人熾盛則無三惡道。有八交	豐 樂 則 無 三 災 苦 天 人 熾 盛 則 無 三 惡 道 有 八 交 
X30n0602_002:0294a16	道等者。八正道之所會也。七寶行樹等者。七覺支	道 等 者 八 正 道 之 所 會 也 七 寶 行 樹 等 者 七 覺 支 
X30n0602_002:0294a17	之所生也。凡諸佛依報皆然。葢因行所同也。若眾	之 所 生 也 凡 諸 佛 依 報 皆 然 葢 因 行 所 同 也 若 眾 
X30n0602_002:0294a18	生依報則國名堪忍。劫名五濁。其土坑坎沙礫為	生 依 報 則 國 名 堪 忍 劫 名 五 濁 其 土 坑 坎 沙 礫 為 
X30n0602_002:0294a19	地。亦因行所同也。反而求之離垢清淨之相。皆即	地 亦 因 行 所 同 也 反 而 求 之 離 垢 清 淨 之 相 皆 即 
X30n0602_002:0294a20	心地安隱豐樂之事。無非性德。染淨轉變常存乎	心 地 安 隱 豐 樂 之 事 無 非 性 德 染 淨 轉 變 常 存 乎 
X30n0602_002:0294a21	人。使眾生不為堪忍苦。不起五濁業不行邪諂行。	人 使 眾 生 不 為 堪 忍 苦 不 起 五 濁 業 不 行 邪 諂 行 
X30n0602_002:0294a22	則真離垢平正安隱豐樂之國矣。	則 真 離 垢 平 正 安 隱 豐 樂 之 國 矣 
X30n0602_002:0294a23	彼諸菩薩(至)其國人民壽八小劫。	彼 諸 菩 薩 至 其 國 人 民 壽 八 小 劫 
X30n0602_002:0294a24	除為王子時。獨記作佛後壽十二劫。	除 為 王 子 時 獨 記 作 佛 後 壽 十 二 劫 
